context: Without using my damn old man's Quirk... response:	No...
context: A different way, huh...?\All Might.\You originally became a teacher at U.A. to find a successor, right?\Yeah.\Putting everything I had into the U.A. sports festival,\I could physically feel everyone's strong emotions of not wanting to give in.\So I...\Yes. response:	It's true that this place is filled with wonderful potential heroes.
context: All Might.\You originally became a teacher at U.A. to find a successor, right?\Yeah.\Putting everything I had into the U.A. sports festival,\I could physically feel everyone's strong emotions of not wanting to give in.\So I...\Yes.\It's true that this place is filled with wonderful potential heroes. response:	One For All is the crystallization of power.
context: You originally became a teacher at U.A. to find a successor, right?\Yeah.\Putting everything I had into the U.A. sports festival,\I could physically feel everyone's strong emotions of not wanting to give in.\So I...\Yes.\It's true that this place is filled with wonderful potential heroes.\One For All is the crystallization of power. response:	For those who have Quirks...
context: Yeah.\Putting everything I had into the U.A. sports festival,\I could physically feel everyone's strong emotions of not wanting to give in.\So I...\Yes.\It's true that this place is filled with wonderful potential heroes.\One For All is the crystallization of power.\For those who have Quirks... response:	For example, if Young Todoroki were to inherit it,
context: Putting everything I had into the U.A. sports festival,\I could physically feel everyone's strong emotions of not wanting to give in.\So I...\Yes.\It's true that this place is filled with wonderful potential heroes.\One For All is the crystallization of power.\For those who have Quirks...\For example, if Young Todoroki were to inherit it, response:	then with the super strength on top of his Half-Cold, Half-Hot,
context: I could physically feel everyone's strong emotions of not wanting to give in.\So I...\Yes.\It's true that this place is filled with wonderful potential heroes.\One For All is the crystallization of power.\For those who have Quirks...\For example, if Young Todoroki were to inherit it,\then with the super strength on top of his Half-Cold, Half-Hot, response:	he would probably become a superhero.
context: So I...\Yes.\It's true that this place is filled with wonderful potential heroes.\One For All is the crystallization of power.\For those who have Quirks...\For example, if Young Todoroki were to inherit it,\then with the super strength on top of his Half-Cold, Half-Hot,\he would probably become a superhero. response:	-Then- -But you know,
context: Yes.\It's true that this place is filled with wonderful potential heroes.\One For All is the crystallization of power.\For those who have Quirks...\For example, if Young Todoroki were to inherit it,\then with the super strength on top of his Half-Cold, Half-Hot,\he would probably become a superhero.\-Then- -But you know, response:	I was Quirkless, too.
context: It's true that this place is filled with wonderful potential heroes.\One For All is the crystallization of power.\For those who have Quirks...\For example, if Young Todoroki were to inherit it,\then with the super strength on top of his Half-Cold, Half-Hot,\he would probably become a superhero.\-Then- -But you know,\I was Quirkless, too. response:	Quirkless...? You were...?
context: One For All is the crystallization of power.\For those who have Quirks...\For example, if Young Todoroki were to inherit it,\then with the super strength on top of his Half-Cold, Half-Hot,\he would probably become a superhero.\-Then- -But you know,\I was Quirkless, too.\Quirkless...? You were...? response:	It wasn't as rare as for your generation, but it was still uncommon.
context: For those who have Quirks...\For example, if Young Todoroki were to inherit it,\then with the super strength on top of his Half-Cold, Half-Hot,\he would probably become a superhero.\-Then- -But you know,\I was Quirkless, too.\Quirkless...? You were...?\It wasn't as rare as for your generation, but it was still uncommon. response:	My master had a Quirk,
context: For example, if Young Todoroki were to inherit it,\then with the super strength on top of his Half-Cold, Half-Hot,\he would probably become a superhero.\-Then- -But you know,\I was Quirkless, too.\Quirkless...? You were...?\It wasn't as rare as for your generation, but it was still uncommon.\My master had a Quirk, response:	but even so, my master believed in me and gave One For All to me,
context: then with the super strength on top of his Half-Cold, Half-Hot,\he would probably become a superhero.\-Then- -But you know,\I was Quirkless, too.\Quirkless...? You were...?\It wasn't as rare as for your generation, but it was still uncommon.\My master had a Quirk,\but even so, my master believed in me and gave One For All to me, response:	and raised me to become a hero.
context: he would probably become a superhero.\-Then- -But you know,\I was Quirkless, too.\Quirkless...? You were...?\It wasn't as rare as for your generation, but it was still uncommon.\My master had a Quirk,\but even so, my master believed in me and gave One For All to me,\and raised me to become a hero. response:	You never told me tha-
context: -Then- -But you know,\I was Quirkless, too.\Quirkless...? You were...?\It wasn't as rare as for your generation, but it was still uncommon.\My master had a Quirk,\but even so, my master believed in me and gave One For All to me,\and raised me to become a hero.\You never told me tha- response:	Because you never asked.
context: I was Quirkless, too.\Quirkless...? You were...?\It wasn't as rare as for your generation, but it was still uncommon.\My master had a Quirk,\but even so, my master believed in me and gave One For All to me,\and raised me to become a hero.\You never told me tha-\Because you never asked. response:	Even though I thought you would.
context: Quirkless...? You were...?\It wasn't as rare as for your generation, but it was still uncommon.\My master had a Quirk,\but even so, my master believed in me and gave One For All to me,\and raised me to become a hero.\You never told me tha-\Because you never asked.\Even though I thought you would. response:	All Might... you were Quirkless, too...?
context: It wasn't as rare as for your generation, but it was still uncommon.\My master had a Quirk,\but even so, my master believed in me and gave One For All to me,\and raised me to become a hero.\You never told me tha-\Because you never asked.\Even though I thought you would.\All Might... you were Quirkless, too...? response:	Yeah!
context: My master had a Quirk,\but even so, my master believed in me and gave One For All to me,\and raised me to become a hero.\You never told me tha-\Because you never asked.\Even though I thought you would.\All Might... you were Quirkless, too...?\Yeah! response:	At first, I saw the old me in you.
context: but even so, my master believed in me and gave One For All to me,\and raised me to become a hero.\You never told me tha-\Because you never asked.\Even though I thought you would.\All Might... you were Quirkless, too...?\Yeah!\At first, I saw the old me in you. response:	But you have gone beyond what I imagined, time and time again.
context: and raised me to become a hero.\You never told me tha-\Because you never asked.\Even though I thought you would.\All Might... you were Quirkless, too...?\Yeah!\At first, I saw the old me in you.\But you have gone beyond what I imagined, time and time again. response:	There is something that only you can draw out.
context: You never told me tha-\Because you never asked.\Even though I thought you would.\All Might... you were Quirkless, too...?\Yeah!\At first, I saw the old me in you.\But you have gone beyond what I imagined, time and time again.\There is something that only you can draw out. response:	I believe that.
context: Because you never asked.\Even though I thought you would.\All Might... you were Quirkless, too...?\Yeah!\At first, I saw the old me in you.\But you have gone beyond what I imagined, time and time again.\There is something that only you can draw out.\I believe that. response:	I'm sorry...
context: Even though I thought you would.\All Might... you were Quirkless, too...?\Yeah!\At first, I saw the old me in you.\But you have gone beyond what I imagined, time and time again.\There is something that only you can draw out.\I believe that.\I'm sorry... response:	Anyway, the sports festival isn't over yet, kid!
context: All Might... you were Quirkless, too...?\Yeah!\At first, I saw the old me in you.\But you have gone beyond what I imagined, time and time again.\There is something that only you can draw out.\I believe that.\I'm sorry...\Anyway, the sports festival isn't over yet, kid! response:	Make sure you watch until the end!
context: Yeah!\At first, I saw the old me in you.\But you have gone beyond what I imagined, time and time again.\There is something that only you can draw out.\I believe that.\I'm sorry...\Anyway, the sports festival isn't over yet, kid!\Make sure you watch until the end! response:	Okay!
context: At first, I saw the old me in you.\But you have gone beyond what I imagined, time and time again.\There is something that only you can draw out.\I believe that.\I'm sorry...\Anyway, the sports festival isn't over yet, kid!\Make sure you watch until the end!\Okay! response:	Player Waiting Room 1
context: But you have gone beyond what I imagined, time and time again.\There is something that only you can draw out.\I believe that.\I'm sorry...\Anyway, the sports festival isn't over yet, kid!\Make sure you watch until the end!\Okay!\Player Waiting Room 1 response:	Hello, Tensei? It's me, Tenya...
context: There is something that only you can draw out.\I believe that.\I'm sorry...\Anyway, the sports festival isn't over yet, kid!\Make sure you watch until the end!\Okay!\Player Waiting Room 1\Hello, Tensei? It's me, Tenya... response:	I am currently on a mission and cannot answer the phone.
context: I believe that.\I'm sorry...\Anyway, the sports festival isn't over yet, kid!\Make sure you watch until the end!\Okay!\Player Waiting Room 1\Hello, Tensei? It's me, Tenya...\I am currently on a mission and cannot answer the phone. response:	Tensei...
context: I'm sorry...\Anyway, the sports festival isn't over yet, kid!\Make sure you watch until the end!\Okay!\Player Waiting Room 1\Hello, Tensei? It's me, Tenya...\I am currently on a mission and cannot answer the phone.\Tensei... response:	Do your best.
context: Anyway, the sports festival isn't over yet, kid!\Make sure you watch until the end!\Okay!\Player Waiting Room 1\Hello, Tensei? It's me, Tenya...\I am currently on a mission and cannot answer the phone.\Tensei...\Do your best. response:	Squad A, go north!
context: Make sure you watch until the end!\Okay!\Player Waiting Room 1\Hello, Tensei? It's me, Tenya...\I am currently on a mission and cannot answer the phone.\Tensei...\Do your best.\Squad A, go north! response:	Squad B, check the west side!
context: Okay!\Player Waiting Room 1\Hello, Tensei? It's me, Tenya...\I am currently on a mission and cannot answer the phone.\Tensei...\Do your best.\Squad A, go north!\Squad B, check the west side! response:	Squad A, roger!
context: Player Waiting Room 1\Hello, Tensei? It's me, Tenya...\I am currently on a mission and cannot answer the phone.\Tensei...\Do your best.\Squad A, go north!\Squad B, check the west side!\Squad A, roger! response:	Squad B, roger!
context: Hello, Tensei? It's me, Tenya...\I am currently on a mission and cannot answer the phone.\Tensei...\Do your best.\Squad A, go north!\Squad B, check the west side!\Squad A, roger!\Squad B, roger! response:	What's that?
context: I am currently on a mission and cannot answer the phone.\Tensei...\Do your best.\Squad A, go north!\Squad B, check the west side!\Squad A, roger!\Squad B, roger!\What's that? response:	There's no doubt about it.
context: Tensei...\Do your best.\Squad A, go north!\Squad B, check the west side!\Squad A, roger!\Squad B, roger!\What's that?\There's no doubt about it. response:	It's him!
context: Do your best.\Squad A, go north!\Squad B, check the west side!\Squad A, roger!\Squad B, roger!\What's that?\There's no doubt about it.\It's him! response:	I've found him!
context: Squad A, go north!\Squad B, check the west side!\Squad A, roger!\Squad B, roger!\What's that?\There's no doubt about it.\It's him!\I've found him! response:	The Hero Killer!
context: Squad B, check the west side!\Squad A, roger!\Squad B, roger!\What's that?\There's no doubt about it.\It's him!\I've found him!\The Hero Killer! response:	Take this!
context: Squad A, roger!\Squad B, roger!\What's that?\There's no doubt about it.\It's him!\I've found him!\The Hero Killer!\Take this! response:	A counter!
context: Squad B, roger!\What's that?\There's no doubt about it.\It's him!\I've found him!\The Hero Killer!\Take this!\A counter! response:	That won't work on me, Explosion Boy!
context: What's that?\There's no doubt about it.\It's him!\I've found him!\The Hero Killer!\Take this!\A counter!\That won't work on me, Explosion Boy! response:	He's not budging...
context: There's no doubt about it.\It's him!\I've found him!\The Hero Killer!\Take this!\A counter!\That won't work on me, Explosion Boy!\He's not budging... response:	There's more to him than Hardening.
context: It's him!\I've found him!\The Hero Killer!\Take this!\A counter!\That won't work on me, Explosion Boy!\He's not budging...\There's more to him than Hardening. response:	Kirishima, get his chin! His chin!
context: I've found him!\The Hero Killer!\Take this!\A counter!\That won't work on me, Explosion Boy!\He's not budging...\There's more to him than Hardening.\Kirishima, get his chin! His chin! response:	-Yesterday's enemy is today's friend. -His chin!
context: The Hero Killer!\Take this!\A counter!\That won't work on me, Explosion Boy!\He's not budging...\There's more to him than Hardening.\Kirishima, get his chin! His chin!\-Yesterday's enemy is today's friend. -His chin! response:	Kirishima and Kacchan...
context: Take this!\A counter!\That won't work on me, Explosion Boy!\He's not budging...\There's more to him than Hardening.\Kirishima, get his chin! His chin!\-Yesterday's enemy is today's friend. -His chin!\Kirishima and Kacchan... response:	Which means...
context: A counter!\That won't work on me, Explosion Boy!\He's not budging...\There's more to him than Hardening.\Kirishima, get his chin! His chin!\-Yesterday's enemy is today's friend. -His chin!\Kirishima and Kacchan...\Which means... response:	Iida and Tokoyami have advanced to the next round.
context: That won't work on me, Explosion Boy!\He's not budging...\There's more to him than Hardening.\Kirishima, get his chin! His chin!\-Yesterday's enemy is today's friend. -His chin!\Kirishima and Kacchan...\Which means...\Iida and Tokoyami have advanced to the next round. response:	Aw, I knew it... I wish I could've seen it.
context: He's not budging...\There's more to him than Hardening.\Kirishima, get his chin! His chin!\-Yesterday's enemy is today's friend. -His chin!\Kirishima and Kacchan...\Which means...\Iida and Tokoyami have advanced to the next round.\Aw, I knew it... I wish I could've seen it. response:	Bakugo's having a hard time fighting back against Kirishima's fierce attack!
context: There's more to him than Hardening.\Kirishima, get his chin! His chin!\-Yesterday's enemy is today's friend. -His chin!\Kirishima and Kacchan...\Which means...\Iida and Tokoyami have advanced to the next round.\Aw, I knew it... I wish I could've seen it.\Bakugo's having a hard time fighting back against Kirishima's fierce attack! response:	Kacchan's on the defensive?
context: Kirishima, get his chin! His chin!\-Yesterday's enemy is today's friend. -His chin!\Kirishima and Kacchan...\Which means...\Iida and Tokoyami have advanced to the next round.\Aw, I knew it... I wish I could've seen it.\Bakugo's having a hard time fighting back against Kirishima's fierce attack!\Kacchan's on the defensive? response:	Kirishima's Quirk is simple, but that's what makes it strong.
context: -Yesterday's enemy is today's friend. -His chin!\Kirishima and Kacchan...\Which means...\Iida and Tokoyami have advanced to the next round.\Aw, I knew it... I wish I could've seen it.\Bakugo's having a hard time fighting back against Kirishima's fierce attack!\Kacchan's on the defensive?\Kirishima's Quirk is simple, but that's what makes it strong. response:	mutter mutter mutter
context: Kirishima and Kacchan...\Which means...\Iida and Tokoyami have advanced to the next round.\Aw, I knew it... I wish I could've seen it.\Bakugo's having a hard time fighting back against Kirishima's fierce attack!\Kacchan's on the defensive?\Kirishima's Quirk is simple, but that's what makes it strong.\mutter mutter mutter response:	Midoriya!
context: Which means...\Iida and Tokoyami have advanced to the next round.\Aw, I knew it... I wish I could've seen it.\Bakugo's having a hard time fighting back against Kirishima's fierce attack!\Kacchan's on the defensive?\Kirishima's Quirk is simple, but that's what makes it strong.\mutter mutter mutter\Midoriya! response:	I see your surgery went well.
context: Iida and Tokoyami have advanced to the next round.\Aw, I knew it... I wish I could've seen it.\Bakugo's having a hard time fighting back against Kirishima's fierce attack!\Kacchan's on the defensive?\Kirishima's Quirk is simple, but that's what makes it strong.\mutter mutter mutter\Midoriya!\I see your surgery went well. response:	I'm glad!
context: Aw, I knew it... I wish I could've seen it.\Bakugo's having a hard time fighting back against Kirishima's fierce attack!\Kacchan's on the defensive?\Kirishima's Quirk is simple, but that's what makes it strong.\mutter mutter mutter\Midoriya!\I see your surgery went well.\I'm glad! response:	Yeah, thanks.
context: Bakugo's having a hard time fighting back against Kirishima's fierce attack!\Kacchan's on the defensive?\Kirishima's Quirk is simple, but that's what makes it strong.\mutter mutter mutter\Midoriya!\I see your surgery went well.\I'm glad!\Yeah, thanks. response:	And congrats, Iida.
context: Kacchan's on the defensive?\Kirishima's Quirk is simple, but that's what makes it strong.\mutter mutter mutter\Midoriya!\I see your surgery went well.\I'm glad!\Yeah, thanks.\And congrats, Iida. response:	I made it to the semifinals.
context: Kirishima's Quirk is simple, but that's what makes it strong.\mutter mutter mutter\Midoriya!\I see your surgery went well.\I'm glad!\Yeah, thanks.\And congrats, Iida.\I made it to the semifinals. response:	I'm going to use your fight against Todoroki and learn from it.
context: mutter mutter mutter\Midoriya!\I see your surgery went well.\I'm glad!\Yeah, thanks.\And congrats, Iida.\I made it to the semifinals.\I'm going to use your fight against Todoroki and learn from it. response:	Okay.
context: Midoriya!\I see your surgery went well.\I'm glad!\Yeah, thanks.\And congrats, Iida.\I made it to the semifinals.\I'm going to use your fight against Todoroki and learn from it.\Okay. response:	Is your big brother, Ingenium, watching your progress, too?
context: I see your surgery went well.\I'm glad!\Yeah, thanks.\And congrats, Iida.\I made it to the semifinals.\I'm going to use your fight against Todoroki and learn from it.\Okay.\Is your big brother, Ingenium, watching your progress, too? response:	I called him earlier, but he was working.
context: I'm glad!\Yeah, thanks.\And congrats, Iida.\I made it to the semifinals.\I'm going to use your fight against Todoroki and learn from it.\Okay.\Is your big brother, Ingenium, watching your progress, too?\I called him earlier, but he was working. response:	Oh, so you called him.
context: Yeah, thanks.\And congrats, Iida.\I made it to the semifinals.\I'm going to use your fight against Todoroki and learn from it.\Okay.\Is your big brother, Ingenium, watching your progress, too?\I called him earlier, but he was working.\Oh, so you called him. response:	But I think that was for the best.
context: And congrats, Iida.\I made it to the semifinals.\I'm going to use your fight against Todoroki and learn from it.\Okay.\Is your big brother, Ingenium, watching your progress, too?\I called him earlier, but he was working.\Oh, so you called him.\But I think that was for the best. response:	Now that I've made it this far, I need to be able to tell him I'm number one.
context: I made it to the semifinals.\I'm going to use your fight against Todoroki and learn from it.\Okay.\Is your big brother, Ingenium, watching your progress, too?\I called him earlier, but he was working.\Oh, so you called him.\But I think that was for the best.\Now that I've made it this far, I need to be able to tell him I'm number one. response:	He is a likable hero who honors the rules and leads people.
context: I'm going to use your fight against Todoroki and learn from it.\Okay.\Is your big brother, Ingenium, watching your progress, too?\I called him earlier, but he was working.\Oh, so you called him.\But I think that was for the best.\Now that I've made it this far, I need to be able to tell him I'm number one.\He is a likable hero who honors the rules and leads people. response:	I set my sights on being a hero because I want to be like my brother.
context: Okay.\Is your big brother, Ingenium, watching your progress, too?\I called him earlier, but he was working.\Oh, so you called him.\But I think that was for the best.\Now that I've made it this far, I need to be able to tell him I'm number one.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother. response:	Bakugo counters again!
context: Is your big brother, Ingenium, watching your progress, too?\I called him earlier, but he was working.\Oh, so you called him.\But I think that was for the best.\Now that I've made it this far, I need to be able to tell him I'm number one.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Bakugo counters again! response:	What's this?
context: I called him earlier, but he was working.\Oh, so you called him.\But I think that was for the best.\Now that I've made it this far, I need to be able to tell him I'm number one.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Bakugo counters again!\What's this? response:	Unlike before, it's working?!
context: Oh, so you called him.\But I think that was for the best.\Now that I've made it this far, I need to be able to tell him I'm number one.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Bakugo counters again!\What's this?\Unlike before, it's working?! response:	You've been straining to keep your whole body rock-hard this whole time, right?
context: But I think that was for the best.\Now that I've made it this far, I need to be able to tell him I'm number one.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Bakugo counters again!\What's this?\Unlike before, it's working?!\You've been straining to keep your whole body rock-hard this whole time, right? response:	If you attack quickly in that state,
context: Now that I've made it this far, I need to be able to tell him I'm number one.\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Bakugo counters again!\What's this?\Unlike before, it's working?!\You've been straining to keep your whole body rock-hard this whole time, right?\If you attack quickly in that state, response:	sooner or later, it'll start coming apart!
context: He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Bakugo counters again!\What's this?\Unlike before, it's working?!\You've been straining to keep your whole body rock-hard this whole time, right?\If you attack quickly in that state,\sooner or later, it'll start coming apart! response:	You little-
context: I set my sights on being a hero because I want to be like my brother.\Bakugo counters again!\What's this?\Unlike before, it's working?!\You've been straining to keep your whole body rock-hard this whole time, right?\If you attack quickly in that state,\sooner or later, it'll start coming apart!\You little- response:	The finishing blow!
context: Bakugo counters again!\What's this?\Unlike before, it's working?!\You've been straining to keep your whole body rock-hard this whole time, right?\If you attack quickly in that state,\sooner or later, it'll start coming apart!\You little-\The finishing blow! response:	Die...!
context: What's this?\Unlike before, it's working?!\You've been straining to keep your whole body rock-hard this whole time, right?\If you attack quickly in that state,\sooner or later, it'll start coming apart!\You little-\The finishing blow!\Die...! response:	Well, I understand why you wouldn't want a drawn-out match with me, though.
context: Unlike before, it's working?!\You've been straining to keep your whole body rock-hard this whole time, right?\If you attack quickly in that state,\sooner or later, it'll start coming apart!\You little-\The finishing blow!\Die...!\Well, I understand why you wouldn't want a drawn-out match with me, though. response:	Kirishima is immobilized!
context: You've been straining to keep your whole body rock-hard this whole time, right?\If you attack quickly in that state,\sooner or later, it'll start coming apart!\You little-\The finishing blow!\Die...!\Well, I understand why you wouldn't want a drawn-out match with me, though.\Kirishima is immobilized! response:	Bakugo wins!
context: If you attack quickly in that state,\sooner or later, it'll start coming apart!\You little-\The finishing blow!\Die...!\Well, I understand why you wouldn't want a drawn-out match with me, though.\Kirishima is immobilized!\Bakugo wins! response:	You idiot!
context: sooner or later, it'll start coming apart!\You little-\The finishing blow!\Die...!\Well, I understand why you wouldn't want a drawn-out match with me, though.\Kirishima is immobilized!\Bakugo wins!\You idiot! response:	You didn't have enough guts, Kirishima!
context: You little-\The finishing blow!\Die...!\Well, I understand why you wouldn't want a drawn-out match with me, though.\Kirishima is immobilized!\Bakugo wins!\You idiot!\You didn't have enough guts, Kirishima! response:	With that vicious carpet-bombing, Bakugo advances to the third round!
context: The finishing blow!\Die...!\Well, I understand why you wouldn't want a drawn-out match with me, though.\Kirishima is immobilized!\Bakugo wins!\You idiot!\You didn't have enough guts, Kirishima!\With that vicious carpet-bombing, Bakugo advances to the third round! response:	And that completes the final four!
context: Die...!\Well, I understand why you wouldn't want a drawn-out match with me, though.\Kirishima is immobilized!\Bakugo wins!\You idiot!\You didn't have enough guts, Kirishima!\With that vicious carpet-bombing, Bakugo advances to the third round!\And that completes the final four! response:	All right. I'm off!
context: Well, I understand why you wouldn't want a drawn-out match with me, though.\Kirishima is immobilized!\Bakugo wins!\You idiot!\You didn't have enough guts, Kirishima!\With that vicious carpet-bombing, Bakugo advances to the third round!\And that completes the final four!\All right. I'm off! response:	Deku!
context: Kirishima is immobilized!\Bakugo wins!\You idiot!\You didn't have enough guts, Kirishima!\With that vicious carpet-bombing, Bakugo advances to the third round!\And that completes the final four!\All right. I'm off!\Deku! response:	Midoriya, your surgery went well?
context: Bakugo wins!\You idiot!\You didn't have enough guts, Kirishima!\With that vicious carpet-bombing, Bakugo advances to the third round!\And that completes the final four!\All right. I'm off!\Deku!\Midoriya, your surgery went well? response:	Yeah.
context: You idiot!\You didn't have enough guts, Kirishima!\With that vicious carpet-bombing, Bakugo advances to the third round!\And that completes the final four!\All right. I'm off!\Deku!\Midoriya, your surgery went well?\Yeah. response:	She healed me enough to walk.
context: You didn't have enough guts, Kirishima!\With that vicious carpet-bombing, Bakugo advances to the third round!\And that completes the final four!\All right. I'm off!\Deku!\Midoriya, your surgery went well?\Yeah.\She healed me enough to walk. response:	Shouldn't you be resting...?
context: With that vicious carpet-bombing, Bakugo advances to the third round!\And that completes the final four!\All right. I'm off!\Deku!\Midoriya, your surgery went well?\Yeah.\She healed me enough to walk.\Shouldn't you be resting...? response:	I want to properly watch-
context: And that completes the final four!\All right. I'm off!\Deku!\Midoriya, your surgery went well?\Yeah.\She healed me enough to walk.\Shouldn't you be resting...?\I want to properly watch- response:	the efforts of everyone who wants to become a hero.
context: All right. I'm off!\Deku!\Midoriya, your surgery went well?\Yeah.\She healed me enough to walk.\Shouldn't you be resting...?\I want to properly watch-\the efforts of everyone who wants to become a hero. response:	The first match of the semifinals!
context: Deku!\Midoriya, your surgery went well?\Yeah.\She healed me enough to walk.\Shouldn't you be resting...?\I want to properly watch-\the efforts of everyone who wants to become a hero.\The first match of the semifinals! response:	With both of them from hero families, it's a battle of the elites!
context: Midoriya, your surgery went well?\Yeah.\She healed me enough to walk.\Shouldn't you be resting...?\I want to properly watch-\the efforts of everyone who wants to become a hero.\The first match of the semifinals!\With both of them from hero families, it's a battle of the elites! response:	From the hero course, it's Tenya Iida!
context: Yeah.\She healed me enough to walk.\Shouldn't you be resting...?\I want to properly watch-\the efforts of everyone who wants to become a hero.\The first match of the semifinals!\With both of them from hero families, it's a battle of the elites!\From the hero course, it's Tenya Iida! response:	Versus-
context: She healed me enough to walk.\Shouldn't you be resting...?\I want to properly watch-\the efforts of everyone who wants to become a hero.\The first match of the semifinals!\With both of them from hero families, it's a battle of the elites!\From the hero course, it's Tenya Iida!\Versus- response:	Also from the hero course, Shoto Todoroki!
context: Shouldn't you be resting...?\I want to properly watch-\the efforts of everyone who wants to become a hero.\The first match of the semifinals!\With both of them from hero families, it's a battle of the elites!\From the hero course, it's Tenya Iida!\Versus-\Also from the hero course, Shoto Todoroki! response:	I can't negate the attacks like Midoriya did!
context: I want to properly watch-\the efforts of everyone who wants to become a hero.\The first match of the semifinals!\With both of them from hero families, it's a battle of the elites!\From the hero course, it's Tenya Iida!\Versus-\Also from the hero course, Shoto Todoroki!\I can't negate the attacks like Midoriya did! response:	If he can use his flames now, then he has more options.
context: the efforts of everyone who wants to become a hero.\The first match of the semifinals!\With both of them from hero families, it's a battle of the elites!\From the hero course, it's Tenya Iida!\Versus-\Also from the hero course, Shoto Todoroki!\I can't negate the attacks like Midoriya did!\If he can use his flames now, then he has more options. response:	In that case...
context: The first match of the semifinals!\With both of them from hero families, it's a battle of the elites!\From the hero course, it's Tenya Iida!\Versus-\Also from the hero course, Shoto Todoroki!\I can't negate the attacks like Midoriya did!\If he can use his flames now, then he has more options.\In that case... response:	Shoto Todoroki Tenya Iida
context: With both of them from hero families, it's a battle of the elites!\From the hero course, it's Tenya Iida!\Versus-\Also from the hero course, Shoto Todoroki!\I can't negate the attacks like Midoriya did!\If he can use his flames now, then he has more options.\In that case...\Shoto Todoroki Tenya Iida response:	Start!
context: From the hero course, it's Tenya Iida!\Versus-\Also from the hero course, Shoto Todoroki!\I can't negate the attacks like Midoriya did!\If he can use his flames now, then he has more options.\In that case...\Shoto Todoroki Tenya Iida\Start! response:	He's not planning on giving me any time, huh?
context: Versus-\Also from the hero course, Shoto Todoroki!\I can't negate the attacks like Midoriya did!\If he can use his flames now, then he has more options.\In that case...\Shoto Todoroki Tenya Iida\Start!\He's not planning on giving me any time, huh? response:	Oh, Iida's been surrounded!
context: Also from the hero course, Shoto Todoroki!\I can't negate the attacks like Midoriya did!\If he can use his flames now, then he has more options.\In that case...\Shoto Todoroki Tenya Iida\Start!\He's not planning on giving me any time, huh?\Oh, Iida's been surrounded! response:	Todoroki's going in for the win right away!
context: I can't negate the attacks like Midoriya did!\If he can use his flames now, then he has more options.\In that case...\Shoto Todoroki Tenya Iida\Start!\He's not planning on giving me any time, huh?\Oh, Iida's been surrounded!\Todoroki's going in for the win right away! response:	Wow, a standing long jump!
context: If he can use his flames now, then he has more options.\In that case...\Shoto Todoroki Tenya Iida\Start!\He's not planning on giving me any time, huh?\Oh, Iida's been surrounded!\Todoroki's going in for the win right away!\Wow, a standing long jump! response:	Recipro...
context: In that case...\Shoto Todoroki Tenya Iida\Start!\He's not planning on giving me any time, huh?\Oh, Iida's been surrounded!\Todoroki's going in for the win right away!\Wow, a standing long jump!\Recipro... response:	I have about ten seconds before my engines stall!
context: Shoto Todoroki Tenya Iida\Start!\He's not planning on giving me any time, huh?\Oh, Iida's been surrounded!\Todoroki's going in for the win right away!\Wow, a standing long jump!\Recipro...\I have about ten seconds before my engines stall! response:	I have to win it in that time!
context: Start!\He's not planning on giving me any time, huh?\Oh, Iida's been surrounded!\Todoroki's going in for the win right away!\Wow, a standing long jump!\Recipro...\I have about ten seconds before my engines stall!\I have to win it in that time! response:	A direct hit!
context: He's not planning on giving me any time, huh?\Oh, Iida's been surrounded!\Todoroki's going in for the win right away!\Wow, a standing long jump!\Recipro...\I have about ten seconds before my engines stall!\I have to win it in that time!\A direct hit! response:	He got a pretty heavy hit in!
context: Oh, Iida's been surrounded!\Todoroki's going in for the win right away!\Wow, a standing long jump!\Recipro...\I have about ten seconds before my engines stall!\I have to win it in that time!\A direct hit!\He got a pretty heavy hit in! response:	That kick was way too fast!
context: Todoroki's going in for the win right away!\Wow, a standing long jump!\Recipro...\I have about ten seconds before my engines stall!\I have to win it in that time!\A direct hit!\He got a pretty heavy hit in!\That kick was way too fast! response:	Eight seconds left! I can do it!
context: Wow, a standing long jump!\Recipro...\I have about ten seconds before my engines stall!\I have to win it in that time!\A direct hit!\He got a pretty heavy hit in!\That kick was way too fast!\Eight seconds left! I can do it! response:	I'll throw him out of bounds like thi-
context: Recipro...\I have about ten seconds before my engines stall!\I have to win it in that time!\A direct hit!\He got a pretty heavy hit in!\That kick was way too fast!\Eight seconds left! I can do it!\I'll throw him out of bounds like thi- response:	My muffler's plugged...?!
context: I have about ten seconds before my engines stall!\I have to win it in that time!\A direct hit!\He got a pretty heavy hit in!\That kick was way too fast!\Eight seconds left! I can do it!\I'll throw him out of bounds like thi-\My muffler's plugged...?! response:	When did that happen?
context: I have to win it in that time!\A direct hit!\He got a pretty heavy hit in!\That kick was way too fast!\Eight seconds left! I can do it!\I'll throw him out of bounds like thi-\My muffler's plugged...?!\When did that happen? response:	During the kick...
