context: No one here is running half-assed! response:	Excuse me.
context: Huh? What? It's not everyone?\It's everyone. We'll all go.\Running isn't everything.\Running in tomorrow's track meet will be Musa,\Shindo,\Jota, Joji,\and Yuki.\Those five. response:	The remaining members will be going to the meet, as well.
context: It's everyone. We'll all go.\Running isn't everything.\Running in tomorrow's track meet will be Musa,\Shindo,\Jota, Joji,\and Yuki.\Those five.\The remaining members will be going to the meet, as well. response:	Kikui University
context: Running isn't everything.\Running in tomorrow's track meet will be Musa,\Shindo,\Jota, Joji,\and Yuki.\Those five.\The remaining members will be going to the meet, as well.\Kikui University response:	42nd Kikui University Track and Field Meet
context: Running in tomorrow's track meet will be Musa,\Shindo,\Jota, Joji,\and Yuki.\Those five.\The remaining members will be going to the meet, as well.\Kikui University\42nd Kikui University Track and Field Meet response:	No unauthorized access to field Kikui University
context: Shindo,\Jota, Joji,\and Yuki.\Those five.\The remaining members will be going to the meet, as well.\Kikui University\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University response:	They're not here.
context: Jota, Joji,\and Yuki.\Those five.\The remaining members will be going to the meet, as well.\Kikui University\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\They're not here. response:	What's that strong team called?
context: and Yuki.\Those five.\The remaining members will be going to the meet, as well.\Kikui University\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\They're not here.\What's that strong team called? response:	Rikudo Uni.
context: Those five.\The remaining members will be going to the meet, as well.\Kikui University\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\They're not here.\What's that strong team called?\Rikudo Uni. response:	That's it.
context: The remaining members will be going to the meet, as well.\Kikui University\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\They're not here.\What's that strong team called?\Rikudo Uni.\That's it. response:	I didn't notice at the Tokyo Sport track meet,
context: Kikui University\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\They're not here.\What's that strong team called?\Rikudo Uni.\That's it.\I didn't notice at the Tokyo Sport track meet, response:	but matching uniforms are nice.
context: 42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\They're not here.\What's that strong team called?\Rikudo Uni.\That's it.\I didn't notice at the Tokyo Sport track meet,\but matching uniforms are nice. response:	When a bunch of guys wearing the same color uniform are grouped up together,
context: No unauthorized access to field Kikui University\They're not here.\What's that strong team called?\Rikudo Uni.\That's it.\I didn't notice at the Tokyo Sport track meet,\but matching uniforms are nice.\When a bunch of guys wearing the same color uniform are grouped up together, response:	it makes them look really strong.
context: They're not here.\What's that strong team called?\Rikudo Uni.\That's it.\I didn't notice at the Tokyo Sport track meet,\but matching uniforms are nice.\When a bunch of guys wearing the same color uniform are grouped up together,\it makes them look really strong. response:	Yeah. And Rikudo's pure white uniforms enhance the effect.
context: What's that strong team called?\Rikudo Uni.\That's it.\I didn't notice at the Tokyo Sport track meet,\but matching uniforms are nice.\When a bunch of guys wearing the same color uniform are grouped up together,\it makes them look really strong.\Yeah. And Rikudo's pure white uniforms enhance the effect. response:	It's like they're telling everyone how strong they are.
context: Rikudo Uni.\That's it.\I didn't notice at the Tokyo Sport track meet,\but matching uniforms are nice.\When a bunch of guys wearing the same color uniform are grouped up together,\it makes them look really strong.\Yeah. And Rikudo's pure white uniforms enhance the effect.\It's like they're telling everyone how strong they are. response:	In contrast...
context: That's it.\I didn't notice at the Tokyo Sport track meet,\but matching uniforms are nice.\When a bunch of guys wearing the same color uniform are grouped up together,\it makes them look really strong.\Yeah. And Rikudo's pure white uniforms enhance the effect.\It's like they're telling everyone how strong they are.\In contrast... response:	When we're not wearing our uniforms, you can't tell who we are.
context: I didn't notice at the Tokyo Sport track meet,\but matching uniforms are nice.\When a bunch of guys wearing the same color uniform are grouped up together,\it makes them look really strong.\Yeah. And Rikudo's pure white uniforms enhance the effect.\It's like they're telling everyone how strong they are.\In contrast...\When we're not wearing our uniforms, you can't tell who we are. response:	Yeah.
context: but matching uniforms are nice.\When a bunch of guys wearing the same color uniform are grouped up together,\it makes them look really strong.\Yeah. And Rikudo's pure white uniforms enhance the effect.\It's like they're telling everyone how strong they are.\In contrast...\When we're not wearing our uniforms, you can't tell who we are.\Yeah. response:	You five, start jogging.
context: When a bunch of guys wearing the same color uniform are grouped up together,\it makes them look really strong.\Yeah. And Rikudo's pure white uniforms enhance the effect.\It's like they're telling everyone how strong they are.\In contrast...\When we're not wearing our uniforms, you can't tell who we are.\Yeah.\You five, start jogging. response:	It won't be as hot as the weather report said.
context: it makes them look really strong.\Yeah. And Rikudo's pure white uniforms enhance the effect.\It's like they're telling everyone how strong they are.\In contrast...\When we're not wearing our uniforms, you can't tell who we are.\Yeah.\You five, start jogging.\It won't be as hot as the weather report said. response:	We've got a chance.
context: Yeah. And Rikudo's pure white uniforms enhance the effect.\It's like they're telling everyone how strong they are.\In contrast...\When we're not wearing our uniforms, you can't tell who we are.\Yeah.\You five, start jogging.\It won't be as hot as the weather report said.\We've got a chance. response:	42nd Kikui University Track and Field Meet
context: It's like they're telling everyone how strong they are.\In contrast...\When we're not wearing our uniforms, you can't tell who we are.\Yeah.\You five, start jogging.\It won't be as hot as the weather report said.\We've got a chance.\42nd Kikui University Track and Field Meet response:	No unauthorized access to field Kikui University
context: In contrast...\When we're not wearing our uniforms, you can't tell who we are.\Yeah.\You five, start jogging.\It won't be as hot as the weather report said.\We've got a chance.\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University response:	All athletes participating in the 5000m race,
context: When we're not wearing our uniforms, you can't tell who we are.\Yeah.\You five, start jogging.\It won't be as hot as the weather report said.\We've got a chance.\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\All athletes participating in the 5000m race, response:	please gather at the starting line.
context: Yeah.\You five, start jogging.\It won't be as hot as the weather report said.\We've got a chance.\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\All athletes participating in the 5000m race,\please gather at the starting line. response:	All athletes participating in the 5000m race,
context: You five, start jogging.\It won't be as hot as the weather report said.\We've got a chance.\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\All athletes participating in the 5000m race,\please gather at the starting line.\All athletes participating in the 5000m race, response:	please gather at the starting line.
context: It won't be as hot as the weather report said.\We've got a chance.\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\All athletes participating in the 5000m race,\please gather at the starting line.\All athletes participating in the 5000m race,\please gather at the starting line. response:	It's our second time, but I'm still nervous.
context: We've got a chance.\42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\All athletes participating in the 5000m race,\please gather at the starting line.\All athletes participating in the 5000m race,\please gather at the starting line.\It's our second time, but I'm still nervous. response:	It's because it's our second time.
context: 42nd Kikui University Track and Field Meet\No unauthorized access to field Kikui University\All athletes participating in the 5000m race,\please gather at the starting line.\All athletes participating in the 5000m race,\please gather at the starting line.\It's our second time, but I'm still nervous.\It's because it's our second time. response:	Practice should be just as hard.
context: No unauthorized access to field Kikui University\All athletes participating in the 5000m race,\please gather at the starting line.\All athletes participating in the 5000m race,\please gather at the starting line.\It's our second time, but I'm still nervous.\It's because it's our second time.\Practice should be just as hard. response:	Will we ever get used to this?
context: All athletes participating in the 5000m race,\please gather at the starting line.\All athletes participating in the 5000m race,\please gather at the starting line.\It's our second time, but I'm still nervous.\It's because it's our second time.\Practice should be just as hard.\Will we ever get used to this? response:	We probably shouldn't.
context: please gather at the starting line.\All athletes participating in the 5000m race,\please gather at the starting line.\It's our second time, but I'm still nervous.\It's because it's our second time.\Practice should be just as hard.\Will we ever get used to this?\We probably shouldn't. response:	Nicely said.
context: All athletes participating in the 5000m race,\please gather at the starting line.\It's our second time, but I'm still nervous.\It's because it's our second time.\Practice should be just as hard.\Will we ever get used to this?\We probably shouldn't.\Nicely said. response:	I'm taking the inside.
context: please gather at the starting line.\It's our second time, but I'm still nervous.\It's because it's our second time.\Practice should be just as hard.\Will we ever get used to this?\We probably shouldn't.\Nicely said.\I'm taking the inside. response:	Then I'll create space in front of you.
context: It's our second time, but I'm still nervous.\It's because it's our second time.\Practice should be just as hard.\Will we ever get used to this?\We probably shouldn't.\Nicely said.\I'm taking the inside.\Then I'll create space in front of you. response:	Pass me if you think you've got it.
context: It's because it's our second time.\Practice should be just as hard.\Will we ever get used to this?\We probably shouldn't.\Nicely said.\I'm taking the inside.\Then I'll create space in front of you.\Pass me if you think you've got it. response:	Okay.
context: Practice should be just as hard.\Will we ever get used to this?\We probably shouldn't.\Nicely said.\I'm taking the inside.\Then I'll create space in front of you.\Pass me if you think you've got it.\Okay. response:	This kind of feels like a game.
context: Will we ever get used to this?\We probably shouldn't.\Nicely said.\I'm taking the inside.\Then I'll create space in front of you.\Pass me if you think you've got it.\Okay.\This kind of feels like a game. response:	Huh? Isn't this a game?
context: We probably shouldn't.\Nicely said.\I'm taking the inside.\Then I'll create space in front of you.\Pass me if you think you've got it.\Okay.\This kind of feels like a game.\Huh? Isn't this a game? response:	No, like a soccer game.
context: Nicely said.\I'm taking the inside.\Then I'll create space in front of you.\Pass me if you think you've got it.\Okay.\This kind of feels like a game.\Huh? Isn't this a game?\No, like a soccer game. response:	Oh, yeah. We used to swap positions all the time.
context: I'm taking the inside.\Then I'll create space in front of you.\Pass me if you think you've got it.\Okay.\This kind of feels like a game.\Huh? Isn't this a game?\No, like a soccer game.\Oh, yeah. We used to swap positions all the time. response:	Our opponents couldn't tell us apart.
context: Then I'll create space in front of you.\Pass me if you think you've got it.\Okay.\This kind of feels like a game.\Huh? Isn't this a game?\No, like a soccer game.\Oh, yeah. We used to swap positions all the time.\Our opponents couldn't tell us apart. response:	I think I like games.
context: Pass me if you think you've got it.\Okay.\This kind of feels like a game.\Huh? Isn't this a game?\No, like a soccer game.\Oh, yeah. We used to swap positions all the time.\Our opponents couldn't tell us apart.\I think I like games. response:	Me, too.
context: Okay.\This kind of feels like a game.\Huh? Isn't this a game?\No, like a soccer game.\Oh, yeah. We used to swap positions all the time.\Our opponents couldn't tell us apart.\I think I like games.\Me, too. response:	I'm pretty nervous.
context: This kind of feels like a game.\Huh? Isn't this a game?\No, like a soccer game.\Oh, yeah. We used to swap positions all the time.\Our opponents couldn't tell us apart.\I think I like games.\Me, too.\I'm pretty nervous. response:	They'll be fine. They're the elite team.
context: Huh? Isn't this a game?\No, like a soccer game.\Oh, yeah. We used to swap positions all the time.\Our opponents couldn't tell us apart.\I think I like games.\Me, too.\I'm pretty nervous.\They'll be fine. They're the elite team. response:	I'm running. I'm going to run.
context: No, like a soccer game.\Oh, yeah. We used to swap positions all the time.\Our opponents couldn't tell us apart.\I think I like games.\Me, too.\I'm pretty nervous.\They'll be fine. They're the elite team.\I'm running. I'm going to run. response:	I registered in advance.
context: Oh, yeah. We used to swap positions all the time.\Our opponents couldn't tell us apart.\I think I like games.\Me, too.\I'm pretty nervous.\They'll be fine. They're the elite team.\I'm running. I'm going to run.\I registered in advance. response:	Then what have I been training for?
context: Our opponents couldn't tell us apart.\I think I like games.\Me, too.\I'm pretty nervous.\They'll be fine. They're the elite team.\I'm running. I'm going to run.\I registered in advance.\Then what have I been training for? response:	To run at Hakone.
context: I think I like games.\Me, too.\I'm pretty nervous.\They'll be fine. They're the elite team.\I'm running. I'm going to run.\I registered in advance.\Then what have I been training for?\To run at Hakone. response:	You already got your official record.
context: Me, too.\I'm pretty nervous.\They'll be fine. They're the elite team.\I'm running. I'm going to run.\I registered in advance.\Then what have I been training for?\To run at Hakone.\You already got your official record. response:	That's not what this is about!
context: I'm pretty nervous.\They'll be fine. They're the elite team.\I'm running. I'm going to run.\I registered in advance.\Then what have I been training for?\To run at Hakone.\You already got your official record.\That's not what this is about! response:	You should understand better than anyone
context: They'll be fine. They're the elite team.\I'm running. I'm going to run.\I registered in advance.\Then what have I been training for?\To run at Hakone.\You already got your official record.\That's not what this is about!\You should understand better than anyone response:	how it feels not to be able to run when you want to!
context: I'm running. I'm going to run.\I registered in advance.\Then what have I been training for?\To run at Hakone.\You already got your official record.\That's not what this is about!\You should understand better than anyone\how it feels not to be able to run when you want to! response:	I do understand.
context: I registered in advance.\Then what have I been training for?\To run at Hakone.\You already got your official record.\That's not what this is about!\You should understand better than anyone\how it feels not to be able to run when you want to!\I do understand. response:	I know you want to run more than anything.
context: Then what have I been training for?\To run at Hakone.\You already got your official record.\That's not what this is about!\You should understand better than anyone\how it feels not to be able to run when you want to!\I do understand.\I know you want to run more than anything. response:	And that you don't see what running is about.
context: To run at Hakone.\You already got your official record.\That's not what this is about!\You should understand better than anyone\how it feels not to be able to run when you want to!\I do understand.\I know you want to run more than anything.\And that you don't see what running is about. response:	What?
context: You already got your official record.\That's not what this is about!\You should understand better than anyone\how it feels not to be able to run when you want to!\I do understand.\I know you want to run more than anything.\And that you don't see what running is about.\What? response:	Stop. Take in the view.
context: That's not what this is about!\You should understand better than anyone\how it feels not to be able to run when you want to!\I do understand.\I know you want to run more than anything.\And that you don't see what running is about.\What?\Stop. Take in the view. response:	Then slowly start running again.
context: You should understand better than anyone\how it feels not to be able to run when you want to!\I do understand.\I know you want to run more than anything.\And that you don't see what running is about.\What?\Stop. Take in the view.\Then slowly start running again. response:	Be like Prince and Nico-chan Senpai.
context: how it feels not to be able to run when you want to!\I do understand.\I know you want to run more than anything.\And that you don't see what running is about.\What?\Stop. Take in the view.\Then slowly start running again.\Be like Prince and Nico-chan Senpai. response:	Why?
context: I do understand.\I know you want to run more than anything.\And that you don't see what running is about.\What?\Stop. Take in the view.\Then slowly start running again.\Be like Prince and Nico-chan Senpai.\Why? response:	I don't think I've narrowly escaped.
context: I know you want to run more than anything.\And that you don't see what running is about.\What?\Stop. Take in the view.\Then slowly start running again.\Be like Prince and Nico-chan Senpai.\Why?\I don't think I've narrowly escaped. response:	If anything, you could say I've got no way out now.
context: And that you don't see what running is about.\What?\Stop. Take in the view.\Then slowly start running again.\Be like Prince and Nico-chan Senpai.\Why?\I don't think I've narrowly escaped.\If anything, you could say I've got no way out now. response:	That was...
context: What?\Stop. Take in the view.\Then slowly start running again.\Be like Prince and Nico-chan Senpai.\Why?\I don't think I've narrowly escaped.\If anything, you could say I've got no way out now.\That was... response:	Oh, right. I heard you said something to Prince.
context: Stop. Take in the view.\Then slowly start running again.\Be like Prince and Nico-chan Senpai.\Why?\I don't think I've narrowly escaped.\If anything, you could say I've got no way out now.\That was...\Oh, right. I heard you said something to Prince. response:	You're a first-year, right?
context: Then slowly start running again.\Be like Prince and Nico-chan Senpai.\Why?\I don't think I've narrowly escaped.\If anything, you could say I've got no way out now.\That was...\Oh, right. I heard you said something to Prince.\You're a first-year, right? response:	King.
context: Be like Prince and Nico-chan Senpai.\Why?\I don't think I've narrowly escaped.\If anything, you could say I've got no way out now.\That was...\Oh, right. I heard you said something to Prince.\You're a first-year, right?\King. response:	That was...
context: Why?\I don't think I've narrowly escaped.\If anything, you could say I've got no way out now.\That was...\Oh, right. I heard you said something to Prince.\You're a first-year, right?\King.\That was... response:	It was the heat of the moment.
context: I don't think I've narrowly escaped.\If anything, you could say I've got no way out now.\That was...\Oh, right. I heard you said something to Prince.\You're a first-year, right?\King.\That was...\It was the heat of the moment. response:	So you take it back.
context: If anything, you could say I've got no way out now.\That was...\Oh, right. I heard you said something to Prince.\You're a first-year, right?\King.\That was...\It was the heat of the moment.\So you take it back. response:	I don't. I'm taking this seriously in my own way.
context: That was...\Oh, right. I heard you said something to Prince.\You're a first-year, right?\King.\That was...\It was the heat of the moment.\So you take it back.\I don't. I'm taking this seriously in my own way. response:	You finally said what's really on your mind.
context: Oh, right. I heard you said something to Prince.\You're a first-year, right?\King.\That was...\It was the heat of the moment.\So you take it back.\I don't. I'm taking this seriously in my own way.\You finally said what's really on your mind. response:	I'm not blaming you.
context: You're a first-year, right?\King.\That was...\It was the heat of the moment.\So you take it back.\I don't. I'm taking this seriously in my own way.\You finally said what's really on your mind.\I'm not blaming you. response:	I can't believe I'm watching a track meet.
context: King.\That was...\It was the heat of the moment.\So you take it back.\I don't. I'm taking this seriously in my own way.\You finally said what's really on your mind.\I'm not blaming you.\I can't believe I'm watching a track meet. response:	I wouldn't have imagined this a month ago.
context: That was...\It was the heat of the moment.\So you take it back.\I don't. I'm taking this seriously in my own way.\You finally said what's really on your mind.\I'm not blaming you.\I can't believe I'm watching a track meet.\I wouldn't have imagined this a month ago. response:	Watching them from here makes you realize how fast they are.
context: It was the heat of the moment.\So you take it back.\I don't. I'm taking this seriously in my own way.\You finally said what's really on your mind.\I'm not blaming you.\I can't believe I'm watching a track meet.\I wouldn't have imagined this a month ago.\Watching them from here makes you realize how fast they are. response:	To achieve an official record, your pace for each lap needs to be...
context: So you take it back.\I don't. I'm taking this seriously in my own way.\You finally said what's really on your mind.\I'm not blaming you.\I can't believe I'm watching a track meet.\I wouldn't have imagined this a month ago.\Watching them from here makes you realize how fast they are.\To achieve an official record, your pace for each lap needs to be... response:	Faster than 1:19.
context: I don't. I'm taking this seriously in my own way.\You finally said what's really on your mind.\I'm not blaming you.\I can't believe I'm watching a track meet.\I wouldn't have imagined this a month ago.\Watching them from here makes you realize how fast they are.\To achieve an official record, your pace for each lap needs to be...\Faster than 1:19. response:	Last time, running took so much of my energy
context: You finally said what's really on your mind.\I'm not blaming you.\I can't believe I'm watching a track meet.\I wouldn't have imagined this a month ago.\Watching them from here makes you realize how fast they are.\To achieve an official record, your pace for each lap needs to be...\Faster than 1:19.\Last time, running took so much of my energy response:	that I couldn't afford to worry about my time.
context: I'm not blaming you.\I can't believe I'm watching a track meet.\I wouldn't have imagined this a month ago.\Watching them from here makes you realize how fast they are.\To achieve an official record, your pace for each lap needs to be...\Faster than 1:19.\Last time, running took so much of my energy\that I couldn't afford to worry about my time. response:	They're starting to spread out.
context: I can't believe I'm watching a track meet.\I wouldn't have imagined this a month ago.\Watching them from here makes you realize how fast they are.\To achieve an official record, your pace for each lap needs to be...\Faster than 1:19.\Last time, running took so much of my energy\that I couldn't afford to worry about my time.\They're starting to spread out. response:	Wow! The twins are hanging on!
context: I wouldn't have imagined this a month ago.\Watching them from here makes you realize how fast they are.\To achieve an official record, your pace for each lap needs to be...\Faster than 1:19.\Last time, running took so much of my energy\that I couldn't afford to worry about my time.\They're starting to spread out.\Wow! The twins are hanging on! response:	They might actually do it.
context: Watching them from here makes you realize how fast they are.\To achieve an official record, your pace for each lap needs to be...\Faster than 1:19.\Last time, running took so much of my energy\that I couldn't afford to worry about my time.\They're starting to spread out.\Wow! The twins are hanging on!\They might actually do it. response:	Musa, this is the moment of truth!
context: To achieve an official record, your pace for each lap needs to be...\Faster than 1:19.\Last time, running took so much of my energy\that I couldn't afford to worry about my time.\They're starting to spread out.\Wow! The twins are hanging on!\They might actually do it.\Musa, this is the moment of truth! response:	Calm down and hold that pace!
context: Faster than 1:19.\Last time, running took so much of my energy\that I couldn't afford to worry about my time.\They're starting to spread out.\Wow! The twins are hanging on!\They might actually do it.\Musa, this is the moment of truth!\Calm down and hold that pace! response:	How many seconds per lap did you say?
context: Last time, running took so much of my energy\that I couldn't afford to worry about my time.\They're starting to spread out.\Wow! The twins are hanging on!\They might actually do it.\Musa, this is the moment of truth!\Calm down and hold that pace!\How many seconds per lap did you say? response:	Huh? Uh, one minute... um...
context: that I couldn't afford to worry about my time.\They're starting to spread out.\Wow! The twins are hanging on!\They might actually do it.\Musa, this is the moment of truth!\Calm down and hold that pace!\How many seconds per lap did you say?\Huh? Uh, one minute... um... response:	I forgot.
context: They're starting to spread out.\Wow! The twins are hanging on!\They might actually do it.\Musa, this is the moment of truth!\Calm down and hold that pace!\How many seconds per lap did you say?\Huh? Uh, one minute... um...\I forgot. response:	Hey, you were smug when you immediately answered earlier!
context: Wow! The twins are hanging on!\They might actually do it.\Musa, this is the moment of truth!\Calm down and hold that pace!\How many seconds per lap did you say?\Huh? Uh, one minute... um...\I forgot.\Hey, you were smug when you immediately answered earlier! response:	Shut up! It's your fault for not remembering!
context: They might actually do it.\Musa, this is the moment of truth!\Calm down and hold that pace!\How many seconds per lap did you say?\Huh? Uh, one minute... um...\I forgot.\Hey, you were smug when you immediately answered earlier!\Shut up! It's your fault for not remembering! response:	Go! Go!
context: Musa, this is the moment of truth!\Calm down and hold that pace!\How many seconds per lap did you say?\Huh? Uh, one minute... um...\I forgot.\Hey, you were smug when you immediately answered earlier!\Shut up! It's your fault for not remembering!\Go! Go! response:	Aotake!
context: Calm down and hold that pace!\How many seconds per lap did you say?\Huh? Uh, one minute... um...\I forgot.\Hey, you were smug when you immediately answered earlier!\Shut up! It's your fault for not remembering!\Go! Go!\Aotake! response:	You can do it!
context: How many seconds per lap did you say?\Huh? Uh, one minute... um...\I forgot.\Hey, you were smug when you immediately answered earlier!\Shut up! It's your fault for not remembering!\Go! Go!\Aotake!\You can do it! response:	Go!
context: Huh? Uh, one minute... um...\I forgot.\Hey, you were smug when you immediately answered earlier!\Shut up! It's your fault for not remembering!\Go! Go!\Aotake!\You can do it!\Go! response:	Aotake!
context: I forgot.\Hey, you were smug when you immediately answered earlier!\Shut up! It's your fault for not remembering!\Go! Go!\Aotake!\You can do it!\Go!\Aotake! response:	Keep it up! Keep it up!
context: Hey, you were smug when you immediately answered earlier!\Shut up! It's your fault for not remembering!\Go! Go!\Aotake!\You can do it!\Go!\Aotake!\Keep it up! Keep it up! response:	Final lap!
context: Shut up! It's your fault for not remembering!\Go! Go!\Aotake!\You can do it!\Go!\Aotake!\Keep it up! Keep it up!\Final lap! response:	Final lap!
context: Go! Go!\Aotake!\You can do it!\Go!\Aotake!\Keep it up! Keep it up!\Final lap!\Final lap! response:	Final lap!
context: Aotake!\You can do it!\Go!\Aotake!\Keep it up! Keep it up!\Final lap!\Final lap!\Final lap! response:	Final lap!
context: You can do it!\Go!\Aotake!\Keep it up! Keep it up!\Final lap!\Final lap!\Final lap!\Final lap! response:	Go! Go! Go!
context: Go!\Aotake!\Keep it up! Keep it up!\Final lap!\Final lap!\Final lap!\Final lap!\Go! Go! Go! response:	Keep it up!
context: Aotake!\Keep it up! Keep it up!\Final lap!\Final lap!\Final lap!\Final lap!\Go! Go! Go!\Keep it up! response:	That was close.
context: Keep it up! Keep it up!\Final lap!\Final lap!\Final lap!\Final lap!\Go! Go! Go!\Keep it up!\That was close. response:	I thought you were gonna make it.
context: Final lap!\Final lap!\Final lap!\Final lap!\Go! Go! Go!\Keep it up!\That was close.\I thought you were gonna make it. response:	You're unbelievable.
context: Final lap!\Final lap!\Final lap!\Go! Go! Go!\Keep it up!\That was close.\I thought you were gonna make it.\You're unbelievable. response:	Wasn't that your best time, Yuki?
context: Final lap!\Final lap!\Go! Go! Go!\Keep it up!\That was close.\I thought you were gonna make it.\You're unbelievable.\Wasn't that your best time, Yuki? response:	You didn't achieve an official result, but it wasn't bad, at all.
context: Final lap!\Go! Go! Go!\Keep it up!\That was close.\I thought you were gonna make it.\You're unbelievable.\Wasn't that your best time, Yuki?\You didn't achieve an official result, but it wasn't bad, at all. response:	When I think about how I have to run again,
context: Go! Go! Go!\Keep it up!\That was close.\I thought you were gonna make it.\You're unbelievable.\Wasn't that your best time, Yuki?\You didn't achieve an official result, but it wasn't bad, at all.\When I think about how I have to run again, response:	it makes me want to puke.
context: Keep it up!\That was close.\I thought you were gonna make it.\You're unbelievable.\Wasn't that your best time, Yuki?\You didn't achieve an official result, but it wasn't bad, at all.\When I think about how I have to run again,\it makes me want to puke. response:	That was close.
context: That was close.\I thought you were gonna make it.\You're unbelievable.\Wasn't that your best time, Yuki?\You didn't achieve an official result, but it wasn't bad, at all.\When I think about how I have to run again,\it makes me want to puke.\That was close. response:	I waited too long during the middle.
context: I thought you were gonna make it.\You're unbelievable.\Wasn't that your best time, Yuki?\You didn't achieve an official result, but it wasn't bad, at all.\When I think about how I have to run again,\it makes me want to puke.\That was close.\I waited too long during the middle. response:	I could've gone sooner.
context: You're unbelievable.\Wasn't that your best time, Yuki?\You didn't achieve an official result, but it wasn't bad, at all.\When I think about how I have to run again,\it makes me want to puke.\That was close.\I waited too long during the middle.\I could've gone sooner. response:	I realized I'm not someone who can win a sprint.
context: Wasn't that your best time, Yuki?\You didn't achieve an official result, but it wasn't bad, at all.\When I think about how I have to run again,\it makes me want to puke.\That was close.\I waited too long during the middle.\I could've gone sooner.\I realized I'm not someone who can win a sprint. response:	You sound like a long-distance runner.
context: You didn't achieve an official result, but it wasn't bad, at all.\When I think about how I have to run again,\it makes me want to puke.\That was close.\I waited too long during the middle.\I could've gone sooner.\I realized I'm not someone who can win a sprint.\You sound like a long-distance runner. response:	I laughed.
context: When I think about how I have to run again,\it makes me want to puke.\That was close.\I waited too long during the middle.\I could've gone sooner.\I realized I'm not someone who can win a sprint.\You sound like a long-distance runner.\I laughed. response:	Me, too.
context: it makes me want to puke.\That was close.\I waited too long during the middle.\I could've gone sooner.\I realized I'm not someone who can win a sprint.\You sound like a long-distance runner.\I laughed.\Me, too. response:	During our final lap, Haiji...
context: That was close.\I waited too long during the middle.\I could've gone sooner.\I realized I'm not someone who can win a sprint.\You sound like a long-distance runner.\I laughed.\Me, too.\During our final lap, Haiji... response:	We couldn't hear what you were saying, but we saw you.
context: I waited too long during the middle.\I could've gone sooner.\I realized I'm not someone who can win a sprint.\You sound like a long-distance runner.\I laughed.\Me, too.\During our final lap, Haiji...\We couldn't hear what you were saying, but we saw you. response:	Just as we were thinking, Stop! It's embarrassing,
context: I could've gone sooner.\I realized I'm not someone who can win a sprint.\You sound like a long-distance runner.\I laughed.\Me, too.\During our final lap, Haiji...\We couldn't hear what you were saying, but we saw you.\Just as we were thinking, Stop! It's embarrassing, response:	we actually started running faster.
context: I realized I'm not someone who can win a sprint.\You sound like a long-distance runner.\I laughed.\Me, too.\During our final lap, Haiji...\We couldn't hear what you were saying, but we saw you.\Just as we were thinking, Stop! It's embarrassing,\we actually started running faster. response:	I know what you mean.
context: You sound like a long-distance runner.\I laughed.\Me, too.\During our final lap, Haiji...\We couldn't hear what you were saying, but we saw you.\Just as we were thinking, Stop! It's embarrassing,\we actually started running faster.\I know what you mean. response:	Support is really, truly essential.
context: I laughed.\Me, too.\During our final lap, Haiji...\We couldn't hear what you were saying, but we saw you.\Just as we were thinking, Stop! It's embarrassing,\we actually started running faster.\I know what you mean.\Support is really, truly essential. response:	Just thinking that these two were saying something to me
context: Me, too.\During our final lap, Haiji...\We couldn't hear what you were saying, but we saw you.\Just as we were thinking, Stop! It's embarrassing,\we actually started running faster.\I know what you mean.\Support is really, truly essential.\Just thinking that these two were saying something to me response:	made my vision blurry.
context: During our final lap, Haiji...\We couldn't hear what you were saying, but we saw you.\Just as we were thinking, Stop! It's embarrassing,\we actually started running faster.\I know what you mean.\Support is really, truly essential.\Just thinking that these two were saying something to me\made my vision blurry. response:	Thank you.
context: We couldn't hear what you were saying, but we saw you.\Just as we were thinking, Stop! It's embarrassing,\we actually started running faster.\I know what you mean.\Support is really, truly essential.\Just thinking that these two were saying something to me\made my vision blurry.\Thank you. response:	What?
context: Just as we were thinking, Stop! It's embarrassing,\we actually started running faster.\I know what you mean.\Support is really, truly essential.\Just thinking that these two were saying something to me\made my vision blurry.\Thank you.\What? response:	I could see you.
context: we actually started running faster.\I know what you mean.\Support is really, truly essential.\Just thinking that these two were saying something to me\made my vision blurry.\Thank you.\What?\I could see you. response:	You were saying something, weren't you?
context: I know what you mean.\Support is really, truly essential.\Just thinking that these two were saying something to me\made my vision blurry.\Thank you.\What?\I could see you.\You were saying something, weren't you? response:	Musa's got really good eyes.
context: Support is really, truly essential.\Just thinking that these two were saying something to me\made my vision blurry.\Thank you.\What?\I could see you.\You were saying something, weren't you?\Musa's got really good eyes. response:	Yeah. He can see Aotake from the top of the Skytree.
