context: Akemi-san has a kind of mysterious aura about her. response:	The reality of the destruction around us fills our mind
context: I found out who attacked Kuhouin Arisa.\Who was it?\Yuzuriha Inori. I have testimony from an eyewitness.\I see. So?\You're too hung up on Yuzuriha, Shu.\If we allow special treatment, we'll lose control of the students.\If an enforcer of the rules breaks them\Shut up! response:	Weren't you the one who kept the details of Void death from me?!
context: Who was it?\Yuzuriha Inori. I have testimony from an eyewitness.\I see. So?\You're too hung up on Yuzuriha, Shu.\If we allow special treatment, we'll lose control of the students.\If an enforcer of the rules breaks them\Shut up!\Weren't you the one who kept the details of Void death from me?! response:	You've kept just as many secrets as she has!
context: Yuzuriha Inori. I have testimony from an eyewitness.\I see. So?\You're too hung up on Yuzuriha, Shu.\If we allow special treatment, we'll lose control of the students.\If an enforcer of the rules breaks them\Shut up!\Weren't you the one who kept the details of Void death from me?!\You've kept just as many secrets as she has! response:	Stop it, Shu!
context: I see. So?\You're too hung up on Yuzuriha, Shu.\If we allow special treatment, we'll lose control of the students.\If an enforcer of the rules breaks them\Shut up!\Weren't you the one who kept the details of Void death from me?!\You've kept just as many secrets as she has!\Stop it, Shu! response:	Don't you get it? It was to keep everyone alive!
context: You're too hung up on Yuzuriha, Shu.\If we allow special treatment, we'll lose control of the students.\If an enforcer of the rules breaks them\Shut up!\Weren't you the one who kept the details of Void death from me?!\You've kept just as many secrets as she has!\Stop it, Shu!\Don't you get it? It was to keep everyone alive! response:	Liar!
context: If we allow special treatment, we'll lose control of the students.\If an enforcer of the rules breaks them\Shut up!\Weren't you the one who kept the details of Void death from me?!\You've kept just as many secrets as she has!\Stop it, Shu!\Don't you get it? It was to keep everyone alive!\Liar! response:	Don't try to brush this off.
context: If an enforcer of the rules breaks them\Shut up!\Weren't you the one who kept the details of Void death from me?!\You've kept just as many secrets as she has!\Stop it, Shu!\Don't you get it? It was to keep everyone alive!\Liar!\Don't try to brush this off. response:	You think I'm an idiot, so you're just trying to use me!
context: Shut up!\Weren't you the one who kept the details of Void death from me?!\You've kept just as many secrets as she has!\Stop it, Shu!\Don't you get it? It was to keep everyone alive!\Liar!\Don't try to brush this off.\You think I'm an idiot, so you're just trying to use me! response:	That's not it! I figured something out after what happened to Jun.
context: Weren't you the one who kept the details of Void death from me?!\You've kept just as many secrets as she has!\Stop it, Shu!\Don't you get it? It was to keep everyone alive!\Liar!\Don't try to brush this off.\You think I'm an idiot, so you're just trying to use me!\That's not it! I figured something out after what happened to Jun. response:	People make a lot of mistakes. Correcting those mistakes requires power.
context: You've kept just as many secrets as she has!\Stop it, Shu!\Don't you get it? It was to keep everyone alive!\Liar!\Don't try to brush this off.\You think I'm an idiot, so you're just trying to use me!\That's not it! I figured something out after what happened to Jun.\People make a lot of mistakes. Correcting those mistakes requires power. response:	That made me think that I needed to work with you!
context: Stop it, Shu!\Don't you get it? It was to keep everyone alive!\Liar!\Don't try to brush this off.\You think I'm an idiot, so you're just trying to use me!\That's not it! I figured something out after what happened to Jun.\People make a lot of mistakes. Correcting those mistakes requires power.\That made me think that I needed to work with you! response:	You expect me to believe that?
context: Don't you get it? It was to keep everyone alive!\Liar!\Don't try to brush this off.\You think I'm an idiot, so you're just trying to use me!\That's not it! I figured something out after what happened to Jun.\People make a lot of mistakes. Correcting those mistakes requires power.\That made me think that I needed to work with you!\You expect me to believe that? response:	I know you're planning to sell me out eventually,
context: Liar!\Don't try to brush this off.\You think I'm an idiot, so you're just trying to use me!\That's not it! I figured something out after what happened to Jun.\People make a lot of mistakes. Correcting those mistakes requires power.\That made me think that I needed to work with you!\You expect me to believe that?\I know you're planning to sell me out eventually, response:	Sugar!
context: Don't try to brush this off.\You think I'm an idiot, so you're just trying to use me!\That's not it! I figured something out after what happened to Jun.\People make a lot of mistakes. Correcting those mistakes requires power.\That made me think that I needed to work with you!\You expect me to believe that?\I know you're planning to sell me out eventually,\Sugar! response:	Yes, I'm sure I sound like I'm lying.
context: You think I'm an idiot, so you're just trying to use me!\That's not it! I figured something out after what happened to Jun.\People make a lot of mistakes. Correcting those mistakes requires power.\That made me think that I needed to work with you!\You expect me to believe that?\I know you're planning to sell me out eventually,\Sugar!\Yes, I'm sure I sound like I'm lying. response:	I suppose these are the consequences of my actions...
context: That's not it! I figured something out after what happened to Jun.\People make a lot of mistakes. Correcting those mistakes requires power.\That made me think that I needed to work with you!\You expect me to believe that?\I know you're planning to sell me out eventually,\Sugar!\Yes, I'm sure I sound like I'm lying.\I suppose these are the consequences of my actions... response:	Get out of here, Yahiro.
context: People make a lot of mistakes. Correcting those mistakes requires power.\That made me think that I needed to work with you!\You expect me to believe that?\I know you're planning to sell me out eventually,\Sugar!\Yes, I'm sure I sound like I'm lying.\I suppose these are the consequences of my actions...\Get out of here, Yahiro. response:	You never thought of us as friends in the first place.
context: That made me think that I needed to work with you!\You expect me to believe that?\I know you're planning to sell me out eventually,\Sugar!\Yes, I'm sure I sound like I'm lying.\I suppose these are the consequences of my actions...\Get out of here, Yahiro.\You never thought of us as friends in the first place. response:	Isn't that right?
context: You expect me to believe that?\I know you're planning to sell me out eventually,\Sugar!\Yes, I'm sure I sound like I'm lying.\I suppose these are the consequences of my actions...\Get out of here, Yahiro.\You never thought of us as friends in the first place.\Isn't that right? response:	Yes, that's right.
context: I know you're planning to sell me out eventually,\Sugar!\Yes, I'm sure I sound like I'm lying.\I suppose these are the consequences of my actions...\Get out of here, Yahiro.\You never thought of us as friends in the first place.\Isn't that right?\Yes, that's right. response:	Samukawa was sent to the Rank F tents.
context: Sugar!\Yes, I'm sure I sound like I'm lying.\I suppose these are the consequences of my actions...\Get out of here, Yahiro.\You never thought of us as friends in the first place.\Isn't that right?\Yes, that's right.\Samukawa was sent to the Rank F tents. response:	Like they say, you reap what you sow.
context: Yes, I'm sure I sound like I'm lying.\I suppose these are the consequences of my actions...\Get out of here, Yahiro.\You never thought of us as friends in the first place.\Isn't that right?\Yes, that's right.\Samukawa was sent to the Rank F tents.\Like they say, you reap what you sow. response:	Also, have this.
context: I suppose these are the consequences of my actions...\Get out of here, Yahiro.\You never thought of us as friends in the first place.\Isn't that right?\Yes, that's right.\Samukawa was sent to the Rank F tents.\Like they say, you reap what you sow.\Also, have this. response:	It's what you asked for.
context: Get out of here, Yahiro.\You never thought of us as friends in the first place.\Isn't that right?\Yes, that's right.\Samukawa was sent to the Rank F tents.\Like they say, you reap what you sow.\Also, have this.\It's what you asked for. response:	The date and time of the Exodus, and information on the students' Voids, too.
context: You never thought of us as friends in the first place.\Isn't that right?\Yes, that's right.\Samukawa was sent to the Rank F tents.\Like they say, you reap what you sow.\Also, have this.\It's what you asked for.\The date and time of the Exodus, and information on the students' Voids, too. response:	What do you intend to use it for?
context: Isn't that right?\Yes, that's right.\Samukawa was sent to the Rank F tents.\Like they say, you reap what you sow.\Also, have this.\It's what you asked for.\The date and time of the Exodus, and information on the students' Voids, too.\What do you intend to use it for? response:	A coup d'etat.
context: Yes, that's right.\Samukawa was sent to the Rank F tents.\Like they say, you reap what you sow.\Also, have this.\It's what you asked for.\The date and time of the Exodus, and information on the students' Voids, too.\What do you intend to use it for?\A coup d'etat. response:	I'm going to force the emperor and his new clothes out of power.
context: Samukawa was sent to the Rank F tents.\Like they say, you reap what you sow.\Also, have this.\It's what you asked for.\The date and time of the Exodus, and information on the students' Voids, too.\What do you intend to use it for?\A coup d'etat.\I'm going to force the emperor and his new clothes out of power. response:	Move out, starting with the groups who are ready.
context: Like they say, you reap what you sow.\Also, have this.\It's what you asked for.\The date and time of the Exodus, and information on the students' Voids, too.\What do you intend to use it for?\A coup d'etat.\I'm going to force the emperor and his new clothes out of power.\Move out, starting with the groups who are ready. response:	Our destination, Tokyo Tower, is about four kilometers away.
context: Also, have this.\It's what you asked for.\The date and time of the Exodus, and information on the students' Voids, too.\What do you intend to use it for?\A coup d'etat.\I'm going to force the emperor and his new clothes out of power.\Move out, starting with the groups who are ready.\Our destination, Tokyo Tower, is about four kilometers away. response:	We'll take a break after each kilometer and do a roll call.
context: It's what you asked for.\The date and time of the Exodus, and information on the students' Voids, too.\What do you intend to use it for?\A coup d'etat.\I'm going to force the emperor and his new clothes out of power.\Move out, starting with the groups who are ready.\Our destination, Tokyo Tower, is about four kilometers away.\We'll take a break after each kilometer and do a roll call. response:	Regarding the details, follow your squad leader's orders.
context: The date and time of the Exodus, and information on the students' Voids, too.\What do you intend to use it for?\A coup d'etat.\I'm going to force the emperor and his new clothes out of power.\Move out, starting with the groups who are ready.\Our destination, Tokyo Tower, is about four kilometers away.\We'll take a break after each kilometer and do a roll call.\Regarding the details, follow your squad leader's orders. response:	There's something wrong with the mood today.
context: What do you intend to use it for?\A coup d'etat.\I'm going to force the emperor and his new clothes out of power.\Move out, starting with the groups who are ready.\Our destination, Tokyo Tower, is about four kilometers away.\We'll take a break after each kilometer and do a roll call.\Regarding the details, follow your squad leader's orders.\There's something wrong with the mood today. response:	Kuhouin will give the signal.
context: A coup d'etat.\I'm going to force the emperor and his new clothes out of power.\Move out, starting with the groups who are ready.\Our destination, Tokyo Tower, is about four kilometers away.\We'll take a break after each kilometer and do a roll call.\Regarding the details, follow your squad leader's orders.\There's something wrong with the mood today.\Kuhouin will give the signal. response:	We know.
context: I'm going to force the emperor and his new clothes out of power.\Move out, starting with the groups who are ready.\Our destination, Tokyo Tower, is about four kilometers away.\We'll take a break after each kilometer and do a roll call.\Regarding the details, follow your squad leader's orders.\There's something wrong with the mood today.\Kuhouin will give the signal.\We know. response:	Has Team B received the news?
context: Move out, starting with the groups who are ready.\Our destination, Tokyo Tower, is about four kilometers away.\We'll take a break after each kilometer and do a roll call.\Regarding the details, follow your squad leader's orders.\There's something wrong with the mood today.\Kuhouin will give the signal.\We know.\Has Team B received the news? response:	Don't get the timing wrong.
context: Our destination, Tokyo Tower, is about four kilometers away.\We'll take a break after each kilometer and do a roll call.\Regarding the details, follow your squad leader's orders.\There's something wrong with the mood today.\Kuhouin will give the signal.\We know.\Has Team B received the news?\Don't get the timing wrong. response:	Are we sure the Secret Service is with us on this?
context: We'll take a break after each kilometer and do a roll call.\Regarding the details, follow your squad leader's orders.\There's something wrong with the mood today.\Kuhouin will give the signal.\We know.\Has Team B received the news?\Don't get the timing wrong.\Are we sure the Secret Service is with us on this? response:	Kanon?
context: Regarding the details, follow your squad leader's orders.\There's something wrong with the mood today.\Kuhouin will give the signal.\We know.\Has Team B received the news?\Don't get the timing wrong.\Are we sure the Secret Service is with us on this?\Kanon? response:	Nanba.
context: There's something wrong with the mood today.\Kuhouin will give the signal.\We know.\Has Team B received the news?\Don't get the timing wrong.\Are we sure the Secret Service is with us on this?\Kanon?\Nanba. response:	Yes?
context: Kuhouin will give the signal.\We know.\Has Team B received the news?\Don't get the timing wrong.\Are we sure the Secret Service is with us on this?\Kanon?\Nanba.\Yes? response:	What does everyone think of me?
context: We know.\Has Team B received the news?\Don't get the timing wrong.\Are we sure the Secret Service is with us on this?\Kanon?\Nanba.\Yes?\What does everyone think of me? response:	They're grateful to you, the leader who will free them all.
context: Has Team B received the news?\Don't get the timing wrong.\Are we sure the Secret Service is with us on this?\Kanon?\Nanba.\Yes?\What does everyone think of me?\They're grateful to you, the leader who will free them all. response:	I see.
context: Don't get the timing wrong.\Are we sure the Secret Service is with us on this?\Kanon?\Nanba.\Yes?\What does everyone think of me?\They're grateful to you, the leader who will free them all.\I see. response:	The students are on the move.
context: Are we sure the Secret Service is with us on this?\Kanon?\Nanba.\Yes?\What does everyone think of me?\They're grateful to you, the leader who will free them all.\I see.\The students are on the move. response:	Just as the leaked plans said they would.
context: Kanon?\Nanba.\Yes?\What does everyone think of me?\They're grateful to you, the leader who will free them all.\I see.\The students are on the move.\Just as the leaked plans said they would. response:	Are they headed for Tokyo Tower?
context: Nanba.\Yes?\What does everyone think of me?\They're grateful to you, the leader who will free them all.\I see.\The students are on the move.\Just as the leaked plans said they would.\Are they headed for Tokyo Tower? response:	Yes, Sir.
context: Yes?\What does everyone think of me?\They're grateful to you, the leader who will free them all.\I see.\The students are on the move.\Just as the leaked plans said they would.\Are they headed for Tokyo Tower?\Yes, Sir. response:	Unless something changes, we'll make contact with them on Sakurada Street.
context: What does everyone think of me?\They're grateful to you, the leader who will free them all.\I see.\The students are on the move.\Just as the leaked plans said they would.\Are they headed for Tokyo Tower?\Yes, Sir.\Unless something changes, we'll make contact with them on Sakurada Street. response:	I see.
context: They're grateful to you, the leader who will free them all.\I see.\The students are on the move.\Just as the leaked plans said they would.\Are they headed for Tokyo Tower?\Yes, Sir.\Unless something changes, we'll make contact with them on Sakurada Street.\I see. response:	So, we're about to witness the advent of the true king.
context: I see.\The students are on the move.\Just as the leaked plans said they would.\Are they headed for Tokyo Tower?\Yes, Sir.\Unless something changes, we'll make contact with them on Sakurada Street.\I see.\So, we're about to witness the advent of the true king. response:	I've measured the maximum value of the genomic resonance in Tennozu.
context: The students are on the move.\Just as the leaked plans said they would.\Are they headed for Tokyo Tower?\Yes, Sir.\Unless something changes, we'll make contact with them on Sakurada Street.\I see.\So, we're about to witness the advent of the true king.\I've measured the maximum value of the genomic resonance in Tennozu. response:	The index variation is 281.
context: Just as the leaked plans said they would.\Are they headed for Tokyo Tower?\Yes, Sir.\Unless something changes, we'll make contact with them on Sakurada Street.\I see.\So, we're about to witness the advent of the true king.\I've measured the maximum value of the genomic resonance in Tennozu.\The index variation is 281. response:	Honestly... you've done well, collecting them...
context: Are they headed for Tokyo Tower?\Yes, Sir.\Unless something changes, we'll make contact with them on Sakurada Street.\I see.\So, we're about to witness the advent of the true king.\I've measured the maximum value of the genomic resonance in Tennozu.\The index variation is 281.\Honestly... you've done well, collecting them... response:	I'll go over the plan one more time.
context: Yes, Sir.\Unless something changes, we'll make contact with them on Sakurada Street.\I see.\So, we're about to witness the advent of the true king.\I've measured the maximum value of the genomic resonance in Tennozu.\The index variation is 281.\Honestly... you've done well, collecting them...\I'll go over the plan one more time. response:	The machine controlling the Ghost Unit is here in Tokyo Tower.
context: Unless something changes, we'll make contact with them on Sakurada Street.\I see.\So, we're about to witness the advent of the true king.\I've measured the maximum value of the genomic resonance in Tennozu.\The index variation is 281.\Honestly... you've done well, collecting them...\I'll go over the plan one more time.\The machine controlling the Ghost Unit is here in Tokyo Tower. response:	I'll use Voids to send a high-voltage current through its struts.
context: I see.\So, we're about to witness the advent of the true king.\I've measured the maximum value of the genomic resonance in Tennozu.\The index variation is 281.\Honestly... you've done well, collecting them...\I'll go over the plan one more time.\The machine controlling the Ghost Unit is here in Tokyo Tower.\I'll use Voids to send a high-voltage current through its struts. response:	If I short the machine that way,
context: So, we're about to witness the advent of the true king.\I've measured the maximum value of the genomic resonance in Tennozu.\The index variation is 281.\Honestly... you've done well, collecting them...\I'll go over the plan one more time.\The machine controlling the Ghost Unit is here in Tokyo Tower.\I'll use Voids to send a high-voltage current through its struts.\If I short the machine that way, response:	I should be able to render the Ghosts powerless.
context: I've measured the maximum value of the genomic resonance in Tennozu.\The index variation is 281.\Honestly... you've done well, collecting them...\I'll go over the plan one more time.\The machine controlling the Ghost Unit is here in Tokyo Tower.\I'll use Voids to send a high-voltage current through its struts.\If I short the machine that way,\I should be able to render the Ghosts powerless. response:	You will create a path to get me there.
context: The index variation is 281.\Honestly... you've done well, collecting them...\I'll go over the plan one more time.\The machine controlling the Ghost Unit is here in Tokyo Tower.\I'll use Voids to send a high-voltage current through its struts.\If I short the machine that way,\I should be able to render the Ghosts powerless.\You will create a path to get me there. response:	Go to your designated posts and hold back the enemy's defense Insects.
context: Honestly... you've done well, collecting them...\I'll go over the plan one more time.\The machine controlling the Ghost Unit is here in Tokyo Tower.\I'll use Voids to send a high-voltage current through its struts.\If I short the machine that way,\I should be able to render the Ghosts powerless.\You will create a path to get me there.\Go to your designated posts and hold back the enemy's defense Insects. response:	If we succeed, we'll be able to get outside the wall.
context: I'll go over the plan one more time.\The machine controlling the Ghost Unit is here in Tokyo Tower.\I'll use Voids to send a high-voltage current through its struts.\If I short the machine that way,\I should be able to render the Ghosts powerless.\You will create a path to get me there.\Go to your designated posts and hold back the enemy's defense Insects.\If we succeed, we'll be able to get outside the wall. response:	Let's give it our all.
context: The machine controlling the Ghost Unit is here in Tokyo Tower.\I'll use Voids to send a high-voltage current through its struts.\If I short the machine that way,\I should be able to render the Ghosts powerless.\You will create a path to get me there.\Go to your designated posts and hold back the enemy's defense Insects.\If we succeed, we'll be able to get outside the wall.\Let's give it our all. response:	They're here!
context: I'll use Voids to send a high-voltage current through its struts.\If I short the machine that way,\I should be able to render the Ghosts powerless.\You will create a path to get me there.\Go to your designated posts and hold back the enemy's defense Insects.\If we succeed, we'll be able to get outside the wall.\Let's give it our all.\They're here! response:	Don't be afraid! We have Voids on our side!
context: If I short the machine that way,\I should be able to render the Ghosts powerless.\You will create a path to get me there.\Go to your designated posts and hold back the enemy's defense Insects.\If we succeed, we'll be able to get outside the wall.\Let's give it our all.\They're here!\Don't be afraid! We have Voids on our side! response:	Let us move forward, Ouma.
context: I should be able to render the Ghosts powerless.\You will create a path to get me there.\Go to your designated posts and hold back the enemy's defense Insects.\If we succeed, we'll be able to get outside the wall.\Let's give it our all.\They're here!\Don't be afraid! We have Voids on our side!\Let us move forward, Ouma. response:	Not for anyone else, but for our own futures!
context: You will create a path to get me there.\Go to your designated posts and hold back the enemy's defense Insects.\If we succeed, we'll be able to get outside the wall.\Let's give it our all.\They're here!\Don't be afraid! We have Voids on our side!\Let us move forward, Ouma.\Not for anyone else, but for our own futures! response:	Begin the operation!
context: Go to your designated posts and hold back the enemy's defense Insects.\If we succeed, we'll be able to get outside the wall.\Let's give it our all.\They're here!\Don't be afraid! We have Voids on our side!\Let us move forward, Ouma.\Not for anyone else, but for our own futures!\Begin the operation! response:	There are twenty Auto-Insects, just like we expected.
context: If we succeed, we'll be able to get outside the wall.\Let's give it our all.\They're here!\Don't be afraid! We have Voids on our side!\Let us move forward, Ouma.\Not for anyone else, but for our own futures!\Begin the operation!\There are twenty Auto-Insects, just like we expected. response:	Damn it!
context: Let's give it our all.\They're here!\Don't be afraid! We have Voids on our side!\Let us move forward, Ouma.\Not for anyone else, but for our own futures!\Begin the operation!\There are twenty Auto-Insects, just like we expected.\Damn it! response:	Mr. President, the path is open.
context: They're here!\Don't be afraid! We have Voids on our side!\Let us move forward, Ouma.\Not for anyone else, but for our own futures!\Begin the operation!\There are twenty Auto-Insects, just like we expected.\Damn it!\Mr. President, the path is open. response:	Did I just use them as glorified decoys?
context: Don't be afraid! We have Voids on our side!\Let us move forward, Ouma.\Not for anyone else, but for our own futures!\Begin the operation!\There are twenty Auto-Insects, just like we expected.\Damn it!\Mr. President, the path is open.\Did I just use them as glorified decoys? response:	Shu...
context: Let us move forward, Ouma.\Not for anyone else, but for our own futures!\Begin the operation!\There are twenty Auto-Insects, just like we expected.\Damn it!\Mr. President, the path is open.\Did I just use them as glorified decoys?\Shu... response:	Inori...
context: Not for anyone else, but for our own futures!\Begin the operation!\There are twenty Auto-Insects, just like we expected.\Damn it!\Mr. President, the path is open.\Did I just use them as glorified decoys?\Shu...\Inori... response:	It's okay. Don't worry.
context: Begin the operation!\There are twenty Auto-Insects, just like we expected.\Damn it!\Mr. President, the path is open.\Did I just use them as glorified decoys?\Shu...\Inori...\It's okay. Don't worry. response:	This isn't the time for soul-searching.
context: There are twenty Auto-Insects, just like we expected.\Damn it!\Mr. President, the path is open.\Did I just use them as glorified decoys?\Shu...\Inori...\It's okay. Don't worry.\This isn't the time for soul-searching. response:	Kazumi!
context: Damn it!\Mr. President, the path is open.\Did I just use them as glorified decoys?\Shu...\Inori...\It's okay. Don't worry.\This isn't the time for soul-searching.\Kazumi! response:	Sir, where are you going?
context: Mr. President, the path is open.\Did I just use them as glorified decoys?\Shu...\Inori...\It's okay. Don't worry.\This isn't the time for soul-searching.\Kazumi!\Sir, where are you going? response:	Let's go!
context: Did I just use them as glorified decoys?\Shu...\Inori...\It's okay. Don't worry.\This isn't the time for soul-searching.\Kazumi!\Sir, where are you going?\Let's go! response:	I'll do this. I'm doing this!
context: Shu...\Inori...\It's okay. Don't worry.\This isn't the time for soul-searching.\Kazumi!\Sir, where are you going?\Let's go!\I'll do this. I'm doing this! response:	I don't...
context: Inori...\It's okay. Don't worry.\This isn't the time for soul-searching.\Kazumi!\Sir, where are you going?\Let's go!\I'll do this. I'm doing this!\I don't... response:	Come, everyone.
context: It's okay. Don't worry.\This isn't the time for soul-searching.\Kazumi!\Sir, where are you going?\Let's go!\I'll do this. I'm doing this!\I don't...\Come, everyone. response:	Let's cross the red line while we can.
context: This isn't the time for soul-searching.\Kazumi!\Sir, where are you going?\Let's go!\I'll do this. I'm doing this!\I don't...\Come, everyone.\Let's cross the red line while we can. response:	Quickly!
context: Kazumi!\Sir, where are you going?\Let's go!\I'll do this. I'm doing this!\I don't...\Come, everyone.\Let's cross the red line while we can.\Quickly! response:	It's over, Inori.
context: Sir, where are you going?\Let's go!\I'll do this. I'm doing this!\I don't...\Come, everyone.\Let's cross the red line while we can.\Quickly!\It's over, Inori. response:	Come on, let's follow them.
context: Let's go!\I'll do this. I'm doing this!\I don't...\Come, everyone.\Let's cross the red line while we can.\Quickly!\It's over, Inori.\Come on, let's follow them. response:	What's with you three?
context: I'll do this. I'm doing this!\I don't...\Come, everyone.\Let's cross the red line while we can.\Quickly!\It's over, Inori.\Come on, let's follow them.\What's with you three? response:	What do you think you're doing?!
context: I don't...\Come, everyone.\Let's cross the red line while we can.\Quickly!\It's over, Inori.\Come on, let's follow them.\What's with you three?\What do you think you're doing?! response:	Shu!
context: Come, everyone.\Let's cross the red line while we can.\Quickly!\It's over, Inori.\Come on, let's follow them.\What's with you three?\What do you think you're doing?!\Shu! response:	Stay back, Inori!
context: Let's cross the red line while we can.\Quickly!\It's over, Inori.\Come on, let's follow them.\What's with you three?\What do you think you're doing?!\Shu!\Stay back, Inori! response:	You can't go out there, Ayase!
context: Quickly!\It's over, Inori.\Come on, let's follow them.\What's with you three?\What do you think you're doing?!\Shu!\Stay back, Inori!\You can't go out there, Ayase! response:	Tsugumi?
context: It's over, Inori.\Come on, let's follow them.\What's with you three?\What do you think you're doing?!\Shu!\Stay back, Inori!\You can't go out there, Ayase!\Tsugumi? response:	Great work, Mr. President.
context: Come on, let's follow them.\What's with you three?\What do you think you're doing?!\Shu!\Stay back, Inori!\You can't go out there, Ayase!\Tsugumi?\Great work, Mr. President. response:	Your work is done now.
context: What's with you three?\What do you think you're doing?!\Shu!\Stay back, Inori!\You can't go out there, Ayase!\Tsugumi?\Great work, Mr. President.\Your work is done now. response:	We'll go on alone from here.
context: What do you think you're doing?!\Shu!\Stay back, Inori!\You can't go out there, Ayase!\Tsugumi?\Great work, Mr. President.\Your work is done now.\We'll go on alone from here. response:	There you have it.
context: Shu!\Stay back, Inori!\You can't go out there, Ayase!\Tsugumi?\Great work, Mr. President.\Your work is done now.\We'll go on alone from here.\There you have it. response:	Arisa! Did you do this?!
context: Stay back, Inori!\You can't go out there, Ayase!\Tsugumi?\Great work, Mr. President.\Your work is done now.\We'll go on alone from here.\There you have it.\Arisa! Did you do this?! response:	Do I really need to answer that?
context: You can't go out there, Ayase!\Tsugumi?\Great work, Mr. President.\Your work is done now.\We'll go on alone from here.\There you have it.\Arisa! Did you do this?!\Do I really need to answer that? response:	I'm not doing anything wrong...
context: Tsugumi?\Great work, Mr. President.\Your work is done now.\We'll go on alone from here.\There you have it.\Arisa! Did you do this?!\Do I really need to answer that?\I'm not doing anything wrong... response:	I'm not...
context: Great work, Mr. President.\Your work is done now.\We'll go on alone from here.\There you have it.\Arisa! Did you do this?!\Do I really need to answer that?\I'm not doing anything wrong...\I'm not... response:	Souta?
context: Your work is done now.\We'll go on alone from here.\There you have it.\Arisa! Did you do this?!\Do I really need to answer that?\I'm not doing anything wrong...\I'm not...\Souta? response:	How dare you use us as tools!
context: We'll go on alone from here.\There you have it.\Arisa! Did you do this?!\Do I really need to answer that?\I'm not doing anything wrong...\I'm not...\Souta?\How dare you use us as tools! response:	Who said you could peek inside my heart?!
context: There you have it.\Arisa! Did you do this?!\Do I really need to answer that?\I'm not doing anything wrong...\I'm not...\Souta?\How dare you use us as tools!\Who said you could peek inside my heart?! response:	Coward!
context: Arisa! Did you do this?!\Do I really need to answer that?\I'm not doing anything wrong...\I'm not...\Souta?\How dare you use us as tools!\Who said you could peek inside my heart?!\Coward! response:	Parasite!
context: Do I really need to answer that?\I'm not doing anything wrong...\I'm not...\Souta?\How dare you use us as tools!\Who said you could peek inside my heart?!\Coward!\Parasite! response:	Drop dead! We're sick of you!
context: I'm not doing anything wrong...\I'm not...\Souta?\How dare you use us as tools!\Who said you could peek inside my heart?!\Coward!\Parasite!\Drop dead! We're sick of you! response:	Shu!
context: I'm not...\Souta?\How dare you use us as tools!\Who said you could peek inside my heart?!\Coward!\Parasite!\Drop dead! We're sick of you!\Shu! response:	Hey!
context: Souta?\How dare you use us as tools!\Who said you could peek inside my heart?!\Coward!\Parasite!\Drop dead! We're sick of you!\Shu!\Hey! response:	Inori!
context: How dare you use us as tools!\Who said you could peek inside my heart?!\Coward!\Parasite!\Drop dead! We're sick of you!\Shu!\Hey!\Inori! response:	Inori!
context: Who said you could peek inside my heart?!\Coward!\Parasite!\Drop dead! We're sick of you!\Shu!\Hey!\Inori!\Inori! response:	Gai?!
context: Coward!\Parasite!\Drop dead! We're sick of you!\Shu!\Hey!\Inori!\Inori!\Gai?! response:	You came for us.
context: Parasite!\Drop dead! We're sick of you!\Shu!\Hey!\Inori!\Inori!\Gai?!\You came for us. response:	Long time no see, Shu.
context: Drop dead! We're sick of you!\Shu!\Hey!\Inori!\Inori!\Gai?!\You came for us.\Long time no see, Shu. response:	Shu...
context: Shu!\Hey!\Inori!\Inori!\Gai?!\You came for us.\Long time no see, Shu.\Shu... response:	My arm!
context: Hey!\Inori!\Inori!\Gai?!\You came for us.\Long time no see, Shu.\Shu...\My arm! response:	My king's power...!
context: Inori!\Inori!\Gai?!\You came for us.\Long time no see, Shu.\Shu...\My arm!\My king's power...! response:	We'll now take a vote on United Nations Resolution 17,
context: Inori!\Gai?!\You came for us.\Long time no see, Shu.\Shu...\My arm!\My king's power...!\We'll now take a vote on United Nations Resolution 17, response:	the project to terminate Japan.
context: Gai?!\You came for us.\Long time no see, Shu.\Shu...\My arm!\My king's power...!\We'll now take a vote on United Nations Resolution 17,\the project to terminate Japan. response:	Approved by majority vote.
context: You came for us.\Long time no see, Shu.\Shu...\My arm!\My king's power...!\We'll now take a vote on United Nations Resolution 17,\the project to terminate Japan.\Approved by majority vote. response:	We'll now proceed to drop the RM warheads.
context: Long time no see, Shu.\Shu...\My arm!\My king's power...!\We'll now take a vote on United Nations Resolution 17,\the project to terminate Japan.\Approved by majority vote.\We'll now proceed to drop the RM warheads. response:	King?
context: Shu...\My arm!\My king's power...!\We'll now take a vote on United Nations Resolution 17,\the project to terminate Japan.\Approved by majority vote.\We'll now proceed to drop the RM warheads.\King? response:	Have you forgotten? You were just a usurper.
context: My arm!\My king's power...!\We'll now take a vote on United Nations Resolution 17,\the project to terminate Japan.\Approved by majority vote.\We'll now proceed to drop the RM warheads.\King?\Have you forgotten? You were just a usurper. response:	The king has always been me.
