context: eye catch response:	H!
context: It's ***, I say.\Well then, Miss, we shall meet again in class.\Hmm...\Thank you... very much.\Wanna try it?\Sure, it looks fun.\Excuse me, Nakanojou-kun!\Yes, what is it? response:	Ah, nothing really. Just you know...
context: Well then, Miss, we shall meet again in class.\Hmm...\Thank you... very much.\Wanna try it?\Sure, it looks fun.\Excuse me, Nakanojou-kun!\Yes, what is it?\Ah, nothing really. Just you know... response:	I was thinking that having a hairstyle like yours at school is a little...
context: Hmm...\Thank you... very much.\Wanna try it?\Sure, it looks fun.\Excuse me, Nakanojou-kun!\Yes, what is it?\Ah, nothing really. Just you know...\I was thinking that having a hairstyle like yours at school is a little... response:	Ah no, only a little, just a little...
context: Thank you... very much.\Wanna try it?\Sure, it looks fun.\Excuse me, Nakanojou-kun!\Yes, what is it?\Ah, nothing really. Just you know...\I was thinking that having a hairstyle like yours at school is a little...\Ah no, only a little, just a little... response:	Ah, I'm sorry.
context: Wanna try it?\Sure, it looks fun.\Excuse me, Nakanojou-kun!\Yes, what is it?\Ah, nothing really. Just you know...\I was thinking that having a hairstyle like yours at school is a little...\Ah no, only a little, just a little...\Ah, I'm sorry. response:	I didn't quite hear that, can you say it once more...
context: Sure, it looks fun.\Excuse me, Nakanojou-kun!\Yes, what is it?\Ah, nothing really. Just you know...\I was thinking that having a hairstyle like yours at school is a little...\Ah no, only a little, just a little...\Ah, I'm sorry.\I didn't quite hear that, can you say it once more... response:	From the sides...
context: Excuse me, Nakanojou-kun!\Yes, what is it?\Ah, nothing really. Just you know...\I was thinking that having a hairstyle like yours at school is a little...\Ah no, only a little, just a little...\Ah, I'm sorry.\I didn't quite hear that, can you say it once more...\From the sides... response:	It won't grow from the sides!
context: Yes, what is it?\Ah, nothing really. Just you know...\I was thinking that having a hairstyle like yours at school is a little...\Ah no, only a little, just a little...\Ah, I'm sorry.\I didn't quite hear that, can you say it once more...\From the sides...\It won't grow from the sides! response:	Daruma-san has...
context: Ah, nothing really. Just you know...\I was thinking that having a hairstyle like yours at school is a little...\Ah no, only a little, just a little...\Ah, I'm sorry.\I didn't quite hear that, can you say it once more...\From the sides...\It won't grow from the sides!\Daruma-san has... response:	Everyone went home.
context: I was thinking that having a hairstyle like yours at school is a little...\Ah no, only a little, just a little...\Ah, I'm sorry.\I didn't quite hear that, can you say it once more...\From the sides...\It won't grow from the sides!\Daruma-san has...\Everyone went home. response:	Nano, what are these?
context: Ah no, only a little, just a little...\Ah, I'm sorry.\I didn't quite hear that, can you say it once more...\From the sides...\It won't grow from the sides!\Daruma-san has...\Everyone went home.\Nano, what are these? response:	They're unripe ume.
context: Ah, I'm sorry.\I didn't quite hear that, can you say it once more...\From the sides...\It won't grow from the sides!\Daruma-san has...\Everyone went home.\Nano, what are these?\They're unripe ume. response:	I've been thinking of making some umeboshi at home this year.
context: I didn't quite hear that, can you say it once more...\From the sides...\It won't grow from the sides!\Daruma-san has...\Everyone went home.\Nano, what are these?\They're unripe ume.\I've been thinking of making some umeboshi at home this year. response:	Umeboshi... sour.
context: From the sides...\It won't grow from the sides!\Daruma-san has...\Everyone went home.\Nano, what are these?\They're unripe ume.\I've been thinking of making some umeboshi at home this year.\Umeboshi... sour. response:	Ume are good for your health, you know.
context: It won't grow from the sides!\Daruma-san has...\Everyone went home.\Nano, what are these?\They're unripe ume.\I've been thinking of making some umeboshi at home this year.\Umeboshi... sour.\Ume are good for your health, you know. response:	Besides, if you put it in your onigiri, the rice won't spoil.
context: Daruma-san has...\Everyone went home.\Nano, what are these?\They're unripe ume.\I've been thinking of making some umeboshi at home this year.\Umeboshi... sour.\Ume are good for your health, you know.\Besides, if you put it in your onigiri, the rice won't spoil. response:	Nano!
context: Everyone went home.\Nano, what are these?\They're unripe ume.\I've been thinking of making some umeboshi at home this year.\Umeboshi... sour.\Ume are good for your health, you know.\Besides, if you put it in your onigiri, the rice won't spoil.\Nano! response:	You can't!
context: Nano, what are these?\They're unripe ume.\I've been thinking of making some umeboshi at home this year.\Umeboshi... sour.\Ume are good for your health, you know.\Besides, if you put it in your onigiri, the rice won't spoil.\Nano!\You can't! response:	I haven't even said anything yet.
context: They're unripe ume.\I've been thinking of making some umeboshi at home this year.\Umeboshi... sour.\Ume are good for your health, you know.\Besides, if you put it in your onigiri, the rice won't spoil.\Nano!\You can't!\I haven't even said anything yet. response:	We just bought a lot of snacks recently, haven't we?
context: I've been thinking of making some umeboshi at home this year.\Umeboshi... sour.\Ume are good for your health, you know.\Besides, if you put it in your onigiri, the rice won't spoil.\Nano!\You can't!\I haven't even said anything yet.\We just bought a lot of snacks recently, haven't we? response:	We'll finish those first, and then we can go buy more again...
context: Umeboshi... sour.\Ume are good for your health, you know.\Besides, if you put it in your onigiri, the rice won't spoil.\Nano!\You can't!\I haven't even said anything yet.\We just bought a lot of snacks recently, haven't we?\We'll finish those first, and then we can go buy more again... response:	Oh geez, Professor...
context: Ume are good for your health, you know.\Besides, if you put it in your onigiri, the rice won't spoil.\Nano!\You can't!\I haven't even said anything yet.\We just bought a lot of snacks recently, haven't we?\We'll finish those first, and then we can go buy more again...\Oh geez, Professor... response:	You can't have those today. That cat...
context: Besides, if you put it in your onigiri, the rice won't spoil.\Nano!\You can't!\I haven't even said anything yet.\We just bought a lot of snacks recently, haven't we?\We'll finish those first, and then we can go buy more again...\Oh geez, Professor...\You can't have those today. That cat... response:	Um...
context: Nano!\You can't!\I haven't even said anything yet.\We just bought a lot of snacks recently, haven't we?\We'll finish those first, and then we can go buy more again...\Oh geez, Professor...\You can't have those today. That cat...\Um... response:	Sakamoto.
context: You can't!\I haven't even said anything yet.\We just bought a lot of snacks recently, haven't we?\We'll finish those first, and then we can go buy more again...\Oh geez, Professor...\You can't have those today. That cat...\Um...\Sakamoto. response:	Ah yeah, we also promised to buy Sakamoto-san's food,
context: I haven't even said anything yet.\We just bought a lot of snacks recently, haven't we?\We'll finish those first, and then we can go buy more again...\Oh geez, Professor...\You can't have those today. That cat...\Um...\Sakamoto.\Ah yeah, we also promised to buy Sakamoto-san's food, response:	so snacks are...
context: We just bought a lot of snacks recently, haven't we?\We'll finish those first, and then we can go buy more again...\Oh geez, Professor...\You can't have those today. That cat...\Um...\Sakamoto.\Ah yeah, we also promised to buy Sakamoto-san's food,\so snacks are... response:	Pocky.
context: We'll finish those first, and then we can go buy more again...\Oh geez, Professor...\You can't have those today. That cat...\Um...\Sakamoto.\Ah yeah, we also promised to buy Sakamoto-san's food,\so snacks are...\Pocky. response:	Ah, um...
context: Oh geez, Professor...\You can't have those today. That cat...\Um...\Sakamoto.\Ah yeah, we also promised to buy Sakamoto-san's food,\so snacks are...\Pocky.\Ah, um... response:	Yes?
context: You can't have those today. That cat...\Um...\Sakamoto.\Ah yeah, we also promised to buy Sakamoto-san's food,\so snacks are...\Pocky.\Ah, um...\Yes? response:	Can I help you with anything?
context: Um...\Sakamoto.\Ah yeah, we also promised to buy Sakamoto-san's food,\so snacks are...\Pocky.\Ah, um...\Yes?\Can I help you with anything? response:	Ah, this, this is...
context: Sakamoto.\Ah yeah, we also promised to buy Sakamoto-san's food,\so snacks are...\Pocky.\Ah, um...\Yes?\Can I help you with anything?\Ah, this, this is... response:	Ah, the snowman? It just came in today.
context: Ah yeah, we also promised to buy Sakamoto-san's food,\so snacks are...\Pocky.\Ah, um...\Yes?\Can I help you with anything?\Ah, this, this is...\Ah, the snowman? It just came in today. response:	Is it a snack?
context: so snacks are...\Pocky.\Ah, um...\Yes?\Can I help you with anything?\Ah, this, this is...\Ah, the snowman? It just came in today.\Is it a snack? response:	Ah, maybe it's something like shaved ice.
context: Pocky.\Ah, um...\Yes?\Can I help you with anything?\Ah, this, this is...\Ah, the snowman? It just came in today.\Is it a snack?\Ah, maybe it's something like shaved ice. response:	It's cold.
context: Ah, um...\Yes?\Can I help you with anything?\Ah, this, this is...\Ah, the snowman? It just came in today.\Is it a snack?\Ah, maybe it's something like shaved ice.\It's cold. response:	It's cheap!
context: Yes?\Can I help you with anything?\Ah, this, this is...\Ah, the snowman? It just came in today.\Is it a snack?\Ah, maybe it's something like shaved ice.\It's cold.\It's cheap! response:	You're gonna buy it?
context: Can I help you with anything?\Ah, this, this is...\Ah, the snowman? It just came in today.\Is it a snack?\Ah, maybe it's something like shaved ice.\It's cold.\It's cheap!\You're gonna buy it? response:	N-No, I'm only taking a look.
context: Ah, this, this is...\Ah, the snowman? It just came in today.\Is it a snack?\Ah, maybe it's something like shaved ice.\It's cold.\It's cheap!\You're gonna buy it?\N-No, I'm only taking a look. response:	Ah, a snowman!
context: Ah, the snowman? It just came in today.\Is it a snack?\Ah, maybe it's something like shaved ice.\It's cold.\It's cheap!\You're gonna buy it?\N-No, I'm only taking a look.\Ah, a snowman! response:	I want it.
context: Is it a snack?\Ah, maybe it's something like shaved ice.\It's cold.\It's cheap!\You're gonna buy it?\N-No, I'm only taking a look.\Ah, a snowman!\I want it. response:	Hey you.
context: Ah, maybe it's something like shaved ice.\It's cold.\It's cheap!\You're gonna buy it?\N-No, I'm only taking a look.\Ah, a snowman!\I want it.\Hey you. response:	Y-Yes?
context: It's cold.\It's cheap!\You're gonna buy it?\N-No, I'm only taking a look.\Ah, a snowman!\I want it.\Hey you.\Y-Yes? response:	If you're not going to buy it, can you give it to me?
context: It's cheap!\You're gonna buy it?\N-No, I'm only taking a look.\Ah, a snowman!\I want it.\Hey you.\Y-Yes?\If you're not going to buy it, can you give it to me? response:	I-I'm buying it!
context: You're gonna buy it?\N-No, I'm only taking a look.\Ah, a snowman!\I want it.\Hey you.\Y-Yes?\If you're not going to buy it, can you give it to me?\I-I'm buying it! response:	Why can Nano buy the things Nano wants,
context: N-No, I'm only taking a look.\Ah, a snowman!\I want it.\Hey you.\Y-Yes?\If you're not going to buy it, can you give it to me?\I-I'm buying it!\Why can Nano buy the things Nano wants, response:	but Professor can't buy the things Professor wants?
context: Ah, a snowman!\I want it.\Hey you.\Y-Yes?\If you're not going to buy it, can you give it to me?\I-I'm buying it!\Why can Nano buy the things Nano wants,\but Professor can't buy the things Professor wants? response:	No, as I said, this is just...
context: I want it.\Hey you.\Y-Yes?\If you're not going to buy it, can you give it to me?\I-I'm buying it!\Why can Nano buy the things Nano wants,\but Professor can't buy the things Professor wants?\No, as I said, this is just... response:	Since Nano is buying the things Nano wants,
context: Hey you.\Y-Yes?\If you're not going to buy it, can you give it to me?\I-I'm buying it!\Why can Nano buy the things Nano wants,\but Professor can't buy the things Professor wants?\No, as I said, this is just...\Since Nano is buying the things Nano wants, response:	it's okay for Professor to buy the things Professor wants too!
context: Y-Yes?\If you're not going to buy it, can you give it to me?\I-I'm buying it!\Why can Nano buy the things Nano wants,\but Professor can't buy the things Professor wants?\No, as I said, this is just...\Since Nano is buying the things Nano wants,\it's okay for Professor to buy the things Professor wants too! response:	I want it, I want it, I really want it, I want it!
context: If you're not going to buy it, can you give it to me?\I-I'm buying it!\Why can Nano buy the things Nano wants,\but Professor can't buy the things Professor wants?\No, as I said, this is just...\Since Nano is buying the things Nano wants,\it's okay for Professor to buy the things Professor wants too!\I want it, I want it, I really want it, I want it! response:	I got it.
context: I-I'm buying it!\Why can Nano buy the things Nano wants,\but Professor can't buy the things Professor wants?\No, as I said, this is just...\Since Nano is buying the things Nano wants,\it's okay for Professor to buy the things Professor wants too!\I want it, I want it, I really want it, I want it!\I got it. response:	Just one pack, okay?
context: Why can Nano buy the things Nano wants,\but Professor can't buy the things Professor wants?\No, as I said, this is just...\Since Nano is buying the things Nano wants,\it's okay for Professor to buy the things Professor wants too!\I want it, I want it, I really want it, I want it!\I got it.\Just one pack, okay? response:	Really?
context: but Professor can't buy the things Professor wants?\No, as I said, this is just...\Since Nano is buying the things Nano wants,\it's okay for Professor to buy the things Professor wants too!\I want it, I want it, I really want it, I want it!\I got it.\Just one pack, okay?\Really? response:	Nano, I love you.
context: No, as I said, this is just...\Since Nano is buying the things Nano wants,\it's okay for Professor to buy the things Professor wants too!\I want it, I want it, I really want it, I want it!\I got it.\Just one pack, okay?\Really?\Nano, I love you. response:	So that's how you ended up buying that thing?
context: Since Nano is buying the things Nano wants,\it's okay for Professor to buy the things Professor wants too!\I want it, I want it, I really want it, I want it!\I got it.\Just one pack, okay?\Really?\Nano, I love you.\So that's how you ended up buying that thing? response:	Yes, it's cute, and since it's cold, it feels good.
context: it's okay for Professor to buy the things Professor wants too!\I want it, I want it, I really want it, I want it!\I got it.\Just one pack, okay?\Really?\Nano, I love you.\So that's how you ended up buying that thing?\Yes, it's cute, and since it's cold, it feels good. response:	Professor, it's done.
context: I want it, I want it, I really want it, I want it!\I got it.\Just one pack, okay?\Really?\Nano, I love you.\So that's how you ended up buying that thing?\Yes, it's cute, and since it's cold, it feels good.\Professor, it's done. response:	Yes!
context: I got it.\Just one pack, okay?\Really?\Nano, I love you.\So that's how you ended up buying that thing?\Yes, it's cute, and since it's cold, it feels good.\Professor, it's done.\Yes! response:	Nano, gimme more!
context: Just one pack, okay?\Really?\Nano, I love you.\So that's how you ended up buying that thing?\Yes, it's cute, and since it's cold, it feels good.\Professor, it's done.\Yes!\Nano, gimme more! response:	Yes, yes.
context: Really?\Nano, I love you.\So that's how you ended up buying that thing?\Yes, it's cute, and since it's cold, it feels good.\Professor, it's done.\Yes!\Nano, gimme more!\Yes, yes. response:	Seriously, you guys...
context: Nano, I love you.\So that's how you ended up buying that thing?\Yes, it's cute, and since it's cold, it feels good.\Professor, it's done.\Yes!\Nano, gimme more!\Yes, yes.\Seriously, you guys... response:	And where's my food?
context: So that's how you ended up buying that thing?\Yes, it's cute, and since it's cold, it feels good.\Professor, it's done.\Yes!\Nano, gimme more!\Yes, yes.\Seriously, you guys...\And where's my food? response:	Ah!
context: Yes, it's cute, and since it's cold, it feels good.\Professor, it's done.\Yes!\Nano, gimme more!\Yes, yes.\Seriously, you guys...\And where's my food?\Ah! response:	Shaved ice?
context: Professor, it's done.\Yes!\Nano, gimme more!\Yes, yes.\Seriously, you guys...\And where's my food?\Ah!\Shaved ice? response:	They want me to eat... shaved ice?
context: Yes!\Nano, gimme more!\Yes, yes.\Seriously, you guys...\And where's my food?\Ah!\Shaved ice?\They want me to eat... shaved ice? response:	First comes rock, next comes paper, rockscispaper doesn't count,
context: Nano, gimme more!\Yes, yes.\Seriously, you guys...\And where's my food?\Ah!\Shaved ice?\They want me to eat... shaved ice?\First comes rock, next comes paper, rockscispaper doesn't count, response:	rock-paper-scissors!
context: Yes, yes.\Seriously, you guys...\And where's my food?\Ah!\Shaved ice?\They want me to eat... shaved ice?\First comes rock, next comes paper, rockscispaper doesn't count,\rock-paper-scissors! response:	It's going up
context: Seriously, you guys...\And where's my food?\Ah!\Shaved ice?\They want me to eat... shaved ice?\First comes rock, next comes paper, rockscispaper doesn't count,\rock-paper-scissors!\It's going up response:	The screw!
context: And where's my food?\Ah!\Shaved ice?\They want me to eat... shaved ice?\First comes rock, next comes paper, rockscispaper doesn't count,\rock-paper-scissors!\It's going up\The screw! response:	No no.
context: Ah!\Shaved ice?\They want me to eat... shaved ice?\First comes rock, next comes paper, rockscispaper doesn't count,\rock-paper-scissors!\It's going up\The screw!\No no. response:	Okay, the test is over.
context: Shaved ice?\They want me to eat... shaved ice?\First comes rock, next comes paper, rockscispaper doesn't count,\rock-paper-scissors!\It's going up\The screw!\No no.\Okay, the test is over. response:	Good heavens!
context: They want me to eat... shaved ice?\First comes rock, next comes paper, rockscispaper doesn't count,\rock-paper-scissors!\It's going up\The screw!\No no.\Okay, the test is over.\Good heavens! response:	This is a wig too.
context: First comes rock, next comes paper, rockscispaper doesn't count,\rock-paper-scissors!\It's going up\The screw!\No no.\Okay, the test is over.\Good heavens!\This is a wig too. response:	When you think of what other people are looking for,
context: rock-paper-scissors!\It's going up\The screw!\No no.\Okay, the test is over.\Good heavens!\This is a wig too.\When you think of what other people are looking for, response:	you might not know because there are so many other people.
context: It's going up\The screw!\No no.\Okay, the test is over.\Good heavens!\This is a wig too.\When you think of what other people are looking for,\you might not know because there are so many other people. response:	When you think of what you're looking for,
context: The screw!\No no.\Okay, the test is over.\Good heavens!\This is a wig too.\When you think of what other people are looking for,\you might not know because there are so many other people.\When you think of what you're looking for, response:	isn't it a little bit of love?
context: No no.\Okay, the test is over.\Good heavens!\This is a wig too.\When you think of what other people are looking for,\you might not know because there are so many other people.\When you think of what you're looking for,\isn't it a little bit of love? response:	After that, you've just got to pray to a god somewhere.
context: Okay, the test is over.\Good heavens!\This is a wig too.\When you think of what other people are looking for,\you might not know because there are so many other people.\When you think of what you're looking for,\isn't it a little bit of love?\After that, you've just got to pray to a god somewhere. response:	Well then,
context: Good heavens!\This is a wig too.\When you think of what other people are looking for,\you might not know because there are so many other people.\When you think of what you're looking for,\isn't it a little bit of love?\After that, you've just got to pray to a god somewhere.\Well then, response:	a god somewhere, pleased to meet you.
context: This is a wig too.\When you think of what other people are looking for,\you might not know because there are so many other people.\When you think of what you're looking for,\isn't it a little bit of love?\After that, you've just got to pray to a god somewhere.\Well then,\a god somewhere, pleased to meet you. response:	Daruma-san...
context: When you think of what other people are looking for,\you might not know because there are so many other people.\When you think of what you're looking for,\isn't it a little bit of love?\After that, you've just got to pray to a god somewhere.\Well then,\a god somewhere, pleased to meet you.\Daruma-san... response:	Maybe you should stop that already?
context: you might not know because there are so many other people.\When you think of what you're looking for,\isn't it a little bit of love?\After that, you've just got to pray to a god somewhere.\Well then,\a god somewhere, pleased to meet you.\Daruma-san...\Maybe you should stop that already? response:	They made me stand again.
context: When you think of what you're looking for,\isn't it a little bit of love?\After that, you've just got to pray to a god somewhere.\Well then,\a god somewhere, pleased to meet you.\Daruma-san...\Maybe you should stop that already?\They made me stand again. response:	I've adapted quite well to this body.
context: isn't it a little bit of love?\After that, you've just got to pray to a god somewhere.\Well then,\a god somewhere, pleased to meet you.\Daruma-san...\Maybe you should stop that already?\They made me stand again.\I've adapted quite well to this body. response:	Just by looking at them, I can't stop drooling.
context: After that, you've just got to pray to a god somewhere.\Well then,\a god somewhere, pleased to meet you.\Daruma-san...\Maybe you should stop that already?\They made me stand again.\I've adapted quite well to this body.\Just by looking at them, I can't stop drooling. response:	What's this?
context: Well then,\a god somewhere, pleased to meet you.\Daruma-san...\Maybe you should stop that already?\They made me stand again.\I've adapted quite well to this body.\Just by looking at them, I can't stop drooling.\What's this? response:	Ah, Sakamoto-san.
context: a god somewhere, pleased to meet you.\Daruma-san...\Maybe you should stop that already?\They made me stand again.\I've adapted quite well to this body.\Just by looking at them, I can't stop drooling.\What's this?\Ah, Sakamoto-san. response:	It's umeboshi.
context: Daruma-san...\Maybe you should stop that already?\They made me stand again.\I've adapted quite well to this body.\Just by looking at them, I can't stop drooling.\What's this?\Ah, Sakamoto-san.\It's umeboshi. response:	You can't eat them, because they're not done yet.
context: Maybe you should stop that already?\They made me stand again.\I've adapted quite well to this body.\Just by looking at them, I can't stop drooling.\What's this?\Ah, Sakamoto-san.\It's umeboshi.\You can't eat them, because they're not done yet. response:	I'll use this to play with Sakamoto.
context: They made me stand again.\I've adapted quite well to this body.\Just by looking at them, I can't stop drooling.\What's this?\Ah, Sakamoto-san.\It's umeboshi.\You can't eat them, because they're not done yet.\I'll use this to play with Sakamoto. response:	Ah, a foxtail.
context: I've adapted quite well to this body.\Just by looking at them, I can't stop drooling.\What's this?\Ah, Sakamoto-san.\It's umeboshi.\You can't eat them, because they're not done yet.\I'll use this to play with Sakamoto.\Ah, a foxtail. response:	Sakamoto, Sakamoto.
context: Just by looking at them, I can't stop drooling.\What's this?\Ah, Sakamoto-san.\It's umeboshi.\You can't eat them, because they're not done yet.\I'll use this to play with Sakamoto.\Ah, a foxtail.\Sakamoto, Sakamoto. response:	Hey, kid, I've told you so many times to put -san after it!
context: What's this?\Ah, Sakamoto-san.\It's umeboshi.\You can't eat them, because they're not done yet.\I'll use this to play with Sakamoto.\Ah, a foxtail.\Sakamoto, Sakamoto.\Hey, kid, I've told you so many times to put -san after it! response:	Ah, yeah. Sorry, Sakamoto.
context: Ah, Sakamoto-san.\It's umeboshi.\You can't eat them, because they're not done yet.\I'll use this to play with Sakamoto.\Ah, a foxtail.\Sakamoto, Sakamoto.\Hey, kid, I've told you so many times to put -san after it!\Ah, yeah. Sorry, Sakamoto. response:	Are you making fun of me?
context: It's umeboshi.\You can't eat them, because they're not done yet.\I'll use this to play with Sakamoto.\Ah, a foxtail.\Sakamoto, Sakamoto.\Hey, kid, I've told you so many times to put -san after it!\Ah, yeah. Sorry, Sakamoto.\Are you making fun of me? response:	It happened unconsciously. Sorry, Sakamoto.
context: You can't eat them, because they're not done yet.\I'll use this to play with Sakamoto.\Ah, a foxtail.\Sakamoto, Sakamoto.\Hey, kid, I've told you so many times to put -san after it!\Ah, yeah. Sorry, Sakamoto.\Are you making fun of me?\It happened unconsciously. Sorry, Sakamoto. response:	You're doing it on purpose, aren't you?!
context: I'll use this to play with Sakamoto.\Ah, a foxtail.\Sakamoto, Sakamoto.\Hey, kid, I've told you so many times to put -san after it!\Ah, yeah. Sorry, Sakamoto.\Are you making fun of me?\It happened unconsciously. Sorry, Sakamoto.\You're doing it on purpose, aren't you?! response:	Well then, I'm going shopping!
context: Ah, a foxtail.\Sakamoto, Sakamoto.\Hey, kid, I've told you so many times to put -san after it!\Ah, yeah. Sorry, Sakamoto.\Are you making fun of me?\It happened unconsciously. Sorry, Sakamoto.\You're doing it on purpose, aren't you?!\Well then, I'm going shopping! response:	Have a safe trip!
context: Sakamoto, Sakamoto.\Hey, kid, I've told you so many times to put -san after it!\Ah, yeah. Sorry, Sakamoto.\Are you making fun of me?\It happened unconsciously. Sorry, Sakamoto.\You're doing it on purpose, aren't you?!\Well then, I'm going shopping!\Have a safe trip! response:	Seriously, the people here really haven't been educated, have they?
context: Hey, kid, I've told you so many times to put -san after it!\Ah, yeah. Sorry, Sakamoto.\Are you making fun of me?\It happened unconsciously. Sorry, Sakamoto.\You're doing it on purpose, aren't you?!\Well then, I'm going shopping!\Have a safe trip!\Seriously, the people here really haven't been educated, have they? response:	I'm sorry, Sakamoto, I'm not doing it on purpose.
context: Ah, yeah. Sorry, Sakamoto.\Are you making fun of me?\It happened unconsciously. Sorry, Sakamoto.\You're doing it on purpose, aren't you?!\Well then, I'm going shopping!\Have a safe trip!\Seriously, the people here really haven't been educated, have they?\I'm sorry, Sakamoto, I'm not doing it on purpose. response:	I'm telling you, it's not Sakamoto!
context: Are you making fun of me?\It happened unconsciously. Sorry, Sakamoto.\You're doing it on purpose, aren't you?!\Well then, I'm going shopping!\Have a safe trip!\Seriously, the people here really haven't been educated, have they?\I'm sorry, Sakamoto, I'm not doing it on purpose.\I'm telling you, it's not Sakamoto! response:	Here, Sakamoto, I'll give you some gum.
context: It happened unconsciously. Sorry, Sakamoto.\You're doing it on purpose, aren't you?!\Well then, I'm going shopping!\Have a safe trip!\Seriously, the people here really haven't been educated, have they?\I'm sorry, Sakamoto, I'm not doing it on purpose.\I'm telling you, it's not Sakamoto!\Here, Sakamoto, I'll give you some gum. response:	How many times are you going to make me say it!?
context: You're doing it on purpose, aren't you?!\Well then, I'm going shopping!\Have a safe trip!\Seriously, the people here really haven't been educated, have they?\I'm sorry, Sakamoto, I'm not doing it on purpose.\I'm telling you, it's not Sakamoto!\Here, Sakamoto, I'll give you some gum.\How many times are you going to make me say it!? response:	Besides, have you ever heard of someone giving gum to a cat, you dumbas - Whoa!
context: Well then, I'm going shopping!\Have a safe trip!\Seriously, the people here really haven't been educated, have they?\I'm sorry, Sakamoto, I'm not doing it on purpose.\I'm telling you, it's not Sakamoto!\Here, Sakamoto, I'll give you some gum.\How many times are you going to make me say it!?\Besides, have you ever heard of someone giving gum to a cat, you dumbas - Whoa! response:	Cut it out already!
context: Have a safe trip!\Seriously, the people here really haven't been educated, have they?\I'm sorry, Sakamoto, I'm not doing it on purpose.\I'm telling you, it's not Sakamoto!\Here, Sakamoto, I'll give you some gum.\How many times are you going to make me say it!?\Besides, have you ever heard of someone giving gum to a cat, you dumbas - Whoa!\Cut it out already! response:	I'm sorry.
context: Seriously, the people here really haven't been educated, have they?\I'm sorry, Sakamoto, I'm not doing it on purpose.\I'm telling you, it's not Sakamoto!\Here, Sakamoto, I'll give you some gum.\How many times are you going to make me say it!?\Besides, have you ever heard of someone giving gum to a cat, you dumbas - Whoa!\Cut it out already!\I'm sorry. response:	Listen, I've told you before that I'm older than you two.
context: I'm sorry, Sakamoto, I'm not doing it on purpose.\I'm telling you, it's not Sakamoto!\Here, Sakamoto, I'll give you some gum.\How many times are you going to make me say it!?\Besides, have you ever heard of someone giving gum to a cat, you dumbas - Whoa!\Cut it out already!\I'm sorry.\Listen, I've told you before that I'm older than you two. response:	Adding -san when you address people older than you is...
context: I'm telling you, it's not Sakamoto!\Here, Sakamoto, I'll give you some gum.\How many times are you going to make me say it!?\Besides, have you ever heard of someone giving gum to a cat, you dumbas - Whoa!\Cut it out already!\I'm sorry.\Listen, I've told you before that I'm older than you two.\Adding -san when you address people older than you is... response:	I mean... that...
context: Here, Sakamoto, I'll give you some gum.\How many times are you going to make me say it!?\Besides, have you ever heard of someone giving gum to a cat, you dumbas - Whoa!\Cut it out already!\I'm sorry.\Listen, I've told you before that I'm older than you two.\Adding -san when you address people older than you is...\I mean... that... response:	In other words, it is...
context: How many times are you going to make me say it!?\Besides, have you ever heard of someone giving gum to a cat, you dumbas - Whoa!\Cut it out already!\I'm sorry.\Listen, I've told you before that I'm older than you two.\Adding -san when you address people older than you is...\I mean... that...\In other words, it is... response:	It means that...
context: Besides, have you ever heard of someone giving gum to a cat, you dumbas - Whoa!\Cut it out already!\I'm sorry.\Listen, I've told you before that I'm older than you two.\Adding -san when you address people older than you is...\I mean... that...\In other words, it is...\It means that... response:	So it means that...
context: Cut it out already!\I'm sorry.\Listen, I've told you before that I'm older than you two.\Adding -san when you address people older than you is...\I mean... that...\In other words, it is...\It means that...\So it means that... response:	Ah!
context: I'm sorry.\Listen, I've told you before that I'm older than you two.\Adding -san when you address people older than you is...\I mean... that...\In other words, it is...\It means that...\So it means that...\Ah! response:	What is it?!
context: Listen, I've told you before that I'm older than you two.\Adding -san when you address people older than you is...\I mean... that...\In other words, it is...\It means that...\So it means that...\Ah!\What is it?! response:	Can I go wee-wee?
context: Adding -san when you address people older than you is...\I mean... that...\In other words, it is...\It means that...\So it means that...\Ah!\What is it?!\Can I go wee-wee? response:	Ah, yeah, go ahead.
context: I mean... that...\In other words, it is...\It means that...\So it means that...\Ah!\What is it?!\Can I go wee-wee?\Ah, yeah, go ahead. response:	Wee-wee!
context: In other words, it is...\It means that...\So it means that...\Ah!\What is it?!\Can I go wee-wee?\Ah, yeah, go ahead.\Wee-wee! response:	You're taking it with you, huh?
context: It means that...\So it means that...\Ah!\What is it?!\Can I go wee-wee?\Ah, yeah, go ahead.\Wee-wee!\You're taking it with you, huh? response:	From what I can see, there are only two kids living in this house.
context: So it means that...\Ah!\What is it?!\Can I go wee-wee?\Ah, yeah, go ahead.\Wee-wee!\You're taking it with you, huh?\From what I can see, there are only two kids living in this house. response:	I see.
context: Ah!\What is it?!\Can I go wee-wee?\Ah, yeah, go ahead.\Wee-wee!\You're taking it with you, huh?\From what I can see, there are only two kids living in this house.\I see. response:	No wonder they're not educated.
context: What is it?!\Can I go wee-wee?\Ah, yeah, go ahead.\Wee-wee!\You're taking it with you, huh?\From what I can see, there are only two kids living in this house.\I see.\No wonder they're not educated. response:	Which means, I'm the oldest in this house.
context: Can I go wee-wee?\Ah, yeah, go ahead.\Wee-wee!\You're taking it with you, huh?\From what I can see, there are only two kids living in this house.\I see.\No wonder they're not educated.\Which means, I'm the oldest in this house. response:	It can't be helped.
