context: Fairy Tail 146 Trans response:	After the new Oracion Seis appeared before Natsu and the others,
context: While you're now a dog, Happy...\This is no good. Everyone's fallen under the influence of Real Nightmare...\Wait. Then why am I fine?\I see! Could it be...\Requip!\I'll use this ancient weapon that's said to keep evil at bay\to cut through the Real Nightmare vibrations!\Meaning you hit us?! response:	We're back to normal!
context: This is no good. Everyone's fallen under the influence of Real Nightmare...\Wait. Then why am I fine?\I see! Could it be...\Requip!\I'll use this ancient weapon that's said to keep evil at bay\to cut through the Real Nightmare vibrations!\Meaning you hit us?!\We're back to normal! response:	I thought the archbishop's bedroom would be under heavy guard...
context: Wait. Then why am I fine?\I see! Could it be...\Requip!\I'll use this ancient weapon that's said to keep evil at bay\to cut through the Real Nightmare vibrations!\Meaning you hit us?!\We're back to normal!\I thought the archbishop's bedroom would be under heavy guard... response:	What's that?
context: I see! Could it be...\Requip!\I'll use this ancient weapon that's said to keep evil at bay\to cut through the Real Nightmare vibrations!\Meaning you hit us?!\We're back to normal!\I thought the archbishop's bedroom would be under heavy guard...\What's that? response:	What the hell is that?
context: Requip!\I'll use this ancient weapon that's said to keep evil at bay\to cut through the Real Nightmare vibrations!\Meaning you hit us?!\We're back to normal!\I thought the archbishop's bedroom would be under heavy guard...\What's that?\What the hell is that? response:	Shhh! The archbishop is in here!
context: I'll use this ancient weapon that's said to keep evil at bay\to cut through the Real Nightmare vibrations!\Meaning you hit us?!\We're back to normal!\I thought the archbishop's bedroom would be under heavy guard...\What's that?\What the hell is that?\Shhh! The archbishop is in here! response:	This is a pain in the ass. Let's quit with the hiding.
context: to cut through the Real Nightmare vibrations!\Meaning you hit us?!\We're back to normal!\I thought the archbishop's bedroom would be under heavy guard...\What's that?\What the hell is that?\Shhh! The archbishop is in here!\This is a pain in the ass. Let's quit with the hiding. response:	Huh? Wait!
context: Meaning you hit us?!\We're back to normal!\I thought the archbishop's bedroom would be under heavy guard...\What's that?\What the hell is that?\Shhh! The archbishop is in here!\This is a pain in the ass. Let's quit with the hiding.\Huh? Wait! response:	You're the archbishop, right?
context: We're back to normal!\I thought the archbishop's bedroom would be under heavy guard...\What's that?\What the hell is that?\Shhh! The archbishop is in here!\This is a pain in the ass. Let's quit with the hiding.\Huh? Wait!\You're the archbishop, right? response:	There is nothing to worry about...
context: I thought the archbishop's bedroom would be under heavy guard...\What's that?\What the hell is that?\Shhh! The archbishop is in here!\This is a pain in the ass. Let's quit with the hiding.\Huh? Wait!\You're the archbishop, right?\There is nothing to worry about... response:	This is Zentopia's way of putting the world in order.
context: What's that?\What the hell is that?\Shhh! The archbishop is in here!\This is a pain in the ass. Let's quit with the hiding.\Huh? Wait!\You're the archbishop, right?\There is nothing to worry about...\This is Zentopia's way of putting the world in order. response:	There's somethin' I wanna ask you.
context: What the hell is that?\Shhh! The archbishop is in here!\This is a pain in the ass. Let's quit with the hiding.\Huh? Wait!\You're the archbishop, right?\There is nothing to worry about...\This is Zentopia's way of putting the world in order.\There's somethin' I wanna ask you. response:	Would you give me an honest answer?
context: Shhh! The archbishop is in here!\This is a pain in the ass. Let's quit with the hiding.\Huh? Wait!\You're the archbishop, right?\There is nothing to worry about...\This is Zentopia's way of putting the world in order.\There's somethin' I wanna ask you.\Would you give me an honest answer? response:	There is nothing to worry about...
context: This is a pain in the ass. Let's quit with the hiding.\Huh? Wait!\You're the archbishop, right?\There is nothing to worry about...\This is Zentopia's way of putting the world in order.\There's somethin' I wanna ask you.\Would you give me an honest answer?\There is nothing to worry about... response:	This is Zentopia's way of putting the world in order.
context: Huh? Wait!\You're the archbishop, right?\There is nothing to worry about...\This is Zentopia's way of putting the world in order.\There's somethin' I wanna ask you.\Would you give me an honest answer?\There is nothing to worry about...\This is Zentopia's way of putting the world in order. response:	Hey, are you listenin' to me?
context: You're the archbishop, right?\There is nothing to worry about...\This is Zentopia's way of putting the world in order.\There's somethin' I wanna ask you.\Would you give me an honest answer?\There is nothing to worry about...\This is Zentopia's way of putting the world in order.\Hey, are you listenin' to me? response:	There is nothing to worry about...
context: There is nothing to worry about...\This is Zentopia's way of putting the world in order.\There's somethin' I wanna ask you.\Would you give me an honest answer?\There is nothing to worry about...\This is Zentopia's way of putting the world in order.\Hey, are you listenin' to me?\There is nothing to worry about... response:	This isn't working.
context: This is Zentopia's way of putting the world in order.\There's somethin' I wanna ask you.\Would you give me an honest answer?\There is nothing to worry about...\This is Zentopia's way of putting the world in order.\Hey, are you listenin' to me?\There is nothing to worry about...\This isn't working. response:	This is Zentopia's way of putting the world in order.
context: There's somethin' I wanna ask you.\Would you give me an honest answer?\There is nothing to worry about...\This is Zentopia's way of putting the world in order.\Hey, are you listenin' to me?\There is nothing to worry about...\This isn't working.\This is Zentopia's way of putting the world in order. response:	What the hell's wrong with him?
context: Would you give me an honest answer?\There is nothing to worry about...\This is Zentopia's way of putting the world in order.\Hey, are you listenin' to me?\There is nothing to worry about...\This isn't working.\This is Zentopia's way of putting the world in order.\What the hell's wrong with him? response:	Maybe someone is using magic to control the archbishop?
context: There is nothing to worry about...\This is Zentopia's way of putting the world in order.\Hey, are you listenin' to me?\There is nothing to worry about...\This isn't working.\This is Zentopia's way of putting the world in order.\What the hell's wrong with him?\Maybe someone is using magic to control the archbishop? response:	That guy...
context: This is Zentopia's way of putting the world in order.\Hey, are you listenin' to me?\There is nothing to worry about...\This isn't working.\This is Zentopia's way of putting the world in order.\What the hell's wrong with him?\Maybe someone is using magic to control the archbishop?\That guy... response:	Zentopia's Cardinal Rapowant!
context: Hey, are you listenin' to me?\There is nothing to worry about...\This isn't working.\This is Zentopia's way of putting the world in order.\What the hell's wrong with him?\Maybe someone is using magic to control the archbishop?\That guy...\Zentopia's Cardinal Rapowant! response:	I believe you're Gildarts from Fairy Tail, are you not?
context: There is nothing to worry about...\This isn't working.\This is Zentopia's way of putting the world in order.\What the hell's wrong with him?\Maybe someone is using magic to control the archbishop?\That guy...\Zentopia's Cardinal Rapowant!\I believe you're Gildarts from Fairy Tail, are you not? response:	Huh, I guess my reputation precedes me.
context: This isn't working.\This is Zentopia's way of putting the world in order.\What the hell's wrong with him?\Maybe someone is using magic to control the archbishop?\That guy...\Zentopia's Cardinal Rapowant!\I believe you're Gildarts from Fairy Tail, are you not?\Huh, I guess my reputation precedes me. response:	I never figured even a cardinal of Zentopia would know about me.
context: This is Zentopia's way of putting the world in order.\What the hell's wrong with him?\Maybe someone is using magic to control the archbishop?\That guy...\Zentopia's Cardinal Rapowant!\I believe you're Gildarts from Fairy Tail, are you not?\Huh, I guess my reputation precedes me.\I never figured even a cardinal of Zentopia would know about me. response:	But if it's an autograph you want, I gotta decline.
context: What the hell's wrong with him?\Maybe someone is using magic to control the archbishop?\That guy...\Zentopia's Cardinal Rapowant!\I believe you're Gildarts from Fairy Tail, are you not?\Huh, I guess my reputation precedes me.\I never figured even a cardinal of Zentopia would know about me.\But if it's an autograph you want, I gotta decline. response:	I'm busy at the moment, see.
context: Maybe someone is using magic to control the archbishop?\That guy...\Zentopia's Cardinal Rapowant!\I believe you're Gildarts from Fairy Tail, are you not?\Huh, I guess my reputation precedes me.\I never figured even a cardinal of Zentopia would know about me.\But if it's an autograph you want, I gotta decline.\I'm busy at the moment, see. response:	I give you two credit for making it this far.
context: That guy...\Zentopia's Cardinal Rapowant!\I believe you're Gildarts from Fairy Tail, are you not?\Huh, I guess my reputation precedes me.\I never figured even a cardinal of Zentopia would know about me.\But if it's an autograph you want, I gotta decline.\I'm busy at the moment, see.\I give you two credit for making it this far. response:	But you won't get out of here alive.
context: Zentopia's Cardinal Rapowant!\I believe you're Gildarts from Fairy Tail, are you not?\Huh, I guess my reputation precedes me.\I never figured even a cardinal of Zentopia would know about me.\But if it's an autograph you want, I gotta decline.\I'm busy at the moment, see.\I give you two credit for making it this far.\But you won't get out of here alive. response:	Sounds like fun. Let's see what ya got.
context: I believe you're Gildarts from Fairy Tail, are you not?\Huh, I guess my reputation precedes me.\I never figured even a cardinal of Zentopia would know about me.\But if it's an autograph you want, I gotta decline.\I'm busy at the moment, see.\I give you two credit for making it this far.\But you won't get out of here alive.\Sounds like fun. Let's see what ya got. response:	I'm fast.
context: Huh, I guess my reputation precedes me.\I never figured even a cardinal of Zentopia would know about me.\But if it's an autograph you want, I gotta decline.\I'm busy at the moment, see.\I give you two credit for making it this far.\But you won't get out of here alive.\Sounds like fun. Let's see what ya got.\I'm fast. response:	No one can... catch up with...
context: I never figured even a cardinal of Zentopia would know about me.\But if it's an autograph you want, I gotta decline.\I'm busy at the moment, see.\I give you two credit for making it this far.\But you won't get out of here alive.\Sounds like fun. Let's see what ya got.\I'm fast.\No one can... catch up with... response:	Stay away!
context: But if it's an autograph you want, I gotta decline.\I'm busy at the moment, see.\I give you two credit for making it this far.\But you won't get out of here alive.\Sounds like fun. Let's see what ya got.\I'm fast.\No one can... catch up with...\Stay away! response:	Get back!
context: I'm busy at the moment, see.\I give you two credit for making it this far.\But you won't get out of here alive.\Sounds like fun. Let's see what ya got.\I'm fast.\No one can... catch up with...\Stay away!\Get back! response:	Give it up already.
context: I give you two credit for making it this far.\But you won't get out of here alive.\Sounds like fun. Let's see what ya got.\I'm fast.\No one can... catch up with...\Stay away!\Get back!\Give it up already. response:	This battle is over.
context: But you won't get out of here alive.\Sounds like fun. Let's see what ya got.\I'm fast.\No one can... catch up with...\Stay away!\Get back!\Give it up already.\This battle is over. response:	Faster...
context: Sounds like fun. Let's see what ya got.\I'm fast.\No one can... catch up with...\Stay away!\Get back!\Give it up already.\This battle is over.\Faster... response:	Be... faster!
context: I'm fast.\No one can... catch up with...\Stay away!\Get back!\Give it up already.\This battle is over.\Faster...\Be... faster! response:	What did you do?
context: No one can... catch up with...\Stay away!\Get back!\Give it up already.\This battle is over.\Faster...\Be... faster!\What did you do? response:	Your speed increased even more?!
context: Stay away!\Get back!\Give it up already.\This battle is over.\Faster...\Be... faster!\What did you do?\Your speed increased even more?! response:	You certainly are fast...
context: Get back!\Give it up already.\This battle is over.\Faster...\Be... faster!\What did you do?\Your speed increased even more?!\You certainly are fast... response:	How?
context: Give it up already.\This battle is over.\Faster...\Be... faster!\What did you do?\Your speed increased even more?!\You certainly are fast...\How? response:	How... can you be faster... than me?
context: This battle is over.\Faster...\Be... faster!\What did you do?\Your speed increased even more?!\You certainly are fast...\How?\How... can you be faster... than me? response:	You're just running away.
context: Faster...\Be... faster!\What did you do?\Your speed increased even more?!\You certainly are fast...\How?\How... can you be faster... than me?\You're just running away. response:	I'm moving forward.
context: Be... faster!\What did you do?\Your speed increased even more?!\You certainly are fast...\How?\How... can you be faster... than me?\You're just running away.\I'm moving forward. response:	In a confrontation, the person who wants to help their friends
context: What did you do?\Your speed increased even more?!\You certainly are fast...\How?\How... can you be faster... than me?\You're just running away.\I'm moving forward.\In a confrontation, the person who wants to help their friends response:	is stronger than the person who escapes.
context: Your speed increased even more?!\You certainly are fast...\How?\How... can you be faster... than me?\You're just running away.\I'm moving forward.\In a confrontation, the person who wants to help their friends\is stronger than the person who escapes. response:	What are you running away from?
context: You certainly are fast...\How?\How... can you be faster... than me?\You're just running away.\I'm moving forward.\In a confrontation, the person who wants to help their friends\is stronger than the person who escapes.\What are you running away from? response:	Running away?
context: How?\How... can you be faster... than me?\You're just running away.\I'm moving forward.\In a confrontation, the person who wants to help their friends\is stronger than the person who escapes.\What are you running away from?\Running away? response:	What was I... running away from?
context: How... can you be faster... than me?\You're just running away.\I'm moving forward.\In a confrontation, the person who wants to help their friends\is stronger than the person who escapes.\What are you running away from?\Running away?\What was I... running away from? response:	Running away...
context: You're just running away.\I'm moving forward.\In a confrontation, the person who wants to help their friends\is stronger than the person who escapes.\What are you running away from?\Running away?\What was I... running away from?\Running away... response:	I was always... running away...
context: I'm moving forward.\In a confrontation, the person who wants to help their friends\is stronger than the person who escapes.\What are you running away from?\Running away?\What was I... running away from?\Running away...\I was always... running away... response:	You were running away from yourself, weren't you?
context: In a confrontation, the person who wants to help their friends\is stronger than the person who escapes.\What are you running away from?\Running away?\What was I... running away from?\Running away...\I was always... running away...\You were running away from yourself, weren't you? response:	From... myself?
context: is stronger than the person who escapes.\What are you running away from?\Running away?\What was I... running away from?\Running away...\I was always... running away...\You were running away from yourself, weren't you?\From... myself? response:	That's right. From your own past.
context: What are you running away from?\Running away?\What was I... running away from?\Running away...\I was always... running away...\You were running away from yourself, weren't you?\From... myself?\That's right. From your own past. response:	Pain, failure, fear...
context: Running away?\What was I... running away from?\Running away...\I was always... running away...\You were running away from yourself, weren't you?\From... myself?\That's right. From your own past.\Pain, failure, fear... response:	A painful past that made you want to escape...
context: What was I... running away from?\Running away...\I was always... running away...\You were running away from yourself, weren't you?\From... myself?\That's right. From your own past.\Pain, failure, fear...\A painful past that made you want to escape... response:	I was the same way once.
context: Running away...\I was always... running away...\You were running away from yourself, weren't you?\From... myself?\That's right. From your own past.\Pain, failure, fear...\A painful past that made you want to escape...\I was the same way once. response:	I kept running from my bitter past.
context: I was always... running away...\You were running away from yourself, weren't you?\From... myself?\That's right. From your own past.\Pain, failure, fear...\A painful past that made you want to escape...\I was the same way once.\I kept running from my bitter past. response:	That's why I understand... the pain in your heart.
context: You were running away from yourself, weren't you?\From... myself?\That's right. From your own past.\Pain, failure, fear...\A painful past that made you want to escape...\I was the same way once.\I kept running from my bitter past.\That's why I understand... the pain in your heart. response:	No one's going to chase you anymore.
context: From... myself?\That's right. From your own past.\Pain, failure, fear...\A painful past that made you want to escape...\I was the same way once.\I kept running from my bitter past.\That's why I understand... the pain in your heart.\No one's going to chase you anymore. response:	You don't have to run away.
context: That's right. From your own past.\Pain, failure, fear...\A painful past that made you want to escape...\I was the same way once.\I kept running from my bitter past.\That's why I understand... the pain in your heart.\No one's going to chase you anymore.\You don't have to run away. response:	Someone is calling me...
context: Pain, failure, fear...\A painful past that made you want to escape...\I was the same way once.\I kept running from my bitter past.\That's why I understand... the pain in your heart.\No one's going to chase you anymore.\You don't have to run away.\Someone is calling me... response:	I have to look for that person.
context: A painful past that made you want to escape...\I was the same way once.\I kept running from my bitter past.\That's why I understand... the pain in your heart.\No one's going to chase you anymore.\You don't have to run away.\Someone is calling me...\I have to look for that person. response:	Racer failed?
context: I was the same way once.\I kept running from my bitter past.\That's why I understand... the pain in your heart.\No one's going to chase you anymore.\You don't have to run away.\Someone is calling me...\I have to look for that person.\Racer failed? response:	Cobra, Angel, stop them.
context: I kept running from my bitter past.\That's why I understand... the pain in your heart.\No one's going to chase you anymore.\You don't have to run away.\Someone is calling me...\I have to look for that person.\Racer failed?\Cobra, Angel, stop them. response:	Zentopia's doctrine demands absolute loyalty.
context: That's why I understand... the pain in your heart.\No one's going to chase you anymore.\You don't have to run away.\Someone is calling me...\I have to look for that person.\Racer failed?\Cobra, Angel, stop them.\Zentopia's doctrine demands absolute loyalty. response:	Never doubt never doubt...
context: No one's going to chase you anymore.\You don't have to run away.\Someone is calling me...\I have to look for that person.\Racer failed?\Cobra, Angel, stop them.\Zentopia's doctrine demands absolute loyalty.\Never doubt never doubt... response:	What happens if you doubt?
context: You don't have to run away.\Someone is calling me...\I have to look for that person.\Racer failed?\Cobra, Angel, stop them.\Zentopia's doctrine demands absolute loyalty.\Never doubt never doubt...\What happens if you doubt? response:	Traitors... will scatter!
context: Someone is calling me...\I have to look for that person.\Racer failed?\Cobra, Angel, stop them.\Zentopia's doctrine demands absolute loyalty.\Never doubt never doubt...\What happens if you doubt?\Traitors... will scatter! response:	What the hell?!
context: I have to look for that person.\Racer failed?\Cobra, Angel, stop them.\Zentopia's doctrine demands absolute loyalty.\Never doubt never doubt...\What happens if you doubt?\Traitors... will scatter!\What the hell?! response:	Magic that makes you explode... Rupture Magic!
context: Racer failed?\Cobra, Angel, stop them.\Zentopia's doctrine demands absolute loyalty.\Never doubt never doubt...\What happens if you doubt?\Traitors... will scatter!\What the hell?!\Magic that makes you explode... Rupture Magic! response:	I expand the magic that's in your body in the blink of an eye and make it explode!
context: Cobra, Angel, stop them.\Zentopia's doctrine demands absolute loyalty.\Never doubt never doubt...\What happens if you doubt?\Traitors... will scatter!\What the hell?!\Magic that makes you explode... Rupture Magic!\I expand the magic that's in your body in the blink of an eye and make it explode! response:	Pull yourself together...
context: Zentopia's doctrine demands absolute loyalty.\Never doubt never doubt...\What happens if you doubt?\Traitors... will scatter!\What the hell?!\Magic that makes you explode... Rupture Magic!\I expand the magic that's in your body in the blink of an eye and make it explode!\Pull yourself together... response:	I don't care who it is that defies Zentopia's doctrine, I'll clean them up!
context: Never doubt never doubt...\What happens if you doubt?\Traitors... will scatter!\What the hell?!\Magic that makes you explode... Rupture Magic!\I expand the magic that's in your body in the blink of an eye and make it explode!\Pull yourself together...\I don't care who it is that defies Zentopia's doctrine, I'll clean them up! response:	Make a fool outta me...
context: What happens if you doubt?\Traitors... will scatter!\What the hell?!\Magic that makes you explode... Rupture Magic!\I expand the magic that's in your body in the blink of an eye and make it explode!\Pull yourself together...\I don't care who it is that defies Zentopia's doctrine, I'll clean them up!\Make a fool outta me... response:	I like your spirit!
context: Traitors... will scatter!\What the hell?!\Magic that makes you explode... Rupture Magic!\I expand the magic that's in your body in the blink of an eye and make it explode!\Pull yourself together...\I don't care who it is that defies Zentopia's doctrine, I'll clean them up!\Make a fool outta me...\I like your spirit! response:	You can't!
context: What the hell?!\Magic that makes you explode... Rupture Magic!\I expand the magic that's in your body in the blink of an eye and make it explode!\Pull yourself together...\I don't care who it is that defies Zentopia's doctrine, I'll clean them up!\Make a fool outta me...\I like your spirit!\You can't! response:	You'll dance with him!
context: Magic that makes you explode... Rupture Magic!\I expand the magic that's in your body in the blink of an eye and make it explode!\Pull yourself together...\I don't care who it is that defies Zentopia's doctrine, I'll clean them up!\Make a fool outta me...\I like your spirit!\You can't!\You'll dance with him! response:	That's a nice rupture!
context: I expand the magic that's in your body in the blink of an eye and make it explode!\Pull yourself together...\I don't care who it is that defies Zentopia's doctrine, I'll clean them up!\Make a fool outta me...\I like your spirit!\You can't!\You'll dance with him!\That's a nice rupture! response:	You'll keep dancing until there's no more magic left in your body!
context: Pull yourself together...\I don't care who it is that defies Zentopia's doctrine, I'll clean them up!\Make a fool outta me...\I like your spirit!\You can't!\You'll dance with him!\That's a nice rupture!\You'll keep dancing until there's no more magic left in your body! response:	I ain't got time to scrap with a clown like this...
context: I don't care who it is that defies Zentopia's doctrine, I'll clean them up!\Make a fool outta me...\I like your spirit!\You can't!\You'll dance with him!\That's a nice rupture!\You'll keep dancing until there's no more magic left in your body!\I ain't got time to scrap with a clown like this... response:	Then you can have the last dance first, Natsu-chan.
context: Make a fool outta me...\I like your spirit!\You can't!\You'll dance with him!\That's a nice rupture!\You'll keep dancing until there's no more magic left in your body!\I ain't got time to scrap with a clown like this...\Then you can have the last dance first, Natsu-chan. response:	I-I can't move!
context: I like your spirit!\You can't!\You'll dance with him!\That's a nice rupture!\You'll keep dancing until there's no more magic left in your body!\I ain't got time to scrap with a clown like this...\Then you can have the last dance first, Natsu-chan.\I-I can't move! response:	I made it so you can't!
context: You can't!\You'll dance with him!\That's a nice rupture!\You'll keep dancing until there's no more magic left in your body!\I ain't got time to scrap with a clown like this...\Then you can have the last dance first, Natsu-chan.\I-I can't move!\I made it so you can't! response:	You!
context: You'll dance with him!\That's a nice rupture!\You'll keep dancing until there's no more magic left in your body!\I ain't got time to scrap with a clown like this...\Then you can have the last dance first, Natsu-chan.\I-I can't move!\I made it so you can't!\You! response:	What are you doing?!
context: That's a nice rupture!\You'll keep dancing until there's no more magic left in your body!\I ain't got time to scrap with a clown like this...\Then you can have the last dance first, Natsu-chan.\I-I can't move!\I made it so you can't!\You!\What are you doing?! response:	I thought that anyone who opposed His Grace had to be a bad guy,
context: You'll keep dancing until there's no more magic left in your body!\I ain't got time to scrap with a clown like this...\Then you can have the last dance first, Natsu-chan.\I-I can't move!\I made it so you can't!\You!\What are you doing?!\I thought that anyone who opposed His Grace had to be a bad guy, response:	but between you and the new Oracion Seis,
context: I ain't got time to scrap with a clown like this...\Then you can have the last dance first, Natsu-chan.\I-I can't move!\I made it so you can't!\You!\What are you doing?!\I thought that anyone who opposed His Grace had to be a bad guy,\but between you and the new Oracion Seis, response:	I've lost the ability to tell who the bad guys are!
context: Then you can have the last dance first, Natsu-chan.\I-I can't move!\I made it so you can't!\You!\What are you doing?!\I thought that anyone who opposed His Grace had to be a bad guy,\but between you and the new Oracion Seis,\I've lost the ability to tell who the bad guys are! response:	I don't know what to do...
context: I-I can't move!\I made it so you can't!\You!\What are you doing?!\I thought that anyone who opposed His Grace had to be a bad guy,\but between you and the new Oracion Seis,\I've lost the ability to tell who the bad guys are!\I don't know what to do... response:	Hughes...
context: I made it so you can't!\You!\What are you doing?!\I thought that anyone who opposed His Grace had to be a bad guy,\but between you and the new Oracion Seis,\I've lost the ability to tell who the bad guys are!\I don't know what to do...\Hughes... response:	I don't need to be able to move to use Rupture Magic.
context: You!\What are you doing?!\I thought that anyone who opposed His Grace had to be a bad guy,\but between you and the new Oracion Seis,\I've lost the ability to tell who the bad guys are!\I don't know what to do...\Hughes...\I don't need to be able to move to use Rupture Magic. response:	Hughes!
context: What are you doing?!\I thought that anyone who opposed His Grace had to be a bad guy,\but between you and the new Oracion Seis,\I've lost the ability to tell who the bad guys are!\I don't know what to do...\Hughes...\I don't need to be able to move to use Rupture Magic.\Hughes! response:	It's not like... making someone freeze...
context: I thought that anyone who opposed His Grace had to be a bad guy,\but between you and the new Oracion Seis,\I've lost the ability to tell who the bad guys are!\I don't know what to do...\Hughes...\I don't need to be able to move to use Rupture Magic.\Hughes!\It's not like... making someone freeze... response:	You two, get out of here!
context: but between you and the new Oracion Seis,\I've lost the ability to tell who the bad guys are!\I don't know what to do...\Hughes...\I don't need to be able to move to use Rupture Magic.\Hughes!\It's not like... making someone freeze...\You two, get out of here! response:	But...
context: I've lost the ability to tell who the bad guys are!\I don't know what to do...\Hughes...\I don't need to be able to move to use Rupture Magic.\Hughes!\It's not like... making someone freeze...\You two, get out of here!\But... response:	Coco, I want you to at least confirm with your own eyes what's right!
context: I don't know what to do...\Hughes...\I don't need to be able to move to use Rupture Magic.\Hughes!\It's not like... making someone freeze...\You two, get out of here!\But...\Coco, I want you to at least confirm with your own eyes what's right! response:	Now! Hurry up and go!
context: Hughes...\I don't need to be able to move to use Rupture Magic.\Hughes!\It's not like... making someone freeze...\You two, get out of here!\But...\Coco, I want you to at least confirm with your own eyes what's right!\Now! Hurry up and go! response:	O-Okay!
context: I don't need to be able to move to use Rupture Magic.\Hughes!\It's not like... making someone freeze...\You two, get out of here!\But...\Coco, I want you to at least confirm with your own eyes what's right!\Now! Hurry up and go!\O-Okay! response:	Come on!
context: Hughes!\It's not like... making someone freeze...\You two, get out of here!\But...\Coco, I want you to at least confirm with your own eyes what's right!\Now! Hurry up and go!\O-Okay!\Come on! response:	It's Fairy Tail!
context: It's not like... making someone freeze...\You two, get out of here!\But...\Coco, I want you to at least confirm with your own eyes what's right!\Now! Hurry up and go!\O-Okay!\Come on!\It's Fairy Tail! response:	Don't let them near the cathedral!
context: You two, get out of here!\But...\Coco, I want you to at least confirm with your own eyes what's right!\Now! Hurry up and go!\O-Okay!\Come on!\It's Fairy Tail!\Don't let them near the cathedral! response:	Fire! Fire!
context: But...\Coco, I want you to at least confirm with your own eyes what's right!\Now! Hurry up and go!\O-Okay!\Come on!\It's Fairy Tail!\Don't let them near the cathedral!\Fire! Fire! response:	Don't underestimate the redesigned Christina!
context: Coco, I want you to at least confirm with your own eyes what's right!\Now! Hurry up and go!\O-Okay!\Come on!\It's Fairy Tail!\Don't let them near the cathedral!\Fire! Fire!\Don't underestimate the redesigned Christina! response:	Men!
context: Now! Hurry up and go!\O-Okay!\Come on!\It's Fairy Tail!\Don't let them near the cathedral!\Fire! Fire!\Don't underestimate the redesigned Christina!\Men! response:	Wow!
context: O-Okay!\Come on!\It's Fairy Tail!\Don't let them near the cathedral!\Fire! Fire!\Don't underestimate the redesigned Christina!\Men!\Wow! response:	Men.
context: Come on!\It's Fairy Tail!\Don't let them near the cathedral!\Fire! Fire!\Don't underestimate the redesigned Christina!\Men!\Wow!\Men. response:	They're here...
context: It's Fairy Tail!\Don't let them near the cathedral!\Fire! Fire!\Don't underestimate the redesigned Christina!\Men!\Wow!\Men.\They're here... response:	Fairy Tail...
context: Don't let them near the cathedral!\Fire! Fire!\Don't underestimate the redesigned Christina!\Men!\Wow!\Men.\They're here...\Fairy Tail... response:	They've shaken my faith in Zentopia, but I won't let them do as they please.
context: Fire! Fire!\Don't underestimate the redesigned Christina!\Men!\Wow!\Men.\They're here...\Fairy Tail...\They've shaken my faith in Zentopia, but I won't let them do as they please. response:	Go, Kanaloa!
context: Don't underestimate the redesigned Christina!\Men!\Wow!\Men.\They're here...\Fairy Tail...\They've shaken my faith in Zentopia, but I won't let them do as they please.\Go, Kanaloa! response:	An octopus is no match for my redesigned Christina!
context: Men!\Wow!\Men.\They're here...\Fairy Tail...\They've shaken my faith in Zentopia, but I won't let them do as they please.\Go, Kanaloa!\An octopus is no match for my redesigned Christina! response:	Men!
context: Wow!\Men.\They're here...\Fairy Tail...\They've shaken my faith in Zentopia, but I won't let them do as they please.\Go, Kanaloa!\An octopus is no match for my redesigned Christina!\Men! response:	They all bounced off, huh?
context: Men.\They're here...\Fairy Tail...\They've shaken my faith in Zentopia, but I won't let them do as they please.\Go, Kanaloa!\An octopus is no match for my redesigned Christina!\Men!\They all bounced off, huh? response:	Th-This is...
context: They're here...\Fairy Tail...\They've shaken my faith in Zentopia, but I won't let them do as they please.\Go, Kanaloa!\An octopus is no match for my redesigned Christina!\Men!\They all bounced off, huh?\Th-This is... response:	Knock it off the ship!
context: Fairy Tail...\They've shaken my faith in Zentopia, but I won't let them do as they please.\Go, Kanaloa!\An octopus is no match for my redesigned Christina!\Men!\They all bounced off, huh?\Th-This is...\Knock it off the ship! response:	Wha...?!
context: They've shaken my faith in Zentopia, but I won't let them do as they please.\Go, Kanaloa!\An octopus is no match for my redesigned Christina!\Men!\They all bounced off, huh?\Th-This is...\Knock it off the ship!\Wha...?! response:	I'll leave the rest to you, Kanaloa.
context: Go, Kanaloa!\An octopus is no match for my redesigned Christina!\Men!\They all bounced off, huh?\Th-This is...\Knock it off the ship!\Wha...?!\I'll leave the rest to you, Kanaloa. response:	I'm going to His Grace and ask him directly...
context: An octopus is no match for my redesigned Christina!\Men!\They all bounced off, huh?\Th-This is...\Knock it off the ship!\Wha...?!\I'll leave the rest to you, Kanaloa.\I'm going to His Grace and ask him directly... response:	No...
context: Men!\They all bounced off, huh?\Th-This is...\Knock it off the ship!\Wha...?!\I'll leave the rest to you, Kanaloa.\I'm going to His Grace and ask him directly...\No... response:	At this rate, what happened seven years ago will occur again...
context: They all bounced off, huh?\Th-This is...\Knock it off the ship!\Wha...?!\I'll leave the rest to you, Kanaloa.\I'm going to His Grace and ask him directly...\No...\At this rate, what happened seven years ago will occur again... response:	Fire spiral anchors!
context: Th-This is...\Knock it off the ship!\Wha...?!\I'll leave the rest to you, Kanaloa.\I'm going to His Grace and ask him directly...\No...\At this rate, what happened seven years ago will occur again...\Fire spiral anchors! response:	Men!
context: Knock it off the ship!\Wha...?!\I'll leave the rest to you, Kanaloa.\I'm going to His Grace and ask him directly...\No...\At this rate, what happened seven years ago will occur again...\Fire spiral anchors!\Men! response:	The redesigned Christina and I will take care of this octopus by ourselves!
context: Wha...?!\I'll leave the rest to you, Kanaloa.\I'm going to His Grace and ask him directly...\No...\At this rate, what happened seven years ago will occur again...\Fire spiral anchors!\Men!\The redesigned Christina and I will take care of this octopus by ourselves! response:	Before we do, though, everyone get out!
