context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, keep the room nice and bright,
context: Everyone gonna eat it?\Gray, your clothes!\You're kiddin' me!\This is a dragon egg!\I'm gonna hatch it!\A dragon?\Just look at the strange markings. They look like a dragon's talons!\You think? response:	So, Gramps... Force the dragon to hatch!
context: Gray, your clothes!\You're kiddin' me!\This is a dragon egg!\I'm gonna hatch it!\A dragon?\Just look at the strange markings. They look like a dragon's talons!\You think?\So, Gramps... Force the dragon to hatch! response:	What are you saying, you dimwit!
context: You're kiddin' me!\This is a dragon egg!\I'm gonna hatch it!\A dragon?\Just look at the strange markings. They look like a dragon's talons!\You think?\So, Gramps... Force the dragon to hatch!\What are you saying, you dimwit! response:	In this world, there is no magic that defames life!
context: This is a dragon egg!\I'm gonna hatch it!\A dragon?\Just look at the strange markings. They look like a dragon's talons!\You think?\So, Gramps... Force the dragon to hatch!\What are you saying, you dimwit!\In this world, there is no magic that defames life! response:	Life is given birth from love.
context: I'm gonna hatch it!\A dragon?\Just look at the strange markings. They look like a dragon's talons!\You think?\So, Gramps... Force the dragon to hatch!\What are you saying, you dimwit!\In this world, there is no magic that defames life!\Life is given birth from love. response:	And no magic can change that!
context: A dragon?\Just look at the strange markings. They look like a dragon's talons!\You think?\So, Gramps... Force the dragon to hatch!\What are you saying, you dimwit!\In this world, there is no magic that defames life!\Life is given birth from love.\And no magic can change that! response:	I don't get you at all.
context: Just look at the strange markings. They look like a dragon's talons!\You think?\So, Gramps... Force the dragon to hatch!\What are you saying, you dimwit!\In this world, there is no magic that defames life!\Life is given birth from love.\And no magic can change that!\I don't get you at all. response:	Perhaps you are too young.
context: You think?\So, Gramps... Force the dragon to hatch!\What are you saying, you dimwit!\In this world, there is no magic that defames life!\Life is given birth from love.\And no magic can change that!\I don't get you at all.\Perhaps you are too young. response:	In other words, if you want to hatch it, you should work hard at it yourself.
context: So, Gramps... Force the dragon to hatch!\What are you saying, you dimwit!\In this world, there is no magic that defames life!\Life is given birth from love.\And no magic can change that!\I don't get you at all.\Perhaps you are too young.\In other words, if you want to hatch it, you should work hard at it yourself. response:	Since the only thing you usually do is destroy stuff,
context: What are you saying, you dimwit!\In this world, there is no magic that defames life!\Life is given birth from love.\And no magic can change that!\I don't get you at all.\Perhaps you are too young.\In other words, if you want to hatch it, you should work hard at it yourself.\Since the only thing you usually do is destroy stuff, response:	this is an excellent chance for you to learn how to give birth to something.
context: In this world, there is no magic that defames life!\Life is given birth from love.\And no magic can change that!\I don't get you at all.\Perhaps you are too young.\In other words, if you want to hatch it, you should work hard at it yourself.\Since the only thing you usually do is destroy stuff,\this is an excellent chance for you to learn how to give birth to something. response:	Erza?
context: Life is given birth from love.\And no magic can change that!\I don't get you at all.\Perhaps you are too young.\In other words, if you want to hatch it, you should work hard at it yourself.\Since the only thing you usually do is destroy stuff,\this is an excellent chance for you to learn how to give birth to something.\Erza? response:	You were here?
context: And no magic can change that!\I don't get you at all.\Perhaps you are too young.\In other words, if you want to hatch it, you should work hard at it yourself.\Since the only thing you usually do is destroy stuff,\this is an excellent chance for you to learn how to give birth to something.\Erza?\You were here? response:	Erza's back, you say?
context: I don't get you at all.\Perhaps you are too young.\In other words, if you want to hatch it, you should work hard at it yourself.\Since the only thing you usually do is destroy stuff,\this is an excellent chance for you to learn how to give birth to something.\Erza?\You were here?\Erza's back, you say? response:	We'll continue where we left off!
context: Perhaps you are too young.\In other words, if you want to hatch it, you should work hard at it yourself.\Since the only thing you usually do is destroy stuff,\this is an excellent chance for you to learn how to give birth to something.\Erza?\You were here?\Erza's back, you say?\We'll continue where we left off! response:	Come at me!
context: In other words, if you want to hatch it, you should work hard at it yourself.\Since the only thing you usually do is destroy stuff,\this is an excellent chance for you to learn how to give birth to something.\Erza?\You were here?\Erza's back, you say?\We'll continue where we left off!\Come at me! response:	Fighting, again?
context: Since the only thing you usually do is destroy stuff,\this is an excellent chance for you to learn how to give birth to something.\Erza?\You were here?\Erza's back, you say?\We'll continue where we left off!\Come at me!\Fighting, again? response:	Now that you mention it, we haven't finished things, have we...
context: this is an excellent chance for you to learn how to give birth to something.\Erza?\You were here?\Erza's back, you say?\We'll continue where we left off!\Come at me!\Fighting, again?\Now that you mention it, we haven't finished things, have we... response:	Wait, Mira? As in, you, Mira-san?
context: Erza?\You were here?\Erza's back, you say?\We'll continue where we left off!\Come at me!\Fighting, again?\Now that you mention it, we haven't finished things, have we...\Wait, Mira? As in, you, Mira-san? response:	Yes... And?
context: You were here?\Erza's back, you say?\We'll continue where we left off!\Come at me!\Fighting, again?\Now that you mention it, we haven't finished things, have we...\Wait, Mira? As in, you, Mira-san?\Yes... And? response:	You're like a totally different person!
context: Erza's back, you say?\We'll continue where we left off!\Come at me!\Fighting, again?\Now that you mention it, we haven't finished things, have we...\Wait, Mira? As in, you, Mira-san?\Yes... And?\You're like a totally different person! response:	And you even picked a fight with Erza?
context: We'll continue where we left off!\Come at me!\Fighting, again?\Now that you mention it, we haven't finished things, have we...\Wait, Mira? As in, you, Mira-san?\Yes... And?\You're like a totally different person!\And you even picked a fight with Erza? response:	Die, Erza!
context: Come at me!\Fighting, again?\Now that you mention it, we haven't finished things, have we...\Wait, Mira? As in, you, Mira-san?\Yes... And?\You're like a totally different person!\And you even picked a fight with Erza?\Die, Erza! response:	I'll make you cry, Mirajane!
context: Fighting, again?\Now that you mention it, we haven't finished things, have we...\Wait, Mira? As in, you, Mira-san?\Yes... And?\You're like a totally different person!\And you even picked a fight with Erza?\Die, Erza!\I'll make you cry, Mirajane! response:	You clanky bastard!
context: Now that you mention it, we haven't finished things, have we...\Wait, Mira? As in, you, Mira-san?\Yes... And?\You're like a totally different person!\And you even picked a fight with Erza?\Die, Erza!\I'll make you cry, Mirajane!\You clanky bastard! response:	You midriff baring bastard!
context: Wait, Mira? As in, you, Mira-san?\Yes... And?\You're like a totally different person!\And you even picked a fight with Erza?\Die, Erza!\I'll make you cry, Mirajane!\You clanky bastard!\You midriff baring bastard! response:	You prickly bastard!
context: Yes... And?\You're like a totally different person!\And you even picked a fight with Erza?\Die, Erza!\I'll make you cry, Mirajane!\You clanky bastard!\You midriff baring bastard!\You prickly bastard! response:	You bony bastard!
context: You're like a totally different person!\And you even picked a fight with Erza?\Die, Erza!\I'll make you cry, Mirajane!\You clanky bastard!\You midriff baring bastard!\You prickly bastard!\You bony bastard! response:	Fatty!
context: And you even picked a fight with Erza?\Die, Erza!\I'll make you cry, Mirajane!\You clanky bastard!\You midriff baring bastard!\You prickly bastard!\You bony bastard!\Fatty! response:	Four-eyes!
context: Die, Erza!\I'll make you cry, Mirajane!\You clanky bastard!\You midriff baring bastard!\You prickly bastard!\You bony bastard!\Fatty!\Four-eyes! response:	Way to lower the bar, guys...
context: I'll make you cry, Mirajane!\You clanky bastard!\You midriff baring bastard!\You prickly bastard!\You bony bastard!\Fatty!\Four-eyes!\Way to lower the bar, guys... response:	And Erza was telling us not to fight...
context: You clanky bastard!\You midriff baring bastard!\You prickly bastard!\You bony bastard!\Fatty!\Four-eyes!\Way to lower the bar, guys...\And Erza was telling us not to fight... response:	This is pissing me off...
context: You midriff baring bastard!\You prickly bastard!\You bony bastard!\Fatty!\Four-eyes!\Way to lower the bar, guys...\And Erza was telling us not to fight...\This is pissing me off... response:	Damn it!
context: You prickly bastard!\You bony bastard!\Fatty!\Four-eyes!\Way to lower the bar, guys...\And Erza was telling us not to fight...\This is pissing me off...\Damn it! response:	Erza, Mira... I'll beat up the both of ya one day!
context: You bony bastard!\Fatty!\Four-eyes!\Way to lower the bar, guys...\And Erza was telling us not to fight...\This is pissing me off...\Damn it!\Erza, Mira... I'll beat up the both of ya one day! response:	Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.
context: Fatty!\Four-eyes!\Way to lower the bar, guys...\And Erza was telling us not to fight...\This is pissing me off...\Damn it!\Erza, Mira... I'll beat up the both of ya one day!\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you. response:	And who asked you, Lisanna?
context: Four-eyes!\Way to lower the bar, guys...\And Erza was telling us not to fight...\This is pissing me off...\Damn it!\Erza, Mira... I'll beat up the both of ya one day!\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\And who asked you, Lisanna? response:	Hey, Natsu! Is it okay if I help you raise the egg together?
context: Way to lower the bar, guys...\And Erza was telling us not to fight...\This is pissing me off...\Damn it!\Erza, Mira... I'll beat up the both of ya one day!\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\And who asked you, Lisanna?\Hey, Natsu! Is it okay if I help you raise the egg together? response:	You'll help?!
context: And Erza was telling us not to fight...\This is pissing me off...\Damn it!\Erza, Mira... I'll beat up the both of ya one day!\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\And who asked you, Lisanna?\Hey, Natsu! Is it okay if I help you raise the egg together?\You'll help?! response:	Sure! Raising an egg looks like fun.
context: This is pissing me off...\Damn it!\Erza, Mira... I'll beat up the both of ya one day!\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\And who asked you, Lisanna?\Hey, Natsu! Is it okay if I help you raise the egg together?\You'll help?!\Sure! Raising an egg looks like fun. response:	Uh, is it really raising it?
context: Damn it!\Erza, Mira... I'll beat up the both of ya one day!\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\And who asked you, Lisanna?\Hey, Natsu! Is it okay if I help you raise the egg together?\You'll help?!\Sure! Raising an egg looks like fun.\Uh, is it really raising it? response:	What should we do to make it hatch?
context: Erza, Mira... I'll beat up the both of ya one day!\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\And who asked you, Lisanna?\Hey, Natsu! Is it okay if I help you raise the egg together?\You'll help?!\Sure! Raising an egg looks like fun.\Uh, is it really raising it?\What should we do to make it hatch? response:	You warm it up!
context: Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\And who asked you, Lisanna?\Hey, Natsu! Is it okay if I help you raise the egg together?\You'll help?!\Sure! Raising an egg looks like fun.\Uh, is it really raising it?\What should we do to make it hatch?\You warm it up! response:	Warm it up? Well, that's my specialty!
context: And who asked you, Lisanna?\Hey, Natsu! Is it okay if I help you raise the egg together?\You'll help?!\Sure! Raising an egg looks like fun.\Uh, is it really raising it?\What should we do to make it hatch?\You warm it up!\Warm it up? Well, that's my specialty! response:	Are you an idiot?
context: Hey, Natsu! Is it okay if I help you raise the egg together?\You'll help?!\Sure! Raising an egg looks like fun.\Uh, is it really raising it?\What should we do to make it hatch?\You warm it up!\Warm it up? Well, that's my specialty!\Are you an idiot? response:	Sheesh, don't do that!
context: You'll help?!\Sure! Raising an egg looks like fun.\Uh, is it really raising it?\What should we do to make it hatch?\You warm it up!\Warm it up? Well, that's my specialty!\Are you an idiot?\Sheesh, don't do that! response:	If you heat it that much it'll burn!
context: Sure! Raising an egg looks like fun.\Uh, is it really raising it?\What should we do to make it hatch?\You warm it up!\Warm it up? Well, that's my specialty!\Are you an idiot?\Sheesh, don't do that!\If you heat it that much it'll burn! response:	R-Really?
context: Uh, is it really raising it?\What should we do to make it hatch?\You warm it up!\Warm it up? Well, that's my specialty!\Are you an idiot?\Sheesh, don't do that!\If you heat it that much it'll burn!\R-Really? response:	Just leave it to my magic.
context: What should we do to make it hatch?\You warm it up!\Warm it up? Well, that's my specialty!\Are you an idiot?\Sheesh, don't do that!\If you heat it that much it'll burn!\R-Really?\Just leave it to my magic. response:	Take Over! Animal Soul!
context: You warm it up!\Warm it up? Well, that's my specialty!\Are you an idiot?\Sheesh, don't do that!\If you heat it that much it'll burn!\R-Really?\Just leave it to my magic.\Take Over! Animal Soul! response:	Ooh, it's a bird!
context: Warm it up? Well, that's my specialty!\Are you an idiot?\Sheesh, don't do that!\If you heat it that much it'll burn!\R-Really?\Just leave it to my magic.\Take Over! Animal Soul!\Ooh, it's a bird! response:	I get it now!
context: Are you an idiot?\Sheesh, don't do that!\If you heat it that much it'll burn!\R-Really?\Just leave it to my magic.\Take Over! Animal Soul!\Ooh, it's a bird!\I get it now! response:	Why don't I try warming it like this?
context: Sheesh, don't do that!\If you heat it that much it'll burn!\R-Really?\Just leave it to my magic.\Take Over! Animal Soul!\Ooh, it's a bird!\I get it now!\Why don't I try warming it like this? response:	You're smart, Lisanna!
context: If you heat it that much it'll burn!\R-Really?\Just leave it to my magic.\Take Over! Animal Soul!\Ooh, it's a bird!\I get it now!\Why don't I try warming it like this?\You're smart, Lisanna! response:	What's the matter, Elfman?
context: R-Really?\Just leave it to my magic.\Take Over! Animal Soul!\Ooh, it's a bird!\I get it now!\Why don't I try warming it like this?\You're smart, Lisanna!\What's the matter, Elfman? response:	Lisanna can use a full body Take Over, but I can't...
context: Just leave it to my magic.\Take Over! Animal Soul!\Ooh, it's a bird!\I get it now!\Why don't I try warming it like this?\You're smart, Lisanna!\What's the matter, Elfman?\Lisanna can use a full body Take Over, but I can't... response:	Even though we're on the same team...
context: Take Over! Animal Soul!\Ooh, it's a bird!\I get it now!\Why don't I try warming it like this?\You're smart, Lisanna!\What's the matter, Elfman?\Lisanna can use a full body Take Over, but I can't...\Even though we're on the same team... response:	Oh, right. You use the same magic as her.
context: Ooh, it's a bird!\I get it now!\Why don't I try warming it like this?\You're smart, Lisanna!\What's the matter, Elfman?\Lisanna can use a full body Take Over, but I can't...\Even though we're on the same team...\Oh, right. You use the same magic as her. response:	If I could use it, then I could turn into a bird and search for my parakeet...
context: I get it now!\Why don't I try warming it like this?\You're smart, Lisanna!\What's the matter, Elfman?\Lisanna can use a full body Take Over, but I can't...\Even though we're on the same team...\Oh, right. You use the same magic as her.\If I could use it, then I could turn into a bird and search for my parakeet... response:	Parakeet?
context: Why don't I try warming it like this?\You're smart, Lisanna!\What's the matter, Elfman?\Lisanna can use a full body Take Over, but I can't...\Even though we're on the same team...\Oh, right. You use the same magic as her.\If I could use it, then I could turn into a bird and search for my parakeet...\Parakeet? response:	I had one as a pet, but I lost it...
context: You're smart, Lisanna!\What's the matter, Elfman?\Lisanna can use a full body Take Over, but I can't...\Even though we're on the same team...\Oh, right. You use the same magic as her.\If I could use it, then I could turn into a bird and search for my parakeet...\Parakeet?\I had one as a pet, but I lost it... response:	Oh, I see.
context: What's the matter, Elfman?\Lisanna can use a full body Take Over, but I can't...\Even though we're on the same team...\Oh, right. You use the same magic as her.\If I could use it, then I could turn into a bird and search for my parakeet...\Parakeet?\I had one as a pet, but I lost it...\Oh, I see. response:	I wish I had an egg like that.
context: Lisanna can use a full body Take Over, but I can't...\Even though we're on the same team...\Oh, right. You use the same magic as her.\If I could use it, then I could turn into a bird and search for my parakeet...\Parakeet?\I had one as a pet, but I lost it...\Oh, I see.\I wish I had an egg like that. response:	So, that's Elfman?
context: Even though we're on the same team...\Oh, right. You use the same magic as her.\If I could use it, then I could turn into a bird and search for my parakeet...\Parakeet?\I had one as a pet, but I lost it...\Oh, I see.\I wish I had an egg like that.\So, that's Elfman? response:	He was cute!
context: Oh, right. You use the same magic as her.\If I could use it, then I could turn into a bird and search for my parakeet...\Parakeet?\I had one as a pet, but I lost it...\Oh, I see.\I wish I had an egg like that.\So, that's Elfman?\He was cute! response:	Oh? I don't think he's changed much.
context: If I could use it, then I could turn into a bird and search for my parakeet...\Parakeet?\I had one as a pet, but I lost it...\Oh, I see.\I wish I had an egg like that.\So, that's Elfman?\He was cute!\Oh? I don't think he's changed much. response:	Magnolia South Gate Park.
context: Parakeet?\I had one as a pet, but I lost it...\Oh, I see.\I wish I had an egg like that.\So, that's Elfman?\He was cute!\Oh? I don't think he's changed much.\Magnolia South Gate Park. response:	This is starting to get uncomfortable...
context: I had one as a pet, but I lost it...\Oh, I see.\I wish I had an egg like that.\So, that's Elfman?\He was cute!\Oh? I don't think he's changed much.\Magnolia South Gate Park.\This is starting to get uncomfortable... response:	So we just do this and wait?
context: Oh, I see.\I wish I had an egg like that.\So, that's Elfman?\He was cute!\Oh? I don't think he's changed much.\Magnolia South Gate Park.\This is starting to get uncomfortable...\So we just do this and wait? response:	Yeah! But that's kind of boring.
context: I wish I had an egg like that.\So, that's Elfman?\He was cute!\Oh? I don't think he's changed much.\Magnolia South Gate Park.\This is starting to get uncomfortable...\So we just do this and wait?\Yeah! But that's kind of boring. response:	The egg moved!
context: So, that's Elfman?\He was cute!\Oh? I don't think he's changed much.\Magnolia South Gate Park.\This is starting to get uncomfortable...\So we just do this and wait?\Yeah! But that's kind of boring.\The egg moved! response:	What?
context: He was cute!\Oh? I don't think he's changed much.\Magnolia South Gate Park.\This is starting to get uncomfortable...\So we just do this and wait?\Yeah! But that's kind of boring.\The egg moved!\What? response:	Huh? It calmed down...
context: Oh? I don't think he's changed much.\Magnolia South Gate Park.\This is starting to get uncomfortable...\So we just do this and wait?\Yeah! But that's kind of boring.\The egg moved!\What?\Huh? It calmed down... response:	Wait, maybe the egg wants you to keep it warm, Natsu.
context: Magnolia South Gate Park.\This is starting to get uncomfortable...\So we just do this and wait?\Yeah! But that's kind of boring.\The egg moved!\What?\Huh? It calmed down...\Wait, maybe the egg wants you to keep it warm, Natsu. response:	Huh? Me?
context: This is starting to get uncomfortable...\So we just do this and wait?\Yeah! But that's kind of boring.\The egg moved!\What?\Huh? It calmed down...\Wait, maybe the egg wants you to keep it warm, Natsu.\Huh? Me? response:	Yeah! It seems happy!
context: So we just do this and wait?\Yeah! But that's kind of boring.\The egg moved!\What?\Huh? It calmed down...\Wait, maybe the egg wants you to keep it warm, Natsu.\Huh? Me?\Yeah! It seems happy! response:	So, you want to be with me?
context: Yeah! But that's kind of boring.\The egg moved!\What?\Huh? It calmed down...\Wait, maybe the egg wants you to keep it warm, Natsu.\Huh? Me?\Yeah! It seems happy!\So, you want to be with me? response:	It made a sound!
context: The egg moved!\What?\Huh? It calmed down...\Wait, maybe the egg wants you to keep it warm, Natsu.\Huh? Me?\Yeah! It seems happy!\So, you want to be with me?\It made a sound! response:	That's got to be it!
context: What?\Huh? It calmed down...\Wait, maybe the egg wants you to keep it warm, Natsu.\Huh? Me?\Yeah! It seems happy!\So, you want to be with me?\It made a sound!\That's got to be it! response:	Why you little...
context: Huh? It calmed down...\Wait, maybe the egg wants you to keep it warm, Natsu.\Huh? Me?\Yeah! It seems happy!\So, you want to be with me?\It made a sound!\That's got to be it!\Why you little... response:	Hey, why don't we make a home for the egg?
context: Wait, maybe the egg wants you to keep it warm, Natsu.\Huh? Me?\Yeah! It seems happy!\So, you want to be with me?\It made a sound!\That's got to be it!\Why you little...\Hey, why don't we make a home for the egg? response:	A secret base?
context: Huh? Me?\Yeah! It seems happy!\So, you want to be with me?\It made a sound!\That's got to be it!\Why you little...\Hey, why don't we make a home for the egg?\A secret base? response:	Finished!
context: Yeah! It seems happy!\So, you want to be with me?\It made a sound!\That's got to be it!\Why you little...\Hey, why don't we make a home for the egg?\A secret base?\Finished! response:	What do you think? Pretty cool house, right?
context: So, you want to be with me?\It made a sound!\That's got to be it!\Why you little...\Hey, why don't we make a home for the egg?\A secret base?\Finished!\What do you think? Pretty cool house, right? response:	Does it really have to be cool?
context: It made a sound!\That's got to be it!\Why you little...\Hey, why don't we make a home for the egg?\A secret base?\Finished!\What do you think? Pretty cool house, right?\Does it really have to be cool? response:	That was dangerous!
context: That's got to be it!\Why you little...\Hey, why don't we make a home for the egg?\A secret base?\Finished!\What do you think? Pretty cool house, right?\Does it really have to be cool?\That was dangerous! response:	Making a house is tricky, isn't it?
context: Why you little...\Hey, why don't we make a home for the egg?\A secret base?\Finished!\What do you think? Pretty cool house, right?\Does it really have to be cool?\That was dangerous!\Making a house is tricky, isn't it? response:	Substitution!
context: Hey, why don't we make a home for the egg?\A secret base?\Finished!\What do you think? Pretty cool house, right?\Does it really have to be cool?\That was dangerous!\Making a house is tricky, isn't it?\Substitution! response:	Leave it to me!
context: A secret base?\Finished!\What do you think? Pretty cool house, right?\Does it really have to be cool?\That was dangerous!\Making a house is tricky, isn't it?\Substitution!\Leave it to me! response:	You're huge!
context: Finished!\What do you think? Pretty cool house, right?\Does it really have to be cool?\That was dangerous!\Making a house is tricky, isn't it?\Substitution!\Leave it to me!\You're huge! response:	I'm a rabbit, okay?
context: What do you think? Pretty cool house, right?\Does it really have to be cool?\That was dangerous!\Making a house is tricky, isn't it?\Substitution!\Leave it to me!\You're huge!\I'm a rabbit, okay? response:	Just wait there a bit.
context: Does it really have to be cool?\That was dangerous!\Making a house is tricky, isn't it?\Substitution!\Leave it to me!\You're huge!\I'm a rabbit, okay?\Just wait there a bit. response:	Awesome! All I can do is break stuff!
context: That was dangerous!\Making a house is tricky, isn't it?\Substitution!\Leave it to me!\You're huge!\I'm a rabbit, okay?\Just wait there a bit.\Awesome! All I can do is break stuff! response:	Tada!
context: Making a house is tricky, isn't it?\Substitution!\Leave it to me!\You're huge!\I'm a rabbit, okay?\Just wait there a bit.\Awesome! All I can do is break stuff!\Tada! response:	Finished!
context: Substitution!\Leave it to me!\You're huge!\I'm a rabbit, okay?\Just wait there a bit.\Awesome! All I can do is break stuff!\Tada!\Finished! response:	Wow! You're awesome!
context: Leave it to me!\You're huge!\I'm a rabbit, okay?\Just wait there a bit.\Awesome! All I can do is break stuff!\Tada!\Finished!\Wow! You're awesome! response:	Now, come on in!
context: You're huge!\I'm a rabbit, okay?\Just wait there a bit.\Awesome! All I can do is break stuff!\Tada!\Finished!\Wow! You're awesome!\Now, come on in! response:	Undo your transformation first.
context: I'm a rabbit, okay?\Just wait there a bit.\Awesome! All I can do is break stuff!\Tada!\Finished!\Wow! You're awesome!\Now, come on in!\Undo your transformation first. response:	It's pretty spacious when you get inside.
context: Just wait there a bit.\Awesome! All I can do is break stuff!\Tada!\Finished!\Wow! You're awesome!\Now, come on in!\Undo your transformation first.\It's pretty spacious when you get inside. response:	Isn't it?
context: Awesome! All I can do is break stuff!\Tada!\Finished!\Wow! You're awesome!\Now, come on in!\Undo your transformation first.\It's pretty spacious when you get inside.\Isn't it? response:	Anyway, let's have a seat.
context: Tada!\Finished!\Wow! You're awesome!\Now, come on in!\Undo your transformation first.\It's pretty spacious when you get inside.\Isn't it?\Anyway, let's have a seat. response:	S-Sure...
context: Finished!\Wow! You're awesome!\Now, come on in!\Undo your transformation first.\It's pretty spacious when you get inside.\Isn't it?\Anyway, let's have a seat.\S-Sure... response:	We're almost like a family.
context: Wow! You're awesome!\Now, come on in!\Undo your transformation first.\It's pretty spacious when you get inside.\Isn't it?\Anyway, let's have a seat.\S-Sure...\We're almost like a family. response:	What's that supposed to mean?
context: Now, come on in!\Undo your transformation first.\It's pretty spacious when you get inside.\Isn't it?\Anyway, let's have a seat.\S-Sure...\We're almost like a family.\What's that supposed to mean? response:	Well, there's a daddy and a mommy and a baby, right?
context: Undo your transformation first.\It's pretty spacious when you get inside.\Isn't it?\Anyway, let's have a seat.\S-Sure...\We're almost like a family.\What's that supposed to mean?\Well, there's a daddy and a mommy and a baby, right? response:	Yeah, I guess that's not so bad.
context: It's pretty spacious when you get inside.\Isn't it?\Anyway, let's have a seat.\S-Sure...\We're almost like a family.\What's that supposed to mean?\Well, there's a daddy and a mommy and a baby, right?\Yeah, I guess that's not so bad. response:	Let's warm up the egg together.
context: Isn't it?\Anyway, let's have a seat.\S-Sure...\We're almost like a family.\What's that supposed to mean?\Well, there's a daddy and a mommy and a baby, right?\Yeah, I guess that's not so bad.\Let's warm up the egg together. response:	Right.
context: Anyway, let's have a seat.\S-Sure...\We're almost like a family.\What's that supposed to mean?\Well, there's a daddy and a mommy and a baby, right?\Yeah, I guess that's not so bad.\Let's warm up the egg together.\Right. response:	It's warm...
context: S-Sure...\We're almost like a family.\What's that supposed to mean?\Well, there's a daddy and a mommy and a baby, right?\Yeah, I guess that's not so bad.\Let's warm up the egg together.\Right.\It's warm... response:	It moved again!
context: We're almost like a family.\What's that supposed to mean?\Well, there's a daddy and a mommy and a baby, right?\Yeah, I guess that's not so bad.\Let's warm up the egg together.\Right.\It's warm...\It moved again! response:	I hope it hatches soon!
context: What's that supposed to mean?\Well, there's a daddy and a mommy and a baby, right?\Yeah, I guess that's not so bad.\Let's warm up the egg together.\Right.\It's warm...\It moved again!\I hope it hatches soon! response:	Huh? A dragon egg?
context: Well, there's a daddy and a mommy and a baby, right?\Yeah, I guess that's not so bad.\Let's warm up the egg together.\Right.\It's warm...\It moved again!\I hope it hatches soon!\Huh? A dragon egg? response:	Something like that wouldn't exist.
context: Yeah, I guess that's not so bad.\Let's warm up the egg together.\Right.\It's warm...\It moved again!\I hope it hatches soon!\Huh? A dragon egg?\Something like that wouldn't exist. response:	Natsu did say that he was raised by a dragon.
context: Let's warm up the egg together.\Right.\It's warm...\It moved again!\I hope it hatches soon!\Huh? A dragon egg?\Something like that wouldn't exist.\Natsu did say that he was raised by a dragon. response:	Yeah, like I buy that.
context: Right.\It's warm...\It moved again!\I hope it hatches soon!\Huh? A dragon egg?\Something like that wouldn't exist.\Natsu did say that he was raised by a dragon.\Yeah, like I buy that. response:	Make believe, yup! They made a secret base and are playing with the egg in it.
context: It's warm...\It moved again!\I hope it hatches soon!\Huh? A dragon egg?\Something like that wouldn't exist.\Natsu did say that he was raised by a dragon.\Yeah, like I buy that.\Make believe, yup! They made a secret base and are playing with the egg in it. response:	Lame.
context: It moved again!\I hope it hatches soon!\Huh? A dragon egg?\Something like that wouldn't exist.\Natsu did say that he was raised by a dragon.\Yeah, like I buy that.\Make believe, yup! They made a secret base and are playing with the egg in it.\Lame. response:	Man, to be a kid again.
context: I hope it hatches soon!\Huh? A dragon egg?\Something like that wouldn't exist.\Natsu did say that he was raised by a dragon.\Yeah, like I buy that.\Make believe, yup! They made a secret base and are playing with the egg in it.\Lame.\Man, to be a kid again. response:	They're all lovey-dovey!
context: Huh? A dragon egg?\Something like that wouldn't exist.\Natsu did say that he was raised by a dragon.\Yeah, like I buy that.\Make believe, yup! They made a secret base and are playing with the egg in it.\Lame.\Man, to be a kid again.\They're all lovey-dovey! response:	What's the big idea, Mirajane?
context: Something like that wouldn't exist.\Natsu did say that he was raised by a dragon.\Yeah, like I buy that.\Make believe, yup! They made a secret base and are playing with the egg in it.\Lame.\Man, to be a kid again.\They're all lovey-dovey!\What's the big idea, Mirajane? response:	You're a really dangerous dude, you know that?
context: Natsu did say that he was raised by a dragon.\Yeah, like I buy that.\Make believe, yup! They made a secret base and are playing with the egg in it.\Lame.\Man, to be a kid again.\They're all lovey-dovey!\What's the big idea, Mirajane?\You're a really dangerous dude, you know that? response:	I'd been wondering why she hadn't been home lately...
context: Yeah, like I buy that.\Make believe, yup! They made a secret base and are playing with the egg in it.\Lame.\Man, to be a kid again.\They're all lovey-dovey!\What's the big idea, Mirajane?\You're a really dangerous dude, you know that?\I'd been wondering why she hadn't been home lately... response:	She was together with Natsu?
context: Make believe, yup! They made a secret base and are playing with the egg in it.\Lame.\Man, to be a kid again.\They're all lovey-dovey!\What's the big idea, Mirajane?\You're a really dangerous dude, you know that?\I'd been wondering why she hadn't been home lately...\She was together with Natsu? response:	How dare she make nice with someone on Erza's side!
context: Lame.\Man, to be a kid again.\They're all lovey-dovey!\What's the big idea, Mirajane?\You're a really dangerous dude, you know that?\I'd been wondering why she hadn't been home lately...\She was together with Natsu?\How dare she make nice with someone on Erza's side! response:	What is she talking about?
context: Man, to be a kid again.\They're all lovey-dovey!\What's the big idea, Mirajane?\You're a really dangerous dude, you know that?\I'd been wondering why she hadn't been home lately...\She was together with Natsu?\How dare she make nice with someone on Erza's side!\What is she talking about? response:	What do you mean, Erza's side?
context: They're all lovey-dovey!\What's the big idea, Mirajane?\You're a really dangerous dude, you know that?\I'd been wondering why she hadn't been home lately...\She was together with Natsu?\How dare she make nice with someone on Erza's side!\What is she talking about?\What do you mean, Erza's side? response:	So this is where you picked up the egg?
