context: Half-demon Inuyasha... response:	born half demon and half human.
context: Spirit?!\The demon is the Un-Mother.\She was created by the forlorn spirits of mothers...\who lost children to famine or war.\If you reawaken the spirit that's under the spell of the Un-Mother...\his body will be released!\Awaken the spirit?!\But how? response:	Oh joy... You and Mother will soon be one...
context: The demon is the Un-Mother.\She was created by the forlorn spirits of mothers...\who lost children to famine or war.\If you reawaken the spirit that's under the spell of the Un-Mother...\his body will be released!\Awaken the spirit?!\But how?\Oh joy... You and Mother will soon be one... response:	I won't make it in time!
context: She was created by the forlorn spirits of mothers...\who lost children to famine or war.\If you reawaken the spirit that's under the spell of the Un-Mother...\his body will be released!\Awaken the spirit?!\But how?\Oh joy... You and Mother will soon be one...\I won't make it in time! response:	That child... is Inuyasha?
context: who lost children to famine or war.\If you reawaken the spirit that's under the spell of the Un-Mother...\his body will be released!\Awaken the spirit?!\But how?\Oh joy... You and Mother will soon be one...\I won't make it in time!\That child... is Inuyasha? response:	Yes!
context: If you reawaken the spirit that's under the spell of the Un-Mother...\his body will be released!\Awaken the spirit?!\But how?\Oh joy... You and Mother will soon be one...\I won't make it in time!\That child... is Inuyasha?\Yes! response:	That is the work of the Un-Mother's magic!
context: his body will be released!\Awaken the spirit?!\But how?\Oh joy... You and Mother will soon be one...\I won't make it in time!\That child... is Inuyasha?\Yes!\That is the work of the Un-Mother's magic! response:	If I erase that image, then...
context: Awaken the spirit?!\But how?\Oh joy... You and Mother will soon be one...\I won't make it in time!\That child... is Inuyasha?\Yes!\That is the work of the Un-Mother's magic!\If I erase that image, then... response:	Inuyasha! Wake up!
context: But how?\Oh joy... You and Mother will soon be one...\I won't make it in time!\That child... is Inuyasha?\Yes!\That is the work of the Un-Mother's magic!\If I erase that image, then...\Inuyasha! Wake up! response:	Inuyasha... Are you all right?
context: Oh joy... You and Mother will soon be one...\I won't make it in time!\That child... is Inuyasha?\Yes!\That is the work of the Un-Mother's magic!\If I erase that image, then...\Inuyasha! Wake up!\Inuyasha... Are you all right? response:	Damn!
context: I won't make it in time!\That child... is Inuyasha?\Yes!\That is the work of the Un-Mother's magic!\If I erase that image, then...\Inuyasha! Wake up!\Inuyasha... Are you all right?\Damn! response:	Damn it to hell!
context: That child... is Inuyasha?\Yes!\That is the work of the Un-Mother's magic!\If I erase that image, then...\Inuyasha! Wake up!\Inuyasha... Are you all right?\Damn!\Damn it to hell! response:	How dare they... use my mother like that?!
context: Yes!\That is the work of the Un-Mother's magic!\If I erase that image, then...\Inuyasha! Wake up!\Inuyasha... Are you all right?\Damn!\Damn it to hell!\How dare they... use my mother like that?! response:	It's all the work of Sesshomaru and Jaken.
context: That is the work of the Un-Mother's magic!\If I erase that image, then...\Inuyasha! Wake up!\Inuyasha... Are you all right?\Damn!\Damn it to hell!\How dare they... use my mother like that?!\It's all the work of Sesshomaru and Jaken. response:	What?!
context: If I erase that image, then...\Inuyasha! Wake up!\Inuyasha... Are you all right?\Damn!\Damn it to hell!\How dare they... use my mother like that?!\It's all the work of Sesshomaru and Jaken.\What?! response:	Inuyasha...
context: Inuyasha! Wake up!\Inuyasha... Are you all right?\Damn!\Damn it to hell!\How dare they... use my mother like that?!\It's all the work of Sesshomaru and Jaken.\What?!\Inuyasha... response:	I know where the tomb is.
context: Inuyasha... Are you all right?\Damn!\Damn it to hell!\How dare they... use my mother like that?!\It's all the work of Sesshomaru and Jaken.\What?!\Inuyasha...\I know where the tomb is. response:	What?!
context: Damn!\Damn it to hell!\How dare they... use my mother like that?!\It's all the work of Sesshomaru and Jaken.\What?!\Inuyasha...\I know where the tomb is.\What?! response:	Sesshomaru!
context: Damn it to hell!\How dare they... use my mother like that?!\It's all the work of Sesshomaru and Jaken.\What?!\Inuyasha...\I know where the tomb is.\What?!\Sesshomaru! response:	Why you!
context: How dare they... use my mother like that?!\It's all the work of Sesshomaru and Jaken.\What?!\Inuyasha...\I know where the tomb is.\What?!\Sesshomaru!\Why you! response:	I never imagined it would be there!
context: It's all the work of Sesshomaru and Jaken.\What?!\Inuyasha...\I know where the tomb is.\What?!\Sesshomaru!\Why you!\I never imagined it would be there! response:	Very clever...
context: What?!\Inuyasha...\I know where the tomb is.\What?!\Sesshomaru!\Why you!\I never imagined it would be there!\Very clever... response:	That father would pick such a place.
context: Inuyasha...\I know where the tomb is.\What?!\Sesshomaru!\Why you!\I never imagined it would be there!\Very clever...\That father would pick such a place. response:	The black pearl in the right...
context: I know where the tomb is.\What?!\Sesshomaru!\Why you!\I never imagined it would be there!\Very clever...\That father would pick such a place.\The black pearl in the right... response:	Father didn't want anyone to disturb his resting place...
context: What?!\Sesshomaru!\Why you!\I never imagined it would be there!\Very clever...\That father would pick such a place.\The black pearl in the right...\Father didn't want anyone to disturb his resting place... response:	so he hid his tomb there.
context: Sesshomaru!\Why you!\I never imagined it would be there!\Very clever...\That father would pick such a place.\The black pearl in the right...\Father didn't want anyone to disturb his resting place...\so he hid his tomb there. response:	You...
context: Why you!\I never imagined it would be there!\Very clever...\That father would pick such a place.\The black pearl in the right...\Father didn't want anyone to disturb his resting place...\so he hid his tomb there.\You... response:	What kind of nonsense are you talking about?!
context: I never imagined it would be there!\Very clever...\That father would pick such a place.\The black pearl in the right...\Father didn't want anyone to disturb his resting place...\so he hid his tomb there.\You...\What kind of nonsense are you talking about?! response:	So you were entrusted with the tomb unknowingly.
context: Very clever...\That father would pick such a place.\The black pearl in the right...\Father didn't want anyone to disturb his resting place...\so he hid his tomb there.\You...\What kind of nonsense are you talking about?!\So you were entrusted with the tomb unknowingly. response:	Well then, would you like to visit father's grave with me?
context: That father would pick such a place.\The black pearl in the right...\Father didn't want anyone to disturb his resting place...\so he hid his tomb there.\You...\What kind of nonsense are you talking about?!\So you were entrusted with the tomb unknowingly.\Well then, would you like to visit father's grave with me? response:	Master Inuyasha!
context: The black pearl in the right...\Father didn't want anyone to disturb his resting place...\so he hid his tomb there.\You...\What kind of nonsense are you talking about?!\So you were entrusted with the tomb unknowingly.\Well then, would you like to visit father's grave with me?\Master Inuyasha! response:	Inuyasha!
context: Father didn't want anyone to disturb his resting place...\so he hid his tomb there.\You...\What kind of nonsense are you talking about?!\So you were entrusted with the tomb unknowingly.\Well then, would you like to visit father's grave with me?\Master Inuyasha!\Inuyasha! response:	No wonder it was useless looking underground.
context: so he hid his tomb there.\You...\What kind of nonsense are you talking about?!\So you were entrusted with the tomb unknowingly.\Well then, would you like to visit father's grave with me?\Master Inuyasha!\Inuyasha!\No wonder it was useless looking underground. response:	Visible, but invisible.
context: You...\What kind of nonsense are you talking about?!\So you were entrusted with the tomb unknowingly.\Well then, would you like to visit father's grave with me?\Master Inuyasha!\Inuyasha!\No wonder it was useless looking underground.\Visible, but invisible. response:	The true protector of the grave cannot be seen.
context: What kind of nonsense are you talking about?!\So you were entrusted with the tomb unknowingly.\Well then, would you like to visit father's grave with me?\Master Inuyasha!\Inuyasha!\No wonder it was useless looking underground.\Visible, but invisible.\The true protector of the grave cannot be seen. response:	And... it is the black pearl imbedded in your right eye.
context: So you were entrusted with the tomb unknowingly.\Well then, would you like to visit father's grave with me?\Master Inuyasha!\Inuyasha!\No wonder it was useless looking underground.\Visible, but invisible.\The true protector of the grave cannot be seen.\And... it is the black pearl imbedded in your right eye. response:	And just for that...
context: Well then, would you like to visit father's grave with me?\Master Inuyasha!\Inuyasha!\No wonder it was useless looking underground.\Visible, but invisible.\The true protector of the grave cannot be seen.\And... it is the black pearl imbedded in your right eye.\And just for that... response:	You tricked me with my dead mother's image!
context: Master Inuyasha!\Inuyasha!\No wonder it was useless looking underground.\Visible, but invisible.\The true protector of the grave cannot be seen.\And... it is the black pearl imbedded in your right eye.\And just for that...\You tricked me with my dead mother's image! response:	It was just a joke.
context: Inuyasha!\No wonder it was useless looking underground.\Visible, but invisible.\The true protector of the grave cannot be seen.\And... it is the black pearl imbedded in your right eye.\And just for that...\You tricked me with my dead mother's image!\It was just a joke. response:	Why you!
context: No wonder it was useless looking underground.\Visible, but invisible.\The true protector of the grave cannot be seen.\And... it is the black pearl imbedded in your right eye.\And just for that...\You tricked me with my dead mother's image!\It was just a joke.\Why you! response:	Unforgivable!
context: Visible, but invisible.\The true protector of the grave cannot be seen.\And... it is the black pearl imbedded in your right eye.\And just for that...\You tricked me with my dead mother's image!\It was just a joke.\Why you!\Unforgivable! response:	Die!
context: The true protector of the grave cannot be seen.\And... it is the black pearl imbedded in your right eye.\And just for that...\You tricked me with my dead mother's image!\It was just a joke.\Why you!\Unforgivable!\Die! response:	Huh?!
context: And... it is the black pearl imbedded in your right eye.\And just for that...\You tricked me with my dead mother's image!\It was just a joke.\Why you!\Unforgivable!\Die!\Huh?! response:	The Un-Mother?
context: And just for that...\You tricked me with my dead mother's image!\It was just a joke.\Why you!\Unforgivable!\Die!\Huh?!\The Un-Mother? response:	She protected Inuyasha?
context: You tricked me with my dead mother's image!\It was just a joke.\Why you!\Unforgivable!\Die!\Huh?!\The Un-Mother?\She protected Inuyasha? response:	The Un-Mother is a demon filled with motherly love.
context: It was just a joke.\Why you!\Unforgivable!\Die!\Huh?!\The Un-Mother?\She protected Inuyasha?\The Un-Mother is a demon filled with motherly love. response:	It's in her nature to try to protect children.
context: Why you!\Unforgivable!\Die!\Huh?!\The Un-Mother?\She protected Inuyasha?\The Un-Mother is a demon filled with motherly love.\It's in her nature to try to protect children. response:	My son...
context: Unforgivable!\Die!\Huh?!\The Un-Mother?\She protected Inuyasha?\The Un-Mother is a demon filled with motherly love.\It's in her nature to try to protect children.\My son... response:	Hey you!
context: Die!\Huh?!\The Un-Mother?\She protected Inuyasha?\The Un-Mother is a demon filled with motherly love.\It's in her nature to try to protect children.\My son...\Hey you! response:	Don't interfere! Or else we'll both be killed.
context: Huh?!\The Un-Mother?\She protected Inuyasha?\The Un-Mother is a demon filled with motherly love.\It's in her nature to try to protect children.\My son...\Hey you!\Don't interfere! Or else we'll both be killed. response:	But...!!
context: The Un-Mother?\She protected Inuyasha?\The Un-Mother is a demon filled with motherly love.\It's in her nature to try to protect children.\My son...\Hey you!\Don't interfere! Or else we'll both be killed.\But...!! response:	Jaken!
context: She protected Inuyasha?\The Un-Mother is a demon filled with motherly love.\It's in her nature to try to protect children.\My son...\Hey you!\Don't interfere! Or else we'll both be killed.\But...!!\Jaken! response:	Jaken!
context: The Un-Mother is a demon filled with motherly love.\It's in her nature to try to protect children.\My son...\Hey you!\Don't interfere! Or else we'll both be killed.\But...!!\Jaken!\Jaken! response:	Lord Sesshomaru!
context: It's in her nature to try to protect children.\My son...\Hey you!\Don't interfere! Or else we'll both be killed.\But...!!\Jaken!\Jaken!\Lord Sesshomaru! response:	I have my Human Head Staff back!
context: My son...\Hey you!\Don't interfere! Or else we'll both be killed.\But...!!\Jaken!\Jaken!\Lord Sesshomaru!\I have my Human Head Staff back! response:	How I have waited for this moment!
context: Hey you!\Don't interfere! Or else we'll both be killed.\But...!!\Jaken!\Jaken!\Lord Sesshomaru!\I have my Human Head Staff back!\How I have waited for this moment! response:	The old man laughs!
context: Don't interfere! Or else we'll both be killed.\But...!!\Jaken!\Jaken!\Lord Sesshomaru!\I have my Human Head Staff back!\How I have waited for this moment!\The old man laughs! response:	The tomb will now open!
context: But...!!\Jaken!\Jaken!\Lord Sesshomaru!\I have my Human Head Staff back!\How I have waited for this moment!\The old man laughs!\The tomb will now open! response:	They've disappeared!
context: Jaken!\Jaken!\Lord Sesshomaru!\I have my Human Head Staff back!\How I have waited for this moment!\The old man laughs!\The tomb will now open!\They've disappeared! response:	Master Inuyasha, hurry and enter before the entrance closes up.
context: Jaken!\Lord Sesshomaru!\I have my Human Head Staff back!\How I have waited for this moment!\The old man laughs!\The tomb will now open!\They've disappeared!\Master Inuyasha, hurry and enter before the entrance closes up. response:	Lord Sesshomaru intends to take sole possession...
context: Lord Sesshomaru!\I have my Human Head Staff back!\How I have waited for this moment!\The old man laughs!\The tomb will now open!\They've disappeared!\Master Inuyasha, hurry and enter before the entrance closes up.\Lord Sesshomaru intends to take sole possession... response:	of your father's treasure!
context: I have my Human Head Staff back!\How I have waited for this moment!\The old man laughs!\The tomb will now open!\They've disappeared!\Master Inuyasha, hurry and enter before the entrance closes up.\Lord Sesshomaru intends to take sole possession...\of your father's treasure! response:	I'm not interested in that!
context: How I have waited for this moment!\The old man laughs!\The tomb will now open!\They've disappeared!\Master Inuyasha, hurry and enter before the entrance closes up.\Lord Sesshomaru intends to take sole possession...\of your father's treasure!\I'm not interested in that! response:	Don't say such a thing!
context: The old man laughs!\The tomb will now open!\They've disappeared!\Master Inuyasha, hurry and enter before the entrance closes up.\Lord Sesshomaru intends to take sole possession...\of your father's treasure!\I'm not interested in that!\Don't say such a thing! response:	Shut up!
context: The tomb will now open!\They've disappeared!\Master Inuyasha, hurry and enter before the entrance closes up.\Lord Sesshomaru intends to take sole possession...\of your father's treasure!\I'm not interested in that!\Don't say such a thing!\Shut up! response:	Who said I wasn't going?!
context: They've disappeared!\Master Inuyasha, hurry and enter before the entrance closes up.\Lord Sesshomaru intends to take sole possession...\of your father's treasure!\I'm not interested in that!\Don't say such a thing!\Shut up!\Who said I wasn't going?! response:	That Sesshomaru...
context: Master Inuyasha, hurry and enter before the entrance closes up.\Lord Sesshomaru intends to take sole possession...\of your father's treasure!\I'm not interested in that!\Don't say such a thing!\Shut up!\Who said I wasn't going?!\That Sesshomaru... response:	I'll kill'im!
context: Lord Sesshomaru intends to take sole possession...\of your father's treasure!\I'm not interested in that!\Don't say such a thing!\Shut up!\Who said I wasn't going?!\That Sesshomaru...\I'll kill'im! response:	Kagome, it's dangerous, so you stay here...
context: of your father's treasure!\I'm not interested in that!\Don't say such a thing!\Shut up!\Who said I wasn't going?!\That Sesshomaru...\I'll kill'im!\Kagome, it's dangerous, so you stay here... response:	Huh?
context: I'm not interested in that!\Don't say such a thing!\Shut up!\Who said I wasn't going?!\That Sesshomaru...\I'll kill'im!\Kagome, it's dangerous, so you stay here...\Huh? response:	Will you hurry up!
context: Don't say such a thing!\Shut up!\Who said I wasn't going?!\That Sesshomaru...\I'll kill'im!\Kagome, it's dangerous, so you stay here...\Huh?\Will you hurry up! response:	Hey!
context: Shut up!\Who said I wasn't going?!\That Sesshomaru...\I'll kill'im!\Kagome, it's dangerous, so you stay here...\Huh?\Will you hurry up!\Hey! response:	Hey, Sesshomaru's inside!
context: Who said I wasn't going?!\That Sesshomaru...\I'll kill'im!\Kagome, it's dangerous, so you stay here...\Huh?\Will you hurry up!\Hey!\Hey, Sesshomaru's inside! response:	That's why we have to go teach him!
context: That Sesshomaru...\I'll kill'im!\Kagome, it's dangerous, so you stay here...\Huh?\Will you hurry up!\Hey!\Hey, Sesshomaru's inside!\That's why we have to go teach him! response:	Neither blood nor tears flow through him! He's unforgivable!
context: I'll kill'im!\Kagome, it's dangerous, so you stay here...\Huh?\Will you hurry up!\Hey!\Hey, Sesshomaru's inside!\That's why we have to go teach him!\Neither blood nor tears flow through him! He's unforgivable! response:	Father...
context: Kagome, it's dangerous, so you stay here...\Huh?\Will you hurry up!\Hey!\Hey, Sesshomaru's inside!\That's why we have to go teach him!\Neither blood nor tears flow through him! He's unforgivable!\Father... response:	Those bones are your father's?
context: Huh?\Will you hurry up!\Hey!\Hey, Sesshomaru's inside!\That's why we have to go teach him!\Neither blood nor tears flow through him! He's unforgivable!\Father...\Those bones are your father's? response:	Can't you tell?
context: Will you hurry up!\Hey!\Hey, Sesshomaru's inside!\That's why we have to go teach him!\Neither blood nor tears flow through him! He's unforgivable!\Father...\Those bones are your father's?\Can't you tell? response:	Well, even if you say that...
context: Hey!\Hey, Sesshomaru's inside!\That's why we have to go teach him!\Neither blood nor tears flow through him! He's unforgivable!\Father...\Those bones are your father's?\Can't you tell?\Well, even if you say that... response:	How was I to know?! It's so huge!
context: Hey, Sesshomaru's inside!\That's why we have to go teach him!\Neither blood nor tears flow through him! He's unforgivable!\Father...\Those bones are your father's?\Can't you tell?\Well, even if you say that...\How was I to know?! It's so huge! response:	His father...
context: That's why we have to go teach him!\Neither blood nor tears flow through him! He's unforgivable!\Father...\Those bones are your father's?\Can't you tell?\Well, even if you say that...\How was I to know?! It's so huge!\His father... response:	was a phantom of incomparable stature.
context: Neither blood nor tears flow through him! He's unforgivable!\Father...\Those bones are your father's?\Can't you tell?\Well, even if you say that...\How was I to know?! It's so huge!\His father...\was a phantom of incomparable stature. response:	And here he is in his truest form, undisguised.
context: Father...\Those bones are your father's?\Can't you tell?\Well, even if you say that...\How was I to know?! It's so huge!\His father...\was a phantom of incomparable stature.\And here he is in his truest form, undisguised. response:	The treasured sword imbedded in his bones...
context: Those bones are your father's?\Can't you tell?\Well, even if you say that...\How was I to know?! It's so huge!\His father...\was a phantom of incomparable stature.\And here he is in his truest form, undisguised.\The treasured sword imbedded in his bones... response:	That is what Lord Sesshomaru is after.
context: Can't you tell?\Well, even if you say that...\How was I to know?! It's so huge!\His father...\was a phantom of incomparable stature.\And here he is in his truest form, undisguised.\The treasured sword imbedded in his bones...\That is what Lord Sesshomaru is after. response:	I am finally here.
context: Well, even if you say that...\How was I to know?! It's so huge!\His father...\was a phantom of incomparable stature.\And here he is in his truest form, undisguised.\The treasured sword imbedded in his bones...\That is what Lord Sesshomaru is after.\I am finally here. response:	To possess the sacred sword imbedded in my father's bones.
context: How was I to know?! It's so huge!\His father...\was a phantom of incomparable stature.\And here he is in his truest form, undisguised.\The treasured sword imbedded in his bones...\That is what Lord Sesshomaru is after.\I am finally here.\To possess the sacred sword imbedded in my father's bones. response:	The lethal fang sword... known to kill a hundred beasts in a single stroke!
context: His father...\was a phantom of incomparable stature.\And here he is in his truest form, undisguised.\The treasured sword imbedded in his bones...\That is what Lord Sesshomaru is after.\I am finally here.\To possess the sacred sword imbedded in my father's bones.\The lethal fang sword... known to kill a hundred beasts in a single stroke! response:	Known as Tetsusaiga!
context: was a phantom of incomparable stature.\And here he is in his truest form, undisguised.\The treasured sword imbedded in his bones...\That is what Lord Sesshomaru is after.\I am finally here.\To possess the sacred sword imbedded in my father's bones.\The lethal fang sword... known to kill a hundred beasts in a single stroke!\Known as Tetsusaiga! response:	Tetsusaiga was forged from one of his father's fangs.
context: And here he is in his truest form, undisguised.\The treasured sword imbedded in his bones...\That is what Lord Sesshomaru is after.\I am finally here.\To possess the sacred sword imbedded in my father's bones.\The lethal fang sword... known to kill a hundred beasts in a single stroke!\Known as Tetsusaiga!\Tetsusaiga was forged from one of his father's fangs. response:	Being in possession of this sword...
context: The treasured sword imbedded in his bones...\That is what Lord Sesshomaru is after.\I am finally here.\To possess the sacred sword imbedded in my father's bones.\The lethal fang sword... known to kill a hundred beasts in a single stroke!\Known as Tetsusaiga!\Tetsusaiga was forged from one of his father's fangs.\Being in possession of this sword... response:	empowers you with as much strength as your father!
context: That is what Lord Sesshomaru is after.\I am finally here.\To possess the sacred sword imbedded in my father's bones.\The lethal fang sword... known to kill a hundred beasts in a single stroke!\Known as Tetsusaiga!\Tetsusaiga was forged from one of his father's fangs.\Being in possession of this sword...\empowers you with as much strength as your father! response:	Can't pull it out?
context: I am finally here.\To possess the sacred sword imbedded in my father's bones.\The lethal fang sword... known to kill a hundred beasts in a single stroke!\Known as Tetsusaiga!\Tetsusaiga was forged from one of his father's fangs.\Being in possession of this sword...\empowers you with as much strength as your father!\Can't pull it out? response:	He was ever so cautious.
context: To possess the sacred sword imbedded in my father's bones.\The lethal fang sword... known to kill a hundred beasts in a single stroke!\Known as Tetsusaiga!\Tetsusaiga was forged from one of his father's fangs.\Being in possession of this sword...\empowers you with as much strength as your father!\Can't pull it out?\He was ever so cautious. response:	There's a spell on it.
context: The lethal fang sword... known to kill a hundred beasts in a single stroke!\Known as Tetsusaiga!\Tetsusaiga was forged from one of his father's fangs.\Being in possession of this sword...\empowers you with as much strength as your father!\Can't pull it out?\He was ever so cautious.\There's a spell on it. response:	Sesshomaru!
context: Known as Tetsusaiga!\Tetsusaiga was forged from one of his father's fangs.\Being in possession of this sword...\empowers you with as much strength as your father!\Can't pull it out?\He was ever so cautious.\There's a spell on it.\Sesshomaru! response:	Hmm?
context: Tetsusaiga was forged from one of his father's fangs.\Being in possession of this sword...\empowers you with as much strength as your father!\Can't pull it out?\He was ever so cautious.\There's a spell on it.\Sesshomaru!\Hmm? response:	I haven't finished with you yet!
context: Being in possession of this sword...\empowers you with as much strength as your father!\Can't pull it out?\He was ever so cautious.\There's a spell on it.\Sesshomaru!\Hmm?\I haven't finished with you yet! response:	Damn!
context: empowers you with as much strength as your father!\Can't pull it out?\He was ever so cautious.\There's a spell on it.\Sesshomaru!\Hmm?\I haven't finished with you yet!\Damn! response:	Where'd he go?!
context: Can't pull it out?\He was ever so cautious.\There's a spell on it.\Sesshomaru!\Hmm?\I haven't finished with you yet!\Damn!\Where'd he go?! response:	This is our father's resting place. Be respectful!
context: He was ever so cautious.\There's a spell on it.\Sesshomaru!\Hmm?\I haven't finished with you yet!\Damn!\Where'd he go?!\This is our father's resting place. Be respectful! response:	You hypocrite!
context: There's a spell on it.\Sesshomaru!\Hmm?\I haven't finished with you yet!\Damn!\Where'd he go?!\This is our father's resting place. Be respectful!\You hypocrite! response:	You're the one trying to to rob his grave!
context: Sesshomaru!\Hmm?\I haven't finished with you yet!\Damn!\Where'd he go?!\This is our father's resting place. Be respectful!\You hypocrite!\You're the one trying to to rob his grave! response:	Now get out of here!
context: Hmm?\I haven't finished with you yet!\Damn!\Where'd he go?!\This is our father's resting place. Be respectful!\You hypocrite!\You're the one trying to to rob his grave!\Now get out of here! response:	Master Inuyasha!
context: I haven't finished with you yet!\Damn!\Where'd he go?!\This is our father's resting place. Be respectful!\You hypocrite!\You're the one trying to to rob his grave!\Now get out of here!\Master Inuyasha! response:	Look behind you!
context: Damn!\Where'd he go?!\This is our father's resting place. Be respectful!\You hypocrite!\You're the one trying to to rob his grave!\Now get out of here!\Master Inuyasha!\Look behind you! response:	Behind me? Why?
context: Where'd he go?!\This is our father's resting place. Be respectful!\You hypocrite!\You're the one trying to to rob his grave!\Now get out of here!\Master Inuyasha!\Look behind you!\Behind me? Why? response:	That's the sword... made from your father's fang...
context: This is our father's resting place. Be respectful!\You hypocrite!\You're the one trying to to rob his grave!\Now get out of here!\Master Inuyasha!\Look behind you!\Behind me? Why?\That's the sword... made from your father's fang... response:	That's Tetsusaiga!
context: You hypocrite!\You're the one trying to to rob his grave!\Now get out of here!\Master Inuyasha!\Look behind you!\Behind me? Why?\That's the sword... made from your father's fang...\That's Tetsusaiga! response:	Huh?!
context: You're the one trying to to rob his grave!\Now get out of here!\Master Inuyasha!\Look behind you!\Behind me? Why?\That's the sword... made from your father's fang...\That's Tetsusaiga!\Huh?! response:	It's just an old, rusty sword!
context: Now get out of here!\Master Inuyasha!\Look behind you!\Behind me? Why?\That's the sword... made from your father's fang...\That's Tetsusaiga!\Huh?!\It's just an old, rusty sword! response:	Tes-something-or-other?!
context: Master Inuyasha!\Look behind you!\Behind me? Why?\That's the sword... made from your father's fang...\That's Tetsusaiga!\Huh?!\It's just an old, rusty sword!\Tes-something-or-other?! response:	Master Inuyasha! Please draw the sword out.
context: Look behind you!\Behind me? Why?\That's the sword... made from your father's fang...\That's Tetsusaiga!\Huh?!\It's just an old, rusty sword!\Tes-something-or-other?!\Master Inuyasha! Please draw the sword out. response:	Lord Sesshomaru, you were unable to pull Tetsusaiga out.
context: Behind me? Why?\That's the sword... made from your father's fang...\That's Tetsusaiga!\Huh?!\It's just an old, rusty sword!\Tes-something-or-other?!\Master Inuyasha! Please draw the sword out.\Lord Sesshomaru, you were unable to pull Tetsusaiga out. response:	Isn't that so?
context: That's the sword... made from your father's fang...\That's Tetsusaiga!\Huh?!\It's just an old, rusty sword!\Tes-something-or-other?!\Master Inuyasha! Please draw the sword out.\Lord Sesshomaru, you were unable to pull Tetsusaiga out.\Isn't that so? response:	And you say that Inuyasha can?
context: That's Tetsusaiga!\Huh?!\It's just an old, rusty sword!\Tes-something-or-other?!\Master Inuyasha! Please draw the sword out.\Lord Sesshomaru, you were unable to pull Tetsusaiga out.\Isn't that so?\And you say that Inuyasha can? response:	But of course!
context: Huh?!\It's just an old, rusty sword!\Tes-something-or-other?!\Master Inuyasha! Please draw the sword out.\Lord Sesshomaru, you were unable to pull Tetsusaiga out.\Isn't that so?\And you say that Inuyasha can?\But of course! response:	Master Inuyasha was meant to inherit the Tetsusaiga!
context: It's just an old, rusty sword!\Tes-something-or-other?!\Master Inuyasha! Please draw the sword out.\Lord Sesshomaru, you were unable to pull Tetsusaiga out.\Isn't that so?\And you say that Inuyasha can?\But of course!\Master Inuyasha was meant to inherit the Tetsusaiga! response:	The fact that the tomb was entrusted to Inuyasha is proof of that!
context: Tes-something-or-other?!\Master Inuyasha! Please draw the sword out.\Lord Sesshomaru, you were unable to pull Tetsusaiga out.\Isn't that so?\And you say that Inuyasha can?\But of course!\Master Inuyasha was meant to inherit the Tetsusaiga!\The fact that the tomb was entrusted to Inuyasha is proof of that! response:	Now hurry, Master Inuyasha! Draw the sword out!
context: Master Inuyasha! Please draw the sword out.\Lord Sesshomaru, you were unable to pull Tetsusaiga out.\Isn't that so?\And you say that Inuyasha can?\But of course!\Master Inuyasha was meant to inherit the Tetsusaiga!\The fact that the tomb was entrusted to Inuyasha is proof of that!\Now hurry, Master Inuyasha! Draw the sword out! response:	What inheritance?! What treasured sword!
context: Lord Sesshomaru, you were unable to pull Tetsusaiga out.\Isn't that so?\And you say that Inuyasha can?\But of course!\Master Inuyasha was meant to inherit the Tetsusaiga!\The fact that the tomb was entrusted to Inuyasha is proof of that!\Now hurry, Master Inuyasha! Draw the sword out!\What inheritance?! What treasured sword! response:	I could care less about this rusty sword!
context: Isn't that so?\And you say that Inuyasha can?\But of course!\Master Inuyasha was meant to inherit the Tetsusaiga!\The fact that the tomb was entrusted to Inuyasha is proof of that!\Now hurry, Master Inuyasha! Draw the sword out!\What inheritance?! What treasured sword!\I could care less about this rusty sword! response:	But Sesshomaru! You've insulted me once too often!
context: And you say that Inuyasha can?\But of course!\Master Inuyasha was meant to inherit the Tetsusaiga!\The fact that the tomb was entrusted to Inuyasha is proof of that!\Now hurry, Master Inuyasha! Draw the sword out!\What inheritance?! What treasured sword!\I could care less about this rusty sword!\But Sesshomaru! You've insulted me once too often! response:	Now you'll die inside our father's grave!
context: But of course!\Master Inuyasha was meant to inherit the Tetsusaiga!\The fact that the tomb was entrusted to Inuyasha is proof of that!\Now hurry, Master Inuyasha! Draw the sword out!\What inheritance?! What treasured sword!\I could care less about this rusty sword!\But Sesshomaru! You've insulted me once too often!\Now you'll die inside our father's grave! response:	Where are you aiming?
context: Master Inuyasha was meant to inherit the Tetsusaiga!\The fact that the tomb was entrusted to Inuyasha is proof of that!\Now hurry, Master Inuyasha! Draw the sword out!\What inheritance?! What treasured sword!\I could care less about this rusty sword!\But Sesshomaru! You've insulted me once too often!\Now you'll die inside our father's grave!\Where are you aiming? response:	Oww!
context: The fact that the tomb was entrusted to Inuyasha is proof of that!\Now hurry, Master Inuyasha! Draw the sword out!\What inheritance?! What treasured sword!\I could care less about this rusty sword!\But Sesshomaru! You've insulted me once too often!\Now you'll die inside our father's grave!\Where are you aiming?\Oww! response:	Such a childish attack!
context: Now hurry, Master Inuyasha! Draw the sword out!\What inheritance?! What treasured sword!\I could care less about this rusty sword!\But Sesshomaru! You've insulted me once too often!\Now you'll die inside our father's grave!\Where are you aiming?\Oww!\Such a childish attack! response:	Master Inuyasha!
context: What inheritance?! What treasured sword!\I could care less about this rusty sword!\But Sesshomaru! You've insulted me once too often!\Now you'll die inside our father's grave!\Where are you aiming?\Oww!\Such a childish attack!\Master Inuyasha! response:	You cannot fight unarmed!
