context: Episode 9 Moon response:	To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store.
context: Oh, yeah.\Sacchan, how were the tests?\I don't get the results for at least a week,\but I'm fine.\Yeah?\Hey...\I want to go to that place we promised to.\The place we promised to go before? response:	Yeah.
context: Sacchan, how were the tests?\I don't get the results for at least a week,\but I'm fine.\Yeah?\Hey...\I want to go to that place we promised to.\The place we promised to go before?\Yeah. response:	Okay, let's go.
context: I don't get the results for at least a week,\but I'm fine.\Yeah?\Hey...\I want to go to that place we promised to.\The place we promised to go before?\Yeah.\Okay, let's go. response:	Can we meet tomorrow at Kirinkan at four?
context: but I'm fine.\Yeah?\Hey...\I want to go to that place we promised to.\The place we promised to go before?\Yeah.\Okay, let's go.\Can we meet tomorrow at Kirinkan at four? response:	Sure.
context: Yeah?\Hey...\I want to go to that place we promised to.\The place we promised to go before?\Yeah.\Okay, let's go.\Can we meet tomorrow at Kirinkan at four?\Sure. response:	Thanks.
context: Hey...\I want to go to that place we promised to.\The place we promised to go before?\Yeah.\Okay, let's go.\Can we meet tomorrow at Kirinkan at four?\Sure.\Thanks. response:	See you tomorrow.
context: I want to go to that place we promised to.\The place we promised to go before?\Yeah.\Okay, let's go.\Can we meet tomorrow at Kirinkan at four?\Sure.\Thanks.\See you tomorrow. response:	Yep.
context: The place we promised to go before?\Yeah.\Okay, let's go.\Can we meet tomorrow at Kirinkan at four?\Sure.\Thanks.\See you tomorrow.\Yep. response:	Mom, I'll make dinner today.
context: Yeah.\Okay, let's go.\Can we meet tomorrow at Kirinkan at four?\Sure.\Thanks.\See you tomorrow.\Yep.\Mom, I'll make dinner today. response:	Oh, that's unusual.
context: Okay, let's go.\Can we meet tomorrow at Kirinkan at four?\Sure.\Thanks.\See you tomorrow.\Yep.\Mom, I'll make dinner today.\Oh, that's unusual. response:	New camping techniques From: Sacchan Subject: For tomorrow Please come to Kirinkan tomorrow at four.
context: Can we meet tomorrow at Kirinkan at four?\Sure.\Thanks.\See you tomorrow.\Yep.\Mom, I'll make dinner today.\Oh, that's unusual.\New camping techniques From: Sacchan Subject: For tomorrow Please come to Kirinkan tomorrow at four. response:	Meijinden?
context: Sure.\Thanks.\See you tomorrow.\Yep.\Mom, I'll make dinner today.\Oh, that's unusual.\New camping techniques From: Sacchan Subject: For tomorrow Please come to Kirinkan tomorrow at four.\Meijinden? response:	Kirinkan?
context: Thanks.\See you tomorrow.\Yep.\Mom, I'll make dinner today.\Oh, that's unusual.\New camping techniques From: Sacchan Subject: For tomorrow Please come to Kirinkan tomorrow at four.\Meijinden?\Kirinkan? response:	For tomorrow?
context: See you tomorrow.\Yep.\Mom, I'll make dinner today.\Oh, that's unusual.\New camping techniques From: Sacchan Subject: For tomorrow Please come to Kirinkan tomorrow at four.\Meijinden?\Kirinkan?\For tomorrow? response:	There's so many things I want to say but can't.
context: Yep.\Mom, I'll make dinner today.\Oh, that's unusual.\New camping techniques From: Sacchan Subject: For tomorrow Please come to Kirinkan tomorrow at four.\Meijinden?\Kirinkan?\For tomorrow?\There's so many things I want to say but can't. response:	The place we promised to go.
context: Mom, I'll make dinner today.\Oh, that's unusual.\New camping techniques From: Sacchan Subject: For tomorrow Please come to Kirinkan tomorrow at four.\Meijinden?\Kirinkan?\For tomorrow?\There's so many things I want to say but can't.\The place we promised to go. response:	Hina-chan!
context: Oh, that's unusual.\New camping techniques From: Sacchan Subject: For tomorrow Please come to Kirinkan tomorrow at four.\Meijinden?\Kirinkan?\For tomorrow?\There's so many things I want to say but can't.\The place we promised to go.\Hina-chan! response:	I wasn't listening to your monologue.
context: New camping techniques From: Sacchan Subject: For tomorrow Please come to Kirinkan tomorrow at four.\Meijinden?\Kirinkan?\For tomorrow?\There's so many things I want to say but can't.\The place we promised to go.\Hina-chan!\I wasn't listening to your monologue. response:	To: Yukinari Subject: Hinode-hama today Cumulonimbus.
context: Meijinden?\Kirinkan?\For tomorrow?\There's so many things I want to say but can't.\The place we promised to go.\Hina-chan!\I wasn't listening to your monologue.\To: Yukinari Subject: Hinode-hama today Cumulonimbus. response:	What are you being so fidgety about?
context: Kirinkan?\For tomorrow?\There's so many things I want to say but can't.\The place we promised to go.\Hina-chan!\I wasn't listening to your monologue.\To: Yukinari Subject: Hinode-hama today Cumulonimbus.\What are you being so fidgety about? response:	Are you expecting a message from your girlfriend?
context: For tomorrow?\There's so many things I want to say but can't.\The place we promised to go.\Hina-chan!\I wasn't listening to your monologue.\To: Yukinari Subject: Hinode-hama today Cumulonimbus.\What are you being so fidgety about?\Are you expecting a message from your girlfriend? response:	No way.
context: There's so many things I want to say but can't.\The place we promised to go.\Hina-chan!\I wasn't listening to your monologue.\To: Yukinari Subject: Hinode-hama today Cumulonimbus.\What are you being so fidgety about?\Are you expecting a message from your girlfriend?\No way. response:	Just call her. Don't worry about us.
context: The place we promised to go.\Hina-chan!\I wasn't listening to your monologue.\To: Yukinari Subject: Hinode-hama today Cumulonimbus.\What are you being so fidgety about?\Are you expecting a message from your girlfriend?\No way.\Just call her. Don't worry about us. response:	Not that we won't be listening.
context: Hina-chan!\I wasn't listening to your monologue.\To: Yukinari Subject: Hinode-hama today Cumulonimbus.\What are you being so fidgety about?\Are you expecting a message from your girlfriend?\No way.\Just call her. Don't worry about us.\Not that we won't be listening. response:	Lights out, unless you want your precious message deleted.
context: I wasn't listening to your monologue.\To: Yukinari Subject: Hinode-hama today Cumulonimbus.\What are you being so fidgety about?\Are you expecting a message from your girlfriend?\No way.\Just call her. Don't worry about us.\Not that we won't be listening.\Lights out, unless you want your precious message deleted. response:	Sir!
context: To: Yukinari Subject: Hinode-hama today Cumulonimbus.\What are you being so fidgety about?\Are you expecting a message from your girlfriend?\No way.\Just call her. Don't worry about us.\Not that we won't be listening.\Lights out, unless you want your precious message deleted.\Sir! response:	I'm turning it off.
context: What are you being so fidgety about?\Are you expecting a message from your girlfriend?\No way.\Just call her. Don't worry about us.\Not that we won't be listening.\Lights out, unless you want your precious message deleted.\Sir!\I'm turning it off. response:	Go ahead.
context: Are you expecting a message from your girlfriend?\No way.\Just call her. Don't worry about us.\Not that we won't be listening.\Lights out, unless you want your precious message deleted.\Sir!\I'm turning it off.\Go ahead. response:	That was close.
context: No way.\Just call her. Don't worry about us.\Not that we won't be listening.\Lights out, unless you want your precious message deleted.\Sir!\I'm turning it off.\Go ahead.\That was close. response:	He can delete the email, but he can't delete love.
context: Just call her. Don't worry about us.\Not that we won't be listening.\Lights out, unless you want your precious message deleted.\Sir!\I'm turning it off.\Go ahead.\That was close.\He can delete the email, but he can't delete love. response:	Gross.
context: Not that we won't be listening.\Lights out, unless you want your precious message deleted.\Sir!\I'm turning it off.\Go ahead.\That was close.\He can delete the email, but he can't delete love.\Gross. response:	Unread emails
context: Lights out, unless you want your precious message deleted.\Sir!\I'm turning it off.\Go ahead.\That was close.\He can delete the email, but he can't delete love.\Gross.\Unread emails response:	Yanagi Hinode-hama today Clear skies all day. In front of the gelato store. Blacks: 1 Whites: 2
context: Sir!\I'm turning it off.\Go ahead.\That was close.\He can delete the email, but he can't delete love.\Gross.\Unread emails\Yanagi Hinode-hama today Clear skies all day. In front of the gelato store. Blacks: 1 Whites: 2 response:	Blacks: 1, Whites: 2.
context: I'm turning it off.\Go ahead.\That was close.\He can delete the email, but he can't delete love.\Gross.\Unread emails\Yanagi Hinode-hama today Clear skies all day. In front of the gelato store. Blacks: 1 Whites: 2\Blacks: 1, Whites: 2. response:	Clear skies today.
context: Go ahead.\That was close.\He can delete the email, but he can't delete love.\Gross.\Unread emails\Yanagi Hinode-hama today Clear skies all day. In front of the gelato store. Blacks: 1 Whites: 2\Blacks: 1, Whites: 2.\Clear skies today. response:	A futon on Hinode Bridge.
context: That was close.\He can delete the email, but he can't delete love.\Gross.\Unread emails\Yanagi Hinode-hama today Clear skies all day. In front of the gelato store. Blacks: 1 Whites: 2\Blacks: 1, Whites: 2.\Clear skies today.\A futon on Hinode Bridge. response:	Cumulonimbus. Strong winds.
context: He can delete the email, but he can't delete love.\Gross.\Unread emails\Yanagi Hinode-hama today Clear skies all day. In front of the gelato store. Blacks: 1 Whites: 2\Blacks: 1, Whites: 2.\Clear skies today.\A futon on Hinode Bridge.\Cumulonimbus. Strong winds. response:	Cumulonimbus. Strong winds. High tides.
context: Gross.\Unread emails\Yanagi Hinode-hama today Clear skies all day. In front of the gelato store. Blacks: 1 Whites: 2\Blacks: 1, Whites: 2.\Clear skies today.\A futon on Hinode Bridge.\Cumulonimbus. Strong winds.\Cumulonimbus. Strong winds. High tides. response:	High tides.
context: Unread emails\Yanagi Hinode-hama today Clear skies all day. In front of the gelato store. Blacks: 1 Whites: 2\Blacks: 1, Whites: 2.\Clear skies today.\A futon on Hinode Bridge.\Cumulonimbus. Strong winds.\Cumulonimbus. Strong winds. High tides.\High tides. response:	It couldn't be helped.
context: Yanagi Hinode-hama today Clear skies all day. In front of the gelato store. Blacks: 1 Whites: 2\Blacks: 1, Whites: 2.\Clear skies today.\A futon on Hinode Bridge.\Cumulonimbus. Strong winds.\Cumulonimbus. Strong winds. High tides.\High tides.\It couldn't be helped. response:	Just hear me out as you are.
context: Blacks: 1, Whites: 2.\Clear skies today.\A futon on Hinode Bridge.\Cumulonimbus. Strong winds.\Cumulonimbus. Strong winds. High tides.\High tides.\It couldn't be helped.\Just hear me out as you are. response:	I want to go to the art room.
context: Clear skies today.\A futon on Hinode Bridge.\Cumulonimbus. Strong winds.\Cumulonimbus. Strong winds. High tides.\High tides.\It couldn't be helped.\Just hear me out as you are.\I want to go to the art room. response:	I don't know what I'll see this time.
context: A futon on Hinode Bridge.\Cumulonimbus. Strong winds.\Cumulonimbus. Strong winds. High tides.\High tides.\It couldn't be helped.\Just hear me out as you are.\I want to go to the art room.\I don't know what I'll see this time. response:	Can you talk about what you saw at the art room now?
context: Cumulonimbus. Strong winds.\Cumulonimbus. Strong winds. High tides.\High tides.\It couldn't be helped.\Just hear me out as you are.\I want to go to the art room.\I don't know what I'll see this time.\Can you talk about what you saw at the art room now? response:	Well
context: Cumulonimbus. Strong winds. High tides.\High tides.\It couldn't be helped.\Just hear me out as you are.\I want to go to the art room.\I don't know what I'll see this time.\Can you talk about what you saw at the art room now?\Well response:	We might learn something about the fragments if we go there.
context: High tides.\It couldn't be helped.\Just hear me out as you are.\I want to go to the art room.\I don't know what I'll see this time.\Can you talk about what you saw at the art room now?\Well\We might learn something about the fragments if we go there. response:	Do you really want to know about the fragments of the future that badly?
context: It couldn't be helped.\Just hear me out as you are.\I want to go to the art room.\I don't know what I'll see this time.\Can you talk about what you saw at the art room now?\Well\We might learn something about the fragments if we go there.\Do you really want to know about the fragments of the future that badly? response:	We don't have enough information about the fragments.
context: Just hear me out as you are.\I want to go to the art room.\I don't know what I'll see this time.\Can you talk about what you saw at the art room now?\Well\We might learn something about the fragments if we go there.\Do you really want to know about the fragments of the future that badly?\We don't have enough information about the fragments. response:	We don't?
context: I want to go to the art room.\I don't know what I'll see this time.\Can you talk about what you saw at the art room now?\Well\We might learn something about the fragments if we go there.\Do you really want to know about the fragments of the future that badly?\We don't have enough information about the fragments.\We don't? response:	We haven't discussed it enough either.
context: I don't know what I'll see this time.\Can you talk about what you saw at the art room now?\Well\We might learn something about the fragments if we go there.\Do you really want to know about the fragments of the future that badly?\We don't have enough information about the fragments.\We don't?\We haven't discussed it enough either. response:	That's why I want to create the same conditions in the same place.
context: Can you talk about what you saw at the art room now?\Well\We might learn something about the fragments if we go there.\Do you really want to know about the fragments of the future that badly?\We don't have enough information about the fragments.\We don't?\We haven't discussed it enough either.\That's why I want to create the same conditions in the same place. response:	That's not it!
context: Well\We might learn something about the fragments if we go there.\Do you really want to know about the fragments of the future that badly?\We don't have enough information about the fragments.\We don't?\We haven't discussed it enough either.\That's why I want to create the same conditions in the same place.\That's not it! response:	That's not what it's about!
context: We might learn something about the fragments if we go there.\Do you really want to know about the fragments of the future that badly?\We don't have enough information about the fragments.\We don't?\We haven't discussed it enough either.\That's why I want to create the same conditions in the same place.\That's not it!\That's not what it's about! response:	I saw snow. When we were there.
context: Do you really want to know about the fragments of the future that badly?\We don't have enough information about the fragments.\We don't?\We haven't discussed it enough either.\That's why I want to create the same conditions in the same place.\That's not it!\That's not what it's about!\I saw snow. When we were there. response:	It was a world of silver.
context: We don't have enough information about the fragments.\We don't?\We haven't discussed it enough either.\That's why I want to create the same conditions in the same place.\That's not it!\That's not what it's about!\I saw snow. When we were there.\It was a world of silver. response:	Snow everywhere.
context: We don't?\We haven't discussed it enough either.\That's why I want to create the same conditions in the same place.\That's not it!\That's not what it's about!\I saw snow. When we were there.\It was a world of silver.\Snow everywhere. response:	I'd never seen anything like that.
context: We haven't discussed it enough either.\That's why I want to create the same conditions in the same place.\That's not it!\That's not what it's about!\I saw snow. When we were there.\It was a world of silver.\Snow everywhere.\I'd never seen anything like that. response:	I'm not going.
context: That's why I want to create the same conditions in the same place.\That's not it!\That's not what it's about!\I saw snow. When we were there.\It was a world of silver.\Snow everywhere.\I'd never seen anything like that.\I'm not going. response:	I see.
context: That's not it!\That's not what it's about!\I saw snow. When we were there.\It was a world of silver.\Snow everywhere.\I'd never seen anything like that.\I'm not going.\I see. response:	That's what you saw.
context: That's not what it's about!\I saw snow. When we were there.\It was a world of silver.\Snow everywhere.\I'd never seen anything like that.\I'm not going.\I see.\That's what you saw. response:	I haven't been able to hear the fragments lately.
context: I saw snow. When we were there.\It was a world of silver.\Snow everywhere.\I'd never seen anything like that.\I'm not going.\I see.\That's what you saw.\I haven't been able to hear the fragments lately. response:	I may never hear them again.
context: It was a world of silver.\Snow everywhere.\I'd never seen anything like that.\I'm not going.\I see.\That's what you saw.\I haven't been able to hear the fragments lately.\I may never hear them again. response:	Apparently Taniguchi broke 39 minutes in the 10,000 meters.
context: Snow everywhere.\I'd never seen anything like that.\I'm not going.\I see.\That's what you saw.\I haven't been able to hear the fragments lately.\I may never hear them again.\Apparently Taniguchi broke 39 minutes in the 10,000 meters. response:	Seriously? He just started.
context: I'd never seen anything like that.\I'm not going.\I see.\That's what you saw.\I haven't been able to hear the fragments lately.\I may never hear them again.\Apparently Taniguchi broke 39 minutes in the 10,000 meters.\Seriously? He just started. response:	From: Yanagi Subject: Hinode-hama today Clear skies today. The Sea of Japan is breezy during the summer.
context: I'm not going.\I see.\That's what you saw.\I haven't been able to hear the fragments lately.\I may never hear them again.\Apparently Taniguchi broke 39 minutes in the 10,000 meters.\Seriously? He just started.\From: Yanagi Subject: Hinode-hama today Clear skies today. The Sea of Japan is breezy during the summer. response:	Clear skies, huh?
context: I see.\That's what you saw.\I haven't been able to hear the fragments lately.\I may never hear them again.\Apparently Taniguchi broke 39 minutes in the 10,000 meters.\Seriously? He just started.\From: Yanagi Subject: Hinode-hama today Clear skies today. The Sea of Japan is breezy during the summer.\Clear skies, huh? response:	Hello?
context: That's what you saw.\I haven't been able to hear the fragments lately.\I may never hear them again.\Apparently Taniguchi broke 39 minutes in the 10,000 meters.\Seriously? He just started.\From: Yanagi Subject: Hinode-hama today Clear skies today. The Sea of Japan is breezy during the summer.\Clear skies, huh?\Hello? response:	It's me.
context: I haven't been able to hear the fragments lately.\I may never hear them again.\Apparently Taniguchi broke 39 minutes in the 10,000 meters.\Seriously? He just started.\From: Yanagi Subject: Hinode-hama today Clear skies today. The Sea of Japan is breezy during the summer.\Clear skies, huh?\Hello?\It's me. response:	Thanks for the messages.
context: I may never hear them again.\Apparently Taniguchi broke 39 minutes in the 10,000 meters.\Seriously? He just started.\From: Yanagi Subject: Hinode-hama today Clear skies today. The Sea of Japan is breezy during the summer.\Clear skies, huh?\Hello?\It's me.\Thanks for the messages. response:	Sorry they're so weird.
context: Apparently Taniguchi broke 39 minutes in the 10,000 meters.\Seriously? He just started.\From: Yanagi Subject: Hinode-hama today Clear skies today. The Sea of Japan is breezy during the summer.\Clear skies, huh?\Hello?\It's me.\Thanks for the messages.\Sorry they're so weird. response:	They made me happy.
context: Seriously? He just started.\From: Yanagi Subject: Hinode-hama today Clear skies today. The Sea of Japan is breezy during the summer.\Clear skies, huh?\Hello?\It's me.\Thanks for the messages.\Sorry they're so weird.\They made me happy. response:	The waves are
context: From: Yanagi Subject: Hinode-hama today Clear skies today. The Sea of Japan is breezy during the summer.\Clear skies, huh?\Hello?\It's me.\Thanks for the messages.\Sorry they're so weird.\They made me happy.\The waves are response:	blinding right now.
context: Clear skies, huh?\Hello?\It's me.\Thanks for the messages.\Sorry they're so weird.\They made me happy.\The waves are\blinding right now. response:	It's raining over here today.
context: Hello?\It's me.\Thanks for the messages.\Sorry they're so weird.\They made me happy.\The waves are\blinding right now.\It's raining over here today. response:	Oh yeah?
context: It's me.\Thanks for the messages.\Sorry they're so weird.\They made me happy.\The waves are\blinding right now.\It's raining over here today.\Oh yeah? response:	My knees...
context: Thanks for the messages.\Sorry they're so weird.\They made me happy.\The waves are\blinding right now.\It's raining over here today.\Oh yeah?\My knees... response:	They hurt a little.
context: Sorry they're so weird.\They made me happy.\The waves are\blinding right now.\It's raining over here today.\Oh yeah?\My knees...\They hurt a little. response:	I told Coach too.
context: They made me happy.\The waves are\blinding right now.\It's raining over here today.\Oh yeah?\My knees...\They hurt a little.\I told Coach too. response:	It's nothing.
context: The waves are\blinding right now.\It's raining over here today.\Oh yeah?\My knees...\They hurt a little.\I told Coach too.\It's nothing. response:	I might have rushed it too much.
context: blinding right now.\It's raining over here today.\Oh yeah?\My knees...\They hurt a little.\I told Coach too.\It's nothing.\I might have rushed it too much. response:	Lots of things happened this summer, huh?
context: It's raining over here today.\Oh yeah?\My knees...\They hurt a little.\I told Coach too.\It's nothing.\I might have rushed it too much.\Lots of things happened this summer, huh? response:	Summer is always like that.
context: Oh yeah?\My knees...\They hurt a little.\I told Coach too.\It's nothing.\I might have rushed it too much.\Lots of things happened this summer, huh?\Summer is always like that. response:	All kinds of things happen during the summer.
context: My knees...\They hurt a little.\I told Coach too.\It's nothing.\I might have rushed it too much.\Lots of things happened this summer, huh?\Summer is always like that.\All kinds of things happen during the summer. response:	It's not just this year.
context: They hurt a little.\I told Coach too.\It's nothing.\I might have rushed it too much.\Lots of things happened this summer, huh?\Summer is always like that.\All kinds of things happen during the summer.\It's not just this year. response:	I guess.
context: I told Coach too.\It's nothing.\I might have rushed it too much.\Lots of things happened this summer, huh?\Summer is always like that.\All kinds of things happen during the summer.\It's not just this year.\I guess. response:	Our parents got remarried in summer as well, right?
context: It's nothing.\I might have rushed it too much.\Lots of things happened this summer, huh?\Summer is always like that.\All kinds of things happen during the summer.\It's not just this year.\I guess.\Our parents got remarried in summer as well, right? response:	They wanted only a modest wedding, since they'd both been married before.
context: I might have rushed it too much.\Lots of things happened this summer, huh?\Summer is always like that.\All kinds of things happen during the summer.\It's not just this year.\I guess.\Our parents got remarried in summer as well, right?\They wanted only a modest wedding, since they'd both been married before. response:	Yeah, right, huh?
context: Lots of things happened this summer, huh?\Summer is always like that.\All kinds of things happen during the summer.\It's not just this year.\I guess.\Our parents got remarried in summer as well, right?\They wanted only a modest wedding, since they'd both been married before.\Yeah, right, huh? response:	Mom changed her wedding outfit three times.
context: Summer is always like that.\All kinds of things happen during the summer.\It's not just this year.\I guess.\Our parents got remarried in summer as well, right?\They wanted only a modest wedding, since they'd both been married before.\Yeah, right, huh?\Mom changed her wedding outfit three times. response:	Yeah...
context: All kinds of things happen during the summer.\It's not just this year.\I guess.\Our parents got remarried in summer as well, right?\They wanted only a modest wedding, since they'd both been married before.\Yeah, right, huh?\Mom changed her wedding outfit three times.\Yeah... response:	Yeah, I feel relaxed when I talk to you.
context: It's not just this year.\I guess.\Our parents got remarried in summer as well, right?\They wanted only a modest wedding, since they'd both been married before.\Yeah, right, huh?\Mom changed her wedding outfit three times.\Yeah...\Yeah, I feel relaxed when I talk to you. response:	Oh. When are you coming home?
context: I guess.\Our parents got remarried in summer as well, right?\They wanted only a modest wedding, since they'd both been married before.\Yeah, right, huh?\Mom changed her wedding outfit three times.\Yeah...\Yeah, I feel relaxed when I talk to you.\Oh. When are you coming home? response:	Umm, when does camp end again?
context: Our parents got remarried in summer as well, right?\They wanted only a modest wedding, since they'd both been married before.\Yeah, right, huh?\Mom changed her wedding outfit three times.\Yeah...\Yeah, I feel relaxed when I talk to you.\Oh. When are you coming home?\Umm, when does camp end again? response:	I don't know exactly.
context: They wanted only a modest wedding, since they'd both been married before.\Yeah, right, huh?\Mom changed her wedding outfit three times.\Yeah...\Yeah, I feel relaxed when I talk to you.\Oh. When are you coming home?\Umm, when does camp end again?\I don't know exactly. response:	We might be done tomorrow, I think.
context: Yeah, right, huh?\Mom changed her wedding outfit three times.\Yeah...\Yeah, I feel relaxed when I talk to you.\Oh. When are you coming home?\Umm, when does camp end again?\I don't know exactly.\We might be done tomorrow, I think. response:	Same old you.
context: Mom changed her wedding outfit three times.\Yeah...\Yeah, I feel relaxed when I talk to you.\Oh. When are you coming home?\Umm, when does camp end again?\I don't know exactly.\We might be done tomorrow, I think.\Same old you. response:	I'll be waiting.
context: Yeah...\Yeah, I feel relaxed when I talk to you.\Oh. When are you coming home?\Umm, when does camp end again?\I don't know exactly.\We might be done tomorrow, I think.\Same old you.\I'll be waiting. response:	Yeah, see you at Hinode-hama.
context: Yeah, I feel relaxed when I talk to you.\Oh. When are you coming home?\Umm, when does camp end again?\I don't know exactly.\We might be done tomorrow, I think.\Same old you.\I'll be waiting.\Yeah, see you at Hinode-hama. response:	Hiro-kun!
context: Oh. When are you coming home?\Umm, when does camp end again?\I don't know exactly.\We might be done tomorrow, I think.\Same old you.\I'll be waiting.\Yeah, see you at Hinode-hama.\Hiro-kun! response:	Did you get invited, too?
context: Umm, when does camp end again?\I don't know exactly.\We might be done tomorrow, I think.\Same old you.\I'll be waiting.\Yeah, see you at Hinode-hama.\Hiro-kun!\Did you get invited, too? response:	You too? By Sacchan?
context: I don't know exactly.\We might be done tomorrow, I think.\Same old you.\I'll be waiting.\Yeah, see you at Hinode-hama.\Hiro-kun!\Did you get invited, too?\You too? By Sacchan? response:	Yep. Let's go.
context: We might be done tomorrow, I think.\Same old you.\I'll be waiting.\Yeah, see you at Hinode-hama.\Hiro-kun!\Did you get invited, too?\You too? By Sacchan?\Yep. Let's go. response:	Sacchan.
context: Same old you.\I'll be waiting.\Yeah, see you at Hinode-hama.\Hiro-kun!\Did you get invited, too?\You too? By Sacchan?\Yep. Let's go.\Sacchan. response:	Thanks for coming.
context: I'll be waiting.\Yeah, see you at Hinode-hama.\Hiro-kun!\Did you get invited, too?\You too? By Sacchan?\Yep. Let's go.\Sacchan.\Thanks for coming. response:	Are you doing okay?
context: Yeah, see you at Hinode-hama.\Hiro-kun!\Did you get invited, too?\You too? By Sacchan?\Yep. Let's go.\Sacchan.\Thanks for coming.\Are you doing okay? response:	I'm fine.
context: Hiro-kun!\Did you get invited, too?\You too? By Sacchan?\Yep. Let's go.\Sacchan.\Thanks for coming.\Are you doing okay?\I'm fine. response:	I see.
context: Did you get invited, too?\You too? By Sacchan?\Yep. Let's go.\Sacchan.\Thanks for coming.\Are you doing okay?\I'm fine.\I see. response:	Thanks, Hiro-kun.
context: You too? By Sacchan?\Yep. Let's go.\Sacchan.\Thanks for coming.\Are you doing okay?\I'm fine.\I see.\Thanks, Hiro-kun. response:	Can I expect an explanation?
context: Yep. Let's go.\Sacchan.\Thanks for coming.\Are you doing okay?\I'm fine.\I see.\Thanks, Hiro-kun.\Can I expect an explanation? response:	Yes.
context: Sacchan.\Thanks for coming.\Are you doing okay?\I'm fine.\I see.\Thanks, Hiro-kun.\Can I expect an explanation?\Yes. response:	Is this where you wanted to come?
context: Thanks for coming.\Are you doing okay?\I'm fine.\I see.\Thanks, Hiro-kun.\Can I expect an explanation?\Yes.\Is this where you wanted to come? response:	Yeah.
context: Are you doing okay?\I'm fine.\I see.\Thanks, Hiro-kun.\Can I expect an explanation?\Yes.\Is this where you wanted to come?\Yeah. response:	One of your pictures was put on display here, wasn't it?
context: I'm fine.\I see.\Thanks, Hiro-kun.\Can I expect an explanation?\Yes.\Is this where you wanted to come?\Yeah.\One of your pictures was put on display here, wasn't it? response:	A long time ago.
context: I see.\Thanks, Hiro-kun.\Can I expect an explanation?\Yes.\Is this where you wanted to come?\Yeah.\One of your pictures was put on display here, wasn't it?\A long time ago. response:	You can see the Hinode-hama breakwaters from here, too.
context: Thanks, Hiro-kun.\Can I expect an explanation?\Yes.\Is this where you wanted to come?\Yeah.\One of your pictures was put on display here, wasn't it?\A long time ago.\You can see the Hinode-hama breakwaters from here, too. response:	And there's a swallow nest on the roof.
context: Can I expect an explanation?\Yes.\Is this where you wanted to come?\Yeah.\One of your pictures was put on display here, wasn't it?\A long time ago.\You can see the Hinode-hama breakwaters from here, too.\And there's a swallow nest on the roof. response:	Oh yeah?
context: Yes.\Is this where you wanted to come?\Yeah.\One of your pictures was put on display here, wasn't it?\A long time ago.\You can see the Hinode-hama breakwaters from here, too.\And there's a swallow nest on the roof.\Oh yeah? response:	You're pretty amazing.
context: Is this where you wanted to come?\Yeah.\One of your pictures was put on display here, wasn't it?\A long time ago.\You can see the Hinode-hama breakwaters from here, too.\And there's a swallow nest on the roof.\Oh yeah?\You're pretty amazing. response:	Even if you didn't know,
context: Yeah.\One of your pictures was put on display here, wasn't it?\A long time ago.\You can see the Hinode-hama breakwaters from here, too.\And there's a swallow nest on the roof.\Oh yeah?\You're pretty amazing.\Even if you didn't know, response:	it's still a lot more wonderful that you've been living here all this time.
context: One of your pictures was put on display here, wasn't it?\A long time ago.\You can see the Hinode-hama breakwaters from here, too.\And there's a swallow nest on the roof.\Oh yeah?\You're pretty amazing.\Even if you didn't know,\it's still a lot more wonderful that you've been living here all this time. response:	You think so?
context: A long time ago.\You can see the Hinode-hama breakwaters from here, too.\And there's a swallow nest on the roof.\Oh yeah?\You're pretty amazing.\Even if you didn't know,\it's still a lot more wonderful that you've been living here all this time.\You think so? response:	Where is it?
context: You can see the Hinode-hama breakwaters from here, too.\And there's a swallow nest on the roof.\Oh yeah?\You're pretty amazing.\Even if you didn't know,\it's still a lot more wonderful that you've been living here all this time.\You think so?\Where is it? response:	I want to be here after closing.
context: And there's a swallow nest on the roof.\Oh yeah?\You're pretty amazing.\Even if you didn't know,\it's still a lot more wonderful that you've been living here all this time.\You think so?\Where is it?\I want to be here after closing. response:	Will you stay here with me?
context: Oh yeah?\You're pretty amazing.\Even if you didn't know,\it's still a lot more wonderful that you've been living here all this time.\You think so?\Where is it?\I want to be here after closing.\Will you stay here with me? response:	What you need for tomorrow?
context: You're pretty amazing.\Even if you didn't know,\it's still a lot more wonderful that you've been living here all this time.\You think so?\Where is it?\I want to be here after closing.\Will you stay here with me?\What you need for tomorrow? response:	I don't know anything.
context: Even if you didn't know,\it's still a lot more wonderful that you've been living here all this time.\You think so?\Where is it?\I want to be here after closing.\Will you stay here with me?\What you need for tomorrow?\I don't know anything. response:	About this city, or about Yana-chan,
context: it's still a lot more wonderful that you've been living here all this time.\You think so?\Where is it?\I want to be here after closing.\Will you stay here with me?\What you need for tomorrow?\I don't know anything.\About this city, or about Yana-chan, response:	or about Yuki-kun,
context: You think so?\Where is it?\I want to be here after closing.\Will you stay here with me?\What you need for tomorrow?\I don't know anything.\About this city, or about Yana-chan,\or about Yuki-kun, response:	or Hiro-kun, or Sacchan.
context: Where is it?\I want to be here after closing.\Will you stay here with me?\What you need for tomorrow?\I don't know anything.\About this city, or about Yana-chan,\or about Yuki-kun,\or Hiro-kun, or Sacchan. response:	Just like I don't know what's about to happen next,
context: I want to be here after closing.\Will you stay here with me?\What you need for tomorrow?\I don't know anything.\About this city, or about Yana-chan,\or about Yuki-kun,\or Hiro-kun, or Sacchan.\Just like I don't know what's about to happen next, response:	I don't know anything.
