context: That's Theo Cornaro? response:	He's much younger than I thought!
context: Lord Lassic has defeated Jericho Orlick, the King of Forbes.\Who knew he'd only take five days to conquer Forbes?\Thanks to him, the King of Clovis surrendered his castle without any prodding.\Without us losing a single soldier, that is.\I believe both Sir Milza and Sir Theo's exploits have shattered the enemy's morale.\Both feats were extraordinary.\And both were carried out true to form, wouldn't you say?\Glory to the Union! Lord Villar, Earl of Artuk! response:	The road to Jalucia has been paved!
context: Who knew he'd only take five days to conquer Forbes?\Thanks to him, the King of Clovis surrendered his castle without any prodding.\Without us losing a single soldier, that is.\I believe both Sir Milza and Sir Theo's exploits have shattered the enemy's morale.\Both feats were extraordinary.\And both were carried out true to form, wouldn't you say?\Glory to the Union! Lord Villar, Earl of Artuk!\The road to Jalucia has been paved! response:	I thank you all for your hard work!
context: Thanks to him, the King of Clovis surrendered his castle without any prodding.\Without us losing a single soldier, that is.\I believe both Sir Milza and Sir Theo's exploits have shattered the enemy's morale.\Both feats were extraordinary.\And both were carried out true to form, wouldn't you say?\Glory to the Union! Lord Villar, Earl of Artuk!\The road to Jalucia has been paved!\I thank you all for your hard work! response:	After declining his request for aid, I knew this might happen, but...
context: Without us losing a single soldier, that is.\I believe both Sir Milza and Sir Theo's exploits have shattered the enemy's morale.\Both feats were extraordinary.\And both were carried out true to form, wouldn't you say?\Glory to the Union! Lord Villar, Earl of Artuk!\The road to Jalucia has been paved!\I thank you all for your hard work!\After declining his request for aid, I knew this might happen, but... response:	Theo Cornaro, eh?
context: I believe both Sir Milza and Sir Theo's exploits have shattered the enemy's morale.\Both feats were extraordinary.\And both were carried out true to form, wouldn't you say?\Glory to the Union! Lord Villar, Earl of Artuk!\The road to Jalucia has been paved!\I thank you all for your hard work!\After declining his request for aid, I knew this might happen, but...\Theo Cornaro, eh? response:	Milza Kuces didn't even need a day to seize the castle of one of our more dominant Lords.
context: Both feats were extraordinary.\And both were carried out true to form, wouldn't you say?\Glory to the Union! Lord Villar, Earl of Artuk!\The road to Jalucia has been paved!\I thank you all for your hard work!\After declining his request for aid, I knew this might happen, but...\Theo Cornaro, eh?\Milza Kuces didn't even need a day to seize the castle of one of our more dominant Lords. response:	Milza?
context: And both were carried out true to form, wouldn't you say?\Glory to the Union! Lord Villar, Earl of Artuk!\The road to Jalucia has been paved!\I thank you all for your hard work!\After declining his request for aid, I knew this might happen, but...\Theo Cornaro, eh?\Milza Kuces didn't even need a day to seize the castle of one of our more dominant Lords.\Milza? response:	Isn't he the son of the Viceroy of Dartania?
context: Glory to the Union! Lord Villar, Earl of Artuk!\The road to Jalucia has been paved!\I thank you all for your hard work!\After declining his request for aid, I knew this might happen, but...\Theo Cornaro, eh?\Milza Kuces didn't even need a day to seize the castle of one of our more dominant Lords.\Milza?\Isn't he the son of the Viceroy of Dartania? response:	So how are our Lords taking all this?
context: The road to Jalucia has been paved!\I thank you all for your hard work!\After declining his request for aid, I knew this might happen, but...\Theo Cornaro, eh?\Milza Kuces didn't even need a day to seize the castle of one of our more dominant Lords.\Milza?\Isn't he the son of the Viceroy of Dartania?\So how are our Lords taking all this? response:	Many of them are distraught.
context: I thank you all for your hard work!\After declining his request for aid, I knew this might happen, but...\Theo Cornaro, eh?\Milza Kuces didn't even need a day to seize the castle of one of our more dominant Lords.\Milza?\Isn't he the son of the Viceroy of Dartania?\So how are our Lords taking all this?\Many of them are distraught. response:	I'm sure they are.
context: After declining his request for aid, I knew this might happen, but...\Theo Cornaro, eh?\Milza Kuces didn't even need a day to seize the castle of one of our more dominant Lords.\Milza?\Isn't he the son of the Viceroy of Dartania?\So how are our Lords taking all this?\Many of them are distraught.\I'm sure they are. response:	With Sievis lost, and not knowing how the neighboring Lords will react,
context: Theo Cornaro, eh?\Milza Kuces didn't even need a day to seize the castle of one of our more dominant Lords.\Milza?\Isn't he the son of the Viceroy of Dartania?\So how are our Lords taking all this?\Many of them are distraught.\I'm sure they are.\With Sievis lost, and not knowing how the neighboring Lords will react, response:	Waldlind can ill afford to send backup troops.
context: Milza Kuces didn't even need a day to seize the castle of one of our more dominant Lords.\Milza?\Isn't he the son of the Viceroy of Dartania?\So how are our Lords taking all this?\Many of them are distraught.\I'm sure they are.\With Sievis lost, and not knowing how the neighboring Lords will react,\Waldlind can ill afford to send backup troops. response:	Even so, I'm sure that some will criticize what I do.
context: Milza?\Isn't he the son of the Viceroy of Dartania?\So how are our Lords taking all this?\Many of them are distraught.\I'm sure they are.\With Sievis lost, and not knowing how the neighboring Lords will react,\Waldlind can ill afford to send backup troops.\Even so, I'm sure that some will criticize what I do. response:	Keep your eyes on those Lords!
context: Isn't he the son of the Viceroy of Dartania?\So how are our Lords taking all this?\Many of them are distraught.\I'm sure they are.\With Sievis lost, and not knowing how the neighboring Lords will react,\Waldlind can ill afford to send backup troops.\Even so, I'm sure that some will criticize what I do.\Keep your eyes on those Lords! response:	Understood.
context: So how are our Lords taking all this?\Many of them are distraught.\I'm sure they are.\With Sievis lost, and not knowing how the neighboring Lords will react,\Waldlind can ill afford to send backup troops.\Even so, I'm sure that some will criticize what I do.\Keep your eyes on those Lords!\Understood. response:	Out of place, huh?
context: Many of them are distraught.\I'm sure they are.\With Sievis lost, and not knowing how the neighboring Lords will react,\Waldlind can ill afford to send backup troops.\Even so, I'm sure that some will criticize what I do.\Keep your eyes on those Lords!\Understood.\Out of place, huh? response:	Out of place, indeed.
context: I'm sure they are.\With Sievis lost, and not knowing how the neighboring Lords will react,\Waldlind can ill afford to send backup troops.\Even so, I'm sure that some will criticize what I do.\Keep your eyes on those Lords!\Understood.\Out of place, huh?\Out of place, indeed. response:	I wonder where Lord Alexis is?
context: With Sievis lost, and not knowing how the neighboring Lords will react,\Waldlind can ill afford to send backup troops.\Even so, I'm sure that some will criticize what I do.\Keep your eyes on those Lords!\Understood.\Out of place, huh?\Out of place, indeed.\I wonder where Lord Alexis is? response:	Do you think he'll dance with us?
context: Waldlind can ill afford to send backup troops.\Even so, I'm sure that some will criticize what I do.\Keep your eyes on those Lords!\Understood.\Out of place, huh?\Out of place, indeed.\I wonder where Lord Alexis is?\Do you think he'll dance with us? response:	Earl of Artuk, is that you?
context: Even so, I'm sure that some will criticize what I do.\Keep your eyes on those Lords!\Understood.\Out of place, huh?\Out of place, indeed.\I wonder where Lord Alexis is?\Do you think he'll dance with us?\Earl of Artuk, is that you? response:	That's the Earl of Le Couleurs, Lord Klute Gallas.
context: Keep your eyes on those Lords!\Understood.\Out of place, huh?\Out of place, indeed.\I wonder where Lord Alexis is?\Do you think he'll dance with us?\Earl of Artuk, is that you?\That's the Earl of Le Couleurs, Lord Klute Gallas. response:	You took so long to show up, I was worried!
context: Understood.\Out of place, huh?\Out of place, indeed.\I wonder where Lord Alexis is?\Do you think he'll dance with us?\Earl of Artuk, is that you?\That's the Earl of Le Couleurs, Lord Klute Gallas.\You took so long to show up, I was worried! response:	Well, our path here was blocked.
context: Out of place, huh?\Out of place, indeed.\I wonder where Lord Alexis is?\Do you think he'll dance with us?\Earl of Artuk, is that you?\That's the Earl of Le Couleurs, Lord Klute Gallas.\You took so long to show up, I was worried!\Well, our path here was blocked. response:	But some of the Lords here aren't thrilled with what you've accomplished.
context: Out of place, indeed.\I wonder where Lord Alexis is?\Do you think he'll dance with us?\Earl of Artuk, is that you?\That's the Earl of Le Couleurs, Lord Klute Gallas.\You took so long to show up, I was worried!\Well, our path here was blocked.\But some of the Lords here aren't thrilled with what you've accomplished. response:	Unfortunately, my cousin seems to be set on taking out the Union with military might.
context: I wonder where Lord Alexis is?\Do you think he'll dance with us?\Earl of Artuk, is that you?\That's the Earl of Le Couleurs, Lord Klute Gallas.\You took so long to show up, I was worried!\Well, our path here was blocked.\But some of the Lords here aren't thrilled with what you've accomplished.\Unfortunately, my cousin seems to be set on taking out the Union with military might. response:	So we must not give Marrine ample time to do that!
context: Do you think he'll dance with us?\Earl of Artuk, is that you?\That's the Earl of Le Couleurs, Lord Klute Gallas.\You took so long to show up, I was worried!\Well, our path here was blocked.\But some of the Lords here aren't thrilled with what you've accomplished.\Unfortunately, my cousin seems to be set on taking out the Union with military might.\So we must not give Marrine ample time to do that! response:	If we advance into the Alliance at full strength, and conquer Waldlind,
context: Earl of Artuk, is that you?\That's the Earl of Le Couleurs, Lord Klute Gallas.\You took so long to show up, I was worried!\Well, our path here was blocked.\But some of the Lords here aren't thrilled with what you've accomplished.\Unfortunately, my cousin seems to be set on taking out the Union with military might.\So we must not give Marrine ample time to do that!\If we advance into the Alliance at full strength, and conquer Waldlind, response:	we can finish them off for good!
context: That's the Earl of Le Couleurs, Lord Klute Gallas.\You took so long to show up, I was worried!\Well, our path here was blocked.\But some of the Lords here aren't thrilled with what you've accomplished.\Unfortunately, my cousin seems to be set on taking out the Union with military might.\So we must not give Marrine ample time to do that!\If we advance into the Alliance at full strength, and conquer Waldlind,\we can finish them off for good! response:	Yes, that's the spirit!
context: You took so long to show up, I was worried!\Well, our path here was blocked.\But some of the Lords here aren't thrilled with what you've accomplished.\Unfortunately, my cousin seems to be set on taking out the Union with military might.\So we must not give Marrine ample time to do that!\If we advance into the Alliance at full strength, and conquer Waldlind,\we can finish them off for good!\Yes, that's the spirit! response:	It's been a long time, Marquis Dawson.
context: Well, our path here was blocked.\But some of the Lords here aren't thrilled with what you've accomplished.\Unfortunately, my cousin seems to be set on taking out the Union with military might.\So we must not give Marrine ample time to do that!\If we advance into the Alliance at full strength, and conquer Waldlind,\we can finish them off for good!\Yes, that's the spirit!\It's been a long time, Marquis Dawson. response:	I commend you for your prowess in battle,
context: But some of the Lords here aren't thrilled with what you've accomplished.\Unfortunately, my cousin seems to be set on taking out the Union with military might.\So we must not give Marrine ample time to do that!\If we advance into the Alliance at full strength, and conquer Waldlind,\we can finish them off for good!\Yes, that's the spirit!\It's been a long time, Marquis Dawson.\I commend you for your prowess in battle, response:	but didn't I notify you about suspending hostilities with the Alliance?
context: Unfortunately, my cousin seems to be set on taking out the Union with military might.\So we must not give Marrine ample time to do that!\If we advance into the Alliance at full strength, and conquer Waldlind,\we can finish them off for good!\Yes, that's the spirit!\It's been a long time, Marquis Dawson.\I commend you for your prowess in battle,\but didn't I notify you about suspending hostilities with the Alliance? response:	Why didn't you follow the consensus?
context: So we must not give Marrine ample time to do that!\If we advance into the Alliance at full strength, and conquer Waldlind,\we can finish them off for good!\Yes, that's the spirit!\It's been a long time, Marquis Dawson.\I commend you for your prowess in battle,\but didn't I notify you about suspending hostilities with the Alliance?\Why didn't you follow the consensus? response:	If you're calling it a consensus,
context: If we advance into the Alliance at full strength, and conquer Waldlind,\we can finish them off for good!\Yes, that's the spirit!\It's been a long time, Marquis Dawson.\I commend you for your prowess in battle,\but didn't I notify you about suspending hostilities with the Alliance?\Why didn't you follow the consensus?\If you're calling it a consensus, response:	then you should've consulted me before sending it out.
context: we can finish them off for good!\Yes, that's the spirit!\It's been a long time, Marquis Dawson.\I commend you for your prowess in battle,\but didn't I notify you about suspending hostilities with the Alliance?\Why didn't you follow the consensus?\If you're calling it a consensus,\then you should've consulted me before sending it out. response:	Meaning you'll go along with whatever is decided at this Lords' Congress, right?
context: Yes, that's the spirit!\It's been a long time, Marquis Dawson.\I commend you for your prowess in battle,\but didn't I notify you about suspending hostilities with the Alliance?\Why didn't you follow the consensus?\If you're calling it a consensus,\then you should've consulted me before sending it out.\Meaning you'll go along with whatever is decided at this Lords' Congress, right? response:	I'm sure I'll have no other choice.
context: It's been a long time, Marquis Dawson.\I commend you for your prowess in battle,\but didn't I notify you about suspending hostilities with the Alliance?\Why didn't you follow the consensus?\If you're calling it a consensus,\then you should've consulted me before sending it out.\Meaning you'll go along with whatever is decided at this Lords' Congress, right?\I'm sure I'll have no other choice. response:	Whatever happens,
context: I commend you for your prowess in battle,\but didn't I notify you about suspending hostilities with the Alliance?\Why didn't you follow the consensus?\If you're calling it a consensus,\then you should've consulted me before sending it out.\Meaning you'll go along with whatever is decided at this Lords' Congress, right?\I'm sure I'll have no other choice.\Whatever happens, response:	don't forget the words you just uttered!
context: but didn't I notify you about suspending hostilities with the Alliance?\Why didn't you follow the consensus?\If you're calling it a consensus,\then you should've consulted me before sending it out.\Meaning you'll go along with whatever is decided at this Lords' Congress, right?\I'm sure I'll have no other choice.\Whatever happens,\don't forget the words you just uttered! response:	Do most of the Lords here actually believe that the current peace will last forever?
context: Why didn't you follow the consensus?\If you're calling it a consensus,\then you should've consulted me before sending it out.\Meaning you'll go along with whatever is decided at this Lords' Congress, right?\I'm sure I'll have no other choice.\Whatever happens,\don't forget the words you just uttered!\Do most of the Lords here actually believe that the current peace will last forever? response:	It can't be helped.
context: If you're calling it a consensus,\then you should've consulted me before sending it out.\Meaning you'll go along with whatever is decided at this Lords' Congress, right?\I'm sure I'll have no other choice.\Whatever happens,\don't forget the words you just uttered!\Do most of the Lords here actually believe that the current peace will last forever?\It can't be helped. response:	Ever since that battle against the Alliance thirty years ago,
context: then you should've consulted me before sending it out.\Meaning you'll go along with whatever is decided at this Lords' Congress, right?\I'm sure I'll have no other choice.\Whatever happens,\don't forget the words you just uttered!\Do most of the Lords here actually believe that the current peace will last forever?\It can't be helped.\Ever since that battle against the Alliance thirty years ago, response:	only Artuk and its surrounding areas have seen battle.
context: Meaning you'll go along with whatever is decided at this Lords' Congress, right?\I'm sure I'll have no other choice.\Whatever happens,\don't forget the words you just uttered!\Do most of the Lords here actually believe that the current peace will last forever?\It can't be helped.\Ever since that battle against the Alliance thirty years ago,\only Artuk and its surrounding areas have seen battle. response:	And that's why this conference is a once-in-a-lifetime chance!
context: I'm sure I'll have no other choice.\Whatever happens,\don't forget the words you just uttered!\Do most of the Lords here actually believe that the current peace will last forever?\It can't be helped.\Ever since that battle against the Alliance thirty years ago,\only Artuk and its surrounding areas have seen battle.\And that's why this conference is a once-in-a-lifetime chance! response:	Villar, Earl of Artuk!
context: Whatever happens,\don't forget the words you just uttered!\Do most of the Lords here actually believe that the current peace will last forever?\It can't be helped.\Ever since that battle against the Alliance thirty years ago,\only Artuk and its surrounding areas have seen battle.\And that's why this conference is a once-in-a-lifetime chance!\Villar, Earl of Artuk! response:	Tell them what a threat the Alliance is,
context: don't forget the words you just uttered!\Do most of the Lords here actually believe that the current peace will last forever?\It can't be helped.\Ever since that battle against the Alliance thirty years ago,\only Artuk and its surrounding areas have seen battle.\And that's why this conference is a once-in-a-lifetime chance!\Villar, Earl of Artuk!\Tell them what a threat the Alliance is, response:	and that to survive, our only option is to mount a full-scale war!
context: Do most of the Lords here actually believe that the current peace will last forever?\It can't be helped.\Ever since that battle against the Alliance thirty years ago,\only Artuk and its surrounding areas have seen battle.\And that's why this conference is a once-in-a-lifetime chance!\Villar, Earl of Artuk!\Tell them what a threat the Alliance is,\and that to survive, our only option is to mount a full-scale war! response:	This is not going to be a tranquil meeting for me.
context: It can't be helped.\Ever since that battle against the Alliance thirty years ago,\only Artuk and its surrounding areas have seen battle.\And that's why this conference is a once-in-a-lifetime chance!\Villar, Earl of Artuk!\Tell them what a threat the Alliance is,\and that to survive, our only option is to mount a full-scale war!\This is not going to be a tranquil meeting for me. response:	The Marquis of Jalucia, Lord Alexis...
context: Ever since that battle against the Alliance thirty years ago,\only Artuk and its surrounding areas have seen battle.\And that's why this conference is a once-in-a-lifetime chance!\Villar, Earl of Artuk!\Tell them what a threat the Alliance is,\and that to survive, our only option is to mount a full-scale war!\This is not going to be a tranquil meeting for me.\The Marquis of Jalucia, Lord Alexis... response:	Entering!
context: only Artuk and its surrounding areas have seen battle.\And that's why this conference is a once-in-a-lifetime chance!\Villar, Earl of Artuk!\Tell them what a threat the Alliance is,\and that to survive, our only option is to mount a full-scale war!\This is not going to be a tranquil meeting for me.\The Marquis of Jalucia, Lord Alexis...\Entering! response:	Lord Villar!
context: And that's why this conference is a once-in-a-lifetime chance!\Villar, Earl of Artuk!\Tell them what a threat the Alliance is,\and that to survive, our only option is to mount a full-scale war!\This is not going to be a tranquil meeting for me.\The Marquis of Jalucia, Lord Alexis...\Entering!\Lord Villar! response:	Thank you so much for making the long trip here.
context: Villar, Earl of Artuk!\Tell them what a threat the Alliance is,\and that to survive, our only option is to mount a full-scale war!\This is not going to be a tranquil meeting for me.\The Marquis of Jalucia, Lord Alexis...\Entering!\Lord Villar!\Thank you so much for making the long trip here. response:	No, no...
context: Tell them what a threat the Alliance is,\and that to survive, our only option is to mount a full-scale war!\This is not going to be a tranquil meeting for me.\The Marquis of Jalucia, Lord Alexis...\Entering!\Lord Villar!\Thank you so much for making the long trip here.\No, no... response:	I would cross the entire continent if it meant getting an audience with you.
context: and that to survive, our only option is to mount a full-scale war!\This is not going to be a tranquil meeting for me.\The Marquis of Jalucia, Lord Alexis...\Entering!\Lord Villar!\Thank you so much for making the long trip here.\No, no...\I would cross the entire continent if it meant getting an audience with you. response:	And you're...
context: This is not going to be a tranquil meeting for me.\The Marquis of Jalucia, Lord Alexis...\Entering!\Lord Villar!\Thank you so much for making the long trip here.\No, no...\I would cross the entire continent if it meant getting an audience with you.\And you're... response:	You saved me from peril in the Great Hall. I thank you!
context: The Marquis of Jalucia, Lord Alexis...\Entering!\Lord Villar!\Thank you so much for making the long trip here.\No, no...\I would cross the entire continent if it meant getting an audience with you.\And you're...\You saved me from peril in the Great Hall. I thank you! response:	Please forgive me for failing to save both archdukes.
context: Entering!\Lord Villar!\Thank you so much for making the long trip here.\No, no...\I would cross the entire continent if it meant getting an audience with you.\And you're...\You saved me from peril in the Great Hall. I thank you!\Please forgive me for failing to save both archdukes. response:	Then you're...
context: Lord Villar!\Thank you so much for making the long trip here.\No, no...\I would cross the entire continent if it meant getting an audience with you.\And you're...\You saved me from peril in the Great Hall. I thank you!\Please forgive me for failing to save both archdukes.\Then you're... response:	Are you Sir Theo?
context: Thank you so much for making the long trip here.\No, no...\I would cross the entire continent if it meant getting an audience with you.\And you're...\You saved me from peril in the Great Hall. I thank you!\Please forgive me for failing to save both archdukes.\Then you're...\Are you Sir Theo? response:	It's an honor to meet you, sir.
context: No, no...\I would cross the entire continent if it meant getting an audience with you.\And you're...\You saved me from peril in the Great Hall. I thank you!\Please forgive me for failing to save both archdukes.\Then you're...\Are you Sir Theo?\It's an honor to meet you, sir. response:	I knew it was you!
context: I would cross the entire continent if it meant getting an audience with you.\And you're...\You saved me from peril in the Great Hall. I thank you!\Please forgive me for failing to save both archdukes.\Then you're...\Are you Sir Theo?\It's an honor to meet you, sir.\I knew it was you! response:	I've been wanting to have a nice, long chat with you!
context: And you're...\You saved me from peril in the Great Hall. I thank you!\Please forgive me for failing to save both archdukes.\Then you're...\Are you Sir Theo?\It's an honor to meet you, sir.\I knew it was you!\I've been wanting to have a nice, long chat with you! response:	Since it's not possible to do that here, allow me to arrange a meeting sometime!
context: You saved me from peril in the Great Hall. I thank you!\Please forgive me for failing to save both archdukes.\Then you're...\Are you Sir Theo?\It's an honor to meet you, sir.\I knew it was you!\I've been wanting to have a nice, long chat with you!\Since it's not possible to do that here, allow me to arrange a meeting sometime! response:	I'm not worthy of your kind words, sir.
context: Please forgive me for failing to save both archdukes.\Then you're...\Are you Sir Theo?\It's an honor to meet you, sir.\I knew it was you!\I've been wanting to have a nice, long chat with you!\Since it's not possible to do that here, allow me to arrange a meeting sometime!\I'm not worthy of your kind words, sir. response:	Though it's probably lip-service.
context: Then you're...\Are you Sir Theo?\It's an honor to meet you, sir.\I knew it was you!\I've been wanting to have a nice, long chat with you!\Since it's not possible to do that here, allow me to arrange a meeting sometime!\I'm not worthy of your kind words, sir.\Though it's probably lip-service. response:	Theo? Siluca?
context: Are you Sir Theo?\It's an honor to meet you, sir.\I knew it was you!\I've been wanting to have a nice, long chat with you!\Since it's not possible to do that here, allow me to arrange a meeting sometime!\I'm not worthy of your kind words, sir.\Though it's probably lip-service.\Theo? Siluca? response:	What is it?
context: It's an honor to meet you, sir.\I knew it was you!\I've been wanting to have a nice, long chat with you!\Since it's not possible to do that here, allow me to arrange a meeting sometime!\I'm not worthy of your kind words, sir.\Though it's probably lip-service.\Theo? Siluca?\What is it? response:	I've spotted someone I must introduce you to.
context: I knew it was you!\I've been wanting to have a nice, long chat with you!\Since it's not possible to do that here, allow me to arrange a meeting sometime!\I'm not worthy of your kind words, sir.\Though it's probably lip-service.\Theo? Siluca?\What is it?\I've spotted someone I must introduce you to. response:	I haven't seen you since the last Lords' Congress...
context: I've been wanting to have a nice, long chat with you!\Since it's not possible to do that here, allow me to arrange a meeting sometime!\I'm not worthy of your kind words, sir.\Though it's probably lip-service.\Theo? Siluca?\What is it?\I've spotted someone I must introduce you to.\I haven't seen you since the last Lords' Congress... response:	Lord Pederico Rossini!
context: Since it's not possible to do that here, allow me to arrange a meeting sometime!\I'm not worthy of your kind words, sir.\Though it's probably lip-service.\Theo? Siluca?\What is it?\I've spotted someone I must introduce you to.\I haven't seen you since the last Lords' Congress...\Lord Pederico Rossini! response:	Well, well, the Earl of Artuk.
context: I'm not worthy of your kind words, sir.\Though it's probably lip-service.\Theo? Siluca?\What is it?\I've spotted someone I must introduce you to.\I haven't seen you since the last Lords' Congress...\Lord Pederico Rossini!\Well, well, the Earl of Artuk. response:	This young knight here hails from Sistina, you see.
context: Though it's probably lip-service.\Theo? Siluca?\What is it?\I've spotted someone I must introduce you to.\I haven't seen you since the last Lords' Congress...\Lord Pederico Rossini!\Well, well, the Earl of Artuk.\This young knight here hails from Sistina, you see. response:	Ah...
context: Theo? Siluca?\What is it?\I've spotted someone I must introduce you to.\I haven't seen you since the last Lords' Congress...\Lord Pederico Rossini!\Well, well, the Earl of Artuk.\This young knight here hails from Sistina, you see.\Ah... response:	My name... is Theo Cornaro.
context: What is it?\I've spotted someone I must introduce you to.\I haven't seen you since the last Lords' Congress...\Lord Pederico Rossini!\Well, well, the Earl of Artuk.\This young knight here hails from Sistina, you see.\Ah...\My name... is Theo Cornaro. response:	Did you say Cornaro?
context: I've spotted someone I must introduce you to.\I haven't seen you since the last Lords' Congress...\Lord Pederico Rossini!\Well, well, the Earl of Artuk.\This young knight here hails from Sistina, you see.\Ah...\My name... is Theo Cornaro.\Did you say Cornaro? response:	Was that name handed down to you by your forebears?
context: I haven't seen you since the last Lords' Congress...\Lord Pederico Rossini!\Well, well, the Earl of Artuk.\This young knight here hails from Sistina, you see.\Ah...\My name... is Theo Cornaro.\Did you say Cornaro?\Was that name handed down to you by your forebears? response:	No, I am a commoner.
context: Lord Pederico Rossini!\Well, well, the Earl of Artuk.\This young knight here hails from Sistina, you see.\Ah...\My name... is Theo Cornaro.\Did you say Cornaro?\Was that name handed down to you by your forebears?\No, I am a commoner. response:	When becoming a Lord, I took on a name closely connected to my homeland.
context: Well, well, the Earl of Artuk.\This young knight here hails from Sistina, you see.\Ah...\My name... is Theo Cornaro.\Did you say Cornaro?\Was that name handed down to you by your forebears?\No, I am a commoner.\When becoming a Lord, I took on a name closely connected to my homeland. response:	Cornaro is a prestigious name in Sistina.
context: This young knight here hails from Sistina, you see.\Ah...\My name... is Theo Cornaro.\Did you say Cornaro?\Was that name handed down to you by your forebears?\No, I am a commoner.\When becoming a Lord, I took on a name closely connected to my homeland.\Cornaro is a prestigious name in Sistina. response:	Not to be assumed on a whim by a commoner Lord.
context: Ah...\My name... is Theo Cornaro.\Did you say Cornaro?\Was that name handed down to you by your forebears?\No, I am a commoner.\When becoming a Lord, I took on a name closely connected to my homeland.\Cornaro is a prestigious name in Sistina.\Not to be assumed on a whim by a commoner Lord. response:	You should take another name.
context: My name... is Theo Cornaro.\Did you say Cornaro?\Was that name handed down to you by your forebears?\No, I am a commoner.\When becoming a Lord, I took on a name closely connected to my homeland.\Cornaro is a prestigious name in Sistina.\Not to be assumed on a whim by a commoner Lord.\You should take another name. response:	It wasn't a whim.
context: Did you say Cornaro?\Was that name handed down to you by your forebears?\No, I am a commoner.\When becoming a Lord, I took on a name closely connected to my homeland.\Cornaro is a prestigious name in Sistina.\Not to be assumed on a whim by a commoner Lord.\You should take another name.\It wasn't a whim. response:	Since I intend to return to my homeland someday.
context: Was that name handed down to you by your forebears?\No, I am a commoner.\When becoming a Lord, I took on a name closely connected to my homeland.\Cornaro is a prestigious name in Sistina.\Not to be assumed on a whim by a commoner Lord.\You should take another name.\It wasn't a whim.\Since I intend to return to my homeland someday. response:	Sistina is an island in the demon world.
context: No, I am a commoner.\When becoming a Lord, I took on a name closely connected to my homeland.\Cornaro is a prestigious name in Sistina.\Not to be assumed on a whim by a commoner Lord.\You should take another name.\It wasn't a whim.\Since I intend to return to my homeland someday.\Sistina is an island in the demon world. response:	If you go back, no good will come out of it.
context: When becoming a Lord, I took on a name closely connected to my homeland.\Cornaro is a prestigious name in Sistina.\Not to be assumed on a whim by a commoner Lord.\You should take another name.\It wasn't a whim.\Since I intend to return to my homeland someday.\Sistina is an island in the demon world.\If you go back, no good will come out of it. response:	That's for me to decide, sir.
context: Cornaro is a prestigious name in Sistina.\Not to be assumed on a whim by a commoner Lord.\You should take another name.\It wasn't a whim.\Since I intend to return to my homeland someday.\Sistina is an island in the demon world.\If you go back, no good will come out of it.\That's for me to decide, sir. response:	What a day we had, huh?
context: Not to be assumed on a whim by a commoner Lord.\You should take another name.\It wasn't a whim.\Since I intend to return to my homeland someday.\Sistina is an island in the demon world.\If you go back, no good will come out of it.\That's for me to decide, sir.\What a day we had, huh? response:	I agree.
context: You should take another name.\It wasn't a whim.\Since I intend to return to my homeland someday.\Sistina is an island in the demon world.\If you go back, no good will come out of it.\That's for me to decide, sir.\What a day we had, huh?\I agree. response:	Shall we have some tea?
context: It wasn't a whim.\Since I intend to return to my homeland someday.\Sistina is an island in the demon world.\If you go back, no good will come out of it.\That's for me to decide, sir.\What a day we had, huh?\I agree.\Shall we have some tea? response:	It's unusual for Irvin not to show up at a time like this.
context: Since I intend to return to my homeland someday.\Sistina is an island in the demon world.\If you go back, no good will come out of it.\That's for me to decide, sir.\What a day we had, huh?\I agree.\Shall we have some tea?\It's unusual for Irvin not to show up at a time like this. response:	Looks like we have company.
context: Sistina is an island in the demon world.\If you go back, no good will come out of it.\That's for me to decide, sir.\What a day we had, huh?\I agree.\Shall we have some tea?\It's unusual for Irvin not to show up at a time like this.\Looks like we have company. response:	Someone of significantly high rank.
context: If you go back, no good will come out of it.\That's for me to decide, sir.\What a day we had, huh?\I agree.\Shall we have some tea?\It's unusual for Irvin not to show up at a time like this.\Looks like we have company.\Someone of significantly high rank. response:	But Lord Villar is still at the Marquis of Jalucia's castle...
context: That's for me to decide, sir.\What a day we had, huh?\I agree.\Shall we have some tea?\It's unusual for Irvin not to show up at a time like this.\Looks like we have company.\Someone of significantly high rank.\But Lord Villar is still at the Marquis of Jalucia's castle... response:	Theo, you have a guest! Someone named Alexis.
context: What a day we had, huh?\I agree.\Shall we have some tea?\It's unusual for Irvin not to show up at a time like this.\Looks like we have company.\Someone of significantly high rank.\But Lord Villar is still at the Marquis of Jalucia's castle...\Theo, you have a guest! Someone named Alexis. response:	Alexis...
context: I agree.\Shall we have some tea?\It's unusual for Irvin not to show up at a time like this.\Looks like we have company.\Someone of significantly high rank.\But Lord Villar is still at the Marquis of Jalucia's castle...\Theo, you have a guest! Someone named Alexis.\Alexis... response:	Huh?
context: Shall we have some tea?\It's unusual for Irvin not to show up at a time like this.\Looks like we have company.\Someone of significantly high rank.\But Lord Villar is still at the Marquis of Jalucia's castle...\Theo, you have a guest! Someone named Alexis.\Alexis...\Huh? response:	Everyone's been ordered not to enter.
context: It's unusual for Irvin not to show up at a time like this.\Looks like we have company.\Someone of significantly high rank.\But Lord Villar is still at the Marquis of Jalucia's castle...\Theo, you have a guest! Someone named Alexis.\Alexis...\Huh?\Everyone's been ordered not to enter. response:	Because I wanted to talk to you with no one else around.
