context: Wait! response:	It's been a week since the battle in the coal pit,
context: What?\Am I not right?\We're leaving!\Surely you've heard the rumors about him, too.\Rumors?\See you at the Wave.\Don't hold us back.\U-Um... response:	What?
context: Am I not right?\We're leaving!\Surely you've heard the rumors about him, too.\Rumors?\See you at the Wave.\Don't hold us back.\U-Um...\What? response:	Did something happen between you and the other heroes?
context: We're leaving!\Surely you've heard the rumors about him, too.\Rumors?\See you at the Wave.\Don't hold us back.\U-Um...\What?\Did something happen between you and the other heroes? response:	That's none of your business.
context: Surely you've heard the rumors about him, too.\Rumors?\See you at the Wave.\Don't hold us back.\U-Um...\What?\Did something happen between you and the other heroes?\That's none of your business. response:	Naofumi-sama,
context: Rumors?\See you at the Wave.\Don't hold us back.\U-Um...\What?\Did something happen between you and the other heroes?\That's none of your business.\Naofumi-sama, response:	I'll go ahead and turn in.
context: See you at the Wave.\Don't hold us back.\U-Um...\What?\Did something happen between you and the other heroes?\That's none of your business.\Naofumi-sama,\I'll go ahead and turn in. response:	Good night.
context: Don't hold us back.\U-Um...\What?\Did something happen between you and the other heroes?\That's none of your business.\Naofumi-sama,\I'll go ahead and turn in.\Good night. response:	Even when I tell the truth,
context: U-Um...\What?\Did something happen between you and the other heroes?\That's none of your business.\Naofumi-sama,\I'll go ahead and turn in.\Good night.\Even when I tell the truth, response:	nobody believes me, anyway.
context: What?\Did something happen between you and the other heroes?\That's none of your business.\Naofumi-sama,\I'll go ahead and turn in.\Good night.\Even when I tell the truth,\nobody believes me, anyway. response:	The Day of the Wave of Catastrophe
context: Did something happen between you and the other heroes?\That's none of your business.\Naofumi-sama,\I'll go ahead and turn in.\Good night.\Even when I tell the truth,\nobody believes me, anyway.\The Day of the Wave of Catastrophe response:	Naofumi-sama...
context: That's none of your business.\Naofumi-sama,\I'll go ahead and turn in.\Good night.\Even when I tell the truth,\nobody believes me, anyway.\The Day of the Wave of Catastrophe\Naofumi-sama... response:	What's up?
context: Naofumi-sama,\I'll go ahead and turn in.\Good night.\Even when I tell the truth,\nobody believes me, anyway.\The Day of the Wave of Catastrophe\Naofumi-sama...\What's up? response:	Well, I just want to say...
context: I'll go ahead and turn in.\Good night.\Even when I tell the truth,\nobody believes me, anyway.\The Day of the Wave of Catastrophe\Naofumi-sama...\What's up?\Well, I just want to say... response:	I'm truly grateful I met you.
context: Good night.\Even when I tell the truth,\nobody believes me, anyway.\The Day of the Wave of Catastrophe\Naofumi-sama...\What's up?\Well, I just want to say...\I'm truly grateful I met you. response:	You cured my illness and fed me warm meals.
context: Even when I tell the truth,\nobody believes me, anyway.\The Day of the Wave of Catastrophe\Naofumi-sama...\What's up?\Well, I just want to say...\I'm truly grateful I met you.\You cured my illness and fed me warm meals. response:	You taught me how to live.
context: nobody believes me, anyway.\The Day of the Wave of Catastrophe\Naofumi-sama...\What's up?\Well, I just want to say...\I'm truly grateful I met you.\You cured my illness and fed me warm meals.\You taught me how to live. response:	Your parents won't ever come back.
context: The Day of the Wave of Catastrophe\Naofumi-sama...\What's up?\Well, I just want to say...\I'm truly grateful I met you.\You cured my illness and fed me warm meals.\You taught me how to live.\Your parents won't ever come back. response:	But we can prevent other kids from going through what you did.
context: Naofumi-sama...\What's up?\Well, I just want to say...\I'm truly grateful I met you.\You cured my illness and fed me warm meals.\You taught me how to live.\Your parents won't ever come back.\But we can prevent other kids from going through what you did. response:	And you gave me a reason to fight...
context: What's up?\Well, I just want to say...\I'm truly grateful I met you.\You cured my illness and fed me warm meals.\You taught me how to live.\Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And you gave me a reason to fight... response:	A reason to fight the Waves.
context: Well, I just want to say...\I'm truly grateful I met you.\You cured my illness and fed me warm meals.\You taught me how to live.\Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And you gave me a reason to fight...\A reason to fight the Waves. response:	I am your sword!
context: I'm truly grateful I met you.\You cured my illness and fed me warm meals.\You taught me how to live.\Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And you gave me a reason to fight...\A reason to fight the Waves.\I am your sword! response:	Wherever you go, I will go with you.
context: You cured my illness and fed me warm meals.\You taught me how to live.\Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And you gave me a reason to fight...\A reason to fight the Waves.\I am your sword!\Wherever you go, I will go with you. response:	That so?
context: You taught me how to live.\Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And you gave me a reason to fight...\A reason to fight the Waves.\I am your sword!\Wherever you go, I will go with you.\That so? response:	Where are we?
context: Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And you gave me a reason to fight...\A reason to fight the Waves.\I am your sword!\Wherever you go, I will go with you.\That so?\Where are we? response:	There it is.
context: But we can prevent other kids from going through what you did.\And you gave me a reason to fight...\A reason to fight the Waves.\I am your sword!\Wherever you go, I will go with you.\That so?\Where are we?\There it is. response:	The Wave of Catastrophe.
context: And you gave me a reason to fight...\A reason to fight the Waves.\I am your sword!\Wherever you go, I will go with you.\That so?\Where are we?\There it is.\The Wave of Catastrophe. response:	Those guys... Raphtalia, we're going!
context: A reason to fight the Waves.\I am your sword!\Wherever you go, I will go with you.\That so?\Where are we?\There it is.\The Wave of Catastrophe.\Those guys... Raphtalia, we're going! response:	Look there, Naofumi-sama!
context: I am your sword!\Wherever you go, I will go with you.\That so?\Where are we?\There it is.\The Wave of Catastrophe.\Those guys... Raphtalia, we're going!\Look there, Naofumi-sama! response:	It's the village of Lute!
context: Wherever you go, I will go with you.\That so?\Where are we?\There it is.\The Wave of Catastrophe.\Those guys... Raphtalia, we're going!\Look there, Naofumi-sama!\It's the village of Lute! response:	Have the villagers evacuated?
context: That so?\Where are we?\There it is.\The Wave of Catastrophe.\Those guys... Raphtalia, we're going!\Look there, Naofumi-sama!\It's the village of Lute!\Have the villagers evacuated? response:	A flare?
context: Where are we?\There it is.\The Wave of Catastrophe.\Those guys... Raphtalia, we're going!\Look there, Naofumi-sama!\It's the village of Lute!\Have the villagers evacuated?\A flare? response:	They think their job's done once they let the knights know where they are?
context: There it is.\The Wave of Catastrophe.\Those guys... Raphtalia, we're going!\Look there, Naofumi-sama!\It's the village of Lute!\Have the villagers evacuated?\A flare?\They think their job's done once they let the knights know where they are? response:	The castle isn't far away, but by the time the knights get here,
context: The Wave of Catastrophe.\Those guys... Raphtalia, we're going!\Look there, Naofumi-sama!\It's the village of Lute!\Have the villagers evacuated?\A flare?\They think their job's done once they let the knights know where they are?\The castle isn't far away, but by the time the knights get here, response:	the village will be wiped out!
context: Those guys... Raphtalia, we're going!\Look there, Naofumi-sama!\It's the village of Lute!\Have the villagers evacuated?\A flare?\They think their job's done once they let the knights know where they are?\The castle isn't far away, but by the time the knights get here,\the village will be wiped out! response:	We're going!
context: Look there, Naofumi-sama!\It's the village of Lute!\Have the villagers evacuated?\A flare?\They think their job's done once they let the knights know where they are?\The castle isn't far away, but by the time the knights get here,\the village will be wiped out!\We're going! response:	To Lute Village!
context: It's the village of Lute!\Have the villagers evacuated?\A flare?\They think their job's done once they let the knights know where they are?\The castle isn't far away, but by the time the knights get here,\the village will be wiped out!\We're going!\To Lute Village! response:	Right!
context: Have the villagers evacuated?\A flare?\They think their job's done once they let the knights know where they are?\The castle isn't far away, but by the time the knights get here,\the village will be wiped out!\We're going!\To Lute Village!\Right! response:	Are you all right?
context: A flare?\They think their job's done once they let the knights know where they are?\The castle isn't far away, but by the time the knights get here,\the village will be wiped out!\We're going!\To Lute Village!\Right!\Are you all right? response:	Raphtalia, go help the villagers evacuate.
context: They think their job's done once they let the knights know where they are?\The castle isn't far away, but by the time the knights get here,\the village will be wiped out!\We're going!\To Lute Village!\Right!\Are you all right?\Raphtalia, go help the villagers evacuate. response:	But what about you?
context: The castle isn't far away, but by the time the knights get here,\the village will be wiped out!\We're going!\To Lute Village!\Right!\Are you all right?\Raphtalia, go help the villagers evacuate.\But what about you? response:	I'll...
context: the village will be wiped out!\We're going!\To Lute Village!\Right!\Are you all right?\Raphtalia, go help the villagers evacuate.\But what about you?\I'll... response:	I'll lure the enemy away.
context: We're going!\To Lute Village!\Right!\Are you all right?\Raphtalia, go help the villagers evacuate.\But what about you?\I'll...\I'll lure the enemy away. response:	One of the heroes!
context: To Lute Village!\Right!\Are you all right?\Raphtalia, go help the villagers evacuate.\But what about you?\I'll...\I'll lure the enemy away.\One of the heroes! response:	The Shield Hero is here for us!
context: Right!\Are you all right?\Raphtalia, go help the villagers evacuate.\But what about you?\I'll...\I'll lure the enemy away.\One of the heroes!\The Shield Hero is here for us! response:	Listen up!
context: Are you all right?\Raphtalia, go help the villagers evacuate.\But what about you?\I'll...\I'll lure the enemy away.\One of the heroes!\The Shield Hero is here for us!\Listen up! response:	I'll keep them occupied!
context: Raphtalia, go help the villagers evacuate.\But what about you?\I'll...\I'll lure the enemy away.\One of the heroes!\The Shield Hero is here for us!\Listen up!\I'll keep them occupied! response:	Get out of here while you can!
context: But what about you?\I'll...\I'll lure the enemy away.\One of the heroes!\The Shield Hero is here for us!\Listen up!\I'll keep them occupied!\Get out of here while you can! response:	H-Help me!
context: I'll...\I'll lure the enemy away.\One of the heroes!\The Shield Hero is here for us!\Listen up!\I'll keep them occupied!\Get out of here while you can!\H-Help me! response:	Air Strike Shield!
context: I'll lure the enemy away.\One of the heroes!\The Shield Hero is here for us!\Listen up!\I'll keep them occupied!\Get out of here while you can!\H-Help me!\Air Strike Shield! response:	Hurry up and run!
context: One of the heroes!\The Shield Hero is here for us!\Listen up!\I'll keep them occupied!\Get out of here while you can!\H-Help me!\Air Strike Shield!\Hurry up and run! response:	Mom!
context: The Shield Hero is here for us!\Listen up!\I'll keep them occupied!\Get out of here while you can!\H-Help me!\Air Strike Shield!\Hurry up and run!\Mom! response:	Shield Prison!
context: Listen up!\I'll keep them occupied!\Get out of here while you can!\H-Help me!\Air Strike Shield!\Hurry up and run!\Mom!\Shield Prison! response:	Mom!
context: I'll keep them occupied!\Get out of here while you can!\H-Help me!\Air Strike Shield!\Hurry up and run!\Mom!\Shield Prison!\Mom! response:	Damn it!
context: Get out of here while you can!\H-Help me!\Air Strike Shield!\Hurry up and run!\Mom!\Shield Prison!\Mom!\Damn it! response:	This way, you stupid zombies!
context: H-Help me!\Air Strike Shield!\Hurry up and run!\Mom!\Shield Prison!\Mom!\Damn it!\This way, you stupid zombies! response:	Keep up with me if you can!
context: Air Strike Shield!\Hurry up and run!\Mom!\Shield Prison!\Mom!\Damn it!\This way, you stupid zombies!\Keep up with me if you can! response:	Why am I risking my life to defend total strangers?
context: Hurry up and run!\Mom!\Shield Prison!\Mom!\Damn it!\This way, you stupid zombies!\Keep up with me if you can!\Why am I risking my life to defend total strangers? response:	I'm such a fool.
context: Mom!\Shield Prison!\Mom!\Damn it!\This way, you stupid zombies!\Keep up with me if you can!\Why am I risking my life to defend total strangers?\I'm such a fool. response:	Come this way, everyone!
context: Shield Prison!\Mom!\Damn it!\This way, you stupid zombies!\Keep up with me if you can!\Why am I risking my life to defend total strangers?\I'm such a fool.\Come this way, everyone! response:	Hurry!
context: Mom!\Damn it!\This way, you stupid zombies!\Keep up with me if you can!\Why am I risking my life to defend total strangers?\I'm such a fool.\Come this way, everyone!\Hurry! response:	There's way too many of them.
context: Damn it!\This way, you stupid zombies!\Keep up with me if you can!\Why am I risking my life to defend total strangers?\I'm such a fool.\Come this way, everyone!\Hurry!\There's way too many of them. response:	How can I minimize the damage to the village?
context: This way, you stupid zombies!\Keep up with me if you can!\Why am I risking my life to defend total strangers?\I'm such a fool.\Come this way, everyone!\Hurry!\There's way too many of them.\How can I minimize the damage to the village? response:	Air Strike Shield!
context: Keep up with me if you can!\Why am I risking my life to defend total strangers?\I'm such a fool.\Come this way, everyone!\Hurry!\There's way too many of them.\How can I minimize the damage to the village?\Air Strike Shield! response:	S-Stay away!
context: Why am I risking my life to defend total strangers?\I'm such a fool.\Come this way, everyone!\Hurry!\There's way too many of them.\How can I minimize the damage to the village?\Air Strike Shield!\S-Stay away! response:	Damn it! Stay away!
context: I'm such a fool.\Come this way, everyone!\Hurry!\There's way too many of them.\How can I minimize the damage to the village?\Air Strike Shield!\S-Stay away!\Damn it! Stay away! response:	No... Stop!
context: Come this way, everyone!\Hurry!\There's way too many of them.\How can I minimize the damage to the village?\Air Strike Shield!\S-Stay away!\Damn it! Stay away!\No... Stop! response:	Shit!
context: Hurry!\There's way too many of them.\How can I minimize the damage to the village?\Air Strike Shield!\S-Stay away!\Damn it! Stay away!\No... Stop!\Shit! response:	It's showing no signs of slowing down.
context: There's way too many of them.\How can I minimize the damage to the village?\Air Strike Shield!\S-Stay away!\Damn it! Stay away!\No... Stop!\Shit!\It's showing no signs of slowing down. response:	What are those guys doing?
context: How can I minimize the damage to the village?\Air Strike Shield!\S-Stay away!\Damn it! Stay away!\No... Stop!\Shit!\It's showing no signs of slowing down.\What are those guys doing? response:	Hurry up and...
context: Air Strike Shield!\S-Stay away!\Damn it! Stay away!\No... Stop!\Shit!\It's showing no signs of slowing down.\What are those guys doing?\Hurry up and... response:	Did I get them?
context: S-Stay away!\Damn it! Stay away!\No... Stop!\Shit!\It's showing no signs of slowing down.\What are those guys doing?\Hurry up and...\Did I get them? response:	Sir Hero!
context: Damn it! Stay away!\No... Stop!\Shit!\It's showing no signs of slowing down.\What are those guys doing?\Hurry up and...\Did I get them?\Sir Hero! response:	Why'd you come back here?
context: No... Stop!\Shit!\It's showing no signs of slowing down.\What are those guys doing?\Hurry up and...\Did I get them?\Sir Hero!\Why'd you come back here? response:	We all changed our minds after seeing how courageously you're fighting.
context: Shit!\It's showing no signs of slowing down.\What are those guys doing?\Hurry up and...\Did I get them?\Sir Hero!\Why'd you come back here?\We all changed our minds after seeing how courageously you're fighting. response:	This village is our home.
context: It's showing no signs of slowing down.\What are those guys doing?\Hurry up and...\Did I get them?\Sir Hero!\Why'd you come back here?\We all changed our minds after seeing how courageously you're fighting.\This village is our home. response:	We cannot run away and abandon it.
context: What are those guys doing?\Hurry up and...\Did I get them?\Sir Hero!\Why'd you come back here?\We all changed our minds after seeing how courageously you're fighting.\This village is our home.\We cannot run away and abandon it. response:	We'll fight with you.
context: Hurry up and...\Did I get them?\Sir Hero!\Why'd you come back here?\We all changed our minds after seeing how courageously you're fighting.\This village is our home.\We cannot run away and abandon it.\We'll fight with you. response:	Got it.
context: Did I get them?\Sir Hero!\Why'd you come back here?\We all changed our minds after seeing how courageously you're fighting.\This village is our home.\We cannot run away and abandon it.\We'll fight with you.\Got it. response:	Help me keep the enemy pinned down until the evacuation's complete.
context: Sir Hero!\Why'd you come back here?\We all changed our minds after seeing how courageously you're fighting.\This village is our home.\We cannot run away and abandon it.\We'll fight with you.\Got it.\Help me keep the enemy pinned down until the evacuation's complete. response:	Die, monster!
context: Why'd you come back here?\We all changed our minds after seeing how courageously you're fighting.\This village is our home.\We cannot run away and abandon it.\We'll fight with you.\Got it.\Help me keep the enemy pinned down until the evacuation's complete.\Die, monster! response:	You guys can't deal with this one! Fall back!
context: We all changed our minds after seeing how courageously you're fighting.\This village is our home.\We cannot run away and abandon it.\We'll fight with you.\Got it.\Help me keep the enemy pinned down until the evacuation's complete.\Die, monster!\You guys can't deal with this one! Fall back! response:	But...
context: This village is our home.\We cannot run away and abandon it.\We'll fight with you.\Got it.\Help me keep the enemy pinned down until the evacuation's complete.\Die, monster!\You guys can't deal with this one! Fall back!\But... response:	Think about your families!
context: We cannot run away and abandon it.\We'll fight with you.\Got it.\Help me keep the enemy pinned down until the evacuation's complete.\Die, monster!\You guys can't deal with this one! Fall back!\But...\Think about your families! response:	Don't die here for no reason!
context: We'll fight with you.\Got it.\Help me keep the enemy pinned down until the evacuation's complete.\Die, monster!\You guys can't deal with this one! Fall back!\But...\Think about your families!\Don't die here for no reason! response:	Naofumi-sama!
context: Got it.\Help me keep the enemy pinned down until the evacuation's complete.\Die, monster!\You guys can't deal with this one! Fall back!\But...\Think about your families!\Don't die here for no reason!\Naofumi-sama! response:	Raphtalia!
context: Help me keep the enemy pinned down until the evacuation's complete.\Die, monster!\You guys can't deal with this one! Fall back!\But...\Think about your families!\Don't die here for no reason!\Naofumi-sama!\Raphtalia! response:	Take care of it!
context: Die, monster!\You guys can't deal with this one! Fall back!\But...\Think about your families!\Don't die here for no reason!\Naofumi-sama!\Raphtalia!\Take care of it! response:	Well done.
context: You guys can't deal with this one! Fall back!\But...\Think about your families!\Don't die here for no reason!\Naofumi-sama!\Raphtalia!\Take care of it!\Well done. response:	A-Amazing.
context: But...\Think about your families!\Don't die here for no reason!\Naofumi-sama!\Raphtalia!\Take care of it!\Well done.\A-Amazing. response:	We'll handle things here. Hurry up and evacuate.
context: Think about your families!\Don't die here for no reason!\Naofumi-sama!\Raphtalia!\Take care of it!\Well done.\A-Amazing.\We'll handle things here. Hurry up and evacuate. response:	Got it.
context: Don't die here for no reason!\Naofumi-sama!\Raphtalia!\Take care of it!\Well done.\A-Amazing.\We'll handle things here. Hurry up and evacuate.\Got it. response:	Please be safe.
context: Naofumi-sama!\Raphtalia!\Take care of it!\Well done.\A-Amazing.\We'll handle things here. Hurry up and evacuate.\Got it.\Please be safe. response:	Well, then...
context: Raphtalia!\Take care of it!\Well done.\A-Amazing.\We'll handle things here. Hurry up and evacuate.\Got it.\Please be safe.\Well, then... response:	The enemy's numbers aren't going down.
context: Take care of it!\Well done.\A-Amazing.\We'll handle things here. Hurry up and evacuate.\Got it.\Please be safe.\Well, then...\The enemy's numbers aren't going down. response:	What now?
context: Well done.\A-Amazing.\We'll handle things here. Hurry up and evacuate.\Got it.\Please be safe.\Well, then...\The enemy's numbers aren't going down.\What now? response:	What's that?
context: A-Amazing.\We'll handle things here. Hurry up and evacuate.\Got it.\Please be safe.\Well, then...\The enemy's numbers aren't going down.\What now?\What's that? response:	Raphtalia!
context: We'll handle things here. Hurry up and evacuate.\Got it.\Please be safe.\Well, then...\The enemy's numbers aren't going down.\What now?\What's that?\Raphtalia! response:	We burned them all to death at once.
context: Got it.\Please be safe.\Well, then...\The enemy's numbers aren't going down.\What now?\What's that?\Raphtalia!\We burned them all to death at once. response:	The Shield Hero?
context: Please be safe.\Well, then...\The enemy's numbers aren't going down.\What now?\What's that?\Raphtalia!\We burned them all to death at once.\The Shield Hero? response:	You're quite tough.
context: Well, then...\The enemy's numbers aren't going down.\What now?\What's that?\Raphtalia!\We burned them all to death at once.\The Shield Hero?\You're quite tough. response:	Tch. They didn't care that we were here?
context: The enemy's numbers aren't going down.\What now?\What's that?\Raphtalia!\We burned them all to death at once.\The Shield Hero?\You're quite tough.\Tch. They didn't care that we were here? response:	Did you do this knowing Naofumi-sama was here?
context: What now?\What's that?\Raphtalia!\We burned them all to death at once.\The Shield Hero?\You're quite tough.\Tch. They didn't care that we were here?\Did you do this knowing Naofumi-sama was here? response:	Depending on your answer, I'll have your head!
context: What's that?\Raphtalia!\We burned them all to death at once.\The Shield Hero?\You're quite tough.\Tch. They didn't care that we were here?\Did you do this knowing Naofumi-sama was here?\Depending on your answer, I'll have your head! response:	Draw your swords.
context: Raphtalia!\We burned them all to death at once.\The Shield Hero?\You're quite tough.\Tch. They didn't care that we were here?\Did you do this knowing Naofumi-sama was here?\Depending on your answer, I'll have your head!\Draw your swords. response:	Are you with the Shield Hero?
context: We burned them all to death at once.\The Shield Hero?\You're quite tough.\Tch. They didn't care that we were here?\Did you do this knowing Naofumi-sama was here?\Depending on your answer, I'll have your head!\Draw your swords.\Are you with the Shield Hero? response:	I am Naofumi-sama's sword.
context: The Shield Hero?\You're quite tough.\Tch. They didn't care that we were here?\Did you do this knowing Naofumi-sama was here?\Depending on your answer, I'll have your head!\Draw your swords.\Are you with the Shield Hero?\I am Naofumi-sama's sword. response:	None may disrespect him in my presence.
context: You're quite tough.\Tch. They didn't care that we were here?\Did you do this knowing Naofumi-sama was here?\Depending on your answer, I'll have your head!\Draw your swords.\Are you with the Shield Hero?\I am Naofumi-sama's sword.\None may disrespect him in my presence. response:	You think you can point your blade at the royal knights, you damned demi-human?
context: Tch. They didn't care that we were here?\Did you do this knowing Naofumi-sama was here?\Depending on your answer, I'll have your head!\Draw your swords.\Are you with the Shield Hero?\I am Naofumi-sama's sword.\None may disrespect him in my presence.\You think you can point your blade at the royal knights, you damned demi-human? response:	What kind of knight neglects the people he's meant to defend?
context: Did you do this knowing Naofumi-sama was here?\Depending on your answer, I'll have your head!\Draw your swords.\Are you with the Shield Hero?\I am Naofumi-sama's sword.\None may disrespect him in my presence.\You think you can point your blade at the royal knights, you damned demi-human?\What kind of knight neglects the people he's meant to defend? response:	Forget it, Raphtalia.
context: Depending on your answer, I'll have your head!\Draw your swords.\Are you with the Shield Hero?\I am Naofumi-sama's sword.\None may disrespect him in my presence.\You think you can point your blade at the royal knights, you damned demi-human?\What kind of knight neglects the people he's meant to defend?\Forget it, Raphtalia. response:	But...
context: Draw your swords.\Are you with the Shield Hero?\I am Naofumi-sama's sword.\None may disrespect him in my presence.\You think you can point your blade at the royal knights, you damned demi-human?\What kind of knight neglects the people he's meant to defend?\Forget it, Raphtalia.\But... response:	Drop it.
context: Are you with the Shield Hero?\I am Naofumi-sama's sword.\None may disrespect him in my presence.\You think you can point your blade at the royal knights, you damned demi-human?\What kind of knight neglects the people he's meant to defend?\Forget it, Raphtalia.\But...\Drop it. response:	That's right.
context: I am Naofumi-sama's sword.\None may disrespect him in my presence.\You think you can point your blade at the royal knights, you damned demi-human?\What kind of knight neglects the people he's meant to defend?\Forget it, Raphtalia.\But...\Drop it.\That's right. response:	So long as you behave yourself,
context: None may disrespect him in my presence.\You think you can point your blade at the royal knights, you damned demi-human?\What kind of knight neglects the people he's meant to defend?\Forget it, Raphtalia.\But...\Drop it.\That's right.\So long as you behave yourself, response:	we won't be forced to make any mistakes.
context: You think you can point your blade at the royal knights, you damned demi-human?\What kind of knight neglects the people he's meant to defend?\Forget it, Raphtalia.\But...\Drop it.\That's right.\So long as you behave yourself,\we won't be forced to make any mistakes. response:	I guess.
context: What kind of knight neglects the people he's meant to defend?\Forget it, Raphtalia.\But...\Drop it.\That's right.\So long as you behave yourself,\we won't be forced to make any mistakes.\I guess. response:	I could sit tight and watch you morons become monster feed.
context: Forget it, Raphtalia.\But...\Drop it.\That's right.\So long as you behave yourself,\we won't be forced to make any mistakes.\I guess.\I could sit tight and watch you morons become monster feed. response:	That doesn't sound too bad!
context: But...\Drop it.\That's right.\So long as you behave yourself,\we won't be forced to make any mistakes.\I guess.\I could sit tight and watch you morons become monster feed.\That doesn't sound too bad! response:	D-Don't falter! Get in formation...
context: Drop it.\That's right.\So long as you behave yourself,\we won't be forced to make any mistakes.\I guess.\I could sit tight and watch you morons become monster feed.\That doesn't sound too bad!\D-Don't falter! Get in formation... response:	Want to die an honorable death in battle?
context: That's right.\So long as you behave yourself,\we won't be forced to make any mistakes.\I guess.\I could sit tight and watch you morons become monster feed.\That doesn't sound too bad!\D-Don't falter! Get in formation...\Want to die an honorable death in battle? response:	Raphtalia!
context: So long as you behave yourself,\we won't be forced to make any mistakes.\I guess.\I could sit tight and watch you morons become monster feed.\That doesn't sound too bad!\D-Don't falter! Get in formation...\Want to die an honorable death in battle?\Raphtalia! response:	Coming!
context: we won't be forced to make any mistakes.\I guess.\I could sit tight and watch you morons become monster feed.\That doesn't sound too bad!\D-Don't falter! Get in formation...\Want to die an honorable death in battle?\Raphtalia!\Coming! response:	Listen here! We'll buy you time!
context: I guess.\I could sit tight and watch you morons become monster feed.\That doesn't sound too bad!\D-Don't falter! Get in formation...\Want to die an honorable death in battle?\Raphtalia!\Coming!\Listen here! We'll buy you time! response:	Use it to get in formation!
context: I could sit tight and watch you morons become monster feed.\That doesn't sound too bad!\D-Don't falter! Get in formation...\Want to die an honorable death in battle?\Raphtalia!\Coming!\Listen here! We'll buy you time!\Use it to get in formation! response:	Let's go, Raphtalia.
context: That doesn't sound too bad!\D-Don't falter! Get in formation...\Want to die an honorable death in battle?\Raphtalia!\Coming!\Listen here! We'll buy you time!\Use it to get in formation!\Let's go, Raphtalia. response:	Right!
context: D-Don't falter! Get in formation...\Want to die an honorable death in battle?\Raphtalia!\Coming!\Listen here! We'll buy you time!\Use it to get in formation!\Let's go, Raphtalia.\Right! response:	Let the Shield handle this.
context: Want to die an honorable death in battle?\Raphtalia!\Coming!\Listen here! We'll buy you time!\Use it to get in formation!\Let's go, Raphtalia.\Right!\Let the Shield handle this. response:	We're heading to where the Three Heroes are!
context: Raphtalia!\Coming!\Listen here! We'll buy you time!\Use it to get in formation!\Let's go, Raphtalia.\Right!\Let the Shield handle this.\We're heading to where the Three Heroes are! response:	Now!
context: Coming!\Listen here! We'll buy you time!\Use it to get in formation!\Let's go, Raphtalia.\Right!\Let the Shield handle this.\We're heading to where the Three Heroes are!\Now! response:	Support the Shield Hero! Phalanx formation!
context: Listen here! We'll buy you time!\Use it to get in formation!\Let's go, Raphtalia.\Right!\Let the Shield handle this.\We're heading to where the Three Heroes are!\Now!\Support the Shield Hero! Phalanx formation! response:	Phalanx!
context: Use it to get in formation!\Let's go, Raphtalia.\Right!\Let the Shield handle this.\We're heading to where the Three Heroes are!\Now!\Support the Shield Hero! Phalanx formation!\Phalanx! response:	Charge!
context: Let's go, Raphtalia.\Right!\Let the Shield handle this.\We're heading to where the Three Heroes are!\Now!\Support the Shield Hero! Phalanx formation!\Phalanx!\Charge! response:	Naofumi-sama, look at the knights.
context: Right!\Let the Shield handle this.\We're heading to where the Three Heroes are!\Now!\Support the Shield Hero! Phalanx formation!\Phalanx!\Charge!\Naofumi-sama, look at the knights. response:	Forget them. Let's go.
context: Let the Shield handle this.\We're heading to where the Three Heroes are!\Now!\Support the Shield Hero! Phalanx formation!\Phalanx!\Charge!\Naofumi-sama, look at the knights.\Forget them. Let's go. response:	Wind Arrow!
context: We're heading to where the Three Heroes are!\Now!\Support the Shield Hero! Phalanx formation!\Phalanx!\Charge!\Naofumi-sama, look at the knights.\Forget them. Let's go.\Wind Arrow! response:	Crimson Blade!
context: Now!\Support the Shield Hero! Phalanx formation!\Phalanx!\Charge!\Naofumi-sama, look at the knights.\Forget them. Let's go.\Wind Arrow!\Crimson Blade! response:	I'll end this!
context: Support the Shield Hero! Phalanx formation!\Phalanx!\Charge!\Naofumi-sama, look at the knights.\Forget them. Let's go.\Wind Arrow!\Crimson Blade!\I'll end this! response:	Take this!
context: Phalanx!\Charge!\Naofumi-sama, look at the knights.\Forget them. Let's go.\Wind Arrow!\Crimson Blade!\I'll end this!\Take this! response:	Lightning Spear!
context: Charge!\Naofumi-sama, look at the knights.\Forget them. Let's go.\Wind Arrow!\Crimson Blade!\I'll end this!\Take this!\Lightning Spear! response:	Naofumi-sama... Look at the sky.
context: Naofumi-sama, look at the knights.\Forget them. Let's go.\Wind Arrow!\Crimson Blade!\I'll end this!\Take this!\Lightning Spear!\Naofumi-sama... Look at the sky. response:	Walk in the park.
context: Forget them. Let's go.\Wind Arrow!\Crimson Blade!\I'll end this!\Take this!\Lightning Spear!\Naofumi-sama... Look at the sky.\Walk in the park. response:	This boss was a piece of cake.
context: Wind Arrow!\Crimson Blade!\I'll end this!\Take this!\Lightning Spear!\Naofumi-sama... Look at the sky.\Walk in the park.\This boss was a piece of cake. response:	Indeed. The next Wave will probably be easy, too.
context: Crimson Blade!\I'll end this!\Take this!\Lightning Spear!\Naofumi-sama... Look at the sky.\Walk in the park.\This boss was a piece of cake.\Indeed. The next Wave will probably be easy, too. response:	By the way, where's Naofumi?
context: I'll end this!\Take this!\Lightning Spear!\Naofumi-sama... Look at the sky.\Walk in the park.\This boss was a piece of cake.\Indeed. The next Wave will probably be easy, too.\By the way, where's Naofumi? response:	It's good that he wasn't here.
