context: You've gotta be kidding! Even if it is Feudal Japan... response:	There's no hot baths?!
context: That's how I got here, thru the Dry Well.\I'm sure I can go back from here.\Bones...\That dry well is nicknamed the bone-devouring well.\It is where the corpses of the dead demons are discarded.\After several days, the corpses disappear.\Those are the bones of the Centipede-Monster.\Great. Now I'm afraid to go in. response:	Now what?
context: I'm sure I can go back from here.\Bones...\That dry well is nicknamed the bone-devouring well.\It is where the corpses of the dead demons are discarded.\After several days, the corpses disappear.\Those are the bones of the Centipede-Monster.\Great. Now I'm afraid to go in.\Now what? response:	Ouch!
context: Bones...\That dry well is nicknamed the bone-devouring well.\It is where the corpses of the dead demons are discarded.\After several days, the corpses disappear.\Those are the bones of the Centipede-Monster.\Great. Now I'm afraid to go in.\Now what?\Ouch! response:	It can't be.
context: That dry well is nicknamed the bone-devouring well.\It is where the corpses of the dead demons are discarded.\After several days, the corpses disappear.\Those are the bones of the Centipede-Monster.\Great. Now I'm afraid to go in.\Now what?\Ouch!\It can't be. response:	That's hair!
context: It is where the corpses of the dead demons are discarded.\After several days, the corpses disappear.\Those are the bones of the Centipede-Monster.\Great. Now I'm afraid to go in.\Now what?\Ouch!\It can't be.\That's hair! response:	Oh, my!
context: After several days, the corpses disappear.\Those are the bones of the Centipede-Monster.\Great. Now I'm afraid to go in.\Now what?\Ouch!\It can't be.\That's hair!\Oh, my! response:	You can see it, then... my web of hair.
context: Those are the bones of the Centipede-Monster.\Great. Now I'm afraid to go in.\Now what?\Ouch!\It can't be.\That's hair!\Oh, my!\You can see it, then... my web of hair. response:	But being able to see it isn't enough...
context: Great. Now I'm afraid to go in.\Now what?\Ouch!\It can't be.\That's hair!\Oh, my!\You can see it, then... my web of hair.\But being able to see it isn't enough... response:	Who're you?!
context: Now what?\Ouch!\It can't be.\That's hair!\Oh, my!\You can see it, then... my web of hair.\But being able to see it isn't enough...\Who're you?! response:	I'm going home.
context: Ouch!\It can't be.\That's hair!\Oh, my!\You can see it, then... my web of hair.\But being able to see it isn't enough...\Who're you?!\I'm going home. response:	Goodbye, Inuyasha.
context: It can't be.\That's hair!\Oh, my!\You can see it, then... my web of hair.\But being able to see it isn't enough...\Who're you?!\I'm going home.\Goodbye, Inuyasha. response:	Let her go, who cares?
context: That's hair!\Oh, my!\You can see it, then... my web of hair.\But being able to see it isn't enough...\Who're you?!\I'm going home.\Goodbye, Inuyasha.\Let her go, who cares? response:	What's with you all?
context: Oh, my!\You can see it, then... my web of hair.\But being able to see it isn't enough...\Who're you?!\I'm going home.\Goodbye, Inuyasha.\Let her go, who cares?\What's with you all? response:	Interesting!
context: You can see it, then... my web of hair.\But being able to see it isn't enough...\Who're you?!\I'm going home.\Goodbye, Inuyasha.\Let her go, who cares?\What's with you all?\Interesting! response:	Wanna take me on, huh?
context: But being able to see it isn't enough...\Who're you?!\I'm going home.\Goodbye, Inuyasha.\Let her go, who cares?\What's with you all?\Interesting!\Wanna take me on, huh? response:	They call me Yura of the Demon-Hair...
context: Who're you?!\I'm going home.\Goodbye, Inuyasha.\Let her go, who cares?\What's with you all?\Interesting!\Wanna take me on, huh?\They call me Yura of the Demon-Hair... response:	though you needn't bother remembering it.
context: I'm going home.\Goodbye, Inuyasha.\Let her go, who cares?\What's with you all?\Interesting!\Wanna take me on, huh?\They call me Yura of the Demon-Hair...\though you needn't bother remembering it. response:	Your time's about to run out!
context: Goodbye, Inuyasha.\Let her go, who cares?\What's with you all?\Interesting!\Wanna take me on, huh?\They call me Yura of the Demon-Hair...\though you needn't bother remembering it.\Your time's about to run out! response:	I'm helping myself to the Jewel!
context: Let her go, who cares?\What's with you all?\Interesting!\Wanna take me on, huh?\They call me Yura of the Demon-Hair...\though you needn't bother remembering it.\Your time's about to run out!\I'm helping myself to the Jewel! response:	Now look what you've done to it.
context: What's with you all?\Interesting!\Wanna take me on, huh?\They call me Yura of the Demon-Hair...\though you needn't bother remembering it.\Your time's about to run out!\I'm helping myself to the Jewel!\Now look what you've done to it. response:	Where are the other fragments?
context: Interesting!\Wanna take me on, huh?\They call me Yura of the Demon-Hair...\though you needn't bother remembering it.\Your time's about to run out!\I'm helping myself to the Jewel!\Now look what you've done to it.\Where are the other fragments? response:	Give it back!
context: Wanna take me on, huh?\They call me Yura of the Demon-Hair...\though you needn't bother remembering it.\Your time's about to run out!\I'm helping myself to the Jewel!\Now look what you've done to it.\Where are the other fragments?\Give it back! response:	Answer my question!
context: They call me Yura of the Demon-Hair...\though you needn't bother remembering it.\Your time's about to run out!\I'm helping myself to the Jewel!\Now look what you've done to it.\Where are the other fragments?\Give it back!\Answer my question! response:	Where are the remaining fragments!?
context: though you needn't bother remembering it.\Your time's about to run out!\I'm helping myself to the Jewel!\Now look what you've done to it.\Where are the other fragments?\Give it back!\Answer my question!\Where are the remaining fragments!? response:	I see.
context: Your time's about to run out!\I'm helping myself to the Jewel!\Now look what you've done to it.\Where are the other fragments?\Give it back!\Answer my question!\Where are the remaining fragments!?\I see. response:	In that case...
context: I'm helping myself to the Jewel!\Now look what you've done to it.\Where are the other fragments?\Give it back!\Answer my question!\Where are the remaining fragments!?\I see.\In that case... response:	you may as well die!
context: Now look what you've done to it.\Where are the other fragments?\Give it back!\Answer my question!\Where are the remaining fragments!?\I see.\In that case...\you may as well die! response:	I see.
context: Where are the other fragments?\Give it back!\Answer my question!\Where are the remaining fragments!?\I see.\In that case...\you may as well die!\I see. response:	In that case...
context: Give it back!\Answer my question!\Where are the remaining fragments!?\I see.\In that case...\you may as well die!\I see.\In that case... response:	you may as well die!
context: Answer my question!\Where are the remaining fragments!?\I see.\In that case...\you may as well die!\I see.\In that case...\you may as well die! response:	It's useless to try and escape!
context: Where are the remaining fragments!?\I see.\In that case...\you may as well die!\I see.\In that case...\you may as well die!\It's useless to try and escape! response:	Gone...
context: I see.\In that case...\you may as well die!\I see.\In that case...\you may as well die!\It's useless to try and escape!\Gone... response:	Who was that girl?
context: In that case...\you may as well die!\I see.\In that case...\you may as well die!\It's useless to try and escape!\Gone...\Who was that girl? response:	Wait a minute!
context: you may as well die!\I see.\In that case...\you may as well die!\It's useless to try and escape!\Gone...\Who was that girl?\Wait a minute! response:	They're all girls from the village.
context: I see.\In that case...\you may as well die!\It's useless to try and escape!\Gone...\Who was that girl?\Wait a minute!\They're all girls from the village. response:	What's going on? Planning to tie me up again?
context: In that case...\you may as well die!\It's useless to try and escape!\Gone...\Who was that girl?\Wait a minute!\They're all girls from the village.\What's going on? Planning to tie me up again? response:	Well, I'm not giving in.
context: you may as well die!\It's useless to try and escape!\Gone...\Who was that girl?\Wait a minute!\They're all girls from the village.\What's going on? Planning to tie me up again?\Well, I'm not giving in. response:	Inuyasha, don't do it!
context: It's useless to try and escape!\Gone...\Who was that girl?\Wait a minute!\They're all girls from the village.\What's going on? Planning to tie me up again?\Well, I'm not giving in.\Inuyasha, don't do it! response:	Do not harm the girls!
context: Gone...\Who was that girl?\Wait a minute!\They're all girls from the village.\What's going on? Planning to tie me up again?\Well, I'm not giving in.\Inuyasha, don't do it!\Do not harm the girls! response:	Old Kaede!
context: Who was that girl?\Wait a minute!\They're all girls from the village.\What's going on? Planning to tie me up again?\Well, I'm not giving in.\Inuyasha, don't do it!\Do not harm the girls!\Old Kaede! response:	Wow, look at you. You're a bloody mess.
context: Wait a minute!\They're all girls from the village.\What's going on? Planning to tie me up again?\Well, I'm not giving in.\Inuyasha, don't do it!\Do not harm the girls!\Old Kaede!\Wow, look at you. You're a bloody mess. response:	Have you nothing nicer to say?
context: They're all girls from the village.\What's going on? Planning to tie me up again?\Well, I'm not giving in.\Inuyasha, don't do it!\Do not harm the girls!\Old Kaede!\Wow, look at you. You're a bloody mess.\Have you nothing nicer to say? response:	So why shouldn't I hurt'em, huh?
context: What's going on? Planning to tie me up again?\Well, I'm not giving in.\Inuyasha, don't do it!\Do not harm the girls!\Old Kaede!\Wow, look at you. You're a bloody mess.\Have you nothing nicer to say?\So why shouldn't I hurt'em, huh? response:	They're sure tryin' to hurt me.
context: Well, I'm not giving in.\Inuyasha, don't do it!\Do not harm the girls!\Old Kaede!\Wow, look at you. You're a bloody mess.\Have you nothing nicer to say?\So why shouldn't I hurt'em, huh?\They're sure tryin' to hurt me. response:	They're all under a spell.
context: Inuyasha, don't do it!\Do not harm the girls!\Old Kaede!\Wow, look at you. You're a bloody mess.\Have you nothing nicer to say?\So why shouldn't I hurt'em, huh?\They're sure tryin' to hurt me.\They're all under a spell. response:	Kagome? Where's Kagome?
context: Do not harm the girls!\Old Kaede!\Wow, look at you. You're a bloody mess.\Have you nothing nicer to say?\So why shouldn't I hurt'em, huh?\They're sure tryin' to hurt me.\They're all under a spell.\Kagome? Where's Kagome? response:	She went back to her own land.
context: Old Kaede!\Wow, look at you. You're a bloody mess.\Have you nothing nicer to say?\So why shouldn't I hurt'em, huh?\They're sure tryin' to hurt me.\They're all under a spell.\Kagome? Where's Kagome?\She went back to her own land. response:	Not that it matters or nothin'.
context: Wow, look at you. You're a bloody mess.\Have you nothing nicer to say?\So why shouldn't I hurt'em, huh?\They're sure tryin' to hurt me.\They're all under a spell.\Kagome? Where's Kagome?\She went back to her own land.\Not that it matters or nothin'. response:	I don't need her to handle this.
context: Have you nothing nicer to say?\So why shouldn't I hurt'em, huh?\They're sure tryin' to hurt me.\They're all under a spell.\Kagome? Where's Kagome?\She went back to her own land.\Not that it matters or nothin'.\I don't need her to handle this. response:	You mustn't!
context: So why shouldn't I hurt'em, huh?\They're sure tryin' to hurt me.\They're all under a spell.\Kagome? Where's Kagome?\She went back to her own land.\Not that it matters or nothin'.\I don't need her to handle this.\You mustn't! response:	Do not touch the village girls!
context: They're sure tryin' to hurt me.\They're all under a spell.\Kagome? Where's Kagome?\She went back to her own land.\Not that it matters or nothin'.\I don't need her to handle this.\You mustn't!\Do not touch the village girls! response:	Will you quit flappin' your gums already?
context: They're all under a spell.\Kagome? Where's Kagome?\She went back to her own land.\Not that it matters or nothin'.\I don't need her to handle this.\You mustn't!\Do not touch the village girls!\Will you quit flappin' your gums already? response:	Or have you forgotten they're after you, too.
context: Kagome? Where's Kagome?\She went back to her own land.\Not that it matters or nothin'.\I don't need her to handle this.\You mustn't!\Do not touch the village girls!\Will you quit flappin' your gums already?\Or have you forgotten they're after you, too. response:	Don't you understand, Inuyasha?
context: She went back to her own land.\Not that it matters or nothin'.\I don't need her to handle this.\You mustn't!\Do not touch the village girls!\Will you quit flappin' your gums already?\Or have you forgotten they're after you, too.\Don't you understand, Inuyasha? response:	We must get to the one who is controlling them.
context: Not that it matters or nothin'.\I don't need her to handle this.\You mustn't!\Do not touch the village girls!\Will you quit flappin' your gums already?\Or have you forgotten they're after you, too.\Don't you understand, Inuyasha?\We must get to the one who is controlling them. response:	Now you've completely lost it.
context: I don't need her to handle this.\You mustn't!\Do not touch the village girls!\Will you quit flappin' your gums already?\Or have you forgotten they're after you, too.\Don't you understand, Inuyasha?\We must get to the one who is controlling them.\Now you've completely lost it. response:	Then Inuyasha, please...
context: You mustn't!\Do not touch the village girls!\Will you quit flappin' your gums already?\Or have you forgotten they're after you, too.\Don't you understand, Inuyasha?\We must get to the one who is controlling them.\Now you've completely lost it.\Then Inuyasha, please... response:	Cut the hair!
context: Do not touch the village girls!\Will you quit flappin' your gums already?\Or have you forgotten they're after you, too.\Don't you understand, Inuyasha?\We must get to the one who is controlling them.\Now you've completely lost it.\Then Inuyasha, please...\Cut the hair! response:	Just cut the hair and the trance will be broken!
context: Will you quit flappin' your gums already?\Or have you forgotten they're after you, too.\Don't you understand, Inuyasha?\We must get to the one who is controlling them.\Now you've completely lost it.\Then Inuyasha, please...\Cut the hair!\Just cut the hair and the trance will be broken! response:	The what?
context: Or have you forgotten they're after you, too.\Don't you understand, Inuyasha?\We must get to the one who is controlling them.\Now you've completely lost it.\Then Inuyasha, please...\Cut the hair!\Just cut the hair and the trance will be broken!\The what? response:	I don't see anything.
context: Don't you understand, Inuyasha?\We must get to the one who is controlling them.\Now you've completely lost it.\Then Inuyasha, please...\Cut the hair!\Just cut the hair and the trance will be broken!\The what?\I don't see anything. response:	Now, then...
context: We must get to the one who is controlling them.\Now you've completely lost it.\Then Inuyasha, please...\Cut the hair!\Just cut the hair and the trance will be broken!\The what?\I don't see anything.\Now, then... response:	Time to draw close this prey.
context: Now you've completely lost it.\Then Inuyasha, please...\Cut the hair!\Just cut the hair and the trance will be broken!\The what?\I don't see anything.\Now, then...\Time to draw close this prey. response:	No!
context: Then Inuyasha, please...\Cut the hair!\Just cut the hair and the trance will be broken!\The what?\I don't see anything.\Now, then...\Time to draw close this prey.\No! response:	Inuyasha, run!
context: Cut the hair!\Just cut the hair and the trance will be broken!\The what?\I don't see anything.\Now, then...\Time to draw close this prey.\No!\Inuyasha, run! response:	They're not too smart, whoever's behind this...
context: Just cut the hair and the trance will be broken!\The what?\I don't see anything.\Now, then...\Time to draw close this prey.\No!\Inuyasha, run!\They're not too smart, whoever's behind this... response:	I may be tangled up...
context: The what?\I don't see anything.\Now, then...\Time to draw close this prey.\No!\Inuyasha, run!\They're not too smart, whoever's behind this...\I may be tangled up... response:	but even if I can't see who's doing it...
context: I don't see anything.\Now, then...\Time to draw close this prey.\No!\Inuyasha, run!\They're not too smart, whoever's behind this...\I may be tangled up...\but even if I can't see who's doing it... response:	I can cut down whoever's in front of me!
context: Now, then...\Time to draw close this prey.\No!\Inuyasha, run!\They're not too smart, whoever's behind this...\I may be tangled up...\but even if I can't see who's doing it...\I can cut down whoever's in front of me! response:	Ohh, so sorry!
context: Time to draw close this prey.\No!\Inuyasha, run!\They're not too smart, whoever's behind this...\I may be tangled up...\but even if I can't see who's doing it...\I can cut down whoever's in front of me!\Ohh, so sorry! response:	I suppose I've teased you long enough.
context: No!\Inuyasha, run!\They're not too smart, whoever's behind this...\I may be tangled up...\but even if I can't see who's doing it...\I can cut down whoever's in front of me!\Ohh, so sorry!\I suppose I've teased you long enough. response:	Inuyasha!
context: Inuyasha, run!\They're not too smart, whoever's behind this...\I may be tangled up...\but even if I can't see who's doing it...\I can cut down whoever's in front of me!\Ohh, so sorry!\I suppose I've teased you long enough.\Inuyasha! response:	Nnyaah!
context: They're not too smart, whoever's behind this...\I may be tangled up...\but even if I can't see who's doing it...\I can cut down whoever's in front of me!\Ohh, so sorry!\I suppose I've teased you long enough.\Inuyasha!\Nnyaah! response:	The tension's gone.
context: I may be tangled up...\but even if I can't see who's doing it...\I can cut down whoever's in front of me!\Ohh, so sorry!\I suppose I've teased you long enough.\Inuyasha!\Nnyaah!\The tension's gone. response:	The head must not have been severed.
context: but even if I can't see who's doing it...\I can cut down whoever's in front of me!\Ohh, so sorry!\I suppose I've teased you long enough.\Inuyasha!\Nnyaah!\The tension's gone.\The head must not have been severed. response:	Oh, man... I thought I was done for.
context: I can cut down whoever's in front of me!\Ohh, so sorry!\I suppose I've teased you long enough.\Inuyasha!\Nnyaah!\The tension's gone.\The head must not have been severed.\Oh, man... I thought I was done for. response:	If you'd been a mere human, it would have come clean off.
context: Ohh, so sorry!\I suppose I've teased you long enough.\Inuyasha!\Nnyaah!\The tension's gone.\The head must not have been severed.\Oh, man... I thought I was done for.\If you'd been a mere human, it would have come clean off. response:	The village men!
context: I suppose I've teased you long enough.\Inuyasha!\Nnyaah!\The tension's gone.\The head must not have been severed.\Oh, man... I thought I was done for.\If you'd been a mere human, it would have come clean off.\The village men! response:	More human puppets?
context: Inuyasha!\Nnyaah!\The tension's gone.\The head must not have been severed.\Oh, man... I thought I was done for.\If you'd been a mere human, it would have come clean off.\The village men!\More human puppets? response:	It's gettin' kinda old.
context: Nnyaah!\The tension's gone.\The head must not have been severed.\Oh, man... I thought I was done for.\If you'd been a mere human, it would have come clean off.\The village men!\More human puppets?\It's gettin' kinda old. response:	Inuyasha, leave this to me and make your escape.
context: The tension's gone.\The head must not have been severed.\Oh, man... I thought I was done for.\If you'd been a mere human, it would have come clean off.\The village men!\More human puppets?\It's gettin' kinda old.\Inuyasha, leave this to me and make your escape. response:	Aw man, would you quit bein' such a martyr an'...
context: The head must not have been severed.\Oh, man... I thought I was done for.\If you'd been a mere human, it would have come clean off.\The village men!\More human puppets?\It's gettin' kinda old.\Inuyasha, leave this to me and make your escape.\Aw man, would you quit bein' such a martyr an'... response:	Old Kaede!
context: Oh, man... I thought I was done for.\If you'd been a mere human, it would have come clean off.\The village men!\More human puppets?\It's gettin' kinda old.\Inuyasha, leave this to me and make your escape.\Aw man, would you quit bein' such a martyr an'...\Old Kaede! response:	Inu... yasha...
context: If you'd been a mere human, it would have come clean off.\The village men!\More human puppets?\It's gettin' kinda old.\Inuyasha, leave this to me and make your escape.\Aw man, would you quit bein' such a martyr an'...\Old Kaede!\Inu... yasha... response:	Can't be helped.
context: The village men!\More human puppets?\It's gettin' kinda old.\Inuyasha, leave this to me and make your escape.\Aw man, would you quit bein' such a martyr an'...\Old Kaede!\Inu... yasha...\Can't be helped. response:	Ooh! Such pretty, silver hair.
context: More human puppets?\It's gettin' kinda old.\Inuyasha, leave this to me and make your escape.\Aw man, would you quit bein' such a martyr an'...\Old Kaede!\Inu... yasha...\Can't be helped.\Ooh! Such pretty, silver hair. response:	Hang in there, old woman!
context: It's gettin' kinda old.\Inuyasha, leave this to me and make your escape.\Aw man, would you quit bein' such a martyr an'...\Old Kaede!\Inu... yasha...\Can't be helped.\Ooh! Such pretty, silver hair.\Hang in there, old woman! response:	Be careful, Inuyasha!
context: Inuyasha, leave this to me and make your escape.\Aw man, would you quit bein' such a martyr an'...\Old Kaede!\Inu... yasha...\Can't be helped.\Ooh! Such pretty, silver hair.\Hang in there, old woman!\Be careful, Inuyasha! response:	The hair...
context: Aw man, would you quit bein' such a martyr an'...\Old Kaede!\Inu... yasha...\Can't be helped.\Ooh! Such pretty, silver hair.\Hang in there, old woman!\Be careful, Inuyasha!\The hair... response:	You say somethin', old woman?
context: Old Kaede!\Inu... yasha...\Can't be helped.\Ooh! Such pretty, silver hair.\Hang in there, old woman!\Be careful, Inuyasha!\The hair...\You say somethin', old woman? response:	Never mind.
context: Inu... yasha...\Can't be helped.\Ooh! Such pretty, silver hair.\Hang in there, old woman!\Be careful, Inuyasha!\The hair...\You say somethin', old woman?\Never mind. response:	Such a stubborn one.
context: Can't be helped.\Ooh! Such pretty, silver hair.\Hang in there, old woman!\Be careful, Inuyasha!\The hair...\You say somethin', old woman?\Never mind.\Such a stubborn one. response:	This is fun.
context: Ooh! Such pretty, silver hair.\Hang in there, old woman!\Be careful, Inuyasha!\The hair...\You say somethin', old woman?\Never mind.\Such a stubborn one.\This is fun. response:	And this silver hair...
context: Hang in there, old woman!\Be careful, Inuyasha!\The hair...\You say somethin', old woman?\Never mind.\Such a stubborn one.\This is fun.\And this silver hair... response:	I must have it!
context: Be careful, Inuyasha!\The hair...\You say somethin', old woman?\Never mind.\Such a stubborn one.\This is fun.\And this silver hair...\I must have it! response:	Old woman, you said you can see the strands!
context: The hair...\You say somethin', old woman?\Never mind.\Such a stubborn one.\This is fun.\And this silver hair...\I must have it!\Old woman, you said you can see the strands! response:	Tell me where it's being pulled from, then.
context: You say somethin', old woman?\Never mind.\Such a stubborn one.\This is fun.\And this silver hair...\I must have it!\Old woman, you said you can see the strands!\Tell me where it's being pulled from, then. response:	Don't be ridiculous!
context: Never mind.\Such a stubborn one.\This is fun.\And this silver hair...\I must have it!\Old woman, you said you can see the strands!\Tell me where it's being pulled from, then.\Don't be ridiculous! response:	With me in this condition...
context: Such a stubborn one.\This is fun.\And this silver hair...\I must have it!\Old woman, you said you can see the strands!\Tell me where it's being pulled from, then.\Don't be ridiculous!\With me in this condition... response:	and even with my seeing powers...
context: This is fun.\And this silver hair...\I must have it!\Old woman, you said you can see the strands!\Tell me where it's being pulled from, then.\Don't be ridiculous!\With me in this condition...\and even with my seeing powers... response:	Hurry... Kagome can...
context: And this silver hair...\I must have it!\Old woman, you said you can see the strands!\Tell me where it's being pulled from, then.\Don't be ridiculous!\With me in this condition...\and even with my seeing powers...\Hurry... Kagome can... response:	So she can see it, too?
context: I must have it!\Old woman, you said you can see the strands!\Tell me where it's being pulled from, then.\Don't be ridiculous!\With me in this condition...\and even with my seeing powers...\Hurry... Kagome can...\So she can see it, too? response:	Yes.
context: Old woman, you said you can see the strands!\Tell me where it's being pulled from, then.\Don't be ridiculous!\With me in this condition...\and even with my seeing powers...\Hurry... Kagome can...\So she can see it, too?\Yes. response:	For this foe...
context: Tell me where it's being pulled from, then.\Don't be ridiculous!\With me in this condition...\and even with my seeing powers...\Hurry... Kagome can...\So she can see it, too?\Yes.\For this foe... response:	Kagome...
context: Don't be ridiculous!\With me in this condition...\and even with my seeing powers...\Hurry... Kagome can...\So she can see it, too?\Yes.\For this foe...\Kagome... response:	Kagome is necessary for victory...
context: With me in this condition...\and even with my seeing powers...\Hurry... Kagome can...\So she can see it, too?\Yes.\For this foe...\Kagome...\Kagome is necessary for victory... response:	Where is this?
context: and even with my seeing powers...\Hurry... Kagome can...\So she can see it, too?\Yes.\For this foe...\Kagome...\Kagome is necessary for victory...\Where is this? response:	The bottom of the well.
context: Hurry... Kagome can...\So she can see it, too?\Yes.\For this foe...\Kagome...\Kagome is necessary for victory...\Where is this?\The bottom of the well. response:	That's right...
context: So she can see it, too?\Yes.\For this foe...\Kagome...\Kagome is necessary for victory...\Where is this?\The bottom of the well.\That's right... response:	That girl came after me...
context: Yes.\For this foe...\Kagome...\Kagome is necessary for victory...\Where is this?\The bottom of the well.\That's right...\That girl came after me... response:	and pushed me into the well.
context: For this foe...\Kagome...\Kagome is necessary for victory...\Where is this?\The bottom of the well.\That's right...\That girl came after me...\and pushed me into the well. response:	We've looked in this well over and over again.
context: Kagome...\Kagome is necessary for victory...\Where is this?\The bottom of the well.\That's right...\That girl came after me...\and pushed me into the well.\We've looked in this well over and over again. response:	But I already told you, it's where she fell in!
context: Kagome is necessary for victory...\Where is this?\The bottom of the well.\That's right...\That girl came after me...\and pushed me into the well.\We've looked in this well over and over again.\But I already told you, it's where she fell in! response:	You must've been dreaming.
context: Where is this?\The bottom of the well.\That's right...\That girl came after me...\and pushed me into the well.\We've looked in this well over and over again.\But I already told you, it's where she fell in!\You must've been dreaming. response:	It's the truth!
context: The bottom of the well.\That's right...\That girl came after me...\and pushed me into the well.\We've looked in this well over and over again.\But I already told you, it's where she fell in!\You must've been dreaming.\It's the truth! response:	Gramps!
context: That's right...\That girl came after me...\and pushed me into the well.\We've looked in this well over and over again.\But I already told you, it's where she fell in!\You must've been dreaming.\It's the truth!\Gramps! response:	Sota!
context: That girl came after me...\and pushed me into the well.\We've looked in this well over and over again.\But I already told you, it's where she fell in!\You must've been dreaming.\It's the truth!\Gramps!\Sota! response:	I'm back...
context: and pushed me into the well.\We've looked in this well over and over again.\But I already told you, it's where she fell in!\You must've been dreaming.\It's the truth!\Gramps!\Sota!\I'm back... response:	Back to my own time.
context: We've looked in this well over and over again.\But I already told you, it's where she fell in!\You must've been dreaming.\It's the truth!\Gramps!\Sota!\I'm back...\Back to my own time. response:	Kagome, you've been gone for three days...
context: But I already told you, it's where she fell in!\You must've been dreaming.\It's the truth!\Gramps!\Sota!\I'm back...\Back to my own time.\Kagome, you've been gone for three days... response:	We've been so worried.
context: You must've been dreaming.\It's the truth!\Gramps!\Sota!\I'm back...\Back to my own time.\Kagome, you've been gone for three days...\We've been so worried. response:	Sis, what happened to you?
context: It's the truth!\Gramps!\Sota!\I'm back...\Back to my own time.\Kagome, you've been gone for three days...\We've been so worried.\Sis, what happened to you? response:	I'm not dreaming!
context: Gramps!\Sota!\I'm back...\Back to my own time.\Kagome, you've been gone for three days...\We've been so worried.\Sis, what happened to you?\I'm not dreaming! response:	I'm really home!
context: Sota!\I'm back...\Back to my own time.\Kagome, you've been gone for three days...\We've been so worried.\Sis, what happened to you?\I'm not dreaming!\I'm really home! response:	Gramps!
context: I'm back...\Back to my own time.\Kagome, you've been gone for three days...\We've been so worried.\Sis, what happened to you?\I'm not dreaming!\I'm really home!\Gramps! response:	I was so scared!
context: Back to my own time.\Kagome, you've been gone for three days...\We've been so worried.\Sis, what happened to you?\I'm not dreaming!\I'm really home!\Gramps!\I was so scared! response:	Kagome... What happened?!
context: Kagome, you've been gone for three days...\We've been so worried.\Sis, what happened to you?\I'm not dreaming!\I'm really home!\Gramps!\I was so scared!\Kagome... What happened?! response:	Okay...
context: We've been so worried.\Sis, what happened to you?\I'm not dreaming!\I'm really home!\Gramps!\I was so scared!\Kagome... What happened?!\Okay... response:	This is it, old woman.
context: Sis, what happened to you?\I'm not dreaming!\I'm really home!\Gramps!\I was so scared!\Kagome... What happened?!\Okay...\This is it, old woman. response:	Givin' you a decent burial's the least I can do.
context: I'm not dreaming!\I'm really home!\Gramps!\I was so scared!\Kagome... What happened?!\Okay...\This is it, old woman.\Givin' you a decent burial's the least I can do. response:	Fine. Only...
context: I'm really home!\Gramps!\I was so scared!\Kagome... What happened?!\Okay...\This is it, old woman.\Givin' you a decent burial's the least I can do.\Fine. Only... response:	I'm not dead yet.
context: Gramps!\I was so scared!\Kagome... What happened?!\Okay...\This is it, old woman.\Givin' you a decent burial's the least I can do.\Fine. Only...\I'm not dead yet. response:	What I meant was, bury you to hide here.
context: I was so scared!\Kagome... What happened?!\Okay...\This is it, old woman.\Givin' you a decent burial's the least I can do.\Fine. Only...\I'm not dead yet.\What I meant was, bury you to hide here. response:	I'll even come back an' dig you out, if I don't forget.
context: Kagome... What happened?!\Okay...\This is it, old woman.\Givin' you a decent burial's the least I can do.\Fine. Only...\I'm not dead yet.\What I meant was, bury you to hide here.\I'll even come back an' dig you out, if I don't forget. response:	Are you sure? You had better not forget.
context: Okay...\This is it, old woman.\Givin' you a decent burial's the least I can do.\Fine. Only...\I'm not dead yet.\What I meant was, bury you to hide here.\I'll even come back an' dig you out, if I don't forget.\Are you sure? You had better not forget. response:	Do not forget, Inuyasha!
context: This is it, old woman.\Givin' you a decent burial's the least I can do.\Fine. Only...\I'm not dead yet.\What I meant was, bury you to hide here.\I'll even come back an' dig you out, if I don't forget.\Are you sure? You had better not forget.\Do not forget, Inuyasha! response:	I know! I know!
context: Givin' you a decent burial's the least I can do.\Fine. Only...\I'm not dead yet.\What I meant was, bury you to hide here.\I'll even come back an' dig you out, if I don't forget.\Are you sure? You had better not forget.\Do not forget, Inuyasha!\I know! I know! response:	Curse that stupid girl!
context: Fine. Only...\I'm not dead yet.\What I meant was, bury you to hide here.\I'll even come back an' dig you out, if I don't forget.\Are you sure? You had better not forget.\Do not forget, Inuyasha!\I know! I know!\Curse that stupid girl! response:	Where'd she run off to, at a time like this??
context: I'm not dead yet.\What I meant was, bury you to hide here.\I'll even come back an' dig you out, if I don't forget.\Are you sure? You had better not forget.\Do not forget, Inuyasha!\I know! I know!\Curse that stupid girl!\Where'd she run off to, at a time like this?? response:	Happiness at last.
context: What I meant was, bury you to hide here.\I'll even come back an' dig you out, if I don't forget.\Are you sure? You had better not forget.\Do not forget, Inuyasha!\I know! I know!\Curse that stupid girl!\Where'd she run off to, at a time like this??\Happiness at last. response:	Wherever she went, she won't get away!
context: I'll even come back an' dig you out, if I don't forget.\Are you sure? You had better not forget.\Do not forget, Inuyasha!\I know! I know!\Curse that stupid girl!\Where'd she run off to, at a time like this??\Happiness at last.\Wherever she went, she won't get away! response:	It feels so good.
context: Are you sure? You had better not forget.\Do not forget, Inuyasha!\I know! I know!\Curse that stupid girl!\Where'd she run off to, at a time like this??\Happiness at last.\Wherever she went, she won't get away!\It feels so good. response:	It seems Inuyasha can't even SEE Yura's hair!
