context: A man died while fighting the monsters. response:	And just like in the game, he revived at the Cathedral.
context: Our enemies are PKs.\I have visual contact on four.\I'll determine their location.\There!\Mind Bolt!\I see them.\Enemy sighted.\They have guts, turning to PKing. response:	They miss their mommies so much, they turned into animals?
context: I have visual contact on four.\I'll determine their location.\There!\Mind Bolt!\I see them.\Enemy sighted.\They have guts, turning to PKing.\They miss their mommies so much, they turned into animals? response:	One dressed like a fighter,
context: I'll determine their location.\There!\Mind Bolt!\I see them.\Enemy sighted.\They have guts, turning to PKing.\They miss their mommies so much, they turned into animals?\One dressed like a fighter, response:	two as thieves,
context: There!\Mind Bolt!\I see them.\Enemy sighted.\They have guts, turning to PKing.\They miss their mommies so much, they turned into animals?\One dressed like a fighter,\two as thieves, response:	one like a healer.
context: Mind Bolt!\I see them.\Enemy sighted.\They have guts, turning to PKing.\They miss their mommies so much, they turned into animals?\One dressed like a fighter,\two as thieves,\one like a healer. response:	Rikopin/ Adventurer
context: I see them.\Enemy sighted.\They have guts, turning to PKing.\They miss their mommies so much, they turned into animals?\One dressed like a fighter,\two as thieves,\one like a healer.\Rikopin/ Adventurer response:	Stroganopp/ Adventurer
context: Enemy sighted.\They have guts, turning to PKing.\They miss their mommies so much, they turned into animals?\One dressed like a fighter,\two as thieves,\one like a healer.\Rikopin/ Adventurer\Stroganopp/ Adventurer response:	Mode/ Combat
context: They have guts, turning to PKing.\They miss their mommies so much, they turned into animals?\One dressed like a fighter,\two as thieves,\one like a healer.\Rikopin/ Adventurer\Stroganopp/ Adventurer\Mode/ Combat response:	Smash/ Adventurer
context: They miss their mommies so much, they turned into animals?\One dressed like a fighter,\two as thieves,\one like a healer.\Rikopin/ Adventurer\Stroganopp/ Adventurer\Mode/ Combat\Smash/ Adventurer response:	Leave everything you're carrying,
context: One dressed like a fighter,\two as thieves,\one like a healer.\Rikopin/ Adventurer\Stroganopp/ Adventurer\Mode/ Combat\Smash/ Adventurer\Leave everything you're carrying, response:	Katsuomaru/ Adventurer
context: two as thieves,\one like a healer.\Rikopin/ Adventurer\Stroganopp/ Adventurer\Mode/ Combat\Smash/ Adventurer\Leave everything you're carrying,\Katsuomaru/ Adventurer response:	and we won't kill you.
context: one like a healer.\Rikopin/ Adventurer\Stroganopp/ Adventurer\Mode/ Combat\Smash/ Adventurer\Leave everything you're carrying,\Katsuomaru/ Adventurer\and we won't kill you. response:	If they're talking like that, they've read too much manga.
context: Rikopin/ Adventurer\Stroganopp/ Adventurer\Mode/ Combat\Smash/ Adventurer\Leave everything you're carrying,\Katsuomaru/ Adventurer\and we won't kill you.\If they're talking like that, they've read too much manga. response:	More importantly, they're human.
context: Stroganopp/ Adventurer\Mode/ Combat\Smash/ Adventurer\Leave everything you're carrying,\Katsuomaru/ Adventurer\and we won't kill you.\If they're talking like that, they've read too much manga.\More importantly, they're human. response:	What do we do?
context: Mode/ Combat\Smash/ Adventurer\Leave everything you're carrying,\Katsuomaru/ Adventurer\and we won't kill you.\If they're talking like that, they've read too much manga.\More importantly, they're human.\What do we do? response:	Crush them!
context: Smash/ Adventurer\Leave everything you're carrying,\Katsuomaru/ Adventurer\and we won't kill you.\If they're talking like that, they've read too much manga.\More importantly, they're human.\What do we do?\Crush them! response:	These guys attack people for fun!
context: Leave everything you're carrying,\Katsuomaru/ Adventurer\and we won't kill you.\If they're talking like that, they've read too much manga.\More importantly, they're human.\What do we do?\Crush them!\These guys attack people for fun! response:	Obviously, if someone else kills them, they can't complain!
context: Katsuomaru/ Adventurer\and we won't kill you.\If they're talking like that, they've read too much manga.\More importantly, they're human.\What do we do?\Crush them!\These guys attack people for fun!\Obviously, if someone else kills them, they can't complain! response:	I'm willing to give them the money.
context: and we won't kill you.\If they're talking like that, they've read too much manga.\More importantly, they're human.\What do we do?\Crush them!\These guys attack people for fun!\Obviously, if someone else kills them, they can't complain!\I'm willing to give them the money. response:	That is, if they can beat us.
context: If they're talking like that, they've read too much manga.\More importantly, they're human.\What do we do?\Crush them!\These guys attack people for fun!\Obviously, if someone else kills them, they can't complain!\I'm willing to give them the money.\That is, if they can beat us. response:	Well said, Shiro!
context: More importantly, they're human.\What do we do?\Crush them!\These guys attack people for fun!\Obviously, if someone else kills them, they can't complain!\I'm willing to give them the money.\That is, if they can beat us.\Well said, Shiro! response:	You little...
context: What do we do?\Crush them!\These guys attack people for fun!\Obviously, if someone else kills them, they can't complain!\I'm willing to give them the money.\That is, if they can beat us.\Well said, Shiro!\You little... response:	First target, the one in front, on the right.
context: Crush them!\These guys attack people for fun!\Obviously, if someone else kills them, they can't complain!\I'm willing to give them the money.\That is, if they can beat us.\Well said, Shiro!\You little...\First target, the one in front, on the right. response:	Draw the others' attention, too!
context: These guys attack people for fun!\Obviously, if someone else kills them, they can't complain!\I'm willing to give them the money.\That is, if they can beat us.\Well said, Shiro!\You little...\First target, the one in front, on the right.\Draw the others' attention, too! response:	Roger!
context: Obviously, if someone else kills them, they can't complain!\I'm willing to give them the money.\That is, if they can beat us.\Well said, Shiro!\You little...\First target, the one in front, on the right.\Draw the others' attention, too!\Roger! response:	Leave the fighter to me!
context: I'm willing to give them the money.\That is, if they can beat us.\Well said, Shiro!\You little...\First target, the one in front, on the right.\Draw the others' attention, too!\Roger!\Leave the fighter to me! response:	You take the mage!
context: That is, if they can beat us.\Well said, Shiro!\You little...\First target, the one in front, on the right.\Draw the others' attention, too!\Roger!\Leave the fighter to me!\You take the mage! response:	Roger!
context: Well said, Shiro!\You little...\First target, the one in front, on the right.\Draw the others' attention, too!\Roger!\Leave the fighter to me!\You take the mage!\Roger! response:	Astral Bind.
context: You little...\First target, the one in front, on the right.\Draw the others' attention, too!\Roger!\Leave the fighter to me!\You take the mage!\Roger!\Astral Bind. response:	Astral Bind is only a basic root spell.
context: First target, the one in front, on the right.\Draw the others' attention, too!\Roger!\Leave the fighter to me!\You take the mage!\Roger!\Astral Bind.\Astral Bind is only a basic root spell. response:	It just keeps the target from covering long distances,
context: Draw the others' attention, too!\Roger!\Leave the fighter to me!\You take the mage!\Roger!\Astral Bind.\Astral Bind is only a basic root spell.\It just keeps the target from covering long distances, response:	and it doesn't last long.
context: Roger!\Leave the fighter to me!\You take the mage!\Roger!\Astral Bind.\Astral Bind is only a basic root spell.\It just keeps the target from covering long distances,\and it doesn't last long. response:	I'll take the mage.
context: Leave the fighter to me!\You take the mage!\Roger!\Astral Bind.\Astral Bind is only a basic root spell.\It just keeps the target from covering long distances,\and it doesn't last long.\I'll take the mage. response:	You get the warrior!
context: You take the mage!\Roger!\Astral Bind.\Astral Bind is only a basic root spell.\It just keeps the target from covering long distances,\and it doesn't last long.\I'll take the mage.\You get the warrior! response:	Got it.
context: Roger!\Astral Bind.\Astral Bind is only a basic root spell.\It just keeps the target from covering long distances,\and it doesn't last long.\I'll take the mage.\You get the warrior!\Got it. response:	Good call.
context: Astral Bind.\Astral Bind is only a basic root spell.\It just keeps the target from covering long distances,\and it doesn't last long.\I'll take the mage.\You get the warrior!\Got it.\Good call. response:	However,
context: Astral Bind is only a basic root spell.\It just keeps the target from covering long distances,\and it doesn't last long.\I'll take the mage.\You get the warrior!\Got it.\Good call.\However, response:	Naotsugu is a guardian.
context: It just keeps the target from covering long distances,\and it doesn't last long.\I'll take the mage.\You get the warrior!\Got it.\Good call.\However,\Naotsugu is a guardian. response:	Anchor Howl!
context: and it doesn't last long.\I'll take the mage.\You get the warrior!\Got it.\Good call.\However,\Naotsugu is a guardian.\Anchor Howl! response:	What?
context: I'll take the mage.\You get the warrior!\Got it.\Good call.\However,\Naotsugu is a guardian.\Anchor Howl!\What? response:	You...
context: You get the warrior!\Got it.\Good call.\However,\Naotsugu is a guardian.\Anchor Howl!\What?\You... response:	A guardian belongs to a group called tanks,
context: Got it.\Good call.\However,\Naotsugu is a guardian.\Anchor Howl!\What?\You...\A guardian belongs to a group called tanks, response:	whose role is to protect their allies by intercepting attacks.
context: Good call.\However,\Naotsugu is a guardian.\Anchor Howl!\What?\You...\A guardian belongs to a group called tanks,\whose role is to protect their allies by intercepting attacks. response:	Anchor Howl...
context: However,\Naotsugu is a guardian.\Anchor Howl!\What?\You...\A guardian belongs to a group called tanks,\whose role is to protect their allies by intercepting attacks.\Anchor Howl... response:	Anyone affected by this skill becomes unable to ignore the user.
context: Naotsugu is a guardian.\Anchor Howl!\What?\You...\A guardian belongs to a group called tanks,\whose role is to protect their allies by intercepting attacks.\Anchor Howl...\Anyone affected by this skill becomes unable to ignore the user. response:	The second they try, they're hit with a powerful counterattack.
context: Anchor Howl!\What?\You...\A guardian belongs to a group called tanks,\whose role is to protect their allies by intercepting attacks.\Anchor Howl...\Anyone affected by this skill becomes unable to ignore the user.\The second they try, they're hit with a powerful counterattack. response:	Fine...
context: What?\You...\A guardian belongs to a group called tanks,\whose role is to protect their allies by intercepting attacks.\Anchor Howl...\Anyone affected by this skill becomes unable to ignore the user.\The second they try, they're hit with a powerful counterattack.\Fine... response:	We'll take him first!
context: You...\A guardian belongs to a group called tanks,\whose role is to protect their allies by intercepting attacks.\Anchor Howl...\Anyone affected by this skill becomes unable to ignore the user.\The second they try, they're hit with a powerful counterattack.\Fine...\We'll take him first! response:	You won't break through my armor!
context: A guardian belongs to a group called tanks,\whose role is to protect their allies by intercepting attacks.\Anchor Howl...\Anyone affected by this skill becomes unable to ignore the user.\The second they try, they're hit with a powerful counterattack.\Fine...\We'll take him first!\You won't break through my armor! response:	But Naotsugu's HP won't last another thirty seconds...
context: whose role is to protect their allies by intercepting attacks.\Anchor Howl...\Anyone affected by this skill becomes unable to ignore the user.\The second they try, they're hit with a powerful counterattack.\Fine...\We'll take him first!\You won't break through my armor!\But Naotsugu's HP won't last another thirty seconds... response:	Electrical Fuzz!
context: Anchor Howl...\Anyone affected by this skill becomes unable to ignore the user.\The second they try, they're hit with a powerful counterattack.\Fine...\We'll take him first!\You won't break through my armor!\But Naotsugu's HP won't last another thirty seconds...\Electrical Fuzz! response:	He's an enchanter?
context: Anyone affected by this skill becomes unable to ignore the user.\The second they try, they're hit with a powerful counterattack.\Fine...\We'll take him first!\You won't break through my armor!\But Naotsugu's HP won't last another thirty seconds...\Electrical Fuzz!\He's an enchanter? response:	What's that spell?
context: The second they try, they're hit with a powerful counterattack.\Fine...\We'll take him first!\You won't break through my armor!\But Naotsugu's HP won't last another thirty seconds...\Electrical Fuzz!\He's an enchanter?\What's that spell? response:	It didn't hurt at all!
context: Fine...\We'll take him first!\You won't break through my armor!\But Naotsugu's HP won't last another thirty seconds...\Electrical Fuzz!\He's an enchanter?\What's that spell?\It didn't hurt at all! response:	The enchanter...
context: We'll take him first!\You won't break through my armor!\But Naotsugu's HP won't last another thirty seconds...\Electrical Fuzz!\He's an enchanter?\What's that spell?\It didn't hurt at all!\The enchanter... response:	A magical attack class type.
context: You won't break through my armor!\But Naotsugu's HP won't last another thirty seconds...\Electrical Fuzz!\He's an enchanter?\What's that spell?\It didn't hurt at all!\The enchanter...\A magical attack class type. response:	But its attack power is
context: But Naotsugu's HP won't last another thirty seconds...\Electrical Fuzz!\He's an enchanter?\What's that spell?\It didn't hurt at all!\The enchanter...\A magical attack class type.\But its attack power is response:	weak...
context: Electrical Fuzz!\He's an enchanter?\What's that spell?\It didn't hurt at all!\The enchanter...\A magical attack class type.\But its attack power is\weak... response:	What were you trying to accomplish with that spell?
context: He's an enchanter?\What's that spell?\It didn't hurt at all!\The enchanter...\A magical attack class type.\But its attack power is\weak...\What were you trying to accomplish with that spell? response:	Thorn Bind Hostage!
context: What's that spell?\It didn't hurt at all!\The enchanter...\A magical attack class type.\But its attack power is\weak...\What were you trying to accomplish with that spell?\Thorn Bind Hostage! response:	What is this?
context: It didn't hurt at all!\The enchanter...\A magical attack class type.\But its attack power is\weak...\What were you trying to accomplish with that spell?\Thorn Bind Hostage!\What is this? response:	Thorn Bind Hostage...
context: The enchanter...\A magical attack class type.\But its attack power is\weak...\What were you trying to accomplish with that spell?\Thorn Bind Hostage!\What is this?\Thorn Bind Hostage... response:	It wraps a caster's enemies in shining thorns.
context: A magical attack class type.\But its attack power is\weak...\What were you trying to accomplish with that spell?\Thorn Bind Hostage!\What is this?\Thorn Bind Hostage...\It wraps a caster's enemies in shining thorns. response:	And for every hit an ally lands,
context: But its attack power is\weak...\What were you trying to accomplish with that spell?\Thorn Bind Hostage!\What is this?\Thorn Bind Hostage...\It wraps a caster's enemies in shining thorns.\And for every hit an ally lands, response:	the thorns explode, dealing 1,000 damage.
context: weak...\What were you trying to accomplish with that spell?\Thorn Bind Hostage!\What is this?\Thorn Bind Hostage...\It wraps a caster's enemies in shining thorns.\And for every hit an ally lands,\the thorns explode, dealing 1,000 damage. response:	Enchanters aren't offensively powerful.
context: What were you trying to accomplish with that spell?\Thorn Bind Hostage!\What is this?\Thorn Bind Hostage...\It wraps a caster's enemies in shining thorns.\And for every hit an ally lands,\the thorns explode, dealing 1,000 damage.\Enchanters aren't offensively powerful. response:	But they can weaken an enemy's attack,
context: Thorn Bind Hostage!\What is this?\Thorn Bind Hostage...\It wraps a caster's enemies in shining thorns.\And for every hit an ally lands,\the thorns explode, dealing 1,000 damage.\Enchanters aren't offensively powerful.\But they can weaken an enemy's attack, response:	or strengthen their allies.
context: What is this?\Thorn Bind Hostage...\It wraps a caster's enemies in shining thorns.\And for every hit an ally lands,\the thorns explode, dealing 1,000 damage.\Enchanters aren't offensively powerful.\But they can weaken an enemy's attack,\or strengthen their allies. response:	When all five thorns explode, you'll lose half your HP.
context: Thorn Bind Hostage...\It wraps a caster's enemies in shining thorns.\And for every hit an ally lands,\the thorns explode, dealing 1,000 damage.\Enchanters aren't offensively powerful.\But they can weaken an enemy's attack,\or strengthen their allies.\When all five thorns explode, you'll lose half your HP. response:	Calm down.
context: It wraps a caster's enemies in shining thorns.\And for every hit an ally lands,\the thorns explode, dealing 1,000 damage.\Enchanters aren't offensively powerful.\But they can weaken an enemy's attack,\or strengthen their allies.\When all five thorns explode, you'll lose half your HP.\Calm down. response:	We need to heal...
context: And for every hit an ally lands,\the thorns explode, dealing 1,000 damage.\Enchanters aren't offensively powerful.\But they can weaken an enemy's attack,\or strengthen their allies.\When all five thorns explode, you'll lose half your HP.\Calm down.\We need to heal... response:	Healer!
context: the thorns explode, dealing 1,000 damage.\Enchanters aren't offensively powerful.\But they can weaken an enemy's attack,\or strengthen their allies.\When all five thorns explode, you'll lose half your HP.\Calm down.\We need to heal...\Healer! response:	On its own, the class is helpless,
context: Enchanters aren't offensively powerful.\But they can weaken an enemy's attack,\or strengthen their allies.\When all five thorns explode, you'll lose half your HP.\Calm down.\We need to heal...\Healer!\On its own, the class is helpless, response:	and can't do much without a party.
context: But they can weaken an enemy's attack,\or strengthen their allies.\When all five thorns explode, you'll lose half your HP.\Calm down.\We need to heal...\Healer!\On its own, the class is helpless,\and can't do much without a party. response:	But I like it.
context: or strengthen their allies.\When all five thorns explode, you'll lose half your HP.\Calm down.\We need to heal...\Healer!\On its own, the class is helpless,\and can't do much without a party.\But I like it. response:	Your back's totally exposed!
context: When all five thorns explode, you'll lose half your HP.\Calm down.\We need to heal...\Healer!\On its own, the class is helpless,\and can't do much without a party.\But I like it.\Your back's totally exposed! response:	We'll win because we have a healer and you don't!
context: Calm down.\We need to heal...\Healer!\On its own, the class is helpless,\and can't do much without a party.\But I like it.\Your back's totally exposed!\We'll win because we have a healer and you don't! response:	Have fun crying in the Cathedral
context: We need to heal...\Healer!\On its own, the class is helpless,\and can't do much without a party.\But I like it.\Your back's totally exposed!\We'll win because we have a healer and you don't!\Have fun crying in the Cathedral response:	Wha
context: Healer!\On its own, the class is helpless,\and can't do much without a party.\But I like it.\Your back's totally exposed!\We'll win because we have a healer and you don't!\Have fun crying in the Cathedral\Wha response:	What are you doing, healer?
context: On its own, the class is helpless,\and can't do much without a party.\But I like it.\Your back's totally exposed!\We'll win because we have a healer and you don't!\Have fun crying in the Cathedral\Wha\What are you doing, healer? response:	Hey!
context: and can't do much without a party.\But I like it.\Your back's totally exposed!\We'll win because we have a healer and you don't!\Have fun crying in the Cathedral\Wha\What are you doing, healer?\Hey! response:	I've put your healer to sleep.
context: But I like it.\Your back's totally exposed!\We'll win because we have a healer and you don't!\Have fun crying in the Cathedral\Wha\What are you doing, healer?\Hey!\I've put your healer to sleep. response:	Of course, they've been asleep the entire time.
context: Your back's totally exposed!\We'll win because we have a healer and you don't!\Have fun crying in the Cathedral\Wha\What are you doing, healer?\Hey!\I've put your healer to sleep.\Of course, they've been asleep the entire time. response:	Astral Hypnos...
context: We'll win because we have a healer and you don't!\Have fun crying in the Cathedral\Wha\What are you doing, healer?\Hey!\I've put your healer to sleep.\Of course, they've been asleep the entire time.\Astral Hypnos... response:	A spell that puts the target to sleep.
context: Have fun crying in the Cathedral\Wha\What are you doing, healer?\Hey!\I've put your healer to sleep.\Of course, they've been asleep the entire time.\Astral Hypnos...\A spell that puts the target to sleep. response:	I'll take you out first, after all!
context: Wha\What are you doing, healer?\Hey!\I've put your healer to sleep.\Of course, they've been asleep the entire time.\Astral Hypnos...\A spell that puts the target to sleep.\I'll take you out first, after all! response:	Wait, not yet!
context: What are you doing, healer?\Hey!\I've put your healer to sleep.\Of course, they've been asleep the entire time.\Astral Hypnos...\A spell that puts the target to sleep.\I'll take you out first, after all!\Wait, not yet! response:	Anchor Howl hasn't worn off yet!
context: Hey!\I've put your healer to sleep.\Of course, they've been asleep the entire time.\Astral Hypnos...\A spell that puts the target to sleep.\I'll take you out first, after all!\Wait, not yet!\Anchor Howl hasn't worn off yet! response:	Cra
context: I've put your healer to sleep.\Of course, they've been asleep the entire time.\Astral Hypnos...\A spell that puts the target to sleep.\I'll take you out first, after all!\Wait, not yet!\Anchor Howl hasn't worn off yet!\Cra response:	Fine!
context: Of course, they've been asleep the entire time.\Astral Hypnos...\A spell that puts the target to sleep.\I'll take you out first, after all!\Wait, not yet!\Anchor Howl hasn't worn off yet!\Cra\Fine! response:	Sorcerer! Summoner!
context: Astral Hypnos...\A spell that puts the target to sleep.\I'll take you out first, after all!\Wait, not yet!\Anchor Howl hasn't worn off yet!\Cra\Fine!\Sorcerer! Summoner! response:	We'll use everything we have!
context: A spell that puts the target to sleep.\I'll take you out first, after all!\Wait, not yet!\Anchor Howl hasn't worn off yet!\Cra\Fine!\Sorcerer! Summoner!\We'll use everything we have! response:	Blast them to ash!
context: I'll take you out first, after all!\Wait, not yet!\Anchor Howl hasn't worn off yet!\Cra\Fine!\Sorcerer! Summoner!\We'll use everything we have!\Blast them to ash! response:	Assassin...
context: Wait, not yet!\Anchor Howl hasn't worn off yet!\Cra\Fine!\Sorcerer! Summoner!\We'll use everything we have!\Blast them to ash!\Assassin... response:	This class specializes in quick elimination of the enemy.
context: Anchor Howl hasn't worn off yet!\Cra\Fine!\Sorcerer! Summoner!\We'll use everything we have!\Blast them to ash!\Assassin...\This class specializes in quick elimination of the enemy. response:	Naotsugu was targeted by a bind-type movement-restriction spell.
context: Cra\Fine!\Sorcerer! Summoner!\We'll use everything we have!\Blast them to ash!\Assassin...\This class specializes in quick elimination of the enemy.\Naotsugu was targeted by a bind-type movement-restriction spell. response:	But I didn't notice any mages.
context: Fine!\Sorcerer! Summoner!\We'll use everything we have!\Blast them to ash!\Assassin...\This class specializes in quick elimination of the enemy.\Naotsugu was targeted by a bind-type movement-restriction spell.\But I didn't notice any mages. response:	When I said I had visual contact on four,
context: Sorcerer! Summoner!\We'll use everything we have!\Blast them to ash!\Assassin...\This class specializes in quick elimination of the enemy.\Naotsugu was targeted by a bind-type movement-restriction spell.\But I didn't notice any mages.\When I said I had visual contact on four, response:	Akatsuki understood what I meant,
context: We'll use everything we have!\Blast them to ash!\Assassin...\This class specializes in quick elimination of the enemy.\Naotsugu was targeted by a bind-type movement-restriction spell.\But I didn't notice any mages.\When I said I had visual contact on four,\Akatsuki understood what I meant, response:	and acted quickly to remove the ambushers hiding in the forest.
context: Blast them to ash!\Assassin...\This class specializes in quick elimination of the enemy.\Naotsugu was targeted by a bind-type movement-restriction spell.\But I didn't notice any mages.\When I said I had visual contact on four,\Akatsuki understood what I meant,\and acted quickly to remove the ambushers hiding in the forest. response:	Insulting my lord's magic isn't wise.
context: Assassin...\This class specializes in quick elimination of the enemy.\Naotsugu was targeted by a bind-type movement-restriction spell.\But I didn't notice any mages.\When I said I had visual contact on four,\Akatsuki understood what I meant,\and acted quickly to remove the ambushers hiding in the forest.\Insulting my lord's magic isn't wise. response:	You laughed at those small electric bursts,
context: This class specializes in quick elimination of the enemy.\Naotsugu was targeted by a bind-type movement-restriction spell.\But I didn't notice any mages.\When I said I had visual contact on four,\Akatsuki understood what I meant,\and acted quickly to remove the ambushers hiding in the forest.\Insulting my lord's magic isn't wise.\You laughed at those small electric bursts, response:	but those bright lights kept you from seeing in the dark forest.
context: Naotsugu was targeted by a bind-type movement-restriction spell.\But I didn't notice any mages.\When I said I had visual contact on four,\Akatsuki understood what I meant,\and acted quickly to remove the ambushers hiding in the forest.\Insulting my lord's magic isn't wise.\You laughed at those small electric bursts,\but those bright lights kept you from seeing in the dark forest. response:	You never realized your healer was asleep.
context: But I didn't notice any mages.\When I said I had visual contact on four,\Akatsuki understood what I meant,\and acted quickly to remove the ambushers hiding in the forest.\Insulting my lord's magic isn't wise.\You laughed at those small electric bursts,\but those bright lights kept you from seeing in the dark forest.\You never realized your healer was asleep. response:	Your teamwork is full of openings.
context: When I said I had visual contact on four,\Akatsuki understood what I meant,\and acted quickly to remove the ambushers hiding in the forest.\Insulting my lord's magic isn't wise.\You laughed at those small electric bursts,\but those bright lights kept you from seeing in the dark forest.\You never realized your healer was asleep.\Your teamwork is full of openings. response:	You were too focused on the battle to even watch your own HP,
context: Akatsuki understood what I meant,\and acted quickly to remove the ambushers hiding in the forest.\Insulting my lord's magic isn't wise.\You laughed at those small electric bursts,\but those bright lights kept you from seeing in the dark forest.\You never realized your healer was asleep.\Your teamwork is full of openings.\You were too focused on the battle to even watch your own HP, response:	or keep an eye on the rest of the party's status.
context: and acted quickly to remove the ambushers hiding in the forest.\Insulting my lord's magic isn't wise.\You laughed at those small electric bursts,\but those bright lights kept you from seeing in the dark forest.\You never realized your healer was asleep.\Your teamwork is full of openings.\You were too focused on the battle to even watch your own HP,\or keep an eye on the rest of the party's status. response:	Taking out your ambushers was easy.
context: Insulting my lord's magic isn't wise.\You laughed at those small electric bursts,\but those bright lights kept you from seeing in the dark forest.\You never realized your healer was asleep.\Your teamwork is full of openings.\You were too focused on the battle to even watch your own HP,\or keep an eye on the rest of the party's status.\Taking out your ambushers was easy. response:	Shut up! Defeating us won't do any good!
context: You laughed at those small electric bursts,\but those bright lights kept you from seeing in the dark forest.\You never realized your healer was asleep.\Your teamwork is full of openings.\You were too focused on the battle to even watch your own HP,\or keep an eye on the rest of the party's status.\Taking out your ambushers was easy.\Shut up! Defeating us won't do any good! response:	We'll just revive in the Cathedral...
context: but those bright lights kept you from seeing in the dark forest.\You never realized your healer was asleep.\Your teamwork is full of openings.\You were too focused on the battle to even watch your own HP,\or keep an eye on the rest of the party's status.\Taking out your ambushers was easy.\Shut up! Defeating us won't do any good!\We'll just revive in the Cathedral... response:	Want to try it?
context: You never realized your healer was asleep.\Your teamwork is full of openings.\You were too focused on the battle to even watch your own HP,\or keep an eye on the rest of the party's status.\Taking out your ambushers was easy.\Shut up! Defeating us won't do any good!\We'll just revive in the Cathedral...\Want to try it? response:	I'm sorry!
context: Your teamwork is full of openings.\You were too focused on the battle to even watch your own HP,\or keep an eye on the rest of the party's status.\Taking out your ambushers was easy.\Shut up! Defeating us won't do any good!\We'll just revive in the Cathedral...\Want to try it?\I'm sorry! response:	I won't do it again! Please forgive me!
context: You were too focused on the battle to even watch your own HP,\or keep an eye on the rest of the party's status.\Taking out your ambushers was easy.\Shut up! Defeating us won't do any good!\We'll just revive in the Cathedral...\Want to try it?\I'm sorry!\I won't do it again! Please forgive me! response:	Please!
context: or keep an eye on the rest of the party's status.\Taking out your ambushers was easy.\Shut up! Defeating us won't do any good!\We'll just revive in the Cathedral...\Want to try it?\I'm sorry!\I won't do it again! Please forgive me!\Please! response:	You actually thought I'd say that, you
context: Taking out your ambushers was easy.\Shut up! Defeating us won't do any good!\We'll just revive in the Cathedral...\Want to try it?\I'm sorry!\I won't do it again! Please forgive me!\Please!\You actually thought I'd say that, you response:	Security really is getting bad.
context: Shut up! Defeating us won't do any good!\We'll just revive in the Cathedral...\Want to try it?\I'm sorry!\I won't do it again! Please forgive me!\Please!\You actually thought I'd say that, you\Security really is getting bad. response:	It's not like PKing is good for much profit.
context: We'll just revive in the Cathedral...\Want to try it?\I'm sorry!\I won't do it again! Please forgive me!\Please!\You actually thought I'd say that, you\Security really is getting bad.\It's not like PKing is good for much profit. response:	I can understand people being freaked out.
context: Want to try it?\I'm sorry!\I won't do it again! Please forgive me!\Please!\You actually thought I'd say that, you\Security really is getting bad.\It's not like PKing is good for much profit.\I can understand people being freaked out. response:	But there are other things they could do with their time.
context: I'm sorry!\I won't do it again! Please forgive me!\Please!\You actually thought I'd say that, you\Security really is getting bad.\It's not like PKing is good for much profit.\I can understand people being freaked out.\But there are other things they could do with their time. response:	Like what?
context: I won't do it again! Please forgive me!\Please!\You actually thought I'd say that, you\Security really is getting bad.\It's not like PKing is good for much profit.\I can understand people being freaked out.\But there are other things they could do with their time.\Like what? response:	Boobs
context: Please!\You actually thought I'd say that, you\Security really is getting bad.\It's not like PKing is good for much profit.\I can understand people being freaked out.\But there are other things they could do with their time.\Like what?\Boobs response:	My lord, may I knee this pervert in the face?
context: You actually thought I'd say that, you\Security really is getting bad.\It's not like PKing is good for much profit.\I can understand people being freaked out.\But there are other things they could do with their time.\Like what?\Boobs\My lord, may I knee this pervert in the face? response:	Ask before you do it! And while you're at it, let me finish my sentence!
context: Security really is getting bad.\It's not like PKing is good for much profit.\I can understand people being freaked out.\But there are other things they could do with their time.\Like what?\Boobs\My lord, may I knee this pervert in the face?\Ask before you do it! And while you're at it, let me finish my sentence! response:	You were going to say something else perverted.
context: It's not like PKing is good for much profit.\I can understand people being freaked out.\But there are other things they could do with their time.\Like what?\Boobs\My lord, may I knee this pervert in the face?\Ask before you do it! And while you're at it, let me finish my sentence!\You were going to say something else perverted. response:	I was, but...
context: I can understand people being freaked out.\But there are other things they could do with their time.\Like what?\Boobs\My lord, may I knee this pervert in the face?\Ask before you do it! And while you're at it, let me finish my sentence!\You were going to say something else perverted.\I was, but... response:	Other things to do?
context: But there are other things they could do with their time.\Like what?\Boobs\My lord, may I knee this pervert in the face?\Ask before you do it! And while you're at it, let me finish my sentence!\You were going to say something else perverted.\I was, but...\Other things to do? response:	You're probably right...
context: Like what?\Boobs\My lord, may I knee this pervert in the face?\Ask before you do it! And while you're at it, let me finish my sentence!\You were going to say something else perverted.\I was, but...\Other things to do?\You're probably right... response:	There's nothing to do.
context: Boobs\My lord, may I knee this pervert in the face?\Ask before you do it! And while you're at it, let me finish my sentence!\You were going to say something else perverted.\I was, but...\Other things to do?\You're probably right...\There's nothing to do. response:	No goal to live for.
context: My lord, may I knee this pervert in the face?\Ask before you do it! And while you're at it, let me finish my sentence!\You were going to say something else perverted.\I was, but...\Other things to do?\You're probably right...\There's nothing to do.\No goal to live for. response:	Taste aside, we have food.
context: Ask before you do it! And while you're at it, let me finish my sentence!\You were going to say something else perverted.\I was, but...\Other things to do?\You're probably right...\There's nothing to do.\No goal to live for.\Taste aside, we have food. response:	By defeating low-level monsters, you can make money.
context: You were going to say something else perverted.\I was, but...\Other things to do?\You're probably right...\There's nothing to do.\No goal to live for.\Taste aside, we have food.\By defeating low-level monsters, you can make money. response:	With that money, you can stay at an inn.
