context: The seventh floor?! response:	You almost got yourself killed on the fifth floor not that long ago!
context: Thank you.\It's a little later than I expected.\Are you okay?\You're not getting away anymore,\you damned prum!\Who are you?\Are you with her?\N-No... response:	I've never seen her?
context: It's a little later than I expected.\Are you okay?\You're not getting away anymore,\you damned prum!\Who are you?\Are you with her?\N-No...\I've never seen her? response:	Then why protect her?
context: Are you okay?\You're not getting away anymore,\you damned prum!\Who are you?\Are you with her?\N-No...\I've never seen her?\Then why protect her? response:	B-Because she's a girl?
context: You're not getting away anymore,\you damned prum!\Who are you?\Are you with her?\N-No...\I've never seen her?\Then why protect her?\B-Because she's a girl? response:	What are you saying, you goddamn brat?
context: you damned prum!\Who are you?\Are you with her?\N-No...\I've never seen her?\Then why protect her?\B-Because she's a girl?\What are you saying, you goddamn brat? response:	Stop it.
context: Who are you?\Are you with her?\N-No...\I've never seen her?\Then why protect her?\B-Because she's a girl?\What are you saying, you goddamn brat?\Stop it. response:	You shouldn't be sword fighting in the middle of the city.
context: Are you with her?\N-No...\I've never seen her?\Then why protect her?\B-Because she's a girl?\What are you saying, you goddamn brat?\Stop it.\You shouldn't be sword fighting in the middle of the city. response:	Stay out of this.
context: N-No...\I've never seen her?\Then why protect her?\B-Because she's a girl?\What are you saying, you goddamn brat?\Stop it.\You shouldn't be sword fighting in the middle of the city.\Stay out of this. response:	Get lost, you
context: I've never seen her?\Then why protect her?\B-Because she's a girl?\What are you saying, you goddamn brat?\Stop it.\You shouldn't be sword fighting in the middle of the city.\Stay out of this.\Get lost, you response:	Silence.
context: Then why protect her?\B-Because she's a girl?\What are you saying, you goddamn brat?\Stop it.\You shouldn't be sword fighting in the middle of the city.\Stay out of this.\Get lost, you\Silence. response:	I don't want to get violent.
context: B-Because she's a girl?\What are you saying, you goddamn brat?\Stop it.\You shouldn't be sword fighting in the middle of the city.\Stay out of this.\Get lost, you\Silence.\I don't want to get violent. response:	I always end up going too far.
context: What are you saying, you goddamn brat?\Stop it.\You shouldn't be sword fighting in the middle of the city.\Stay out of this.\Get lost, you\Silence.\I don't want to get violent.\I always end up going too far. response:	Damn it.
context: Stop it.\You shouldn't be sword fighting in the middle of the city.\Stay out of this.\Get lost, you\Silence.\I don't want to get violent.\I always end up going too far.\Damn it. response:	Thank you.
context: You shouldn't be sword fighting in the middle of the city.\Stay out of this.\Get lost, you\Silence.\I don't want to get violent.\I always end up going too far.\Damn it.\Thank you. response:	You saved me, Ryu-san.
context: Stay out of this.\Get lost, you\Silence.\I don't want to get violent.\I always end up going too far.\Damn it.\Thank you.\You saved me, Ryu-san. response:	No.
context: Get lost, you\Silence.\I don't want to get violent.\I always end up going too far.\Damn it.\Thank you.\You saved me, Ryu-san.\No. response:	I'm sorry for interfering.
context: Silence.\I don't want to get violent.\I always end up going too far.\Damn it.\Thank you.\You saved me, Ryu-san.\No.\I'm sorry for interfering. response:	Oh right. That girl...
context: I don't want to get violent.\I always end up going too far.\Damn it.\Thank you.\You saved me, Ryu-san.\No.\I'm sorry for interfering.\Oh right. That girl... response:	Huh?
context: I always end up going too far.\Damn it.\Thank you.\You saved me, Ryu-san.\No.\I'm sorry for interfering.\Oh right. That girl...\Huh? response:	She's gone?
context: Damn it.\Thank you.\You saved me, Ryu-san.\No.\I'm sorry for interfering.\Oh right. That girl...\Huh?\She's gone? response:	Maybe she got scared and ran?
context: Thank you.\You saved me, Ryu-san.\No.\I'm sorry for interfering.\Oh right. That girl...\Huh?\She's gone?\Maybe she got scared and ran? response:	If you got hurt, Syr would be sad.
context: You saved me, Ryu-san.\No.\I'm sorry for interfering.\Oh right. That girl...\Huh?\She's gone?\Maybe she got scared and ran?\If you got hurt, Syr would be sad. response:	Be careful.
context: No.\I'm sorry for interfering.\Oh right. That girl...\Huh?\She's gone?\Maybe she got scared and ran?\If you got hurt, Syr would be sad.\Be careful. response:	R-Right.
context: I'm sorry for interfering.\Oh right. That girl...\Huh?\She's gone?\Maybe she got scared and ran?\If you got hurt, Syr would be sad.\Be careful.\R-Right. response:	I'll be on my way, then.
context: Oh right. That girl...\Huh?\She's gone?\Maybe she got scared and ran?\If you got hurt, Syr would be sad.\Be careful.\R-Right.\I'll be on my way, then. response:	Thanks, really!
context: Huh?\She's gone?\Maybe she got scared and ran?\If you got hurt, Syr would be sad.\Be careful.\R-Right.\I'll be on my way, then.\Thanks, really! response:	Okay!
context: She's gone?\Maybe she got scared and ran?\If you got hurt, Syr would be sad.\Be careful.\R-Right.\I'll be on my way, then.\Thanks, really!\Okay! response:	Goddess, I'll be going!
context: Maybe she got scared and ran?\If you got hurt, Syr would be sad.\Be careful.\R-Right.\I'll be on my way, then.\Thanks, really!\Okay!\Goddess, I'll be going! response:	Bye.
context: If you got hurt, Syr would be sad.\Be careful.\R-Right.\I'll be on my way, then.\Thanks, really!\Okay!\Goddess, I'll be going!\Bye. response:	A supporter, huh?
context: Be careful.\R-Right.\I'll be on my way, then.\Thanks, really!\Okay!\Goddess, I'll be going!\Bye.\A supporter, huh? response:	Mister! Mister! You with the white hair!
context: R-Right.\I'll be on my way, then.\Thanks, really!\Okay!\Goddess, I'll be going!\Bye.\A supporter, huh?\Mister! Mister! You with the white hair! response:	Hello, mister!
context: I'll be on my way, then.\Thanks, really!\Okay!\Goddess, I'll be going!\Bye.\A supporter, huh?\Mister! Mister! You with the white hair!\Hello, mister! response:	Sorry to bother you, but are you looking for a supporter?
context: Thanks, really!\Okay!\Goddess, I'll be going!\Bye.\A supporter, huh?\Mister! Mister! You with the white hair!\Hello, mister!\Sorry to bother you, but are you looking for a supporter? response:	Hey, you're from...
context: Okay!\Goddess, I'll be going!\Bye.\A supporter, huh?\Mister! Mister! You with the white hair!\Hello, mister!\Sorry to bother you, but are you looking for a supporter?\Hey, you're from... response:	Are you confused?
context: Goddess, I'll be going!\Bye.\A supporter, huh?\Mister! Mister! You with the white hair!\Hello, mister!\Sorry to bother you, but are you looking for a supporter?\Hey, you're from...\Are you confused? response:	But it's actually quite simple.
context: Bye.\A supporter, huh?\Mister! Mister! You with the white hair!\Hello, mister!\Sorry to bother you, but are you looking for a supporter?\Hey, you're from...\Are you confused?\But it's actually quite simple. response:	A poor supporter who wants to pick through the leftovers
context: A supporter, huh?\Mister! Mister! You with the white hair!\Hello, mister!\Sorry to bother you, but are you looking for a supporter?\Hey, you're from...\Are you confused?\But it's actually quite simple.\A poor supporter who wants to pick through the leftovers response:	of an adventurer is advertising herself!
context: Mister! Mister! You with the white hair!\Hello, mister!\Sorry to bother you, but are you looking for a supporter?\Hey, you're from...\Are you confused?\But it's actually quite simple.\A poor supporter who wants to pick through the leftovers\of an adventurer is advertising herself! response:	Th-That's not it...
context: Hello, mister!\Sorry to bother you, but are you looking for a supporter?\Hey, you're from...\Are you confused?\But it's actually quite simple.\A poor supporter who wants to pick through the leftovers\of an adventurer is advertising herself!\Th-That's not it... response:	You're the prum girl from yesterday, right?
context: Sorry to bother you, but are you looking for a supporter?\Hey, you're from...\Are you confused?\But it's actually quite simple.\A poor supporter who wants to pick through the leftovers\of an adventurer is advertising herself!\Th-That's not it...\You're the prum girl from yesterday, right? response:	Prum?
context: Hey, you're from...\Are you confused?\But it's actually quite simple.\A poor supporter who wants to pick through the leftovers\of an adventurer is advertising herself!\Th-That's not it...\You're the prum girl from yesterday, right?\Prum? response:	I'm an animal person.
context: Are you confused?\But it's actually quite simple.\A poor supporter who wants to pick through the leftovers\of an adventurer is advertising herself!\Th-That's not it...\You're the prum girl from yesterday, right?\Prum?\I'm an animal person. response:	A chienthrope!
context: But it's actually quite simple.\A poor supporter who wants to pick through the leftovers\of an adventurer is advertising herself!\Th-That's not it...\You're the prum girl from yesterday, right?\Prum?\I'm an animal person.\A chienthrope! response:	You're right. You're not a prum.
context: A poor supporter who wants to pick through the leftovers\of an adventurer is advertising herself!\Th-That's not it...\You're the prum girl from yesterday, right?\Prum?\I'm an animal person.\A chienthrope!\You're right. You're not a prum. response:	Mister...
context: of an adventurer is advertising herself!\Th-That's not it...\You're the prum girl from yesterday, right?\Prum?\I'm an animal person.\A chienthrope!\You're right. You're not a prum.\Mister... response:	S-Sorry!
context: Th-That's not it...\You're the prum girl from yesterday, right?\Prum?\I'm an animal person.\A chienthrope!\You're right. You're not a prum.\Mister...\S-Sorry! response:	I guess I was mistaken.
context: You're the prum girl from yesterday, right?\Prum?\I'm an animal person.\A chienthrope!\You're right. You're not a prum.\Mister...\S-Sorry!\I guess I was mistaken. response:	So...
context: Prum?\I'm an animal person.\A chienthrope!\You're right. You're not a prum.\Mister...\S-Sorry!\I guess I was mistaken.\So... response:	Why did you talk to me, Liliruca-san?
context: I'm an animal person.\A chienthrope!\You're right. You're not a prum.\Mister...\S-Sorry!\I guess I was mistaken.\So...\Why did you talk to me, Liliruca-san? response:	Well, you looked like you were alone.
context: A chienthrope!\You're right. You're not a prum.\Mister...\S-Sorry!\I guess I was mistaken.\So...\Why did you talk to me, Liliruca-san?\Well, you looked like you were alone. response:	It's rare to see an adventurer equipped with a backpack, so I thought maybe...
context: You're right. You're not a prum.\Mister...\S-Sorry!\I guess I was mistaken.\So...\Why did you talk to me, Liliruca-san?\Well, you looked like you were alone.\It's rare to see an adventurer equipped with a backpack, so I thought maybe... response:	So mister, how about it?
context: Mister...\S-Sorry!\I guess I was mistaken.\So...\Why did you talk to me, Liliruca-san?\Well, you looked like you were alone.\It's rare to see an adventurer equipped with a backpack, so I thought maybe...\So mister, how about it? response:	Do you need a supporter?
context: S-Sorry!\I guess I was mistaken.\So...\Why did you talk to me, Liliruca-san?\Well, you looked like you were alone.\It's rare to see an adventurer equipped with a backpack, so I thought maybe...\So mister, how about it?\Do you need a supporter? response:	Well, I was just thinking I'd like to have one.
context: I guess I was mistaken.\So...\Why did you talk to me, Liliruca-san?\Well, you looked like you were alone.\It's rare to see an adventurer equipped with a backpack, so I thought maybe...\So mister, how about it?\Do you need a supporter?\Well, I was just thinking I'd like to have one. response:	Really?
context: So...\Why did you talk to me, Liliruca-san?\Well, you looked like you were alone.\It's rare to see an adventurer equipped with a backpack, so I thought maybe...\So mister, how about it?\Do you need a supporter?\Well, I was just thinking I'd like to have one.\Really? response:	Then would you take me, mister?
context: Why did you talk to me, Liliruca-san?\Well, you looked like you were alone.\It's rare to see an adventurer equipped with a backpack, so I thought maybe...\So mister, how about it?\Do you need a supporter?\Well, I was just thinking I'd like to have one.\Really?\Then would you take me, mister? response:	I'm so poor...
context: Well, you looked like you were alone.\It's rare to see an adventurer equipped with a backpack, so I thought maybe...\So mister, how about it?\Do you need a supporter?\Well, I was just thinking I'd like to have one.\Really?\Then would you take me, mister?\I'm so poor... response:	I don't know if I've got enough to get by on right now.
context: It's rare to see an adventurer equipped with a backpack, so I thought maybe...\So mister, how about it?\Do you need a supporter?\Well, I was just thinking I'd like to have one.\Really?\Then would you take me, mister?\I'm so poor...\I don't know if I've got enough to get by on right now. response:	And having a boy touch something so important to me...
context: So mister, how about it?\Do you need a supporter?\Well, I was just thinking I'd like to have one.\Really?\Then would you take me, mister?\I'm so poor...\I don't know if I've got enough to get by on right now.\And having a boy touch something so important to me... response:	You need to take responsibility, don't you?
context: Do you need a supporter?\Well, I was just thinking I'd like to have one.\Really?\Then would you take me, mister?\I'm so poor...\I don't know if I've got enough to get by on right now.\And having a boy touch something so important to me...\You need to take responsibility, don't you? response:	All right.
context: Well, I was just thinking I'd like to have one.\Really?\Then would you take me, mister?\I'm so poor...\I don't know if I've got enough to get by on right now.\And having a boy touch something so important to me...\You need to take responsibility, don't you?\All right. response:	Okay, for now, you can be my supporter for the day.
context: Really?\Then would you take me, mister?\I'm so poor...\I don't know if I've got enough to get by on right now.\And having a boy touch something so important to me...\You need to take responsibility, don't you?\All right.\Okay, for now, you can be my supporter for the day. response:	Thank you!
context: Then would you take me, mister?\I'm so poor...\I don't know if I've got enough to get by on right now.\And having a boy touch something so important to me...\You need to take responsibility, don't you?\All right.\Okay, for now, you can be my supporter for the day.\Thank you! response:	Bell-sama!
context: I'm so poor...\I don't know if I've got enough to get by on right now.\And having a boy touch something so important to me...\You need to take responsibility, don't you?\All right.\Okay, for now, you can be my supporter for the day.\Thank you!\Bell-sama! response:	Bell-sama, you're so strong!
context: I don't know if I've got enough to get by on right now.\And having a boy touch something so important to me...\You need to take responsibility, don't you?\All right.\Okay, for now, you can be my supporter for the day.\Thank you!\Bell-sama!\Bell-sama, you're so strong! response:	I can focus on the fight since you're here!
context: And having a boy touch something so important to me...\You need to take responsibility, don't you?\All right.\Okay, for now, you can be my supporter for the day.\Thank you!\Bell-sama!\Bell-sama, you're so strong!\I can focus on the fight since you're here! response:	You're amazing!
context: You need to take responsibility, don't you?\All right.\Okay, for now, you can be my supporter for the day.\Thank you!\Bell-sama!\Bell-sama, you're so strong!\I can focus on the fight since you're here!\You're amazing! response:	No, you're much more amazing,
context: All right.\Okay, for now, you can be my supporter for the day.\Thank you!\Bell-sama!\Bell-sama, you're so strong!\I can focus on the fight since you're here!\You're amazing!\No, you're much more amazing, response:	since you can defeat all these monsters by yourself!
context: Okay, for now, you can be my supporter for the day.\Thank you!\Bell-sama!\Bell-sama, you're so strong!\I can focus on the fight since you're here!\You're amazing!\No, you're much more amazing,\since you can defeat all these monsters by yourself! response:	Well, I'm sure part of it is because of your weapon.
context: Thank you!\Bell-sama!\Bell-sama, you're so strong!\I can focus on the fight since you're here!\You're amazing!\No, you're much more amazing,\since you can defeat all these monsters by yourself!\Well, I'm sure part of it is because of your weapon. response:	You might be right.
context: Bell-sama!\Bell-sama, you're so strong!\I can focus on the fight since you're here!\You're amazing!\No, you're much more amazing,\since you can defeat all these monsters by yourself!\Well, I'm sure part of it is because of your weapon.\You might be right. response:	I think I may rely on this knife a little too much, yeah.
context: Bell-sama, you're so strong!\I can focus on the fight since you're here!\You're amazing!\No, you're much more amazing,\since you can defeat all these monsters by yourself!\Well, I'm sure part of it is because of your weapon.\You might be right.\I think I may rely on this knife a little too much, yeah. response:	Bell-sama, where'd you get that knife?
context: I can focus on the fight since you're here!\You're amazing!\No, you're much more amazing,\since you can defeat all these monsters by yourself!\Well, I'm sure part of it is because of your weapon.\You might be right.\I think I may rely on this knife a little too much, yeah.\Bell-sama, where'd you get that knife? response:	The goddess of my familia gave it to me.
context: You're amazing!\No, you're much more amazing,\since you can defeat all these monsters by yourself!\Well, I'm sure part of it is because of your weapon.\You might be right.\I think I may rely on this knife a little too much, yeah.\Bell-sama, where'd you get that knife?\The goddess of my familia gave it to me. response:	Come to think of it, what familia are you with, Lili?
context: No, you're much more amazing,\since you can defeat all these monsters by yourself!\Well, I'm sure part of it is because of your weapon.\You might be right.\I think I may rely on this knife a little too much, yeah.\Bell-sama, where'd you get that knife?\The goddess of my familia gave it to me.\Come to think of it, what familia are you with, Lili? response:	Oh, right, the Soma Familia.
context: since you can defeat all these monsters by yourself!\Well, I'm sure part of it is because of your weapon.\You might be right.\I think I may rely on this knife a little too much, yeah.\Bell-sama, where'd you get that knife?\The goddess of my familia gave it to me.\Come to think of it, what familia are you with, Lili?\Oh, right, the Soma Familia. response:	I see.
context: Well, I'm sure part of it is because of your weapon.\You might be right.\I think I may rely on this knife a little too much, yeah.\Bell-sama, where'd you get that knife?\The goddess of my familia gave it to me.\Come to think of it, what familia are you with, Lili?\Oh, right, the Soma Familia.\I see. response:	Anyway, Bell-sama, would you grab his magic stone?
context: You might be right.\I think I may rely on this knife a little too much, yeah.\Bell-sama, where'd you get that knife?\The goddess of my familia gave it to me.\Come to think of it, what familia are you with, Lili?\Oh, right, the Soma Familia.\I see.\Anyway, Bell-sama, would you grab his magic stone? response:	I think it's not too deep in.
context: I think I may rely on this knife a little too much, yeah.\Bell-sama, where'd you get that knife?\The goddess of my familia gave it to me.\Come to think of it, what familia are you with, Lili?\Oh, right, the Soma Familia.\I see.\Anyway, Bell-sama, would you grab his magic stone?\I think it's not too deep in. response:	I'll grab the ones on the ground.
context: Bell-sama, where'd you get that knife?\The goddess of my familia gave it to me.\Come to think of it, what familia are you with, Lili?\Oh, right, the Soma Familia.\I see.\Anyway, Bell-sama, would you grab his magic stone?\I think it's not too deep in.\I'll grab the ones on the ground. response:	After that, we'll call it a day.
context: The goddess of my familia gave it to me.\Come to think of it, what familia are you with, Lili?\Oh, right, the Soma Familia.\I see.\Anyway, Bell-sama, would you grab his magic stone?\I think it's not too deep in.\I'll grab the ones on the ground.\After that, we'll call it a day. response:	Yeah.
context: Come to think of it, what familia are you with, Lili?\Oh, right, the Soma Familia.\I see.\Anyway, Bell-sama, would you grab his magic stone?\I think it's not too deep in.\I'll grab the ones on the ground.\After that, we'll call it a day.\Yeah. response:	It's hard to cut...
context: Oh, right, the Soma Familia.\I see.\Anyway, Bell-sama, would you grab his magic stone?\I think it's not too deep in.\I'll grab the ones on the ground.\After that, we'll call it a day.\Yeah.\It's hard to cut... response:	Huh?
context: I see.\Anyway, Bell-sama, would you grab his magic stone?\I think it's not too deep in.\I'll grab the ones on the ground.\After that, we'll call it a day.\Yeah.\It's hard to cut...\Huh? response:	A supporter from the Soma Familia, huh?
context: Anyway, Bell-sama, would you grab his magic stone?\I think it's not too deep in.\I'll grab the ones on the ground.\After that, we'll call it a day.\Yeah.\It's hard to cut...\Huh?\A supporter from the Soma Familia, huh? response:	Is that a problem?
context: I think it's not too deep in.\I'll grab the ones on the ground.\After that, we'll call it a day.\Yeah.\It's hard to cut...\Huh?\A supporter from the Soma Familia, huh?\Is that a problem? response:	They're a familia focused on dungeon exploring,
context: I'll grab the ones on the ground.\After that, we'll call it a day.\Yeah.\It's hard to cut...\Huh?\A supporter from the Soma Familia, huh?\Is that a problem?\They're a familia focused on dungeon exploring, response:	and they also sell some alcohol.
context: After that, we'll call it a day.\Yeah.\It's hard to cut...\Huh?\A supporter from the Soma Familia, huh?\Is that a problem?\They're a familia focused on dungeon exploring,\and they also sell some alcohol. response:	That much is normal, but...
context: Yeah.\It's hard to cut...\Huh?\A supporter from the Soma Familia, huh?\Is that a problem?\They're a familia focused on dungeon exploring,\and they also sell some alcohol.\That much is normal, but... response:	They all seem desperate for some reason.
context: It's hard to cut...\Huh?\A supporter from the Soma Familia, huh?\Is that a problem?\They're a familia focused on dungeon exploring,\and they also sell some alcohol.\That much is normal, but...\They all seem desperate for some reason. response:	Like they're pushing themselves to the limit.
context: Huh?\A supporter from the Soma Familia, huh?\Is that a problem?\They're a familia focused on dungeon exploring,\and they also sell some alcohol.\That much is normal, but...\They all seem desperate for some reason.\Like they're pushing themselves to the limit. response:	Anyway, what did you think, Bell-kun?
context: A supporter from the Soma Familia, huh?\Is that a problem?\They're a familia focused on dungeon exploring,\and they also sell some alcohol.\That much is normal, but...\They all seem desperate for some reason.\Like they're pushing themselves to the limit.\Anyway, what did you think, Bell-kun? response:	About this Liliruca-san.
context: Is that a problem?\They're a familia focused on dungeon exploring,\and they also sell some alcohol.\That much is normal, but...\They all seem desperate for some reason.\Like they're pushing themselves to the limit.\Anyway, what did you think, Bell-kun?\About this Liliruca-san. response:	I think she's great.
context: They're a familia focused on dungeon exploring,\and they also sell some alcohol.\That much is normal, but...\They all seem desperate for some reason.\Like they're pushing themselves to the limit.\Anyway, what did you think, Bell-kun?\About this Liliruca-san.\I think she's great. response:	Thanks to her, I was able to get all this!
context: and they also sell some alcohol.\That much is normal, but...\They all seem desperate for some reason.\Like they're pushing themselves to the limit.\Anyway, what did you think, Bell-kun?\About this Liliruca-san.\I think she's great.\Thanks to her, I was able to get all this! response:	I see.
context: That much is normal, but...\They all seem desperate for some reason.\Like they're pushing themselves to the limit.\Anyway, what did you think, Bell-kun?\About this Liliruca-san.\I think she's great.\Thanks to her, I was able to get all this!\I see. response:	Then I'm not opposed to it.
context: They all seem desperate for some reason.\Like they're pushing themselves to the limit.\Anyway, what did you think, Bell-kun?\About this Liliruca-san.\I think she's great.\Thanks to her, I was able to get all this!\I see.\Then I'm not opposed to it. response:	The rest is up to you.
context: Like they're pushing themselves to the limit.\Anyway, what did you think, Bell-kun?\About this Liliruca-san.\I think she's great.\Thanks to her, I was able to get all this!\I see.\Then I'm not opposed to it.\The rest is up to you. response:	In the end, you have to make the decision!
context: Anyway, what did you think, Bell-kun?\About this Liliruca-san.\I think she's great.\Thanks to her, I was able to get all this!\I see.\Then I'm not opposed to it.\The rest is up to you.\In the end, you have to make the decision! response:	Thank you!
context: About this Liliruca-san.\I think she's great.\Thanks to her, I was able to get all this!\I see.\Then I'm not opposed to it.\The rest is up to you.\In the end, you have to make the decision!\Thank you! response:	Bye!
context: I think she's great.\Thanks to her, I was able to get all this!\I see.\Then I'm not opposed to it.\The rest is up to you.\In the end, you have to make the decision!\Thank you!\Bye! response:	Bell-kun?
context: Thanks to her, I was able to get all this!\I see.\Then I'm not opposed to it.\The rest is up to you.\In the end, you have to make the decision!\Thank you!\Bye!\Bell-kun? response:	Yes?
context: I see.\Then I'm not opposed to it.\The rest is up to you.\In the end, you have to make the decision!\Thank you!\Bye!\Bell-kun?\Yes? response:	Where's your knife?
context: Then I'm not opposed to it.\The rest is up to you.\In the end, you have to make the decision!\Thank you!\Bye!\Bell-kun?\Yes?\Where's your knife? response:	Huh? Huh? Huh?
context: The rest is up to you.\In the end, you have to make the decision!\Thank you!\Bye!\Bell-kun?\Yes?\Where's your knife?\Huh? Huh? Huh? response:	I dropped it?!
context: In the end, you have to make the decision!\Thank you!\Bye!\Bell-kun?\Yes?\Where's your knife?\Huh? Huh? Huh?\I dropped it?! response:	Thirty valis.
context: Thank you!\Bye!\Bell-kun?\Yes?\Where's your knife?\Huh? Huh? Huh?\I dropped it?!\Thirty valis. response:	It can't cut anything.
context: Bye!\Bell-kun?\Yes?\Where's your knife?\Huh? Huh? Huh?\I dropped it?!\Thirty valis.\It can't cut anything. response:	It's junk.
context: Bell-kun?\Yes?\Where's your knife?\Huh? Huh? Huh?\I dropped it?!\Thirty valis.\It can't cut anything.\It's junk. response:	The blade is dead.
context: Yes?\Where's your knife?\Huh? Huh? Huh?\I dropped it?!\Thirty valis.\It can't cut anything.\It's junk.\The blade is dead. response:	No way!
context: Where's your knife?\Huh? Huh? Huh?\I dropped it?!\Thirty valis.\It can't cut anything.\It's junk.\The blade is dead.\No way! response:	A weapon that tore through all those monsters without even
context: Huh? Huh? Huh?\I dropped it?!\Thirty valis.\It can't cut anything.\It's junk.\The blade is dead.\No way!\A weapon that tore through all those monsters without even response:	getting knicked is only worth thirty valis?
context: I dropped it?!\Thirty valis.\It can't cut anything.\It's junk.\The blade is dead.\No way!\A weapon that tore through all those monsters without even\getting knicked is only worth thirty valis? response:	That's impossible!
context: Thirty valis.\It can't cut anything.\It's junk.\The blade is dead.\No way!\A weapon that tore through all those monsters without even\getting knicked is only worth thirty valis?\That's impossible! response:	Stop right there, prum.
context: It can't cut anything.\It's junk.\The blade is dead.\No way!\A weapon that tore through all those monsters without even\getting knicked is only worth thirty valis?\That's impossible!\Stop right there, prum. response:	Show me the knife that's concealed in your sleeve.
context: It's junk.\The blade is dead.\No way!\A weapon that tore through all those monsters without even\getting knicked is only worth thirty valis?\That's impossible!\Stop right there, prum.\Show me the knife that's concealed in your sleeve. response:	Ryu?
context: The blade is dead.\No way!\A weapon that tore through all those monsters without even\getting knicked is only worth thirty valis?\That's impossible!\Stop right there, prum.\Show me the knife that's concealed in your sleeve.\Ryu? response:	It's similar to one a friend has. I want to check it.
context: No way!\A weapon that tore through all those monsters without even\getting knicked is only worth thirty valis?\That's impossible!\Stop right there, prum.\Show me the knife that's concealed in your sleeve.\Ryu?\It's similar to one a friend has. I want to check it. response:	I'm sorry, but this is mine.
context: A weapon that tore through all those monsters without even\getting knicked is only worth thirty valis?\That's impossible!\Stop right there, prum.\Show me the knife that's concealed in your sleeve.\Ryu?\It's similar to one a friend has. I want to check it.\I'm sorry, but this is mine. response:	You must be mistaken.
context: getting knicked is only worth thirty valis?\That's impossible!\Stop right there, prum.\Show me the knife that's concealed in your sleeve.\Ryu?\It's similar to one a friend has. I want to check it.\I'm sorry, but this is mine.\You must be mistaken. response:	Nonsense.
context: That's impossible!\Stop right there, prum.\Show me the knife that's concealed in your sleeve.\Ryu?\It's similar to one a friend has. I want to check it.\I'm sorry, but this is mine.\You must be mistaken.\Nonsense. response:	I only know one person with a hieroglyph weapon.
context: Stop right there, prum.\Show me the knife that's concealed in your sleeve.\Ryu?\It's similar to one a friend has. I want to check it.\I'm sorry, but this is mine.\You must be mistaken.\Nonsense.\I only know one person with a hieroglyph weapon. response:	Wh-Where
context: Show me the knife that's concealed in your sleeve.\Ryu?\It's similar to one a friend has. I want to check it.\I'm sorry, but this is mine.\You must be mistaken.\Nonsense.\I only know one person with a hieroglyph weapon.\Wh-Where response:	Ow!
context: Ryu?\It's similar to one a friend has. I want to check it.\I'm sorry, but this is mine.\You must be mistaken.\Nonsense.\I only know one person with a hieroglyph weapon.\Wh-Where\Ow! response:	L-Lili!
context: It's similar to one a friend has. I want to check it.\I'm sorry, but this is mine.\You must be mistaken.\Nonsense.\I only know one person with a hieroglyph weapon.\Wh-Where\Ow!\L-Lili! response:	Bell-sama.
context: I'm sorry, but this is mine.\You must be mistaken.\Nonsense.\I only know one person with a hieroglyph weapon.\Wh-Where\Ow!\L-Lili!\Bell-sama. response:	A chienthrope?
context: You must be mistaken.\Nonsense.\I only know one person with a hieroglyph weapon.\Wh-Where\Ow!\L-Lili!\Bell-sama.\A chienthrope? response:	Ryu-san...
context: Nonsense.\I only know one person with a hieroglyph weapon.\Wh-Where\Ow!\L-Lili!\Bell-sama.\A chienthrope?\Ryu-san... response:	Syr-san, too!
context: I only know one person with a hieroglyph weapon.\Wh-Where\Ow!\L-Lili!\Bell-sama.\A chienthrope?\Ryu-san...\Syr-san, too! response:	Oh, right!
context: Wh-Where\Ow!\L-Lili!\Bell-sama.\A chienthrope?\Ryu-san...\Syr-san, too!\Oh, right! response:	Did either of you see a knife that's all black from top to bottom?
context: Ow!\L-Lili!\Bell-sama.\A chienthrope?\Ryu-san...\Syr-san, too!\Oh, right!\Did either of you see a knife that's all black from top to bottom? response:	The knife is all black
context: L-Lili!\Bell-sama.\A chienthrope?\Ryu-san...\Syr-san, too!\Oh, right!\Did either of you see a knife that's all black from top to bottom?\The knife is all black response:	This?
context: Bell-sama.\A chienthrope?\Ryu-san...\Syr-san, too!\Oh, right!\Did either of you see a knife that's all black from top to bottom?\The knife is all black\This? response:	My knife...
context: A chienthrope?\Ryu-san...\Syr-san, too!\Oh, right!\Did either of you see a knife that's all black from top to bottom?\The knife is all black\This?\My knife... response:	Thank you!
context: Ryu-san...\Syr-san, too!\Oh, right!\Did either of you see a knife that's all black from top to bottom?\The knife is all black\This?\My knife...\Thank you! response:	Thank you so much!
context: Syr-san, too!\Oh, right!\Did either of you see a knife that's all black from top to bottom?\The knife is all black\This?\My knife...\Thank you!\Thank you so much! response:	Cranel-san...
context: Oh, right!\Did either of you see a knife that's all black from top to bottom?\The knife is all black\This?\My knife...\Thank you!\Thank you so much!\Cranel-san... response:	Um... Please...
context: Did either of you see a knife that's all black from top to bottom?\The knife is all black\This?\My knife...\Thank you!\Thank you so much!\Cranel-san...\Um... Please... response:	You should be doing this with Syr, not me.
context: The knife is all black\This?\My knife...\Thank you!\Thank you so much!\Cranel-san...\Um... Please...\You should be doing this with Syr, not me. response:	Ryu, what are you saying?
context: This?\My knife...\Thank you!\Thank you so much!\Cranel-san...\Um... Please...\You should be doing this with Syr, not me.\Ryu, what are you saying? response:	Here you are, then.
context: My knife...\Thank you!\Thank you so much!\Cranel-san...\Um... Please...\You should be doing this with Syr, not me.\Ryu, what are you saying?\Here you are, then. response:	I'm so glad...
