context: G- Goku! response:	No matter how strong Goku- san may be,
context: Ups-a-daisy!\All right, I'm back to my old self! Now for some 100-times training-\Before I do, maybe I'll go have something to eat.\Saiyans are able to increase their battle power dramatically...\So that's it.\Now that he mentions it, Goku got stronger every time he had a fierce battle.\Damn, so that's the reason why Vegeta's Ki has risen like crazy, huh?\Listen, even if your battle power has risen, response:	there's still no way you can beat me after I've transformed,
context: All right, I'm back to my old self! Now for some 100-times training-\Before I do, maybe I'll go have something to eat.\Saiyans are able to increase their battle power dramatically...\So that's it.\Now that he mentions it, Goku got stronger every time he had a fierce battle.\Damn, so that's the reason why Vegeta's Ki has risen like crazy, huh?\Listen, even if your battle power has risen,\there's still no way you can beat me after I've transformed, response:	and can exhibit my true power!
context: Before I do, maybe I'll go have something to eat.\Saiyans are able to increase their battle power dramatically...\So that's it.\Now that he mentions it, Goku got stronger every time he had a fierce battle.\Damn, so that's the reason why Vegeta's Ki has risen like crazy, huh?\Listen, even if your battle power has risen,\there's still no way you can beat me after I've transformed,\and can exhibit my true power! response:	The Saiyans are a fighting race! Don't underestimate us!
context: Saiyans are able to increase their battle power dramatically...\So that's it.\Now that he mentions it, Goku got stronger every time he had a fierce battle.\Damn, so that's the reason why Vegeta's Ki has risen like crazy, huh?\Listen, even if your battle power has risen,\there's still no way you can beat me after I've transformed,\and can exhibit my true power!\The Saiyans are a fighting race! Don't underestimate us! response:	V- Vegeta... I was only acting under orders from Freeza- sama...
context: So that's it.\Now that he mentions it, Goku got stronger every time he had a fierce battle.\Damn, so that's the reason why Vegeta's Ki has risen like crazy, huh?\Listen, even if your battle power has risen,\there's still no way you can beat me after I've transformed,\and can exhibit my true power!\The Saiyans are a fighting race! Don't underestimate us!\V- Vegeta... I was only acting under orders from Freeza- sama... response:	Let me go... please...
context: Now that he mentions it, Goku got stronger every time he had a fierce battle.\Damn, so that's the reason why Vegeta's Ki has risen like crazy, huh?\Listen, even if your battle power has risen,\there's still no way you can beat me after I've transformed,\and can exhibit my true power!\The Saiyans are a fighting race! Don't underestimate us!\V- Vegeta... I was only acting under orders from Freeza- sama...\Let me go... please... response:	After as much as you've worked me to the bone,
context: Damn, so that's the reason why Vegeta's Ki has risen like crazy, huh?\Listen, even if your battle power has risen,\there's still no way you can beat me after I've transformed,\and can exhibit my true power!\The Saiyans are a fighting race! Don't underestimate us!\V- Vegeta... I was only acting under orders from Freeza- sama...\Let me go... please...\After as much as you've worked me to the bone, response:	don't you dare go asking for anything for yourself!
context: Listen, even if your battle power has risen,\there's still no way you can beat me after I've transformed,\and can exhibit my true power!\The Saiyans are a fighting race! Don't underestimate us!\V- Vegeta... I was only acting under orders from Freeza- sama...\Let me go... please...\After as much as you've worked me to the bone,\don't you dare go asking for anything for yourself! response:	I know... The two of us could team up... If we did...
context: there's still no way you can beat me after I've transformed,\and can exhibit my true power!\The Saiyans are a fighting race! Don't underestimate us!\V- Vegeta... I was only acting under orders from Freeza- sama...\Let me go... please...\After as much as you've worked me to the bone,\don't you dare go asking for anything for yourself!\I know... The two of us could team up... If we did... response:	If I could defeat Freeza just by teaming up with you,
context: and can exhibit my true power!\The Saiyans are a fighting race! Don't underestimate us!\V- Vegeta... I was only acting under orders from Freeza- sama...\Let me go... please...\After as much as you've worked me to the bone,\don't you dare go asking for anything for yourself!\I know... The two of us could team up... If we did...\If I could defeat Freeza just by teaming up with you, response:	it wouldn't be very sporting.
context: The Saiyans are a fighting race! Don't underestimate us!\V- Vegeta... I was only acting under orders from Freeza- sama...\Let me go... please...\After as much as you've worked me to the bone,\don't you dare go asking for anything for yourself!\I know... The two of us could team up... If we did...\If I could defeat Freeza just by teaming up with you,\it wouldn't be very sporting. response:	Now then...
context: V- Vegeta... I was only acting under orders from Freeza- sama...\Let me go... please...\After as much as you've worked me to the bone,\don't you dare go asking for anything for yourself!\I know... The two of us could team up... If we did...\If I could defeat Freeza just by teaming up with you,\it wouldn't be very sporting.\Now then... response:	I don't know how you did it,
context: Let me go... please...\After as much as you've worked me to the bone,\don't you dare go asking for anything for yourself!\I know... The two of us could team up... If we did...\If I could defeat Freeza just by teaming up with you,\it wouldn't be very sporting.\Now then...\I don't know how you did it, response:	but you've raised your battle power a bit since we were on Earth, haven't you?
context: After as much as you've worked me to the bone,\don't you dare go asking for anything for yourself!\I know... The two of us could team up... If we did...\If I could defeat Freeza just by teaming up with you,\it wouldn't be very sporting.\Now then...\I don't know how you did it,\but you've raised your battle power a bit since we were on Earth, haven't you? response:	But you're still not at the level where you can fight me on even terms, are you?
context: don't you dare go asking for anything for yourself!\I know... The two of us could team up... If we did...\If I could defeat Freeza just by teaming up with you,\it wouldn't be very sporting.\Now then...\I don't know how you did it,\but you've raised your battle power a bit since we were on Earth, haven't you?\But you're still not at the level where you can fight me on even terms, are you? response:	What will it be? Would you be inclined to hand over that Dragon Ball to me nicely?
context: I know... The two of us could team up... If we did...\If I could defeat Freeza just by teaming up with you,\it wouldn't be very sporting.\Now then...\I don't know how you did it,\but you've raised your battle power a bit since we were on Earth, haven't you?\But you're still not at the level where you can fight me on even terms, are you?\What will it be? Would you be inclined to hand over that Dragon Ball to me nicely? response:	I- I doubt it will do any good to make any agreements with you,
context: If I could defeat Freeza just by teaming up with you,\it wouldn't be very sporting.\Now then...\I don't know how you did it,\but you've raised your battle power a bit since we were on Earth, haven't you?\But you're still not at the level where you can fight me on even terms, are you?\What will it be? Would you be inclined to hand over that Dragon Ball to me nicely?\I- I doubt it will do any good to make any agreements with you, response:	but if I hand this over, do you promise to leave here without any trouble?
context: it wouldn't be very sporting.\Now then...\I don't know how you did it,\but you've raised your battle power a bit since we were on Earth, haven't you?\But you're still not at the level where you can fight me on even terms, are you?\What will it be? Would you be inclined to hand over that Dragon Ball to me nicely?\I- I doubt it will do any good to make any agreements with you,\but if I hand this over, do you promise to leave here without any trouble? response:	A promise, huh? Well, all right.
context: Now then...\I don't know how you did it,\but you've raised your battle power a bit since we were on Earth, haven't you?\But you're still not at the level where you can fight me on even terms, are you?\What will it be? Would you be inclined to hand over that Dragon Ball to me nicely?\I- I doubt it will do any good to make any agreements with you,\but if I hand this over, do you promise to leave here without any trouble?\A promise, huh? Well, all right. response:	As long as I have the Dragon Ball,
context: I don't know how you did it,\but you've raised your battle power a bit since we were on Earth, haven't you?\But you're still not at the level where you can fight me on even terms, are you?\What will it be? Would you be inclined to hand over that Dragon Ball to me nicely?\I- I doubt it will do any good to make any agreements with you,\but if I hand this over, do you promise to leave here without any trouble?\A promise, huh? Well, all right.\As long as I have the Dragon Ball, response:	there's no sense in playing around with you, small fry.
context: but you've raised your battle power a bit since we were on Earth, haven't you?\But you're still not at the level where you can fight me on even terms, are you?\What will it be? Would you be inclined to hand over that Dragon Ball to me nicely?\I- I doubt it will do any good to make any agreements with you,\but if I hand this over, do you promise to leave here without any trouble?\A promise, huh? Well, all right.\As long as I have the Dragon Ball,\there's no sense in playing around with you, small fry. response:	Y- you mean it?
context: But you're still not at the level where you can fight me on even terms, are you?\What will it be? Would you be inclined to hand over that Dragon Ball to me nicely?\I- I doubt it will do any good to make any agreements with you,\but if I hand this over, do you promise to leave here without any trouble?\A promise, huh? Well, all right.\As long as I have the Dragon Ball,\there's no sense in playing around with you, small fry.\Y- you mean it? response:	What a pest. If that's how badly you want to live,
context: What will it be? Would you be inclined to hand over that Dragon Ball to me nicely?\I- I doubt it will do any good to make any agreements with you,\but if I hand this over, do you promise to leave here without any trouble?\A promise, huh? Well, all right.\As long as I have the Dragon Ball,\there's no sense in playing around with you, small fry.\Y- you mean it?\What a pest. If that's how badly you want to live, response:	then hand it over before I change my mind.
context: I- I doubt it will do any good to make any agreements with you,\but if I hand this over, do you promise to leave here without any trouble?\A promise, huh? Well, all right.\As long as I have the Dragon Ball,\there's no sense in playing around with you, small fry.\Y- you mean it?\What a pest. If that's how badly you want to live,\then hand it over before I change my mind. response:	K- Kuririn...
context: but if I hand this over, do you promise to leave here without any trouble?\A promise, huh? Well, all right.\As long as I have the Dragon Ball,\there's no sense in playing around with you, small fry.\Y- you mean it?\What a pest. If that's how badly you want to live,\then hand it over before I change my mind.\K- Kuririn... response:	You guys are lucky.
context: A promise, huh? Well, all right.\As long as I have the Dragon Ball,\there's no sense in playing around with you, small fry.\Y- you mean it?\What a pest. If that's how badly you want to live,\then hand it over before I change my mind.\K- Kuririn...\You guys are lucky. response:	I'm in a good mood, since I have now found all of the Dragon Balls.
context: As long as I have the Dragon Ball,\there's no sense in playing around with you, small fry.\Y- you mean it?\What a pest. If that's how badly you want to live,\then hand it over before I change my mind.\K- Kuririn...\You guys are lucky.\I'm in a good mood, since I have now found all of the Dragon Balls. response:	Now I can attain eternal life,
context: there's no sense in playing around with you, small fry.\Y- you mean it?\What a pest. If that's how badly you want to live,\then hand it over before I change my mind.\K- Kuririn...\You guys are lucky.\I'm in a good mood, since I have now found all of the Dragon Balls.\Now I can attain eternal life, response:	which will allow me to rule the entire universe, instead of Freeza!
context: Y- you mean it?\What a pest. If that's how badly you want to live,\then hand it over before I change my mind.\K- Kuririn...\You guys are lucky.\I'm in a good mood, since I have now found all of the Dragon Balls.\Now I can attain eternal life,\which will allow me to rule the entire universe, instead of Freeza! response:	W - we're not about to let Vegeta get all seven of them!
context: What a pest. If that's how badly you want to live,\then hand it over before I change my mind.\K- Kuririn...\You guys are lucky.\I'm in a good mood, since I have now found all of the Dragon Balls.\Now I can attain eternal life,\which will allow me to rule the entire universe, instead of Freeza!\W - we're not about to let Vegeta get all seven of them! response:	C - come on, Gohan!
context: then hand it over before I change my mind.\K- Kuririn...\You guys are lucky.\I'm in a good mood, since I have now found all of the Dragon Balls.\Now I can attain eternal life,\which will allow me to rule the entire universe, instead of Freeza!\W - we're not about to let Vegeta get all seven of them!\C - come on, Gohan! response:	At length, six of the Dragon Balls had fallen into Vegeta's hands.
context: K- Kuririn...\You guys are lucky.\I'm in a good mood, since I have now found all of the Dragon Balls.\Now I can attain eternal life,\which will allow me to rule the entire universe, instead of Freeza!\W - we're not about to let Vegeta get all seven of them!\C - come on, Gohan!\At length, six of the Dragon Balls had fallen into Vegeta's hands. response:	All that remained was the Si Xing Qiu Ball being held by Gohan.
context: You guys are lucky.\I'm in a good mood, since I have now found all of the Dragon Balls.\Now I can attain eternal life,\which will allow me to rule the entire universe, instead of Freeza!\W - we're not about to let Vegeta get all seven of them!\C - come on, Gohan!\At length, six of the Dragon Balls had fallen into Vegeta's hands.\All that remained was the Si Xing Qiu Ball being held by Gohan. response:	Will Gohan be able to protect it?
