context: So, what do you want? response:	I have two questions for you.
context: Of course.\It was the first time you've ever missed practice.\It'd be one thing if Nagisa missed...\Hey, what's that supposed to mean?!\Sorry, okay?\Oh, these are incredible. Are they from middle school?\Yes, but that's all in the past.\But now he has all these swimming books! response:	You're right!
context: It was the first time you've ever missed practice.\It'd be one thing if Nagisa missed...\Hey, what's that supposed to mean?!\Sorry, okay?\Oh, these are incredible. Are they from middle school?\Yes, but that's all in the past.\But now he has all these swimming books!\You're right! response:	You've read all of these books?
context: It'd be one thing if Nagisa missed...\Hey, what's that supposed to mean?!\Sorry, okay?\Oh, these are incredible. Are they from middle school?\Yes, but that's all in the past.\But now he has all these swimming books!\You're right!\You've read all of these books? response:	Oh, yes.
context: Hey, what's that supposed to mean?!\Sorry, okay?\Oh, these are incredible. Are they from middle school?\Yes, but that's all in the past.\But now he has all these swimming books!\You're right!\You've read all of these books?\Oh, yes. response:	I've got all the theories down.
context: Sorry, okay?\Oh, these are incredible. Are they from middle school?\Yes, but that's all in the past.\But now he has all these swimming books!\You're right!\You've read all of these books?\Oh, yes.\I've got all the theories down. response:	You're not supposed to say that, Rei-chan.
context: Oh, these are incredible. Are they from middle school?\Yes, but that's all in the past.\But now he has all these swimming books!\You're right!\You've read all of these books?\Oh, yes.\I've got all the theories down.\You're not supposed to say that, Rei-chan. response:	You'll set yourself up to fail!
context: Yes, but that's all in the past.\But now he has all these swimming books!\You're right!\You've read all of these books?\Oh, yes.\I've got all the theories down.\You're not supposed to say that, Rei-chan.\You'll set yourself up to fail! response:	Why would you say that?
context: But now he has all these swimming books!\You're right!\You've read all of these books?\Oh, yes.\I've got all the theories down.\You're not supposed to say that, Rei-chan.\You'll set yourself up to fail!\Why would you say that? response:	Rei, did you really go see Rin?
context: You're right!\You've read all of these books?\Oh, yes.\I've got all the theories down.\You're not supposed to say that, Rei-chan.\You'll set yourself up to fail!\Why would you say that?\Rei, did you really go see Rin? response:	I told them everything.
context: You've read all of these books?\Oh, yes.\I've got all the theories down.\You're not supposed to say that, Rei-chan.\You'll set yourself up to fail!\Why would you say that?\Rei, did you really go see Rin?\I told them everything. response:	Sorry, Rei-chan.
context: Oh, yes.\I've got all the theories down.\You're not supposed to say that, Rei-chan.\You'll set yourself up to fail!\Why would you say that?\Rei, did you really go see Rin?\I told them everything.\Sorry, Rei-chan. response:	It's okay.
context: I've got all the theories down.\You're not supposed to say that, Rei-chan.\You'll set yourself up to fail!\Why would you say that?\Rei, did you really go see Rin?\I told them everything.\Sorry, Rei-chan.\It's okay. response:	Yes, I did.
context: You're not supposed to say that, Rei-chan.\You'll set yourself up to fail!\Why would you say that?\Rei, did you really go see Rin?\I told them everything.\Sorry, Rei-chan.\It's okay.\Yes, I did. response:	Was it because I told you about our past?
context: You'll set yourself up to fail!\Why would you say that?\Rei, did you really go see Rin?\I told them everything.\Sorry, Rei-chan.\It's okay.\Yes, I did.\Was it because I told you about our past? response:	No, I had my own reasons for wanting to meet Rin-san.
context: Why would you say that?\Rei, did you really go see Rin?\I told them everything.\Sorry, Rei-chan.\It's okay.\Yes, I did.\Was it because I told you about our past?\No, I had my own reasons for wanting to meet Rin-san. response:	But it's okay now.
context: Rei, did you really go see Rin?\I told them everything.\Sorry, Rei-chan.\It's okay.\Yes, I did.\Was it because I told you about our past?\No, I had my own reasons for wanting to meet Rin-san.\But it's okay now. response:	I'm done worrying about him.
context: I told them everything.\Sorry, Rei-chan.\It's okay.\Yes, I did.\Was it because I told you about our past?\No, I had my own reasons for wanting to meet Rin-san.\But it's okay now.\I'm done worrying about him. response:	It's not my problem.
context: Sorry, Rei-chan.\It's okay.\Yes, I did.\Was it because I told you about our past?\No, I had my own reasons for wanting to meet Rin-san.\But it's okay now.\I'm done worrying about him.\It's not my problem. response:	Okay, then.
context: It's okay.\Yes, I did.\Was it because I told you about our past?\No, I had my own reasons for wanting to meet Rin-san.\But it's okay now.\I'm done worrying about him.\It's not my problem.\Okay, then. response:	The four of us are a team now, Rei.
context: Yes, I did.\Was it because I told you about our past?\No, I had my own reasons for wanting to meet Rin-san.\But it's okay now.\I'm done worrying about him.\It's not my problem.\Okay, then.\The four of us are a team now, Rei. response:	Haruka-senpai...
context: Was it because I told you about our past?\No, I had my own reasons for wanting to meet Rin-san.\But it's okay now.\I'm done worrying about him.\It's not my problem.\Okay, then.\The four of us are a team now, Rei.\Haruka-senpai... response:	Yep, we need you to contribute to the team.
context: No, I had my own reasons for wanting to meet Rin-san.\But it's okay now.\I'm done worrying about him.\It's not my problem.\Okay, then.\The four of us are a team now, Rei.\Haruka-senpai...\Yep, we need you to contribute to the team. response:	That's right!
context: But it's okay now.\I'm done worrying about him.\It's not my problem.\Okay, then.\The four of us are a team now, Rei.\Haruka-senpai...\Yep, we need you to contribute to the team.\That's right! response:	Every member is irreplaceable, Rei-chan!
context: I'm done worrying about him.\It's not my problem.\Okay, then.\The four of us are a team now, Rei.\Haruka-senpai...\Yep, we need you to contribute to the team.\That's right!\Every member is irreplaceable, Rei-chan! response:	Yes!
context: It's not my problem.\Okay, then.\The four of us are a team now, Rei.\Haruka-senpai...\Yep, we need you to contribute to the team.\That's right!\Every member is irreplaceable, Rei-chan!\Yes! response:	Let's take a break then!
context: Okay, then.\The four of us are a team now, Rei.\Haruka-senpai...\Yep, we need you to contribute to the team.\That's right!\Every member is irreplaceable, Rei-chan!\Yes!\Let's take a break then! response:	Melon Bread
context: The four of us are a team now, Rei.\Haruka-senpai...\Yep, we need you to contribute to the team.\That's right!\Every member is irreplaceable, Rei-chan!\Yes!\Let's take a break then!\Melon Bread response:	Why did you bring melon bread as a gift?
context: Haruka-senpai...\Yep, we need you to contribute to the team.\That's right!\Every member is irreplaceable, Rei-chan!\Yes!\Let's take a break then!\Melon Bread\Why did you bring melon bread as a gift? response:	Because an actual melon would be too expensive.
context: Yep, we need you to contribute to the team.\That's right!\Every member is irreplaceable, Rei-chan!\Yes!\Let's take a break then!\Melon Bread\Why did you bring melon bread as a gift?\Because an actual melon would be too expensive. response:	This is really good though.
context: That's right!\Every member is irreplaceable, Rei-chan!\Yes!\Let's take a break then!\Melon Bread\Why did you bring melon bread as a gift?\Because an actual melon would be too expensive.\This is really good though. response:	Here, Haru-chan.
context: Every member is irreplaceable, Rei-chan!\Yes!\Let's take a break then!\Melon Bread\Why did you bring melon bread as a gift?\Because an actual melon would be too expensive.\This is really good though.\Here, Haru-chan. response:	Open wide.
context: Yes!\Let's take a break then!\Melon Bread\Why did you bring melon bread as a gift?\Because an actual melon would be too expensive.\This is really good though.\Here, Haru-chan.\Open wide. response:	No, it's okay...
context: Let's take a break then!\Melon Bread\Why did you bring melon bread as a gift?\Because an actual melon would be too expensive.\This is really good though.\Here, Haru-chan.\Open wide.\No, it's okay... response:	Well? Isn't it good?
context: Melon Bread\Why did you bring melon bread as a gift?\Because an actual melon would be too expensive.\This is really good though.\Here, Haru-chan.\Open wide.\No, it's okay...\Well? Isn't it good? response:	Losing moisture...
context: Why did you bring melon bread as a gift?\Because an actual melon would be too expensive.\This is really good though.\Here, Haru-chan.\Open wide.\No, it's okay...\Well? Isn't it good?\Losing moisture... response:	Are you okay, Haru?!
context: Because an actual melon would be too expensive.\This is really good though.\Here, Haru-chan.\Open wide.\No, it's okay...\Well? Isn't it good?\Losing moisture...\Are you okay, Haru?! response:	Hey, Rei!
context: This is really good though.\Here, Haru-chan.\Open wide.\No, it's okay...\Well? Isn't it good?\Losing moisture...\Are you okay, Haru?!\Hey, Rei! response:	Bring something to drink! Quick!
context: Here, Haru-chan.\Open wide.\No, it's okay...\Well? Isn't it good?\Losing moisture...\Are you okay, Haru?!\Hey, Rei!\Bring something to drink! Quick! response:	Yes, I'll be right back!
context: Open wide.\No, it's okay...\Well? Isn't it good?\Losing moisture...\Are you okay, Haru?!\Hey, Rei!\Bring something to drink! Quick!\Yes, I'll be right back! response:	Haru-chan?
context: No, it's okay...\Well? Isn't it good?\Losing moisture...\Are you okay, Haru?!\Hey, Rei!\Bring something to drink! Quick!\Yes, I'll be right back!\Haru-chan? response:	Haru!
context: Well? Isn't it good?\Losing moisture...\Are you okay, Haru?!\Hey, Rei!\Bring something to drink! Quick!\Yes, I'll be right back!\Haru-chan?\Haru! response:	The drink that goes best with melon bread is...
context: Losing moisture...\Are you okay, Haru?!\Hey, Rei!\Bring something to drink! Quick!\Yes, I'll be right back!\Haru-chan?\Haru!\The drink that goes best with melon bread is... response:	Barley tea.
context: Are you okay, Haru?!\Hey, Rei!\Bring something to drink! Quick!\Yes, I'll be right back!\Haru-chan?\Haru!\The drink that goes best with melon bread is...\Barley tea. response:	The Ryugazaki family has been
context: Hey, Rei!\Bring something to drink! Quick!\Yes, I'll be right back!\Haru-chan?\Haru!\The drink that goes best with melon bread is...\Barley tea.\The Ryugazaki family has been response:	pairing melon bread with barley tea since my grandfather's time.
context: Bring something to drink! Quick!\Yes, I'll be right back!\Haru-chan?\Haru!\The drink that goes best with melon bread is...\Barley tea.\The Ryugazaki family has been\pairing melon bread with barley tea since my grandfather's time. response:	Just bring him something to drink!
context: Yes, I'll be right back!\Haru-chan?\Haru!\The drink that goes best with melon bread is...\Barley tea.\The Ryugazaki family has been\pairing melon bread with barley tea since my grandfather's time.\Just bring him something to drink! response:	Water...
context: Haru-chan?\Haru!\The drink that goes best with melon bread is...\Barley tea.\The Ryugazaki family has been\pairing melon bread with barley tea since my grandfather's time.\Just bring him something to drink!\Water... response:	Is Haru-chan okay?
context: Haru!\The drink that goes best with melon bread is...\Barley tea.\The Ryugazaki family has been\pairing melon bread with barley tea since my grandfather's time.\Just bring him something to drink!\Water...\Is Haru-chan okay? response:	How can you be so calm?!
context: The drink that goes best with melon bread is...\Barley tea.\The Ryugazaki family has been\pairing melon bread with barley tea since my grandfather's time.\Just bring him something to drink!\Water...\Is Haru-chan okay?\How can you be so calm?! response:	Haru! Hurry up, Rei!
context: Barley tea.\The Ryugazaki family has been\pairing melon bread with barley tea since my grandfather's time.\Just bring him something to drink!\Water...\Is Haru-chan okay?\How can you be so calm?!\Haru! Hurry up, Rei! response:	Oh, sorry!
context: The Ryugazaki family has been\pairing melon bread with barley tea since my grandfather's time.\Just bring him something to drink!\Water...\Is Haru-chan okay?\How can you be so calm?!\Haru! Hurry up, Rei!\Oh, sorry! response:	The Power of Teamwork
context: pairing melon bread with barley tea since my grandfather's time.\Just bring him something to drink!\Water...\Is Haru-chan okay?\How can you be so calm?!\Haru! Hurry up, Rei!\Oh, sorry!\The Power of Teamwork response:	Haruka-senpai, I'm coming to help!
context: Just bring him something to drink!\Water...\Is Haru-chan okay?\How can you be so calm?!\Haru! Hurry up, Rei!\Oh, sorry!\The Power of Teamwork\Haruka-senpai, I'm coming to help! response:	Don't die, Haru!
context: Water...\Is Haru-chan okay?\How can you be so calm?!\Haru! Hurry up, Rei!\Oh, sorry!\The Power of Teamwork\Haruka-senpai, I'm coming to help!\Don't die, Haru! response:	I want us to become the best team at a tournament.
context: Is Haru-chan okay?\How can you be so calm?!\Haru! Hurry up, Rei!\Oh, sorry!\The Power of Teamwork\Haruka-senpai, I'm coming to help!\Don't die, Haru!\I want us to become the best team at a tournament. response:	I want to swim with them as a member of that team.
context: How can you be so calm?!\Haru! Hurry up, Rei!\Oh, sorry!\The Power of Teamwork\Haruka-senpai, I'm coming to help!\Don't die, Haru!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team. response:	That's all I want.
context: Haru! Hurry up, Rei!\Oh, sorry!\The Power of Teamwork\Haruka-senpai, I'm coming to help!\Don't die, Haru!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want. response:	I hope that we can also become a great team!
context: Oh, sorry!\The Power of Teamwork\Haruka-senpai, I'm coming to help!\Don't die, Haru!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want.\I hope that we can also become a great team! response:	Matsuoka-senpai seems really off today.
context: The Power of Teamwork\Haruka-senpai, I'm coming to help!\Don't die, Haru!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want.\I hope that we can also become a great team!\Matsuoka-senpai seems really off today. response:	Did he say anything to you, Nitori?
context: Haruka-senpai, I'm coming to help!\Don't die, Haru!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want.\I hope that we can also become a great team!\Matsuoka-senpai seems really off today.\Did he say anything to you, Nitori? response:	No, he never tells me anything.
context: Don't die, Haru!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want.\I hope that we can also become a great team!\Matsuoka-senpai seems really off today.\Did he say anything to you, Nitori?\No, he never tells me anything. response:	But I'm sure there's nothing to worry about!
context: I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want.\I hope that we can also become a great team!\Matsuoka-senpai seems really off today.\Did he say anything to you, Nitori?\No, he never tells me anything.\But I'm sure there's nothing to worry about! response:	I'm sure he went through much tougher experiences while he was abroad.
context: I want to swim with them as a member of that team.\That's all I want.\I hope that we can also become a great team!\Matsuoka-senpai seems really off today.\Did he say anything to you, Nitori?\No, he never tells me anything.\But I'm sure there's nothing to worry about!\I'm sure he went through much tougher experiences while he was abroad. response:	Matsuoka didn't join the swim team when he first
context: That's all I want.\I hope that we can also become a great team!\Matsuoka-senpai seems really off today.\Did he say anything to you, Nitori?\No, he never tells me anything.\But I'm sure there's nothing to worry about!\I'm sure he went through much tougher experiences while he was abroad.\Matsuoka didn't join the swim team when he first response:	transferred here from Australia.
context: I hope that we can also become a great team!\Matsuoka-senpai seems really off today.\Did he say anything to you, Nitori?\No, he never tells me anything.\But I'm sure there's nothing to worry about!\I'm sure he went through much tougher experiences while he was abroad.\Matsuoka didn't join the swim team when he first\transferred here from Australia. response:	Do you know why?
context: Matsuoka-senpai seems really off today.\Did he say anything to you, Nitori?\No, he never tells me anything.\But I'm sure there's nothing to worry about!\I'm sure he went through much tougher experiences while he was abroad.\Matsuoka didn't join the swim team when he first\transferred here from Australia.\Do you know why? response:	No, did something happen?
context: Did he say anything to you, Nitori?\No, he never tells me anything.\But I'm sure there's nothing to worry about!\I'm sure he went through much tougher experiences while he was abroad.\Matsuoka didn't join the swim team when he first\transferred here from Australia.\Do you know why?\No, did something happen? response:	Well, the past doesn't matter.
context: No, he never tells me anything.\But I'm sure there's nothing to worry about!\I'm sure he went through much tougher experiences while he was abroad.\Matsuoka didn't join the swim team when he first\transferred here from Australia.\Do you know why?\No, did something happen?\Well, the past doesn't matter. response:	It's performance that counts here.
context: But I'm sure there's nothing to worry about!\I'm sure he went through much tougher experiences while he was abroad.\Matsuoka didn't join the swim team when he first\transferred here from Australia.\Do you know why?\No, did something happen?\Well, the past doesn't matter.\It's performance that counts here. response:	The fastest swimmer wins.
context: I'm sure he went through much tougher experiences while he was abroad.\Matsuoka didn't join the swim team when he first\transferred here from Australia.\Do you know why?\No, did something happen?\Well, the past doesn't matter.\It's performance that counts here.\The fastest swimmer wins. response:	It's that simple.
context: Matsuoka didn't join the swim team when he first\transferred here from Australia.\Do you know why?\No, did something happen?\Well, the past doesn't matter.\It's performance that counts here.\The fastest swimmer wins.\It's that simple. response:	Gou!
context: transferred here from Australia.\Do you know why?\No, did something happen?\Well, the past doesn't matter.\It's performance that counts here.\The fastest swimmer wins.\It's that simple.\Gou! response:	I'll give you a hand.
context: Do you know why?\No, did something happen?\Well, the past doesn't matter.\It's performance that counts here.\The fastest swimmer wins.\It's that simple.\Gou!\I'll give you a hand. response:	Thanks!
context: No, did something happen?\Well, the past doesn't matter.\It's performance that counts here.\The fastest swimmer wins.\It's that simple.\Gou!\I'll give you a hand.\Thanks! response:	Oh, some of my friends want to go cheer at regionals!
context: Well, the past doesn't matter.\It's performance that counts here.\The fastest swimmer wins.\It's that simple.\Gou!\I'll give you a hand.\Thanks!\Oh, some of my friends want to go cheer at regionals! response:	Huh? Why are they suddenly so interested?
context: It's performance that counts here.\The fastest swimmer wins.\It's that simple.\Gou!\I'll give you a hand.\Thanks!\Oh, some of my friends want to go cheer at regionals!\Huh? Why are they suddenly so interested? response:	Because you made it past prefecturals!
context: The fastest swimmer wins.\It's that simple.\Gou!\I'll give you a hand.\Thanks!\Oh, some of my friends want to go cheer at regionals!\Huh? Why are they suddenly so interested?\Because you made it past prefecturals! response:	That's amazing!
context: It's that simple.\Gou!\I'll give you a hand.\Thanks!\Oh, some of my friends want to go cheer at regionals!\Huh? Why are they suddenly so interested?\Because you made it past prefecturals!\That's amazing! response:	A brand new swim club in regionals!
context: Gou!\I'll give you a hand.\Thanks!\Oh, some of my friends want to go cheer at regionals!\Huh? Why are they suddenly so interested?\Because you made it past prefecturals!\That's amazing!\A brand new swim club in regionals! response:	Okay, boys!
context: I'll give you a hand.\Thanks!\Oh, some of my friends want to go cheer at regionals!\Huh? Why are they suddenly so interested?\Because you made it past prefecturals!\That's amazing!\A brand new swim club in regionals!\Okay, boys! response:	Get pumped!
context: Thanks!\Oh, some of my friends want to go cheer at regionals!\Huh? Why are they suddenly so interested?\Because you made it past prefecturals!\That's amazing!\A brand new swim club in regionals!\Okay, boys!\Get pumped! response:	Rei, come on.
context: Oh, some of my friends want to go cheer at regionals!\Huh? Why are they suddenly so interested?\Because you made it past prefecturals!\That's amazing!\A brand new swim club in regionals!\Okay, boys!\Get pumped!\Rei, come on. response:	Let's practice our exchange.
context: Huh? Why are they suddenly so interested?\Because you made it past prefecturals!\That's amazing!\A brand new swim club in regionals!\Okay, boys!\Get pumped!\Rei, come on.\Let's practice our exchange. response:	Yes!
context: Because you made it past prefecturals!\That's amazing!\A brand new swim club in regionals!\Okay, boys!\Get pumped!\Rei, come on.\Let's practice our exchange.\Yes! response:	All right!
context: That's amazing!\A brand new swim club in regionals!\Okay, boys!\Get pumped!\Rei, come on.\Let's practice our exchange.\Yes!\All right! response:	Keep it going!
context: A brand new swim club in regionals!\Okay, boys!\Get pumped!\Rei, come on.\Let's practice our exchange.\Yes!\All right!\Keep it going! response:	Okay, I've taught you everything I can!
context: Okay, boys!\Get pumped!\Rei, come on.\Let's practice our exchange.\Yes!\All right!\Keep it going!\Okay, I've taught you everything I can! response:	Fire it up!! Iwatobi Swim Club Persevere
context: Get pumped!\Rei, come on.\Let's practice our exchange.\Yes!\All right!\Keep it going!\Okay, I've taught you everything I can!\Fire it up!! Iwatobi Swim Club Persevere response:	All that's left is for you to perform your best!
context: Rei, come on.\Let's practice our exchange.\Yes!\All right!\Keep it going!\Okay, I've taught you everything I can!\Fire it up!! Iwatobi Swim Club Persevere\All that's left is for you to perform your best! response:	Fire!
context: Let's practice our exchange.\Yes!\All right!\Keep it going!\Okay, I've taught you everything I can!\Fire it up!! Iwatobi Swim Club Persevere\All that's left is for you to perform your best!\Fire! response:	That banner is really embarrassing.
context: Yes!\All right!\Keep it going!\Okay, I've taught you everything I can!\Fire it up!! Iwatobi Swim Club Persevere\All that's left is for you to perform your best!\Fire!\That banner is really embarrassing. response:	That drawing...
context: All right!\Keep it going!\Okay, I've taught you everything I can!\Fire it up!! Iwatobi Swim Club Persevere\All that's left is for you to perform your best!\Fire!\That banner is really embarrassing.\That drawing... response:	Oh! It's the one Haru-chan drew!
context: Keep it going!\Okay, I've taught you everything I can!\Fire it up!! Iwatobi Swim Club Persevere\All that's left is for you to perform your best!\Fire!\That banner is really embarrassing.\That drawing...\Oh! It's the one Haru-chan drew! response:	I didn't think it'd be used for this.
context: Okay, I've taught you everything I can!\Fire it up!! Iwatobi Swim Club Persevere\All that's left is for you to perform your best!\Fire!\That banner is really embarrassing.\That drawing...\Oh! It's the one Haru-chan drew!\I didn't think it'd be used for this. response:	Iwatobi Station
context: Fire it up!! Iwatobi Swim Club Persevere\All that's left is for you to perform your best!\Fire!\That banner is really embarrassing.\That drawing...\Oh! It's the one Haru-chan drew!\I didn't think it'd be used for this.\Iwatobi Station response:	Well, we'll head up there tomorrow morning.
context: All that's left is for you to perform your best!\Fire!\That banner is really embarrassing.\That drawing...\Oh! It's the one Haru-chan drew!\I didn't think it'd be used for this.\Iwatobi Station\Well, we'll head up there tomorrow morning. response:	Get plenty of rest at the hotel near the venue.
context: Fire!\That banner is really embarrassing.\That drawing...\Oh! It's the one Haru-chan drew!\I didn't think it'd be used for this.\Iwatobi Station\Well, we'll head up there tomorrow morning.\Get plenty of rest at the hotel near the venue. response:	The Roman general Caesar said it best.
context: That banner is really embarrassing.\That drawing...\Oh! It's the one Haru-chan drew!\I didn't think it'd be used for this.\Iwatobi Station\Well, we'll head up there tomorrow morning.\Get plenty of rest at the hotel near the venue.\The Roman general Caesar said it best. response:	If we cross, we will wreak tragedy upon the world. If we do not...
context: That drawing...\Oh! It's the one Haru-chan drew!\I didn't think it'd be used for this.\Iwatobi Station\Well, we'll head up there tomorrow morning.\Get plenty of rest at the hotel near the venue.\The Roman general Caesar said it best.\If we cross, we will wreak tragedy upon the world. If we do not... response:	Oh, it's the bus.
context: Oh! It's the one Haru-chan drew!\I didn't think it'd be used for this.\Iwatobi Station\Well, we'll head up there tomorrow morning.\Get plenty of rest at the hotel near the venue.\The Roman general Caesar said it best.\If we cross, we will wreak tragedy upon the world. If we do not...\Oh, it's the bus. response:	Well...
context: I didn't think it'd be used for this.\Iwatobi Station\Well, we'll head up there tomorrow morning.\Get plenty of rest at the hotel near the venue.\The Roman general Caesar said it best.\If we cross, we will wreak tragedy upon the world. If we do not...\Oh, it's the bus.\Well... response:	We're off!
context: Iwatobi Station\Well, we'll head up there tomorrow morning.\Get plenty of rest at the hotel near the venue.\The Roman general Caesar said it best.\If we cross, we will wreak tragedy upon the world. If we do not...\Oh, it's the bus.\Well...\We're off! response:	From: Matsuoka Gou Subject: Big Brother Best of luck to both sides! Let's go to nationals!
context: Well, we'll head up there tomorrow morning.\Get plenty of rest at the hotel near the venue.\The Roman general Caesar said it best.\If we cross, we will wreak tragedy upon the world. If we do not...\Oh, it's the bus.\Well...\We're off!\From: Matsuoka Gou Subject: Big Brother Best of luck to both sides! Let's go to nationals! response:	What is it?
context: Get plenty of rest at the hotel near the venue.\The Roman general Caesar said it best.\If we cross, we will wreak tragedy upon the world. If we do not...\Oh, it's the bus.\Well...\We're off!\From: Matsuoka Gou Subject: Big Brother Best of luck to both sides! Let's go to nationals!\What is it? response:	Nothing.
context: The Roman general Caesar said it best.\If we cross, we will wreak tragedy upon the world. If we do not...\Oh, it's the bus.\Well...\We're off!\From: Matsuoka Gou Subject: Big Brother Best of luck to both sides! Let's go to nationals!\What is it?\Nothing. response:	Man, we're all by ourselves in this hotel.
context: If we cross, we will wreak tragedy upon the world. If we do not...\Oh, it's the bus.\Well...\We're off!\From: Matsuoka Gou Subject: Big Brother Best of luck to both sides! Let's go to nationals!\What is it?\Nothing.\Man, we're all by ourselves in this hotel. response:	I'm getting nervous.
context: Oh, it's the bus.\Well...\We're off!\From: Matsuoka Gou Subject: Big Brother Best of luck to both sides! Let's go to nationals!\What is it?\Nothing.\Man, we're all by ourselves in this hotel.\I'm getting nervous. response:	Yeah...
context: Well...\We're off!\From: Matsuoka Gou Subject: Big Brother Best of luck to both sides! Let's go to nationals!\What is it?\Nothing.\Man, we're all by ourselves in this hotel.\I'm getting nervous.\Yeah... response:	Haru-chan! Mako-chan!
context: We're off!\From: Matsuoka Gou Subject: Big Brother Best of luck to both sides! Let's go to nationals!\What is it?\Nothing.\Man, we're all by ourselves in this hotel.\I'm getting nervous.\Yeah...\Haru-chan! Mako-chan! response:	Ready to go?
context: From: Matsuoka Gou Subject: Big Brother Best of luck to both sides! Let's go to nationals!\What is it?\Nothing.\Man, we're all by ourselves in this hotel.\I'm getting nervous.\Yeah...\Haru-chan! Mako-chan!\Ready to go? response:	What do you want for dinner?
context: What is it?\Nothing.\Man, we're all by ourselves in this hotel.\I'm getting nervous.\Yeah...\Haru-chan! Mako-chan!\Ready to go?\What do you want for dinner? response:	There's only one thing to eat before a tournament.
context: Nothing.\Man, we're all by ourselves in this hotel.\I'm getting nervous.\Yeah...\Haru-chan! Mako-chan!\Ready to go?\What do you want for dinner?\There's only one thing to eat before a tournament. response:	Traditional Meal Specials
context: Man, we're all by ourselves in this hotel.\I'm getting nervous.\Yeah...\Haru-chan! Mako-chan!\Ready to go?\What do you want for dinner?\There's only one thing to eat before a tournament.\Traditional Meal Specials response:	Pork cutlet bowl!
context: I'm getting nervous.\Yeah...\Haru-chan! Mako-chan!\Ready to go?\What do you want for dinner?\There's only one thing to eat before a tournament.\Traditional Meal Specials\Pork cutlet bowl! response:	I think I'll go with tenderloin cutlets.
context: Yeah...\Haru-chan! Mako-chan!\Ready to go?\What do you want for dinner?\There's only one thing to eat before a tournament.\Traditional Meal Specials\Pork cutlet bowl!\I think I'll go with tenderloin cutlets. response:	Me too!
context: Haru-chan! Mako-chan!\Ready to go?\What do you want for dinner?\There's only one thing to eat before a tournament.\Traditional Meal Specials\Pork cutlet bowl!\I think I'll go with tenderloin cutlets.\Me too! response:	Two tenderloin cutlets!
context: Ready to go?\What do you want for dinner?\There's only one thing to eat before a tournament.\Traditional Meal Specials\Pork cutlet bowl!\I think I'll go with tenderloin cutlets.\Me too!\Two tenderloin cutlets! response:	Got it, two tenderloin cutlets.
context: What do you want for dinner?\There's only one thing to eat before a tournament.\Traditional Meal Specials\Pork cutlet bowl!\I think I'll go with tenderloin cutlets.\Me too!\Two tenderloin cutlets!\Got it, two tenderloin cutlets. response:	The miso mackerel meal.
context: There's only one thing to eat before a tournament.\Traditional Meal Specials\Pork cutlet bowl!\I think I'll go with tenderloin cutlets.\Me too!\Two tenderloin cutlets!\Got it, two tenderloin cutlets.\The miso mackerel meal. response:	Got it, one mackerel.
context: Traditional Meal Specials\Pork cutlet bowl!\I think I'll go with tenderloin cutlets.\Me too!\Two tenderloin cutlets!\Got it, two tenderloin cutlets.\The miso mackerel meal.\Got it, one mackerel. response:	Saw that coming!
context: Pork cutlet bowl!\I think I'll go with tenderloin cutlets.\Me too!\Two tenderloin cutlets!\Got it, two tenderloin cutlets.\The miso mackerel meal.\Got it, one mackerel.\Saw that coming! response:	I'm thinking the hot pot or pork cutlet bowl with ankake sauce.
context: I think I'll go with tenderloin cutlets.\Me too!\Two tenderloin cutlets!\Got it, two tenderloin cutlets.\The miso mackerel meal.\Got it, one mackerel.\Saw that coming!\I'm thinking the hot pot or pork cutlet bowl with ankake sauce. response:	Hm, or maybe the chilled cutlet udon...
context: Me too!\Two tenderloin cutlets!\Got it, two tenderloin cutlets.\The miso mackerel meal.\Got it, one mackerel.\Saw that coming!\I'm thinking the hot pot or pork cutlet bowl with ankake sauce.\Hm, or maybe the chilled cutlet udon... response:	One hot pot, one ankake, one chilled cutlet udon.
context: Two tenderloin cutlets!\Got it, two tenderloin cutlets.\The miso mackerel meal.\Got it, one mackerel.\Saw that coming!\I'm thinking the hot pot or pork cutlet bowl with ankake sauce.\Hm, or maybe the chilled cutlet udon...\One hot pot, one ankake, one chilled cutlet udon. response:	What?!
context: Got it, two tenderloin cutlets.\The miso mackerel meal.\Got it, one mackerel.\Saw that coming!\I'm thinking the hot pot or pork cutlet bowl with ankake sauce.\Hm, or maybe the chilled cutlet udon...\One hot pot, one ankake, one chilled cutlet udon.\What?! response:	You've got it wrong!
context: The miso mackerel meal.\Got it, one mackerel.\Saw that coming!\I'm thinking the hot pot or pork cutlet bowl with ankake sauce.\Hm, or maybe the chilled cutlet udon...\One hot pot, one ankake, one chilled cutlet udon.\What?!\You've got it wrong! response:	I wasn't placing an order!
context: Got it, one mackerel.\Saw that coming!\I'm thinking the hot pot or pork cutlet bowl with ankake sauce.\Hm, or maybe the chilled cutlet udon...\One hot pot, one ankake, one chilled cutlet udon.\What?!\You've got it wrong!\I wasn't placing an order! response:	That was good!
