context: I think I'll go to the countryside and fish all day. response:	Fish?
context: I see. I've heard about it.\Something about the unofficial existence of a subway.\Due to the turmoil resulting from the emergence of the gate,\every document related to this subway was lost.\It isn't even under surveillance now.\Hey, do we really have to walk?\There's no electricity in here.\On the other hand, the police's observer apparitions can't access it, either. response:	Yin.
context: Something about the unofficial existence of a subway.\Due to the turmoil resulting from the emergence of the gate,\every document related to this subway was lost.\It isn't even under surveillance now.\Hey, do we really have to walk?\There's no electricity in here.\On the other hand, the police's observer apparitions can't access it, either.\Yin. response:	Geez.
context: Due to the turmoil resulting from the emergence of the gate,\every document related to this subway was lost.\It isn't even under surveillance now.\Hey, do we really have to walk?\There's no electricity in here.\On the other hand, the police's observer apparitions can't access it, either.\Yin.\Geez. response:	It's no use. Intelligence or not, they won't let us in.
context: every document related to this subway was lost.\It isn't even under surveillance now.\Hey, do we really have to walk?\There's no electricity in here.\On the other hand, the police's observer apparitions can't access it, either.\Yin.\Geez.\It's no use. Intelligence or not, they won't let us in. response:	I see.
context: It isn't even under surveillance now.\Hey, do we really have to walk?\There's no electricity in here.\On the other hand, the police's observer apparitions can't access it, either.\Yin.\Geez.\It's no use. Intelligence or not, they won't let us in.\I see. response:	Saitou-san, isn't it better if we return to headquarters?
context: Hey, do we really have to walk?\There's no electricity in here.\On the other hand, the police's observer apparitions can't access it, either.\Yin.\Geez.\It's no use. Intelligence or not, they won't let us in.\I see.\Saitou-san, isn't it better if we return to headquarters? response:	It's a contractor-related matter, no matter how you look at it.
context: There's no electricity in here.\On the other hand, the police's observer apparitions can't access it, either.\Yin.\Geez.\It's no use. Intelligence or not, they won't let us in.\I see.\Saitou-san, isn't it better if we return to headquarters?\It's a contractor-related matter, no matter how you look at it. response:	We're to stay here.
context: On the other hand, the police's observer apparitions can't access it, either.\Yin.\Geez.\It's no use. Intelligence or not, they won't let us in.\I see.\Saitou-san, isn't it better if we return to headquarters?\It's a contractor-related matter, no matter how you look at it.\We're to stay here. response:	I just received a call with those instructions.
context: Yin.\Geez.\It's no use. Intelligence or not, they won't let us in.\I see.\Saitou-san, isn't it better if we return to headquarters?\It's a contractor-related matter, no matter how you look at it.\We're to stay here.\I just received a call with those instructions. response:	We've been ordered to stand back.
context: Geez.\It's no use. Intelligence or not, they won't let us in.\I see.\Saitou-san, isn't it better if we return to headquarters?\It's a contractor-related matter, no matter how you look at it.\We're to stay here.\I just received a call with those instructions.\We've been ordered to stand back. response:	If we return to headquarters, we won't be allowed to leave the room.
context: It's no use. Intelligence or not, they won't let us in.\I see.\Saitou-san, isn't it better if we return to headquarters?\It's a contractor-related matter, no matter how you look at it.\We're to stay here.\I just received a call with those instructions.\We've been ordered to stand back.\If we return to headquarters, we won't be allowed to leave the room. response:	What's the meaning of this?
context: I see.\Saitou-san, isn't it better if we return to headquarters?\It's a contractor-related matter, no matter how you look at it.\We're to stay here.\I just received a call with those instructions.\We've been ordered to stand back.\If we return to headquarters, we won't be allowed to leave the room.\What's the meaning of this? response:	How should I know? We received idiotic orders at an important time.
context: Saitou-san, isn't it better if we return to headquarters?\It's a contractor-related matter, no matter how you look at it.\We're to stay here.\I just received a call with those instructions.\We've been ordered to stand back.\If we return to headquarters, we won't be allowed to leave the room.\What's the meaning of this?\How should I know? We received idiotic orders at an important time. response:	What the hell are our superiors thinking?
context: It's a contractor-related matter, no matter how you look at it.\We're to stay here.\I just received a call with those instructions.\We've been ordered to stand back.\If we return to headquarters, we won't be allowed to leave the room.\What's the meaning of this?\How should I know? We received idiotic orders at an important time.\What the hell are our superiors thinking? response:	The stars that are shining and shimmering,
context: We're to stay here.\I just received a call with those instructions.\We've been ordered to stand back.\If we return to headquarters, we won't be allowed to leave the room.\What's the meaning of this?\How should I know? We received idiotic orders at an important time.\What the hell are our superiors thinking?\The stars that are shining and shimmering, response:	glistening between the bands of space,
context: I just received a call with those instructions.\We've been ordered to stand back.\If we return to headquarters, we won't be allowed to leave the room.\What's the meaning of this?\How should I know? We received idiotic orders at an important time.\What the hell are our superiors thinking?\The stars that are shining and shimmering,\glistening between the bands of space, response:	where are you going?
context: We've been ordered to stand back.\If we return to headquarters, we won't be allowed to leave the room.\What's the meaning of this?\How should I know? We received idiotic orders at an important time.\What the hell are our superiors thinking?\The stars that are shining and shimmering,\glistening between the bands of space,\where are you going? response:	A dark hole no one knows about.
context: If we return to headquarters, we won't be allowed to leave the room.\What's the meaning of this?\How should I know? We received idiotic orders at an important time.\What the hell are our superiors thinking?\The stars that are shining and shimmering,\glistening between the bands of space,\where are you going?\A dark hole no one knows about. response:	It looks like it's begun.
context: What's the meaning of this?\How should I know? We received idiotic orders at an important time.\What the hell are our superiors thinking?\The stars that are shining and shimmering,\glistening between the bands of space,\where are you going?\A dark hole no one knows about.\It looks like it's begun. response:	Yes.
context: How should I know? We received idiotic orders at an important time.\What the hell are our superiors thinking?\The stars that are shining and shimmering,\glistening between the bands of space,\where are you going?\A dark hole no one knows about.\It looks like it's begun.\Yes. response:	Everything is going according to schedule.
context: What the hell are our superiors thinking?\The stars that are shining and shimmering,\glistening between the bands of space,\where are you going?\A dark hole no one knows about.\It looks like it's begun.\Yes.\Everything is going according to schedule. response:	Amber...
context: The stars that are shining and shimmering,\glistening between the bands of space,\where are you going?\A dark hole no one knows about.\It looks like it's begun.\Yes.\Everything is going according to schedule.\Amber... response:	Would you like some eggs?
context: glistening between the bands of space,\where are you going?\A dark hole no one knows about.\It looks like it's begun.\Yes.\Everything is going according to schedule.\Amber...\Would you like some eggs? response:	Sure.
context: where are you going?\A dark hole no one knows about.\It looks like it's begun.\Yes.\Everything is going according to schedule.\Amber...\Would you like some eggs?\Sure. response:	This is right beneath the wall, isn't it?
context: A dark hole no one knows about.\It looks like it's begun.\Yes.\Everything is going according to schedule.\Amber...\Would you like some eggs?\Sure.\This is right beneath the wall, isn't it? response:	It doesn't look like we'll be able to pass through easily.
context: It looks like it's begun.\Yes.\Everything is going according to schedule.\Amber...\Would you like some eggs?\Sure.\This is right beneath the wall, isn't it?\It doesn't look like we'll be able to pass through easily. response:	What are you going to do?
context: Yes.\Everything is going according to schedule.\Amber...\Would you like some eggs?\Sure.\This is right beneath the wall, isn't it?\It doesn't look like we'll be able to pass through easily.\What are you going to do? response:	This is what I'll do.
context: Everything is going according to schedule.\Amber...\Would you like some eggs?\Sure.\This is right beneath the wall, isn't it?\It doesn't look like we'll be able to pass through easily.\What are you going to do?\This is what I'll do. response:	What's the meaning of this?
context: Amber...\Would you like some eggs?\Sure.\This is right beneath the wall, isn't it?\It doesn't look like we'll be able to pass through easily.\What are you going to do?\This is what I'll do.\What's the meaning of this? response:	I promised Amber I'd guide you here,
context: Would you like some eggs?\Sure.\This is right beneath the wall, isn't it?\It doesn't look like we'll be able to pass through easily.\What are you going to do?\This is what I'll do.\What's the meaning of this?\I promised Amber I'd guide you here, response:	as long as I was able to do that I could do whatever I wanted after that.
context: Sure.\This is right beneath the wall, isn't it?\It doesn't look like we'll be able to pass through easily.\What are you going to do?\This is what I'll do.\What's the meaning of this?\I promised Amber I'd guide you here,\as long as I was able to do that I could do whatever I wanted after that. response:	I joined Amber just to fight you again.
context: This is right beneath the wall, isn't it?\It doesn't look like we'll be able to pass through easily.\What are you going to do?\This is what I'll do.\What's the meaning of this?\I promised Amber I'd guide you here,\as long as I was able to do that I could do whatever I wanted after that.\I joined Amber just to fight you again. response:	I knew we'd cross paths if I joined the E.P.R.
context: It doesn't look like we'll be able to pass through easily.\What are you going to do?\This is what I'll do.\What's the meaning of this?\I promised Amber I'd guide you here,\as long as I was able to do that I could do whatever I wanted after that.\I joined Amber just to fight you again.\I knew we'd cross paths if I joined the E.P.R. response:	Ever since I received this ability, losing to another contractor was an inconceivable thought.
context: What are you going to do?\This is what I'll do.\What's the meaning of this?\I promised Amber I'd guide you here,\as long as I was able to do that I could do whatever I wanted after that.\I joined Amber just to fight you again.\I knew we'd cross paths if I joined the E.P.R.\Ever since I received this ability, losing to another contractor was an inconceivable thought. response:	Do you understand how humiliated I felt?
context: This is what I'll do.\What's the meaning of this?\I promised Amber I'd guide you here,\as long as I was able to do that I could do whatever I wanted after that.\I joined Amber just to fight you again.\I knew we'd cross paths if I joined the E.P.R.\Ever since I received this ability, losing to another contractor was an inconceivable thought.\Do you understand how humiliated I felt? response:	No.
context: What's the meaning of this?\I promised Amber I'd guide you here,\as long as I was able to do that I could do whatever I wanted after that.\I joined Amber just to fight you again.\I knew we'd cross paths if I joined the E.P.R.\Ever since I received this ability, losing to another contractor was an inconceivable thought.\Do you understand how humiliated I felt?\No. response:	I expected as much.
context: I promised Amber I'd guide you here,\as long as I was able to do that I could do whatever I wanted after that.\I joined Amber just to fight you again.\I knew we'd cross paths if I joined the E.P.R.\Ever since I received this ability, losing to another contractor was an inconceivable thought.\Do you understand how humiliated I felt?\No.\I expected as much. response:	Did he say humiliated? That's an interesting way for a contractor to put it.
context: as long as I was able to do that I could do whatever I wanted after that.\I joined Amber just to fight you again.\I knew we'd cross paths if I joined the E.P.R.\Ever since I received this ability, losing to another contractor was an inconceivable thought.\Do you understand how humiliated I felt?\No.\I expected as much.\Did he say humiliated? That's an interesting way for a contractor to put it. response:	Episode Twenty-Four
context: I joined Amber just to fight you again.\I knew we'd cross paths if I joined the E.P.R.\Ever since I received this ability, losing to another contractor was an inconceivable thought.\Do you understand how humiliated I felt?\No.\I expected as much.\Did he say humiliated? That's an interesting way for a contractor to put it.\Episode Twenty-Four response:	Meteor Shower...
context: I knew we'd cross paths if I joined the E.P.R.\Ever since I received this ability, losing to another contractor was an inconceivable thought.\Do you understand how humiliated I felt?\No.\I expected as much.\Did he say humiliated? That's an interesting way for a contractor to put it.\Episode Twenty-Four\Meteor Shower... response:	Hell's Gate and Heaven's Gate are inverses of each other, making both integral existences.
context: Ever since I received this ability, losing to another contractor was an inconceivable thought.\Do you understand how humiliated I felt?\No.\I expected as much.\Did he say humiliated? That's an interesting way for a contractor to put it.\Episode Twenty-Four\Meteor Shower...\Hell's Gate and Heaven's Gate are inverses of each other, making both integral existences. response:	If you close one, the other will vanish.
context: Do you understand how humiliated I felt?\No.\I expected as much.\Did he say humiliated? That's an interesting way for a contractor to put it.\Episode Twenty-Four\Meteor Shower...\Hell's Gate and Heaven's Gate are inverses of each other, making both integral existences.\If you close one, the other will vanish. response:	What will happen to the contractors once the gate is gone?
context: No.\I expected as much.\Did he say humiliated? That's an interesting way for a contractor to put it.\Episode Twenty-Four\Meteor Shower...\Hell's Gate and Heaven's Gate are inverses of each other, making both integral existences.\If you close one, the other will vanish.\What will happen to the contractors once the gate is gone? response:	They will all melt and disappear,
context: I expected as much.\Did he say humiliated? That's an interesting way for a contractor to put it.\Episode Twenty-Four\Meteor Shower...\Hell's Gate and Heaven's Gate are inverses of each other, making both integral existences.\If you close one, the other will vanish.\What will happen to the contractors once the gate is gone?\They will all melt and disappear, response:	just like this sugar.
context: Did he say humiliated? That's an interesting way for a contractor to put it.\Episode Twenty-Four\Meteor Shower...\Hell's Gate and Heaven's Gate are inverses of each other, making both integral existences.\If you close one, the other will vanish.\What will happen to the contractors once the gate is gone?\They will all melt and disappear,\just like this sugar. response:	It can't be... Is that true?
context: Episode Twenty-Four\Meteor Shower...\Hell's Gate and Heaven's Gate are inverses of each other, making both integral existences.\If you close one, the other will vanish.\What will happen to the contractors once the gate is gone?\They will all melt and disappear,\just like this sugar.\It can't be... Is that true? response:	It is. I've experimented with it myself.
context: Meteor Shower...\Hell's Gate and Heaven's Gate are inverses of each other, making both integral existences.\If you close one, the other will vanish.\What will happen to the contractors once the gate is gone?\They will all melt and disappear,\just like this sugar.\It can't be... Is that true?\It is. I've experimented with it myself. response:	That's outrageous! Who do you think you are?
context: Hell's Gate and Heaven's Gate are inverses of each other, making both integral existences.\If you close one, the other will vanish.\What will happen to the contractors once the gate is gone?\They will all melt and disappear,\just like this sugar.\It can't be... Is that true?\It is. I've experimented with it myself.\That's outrageous! Who do you think you are? response:	They may be contractors, but they're also human beings!
context: If you close one, the other will vanish.\What will happen to the contractors once the gate is gone?\They will all melt and disappear,\just like this sugar.\It can't be... Is that true?\It is. I've experimented with it myself.\That's outrageous! Who do you think you are?\They may be contractors, but they're also human beings! response:	Not all of them are criminals!
context: What will happen to the contractors once the gate is gone?\They will all melt and disappear,\just like this sugar.\It can't be... Is that true?\It is. I've experimented with it myself.\That's outrageous! Who do you think you are?\They may be contractors, but they're also human beings!\Not all of them are criminals! response:	In that case, would it be acceptable to sacrifice millions of people for the sake of several thousand contractors?
context: They will all melt and disappear,\just like this sugar.\It can't be... Is that true?\It is. I've experimented with it myself.\That's outrageous! Who do you think you are?\They may be contractors, but they're also human beings!\Not all of them are criminals!\In that case, would it be acceptable to sacrifice millions of people for the sake of several thousand contractors? response:	It's easy to support humanism,
context: just like this sugar.\It can't be... Is that true?\It is. I've experimented with it myself.\That's outrageous! Who do you think you are?\They may be contractors, but they're also human beings!\Not all of them are criminals!\In that case, would it be acceptable to sacrifice millions of people for the sake of several thousand contractors?\It's easy to support humanism, response:	but to disregard reality and endanger the lives of people
context: It can't be... Is that true?\It is. I've experimented with it myself.\That's outrageous! Who do you think you are?\They may be contractors, but they're also human beings!\Not all of them are criminals!\In that case, would it be acceptable to sacrifice millions of people for the sake of several thousand contractors?\It's easy to support humanism,\but to disregard reality and endanger the lives of people response:	is an unacceptable decision as far as the police is concerned. Don't you agree, Kirihara?
context: It is. I've experimented with it myself.\That's outrageous! Who do you think you are?\They may be contractors, but they're also human beings!\Not all of them are criminals!\In that case, would it be acceptable to sacrifice millions of people for the sake of several thousand contractors?\It's easy to support humanism,\but to disregard reality and endanger the lives of people\is an unacceptable decision as far as the police is concerned. Don't you agree, Kirihara? response:	Manager...
context: That's outrageous! Who do you think you are?\They may be contractors, but they're also human beings!\Not all of them are criminals!\In that case, would it be acceptable to sacrifice millions of people for the sake of several thousand contractors?\It's easy to support humanism,\but to disregard reality and endanger the lives of people\is an unacceptable decision as far as the police is concerned. Don't you agree, Kirihara?\Manager... response:	I apologize for my subordinate's behavior, Mr. Nishijima.
context: They may be contractors, but they're also human beings!\Not all of them are criminals!\In that case, would it be acceptable to sacrifice millions of people for the sake of several thousand contractors?\It's easy to support humanism,\but to disregard reality and endanger the lives of people\is an unacceptable decision as far as the police is concerned. Don't you agree, Kirihara?\Manager...\I apologize for my subordinate's behavior, Mr. Nishijima. response:	No, we had an enjoyable conversation.
context: Not all of them are criminals!\In that case, would it be acceptable to sacrifice millions of people for the sake of several thousand contractors?\It's easy to support humanism,\but to disregard reality and endanger the lives of people\is an unacceptable decision as far as the police is concerned. Don't you agree, Kirihara?\Manager...\I apologize for my subordinate's behavior, Mr. Nishijima.\No, we had an enjoyable conversation. response:	I'll leave the rest to you. I need to make preparations for the final stage.
context: In that case, would it be acceptable to sacrifice millions of people for the sake of several thousand contractors?\It's easy to support humanism,\but to disregard reality and endanger the lives of people\is an unacceptable decision as far as the police is concerned. Don't you agree, Kirihara?\Manager...\I apologize for my subordinate's behavior, Mr. Nishijima.\No, we had an enjoyable conversation.\I'll leave the rest to you. I need to make preparations for the final stage. response:	See you later, young lady.
context: It's easy to support humanism,\but to disregard reality and endanger the lives of people\is an unacceptable decision as far as the police is concerned. Don't you agree, Kirihara?\Manager...\I apologize for my subordinate's behavior, Mr. Nishijima.\No, we had an enjoyable conversation.\I'll leave the rest to you. I need to make preparations for the final stage.\See you later, young lady. response:	The decision to activate the Saturn Ring was a difficult one to make.
context: but to disregard reality and endanger the lives of people\is an unacceptable decision as far as the police is concerned. Don't you agree, Kirihara?\Manager...\I apologize for my subordinate's behavior, Mr. Nishijima.\No, we had an enjoyable conversation.\I'll leave the rest to you. I need to make preparations for the final stage.\See you later, young lady.\The decision to activate the Saturn Ring was a difficult one to make. response:	You were on their side the whole time, weren't you?
context: is an unacceptable decision as far as the police is concerned. Don't you agree, Kirihara?\Manager...\I apologize for my subordinate's behavior, Mr. Nishijima.\No, we had an enjoyable conversation.\I'll leave the rest to you. I need to make preparations for the final stage.\See you later, young lady.\The decision to activate the Saturn Ring was a difficult one to make.\You were on their side the whole time, weren't you? response:	PANDORA is merely a research facility regulated by the United Nations.
context: Manager...\I apologize for my subordinate's behavior, Mr. Nishijima.\No, we had an enjoyable conversation.\I'll leave the rest to you. I need to make preparations for the final stage.\See you later, young lady.\The decision to activate the Saturn Ring was a difficult one to make.\You were on their side the whole time, weren't you?\PANDORA is merely a research facility regulated by the United Nations. response:	They aren't authorized to conduct an operation involving the lives of millions at their own discretion.
context: I apologize for my subordinate's behavior, Mr. Nishijima.\No, we had an enjoyable conversation.\I'll leave the rest to you. I need to make preparations for the final stage.\See you later, young lady.\The decision to activate the Saturn Ring was a difficult one to make.\You were on their side the whole time, weren't you?\PANDORA is merely a research facility regulated by the United Nations.\They aren't authorized to conduct an operation involving the lives of millions at their own discretion. response:	Whatever's taking place here is clearly an abuse of authority, a felony.
context: No, we had an enjoyable conversation.\I'll leave the rest to you. I need to make preparations for the final stage.\See you later, young lady.\The decision to activate the Saturn Ring was a difficult one to make.\You were on their side the whole time, weren't you?\PANDORA is merely a research facility regulated by the United Nations.\They aren't authorized to conduct an operation involving the lives of millions at their own discretion.\Whatever's taking place here is clearly an abuse of authority, a felony. response:	Unless a force of colossal proportions is at work,
context: I'll leave the rest to you. I need to make preparations for the final stage.\See you later, young lady.\The decision to activate the Saturn Ring was a difficult one to make.\You were on their side the whole time, weren't you?\PANDORA is merely a research facility regulated by the United Nations.\They aren't authorized to conduct an operation involving the lives of millions at their own discretion.\Whatever's taking place here is clearly an abuse of authority, a felony.\Unless a force of colossal proportions is at work, response:	one that transcends the framework of a nation,
context: See you later, young lady.\The decision to activate the Saturn Ring was a difficult one to make.\You were on their side the whole time, weren't you?\PANDORA is merely a research facility regulated by the United Nations.\They aren't authorized to conduct an operation involving the lives of millions at their own discretion.\Whatever's taking place here is clearly an abuse of authority, a felony.\Unless a force of colossal proportions is at work,\one that transcends the framework of a nation, response:	a decision of this magnitude couldn't have been kept a secret.
context: The decision to activate the Saturn Ring was a difficult one to make.\You were on their side the whole time, weren't you?\PANDORA is merely a research facility regulated by the United Nations.\They aren't authorized to conduct an operation involving the lives of millions at their own discretion.\Whatever's taking place here is clearly an abuse of authority, a felony.\Unless a force of colossal proportions is at work,\one that transcends the framework of a nation,\a decision of this magnitude couldn't have been kept a secret. response:	November 11 was looking for a syndicate with astronomical power.
context: You were on their side the whole time, weren't you?\PANDORA is merely a research facility regulated by the United Nations.\They aren't authorized to conduct an operation involving the lives of millions at their own discretion.\Whatever's taking place here is clearly an abuse of authority, a felony.\Unless a force of colossal proportions is at work,\one that transcends the framework of a nation,\a decision of this magnitude couldn't have been kept a secret.\November 11 was looking for a syndicate with astronomical power. response:	You may not have realized it,
context: PANDORA is merely a research facility regulated by the United Nations.\They aren't authorized to conduct an operation involving the lives of millions at their own discretion.\Whatever's taking place here is clearly an abuse of authority, a felony.\Unless a force of colossal proportions is at work,\one that transcends the framework of a nation,\a decision of this magnitude couldn't have been kept a secret.\November 11 was looking for a syndicate with astronomical power.\You may not have realized it, response:	but you've been working for the syndicate all along.
context: They aren't authorized to conduct an operation involving the lives of millions at their own discretion.\Whatever's taking place here is clearly an abuse of authority, a felony.\Unless a force of colossal proportions is at work,\one that transcends the framework of a nation,\a decision of this magnitude couldn't have been kept a secret.\November 11 was looking for a syndicate with astronomical power.\You may not have realized it,\but you've been working for the syndicate all along. response:	Me? Absurd!
context: Whatever's taking place here is clearly an abuse of authority, a felony.\Unless a force of colossal proportions is at work,\one that transcends the framework of a nation,\a decision of this magnitude couldn't have been kept a secret.\November 11 was looking for a syndicate with astronomical power.\You may not have realized it,\but you've been working for the syndicate all along.\Me? Absurd! response:	Intelligence agencies, governments, and authorities from all over the world are under the influence of the syndicate
context: Unless a force of colossal proportions is at work,\one that transcends the framework of a nation,\a decision of this magnitude couldn't have been kept a secret.\November 11 was looking for a syndicate with astronomical power.\You may not have realized it,\but you've been working for the syndicate all along.\Me? Absurd!\Intelligence agencies, governments, and authorities from all over the world are under the influence of the syndicate response:	and used to maintain world order.
context: one that transcends the framework of a nation,\a decision of this magnitude couldn't have been kept a secret.\November 11 was looking for a syndicate with astronomical power.\You may not have realized it,\but you've been working for the syndicate all along.\Me? Absurd!\Intelligence agencies, governments, and authorities from all over the world are under the influence of the syndicate\and used to maintain world order. response:	BK201, too?
context: a decision of this magnitude couldn't have been kept a secret.\November 11 was looking for a syndicate with astronomical power.\You may not have realized it,\but you've been working for the syndicate all along.\Me? Absurd!\Intelligence agencies, governments, and authorities from all over the world are under the influence of the syndicate\and used to maintain world order.\BK201, too? response:	BK201. Code name: Hei.
context: November 11 was looking for a syndicate with astronomical power.\You may not have realized it,\but you've been working for the syndicate all along.\Me? Absurd!\Intelligence agencies, governments, and authorities from all over the world are under the influence of the syndicate\and used to maintain world order.\BK201, too?\BK201. Code name: Hei. response:	He's also a member of the syndicate.
context: You may not have realized it,\but you've been working for the syndicate all along.\Me? Absurd!\Intelligence agencies, governments, and authorities from all over the world are under the influence of the syndicate\and used to maintain world order.\BK201, too?\BK201. Code name: Hei.\He's also a member of the syndicate. response:	He's in hiding at the moment, though.
context: but you've been working for the syndicate all along.\Me? Absurd!\Intelligence agencies, governments, and authorities from all over the world are under the influence of the syndicate\and used to maintain world order.\BK201, too?\BK201. Code name: Hei.\He's also a member of the syndicate.\He's in hiding at the moment, though. response:	Hiding?
context: Me? Absurd!\Intelligence agencies, governments, and authorities from all over the world are under the influence of the syndicate\and used to maintain world order.\BK201, too?\BK201. Code name: Hei.\He's also a member of the syndicate.\He's in hiding at the moment, though.\Hiding? response:	Why bother telling me the truth now?
context: Intelligence agencies, governments, and authorities from all over the world are under the influence of the syndicate\and used to maintain world order.\BK201, too?\BK201. Code name: Hei.\He's also a member of the syndicate.\He's in hiding at the moment, though.\Hiding?\Why bother telling me the truth now? response:	You could have dealt with me as you did with November.
context: and used to maintain world order.\BK201, too?\BK201. Code name: Hei.\He's also a member of the syndicate.\He's in hiding at the moment, though.\Hiding?\Why bother telling me the truth now?\You could have dealt with me as you did with November. response:	Killing you wouldn't be difficult at all.
context: BK201, too?\BK201. Code name: Hei.\He's also a member of the syndicate.\He's in hiding at the moment, though.\Hiding?\Why bother telling me the truth now?\You could have dealt with me as you did with November.\Killing you wouldn't be difficult at all. response:	However, we're always in need of people with talent,
context: BK201. Code name: Hei.\He's also a member of the syndicate.\He's in hiding at the moment, though.\Hiding?\Why bother telling me the truth now?\You could have dealt with me as you did with November.\Killing you wouldn't be difficult at all.\However, we're always in need of people with talent, response:	such as yourself.
context: He's also a member of the syndicate.\He's in hiding at the moment, though.\Hiding?\Why bother telling me the truth now?\You could have dealt with me as you did with November.\Killing you wouldn't be difficult at all.\However, we're always in need of people with talent,\such as yourself. response:	What's so funny?
context: He's in hiding at the moment, though.\Hiding?\Why bother telling me the truth now?\You could have dealt with me as you did with November.\Killing you wouldn't be difficult at all.\However, we're always in need of people with talent,\such as yourself.\What's so funny? response:	It's come to this, as I thought.
context: Hiding?\Why bother telling me the truth now?\You could have dealt with me as you did with November.\Killing you wouldn't be difficult at all.\However, we're always in need of people with talent,\such as yourself.\What's so funny?\It's come to this, as I thought. response:	What do you mean?
context: Why bother telling me the truth now?\You could have dealt with me as you did with November.\Killing you wouldn't be difficult at all.\However, we're always in need of people with talent,\such as yourself.\What's so funny?\It's come to this, as I thought.\What do you mean? response:	If I could have killed you,
context: You could have dealt with me as you did with November.\Killing you wouldn't be difficult at all.\However, we're always in need of people with talent,\such as yourself.\What's so funny?\It's come to this, as I thought.\What do you mean?\If I could have killed you, response:	she wouldn't have let me guide you in the first place.
context: Killing you wouldn't be difficult at all.\However, we're always in need of people with talent,\such as yourself.\What's so funny?\It's come to this, as I thought.\What do you mean?\If I could have killed you,\she wouldn't have let me guide you in the first place. response:	Are you saying you never expected to win from the start?
context: However, we're always in need of people with talent,\such as yourself.\What's so funny?\It's come to this, as I thought.\What do you mean?\If I could have killed you,\she wouldn't have let me guide you in the first place.\Are you saying you never expected to win from the start? response:	I couldn't resist an opportunity to fight you, even if I already knew the outcome.
context: such as yourself.\What's so funny?\It's come to this, as I thought.\What do you mean?\If I could have killed you,\she wouldn't have let me guide you in the first place.\Are you saying you never expected to win from the start?\I couldn't resist an opportunity to fight you, even if I already knew the outcome. response:	What an irrational decision, inappropriate of a contractor.
context: What's so funny?\It's come to this, as I thought.\What do you mean?\If I could have killed you,\she wouldn't have let me guide you in the first place.\Are you saying you never expected to win from the start?\I couldn't resist an opportunity to fight you, even if I already knew the outcome.\What an irrational decision, inappropriate of a contractor. response:	It's all your fault.
context: It's come to this, as I thought.\What do you mean?\If I could have killed you,\she wouldn't have let me guide you in the first place.\Are you saying you never expected to win from the start?\I couldn't resist an opportunity to fight you, even if I already knew the outcome.\What an irrational decision, inappropriate of a contractor.\It's all your fault. response:	It's because I met you.
context: What do you mean?\If I could have killed you,\she wouldn't have let me guide you in the first place.\Are you saying you never expected to win from the start?\I couldn't resist an opportunity to fight you, even if I already knew the outcome.\What an irrational decision, inappropriate of a contractor.\It's all your fault.\It's because I met you. response:	You're a strange one, too.
context: If I could have killed you,\she wouldn't have let me guide you in the first place.\Are you saying you never expected to win from the start?\I couldn't resist an opportunity to fight you, even if I already knew the outcome.\What an irrational decision, inappropriate of a contractor.\It's all your fault.\It's because I met you.\You're a strange one, too. response:	Go, BK201.
context: she wouldn't have let me guide you in the first place.\Are you saying you never expected to win from the start?\I couldn't resist an opportunity to fight you, even if I already knew the outcome.\What an irrational decision, inappropriate of a contractor.\It's all your fault.\It's because I met you.\You're a strange one, too.\Go, BK201. response:	Sorry, you've only caught an old man.
context: Are you saying you never expected to win from the start?\I couldn't resist an opportunity to fight you, even if I already knew the outcome.\What an irrational decision, inappropriate of a contractor.\It's all your fault.\It's because I met you.\You're a strange one, too.\Go, BK201.\Sorry, you've only caught an old man. response:	Wait.
context: I couldn't resist an opportunity to fight you, even if I already knew the outcome.\What an irrational decision, inappropriate of a contractor.\It's all your fault.\It's because I met you.\You're a strange one, too.\Go, BK201.\Sorry, you've only caught an old man.\Wait. response:	Don't do that in a place like this.
context: What an irrational decision, inappropriate of a contractor.\It's all your fault.\It's because I met you.\You're a strange one, too.\Go, BK201.\Sorry, you've only caught an old man.\Wait.\Don't do that in a place like this. response:	I can't help it. It's my remuneration.
context: It's all your fault.\It's because I met you.\You're a strange one, too.\Go, BK201.\Sorry, you've only caught an old man.\Wait.\Don't do that in a place like this.\I can't help it. It's my remuneration. response:	I'm fine as I am.
context: It's because I met you.\You're a strange one, too.\Go, BK201.\Sorry, you've only caught an old man.\Wait.\Don't do that in a place like this.\I can't help it. It's my remuneration.\I'm fine as I am. response:	I have a problem with that.
context: You're a strange one, too.\Go, BK201.\Sorry, you've only caught an old man.\Wait.\Don't do that in a place like this.\I can't help it. It's my remuneration.\I'm fine as I am.\I have a problem with that. response:	This is it.
context: Go, BK201.\Sorry, you've only caught an old man.\Wait.\Don't do that in a place like this.\I can't help it. It's my remuneration.\I'm fine as I am.\I have a problem with that.\This is it. response:	This is what the old man was working on, huh?
context: Sorry, you've only caught an old man.\Wait.\Don't do that in a place like this.\I can't help it. It's my remuneration.\I'm fine as I am.\I have a problem with that.\This is it.\This is what the old man was working on, huh? response:	As long as we destroy this...
context: Wait.\Don't do that in a place like this.\I can't help it. It's my remuneration.\I'm fine as I am.\I have a problem with that.\This is it.\This is what the old man was working on, huh?\As long as we destroy this... response:	Amber, huh?
context: Don't do that in a place like this.\I can't help it. It's my remuneration.\I'm fine as I am.\I have a problem with that.\This is it.\This is what the old man was working on, huh?\As long as we destroy this...\Amber, huh? response:	Is something wrong?
