context: Next up is batter number 4. response:	It was a listless, boring day during the peak of summer right after Obon had just passed.
context: Um... I want to scoop up goldfish.\Okay! Goldfish scooping.\We'll start carrying this out tomorrow!\By the way, does anyone know if there's going to be an Obon festival happening nearby?\I'd like to have a fireworks festival too.\At least research these things before we carry them out.\I'll look into it.\I'll contact you later. response:	Oh, and don't forget about goldfish scooping.
context: Okay! Goldfish scooping.\We'll start carrying this out tomorrow!\By the way, does anyone know if there's going to be an Obon festival happening nearby?\I'd like to have a fireworks festival too.\At least research these things before we carry them out.\I'll look into it.\I'll contact you later.\Oh, and don't forget about goldfish scooping. response:	It's a passionate desire of Mikuru-chan's, after all.
context: We'll start carrying this out tomorrow!\By the way, does anyone know if there's going to be an Obon festival happening nearby?\I'd like to have a fireworks festival too.\At least research these things before we carry them out.\I'll look into it.\I'll contact you later.\Oh, and don't forget about goldfish scooping.\It's a passionate desire of Mikuru-chan's, after all. response:	Will do.
context: By the way, does anyone know if there's going to be an Obon festival happening nearby?\I'd like to have a fireworks festival too.\At least research these things before we carry them out.\I'll look into it.\I'll contact you later.\Oh, and don't forget about goldfish scooping.\It's a passionate desire of Mikuru-chan's, after all.\Will do. response:	Why do I always end up paying?
context: I'd like to have a fireworks festival too.\At least research these things before we carry them out.\I'll look into it.\I'll contact you later.\Oh, and don't forget about goldfish scooping.\It's a passionate desire of Mikuru-chan's, after all.\Will do.\Why do I always end up paying? response:	You were late, so isn't it obvious?
context: At least research these things before we carry them out.\I'll look into it.\I'll contact you later.\Oh, and don't forget about goldfish scooping.\It's a passionate desire of Mikuru-chan's, after all.\Will do.\Why do I always end up paying?\You were late, so isn't it obvious? response:	Don't make us wait again tomorrow.
context: I'll look into it.\I'll contact you later.\Oh, and don't forget about goldfish scooping.\It's a passionate desire of Mikuru-chan's, after all.\Will do.\Why do I always end up paying?\You were late, so isn't it obvious?\Don't make us wait again tomorrow. response:	Okay, you're all dismissed for today!
context: I'll contact you later.\Oh, and don't forget about goldfish scooping.\It's a passionate desire of Mikuru-chan's, after all.\Will do.\Why do I always end up paying?\You were late, so isn't it obvious?\Don't make us wait again tomorrow.\Okay, you're all dismissed for today! response:	Man... does that mean we're going to be messing around every day?
context: Oh, and don't forget about goldfish scooping.\It's a passionate desire of Mikuru-chan's, after all.\Will do.\Why do I always end up paying?\You were late, so isn't it obvious?\Don't make us wait again tomorrow.\Okay, you're all dismissed for today!\Man... does that mean we're going to be messing around every day? response:	The next morning, the call that woke me up from my indolence was, once again, from Haruhi.
context: It's a passionate desire of Mikuru-chan's, after all.\Will do.\Why do I always end up paying?\You were late, so isn't it obvious?\Don't make us wait again tomorrow.\Okay, you're all dismissed for today!\Man... does that mean we're going to be messing around every day?\The next morning, the call that woke me up from my indolence was, once again, from Haruhi. response:	We've figured out where they're going to have an Obon festival.
context: Will do.\Why do I always end up paying?\You were late, so isn't it obvious?\Don't make us wait again tomorrow.\Okay, you're all dismissed for today!\Man... does that mean we're going to be messing around every day?\The next morning, the call that woke me up from my indolence was, once again, from Haruhi.\We've figured out where they're going to have an Obon festival. response:	The time: tonight. Location: the Civic Stadium.
context: Why do I always end up paying?\You were late, so isn't it obvious?\Don't make us wait again tomorrow.\Okay, you're all dismissed for today!\Man... does that mean we're going to be messing around every day?\The next morning, the call that woke me up from my indolence was, once again, from Haruhi.\We've figured out where they're going to have an Obon festival.\The time: tonight. Location: the Civic Stadium. response:	Let's all go buy yukatas together!
context: You were late, so isn't it obvious?\Don't make us wait again tomorrow.\Okay, you're all dismissed for today!\Man... does that mean we're going to be messing around every day?\The next morning, the call that woke me up from my indolence was, once again, from Haruhi.\We've figured out where they're going to have an Obon festival.\The time: tonight. Location: the Civic Stadium.\Let's all go buy yukatas together! response:	Mikuru-chan and Yuki don't have one, and I saw some cheap ones in a shop, so let's go!
context: Don't make us wait again tomorrow.\Okay, you're all dismissed for today!\Man... does that mean we're going to be messing around every day?\The next morning, the call that woke me up from my indolence was, once again, from Haruhi.\We've figured out where they're going to have an Obon festival.\The time: tonight. Location: the Civic Stadium.\Let's all go buy yukatas together!\Mikuru-chan and Yuki don't have one, and I saw some cheap ones in a shop, so let's go! response:	Haruhi selfishly picked out yukatas for Asahina-san and Nagato, and rushed off to the changing rooms.
context: Okay, you're all dismissed for today!\Man... does that mean we're going to be messing around every day?\The next morning, the call that woke me up from my indolence was, once again, from Haruhi.\We've figured out where they're going to have an Obon festival.\The time: tonight. Location: the Civic Stadium.\Let's all go buy yukatas together!\Mikuru-chan and Yuki don't have one, and I saw some cheap ones in a shop, so let's go!\Haruhi selfishly picked out yukatas for Asahina-san and Nagato, and rushed off to the changing rooms. response:	This is taking quite a bit of time.
context: Man... does that mean we're going to be messing around every day?\The next morning, the call that woke me up from my indolence was, once again, from Haruhi.\We've figured out where they're going to have an Obon festival.\The time: tonight. Location: the Civic Stadium.\Let's all go buy yukatas together!\Mikuru-chan and Yuki don't have one, and I saw some cheap ones in a shop, so let's go!\Haruhi selfishly picked out yukatas for Asahina-san and Nagato, and rushed off to the changing rooms.\This is taking quite a bit of time. response:	The three of them finally finished changing after we endured an hour of the other female customers avoiding us.
context: The next morning, the call that woke me up from my indolence was, once again, from Haruhi.\We've figured out where they're going to have an Obon festival.\The time: tonight. Location: the Civic Stadium.\Let's all go buy yukatas together!\Mikuru-chan and Yuki don't have one, and I saw some cheap ones in a shop, so let's go!\Haruhi selfishly picked out yukatas for Asahina-san and Nagato, and rushed off to the changing rooms.\This is taking quite a bit of time.\The three of them finally finished changing after we endured an hour of the other female customers avoiding us. response:	Kyon!
context: We've figured out where they're going to have an Obon festival.\The time: tonight. Location: the Civic Stadium.\Let's all go buy yukatas together!\Mikuru-chan and Yuki don't have one, and I saw some cheap ones in a shop, so let's go!\Haruhi selfishly picked out yukatas for Asahina-san and Nagato, and rushed off to the changing rooms.\This is taking quite a bit of time.\The three of them finally finished changing after we endured an hour of the other female customers avoiding us.\Kyon! response:	They match you girls very well.
context: The time: tonight. Location: the Civic Stadium.\Let's all go buy yukatas together!\Mikuru-chan and Yuki don't have one, and I saw some cheap ones in a shop, so let's go!\Haruhi selfishly picked out yukatas for Asahina-san and Nagato, and rushed off to the changing rooms.\This is taking quite a bit of time.\The three of them finally finished changing after we endured an hour of the other female customers avoiding us.\Kyon!\They match you girls very well. response:	Of course! I picked them out, after all.
context: Let's all go buy yukatas together!\Mikuru-chan and Yuki don't have one, and I saw some cheap ones in a shop, so let's go!\Haruhi selfishly picked out yukatas for Asahina-san and Nagato, and rushed off to the changing rooms.\This is taking quite a bit of time.\The three of them finally finished changing after we endured an hour of the other female customers avoiding us.\Kyon!\They match you girls very well.\Of course! I picked them out, after all. response:	Especially Mikuru-chan!
context: Mikuru-chan and Yuki don't have one, and I saw some cheap ones in a shop, so let's go!\Haruhi selfishly picked out yukatas for Asahina-san and Nagato, and rushed off to the changing rooms.\This is taking quite a bit of time.\The three of them finally finished changing after we endured an hour of the other female customers avoiding us.\Kyon!\They match you girls very well.\Of course! I picked them out, after all.\Especially Mikuru-chan! response:	Just what I'd expect from myself! It's cute!
context: Haruhi selfishly picked out yukatas for Asahina-san and Nagato, and rushed off to the changing rooms.\This is taking quite a bit of time.\The three of them finally finished changing after we endured an hour of the other female customers avoiding us.\Kyon!\They match you girls very well.\Of course! I picked them out, after all.\Especially Mikuru-chan!\Just what I'd expect from myself! It's cute! response:	My eyes can never be wrong.
context: This is taking quite a bit of time.\The three of them finally finished changing after we endured an hour of the other female customers avoiding us.\Kyon!\They match you girls very well.\Of course! I picked them out, after all.\Especially Mikuru-chan!\Just what I'd expect from myself! It's cute!\My eyes can never be wrong. response:	Among the various costumes Haruhi has forced on her, this certainly is top class.
context: The three of them finally finished changing after we endured an hour of the other female customers avoiding us.\Kyon!\They match you girls very well.\Of course! I picked them out, after all.\Especially Mikuru-chan!\Just what I'd expect from myself! It's cute!\My eyes can never be wrong.\Among the various costumes Haruhi has forced on her, this certainly is top class. response:	And it really suits her.
context: Kyon!\They match you girls very well.\Of course! I picked them out, after all.\Especially Mikuru-chan!\Just what I'd expect from myself! It's cute!\My eyes can never be wrong.\Among the various costumes Haruhi has forced on her, this certainly is top class.\And it really suits her. response:	It's a yes.
context: They match you girls very well.\Of course! I picked them out, after all.\Especially Mikuru-chan!\Just what I'd expect from myself! It's cute!\My eyes can never be wrong.\Among the various costumes Haruhi has forced on her, this certainly is top class.\And it really suits her.\It's a yes. response:	So this is the traditional dress of this country.
context: Of course! I picked them out, after all.\Especially Mikuru-chan!\Just what I'd expect from myself! It's cute!\My eyes can never be wrong.\Among the various costumes Haruhi has forced on her, this certainly is top class.\And it really suits her.\It's a yes.\So this is the traditional dress of this country. response:	It's a bit tight on the chest, but it's wonderful.
context: Especially Mikuru-chan!\Just what I'd expect from myself! It's cute!\My eyes can never be wrong.\Among the various costumes Haruhi has forced on her, this certainly is top class.\And it really suits her.\It's a yes.\So this is the traditional dress of this country.\It's a bit tight on the chest, but it's wonderful. response:	With this, our preparations are complete.
context: Just what I'd expect from myself! It's cute!\My eyes can never be wrong.\Among the various costumes Haruhi has forced on her, this certainly is top class.\And it really suits her.\It's a yes.\So this is the traditional dress of this country.\It's a bit tight on the chest, but it's wonderful.\With this, our preparations are complete. response:	Now let's go!
context: My eyes can never be wrong.\Among the various costumes Haruhi has forced on her, this certainly is top class.\And it really suits her.\It's a yes.\So this is the traditional dress of this country.\It's a bit tight on the chest, but it's wonderful.\With this, our preparations are complete.\Now let's go! response:	To the Obon festival venue!
context: Among the various costumes Haruhi has forced on her, this certainly is top class.\And it really suits her.\It's a yes.\So this is the traditional dress of this country.\It's a bit tight on the chest, but it's wonderful.\With this, our preparations are complete.\Now let's go!\To the Obon festival venue! response:	But, man, the Obon festival, huh?
context: And it really suits her.\It's a yes.\So this is the traditional dress of this country.\It's a bit tight on the chest, but it's wonderful.\With this, our preparations are complete.\Now let's go!\To the Obon festival venue!\But, man, the Obon festival, huh? response:	It's been ages since I last saw one.
context: It's a yes.\So this is the traditional dress of this country.\It's a bit tight on the chest, but it's wonderful.\With this, our preparations are complete.\Now let's go!\To the Obon festival venue!\But, man, the Obon festival, huh?\It's been ages since I last saw one. response:	Ah! Mikuru-chan! They've got the goldfish scooping that you wanted to do!
context: So this is the traditional dress of this country.\It's a bit tight on the chest, but it's wonderful.\With this, our preparations are complete.\Now let's go!\To the Obon festival venue!\But, man, the Obon festival, huh?\It's been ages since I last saw one.\Ah! Mikuru-chan! They've got the goldfish scooping that you wanted to do! response:	Just keep scooping non-stop!
context: It's a bit tight on the chest, but it's wonderful.\With this, our preparations are complete.\Now let's go!\To the Obon festival venue!\But, man, the Obon festival, huh?\It's been ages since I last saw one.\Ah! Mikuru-chan! They've got the goldfish scooping that you wanted to do!\Just keep scooping non-stop! response:	You get 200 points if you get the one with black eyes!
context: With this, our preparations are complete.\Now let's go!\To the Obon festival venue!\But, man, the Obon festival, huh?\It's been ages since I last saw one.\Ah! Mikuru-chan! They've got the goldfish scooping that you wanted to do!\Just keep scooping non-stop!\You get 200 points if you get the one with black eyes! response:	Shall we do the same? How about a competition to see who can catch more?
context: Now let's go!\To the Obon festival venue!\But, man, the Obon festival, huh?\It's been ages since I last saw one.\Ah! Mikuru-chan! They've got the goldfish scooping that you wanted to do!\Just keep scooping non-stop!\You get 200 points if you get the one with black eyes!\Shall we do the same? How about a competition to see who can catch more? response:	I'll pass.
context: To the Obon festival venue!\But, man, the Obon festival, huh?\It's been ages since I last saw one.\Ah! Mikuru-chan! They've got the goldfish scooping that you wanted to do!\Just keep scooping non-stop!\You get 200 points if you get the one with black eyes!\Shall we do the same? How about a competition to see who can catch more?\I'll pass. response:	I'm more interested in the food stalls.
context: But, man, the Obon festival, huh?\It's been ages since I last saw one.\Ah! Mikuru-chan! They've got the goldfish scooping that you wanted to do!\Just keep scooping non-stop!\You get 200 points if you get the one with black eyes!\Shall we do the same? How about a competition to see who can catch more?\I'll pass.\I'm more interested in the food stalls. response:	What about you, Nagato?
context: It's been ages since I last saw one.\Ah! Mikuru-chan! They've got the goldfish scooping that you wanted to do!\Just keep scooping non-stop!\You get 200 points if you get the one with black eyes!\Shall we do the same? How about a competition to see who can catch more?\I'll pass.\I'm more interested in the food stalls.\What about you, Nagato? response:	Want to get something to eat?
context: Ah! Mikuru-chan! They've got the goldfish scooping that you wanted to do!\Just keep scooping non-stop!\You get 200 points if you get the one with black eyes!\Shall we do the same? How about a competition to see who can catch more?\I'll pass.\I'm more interested in the food stalls.\What about you, Nagato?\Want to get something to eat? response:	You're interested in that stuff?
context: Just keep scooping non-stop!\You get 200 points if you get the one with black eyes!\Shall we do the same? How about a competition to see who can catch more?\I'll pass.\I'm more interested in the food stalls.\What about you, Nagato?\Want to get something to eat?\You're interested in that stuff? response:	This.
context: You get 200 points if you get the one with black eyes!\Shall we do the same? How about a competition to see who can catch more?\I'll pass.\I'm more interested in the food stalls.\What about you, Nagato?\Want to get something to eat?\You're interested in that stuff?\This. response:	Oh? Sure! 800 yen.
context: Shall we do the same? How about a competition to see who can catch more?\I'll pass.\I'm more interested in the food stalls.\What about you, Nagato?\Want to get something to eat?\You're interested in that stuff?\This.\Oh? Sure! 800 yen. response:	Thirteen of them!
context: I'll pass.\I'm more interested in the food stalls.\What about you, Nagato?\Want to get something to eat?\You're interested in that stuff?\This.\Oh? Sure! 800 yen.\Thirteen of them! response:	It was a large haul, but we didn't need all of them, so we just took one.
context: I'm more interested in the food stalls.\What about you, Nagato?\Want to get something to eat?\You're interested in that stuff?\This.\Oh? Sure! 800 yen.\Thirteen of them!\It was a large haul, but we didn't need all of them, so we just took one. response:	I couldn't catch a single one, though...
context: What about you, Nagato?\Want to get something to eat?\You're interested in that stuff?\This.\Oh? Sure! 800 yen.\Thirteen of them!\It was a large haul, but we didn't need all of them, so we just took one.\I couldn't catch a single one, though... response:	Goldfish scooping is pretty hard, isn't it?
context: Want to get something to eat?\You're interested in that stuff?\This.\Oh? Sure! 800 yen.\Thirteen of them!\It was a large haul, but we didn't need all of them, so we just took one.\I couldn't catch a single one, though...\Goldfish scooping is pretty hard, isn't it? response:	No, no. Normally, you wouldn't get that many.
context: You're interested in that stuff?\This.\Oh? Sure! 800 yen.\Thirteen of them!\It was a large haul, but we didn't need all of them, so we just took one.\I couldn't catch a single one, though...\Goldfish scooping is pretty hard, isn't it?\No, no. Normally, you wouldn't get that many. response:	It's easy if you get the hang of it!
context: This.\Oh? Sure! 800 yen.\Thirteen of them!\It was a large haul, but we didn't need all of them, so we just took one.\I couldn't catch a single one, though...\Goldfish scooping is pretty hard, isn't it?\No, no. Normally, you wouldn't get that many.\It's easy if you get the hang of it! response:	Huh? What's up with that mask, Yuki?
context: Oh? Sure! 800 yen.\Thirteen of them!\It was a large haul, but we didn't need all of them, so we just took one.\I couldn't catch a single one, though...\Goldfish scooping is pretty hard, isn't it?\No, no. Normally, you wouldn't get that many.\It's easy if you get the hang of it!\Huh? What's up with that mask, Yuki? response:	I bought it.
context: Thirteen of them!\It was a large haul, but we didn't need all of them, so we just took one.\I couldn't catch a single one, though...\Goldfish scooping is pretty hard, isn't it?\No, no. Normally, you wouldn't get that many.\It's easy if you get the hang of it!\Huh? What's up with that mask, Yuki?\I bought it. response:	I see. But why that one?
context: It was a large haul, but we didn't need all of them, so we just took one.\I couldn't catch a single one, though...\Goldfish scooping is pretty hard, isn't it?\No, no. Normally, you wouldn't get that many.\It's easy if you get the hang of it!\Huh? What's up with that mask, Yuki?\I bought it.\I see. But why that one? response:	They were probably on the same wavelength or something.
context: I couldn't catch a single one, though...\Goldfish scooping is pretty hard, isn't it?\No, no. Normally, you wouldn't get that many.\It's easy if you get the hang of it!\Huh? What's up with that mask, Yuki?\I bought it.\I see. But why that one?\They were probably on the same wavelength or something. response:	As aliens.
context: Goldfish scooping is pretty hard, isn't it?\No, no. Normally, you wouldn't get that many.\It's easy if you get the hang of it!\Huh? What's up with that mask, Yuki?\I bought it.\I see. But why that one?\They were probably on the same wavelength or something.\As aliens. response:	Well, okay.
context: No, no. Normally, you wouldn't get that many.\It's easy if you get the hang of it!\Huh? What's up with that mask, Yuki?\I bought it.\I see. But why that one?\They were probably on the same wavelength or something.\As aliens.\Well, okay. response:	We haven't gone that way, so let's go!
context: It's easy if you get the hang of it!\Huh? What's up with that mask, Yuki?\I bought it.\I see. But why that one?\They were probably on the same wavelength or something.\As aliens.\Well, okay.\We haven't gone that way, so let's go! response:	You still want to play?
context: Huh? What's up with that mask, Yuki?\I bought it.\I see. But why that one?\They were probably on the same wavelength or something.\As aliens.\Well, okay.\We haven't gone that way, so let's go!\You still want to play? response:	Of course! Come on!
context: I bought it.\I see. But why that one?\They were probably on the same wavelength or something.\As aliens.\Well, okay.\We haven't gone that way, so let's go!\You still want to play?\Of course! Come on! response:	Here.
context: I see. But why that one?\They were probably on the same wavelength or something.\As aliens.\Well, okay.\We haven't gone that way, so let's go!\You still want to play?\Of course! Come on!\Here. response:	I'll only let you have one, though.
context: They were probably on the same wavelength or something.\As aliens.\Well, okay.\We haven't gone that way, so let's go!\You still want to play?\Of course! Come on!\Here.\I'll only let you have one, though. response:	Thanks.
context: As aliens.\Well, okay.\We haven't gone that way, so let's go!\You still want to play?\Of course! Come on!\Here.\I'll only let you have one, though.\Thanks. response:	Tasty? Good.
context: Well, okay.\We haven't gone that way, so let's go!\You still want to play?\Of course! Come on!\Here.\I'll only let you have one, though.\Thanks.\Tasty? Good. response:	Anyway, we've pretty much seen all of the festival.
context: We haven't gone that way, so let's go!\You still want to play?\Of course! Come on!\Here.\I'll only let you have one, though.\Thanks.\Tasty? Good.\Anyway, we've pretty much seen all of the festival. response:	Let's do fireworks next! Fireworks!
context: You still want to play?\Of course! Come on!\Here.\I'll only let you have one, though.\Thanks.\Tasty? Good.\Anyway, we've pretty much seen all of the festival.\Let's do fireworks next! Fireworks! response:	Fireworks?
context: Of course! Come on!\Here.\I'll only let you have one, though.\Thanks.\Tasty? Good.\Anyway, we've pretty much seen all of the festival.\Let's do fireworks next! Fireworks!\Fireworks? response:	Since we went through all the trouble of dressing up, we might as well make the most of the day.
context: Here.\I'll only let you have one, though.\Thanks.\Tasty? Good.\Anyway, we've pretty much seen all of the festival.\Let's do fireworks next! Fireworks!\Fireworks?\Since we went through all the trouble of dressing up, we might as well make the most of the day. response:	That's true.
context: I'll only let you have one, though.\Thanks.\Tasty? Good.\Anyway, we've pretty much seen all of the festival.\Let's do fireworks next! Fireworks!\Fireworks?\Since we went through all the trouble of dressing up, we might as well make the most of the day.\That's true. response:	There was a shop over there selling them too.
context: Thanks.\Tasty? Good.\Anyway, we've pretty much seen all of the festival.\Let's do fireworks next! Fireworks!\Fireworks?\Since we went through all the trouble of dressing up, we might as well make the most of the day.\That's true.\There was a shop over there selling them too. response:	Let's buy some.
context: Tasty? Good.\Anyway, we've pretty much seen all of the festival.\Let's do fireworks next! Fireworks!\Fireworks?\Since we went through all the trouble of dressing up, we might as well make the most of the day.\That's true.\There was a shop over there selling them too.\Let's buy some. response:	That sounds fun.
context: Anyway, we've pretty much seen all of the festival.\Let's do fireworks next! Fireworks!\Fireworks?\Since we went through all the trouble of dressing up, we might as well make the most of the day.\That's true.\There was a shop over there selling them too.\Let's buy some.\That sounds fun. response:	Let's go then!
context: Let's do fireworks next! Fireworks!\Fireworks?\Since we went through all the trouble of dressing up, we might as well make the most of the day.\That's true.\There was a shop over there selling them too.\Let's buy some.\That sounds fun.\Let's go then! response:	Kakizaki!
context: Fireworks?\Since we went through all the trouble of dressing up, we might as well make the most of the day.\That's true.\There was a shop over there selling them too.\Let's buy some.\That sounds fun.\Let's go then!\Kakizaki! response:	Note: Kakizaki Hayao from the SDF Macross: Do You Remember Love? movie was blown up by missiles while making fun of women
context: Since we went through all the trouble of dressing up, we might as well make the most of the day.\That's true.\There was a shop over there selling them too.\Let's buy some.\That sounds fun.\Let's go then!\Kakizaki!\Note: Kakizaki Hayao from the SDF Macross: Do You Remember Love? movie was blown up by missiles while making fun of women response:	Ah, it's so pretty!
context: That's true.\There was a shop over there selling them too.\Let's buy some.\That sounds fun.\Let's go then!\Kakizaki!\Note: Kakizaki Hayao from the SDF Macross: Do You Remember Love? movie was blown up by missiles while making fun of women\Ah, it's so pretty! response:	Obon festival. Fireworks.
context: There was a shop over there selling them too.\Let's buy some.\That sounds fun.\Let's go then!\Kakizaki!\Note: Kakizaki Hayao from the SDF Macross: Do You Remember Love? movie was blown up by missiles while making fun of women\Ah, it's so pretty!\Obon festival. Fireworks. response:	There!
context: Let's buy some.\That sounds fun.\Let's go then!\Kakizaki!\Note: Kakizaki Hayao from the SDF Macross: Do You Remember Love? movie was blown up by missiles while making fun of women\Ah, it's so pretty!\Obon festival. Fireworks.\There! response:	Okay, we're going to go catch bugs tomorrow!
context: That sounds fun.\Let's go then!\Kakizaki!\Note: Kakizaki Hayao from the SDF Macross: Do You Remember Love? movie was blown up by missiles while making fun of women\Ah, it's so pretty!\Obon festival. Fireworks.\There!\Okay, we're going to go catch bugs tomorrow! response:	Haruhi, fun and games are fine and all, but did you finish your summer homework?
context: Let's go then!\Kakizaki!\Note: Kakizaki Hayao from the SDF Macross: Do You Remember Love? movie was blown up by missiles while making fun of women\Ah, it's so pretty!\Obon festival. Fireworks.\There!\Okay, we're going to go catch bugs tomorrow!\Haruhi, fun and games are fine and all, but did you finish your summer homework? response:	Says me, who hasn't even touched his yet.
context: Kakizaki!\Note: Kakizaki Hayao from the SDF Macross: Do You Remember Love? movie was blown up by missiles while making fun of women\Ah, it's so pretty!\Obon festival. Fireworks.\There!\Okay, we're going to go catch bugs tomorrow!\Haruhi, fun and games are fine and all, but did you finish your summer homework?\Says me, who hasn't even touched his yet. response:	What are you talking about?
context: Note: Kakizaki Hayao from the SDF Macross: Do You Remember Love? movie was blown up by missiles while making fun of women\Ah, it's so pretty!\Obon festival. Fireworks.\There!\Okay, we're going to go catch bugs tomorrow!\Haruhi, fun and games are fine and all, but did you finish your summer homework?\Says me, who hasn't even touched his yet.\What are you talking about? response:	I finished all of that in three days.
context: Ah, it's so pretty!\Obon festival. Fireworks.\There!\Okay, we're going to go catch bugs tomorrow!\Haruhi, fun and games are fine and all, but did you finish your summer homework?\Says me, who hasn't even touched his yet.\What are you talking about?\I finished all of that in three days. response:	Three days?!
context: Obon festival. Fireworks.\There!\Okay, we're going to go catch bugs tomorrow!\Haruhi, fun and games are fine and all, but did you finish your summer homework?\Says me, who hasn't even touched his yet.\What are you talking about?\I finished all of that in three days.\Three days?! response:	I finished it in July.
context: There!\Okay, we're going to go catch bugs tomorrow!\Haruhi, fun and games are fine and all, but did you finish your summer homework?\Says me, who hasn't even touched his yet.\What are you talking about?\I finished all of that in three days.\Three days?!\I finished it in July. response:	Finish all that tedious stuff so you can actually enjoy yourself.
context: Okay, we're going to go catch bugs tomorrow!\Haruhi, fun and games are fine and all, but did you finish your summer homework?\Says me, who hasn't even touched his yet.\What are you talking about?\I finished all of that in three days.\Three days?!\I finished it in July.\Finish all that tedious stuff so you can actually enjoy yourself. response:	That's the right way to enjoy summer!
context: Haruhi, fun and games are fine and all, but did you finish your summer homework?\Says me, who hasn't even touched his yet.\What are you talking about?\I finished all of that in three days.\Three days?!\I finished it in July.\Finish all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer! response:	Why is this person so smart?
context: Says me, who hasn't even touched his yet.\What are you talking about?\I finished all of that in three days.\Three days?!\I finished it in July.\Finish all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart? response:	The distribution of attributes is pretty random.
context: What are you talking about?\I finished all of that in three days.\Three days?!\I finished it in July.\Finish all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random. response:	Anyway, we're catching bugs tomorrow.
context: I finished all of that in three days.\Three days?!\I finished it in July.\Finish all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random.\Anyway, we're catching bugs tomorrow. response:	The person who catches the most gets...
context: Three days?!\I finished it in July.\Finish all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random.\Anyway, we're catching bugs tomorrow.\The person who catches the most gets... response:	Let's see...
context: I finished it in July.\Finish all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random.\Anyway, we're catching bugs tomorrow.\The person who catches the most gets...\Let's see... response:	The position of Brigade Chief for one day!
context: Finish all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random.\Anyway, we're catching bugs tomorrow.\The person who catches the most gets...\Let's see...\The position of Brigade Chief for one day! response:	Ew, no thanks.
context: That's the right way to enjoy summer!\Why is this person so smart?\The distribution of attributes is pretty random.\Anyway, we're catching bugs tomorrow.\The person who catches the most gets...\Let's see...\The position of Brigade Chief for one day!\Ew, no thanks. response:	Sounds interesting.
context: Why is this person so smart?\The distribution of attributes is pretty random.\Anyway, we're catching bugs tomorrow.\The person who catches the most gets...\Let's see...\The position of Brigade Chief for one day!\Ew, no thanks.\Sounds interesting. response:	So it counts as long as it's any kind of bug?
context: The distribution of attributes is pretty random.\Anyway, we're catching bugs tomorrow.\The person who catches the most gets...\Let's see...\The position of Brigade Chief for one day!\Ew, no thanks.\Sounds interesting.\So it counts as long as it's any kind of bug? response:	Hm... cicada's only!
context: Anyway, we're catching bugs tomorrow.\The person who catches the most gets...\Let's see...\The position of Brigade Chief for one day!\Ew, no thanks.\Sounds interesting.\So it counts as long as it's any kind of bug?\Hm... cicada's only! response:	Yes, this'll be the SOS Brigade's cicada catching competition!
context: The person who catches the most gets...\Let's see...\The position of Brigade Chief for one day!\Ew, no thanks.\Sounds interesting.\So it counts as long as it's any kind of bug?\Hm... cicada's only!\Yes, this'll be the SOS Brigade's cicada catching competition! response:	The person with the most wins!
context: Let's see...\The position of Brigade Chief for one day!\Ew, no thanks.\Sounds interesting.\So it counts as long as it's any kind of bug?\Hm... cicada's only!\Yes, this'll be the SOS Brigade's cicada catching competition!\The person with the most wins! response:	The next day.
context: The position of Brigade Chief for one day!\Ew, no thanks.\Sounds interesting.\So it counts as long as it's any kind of bug?\Hm... cicada's only!\Yes, this'll be the SOS Brigade's cicada catching competition!\The person with the most wins!\The next day. response:	To make sure it would rain, I put up a teru teru bozu, but unfortunately,
context: Ew, no thanks.\Sounds interesting.\So it counts as long as it's any kind of bug?\Hm... cicada's only!\Yes, this'll be the SOS Brigade's cicada catching competition!\The person with the most wins!\The next day.\To make sure it would rain, I put up a teru teru bozu, but unfortunately, response:	Note: Teru teru bozu is a small ghost-like doll made from cloth made as a charm for good weather.
context: Sounds interesting.\So it counts as long as it's any kind of bug?\Hm... cicada's only!\Yes, this'll be the SOS Brigade's cicada catching competition!\The person with the most wins!\The next day.\To make sure it would rain, I put up a teru teru bozu, but unfortunately,\Note: Teru teru bozu is a small ghost-like doll made from cloth made as a charm for good weather. response:	it was a ridiculously nice day.
context: So it counts as long as it's any kind of bug?\Hm... cicada's only!\Yes, this'll be the SOS Brigade's cicada catching competition!\The person with the most wins!\The next day.\To make sure it would rain, I put up a teru teru bozu, but unfortunately,\Note: Teru teru bozu is a small ghost-like doll made from cloth made as a charm for good weather.\it was a ridiculously nice day. response:	No doubt, the cicadas must be enjoying the day with what could be considered the best temperature of this summer.
