context: The one before him yelled out, Oh no! response:	If you'd like to know what happens next, come listen again next time.
context: We would gain no answers.\Demonic magic? Who wants to stand against the Celestial Tribe?\High Immortal Die Feng mentioned it.\Deities departing the Eastern Sea were all attacked, one after another.\I am about to investigate this matter.\Your Highness, the Heavenly Lord's birthday feast is about to start.\I know. You can go back now.\Yes. response:	Mother, this porridge is very thick.
context: Demonic magic? Who wants to stand against the Celestial Tribe?\High Immortal Die Feng mentioned it.\Deities departing the Eastern Sea were all attacked, one after another.\I am about to investigate this matter.\Your Highness, the Heavenly Lord's birthday feast is about to start.\I know. You can go back now.\Yes.\Mother, this porridge is very thick. response:	Be good.
context: High Immortal Die Feng mentioned it.\Deities departing the Eastern Sea were all attacked, one after another.\I am about to investigate this matter.\Your Highness, the Heavenly Lord's birthday feast is about to start.\I know. You can go back now.\Yes.\Mother, this porridge is very thick.\Be good. response:	The food here is hard to stomach.
context: Deities departing the Eastern Sea were all attacked, one after another.\I am about to investigate this matter.\Your Highness, the Heavenly Lord's birthday feast is about to start.\I know. You can go back now.\Yes.\Mother, this porridge is very thick.\Be good.\The food here is hard to stomach. response:	I borrowed their kitchen to make this half pot of porridge.
context: I am about to investigate this matter.\Your Highness, the Heavenly Lord's birthday feast is about to start.\I know. You can go back now.\Yes.\Mother, this porridge is very thick.\Be good.\The food here is hard to stomach.\I borrowed their kitchen to make this half pot of porridge. response:	No wonder it tastes the same as the porridge you make.
context: Your Highness, the Heavenly Lord's birthday feast is about to start.\I know. You can go back now.\Yes.\Mother, this porridge is very thick.\Be good.\The food here is hard to stomach.\I borrowed their kitchen to make this half pot of porridge.\No wonder it tastes the same as the porridge you make. response:	When we were at Mount Junji
context: I know. You can go back now.\Yes.\Mother, this porridge is very thick.\Be good.\The food here is hard to stomach.\I borrowed their kitchen to make this half pot of porridge.\No wonder it tastes the same as the porridge you make.\When we were at Mount Junji response:	I was also unaccustomed to the cooking of that princess of the Eastern Sea.
context: Yes.\Mother, this porridge is very thick.\Be good.\The food here is hard to stomach.\I borrowed their kitchen to make this half pot of porridge.\No wonder it tastes the same as the porridge you make.\When we were at Mount Junji\I was also unaccustomed to the cooking of that princess of the Eastern Sea. response:	However, Father didn't cook any food just for me.
context: Mother, this porridge is very thick.\Be good.\The food here is hard to stomach.\I borrowed their kitchen to make this half pot of porridge.\No wonder it tastes the same as the porridge you make.\When we were at Mount Junji\I was also unaccustomed to the cooking of that princess of the Eastern Sea.\However, Father didn't cook any food just for me. response:	I have business to attend to later back at the Celestial Palace.
context: Be good.\The food here is hard to stomach.\I borrowed their kitchen to make this half pot of porridge.\No wonder it tastes the same as the porridge you make.\When we were at Mount Junji\I was also unaccustomed to the cooking of that princess of the Eastern Sea.\However, Father didn't cook any food just for me.\I have business to attend to later back at the Celestial Palace. response:	Father, you're leaving?
context: The food here is hard to stomach.\I borrowed their kitchen to make this half pot of porridge.\No wonder it tastes the same as the porridge you make.\When we were at Mount Junji\I was also unaccustomed to the cooking of that princess of the Eastern Sea.\However, Father didn't cook any food just for me.\I have business to attend to later back at the Celestial Palace.\Father, you're leaving? response:	Cheng Yu said absence makes the heart grow fonder.
context: I borrowed their kitchen to make this half pot of porridge.\No wonder it tastes the same as the porridge you make.\When we were at Mount Junji\I was also unaccustomed to the cooking of that princess of the Eastern Sea.\However, Father didn't cook any food just for me.\I have business to attend to later back at the Celestial Palace.\Father, you're leaving?\Cheng Yu said absence makes the heart grow fonder. response:	You and Mother were already separated for 300 years.
context: No wonder it tastes the same as the porridge you make.\When we were at Mount Junji\I was also unaccustomed to the cooking of that princess of the Eastern Sea.\However, Father didn't cook any food just for me.\I have business to attend to later back at the Celestial Palace.\Father, you're leaving?\Cheng Yu said absence makes the heart grow fonder.\You and Mother were already separated for 300 years. response:	How can you bear to part now?
context: When we were at Mount Junji\I was also unaccustomed to the cooking of that princess of the Eastern Sea.\However, Father didn't cook any food just for me.\I have business to attend to later back at the Celestial Palace.\Father, you're leaving?\Cheng Yu said absence makes the heart grow fonder.\You and Mother were already separated for 300 years.\How can you bear to part now? response:	Have you forgotten what day it is?
context: I was also unaccustomed to the cooking of that princess of the Eastern Sea.\However, Father didn't cook any food just for me.\I have business to attend to later back at the Celestial Palace.\Father, you're leaving?\Cheng Yu said absence makes the heart grow fonder.\You and Mother were already separated for 300 years.\How can you bear to part now?\Have you forgotten what day it is? response:	What day is it?
context: However, Father didn't cook any food just for me.\I have business to attend to later back at the Celestial Palace.\Father, you're leaving?\Cheng Yu said absence makes the heart grow fonder.\You and Mother were already separated for 300 years.\How can you bear to part now?\Have you forgotten what day it is?\What day is it? response:	Let me think about what day it is in Heaven.
context: I have business to attend to later back at the Celestial Palace.\Father, you're leaving?\Cheng Yu said absence makes the heart grow fonder.\You and Mother were already separated for 300 years.\How can you bear to part now?\Have you forgotten what day it is?\What day is it?\Let me think about what day it is in Heaven. response:	- Oh! It's the Heavenly Lord's birthday! - That's correct.
context: Father, you're leaving?\Cheng Yu said absence makes the heart grow fonder.\You and Mother were already separated for 300 years.\How can you bear to part now?\Have you forgotten what day it is?\What day is it?\Let me think about what day it is in Heaven.\- Oh! It's the Heavenly Lord's birthday! - That's correct. response:	Are you taking me and Mother to celebrate the Heavenly Lord's birthday?
context: Cheng Yu said absence makes the heart grow fonder.\You and Mother were already separated for 300 years.\How can you bear to part now?\Have you forgotten what day it is?\What day is it?\Let me think about what day it is in Heaven.\- Oh! It's the Heavenly Lord's birthday! - That's correct.\Are you taking me and Mother to celebrate the Heavenly Lord's birthday? response:	Celebrate?
context: You and Mother were already separated for 300 years.\How can you bear to part now?\Have you forgotten what day it is?\What day is it?\Let me think about what day it is in Heaven.\- Oh! It's the Heavenly Lord's birthday! - That's correct.\Are you taking me and Mother to celebrate the Heavenly Lord's birthday?\Celebrate? response:	Your mother doesn't like to go to these sorts of banquet.
context: How can you bear to part now?\Have you forgotten what day it is?\What day is it?\Let me think about what day it is in Heaven.\- Oh! It's the Heavenly Lord's birthday! - That's correct.\Are you taking me and Mother to celebrate the Heavenly Lord's birthday?\Celebrate?\Your mother doesn't like to go to these sorts of banquet. response:	I will just go by myself.
context: Have you forgotten what day it is?\What day is it?\Let me think about what day it is in Heaven.\- Oh! It's the Heavenly Lord's birthday! - That's correct.\Are you taking me and Mother to celebrate the Heavenly Lord's birthday?\Celebrate?\Your mother doesn't like to go to these sorts of banquet.\I will just go by myself. response:	All right.
context: What day is it?\Let me think about what day it is in Heaven.\- Oh! It's the Heavenly Lord's birthday! - That's correct.\Are you taking me and Mother to celebrate the Heavenly Lord's birthday?\Celebrate?\Your mother doesn't like to go to these sorts of banquet.\I will just go by myself.\All right. response:	Don't worry. I will bring Riceball back.
context: Let me think about what day it is in Heaven.\- Oh! It's the Heavenly Lord's birthday! - That's correct.\Are you taking me and Mother to celebrate the Heavenly Lord's birthday?\Celebrate?\Your mother doesn't like to go to these sorts of banquet.\I will just go by myself.\All right.\Don't worry. I will bring Riceball back. response:	Aunt, you're back!
context: - Oh! It's the Heavenly Lord's birthday! - That's correct.\Are you taking me and Mother to celebrate the Heavenly Lord's birthday?\Celebrate?\Your mother doesn't like to go to these sorts of banquet.\I will just go by myself.\All right.\Don't worry. I will bring Riceball back.\Aunt, you're back! response:	Where is the Crown Prince?
context: Are you taking me and Mother to celebrate the Heavenly Lord's birthday?\Celebrate?\Your mother doesn't like to go to these sorts of banquet.\I will just go by myself.\All right.\Don't worry. I will bring Riceball back.\Aunt, you're back!\Where is the Crown Prince? response:	He returned to the Celestial Palace.
context: Celebrate?\Your mother doesn't like to go to these sorts of banquet.\I will just go by myself.\All right.\Don't worry. I will bring Riceball back.\Aunt, you're back!\Where is the Crown Prince?\He returned to the Celestial Palace. response:	He said he'll be gone for a few days on business.
context: Your mother doesn't like to go to these sorts of banquet.\I will just go by myself.\All right.\Don't worry. I will bring Riceball back.\Aunt, you're back!\Where is the Crown Prince?\He returned to the Celestial Palace.\He said he'll be gone for a few days on business. response:	Doesn't that mean there won't be anyone to cook for you?
context: I will just go by myself.\All right.\Don't worry. I will bring Riceball back.\Aunt, you're back!\Where is the Crown Prince?\He returned to the Celestial Palace.\He said he'll be gone for a few days on business.\Doesn't that mean there won't be anyone to cook for you? response:	Go to the market in the afternoon to buy some loquats.
context: All right.\Don't worry. I will bring Riceball back.\Aunt, you're back!\Where is the Crown Prince?\He returned to the Celestial Palace.\He said he'll be gone for a few days on business.\Doesn't that mean there won't be anyone to cook for you?\Go to the market in the afternoon to buy some loquats. response:	Your Highness is indeed punctual.
context: Don't worry. I will bring Riceball back.\Aunt, you're back!\Where is the Crown Prince?\He returned to the Celestial Palace.\He said he'll be gone for a few days on business.\Doesn't that mean there won't be anyone to cook for you?\Go to the market in the afternoon to buy some loquats.\Your Highness is indeed punctual. response:	I had exactly enough time to finish my cup of tea. Just as you said.
context: Aunt, you're back!\Where is the Crown Prince?\He returned to the Celestial Palace.\He said he'll be gone for a few days on business.\Doesn't that mean there won't be anyone to cook for you?\Go to the market in the afternoon to buy some loquats.\Your Highness is indeed punctual.\I had exactly enough time to finish my cup of tea. Just as you said. response:	I just encountered that group of people in the Mortal Realm.
context: Where is the Crown Prince?\He returned to the Celestial Palace.\He said he'll be gone for a few days on business.\Doesn't that mean there won't be anyone to cook for you?\Go to the market in the afternoon to buy some loquats.\Your Highness is indeed punctual.\I had exactly enough time to finish my cup of tea. Just as you said.\I just encountered that group of people in the Mortal Realm. response:	Your Highness has encountered them as well?
context: He returned to the Celestial Palace.\He said he'll be gone for a few days on business.\Doesn't that mean there won't be anyone to cook for you?\Go to the market in the afternoon to buy some loquats.\Your Highness is indeed punctual.\I had exactly enough time to finish my cup of tea. Just as you said.\I just encountered that group of people in the Mortal Realm.\Your Highness has encountered them as well? response:	How could they dare attack Your Highness?
context: He said he'll be gone for a few days on business.\Doesn't that mean there won't be anyone to cook for you?\Go to the market in the afternoon to buy some loquats.\Your Highness is indeed punctual.\I had exactly enough time to finish my cup of tea. Just as you said.\I just encountered that group of people in the Mortal Realm.\Your Highness has encountered them as well?\How could they dare attack Your Highness? response:	They were not after me.
context: Doesn't that mean there won't be anyone to cook for you?\Go to the market in the afternoon to buy some loquats.\Your Highness is indeed punctual.\I had exactly enough time to finish my cup of tea. Just as you said.\I just encountered that group of people in the Mortal Realm.\Your Highness has encountered them as well?\How could they dare attack Your Highness?\They were not after me. response:	They were after the life of a high immortal
context: Go to the market in the afternoon to buy some loquats.\Your Highness is indeed punctual.\I had exactly enough time to finish my cup of tea. Just as you said.\I just encountered that group of people in the Mortal Realm.\Your Highness has encountered them as well?\How could they dare attack Your Highness?\They were not after me.\They were after the life of a high immortal response:	but my subject, Tian Shu, happened to come across them.
context: Your Highness is indeed punctual.\I had exactly enough time to finish my cup of tea. Just as you said.\I just encountered that group of people in the Mortal Realm.\Your Highness has encountered them as well?\How could they dare attack Your Highness?\They were not after me.\They were after the life of a high immortal\but my subject, Tian Shu, happened to come across them. response:	Did Your Highness capture anyone alive?
context: I had exactly enough time to finish my cup of tea. Just as you said.\I just encountered that group of people in the Mortal Realm.\Your Highness has encountered them as well?\How could they dare attack Your Highness?\They were not after me.\They were after the life of a high immortal\but my subject, Tian Shu, happened to come across them.\Did Your Highness capture anyone alive? response:	It would have been of no use. They were created by demonic magic.
context: I just encountered that group of people in the Mortal Realm.\Your Highness has encountered them as well?\How could they dare attack Your Highness?\They were not after me.\They were after the life of a high immortal\but my subject, Tian Shu, happened to come across them.\Did Your Highness capture anyone alive?\It would have been of no use. They were created by demonic magic. response:	Yes, it is demonic magic. They come from the Ghost Realm.
context: Your Highness has encountered them as well?\How could they dare attack Your Highness?\They were not after me.\They were after the life of a high immortal\but my subject, Tian Shu, happened to come across them.\Did Your Highness capture anyone alive?\It would have been of no use. They were created by demonic magic.\Yes, it is demonic magic. They come from the Ghost Realm. response:	But the Ghost Realm pledged allegiance to the Celestial Tribe.
context: How could they dare attack Your Highness?\They were not after me.\They were after the life of a high immortal\but my subject, Tian Shu, happened to come across them.\Did Your Highness capture anyone alive?\It would have been of no use. They were created by demonic magic.\Yes, it is demonic magic. They come from the Ghost Realm.\But the Ghost Realm pledged allegiance to the Celestial Tribe. response:	Why would they do this now?
context: They were not after me.\They were after the life of a high immortal\but my subject, Tian Shu, happened to come across them.\Did Your Highness capture anyone alive?\It would have been of no use. They were created by demonic magic.\Yes, it is demonic magic. They come from the Ghost Realm.\But the Ghost Realm pledged allegiance to the Celestial Tribe.\Why would they do this now? response:	Keep this matter quiet for now.
context: They were after the life of a high immortal\but my subject, Tian Shu, happened to come across them.\Did Your Highness capture anyone alive?\It would have been of no use. They were created by demonic magic.\Yes, it is demonic magic. They come from the Ghost Realm.\But the Ghost Realm pledged allegiance to the Celestial Tribe.\Why would they do this now?\Keep this matter quiet for now. response:	First determine the identities of the immortals who were attacked.
context: but my subject, Tian Shu, happened to come across them.\Did Your Highness capture anyone alive?\It would have been of no use. They were created by demonic magic.\Yes, it is demonic magic. They come from the Ghost Realm.\But the Ghost Realm pledged allegiance to the Celestial Tribe.\Why would they do this now?\Keep this matter quiet for now.\First determine the identities of the immortals who were attacked. response:	Yes.
context: Did Your Highness capture anyone alive?\It would have been of no use. They were created by demonic magic.\Yes, it is demonic magic. They come from the Ghost Realm.\But the Ghost Realm pledged allegiance to the Celestial Tribe.\Why would they do this now?\Keep this matter quiet for now.\First determine the identities of the immortals who were attacked.\Yes. response:	Your Highness.
context: It would have been of no use. They were created by demonic magic.\Yes, it is demonic magic. They come from the Ghost Realm.\But the Ghost Realm pledged allegiance to the Celestial Tribe.\Why would they do this now?\Keep this matter quiet for now.\First determine the identities of the immortals who were attacked.\Yes.\Your Highness. response:	- Has His Highness returned? - Yes, the Crown Prince is back.
context: Yes, it is demonic magic. They come from the Ghost Realm.\But the Ghost Realm pledged allegiance to the Celestial Tribe.\Why would they do this now?\Keep this matter quiet for now.\First determine the identities of the immortals who were attacked.\Yes.\Your Highness.\- Has His Highness returned? - Yes, the Crown Prince is back. response:	Is Bai Qian of Qing Qiu with him?
context: But the Ghost Realm pledged allegiance to the Celestial Tribe.\Why would they do this now?\Keep this matter quiet for now.\First determine the identities of the immortals who were attacked.\Yes.\Your Highness.\- Has His Highness returned? - Yes, the Crown Prince is back.\Is Bai Qian of Qing Qiu with him? response:	I saw the Crown Prince return alone.
context: Why would they do this now?\Keep this matter quiet for now.\First determine the identities of the immortals who were attacked.\Yes.\Your Highness.\- Has His Highness returned? - Yes, the Crown Prince is back.\Is Bai Qian of Qing Qiu with him?\I saw the Crown Prince return alone. response:	He headed straight for Zichen Hall
context: Keep this matter quiet for now.\First determine the identities of the immortals who were attacked.\Yes.\Your Highness.\- Has His Highness returned? - Yes, the Crown Prince is back.\Is Bai Qian of Qing Qiu with him?\I saw the Crown Prince return alone.\He headed straight for Zichen Hall response:	to speak with the West Sea's Second Prince
context: First determine the identities of the immortals who were attacked.\Yes.\Your Highness.\- Has His Highness returned? - Yes, the Crown Prince is back.\Is Bai Qian of Qing Qiu with him?\I saw the Crown Prince return alone.\He headed straight for Zichen Hall\to speak with the West Sea's Second Prince response:	He has yet to go to the banquet.
context: Yes.\Your Highness.\- Has His Highness returned? - Yes, the Crown Prince is back.\Is Bai Qian of Qing Qiu with him?\I saw the Crown Prince return alone.\He headed straight for Zichen Hall\to speak with the West Sea's Second Prince\He has yet to go to the banquet. response:	Good. It is best that she is not here.
context: Your Highness.\- Has His Highness returned? - Yes, the Crown Prince is back.\Is Bai Qian of Qing Qiu with him?\I saw the Crown Prince return alone.\He headed straight for Zichen Hall\to speak with the West Sea's Second Prince\He has yet to go to the banquet.\Good. It is best that she is not here. response:	Now I have absolute confidence in keeping Ye Hua here.
context: - Has His Highness returned? - Yes, the Crown Prince is back.\Is Bai Qian of Qing Qiu with him?\I saw the Crown Prince return alone.\He headed straight for Zichen Hall\to speak with the West Sea's Second Prince\He has yet to go to the banquet.\Good. It is best that she is not here.\Now I have absolute confidence in keeping Ye Hua here. response:	Your Highness, I'm afraid...
context: Is Bai Qian of Qing Qiu with him?\I saw the Crown Prince return alone.\He headed straight for Zichen Hall\to speak with the West Sea's Second Prince\He has yet to go to the banquet.\Good. It is best that she is not here.\Now I have absolute confidence in keeping Ye Hua here.\Your Highness, I'm afraid... response:	No need to be afraid.
context: I saw the Crown Prince return alone.\He headed straight for Zichen Hall\to speak with the West Sea's Second Prince\He has yet to go to the banquet.\Good. It is best that she is not here.\Now I have absolute confidence in keeping Ye Hua here.\Your Highness, I'm afraid...\No need to be afraid. response:	The Heavenly Lord has always despised the snake.
context: He headed straight for Zichen Hall\to speak with the West Sea's Second Prince\He has yet to go to the banquet.\Good. It is best that she is not here.\Now I have absolute confidence in keeping Ye Hua here.\Your Highness, I'm afraid...\No need to be afraid.\The Heavenly Lord has always despised the snake. response:	By association, he also dislikes the snake's son, Yuan Zhen.
context: to speak with the West Sea's Second Prince\He has yet to go to the banquet.\Good. It is best that she is not here.\Now I have absolute confidence in keeping Ye Hua here.\Your Highness, I'm afraid...\No need to be afraid.\The Heavenly Lord has always despised the snake.\By association, he also dislikes the snake's son, Yuan Zhen. response:	The tension has eased only in recent years.
context: He has yet to go to the banquet.\Good. It is best that she is not here.\Now I have absolute confidence in keeping Ye Hua here.\Your Highness, I'm afraid...\No need to be afraid.\The Heavenly Lord has always despised the snake.\By association, he also dislikes the snake's son, Yuan Zhen.\The tension has eased only in recent years. response:	If...
context: Good. It is best that she is not here.\Now I have absolute confidence in keeping Ye Hua here.\Your Highness, I'm afraid...\No need to be afraid.\The Heavenly Lord has always despised the snake.\By association, he also dislikes the snake's son, Yuan Zhen.\The tension has eased only in recent years.\If... response:	If Yuan Zhen were to molest me
context: Now I have absolute confidence in keeping Ye Hua here.\Your Highness, I'm afraid...\No need to be afraid.\The Heavenly Lord has always despised the snake.\By association, he also dislikes the snake's son, Yuan Zhen.\The tension has eased only in recent years.\If...\If Yuan Zhen were to molest me response:	the Heavenly Lord would certainly not forgive him.
context: Your Highness, I'm afraid...\No need to be afraid.\The Heavenly Lord has always despised the snake.\By association, he also dislikes the snake's son, Yuan Zhen.\The tension has eased only in recent years.\If...\If Yuan Zhen were to molest me\the Heavenly Lord would certainly not forgive him. response:	Therefore, there is no need to worry.
context: No need to be afraid.\The Heavenly Lord has always despised the snake.\By association, he also dislikes the snake's son, Yuan Zhen.\The tension has eased only in recent years.\If...\If Yuan Zhen were to molest me\the Heavenly Lord would certainly not forgive him.\Therefore, there is no need to worry. response:	In the Heavenly Lord's eyes, I am very important.
context: The Heavenly Lord has always despised the snake.\By association, he also dislikes the snake's son, Yuan Zhen.\The tension has eased only in recent years.\If...\If Yuan Zhen were to molest me\the Heavenly Lord would certainly not forgive him.\Therefore, there is no need to worry.\In the Heavenly Lord's eyes, I am very important. response:	He has looked after me since I was young. Even if he disregards these affections
context: By association, he also dislikes the snake's son, Yuan Zhen.\The tension has eased only in recent years.\If...\If Yuan Zhen were to molest me\the Heavenly Lord would certainly not forgive him.\Therefore, there is no need to worry.\In the Heavenly Lord's eyes, I am very important.\He has looked after me since I was young. Even if he disregards these affections response:	he will still uphold justice for me out of respect for the other clan leaders.
context: The tension has eased only in recent years.\If...\If Yuan Zhen were to molest me\the Heavenly Lord would certainly not forgive him.\Therefore, there is no need to worry.\In the Heavenly Lord's eyes, I am very important.\He has looked after me since I was young. Even if he disregards these affections\he will still uphold justice for me out of respect for the other clan leaders. response:	I am Ye Hua's side consort.
context: If...\If Yuan Zhen were to molest me\the Heavenly Lord would certainly not forgive him.\Therefore, there is no need to worry.\In the Heavenly Lord's eyes, I am very important.\He has looked after me since I was young. Even if he disregards these affections\he will still uphold justice for me out of respect for the other clan leaders.\I am Ye Hua's side consort. response:	If I am molested by his cousin
context: If Yuan Zhen were to molest me\the Heavenly Lord would certainly not forgive him.\Therefore, there is no need to worry.\In the Heavenly Lord's eyes, I am very important.\He has looked after me since I was young. Even if he disregards these affections\he will still uphold justice for me out of respect for the other clan leaders.\I am Ye Hua's side consort.\If I am molested by his cousin response:	no matter which way it's put, it is a serious matter.
context: the Heavenly Lord would certainly not forgive him.\Therefore, there is no need to worry.\In the Heavenly Lord's eyes, I am very important.\He has looked after me since I was young. Even if he disregards these affections\he will still uphold justice for me out of respect for the other clan leaders.\I am Ye Hua's side consort.\If I am molested by his cousin\no matter which way it's put, it is a serious matter. response:	Ye Hua will have to stay in the Celestial Palace for a few days.
context: Therefore, there is no need to worry.\In the Heavenly Lord's eyes, I am very important.\He has looked after me since I was young. Even if he disregards these affections\he will still uphold justice for me out of respect for the other clan leaders.\I am Ye Hua's side consort.\If I am molested by his cousin\no matter which way it's put, it is a serious matter.\Ye Hua will have to stay in the Celestial Palace for a few days. response:	The main priority now is to keep him here in the Celestial Palace
context: In the Heavenly Lord's eyes, I am very important.\He has looked after me since I was young. Even if he disregards these affections\he will still uphold justice for me out of respect for the other clan leaders.\I am Ye Hua's side consort.\If I am molested by his cousin\no matter which way it's put, it is a serious matter.\Ye Hua will have to stay in the Celestial Palace for a few days.\The main priority now is to keep him here in the Celestial Palace response:	so he can't go to Qing Qiu and be enticed by that nine-tailed fox.
context: He has looked after me since I was young. Even if he disregards these affections\he will still uphold justice for me out of respect for the other clan leaders.\I am Ye Hua's side consort.\If I am molested by his cousin\no matter which way it's put, it is a serious matter.\Ye Hua will have to stay in the Celestial Palace for a few days.\The main priority now is to keep him here in the Celestial Palace\so he can't go to Qing Qiu and be enticed by that nine-tailed fox. response:	Make preparations here.
context: he will still uphold justice for me out of respect for the other clan leaders.\I am Ye Hua's side consort.\If I am molested by his cousin\no matter which way it's put, it is a serious matter.\Ye Hua will have to stay in the Celestial Palace for a few days.\The main priority now is to keep him here in the Celestial Palace\so he can't go to Qing Qiu and be enticed by that nine-tailed fox.\Make preparations here. response:	I will go find Yuan Zhen and try to lead him here.
context: I am Ye Hua's side consort.\If I am molested by his cousin\no matter which way it's put, it is a serious matter.\Ye Hua will have to stay in the Celestial Palace for a few days.\The main priority now is to keep him here in the Celestial Palace\so he can't go to Qing Qiu and be enticed by that nine-tailed fox.\Make preparations here.\I will go find Yuan Zhen and try to lead him here. response:	Yes, Your Highness.
context: If I am molested by his cousin\no matter which way it's put, it is a serious matter.\Ye Hua will have to stay in the Celestial Palace for a few days.\The main priority now is to keep him here in the Celestial Palace\so he can't go to Qing Qiu and be enticed by that nine-tailed fox.\Make preparations here.\I will go find Yuan Zhen and try to lead him here.\Yes, Your Highness. response:	That's the eldest son of the Water King of the North Sea?
context: no matter which way it's put, it is a serious matter.\Ye Hua will have to stay in the Celestial Palace for a few days.\The main priority now is to keep him here in the Celestial Palace\so he can't go to Qing Qiu and be enticed by that nine-tailed fox.\Make preparations here.\I will go find Yuan Zhen and try to lead him here.\Yes, Your Highness.\That's the eldest son of the Water King of the North Sea? response:	Yes. Look at how pitiful he is.
context: Ye Hua will have to stay in the Celestial Palace for a few days.\The main priority now is to keep him here in the Celestial Palace\so he can't go to Qing Qiu and be enticed by that nine-tailed fox.\Make preparations here.\I will go find Yuan Zhen and try to lead him here.\Yes, Your Highness.\That's the eldest son of the Water King of the North Sea?\Yes. Look at how pitiful he is. response:	He is the Heavenly Lord's grandson, but he has to wait here
context: The main priority now is to keep him here in the Celestial Palace\so he can't go to Qing Qiu and be enticed by that nine-tailed fox.\Make preparations here.\I will go find Yuan Zhen and try to lead him here.\Yes, Your Highness.\That's the eldest son of the Water King of the North Sea?\Yes. Look at how pitiful he is.\He is the Heavenly Lord's grandson, but he has to wait here response:	and can't go in directly to make his greetings.
context: so he can't go to Qing Qiu and be enticed by that nine-tailed fox.\Make preparations here.\I will go find Yuan Zhen and try to lead him here.\Yes, Your Highness.\That's the eldest son of the Water King of the North Sea?\Yes. Look at how pitiful he is.\He is the Heavenly Lord's grandson, but he has to wait here\and can't go in directly to make his greetings. response:	Who told the Water King to marry that snake?
context: Make preparations here.\I will go find Yuan Zhen and try to lead him here.\Yes, Your Highness.\That's the eldest son of the Water King of the North Sea?\Yes. Look at how pitiful he is.\He is the Heavenly Lord's grandson, but he has to wait here\and can't go in directly to make his greetings.\Who told the Water King to marry that snake? response:	Exactly.
context: I will go find Yuan Zhen and try to lead him here.\Yes, Your Highness.\That's the eldest son of the Water King of the North Sea?\Yes. Look at how pitiful he is.\He is the Heavenly Lord's grandson, but he has to wait here\and can't go in directly to make his greetings.\Who told the Water King to marry that snake?\Exactly. response:	Who are you? Is there something you need my help with?
context: Yes, Your Highness.\That's the eldest son of the Water King of the North Sea?\Yes. Look at how pitiful he is.\He is the Heavenly Lord's grandson, but he has to wait here\and can't go in directly to make his greetings.\Who told the Water King to marry that snake?\Exactly.\Who are you? Is there something you need my help with? response:	You should call me Consort Su Jin.
context: That's the eldest son of the Water King of the North Sea?\Yes. Look at how pitiful he is.\He is the Heavenly Lord's grandson, but he has to wait here\and can't go in directly to make his greetings.\Who told the Water King to marry that snake?\Exactly.\Who are you? Is there something you need my help with?\You should call me Consort Su Jin. response:	You are Consort Su Jin?
context: Yes. Look at how pitiful he is.\He is the Heavenly Lord's grandson, but he has to wait here\and can't go in directly to make his greetings.\Who told the Water King to marry that snake?\Exactly.\Who are you? Is there something you need my help with?\You should call me Consort Su Jin.\You are Consort Su Jin? response:	Greetings, Consort Su Jin.
context: He is the Heavenly Lord's grandson, but he has to wait here\and can't go in directly to make his greetings.\Who told the Water King to marry that snake?\Exactly.\Who are you? Is there something you need my help with?\You should call me Consort Su Jin.\You are Consort Su Jin?\Greetings, Consort Su Jin. response:	According to seniority, I am your cousin's wife.
context: and can't go in directly to make his greetings.\Who told the Water King to marry that snake?\Exactly.\Who are you? Is there something you need my help with?\You should call me Consort Su Jin.\You are Consort Su Jin?\Greetings, Consort Su Jin.\According to seniority, I am your cousin's wife. response:	There is no need for such formalities like we're strangers.
context: Who told the Water King to marry that snake?\Exactly.\Who are you? Is there something you need my help with?\You should call me Consort Su Jin.\You are Consort Su Jin?\Greetings, Consort Su Jin.\According to seniority, I am your cousin's wife.\There is no need for such formalities like we're strangers. response:	Don't take what those servants said to heart.
context: Exactly.\Who are you? Is there something you need my help with?\You should call me Consort Su Jin.\You are Consort Su Jin?\Greetings, Consort Su Jin.\According to seniority, I am your cousin's wife.\There is no need for such formalities like we're strangers.\Don't take what those servants said to heart. response:	What is the point of living a long life?
context: Who are you? Is there something you need my help with?\You should call me Consort Su Jin.\You are Consort Su Jin?\Greetings, Consort Su Jin.\According to seniority, I am your cousin's wife.\There is no need for such formalities like we're strangers.\Don't take what those servants said to heart.\What is the point of living a long life? response:	What is most important is being with the ones you love.
context: You should call me Consort Su Jin.\You are Consort Su Jin?\Greetings, Consort Su Jin.\According to seniority, I am your cousin's wife.\There is no need for such formalities like we're strangers.\Don't take what those servants said to heart.\What is the point of living a long life?\What is most important is being with the ones you love. response:	I am very envious of the love your parents have for each other.
context: You are Consort Su Jin?\Greetings, Consort Su Jin.\According to seniority, I am your cousin's wife.\There is no need for such formalities like we're strangers.\Don't take what those servants said to heart.\What is the point of living a long life?\What is most important is being with the ones you love.\I am very envious of the love your parents have for each other. response:	You are right, Your Highness.
context: Greetings, Consort Su Jin.\According to seniority, I am your cousin's wife.\There is no need for such formalities like we're strangers.\Don't take what those servants said to heart.\What is the point of living a long life?\What is most important is being with the ones you love.\I am very envious of the love your parents have for each other.\You are right, Your Highness. response:	By the way, why are you here alone?
context: According to seniority, I am your cousin's wife.\There is no need for such formalities like we're strangers.\Don't take what those servants said to heart.\What is the point of living a long life?\What is most important is being with the ones you love.\I am very envious of the love your parents have for each other.\You are right, Your Highness.\By the way, why are you here alone? response:	Father left to give his greetings to the Heavenly Lord.
