context: Looks like Kakarrot has decided to lay low. response:	What a coward.
context: It's Son Goku! Son Goku is coming! I knew he was sure to come!\Damn that bastard, making us wait for him!\F- Father! Father really is coming! Hurry!\G- Goku...\Kakarrot?\Where is he?\These guys have the unusual ability to sense someone's presence.\Is it Kakarrot? Let's see... response:	I'm close. I can feel them. There are two enormous Ki,
context: Damn that bastard, making us wait for him!\F- Father! Father really is coming! Hurry!\G- Goku...\Kakarrot?\Where is he?\These guys have the unusual ability to sense someone's presence.\Is it Kakarrot? Let's see...\I'm close. I can feel them. There are two enormous Ki, response:	two even more enormous Ki, and one small Ki...
context: F- Father! Father really is coming! Hurry!\G- Goku...\Kakarrot?\Where is he?\These guys have the unusual ability to sense someone's presence.\Is it Kakarrot? Let's see...\I'm close. I can feel them. There are two enormous Ki,\two even more enormous Ki, and one small Ki... response:	That number ain't right. Has somebody died?
context: G- Goku...\Kakarrot?\Where is he?\These guys have the unusual ability to sense someone's presence.\Is it Kakarrot? Let's see...\I'm close. I can feel them. There are two enormous Ki,\two even more enormous Ki, and one small Ki...\That number ain't right. Has somebody died? response:	Kinto Un, please hurry faster!
context: Kakarrot?\Where is he?\These guys have the unusual ability to sense someone's presence.\Is it Kakarrot? Let's see...\I'm close. I can feel them. There are two enormous Ki,\two even more enormous Ki, and one small Ki...\That number ain't right. Has somebody died?\Kinto Un, please hurry faster! response:	Vegeta- sama!
context: Where is he?\These guys have the unusual ability to sense someone's presence.\Is it Kakarrot? Let's see...\I'm close. I can feel them. There are two enormous Ki,\two even more enormous Ki, and one small Ki...\That number ain't right. Has somebody died?\Kinto Un, please hurry faster!\Vegeta- sama! response:	Is what these guys are saying true?
context: These guys have the unusual ability to sense someone's presence.\Is it Kakarrot? Let's see...\I'm close. I can feel them. There are two enormous Ki,\two even more enormous Ki, and one small Ki...\That number ain't right. Has somebody died?\Kinto Un, please hurry faster!\Vegeta- sama!\Is what these guys are saying true? response:	Is Kakarrot really headed this way?
context: Is it Kakarrot? Let's see...\I'm close. I can feel them. There are two enormous Ki,\two even more enormous Ki, and one small Ki...\That number ain't right. Has somebody died?\Kinto Un, please hurry faster!\Vegeta- sama!\Is what these guys are saying true?\Is Kakarrot really headed this way? response:	I don't know whether it's Kakarrot or not,
context: I'm close. I can feel them. There are two enormous Ki,\two even more enormous Ki, and one small Ki...\That number ain't right. Has somebody died?\Kinto Un, please hurry faster!\Vegeta- sama!\Is what these guys are saying true?\Is Kakarrot really headed this way?\I don't know whether it's Kakarrot or not, response:	but someone will be here in about four minutes.
context: two even more enormous Ki, and one small Ki...\That number ain't right. Has somebody died?\Kinto Un, please hurry faster!\Vegeta- sama!\Is what these guys are saying true?\Is Kakarrot really headed this way?\I don't know whether it's Kakarrot or not,\but someone will be here in about four minutes. response:	Someone with a battle power of 5000.
context: That number ain't right. Has somebody died?\Kinto Un, please hurry faster!\Vegeta- sama!\Is what these guys are saying true?\Is Kakarrot really headed this way?\I don't know whether it's Kakarrot or not,\but someone will be here in about four minutes.\Someone with a battle power of 5000. response:	Five- five thousand!? That's impossible!
context: Kinto Un, please hurry faster!\Vegeta- sama!\Is what these guys are saying true?\Is Kakarrot really headed this way?\I don't know whether it's Kakarrot or not,\but someone will be here in about four minutes.\Someone with a battle power of 5000.\Five- five thousand!? That's impossible! response:	lt's definitely a reading that makes it unthinkable
context: Vegeta- sama!\Is what these guys are saying true?\Is Kakarrot really headed this way?\I don't know whether it's Kakarrot or not,\but someone will be here in about four minutes.\Someone with a battle power of 5000.\Five- five thousand!? That's impossible!\lt's definitely a reading that makes it unthinkable response:	that this is the same Kakarrot as before.
context: Is what these guys are saying true?\Is Kakarrot really headed this way?\I don't know whether it's Kakarrot or not,\but someone will be here in about four minutes.\Someone with a battle power of 5000.\Five- five thousand!? That's impossible!\lt's definitely a reading that makes it unthinkable\that this is the same Kakarrot as before. response:	What's more, these guys are able to alter their readings.
context: Is Kakarrot really headed this way?\I don't know whether it's Kakarrot or not,\but someone will be here in about four minutes.\Someone with a battle power of 5000.\Five- five thousand!? That's impossible!\lt's definitely a reading that makes it unthinkable\that this is the same Kakarrot as before.\What's more, these guys are able to alter their readings. response:	That means it's at least 5000.
context: I don't know whether it's Kakarrot or not,\but someone will be here in about four minutes.\Someone with a battle power of 5000.\Five- five thousand!? That's impossible!\lt's definitely a reading that makes it unthinkable\that this is the same Kakarrot as before.\What's more, these guys are able to alter their readings.\That means it's at least 5000. response:	T- that can't be! It must be some kind of mistake!
context: but someone will be here in about four minutes.\Someone with a battle power of 5000.\Five- five thousand!? That's impossible!\lt's definitely a reading that makes it unthinkable\that this is the same Kakarrot as before.\What's more, these guys are able to alter their readings.\That means it's at least 5000.\T- that can't be! It must be some kind of mistake! response:	It's unusual to see this guy panicked.
context: Someone with a battle power of 5000.\Five- five thousand!? That's impossible!\lt's definitely a reading that makes it unthinkable\that this is the same Kakarrot as before.\What's more, these guys are able to alter their readings.\That means it's at least 5000.\T- that can't be! It must be some kind of mistake!\It's unusual to see this guy panicked. response:	Nappa! Kill them! If all four of them team up, it could be a problem for us!
context: Five- five thousand!? That's impossible!\lt's definitely a reading that makes it unthinkable\that this is the same Kakarrot as before.\What's more, these guys are able to alter their readings.\That means it's at least 5000.\T- that can't be! It must be some kind of mistake!\It's unusual to see this guy panicked.\Nappa! Kill them! If all four of them team up, it could be a problem for us! response:	It will also serve as a warning to Kakarrot!
context: lt's definitely a reading that makes it unthinkable\that this is the same Kakarrot as before.\What's more, these guys are able to alter their readings.\That means it's at least 5000.\T- that can't be! It must be some kind of mistake!\It's unusual to see this guy panicked.\Nappa! Kill them! If all four of them team up, it could be a problem for us!\It will also serve as a warning to Kakarrot! response:	What!?
context: that this is the same Kakarrot as before.\What's more, these guys are able to alter their readings.\That means it's at least 5000.\T- that can't be! It must be some kind of mistake!\It's unusual to see this guy panicked.\Nappa! Kill them! If all four of them team up, it could be a problem for us!\It will also serve as a warning to Kakarrot!\What!? response:	But what about the Dragon Balls?
context: What's more, these guys are able to alter their readings.\That means it's at least 5000.\T- that can't be! It must be some kind of mistake!\It's unusual to see this guy panicked.\Nappa! Kill them! If all four of them team up, it could be a problem for us!\It will also serve as a warning to Kakarrot!\What!?\But what about the Dragon Balls? response:	I don't care! I have an idea.
context: That means it's at least 5000.\T- that can't be! It must be some kind of mistake!\It's unusual to see this guy panicked.\Nappa! Kill them! If all four of them team up, it could be a problem for us!\It will also serve as a warning to Kakarrot!\What!?\But what about the Dragon Balls?\I don't care! I have an idea. response:	If we go to Planet Namek, the home world of that Namekian,
context: T- that can't be! It must be some kind of mistake!\It's unusual to see this guy panicked.\Nappa! Kill them! If all four of them team up, it could be a problem for us!\It will also serve as a warning to Kakarrot!\What!?\But what about the Dragon Balls?\I don't care! I have an idea.\If we go to Planet Namek, the home world of that Namekian, response:	I'm sure that there will be Dragon Balls that are even more powerful.
context: It's unusual to see this guy panicked.\Nappa! Kill them! If all four of them team up, it could be a problem for us!\It will also serve as a warning to Kakarrot!\What!?\But what about the Dragon Balls?\I don't care! I have an idea.\If we go to Planet Namek, the home world of that Namekian,\I'm sure that there will be Dragon Balls that are even more powerful. response:	I thought they were just worthless stories,
context: Nappa! Kill them! If all four of them team up, it could be a problem for us!\It will also serve as a warning to Kakarrot!\What!?\But what about the Dragon Balls?\I don't care! I have an idea.\If we go to Planet Namek, the home world of that Namekian,\I'm sure that there will be Dragon Balls that are even more powerful.\I thought they were just worthless stories, response:	but if Kakarrot really has come back to life,
context: It will also serve as a warning to Kakarrot!\What!?\But what about the Dragon Balls?\I don't care! I have an idea.\If we go to Planet Namek, the home world of that Namekian,\I'm sure that there will be Dragon Balls that are even more powerful.\I thought they were just worthless stories,\but if Kakarrot really has come back to life, response:	then those legends are true after all.
context: What!?\But what about the Dragon Balls?\I don't care! I have an idea.\If we go to Planet Namek, the home world of that Namekian,\I'm sure that there will be Dragon Balls that are even more powerful.\I thought they were just worthless stories,\but if Kakarrot really has come back to life,\then those legends are true after all. response:	I get you. But Kakarrot being 5000 has to be a mechanical malfunction.
context: But what about the Dragon Balls?\I don't care! I have an idea.\If we go to Planet Namek, the home world of that Namekian,\I'm sure that there will be Dragon Balls that are even more powerful.\I thought they were just worthless stories,\but if Kakarrot really has come back to life,\then those legends are true after all.\I get you. But Kakarrot being 5000 has to be a mechanical malfunction. response:	Well, it doesn't matter. It doesn't change the fact that I get to kill them all.
context: I don't care! I have an idea.\If we go to Planet Namek, the home world of that Namekian,\I'm sure that there will be Dragon Balls that are even more powerful.\I thought they were just worthless stories,\but if Kakarrot really has come back to life,\then those legends are true after all.\I get you. But Kakarrot being 5000 has to be a mechanical malfunction.\Well, it doesn't matter. It doesn't change the fact that I get to kill them all. response:	I'll start with you!
context: If we go to Planet Namek, the home world of that Namekian,\I'm sure that there will be Dragon Balls that are even more powerful.\I thought they were just worthless stories,\but if Kakarrot really has come back to life,\then those legends are true after all.\I get you. But Kakarrot being 5000 has to be a mechanical malfunction.\Well, it doesn't matter. It doesn't change the fact that I get to kill them all.\I'll start with you! response:	P- Piccolo- san, run!
context: I'm sure that there will be Dragon Balls that are even more powerful.\I thought they were just worthless stories,\but if Kakarrot really has come back to life,\then those legends are true after all.\I get you. But Kakarrot being 5000 has to be a mechanical malfunction.\Well, it doesn't matter. It doesn't change the fact that I get to kill them all.\I'll start with you!\P- Piccolo- san, run! response:	I'll stop him one way or another until Father gets here!
context: I thought they were just worthless stories,\but if Kakarrot really has come back to life,\then those legends are true after all.\I get you. But Kakarrot being 5000 has to be a mechanical malfunction.\Well, it doesn't matter. It doesn't change the fact that I get to kill them all.\I'll start with you!\P- Piccolo- san, run!\I'll stop him one way or another until Father gets here! response:	What!?
context: but if Kakarrot really has come back to life,\then those legends are true after all.\I get you. But Kakarrot being 5000 has to be a mechanical malfunction.\Well, it doesn't matter. It doesn't change the fact that I get to kill them all.\I'll start with you!\P- Piccolo- san, run!\I'll stop him one way or another until Father gets here!\What!? response:	After all, if you die, Piccolo- san, then Kami- sama dies too,
context: then those legends are true after all.\I get you. But Kakarrot being 5000 has to be a mechanical malfunction.\Well, it doesn't matter. It doesn't change the fact that I get to kill them all.\I'll start with you!\P- Piccolo- san, run!\I'll stop him one way or another until Father gets here!\What!?\After all, if you die, Piccolo- san, then Kami- sama dies too, response:	and the Dragon Balls will...
context: I get you. But Kakarrot being 5000 has to be a mechanical malfunction.\Well, it doesn't matter. It doesn't change the fact that I get to kill them all.\I'll start with you!\P- Piccolo- san, run!\I'll stop him one way or another until Father gets here!\What!?\After all, if you die, Piccolo- san, then Kami- sama dies too,\and the Dragon Balls will... response:	You're talking nonsense! There's no way you can stop him by yourself!
context: Well, it doesn't matter. It doesn't change the fact that I get to kill them all.\I'll start with you!\P- Piccolo- san, run!\I'll stop him one way or another until Father gets here!\What!?\After all, if you die, Piccolo- san, then Kami- sama dies too,\and the Dragon Balls will...\You're talking nonsense! There's no way you can stop him by yourself! response:	Stop me, you say? Me?
context: I'll start with you!\P- Piccolo- san, run!\I'll stop him one way or another until Father gets here!\What!?\After all, if you die, Piccolo- san, then Kami- sama dies too,\and the Dragon Balls will...\You're talking nonsense! There's no way you can stop him by yourself!\Stop me, you say? Me? response:	I- if this keeps up, there won't be any going back...
context: P- Piccolo- san, run!\I'll stop him one way or another until Father gets here!\What!?\After all, if you die, Piccolo- san, then Kami- sama dies too,\and the Dragon Balls will...\You're talking nonsense! There's no way you can stop him by yourself!\Stop me, you say? Me?\I- if this keeps up, there won't be any going back... response:	I- it's no use... I can't move...
context: I'll stop him one way or another until Father gets here!\What!?\After all, if you die, Piccolo- san, then Kami- sama dies too,\and the Dragon Balls will...\You're talking nonsense! There's no way you can stop him by yourself!\Stop me, you say? Me?\I- if this keeps up, there won't be any going back...\I- it's no use... I can't move... response:	Don't make me laugh, you brat!
context: What!?\After all, if you die, Piccolo- san, then Kami- sama dies too,\and the Dragon Balls will...\You're talking nonsense! There's no way you can stop him by yourself!\Stop me, you say? Me?\I- if this keeps up, there won't be any going back...\I- it's no use... I can't move...\Don't make me laugh, you brat! response:	No!
context: After all, if you die, Piccolo- san, then Kami- sama dies too,\and the Dragon Balls will...\You're talking nonsense! There's no way you can stop him by yourself!\Stop me, you say? Me?\I- if this keeps up, there won't be any going back...\I- it's no use... I can't move...\Don't make me laugh, you brat!\No! response:	I- incredible! D- did he get him?
context: and the Dragon Balls will...\You're talking nonsense! There's no way you can stop him by yourself!\Stop me, you say? Me?\I- if this keeps up, there won't be any going back...\I- it's no use... I can't move...\Don't make me laugh, you brat!\No!\I- incredible! D- did he get him? response:	Why, you brat! This is where it ends!
context: You're talking nonsense! There's no way you can stop him by yourself!\Stop me, you say? Me?\I- if this keeps up, there won't be any going back...\I- it's no use... I can't move...\Don't make me laugh, you brat!\No!\I- incredible! D- did he get him?\Why, you brat! This is where it ends! response:	N- no!
context: Stop me, you say? Me?\I- if this keeps up, there won't be any going back...\I- it's no use... I can't move...\Don't make me laugh, you brat!\No!\I- incredible! D- did he get him?\Why, you brat! This is where it ends!\N- no! response:	Goku...
context: I- if this keeps up, there won't be any going back...\I- it's no use... I can't move...\Don't make me laugh, you brat!\No!\I- incredible! D- did he get him?\Why, you brat! This is where it ends!\N- no!\Goku... response:	Die!!
context: I- it's no use... I can't move...\Don't make me laugh, you brat!\No!\I- incredible! D- did he get him?\Why, you brat! This is where it ends!\N- no!\Goku...\Die!! response:	Who- who are you?
context: Don't make me laugh, you brat!\No!\I- incredible! D- did he get him?\Why, you brat! This is where it ends!\N- no!\Goku...\Die!!\Who- who are you? response:	They're sour!
context: No!\I- incredible! D- did he get him?\Why, you brat! This is where it ends!\N- no!\Goku...\Die!!\Who- who are you?\They're sour! response:	Piccolo leaps in to rescue Gohan from his pinch.
context: I- incredible! D- did he get him?\Why, you brat! This is where it ends!\N- no!\Goku...\Die!!\Who- who are you?\They're sour!\Piccolo leaps in to rescue Gohan from his pinch. response:	What will be Piccolo's fate?
context: Why, you brat! This is where it ends!\N- no!\Goku...\Die!!\Who- who are you?\They're sour!\Piccolo leaps in to rescue Gohan from his pinch.\What will be Piccolo's fate? response:	Hurry, Goku!
