context: I'm sorry. I couldn't make breakfast... response:	Don't be stupid. You have such a high fever!
context: we can't get her too excited.\At the least, she will get a nosebleed.\I'd like things to be gradual,\like Hey? Can that really be Yusarin? or something like that.\Then I'll have my disguise mask on.\All right! Then, can you hang out here for a bit?\Guests? Who are they?\Big Brother Yu is home! response:	Oh, elder brother sir, sorry to be intruding!
context: At the least, she will get a nosebleed.\I'd like things to be gradual,\like Hey? Can that really be Yusarin? or something like that.\Then I'll have my disguise mask on.\All right! Then, can you hang out here for a bit?\Guests? Who are they?\Big Brother Yu is home!\Oh, elder brother sir, sorry to be intruding! response:	I'm Nomura, the class representative!
context: I'd like things to be gradual,\like Hey? Can that really be Yusarin? or something like that.\Then I'll have my disguise mask on.\All right! Then, can you hang out here for a bit?\Guests? Who are they?\Big Brother Yu is home!\Oh, elder brother sir, sorry to be intruding!\I'm Nomura, the class representative! response:	We came here in order to visit Ayucchi while she's sick!
context: like Hey? Can that really be Yusarin? or something like that.\Then I'll have my disguise mask on.\All right! Then, can you hang out here for a bit?\Guests? Who are they?\Big Brother Yu is home!\Oh, elder brother sir, sorry to be intruding!\I'm Nomura, the class representative!\We came here in order to visit Ayucchi while she's sick! response:	I'm Oikawa.
context: Then I'll have my disguise mask on.\All right! Then, can you hang out here for a bit?\Guests? Who are they?\Big Brother Yu is home!\Oh, elder brother sir, sorry to be intruding!\I'm Nomura, the class representative!\We came here in order to visit Ayucchi while she's sick!\I'm Oikawa. response:	Your little sister is allowing me to be her friend.
context: All right! Then, can you hang out here for a bit?\Guests? Who are they?\Big Brother Yu is home!\Oh, elder brother sir, sorry to be intruding!\I'm Nomura, the class representative!\We came here in order to visit Ayucchi while she's sick!\I'm Oikawa.\Your little sister is allowing me to be her friend. response:	It is a pleasure meeting you.
context: Guests? Who are they?\Big Brother Yu is home!\Oh, elder brother sir, sorry to be intruding!\I'm Nomura, the class representative!\We came here in order to visit Ayucchi while she's sick!\I'm Oikawa.\Your little sister is allowing me to be her friend.\It is a pleasure meeting you. response:	Can your brown-nosing be more obvious than that?
context: Big Brother Yu is home!\Oh, elder brother sir, sorry to be intruding!\I'm Nomura, the class representative!\We came here in order to visit Ayucchi while she's sick!\I'm Oikawa.\Your little sister is allowing me to be her friend.\It is a pleasure meeting you.\Can your brown-nosing be more obvious than that? response:	You already got denied once. Ayucchi will hate you even more if you do that!
context: Oh, elder brother sir, sorry to be intruding!\I'm Nomura, the class representative!\We came here in order to visit Ayucchi while she's sick!\I'm Oikawa.\Your little sister is allowing me to be her friend.\It is a pleasure meeting you.\Can your brown-nosing be more obvious than that?\You already got denied once. Ayucchi will hate you even more if you do that! response:	So this is the guy that asked Ayumi out and got dumped..?
context: I'm Nomura, the class representative!\We came here in order to visit Ayucchi while she's sick!\I'm Oikawa.\Your little sister is allowing me to be her friend.\It is a pleasure meeting you.\Can your brown-nosing be more obvious than that?\You already got denied once. Ayucchi will hate you even more if you do that!\So this is the guy that asked Ayumi out and got dumped..? response:	Sorry to barge in with so many people!
context: We came here in order to visit Ayucchi while she's sick!\I'm Oikawa.\Your little sister is allowing me to be her friend.\It is a pleasure meeting you.\Can your brown-nosing be more obvious than that?\You already got denied once. Ayucchi will hate you even more if you do that!\So this is the guy that asked Ayumi out and got dumped..?\Sorry to barge in with so many people! response:	Come on, both of you, let's go home!
context: I'm Oikawa.\Your little sister is allowing me to be her friend.\It is a pleasure meeting you.\Can your brown-nosing be more obvious than that?\You already got denied once. Ayucchi will hate you even more if you do that!\So this is the guy that asked Ayumi out and got dumped..?\Sorry to barge in with so many people!\Come on, both of you, let's go home! response:	Elder brother sir, sorry to be so rowdy!
context: Your little sister is allowing me to be her friend.\It is a pleasure meeting you.\Can your brown-nosing be more obvious than that?\You already got denied once. Ayucchi will hate you even more if you do that!\So this is the guy that asked Ayumi out and got dumped..?\Sorry to barge in with so many people!\Come on, both of you, let's go home!\Elder brother sir, sorry to be so rowdy! response:	And Ayucchi, get better soon!
context: It is a pleasure meeting you.\Can your brown-nosing be more obvious than that?\You already got denied once. Ayucchi will hate you even more if you do that!\So this is the guy that asked Ayumi out and got dumped..?\Sorry to barge in with so many people!\Come on, both of you, let's go home!\Elder brother sir, sorry to be so rowdy!\And Ayucchi, get better soon! response:	Hello! Excuse me, or rather, sorry for coming in already!
context: Can your brown-nosing be more obvious than that?\You already got denied once. Ayucchi will hate you even more if you do that!\So this is the guy that asked Ayumi out and got dumped..?\Sorry to barge in with so many people!\Come on, both of you, let's go home!\Elder brother sir, sorry to be so rowdy!\And Ayucchi, get better soon!\Hello! Excuse me, or rather, sorry for coming in already! response:	Wait! I didn't call for you yet!
context: You already got denied once. Ayucchi will hate you even more if you do that!\So this is the guy that asked Ayumi out and got dumped..?\Sorry to barge in with so many people!\Come on, both of you, let's go home!\Elder brother sir, sorry to be so rowdy!\And Ayucchi, get better soon!\Hello! Excuse me, or rather, sorry for coming in already!\Wait! I didn't call for you yet! response:	I thought it was just a personnel swap...
context: So this is the guy that asked Ayumi out and got dumped..?\Sorry to barge in with so many people!\Come on, both of you, let's go home!\Elder brother sir, sorry to be so rowdy!\And Ayucchi, get better soon!\Hello! Excuse me, or rather, sorry for coming in already!\Wait! I didn't call for you yet!\I thought it was just a personnel swap... response:	It's Big Sister Tomori!
context: Sorry to barge in with so many people!\Come on, both of you, let's go home!\Elder brother sir, sorry to be so rowdy!\And Ayucchi, get better soon!\Hello! Excuse me, or rather, sorry for coming in already!\Wait! I didn't call for you yet!\I thought it was just a personnel swap...\It's Big Sister Tomori! response:	You got to see me again, see?
context: Come on, both of you, let's go home!\Elder brother sir, sorry to be so rowdy!\And Ayucchi, get better soon!\Hello! Excuse me, or rather, sorry for coming in already!\Wait! I didn't call for you yet!\I thought it was just a personnel swap...\It's Big Sister Tomori!\You got to see me again, see? response:	Can it be that you're now Big Brother's girlfriend?
context: Elder brother sir, sorry to be so rowdy!\And Ayucchi, get better soon!\Hello! Excuse me, or rather, sorry for coming in already!\Wait! I didn't call for you yet!\I thought it was just a personnel swap...\It's Big Sister Tomori!\You got to see me again, see?\Can it be that you're now Big Brother's girlfriend? response:	No way!
context: And Ayucchi, get better soon!\Hello! Excuse me, or rather, sorry for coming in already!\Wait! I didn't call for you yet!\I thought it was just a personnel swap...\It's Big Sister Tomori!\You got to see me again, see?\Can it be that you're now Big Brother's girlfriend?\No way! response:	But you guys make a good couple...
context: Hello! Excuse me, or rather, sorry for coming in already!\Wait! I didn't call for you yet!\I thought it was just a personnel swap...\It's Big Sister Tomori!\You got to see me again, see?\Can it be that you're now Big Brother's girlfriend?\No way!\But you guys make a good couple... response:	Well... we have one more guest.
context: Wait! I didn't call for you yet!\I thought it was just a personnel swap...\It's Big Sister Tomori!\You got to see me again, see?\Can it be that you're now Big Brother's girlfriend?\No way!\But you guys make a good couple...\Well... we have one more guest. response:	Nice to meet you.
context: I thought it was just a personnel swap...\It's Big Sister Tomori!\You got to see me again, see?\Can it be that you're now Big Brother's girlfriend?\No way!\But you guys make a good couple...\Well... we have one more guest.\Nice to meet you. response:	Yu sa ri n...
context: It's Big Sister Tomori!\You got to see me again, see?\Can it be that you're now Big Brother's girlfriend?\No way!\But you guys make a good couple...\Well... we have one more guest.\Nice to meet you.\Yu sa ri n... response:	She saw through me instantly!
context: You got to see me again, see?\Can it be that you're now Big Brother's girlfriend?\No way!\But you guys make a good couple...\Well... we have one more guest.\Nice to meet you.\Yu sa ri n...\She saw through me instantly! response:	I'll stop her bleeding!
context: Can it be that you're now Big Brother's girlfriend?\No way!\But you guys make a good couple...\Well... we have one more guest.\Nice to meet you.\Yu sa ri n...\She saw through me instantly!\I'll stop her bleeding! response:	Make sure to breathe from your mouth.
context: No way!\But you guys make a good couple...\Well... we have one more guest.\Nice to meet you.\Yu sa ri n...\She saw through me instantly!\I'll stop her bleeding!\Make sure to breathe from your mouth. response:	There, it stopped now.
context: But you guys make a good couple...\Well... we have one more guest.\Nice to meet you.\Yu sa ri n...\She saw through me instantly!\I'll stop her bleeding!\Make sure to breathe from your mouth.\There, it stopped now. response:	You're right! That's amazing!
context: Well... we have one more guest.\Nice to meet you.\Yu sa ri n...\She saw through me instantly!\I'll stop her bleeding!\Make sure to breathe from your mouth.\There, it stopped now.\You're right! That's amazing! response:	I'm so glad.
context: Nice to meet you.\Yu sa ri n...\She saw through me instantly!\I'll stop her bleeding!\Make sure to breathe from your mouth.\There, it stopped now.\You're right! That's amazing!\I'm so glad. response:	Yu sa ri n...
context: Yu sa ri n...\She saw through me instantly!\I'll stop her bleeding!\Make sure to breathe from your mouth.\There, it stopped now.\You're right! That's amazing!\I'm so glad.\Yu sa ri n... response:	I'll stop her bleeding!
context: She saw through me instantly!\I'll stop her bleeding!\Make sure to breathe from your mouth.\There, it stopped now.\You're right! That's amazing!\I'm so glad.\Yu sa ri n...\I'll stop her bleeding! response:	Should I cast my magic charm that stops nosebleeds?
context: I'll stop her bleeding!\Make sure to breathe from your mouth.\There, it stopped now.\You're right! That's amazing!\I'm so glad.\Yu sa ri n...\I'll stop her bleeding!\Should I cast my magic charm that stops nosebleeds? response:	No, I think it will do the opposite of what you intend, so please don't...
context: Make sure to breathe from your mouth.\There, it stopped now.\You're right! That's amazing!\I'm so glad.\Yu sa ri n...\I'll stop her bleeding!\Should I cast my magic charm that stops nosebleeds?\No, I think it will do the opposite of what you intend, so please don't... response:	Yusarin in the flesh. Boy, was I surprised!
context: There, it stopped now.\You're right! That's amazing!\I'm so glad.\Yu sa ri n...\I'll stop her bleeding!\Should I cast my magic charm that stops nosebleeds?\No, I think it will do the opposite of what you intend, so please don't...\Yusarin in the flesh. Boy, was I surprised! response:	You finally calmed down?
context: You're right! That's amazing!\I'm so glad.\Yu sa ri n...\I'll stop her bleeding!\Should I cast my magic charm that stops nosebleeds?\No, I think it will do the opposite of what you intend, so please don't...\Yusarin in the flesh. Boy, was I surprised!\You finally calmed down? response:	I'm glad!
context: I'm so glad.\Yu sa ri n...\I'll stop her bleeding!\Should I cast my magic charm that stops nosebleeds?\No, I think it will do the opposite of what you intend, so please don't...\Yusarin in the flesh. Boy, was I surprised!\You finally calmed down?\I'm glad! response:	Oh, these are some cookies as a get-well gift. I'll leave them here!
context: Yu sa ri n...\I'll stop her bleeding!\Should I cast my magic charm that stops nosebleeds?\No, I think it will do the opposite of what you intend, so please don't...\Yusarin in the flesh. Boy, was I surprised!\You finally calmed down?\I'm glad!\Oh, these are some cookies as a get-well gift. I'll leave them here! response:	N-No way! I made Yusarin worry about me!
context: I'll stop her bleeding!\Should I cast my magic charm that stops nosebleeds?\No, I think it will do the opposite of what you intend, so please don't...\Yusarin in the flesh. Boy, was I surprised!\You finally calmed down?\I'm glad!\Oh, these are some cookies as a get-well gift. I'll leave them here!\N-No way! I made Yusarin worry about me! response:	She's nothing more than one of my classmates right now.
context: Should I cast my magic charm that stops nosebleeds?\No, I think it will do the opposite of what you intend, so please don't...\Yusarin in the flesh. Boy, was I surprised!\You finally calmed down?\I'm glad!\Oh, these are some cookies as a get-well gift. I'll leave them here!\N-No way! I made Yusarin worry about me!\She's nothing more than one of my classmates right now. response:	Don't think about it too much.
context: No, I think it will do the opposite of what you intend, so please don't...\Yusarin in the flesh. Boy, was I surprised!\You finally calmed down?\I'm glad!\Oh, these are some cookies as a get-well gift. I'll leave them here!\N-No way! I made Yusarin worry about me!\She's nothing more than one of my classmates right now.\Don't think about it too much. response:	Right, right!
context: Yusarin in the flesh. Boy, was I surprised!\You finally calmed down?\I'm glad!\Oh, these are some cookies as a get-well gift. I'll leave them here!\N-No way! I made Yusarin worry about me!\She's nothing more than one of my classmates right now.\Don't think about it too much.\Right, right! response:	Her speech patterns are starting to catch on already...
context: You finally calmed down?\I'm glad!\Oh, these are some cookies as a get-well gift. I'll leave them here!\N-No way! I made Yusarin worry about me!\She's nothing more than one of my classmates right now.\Don't think about it too much.\Right, right!\Her speech patterns are starting to catch on already... response:	And the get-well gift from me is... this!
context: I'm glad!\Oh, these are some cookies as a get-well gift. I'll leave them here!\N-No way! I made Yusarin worry about me!\She's nothing more than one of my classmates right now.\Don't think about it too much.\Right, right!\Her speech patterns are starting to catch on already...\And the get-well gift from me is... this! response:	I love those!
context: Oh, these are some cookies as a get-well gift. I'll leave them here!\N-No way! I made Yusarin worry about me!\She's nothing more than one of my classmates right now.\Don't think about it too much.\Right, right!\Her speech patterns are starting to catch on already...\And the get-well gift from me is... this!\I love those! response:	Do you have an appetite? We bought some pouched porridge.
context: N-No way! I made Yusarin worry about me!\She's nothing more than one of my classmates right now.\Don't think about it too much.\Right, right!\Her speech patterns are starting to catch on already...\And the get-well gift from me is... this!\I love those!\Do you have an appetite? We bought some pouched porridge. response:	What about you, Big Brother?
context: She's nothing more than one of my classmates right now.\Don't think about it too much.\Right, right!\Her speech patterns are starting to catch on already...\And the get-well gift from me is... this!\I love those!\Do you have an appetite? We bought some pouched porridge.\What about you, Big Brother? response:	We're eating porridge, too.
context: Don't think about it too much.\Right, right!\Her speech patterns are starting to catch on already...\And the get-well gift from me is... this!\I love those!\Do you have an appetite? We bought some pouched porridge.\What about you, Big Brother?\We're eating porridge, too. response:	Porridge for all!
context: Right, right!\Her speech patterns are starting to catch on already...\And the get-well gift from me is... this!\I love those!\Do you have an appetite? We bought some pouched porridge.\What about you, Big Brother?\We're eating porridge, too.\Porridge for all! response:	Time to eat!
context: Her speech patterns are starting to catch on already...\And the get-well gift from me is... this!\I love those!\Do you have an appetite? We bought some pouched porridge.\What about you, Big Brother?\We're eating porridge, too.\Porridge for all!\Time to eat! response:	It's super-duper-delicious!
context: And the get-well gift from me is... this!\I love those!\Do you have an appetite? We bought some pouched porridge.\What about you, Big Brother?\We're eating porridge, too.\Porridge for all!\Time to eat!\It's super-duper-delicious! response:	Isn't it? Isn't it?
context: I love those!\Do you have an appetite? We bought some pouched porridge.\What about you, Big Brother?\We're eating porridge, too.\Porridge for all!\Time to eat!\It's super-duper-delicious!\Isn't it? Isn't it? response:	Thank you for the meal!
context: Do you have an appetite? We bought some pouched porridge.\What about you, Big Brother?\We're eating porridge, too.\Porridge for all!\Time to eat!\It's super-duper-delicious!\Isn't it? Isn't it?\Thank you for the meal! response:	Thank you for the meal...
context: What about you, Big Brother?\We're eating porridge, too.\Porridge for all!\Time to eat!\It's super-duper-delicious!\Isn't it? Isn't it?\Thank you for the meal!\Thank you for the meal... response:	Excuse me.
context: We're eating porridge, too.\Porridge for all!\Time to eat!\It's super-duper-delicious!\Isn't it? Isn't it?\Thank you for the meal!\Thank you for the meal...\Excuse me. response:	Thank you for the hard work. Yes... Yes, I understand. Excuse me now...
context: Porridge for all!\Time to eat!\It's super-duper-delicious!\Isn't it? Isn't it?\Thank you for the meal!\Thank you for the meal...\Excuse me.\Thank you for the hard work. Yes... Yes, I understand. Excuse me now... response:	I'm so sorry, I have to go work now!
context: Time to eat!\It's super-duper-delicious!\Isn't it? Isn't it?\Thank you for the meal!\Thank you for the meal...\Excuse me.\Thank you for the hard work. Yes... Yes, I understand. Excuse me now...\I'm so sorry, I have to go work now! response:	You're talking to a current showbiz celebrity. Don't complain.
context: It's super-duper-delicious!\Isn't it? Isn't it?\Thank you for the meal!\Thank you for the meal...\Excuse me.\Thank you for the hard work. Yes... Yes, I understand. Excuse me now...\I'm so sorry, I have to go work now!\You're talking to a current showbiz celebrity. Don't complain. response:	That is exactly correct!
context: Isn't it? Isn't it?\Thank you for the meal!\Thank you for the meal...\Excuse me.\Thank you for the hard work. Yes... Yes, I understand. Excuse me now...\I'm so sorry, I have to go work now!\You're talking to a current showbiz celebrity. Don't complain.\That is exactly correct! response:	Please do your best at your work!
context: Thank you for the meal!\Thank you for the meal...\Excuse me.\Thank you for the hard work. Yes... Yes, I understand. Excuse me now...\I'm so sorry, I have to go work now!\You're talking to a current showbiz celebrity. Don't complain.\That is exactly correct!\Please do your best at your work! response:	Sure! With that, I'll be going now. Ayumi, please get better soon!
context: Thank you for the meal...\Excuse me.\Thank you for the hard work. Yes... Yes, I understand. Excuse me now...\I'm so sorry, I have to go work now!\You're talking to a current showbiz celebrity. Don't complain.\That is exactly correct!\Please do your best at your work!\Sure! With that, I'll be going now. Ayumi, please get better soon! response:	Yusarin! Thank you so much for coming!
context: Excuse me.\Thank you for the hard work. Yes... Yes, I understand. Excuse me now...\I'm so sorry, I have to go work now!\You're talking to a current showbiz celebrity. Don't complain.\That is exactly correct!\Please do your best at your work!\Sure! With that, I'll be going now. Ayumi, please get better soon!\Yusarin! Thank you so much for coming! response:	Gratitude and thankfulness falling like rain and hail!
context: Thank you for the hard work. Yes... Yes, I understand. Excuse me now...\I'm so sorry, I have to go work now!\You're talking to a current showbiz celebrity. Don't complain.\That is exactly correct!\Please do your best at your work!\Sure! With that, I'll be going now. Ayumi, please get better soon!\Yusarin! Thank you so much for coming!\Gratitude and thankfulness falling like rain and hail! response:	Then I guess we'll clean up now.
context: I'm so sorry, I have to go work now!\You're talking to a current showbiz celebrity. Don't complain.\That is exactly correct!\Please do your best at your work!\Sure! With that, I'll be going now. Ayumi, please get better soon!\Yusarin! Thank you so much for coming!\Gratitude and thankfulness falling like rain and hail!\Then I guess we'll clean up now. response:	You're not going to wash them?
context: You're talking to a current showbiz celebrity. Don't complain.\That is exactly correct!\Please do your best at your work!\Sure! With that, I'll be going now. Ayumi, please get better soon!\Yusarin! Thank you so much for coming!\Gratitude and thankfulness falling like rain and hail!\Then I guess we'll clean up now.\You're not going to wash them? response:	You can wash this many dishes at any point in time.
context: That is exactly correct!\Please do your best at your work!\Sure! With that, I'll be going now. Ayumi, please get better soon!\Yusarin! Thank you so much for coming!\Gratitude and thankfulness falling like rain and hail!\Then I guess we'll clean up now.\You're not going to wash them?\You can wash this many dishes at any point in time. response:	What blood type are you?
context: Please do your best at your work!\Sure! With that, I'll be going now. Ayumi, please get better soon!\Yusarin! Thank you so much for coming!\Gratitude and thankfulness falling like rain and hail!\Then I guess we'll clean up now.\You're not going to wash them?\You can wash this many dishes at any point in time.\What blood type are you? response:	I'm washing it now. You can at least dry them with a dishcloth!
context: Sure! With that, I'll be going now. Ayumi, please get better soon!\Yusarin! Thank you so much for coming!\Gratitude and thankfulness falling like rain and hail!\Then I guess we'll clean up now.\You're not going to wash them?\You can wash this many dishes at any point in time.\What blood type are you?\I'm washing it now. You can at least dry them with a dishcloth! response:	S-Sure...
context: Yusarin! Thank you so much for coming!\Gratitude and thankfulness falling like rain and hail!\Then I guess we'll clean up now.\You're not going to wash them?\You can wash this many dishes at any point in time.\What blood type are you?\I'm washing it now. You can at least dry them with a dishcloth!\S-Sure... response:	So you two really might be dating and keeping it a secret from Ayu!
context: Gratitude and thankfulness falling like rain and hail!\Then I guess we'll clean up now.\You're not going to wash them?\You can wash this many dishes at any point in time.\What blood type are you?\I'm washing it now. You can at least dry them with a dishcloth!\S-Sure...\So you two really might be dating and keeping it a secret from Ayu! response:	That won't happen.
context: Then I guess we'll clean up now.\You're not going to wash them?\You can wash this many dishes at any point in time.\What blood type are you?\I'm washing it now. You can at least dry them with a dishcloth!\S-Sure...\So you two really might be dating and keeping it a secret from Ayu!\That won't happen. response:	You two are so compatible! Is that how you hide your bashfulness?
context: You're not going to wash them?\You can wash this many dishes at any point in time.\What blood type are you?\I'm washing it now. You can at least dry them with a dishcloth!\S-Sure...\So you two really might be dating and keeping it a secret from Ayu!\That won't happen.\You two are so compatible! Is that how you hide your bashfulness? response:	You're seriously wrong.
context: You can wash this many dishes at any point in time.\What blood type are you?\I'm washing it now. You can at least dry them with a dishcloth!\S-Sure...\So you two really might be dating and keeping it a secret from Ayu!\That won't happen.\You two are so compatible! Is that how you hide your bashfulness?\You're seriously wrong. response:	Come now... Ayu thinks you two are totally a great couple.
context: What blood type are you?\I'm washing it now. You can at least dry them with a dishcloth!\S-Sure...\So you two really might be dating and keeping it a secret from Ayu!\That won't happen.\You two are so compatible! Is that how you hide your bashfulness?\You're seriously wrong.\Come now... Ayu thinks you two are totally a great couple. response:	Attractive and intelligent boys like this chump is someone
context: I'm washing it now. You can at least dry them with a dishcloth!\S-Sure...\So you two really might be dating and keeping it a secret from Ayu!\That won't happen.\You two are so compatible! Is that how you hide your bashfulness?\You're seriously wrong.\Come now... Ayu thinks you two are totally a great couple.\Attractive and intelligent boys like this chump is someone response:	I can never be a good match for.
context: S-Sure...\So you two really might be dating and keeping it a secret from Ayu!\That won't happen.\You two are so compatible! Is that how you hide your bashfulness?\You're seriously wrong.\Come now... Ayu thinks you two are totally a great couple.\Attractive and intelligent boys like this chump is someone\I can never be a good match for. response:	I think you're such a good match that you're even too good for Big Brother Yu.
context: So you two really might be dating and keeping it a secret from Ayu!\That won't happen.\You two are so compatible! Is that how you hide your bashfulness?\You're seriously wrong.\Come now... Ayu thinks you two are totally a great couple.\Attractive and intelligent boys like this chump is someone\I can never be a good match for.\I think you're such a good match that you're even too good for Big Brother Yu. response:	Don't be fooled, Ayumi!
context: That won't happen.\You two are so compatible! Is that how you hide your bashfulness?\You're seriously wrong.\Come now... Ayu thinks you two are totally a great couple.\Attractive and intelligent boys like this chump is someone\I can never be a good match for.\I think you're such a good match that you're even too good for Big Brother Yu.\Don't be fooled, Ayumi! response:	Realize that all the compliments are contradicting as she used the word chump!
context: You two are so compatible! Is that how you hide your bashfulness?\You're seriously wrong.\Come now... Ayu thinks you two are totally a great couple.\Attractive and intelligent boys like this chump is someone\I can never be a good match for.\I think you're such a good match that you're even too good for Big Brother Yu.\Don't be fooled, Ayumi!\Realize that all the compliments are contradicting as she used the word chump! response:	Come on, shut up and go watch some TV.
context: You're seriously wrong.\Come now... Ayu thinks you two are totally a great couple.\Attractive and intelligent boys like this chump is someone\I can never be a good match for.\I think you're such a good match that you're even too good for Big Brother Yu.\Don't be fooled, Ayumi!\Realize that all the compliments are contradicting as she used the word chump!\Come on, shut up and go watch some TV. response:	Fine.
context: Come now... Ayu thinks you two are totally a great couple.\Attractive and intelligent boys like this chump is someone\I can never be a good match for.\I think you're such a good match that you're even too good for Big Brother Yu.\Don't be fooled, Ayumi!\Realize that all the compliments are contradicting as she used the word chump!\Come on, shut up and go watch some TV.\Fine. response:	Wow, that was fast! Yusarin moves at amazing speeds!
context: Attractive and intelligent boys like this chump is someone\I can never be a good match for.\I think you're such a good match that you're even too good for Big Brother Yu.\Don't be fooled, Ayumi!\Realize that all the compliments are contradicting as she used the word chump!\Come on, shut up and go watch some TV.\Fine.\Wow, that was fast! Yusarin moves at amazing speeds! response:	That's pre-recorded...
context: I can never be a good match for.\I think you're such a good match that you're even too good for Big Brother Yu.\Don't be fooled, Ayumi!\Realize that all the compliments are contradicting as she used the word chump!\Come on, shut up and go watch some TV.\Fine.\Wow, that was fast! Yusarin moves at amazing speeds!\That's pre-recorded... response:	Oh, I see...
context: I think you're such a good match that you're even too good for Big Brother Yu.\Don't be fooled, Ayumi!\Realize that all the compliments are contradicting as she used the word chump!\Come on, shut up and go watch some TV.\Fine.\Wow, that was fast! Yusarin moves at amazing speeds!\That's pre-recorded...\Oh, I see... response:	Here, some medicine.
context: Don't be fooled, Ayumi!\Realize that all the compliments are contradicting as she used the word chump!\Come on, shut up and go watch some TV.\Fine.\Wow, that was fast! Yusarin moves at amazing speeds!\That's pre-recorded...\Oh, I see...\Here, some medicine. response:	You turn in for today. I'll tuck you in.
context: Realize that all the compliments are contradicting as she used the word chump!\Come on, shut up and go watch some TV.\Fine.\Wow, that was fast! Yusarin moves at amazing speeds!\That's pre-recorded...\Oh, I see...\Here, some medicine.\You turn in for today. I'll tuck you in. response:	It's a good thing you have a great big brother.
context: Come on, shut up and go watch some TV.\Fine.\Wow, that was fast! Yusarin moves at amazing speeds!\That's pre-recorded...\Oh, I see...\Here, some medicine.\You turn in for today. I'll tuck you in.\It's a good thing you have a great big brother. response:	Yeah, but I'm slightly scared of going to sleep...
context: Fine.\Wow, that was fast! Yusarin moves at amazing speeds!\That's pre-recorded...\Oh, I see...\Here, some medicine.\You turn in for today. I'll tuck you in.\It's a good thing you have a great big brother.\Yeah, but I'm slightly scared of going to sleep... response:	What's wrong?
context: Wow, that was fast! Yusarin moves at amazing speeds!\That's pre-recorded...\Oh, I see...\Here, some medicine.\You turn in for today. I'll tuck you in.\It's a good thing you have a great big brother.\Yeah, but I'm slightly scared of going to sleep...\What's wrong? response:	I had a scary dream this afternoon.
context: That's pre-recorded...\Oh, I see...\Here, some medicine.\You turn in for today. I'll tuck you in.\It's a good thing you have a great big brother.\Yeah, but I'm slightly scared of going to sleep...\What's wrong?\I had a scary dream this afternoon. response:	Well, if you have a fever, it's common for you to have a nightmare,
context: Oh, I see...\Here, some medicine.\You turn in for today. I'll tuck you in.\It's a good thing you have a great big brother.\Yeah, but I'm slightly scared of going to sleep...\What's wrong?\I had a scary dream this afternoon.\Well, if you have a fever, it's common for you to have a nightmare, response:	so there's nothing to be uneasy about.
context: Here, some medicine.\You turn in for today. I'll tuck you in.\It's a good thing you have a great big brother.\Yeah, but I'm slightly scared of going to sleep...\What's wrong?\I had a scary dream this afternoon.\Well, if you have a fever, it's common for you to have a nightmare,\so there's nothing to be uneasy about. response:	By the way, what kind of dream was it?
context: You turn in for today. I'll tuck you in.\It's a good thing you have a great big brother.\Yeah, but I'm slightly scared of going to sleep...\What's wrong?\I had a scary dream this afternoon.\Well, if you have a fever, it's common for you to have a nightmare,\so there's nothing to be uneasy about.\By the way, what kind of dream was it? response:	Don't ask something like that because it will remind her of the nightmare!
context: It's a good thing you have a great big brother.\Yeah, but I'm slightly scared of going to sleep...\What's wrong?\I had a scary dream this afternoon.\Well, if you have a fever, it's common for you to have a nightmare,\so there's nothing to be uneasy about.\By the way, what kind of dream was it?\Don't ask something like that because it will remind her of the nightmare! response:	Indeed...
context: Yeah, but I'm slightly scared of going to sleep...\What's wrong?\I had a scary dream this afternoon.\Well, if you have a fever, it's common for you to have a nightmare,\so there's nothing to be uneasy about.\By the way, what kind of dream was it?\Don't ask something like that because it will remind her of the nightmare!\Indeed... response:	Then, I'll be going now. Sorry to have bothered you.
context: What's wrong?\I had a scary dream this afternoon.\Well, if you have a fever, it's common for you to have a nightmare,\so there's nothing to be uneasy about.\By the way, what kind of dream was it?\Don't ask something like that because it will remind her of the nightmare!\Indeed...\Then, I'll be going now. Sorry to have bothered you. response:	I am eagerly awaiting your next patronage.
context: I had a scary dream this afternoon.\Well, if you have a fever, it's common for you to have a nightmare,\so there's nothing to be uneasy about.\By the way, what kind of dream was it?\Don't ask something like that because it will remind her of the nightmare!\Indeed...\Then, I'll be going now. Sorry to have bothered you.\I am eagerly awaiting your next patronage. response:	I'll see her off. I'll be right back.
context: Well, if you have a fever, it's common for you to have a nightmare,\so there's nothing to be uneasy about.\By the way, what kind of dream was it?\Don't ask something like that because it will remind her of the nightmare!\Indeed...\Then, I'll be going now. Sorry to have bothered you.\I am eagerly awaiting your next patronage.\I'll see her off. I'll be right back. response:	Really, it's nothing like that.
context: so there's nothing to be uneasy about.\By the way, what kind of dream was it?\Don't ask something like that because it will remind her of the nightmare!\Indeed...\Then, I'll be going now. Sorry to have bothered you.\I am eagerly awaiting your next patronage.\I'll see her off. I'll be right back.\Really, it's nothing like that. response:	Please ask her what the nightmare was about.
context: By the way, what kind of dream was it?\Don't ask something like that because it will remind her of the nightmare!\Indeed...\Then, I'll be going now. Sorry to have bothered you.\I am eagerly awaiting your next patronage.\I'll see her off. I'll be right back.\Really, it's nothing like that.\Please ask her what the nightmare was about. response:	It might be a clue in figuring out what the collapse ability is.
