context: April response:	Huh? A girl?
context: Whoa, hold up, Kazuya.\What is it?\I'm going to be discharged next week.\All the tests are finally done.\Now I can come see Chizuru whenever I want.\That's great!\Bye... Gah!\O-Okay... response:	Discharged, huh?
context: What is it?\I'm going to be discharged next week.\All the tests are finally done.\Now I can come see Chizuru whenever I want.\That's great!\Bye... Gah!\O-Okay...\Discharged, huh? response:	I'm glad it wasn't anything major.
context: I'm going to be discharged next week.\All the tests are finally done.\Now I can come see Chizuru whenever I want.\That's great!\Bye... Gah!\O-Okay...\Discharged, huh?\I'm glad it wasn't anything major. response:	But... I've been deceiving Gran all this time.
context: All the tests are finally done.\Now I can come see Chizuru whenever I want.\That's great!\Bye... Gah!\O-Okay...\Discharged, huh?\I'm glad it wasn't anything major.\But... I've been deceiving Gran all this time. response:	Chizuru-san, is your place, like,
context: Now I can come see Chizuru whenever I want.\That's great!\Bye... Gah!\O-Okay...\Discharged, huh?\I'm glad it wasn't anything major.\But... I've been deceiving Gran all this time.\Chizuru-san, is your place, like, response:	some really huge mansion?
context: That's great!\Bye... Gah!\O-Okay...\Discharged, huh?\I'm glad it wasn't anything major.\But... I've been deceiving Gran all this time.\Chizuru-san, is your place, like,\some really huge mansion? response:	Huh? I-I couldn't say...
context: Bye... Gah!\O-Okay...\Discharged, huh?\I'm glad it wasn't anything major.\But... I've been deceiving Gran all this time.\Chizuru-san, is your place, like,\some really huge mansion?\Huh? I-I couldn't say... response:	It's probably in a neighborhood full of mansions, too.
context: O-Okay...\Discharged, huh?\I'm glad it wasn't anything major.\But... I've been deceiving Gran all this time.\Chizuru-san, is your place, like,\some really huge mansion?\Huh? I-I couldn't say...\It's probably in a neighborhood full of mansions, too. response:	I'd wanna see that.
context: Discharged, huh?\I'm glad it wasn't anything major.\But... I've been deceiving Gran all this time.\Chizuru-san, is your place, like,\some really huge mansion?\Huh? I-I couldn't say...\It's probably in a neighborhood full of mansions, too.\I'd wanna see that. response:	I-It's pretty far away, though.
context: I'm glad it wasn't anything major.\But... I've been deceiving Gran all this time.\Chizuru-san, is your place, like,\some really huge mansion?\Huh? I-I couldn't say...\It's probably in a neighborhood full of mansions, too.\I'd wanna see that.\I-It's pretty far away, though. response:	Where in Tokyo do you live?
context: But... I've been deceiving Gran all this time.\Chizuru-san, is your place, like,\some really huge mansion?\Huh? I-I couldn't say...\It's probably in a neighborhood full of mansions, too.\I'd wanna see that.\I-It's pretty far away, though.\Where in Tokyo do you live? response:	An apartment in a skyscraper?
context: Chizuru-san, is your place, like,\some really huge mansion?\Huh? I-I couldn't say...\It's probably in a neighborhood full of mansions, too.\I'd wanna see that.\I-It's pretty far away, though.\Where in Tokyo do you live?\An apartment in a skyscraper? response:	Or, like, a fancy standalone house?
context: some really huge mansion?\Huh? I-I couldn't say...\It's probably in a neighborhood full of mansions, too.\I'd wanna see that.\I-It's pretty far away, though.\Where in Tokyo do you live?\An apartment in a skyscraper?\Or, like, a fancy standalone house? response:	U-Uh...
context: Huh? I-I couldn't say...\It's probably in a neighborhood full of mansions, too.\I'd wanna see that.\I-It's pretty far away, though.\Where in Tokyo do you live?\An apartment in a skyscraper?\Or, like, a fancy standalone house?\U-Uh... response:	Why don't we all hang out at her place when we get back?
context: It's probably in a neighborhood full of mansions, too.\I'd wanna see that.\I-It's pretty far away, though.\Where in Tokyo do you live?\An apartment in a skyscraper?\Or, like, a fancy standalone house?\U-Uh...\Why don't we all hang out at her place when we get back? response:	I-I don't know...
context: I'd wanna see that.\I-It's pretty far away, though.\Where in Tokyo do you live?\An apartment in a skyscraper?\Or, like, a fancy standalone house?\U-Uh...\Why don't we all hang out at her place when we get back?\I-I don't know... response:	Cut it out. You're putting her on the spot.
context: I-It's pretty far away, though.\Where in Tokyo do you live?\An apartment in a skyscraper?\Or, like, a fancy standalone house?\U-Uh...\Why don't we all hang out at her place when we get back?\I-I don't know...\Cut it out. You're putting her on the spot. response:	You think it's a good idea, right, Kazuya?
context: Where in Tokyo do you live?\An apartment in a skyscraper?\Or, like, a fancy standalone house?\U-Uh...\Why don't we all hang out at her place when we get back?\I-I don't know...\Cut it out. You're putting her on the spot.\You think it's a good idea, right, Kazuya? response:	W-Well...
context: An apartment in a skyscraper?\Or, like, a fancy standalone house?\U-Uh...\Why don't we all hang out at her place when we get back?\I-I don't know...\Cut it out. You're putting her on the spot.\You think it's a good idea, right, Kazuya?\W-Well... response:	Sorry I've been lying to you, Gran!
context: Or, like, a fancy standalone house?\U-Uh...\Why don't we all hang out at her place when we get back?\I-I don't know...\Cut it out. You're putting her on the spot.\You think it's a good idea, right, Kazuya?\W-Well...\Sorry I've been lying to you, Gran! response:	But I'll introduce you to my real girlfriend soon!
context: U-Uh...\Why don't we all hang out at her place when we get back?\I-I don't know...\Cut it out. You're putting her on the spot.\You think it's a good idea, right, Kazuya?\W-Well...\Sorry I've been lying to you, Gran!\But I'll introduce you to my real girlfriend soon! response:	This fake relationship with Mizuhara ends now.
context: Why don't we all hang out at her place when we get back?\I-I don't know...\Cut it out. You're putting her on the spot.\You think it's a good idea, right, Kazuya?\W-Well...\Sorry I've been lying to you, Gran!\But I'll introduce you to my real girlfriend soon!\This fake relationship with Mizuhara ends now. response:	Thanks for everything, Mizuhara.
context: I-I don't know...\Cut it out. You're putting her on the spot.\You think it's a good idea, right, Kazuya?\W-Well...\Sorry I've been lying to you, Gran!\But I'll introduce you to my real girlfriend soon!\This fake relationship with Mizuhara ends now.\Thanks for everything, Mizuhara. response:	Th-The thing is...
context: Cut it out. You're putting her on the spot.\You think it's a good idea, right, Kazuya?\W-Well...\Sorry I've been lying to you, Gran!\But I'll introduce you to my real girlfriend soon!\This fake relationship with Mizuhara ends now.\Thanks for everything, Mizuhara.\Th-The thing is... response:	Chizuru and I were actually talking about breaking up.
context: You think it's a good idea, right, Kazuya?\W-Well...\Sorry I've been lying to you, Gran!\But I'll introduce you to my real girlfriend soon!\This fake relationship with Mizuhara ends now.\Thanks for everything, Mizuhara.\Th-The thing is...\Chizuru and I were actually talking about breaking up. response:	So that's kind of an awkward question to answer.
context: W-Well...\Sorry I've been lying to you, Gran!\But I'll introduce you to my real girlfriend soon!\This fake relationship with Mizuhara ends now.\Thanks for everything, Mizuhara.\Th-The thing is...\Chizuru and I were actually talking about breaking up.\So that's kind of an awkward question to answer. response:	I-I know it's not a great time to bring this up, but you know.
context: Sorry I've been lying to you, Gran!\But I'll introduce you to my real girlfriend soon!\This fake relationship with Mizuhara ends now.\Thanks for everything, Mizuhara.\Th-The thing is...\Chizuru and I were actually talking about breaking up.\So that's kind of an awkward question to answer.\I-I know it's not a great time to bring this up, but you know. response:	Right, Chizuru?
context: But I'll introduce you to my real girlfriend soon!\This fake relationship with Mizuhara ends now.\Thanks for everything, Mizuhara.\Th-The thing is...\Chizuru and I were actually talking about breaking up.\So that's kind of an awkward question to answer.\I-I know it's not a great time to bring this up, but you know.\Right, Chizuru? response:	Th-That's right.
context: This fake relationship with Mizuhara ends now.\Thanks for everything, Mizuhara.\Th-The thing is...\Chizuru and I were actually talking about breaking up.\So that's kind of an awkward question to answer.\I-I know it's not a great time to bring this up, but you know.\Right, Chizuru?\Th-That's right. response:	W-Wait, why?!
context: Thanks for everything, Mizuhara.\Th-The thing is...\Chizuru and I were actually talking about breaking up.\So that's kind of an awkward question to answer.\I-I know it's not a great time to bring this up, but you know.\Right, Chizuru?\Th-That's right.\W-Wait, why?! response:	W-We just kinda got the blues after a while. You know how it goes.
context: Th-The thing is...\Chizuru and I were actually talking about breaking up.\So that's kind of an awkward question to answer.\I-I know it's not a great time to bring this up, but you know.\Right, Chizuru?\Th-That's right.\W-Wait, why?!\W-We just kinda got the blues after a while. You know how it goes. response:	Well, it's between the two of you.
context: Chizuru and I were actually talking about breaking up.\So that's kind of an awkward question to answer.\I-I know it's not a great time to bring this up, but you know.\Right, Chizuru?\Th-That's right.\W-Wait, why?!\W-We just kinda got the blues after a while. You know how it goes.\Well, it's between the two of you. response:	It's not our place to say anything.
context: So that's kind of an awkward question to answer.\I-I know it's not a great time to bring this up, but you know.\Right, Chizuru?\Th-That's right.\W-Wait, why?!\W-We just kinda got the blues after a while. You know how it goes.\Well, it's between the two of you.\It's not our place to say anything. response:	Th-This is for the best.
context: I-I know it's not a great time to bring this up, but you know.\Right, Chizuru?\Th-That's right.\W-Wait, why?!\W-We just kinda got the blues after a while. You know how it goes.\Well, it's between the two of you.\It's not our place to say anything.\Th-This is for the best. response:	I said I'd leave my aimless rental girlfriend life here in Izu!
context: Right, Chizuru?\Th-That's right.\W-Wait, why?!\W-We just kinda got the blues after a while. You know how it goes.\Well, it's between the two of you.\It's not our place to say anything.\Th-This is for the best.\I said I'd leave my aimless rental girlfriend life here in Izu! response:	Kazu-kun!
context: Th-That's right.\W-Wait, why?!\W-We just kinda got the blues after a while. You know how it goes.\Well, it's between the two of you.\It's not our place to say anything.\Th-This is for the best.\I said I'd leave my aimless rental girlfriend life here in Izu!\Kazu-kun! response:	What's wrong with you, dude?!
context: W-Wait, why?!\W-We just kinda got the blues after a while. You know how it goes.\Well, it's between the two of you.\It's not our place to say anything.\Th-This is for the best.\I said I'd leave my aimless rental girlfriend life here in Izu!\Kazu-kun!\What's wrong with you, dude?! response:	Kazu-chin, you ain't supposed to let your dick dictate your love life.
context: W-We just kinda got the blues after a while. You know how it goes.\Well, it's between the two of you.\It's not our place to say anything.\Th-This is for the best.\I said I'd leave my aimless rental girlfriend life here in Izu!\Kazu-kun!\What's wrong with you, dude?!\Kazu-chin, you ain't supposed to let your dick dictate your love life. response:	Calm down, Kibe!
context: Well, it's between the two of you.\It's not our place to say anything.\Th-This is for the best.\I said I'd leave my aimless rental girlfriend life here in Izu!\Kazu-kun!\What's wrong with you, dude?!\Kazu-chin, you ain't supposed to let your dick dictate your love life.\Calm down, Kibe! response:	What makes you think you can just sock me like that?!
context: It's not our place to say anything.\Th-This is for the best.\I said I'd leave my aimless rental girlfriend life here in Izu!\Kazu-kun!\What's wrong with you, dude?!\Kazu-chin, you ain't supposed to let your dick dictate your love life.\Calm down, Kibe!\What makes you think you can just sock me like that?! response:	Now you've done it, jerk!
context: Th-This is for the best.\I said I'd leave my aimless rental girlfriend life here in Izu!\Kazu-kun!\What's wrong with you, dude?!\Kazu-chin, you ain't supposed to let your dick dictate your love life.\Calm down, Kibe!\What makes you think you can just sock me like that?!\Now you've done it, jerk! response:	Your balding ass is the one that started it!
context: I said I'd leave my aimless rental girlfriend life here in Izu!\Kazu-kun!\What's wrong with you, dude?!\Kazu-chin, you ain't supposed to let your dick dictate your love life.\Calm down, Kibe!\What makes you think you can just sock me like that?!\Now you've done it, jerk!\Your balding ass is the one that started it! response:	Who's balding?!
context: Kazu-kun!\What's wrong with you, dude?!\Kazu-chin, you ain't supposed to let your dick dictate your love life.\Calm down, Kibe!\What makes you think you can just sock me like that?!\Now you've done it, jerk!\Your balding ass is the one that started it!\Who's balding?! response:	My hairline's just a little shy, is all!
context: What's wrong with you, dude?!\Kazu-chin, you ain't supposed to let your dick dictate your love life.\Calm down, Kibe!\What makes you think you can just sock me like that?!\Now you've done it, jerk!\Your balding ass is the one that started it!\Who's balding?!\My hairline's just a little shy, is all! response:	Yeah, that's called balding!
context: Kazu-chin, you ain't supposed to let your dick dictate your love life.\Calm down, Kibe!\What makes you think you can just sock me like that?!\Now you've done it, jerk!\Your balding ass is the one that started it!\Who's balding?!\My hairline's just a little shy, is all!\Yeah, that's called balding! response:	Oh, it's on, you total nitwit!
context: Calm down, Kibe!\What makes you think you can just sock me like that?!\Now you've done it, jerk!\Your balding ass is the one that started it!\Who's balding?!\My hairline's just a little shy, is all!\Yeah, that's called balding!\Oh, it's on, you total nitwit! response:	Say what?!
context: What makes you think you can just sock me like that?!\Now you've done it, jerk!\Your balding ass is the one that started it!\Who's balding?!\My hairline's just a little shy, is all!\Yeah, that's called balding!\Oh, it's on, you total nitwit!\Say what?! response:	O-Ow... Wait, s-sorry!
context: Now you've done it, jerk!\Your balding ass is the one that started it!\Who's balding?!\My hairline's just a little shy, is all!\Yeah, that's called balding!\Oh, it's on, you total nitwit!\Say what?!\O-Ow... Wait, s-sorry! response:	Stop it!
context: Your balding ass is the one that started it!\Who's balding?!\My hairline's just a little shy, is all!\Yeah, that's called balding!\Oh, it's on, you total nitwit!\Say what?!\O-Ow... Wait, s-sorry!\Stop it! response:	Knock it off, you two!
context: Who's balding?!\My hairline's just a little shy, is all!\Yeah, that's called balding!\Oh, it's on, you total nitwit!\Say what?!\O-Ow... Wait, s-sorry!\Stop it!\Knock it off, you two! response:	Don't hurt him, Kibe-chan!
context: My hairline's just a little shy, is all!\Yeah, that's called balding!\Oh, it's on, you total nitwit!\Say what?!\O-Ow... Wait, s-sorry!\Stop it!\Knock it off, you two!\Don't hurt him, Kibe-chan! response:	I'm so disappointed in you, Kazu-chin!
context: Yeah, that's called balding!\Oh, it's on, you total nitwit!\Say what?!\O-Ow... Wait, s-sorry!\Stop it!\Knock it off, you two!\Don't hurt him, Kibe-chan!\I'm so disappointed in you, Kazu-chin! response:	When did you become such a self-centered dirt bag?!
context: Oh, it's on, you total nitwit!\Say what?!\O-Ow... Wait, s-sorry!\Stop it!\Knock it off, you two!\Don't hurt him, Kibe-chan!\I'm so disappointed in you, Kazu-chin!\When did you become such a self-centered dirt bag?! response:	Don't think I haven't noticed you fawning over Mami-chan! Blues, my ass!
context: Say what?!\O-Ow... Wait, s-sorry!\Stop it!\Knock it off, you two!\Don't hurt him, Kibe-chan!\I'm so disappointed in you, Kazu-chin!\When did you become such a self-centered dirt bag?!\Don't think I haven't noticed you fawning over Mami-chan! Blues, my ass! response:	I bet Chizuru-san just dumped you because you're being so wishy-washy!
context: O-Ow... Wait, s-sorry!\Stop it!\Knock it off, you two!\Don't hurt him, Kibe-chan!\I'm so disappointed in you, Kazu-chin!\When did you become such a self-centered dirt bag?!\Don't think I haven't noticed you fawning over Mami-chan! Blues, my ass!\I bet Chizuru-san just dumped you because you're being so wishy-washy! response:	Yes, your brain's a dumpster fire, but at least make it burn for your current flame!
context: Stop it!\Knock it off, you two!\Don't hurt him, Kibe-chan!\I'm so disappointed in you, Kazu-chin!\When did you become such a self-centered dirt bag?!\Don't think I haven't noticed you fawning over Mami-chan! Blues, my ass!\I bet Chizuru-san just dumped you because you're being so wishy-washy!\Yes, your brain's a dumpster fire, but at least make it burn for your current flame! response:	If you can't treat the girl who chose to be with you right, you're a lost cause!
context: Knock it off, you two!\Don't hurt him, Kibe-chan!\I'm so disappointed in you, Kazu-chin!\When did you become such a self-centered dirt bag?!\Don't think I haven't noticed you fawning over Mami-chan! Blues, my ass!\I bet Chizuru-san just dumped you because you're being so wishy-washy!\Yes, your brain's a dumpster fire, but at least make it burn for your current flame!\If you can't treat the girl who chose to be with you right, you're a lost cause! response:	Let's break up, okay?
context: Don't hurt him, Kibe-chan!\I'm so disappointed in you, Kazu-chin!\When did you become such a self-centered dirt bag?!\Don't think I haven't noticed you fawning over Mami-chan! Blues, my ass!\I bet Chizuru-san just dumped you because you're being so wishy-washy!\Yes, your brain's a dumpster fire, but at least make it burn for your current flame!\If you can't treat the girl who chose to be with you right, you're a lost cause!\Let's break up, okay? response:	What would...
context: I'm so disappointed in you, Kazu-chin!\When did you become such a self-centered dirt bag?!\Don't think I haven't noticed you fawning over Mami-chan! Blues, my ass!\I bet Chizuru-san just dumped you because you're being so wishy-washy!\Yes, your brain's a dumpster fire, but at least make it burn for your current flame!\If you can't treat the girl who chose to be with you right, you're a lost cause!\Let's break up, okay?\What would... response:	What would you know?
context: When did you become such a self-centered dirt bag?!\Don't think I haven't noticed you fawning over Mami-chan! Blues, my ass!\I bet Chizuru-san just dumped you because you're being so wishy-washy!\Yes, your brain's a dumpster fire, but at least make it burn for your current flame!\If you can't treat the girl who chose to be with you right, you're a lost cause!\Let's break up, okay?\What would...\What would you know? response:	You don't know shit!
context: Don't think I haven't noticed you fawning over Mami-chan! Blues, my ass!\I bet Chizuru-san just dumped you because you're being so wishy-washy!\Yes, your brain's a dumpster fire, but at least make it burn for your current flame!\If you can't treat the girl who chose to be with you right, you're a lost cause!\Let's break up, okay?\What would...\What would you know?\You don't know shit! response:	You have no idea how much I liked Mami-chan,
context: I bet Chizuru-san just dumped you because you're being so wishy-washy!\Yes, your brain's a dumpster fire, but at least make it burn for your current flame!\If you can't treat the girl who chose to be with you right, you're a lost cause!\Let's break up, okay?\What would...\What would you know?\You don't know shit!\You have no idea how much I liked Mami-chan, response:	or how hurt I was when she dumped me!
context: Yes, your brain's a dumpster fire, but at least make it burn for your current flame!\If you can't treat the girl who chose to be with you right, you're a lost cause!\Let's break up, okay?\What would...\What would you know?\You don't know shit!\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me! response:	Stop talking, Kazuya!
context: If you can't treat the girl who chose to be with you right, you're a lost cause!\Let's break up, okay?\What would...\What would you know?\You don't know shit!\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\Stop talking, Kazuya! response:	Chizuru-san's right there!
context: Let's break up, okay?\What would...\What would you know?\You don't know shit!\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\Stop talking, Kazuya!\Chizuru-san's right there! response:	You're no better, Mami-chan.
context: What would...\What would you know?\You don't know shit!\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\Stop talking, Kazuya!\Chizuru-san's right there!\You're no better, Mami-chan. response:	You know Kazu-chin's a fool.
context: What would you know?\You don't know shit!\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\Stop talking, Kazuya!\Chizuru-san's right there!\You're no better, Mami-chan.\You know Kazu-chin's a fool. response:	He jumps to conclusions.
context: You don't know shit!\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\Stop talking, Kazuya!\Chizuru-san's right there!\You're no better, Mami-chan.\You know Kazu-chin's a fool.\He jumps to conclusions. response:	Could you stop leading on a guy you dumped?
context: You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\Stop talking, Kazuya!\Chizuru-san's right there!\You're no better, Mami-chan.\You know Kazu-chin's a fool.\He jumps to conclusions.\Could you stop leading on a guy you dumped? response:	I wasn't trying to.
context: or how hurt I was when she dumped me!\Stop talking, Kazuya!\Chizuru-san's right there!\You're no better, Mami-chan.\You know Kazu-chin's a fool.\He jumps to conclusions.\Could you stop leading on a guy you dumped?\I wasn't trying to. response:	Kibe, you jerk!
context: Stop talking, Kazuya!\Chizuru-san's right there!\You're no better, Mami-chan.\You know Kazu-chin's a fool.\He jumps to conclusions.\Could you stop leading on a guy you dumped?\I wasn't trying to.\Kibe, you jerk! response:	Kazuya!
context: Chizuru-san's right there!\You're no better, Mami-chan.\You know Kazu-chin's a fool.\He jumps to conclusions.\Could you stop leading on a guy you dumped?\I wasn't trying to.\Kibe, you jerk!\Kazuya! response:	Chizuru-san, you should probably leave for the day.
context: You're no better, Mami-chan.\You know Kazu-chin's a fool.\He jumps to conclusions.\Could you stop leading on a guy you dumped?\I wasn't trying to.\Kibe, you jerk!\Kazuya!\Chizuru-san, you should probably leave for the day. response:	I-I know.
context: You know Kazu-chin's a fool.\He jumps to conclusions.\Could you stop leading on a guy you dumped?\I wasn't trying to.\Kibe, you jerk!\Kazuya!\Chizuru-san, you should probably leave for the day.\I-I know. response:	Kazuya.
context: He jumps to conclusions.\Could you stop leading on a guy you dumped?\I wasn't trying to.\Kibe, you jerk!\Kazuya!\Chizuru-san, you should probably leave for the day.\I-I know.\Kazuya. response:	Restroom.
context: Could you stop leading on a guy you dumped?\I wasn't trying to.\Kibe, you jerk!\Kazuya!\Chizuru-san, you should probably leave for the day.\I-I know.\Kazuya.\Restroom. response:	If you can't treat the girl who chose to be with you right, you're a lost cause!
context: I wasn't trying to.\Kibe, you jerk!\Kazuya!\Chizuru-san, you should probably leave for the day.\I-I know.\Kazuya.\Restroom.\If you can't treat the girl who chose to be with you right, you're a lost cause! response:	You did well.
context: Kibe, you jerk!\Kazuya!\Chizuru-san, you should probably leave for the day.\I-I know.\Kazuya.\Restroom.\If you can't treat the girl who chose to be with you right, you're a lost cause!\You did well. response:	Mizuhara?
context: Kazuya!\Chizuru-san, you should probably leave for the day.\I-I know.\Kazuya.\Restroom.\If you can't treat the girl who chose to be with you right, you're a lost cause!\You did well.\Mizuhara? response:	You did nothing wrong.
context: Chizuru-san, you should probably leave for the day.\I-I know.\Kazuya.\Restroom.\If you can't treat the girl who chose to be with you right, you're a lost cause!\You did well.\Mizuhara?\You did nothing wrong. response:	They don't know the full story. Of course they don't get it.
context: I-I know.\Kazuya.\Restroom.\If you can't treat the girl who chose to be with you right, you're a lost cause!\You did well.\Mizuhara?\You did nothing wrong.\They don't know the full story. Of course they don't get it. response:	Anyway, are you okay? Does it hurt?
context: Kazuya.\Restroom.\If you can't treat the girl who chose to be with you right, you're a lost cause!\You did well.\Mizuhara?\You did nothing wrong.\They don't know the full story. Of course they don't get it.\Anyway, are you okay? Does it hurt? response:	N-No.
context: Restroom.\If you can't treat the girl who chose to be with you right, you're a lost cause!\You did well.\Mizuhara?\You did nothing wrong.\They don't know the full story. Of course they don't get it.\Anyway, are you okay? Does it hurt?\N-No. response:	I'll make a booking for next week.
context: If you can't treat the girl who chose to be with you right, you're a lost cause!\You did well.\Mizuhara?\You did nothing wrong.\They don't know the full story. Of course they don't get it.\Anyway, are you okay? Does it hurt?\N-No.\I'll make a booking for next week. response:	No actual date. Just tell the agency we went to eat sashimi in Shimoda or something.
context: You did well.\Mizuhara?\You did nothing wrong.\They don't know the full story. Of course they don't get it.\Anyway, are you okay? Does it hurt?\N-No.\I'll make a booking for next week.\No actual date. Just tell the agency we went to eat sashimi in Shimoda or something. response:	And then we're done.
context: Mizuhara?\You did nothing wrong.\They don't know the full story. Of course they don't get it.\Anyway, are you okay? Does it hurt?\N-No.\I'll make a booking for next week.\No actual date. Just tell the agency we went to eat sashimi in Shimoda or something.\And then we're done. response:	Gran's getting discharged next week.
context: You did nothing wrong.\They don't know the full story. Of course they don't get it.\Anyway, are you okay? Does it hurt?\N-No.\I'll make a booking for next week.\No actual date. Just tell the agency we went to eat sashimi in Shimoda or something.\And then we're done.\Gran's getting discharged next week. response:	She just called me.
context: They don't know the full story. Of course they don't get it.\Anyway, are you okay? Does it hurt?\N-No.\I'll make a booking for next week.\No actual date. Just tell the agency we went to eat sashimi in Shimoda or something.\And then we're done.\Gran's getting discharged next week.\She just called me. response:	We don't need to go visit her every Wednesday anymore.
context: Anyway, are you okay? Does it hurt?\N-No.\I'll make a booking for next week.\No actual date. Just tell the agency we went to eat sashimi in Shimoda or something.\And then we're done.\Gran's getting discharged next week.\She just called me.\We don't need to go visit her every Wednesday anymore. response:	That's good to hear.
context: N-No.\I'll make a booking for next week.\No actual date. Just tell the agency we went to eat sashimi in Shimoda or something.\And then we're done.\Gran's getting discharged next week.\She just called me.\We don't need to go visit her every Wednesday anymore.\That's good to hear. response:	Yeah.
context: I'll make a booking for next week.\No actual date. Just tell the agency we went to eat sashimi in Shimoda or something.\And then we're done.\Gran's getting discharged next week.\She just called me.\We don't need to go visit her every Wednesday anymore.\That's good to hear.\Yeah. response:	My grandmom's getting discharged next week, too.
context: No actual date. Just tell the agency we went to eat sashimi in Shimoda or something.\And then we're done.\Gran's getting discharged next week.\She just called me.\We don't need to go visit her every Wednesday anymore.\That's good to hear.\Yeah.\My grandmom's getting discharged next week, too. response:	Really?
context: And then we're done.\Gran's getting discharged next week.\She just called me.\We don't need to go visit her every Wednesday anymore.\That's good to hear.\Yeah.\My grandmom's getting discharged next week, too.\Really? response:	So it's the perfect time to end this.
context: Gran's getting discharged next week.\She just called me.\We don't need to go visit her every Wednesday anymore.\That's good to hear.\Yeah.\My grandmom's getting discharged next week, too.\Really?\So it's the perfect time to end this. response:	It won't take people long to forget that we were ever a thing.
context: She just called me.\We don't need to go visit her every Wednesday anymore.\That's good to hear.\Yeah.\My grandmom's getting discharged next week, too.\Really?\So it's the perfect time to end this.\It won't take people long to forget that we were ever a thing. response:	That was a pathetic display I put on back there, huh?
context: We don't need to go visit her every Wednesday anymore.\That's good to hear.\Yeah.\My grandmom's getting discharged next week, too.\Really?\So it's the perfect time to end this.\It won't take people long to forget that we were ever a thing.\That was a pathetic display I put on back there, huh? response:	I feel bad about just how much trouble I've caused you.
context: That's good to hear.\Yeah.\My grandmom's getting discharged next week, too.\Really?\So it's the perfect time to end this.\It won't take people long to forget that we were ever a thing.\That was a pathetic display I put on back there, huh?\I feel bad about just how much trouble I've caused you. response:	Sorry.
context: Yeah.\My grandmom's getting discharged next week, too.\Really?\So it's the perfect time to end this.\It won't take people long to forget that we were ever a thing.\That was a pathetic display I put on back there, huh?\I feel bad about just how much trouble I've caused you.\Sorry. response:	Hey, you came clean about the breakup.
context: My grandmom's getting discharged next week, too.\Really?\So it's the perfect time to end this.\It won't take people long to forget that we were ever a thing.\That was a pathetic display I put on back there, huh?\I feel bad about just how much trouble I've caused you.\Sorry.\Hey, you came clean about the breakup. response:	That's step one toward moving on.
context: Really?\So it's the perfect time to end this.\It won't take people long to forget that we were ever a thing.\That was a pathetic display I put on back there, huh?\I feel bad about just how much trouble I've caused you.\Sorry.\Hey, you came clean about the breakup.\That's step one toward moving on. response:	No matter what the others made of it,
context: So it's the perfect time to end this.\It won't take people long to forget that we were ever a thing.\That was a pathetic display I put on back there, huh?\I feel bad about just how much trouble I've caused you.\Sorry.\Hey, you came clean about the breakup.\That's step one toward moving on.\No matter what the others made of it, response:	I saw it as a bold move.
context: It won't take people long to forget that we were ever a thing.\That was a pathetic display I put on back there, huh?\I feel bad about just how much trouble I've caused you.\Sorry.\Hey, you came clean about the breakup.\That's step one toward moving on.\No matter what the others made of it,\I saw it as a bold move. response:	I guess you can be a man if you try.
context: That was a pathetic display I put on back there, huh?\I feel bad about just how much trouble I've caused you.\Sorry.\Hey, you came clean about the breakup.\That's step one toward moving on.\No matter what the others made of it,\I saw it as a bold move.\I guess you can be a man if you try. response:	Goodbye, then.
context: I feel bad about just how much trouble I've caused you.\Sorry.\Hey, you came clean about the breakup.\That's step one toward moving on.\No matter what the others made of it,\I saw it as a bold move.\I guess you can be a man if you try.\Goodbye, then. response:	Y-Yeah.
context: Sorry.\Hey, you came clean about the breakup.\That's step one toward moving on.\No matter what the others made of it,\I saw it as a bold move.\I guess you can be a man if you try.\Goodbye, then.\Y-Yeah. response:	Can I keep these sandals as a gift?
context: Hey, you came clean about the breakup.\That's step one toward moving on.\No matter what the others made of it,\I saw it as a bold move.\I guess you can be a man if you try.\Goodbye, then.\Y-Yeah.\Can I keep these sandals as a gift? response:	Sure.
context: That's step one toward moving on.\No matter what the others made of it,\I saw it as a bold move.\I guess you can be a man if you try.\Goodbye, then.\Y-Yeah.\Can I keep these sandals as a gift?\Sure. response:	Thanks.
context: No matter what the others made of it,\I saw it as a bold move.\I guess you can be a man if you try.\Goodbye, then.\Y-Yeah.\Can I keep these sandals as a gift?\Sure.\Thanks. response:	It must've sucked for you, huh?
context: I saw it as a bold move.\I guess you can be a man if you try.\Goodbye, then.\Y-Yeah.\Can I keep these sandals as a gift?\Sure.\Thanks.\It must've sucked for you, huh? response:	Having to play the girlfriend of trash like me.
context: I guess you can be a man if you try.\Goodbye, then.\Y-Yeah.\Can I keep these sandals as a gift?\Sure.\Thanks.\It must've sucked for you, huh?\Having to play the girlfriend of trash like me. response:	Ow!
context: Goodbye, then.\Y-Yeah.\Can I keep these sandals as a gift?\Sure.\Thanks.\It must've sucked for you, huh?\Having to play the girlfriend of trash like me.\Ow! response:	Sheesh. Pull yourself together.
