context: is because the girls' skirts are... response:	Mame Souichirou, 15 years old.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	Starting today, I'm a freshman at Aoba Academy.
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy. response:	The reason why I chose this school
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school response:	The reason why I chose this school
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: Starting today, I'm a freshman at Aoba Academy.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
context: The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school\The reason why I chose this school response:	The reason why I chose this school
