context: At the netherworld's bottom, I'll be waiting. response:	What made you decide to swipe this...?
context: Ah, that's a skeleton of someone in prayer.\Remains like those are from 2,000 years ago, apparently. And all of'em are posed that same way.\Oh...\Anyway, you sure freaked out considering you're a robot.\Which reminds me...\you ever hear this story before?\Children who've been eagerly awaiting their birthdays...\have been dying one after the other when that day arrives. response:	The causes for their deaths vary... but all of them invariably perish on their birthdays.
context: Remains like those are from 2,000 years ago, apparently. And all of'em are posed that same way.\Oh...\Anyway, you sure freaked out considering you're a robot.\Which reminds me...\you ever hear this story before?\Children who've been eagerly awaiting their birthdays...\have been dying one after the other when that day arrives.\The causes for their deaths vary... but all of them invariably perish on their birthdays. response:	In the west district alone, the count is already up to eight kids.
context: Oh...\Anyway, you sure freaked out considering you're a robot.\Which reminds me...\you ever hear this story before?\Children who've been eagerly awaiting their birthdays...\have been dying one after the other when that day arrives.\The causes for their deaths vary... but all of them invariably perish on their birthdays.\In the west district alone, the count is already up to eight kids. response:	Rumor is, if you look into a mirror on the morning of your birthday,
context: Anyway, you sure freaked out considering you're a robot.\Which reminds me...\you ever hear this story before?\Children who've been eagerly awaiting their birthdays...\have been dying one after the other when that day arrives.\The causes for their deaths vary... but all of them invariably perish on their birthdays.\In the west district alone, the count is already up to eight kids.\Rumor is, if you look into a mirror on the morning of your birthday, response:	your reflection will have a twisted neck.
context: Which reminds me...\you ever hear this story before?\Children who've been eagerly awaiting their birthdays...\have been dying one after the other when that day arrives.\The causes for their deaths vary... but all of them invariably perish on their birthdays.\In the west district alone, the count is already up to eight kids.\Rumor is, if you look into a mirror on the morning of your birthday,\your reflection will have a twisted neck. response:	And once you see it...!
context: you ever hear this story before?\Children who've been eagerly awaiting their birthdays...\have been dying one after the other when that day arrives.\The causes for their deaths vary... but all of them invariably perish on their birthdays.\In the west district alone, the count is already up to eight kids.\Rumor is, if you look into a mirror on the morning of your birthday,\your reflection will have a twisted neck.\And once you see it...! response:	I don't believe in that kinda stuff!
context: Children who've been eagerly awaiting their birthdays...\have been dying one after the other when that day arrives.\The causes for their deaths vary... but all of them invariably perish on their birthdays.\In the west district alone, the count is already up to eight kids.\Rumor is, if you look into a mirror on the morning of your birthday,\your reflection will have a twisted neck.\And once you see it...!\I don't believe in that kinda stuff! response:	Look at this robot who's so spooked he's dripping with sweat!
context: have been dying one after the other when that day arrives.\The causes for their deaths vary... but all of them invariably perish on their birthdays.\In the west district alone, the count is already up to eight kids.\Rumor is, if you look into a mirror on the morning of your birthday,\your reflection will have a twisted neck.\And once you see it...!\I don't believe in that kinda stuff!\Look at this robot who's so spooked he's dripping with sweat! response:	But... there is one thing I want to believe.
context: The causes for their deaths vary... but all of them invariably perish on their birthdays.\In the west district alone, the count is already up to eight kids.\Rumor is, if you look into a mirror on the morning of your birthday,\your reflection will have a twisted neck.\And once you see it...!\I don't believe in that kinda stuff!\Look at this robot who's so spooked he's dripping with sweat!\But... there is one thing I want to believe. response:	Huh?
context: In the west district alone, the count is already up to eight kids.\Rumor is, if you look into a mirror on the morning of your birthday,\your reflection will have a twisted neck.\And once you see it...!\I don't believe in that kinda stuff!\Look at this robot who's so spooked he's dripping with sweat!\But... there is one thing I want to believe.\Huh? response:	And it's that answers lie waiting at the bottom of the netherworld.
context: Rumor is, if you look into a mirror on the morning of your birthday,\your reflection will have a twisted neck.\And once you see it...!\I don't believe in that kinda stuff!\Look at this robot who's so spooked he's dripping with sweat!\But... there is one thing I want to believe.\Huh?\And it's that answers lie waiting at the bottom of the netherworld. response:	The true nature of these Relics... the cause of the Curse of the Abyss...
context: your reflection will have a twisted neck.\And once you see it...!\I don't believe in that kinda stuff!\Look at this robot who's so spooked he's dripping with sweat!\But... there is one thing I want to believe.\Huh?\And it's that answers lie waiting at the bottom of the netherworld.\The true nature of these Relics... the cause of the Curse of the Abyss... response:	perhaps even the meaning behind my creation... or the reason I came here.
context: And once you see it...!\I don't believe in that kinda stuff!\Look at this robot who's so spooked he's dripping with sweat!\But... there is one thing I want to believe.\Huh?\And it's that answers lie waiting at the bottom of the netherworld.\The true nature of these Relics... the cause of the Curse of the Abyss...\perhaps even the meaning behind my creation... or the reason I came here. response:	Won't I find answers to all those questions if I reach the bottom of the Abyss?
context: I don't believe in that kinda stuff!\Look at this robot who's so spooked he's dripping with sweat!\But... there is one thing I want to believe.\Huh?\And it's that answers lie waiting at the bottom of the netherworld.\The true nature of these Relics... the cause of the Curse of the Abyss...\perhaps even the meaning behind my creation... or the reason I came here.\Won't I find answers to all those questions if I reach the bottom of the Abyss? response:	That's the feeling I get, anyway.
context: Look at this robot who's so spooked he's dripping with sweat!\But... there is one thing I want to believe.\Huh?\And it's that answers lie waiting at the bottom of the netherworld.\The true nature of these Relics... the cause of the Curse of the Abyss...\perhaps even the meaning behind my creation... or the reason I came here.\Won't I find answers to all those questions if I reach the bottom of the Abyss?\That's the feeling I get, anyway. response:	Wh-what...?
context: But... there is one thing I want to believe.\Huh?\And it's that answers lie waiting at the bottom of the netherworld.\The true nature of these Relics... the cause of the Curse of the Abyss...\perhaps even the meaning behind my creation... or the reason I came here.\Won't I find answers to all those questions if I reach the bottom of the Abyss?\That's the feeling I get, anyway.\Wh-what...? response:	You and Riko both...
context: Huh?\And it's that answers lie waiting at the bottom of the netherworld.\The true nature of these Relics... the cause of the Curse of the Abyss...\perhaps even the meaning behind my creation... or the reason I came here.\Won't I find answers to all those questions if I reach the bottom of the Abyss?\That's the feeling I get, anyway.\Wh-what...?\You and Riko both... response:	You're crazy!
context: And it's that answers lie waiting at the bottom of the netherworld.\The true nature of these Relics... the cause of the Curse of the Abyss...\perhaps even the meaning behind my creation... or the reason I came here.\Won't I find answers to all those questions if I reach the bottom of the Abyss?\That's the feeling I get, anyway.\Wh-what...?\You and Riko both...\You're crazy! response:	Like I said yesterday, I'm against going, okay?!
context: The true nature of these Relics... the cause of the Curse of the Abyss...\perhaps even the meaning behind my creation... or the reason I came here.\Won't I find answers to all those questions if I reach the bottom of the Abyss?\That's the feeling I get, anyway.\Wh-what...?\You and Riko both...\You're crazy!\Like I said yesterday, I'm against going, okay?! response:	I mean, you're both Red Whistles, and she's still only 12 years old!
context: perhaps even the meaning behind my creation... or the reason I came here.\Won't I find answers to all those questions if I reach the bottom of the Abyss?\That's the feeling I get, anyway.\Wh-what...?\You and Riko both...\You're crazy!\Like I said yesterday, I'm against going, okay?!\I mean, you're both Red Whistles, and she's still only 12 years old! response:	Nat, you...
context: Won't I find answers to all those questions if I reach the bottom of the Abyss?\That's the feeling I get, anyway.\Wh-what...?\You and Riko both...\You're crazy!\Like I said yesterday, I'm against going, okay?!\I mean, you're both Red Whistles, and she's still only 12 years old!\Nat, you... response:	Anyway, I'm against it!
context: That's the feeling I get, anyway.\Wh-what...?\You and Riko both...\You're crazy!\Like I said yesterday, I'm against going, okay?!\I mean, you're both Red Whistles, and she's still only 12 years old!\Nat, you...\Anyway, I'm against it! response:	Over there.
context: Wh-what...?\You and Riko both...\You're crazy!\Like I said yesterday, I'm against going, okay?!\I mean, you're both Red Whistles, and she's still only 12 years old!\Nat, you...\Anyway, I'm against it!\Over there. response:	Even after my first cave-raid, my memory still didn't come back...
context: You and Riko both...\You're crazy!\Like I said yesterday, I'm against going, okay?!\I mean, you're both Red Whistles, and she's still only 12 years old!\Nat, you...\Anyway, I'm against it!\Over there.\Even after my first cave-raid, my memory still didn't come back... response:	In that case, the key indeed must be...
context: You're crazy!\Like I said yesterday, I'm against going, okay?!\I mean, you're both Red Whistles, and she's still only 12 years old!\Nat, you...\Anyway, I'm against it!\Over there.\Even after my first cave-raid, my memory still didn't come back...\In that case, the key indeed must be... response:	Reg, wait up...
context: Like I said yesterday, I'm against going, okay?!\I mean, you're both Red Whistles, and she's still only 12 years old!\Nat, you...\Anyway, I'm against it!\Over there.\Even after my first cave-raid, my memory still didn't come back...\In that case, the key indeed must be...\Reg, wait up... response:	Nat?!
context: I mean, you're both Red Whistles, and she's still only 12 years old!\Nat, you...\Anyway, I'm against it!\Over there.\Even after my first cave-raid, my memory still didn't come back...\In that case, the key indeed must be...\Reg, wait up...\Nat?! response:	Reg... Nat?!
context: Nat, you...\Anyway, I'm against it!\Over there.\Even after my first cave-raid, my memory still didn't come back...\In that case, the key indeed must be...\Reg, wait up...\Nat?!\Reg... Nat?! response:	What's wrong?!
context: Anyway, I'm against it!\Over there.\Even after my first cave-raid, my memory still didn't come back...\In that case, the key indeed must be...\Reg, wait up...\Nat?!\Reg... Nat?!\What's wrong?! response:	It's the Curse of the Abyss...
context: Over there.\Even after my first cave-raid, my memory still didn't come back...\In that case, the key indeed must be...\Reg, wait up...\Nat?!\Reg... Nat?!\What's wrong?!\It's the Curse of the Abyss... response:	So you really are unfazed by it...
context: Even after my first cave-raid, my memory still didn't come back...\In that case, the key indeed must be...\Reg, wait up...\Nat?!\Reg... Nat?!\What's wrong?!\It's the Curse of the Abyss...\So you really are unfazed by it... response:	And you're going at a hell of a pace, too...
context: In that case, the key indeed must be...\Reg, wait up...\Nat?!\Reg... Nat?!\What's wrong?!\It's the Curse of the Abyss...\So you really are unfazed by it...\And you're going at a hell of a pace, too... response:	Sorry, I was lost in thought and didn't notice.
context: Reg, wait up...\Nat?!\Reg... Nat?!\What's wrong?!\It's the Curse of the Abyss...\So you really are unfazed by it...\And you're going at a hell of a pace, too...\Sorry, I was lost in thought and didn't notice. response:	Want me to go fetch somebody?
context: Nat?!\Reg... Nat?!\What's wrong?!\It's the Curse of the Abyss...\So you really are unfazed by it...\And you're going at a hell of a pace, too...\Sorry, I was lost in thought and didn't notice.\Want me to go fetch somebody? response:	Nah, I'm okay now. I'm totally fine, really.
context: Reg... Nat?!\What's wrong?!\It's the Curse of the Abyss...\So you really are unfazed by it...\And you're going at a hell of a pace, too...\Sorry, I was lost in thought and didn't notice.\Want me to go fetch somebody?\Nah, I'm okay now. I'm totally fine, really. response:	I don't even feel it...
context: What's wrong?!\It's the Curse of the Abyss...\So you really are unfazed by it...\And you're going at a hell of a pace, too...\Sorry, I was lost in thought and didn't notice.\Want me to go fetch somebody?\Nah, I'm okay now. I'm totally fine, really.\I don't even feel it... response:	I guess I really am a robot, huh?
context: It's the Curse of the Abyss...\So you really are unfazed by it...\And you're going at a hell of a pace, too...\Sorry, I was lost in thought and didn't notice.\Want me to go fetch somebody?\Nah, I'm okay now. I'm totally fine, really.\I don't even feel it...\I guess I really am a robot, huh? response:	In that case, that silhouette must also...
context: So you really are unfazed by it...\And you're going at a hell of a pace, too...\Sorry, I was lost in thought and didn't notice.\Want me to go fetch somebody?\Nah, I'm okay now. I'm totally fine, really.\I don't even feel it...\I guess I really am a robot, huh?\In that case, that silhouette must also... response:	Shiggy mentioned something about an Aubade...
context: And you're going at a hell of a pace, too...\Sorry, I was lost in thought and didn't notice.\Want me to go fetch somebody?\Nah, I'm okay now. I'm totally fine, really.\I don't even feel it...\I guess I really am a robot, huh?\In that case, that silhouette must also...\Shiggy mentioned something about an Aubade... response:	So I'm also just a Relic, then?
context: Sorry, I was lost in thought and didn't notice.\Want me to go fetch somebody?\Nah, I'm okay now. I'm totally fine, really.\I don't even feel it...\I guess I really am a robot, huh?\In that case, that silhouette must also...\Shiggy mentioned something about an Aubade...\So I'm also just a Relic, then? response:	Why did I come here...?
context: Want me to go fetch somebody?\Nah, I'm okay now. I'm totally fine, really.\I don't even feel it...\I guess I really am a robot, huh?\In that case, that silhouette must also...\Shiggy mentioned something about an Aubade...\So I'm also just a Relic, then?\Why did I come here...? response:	And why doesn't that silhouette come up here?
context: Nah, I'm okay now. I'm totally fine, really.\I don't even feel it...\I guess I really am a robot, huh?\In that case, that silhouette must also...\Shiggy mentioned something about an Aubade...\So I'm also just a Relic, then?\Why did I come here...?\And why doesn't that silhouette come up here? response:	Did I come from the bottom of the netherworld...?
context: I don't even feel it...\I guess I really am a robot, huh?\In that case, that silhouette must also...\Shiggy mentioned something about an Aubade...\So I'm also just a Relic, then?\Why did I come here...?\And why doesn't that silhouette come up here?\Did I come from the bottom of the netherworld...? response:	What the heck is down there?
context: I guess I really am a robot, huh?\In that case, that silhouette must also...\Shiggy mentioned something about an Aubade...\So I'm also just a Relic, then?\Why did I come here...?\And why doesn't that silhouette come up here?\Did I come from the bottom of the netherworld...?\What the heck is down there? response:	I want to know!
context: In that case, that silhouette must also...\Shiggy mentioned something about an Aubade...\So I'm also just a Relic, then?\Why did I come here...?\And why doesn't that silhouette come up here?\Did I come from the bottom of the netherworld...?\What the heck is down there?\I want to know! response:	Just what it is...
context: Shiggy mentioned something about an Aubade...\So I'm also just a Relic, then?\Why did I come here...?\And why doesn't that silhouette come up here?\Did I come from the bottom of the netherworld...?\What the heck is down there?\I want to know!\Just what it is... response:	that I am.
context: So I'm also just a Relic, then?\Why did I come here...?\And why doesn't that silhouette come up here?\Did I come from the bottom of the netherworld...?\What the heck is down there?\I want to know!\Just what it is...\that I am. response:	Well then...
context: Why did I come here...?\And why doesn't that silhouette come up here?\Did I come from the bottom of the netherworld...?\What the heck is down there?\I want to know!\Just what it is...\that I am.\Well then... response:	have you decided what day you're gonna set off?
context: And why doesn't that silhouette come up here?\Did I come from the bottom of the netherworld...?\What the heck is down there?\I want to know!\Just what it is...\that I am.\Well then...\have you decided what day you're gonna set off? response:	I'll head out tomorrow just before daybreak.
context: Did I come from the bottom of the netherworld...?\What the heck is down there?\I want to know!\Just what it is...\that I am.\Well then...\have you decided what day you're gonna set off?\I'll head out tomorrow just before daybreak. response:	Huh?!
context: What the heck is down there?\I want to know!\Just what it is...\that I am.\Well then...\have you decided what day you're gonna set off?\I'll head out tomorrow just before daybreak.\Huh?! response:	I've already packed my things.
context: I want to know!\Just what it is...\that I am.\Well then...\have you decided what day you're gonna set off?\I'll head out tomorrow just before daybreak.\Huh?!\I've already packed my things. response:	You sure aren't wasting any time.
context: Just what it is...\that I am.\Well then...\have you decided what day you're gonna set off?\I'll head out tomorrow just before daybreak.\Huh?!\I've already packed my things.\You sure aren't wasting any time. response:	But, how exactly do you plan on slipping into the Abyss, anyway?
context: that I am.\Well then...\have you decided what day you're gonna set off?\I'll head out tomorrow just before daybreak.\Huh?!\I've already packed my things.\You sure aren't wasting any time.\But, how exactly do you plan on slipping into the Abyss, anyway? response:	They keep watch all the time...
context: Well then...\have you decided what day you're gonna set off?\I'll head out tomorrow just before daybreak.\Huh?!\I've already packed my things.\You sure aren't wasting any time.\But, how exactly do you plan on slipping into the Abyss, anyway?\They keep watch all the time... response:	Well...
context: have you decided what day you're gonna set off?\I'll head out tomorrow just before daybreak.\Huh?!\I've already packed my things.\You sure aren't wasting any time.\But, how exactly do you plan on slipping into the Abyss, anyway?\They keep watch all the time...\Well... response:	I'll use my extending arms to lower you down.
context: I'll head out tomorrow just before daybreak.\Huh?!\I've already packed my things.\You sure aren't wasting any time.\But, how exactly do you plan on slipping into the Abyss, anyway?\They keep watch all the time...\Well...\I'll use my extending arms to lower you down. response:	Huh?!
context: Huh?!\I've already packed my things.\You sure aren't wasting any time.\But, how exactly do you plan on slipping into the Abyss, anyway?\They keep watch all the time...\Well...\I'll use my extending arms to lower you down.\Huh?! response:	Riko, I'm going all the way to the bottom of the netherworld along with you.
context: I've already packed my things.\You sure aren't wasting any time.\But, how exactly do you plan on slipping into the Abyss, anyway?\They keep watch all the time...\Well...\I'll use my extending arms to lower you down.\Huh?!\Riko, I'm going all the way to the bottom of the netherworld along with you. response:	Huh?!
context: You sure aren't wasting any time.\But, how exactly do you plan on slipping into the Abyss, anyway?\They keep watch all the time...\Well...\I'll use my extending arms to lower you down.\Huh?!\Riko, I'm going all the way to the bottom of the netherworld along with you.\Huh?! response:	Reg...
context: But, how exactly do you plan on slipping into the Abyss, anyway?\They keep watch all the time...\Well...\I'll use my extending arms to lower you down.\Huh?!\Riko, I'm going all the way to the bottom of the netherworld along with you.\Huh?!\Reg... response:	I was sure that you'd be on the side of trying to stop her...
context: They keep watch all the time...\Well...\I'll use my extending arms to lower you down.\Huh?!\Riko, I'm going all the way to the bottom of the netherworld along with you.\Huh?!\Reg...\I was sure that you'd be on the side of trying to stop her... response:	I bet Riko enticed you into going, didn't she?
context: Well...\I'll use my extending arms to lower you down.\Huh?!\Riko, I'm going all the way to the bottom of the netherworld along with you.\Huh?!\Reg...\I was sure that you'd be on the side of trying to stop her...\I bet Riko enticed you into going, didn't she? response:	Wha-?!
context: I'll use my extending arms to lower you down.\Huh?!\Riko, I'm going all the way to the bottom of the netherworld along with you.\Huh?!\Reg...\I was sure that you'd be on the side of trying to stop her...\I bet Riko enticed you into going, didn't she?\Wha-?! response:	Riko didn't say a single thing to try to get me to go with her.
context: Huh?!\Riko, I'm going all the way to the bottom of the netherworld along with you.\Huh?!\Reg...\I was sure that you'd be on the side of trying to stop her...\I bet Riko enticed you into going, didn't she?\Wha-?!\Riko didn't say a single thing to try to get me to go with her. response:	I decided on my own.
context: Riko, I'm going all the way to the bottom of the netherworld along with you.\Huh?!\Reg...\I was sure that you'd be on the side of trying to stop her...\I bet Riko enticed you into going, didn't she?\Wha-?!\Riko didn't say a single thing to try to get me to go with her.\I decided on my own. response:	I want to go to find out just what I am exactly.
context: Huh?!\Reg...\I was sure that you'd be on the side of trying to stop her...\I bet Riko enticed you into going, didn't she?\Wha-?!\Riko didn't say a single thing to try to get me to go with her.\I decided on my own.\I want to go to find out just what I am exactly. response:	Reg...
context: Reg...\I was sure that you'd be on the side of trying to stop her...\I bet Riko enticed you into going, didn't she?\Wha-?!\Riko didn't say a single thing to try to get me to go with her.\I decided on my own.\I want to go to find out just what I am exactly.\Reg... response:	thank you!
context: I was sure that you'd be on the side of trying to stop her...\I bet Riko enticed you into going, didn't she?\Wha-?!\Riko didn't say a single thing to try to get me to go with her.\I decided on my own.\I want to go to find out just what I am exactly.\Reg...\thank you! response:	I couldn't bring myself to say anything...
context: I bet Riko enticed you into going, didn't she?\Wha-?!\Riko didn't say a single thing to try to get me to go with her.\I decided on my own.\I want to go to find out just what I am exactly.\Reg...\thank you!\I couldn't bring myself to say anything... response:	I'm going to meet my mom, so hogging you all to myself...
context: Wha-?!\Riko didn't say a single thing to try to get me to go with her.\I decided on my own.\I want to go to find out just what I am exactly.\Reg...\thank you!\I couldn't bring myself to say anything...\I'm going to meet my mom, so hogging you all to myself... response:	I didn't think that would be right...
context: Riko didn't say a single thing to try to get me to go with her.\I decided on my own.\I want to go to find out just what I am exactly.\Reg...\thank you!\I couldn't bring myself to say anything...\I'm going to meet my mom, so hogging you all to myself...\I didn't think that would be right... response:	Weren't you the one who found me in the first place?
context: I decided on my own.\I want to go to find out just what I am exactly.\Reg...\thank you!\I couldn't bring myself to say anything...\I'm going to meet my mom, so hogging you all to myself...\I didn't think that would be right...\Weren't you the one who found me in the first place? response:	I've already climbed the Abyss once, right?
context: I want to go to find out just what I am exactly.\Reg...\thank you!\I couldn't bring myself to say anything...\I'm going to meet my mom, so hogging you all to myself...\I didn't think that would be right...\Weren't you the one who found me in the first place?\I've already climbed the Abyss once, right? response:	Even if my memory doesn't return, I have this sturdy body all the same.
context: Reg...\thank you!\I couldn't bring myself to say anything...\I'm going to meet my mom, so hogging you all to myself...\I didn't think that would be right...\Weren't you the one who found me in the first place?\I've already climbed the Abyss once, right?\Even if my memory doesn't return, I have this sturdy body all the same. response:	I'll protect you all the way down to the bottom of the netherworld.
context: thank you!\I couldn't bring myself to say anything...\I'm going to meet my mom, so hogging you all to myself...\I didn't think that would be right...\Weren't you the one who found me in the first place?\I've already climbed the Abyss once, right?\Even if my memory doesn't return, I have this sturdy body all the same.\I'll protect you all the way down to the bottom of the netherworld. response:	Guess there's no stopping you...
context: I couldn't bring myself to say anything...\I'm going to meet my mom, so hogging you all to myself...\I didn't think that would be right...\Weren't you the one who found me in the first place?\I've already climbed the Abyss once, right?\Even if my memory doesn't return, I have this sturdy body all the same.\I'll protect you all the way down to the bottom of the netherworld.\Guess there's no stopping you... response:	Sorry, I'll be sad to leave you guys, but my curiosity got the better of me.
context: I'm going to meet my mom, so hogging you all to myself...\I didn't think that would be right...\Weren't you the one who found me in the first place?\I've already climbed the Abyss once, right?\Even if my memory doesn't return, I have this sturdy body all the same.\I'll protect you all the way down to the bottom of the netherworld.\Guess there's no stopping you...\Sorry, I'll be sad to leave you guys, but my curiosity got the better of me. response:	It's fine.
context: I didn't think that would be right...\Weren't you the one who found me in the first place?\I've already climbed the Abyss once, right?\Even if my memory doesn't return, I have this sturdy body all the same.\I'll protect you all the way down to the bottom of the netherworld.\Guess there's no stopping you...\Sorry, I'll be sad to leave you guys, but my curiosity got the better of me.\It's fine. response:	Even if we tried to stop her, Riko very well may have gone on her own, anyway.
context: Weren't you the one who found me in the first place?\I've already climbed the Abyss once, right?\Even if my memory doesn't return, I have this sturdy body all the same.\I'll protect you all the way down to the bottom of the netherworld.\Guess there's no stopping you...\Sorry, I'll be sad to leave you guys, but my curiosity got the better of me.\It's fine.\Even if we tried to stop her, Riko very well may have gone on her own, anyway. response:	By the way, Reg, do you have any idea what lies in your path on the way to the netherworld's bottom?
context: I've already climbed the Abyss once, right?\Even if my memory doesn't return, I have this sturdy body all the same.\I'll protect you all the way down to the bottom of the netherworld.\Guess there's no stopping you...\Sorry, I'll be sad to leave you guys, but my curiosity got the better of me.\It's fine.\Even if we tried to stop her, Riko very well may have gone on her own, anyway.\By the way, Reg, do you have any idea what lies in your path on the way to the netherworld's bottom? response:	I know there are a bunch of random dangerous creatures.
context: Even if my memory doesn't return, I have this sturdy body all the same.\I'll protect you all the way down to the bottom of the netherworld.\Guess there's no stopping you...\Sorry, I'll be sad to leave you guys, but my curiosity got the better of me.\It's fine.\Even if we tried to stop her, Riko very well may have gone on her own, anyway.\By the way, Reg, do you have any idea what lies in your path on the way to the netherworld's bottom?\I know there are a bunch of random dangerous creatures. response:	And Relics and stuff, too...
context: I'll protect you all the way down to the bottom of the netherworld.\Guess there's no stopping you...\Sorry, I'll be sad to leave you guys, but my curiosity got the better of me.\It's fine.\Even if we tried to stop her, Riko very well may have gone on her own, anyway.\By the way, Reg, do you have any idea what lies in your path on the way to the netherworld's bottom?\I know there are a bunch of random dangerous creatures.\And Relics and stuff, too... response:	Don't tell me...
context: Guess there's no stopping you...\Sorry, I'll be sad to leave you guys, but my curiosity got the better of me.\It's fine.\Even if we tried to stop her, Riko very well may have gone on her own, anyway.\By the way, Reg, do you have any idea what lies in your path on the way to the netherworld's bottom?\I know there are a bunch of random dangerous creatures.\And Relics and stuff, too...\Don't tell me... response:	you think you can reach the bottom by using your extending arms to descend little by little...
context: Sorry, I'll be sad to leave you guys, but my curiosity got the better of me.\It's fine.\Even if we tried to stop her, Riko very well may have gone on her own, anyway.\By the way, Reg, do you have any idea what lies in your path on the way to the netherworld's bottom?\I know there are a bunch of random dangerous creatures.\And Relics and stuff, too...\Don't tell me...\you think you can reach the bottom by using your extending arms to descend little by little... response:	Is that more or less your plan?
context: It's fine.\Even if we tried to stop her, Riko very well may have gone on her own, anyway.\By the way, Reg, do you have any idea what lies in your path on the way to the netherworld's bottom?\I know there are a bunch of random dangerous creatures.\And Relics and stuff, too...\Don't tell me...\you think you can reach the bottom by using your extending arms to descend little by little...\Is that more or less your plan? response:	I suppose there'll be some obstacles, but to be honest that's my plan.
context: Even if we tried to stop her, Riko very well may have gone on her own, anyway.\By the way, Reg, do you have any idea what lies in your path on the way to the netherworld's bottom?\I know there are a bunch of random dangerous creatures.\And Relics and stuff, too...\Don't tell me...\you think you can reach the bottom by using your extending arms to descend little by little...\Is that more or less your plan?\I suppose there'll be some obstacles, but to be honest that's my plan. response:	How naive! I've gotta say you're far too optimistic!
context: By the way, Reg, do you have any idea what lies in your path on the way to the netherworld's bottom?\I know there are a bunch of random dangerous creatures.\And Relics and stuff, too...\Don't tell me...\you think you can reach the bottom by using your extending arms to descend little by little...\Is that more or less your plan?\I suppose there'll be some obstacles, but to be honest that's my plan.\How naive! I've gotta say you're far too optimistic! response:	The Abyss is teeming with dangers beyond your imagination!
context: I know there are a bunch of random dangerous creatures.\And Relics and stuff, too...\Don't tell me...\you think you can reach the bottom by using your extending arms to descend little by little...\Is that more or less your plan?\I suppose there'll be some obstacles, but to be honest that's my plan.\How naive! I've gotta say you're far too optimistic!\The Abyss is teeming with dangers beyond your imagination! response:	What's that?
context: And Relics and stuff, too...\Don't tell me...\you think you can reach the bottom by using your extending arms to descend little by little...\Is that more or less your plan?\I suppose there'll be some obstacles, but to be honest that's my plan.\How naive! I've gotta say you're far too optimistic!\The Abyss is teeming with dangers beyond your imagination!\What's that? response:	It's the latest Rough Map of the Netherworld.
context: Don't tell me...\you think you can reach the bottom by using your extending arms to descend little by little...\Is that more or less your plan?\I suppose there'll be some obstacles, but to be honest that's my plan.\How naive! I've gotta say you're far too optimistic!\The Abyss is teeming with dangers beyond your imagination!\What's that?\It's the latest Rough Map of the Netherworld. response:	Huh?
context: you think you can reach the bottom by using your extending arms to descend little by little...\Is that more or less your plan?\I suppose there'll be some obstacles, but to be honest that's my plan.\How naive! I've gotta say you're far too optimistic!\The Abyss is teeming with dangers beyond your imagination!\What's that?\It's the latest Rough Map of the Netherworld.\Huh? response:	That's amazing, Shiggy! You just went and took it, huh?
context: Is that more or less your plan?\I suppose there'll be some obstacles, but to be honest that's my plan.\How naive! I've gotta say you're far too optimistic!\The Abyss is teeming with dangers beyond your imagination!\What's that?\It's the latest Rough Map of the Netherworld.\Huh?\That's amazing, Shiggy! You just went and took it, huh? response:	Riko, you're serious about challenging the Abyss.
context: I suppose there'll be some obstacles, but to be honest that's my plan.\How naive! I've gotta say you're far too optimistic!\The Abyss is teeming with dangers beyond your imagination!\What's that?\It's the latest Rough Map of the Netherworld.\Huh?\That's amazing, Shiggy! You just went and took it, huh?\Riko, you're serious about challenging the Abyss. response:	Sneaking into the director's office is nothing compared to that.
context: How naive! I've gotta say you're far too optimistic!\The Abyss is teeming with dangers beyond your imagination!\What's that?\It's the latest Rough Map of the Netherworld.\Huh?\That's amazing, Shiggy! You just went and took it, huh?\Riko, you're serious about challenging the Abyss.\Sneaking into the director's office is nothing compared to that. response:	This is the current state of the Abyss.
context: The Abyss is teeming with dangers beyond your imagination!\What's that?\It's the latest Rough Map of the Netherworld.\Huh?\That's amazing, Shiggy! You just went and took it, huh?\Riko, you're serious about challenging the Abyss.\Sneaking into the director's office is nothing compared to that.\This is the current state of the Abyss. response:	Down to 1,350 meters is the depths' first layer: the Edge of the Abyss.
context: What's that?\It's the latest Rough Map of the Netherworld.\Huh?\That's amazing, Shiggy! You just went and took it, huh?\Riko, you're serious about challenging the Abyss.\Sneaking into the director's office is nothing compared to that.\This is the current state of the Abyss.\Down to 1,350 meters is the depths' first layer: the Edge of the Abyss. response:	The creatures and environment here don't really change,
context: It's the latest Rough Map of the Netherworld.\Huh?\That's amazing, Shiggy! You just went and took it, huh?\Riko, you're serious about challenging the Abyss.\Sneaking into the director's office is nothing compared to that.\This is the current state of the Abyss.\Down to 1,350 meters is the depths' first layer: the Edge of the Abyss.\The creatures and environment here don't really change, response:	but beasts from the second layer sometimes come up to feed, so keep your guard up.
context: Huh?\That's amazing, Shiggy! You just went and took it, huh?\Riko, you're serious about challenging the Abyss.\Sneaking into the director's office is nothing compared to that.\This is the current state of the Abyss.\Down to 1,350 meters is the depths' first layer: the Edge of the Abyss.\The creatures and environment here don't really change,\but beasts from the second layer sometimes come up to feed, so keep your guard up. response:	Starting here it's the second layer: the Forest of Temptation.
