context: Scary Lucy is back! response:	On the inside, Scary Lucy isn't so different than the real one.
context: I see! The King knows how to bring everyone back?\Perhaps.\This might work! If I can just get close enough to him...\Really?\What are you talking about?\Gemini!\Gemini can transform into anyone they touch,\and while they're transformed they can also know what that person knew. response:	In other words, if they can transform into the King, we might learn a way to save everyone!
context: Perhaps.\This might work! If I can just get close enough to him...\Really?\What are you talking about?\Gemini!\Gemini can transform into anyone they touch,\and while they're transformed they can also know what that person knew.\In other words, if they can transform into the King, we might learn a way to save everyone! response:	However, they can only transform for 5 minutes.
context: This might work! If I can just get close enough to him...\Really?\What are you talking about?\Gemini!\Gemini can transform into anyone they touch,\and while they're transformed they can also know what that person knew.\In other words, if they can transform into the King, we might learn a way to save everyone!\However, they can only transform for 5 minutes. response:	Plus, the amount of transformations they can keep in stock is limited to two people.
context: Really?\What are you talking about?\Gemini!\Gemini can transform into anyone they touch,\and while they're transformed they can also know what that person knew.\In other words, if they can transform into the King, we might learn a way to save everyone!\However, they can only transform for 5 minutes.\Plus, the amount of transformations they can keep in stock is limited to two people. response:	If they transform into someone else, then the oldest one can't be used anymore.
context: What are you talking about?\Gemini!\Gemini can transform into anyone they touch,\and while they're transformed they can also know what that person knew.\In other words, if they can transform into the King, we might learn a way to save everyone!\However, they can only transform for 5 minutes.\Plus, the amount of transformations they can keep in stock is limited to two people.\If they transform into someone else, then the oldest one can't be used anymore. response:	The question is just, how do we get close to the King?
context: Gemini!\Gemini can transform into anyone they touch,\and while they're transformed they can also know what that person knew.\In other words, if they can transform into the King, we might learn a way to save everyone!\However, they can only transform for 5 minutes.\Plus, the amount of transformations they can keep in stock is limited to two people.\If they transform into someone else, then the oldest one can't be used anymore.\The question is just, how do we get close to the King? response:	There are too many guards. We won't be able to easily.
context: Gemini can transform into anyone they touch,\and while they're transformed they can also know what that person knew.\In other words, if they can transform into the King, we might learn a way to save everyone!\However, they can only transform for 5 minutes.\Plus, the amount of transformations they can keep in stock is limited to two people.\If they transform into someone else, then the oldest one can't be used anymore.\The question is just, how do we get close to the King?\There are too many guards. We won't be able to easily. response:	There is a way to get close to the King.
context: and while they're transformed they can also know what that person knew.\In other words, if they can transform into the King, we might learn a way to save everyone!\However, they can only transform for 5 minutes.\Plus, the amount of transformations they can keep in stock is limited to two people.\If they transform into someone else, then the oldest one can't be used anymore.\The question is just, how do we get close to the King?\There are too many guards. We won't be able to easily.\There is a way to get close to the King. response:	It was originally a tunnel to allow the King to escape from the castle to outside the city.
context: In other words, if they can transform into the King, we might learn a way to save everyone!\However, they can only transform for 5 minutes.\Plus, the amount of transformations they can keep in stock is limited to two people.\If they transform into someone else, then the oldest one can't be used anymore.\The question is just, how do we get close to the King?\There are too many guards. We won't be able to easily.\There is a way to get close to the King.\It was originally a tunnel to allow the King to escape from the castle to outside the city. response:	So there should be a way to get from outside the city to the basement of the castle.
context: However, they can only transform for 5 minutes.\Plus, the amount of transformations they can keep in stock is limited to two people.\If they transform into someone else, then the oldest one can't be used anymore.\The question is just, how do we get close to the King?\There are too many guards. We won't be able to easily.\There is a way to get close to the King.\It was originally a tunnel to allow the King to escape from the castle to outside the city.\So there should be a way to get from outside the city to the basement of the castle. response:	Wow! How do you know this?
context: Plus, the amount of transformations they can keep in stock is limited to two people.\If they transform into someone else, then the oldest one can't be used anymore.\The question is just, how do we get close to the King?\There are too many guards. We won't be able to easily.\There is a way to get close to the King.\It was originally a tunnel to allow the King to escape from the castle to outside the city.\So there should be a way to get from outside the city to the basement of the castle.\Wow! How do you know this? response:	It's information... Fragments keep popping into my head.
context: If they transform into someone else, then the oldest one can't be used anymore.\The question is just, how do we get close to the King?\There are too many guards. We won't be able to easily.\There is a way to get close to the King.\It was originally a tunnel to allow the King to escape from the castle to outside the city.\So there should be a way to get from outside the city to the basement of the castle.\Wow! How do you know this?\It's information... Fragments keep popping into my head. response:	Since coming to Edolas, I've gained little bits of information about the land.
context: The question is just, how do we get close to the King?\There are too many guards. We won't be able to easily.\There is a way to get close to the King.\It was originally a tunnel to allow the King to escape from the castle to outside the city.\So there should be a way to get from outside the city to the basement of the castle.\Wow! How do you know this?\It's information... Fragments keep popping into my head.\Since coming to Edolas, I've gained little bits of information about the land. response:	I haven't at all.
context: There are too many guards. We won't be able to easily.\There is a way to get close to the King.\It was originally a tunnel to allow the King to escape from the castle to outside the city.\So there should be a way to get from outside the city to the basement of the castle.\Wow! How do you know this?\It's information... Fragments keep popping into my head.\Since coming to Edolas, I've gained little bits of information about the land.\I haven't at all. response:	Anyway, if we can sneak into the castle like that, we'll be able to manage somehow!
context: There is a way to get close to the King.\It was originally a tunnel to allow the King to escape from the castle to outside the city.\So there should be a way to get from outside the city to the basement of the castle.\Wow! How do you know this?\It's information... Fragments keep popping into my head.\Since coming to Edolas, I've gained little bits of information about the land.\I haven't at all.\Anyway, if we can sneak into the castle like that, we'll be able to manage somehow! response:	All right! Let's turn everyone back to normal!
context: It was originally a tunnel to allow the King to escape from the castle to outside the city.\So there should be a way to get from outside the city to the basement of the castle.\Wow! How do you know this?\It's information... Fragments keep popping into my head.\Since coming to Edolas, I've gained little bits of information about the land.\I haven't at all.\Anyway, if we can sneak into the castle like that, we'll be able to manage somehow!\All right! Let's turn everyone back to normal! response:	Right!
context: So there should be a way to get from outside the city to the basement of the castle.\Wow! How do you know this?\It's information... Fragments keep popping into my head.\Since coming to Edolas, I've gained little bits of information about the land.\I haven't at all.\Anyway, if we can sneak into the castle like that, we'll be able to manage somehow!\All right! Let's turn everyone back to normal!\Right! response:	Aye, sir!
context: Wow! How do you know this?\It's information... Fragments keep popping into my head.\Since coming to Edolas, I've gained little bits of information about the land.\I haven't at all.\Anyway, if we can sneak into the castle like that, we'll be able to manage somehow!\All right! Let's turn everyone back to normal!\Right!\Aye, sir! response:	Wait.
context: It's information... Fragments keep popping into my head.\Since coming to Edolas, I've gained little bits of information about the land.\I haven't at all.\Anyway, if we can sneak into the castle like that, we'll be able to manage somehow!\All right! Let's turn everyone back to normal!\Right!\Aye, sir!\Wait. response:	What is it this time?
context: Since coming to Edolas, I've gained little bits of information about the land.\I haven't at all.\Anyway, if we can sneak into the castle like that, we'll be able to manage somehow!\All right! Let's turn everyone back to normal!\Right!\Aye, sir!\Wait.\What is it this time? response:	We leave tonight.
context: I haven't at all.\Anyway, if we can sneak into the castle like that, we'll be able to manage somehow!\All right! Let's turn everyone back to normal!\Right!\Aye, sir!\Wait.\What is it this time?\We leave tonight. response:	Let's rest as much as we can for now.
context: Anyway, if we can sneak into the castle like that, we'll be able to manage somehow!\All right! Let's turn everyone back to normal!\Right!\Aye, sir!\Wait.\What is it this time?\We leave tonight.\Let's rest as much as we can for now. response:	The entrance to the tunnel should almost be in front of us.
context: All right! Let's turn everyone back to normal!\Right!\Aye, sir!\Wait.\What is it this time?\We leave tonight.\Let's rest as much as we can for now.\The entrance to the tunnel should almost be in front of us. response:	Is this it?
context: Right!\Aye, sir!\Wait.\What is it this time?\We leave tonight.\Let's rest as much as we can for now.\The entrance to the tunnel should almost be in front of us.\Is this it? response:	Yes, definitely it.
context: Aye, sir!\Wait.\What is it this time?\We leave tonight.\Let's rest as much as we can for now.\The entrance to the tunnel should almost be in front of us.\Is this it?\Yes, definitely it. response:	Great!
context: Wait.\What is it this time?\We leave tonight.\Let's rest as much as we can for now.\The entrance to the tunnel should almost be in front of us.\Is this it?\Yes, definitely it.\Great! response:	Wait.
context: What is it this time?\We leave tonight.\Let's rest as much as we can for now.\The entrance to the tunnel should almost be in front of us.\Is this it?\Yes, definitely it.\Great!\Wait. response:	Again?!
context: We leave tonight.\Let's rest as much as we can for now.\The entrance to the tunnel should almost be in front of us.\Is this it?\Yes, definitely it.\Great!\Wait.\Again?! response:	I understand your impatience, but stay calm.
context: Let's rest as much as we can for now.\The entrance to the tunnel should almost be in front of us.\Is this it?\Yes, definitely it.\Great!\Wait.\Again?!\I understand your impatience, but stay calm. response:	We can't go anywhere without light.
context: The entrance to the tunnel should almost be in front of us.\Is this it?\Yes, definitely it.\Great!\Wait.\Again?!\I understand your impatience, but stay calm.\We can't go anywhere without light. response:	Just leave that... to me!
context: Is this it?\Yes, definitely it.\Great!\Wait.\Again?!\I understand your impatience, but stay calm.\We can't go anywhere without light.\Just leave that... to me! response:	See? You forgot. We can't use magic now.
context: Yes, definitely it.\Great!\Wait.\Again?!\I understand your impatience, but stay calm.\We can't go anywhere without light.\Just leave that... to me!\See? You forgot. We can't use magic now. response:	Lucy's the only one who can use magic.
context: Great!\Wait.\Again?!\I understand your impatience, but stay calm.\We can't go anywhere without light.\Just leave that... to me!\See? You forgot. We can't use magic now.\Lucy's the only one who can use magic. response:	Yeah, I'm not feeling so confident about that...
context: Wait.\Again?!\I understand your impatience, but stay calm.\We can't go anywhere without light.\Just leave that... to me!\See? You forgot. We can't use magic now.\Lucy's the only one who can use magic.\Yeah, I'm not feeling so confident about that... response:	Well sooorrry for not giving you enough confidence.
context: Again?!\I understand your impatience, but stay calm.\We can't go anywhere without light.\Just leave that... to me!\See? You forgot. We can't use magic now.\Lucy's the only one who can use magic.\Yeah, I'm not feeling so confident about that...\Well sooorrry for not giving you enough confidence. response:	Oops, did you hear that?
context: I understand your impatience, but stay calm.\We can't go anywhere without light.\Just leave that... to me!\See? You forgot. We can't use magic now.\Lucy's the only one who can use magic.\Yeah, I'm not feeling so confident about that...\Well sooorrry for not giving you enough confidence.\Oops, did you hear that? response:	Lucy-san, is that...
context: We can't go anywhere without light.\Just leave that... to me!\See? You forgot. We can't use magic now.\Lucy's the only one who can use magic.\Yeah, I'm not feeling so confident about that...\Well sooorrry for not giving you enough confidence.\Oops, did you hear that?\Lucy-san, is that... response:	Torches!
context: Just leave that... to me!\See? You forgot. We can't use magic now.\Lucy's the only one who can use magic.\Yeah, I'm not feeling so confident about that...\Well sooorrry for not giving you enough confidence.\Oops, did you hear that?\Lucy-san, is that...\Torches! response:	I picked'em up from over there!
context: See? You forgot. We can't use magic now.\Lucy's the only one who can use magic.\Yeah, I'm not feeling so confident about that...\Well sooorrry for not giving you enough confidence.\Oops, did you hear that?\Lucy-san, is that...\Torches!\I picked'em up from over there! response:	I've already wrapped them in cloth and soaked them in oil,
context: Lucy's the only one who can use magic.\Yeah, I'm not feeling so confident about that...\Well sooorrry for not giving you enough confidence.\Oops, did you hear that?\Lucy-san, is that...\Torches!\I picked'em up from over there!\I've already wrapped them in cloth and soaked them in oil, response:	so all we need to do is light them and we're set.
context: Yeah, I'm not feeling so confident about that...\Well sooorrry for not giving you enough confidence.\Oops, did you hear that?\Lucy-san, is that...\Torches!\I picked'em up from over there!\I've already wrapped them in cloth and soaked them in oil,\so all we need to do is light them and we're set. response:	But, what about fire?
context: Well sooorrry for not giving you enough confidence.\Oops, did you hear that?\Lucy-san, is that...\Torches!\I picked'em up from over there!\I've already wrapped them in cloth and soaked them in oil,\so all we need to do is light them and we're set.\But, what about fire? response:	Why do I have to do something like this?
context: Oops, did you hear that?\Lucy-san, is that...\Torches!\I picked'em up from over there!\I've already wrapped them in cloth and soaked them in oil,\so all we need to do is light them and we're set.\But, what about fire?\Why do I have to do something like this? response:	We don't have any choice!
context: Lucy-san, is that...\Torches!\I picked'em up from over there!\I've already wrapped them in cloth and soaked them in oil,\so all we need to do is light them and we're set.\But, what about fire?\Why do I have to do something like this?\We don't have any choice! response:	Consider it your chance to see what it's like being someone who can't use fire magic!
context: Torches!\I picked'em up from over there!\I've already wrapped them in cloth and soaked them in oil,\so all we need to do is light them and we're set.\But, what about fire?\Why do I have to do something like this?\We don't have any choice!\Consider it your chance to see what it's like being someone who can't use fire magic! response:	The ancient people were pretty amazing, making fire by doing things like this.
context: I picked'em up from over there!\I've already wrapped them in cloth and soaked them in oil,\so all we need to do is light them and we're set.\But, what about fire?\Why do I have to do something like this?\We don't have any choice!\Consider it your chance to see what it's like being someone who can't use fire magic!\The ancient people were pretty amazing, making fire by doing things like this. response:	Yeah.
context: I've already wrapped them in cloth and soaked them in oil,\so all we need to do is light them and we're set.\But, what about fire?\Why do I have to do something like this?\We don't have any choice!\Consider it your chance to see what it's like being someone who can't use fire magic!\The ancient people were pretty amazing, making fire by doing things like this.\Yeah. response:	Not even close...
context: so all we need to do is light them and we're set.\But, what about fire?\Why do I have to do something like this?\We don't have any choice!\Consider it your chance to see what it's like being someone who can't use fire magic!\The ancient people were pretty amazing, making fire by doing things like this.\Yeah.\Not even close... response:	I got it!
context: But, what about fire?\Why do I have to do something like this?\We don't have any choice!\Consider it your chance to see what it's like being someone who can't use fire magic!\The ancient people were pretty amazing, making fire by doing things like this.\Yeah.\Not even close...\I got it! response:	Amazing!
context: Why do I have to do something like this?\We don't have any choice!\Consider it your chance to see what it's like being someone who can't use fire magic!\The ancient people were pretty amazing, making fire by doing things like this.\Yeah.\Not even close...\I got it!\Amazing! response:	All right!
context: We don't have any choice!\Consider it your chance to see what it's like being someone who can't use fire magic!\The ancient people were pretty amazing, making fire by doing things like this.\Yeah.\Not even close...\I got it!\Amazing!\All right! response:	You go, Lucy!
context: Consider it your chance to see what it's like being someone who can't use fire magic!\The ancient people were pretty amazing, making fire by doing things like this.\Yeah.\Not even close...\I got it!\Amazing!\All right!\You go, Lucy! response:	And why can't you handle it?
context: The ancient people were pretty amazing, making fire by doing things like this.\Yeah.\Not even close...\I got it!\Amazing!\All right!\You go, Lucy!\And why can't you handle it? response:	Who cares? As long as one of us made it...
context: Yeah.\Not even close...\I got it!\Amazing!\All right!\You go, Lucy!\And why can't you handle it?\Who cares? As long as one of us made it... response:	All right!
context: Not even close...\I got it!\Amazing!\All right!\You go, Lucy!\And why can't you handle it?\Who cares? As long as one of us made it...\All right! response:	I did it!
context: I got it!\Amazing!\All right!\You go, Lucy!\And why can't you handle it?\Who cares? As long as one of us made it...\All right!\I did it! response:	All right!
context: Amazing!\All right!\You go, Lucy!\And why can't you handle it?\Who cares? As long as one of us made it...\All right!\I did it!\All right! response:	I'm exhausted before we even enter the tunnel!
context: All right!\You go, Lucy!\And why can't you handle it?\Who cares? As long as one of us made it...\All right!\I did it!\All right!\I'm exhausted before we even enter the tunnel! response:	What is it?
context: You go, Lucy!\And why can't you handle it?\Who cares? As long as one of us made it...\All right!\I did it!\All right!\I'm exhausted before we even enter the tunnel!\What is it? response:	Oh, I get it. If you eat fire, then just maybe...
context: And why can't you handle it?\Who cares? As long as one of us made it...\All right!\I did it!\All right!\I'm exhausted before we even enter the tunnel!\What is it?\Oh, I get it. If you eat fire, then just maybe... response:	So you think you can handle magic now?
context: Who cares? As long as one of us made it...\All right!\I did it!\All right!\I'm exhausted before we even enter the tunnel!\What is it?\Oh, I get it. If you eat fire, then just maybe...\So you think you can handle magic now? response:	So?
context: All right!\I did it!\All right!\I'm exhausted before we even enter the tunnel!\What is it?\Oh, I get it. If you eat fire, then just maybe...\So you think you can handle magic now?\So? response:	This part of me got all warm.
context: I did it!\All right!\I'm exhausted before we even enter the tunnel!\What is it?\Oh, I get it. If you eat fire, then just maybe...\So you think you can handle magic now?\So?\This part of me got all warm. response:	Does that feel like Magic?
context: All right!\I'm exhausted before we even enter the tunnel!\What is it?\Oh, I get it. If you eat fire, then just maybe...\So you think you can handle magic now?\So?\This part of me got all warm.\Does that feel like Magic? response:	Feeling?
context: I'm exhausted before we even enter the tunnel!\What is it?\Oh, I get it. If you eat fire, then just maybe...\So you think you can handle magic now?\So?\This part of me got all warm.\Does that feel like Magic?\Feeling? response:	It might be!
context: What is it?\Oh, I get it. If you eat fire, then just maybe...\So you think you can handle magic now?\So?\This part of me got all warm.\Does that feel like Magic?\Feeling?\It might be! response:	Ooh, neat!
context: Oh, I get it. If you eat fire, then just maybe...\So you think you can handle magic now?\So?\This part of me got all warm.\Does that feel like Magic?\Feeling?\It might be!\Ooh, neat! response:	Give'er a whirl! The Iron Fist of the Fire Dragon, reborn!
context: So you think you can handle magic now?\So?\This part of me got all warm.\Does that feel like Magic?\Feeling?\It might be!\Ooh, neat!\Give'er a whirl! The Iron Fist of the Fire Dragon, reborn! response:	Go!
context: So?\This part of me got all warm.\Does that feel like Magic?\Feeling?\It might be!\Ooh, neat!\Give'er a whirl! The Iron Fist of the Fire Dragon, reborn!\Go! response:	No use...
context: This part of me got all warm.\Does that feel like Magic?\Feeling?\It might be!\Ooh, neat!\Give'er a whirl! The Iron Fist of the Fire Dragon, reborn!\Go!\No use... response:	You're just struggling pointlessly.
context: Does that feel like Magic?\Feeling?\It might be!\Ooh, neat!\Give'er a whirl! The Iron Fist of the Fire Dragon, reborn!\Go!\No use...\You're just struggling pointlessly. response:	I thought I could use magic by eating the fire here!
context: Feeling?\It might be!\Ooh, neat!\Give'er a whirl! The Iron Fist of the Fire Dragon, reborn!\Go!\No use...\You're just struggling pointlessly.\I thought I could use magic by eating the fire here! response:	Well, as long as I have my torch, we'll be fine!
context: It might be!\Ooh, neat!\Give'er a whirl! The Iron Fist of the Fire Dragon, reborn!\Go!\No use...\You're just struggling pointlessly.\I thought I could use magic by eating the fire here!\Well, as long as I have my torch, we'll be fine! response:	Don't get carried away.
context: Ooh, neat!\Give'er a whirl! The Iron Fist of the Fire Dragon, reborn!\Go!\No use...\You're just struggling pointlessly.\I thought I could use magic by eating the fire here!\Well, as long as I have my torch, we'll be fine!\Don't get carried away. response:	It doesn't seem like it's been used for a long time.
context: Give'er a whirl! The Iron Fist of the Fire Dragon, reborn!\Go!\No use...\You're just struggling pointlessly.\I thought I could use magic by eating the fire here!\Well, as long as I have my torch, we'll be fine!\Don't get carried away.\It doesn't seem like it's been used for a long time. response:	Light up ahead of here!
context: Go!\No use...\You're just struggling pointlessly.\I thought I could use magic by eating the fire here!\Well, as long as I have my torch, we'll be fine!\Don't get carried away.\It doesn't seem like it's been used for a long time.\Light up ahead of here! response:	This is it.
context: No use...\You're just struggling pointlessly.\I thought I could use magic by eating the fire here!\Well, as long as I have my torch, we'll be fine!\Don't get carried away.\It doesn't seem like it's been used for a long time.\Light up ahead of here!\This is it. response:	It's quite thick. Plus, it's been coated with magic.
context: You're just struggling pointlessly.\I thought I could use magic by eating the fire here!\Well, as long as I have my torch, we'll be fine!\Don't get carried away.\It doesn't seem like it's been used for a long time.\Light up ahead of here!\This is it.\It's quite thick. Plus, it's been coated with magic. response:	We can't get through that.
context: I thought I could use magic by eating the fire here!\Well, as long as I have my torch, we'll be fine!\Don't get carried away.\It doesn't seem like it's been used for a long time.\Light up ahead of here!\This is it.\It's quite thick. Plus, it's been coated with magic.\We can't get through that. response:	But I'm correct. There should be another escape exit around here.
context: Well, as long as I have my torch, we'll be fine!\Don't get carried away.\It doesn't seem like it's been used for a long time.\Light up ahead of here!\This is it.\It's quite thick. Plus, it's been coated with magic.\We can't get through that.\But I'm correct. There should be another escape exit around here. response:	We have to break through it, then...
context: Don't get carried away.\It doesn't seem like it's been used for a long time.\Light up ahead of here!\This is it.\It's quite thick. Plus, it's been coated with magic.\We can't get through that.\But I'm correct. There should be another escape exit around here.\We have to break through it, then... response:	We have a way!
context: It doesn't seem like it's been used for a long time.\Light up ahead of here!\This is it.\It's quite thick. Plus, it's been coated with magic.\We can't get through that.\But I'm correct. There should be another escape exit around here.\We have to break through it, then...\We have a way! response:	This is a perfect job for me!
context: Light up ahead of here!\This is it.\It's quite thick. Plus, it's been coated with magic.\We can't get through that.\But I'm correct. There should be another escape exit around here.\We have to break through it, then...\We have a way!\This is a perfect job for me! response:	Gate of the Golden Bull, I open thee!
context: This is it.\It's quite thick. Plus, it's been coated with magic.\We can't get through that.\But I'm correct. There should be another escape exit around here.\We have to break through it, then...\We have a way!\This is a perfect job for me!\Gate of the Golden Bull, I open thee! response:	Taurus!
context: It's quite thick. Plus, it's been coated with magic.\We can't get through that.\But I'm correct. There should be another escape exit around here.\We have to break through it, then...\We have a way!\This is a perfect job for me!\Gate of the Golden Bull, I open thee!\Taurus! response:	Right! Taurus can do it!
context: We can't get through that.\But I'm correct. There should be another escape exit around here.\We have to break through it, then...\We have a way!\This is a perfect job for me!\Gate of the Golden Bull, I open thee!\Taurus!\Right! Taurus can do it! response:	Taurus has the most power out of all the spirits I command.
context: But I'm correct. There should be another escape exit around here.\We have to break through it, then...\We have a way!\This is a perfect job for me!\Gate of the Golden Bull, I open thee!\Taurus!\Right! Taurus can do it!\Taurus has the most power out of all the spirits I command. response:	He should totally be able to break down that wall.
context: We have to break through it, then...\We have a way!\This is a perfect job for me!\Gate of the Golden Bull, I open thee!\Taurus!\Right! Taurus can do it!\Taurus has the most power out of all the spirits I command.\He should totally be able to break down that wall. response:	If that is what will do you good, I'll do it!
context: We have a way!\This is a perfect job for me!\Gate of the Golden Bull, I open thee!\Taurus!\Right! Taurus can do it!\Taurus has the most power out of all the spirits I command.\He should totally be able to break down that wall.\If that is what will do you good, I'll do it! response:	Do a number on that wall!
context: This is a perfect job for me!\Gate of the Golden Bull, I open thee!\Taurus!\Right! Taurus can do it!\Taurus has the most power out of all the spirits I command.\He should totally be able to break down that wall.\If that is what will do you good, I'll do it!\Do a number on that wall! response:	Here I come!
context: Gate of the Golden Bull, I open thee!\Taurus!\Right! Taurus can do it!\Taurus has the most power out of all the spirits I command.\He should totally be able to break down that wall.\If that is what will do you good, I'll do it!\Do a number on that wall!\Here I come! response:	Whoa!
context: Taurus!\Right! Taurus can do it!\Taurus has the most power out of all the spirits I command.\He should totally be able to break down that wall.\If that is what will do you good, I'll do it!\Do a number on that wall!\Here I come!\Whoa! response:	Oh, that wasn't much...
context: Right! Taurus can do it!\Taurus has the most power out of all the spirits I command.\He should totally be able to break down that wall.\If that is what will do you good, I'll do it!\Do a number on that wall!\Here I come!\Whoa!\Oh, that wasn't much... response:	Look!
context: Taurus has the most power out of all the spirits I command.\He should totally be able to break down that wall.\If that is what will do you good, I'll do it!\Do a number on that wall!\Here I come!\Whoa!\Oh, that wasn't much...\Look! response:	There's a path!
context: He should totally be able to break down that wall.\If that is what will do you good, I'll do it!\Do a number on that wall!\Here I come!\Whoa!\Oh, that wasn't much...\Look!\There's a path! response:	Your information was right, Carla!
context: If that is what will do you good, I'll do it!\Do a number on that wall!\Here I come!\Whoa!\Oh, that wasn't much...\Look!\There's a path!\Your information was right, Carla! response:	That was a cinch, Lucy-san!
context: Do a number on that wall!\Here I come!\Whoa!\Oh, that wasn't much...\Look!\There's a path!\Your information was right, Carla!\That was a cinch, Lucy-san! response:	Thank you, Taurus!
context: Here I come!\Whoa!\Oh, that wasn't much...\Look!\There's a path!\Your information was right, Carla!\That was a cinch, Lucy-san!\Thank you, Taurus! response:	That's it?
context: Whoa!\Oh, that wasn't much...\Look!\There's a path!\Your information was right, Carla!\That was a cinch, Lucy-san!\Thank you, Taurus!\That's it? response:	What?
context: Oh, that wasn't much...\Look!\There's a path!\Your information was right, Carla!\That was a cinch, Lucy-san!\Thank you, Taurus!\That's it?\What? response:	If you're really grateful, you can show it by giving me a...
context: Look!\There's a path!\Your information was right, Carla!\That was a cinch, Lucy-san!\Thank you, Taurus!\That's it?\What?\If you're really grateful, you can show it by giving me a... response:	Please stop leering at me like that.
context: There's a path!\Your information was right, Carla!\That was a cinch, Lucy-san!\Thank you, Taurus!\That's it?\What?\If you're really grateful, you can show it by giving me a...\Please stop leering at me like that. response:	This should connect straight to the basement of the castle, I hope...
context: Your information was right, Carla!\That was a cinch, Lucy-san!\Thank you, Taurus!\That's it?\What?\If you're really grateful, you can show it by giving me a...\Please stop leering at me like that.\This should connect straight to the basement of the castle, I hope... response:	The information was correct, so I'm sure it's right ahead.
context: That was a cinch, Lucy-san!\Thank you, Taurus!\That's it?\What?\If you're really grateful, you can show it by giving me a...\Please stop leering at me like that.\This should connect straight to the basement of the castle, I hope...\The information was correct, so I'm sure it's right ahead. response:	What's wrong, Happy?
context: Thank you, Taurus!\That's it?\What?\If you're really grateful, you can show it by giving me a...\Please stop leering at me like that.\This should connect straight to the basement of the castle, I hope...\The information was correct, so I'm sure it's right ahead.\What's wrong, Happy? response:	So, why don't I have any information, do you think?
context: That's it?\What?\If you're really grateful, you can show it by giving me a...\Please stop leering at me like that.\This should connect straight to the basement of the castle, I hope...\The information was correct, so I'm sure it's right ahead.\What's wrong, Happy?\So, why don't I have any information, do you think? response:	I'm a cat from Edolas, sent to Earthland with some kind of mission, just like you, right?
context: What?\If you're really grateful, you can show it by giving me a...\Please stop leering at me like that.\This should connect straight to the basement of the castle, I hope...\The information was correct, so I'm sure it's right ahead.\What's wrong, Happy?\So, why don't I have any information, do you think?\I'm a cat from Edolas, sent to Earthland with some kind of mission, just like you, right? response:	You promised not to talk about that, remember?
context: If you're really grateful, you can show it by giving me a...\Please stop leering at me like that.\This should connect straight to the basement of the castle, I hope...\The information was correct, so I'm sure it's right ahead.\What's wrong, Happy?\So, why don't I have any information, do you think?\I'm a cat from Edolas, sent to Earthland with some kind of mission, just like you, right?\You promised not to talk about that, remember? response:	Aye.
context: Please stop leering at me like that.\This should connect straight to the basement of the castle, I hope...\The information was correct, so I'm sure it's right ahead.\What's wrong, Happy?\So, why don't I have any information, do you think?\I'm a cat from Edolas, sent to Earthland with some kind of mission, just like you, right?\You promised not to talk about that, remember?\Aye. response:	I don't know about a case like yours, either.
context: This should connect straight to the basement of the castle, I hope...\The information was correct, so I'm sure it's right ahead.\What's wrong, Happy?\So, why don't I have any information, do you think?\I'm a cat from Edolas, sent to Earthland with some kind of mission, just like you, right?\You promised not to talk about that, remember?\Aye.\I don't know about a case like yours, either. response:	Anyway, let's go further in.
context: The information was correct, so I'm sure it's right ahead.\What's wrong, Happy?\So, why don't I have any information, do you think?\I'm a cat from Edolas, sent to Earthland with some kind of mission, just like you, right?\You promised not to talk about that, remember?\Aye.\I don't know about a case like yours, either.\Anyway, let's go further in. response:	Yes.
context: What's wrong, Happy?\So, why don't I have any information, do you think?\I'm a cat from Edolas, sent to Earthland with some kind of mission, just like you, right?\You promised not to talk about that, remember?\Aye.\I don't know about a case like yours, either.\Anyway, let's go further in.\Yes. response:	Yeah.
context: So, why don't I have any information, do you think?\I'm a cat from Edolas, sent to Earthland with some kind of mission, just like you, right?\You promised not to talk about that, remember?\Aye.\I don't know about a case like yours, either.\Anyway, let's go further in.\Yes.\Yeah. response:	Looks like the place is about to collapse.
context: I'm a cat from Edolas, sent to Earthland with some kind of mission, just like you, right?\You promised not to talk about that, remember?\Aye.\I don't know about a case like yours, either.\Anyway, let's go further in.\Yes.\Yeah.\Looks like the place is about to collapse. response:	Don't jinx it, sheesh!
context: You promised not to talk about that, remember?\Aye.\I don't know about a case like yours, either.\Anyway, let's go further in.\Yes.\Yeah.\Looks like the place is about to collapse.\Don't jinx it, sheesh! response:	But this really is an ancient tunnel...
context: Aye.\I don't know about a case like yours, either.\Anyway, let's go further in.\Yes.\Yeah.\Looks like the place is about to collapse.\Don't jinx it, sheesh!\But this really is an ancient tunnel... response:	I wonder if there are ghosts and stuff?
context: I don't know about a case like yours, either.\Anyway, let's go further in.\Yes.\Yeah.\Looks like the place is about to collapse.\Don't jinx it, sheesh!\But this really is an ancient tunnel...\I wonder if there are ghosts and stuff? response:	W-What is it, Natsu? Is there something there?
context: Anyway, let's go further in.\Yes.\Yeah.\Looks like the place is about to collapse.\Don't jinx it, sheesh!\But this really is an ancient tunnel...\I wonder if there are ghosts and stuff?\W-What is it, Natsu? Is there something there? response:	Hold this.
context: Yes.\Yeah.\Looks like the place is about to collapse.\Don't jinx it, sheesh!\But this really is an ancient tunnel...\I wonder if there are ghosts and stuff?\W-What is it, Natsu? Is there something there?\Hold this. response:	W-W-W-What?
context: Yeah.\Looks like the place is about to collapse.\Don't jinx it, sheesh!\But this really is an ancient tunnel...\I wonder if there are ghosts and stuff?\W-What is it, Natsu? Is there something there?\Hold this.\W-W-W-What? response:	Don't move now.
