context: What's happened so far! response:	Our sister, the masked honor student Miyazawa Yukino...
context: Her most basic emotional needs weren't being met.\Still,\she was doing okay with her father...\I could see how she'd hate it.\I don't think her needs have been met for a long, long time.\My family's still all together,\so I can only\imagine these things. response:	But someone who was born without the things that all of us take for granted...
context: Still,\she was doing okay with her father...\I could see how she'd hate it.\I don't think her needs have been met for a long, long time.\My family's still all together,\so I can only\imagine these things.\But someone who was born without the things that all of us take for granted... response:	That's the fight she has.
context: she was doing okay with her father...\I could see how she'd hate it.\I don't think her needs have been met for a long, long time.\My family's still all together,\so I can only\imagine these things.\But someone who was born without the things that all of us take for granted...\That's the fight she has. response:	That's really kinda tough.
context: I could see how she'd hate it.\I don't think her needs have been met for a long, long time.\My family's still all together,\so I can only\imagine these things.\But someone who was born without the things that all of us take for granted...\That's the fight she has.\That's really kinda tough. response:	You don't know
context: I don't think her needs have been met for a long, long time.\My family's still all together,\so I can only\imagine these things.\But someone who was born without the things that all of us take for granted...\That's the fight she has.\That's really kinda tough.\You don't know response:	anything about Arima!
context: My family's still all together,\so I can only\imagine these things.\But someone who was born without the things that all of us take for granted...\That's the fight she has.\That's really kinda tough.\You don't know\anything about Arima! response:	Arima knew how she felt.
context: so I can only\imagine these things.\But someone who was born without the things that all of us take for granted...\That's the fight she has.\That's really kinda tough.\You don't know\anything about Arima!\Arima knew how she felt. response:	That's why he thought of Tsubasa like a sister.
context: imagine these things.\But someone who was born without the things that all of us take for granted...\That's the fight she has.\That's really kinda tough.\You don't know\anything about Arima!\Arima knew how she felt.\That's why he thought of Tsubasa like a sister. response:	In those days,
context: But someone who was born without the things that all of us take for granted...\That's the fight she has.\That's really kinda tough.\You don't know\anything about Arima!\Arima knew how she felt.\That's why he thought of Tsubasa like a sister.\In those days, response:	Arima couldn't spare time to love somebody.
context: That's the fight she has.\That's really kinda tough.\You don't know\anything about Arima!\Arima knew how she felt.\That's why he thought of Tsubasa like a sister.\In those days,\Arima couldn't spare time to love somebody. response:	He had his hands full staying perfect and burying his past in the depths of his memory.
context: That's really kinda tough.\You don't know\anything about Arima!\Arima knew how she felt.\That's why he thought of Tsubasa like a sister.\In those days,\Arima couldn't spare time to love somebody.\He had his hands full staying perfect and burying his past in the depths of his memory. response:	While no one could enter Arima's field of vision,
context: You don't know\anything about Arima!\Arima knew how she felt.\That's why he thought of Tsubasa like a sister.\In those days,\Arima couldn't spare time to love somebody.\He had his hands full staying perfect and burying his past in the depths of his memory.\While no one could enter Arima's field of vision, response:	Tsubasa alone was special.
context: anything about Arima!\Arima knew how she felt.\That's why he thought of Tsubasa like a sister.\In those days,\Arima couldn't spare time to love somebody.\He had his hands full staying perfect and burying his past in the depths of his memory.\While no one could enter Arima's field of vision,\Tsubasa alone was special. response:	Because he knew,
context: Arima knew how she felt.\That's why he thought of Tsubasa like a sister.\In those days,\Arima couldn't spare time to love somebody.\He had his hands full staying perfect and burying his past in the depths of his memory.\While no one could enter Arima's field of vision,\Tsubasa alone was special.\Because he knew, response:	somewhere in his heart, that they were the same kind.
context: That's why he thought of Tsubasa like a sister.\In those days,\Arima couldn't spare time to love somebody.\He had his hands full staying perfect and burying his past in the depths of his memory.\While no one could enter Arima's field of vision,\Tsubasa alone was special.\Because he knew,\somewhere in his heart, that they were the same kind. response:	Those two make a pretty picture together...
context: In those days,\Arima couldn't spare time to love somebody.\He had his hands full staying perfect and burying his past in the depths of his memory.\While no one could enter Arima's field of vision,\Tsubasa alone was special.\Because he knew,\somewhere in his heart, that they were the same kind.\Those two make a pretty picture together... response:	A really pretty picture...
context: Arima couldn't spare time to love somebody.\He had his hands full staying perfect and burying his past in the depths of his memory.\While no one could enter Arima's field of vision,\Tsubasa alone was special.\Because he knew,\somewhere in his heart, that they were the same kind.\Those two make a pretty picture together...\A really pretty picture... response:	But somehow, it feels sad.
context: He had his hands full staying perfect and burying his past in the depths of his memory.\While no one could enter Arima's field of vision,\Tsubasa alone was special.\Because he knew,\somewhere in his heart, that they were the same kind.\Those two make a pretty picture together...\A really pretty picture...\But somehow, it feels sad. response:	I don't think I've ever seen Tsubasa really smile from her heart.
context: While no one could enter Arima's field of vision,\Tsubasa alone was special.\Because he knew,\somewhere in his heart, that they were the same kind.\Those two make a pretty picture together...\A really pretty picture...\But somehow, it feels sad.\I don't think I've ever seen Tsubasa really smile from her heart. response:	Things are a mess now...
context: Tsubasa alone was special.\Because he knew,\somewhere in his heart, that they were the same kind.\Those two make a pretty picture together...\A really pretty picture...\But somehow, it feels sad.\I don't think I've ever seen Tsubasa really smile from her heart.\Things are a mess now... response:	I hope that everything goes right,
context: Because he knew,\somewhere in his heart, that they were the same kind.\Those two make a pretty picture together...\A really pretty picture...\But somehow, it feels sad.\I don't think I've ever seen Tsubasa really smile from her heart.\Things are a mess now...\I hope that everything goes right, response:	and she can become happy.
context: somewhere in his heart, that they were the same kind.\Those two make a pretty picture together...\A really pretty picture...\But somehow, it feels sad.\I don't think I've ever seen Tsubasa really smile from her heart.\Things are a mess now...\I hope that everything goes right,\and she can become happy. response:	I bet she'd be really cute when she smiles from her heart.
context: Those two make a pretty picture together...\A really pretty picture...\But somehow, it feels sad.\I don't think I've ever seen Tsubasa really smile from her heart.\Things are a mess now...\I hope that everything goes right,\and she can become happy.\I bet she'd be really cute when she smiles from her heart. response:	Thanks for seeing me off,
context: A really pretty picture...\But somehow, it feels sad.\I don't think I've ever seen Tsubasa really smile from her heart.\Things are a mess now...\I hope that everything goes right,\and she can become happy.\I bet she'd be really cute when she smiles from her heart.\Thanks for seeing me off, response:	and sorry for all the trouble.
context: But somehow, it feels sad.\I don't think I've ever seen Tsubasa really smile from her heart.\Things are a mess now...\I hope that everything goes right,\and she can become happy.\I bet she'd be really cute when she smiles from her heart.\Thanks for seeing me off,\and sorry for all the trouble. response:	Take good care of that monkey.
context: I don't think I've ever seen Tsubasa really smile from her heart.\Things are a mess now...\I hope that everything goes right,\and she can become happy.\I bet she'd be really cute when she smiles from her heart.\Thanks for seeing me off,\and sorry for all the trouble.\Take good care of that monkey. response:	Right.
context: Things are a mess now...\I hope that everything goes right,\and she can become happy.\I bet she'd be really cute when she smiles from her heart.\Thanks for seeing me off,\and sorry for all the trouble.\Take good care of that monkey.\Right. response:	You don't know anything about Arima!
context: I hope that everything goes right,\and she can become happy.\I bet she'd be really cute when she smiles from her heart.\Thanks for seeing me off,\and sorry for all the trouble.\Take good care of that monkey.\Right.\You don't know anything about Arima! response:	Maybe Arima's deeper and more chaotic inside than I thought.
context: and she can become happy.\I bet she'd be really cute when she smiles from her heart.\Thanks for seeing me off,\and sorry for all the trouble.\Take good care of that monkey.\Right.\You don't know anything about Arima!\Maybe Arima's deeper and more chaotic inside than I thought. response:	Maybe I still know only a small part of him.
context: I bet she'd be really cute when she smiles from her heart.\Thanks for seeing me off,\and sorry for all the trouble.\Take good care of that monkey.\Right.\You don't know anything about Arima!\Maybe Arima's deeper and more chaotic inside than I thought.\Maybe I still know only a small part of him. response:	Let's eat!
context: Thanks for seeing me off,\and sorry for all the trouble.\Take good care of that monkey.\Right.\You don't know anything about Arima!\Maybe Arima's deeper and more chaotic inside than I thought.\Maybe I still know only a small part of him.\Let's eat! response:	Dinner! Dinner!
context: and sorry for all the trouble.\Take good care of that monkey.\Right.\You don't know anything about Arima!\Maybe Arima's deeper and more chaotic inside than I thought.\Maybe I still know only a small part of him.\Let's eat!\Dinner! Dinner! response:	Please have as much as you want, okay?
context: Take good care of that monkey.\Right.\You don't know anything about Arima!\Maybe Arima's deeper and more chaotic inside than I thought.\Maybe I still know only a small part of him.\Let's eat!\Dinner! Dinner!\Please have as much as you want, okay? response:	It's summer, so you won't last if you don't eat.
context: Right.\You don't know anything about Arima!\Maybe Arima's deeper and more chaotic inside than I thought.\Maybe I still know only a small part of him.\Let's eat!\Dinner! Dinner!\Please have as much as you want, okay?\It's summer, so you won't last if you don't eat. response:	This isn't anything special, but...
context: You don't know anything about Arima!\Maybe Arima's deeper and more chaotic inside than I thought.\Maybe I still know only a small part of him.\Let's eat!\Dinner! Dinner!\Please have as much as you want, okay?\It's summer, so you won't last if you don't eat.\This isn't anything special, but... response:	Oh, please, don't mind us.
context: Maybe Arima's deeper and more chaotic inside than I thought.\Maybe I still know only a small part of him.\Let's eat!\Dinner! Dinner!\Please have as much as you want, okay?\It's summer, so you won't last if you don't eat.\This isn't anything special, but...\Oh, please, don't mind us. response:	I guess that's easier said that done.
context: Maybe I still know only a small part of him.\Let's eat!\Dinner! Dinner!\Please have as much as you want, okay?\It's summer, so you won't last if you don't eat.\This isn't anything special, but...\Oh, please, don't mind us.\I guess that's easier said that done. response:	Gee, um...
context: Let's eat!\Dinner! Dinner!\Please have as much as you want, okay?\It's summer, so you won't last if you don't eat.\This isn't anything special, but...\Oh, please, don't mind us.\I guess that's easier said that done.\Gee, um... response:	Dad, why are you blushing?
context: Dinner! Dinner!\Please have as much as you want, okay?\It's summer, so you won't last if you don't eat.\This isn't anything special, but...\Oh, please, don't mind us.\I guess that's easier said that done.\Gee, um...\Dad, why are you blushing? response:	Eww, what are you thinking?
context: Please have as much as you want, okay?\It's summer, so you won't last if you don't eat.\This isn't anything special, but...\Oh, please, don't mind us.\I guess that's easier said that done.\Gee, um...\Dad, why are you blushing?\Eww, what are you thinking? response:	He's such a perv! Riiight?
context: It's summer, so you won't last if you don't eat.\This isn't anything special, but...\Oh, please, don't mind us.\I guess that's easier said that done.\Gee, um...\Dad, why are you blushing?\Eww, what are you thinking?\He's such a perv! Riiight? response:	I can't believe this family...
context: This isn't anything special, but...\Oh, please, don't mind us.\I guess that's easier said that done.\Gee, um...\Dad, why are you blushing?\Eww, what are you thinking?\He's such a perv! Riiight?\I can't believe this family... response:	This is it!
context: Oh, please, don't mind us.\I guess that's easier said that done.\Gee, um...\Dad, why are you blushing?\Eww, what are you thinking?\He's such a perv! Riiight?\I can't believe this family...\This is it! response:	Yay! Blue 1.
context: I guess that's easier said that done.\Gee, um...\Dad, why are you blushing?\Eww, what are you thinking?\He's such a perv! Riiight?\I can't believe this family...\This is it!\Yay! Blue 1. response:	Blue 8.
context: Gee, um...\Dad, why are you blushing?\Eww, what are you thinking?\He's such a perv! Riiight?\I can't believe this family...\This is it!\Yay! Blue 1.\Blue 8. response:	Blue 3!
context: Dad, why are you blushing?\Eww, what are you thinking?\He's such a perv! Riiight?\I can't believe this family...\This is it!\Yay! Blue 1.\Blue 8.\Blue 3! response:	Blue 2.
context: Eww, what are you thinking?\He's such a perv! Riiight?\I can't believe this family...\This is it!\Yay! Blue 1.\Blue 8.\Blue 3!\Blue 2. response:	Blue 0.
context: He's such a perv! Riiight?\I can't believe this family...\This is it!\Yay! Blue 1.\Blue 8.\Blue 3!\Blue 2.\Blue 0. response:	I'm sorry, dear...Draw Four!
context: I can't believe this family...\This is it!\Yay! Blue 1.\Blue 8.\Blue 3!\Blue 2.\Blue 0.\I'm sorry, dear...Draw Four! response:	Right off the bat?! Fine, fine, I'll just
context: This is it!\Yay! Blue 1.\Blue 8.\Blue 3!\Blue 2.\Blue 0.\I'm sorry, dear...Draw Four!\Right off the bat?! Fine, fine, I'll just response:	take my four cards.
context: Yay! Blue 1.\Blue 8.\Blue 3!\Blue 2.\Blue 0.\I'm sorry, dear...Draw Four!\Right off the bat?! Fine, fine, I'll just\take my four cards. response:	Will this be the greatest crisis in the marital relationship?!
context: Blue 8.\Blue 3!\Blue 2.\Blue 0.\I'm sorry, dear...Draw Four!\Right off the bat?! Fine, fine, I'll just\take my four cards.\Will this be the greatest crisis in the marital relationship?! response:	Okay, Green 5.
context: Blue 3!\Blue 2.\Blue 0.\I'm sorry, dear...Draw Four!\Right off the bat?! Fine, fine, I'll just\take my four cards.\Will this be the greatest crisis in the marital relationship?!\Okay, Green 5. response:	Heh heh heh heh...Skip!
context: Blue 2.\Blue 0.\I'm sorry, dear...Draw Four!\Right off the bat?! Fine, fine, I'll just\take my four cards.\Will this be the greatest crisis in the marital relationship?!\Okay, Green 5.\Heh heh heh heh...Skip! response:	Tsukino, that's mean!
context: Blue 0.\I'm sorry, dear...Draw Four!\Right off the bat?! Fine, fine, I'll just\take my four cards.\Will this be the greatest crisis in the marital relationship?!\Okay, Green 5.\Heh heh heh heh...Skip!\Tsukino, that's mean! response:	Green 1.
context: I'm sorry, dear...Draw Four!\Right off the bat?! Fine, fine, I'll just\take my four cards.\Will this be the greatest crisis in the marital relationship?!\Okay, Green 5.\Heh heh heh heh...Skip!\Tsukino, that's mean!\Green 1. response:	Okay, wild to Yellow!
context: Right off the bat?! Fine, fine, I'll just\take my four cards.\Will this be the greatest crisis in the marital relationship?!\Okay, Green 5.\Heh heh heh heh...Skip!\Tsukino, that's mean!\Green 1.\Okay, wild to Yellow! response:	Nice, dear!
context: take my four cards.\Will this be the greatest crisis in the marital relationship?!\Okay, Green 5.\Heh heh heh heh...Skip!\Tsukino, that's mean!\Green 1.\Okay, wild to Yellow!\Nice, dear! response:	Leave the yellow to me! I have lots of yellow cards!
context: Will this be the greatest crisis in the marital relationship?!\Okay, Green 5.\Heh heh heh heh...Skip!\Tsukino, that's mean!\Green 1.\Okay, wild to Yellow!\Nice, dear!\Leave the yellow to me! I have lots of yellow cards! response:	The marital relationship is restored already!
context: Okay, Green 5.\Heh heh heh heh...Skip!\Tsukino, that's mean!\Green 1.\Okay, wild to Yellow!\Nice, dear!\Leave the yellow to me! I have lots of yellow cards!\The marital relationship is restored already! response:	Well then, Yellow 4.
context: Heh heh heh heh...Skip!\Tsukino, that's mean!\Green 1.\Okay, wild to Yellow!\Nice, dear!\Leave the yellow to me! I have lots of yellow cards!\The marital relationship is restored already!\Well then, Yellow 4. response:	Skip skip, tra-la-la!
context: Tsukino, that's mean!\Green 1.\Okay, wild to Yellow!\Nice, dear!\Leave the yellow to me! I have lots of yellow cards!\The marital relationship is restored already!\Well then, Yellow 4.\Skip skip, tra-la-la! response:	Not again!
context: Green 1.\Okay, wild to Yellow!\Nice, dear!\Leave the yellow to me! I have lots of yellow cards!\The marital relationship is restored already!\Well then, Yellow 4.\Skip skip, tra-la-la!\Not again! response:	Sorry. Reverse.
context: Okay, wild to Yellow!\Nice, dear!\Leave the yellow to me! I have lots of yellow cards!\The marital relationship is restored already!\Well then, Yellow 4.\Skip skip, tra-la-la!\Not again!\Sorry. Reverse. response:	All right! Sorry, Tsukino...Skip!
context: Nice, dear!\Leave the yellow to me! I have lots of yellow cards!\The marital relationship is restored already!\Well then, Yellow 4.\Skip skip, tra-la-la!\Not again!\Sorry. Reverse.\All right! Sorry, Tsukino...Skip! response:	What?!I can't beleive this!
context: Leave the yellow to me! I have lots of yellow cards!\The marital relationship is restored already!\Well then, Yellow 4.\Skip skip, tra-la-la!\Not again!\Sorry. Reverse.\All right! Sorry, Tsukino...Skip!\What?!I can't beleive this! response:	Then here's Yellow 2.
context: The marital relationship is restored already!\Well then, Yellow 4.\Skip skip, tra-la-la!\Not again!\Sorry. Reverse.\All right! Sorry, Tsukino...Skip!\What?!I can't beleive this!\Then here's Yellow 2. response:	Yellow 8.
context: Well then, Yellow 4.\Skip skip, tra-la-la!\Not again!\Sorry. Reverse.\All right! Sorry, Tsukino...Skip!\What?!I can't beleive this!\Then here's Yellow 2.\Yellow 8. response:	Draw Two!
context: Skip skip, tra-la-la!\Not again!\Sorry. Reverse.\All right! Sorry, Tsukino...Skip!\What?!I can't beleive this!\Then here's Yellow 2.\Yellow 8.\Draw Two! response:	Uno.
context: Not again!\Sorry. Reverse.\All right! Sorry, Tsukino...Skip!\What?!I can't beleive this!\Then here's Yellow 2.\Yellow 8.\Draw Two!\Uno. response:	What?!
context: Sorry. Reverse.\All right! Sorry, Tsukino...Skip!\What?!I can't beleive this!\Then here's Yellow 2.\Yellow 8.\Draw Two!\Uno.\What?! response:	This really sucks!
context: All right! Sorry, Tsukino...Skip!\What?!I can't beleive this!\Then here's Yellow 2.\Yellow 8.\Draw Two!\Uno.\What?!\This really sucks! response:	I swear by my family name, that I'll stop her at all costs!
context: What?!I can't beleive this!\Then here's Yellow 2.\Yellow 8.\Draw Two!\Uno.\What?!\This really sucks!\I swear by my family name, that I'll stop her at all costs! response:	Oh no! I can't do it!
context: Then here's Yellow 2.\Yellow 8.\Draw Two!\Uno.\What?!\This really sucks!\I swear by my family name, that I'll stop her at all costs!\Oh no! I can't do it! response:	Wait, wait, why do I have so many cards?
context: Yellow 8.\Draw Two!\Uno.\What?!\This really sucks!\I swear by my family name, that I'll stop her at all costs!\Oh no! I can't do it!\Wait, wait, why do I have so many cards? response:	No problemo!
context: Draw Two!\Uno.\What?!\This really sucks!\I swear by my family name, that I'll stop her at all costs!\Oh no! I can't do it!\Wait, wait, why do I have so many cards?\No problemo! response:	I have a big hand, too, so I have all sorts of cards in here! Here, Reverse! *Alright!*
context: Uno.\What?!\This really sucks!\I swear by my family name, that I'll stop her at all costs!\Oh no! I can't do it!\Wait, wait, why do I have so many cards?\No problemo!\I have a big hand, too, so I have all sorts of cards in here! Here, Reverse! *Alright!* response:	You saved us, Dad!
context: What?!\This really sucks!\I swear by my family name, that I'll stop her at all costs!\Oh no! I can't do it!\Wait, wait, why do I have so many cards?\No problemo!\I have a big hand, too, so I have all sorts of cards in here! Here, Reverse! *Alright!*\You saved us, Dad! response:	I wonder if this is what a normal family is like.
context: This really sucks!\I swear by my family name, that I'll stop her at all costs!\Oh no! I can't do it!\Wait, wait, why do I have so many cards?\No problemo!\I have a big hand, too, so I have all sorts of cards in here! Here, Reverse! *Alright!*\You saved us, Dad!\I wonder if this is what a normal family is like. response:	I wonder if Arima was attracted to that about her, too.
context: I swear by my family name, that I'll stop her at all costs!\Oh no! I can't do it!\Wait, wait, why do I have so many cards?\No problemo!\I have a big hand, too, so I have all sorts of cards in here! Here, Reverse! *Alright!*\You saved us, Dad!\I wonder if this is what a normal family is like.\I wonder if Arima was attracted to that about her, too. response:	A happy family that seems to know nothing about suffering.
context: Oh no! I can't do it!\Wait, wait, why do I have so many cards?\No problemo!\I have a big hand, too, so I have all sorts of cards in here! Here, Reverse! *Alright!*\You saved us, Dad!\I wonder if this is what a normal family is like.\I wonder if Arima was attracted to that about her, too.\A happy family that seems to know nothing about suffering. response:	I can't take this now.
context: Wait, wait, why do I have so many cards?\No problemo!\I have a big hand, too, so I have all sorts of cards in here! Here, Reverse! *Alright!*\You saved us, Dad!\I wonder if this is what a normal family is like.\I wonder if Arima was attracted to that about her, too.\A happy family that seems to know nothing about suffering.\I can't take this now. response:	I can't help but feel annoyed by them.
context: No problemo!\I have a big hand, too, so I have all sorts of cards in here! Here, Reverse! *Alright!*\You saved us, Dad!\I wonder if this is what a normal family is like.\I wonder if Arima was attracted to that about her, too.\A happy family that seems to know nothing about suffering.\I can't take this now.\I can't help but feel annoyed by them. response:	Isn't it painful for Arima when he's around this family...?
context: I have a big hand, too, so I have all sorts of cards in here! Here, Reverse! *Alright!*\You saved us, Dad!\I wonder if this is what a normal family is like.\I wonder if Arima was attracted to that about her, too.\A happy family that seems to know nothing about suffering.\I can't take this now.\I can't help but feel annoyed by them.\Isn't it painful for Arima when he's around this family...? response:	Comiiing!
context: You saved us, Dad!\I wonder if this is what a normal family is like.\I wonder if Arima was attracted to that about her, too.\A happy family that seems to know nothing about suffering.\I can't take this now.\I can't help but feel annoyed by them.\Isn't it painful for Arima when he's around this family...?\Comiiing! response:	Forgive me for visiting at this late hour.
context: I wonder if this is what a normal family is like.\I wonder if Arima was attracted to that about her, too.\A happy family that seems to know nothing about suffering.\I can't take this now.\I can't help but feel annoyed by them.\Isn't it painful for Arima when he's around this family...?\Comiiing!\Forgive me for visiting at this late hour. response:	What a HOT father!
context: I wonder if Arima was attracted to that about her, too.\A happy family that seems to know nothing about suffering.\I can't take this now.\I can't help but feel annoyed by them.\Isn't it painful for Arima when he's around this family...?\Comiiing!\Forgive me for visiting at this late hour.\What a HOT father! response:	I guess I'd expect that from Tsubasa's father.
context: A happy family that seems to know nothing about suffering.\I can't take this now.\I can't help but feel annoyed by them.\Isn't it painful for Arima when he's around this family...?\Comiiing!\Forgive me for visiting at this late hour.\What a HOT father!\I guess I'd expect that from Tsubasa's father. response:	What a finely structured face.
context: I can't take this now.\I can't help but feel annoyed by them.\Isn't it painful for Arima when he's around this family...?\Comiiing!\Forgive me for visiting at this late hour.\What a HOT father!\I guess I'd expect that from Tsubasa's father.\What a finely structured face. response:	I don't know what to say...
context: I can't help but feel annoyed by them.\Isn't it painful for Arima when he's around this family...?\Comiiing!\Forgive me for visiting at this late hour.\What a HOT father!\I guess I'd expect that from Tsubasa's father.\What a finely structured face.\I don't know what to say... response:	Now now, I'm sure you have a lot to talk about.
context: Isn't it painful for Arima when he's around this family...?\Comiiing!\Forgive me for visiting at this late hour.\What a HOT father!\I guess I'd expect that from Tsubasa's father.\What a finely structured face.\I don't know what to say...\Now now, I'm sure you have a lot to talk about. response:	Please come in and we can discuss it at length.
context: Comiiing!\Forgive me for visiting at this late hour.\What a HOT father!\I guess I'd expect that from Tsubasa's father.\What a finely structured face.\I don't know what to say...\Now now, I'm sure you have a lot to talk about.\Please come in and we can discuss it at length. response:	Well, excuse me...
context: Forgive me for visiting at this late hour.\What a HOT father!\I guess I'd expect that from Tsubasa's father.\What a finely structured face.\I don't know what to say...\Now now, I'm sure you have a lot to talk about.\Please come in and we can discuss it at length.\Well, excuse me... response:	Mr. Shibahime!
context: What a HOT father!\I guess I'd expect that from Tsubasa's father.\What a finely structured face.\I don't know what to say...\Now now, I'm sure you have a lot to talk about.\Please come in and we can discuss it at length.\Well, excuse me...\Mr. Shibahime! response:	Excuse me...
context: I guess I'd expect that from Tsubasa's father.\What a finely structured face.\I don't know what to say...\Now now, I'm sure you have a lot to talk about.\Please come in and we can discuss it at length.\Well, excuse me...\Mr. Shibahime!\Excuse me... response:	But kind of a klutz.
context: What a finely structured face.\I don't know what to say...\Now now, I'm sure you have a lot to talk about.\Please come in and we can discuss it at length.\Well, excuse me...\Mr. Shibahime!\Excuse me...\But kind of a klutz. response:	It appears there was some emotional disagreement...
context: I don't know what to say...\Now now, I'm sure you have a lot to talk about.\Please come in and we can discuss it at length.\Well, excuse me...\Mr. Shibahime!\Excuse me...\But kind of a klutz.\It appears there was some emotional disagreement... response:	That the matter has come to trouble you here...
context: Now now, I'm sure you have a lot to talk about.\Please come in and we can discuss it at length.\Well, excuse me...\Mr. Shibahime!\Excuse me...\But kind of a klutz.\It appears there was some emotional disagreement...\That the matter has come to trouble you here... response:	I totally understand that feeling.
context: Please come in and we can discuss it at length.\Well, excuse me...\Mr. Shibahime!\Excuse me...\But kind of a klutz.\It appears there was some emotional disagreement...\That the matter has come to trouble you here...\I totally understand that feeling. response:	How daughters don't want their
context: Well, excuse me...\Mr. Shibahime!\Excuse me...\But kind of a klutz.\It appears there was some emotional disagreement...\That the matter has come to trouble you here...\I totally understand that feeling.\How daughters don't want their response:	dad to be taken by someone else!
context: Mr. Shibahime!\Excuse me...\But kind of a klutz.\It appears there was some emotional disagreement...\That the matter has come to trouble you here...\I totally understand that feeling.\How daughters don't want their\dad to be taken by someone else! response:	Dad, shut up.
context: Excuse me...\But kind of a klutz.\It appears there was some emotional disagreement...\That the matter has come to trouble you here...\I totally understand that feeling.\How daughters don't want their\dad to be taken by someone else!\Dad, shut up. response:	Don't butt in.
context: But kind of a klutz.\It appears there was some emotional disagreement...\That the matter has come to trouble you here...\I totally understand that feeling.\How daughters don't want their\dad to be taken by someone else!\Dad, shut up.\Don't butt in. response:	My wife passed away shortly after giving birth to my daughter.
context: It appears there was some emotional disagreement...\That the matter has come to trouble you here...\I totally understand that feeling.\How daughters don't want their\dad to be taken by someone else!\Dad, shut up.\Don't butt in.\My wife passed away shortly after giving birth to my daughter. response:	We've been managing by ourselves somehow since then...
context: That the matter has come to trouble you here...\I totally understand that feeling.\How daughters don't want their\dad to be taken by someone else!\Dad, shut up.\Don't butt in.\My wife passed away shortly after giving birth to my daughter.\We've been managing by ourselves somehow since then... response:	But recently, my daughter had a skateboarding accident
context: I totally understand that feeling.\How daughters don't want their\dad to be taken by someone else!\Dad, shut up.\Don't butt in.\My wife passed away shortly after giving birth to my daughter.\We've been managing by ourselves somehow since then...\But recently, my daughter had a skateboarding accident response:	in which she hit a brick wall...
context: How daughters don't want their\dad to be taken by someone else!\Dad, shut up.\Don't butt in.\My wife passed away shortly after giving birth to my daughter.\We've been managing by ourselves somehow since then...\But recently, my daughter had a skateboarding accident\in which she hit a brick wall... response:	I became extremely anxious about our current life...
context: dad to be taken by someone else!\Dad, shut up.\Don't butt in.\My wife passed away shortly after giving birth to my daughter.\We've been managing by ourselves somehow since then...\But recently, my daughter had a skateboarding accident\in which she hit a brick wall...\I became extremely anxious about our current life... response:	Then I was greatly encouraged by this woman here,
context: Dad, shut up.\Don't butt in.\My wife passed away shortly after giving birth to my daughter.\We've been managing by ourselves somehow since then...\But recently, my daughter had a skateboarding accident\in which she hit a brick wall...\I became extremely anxious about our current life...\Then I was greatly encouraged by this woman here, response:	who was working as a nurse in the ward.
context: Don't butt in.\My wife passed away shortly after giving birth to my daughter.\We've been managing by ourselves somehow since then...\But recently, my daughter had a skateboarding accident\in which she hit a brick wall...\I became extremely anxious about our current life...\Then I was greatly encouraged by this woman here,\who was working as a nurse in the ward. response:	Upon talking to her, I found out that her husband had passed away leaving her with a son...
context: My wife passed away shortly after giving birth to my daughter.\We've been managing by ourselves somehow since then...\But recently, my daughter had a skateboarding accident\in which she hit a brick wall...\I became extremely anxious about our current life...\Then I was greatly encouraged by this woman here,\who was working as a nurse in the ward.\Upon talking to her, I found out that her husband had passed away leaving her with a son... response:	So we had a lot in common.
context: We've been managing by ourselves somehow since then...\But recently, my daughter had a skateboarding accident\in which she hit a brick wall...\I became extremely anxious about our current life...\Then I was greatly encouraged by this woman here,\who was working as a nurse in the ward.\Upon talking to her, I found out that her husband had passed away leaving her with a son...\So we had a lot in common. response:	I had been thinking that she was such a cool professional woman.
context: But recently, my daughter had a skateboarding accident\in which she hit a brick wall...\I became extremely anxious about our current life...\Then I was greatly encouraged by this woman here,\who was working as a nurse in the ward.\Upon talking to her, I found out that her husband had passed away leaving her with a son...\So we had a lot in common.\I had been thinking that she was such a cool professional woman. response:	But then I started to get self-conscious around her...
context: in which she hit a brick wall...\I became extremely anxious about our current life...\Then I was greatly encouraged by this woman here,\who was working as a nurse in the ward.\Upon talking to her, I found out that her husband had passed away leaving her with a son...\So we had a lot in common.\I had been thinking that she was such a cool professional woman.\But then I started to get self-conscious around her... response:	When Tsubasa was released from the hospital...
context: I became extremely anxious about our current life...\Then I was greatly encouraged by this woman here,\who was working as a nurse in the ward.\Upon talking to her, I found out that her husband had passed away leaving her with a son...\So we had a lot in common.\I had been thinking that she was such a cool professional woman.\But then I started to get self-conscious around her...\When Tsubasa was released from the hospital... response:	The Nemuri Kyoushirou series was playing...
context: Then I was greatly encouraged by this woman here,\who was working as a nurse in the ward.\Upon talking to her, I found out that her husband had passed away leaving her with a son...\So we had a lot in common.\I had been thinking that she was such a cool professional woman.\But then I started to get self-conscious around her...\When Tsubasa was released from the hospital...\The Nemuri Kyoushirou series was playing... response:	And the Tange Sazen series is good, too.
context: who was working as a nurse in the ward.\Upon talking to her, I found out that her husband had passed away leaving her with a son...\So we had a lot in common.\I had been thinking that she was such a cool professional woman.\But then I started to get self-conscious around her...\When Tsubasa was released from the hospital...\The Nemuri Kyoushirou series was playing...\And the Tange Sazen series is good, too. response:	This is beside the point...
