context: Kiss Him, Not Me response:	The Strange Room And The Four High School Boys
context: Totally fine!\Actually, I'm not fine at all.\Sure, I lost some weight and can move more freely,\but I forgot I was originally an indoor person,\so I've got no muscle at all!\Should we call it a day?\N-No! I can keep going\5 Days Left response:	Is that too tight?
context: Actually, I'm not fine at all.\Sure, I lost some weight and can move more freely,\but I forgot I was originally an indoor person,\so I've got no muscle at all!\Should we call it a day?\N-No! I can keep going\5 Days Left\Is that too tight? response:	With proper taping, you can avoid injury.
context: Sure, I lost some weight and can move more freely,\but I forgot I was originally an indoor person,\so I've got no muscle at all!\Should we call it a day?\N-No! I can keep going\5 Days Left\Is that too tight?\With proper taping, you can avoid injury. response:	Yeah, it feels good!
context: but I forgot I was originally an indoor person,\so I've got no muscle at all!\Should we call it a day?\N-No! I can keep going\5 Days Left\Is that too tight?\With proper taping, you can avoid injury.\Yeah, it feels good! response:	Thank you, Shinomiya-kun! Nothing less from someone on the health committee!
context: so I've got no muscle at all!\Should we call it a day?\N-No! I can keep going\5 Days Left\Is that too tight?\With proper taping, you can avoid injury.\Yeah, it feels good!\Thank you, Shinomiya-kun! Nothing less from someone on the health committee! response:	Ah, no, it was n-nothing.
context: Should we call it a day?\N-No! I can keep going\5 Days Left\Is that too tight?\With proper taping, you can avoid injury.\Yeah, it feels good!\Thank you, Shinomiya-kun! Nothing less from someone on the health committee!\Ah, no, it was n-nothing. response:	I brought refreshments.
context: N-No! I can keep going\5 Days Left\Is that too tight?\With proper taping, you can avoid injury.\Yeah, it feels good!\Thank you, Shinomiya-kun! Nothing less from someone on the health committee!\Ah, no, it was n-nothing.\I brought refreshments. response:	Thank you so much!
context: 5 Days Left\Is that too tight?\With proper taping, you can avoid injury.\Yeah, it feels good!\Thank you, Shinomiya-kun! Nothing less from someone on the health committee!\Ah, no, it was n-nothing.\I brought refreshments.\Thank you so much! response:	3 Days Left
context: Is that too tight?\With proper taping, you can avoid injury.\Yeah, it feels good!\Thank you, Shinomiya-kun! Nothing less from someone on the health committee!\Ah, no, it was n-nothing.\I brought refreshments.\Thank you so much!\3 Days Left response:	Hey, be honest. What do you think of her?
context: With proper taping, you can avoid injury.\Yeah, it feels good!\Thank you, Shinomiya-kun! Nothing less from someone on the health committee!\Ah, no, it was n-nothing.\I brought refreshments.\Thank you so much!\3 Days Left\Hey, be honest. What do you think of her? response:	Who, Serinuma-san?
context: Yeah, it feels good!\Thank you, Shinomiya-kun! Nothing less from someone on the health committee!\Ah, no, it was n-nothing.\I brought refreshments.\Thank you so much!\3 Days Left\Hey, be honest. What do you think of her?\Who, Serinuma-san? response:	Yeah.
context: Thank you, Shinomiya-kun! Nothing less from someone on the health committee!\Ah, no, it was n-nothing.\I brought refreshments.\Thank you so much!\3 Days Left\Hey, be honest. What do you think of her?\Who, Serinuma-san?\Yeah. response:	She's a total washout.
context: Ah, no, it was n-nothing.\I brought refreshments.\Thank you so much!\3 Days Left\Hey, be honest. What do you think of her?\Who, Serinuma-san?\Yeah.\She's a total washout. response:	She wasn't any better today. What's with her?
context: I brought refreshments.\Thank you so much!\3 Days Left\Hey, be honest. What do you think of her?\Who, Serinuma-san?\Yeah.\She's a total washout.\She wasn't any better today. What's with her? response:	Yeah, but it's kinda too late to ask someone else to help at this point.
context: Thank you so much!\3 Days Left\Hey, be honest. What do you think of her?\Who, Serinuma-san?\Yeah.\She's a total washout.\She wasn't any better today. What's with her?\Yeah, but it's kinda too late to ask someone else to help at this point. response:	We'll just have to giv
context: 3 Days Left\Hey, be honest. What do you think of her?\Who, Serinuma-san?\Yeah.\She's a total washout.\She wasn't any better today. What's with her?\Yeah, but it's kinda too late to ask someone else to help at this point.\We'll just have to giv response:	You're the ones that asked her for help. Drop the attitude.
context: Hey, be honest. What do you think of her?\Who, Serinuma-san?\Yeah.\She's a total washout.\She wasn't any better today. What's with her?\Yeah, but it's kinda too late to ask someone else to help at this point.\We'll just have to giv\You're the ones that asked her for help. Drop the attitude. response:	Crap. That just slipped out.
context: Who, Serinuma-san?\Yeah.\She's a total washout.\She wasn't any better today. What's with her?\Yeah, but it's kinda too late to ask someone else to help at this point.\We'll just have to giv\You're the ones that asked her for help. Drop the attitude.\Crap. That just slipped out. response:	What's it got to do with me?
context: Yeah.\She's a total washout.\She wasn't any better today. What's with her?\Yeah, but it's kinda too late to ask someone else to help at this point.\We'll just have to giv\You're the ones that asked her for help. Drop the attitude.\Crap. That just slipped out.\What's it got to do with me? response:	Ow!
context: She's a total washout.\She wasn't any better today. What's with her?\Yeah, but it's kinda too late to ask someone else to help at this point.\We'll just have to giv\You're the ones that asked her for help. Drop the attitude.\Crap. That just slipped out.\What's it got to do with me?\Ow! response:	W-Wait. Hey!
context: She wasn't any better today. What's with her?\Yeah, but it's kinda too late to ask someone else to help at this point.\We'll just have to giv\You're the ones that asked her for help. Drop the attitude.\Crap. That just slipped out.\What's it got to do with me?\Ow!\W-Wait. Hey! response:	What was with that impossible curve ball? You're just goofing off!
context: Yeah, but it's kinda too late to ask someone else to help at this point.\We'll just have to giv\You're the ones that asked her for help. Drop the attitude.\Crap. That just slipped out.\What's it got to do with me?\Ow!\W-Wait. Hey!\What was with that impossible curve ball? You're just goofing off! response:	N-Nanashima-kun?!
context: We'll just have to giv\You're the ones that asked her for help. Drop the attitude.\Crap. That just slipped out.\What's it got to do with me?\Ow!\W-Wait. Hey!\What was with that impossible curve ball? You're just goofing off!\N-Nanashima-kun?! response:	I-I'm not goofing off!
context: You're the ones that asked her for help. Drop the attitude.\Crap. That just slipped out.\What's it got to do with me?\Ow!\W-Wait. Hey!\What was with that impossible curve ball? You're just goofing off!\N-Nanashima-kun?!\I-I'm not goofing off! response:	Whenever I kick the ball, it always comes back at me for some reason.
context: Crap. That just slipped out.\What's it got to do with me?\Ow!\W-Wait. Hey!\What was with that impossible curve ball? You're just goofing off!\N-Nanashima-kun?!\I-I'm not goofing off!\Whenever I kick the ball, it always comes back at me for some reason. response:	Always?
context: What's it got to do with me?\Ow!\W-Wait. Hey!\What was with that impossible curve ball? You're just goofing off!\N-Nanashima-kun?!\I-I'm not goofing off!\Whenever I kick the ball, it always comes back at me for some reason.\Always? response:	That's actually pretty impressive.
context: Ow!\W-Wait. Hey!\What was with that impossible curve ball? You're just goofing off!\N-Nanashima-kun?!\I-I'm not goofing off!\Whenever I kick the ball, it always comes back at me for some reason.\Always?\That's actually pretty impressive. response:	I guess the ball doesn't want to be friend-zoned!
context: W-Wait. Hey!\What was with that impossible curve ball? You're just goofing off!\N-Nanashima-kun?!\I-I'm not goofing off!\Whenever I kick the ball, it always comes back at me for some reason.\Always?\That's actually pretty impressive.\I guess the ball doesn't want to be friend-zoned! response:	Are you serious?
context: What was with that impossible curve ball? You're just goofing off!\N-Nanashima-kun?!\I-I'm not goofing off!\Whenever I kick the ball, it always comes back at me for some reason.\Always?\That's actually pretty impressive.\I guess the ball doesn't want to be friend-zoned!\Are you serious? response:	Er, no... sorry.
context: N-Nanashima-kun?!\I-I'm not goofing off!\Whenever I kick the ball, it always comes back at me for some reason.\Always?\That's actually pretty impressive.\I guess the ball doesn't want to be friend-zoned!\Are you serious?\Er, no... sorry. response:	So this is why they said she was no good.
context: I-I'm not goofing off!\Whenever I kick the ball, it always comes back at me for some reason.\Always?\That's actually pretty impressive.\I guess the ball doesn't want to be friend-zoned!\Are you serious?\Er, no... sorry.\So this is why they said she was no good. response:	You know, why don't you just quit?
context: Whenever I kick the ball, it always comes back at me for some reason.\Always?\That's actually pretty impressive.\I guess the ball doesn't want to be friend-zoned!\Are you serious?\Er, no... sorry.\So this is why they said she was no good.\You know, why don't you just quit? response:	You can still bow out now, can't you?
context: Always?\That's actually pretty impressive.\I guess the ball doesn't want to be friend-zoned!\Are you serious?\Er, no... sorry.\So this is why they said she was no good.\You know, why don't you just quit?\You can still bow out now, can't you? response:	Even if you stumble on a beginner's miracle, that won't cut it for the game.
context: That's actually pretty impressive.\I guess the ball doesn't want to be friend-zoned!\Are you serious?\Er, no... sorry.\So this is why they said she was no good.\You know, why don't you just quit?\You can still bow out now, can't you?\Even if you stumble on a beginner's miracle, that won't cut it for the game. response:	No.
context: I guess the ball doesn't want to be friend-zoned!\Are you serious?\Er, no... sorry.\So this is why they said she was no good.\You know, why don't you just quit?\You can still bow out now, can't you?\Even if you stumble on a beginner's miracle, that won't cut it for the game.\No. response:	Nanashima-kun, you were right.
context: Are you serious?\Er, no... sorry.\So this is why they said she was no good.\You know, why don't you just quit?\You can still bow out now, can't you?\Even if you stumble on a beginner's miracle, that won't cut it for the game.\No.\Nanashima-kun, you were right. response:	I was naive. I felt like I could do anything...
context: Er, no... sorry.\So this is why they said she was no good.\You know, why don't you just quit?\You can still bow out now, can't you?\Even if you stumble on a beginner's miracle, that won't cut it for the game.\No.\Nanashima-kun, you were right.\I was naive. I felt like I could do anything... response:	That's just not true.
context: So this is why they said she was no good.\You know, why don't you just quit?\You can still bow out now, can't you?\Even if you stumble on a beginner's miracle, that won't cut it for the game.\No.\Nanashima-kun, you were right.\I was naive. I felt like I could do anything...\That's just not true. response:	But I took on the challenge anyway!
context: You know, why don't you just quit?\You can still bow out now, can't you?\Even if you stumble on a beginner's miracle, that won't cut it for the game.\No.\Nanashima-kun, you were right.\I was naive. I felt like I could do anything...\That's just not true.\But I took on the challenge anyway! response:	I don't want to give up!
context: You can still bow out now, can't you?\Even if you stumble on a beginner's miracle, that won't cut it for the game.\No.\Nanashima-kun, you were right.\I was naive. I felt like I could do anything...\That's just not true.\But I took on the challenge anyway!\I don't want to give up! response:	Ba-dump.
context: Even if you stumble on a beginner's miracle, that won't cut it for the game.\No.\Nanashima-kun, you were right.\I was naive. I felt like I could do anything...\That's just not true.\But I took on the challenge anyway!\I don't want to give up!\Ba-dump. response:	What choice do I have?
context: No.\Nanashima-kun, you were right.\I was naive. I felt like I could do anything...\That's just not true.\But I took on the challenge anyway!\I don't want to give up!\Ba-dump.\What choice do I have? response:	Give it one more try.
context: Nanashima-kun, you were right.\I was naive. I felt like I could do anything...\That's just not true.\But I took on the challenge anyway!\I don't want to give up!\Ba-dump.\What choice do I have?\Give it one more try. response:	You probably do something weird whenever you kick the ball.
context: I was naive. I felt like I could do anything...\That's just not true.\But I took on the challenge anyway!\I don't want to give up!\Ba-dump.\What choice do I have?\Give it one more try.\You probably do something weird whenever you kick the ball. response:	Maybe your ankle, or follow through.
context: That's just not true.\But I took on the challenge anyway!\I don't want to give up!\Ba-dump.\What choice do I have?\Give it one more try.\You probably do something weird whenever you kick the ball.\Maybe your ankle, or follow through. response:	You don't want to give up, right?
context: But I took on the challenge anyway!\I don't want to give up!\Ba-dump.\What choice do I have?\Give it one more try.\You probably do something weird whenever you kick the ball.\Maybe your ankle, or follow through.\You don't want to give up, right? response:	Do whatever you can, then. I'll help you.
context: I don't want to give up!\Ba-dump.\What choice do I have?\Give it one more try.\You probably do something weird whenever you kick the ball.\Maybe your ankle, or follow through.\You don't want to give up, right?\Do whatever you can, then. I'll help you. response:	Okay.
context: Ba-dump.\What choice do I have?\Give it one more try.\You probably do something weird whenever you kick the ball.\Maybe your ankle, or follow through.\You don't want to give up, right?\Do whatever you can, then. I'll help you.\Okay. response:	Nana's here for some reason.
context: What choice do I have?\Give it one more try.\You probably do something weird whenever you kick the ball.\Maybe your ankle, or follow through.\You don't want to give up, right?\Do whatever you can, then. I'll help you.\Okay.\Nana's here for some reason. response:	You're right.
context: Give it one more try.\You probably do something weird whenever you kick the ball.\Maybe your ankle, or follow through.\You don't want to give up, right?\Do whatever you can, then. I'll help you.\Okay.\Nana's here for some reason.\You're right. response:	After fighting like that, he sure came back quick.
context: You probably do something weird whenever you kick the ball.\Maybe your ankle, or follow through.\You don't want to give up, right?\Do whatever you can, then. I'll help you.\Okay.\Nana's here for some reason.\You're right.\After fighting like that, he sure came back quick. response:	Now, now. It's a beautiful thing when people get along.
context: Maybe your ankle, or follow through.\You don't want to give up, right?\Do whatever you can, then. I'll help you.\Okay.\Nana's here for some reason.\You're right.\After fighting like that, he sure came back quick.\Now, now. It's a beautiful thing when people get along. response:	Time!
context: You don't want to give up, right?\Do whatever you can, then. I'll help you.\Okay.\Nana's here for some reason.\You're right.\After fighting like that, he sure came back quick.\Now, now. It's a beautiful thing when people get along.\Time! response:	First Half Second Half Total
context: Do whatever you can, then. I'll help you.\Okay.\Nana's here for some reason.\You're right.\After fighting like that, he sure came back quick.\Now, now. It's a beautiful thing when people get along.\Time!\First Half Second Half Total response:	Higashinohashi
context: Okay.\Nana's here for some reason.\You're right.\After fighting like that, he sure came back quick.\Now, now. It's a beautiful thing when people get along.\Time!\First Half Second Half Total\Higashinohashi response:	Josai
context: Nana's here for some reason.\You're right.\After fighting like that, he sure came back quick.\Now, now. It's a beautiful thing when people get along.\Time!\First Half Second Half Total\Higashinohashi\Josai response:	They're in stoppage time and still down one point.
context: You're right.\After fighting like that, he sure came back quick.\Now, now. It's a beautiful thing when people get along.\Time!\First Half Second Half Total\Higashinohashi\Josai\They're in stoppage time and still down one point. response:	About two minutes or so left?
context: After fighting like that, he sure came back quick.\Now, now. It's a beautiful thing when people get along.\Time!\First Half Second Half Total\Higashinohashi\Josai\They're in stoppage time and still down one point.\About two minutes or so left? response:	Yeah. This will be tough.
context: Now, now. It's a beautiful thing when people get along.\Time!\First Half Second Half Total\Higashinohashi\Josai\They're in stoppage time and still down one point.\About two minutes or so left?\Yeah. This will be tough. response:	I have an idea.
context: Time!\First Half Second Half Total\Higashinohashi\Josai\They're in stoppage time and still down one point.\About two minutes or so left?\Yeah. This will be tough.\I have an idea. response:	Pass it to me at the next throw-in!
context: First Half Second Half Total\Higashinohashi\Josai\They're in stoppage time and still down one point.\About two minutes or so left?\Yeah. This will be tough.\I have an idea.\Pass it to me at the next throw-in! response:	What are you gonna do?
context: Higashinohashi\Josai\They're in stoppage time and still down one point.\About two minutes or so left?\Yeah. This will be tough.\I have an idea.\Pass it to me at the next throw-in!\What are you gonna do? response:	It's too late to do anything now!
context: Josai\They're in stoppage time and still down one point.\About two minutes or so left?\Yeah. This will be tough.\I have an idea.\Pass it to me at the next throw-in!\What are you gonna do?\It's too late to do anything now! response:	Don't feel down, everyone!
context: They're in stoppage time and still down one point.\About two minutes or so left?\Yeah. This will be tough.\I have an idea.\Pass it to me at the next throw-in!\What are you gonna do?\It's too late to do anything now!\Don't feel down, everyone! response:	If we give up right now, that'll be the end of the match!
context: About two minutes or so left?\Yeah. This will be tough.\I have an idea.\Pass it to me at the next throw-in!\What are you gonna do?\It's too late to do anything now!\Don't feel down, everyone!\If we give up right now, that'll be the end of the match! response:	Isn't that for basketball?
context: Yeah. This will be tough.\I have an idea.\Pass it to me at the next throw-in!\What are you gonna do?\It's too late to do anything now!\Don't feel down, everyone!\If we give up right now, that'll be the end of the match!\Isn't that for basketball? response:	But she's extremely persuasive!
context: I have an idea.\Pass it to me at the next throw-in!\What are you gonna do?\It's too late to do anything now!\Don't feel down, everyone!\If we give up right now, that'll be the end of the match!\Isn't that for basketball?\But she's extremely persuasive! response:	The opposing team's goal is really close.
context: Pass it to me at the next throw-in!\What are you gonna do?\It's too late to do anything now!\Don't feel down, everyone!\If we give up right now, that'll be the end of the match!\Isn't that for basketball?\But she's extremely persuasive!\The opposing team's goal is really close. response:	If they clear the ball, it's all over.
context: What are you gonna do?\It's too late to do anything now!\Don't feel down, everyone!\If we give up right now, that'll be the end of the match!\Isn't that for basketball?\But she's extremely persuasive!\The opposing team's goal is really close.\If they clear the ball, it's all over. response:	Serinuma-san got it.
context: It's too late to do anything now!\Don't feel down, everyone!\If we give up right now, that'll be the end of the match!\Isn't that for basketball?\But she's extremely persuasive!\The opposing team's goal is really close.\If they clear the ball, it's all over.\Serinuma-san got it. response:	But she's facing the wrong way.
context: Don't feel down, everyone!\If we give up right now, that'll be the end of the match!\Isn't that for basketball?\But she's extremely persuasive!\The opposing team's goal is really close.\If they clear the ball, it's all over.\Serinuma-san got it.\But she's facing the wrong way. response:	I'm not sure she'll get a chance to shoot.
context: If we give up right now, that'll be the end of the match!\Isn't that for basketball?\But she's extremely persuasive!\The opposing team's goal is really close.\If they clear the ball, it's all over.\Serinuma-san got it.\But she's facing the wrong way.\I'm not sure she'll get a chance to shoot. response:	Wha
context: Isn't that for basketball?\But she's extremely persuasive!\The opposing team's goal is really close.\If they clear the ball, it's all over.\Serinuma-san got it.\But she's facing the wrong way.\I'm not sure she'll get a chance to shoot.\Wha response:	Huh?!
context: But she's extremely persuasive!\The opposing team's goal is really close.\If they clear the ball, it's all over.\Serinuma-san got it.\But she's facing the wrong way.\I'm not sure she'll get a chance to shoot.\Wha\Huh?! response:	She kicked it without turning around!
context: The opposing team's goal is really close.\If they clear the ball, it's all over.\Serinuma-san got it.\But she's facing the wrong way.\I'm not sure she'll get a chance to shoot.\Wha\Huh?!\She kicked it without turning around! response:	Where is she aiming?!
context: If they clear the ball, it's all over.\Serinuma-san got it.\But she's facing the wrong way.\I'm not sure she'll get a chance to shoot.\Wha\Huh?!\She kicked it without turning around!\Where is she aiming?! response:	What just happened?!
context: Serinuma-san got it.\But she's facing the wrong way.\I'm not sure she'll get a chance to shoot.\Wha\Huh?!\She kicked it without turning around!\Where is she aiming?!\What just happened?! response:	How did it go backwards into the net?
context: But she's facing the wrong way.\I'm not sure she'll get a chance to shoot.\Wha\Huh?!\She kicked it without turning around!\Where is she aiming?!\What just happened?!\How did it go backwards into the net? response:	Did the ball just curve? It curved like crazy!
context: I'm not sure she'll get a chance to shoot.\Wha\Huh?!\She kicked it without turning around!\Where is she aiming?!\What just happened?!\How did it go backwards into the net?\Did the ball just curve? It curved like crazy! response:	So that's how she decided to turn the tables!
context: Wha\Huh?!\She kicked it without turning around!\Where is she aiming?!\What just happened?!\How did it go backwards into the net?\Did the ball just curve? It curved like crazy!\So that's how she decided to turn the tables! response:	That's so stupid! Unreal! She's gotta be stupid!
context: Huh?!\She kicked it without turning around!\Where is she aiming?!\What just happened?!\How did it go backwards into the net?\Did the ball just curve? It curved like crazy!\So that's how she decided to turn the tables!\That's so stupid! Unreal! She's gotta be stupid! response:	Unbelievable. Is this girl for real? She's hilarious!
context: She kicked it without turning around!\Where is she aiming?!\What just happened?!\How did it go backwards into the net?\Did the ball just curve? It curved like crazy!\So that's how she decided to turn the tables!\That's so stupid! Unreal! She's gotta be stupid!\Unbelievable. Is this girl for real? She's hilarious! response:	Didn't you say you were gonna step aside?
context: Where is she aiming?!\What just happened?!\How did it go backwards into the net?\Did the ball just curve? It curved like crazy!\So that's how she decided to turn the tables!\That's so stupid! Unreal! She's gotta be stupid!\Unbelievable. Is this girl for real? She's hilarious!\Didn't you say you were gonna step aside? response:	Changed my mind.
context: What just happened?!\How did it go backwards into the net?\Did the ball just curve? It curved like crazy!\So that's how she decided to turn the tables!\That's so stupid! Unreal! She's gotta be stupid!\Unbelievable. Is this girl for real? She's hilarious!\Didn't you say you were gonna step aside?\Changed my mind. response:	Kae-chan, you smell like your compress.
context: How did it go backwards into the net?\Did the ball just curve? It curved like crazy!\So that's how she decided to turn the tables!\That's so stupid! Unreal! She's gotta be stupid!\Unbelievable. Is this girl for real? She's hilarious!\Didn't you say you were gonna step aside?\Changed my mind.\Kae-chan, you smell like your compress. response:	Sorry.
context: Did the ball just curve? It curved like crazy!\So that's how she decided to turn the tables!\That's so stupid! Unreal! She's gotta be stupid!\Unbelievable. Is this girl for real? She's hilarious!\Didn't you say you were gonna step aside?\Changed my mind.\Kae-chan, you smell like your compress.\Sorry. response:	But it's summer break soon!
context: So that's how she decided to turn the tables!\That's so stupid! Unreal! She's gotta be stupid!\Unbelievable. Is this girl for real? She's hilarious!\Didn't you say you were gonna step aside?\Changed my mind.\Kae-chan, you smell like your compress.\Sorry.\But it's summer break soon! response:	This muscle pain's nothing!
context: That's so stupid! Unreal! She's gotta be stupid!\Unbelievable. Is this girl for real? She's hilarious!\Didn't you say you were gonna step aside?\Changed my mind.\Kae-chan, you smell like your compress.\Sorry.\But it's summer break soon!\This muscle pain's nothing! response:	You know it.
context: Unbelievable. Is this girl for real? She's hilarious!\Didn't you say you were gonna step aside?\Changed my mind.\Kae-chan, you smell like your compress.\Sorry.\But it's summer break soon!\This muscle pain's nothing!\You know it. response:	Comiket, performances, concerts, talk shows!
context: Didn't you say you were gonna step aside?\Changed my mind.\Kae-chan, you smell like your compress.\Sorry.\But it's summer break soon!\This muscle pain's nothing!\You know it.\Comiket, performances, concerts, talk shows! response:	It was worth saving for!
context: Changed my mind.\Kae-chan, you smell like your compress.\Sorry.\But it's summer break soon!\This muscle pain's nothing!\You know it.\Comiket, performances, concerts, talk shows!\It was worth saving for! response:	All right! Let's have some fun!
context: Kae-chan, you smell like your compress.\Sorry.\But it's summer break soon!\This muscle pain's nothing!\You know it.\Comiket, performances, concerts, talk shows!\It was worth saving for!\All right! Let's have some fun! response:	Serinuma. If you fail the next test,
context: Sorry.\But it's summer break soon!\This muscle pain's nothing!\You know it.\Comiket, performances, concerts, talk shows!\It was worth saving for!\All right! Let's have some fun!\Serinuma. If you fail the next test, response:	you'll need to take supplementary classes during the summer.
context: But it's summer break soon!\This muscle pain's nothing!\You know it.\Comiket, performances, concerts, talk shows!\It was worth saving for!\All right! Let's have some fun!\Serinuma. If you fail the next test,\you'll need to take supplementary classes during the summer. response:	For two weeks.
context: This muscle pain's nothing!\You know it.\Comiket, performances, concerts, talk shows!\It was worth saving for!\All right! Let's have some fun!\Serinuma. If you fail the next test,\you'll need to take supplementary classes during the summer.\For two weeks. response:	Just plan on not having a vacation.
context: You know it.\Comiket, performances, concerts, talk shows!\It was worth saving for!\All right! Let's have some fun!\Serinuma. If you fail the next test,\you'll need to take supplementary classes during the summer.\For two weeks.\Just plan on not having a vacation. response:	Kiss Him, Not Me
context: Comiket, performances, concerts, talk shows!\It was worth saving for!\All right! Let's have some fun!\Serinuma. If you fail the next test,\you'll need to take supplementary classes during the summer.\For two weeks.\Just plan on not having a vacation.\Kiss Him, Not Me response:	Kiss Him, Not Me
context: It was worth saving for!\All right! Let's have some fun!\Serinuma. If you fail the next test,\you'll need to take supplementary classes during the summer.\For two weeks.\Just plan on not having a vacation.\Kiss Him, Not Me\Kiss Him, Not Me response:	She totally bombed the tests she took right after losing weight.
context: All right! Let's have some fun!\Serinuma. If you fail the next test,\you'll need to take supplementary classes during the summer.\For two weeks.\Just plan on not having a vacation.\Kiss Him, Not Me\Kiss Him, Not Me\She totally bombed the tests she took right after losing weight. response:	So now she's like that.
context: Serinuma. If you fail the next test,\you'll need to take supplementary classes during the summer.\For two weeks.\Just plan on not having a vacation.\Kiss Him, Not Me\Kiss Him, Not Me\She totally bombed the tests she took right after losing weight.\So now she's like that. response:	She's memorizing English and translating Japanese classics at the same time.
context: you'll need to take supplementary classes during the summer.\For two weeks.\Just plan on not having a vacation.\Kiss Him, Not Me\Kiss Him, Not Me\She totally bombed the tests she took right after losing weight.\So now she's like that.\She's memorizing English and translating Japanese classics at the same time. response:	Isn't she an idiot?
context: For two weeks.\Just plan on not having a vacation.\Kiss Him, Not Me\Kiss Him, Not Me\She totally bombed the tests she took right after losing weight.\So now she's like that.\She's memorizing English and translating Japanese classics at the same time.\Isn't she an idiot? response:	You can tell she's going insane.
context: Just plan on not having a vacation.\Kiss Him, Not Me\Kiss Him, Not Me\She totally bombed the tests she took right after losing weight.\So now she's like that.\She's memorizing English and translating Japanese classics at the same time.\Isn't she an idiot?\You can tell she's going insane. response:	If I have to take two weeks,
context: Kiss Him, Not Me\Kiss Him, Not Me\She totally bombed the tests she took right after losing weight.\So now she's like that.\She's memorizing English and translating Japanese classics at the same time.\Isn't she an idiot?\You can tell she's going insane.\If I have to take two weeks, response:	it'll get in the way of the Mirage Saga events,
context: Kiss Him, Not Me\She totally bombed the tests she took right after losing weight.\So now she's like that.\She's memorizing English and translating Japanese classics at the same time.\Isn't she an idiot?\You can tell she's going insane.\If I have to take two weeks,\it'll get in the way of the Mirage Saga events, response:	since they both happen during the day.
context: She totally bombed the tests she took right after losing weight.\So now she's like that.\She's memorizing English and translating Japanese classics at the same time.\Isn't she an idiot?\You can tell she's going insane.\If I have to take two weeks,\it'll get in the way of the Mirage Saga events,\since they both happen during the day. response:	I won't be able to say goodbye to Shion.
context: So now she's like that.\She's memorizing English and translating Japanese classics at the same time.\Isn't she an idiot?\You can tell she's going insane.\If I have to take two weeks,\it'll get in the way of the Mirage Saga events,\since they both happen during the day.\I won't be able to say goodbye to Shion. response:	I really don't want that to happen!
context: She's memorizing English and translating Japanese classics at the same time.\Isn't she an idiot?\You can tell she's going insane.\If I have to take two weeks,\it'll get in the way of the Mirage Saga events,\since they both happen during the day.\I won't be able to say goodbye to Shion.\I really don't want that to happen! response:	Mutsumi-senpai.
context: Isn't she an idiot?\You can tell she's going insane.\If I have to take two weeks,\it'll get in the way of the Mirage Saga events,\since they both happen during the day.\I won't be able to say goodbye to Shion.\I really don't want that to happen!\Mutsumi-senpai. response:	Serinuma-san, you have no problem with Japanese history, right?
context: You can tell she's going insane.\If I have to take two weeks,\it'll get in the way of the Mirage Saga events,\since they both happen during the day.\I won't be able to say goodbye to Shion.\I really don't want that to happen!\Mutsumi-senpai.\Serinuma-san, you have no problem with Japanese history, right? response:	What are you the most worried about?
context: If I have to take two weeks,\it'll get in the way of the Mirage Saga events,\since they both happen during the day.\I won't be able to say goodbye to Shion.\I really don't want that to happen!\Mutsumi-senpai.\Serinuma-san, you have no problem with Japanese history, right?\What are you the most worried about? response:	U-Um, first of all, math.
context: it'll get in the way of the Mirage Saga events,\since they both happen during the day.\I won't be able to say goodbye to Shion.\I really don't want that to happen!\Mutsumi-senpai.\Serinuma-san, you have no problem with Japanese history, right?\What are you the most worried about?\U-Um, first of all, math. response:	Uh-huh.
context: since they both happen during the day.\I won't be able to say goodbye to Shion.\I really don't want that to happen!\Mutsumi-senpai.\Serinuma-san, you have no problem with Japanese history, right?\What are you the most worried about?\U-Um, first of all, math.\Uh-huh. response:	And science, too.
context: I won't be able to say goodbye to Shion.\I really don't want that to happen!\Mutsumi-senpai.\Serinuma-san, you have no problem with Japanese history, right?\What are you the most worried about?\U-Um, first of all, math.\Uh-huh.\And science, too. response:	Uh-huh.
context: I really don't want that to happen!\Mutsumi-senpai.\Serinuma-san, you have no problem with Japanese history, right?\What are you the most worried about?\U-Um, first of all, math.\Uh-huh.\And science, too.\Uh-huh. response:	Stare
context: Mutsumi-senpai.\Serinuma-san, you have no problem with Japanese history, right?\What are you the most worried about?\U-Um, first of all, math.\Uh-huh.\And science, too.\Uh-huh.\Stare response:	It'll be all right. You'll catch up.
context: Serinuma-san, you have no problem with Japanese history, right?\What are you the most worried about?\U-Um, first of all, math.\Uh-huh.\And science, too.\Uh-huh.\Stare\It'll be all right. You'll catch up. response:	If you like, I can help you study.
context: What are you the most worried about?\U-Um, first of all, math.\Uh-huh.\And science, too.\Uh-huh.\Stare\It'll be all right. You'll catch up.\If you like, I can help you study. response:	S-Senpai!
context: U-Um, first of all, math.\Uh-huh.\And science, too.\Uh-huh.\Stare\It'll be all right. You'll catch up.\If you like, I can help you study.\S-Senpai! response:	Please do!
context: Uh-huh.\And science, too.\Uh-huh.\Stare\It'll be all right. You'll catch up.\If you like, I can help you study.\S-Senpai!\Please do! response:	Teach us, too, Senpai!
context: And science, too.\Uh-huh.\Stare\It'll be all right. You'll catch up.\If you like, I can help you study.\S-Senpai!\Please do!\Teach us, too, Senpai! response:	Sure. Everyone sure is studious.
context: Uh-huh.\Stare\It'll be all right. You'll catch up.\If you like, I can help you study.\S-Senpai!\Please do!\Teach us, too, Senpai!\Sure. Everyone sure is studious. response:	Yup!
