context: Why? response:	How come?
context: Impossible!\Yue-san,\you must like Clow-san very much.\Therefore, I'm sure you understand how sad it is'\'to forget the feeling for the person you love most.\I'm still a kid,\and I'm not nearly\as powerful as Clow, response:	But' I'll work hard at it!
context: Yue-san,\you must like Clow-san very much.\Therefore, I'm sure you understand how sad it is'\'to forget the feeling for the person you love most.\I'm still a kid,\and I'm not nearly\as powerful as Clow,\But' I'll work hard at it! response:	Rather than being the Mistress,
context: you must like Clow-san very much.\Therefore, I'm sure you understand how sad it is'\'to forget the feeling for the person you love most.\I'm still a kid,\and I'm not nearly\as powerful as Clow,\But' I'll work hard at it!\Rather than being the Mistress, response:	I would like to be your friend.
context: Therefore, I'm sure you understand how sad it is'\'to forget the feeling for the person you love most.\I'm still a kid,\and I'm not nearly\as powerful as Clow,\But' I'll work hard at it!\Rather than being the Mistress,\I would like to be your friend. response:	Close your eyes.
context: 'to forget the feeling for the person you love most.\I'm still a kid,\and I'm not nearly\as powerful as Clow,\But' I'll work hard at it!\Rather than being the Mistress,\I would like to be your friend.\Close your eyes. response:	Do it now!
context: I'm still a kid,\and I'm not nearly\as powerful as Clow,\But' I'll work hard at it!\Rather than being the Mistress,\I would like to be your friend.\Close your eyes.\Do it now! response:	Judgment complete.
context: and I'm not nearly\as powerful as Clow,\But' I'll work hard at it!\Rather than being the Mistress,\I would like to be your friend.\Close your eyes.\Do it now!\Judgment complete. response:	I, Yue the Judge,
context: as powerful as Clow,\But' I'll work hard at it!\Rather than being the Mistress,\I would like to be your friend.\Close your eyes.\Do it now!\Judgment complete.\I, Yue the Judge, response:	Accept Sakura as the new Mistress.
context: But' I'll work hard at it!\Rather than being the Mistress,\I would like to be your friend.\Close your eyes.\Do it now!\Judgment complete.\I, Yue the Judge,\Accept Sakura as the new Mistress. response:	You are'
context: Rather than being the Mistress,\I would like to be your friend.\Close your eyes.\Do it now!\Judgment complete.\I, Yue the Judge,\Accept Sakura as the new Mistress.\You are' response:	I predicted the chances around you,
context: I would like to be your friend.\Close your eyes.\Do it now!\Judgment complete.\I, Yue the Judge,\Accept Sakura as the new Mistress.\You are'\I predicted the chances around you, response:	And little by little made the inevitable happen.
context: Close your eyes.\Do it now!\Judgment complete.\I, Yue the Judge,\Accept Sakura as the new Mistress.\You are'\I predicted the chances around you,\And little by little made the inevitable happen. response:	You came across all of them,
context: Do it now!\Judgment complete.\I, Yue the Judge,\Accept Sakura as the new Mistress.\You are'\I predicted the chances around you,\And little by little made the inevitable happen.\You came across all of them, response:	And completed the story with a happy ending.
context: Judgment complete.\I, Yue the Judge,\Accept Sakura as the new Mistress.\You are'\I predicted the chances around you,\And little by little made the inevitable happen.\You came across all of them,\And completed the story with a happy ending. response:	Thank you very much.
context: I, Yue the Judge,\Accept Sakura as the new Mistress.\You are'\I predicted the chances around you,\And little by little made the inevitable happen.\You came across all of them,\And completed the story with a happy ending.\Thank you very much. response:	Could you be' Clow-san?
context: Accept Sakura as the new Mistress.\You are'\I predicted the chances around you,\And little by little made the inevitable happen.\You came across all of them,\And completed the story with a happy ending.\Thank you very much.\Could you be' Clow-san? response:	Then, is this wand yours?
context: You are'\I predicted the chances around you,\And little by little made the inevitable happen.\You came across all of them,\And completed the story with a happy ending.\Thank you very much.\Could you be' Clow-san?\Then, is this wand yours? response:	No, You were the one who created that wand.
context: I predicted the chances around you,\And little by little made the inevitable happen.\You came across all of them,\And completed the story with a happy ending.\Thank you very much.\Could you be' Clow-san?\Then, is this wand yours?\No, You were the one who created that wand. response:	Neither the Sun or the Moon,
context: And little by little made the inevitable happen.\You came across all of them,\And completed the story with a happy ending.\Thank you very much.\Could you be' Clow-san?\Then, is this wand yours?\No, You were the one who created that wand.\Neither the Sun or the Moon, response:	It is your mere power of the Stars,
context: You came across all of them,\And completed the story with a happy ending.\Thank you very much.\Could you be' Clow-san?\Then, is this wand yours?\No, You were the one who created that wand.\Neither the Sun or the Moon,\It is your mere power of the Stars, response:	which resides in the wand.
context: And completed the story with a happy ending.\Thank you very much.\Could you be' Clow-san?\Then, is this wand yours?\No, You were the one who created that wand.\Neither the Sun or the Moon,\It is your mere power of the Stars,\which resides in the wand. response:	Even though it only emits a small amount of brightness at the moment.
context: Thank you very much.\Could you be' Clow-san?\Then, is this wand yours?\No, You were the one who created that wand.\Neither the Sun or the Moon,\It is your mere power of the Stars,\which resides in the wand.\Even though it only emits a small amount of brightness at the moment. response:	The power of the Stars
context: Could you be' Clow-san?\Then, is this wand yours?\No, You were the one who created that wand.\Neither the Sun or the Moon,\It is your mere power of the Stars,\which resides in the wand.\Even though it only emits a small amount of brightness at the moment.\The power of the Stars response:	keeps shining on their own.
context: Then, is this wand yours?\No, You were the one who created that wand.\Neither the Sun or the Moon,\It is your mere power of the Stars,\which resides in the wand.\Even though it only emits a small amount of brightness at the moment.\The power of the Stars\keeps shining on their own. response:	Please treasure that power.
context: No, You were the one who created that wand.\Neither the Sun or the Moon,\It is your mere power of the Stars,\which resides in the wand.\Even though it only emits a small amount of brightness at the moment.\The power of the Stars\keeps shining on their own.\Please treasure that power. response:	Hey!
context: Neither the Sun or the Moon,\It is your mere power of the Stars,\which resides in the wand.\Even though it only emits a small amount of brightness at the moment.\The power of the Stars\keeps shining on their own.\Please treasure that power.\Hey! response:	Sakura-chan!
context: It is your mere power of the Stars,\which resides in the wand.\Even though it only emits a small amount of brightness at the moment.\The power of the Stars\keeps shining on their own.\Please treasure that power.\Hey!\Sakura-chan! response:	I did it!
context: which resides in the wand.\Even though it only emits a small amount of brightness at the moment.\The power of the Stars\keeps shining on their own.\Please treasure that power.\Hey!\Sakura-chan!\I did it! response:	You've been staying around the whole time.
context: Even though it only emits a small amount of brightness at the moment.\The power of the Stars\keeps shining on their own.\Please treasure that power.\Hey!\Sakura-chan!\I did it!\You've been staying around the whole time. response:	I guess.
context: The power of the Stars\keeps shining on their own.\Please treasure that power.\Hey!\Sakura-chan!\I did it!\You've been staying around the whole time.\I guess. response:	Did you know Tsukishiro-kun isn't human?
context: keeps shining on their own.\Please treasure that power.\Hey!\Sakura-chan!\I did it!\You've been staying around the whole time.\I guess.\Did you know Tsukishiro-kun isn't human? response:	Yeah.
context: Please treasure that power.\Hey!\Sakura-chan!\I did it!\You've been staying around the whole time.\I guess.\Did you know Tsukishiro-kun isn't human?\Yeah. response:	All is well.
context: Hey!\Sakura-chan!\I did it!\You've been staying around the whole time.\I guess.\Did you know Tsukishiro-kun isn't human?\Yeah.\All is well. response:	Sakura is the new Mistress.
context: Sakura-chan!\I did it!\You've been staying around the whole time.\I guess.\Did you know Tsukishiro-kun isn't human?\Yeah.\All is well.\Sakura is the new Mistress. response:	But with that level of power,
context: I did it!\You've been staying around the whole time.\I guess.\Did you know Tsukishiro-kun isn't human?\Yeah.\All is well.\Sakura is the new Mistress.\But with that level of power, response:	It is impossible for her to convert
context: You've been staying around the whole time.\I guess.\Did you know Tsukishiro-kun isn't human?\Yeah.\All is well.\Sakura is the new Mistress.\But with that level of power,\It is impossible for her to convert response:	all her cards.
context: I guess.\Did you know Tsukishiro-kun isn't human?\Yeah.\All is well.\Sakura is the new Mistress.\But with that level of power,\It is impossible for her to convert\all her cards. response:	You may be right.
context: Did you know Tsukishiro-kun isn't human?\Yeah.\All is well.\Sakura is the new Mistress.\But with that level of power,\It is impossible for her to convert\all her cards.\You may be right. response:	For the time being,
context: Yeah.\All is well.\Sakura is the new Mistress.\But with that level of power,\It is impossible for her to convert\all her cards.\You may be right.\For the time being, response:	I think it's better for us to return to our false forms.
context: All is well.\Sakura is the new Mistress.\But with that level of power,\It is impossible for her to convert\all her cards.\You may be right.\For the time being,\I think it's better for us to return to our false forms. response:	Sakura!
context: Sakura is the new Mistress.\But with that level of power,\It is impossible for her to convert\all her cards.\You may be right.\For the time being,\I think it's better for us to return to our false forms.\Sakura! response:	Kero-chan! I did it!
