context: Original Translation by Triad/ Softsub by Urusai response:	Sign: Rumors about Yano...
context: I'm asking if you really, really like me.\I'm sorry... I don't know.\What's up with that...?\Then, let's just forget it.\I don't want something like that.\If we're going to go out, I want you to like me back...\Okay.\Okay? response:	Even though it was the first confession I'd made since I was born...
context: I'm sorry... I don't know.\What's up with that...?\Then, let's just forget it.\I don't want something like that.\If we're going to go out, I want you to like me back...\Okay.\Okay?\Even though it was the first confession I'd made since I was born... response:	I wonder if I should've pretended to not hear him and said yeah...
context: What's up with that...?\Then, let's just forget it.\I don't want something like that.\If we're going to go out, I want you to like me back...\Okay.\Okay?\Even though it was the first confession I'd made since I was born...\I wonder if I should've pretended to not hear him and said yeah... response:	Yano.
context: Then, let's just forget it.\I don't want something like that.\If we're going to go out, I want you to like me back...\Okay.\Okay?\Even though it was the first confession I'd made since I was born...\I wonder if I should've pretended to not hear him and said yeah...\Yano. response:	You were sound asleep.
context: I don't want something like that.\If we're going to go out, I want you to like me back...\Okay.\Okay?\Even though it was the first confession I'd made since I was born...\I wonder if I should've pretended to not hear him and said yeah...\Yano.\You were sound asleep. response:	What? Can't you do it?
context: If we're going to go out, I want you to like me back...\Okay.\Okay?\Even though it was the first confession I'd made since I was born...\I wonder if I should've pretended to not hear him and said yeah...\Yano.\You were sound asleep.\What? Can't you do it? response:	That's unusual.
context: Okay.\Okay?\Even though it was the first confession I'd made since I was born...\I wonder if I should've pretended to not hear him and said yeah...\Yano.\You were sound asleep.\What? Can't you do it?\That's unusual. response:	Yamamoto, show me you can fill in the rest.
context: Okay?\Even though it was the first confession I'd made since I was born...\I wonder if I should've pretended to not hear him and said yeah...\Yano.\You were sound asleep.\What? Can't you do it?\That's unusual.\Yamamoto, show me you can fill in the rest. response:	Yano, you stay here and watch.
context: Even though it was the first confession I'd made since I was born...\I wonder if I should've pretended to not hear him and said yeah...\Yano.\You were sound asleep.\What? Can't you do it?\That's unusual.\Yamamoto, show me you can fill in the rest.\Yano, you stay here and watch. response:	Yano? Yano.
context: I wonder if I should've pretended to not hear him and said yeah...\Yano.\You were sound asleep.\What? Can't you do it?\That's unusual.\Yamamoto, show me you can fill in the rest.\Yano, you stay here and watch.\Yano? Yano. response:	What's the matter? You look pale.
context: Yano.\You were sound asleep.\What? Can't you do it?\That's unusual.\Yamamoto, show me you can fill in the rest.\Yano, you stay here and watch.\Yano? Yano.\What's the matter? You look pale. response:	Yano!
context: You were sound asleep.\What? Can't you do it?\That's unusual.\Yamamoto, show me you can fill in the rest.\Yano, you stay here and watch.\Yano? Yano.\What's the matter? You look pale.\Yano! response:	Here. Take this.
context: What? Can't you do it?\That's unusual.\Yamamoto, show me you can fill in the rest.\Yano, you stay here and watch.\Yano? Yano.\What's the matter? You look pale.\Yano!\Here. Take this. response:	It's good against anemia.
context: That's unusual.\Yamamoto, show me you can fill in the rest.\Yano, you stay here and watch.\Yano? Yano.\What's the matter? You look pale.\Yano!\Here. Take this.\It's good against anemia. response:	How do you feel?
context: Yamamoto, show me you can fill in the rest.\Yano, you stay here and watch.\Yano? Yano.\What's the matter? You look pale.\Yano!\Here. Take this.\It's good against anemia.\How do you feel? response:	It's so lukewarm and gross...
context: Yano, you stay here and watch.\Yano? Yano.\What's the matter? You look pale.\Yano!\Here. Take this.\It's good against anemia.\How do you feel?\It's so lukewarm and gross... response:	I-It's leftover from my lunch.
context: Yano? Yano.\What's the matter? You look pale.\Yano!\Here. Take this.\It's good against anemia.\How do you feel?\It's so lukewarm and gross...\I-It's leftover from my lunch. response:	Don't worry. It's not expired or anything.
context: What's the matter? You look pale.\Yano!\Here. Take this.\It's good against anemia.\How do you feel?\It's so lukewarm and gross...\I-It's leftover from my lunch.\Don't worry. It's not expired or anything. response:	Probably...
context: Yano!\Here. Take this.\It's good against anemia.\How do you feel?\It's so lukewarm and gross...\I-It's leftover from my lunch.\Don't worry. It's not expired or anything.\Probably... response:	Uh huh...
context: Here. Take this.\It's good against anemia.\How do you feel?\It's so lukewarm and gross...\I-It's leftover from my lunch.\Don't worry. It's not expired or anything.\Probably...\Uh huh... response:	Thank goodness... we can still talk normally.
context: It's good against anemia.\How do you feel?\It's so lukewarm and gross...\I-It's leftover from my lunch.\Don't worry. It's not expired or anything.\Probably...\Uh huh...\Thank goodness... we can still talk normally. response:	Hey...
context: How do you feel?\It's so lukewarm and gross...\I-It's leftover from my lunch.\Don't worry. It's not expired or anything.\Probably...\Uh huh...\Thank goodness... we can still talk normally.\Hey... response:	Before, you kept badgering me if I really, really liked you, right?
context: It's so lukewarm and gross...\I-It's leftover from my lunch.\Don't worry. It's not expired or anything.\Probably...\Uh huh...\Thank goodness... we can still talk normally.\Hey...\Before, you kept badgering me if I really, really liked you, right? response:	W-Well... I wouldn't call it badgering...
context: I-It's leftover from my lunch.\Don't worry. It's not expired or anything.\Probably...\Uh huh...\Thank goodness... we can still talk normally.\Hey...\Before, you kept badgering me if I really, really liked you, right?\W-Well... I wouldn't call it badgering... response:	You were quite the badger.
context: Don't worry. It's not expired or anything.\Probably...\Uh huh...\Thank goodness... we can still talk normally.\Hey...\Before, you kept badgering me if I really, really liked you, right?\W-Well... I wouldn't call it badgering...\You were quite the badger. response:	Let me ask you back.
context: Probably...\Uh huh...\Thank goodness... we can still talk normally.\Hey...\Before, you kept badgering me if I really, really liked you, right?\W-Well... I wouldn't call it badgering...\You were quite the badger.\Let me ask you back. response:	Do you really, really like someone like me?
context: Uh huh...\Thank goodness... we can still talk normally.\Hey...\Before, you kept badgering me if I really, really liked you, right?\W-Well... I wouldn't call it badgering...\You were quite the badger.\Let me ask you back.\Do you really, really like someone like me? response:	You have to hesitate to answer, right?
context: Thank goodness... we can still talk normally.\Hey...\Before, you kept badgering me if I really, really liked you, right?\W-Well... I wouldn't call it badgering...\You were quite the badger.\Let me ask you back.\Do you really, really like someone like me?\You have to hesitate to answer, right? response:	Are you sure you don't just feel the same way I do?
context: Hey...\Before, you kept badgering me if I really, really liked you, right?\W-Well... I wouldn't call it badgering...\You were quite the badger.\Let me ask you back.\Do you really, really like someone like me?\You have to hesitate to answer, right?\Are you sure you don't just feel the same way I do? response:	Hey, I'm pretty hungry.
context: Before, you kept badgering me if I really, really liked you, right?\W-Well... I wouldn't call it badgering...\You were quite the badger.\Let me ask you back.\Do you really, really like someone like me?\You have to hesitate to answer, right?\Are you sure you don't just feel the same way I do?\Hey, I'm pretty hungry. response:	Wanna go get something sweet to eat?
context: W-Well... I wouldn't call it badgering...\You were quite the badger.\Let me ask you back.\Do you really, really like someone like me?\You have to hesitate to answer, right?\Are you sure you don't just feel the same way I do?\Hey, I'm pretty hungry.\Wanna go get something sweet to eat? response:	Huh?
context: You were quite the badger.\Let me ask you back.\Do you really, really like someone like me?\You have to hesitate to answer, right?\Are you sure you don't just feel the same way I do?\Hey, I'm pretty hungry.\Wanna go get something sweet to eat?\Huh? response:	Ah, Takeuchi-kun.
context: Let me ask you back.\Do you really, really like someone like me?\You have to hesitate to answer, right?\Are you sure you don't just feel the same way I do?\Hey, I'm pretty hungry.\Wanna go get something sweet to eat?\Huh?\Ah, Takeuchi-kun. response:	I don't usually see you around here.
context: Do you really, really like someone like me?\You have to hesitate to answer, right?\Are you sure you don't just feel the same way I do?\Hey, I'm pretty hungry.\Wanna go get something sweet to eat?\Huh?\Ah, Takeuchi-kun.\I don't usually see you around here. response:	Out shopping?
context: You have to hesitate to answer, right?\Are you sure you don't just feel the same way I do?\Hey, I'm pretty hungry.\Wanna go get something sweet to eat?\Huh?\Ah, Takeuchi-kun.\I don't usually see you around here.\Out shopping? response:	Ah, I get it. Asahi Middle School is around here.
context: Are you sure you don't just feel the same way I do?\Hey, I'm pretty hungry.\Wanna go get something sweet to eat?\Huh?\Ah, Takeuchi-kun.\I don't usually see you around here.\Out shopping?\Ah, I get it. Asahi Middle School is around here. response:	This is our haunt.
context: Hey, I'm pretty hungry.\Wanna go get something sweet to eat?\Huh?\Ah, Takeuchi-kun.\I don't usually see you around here.\Out shopping?\Ah, I get it. Asahi Middle School is around here.\This is our haunt. response:	Then that means Yano hangs out here, too?
context: Wanna go get something sweet to eat?\Huh?\Ah, Takeuchi-kun.\I don't usually see you around here.\Out shopping?\Ah, I get it. Asahi Middle School is around here.\This is our haunt.\Then that means Yano hangs out here, too? response:	He might be here now.
context: Huh?\Ah, Takeuchi-kun.\I don't usually see you around here.\Out shopping?\Ah, I get it. Asahi Middle School is around here.\This is our haunt.\Then that means Yano hangs out here, too?\He might be here now. response:	Wanna take a look inside?
context: Ah, Takeuchi-kun.\I don't usually see you around here.\Out shopping?\Ah, I get it. Asahi Middle School is around here.\This is our haunt.\Then that means Yano hangs out here, too?\He might be here now.\Wanna take a look inside? response:	This is pretty good.
context: I don't usually see you around here.\Out shopping?\Ah, I get it. Asahi Middle School is around here.\This is our haunt.\Then that means Yano hangs out here, too?\He might be here now.\Wanna take a look inside?\This is pretty good. response:	Ah, he's here!
context: Out shopping?\Ah, I get it. Asahi Middle School is around here.\This is our haunt.\Then that means Yano hangs out here, too?\He might be here now.\Wanna take a look inside?\This is pretty good.\Ah, he's here! response:	Make room for two more.
context: Ah, I get it. Asahi Middle School is around here.\This is our haunt.\Then that means Yano hangs out here, too?\He might be here now.\Wanna take a look inside?\This is pretty good.\Ah, he's here!\Make room for two more. response:	Huh? Who are they?
context: This is our haunt.\Then that means Yano hangs out here, too?\He might be here now.\Wanna take a look inside?\This is pretty good.\Ah, he's here!\Make room for two more.\Huh? Who are they? response:	That girl's my class president.
context: Then that means Yano hangs out here, too?\He might be here now.\Wanna take a look inside?\This is pretty good.\Ah, he's here!\Make room for two more.\Huh? Who are they?\That girl's my class president. response:	Class president?
context: He might be here now.\Wanna take a look inside?\This is pretty good.\Ah, he's here!\Make room for two more.\Huh? Who are they?\That girl's my class president.\Class president? response:	She must be pretty smart.
context: Wanna take a look inside?\This is pretty good.\Ah, he's here!\Make room for two more.\Huh? Who are they?\That girl's my class president.\Class president?\She must be pretty smart. response:	Yeah. Especially in math.
context: This is pretty good.\Ah, he's here!\Make room for two more.\Huh? Who are they?\That girl's my class president.\Class president?\She must be pretty smart.\Yeah. Especially in math. response:	Oh, really?
context: Ah, he's here!\Make room for two more.\Huh? Who are they?\That girl's my class president.\Class president?\She must be pretty smart.\Yeah. Especially in math.\Oh, really? response:	She's scary.
context: Make room for two more.\Huh? Who are they?\That girl's my class president.\Class president?\She must be pretty smart.\Yeah. Especially in math.\Oh, really?\She's scary. response:	Hey, I heard you're in the same class as Yamamoto Yuri?
context: Huh? Who are they?\That girl's my class president.\Class president?\She must be pretty smart.\Yeah. Especially in math.\Oh, really?\She's scary.\Hey, I heard you're in the same class as Yamamoto Yuri? response:	Ah, yeah.
context: That girl's my class president.\Class president?\She must be pretty smart.\Yeah. Especially in math.\Oh, really?\She's scary.\Hey, I heard you're in the same class as Yamamoto Yuri?\Ah, yeah. response:	She must be so dark and annoying.
context: Class president?\She must be pretty smart.\Yeah. Especially in math.\Oh, really?\She's scary.\Hey, I heard you're in the same class as Yamamoto Yuri?\Ah, yeah.\She must be so dark and annoying. response:	Yeah, she's nothing like her older sister, huh?
context: She must be pretty smart.\Yeah. Especially in math.\Oh, really?\She's scary.\Hey, I heard you're in the same class as Yamamoto Yuri?\Ah, yeah.\She must be so dark and annoying.\Yeah, she's nothing like her older sister, huh? response:	Not only is she antisocial, but she's so creepy, too...
context: Yeah. Especially in math.\Oh, really?\She's scary.\Hey, I heard you're in the same class as Yamamoto Yuri?\Ah, yeah.\She must be so dark and annoying.\Yeah, she's nothing like her older sister, huh?\Not only is she antisocial, but she's so creepy, too... response:	It must be an inferiority complex or something.
context: Oh, really?\She's scary.\Hey, I heard you're in the same class as Yamamoto Yuri?\Ah, yeah.\She must be so dark and annoying.\Yeah, she's nothing like her older sister, huh?\Not only is she antisocial, but she's so creepy, too...\It must be an inferiority complex or something. response:	After all, those two have always been compared to each other.
context: She's scary.\Hey, I heard you're in the same class as Yamamoto Yuri?\Ah, yeah.\She must be so dark and annoying.\Yeah, she's nothing like her older sister, huh?\Not only is she antisocial, but she's so creepy, too...\It must be an inferiority complex or something.\After all, those two have always been compared to each other. response:	How can you say that?
context: Hey, I heard you're in the same class as Yamamoto Yuri?\Ah, yeah.\She must be so dark and annoying.\Yeah, she's nothing like her older sister, huh?\Not only is she antisocial, but she's so creepy, too...\It must be an inferiority complex or something.\After all, those two have always been compared to each other.\How can you say that? response:	What do you mean?
context: Ah, yeah.\She must be so dark and annoying.\Yeah, she's nothing like her older sister, huh?\Not only is she antisocial, but she's so creepy, too...\It must be an inferiority complex or something.\After all, those two have always been compared to each other.\How can you say that?\What do you mean? response:	You don't know anything about her. You just judge her by her looks. Quit it.
context: She must be so dark and annoying.\Yeah, she's nothing like her older sister, huh?\Not only is she antisocial, but she's so creepy, too...\It must be an inferiority complex or something.\After all, those two have always been compared to each other.\How can you say that?\What do you mean?\You don't know anything about her. You just judge her by her looks. Quit it. response:	Huh? We were in the same class for three years of middle school.
context: Yeah, she's nothing like her older sister, huh?\Not only is she antisocial, but she's so creepy, too...\It must be an inferiority complex or something.\After all, those two have always been compared to each other.\How can you say that?\What do you mean?\You don't know anything about her. You just judge her by her looks. Quit it.\Huh? We were in the same class for three years of middle school. response:	I think we'd know more about her than you.
context: Not only is she antisocial, but she's so creepy, too...\It must be an inferiority complex or something.\After all, those two have always been compared to each other.\How can you say that?\What do you mean?\You don't know anything about her. You just judge her by her looks. Quit it.\Huh? We were in the same class for three years of middle school.\I think we'd know more about her than you. response:	Oh? You knew her for three years, but those are the only things you can say about her?
context: It must be an inferiority complex or something.\After all, those two have always been compared to each other.\How can you say that?\What do you mean?\You don't know anything about her. You just judge her by her looks. Quit it.\Huh? We were in the same class for three years of middle school.\I think we'd know more about her than you.\Oh? You knew her for three years, but those are the only things you can say about her? response:	You don't know anything yourself.
context: After all, those two have always been compared to each other.\How can you say that?\What do you mean?\You don't know anything about her. You just judge her by her looks. Quit it.\Huh? We were in the same class for three years of middle school.\I think we'd know more about her than you.\Oh? You knew her for three years, but those are the only things you can say about her?\You don't know anything yourself. response:	She can't even leave messages for people correctly...
context: How can you say that?\What do you mean?\You don't know anything about her. You just judge her by her looks. Quit it.\Huh? We were in the same class for three years of middle school.\I think we'd know more about her than you.\Oh? You knew her for three years, but those are the only things you can say about her?\You don't know anything yourself.\She can't even leave messages for people correctly... response:	That's why Motoharu and Nana-san got into a fight.
context: What do you mean?\You don't know anything about her. You just judge her by her looks. Quit it.\Huh? We were in the same class for three years of middle school.\I think we'd know more about her than you.\Oh? You knew her for three years, but those are the only things you can say about her?\You don't know anything yourself.\She can't even leave messages for people correctly...\That's why Motoharu and Nana-san got into a fight. response:	If they hadn't fought...
context: You don't know anything about her. You just judge her by her looks. Quit it.\Huh? We were in the same class for three years of middle school.\I think we'd know more about her than you.\Oh? You knew her for three years, but those are the only things you can say about her?\You don't know anything yourself.\She can't even leave messages for people correctly...\That's why Motoharu and Nana-san got into a fight.\If they hadn't fought... response:	Stop it.
context: Huh? We were in the same class for three years of middle school.\I think we'd know more about her than you.\Oh? You knew her for three years, but those are the only things you can say about her?\You don't know anything yourself.\She can't even leave messages for people correctly...\That's why Motoharu and Nana-san got into a fight.\If they hadn't fought...\Stop it. response:	That's not something to talk about here.
context: I think we'd know more about her than you.\Oh? You knew her for three years, but those are the only things you can say about her?\You don't know anything yourself.\She can't even leave messages for people correctly...\That's why Motoharu and Nana-san got into a fight.\If they hadn't fought...\Stop it.\That's not something to talk about here. response:	Ah... s-sorry.
context: Oh? You knew her for three years, but those are the only things you can say about her?\You don't know anything yourself.\She can't even leave messages for people correctly...\That's why Motoharu and Nana-san got into a fight.\If they hadn't fought...\Stop it.\That's not something to talk about here.\Ah... s-sorry. response:	Why are you guys getting so serious all of a sudden?
context: You don't know anything yourself.\She can't even leave messages for people correctly...\That's why Motoharu and Nana-san got into a fight.\If they hadn't fought...\Stop it.\That's not something to talk about here.\Ah... s-sorry.\Why are you guys getting so serious all of a sudden? response:	Oh, it's my fault!
context: She can't even leave messages for people correctly...\That's why Motoharu and Nana-san got into a fight.\If they hadn't fought...\Stop it.\That's not something to talk about here.\Ah... s-sorry.\Why are you guys getting so serious all of a sudden?\Oh, it's my fault! response:	I won't forgive anyone who badmouths Nana-san.
context: That's why Motoharu and Nana-san got into a fight.\If they hadn't fought...\Stop it.\That's not something to talk about here.\Ah... s-sorry.\Why are you guys getting so serious all of a sudden?\Oh, it's my fault!\I won't forgive anyone who badmouths Nana-san. response:	Ah... and about Yamamoto's little sister...
context: If they hadn't fought...\Stop it.\That's not something to talk about here.\Ah... s-sorry.\Why are you guys getting so serious all of a sudden?\Oh, it's my fault!\I won't forgive anyone who badmouths Nana-san.\Ah... and about Yamamoto's little sister... response:	She's... yeah, she's fine just the way she is.
context: Stop it.\That's not something to talk about here.\Ah... s-sorry.\Why are you guys getting so serious all of a sudden?\Oh, it's my fault!\I won't forgive anyone who badmouths Nana-san.\Ah... and about Yamamoto's little sister...\She's... yeah, she's fine just the way she is. response:	She's not as bad as you all say.
context: That's not something to talk about here.\Ah... s-sorry.\Why are you guys getting so serious all of a sudden?\Oh, it's my fault!\I won't forgive anyone who badmouths Nana-san.\Ah... and about Yamamoto's little sister...\She's... yeah, she's fine just the way she is.\She's not as bad as you all say. response:	Also, Takahashi Nana.
context: Ah... s-sorry.\Why are you guys getting so serious all of a sudden?\Oh, it's my fault!\I won't forgive anyone who badmouths Nana-san.\Ah... and about Yamamoto's little sister...\She's... yeah, she's fine just the way she is.\She's not as bad as you all say.\Also, Takahashi Nana. response:	This isn't homeroom, so quit acting like the class president. It's annoying.
context: Why are you guys getting so serious all of a sudden?\Oh, it's my fault!\I won't forgive anyone who badmouths Nana-san.\Ah... and about Yamamoto's little sister...\She's... yeah, she's fine just the way she is.\She's not as bad as you all say.\Also, Takahashi Nana.\This isn't homeroom, so quit acting like the class president. It's annoying. response:	Die, you jerk!
context: Oh, it's my fault!\I won't forgive anyone who badmouths Nana-san.\Ah... and about Yamamoto's little sister...\She's... yeah, she's fine just the way she is.\She's not as bad as you all say.\Also, Takahashi Nana.\This isn't homeroom, so quit acting like the class president. It's annoying.\Die, you jerk! response:	What was up with that?
context: I won't forgive anyone who badmouths Nana-san.\Ah... and about Yamamoto's little sister...\She's... yeah, she's fine just the way she is.\She's not as bad as you all say.\Also, Takahashi Nana.\This isn't homeroom, so quit acting like the class president. It's annoying.\Die, you jerk!\What was up with that? response:	I dropped my wallet...
context: Ah... and about Yamamoto's little sister...\She's... yeah, she's fine just the way she is.\She's not as bad as you all say.\Also, Takahashi Nana.\This isn't homeroom, so quit acting like the class president. It's annoying.\Die, you jerk!\What was up with that?\I dropped my wallet... response:	Darn it!
context: She's... yeah, she's fine just the way she is.\She's not as bad as you all say.\Also, Takahashi Nana.\This isn't homeroom, so quit acting like the class president. It's annoying.\Die, you jerk!\What was up with that?\I dropped my wallet...\Darn it! response:	Your wallet.
context: She's not as bad as you all say.\Also, Takahashi Nana.\This isn't homeroom, so quit acting like the class president. It's annoying.\Die, you jerk!\What was up with that?\I dropped my wallet...\Darn it!\Your wallet. response:	You're the first girl who's ever told me to die.
context: Also, Takahashi Nana.\This isn't homeroom, so quit acting like the class president. It's annoying.\Die, you jerk!\What was up with that?\I dropped my wallet...\Darn it!\Your wallet.\You're the first girl who's ever told me to die. response:	Then let me say some more!
context: This isn't homeroom, so quit acting like the class president. It's annoying.\Die, you jerk!\What was up with that?\I dropped my wallet...\Darn it!\Your wallet.\You're the first girl who's ever told me to die.\Then let me say some more! response:	Moron! Idiot! Jackass! Son of a bitch!
context: Die, you jerk!\What was up with that?\I dropped my wallet...\Darn it!\Your wallet.\You're the first girl who's ever told me to die.\Then let me say some more!\Moron! Idiot! Jackass! Son of a bitch! response:	Give it back!
context: What was up with that?\I dropped my wallet...\Darn it!\Your wallet.\You're the first girl who's ever told me to die.\Then let me say some more!\Moron! Idiot! Jackass! Son of a bitch!\Give it back! response:	You can only see Nana-san in your eyes, anyway...
context: I dropped my wallet...\Darn it!\Your wallet.\You're the first girl who's ever told me to die.\Then let me say some more!\Moron! Idiot! Jackass! Son of a bitch!\Give it back!\You can only see Nana-san in your eyes, anyway... response:	Moron, idiot, jackass, huh?
context: Darn it!\Your wallet.\You're the first girl who's ever told me to die.\Then let me say some more!\Moron! Idiot! Jackass! Son of a bitch!\Give it back!\You can only see Nana-san in your eyes, anyway...\Moron, idiot, jackass, huh? response:	And my mother isn't a bitch...
context: Your wallet.\You're the first girl who's ever told me to die.\Then let me say some more!\Moron! Idiot! Jackass! Son of a bitch!\Give it back!\You can only see Nana-san in your eyes, anyway...\Moron, idiot, jackass, huh?\And my mother isn't a bitch... response:	She's...
context: You're the first girl who's ever told me to die.\Then let me say some more!\Moron! Idiot! Jackass! Son of a bitch!\Give it back!\You can only see Nana-san in your eyes, anyway...\Moron, idiot, jackass, huh?\And my mother isn't a bitch...\She's... response:	And my girlfriend was a cheat.
context: Then let me say some more!\Moron! Idiot! Jackass! Son of a bitch!\Give it back!\You can only see Nana-san in your eyes, anyway...\Moron, idiot, jackass, huh?\And my mother isn't a bitch...\She's...\And my girlfriend was a cheat. response:	Rea-
context: Moron! Idiot! Jackass! Son of a bitch!\Give it back!\You can only see Nana-san in your eyes, anyway...\Moron, idiot, jackass, huh?\And my mother isn't a bitch...\She's...\And my girlfriend was a cheat.\Rea- response:	She was with another guy when she died in the accident.
context: Give it back!\You can only see Nana-san in your eyes, anyway...\Moron, idiot, jackass, huh?\And my mother isn't a bitch...\She's...\And my girlfriend was a cheat.\Rea-\She was with another guy when she died in the accident. response:	It was her previous boyfriend.
context: You can only see Nana-san in your eyes, anyway...\Moron, idiot, jackass, huh?\And my mother isn't a bitch...\She's...\And my girlfriend was a cheat.\Rea-\She was with another guy when she died in the accident.\It was her previous boyfriend. response:	They were never through with each another...
context: Moron, idiot, jackass, huh?\And my mother isn't a bitch...\She's...\And my girlfriend was a cheat.\Rea-\She was with another guy when she died in the accident.\It was her previous boyfriend.\They were never through with each another... response:	Just kidding.
context: And my mother isn't a bitch...\She's...\And my girlfriend was a cheat.\Rea-\She was with another guy when she died in the accident.\It was her previous boyfriend.\They were never through with each another...\Just kidding. response:	I actually don't know if that was really true.
context: She's...\And my girlfriend was a cheat.\Rea-\She was with another guy when she died in the accident.\It was her previous boyfriend.\They were never through with each another...\Just kidding.\I actually don't know if that was really true. response:	Though, I don't really want to.
context: And my girlfriend was a cheat.\Rea-\She was with another guy when she died in the accident.\It was her previous boyfriend.\They were never through with each another...\Just kidding.\I actually don't know if that was really true.\Though, I don't really want to. response:	But if there's one thing I know for sure, it's this.
context: Rea-\She was with another guy when she died in the accident.\It was her previous boyfriend.\They were never through with each another...\Just kidding.\I actually don't know if that was really true.\Though, I don't really want to.\But if there's one thing I know for sure, it's this. response:	If she ever felt that she wanted to see another guy, then...
context: She was with another guy when she died in the accident.\It was her previous boyfriend.\They were never through with each another...\Just kidding.\I actually don't know if that was really true.\Though, I don't really want to.\But if there's one thing I know for sure, it's this.\If she ever felt that she wanted to see another guy, then... response:	I'll take you home.
context: It was her previous boyfriend.\They were never through with each another...\Just kidding.\I actually don't know if that was really true.\Though, I don't really want to.\But if there's one thing I know for sure, it's this.\If she ever felt that she wanted to see another guy, then...\I'll take you home. response:	Ah, I'm getting a text message.
context: They were never through with each another...\Just kidding.\I actually don't know if that was really true.\Though, I don't really want to.\But if there's one thing I know for sure, it's this.\If she ever felt that she wanted to see another guy, then...\I'll take you home.\Ah, I'm getting a text message. response:	Where are you and what are you doing?
context: Just kidding.\I actually don't know if that was really true.\Though, I don't really want to.\But if there's one thing I know for sure, it's this.\If she ever felt that she wanted to see another guy, then...\I'll take you home.\Ah, I'm getting a text message.\Where are you and what are you doing? response:	I'm... taking... Takahashi... san... home.
context: I actually don't know if that was really true.\Though, I don't really want to.\But if there's one thing I know for sure, it's this.\If she ever felt that she wanted to see another guy, then...\I'll take you home.\Ah, I'm getting a text message.\Where are you and what are you doing?\I'm... taking... Takahashi... san... home. response:	Ah... you don't have to take me home.
context: Though, I don't really want to.\But if there's one thing I know for sure, it's this.\If she ever felt that she wanted to see another guy, then...\I'll take you home.\Ah, I'm getting a text message.\Where are you and what are you doing?\I'm... taking... Takahashi... san... home.\Ah... you don't have to take me home. response:	You don't have to, so why don't we go to a pho-
context: But if there's one thing I know for sure, it's this.\If she ever felt that she wanted to see another guy, then...\I'll take you home.\Ah, I'm getting a text message.\Where are you and what are you doing?\I'm... taking... Takahashi... san... home.\Ah... you don't have to take me home.\You don't have to, so why don't we go to a pho- response:	Pho...?
context: If she ever felt that she wanted to see another guy, then...\I'll take you home.\Ah, I'm getting a text message.\Where are you and what are you doing?\I'm... taking... Takahashi... san... home.\Ah... you don't have to take me home.\You don't have to, so why don't we go to a pho-\Pho...? response:	Why don't we go get our picture taken at photo booth together?
context: I'll take you home.\Ah, I'm getting a text message.\Where are you and what are you doing?\I'm... taking... Takahashi... san... home.\Ah... you don't have to take me home.\You don't have to, so why don't we go to a pho-\Pho...?\Why don't we go get our picture taken at photo booth together? response:	I'm such an idiot, asking at a time like this. Such a total idiot...
context: Ah, I'm getting a text message.\Where are you and what are you doing?\I'm... taking... Takahashi... san... home.\Ah... you don't have to take me home.\You don't have to, so why don't we go to a pho-\Pho...?\Why don't we go get our picture taken at photo booth together?\I'm such an idiot, asking at a time like this. Such a total idiot... response:	Wouldn't one that takes our whole picture be better?
context: Where are you and what are you doing?\I'm... taking... Takahashi... san... home.\Ah... you don't have to take me home.\You don't have to, so why don't we go to a pho-\Pho...?\Why don't we go get our picture taken at photo booth together?\I'm such an idiot, asking at a time like this. Such a total idiot...\Wouldn't one that takes our whole picture be better? response:	No... not one of these.
context: I'm... taking... Takahashi... san... home.\Ah... you don't have to take me home.\You don't have to, so why don't we go to a pho-\Pho...?\Why don't we go get our picture taken at photo booth together?\I'm such an idiot, asking at a time like this. Such a total idiot...\Wouldn't one that takes our whole picture be better?\No... not one of these. response:	I really feels like it's been forever since I've been in one of these.
context: Ah... you don't have to take me home.\You don't have to, so why don't we go to a pho-\Pho...?\Why don't we go get our picture taken at photo booth together?\I'm such an idiot, asking at a time like this. Such a total idiot...\Wouldn't one that takes our whole picture be better?\No... not one of these.\I really feels like it's been forever since I've been in one of these. response:	Yano's... smiling.
context: You don't have to, so why don't we go to a pho-\Pho...?\Why don't we go get our picture taken at photo booth together?\I'm such an idiot, asking at a time like this. Such a total idiot...\Wouldn't one that takes our whole picture be better?\No... not one of these.\I really feels like it's been forever since I've been in one of these.\Yano's... smiling. response:	Actually, when I think about it... he's always smiling.
context: Pho...?\Why don't we go get our picture taken at photo booth together?\I'm such an idiot, asking at a time like this. Such a total idiot...\Wouldn't one that takes our whole picture be better?\No... not one of these.\I really feels like it's been forever since I've been in one of these.\Yano's... smiling.\Actually, when I think about it... he's always smiling. response:	Yano, you're really strong, aren't you?
context: Why don't we go get our picture taken at photo booth together?\I'm such an idiot, asking at a time like this. Such a total idiot...\Wouldn't one that takes our whole picture be better?\No... not one of these.\I really feels like it's been forever since I've been in one of these.\Yano's... smiling.\Actually, when I think about it... he's always smiling.\Yano, you're really strong, aren't you? response:	Normally, a person can't say the sorts of things you just told me...
context: I'm such an idiot, asking at a time like this. Such a total idiot...\Wouldn't one that takes our whole picture be better?\No... not one of these.\I really feels like it's been forever since I've been in one of these.\Yano's... smiling.\Actually, when I think about it... he's always smiling.\Yano, you're really strong, aren't you?\Normally, a person can't say the sorts of things you just told me... response:	I'm going to press the confirm button!
