context: Ah... I can't come up with anything good. response:	What's the matter? It's unusual to see you lost in thought.
context: Akira!\I, Aika S. Granzchesta of Himeya, am all fired up!\You know that feeling you get when someone's running just a bit ahead of you, pulling you along?\It's like that!\It's how you feel when you know you're running faster than usual.\This is my chance to excel further as an Undine, Akira!\I'm grateful to Junior...\So please train me hard, okay, Akira? response:	Right now, I'll be able to handle even the harshest criticisms!
context: I, Aika S. Granzchesta of Himeya, am all fired up!\You know that feeling you get when someone's running just a bit ahead of you, pulling you along?\It's like that!\It's how you feel when you know you're running faster than usual.\This is my chance to excel further as an Undine, Akira!\I'm grateful to Junior...\So please train me hard, okay, Akira?\Right now, I'll be able to handle even the harshest criticisms! response:	I see.
context: You know that feeling you get when someone's running just a bit ahead of you, pulling you along?\It's like that!\It's how you feel when you know you're running faster than usual.\This is my chance to excel further as an Undine, Akira!\I'm grateful to Junior...\So please train me hard, okay, Akira?\Right now, I'll be able to handle even the harshest criticisms!\I see. response:	Sorry about that.
context: It's like that!\It's how you feel when you know you're running faster than usual.\This is my chance to excel further as an Undine, Akira!\I'm grateful to Junior...\So please train me hard, okay, Akira?\Right now, I'll be able to handle even the harshest criticisms!\I see.\Sorry about that. response:	Aika, do you have anything planned for next month's holiday?
context: It's how you feel when you know you're running faster than usual.\This is my chance to excel further as an Undine, Akira!\I'm grateful to Junior...\So please train me hard, okay, Akira?\Right now, I'll be able to handle even the harshest criticisms!\I see.\Sorry about that.\Aika, do you have anything planned for next month's holiday? response:	I'm completely free that day, so I'm going shopping with Al.
context: This is my chance to excel further as an Undine, Akira!\I'm grateful to Junior...\So please train me hard, okay, Akira?\Right now, I'll be able to handle even the harshest criticisms!\I see.\Sorry about that.\Aika, do you have anything planned for next month's holiday?\I'm completely free that day, so I'm going shopping with Al. response:	I see.
context: I'm grateful to Junior...\So please train me hard, okay, Akira?\Right now, I'll be able to handle even the harshest criticisms!\I see.\Sorry about that.\Aika, do you have anything planned for next month's holiday?\I'm completely free that day, so I'm going shopping with Al.\I see. response:	All right, cancel it.
context: So please train me hard, okay, Akira?\Right now, I'll be able to handle even the harshest criticisms!\I see.\Sorry about that.\Aika, do you have anything planned for next month's holiday?\I'm completely free that day, so I'm going shopping with Al.\I see.\All right, cancel it. response:	That's the only day I have off. You'll be spending the entire day with me.
context: Right now, I'll be able to handle even the harshest criticisms!\I see.\Sorry about that.\Aika, do you have anything planned for next month's holiday?\I'm completely free that day, so I'm going shopping with Al.\I see.\All right, cancel it.\That's the only day I have off. You'll be spending the entire day with me. response:	T-That's too cruel...
context: I see.\Sorry about that.\Aika, do you have anything planned for next month's holiday?\I'm completely free that day, so I'm going shopping with Al.\I see.\All right, cancel it.\That's the only day I have off. You'll be spending the entire day with me.\T-That's too cruel... response:	What happened to that spirit you had a moment ago?
context: Sorry about that.\Aika, do you have anything planned for next month's holiday?\I'm completely free that day, so I'm going shopping with Al.\I see.\All right, cancel it.\That's the only day I have off. You'll be spending the entire day with me.\T-That's too cruel...\What happened to that spirit you had a moment ago? response:	Here.
context: Aika, do you have anything planned for next month's holiday?\I'm completely free that day, so I'm going shopping with Al.\I see.\All right, cancel it.\That's the only day I have off. You'll be spending the entire day with me.\T-That's too cruel...\What happened to that spirit you had a moment ago?\Here. response:	Little Princess Predictable.
context: I'm completely free that day, so I'm going shopping with Al.\I see.\All right, cancel it.\That's the only day I have off. You'll be spending the entire day with me.\T-That's too cruel...\What happened to that spirit you had a moment ago?\Here.\Little Princess Predictable. response:	What is this?
context: I see.\All right, cancel it.\That's the only day I have off. You'll be spending the entire day with me.\T-That's too cruel...\What happened to that spirit you had a moment ago?\Here.\Little Princess Predictable.\What is this? response:	Queen Selfish.
context: All right, cancel it.\That's the only day I have off. You'll be spending the entire day with me.\T-That's too cruel...\What happened to that spirit you had a moment ago?\Here.\Little Princess Predictable.\What is this?\Queen Selfish. response:	Little Miss Princess.
context: That's the only day I have off. You'll be spending the entire day with me.\T-That's too cruel...\What happened to that spirit you had a moment ago?\Here.\Little Princess Predictable.\What is this?\Queen Selfish.\Little Miss Princess. response:	Crybaby Serenade.
context: T-That's too cruel...\What happened to that spirit you had a moment ago?\Here.\Little Princess Predictable.\What is this?\Queen Selfish.\Little Miss Princess.\Crybaby Serenade. response:	Rosen...
context: What happened to that spirit you had a moment ago?\Here.\Little Princess Predictable.\What is this?\Queen Selfish.\Little Miss Princess.\Crybaby Serenade.\Rosen... response:	Is this?
context: Here.\Little Princess Predictable.\What is this?\Queen Selfish.\Little Miss Princess.\Crybaby Serenade.\Rosen...\Is this? response:	Which one do you like?
context: Little Princess Predictable.\What is this?\Queen Selfish.\Little Miss Princess.\Crybaby Serenade.\Rosen...\Is this?\Which one do you like? response:	I figured I should get your opinion, as well.
context: What is this?\Queen Selfish.\Little Miss Princess.\Crybaby Serenade.\Rosen...\Is this?\Which one do you like?\I figured I should get your opinion, as well. response:	Akira...
context: Queen Selfish.\Little Miss Princess.\Crybaby Serenade.\Rosen...\Is this?\Which one do you like?\I figured I should get your opinion, as well.\Akira... response:	I won't forgive you if you fail.
context: Little Miss Princess.\Crybaby Serenade.\Rosen...\Is this?\Which one do you like?\I figured I should get your opinion, as well.\Akira...\I won't forgive you if you fail. response:	My future Queen.
context: Crybaby Serenade.\Rosen...\Is this?\Which one do you like?\I figured I should get your opinion, as well.\Akira...\I won't forgive you if you fail.\My future Queen. response:	Right!
context: Rosen...\Is this?\Which one do you like?\I figured I should get your opinion, as well.\Akira...\I won't forgive you if you fail.\My future Queen.\Right! response:	But really, you shouldn't have crumpled up this paper.
context: Is this?\Which one do you like?\I figured I should get your opinion, as well.\Akira...\I won't forgive you if you fail.\My future Queen.\Right!\But really, you shouldn't have crumpled up this paper. response:	Enough! Be quiet!
context: Which one do you like?\I figured I should get your opinion, as well.\Akira...\I won't forgive you if you fail.\My future Queen.\Right!\But really, you shouldn't have crumpled up this paper.\Enough! Be quiet! response:	Everything is for the sake of my beloved Rosen Queen.
context: I figured I should get your opinion, as well.\Akira...\I won't forgive you if you fail.\My future Queen.\Right!\But really, you shouldn't have crumpled up this paper.\Enough! Be quiet!\Everything is for the sake of my beloved Rosen Queen. response:	Orange Princess!
context: Akira...\I won't forgive you if you fail.\My future Queen.\Right!\But really, you shouldn't have crumpled up this paper.\Enough! Be quiet!\Everything is for the sake of my beloved Rosen Queen.\Orange Princess! response:	Orange Princess!
context: I won't forgive you if you fail.\My future Queen.\Right!\But really, you shouldn't have crumpled up this paper.\Enough! Be quiet!\Everything is for the sake of my beloved Rosen Queen.\Orange Princess!\Orange Princess! response:	Orange Princess?
context: My future Queen.\Right!\But really, you shouldn't have crumpled up this paper.\Enough! Be quiet!\Everything is for the sake of my beloved Rosen Queen.\Orange Princess!\Orange Princess!\Orange Princess? response:	Orange Princess!
context: Right!\But really, you shouldn't have crumpled up this paper.\Enough! Be quiet!\Everything is for the sake of my beloved Rosen Queen.\Orange Princess!\Orange Princess!\Orange Princess?\Orange Princess! response:	Alice Carroll!
context: But really, you shouldn't have crumpled up this paper.\Enough! Be quiet!\Everything is for the sake of my beloved Rosen Queen.\Orange Princess!\Orange Princess!\Orange Princess?\Orange Princess!\Alice Carroll! response:	Yes?
context: Enough! Be quiet!\Everything is for the sake of my beloved Rosen Queen.\Orange Princess!\Orange Princess!\Orange Princess?\Orange Princess!\Alice Carroll!\Yes? response:	Please get used to being called by your alias.
context: Everything is for the sake of my beloved Rosen Queen.\Orange Princess!\Orange Princess!\Orange Princess?\Orange Princess!\Alice Carroll!\Yes?\Please get used to being called by your alias. response:	Your customers are waiting for you.
context: Orange Princess!\Orange Princess!\Orange Princess?\Orange Princess!\Alice Carroll!\Yes?\Please get used to being called by your alias.\Your customers are waiting for you. response:	I'm sorry!
context: Orange Princess!\Orange Princess?\Orange Princess!\Alice Carroll!\Yes?\Please get used to being called by your alias.\Your customers are waiting for you.\I'm sorry! response:	Since I became a Prima, every day has been frantic.
context: Orange Princess?\Orange Princess!\Alice Carroll!\Yes?\Please get used to being called by your alias.\Your customers are waiting for you.\I'm sorry!\Since I became a Prima, every day has been frantic. response:	The days go by like a hectic whirlwind.
context: Orange Princess!\Alice Carroll!\Yes?\Please get used to being called by your alias.\Your customers are waiting for you.\I'm sorry!\Since I became a Prima, every day has been frantic.\The days go by like a hectic whirlwind. response:	If I have time to think, I just start to worry, so I suppose it's better this way.
context: Alice Carroll!\Yes?\Please get used to being called by your alias.\Your customers are waiting for you.\I'm sorry!\Since I became a Prima, every day has been frantic.\The days go by like a hectic whirlwind.\If I have time to think, I just start to worry, so I suppose it's better this way. response:	Please take my hand.
context: Yes?\Please get used to being called by your alias.\Your customers are waiting for you.\I'm sorry!\Since I became a Prima, every day has been frantic.\The days go by like a hectic whirlwind.\If I have time to think, I just start to worry, so I suppose it's better this way.\Please take my hand. response:	Thank you.
context: Please get used to being called by your alias.\Your customers are waiting for you.\I'm sorry!\Since I became a Prima, every day has been frantic.\The days go by like a hectic whirlwind.\If I have time to think, I just start to worry, so I suppose it's better this way.\Please take my hand.\Thank you. response:	This is the Bridge of Sighs.
context: Your customers are waiting for you.\I'm sorry!\Since I became a Prima, every day has been frantic.\The days go by like a hectic whirlwind.\If I have time to think, I just start to worry, so I suppose it's better this way.\Please take my hand.\Thank you.\This is the Bridge of Sighs. response:	It looks as though it's made of stone, but surprisingly, the inside is made of wood.
context: I'm sorry!\Since I became a Prima, every day has been frantic.\The days go by like a hectic whirlwind.\If I have time to think, I just start to worry, so I suppose it's better this way.\Please take my hand.\Thank you.\This is the Bridge of Sighs.\It looks as though it's made of stone, but surprisingly, the inside is made of wood. response:	Oh.
context: Since I became a Prima, every day has been frantic.\The days go by like a hectic whirlwind.\If I have time to think, I just start to worry, so I suppose it's better this way.\Please take my hand.\Thank you.\This is the Bridge of Sighs.\It looks as though it's made of stone, but surprisingly, the inside is made of wood.\Oh. response:	Let's go see it later.
context: The days go by like a hectic whirlwind.\If I have time to think, I just start to worry, so I suppose it's better this way.\Please take my hand.\Thank you.\This is the Bridge of Sighs.\It looks as though it's made of stone, but surprisingly, the inside is made of wood.\Oh.\Let's go see it later. response:	Yes, we should.
context: If I have time to think, I just start to worry, so I suppose it's better this way.\Please take my hand.\Thank you.\This is the Bridge of Sighs.\It looks as though it's made of stone, but surprisingly, the inside is made of wood.\Oh.\Let's go see it later.\Yes, we should. response:	If you prefer, I can put in a tour reservation for you. Would you like me to do that?
context: Please take my hand.\Thank you.\This is the Bridge of Sighs.\It looks as though it's made of stone, but surprisingly, the inside is made of wood.\Oh.\Let's go see it later.\Yes, we should.\If you prefer, I can put in a tour reservation for you. Would you like me to do that? response:	Oh, that'd be helpful.
context: Thank you.\This is the Bridge of Sighs.\It looks as though it's made of stone, but surprisingly, the inside is made of wood.\Oh.\Let's go see it later.\Yes, we should.\If you prefer, I can put in a tour reservation for you. Would you like me to do that?\Oh, that'd be helpful. response:	Could you do that for us, please?
context: This is the Bridge of Sighs.\It looks as though it's made of stone, but surprisingly, the inside is made of wood.\Oh.\Let's go see it later.\Yes, we should.\If you prefer, I can put in a tour reservation for you. Would you like me to do that?\Oh, that'd be helpful.\Could you do that for us, please? response:	I'd be happy to.
context: It looks as though it's made of stone, but surprisingly, the inside is made of wood.\Oh.\Let's go see it later.\Yes, we should.\If you prefer, I can put in a tour reservation for you. Would you like me to do that?\Oh, that'd be helpful.\Could you do that for us, please?\I'd be happy to. response:	It's Akari and Aika.
context: Oh.\Let's go see it later.\Yes, we should.\If you prefer, I can put in a tour reservation for you. Would you like me to do that?\Oh, that'd be helpful.\Could you do that for us, please?\I'd be happy to.\It's Akari and Aika. response:	They're practicing hard together.
context: Let's go see it later.\Yes, we should.\If you prefer, I can put in a tour reservation for you. Would you like me to do that?\Oh, that'd be helpful.\Could you do that for us, please?\I'd be happy to.\It's Akari and Aika.\They're practicing hard together. response:	Since the moon-gazing party, it's been...
context: Yes, we should.\If you prefer, I can put in a tour reservation for you. Would you like me to do that?\Oh, that'd be helpful.\Could you do that for us, please?\I'd be happy to.\It's Akari and Aika.\They're practicing hard together.\Since the moon-gazing party, it's been... response:	Excuse me...
context: If you prefer, I can put in a tour reservation for you. Would you like me to do that?\Oh, that'd be helpful.\Could you do that for us, please?\I'd be happy to.\It's Akari and Aika.\They're practicing hard together.\Since the moon-gazing party, it's been...\Excuse me... response:	Yes?
context: Oh, that'd be helpful.\Could you do that for us, please?\I'd be happy to.\It's Akari and Aika.\They're practicing hard together.\Since the moon-gazing party, it's been...\Excuse me...\Yes? response:	What's the name of that island over there, Miss Undine?
context: Could you do that for us, please?\I'd be happy to.\It's Akari and Aika.\They're practicing hard together.\Since the moon-gazing party, it's been...\Excuse me...\Yes?\What's the name of that island over there, Miss Undine? response:	That's San Giorgio Maggiore.
context: I'd be happy to.\It's Akari and Aika.\They're practicing hard together.\Since the moon-gazing party, it's been...\Excuse me...\Yes?\What's the name of that island over there, Miss Undine?\That's San Giorgio Maggiore. response:	If you climb the bell tower there, you can see a sweeping view of the coastline.
context: It's Akari and Aika.\They're practicing hard together.\Since the moon-gazing party, it's been...\Excuse me...\Yes?\What's the name of that island over there, Miss Undine?\That's San Giorgio Maggiore.\If you climb the bell tower there, you can see a sweeping view of the coastline. response:	In that case, why don't we go there after we visit the Bridge of Sighs?
context: They're practicing hard together.\Since the moon-gazing party, it's been...\Excuse me...\Yes?\What's the name of that island over there, Miss Undine?\That's San Giorgio Maggiore.\If you climb the bell tower there, you can see a sweeping view of the coastline.\In that case, why don't we go there after we visit the Bridge of Sighs? response:	Yes!
context: Since the moon-gazing party, it's been...\Excuse me...\Yes?\What's the name of that island over there, Miss Undine?\That's San Giorgio Maggiore.\If you climb the bell tower there, you can see a sweeping view of the coastline.\In that case, why don't we go there after we visit the Bridge of Sighs?\Yes! response:	Until recently, we used to spend every day together, too.
context: Excuse me...\Yes?\What's the name of that island over there, Miss Undine?\That's San Giorgio Maggiore.\If you climb the bell tower there, you can see a sweeping view of the coastline.\In that case, why don't we go there after we visit the Bridge of Sighs?\Yes!\Until recently, we used to spend every day together, too. response:	I haven't been able to see them for quite a while now.
context: Yes?\What's the name of that island over there, Miss Undine?\That's San Giorgio Maggiore.\If you climb the bell tower there, you can see a sweeping view of the coastline.\In that case, why don't we go there after we visit the Bridge of Sighs?\Yes!\Until recently, we used to spend every day together, too.\I haven't been able to see them for quite a while now. response:	Good work.
context: What's the name of that island over there, Miss Undine?\That's San Giorgio Maggiore.\If you climb the bell tower there, you can see a sweeping view of the coastline.\In that case, why don't we go there after we visit the Bridge of Sighs?\Yes!\Until recently, we used to spend every day together, too.\I haven't been able to see them for quite a while now.\Good work. response:	Good work to you, too.
context: That's San Giorgio Maggiore.\If you climb the bell tower there, you can see a sweeping view of the coastline.\In that case, why don't we go there after we visit the Bridge of Sighs?\Yes!\Until recently, we used to spend every day together, too.\I haven't been able to see them for quite a while now.\Good work.\Good work to you, too. response:	It's that late already?
context: If you climb the bell tower there, you can see a sweeping view of the coastline.\In that case, why don't we go there after we visit the Bridge of Sighs?\Yes!\Until recently, we used to spend every day together, too.\I haven't been able to see them for quite a while now.\Good work.\Good work to you, too.\It's that late already? response:	It's always like this, lately.
context: In that case, why don't we go there after we visit the Bridge of Sighs?\Yes!\Until recently, we used to spend every day together, too.\I haven't been able to see them for quite a while now.\Good work.\Good work to you, too.\It's that late already?\It's always like this, lately. response:	I shouldn't go see them unannounced. I'll call first.
context: Yes!\Until recently, we used to spend every day together, too.\I haven't been able to see them for quite a while now.\Good work.\Good work to you, too.\It's that late already?\It's always like this, lately.\I shouldn't go see them unannounced. I'll call first. response:	I'm sure it'd be a bother if I said I wanted to come visit this late at night.
context: Until recently, we used to spend every day together, too.\I haven't been able to see them for quite a while now.\Good work.\Good work to you, too.\It's that late already?\It's always like this, lately.\I shouldn't go see them unannounced. I'll call first.\I'm sure it'd be a bother if I said I wanted to come visit this late at night. response:	Besides, I don't have a reason.
context: I haven't been able to see them for quite a while now.\Good work.\Good work to you, too.\It's that late already?\It's always like this, lately.\I shouldn't go see them unannounced. I'll call first.\I'm sure it'd be a bother if I said I wanted to come visit this late at night.\Besides, I don't have a reason. response:	I don't have an excuse.
context: Good work.\Good work to you, too.\It's that late already?\It's always like this, lately.\I shouldn't go see them unannounced. I'll call first.\I'm sure it'd be a bother if I said I wanted to come visit this late at night.\Besides, I don't have a reason.\I don't have an excuse. response:	Athena, you're going to be late.
context: Good work to you, too.\It's that late already?\It's always like this, lately.\I shouldn't go see them unannounced. I'll call first.\I'm sure it'd be a bother if I said I wanted to come visit this late at night.\Besides, I don't have a reason.\I don't have an excuse.\Athena, you're going to be late. response:	Eh? Ah, okay...
context: It's that late already?\It's always like this, lately.\I shouldn't go see them unannounced. I'll call first.\I'm sure it'd be a bother if I said I wanted to come visit this late at night.\Besides, I don't have a reason.\I don't have an excuse.\Athena, you're going to be late.\Eh? Ah, okay... response:	Off I go.
context: It's always like this, lately.\I shouldn't go see them unannounced. I'll call first.\I'm sure it'd be a bother if I said I wanted to come visit this late at night.\Besides, I don't have a reason.\I don't have an excuse.\Athena, you're going to be late.\Eh? Ah, okay...\Off I go. response:	See you later.
context: I shouldn't go see them unannounced. I'll call first.\I'm sure it'd be a bother if I said I wanted to come visit this late at night.\Besides, I don't have a reason.\I don't have an excuse.\Athena, you're going to be late.\Eh? Ah, okay...\Off I go.\See you later. response:	Anything would be fine. Do I not have any?
context: I'm sure it'd be a bother if I said I wanted to come visit this late at night.\Besides, I don't have a reason.\I don't have an excuse.\Athena, you're going to be late.\Eh? Ah, okay...\Off I go.\See you later.\Anything would be fine. Do I not have any? response:	Any excuse...
context: Besides, I don't have a reason.\I don't have an excuse.\Athena, you're going to be late.\Eh? Ah, okay...\Off I go.\See you later.\Anything would be fine. Do I not have any?\Any excuse... response:	This building, which is currently being restored, was built in the seventeenth century.
context: I don't have an excuse.\Athena, you're going to be late.\Eh? Ah, okay...\Off I go.\See you later.\Anything would be fine. Do I not have any?\Any excuse...\This building, which is currently being restored, was built in the seventeenth century. response:	It's the Basilica di Santa Maria della Salute.
context: Athena, you're going to be late.\Eh? Ah, okay...\Off I go.\See you later.\Anything would be fine. Do I not have any?\Any excuse...\This building, which is currently being restored, was built in the seventeenth century.\It's the Basilica di Santa Maria della Salute. response:	Marco Polo was a famous Venetian merchant and author, and this is a replica of his home.
context: Eh? Ah, okay...\Off I go.\See you later.\Anything would be fine. Do I not have any?\Any excuse...\This building, which is currently being restored, was built in the seventeenth century.\It's the Basilica di Santa Maria della Salute.\Marco Polo was a famous Venetian merchant and author, and this is a replica of his home. response:	Currently, it's open to the public as a memorial hall, so perhaps you'd like to visit if you're in the area?
context: Off I go.\See you later.\Anything would be fine. Do I not have any?\Any excuse...\This building, which is currently being restored, was built in the seventeenth century.\It's the Basilica di Santa Maria della Salute.\Marco Polo was a famous Venetian merchant and author, and this is a replica of his home.\Currently, it's open to the public as a memorial hall, so perhaps you'd like to visit if you're in the area? response:	The Palazzo Pisani Moretta is famous for its masquerade ball, and its beautiful Gothic interior.
context: See you later.\Anything would be fine. Do I not have any?\Any excuse...\This building, which is currently being restored, was built in the seventeenth century.\It's the Basilica di Santa Maria della Salute.\Marco Polo was a famous Venetian merchant and author, and this is a replica of his home.\Currently, it's open to the public as a memorial hall, so perhaps you'd like to visit if you're in the area?\The Palazzo Pisani Moretta is famous for its masquerade ball, and its beautiful Gothic interior. response:	Ah.
context: Anything would be fine. Do I not have any?\Any excuse...\This building, which is currently being restored, was built in the seventeenth century.\It's the Basilica di Santa Maria della Salute.\Marco Polo was a famous Venetian merchant and author, and this is a replica of his home.\Currently, it's open to the public as a memorial hall, so perhaps you'd like to visit if you're in the area?\The Palazzo Pisani Moretta is famous for its masquerade ball, and its beautiful Gothic interior.\Ah. response:	My.
context: Any excuse...\This building, which is currently being restored, was built in the seventeenth century.\It's the Basilica di Santa Maria della Salute.\Marco Polo was a famous Venetian merchant and author, and this is a replica of his home.\Currently, it's open to the public as a memorial hall, so perhaps you'd like to visit if you're in the area?\The Palazzo Pisani Moretta is famous for its masquerade ball, and its beautiful Gothic interior.\Ah.\My. response:	Yummy!
context: This building, which is currently being restored, was built in the seventeenth century.\It's the Basilica di Santa Maria della Salute.\Marco Polo was a famous Venetian merchant and author, and this is a replica of his home.\Currently, it's open to the public as a memorial hall, so perhaps you'd like to visit if you're in the area?\The Palazzo Pisani Moretta is famous for its masquerade ball, and its beautiful Gothic interior.\Ah.\My.\Yummy! response:	Here we go!
context: It's the Basilica di Santa Maria della Salute.\Marco Polo was a famous Venetian merchant and author, and this is a replica of his home.\Currently, it's open to the public as a memorial hall, so perhaps you'd like to visit if you're in the area?\The Palazzo Pisani Moretta is famous for its masquerade ball, and its beautiful Gothic interior.\Ah.\My.\Yummy!\Here we go! response:	Campanile! Campanile!
context: Marco Polo was a famous Venetian merchant and author, and this is a replica of his home.\Currently, it's open to the public as a memorial hall, so perhaps you'd like to visit if you're in the area?\The Palazzo Pisani Moretta is famous for its masquerade ball, and its beautiful Gothic interior.\Ah.\My.\Yummy!\Here we go!\Campanile! Campanile! response:	That was fun!
context: Currently, it's open to the public as a memorial hall, so perhaps you'd like to visit if you're in the area?\The Palazzo Pisani Moretta is famous for its masquerade ball, and its beautiful Gothic interior.\Ah.\My.\Yummy!\Here we go!\Campanile! Campanile!\That was fun! response:	Yeah, it was fun! That was fun!
context: The Palazzo Pisani Moretta is famous for its masquerade ball, and its beautiful Gothic interior.\Ah.\My.\Yummy!\Here we go!\Campanile! Campanile!\That was fun!\Yeah, it was fun! That was fun! response:	Yeah, it was fun!
context: Ah.\My.\Yummy!\Here we go!\Campanile! Campanile!\That was fun!\Yeah, it was fun! That was fun!\Yeah, it was fun! response:	Yeah, it was fun! I never knew gondola rides were so comfortable!
context: My.\Yummy!\Here we go!\Campanile! Campanile!\That was fun!\Yeah, it was fun! That was fun!\Yeah, it was fun!\Yeah, it was fun! I never knew gondola rides were so comfortable! response:	I never knew gondola rides were so comfortable!
context: Yummy!\Here we go!\Campanile! Campanile!\That was fun!\Yeah, it was fun! That was fun!\Yeah, it was fun!\Yeah, it was fun! I never knew gondola rides were so comfortable!\I never knew gondola rides were so comfortable! response:	Next time we come to Aqua, we'll be sure to ride with you again, Alice.
context: Here we go!\Campanile! Campanile!\That was fun!\Yeah, it was fun! That was fun!\Yeah, it was fun!\Yeah, it was fun! I never knew gondola rides were so comfortable!\I never knew gondola rides were so comfortable!\Next time we come to Aqua, we'll be sure to ride with you again, Alice. response:	Thank you very much!
context: Campanile! Campanile!\That was fun!\Yeah, it was fun! That was fun!\Yeah, it was fun!\Yeah, it was fun! I never knew gondola rides were so comfortable!\I never knew gondola rides were so comfortable!\Next time we come to Aqua, we'll be sure to ride with you again, Alice.\Thank you very much! response:	See you then.
context: That was fun!\Yeah, it was fun! That was fun!\Yeah, it was fun!\Yeah, it was fun! I never knew gondola rides were so comfortable!\I never knew gondola rides were so comfortable!\Next time we come to Aqua, we'll be sure to ride with you again, Alice.\Thank you very much!\See you then. response:	Goodbye.
context: Yeah, it was fun! That was fun!\Yeah, it was fun!\Yeah, it was fun! I never knew gondola rides were so comfortable!\I never knew gondola rides were so comfortable!\Next time we come to Aqua, we'll be sure to ride with you again, Alice.\Thank you very much!\See you then.\Goodbye. response:	Bye-bye!
context: Yeah, it was fun!\Yeah, it was fun! I never knew gondola rides were so comfortable!\I never knew gondola rides were so comfortable!\Next time we come to Aqua, we'll be sure to ride with you again, Alice.\Thank you very much!\See you then.\Goodbye.\Bye-bye! response:	Thank you again.
context: Yeah, it was fun! I never knew gondola rides were so comfortable!\I never knew gondola rides were so comfortable!\Next time we come to Aqua, we'll be sure to ride with you again, Alice.\Thank you very much!\See you then.\Goodbye.\Bye-bye!\Thank you again. response:	It's for you!
context: I never knew gondola rides were so comfortable!\Next time we come to Aqua, we'll be sure to ride with you again, Alice.\Thank you very much!\See you then.\Goodbye.\Bye-bye!\Thank you again.\It's for you! response:	Thank you.
context: Next time we come to Aqua, we'll be sure to ride with you again, Alice.\Thank you very much!\See you then.\Goodbye.\Bye-bye!\Thank you again.\It's for you!\Thank you. response:	Bye!
context: Thank you very much!\See you then.\Goodbye.\Bye-bye!\Thank you again.\It's for you!\Thank you.\Bye! response:	How'd it go?
context: See you then.\Goodbye.\Bye-bye!\Thank you again.\It's for you!\Thank you.\Bye!\How'd it go? response:	What did she say?
context: Goodbye.\Bye-bye!\Thank you again.\It's for you!\Thank you.\Bye!\How'd it go?\What did she say? response:	She said, Thank you!
context: Bye-bye!\Thank you again.\It's for you!\Thank you.\Bye!\How'd it go?\What did she say?\She said, Thank you! response:	I see, that's great.
context: Thank you again.\It's for you!\Thank you.\Bye!\How'd it go?\What did she say?\She said, Thank you!\I see, that's great. response:	Yeah!
context: It's for you!\Thank you.\Bye!\How'd it go?\What did she say?\She said, Thank you!\I see, that's great.\Yeah! response:	Hey, what should we do for dinner?
context: Thank you.\Bye!\How'd it go?\What did she say?\She said, Thank you!\I see, that's great.\Yeah!\Hey, what should we do for dinner? response:	Hmm... What do you want to eat?
context: Bye!\How'd it go?\What did she say?\She said, Thank you!\I see, that's great.\Yeah!\Hey, what should we do for dinner?\Hmm... What do you want to eat? response:	Umm...
context: How'd it go?\What did she say?\She said, Thank you!\I see, that's great.\Yeah!\Hey, what should we do for dinner?\Hmm... What do you want to eat?\Umm... response:	Something yummy!
context: What did she say?\She said, Thank you!\I see, that's great.\Yeah!\Hey, what should we do for dinner?\Hmm... What do you want to eat?\Umm...\Something yummy! response:	Oh! I wasn't expecting that!
context: She said, Thank you!\I see, that's great.\Yeah!\Hey, what should we do for dinner?\Hmm... What do you want to eat?\Umm...\Something yummy!\Oh! I wasn't expecting that! response:	Good work.
context: I see, that's great.\Yeah!\Hey, what should we do for dinner?\Hmm... What do you want to eat?\Umm...\Something yummy!\Oh! I wasn't expecting that!\Good work. response:	Thank you for the towel.
context: Yeah!\Hey, what should we do for dinner?\Hmm... What do you want to eat?\Umm...\Something yummy!\Oh! I wasn't expecting that!\Good work.\Thank you for the towel. response:	Sure, just leave it here when you come back.
context: Hey, what should we do for dinner?\Hmm... What do you want to eat?\Umm...\Something yummy!\Oh! I wasn't expecting that!\Good work.\Thank you for the towel.\Sure, just leave it here when you come back. response:	Every day is hectic.
context: Hmm... What do you want to eat?\Umm...\Something yummy!\Oh! I wasn't expecting that!\Good work.\Thank you for the towel.\Sure, just leave it here when you come back.\Every day is hectic. response:	But there are a lot of fun things, too.
context: Umm...\Something yummy!\Oh! I wasn't expecting that!\Good work.\Thank you for the towel.\Sure, just leave it here when you come back.\Every day is hectic.\But there are a lot of fun things, too. response:	I have so many things I want to tell them.
context: Something yummy!\Oh! I wasn't expecting that!\Good work.\Thank you for the towel.\Sure, just leave it here when you come back.\Every day is hectic.\But there are a lot of fun things, too.\I have so many things I want to tell them. response:	All I want is to see them.
context: Oh! I wasn't expecting that!\Good work.\Thank you for the towel.\Sure, just leave it here when you come back.\Every day is hectic.\But there are a lot of fun things, too.\I have so many things I want to tell them.\All I want is to see them. response:	But it's so hard.
context: Good work.\Thank you for the towel.\Sure, just leave it here when you come back.\Every day is hectic.\But there are a lot of fun things, too.\I have so many things I want to tell them.\All I want is to see them.\But it's so hard. response:	Will I ever be able to see them again?
context: Thank you for the towel.\Sure, just leave it here when you come back.\Every day is hectic.\But there are a lot of fun things, too.\I have so many things I want to tell them.\All I want is to see them.\But it's so hard.\Will I ever be able to see them again? response:	Slap Slap Slap Slap
context: Sure, just leave it here when you come back.\Every day is hectic.\But there are a lot of fun things, too.\I have so many things I want to tell them.\All I want is to see them.\But it's so hard.\Will I ever be able to see them again?\Slap Slap Slap Slap response:	Slap Slap Slap Slap Slap-slap, slap-slap!
