context: What?! response:	Our precious training time...
context: Have you already heard how I escaped?\Yeah.\Although I didn't intend to...\Meldy and I broke him out of prison.\I didn't do anything.\Ultear, you did most of it by yourself.\Meldy...\Juvia! Long time no see! response:	She has such a nice smile now...
context: Yeah.\Although I didn't intend to...\Meldy and I broke him out of prison.\I didn't do anything.\Ultear, you did most of it by yourself.\Meldy...\Juvia! Long time no see!\She has such a nice smile now... response:	Jellal escaped from prison?!
context: Although I didn't intend to...\Meldy and I broke him out of prison.\I didn't do anything.\Ultear, you did most of it by yourself.\Meldy...\Juvia! Long time no see!\She has such a nice smile now...\Jellal escaped from prison?! response:	They're Grimoire...
context: Meldy and I broke him out of prison.\I didn't do anything.\Ultear, you did most of it by yourself.\Meldy...\Juvia! Long time no see!\She has such a nice smile now...\Jellal escaped from prison?!\They're Grimoire... response:	Hold on, hold on. They're not our enemies now.
context: I didn't do anything.\Ultear, you did most of it by yourself.\Meldy...\Juvia! Long time no see!\She has such a nice smile now...\Jellal escaped from prison?!\They're Grimoire...\Hold on, hold on. They're not our enemies now. response:	Right?
context: Ultear, you did most of it by yourself.\Meldy...\Juvia! Long time no see!\She has such a nice smile now...\Jellal escaped from prison?!\They're Grimoire...\Hold on, hold on. They're not our enemies now.\Right? response:	Yes.
context: Meldy...\Juvia! Long time no see!\She has such a nice smile now...\Jellal escaped from prison?!\They're Grimoire...\Hold on, hold on. They're not our enemies now.\Right?\Yes. response:	I've committed a number of sins in my life
context: Juvia! Long time no see!\She has such a nice smile now...\Jellal escaped from prison?!\They're Grimoire...\Hold on, hold on. They're not our enemies now.\Right?\Yes.\I've committed a number of sins in my life response:	and I know there's no way I can make up for them with the rest of my life.
context: She has such a nice smile now...\Jellal escaped from prison?!\They're Grimoire...\Hold on, hold on. They're not our enemies now.\Right?\Yes.\I've committed a number of sins in my life\and I know there's no way I can make up for them with the rest of my life. response:	But I want to at least help the people whose lives I've messed up.
context: Jellal escaped from prison?!\They're Grimoire...\Hold on, hold on. They're not our enemies now.\Right?\Yes.\I've committed a number of sins in my life\and I know there's no way I can make up for them with the rest of my life.\But I want to at least help the people whose lives I've messed up. response:	That's what I thought.
context: They're Grimoire...\Hold on, hold on. They're not our enemies now.\Right?\Yes.\I've committed a number of sins in my life\and I know there's no way I can make up for them with the rest of my life.\But I want to at least help the people whose lives I've messed up.\That's what I thought. response:	People whose lives you've messed up...
context: Hold on, hold on. They're not our enemies now.\Right?\Yes.\I've committed a number of sins in my life\and I know there's no way I can make up for them with the rest of my life.\But I want to at least help the people whose lives I've messed up.\That's what I thought.\People whose lives you've messed up... response:	Jellal, for example...
context: Right?\Yes.\I've committed a number of sins in my life\and I know there's no way I can make up for them with the rest of my life.\But I want to at least help the people whose lives I've messed up.\That's what I thought.\People whose lives you've messed up...\Jellal, for example... response:	Don't feel guilty. We were both possessed by the dark side.
context: Yes.\I've committed a number of sins in my life\and I know there's no way I can make up for them with the rest of my life.\But I want to at least help the people whose lives I've messed up.\That's what I thought.\People whose lives you've messed up...\Jellal, for example...\Don't feel guilty. We were both possessed by the dark side. response:	And that's in the past.
context: I've committed a number of sins in my life\and I know there's no way I can make up for them with the rest of my life.\But I want to at least help the people whose lives I've messed up.\That's what I thought.\People whose lives you've messed up...\Jellal, for example...\Don't feel guilty. We were both possessed by the dark side.\And that's in the past. response:	Jellal... Have you regained your memories?
context: and I know there's no way I can make up for them with the rest of my life.\But I want to at least help the people whose lives I've messed up.\That's what I thought.\People whose lives you've messed up...\Jellal, for example...\Don't feel guilty. We were both possessed by the dark side.\And that's in the past.\Jellal... Have you regained your memories? response:	It all came back.
context: But I want to at least help the people whose lives I've messed up.\That's what I thought.\People whose lives you've messed up...\Jellal, for example...\Don't feel guilty. We were both possessed by the dark side.\And that's in the past.\Jellal... Have you regained your memories?\It all came back. response:	I remember everything.
context: That's what I thought.\People whose lives you've messed up...\Jellal, for example...\Don't feel guilty. We were both possessed by the dark side.\And that's in the past.\Jellal... Have you regained your memories?\It all came back.\I remember everything. response:	My memories returned six years ago, while I was in prison.
context: People whose lives you've messed up...\Jellal, for example...\Don't feel guilty. We were both possessed by the dark side.\And that's in the past.\Jellal... Have you regained your memories?\It all came back.\I remember everything.\My memories returned six years ago, while I was in prison. response:	Erza... I really don't know what to say...
context: Jellal, for example...\Don't feel guilty. We were both possessed by the dark side.\And that's in the past.\Jellal... Have you regained your memories?\It all came back.\I remember everything.\My memories returned six years ago, while I was in prison.\Erza... I really don't know what to say... response:	I'm responsible for what happened with the Tower of Heaven.
context: Don't feel guilty. We were both possessed by the dark side.\And that's in the past.\Jellal... Have you regained your memories?\It all came back.\I remember everything.\My memories returned six years ago, while I was in prison.\Erza... I really don't know what to say...\I'm responsible for what happened with the Tower of Heaven. response:	I was manipulating Jellal.
context: And that's in the past.\Jellal... Have you regained your memories?\It all came back.\I remember everything.\My memories returned six years ago, while I was in prison.\Erza... I really don't know what to say...\I'm responsible for what happened with the Tower of Heaven.\I was manipulating Jellal. response:	So please don't blame him.
context: Jellal... Have you regained your memories?\It all came back.\I remember everything.\My memories returned six years ago, while I was in prison.\Erza... I really don't know what to say...\I'm responsible for what happened with the Tower of Heaven.\I was manipulating Jellal.\So please don't blame him. response:	I was either going to spend my life in prison or be executed.
context: It all came back.\I remember everything.\My memories returned six years ago, while I was in prison.\Erza... I really don't know what to say...\I'm responsible for what happened with the Tower of Heaven.\I was manipulating Jellal.\So please don't blame him.\I was either going to spend my life in prison or be executed. response:	I accepted that fate.
context: I remember everything.\My memories returned six years ago, while I was in prison.\Erza... I really don't know what to say...\I'm responsible for what happened with the Tower of Heaven.\I was manipulating Jellal.\So please don't blame him.\I was either going to spend my life in prison or be executed.\I accepted that fate. response:	Until Ultear and Meldy broke me out, that is...
context: My memories returned six years ago, while I was in prison.\Erza... I really don't know what to say...\I'm responsible for what happened with the Tower of Heaven.\I was manipulating Jellal.\So please don't blame him.\I was either going to spend my life in prison or be executed.\I accepted that fate.\Until Ultear and Meldy broke me out, that is... response:	You mean you've found a purpose to live for?
context: Erza... I really don't know what to say...\I'm responsible for what happened with the Tower of Heaven.\I was manipulating Jellal.\So please don't blame him.\I was either going to spend my life in prison or be executed.\I accepted that fate.\Until Ultear and Meldy broke me out, that is...\You mean you've found a purpose to live for? response:	Wendy...
context: I'm responsible for what happened with the Tower of Heaven.\I was manipulating Jellal.\So please don't blame him.\I was either going to spend my life in prison or be executed.\I accepted that fate.\Until Ultear and Meldy broke me out, that is...\You mean you've found a purpose to live for?\Wendy... response:	Come to think of it, the Jellal you know seems to be another person entirely.
context: I was manipulating Jellal.\So please don't blame him.\I was either going to spend my life in prison or be executed.\I accepted that fate.\Until Ultear and Meldy broke me out, that is...\You mean you've found a purpose to live for?\Wendy...\Come to think of it, the Jellal you know seems to be another person entirely. response:	Yes! I've already solved that one.
context: So please don't blame him.\I was either going to spend my life in prison or be executed.\I accepted that fate.\Until Ultear and Meldy broke me out, that is...\You mean you've found a purpose to live for?\Wendy...\Come to think of it, the Jellal you know seems to be another person entirely.\Yes! I've already solved that one. response:	A purpose to live for... Nothing as noble as that, I'm afraid.
context: I was either going to spend my life in prison or be executed.\I accepted that fate.\Until Ultear and Meldy broke me out, that is...\You mean you've found a purpose to live for?\Wendy...\Come to think of it, the Jellal you know seems to be another person entirely.\Yes! I've already solved that one.\A purpose to live for... Nothing as noble as that, I'm afraid. response:	We made a guild.
context: I accepted that fate.\Until Ultear and Meldy broke me out, that is...\You mean you've found a purpose to live for?\Wendy...\Come to think of it, the Jellal you know seems to be another person entirely.\Yes! I've already solved that one.\A purpose to live for... Nothing as noble as that, I'm afraid.\We made a guild. response:	Neither a proper guild nor a Dark Guild... We're an independent guild.
context: Until Ultear and Meldy broke me out, that is...\You mean you've found a purpose to live for?\Wendy...\Come to think of it, the Jellal you know seems to be another person entirely.\Yes! I've already solved that one.\A purpose to live for... Nothing as noble as that, I'm afraid.\We made a guild.\Neither a proper guild nor a Dark Guild... We're an independent guild. response:	A Witch's Crimes... Crime Sorciere.
context: You mean you've found a purpose to live for?\Wendy...\Come to think of it, the Jellal you know seems to be another person entirely.\Yes! I've already solved that one.\A purpose to live for... Nothing as noble as that, I'm afraid.\We made a guild.\Neither a proper guild nor a Dark Guild... We're an independent guild.\A Witch's Crimes... Crime Sorciere. response:	An independent guild?
context: Wendy...\Come to think of it, the Jellal you know seems to be another person entirely.\Yes! I've already solved that one.\A purpose to live for... Nothing as noble as that, I'm afraid.\We made a guild.\Neither a proper guild nor a Dark Guild... We're an independent guild.\A Witch's Crimes... Crime Sorciere.\An independent guild? response:	What does that mean?
context: Come to think of it, the Jellal you know seems to be another person entirely.\Yes! I've already solved that one.\A purpose to live for... Nothing as noble as that, I'm afraid.\We made a guild.\Neither a proper guild nor a Dark Guild... We're an independent guild.\A Witch's Crimes... Crime Sorciere.\An independent guild?\What does that mean? response:	That you aren't part of an alliance?
context: Yes! I've already solved that one.\A purpose to live for... Nothing as noble as that, I'm afraid.\We made a guild.\Neither a proper guild nor a Dark Guild... We're an independent guild.\A Witch's Crimes... Crime Sorciere.\An independent guild?\What does that mean?\That you aren't part of an alliance? response:	Crime Sorciere. I've heard of you!
context: A purpose to live for... Nothing as noble as that, I'm afraid.\We made a guild.\Neither a proper guild nor a Dark Guild... We're an independent guild.\A Witch's Crimes... Crime Sorciere.\An independent guild?\What does that mean?\That you aren't part of an alliance?\Crime Sorciere. I've heard of you! response:	I heard your guild has destroyed many dark guilds in the last several years!
context: We made a guild.\Neither a proper guild nor a Dark Guild... We're an independent guild.\A Witch's Crimes... Crime Sorciere.\An independent guild?\What does that mean?\That you aren't part of an alliance?\Crime Sorciere. I've heard of you!\I heard your guild has destroyed many dark guilds in the last several years! response:	We have just one purpose.
context: Neither a proper guild nor a Dark Guild... We're an independent guild.\A Witch's Crimes... Crime Sorciere.\An independent guild?\What does that mean?\That you aren't part of an alliance?\Crime Sorciere. I've heard of you!\I heard your guild has destroyed many dark guilds in the last several years!\We have just one purpose. response:	Zeref...
context: A Witch's Crimes... Crime Sorciere.\An independent guild?\What does that mean?\That you aren't part of an alliance?\Crime Sorciere. I've heard of you!\I heard your guild has destroyed many dark guilds in the last several years!\We have just one purpose.\Zeref... response:	Dark Guilds...
context: An independent guild?\What does that mean?\That you aren't part of an alliance?\Crime Sorciere. I've heard of you!\I heard your guild has destroyed many dark guilds in the last several years!\We have just one purpose.\Zeref...\Dark Guilds... response:	We formed this guild to drive away all of the darkness from the world.
context: What does that mean?\That you aren't part of an alliance?\Crime Sorciere. I've heard of you!\I heard your guild has destroyed many dark guilds in the last several years!\We have just one purpose.\Zeref...\Dark Guilds...\We formed this guild to drive away all of the darkness from the world. response:	So not one more wizard will become possessed by the dark side as we were.
context: That you aren't part of an alliance?\Crime Sorciere. I've heard of you!\I heard your guild has destroyed many dark guilds in the last several years!\We have just one purpose.\Zeref...\Dark Guilds...\We formed this guild to drive away all of the darkness from the world.\So not one more wizard will become possessed by the dark side as we were. response:	That's great!
context: Crime Sorciere. I've heard of you!\I heard your guild has destroyed many dark guilds in the last several years!\We have just one purpose.\Zeref...\Dark Guilds...\We formed this guild to drive away all of the darkness from the world.\So not one more wizard will become possessed by the dark side as we were.\That's great! response:	You should have the Council recognize you as an official guild.
context: I heard your guild has destroyed many dark guilds in the last several years!\We have just one purpose.\Zeref...\Dark Guilds...\We formed this guild to drive away all of the darkness from the world.\So not one more wizard will become possessed by the dark side as we were.\That's great!\You should have the Council recognize you as an official guild. response:	The prison break, remember?
context: We have just one purpose.\Zeref...\Dark Guilds...\We formed this guild to drive away all of the darkness from the world.\So not one more wizard will become possessed by the dark side as we were.\That's great!\You should have the Council recognize you as an official guild.\The prison break, remember? response:	And we are former members of Grimoire Heart...
context: Zeref...\Dark Guilds...\We formed this guild to drive away all of the darkness from the world.\So not one more wizard will become possessed by the dark side as we were.\That's great!\You should have the Council recognize you as an official guild.\The prison break, remember?\And we are former members of Grimoire Heart... response:	Besides, official guilds ostensibly have to abide by the Guild Conflict Ban Treaty,
context: Dark Guilds...\We formed this guild to drive away all of the darkness from the world.\So not one more wizard will become possessed by the dark side as we were.\That's great!\You should have the Council recognize you as an official guild.\The prison break, remember?\And we are former members of Grimoire Heart...\Besides, official guilds ostensibly have to abide by the Guild Conflict Ban Treaty, response:	even if the other side is a Dark Guild.
context: We formed this guild to drive away all of the darkness from the world.\So not one more wizard will become possessed by the dark side as we were.\That's great!\You should have the Council recognize you as an official guild.\The prison break, remember?\And we are former members of Grimoire Heart...\Besides, official guilds ostensibly have to abide by the Guild Conflict Ban Treaty,\even if the other side is a Dark Guild. response:	No, being independent works for our guild.
context: So not one more wizard will become possessed by the dark side as we were.\That's great!\You should have the Council recognize you as an official guild.\The prison break, remember?\And we are former members of Grimoire Heart...\Besides, official guilds ostensibly have to abide by the Guild Conflict Ban Treaty,\even if the other side is a Dark Guild.\No, being independent works for our guild. response:	But we didn't call you here to introduce ourselves.
context: That's great!\You should have the Council recognize you as an official guild.\The prison break, remember?\And we are former members of Grimoire Heart...\Besides, official guilds ostensibly have to abide by the Guild Conflict Ban Treaty,\even if the other side is a Dark Guild.\No, being independent works for our guild.\But we didn't call you here to introduce ourselves. response:	We heard you're going to participate in the Grand Magic Games.
context: You should have the Council recognize you as an official guild.\The prison break, remember?\And we are former members of Grimoire Heart...\Besides, official guilds ostensibly have to abide by the Guild Conflict Ban Treaty,\even if the other side is a Dark Guild.\No, being independent works for our guild.\But we didn't call you here to introduce ourselves.\We heard you're going to participate in the Grand Magic Games. response:	Y-Yeah...
context: The prison break, remember?\And we are former members of Grimoire Heart...\Besides, official guilds ostensibly have to abide by the Guild Conflict Ban Treaty,\even if the other side is a Dark Guild.\No, being independent works for our guild.\But we didn't call you here to introduce ourselves.\We heard you're going to participate in the Grand Magic Games.\Y-Yeah... response:	We can't get near the arena.
context: And we are former members of Grimoire Heart...\Besides, official guilds ostensibly have to abide by the Guild Conflict Ban Treaty,\even if the other side is a Dark Guild.\No, being independent works for our guild.\But we didn't call you here to introduce ourselves.\We heard you're going to participate in the Grand Magic Games.\Y-Yeah...\We can't get near the arena. response:	So there's one favor we would ask of you.
context: Besides, official guilds ostensibly have to abide by the Guild Conflict Ban Treaty,\even if the other side is a Dark Guild.\No, being independent works for our guild.\But we didn't call you here to introduce ourselves.\We heard you're going to participate in the Grand Magic Games.\Y-Yeah...\We can't get near the arena.\So there's one favor we would ask of you. response:	You want somebody's autograph?
context: even if the other side is a Dark Guild.\No, being independent works for our guild.\But we didn't call you here to introduce ourselves.\We heard you're going to participate in the Grand Magic Games.\Y-Yeah...\We can't get near the arena.\So there's one favor we would ask of you.\You want somebody's autograph? response:	No, thank you.
context: No, being independent works for our guild.\But we didn't call you here to introduce ourselves.\We heard you're going to participate in the Grand Magic Games.\Y-Yeah...\We can't get near the arena.\So there's one favor we would ask of you.\You want somebody's autograph?\No, thank you. response:	Every year, when the Games are held, we sense a strange magical force.
context: But we didn't call you here to introduce ourselves.\We heard you're going to participate in the Grand Magic Games.\Y-Yeah...\We can't get near the arena.\So there's one favor we would ask of you.\You want somebody's autograph?\No, thank you.\Every year, when the Games are held, we sense a strange magical force. response:	We want you to get to the bottom of it.
context: We heard you're going to participate in the Grand Magic Games.\Y-Yeah...\We can't get near the arena.\So there's one favor we would ask of you.\You want somebody's autograph?\No, thank you.\Every year, when the Games are held, we sense a strange magical force.\We want you to get to the bottom of it. response:	What do you mean?
context: Y-Yeah...\We can't get near the arena.\So there's one favor we would ask of you.\You want somebody's autograph?\No, thank you.\Every year, when the Games are held, we sense a strange magical force.\We want you to get to the bottom of it.\What do you mean? response:	Guilds throughout Fiore gather to participate in the Grand Magic Games, right?
context: We can't get near the arena.\So there's one favor we would ask of you.\You want somebody's autograph?\No, thank you.\Every year, when the Games are held, we sense a strange magical force.\We want you to get to the bottom of it.\What do you mean?\Guilds throughout Fiore gather to participate in the Grand Magic Games, right? response:	You'd expect one or two weird kinds of magic...
context: So there's one favor we would ask of you.\You want somebody's autograph?\No, thank you.\Every year, when the Games are held, we sense a strange magical force.\We want you to get to the bottom of it.\What do you mean?\Guilds throughout Fiore gather to participate in the Grand Magic Games, right?\You'd expect one or two weird kinds of magic... response:	That's what we thought at first, too.
context: You want somebody's autograph?\No, thank you.\Every year, when the Games are held, we sense a strange magical force.\We want you to get to the bottom of it.\What do you mean?\Guilds throughout Fiore gather to participate in the Grand Magic Games, right?\You'd expect one or two weird kinds of magic...\That's what we thought at first, too. response:	But that magic is evil and somehow reminds me of Zeref.
context: No, thank you.\Every year, when the Games are held, we sense a strange magical force.\We want you to get to the bottom of it.\What do you mean?\Guilds throughout Fiore gather to participate in the Grand Magic Games, right?\You'd expect one or two weird kinds of magic...\That's what we thought at first, too.\But that magic is evil and somehow reminds me of Zeref. response:	It reminds you of Zeref?!
context: Every year, when the Games are held, we sense a strange magical force.\We want you to get to the bottom of it.\What do you mean?\Guilds throughout Fiore gather to participate in the Grand Magic Games, right?\You'd expect one or two weird kinds of magic...\That's what we thought at first, too.\But that magic is evil and somehow reminds me of Zeref.\It reminds you of Zeref?! response:	Maybe we're able to sense it because we've gotten too close to Zeref in the past.
context: We want you to get to the bottom of it.\What do you mean?\Guilds throughout Fiore gather to participate in the Grand Magic Games, right?\You'd expect one or two weird kinds of magic...\That's what we thought at first, too.\But that magic is evil and somehow reminds me of Zeref.\It reminds you of Zeref?!\Maybe we're able to sense it because we've gotten too close to Zeref in the past. response:	We want to find out where that magic is coming from.
context: What do you mean?\Guilds throughout Fiore gather to participate in the Grand Magic Games, right?\You'd expect one or two weird kinds of magic...\That's what we thought at first, too.\But that magic is evil and somehow reminds me of Zeref.\It reminds you of Zeref?!\Maybe we're able to sense it because we've gotten too close to Zeref in the past.\We want to find out where that magic is coming from. response:	It could give us a clue as to Zeref's location.
context: Guilds throughout Fiore gather to participate in the Grand Magic Games, right?\You'd expect one or two weird kinds of magic...\That's what we thought at first, too.\But that magic is evil and somehow reminds me of Zeref.\It reminds you of Zeref?!\Maybe we're able to sense it because we've gotten too close to Zeref in the past.\We want to find out where that magic is coming from.\It could give us a clue as to Zeref's location. response:	Of course, this has nothing to do with the outcome of the Games.
context: You'd expect one or two weird kinds of magic...\That's what we thought at first, too.\But that magic is evil and somehow reminds me of Zeref.\It reminds you of Zeref?!\Maybe we're able to sense it because we've gotten too close to Zeref in the past.\We want to find out where that magic is coming from.\It could give us a clue as to Zeref's location.\Of course, this has nothing to do with the outcome of the Games. response:	We'll be rooting for Fairy Tail from the sidelines.
context: That's what we thought at first, too.\But that magic is evil and somehow reminds me of Zeref.\It reminds you of Zeref?!\Maybe we're able to sense it because we've gotten too close to Zeref in the past.\We want to find out where that magic is coming from.\It could give us a clue as to Zeref's location.\Of course, this has nothing to do with the outcome of the Games.\We'll be rooting for Fairy Tail from the sidelines. response:	But while you're there, we also want you to search for that mysterious magic.
context: But that magic is evil and somehow reminds me of Zeref.\It reminds you of Zeref?!\Maybe we're able to sense it because we've gotten too close to Zeref in the past.\We want to find out where that magic is coming from.\It could give us a clue as to Zeref's location.\Of course, this has nothing to do with the outcome of the Games.\We'll be rooting for Fairy Tail from the sidelines.\But while you're there, we also want you to search for that mysterious magic. response:	That's like grabbing hold of a cloud, but we'll give it a try.
context: It reminds you of Zeref?!\Maybe we're able to sense it because we've gotten too close to Zeref in the past.\We want to find out where that magic is coming from.\It could give us a clue as to Zeref's location.\Of course, this has nothing to do with the outcome of the Games.\We'll be rooting for Fairy Tail from the sidelines.\But while you're there, we also want you to search for that mysterious magic.\That's like grabbing hold of a cloud, but we'll give it a try. response:	We're in your debt.
context: Maybe we're able to sense it because we've gotten too close to Zeref in the past.\We want to find out where that magic is coming from.\It could give us a clue as to Zeref's location.\Of course, this has nothing to do with the outcome of the Games.\We'll be rooting for Fairy Tail from the sidelines.\But while you're there, we also want you to search for that mysterious magic.\That's like grabbing hold of a cloud, but we'll give it a try.\We're in your debt. response:	Are you sure about this, Erza?
context: We want to find out where that magic is coming from.\It could give us a clue as to Zeref's location.\Of course, this has nothing to do with the outcome of the Games.\We'll be rooting for Fairy Tail from the sidelines.\But while you're there, we also want you to search for that mysterious magic.\That's like grabbing hold of a cloud, but we'll give it a try.\We're in your debt.\Are you sure about this, Erza? response:	If there's strange magic present while all the guilds of Fiore are assembled,
context: It could give us a clue as to Zeref's location.\Of course, this has nothing to do with the outcome of the Games.\We'll be rooting for Fairy Tail from the sidelines.\But while you're there, we also want you to search for that mysterious magic.\That's like grabbing hold of a cloud, but we'll give it a try.\We're in your debt.\Are you sure about this, Erza?\If there's strange magic present while all the guilds of Fiore are assembled, response:	we're at risk, too.
context: Of course, this has nothing to do with the outcome of the Games.\We'll be rooting for Fairy Tail from the sidelines.\But while you're there, we also want you to search for that mysterious magic.\That's like grabbing hold of a cloud, but we'll give it a try.\We're in your debt.\Are you sure about this, Erza?\If there's strange magic present while all the guilds of Fiore are assembled,\we're at risk, too. response:	We'll pay your fee in advance.
context: We'll be rooting for Fairy Tail from the sidelines.\But while you're there, we also want you to search for that mysterious magic.\That's like grabbing hold of a cloud, but we'll give it a try.\We're in your debt.\Are you sure about this, Erza?\If there's strange magic present while all the guilds of Fiore are assembled,\we're at risk, too.\We'll pay your fee in advance. response:	Food expenses!
context: But while you're there, we also want you to search for that mysterious magic.\That's like grabbing hold of a cloud, but we'll give it a try.\We're in your debt.\Are you sure about this, Erza?\If there's strange magic present while all the guilds of Fiore are assembled,\we're at risk, too.\We'll pay your fee in advance.\Food expenses! response:	Rent money!
context: That's like grabbing hold of a cloud, but we'll give it a try.\We're in your debt.\Are you sure about this, Erza?\If there's strange magic present while all the guilds of Fiore are assembled,\we're at risk, too.\We'll pay your fee in advance.\Food expenses!\Rent money! response:	No, I don't mean money.
context: We're in your debt.\Are you sure about this, Erza?\If there's strange magic present while all the guilds of Fiore are assembled,\we're at risk, too.\We'll pay your fee in advance.\Food expenses!\Rent money!\No, I don't mean money. response:	My evolved Time Ark will raise the level of your abilities.
context: Are you sure about this, Erza?\If there's strange magic present while all the guilds of Fiore are assembled,\we're at risk, too.\We'll pay your fee in advance.\Food expenses!\Rent money!\No, I don't mean money.\My evolved Time Ark will raise the level of your abilities. response:	Power up has a ring to it,
context: If there's strange magic present while all the guilds of Fiore are assembled,\we're at risk, too.\We'll pay your fee in advance.\Food expenses!\Rent money!\No, I don't mean money.\My evolved Time Ark will raise the level of your abilities.\Power up has a ring to it, response:	but that's not really what it is.
context: we're at risk, too.\We'll pay your fee in advance.\Food expenses!\Rent money!\No, I don't mean money.\My evolved Time Ark will raise the level of your abilities.\Power up has a ring to it,\but that's not really what it is. response:	Wizards have something like a container that determines the limit of their magic power.
context: We'll pay your fee in advance.\Food expenses!\Rent money!\No, I don't mean money.\My evolved Time Ark will raise the level of your abilities.\Power up has a ring to it,\but that's not really what it is.\Wizards have something like a container that determines the limit of their magic power. response:	Even if that container becomes empty, for example,
context: Food expenses!\Rent money!\No, I don't mean money.\My evolved Time Ark will raise the level of your abilities.\Power up has a ring to it,\but that's not really what it is.\Wizards have something like a container that determines the limit of their magic power.\Even if that container becomes empty, for example, response:	the body will automatically absorb Eternanos from the air,
context: Rent money!\No, I don't mean money.\My evolved Time Ark will raise the level of your abilities.\Power up has a ring to it,\but that's not really what it is.\Wizards have something like a container that determines the limit of their magic power.\Even if that container becomes empty, for example,\the body will automatically absorb Eternanos from the air, response:	and after a while, the container will be full again.
context: No, I don't mean money.\My evolved Time Ark will raise the level of your abilities.\Power up has a ring to it,\but that's not really what it is.\Wizards have something like a container that determines the limit of their magic power.\Even if that container becomes empty, for example,\the body will automatically absorb Eternanos from the air,\and after a while, the container will be full again. response:	But recent research has shown there's a part of the container wizards possess
context: My evolved Time Ark will raise the level of your abilities.\Power up has a ring to it,\but that's not really what it is.\Wizards have something like a container that determines the limit of their magic power.\Even if that container becomes empty, for example,\the body will automatically absorb Eternanos from the air,\and after a while, the container will be full again.\But recent research has shown there's a part of the container wizards possess response:	that normally doesn't get used.
context: Power up has a ring to it,\but that's not really what it is.\Wizards have something like a container that determines the limit of their magic power.\Even if that container becomes empty, for example,\the body will automatically absorb Eternanos from the air,\and after a while, the container will be full again.\But recent research has shown there's a part of the container wizards possess\that normally doesn't get used. response:	It's something that everyone has. Latent ability, Second Origin.
context: but that's not really what it is.\Wizards have something like a container that determines the limit of their magic power.\Even if that container becomes empty, for example,\the body will automatically absorb Eternanos from the air,\and after a while, the container will be full again.\But recent research has shown there's a part of the container wizards possess\that normally doesn't get used.\It's something that everyone has. Latent ability, Second Origin. response:	Second Origin?
context: Wizards have something like a container that determines the limit of their magic power.\Even if that container becomes empty, for example,\the body will automatically absorb Eternanos from the air,\and after a while, the container will be full again.\But recent research has shown there's a part of the container wizards possess\that normally doesn't get used.\It's something that everyone has. Latent ability, Second Origin.\Second Origin? response:	Time Ark will develop that container
context: Even if that container becomes empty, for example,\the body will automatically absorb Eternanos from the air,\and after a while, the container will be full again.\But recent research has shown there's a part of the container wizards possess\that normally doesn't get used.\It's something that everyone has. Latent ability, Second Origin.\Second Origin?\Time Ark will develop that container response:	so you'll be able to use Second Origin.
context: the body will automatically absorb Eternanos from the air,\and after a while, the container will be full again.\But recent research has shown there's a part of the container wizards possess\that normally doesn't get used.\It's something that everyone has. Latent ability, Second Origin.\Second Origin?\Time Ark will develop that container\so you'll be able to use Second Origin. response:	In other words, you'll be able to use magic for a longer time
context: and after a while, the container will be full again.\But recent research has shown there's a part of the container wizards possess\that normally doesn't get used.\It's something that everyone has. Latent ability, Second Origin.\Second Origin?\Time Ark will develop that container\so you'll be able to use Second Origin.\In other words, you'll be able to use magic for a longer time response:	as well as employ powerful magic.
context: But recent research has shown there's a part of the container wizards possess\that normally doesn't get used.\It's something that everyone has. Latent ability, Second Origin.\Second Origin?\Time Ark will develop that container\so you'll be able to use Second Origin.\In other words, you'll be able to use magic for a longer time\as well as employ powerful magic. response:	I didn't get any of that, but...
context: that normally doesn't get used.\It's something that everyone has. Latent ability, Second Origin.\Second Origin?\Time Ark will develop that container\so you'll be able to use Second Origin.\In other words, you'll be able to use magic for a longer time\as well as employ powerful magic.\I didn't get any of that, but... response:	However, you will battle against unimaginably excruciating pain.
context: It's something that everyone has. Latent ability, Second Origin.\Second Origin?\Time Ark will develop that container\so you'll be able to use Second Origin.\In other words, you'll be able to use magic for a longer time\as well as employ powerful magic.\I didn't get any of that, but...\However, you will battle against unimaginably excruciating pain. response:	Her eyes are scary...
context: Second Origin?\Time Ark will develop that container\so you'll be able to use Second Origin.\In other words, you'll be able to use magic for a longer time\as well as employ powerful magic.\I didn't get any of that, but...\However, you will battle against unimaginably excruciating pain.\Her eyes are scary... response:	I don't care! Thank you! Thank you!
context: Time Ark will develop that container\so you'll be able to use Second Origin.\In other words, you'll be able to use magic for a longer time\as well as employ powerful magic.\I didn't get any of that, but...\However, you will battle against unimaginably excruciating pain.\Her eyes are scary...\I don't care! Thank you! Thank you! response:	What should I do?! You seem more and more like a real woman!
context: so you'll be able to use Second Origin.\In other words, you'll be able to use magic for a longer time\as well as employ powerful magic.\I didn't get any of that, but...\However, you will battle against unimaginably excruciating pain.\Her eyes are scary...\I don't care! Thank you! Thank you!\What should I do?! You seem more and more like a real woman! response:	I am a woman!
context: In other words, you'll be able to use magic for a longer time\as well as employ powerful magic.\I didn't get any of that, but...\However, you will battle against unimaginably excruciating pain.\Her eyes are scary...\I don't care! Thank you! Thank you!\What should I do?! You seem more and more like a real woman!\I am a woman! response:	He's still hung up on that?
