context: And there! response:	What's all this?!
context: It's just like Pa said...\The materials are the secret to the Demon Slayer's weapons!\Materials?\The fangs of demons, bones, hides...\No wonder Slayers can counter demon attacks.\Then if we have these, we can...\Become just as strong!\Oww! Serina! response:	What're you up to?
context: The materials are the secret to the Demon Slayer's weapons!\Materials?\The fangs of demons, bones, hides...\No wonder Slayers can counter demon attacks.\Then if we have these, we can...\Become just as strong!\Oww! Serina!\What're you up to? response:	You're no ordinary village girls.
context: Materials?\The fangs of demons, bones, hides...\No wonder Slayers can counter demon attacks.\Then if we have these, we can...\Become just as strong!\Oww! Serina!\What're you up to?\You're no ordinary village girls. response:	Those moves...
context: The fangs of demons, bones, hides...\No wonder Slayers can counter demon attacks.\Then if we have these, we can...\Become just as strong!\Oww! Serina!\What're you up to?\You're no ordinary village girls.\Those moves... response:	Yup! We come from a village of ninja agents.
context: No wonder Slayers can counter demon attacks.\Then if we have these, we can...\Become just as strong!\Oww! Serina!\What're you up to?\You're no ordinary village girls.\Those moves...\Yup! We come from a village of ninja agents. response:	One day, the clan lord ordered us to slay a demon... something we weren't used to.
context: Then if we have these, we can...\Become just as strong!\Oww! Serina!\What're you up to?\You're no ordinary village girls.\Those moves...\Yup! We come from a village of ninja agents.\One day, the clan lord ordered us to slay a demon... something we weren't used to. response:	We were able to use ninja skills to destroy the demon.
context: Become just as strong!\Oww! Serina!\What're you up to?\You're no ordinary village girls.\Those moves...\Yup! We come from a village of ninja agents.\One day, the clan lord ordered us to slay a demon... something we weren't used to.\We were able to use ninja skills to destroy the demon. response:	But other demons came seeking revenge!
context: Oww! Serina!\What're you up to?\You're no ordinary village girls.\Those moves...\Yup! We come from a village of ninja agents.\One day, the clan lord ordered us to slay a demon... something we weren't used to.\We were able to use ninja skills to destroy the demon.\But other demons came seeking revenge! response:	Our people who knew only ninja tactics...
context: What're you up to?\You're no ordinary village girls.\Those moves...\Yup! We come from a village of ninja agents.\One day, the clan lord ordered us to slay a demon... something we weren't used to.\We were able to use ninja skills to destroy the demon.\But other demons came seeking revenge!\Our people who knew only ninja tactics... response:	were nearly all devoured by these demons.
context: You're no ordinary village girls.\Those moves...\Yup! We come from a village of ninja agents.\One day, the clan lord ordered us to slay a demon... something we weren't used to.\We were able to use ninja skills to destroy the demon.\But other demons came seeking revenge!\Our people who knew only ninja tactics...\were nearly all devoured by these demons. response:	Serina, it's safe now.
context: Those moves...\Yup! We come from a village of ninja agents.\One day, the clan lord ordered us to slay a demon... something we weren't used to.\We were able to use ninja skills to destroy the demon.\But other demons came seeking revenge!\Our people who knew only ninja tactics...\were nearly all devoured by these demons.\Serina, it's safe now. response:	Pa!
context: Yup! We come from a village of ninja agents.\One day, the clan lord ordered us to slay a demon... something we weren't used to.\We were able to use ninja skills to destroy the demon.\But other demons came seeking revenge!\Our people who knew only ninja tactics...\were nearly all devoured by these demons.\Serina, it's safe now.\Pa! response:	Father!
context: One day, the clan lord ordered us to slay a demon... something we weren't used to.\We were able to use ninja skills to destroy the demon.\But other demons came seeking revenge!\Our people who knew only ninja tactics...\were nearly all devoured by these demons.\Serina, it's safe now.\Pa!\Father! response:	Hang on, Father!
context: We were able to use ninja skills to destroy the demon.\But other demons came seeking revenge!\Our people who knew only ninja tactics...\were nearly all devoured by these demons.\Serina, it's safe now.\Pa!\Father!\Hang on, Father! response:	Serina... Suzuna...
context: But other demons came seeking revenge!\Our people who knew only ninja tactics...\were nearly all devoured by these demons.\Serina, it's safe now.\Pa!\Father!\Hang on, Father!\Serina... Suzuna... response:	At least you two... be strong...
context: Our people who knew only ninja tactics...\were nearly all devoured by these demons.\Serina, it's safe now.\Pa!\Father!\Hang on, Father!\Serina... Suzuna...\At least you two... be strong... response:	Father!
context: were nearly all devoured by these demons.\Serina, it's safe now.\Pa!\Father!\Hang on, Father!\Serina... Suzuna...\At least you two... be strong...\Father! response:	Pa!
context: Serina, it's safe now.\Pa!\Father!\Hang on, Father!\Serina... Suzuna...\At least you two... be strong...\Father!\Pa! response:	Those were our father's dying words.
context: Pa!\Father!\Hang on, Father!\Serina... Suzuna...\At least you two... be strong...\Father!\Pa!\Those were our father's dying words. response:	Be strong and restore our village to what it once was...
context: Father!\Hang on, Father!\Serina... Suzuna...\At least you two... be strong...\Father!\Pa!\Those were our father's dying words.\Be strong and restore our village to what it once was... response:	That's what he probably wanted to tell us.
context: Hang on, Father!\Serina... Suzuna...\At least you two... be strong...\Father!\Pa!\Those were our father's dying words.\Be strong and restore our village to what it once was...\That's what he probably wanted to tell us. response:	Wait!
context: Serina... Suzuna...\At least you two... be strong...\Father!\Pa!\Those were our father's dying words.\Be strong and restore our village to what it once was...\That's what he probably wanted to tell us.\Wait! response:	Serina!
context: At least you two... be strong...\Father!\Pa!\Those were our father's dying words.\Be strong and restore our village to what it once was...\That's what he probably wanted to tell us.\Wait!\Serina! response:	I knew it!
context: Father!\Pa!\Those were our father's dying words.\Be strong and restore our village to what it once was...\That's what he probably wanted to tell us.\Wait!\Serina!\I knew it! response:	This is bad...
context: Pa!\Those were our father's dying words.\Be strong and restore our village to what it once was...\That's what he probably wanted to tell us.\Wait!\Serina!\I knew it!\This is bad... response:	Some weapons haven't been exorcised of demon spirits yet.
context: Those were our father's dying words.\Be strong and restore our village to what it once was...\That's what he probably wanted to tell us.\Wait!\Serina!\I knew it!\This is bad...\Some weapons haven't been exorcised of demon spirits yet. response:	Weapons which still have demon spirits...
context: Be strong and restore our village to what it once was...\That's what he probably wanted to tell us.\Wait!\Serina!\I knew it!\This is bad...\Some weapons haven't been exorcised of demon spirits yet.\Weapons which still have demon spirits... response:	also summon demons back.
context: That's what he probably wanted to tell us.\Wait!\Serina!\I knew it!\This is bad...\Some weapons haven't been exorcised of demon spirits yet.\Weapons which still have demon spirits...\also summon demons back. response:	Kirara!
context: Wait!\Serina!\I knew it!\This is bad...\Some weapons haven't been exorcised of demon spirits yet.\Weapons which still have demon spirits...\also summon demons back.\Kirara! response:	Hurry, Kirara! Those two are in danger!
context: Serina!\I knew it!\This is bad...\Some weapons haven't been exorcised of demon spirits yet.\Weapons which still have demon spirits...\also summon demons back.\Kirara!\Hurry, Kirara! Those two are in danger! response:	Please wait, Suzuna!
context: I knew it!\This is bad...\Some weapons haven't been exorcised of demon spirits yet.\Weapons which still have demon spirits...\also summon demons back.\Kirara!\Hurry, Kirara! Those two are in danger!\Please wait, Suzuna! response:	Cripes! You're always like this, Sis.
context: This is bad...\Some weapons haven't been exorcised of demon spirits yet.\Weapons which still have demon spirits...\also summon demons back.\Kirara!\Hurry, Kirara! Those two are in danger!\Please wait, Suzuna!\Cripes! You're always like this, Sis. response:	I'll take more of the load.
context: Some weapons haven't been exorcised of demon spirits yet.\Weapons which still have demon spirits...\also summon demons back.\Kirara!\Hurry, Kirara! Those two are in danger!\Please wait, Suzuna!\Cripes! You're always like this, Sis.\I'll take more of the load. response:	I'm sorry.
context: Weapons which still have demon spirits...\also summon demons back.\Kirara!\Hurry, Kirara! Those two are in danger!\Please wait, Suzuna!\Cripes! You're always like this, Sis.\I'll take more of the load.\I'm sorry. response:	No wonder Pa was looking forward to me as his heir.
context: also summon demons back.\Kirara!\Hurry, Kirara! Those two are in danger!\Please wait, Suzuna!\Cripes! You're always like this, Sis.\I'll take more of the load.\I'm sorry.\No wonder Pa was looking forward to me as his heir. response:	Forgive me.
context: Kirara!\Hurry, Kirara! Those two are in danger!\Please wait, Suzuna!\Cripes! You're always like this, Sis.\I'll take more of the load.\I'm sorry.\No wonder Pa was looking forward to me as his heir.\Forgive me. response:	I'll train hard and become a strong ninja like Father wanted me to be.
context: Hurry, Kirara! Those two are in danger!\Please wait, Suzuna!\Cripes! You're always like this, Sis.\I'll take more of the load.\I'm sorry.\No wonder Pa was looking forward to me as his heir.\Forgive me.\I'll train hard and become a strong ninja like Father wanted me to be. response:	Let's hurry.
context: Please wait, Suzuna!\Cripes! You're always like this, Sis.\I'll take more of the load.\I'm sorry.\No wonder Pa was looking forward to me as his heir.\Forgive me.\I'll train hard and become a strong ninja like Father wanted me to be.\Let's hurry. response:	What's that?!
context: Cripes! You're always like this, Sis.\I'll take more of the load.\I'm sorry.\No wonder Pa was looking forward to me as his heir.\Forgive me.\I'll train hard and become a strong ninja like Father wanted me to be.\Let's hurry.\What's that?! response:	Both of you, get on Kirara! Go back to the village!
context: I'll take more of the load.\I'm sorry.\No wonder Pa was looking forward to me as his heir.\Forgive me.\I'll train hard and become a strong ninja like Father wanted me to be.\Let's hurry.\What's that?!\Both of you, get on Kirara! Go back to the village! response:	We're not returning these!
context: I'm sorry.\No wonder Pa was looking forward to me as his heir.\Forgive me.\I'll train hard and become a strong ninja like Father wanted me to be.\Let's hurry.\What's that?!\Both of you, get on Kirara! Go back to the village!\We're not returning these! response:	Forget those things!
context: No wonder Pa was looking forward to me as his heir.\Forgive me.\I'll train hard and become a strong ninja like Father wanted me to be.\Let's hurry.\What's that?!\Both of you, get on Kirara! Go back to the village!\We're not returning these!\Forget those things! response:	Hundreds of demons are coming in search of...
context: Forgive me.\I'll train hard and become a strong ninja like Father wanted me to be.\Let's hurry.\What's that?!\Both of you, get on Kirara! Go back to the village!\We're not returning these!\Forget those things!\Hundreds of demons are coming in search of... response:	the demonic aura which those weapons are exuding!
context: I'll train hard and become a strong ninja like Father wanted me to be.\Let's hurry.\What's that?!\Both of you, get on Kirara! Go back to the village!\We're not returning these!\Forget those things!\Hundreds of demons are coming in search of...\the demonic aura which those weapons are exuding! response:	It's true! Hurry!
context: Let's hurry.\What's that?!\Both of you, get on Kirara! Go back to the village!\We're not returning these!\Forget those things!\Hundreds of demons are coming in search of...\the demonic aura which those weapons are exuding!\It's true! Hurry! response:	It's too late!
context: What's that?!\Both of you, get on Kirara! Go back to the village!\We're not returning these!\Forget those things!\Hundreds of demons are coming in search of...\the demonic aura which those weapons are exuding!\It's true! Hurry!\It's too late! response:	It's too late!
context: Both of you, get on Kirara! Go back to the village!\We're not returning these!\Forget those things!\Hundreds of demons are coming in search of...\the demonic aura which those weapons are exuding!\It's true! Hurry!\It's too late!\It's too late! response:	I have no choice but to destroy those monsters, then try to escape!
context: We're not returning these!\Forget those things!\Hundreds of demons are coming in search of...\the demonic aura which those weapons are exuding!\It's true! Hurry!\It's too late!\It's too late!\I have no choice but to destroy those monsters, then try to escape! response:	Serina! The time has come to show Pa our mettle!
context: Forget those things!\Hundreds of demons are coming in search of...\the demonic aura which those weapons are exuding!\It's true! Hurry!\It's too late!\It's too late!\I have no choice but to destroy those monsters, then try to escape!\Serina! The time has come to show Pa our mettle! response:	Yes! We are children of ninja!
context: Hundreds of demons are coming in search of...\the demonic aura which those weapons are exuding!\It's true! Hurry!\It's too late!\It's too late!\I have no choice but to destroy those monsters, then try to escape!\Serina! The time has come to show Pa our mettle!\Yes! We are children of ninja! response:	As long as we have these weapons of extermination!
context: the demonic aura which those weapons are exuding!\It's true! Hurry!\It's too late!\It's too late!\I have no choice but to destroy those monsters, then try to escape!\Serina! The time has come to show Pa our mettle!\Yes! We are children of ninja!\As long as we have these weapons of extermination! response:	Serina... Suzuna...
context: It's true! Hurry!\It's too late!\It's too late!\I have no choice but to destroy those monsters, then try to escape!\Serina! The time has come to show Pa our mettle!\Yes! We are children of ninja!\As long as we have these weapons of extermination!\Serina... Suzuna... response:	At least you two... be strong...
context: It's too late!\It's too late!\I have no choice but to destroy those monsters, then try to escape!\Serina! The time has come to show Pa our mettle!\Yes! We are children of ninja!\As long as we have these weapons of extermination!\Serina... Suzuna...\At least you two... be strong... response:	I've trained you until now, not just so you can take over.
context: It's too late!\I have no choice but to destroy those monsters, then try to escape!\Serina! The time has come to show Pa our mettle!\Yes! We are children of ninja!\As long as we have these weapons of extermination!\Serina... Suzuna...\At least you two... be strong...\I've trained you until now, not just so you can take over. response:	I want you to live strong.
context: I have no choice but to destroy those monsters, then try to escape!\Serina! The time has come to show Pa our mettle!\Yes! We are children of ninja!\As long as we have these weapons of extermination!\Serina... Suzuna...\At least you two... be strong...\I've trained you until now, not just so you can take over.\I want you to live strong. response:	Father...
context: Serina! The time has come to show Pa our mettle!\Yes! We are children of ninja!\As long as we have these weapons of extermination!\Serina... Suzuna...\At least you two... be strong...\I've trained you until now, not just so you can take over.\I want you to live strong.\Father... response:	Wait!
context: Yes! We are children of ninja!\As long as we have these weapons of extermination!\Serina... Suzuna...\At least you two... be strong...\I've trained you until now, not just so you can take over.\I want you to live strong.\Father...\Wait! response:	You're wrong!
context: As long as we have these weapons of extermination!\Serina... Suzuna...\At least you two... be strong...\I've trained you until now, not just so you can take over.\I want you to live strong.\Father...\Wait!\You're wrong! response:	Your father didn't mean for you to do this...
context: Serina... Suzuna...\At least you two... be strong...\I've trained you until now, not just so you can take over.\I want you to live strong.\Father...\Wait!\You're wrong!\Your father didn't mean for you to do this... response:	What would you know!
context: At least you two... be strong...\I've trained you until now, not just so you can take over.\I want you to live strong.\Father...\Wait!\You're wrong!\Your father didn't mean for you to do this...\What would you know! response:	There isn't a father in the world who doesn't...
context: I've trained you until now, not just so you can take over.\I want you to live strong.\Father...\Wait!\You're wrong!\Your father didn't mean for you to do this...\What would you know!\There isn't a father in the world who doesn't... response:	wish for his daughter's happiness!
context: I want you to live strong.\Father...\Wait!\You're wrong!\Your father didn't mean for you to do this...\What would you know!\There isn't a father in the world who doesn't...\wish for his daughter's happiness! response:	Your father didn't want you to take over as ninja!
context: Father...\Wait!\You're wrong!\Your father didn't mean for you to do this...\What would you know!\There isn't a father in the world who doesn't...\wish for his daughter's happiness!\Your father didn't want you to take over as ninja! response:	He wanted you to be strong and to become happy.
context: Wait!\You're wrong!\Your father didn't mean for you to do this...\What would you know!\There isn't a father in the world who doesn't...\wish for his daughter's happiness!\Your father didn't want you to take over as ninja!\He wanted you to be strong and to become happy. response:	That's...
context: You're wrong!\Your father didn't mean for you to do this...\What would you know!\There isn't a father in the world who doesn't...\wish for his daughter's happiness!\Your father didn't want you to take over as ninja!\He wanted you to be strong and to become happy.\That's... response:	Now get on Kirara and follow close to me!
context: Your father didn't mean for you to do this...\What would you know!\There isn't a father in the world who doesn't...\wish for his daughter's happiness!\Your father didn't want you to take over as ninja!\He wanted you to be strong and to become happy.\That's...\Now get on Kirara and follow close to me! response:	Serina... Suzuna...
context: What would you know!\There isn't a father in the world who doesn't...\wish for his daughter's happiness!\Your father didn't want you to take over as ninja!\He wanted you to be strong and to become happy.\That's...\Now get on Kirara and follow close to me!\Serina... Suzuna... response:	At least you two... be strong.
context: There isn't a father in the world who doesn't...\wish for his daughter's happiness!\Your father didn't want you to take over as ninja!\He wanted you to be strong and to become happy.\That's...\Now get on Kirara and follow close to me!\Serina... Suzuna...\At least you two... be strong. response:	He wanted you to be strong and to become happy.
context: wish for his daughter's happiness!\Your father didn't want you to take over as ninja!\He wanted you to be strong and to become happy.\That's...\Now get on Kirara and follow close to me!\Serina... Suzuna...\At least you two... be strong.\He wanted you to be strong and to become happy. response:	Suzuna!
context: Your father didn't want you to take over as ninja!\He wanted you to be strong and to become happy.\That's...\Now get on Kirara and follow close to me!\Serina... Suzuna...\At least you two... be strong.\He wanted you to be strong and to become happy.\Suzuna! response:	What're you doing, Serina?!
context: He wanted you to be strong and to become happy.\That's...\Now get on Kirara and follow close to me!\Serina... Suzuna...\At least you two... be strong.\He wanted you to be strong and to become happy.\Suzuna!\What're you doing, Serina?! response:	Sango is right!
context: That's...\Now get on Kirara and follow close to me!\Serina... Suzuna...\At least you two... be strong.\He wanted you to be strong and to become happy.\Suzuna!\What're you doing, Serina?!\Sango is right! response:	Sango!
context: Now get on Kirara and follow close to me!\Serina... Suzuna...\At least you two... be strong.\He wanted you to be strong and to become happy.\Suzuna!\What're you doing, Serina?!\Sango is right!\Sango! response:	Hiraikotsu!
context: Serina... Suzuna...\At least you two... be strong.\He wanted you to be strong and to become happy.\Suzuna!\What're you doing, Serina?!\Sango is right!\Sango!\Hiraikotsu! response:	Let's go!
context: At least you two... be strong.\He wanted you to be strong and to become happy.\Suzuna!\What're you doing, Serina?!\Sango is right!\Sango!\Hiraikotsu!\Let's go! response:	Don't interfere!
context: He wanted you to be strong and to become happy.\Suzuna!\What're you doing, Serina?!\Sango is right!\Sango!\Hiraikotsu!\Let's go!\Don't interfere! response:	Huh?!
context: Suzuna!\What're you doing, Serina?!\Sango is right!\Sango!\Hiraikotsu!\Let's go!\Don't interfere!\Huh?! response:	Suzuna!
context: What're you doing, Serina?!\Sango is right!\Sango!\Hiraikotsu!\Let's go!\Don't interfere!\Huh?!\Suzuna! response:	Suzuna!
context: Sango is right!\Sango!\Hiraikotsu!\Let's go!\Don't interfere!\Huh?!\Suzuna!\Suzuna! response:	Suzuna!
context: Sango!\Hiraikotsu!\Let's go!\Don't interfere!\Huh?!\Suzuna!\Suzuna!\Suzuna! response:	Serina...
context: Hiraikotsu!\Let's go!\Don't interfere!\Huh?!\Suzuna!\Suzuna!\Suzuna!\Serina... response:	Don't come near!
context: Let's go!\Don't interfere!\Huh?!\Suzuna!\Suzuna!\Suzuna!\Serina...\Don't come near! response:	Sango!
context: Don't interfere!\Huh?!\Suzuna!\Suzuna!\Suzuna!\Serina...\Don't come near!\Sango! response:	Miroku!
context: Huh?!\Suzuna!\Suzuna!\Suzuna!\Serina...\Don't come near!\Sango!\Miroku! response:	Wind Scar!
context: Suzuna!\Suzuna!\Suzuna!\Serina...\Don't come near!\Sango!\Miroku!\Wind Scar! response:	It's unlike you to be bothered by the likes of them!
context: Suzuna!\Suzuna!\Serina...\Don't come near!\Sango!\Miroku!\Wind Scar!\It's unlike you to be bothered by the likes of them! response:	Inuyasha!
context: Suzuna!\Serina...\Don't come near!\Sango!\Miroku!\Wind Scar!\It's unlike you to be bothered by the likes of them!\Inuyasha! response:	I'll take over now.
context: Serina...\Don't come near!\Sango!\Miroku!\Wind Scar!\It's unlike you to be bothered by the likes of them!\Inuyasha!\I'll take over now. response:	Wind Tunnel!
context: Don't come near!\Sango!\Miroku!\Wind Scar!\It's unlike you to be bothered by the likes of them!\Inuyasha!\I'll take over now.\Wind Tunnel! response:	Sango!
context: Sango!\Miroku!\Wind Scar!\It's unlike you to be bothered by the likes of them!\Inuyasha!\I'll take over now.\Wind Tunnel!\Sango! response:	We came for you!
context: Miroku!\Wind Scar!\It's unlike you to be bothered by the likes of them!\Inuyasha!\I'll take over now.\Wind Tunnel!\Sango!\We came for you! response:	Everyone...
context: Wind Scar!\It's unlike you to be bothered by the likes of them!\Inuyasha!\I'll take over now.\Wind Tunnel!\Sango!\We came for you!\Everyone... response:	Let's go, Serina.
context: It's unlike you to be bothered by the likes of them!\Inuyasha!\I'll take over now.\Wind Tunnel!\Sango!\We came for you!\Everyone...\Let's go, Serina. response:	Be strong and live, both of you.
context: Inuyasha!\I'll take over now.\Wind Tunnel!\Sango!\We came for you!\Everyone...\Let's go, Serina.\Be strong and live, both of you. response:	Miroku was so worried, we decided to come.
context: I'll take over now.\Wind Tunnel!\Sango!\We came for you!\Everyone...\Let's go, Serina.\Be strong and live, both of you.\Miroku was so worried, we decided to come. response:	And just in the nick of time, too.
context: Wind Tunnel!\Sango!\We came for you!\Everyone...\Let's go, Serina.\Be strong and live, both of you.\Miroku was so worried, we decided to come.\And just in the nick of time, too. response:	I'm glad we made it.
context: Sango!\We came for you!\Everyone...\Let's go, Serina.\Be strong and live, both of you.\Miroku was so worried, we decided to come.\And just in the nick of time, too.\I'm glad we made it. response:	Miroku, you were that worried about me?
context: We came for you!\Everyone...\Let's go, Serina.\Be strong and live, both of you.\Miroku was so worried, we decided to come.\And just in the nick of time, too.\I'm glad we made it.\Miroku, you were that worried about me? response:	Call it a premonition...
context: Everyone...\Let's go, Serina.\Be strong and live, both of you.\Miroku was so worried, we decided to come.\And just in the nick of time, too.\I'm glad we made it.\Miroku, you were that worried about me?\Call it a premonition... response:	I kept seeing your face, Sango. It wouldn't go away. So...
context: Let's go, Serina.\Be strong and live, both of you.\Miroku was so worried, we decided to come.\And just in the nick of time, too.\I'm glad we made it.\Miroku, you were that worried about me?\Call it a premonition...\I kept seeing your face, Sango. It wouldn't go away. So... response:	Oh, thank you, Miroku.
context: Be strong and live, both of you.\Miroku was so worried, we decided to come.\And just in the nick of time, too.\I'm glad we made it.\Miroku, you were that worried about me?\Call it a premonition...\I kept seeing your face, Sango. It wouldn't go away. So...\Oh, thank you, Miroku. response:	Don't mention it.
context: Miroku was so worried, we decided to come.\And just in the nick of time, too.\I'm glad we made it.\Miroku, you were that worried about me?\Call it a premonition...\I kept seeing your face, Sango. It wouldn't go away. So...\Oh, thank you, Miroku.\Don't mention it. response:	Get a grip, Miroku!
context: And just in the nick of time, too.\I'm glad we made it.\Miroku, you were that worried about me?\Call it a premonition...\I kept seeing your face, Sango. It wouldn't go away. So...\Oh, thank you, Miroku.\Don't mention it.\Get a grip, Miroku! response:	I sure don't wanna be a grown-up like that.
context: I'm glad we made it.\Miroku, you were that worried about me?\Call it a premonition...\I kept seeing your face, Sango. It wouldn't go away. So...\Oh, thank you, Miroku.\Don't mention it.\Get a grip, Miroku!\I sure don't wanna be a grown-up like that. response:	Uh-huh!
context: Miroku, you were that worried about me?\Call it a premonition...\I kept seeing your face, Sango. It wouldn't go away. So...\Oh, thank you, Miroku.\Don't mention it.\Get a grip, Miroku!\I sure don't wanna be a grown-up like that.\Uh-huh! response:	Kagome!
context: Call it a premonition...\I kept seeing your face, Sango. It wouldn't go away. So...\Oh, thank you, Miroku.\Don't mention it.\Get a grip, Miroku!\I sure don't wanna be a grown-up like that.\Uh-huh!\Kagome! response:	Naraku brought that evil priestess who fought long ago with Kikyo.
context: I kept seeing your face, Sango. It wouldn't go away. So...\Oh, thank you, Miroku.\Don't mention it.\Get a grip, Miroku!\I sure don't wanna be a grown-up like that.\Uh-huh!\Kagome!\Naraku brought that evil priestess who fought long ago with Kikyo. response:	Oh no... I can't figure it out! I can't follow the lessons!
context: Oh, thank you, Miroku.\Don't mention it.\Get a grip, Miroku!\I sure don't wanna be a grown-up like that.\Uh-huh!\Kagome!\Naraku brought that evil priestess who fought long ago with Kikyo.\Oh no... I can't figure it out! I can't follow the lessons! response:	She's using the Sacred Jewel Shard to cast a spell on you!
context: Don't mention it.\Get a grip, Miroku!\I sure don't wanna be a grown-up like that.\Uh-huh!\Kagome!\Naraku brought that evil priestess who fought long ago with Kikyo.\Oh no... I can't figure it out! I can't follow the lessons!\She's using the Sacred Jewel Shard to cast a spell on you! response:	Everyone tells me I should break up with Inuyasha...
context: Get a grip, Miroku!\I sure don't wanna be a grown-up like that.\Uh-huh!\Kagome!\Naraku brought that evil priestess who fought long ago with Kikyo.\Oh no... I can't figure it out! I can't follow the lessons!\She's using the Sacred Jewel Shard to cast a spell on you!\Everyone tells me I should break up with Inuyasha... response:	Hey, listen to me!
context: I sure don't wanna be a grown-up like that.\Uh-huh!\Kagome!\Naraku brought that evil priestess who fought long ago with Kikyo.\Oh no... I can't figure it out! I can't follow the lessons!\She's using the Sacred Jewel Shard to cast a spell on you!\Everyone tells me I should break up with Inuyasha...\Hey, listen to me! response:	Did you know? They call you the rough, two-timing, jealous boyfriend!
context: Uh-huh!\Kagome!\Naraku brought that evil priestess who fought long ago with Kikyo.\Oh no... I can't figure it out! I can't follow the lessons!\She's using the Sacred Jewel Shard to cast a spell on you!\Everyone tells me I should break up with Inuyasha...\Hey, listen to me!\Did you know? They call you the rough, two-timing, jealous boyfriend! response:	What?! Why?!
context: Kagome!\Naraku brought that evil priestess who fought long ago with Kikyo.\Oh no... I can't figure it out! I can't follow the lessons!\She's using the Sacred Jewel Shard to cast a spell on you!\Everyone tells me I should break up with Inuyasha...\Hey, listen to me!\Did you know? They call you the rough, two-timing, jealous boyfriend!\What?! Why?! response:	Next on Inuyasha: The 50 Year-Old Curse of the Dark Priestess
