context: In the year 845... response:	the Colossal and Armored Titans
context: are those who rank in the final top ten.\The only ones who take this seriously\are either people like you, who do whatever they're told,\or real idiots.\Crap, the instructor...\For whatever reason,\the better equipped you are to fight Titans,\the farther you're assigned from them. response:	Where do you think this farce begins?
context: The only ones who take this seriously\are either people like you, who do whatever they're told,\or real idiots.\Crap, the instructor...\For whatever reason,\the better equipped you are to fight Titans,\the farther you're assigned from them.\Where do you think this farce begins? response:	I don't know!
context: are either people like you, who do whatever they're told,\or real idiots.\Crap, the instructor...\For whatever reason,\the better equipped you are to fight Titans,\the farther you're assigned from them.\Where do you think this farce begins?\I don't know! response:	Isn't it because that is how humans really are?
context: or real idiots.\Crap, the instructor...\For whatever reason,\the better equipped you are to fight Titans,\the farther you're assigned from them.\Where do you think this farce begins?\I don't know!\Isn't it because that is how humans really are? response:	Anyway, I'm not stupid enough
context: Crap, the instructor...\For whatever reason,\the better equipped you are to fight Titans,\the farther you're assigned from them.\Where do you think this farce begins?\I don't know!\Isn't it because that is how humans really are?\Anyway, I'm not stupid enough response:	to enjoy playing soldiers in this shitty world.
context: For whatever reason,\the better equipped you are to fight Titans,\the farther you're assigned from them.\Where do you think this farce begins?\I don't know!\Isn't it because that is how humans really are?\Anyway, I'm not stupid enough\to enjoy playing soldiers in this shitty world. response:	You aren't cut out to be a soldier at all.
context: the better equipped you are to fight Titans,\the farther you're assigned from them.\Where do you think this farce begins?\I don't know!\Isn't it because that is how humans really are?\Anyway, I'm not stupid enough\to enjoy playing soldiers in this shitty world.\You aren't cut out to be a soldier at all. response:	I was so focused on getting stronger, I never even realized...
context: the farther you're assigned from them.\Where do you think this farce begins?\I don't know!\Isn't it because that is how humans really are?\Anyway, I'm not stupid enough\to enjoy playing soldiers in this shitty world.\You aren't cut out to be a soldier at all.\I was so focused on getting stronger, I never even realized... response:	such an obvious contradiction.
context: Where do you think this farce begins?\I don't know!\Isn't it because that is how humans really are?\Anyway, I'm not stupid enough\to enjoy playing soldiers in this shitty world.\You aren't cut out to be a soldier at all.\I was so focused on getting stronger, I never even realized...\such an obvious contradiction. response:	They're honing their Titan-killing skills
context: I don't know!\Isn't it because that is how humans really are?\Anyway, I'm not stupid enough\to enjoy playing soldiers in this shitty world.\You aren't cut out to be a soldier at all.\I was so focused on getting stronger, I never even realized...\such an obvious contradiction.\They're honing their Titan-killing skills response:	so that they'll never need to fight them.
context: Isn't it because that is how humans really are?\Anyway, I'm not stupid enough\to enjoy playing soldiers in this shitty world.\You aren't cut out to be a soldier at all.\I was so focused on getting stronger, I never even realized...\such an obvious contradiction.\They're honing their Titan-killing skills\so that they'll never need to fight them. response:	That can't be helped.
context: Anyway, I'm not stupid enough\to enjoy playing soldiers in this shitty world.\You aren't cut out to be a soldier at all.\I was so focused on getting stronger, I never even realized...\such an obvious contradiction.\They're honing their Titan-killing skills\so that they'll never need to fight them.\That can't be helped. response:	Before Wall Maria fell,
context: to enjoy playing soldiers in this shitty world.\You aren't cut out to be a soldier at all.\I was so focused on getting stronger, I never even realized...\such an obvious contradiction.\They're honing their Titan-killing skills\so that they'll never need to fight them.\That can't be helped.\Before Wall Maria fell, response:	only the few in the Survey Corps needed to know how to use Maneuver Gear.
context: You aren't cut out to be a soldier at all.\I was so focused on getting stronger, I never even realized...\such an obvious contradiction.\They're honing their Titan-killing skills\so that they'll never need to fight them.\That can't be helped.\Before Wall Maria fell,\only the few in the Survey Corps needed to know how to use Maneuver Gear. response:	To save the knowledge base from decline,
context: I was so focused on getting stronger, I never even realized...\such an obvious contradiction.\They're honing their Titan-killing skills\so that they'll never need to fight them.\That can't be helped.\Before Wall Maria fell,\only the few in the Survey Corps needed to know how to use Maneuver Gear.\To save the knowledge base from decline, response:	Just give it one strong blast.
context: such an obvious contradiction.\They're honing their Titan-killing skills\so that they'll never need to fight them.\That can't be helped.\Before Wall Maria fell,\only the few in the Survey Corps needed to know how to use Maneuver Gear.\To save the knowledge base from decline,\Just give it one strong blast. response:	they used the Interior to motivate...
context: They're honing their Titan-killing skills\so that they'll never need to fight them.\That can't be helped.\Before Wall Maria fell,\only the few in the Survey Corps needed to know how to use Maneuver Gear.\To save the knowledge base from decline,\Just give it one strong blast.\they used the Interior to motivate... response:	Use the generated momentum, and you'll conserve fuel.
context: so that they'll never need to fight them.\That can't be helped.\Before Wall Maria fell,\only the few in the Survey Corps needed to know how to use Maneuver Gear.\To save the knowledge base from decline,\Just give it one strong blast.\they used the Interior to motivate...\Use the generated momentum, and you'll conserve fuel. response:	You make it sound so easy.
context: That can't be helped.\Before Wall Maria fell,\only the few in the Survey Corps needed to know how to use Maneuver Gear.\To save the knowledge base from decline,\Just give it one strong blast.\they used the Interior to motivate...\Use the generated momentum, and you'll conserve fuel.\You make it sound so easy. response:	Well, I guess not everyone can do it...
context: Before Wall Maria fell,\only the few in the Survey Corps needed to know how to use Maneuver Gear.\To save the knowledge base from decline,\Just give it one strong blast.\they used the Interior to motivate...\Use the generated momentum, and you'll conserve fuel.\You make it sound so easy.\Well, I guess not everyone can do it... response:	But it's worth remembering.
context: only the few in the Survey Corps needed to know how to use Maneuver Gear.\To save the knowledge base from decline,\Just give it one strong blast.\they used the Interior to motivate...\Use the generated momentum, and you'll conserve fuel.\You make it sound so easy.\Well, I guess not everyone can do it...\But it's worth remembering. response:	If you want to join the Military Police, anyway.
context: To save the knowledge base from decline,\Just give it one strong blast.\they used the Interior to motivate...\Use the generated momentum, and you'll conserve fuel.\You make it sound so easy.\Well, I guess not everyone can do it...\But it's worth remembering.\If you want to join the Military Police, anyway. response:	Yeah, I hope I can get in...
context: Just give it one strong blast.\they used the Interior to motivate...\Use the generated momentum, and you'll conserve fuel.\You make it sound so easy.\Well, I guess not everyone can do it...\But it's worth remembering.\If you want to join the Military Police, anyway.\Yeah, I hope I can get in... response:	I can't imagine a greater honor than serving near the King.
context: they used the Interior to motivate...\Use the generated momentum, and you'll conserve fuel.\You make it sound so easy.\Well, I guess not everyone can do it...\But it's worth remembering.\If you want to join the Military Police, anyway.\Yeah, I hope I can get in...\I can't imagine a greater honor than serving near the King. response:	Hey, Marco.
context: Use the generated momentum, and you'll conserve fuel.\You make it sound so easy.\Well, I guess not everyone can do it...\But it's worth remembering.\If you want to join the Military Police, anyway.\Yeah, I hope I can get in...\I can't imagine a greater honor than serving near the King.\Hey, Marco. response:	Cut the noble act and tell the truth!
context: You make it sound so easy.\Well, I guess not everyone can do it...\But it's worth remembering.\If you want to join the Military Police, anyway.\Yeah, I hope I can get in...\I can't imagine a greater honor than serving near the King.\Hey, Marco.\Cut the noble act and tell the truth! response:	You want to join the Military Police
context: Well, I guess not everyone can do it...\But it's worth remembering.\If you want to join the Military Police, anyway.\Yeah, I hope I can get in...\I can't imagine a greater honor than serving near the King.\Hey, Marco.\Cut the noble act and tell the truth!\You want to join the Military Police response:	because life deep inside the walls is soft and easy.
context: But it's worth remembering.\If you want to join the Military Police, anyway.\Yeah, I hope I can get in...\I can't imagine a greater honor than serving near the King.\Hey, Marco.\Cut the noble act and tell the truth!\You want to join the Military Police\because life deep inside the walls is soft and easy. response:	No! I really think that...
context: If you want to join the Military Police, anyway.\Yeah, I hope I can get in...\I can't imagine a greater honor than serving near the King.\Hey, Marco.\Cut the noble act and tell the truth!\You want to join the Military Police\because life deep inside the walls is soft and easy.\No! I really think that... response:	An easy life, deep inside the walls?
context: Yeah, I hope I can get in...\I can't imagine a greater honor than serving near the King.\Hey, Marco.\Cut the noble act and tell the truth!\You want to join the Military Police\because life deep inside the walls is soft and easy.\No! I really think that...\An easy life, deep inside the walls? response:	Until five years ago, this was considered deep inside the walls.
context: I can't imagine a greater honor than serving near the King.\Hey, Marco.\Cut the noble act and tell the truth!\You want to join the Military Police\because life deep inside the walls is soft and easy.\No! I really think that...\An easy life, deep inside the walls?\Until five years ago, this was considered deep inside the walls. response:	What's your point, Eren?
context: Hey, Marco.\Cut the noble act and tell the truth!\You want to join the Military Police\because life deep inside the walls is soft and easy.\No! I really think that...\An easy life, deep inside the walls?\Until five years ago, this was considered deep inside the walls.\What's your point, Eren? response:	You don't need to go to the Interior.
context: Cut the noble act and tell the truth!\You want to join the Military Police\because life deep inside the walls is soft and easy.\No! I really think that...\An easy life, deep inside the walls?\Until five years ago, this was considered deep inside the walls.\What's your point, Eren?\You don't need to go to the Interior. response:	You've gone soft enough in your own head.
context: You want to join the Military Police\because life deep inside the walls is soft and easy.\No! I really think that...\An easy life, deep inside the walls?\Until five years ago, this was considered deep inside the walls.\What's your point, Eren?\You don't need to go to the Interior.\You've gone soft enough in your own head. response:	You...
context: because life deep inside the walls is soft and easy.\No! I really think that...\An easy life, deep inside the walls?\Until five years ago, this was considered deep inside the walls.\What's your point, Eren?\You don't need to go to the Interior.\You've gone soft enough in your own head.\You... response:	Don't you think it's strange
context: No! I really think that...\An easy life, deep inside the walls?\Until five years ago, this was considered deep inside the walls.\What's your point, Eren?\You don't need to go to the Interior.\You've gone soft enough in your own head.\You...\Don't you think it's strange response:	that we're training to fight Titans, just to end up farther from them?
context: An easy life, deep inside the walls?\Until five years ago, this was considered deep inside the walls.\What's your point, Eren?\You don't need to go to the Interior.\You've gone soft enough in your own head.\You...\Don't you think it's strange\that we're training to fight Titans, just to end up farther from them? response:	Who cares?
context: Until five years ago, this was considered deep inside the walls.\What's your point, Eren?\You don't need to go to the Interior.\You've gone soft enough in your own head.\You...\Don't you think it's strange\that we're training to fight Titans, just to end up farther from them?\Who cares? response:	For my own sake, I hope they keep this stupid system.
context: What's your point, Eren?\You don't need to go to the Interior.\You've gone soft enough in your own head.\You...\Don't you think it's strange\that we're training to fight Titans, just to end up farther from them?\Who cares?\For my own sake, I hope they keep this stupid system. response:	You piece of shit!
context: You don't need to go to the Interior.\You've gone soft enough in your own head.\You...\Don't you think it's strange\that we're training to fight Titans, just to end up farther from them?\Who cares?\For my own sake, I hope they keep this stupid system.\You piece of shit! response:	Shut up! This is reality.
context: You've gone soft enough in your own head.\You...\Don't you think it's strange\that we're training to fight Titans, just to end up farther from them?\Who cares?\For my own sake, I hope they keep this stupid system.\You piece of shit!\Shut up! This is reality. response:	Stop it, Eren.
context: You...\Don't you think it's strange\that we're training to fight Titans, just to end up farther from them?\Who cares?\For my own sake, I hope they keep this stupid system.\You piece of shit!\Shut up! This is reality.\Stop it, Eren. response:	Stop.
context: Don't you think it's strange\that we're training to fight Titans, just to end up farther from them?\Who cares?\For my own sake, I hope they keep this stupid system.\You piece of shit!\Shut up! This is reality.\Stop it, Eren.\Stop. response:	Screw you!
context: that we're training to fight Titans, just to end up farther from them?\Who cares?\For my own sake, I hope they keep this stupid system.\You piece of shit!\Shut up! This is reality.\Stop it, Eren.\Stop.\Screw you! response:	Let go! My clothes will rip!
context: Who cares?\For my own sake, I hope they keep this stupid system.\You piece of shit!\Shut up! This is reality.\Stop it, Eren.\Stop.\Screw you!\Let go! My clothes will rip! response:	Who cares about your clothes?!
context: For my own sake, I hope they keep this stupid system.\You piece of shit!\Shut up! This is reality.\Stop it, Eren.\Stop.\Screw you!\Let go! My clothes will rip!\Who cares about your clothes?! response:	I'm so envious!
context: You piece of shit!\Shut up! This is reality.\Stop it, Eren.\Stop.\Screw you!\Let go! My clothes will rip!\Who cares about your clothes?!\I'm so envious! response:	What are you talking about?
context: Shut up! This is reality.\Stop it, Eren.\Stop.\Screw you!\Let go! My clothes will rip!\Who cares about your clothes?!\I'm so envious!\What are you talking about? response:	That's right, he...
context: Stop it, Eren.\Stop.\Screw you!\Let go! My clothes will rip!\Who cares about your clothes?!\I'm so envious!\What are you talking about?\That's right, he... response:	A ranting idiot with no control.
context: Stop.\Screw you!\Let go! My clothes will rip!\Who cares about your clothes?!\I'm so envious!\What are you talking about?\That's right, he...\A ranting idiot with no control. response:	But I'm different now.
context: Screw you!\Let go! My clothes will rip!\Who cares about your clothes?!\I'm so envious!\What are you talking about?\That's right, he...\A ranting idiot with no control.\But I'm different now. response:	I'll use what I've learned to handle this situation.
context: Let go! My clothes will rip!\Who cares about your clothes?!\I'm so envious!\What are you talking about?\That's right, he...\A ranting idiot with no control.\But I'm different now.\I'll use what I've learned to handle this situation. response:	What the hell was that?
context: Who cares about your clothes?!\I'm so envious!\What are you talking about?\That's right, he...\A ranting idiot with no control.\But I'm different now.\I'll use what I've learned to handle this situation.\What the hell was that? response:	The martial arts I went through a world of hurt to learn while you were screwing around.
context: I'm so envious!\What are you talking about?\That's right, he...\A ranting idiot with no control.\But I'm different now.\I'll use what I've learned to handle this situation.\What the hell was that?\The martial arts I went through a world of hurt to learn while you were screwing around. response:	You think taking the easy way out, doing as you please, is reality?
context: What are you talking about?\That's right, he...\A ranting idiot with no control.\But I'm different now.\I'll use what I've learned to handle this situation.\What the hell was that?\The martial arts I went through a world of hurt to learn while you were screwing around.\You think taking the easy way out, doing as you please, is reality? response:	And you can call yourself
context: That's right, he...\A ranting idiot with no control.\But I'm different now.\I'll use what I've learned to handle this situation.\What the hell was that?\The martial arts I went through a world of hurt to learn while you were screwing around.\You think taking the easy way out, doing as you please, is reality?\And you can call yourself response:	a soldier?
context: A ranting idiot with no control.\But I'm different now.\I'll use what I've learned to handle this situation.\What the hell was that?\The martial arts I went through a world of hurt to learn while you were screwing around.\You think taking the easy way out, doing as you please, is reality?\And you can call yourself\a soldier? response:	I heard quite a commotion.
context: But I'm different now.\I'll use what I've learned to handle this situation.\What the hell was that?\The martial arts I went through a world of hurt to learn while you were screwing around.\You think taking the easy way out, doing as you please, is reality?\And you can call yourself\a soldier?\I heard quite a commotion. response:	Would someone like to explain?
context: I'll use what I've learned to handle this situation.\What the hell was that?\The martial arts I went through a world of hurt to learn while you were screwing around.\You think taking the easy way out, doing as you please, is reality?\And you can call yourself\a soldier?\I heard quite a commotion.\Would someone like to explain? response:	That sound was Sasha's fart.
context: What the hell was that?\The martial arts I went through a world of hurt to learn while you were screwing around.\You think taking the easy way out, doing as you please, is reality?\And you can call yourself\a soldier?\I heard quite a commotion.\Would someone like to explain?\That sound was Sasha's fart. response:	Huh?!
context: The martial arts I went through a world of hurt to learn while you were screwing around.\You think taking the easy way out, doing as you please, is reality?\And you can call yourself\a soldier?\I heard quite a commotion.\Would someone like to explain?\That sound was Sasha's fart.\Huh?! response:	You again?
context: You think taking the easy way out, doing as you please, is reality?\And you can call yourself\a soldier?\I heard quite a commotion.\Would someone like to explain?\That sound was Sasha's fart.\Huh?!\You again? response:	Learn to control yourself.
context: And you can call yourself\a soldier?\I heard quite a commotion.\Would someone like to explain?\That sound was Sasha's fart.\Huh?!\You again?\Learn to control yourself. response:	In the end, two hundred and eighteen trainees managed to hang on till graduation.
context: a soldier?\I heard quite a commotion.\Would someone like to explain?\That sound was Sasha's fart.\Huh?!\You again?\Learn to control yourself.\In the end, two hundred and eighteen trainees managed to hang on till graduation. response:	Dedicate your hearts!
context: I heard quite a commotion.\Would someone like to explain?\That sound was Sasha's fart.\Huh?!\You again?\Learn to control yourself.\In the end, two hundred and eighteen trainees managed to hang on till graduation.\Dedicate your hearts! response:	Today, you trainee graduates will be given three choices.
context: Would someone like to explain?\That sound was Sasha's fart.\Huh?!\You again?\Learn to control yourself.\In the end, two hundred and eighteen trainees managed to hang on till graduation.\Dedicate your hearts!\Today, you trainee graduates will be given three choices. response:	You can join the Garrison, protecting towns and reinforcing the walls.
context: That sound was Sasha's fart.\Huh?!\You again?\Learn to control yourself.\In the end, two hundred and eighteen trainees managed to hang on till graduation.\Dedicate your hearts!\Today, you trainee graduates will be given three choices.\You can join the Garrison, protecting towns and reinforcing the walls. response:	Or the Survey Corps, who risk their lives beyond the walls, in Titan territory.
context: Huh?!\You again?\Learn to control yourself.\In the end, two hundred and eighteen trainees managed to hang on till graduation.\Dedicate your hearts!\Today, you trainee graduates will be given three choices.\You can join the Garrison, protecting towns and reinforcing the walls.\Or the Survey Corps, who risk their lives beyond the walls, in Titan territory. response:	Or the Military Police, who serve the King, lead the people, and protect internal order.
context: You again?\Learn to control yourself.\In the end, two hundred and eighteen trainees managed to hang on till graduation.\Dedicate your hearts!\Today, you trainee graduates will be given three choices.\You can join the Garrison, protecting towns and reinforcing the walls.\Or the Survey Corps, who risk their lives beyond the walls, in Titan territory.\Or the Military Police, who serve the King, lead the people, and protect internal order. response:	Of course, only the top ten students,
context: Learn to control yourself.\In the end, two hundred and eighteen trainees managed to hang on till graduation.\Dedicate your hearts!\Today, you trainee graduates will be given three choices.\You can join the Garrison, protecting towns and reinforcing the walls.\Or the Survey Corps, who risk their lives beyond the walls, in Titan territory.\Or the Military Police, who serve the King, lead the people, and protect internal order.\Of course, only the top ten students, response:	whose names were just announced can join the Military Police.
context: In the end, two hundred and eighteen trainees managed to hang on till graduation.\Dedicate your hearts!\Today, you trainee graduates will be given three choices.\You can join the Garrison, protecting towns and reinforcing the walls.\Or the Survey Corps, who risk their lives beyond the walls, in Titan territory.\Or the Military Police, who serve the King, lead the people, and protect internal order.\Of course, only the top ten students,\whose names were just announced can join the Military Police. response:	I finally made it this far.
context: Dedicate your hearts!\Today, you trainee graduates will be given three choices.\You can join the Garrison, protecting towns and reinforcing the walls.\Or the Survey Corps, who risk their lives beyond the walls, in Titan territory.\Or the Military Police, who serve the King, lead the people, and protect internal order.\Of course, only the top ten students,\whose names were just announced can join the Military Police.\I finally made it this far. response:	Now it's our turn
context: Today, you trainee graduates will be given three choices.\You can join the Garrison, protecting towns and reinforcing the walls.\Or the Survey Corps, who risk their lives beyond the walls, in Titan territory.\Or the Military Police, who serve the King, lead the people, and protect internal order.\Of course, only the top ten students,\whose names were just announced can join the Military Police.\I finally made it this far.\Now it's our turn response:	to devour the Titans!
context: You can join the Garrison, protecting towns and reinforcing the walls.\Or the Survey Corps, who risk their lives beyond the walls, in Titan territory.\Or the Military Police, who serve the King, lead the people, and protect internal order.\Of course, only the top ten students,\whose names were just announced can join the Military Police.\I finally made it this far.\Now it's our turn\to devour the Titans! response:	Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 10) Krista Lenz 9) Sasha Blause 8) Connie Springer 7) Marco Bott 6) Jean Kirschstein
context: Or the Survey Corps, who risk their lives beyond the walls, in Titan territory.\Or the Military Police, who serve the King, lead the people, and protect internal order.\Of course, only the top ten students,\whose names were just announced can join the Military Police.\I finally made it this far.\Now it's our turn\to devour the Titans!\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 10) Krista Lenz 9) Sasha Blause 8) Connie Springer 7) Marco Bott 6) Jean Kirschstein response:	Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 5) Eren Jaeger 4) Annie Leonhart 3) Bertolt Hoover 2) Reiner Braun 1) Mikasa Ackerman
context: Or the Military Police, who serve the King, lead the people, and protect internal order.\Of course, only the top ten students,\whose names were just announced can join the Military Police.\I finally made it this far.\Now it's our turn\to devour the Titans!\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 10) Krista Lenz 9) Sasha Blause 8) Connie Springer 7) Marco Bott 6) Jean Kirschstein\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 5) Eren Jaeger 4) Annie Leonhart 3) Bertolt Hoover 2) Reiner Braun 1) Mikasa Ackerman response:	I did it!
context: Of course, only the top ten students,\whose names were just announced can join the Military Police.\I finally made it this far.\Now it's our turn\to devour the Titans!\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 10) Krista Lenz 9) Sasha Blause 8) Connie Springer 7) Marco Bott 6) Jean Kirschstein\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 5) Eren Jaeger 4) Annie Leonhart 3) Bertolt Hoover 2) Reiner Braun 1) Mikasa Ackerman\I did it! response:	I'm joining the Military Police!
context: whose names were just announced can join the Military Police.\I finally made it this far.\Now it's our turn\to devour the Titans!\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 10) Krista Lenz 9) Sasha Blause 8) Connie Springer 7) Marco Bott 6) Jean Kirschstein\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 5) Eren Jaeger 4) Annie Leonhart 3) Bertolt Hoover 2) Reiner Braun 1) Mikasa Ackerman\I did it!\I'm joining the Military Police! response:	We won't go hungry anymore!
context: I finally made it this far.\Now it's our turn\to devour the Titans!\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 10) Krista Lenz 9) Sasha Blause 8) Connie Springer 7) Marco Bott 6) Jean Kirschstein\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 5) Eren Jaeger 4) Annie Leonhart 3) Bertolt Hoover 2) Reiner Braun 1) Mikasa Ackerman\I did it!\I'm joining the Military Police!\We won't go hungry anymore! response:	How did I score lower than Eren?
context: Now it's our turn\to devour the Titans!\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 10) Krista Lenz 9) Sasha Blause 8) Connie Springer 7) Marco Bott 6) Jean Kirschstein\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 5) Eren Jaeger 4) Annie Leonhart 3) Bertolt Hoover 2) Reiner Braun 1) Mikasa Ackerman\I did it!\I'm joining the Military Police!\We won't go hungry anymore!\How did I score lower than Eren? response:	Damn it!
context: to devour the Titans!\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 10) Krista Lenz 9) Sasha Blause 8) Connie Springer 7) Marco Bott 6) Jean Kirschstein\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 5) Eren Jaeger 4) Annie Leonhart 3) Bertolt Hoover 2) Reiner Braun 1) Mikasa Ackerman\I did it!\I'm joining the Military Police!\We won't go hungry anymore!\How did I score lower than Eren?\Damn it! response:	You seriously aren't joining the Military Police, Eren?
context: Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 10) Krista Lenz 9) Sasha Blause 8) Connie Springer 7) Marco Bott 6) Jean Kirschstein\Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 5) Eren Jaeger 4) Annie Leonhart 3) Bertolt Hoover 2) Reiner Braun 1) Mikasa Ackerman\I did it!\I'm joining the Military Police!\We won't go hungry anymore!\How did I score lower than Eren?\Damn it!\You seriously aren't joining the Military Police, Eren? response:	You did all that work to make the top ten.
context: Information We Can Share So Far: Top 10 Scores, 104th Trainee Corps 5) Eren Jaeger 4) Annie Leonhart 3) Bertolt Hoover 2) Reiner Braun 1) Mikasa Ackerman\I did it!\I'm joining the Military Police!\We won't go hungry anymore!\How did I score lower than Eren?\Damn it!\You seriously aren't joining the Military Police, Eren?\You did all that work to make the top ten. response:	I'd already decided when I began.
context: I did it!\I'm joining the Military Police!\We won't go hungry anymore!\How did I score lower than Eren?\Damn it!\You seriously aren't joining the Military Police, Eren?\You did all that work to make the top ten.\I'd already decided when I began. response:	I wasn't training to live in the Interior.
context: I'm joining the Military Police!\We won't go hungry anymore!\How did I score lower than Eren?\Damn it!\You seriously aren't joining the Military Police, Eren?\You did all that work to make the top ten.\I'd already decided when I began.\I wasn't training to live in the Interior. response:	I was training to fight Titans.
context: We won't go hungry anymore!\How did I score lower than Eren?\Damn it!\You seriously aren't joining the Military Police, Eren?\You did all that work to make the top ten.\I'd already decided when I began.\I wasn't training to live in the Interior.\I was training to fight Titans. response:	You'll never beat them!
context: How did I score lower than Eren?\Damn it!\You seriously aren't joining the Military Police, Eren?\You did all that work to make the top ten.\I'd already decided when I began.\I wasn't training to live in the Interior.\I was training to fight Titans.\You'll never beat them! response:	You do know how many
context: Damn it!\You seriously aren't joining the Military Police, Eren?\You did all that work to make the top ten.\I'd already decided when I began.\I wasn't training to live in the Interior.\I was training to fight Titans.\You'll never beat them!\You do know how many response:	tens of thousands have been eaten?
context: You seriously aren't joining the Military Police, Eren?\You did all that work to make the top ten.\I'd already decided when I began.\I wasn't training to live in the Interior.\I was training to fight Titans.\You'll never beat them!\You do know how many\tens of thousands have been eaten? response:	We lost over twenty percent of our population, so we know for sure.
context: You did all that work to make the top ten.\I'd already decided when I began.\I wasn't training to live in the Interior.\I was training to fight Titans.\You'll never beat them!\You do know how many\tens of thousands have been eaten?\We lost over twenty percent of our population, so we know for sure. response:	Humans cannot defeat Titans.
context: I'd already decided when I began.\I wasn't training to live in the Interior.\I was training to fight Titans.\You'll never beat them!\You do know how many\tens of thousands have been eaten?\We lost over twenty percent of our population, so we know for sure.\Humans cannot defeat Titans. response:	So?
context: I wasn't training to live in the Interior.\I was training to fight Titans.\You'll never beat them!\You do know how many\tens of thousands have been eaten?\We lost over twenty percent of our population, so we know for sure.\Humans cannot defeat Titans.\So? response:	If you think we can't win, you'll just give up?
context: I was training to fight Titans.\You'll never beat them!\You do know how many\tens of thousands have been eaten?\We lost over twenty percent of our population, so we know for sure.\Humans cannot defeat Titans.\So?\If you think we can't win, you'll just give up? response:	Well...
context: You'll never beat them!\You do know how many\tens of thousands have been eaten?\We lost over twenty percent of our population, so we know for sure.\Humans cannot defeat Titans.\So?\If you think we can't win, you'll just give up?\Well... response:	It's true that humanity has only suffered defeat until now.
context: You do know how many\tens of thousands have been eaten?\We lost over twenty percent of our population, so we know for sure.\Humans cannot defeat Titans.\So?\If you think we can't win, you'll just give up?\Well...\It's true that humanity has only suffered defeat until now. response:	But we didn't know anything about the Titans then.
context: tens of thousands have been eaten?\We lost over twenty percent of our population, so we know for sure.\Humans cannot defeat Titans.\So?\If you think we can't win, you'll just give up?\Well...\It's true that humanity has only suffered defeat until now.\But we didn't know anything about the Titans then. response:	Fighting them head-on is pointless.
context: We lost over twenty percent of our population, so we know for sure.\Humans cannot defeat Titans.\So?\If you think we can't win, you'll just give up?\Well...\It's true that humanity has only suffered defeat until now.\But we didn't know anything about the Titans then.\Fighting them head-on is pointless. response:	We did lose,
context: Humans cannot defeat Titans.\So?\If you think we can't win, you'll just give up?\Well...\It's true that humanity has only suffered defeat until now.\But we didn't know anything about the Titans then.\Fighting them head-on is pointless.\We did lose, response:	but the information we gained gives us hope for next time!
context: So?\If you think we can't win, you'll just give up?\Well...\It's true that humanity has only suffered defeat until now.\But we didn't know anything about the Titans then.\Fighting them head-on is pointless.\We did lose,\but the information we gained gives us hope for next time! response:	Will we abandon the tactics that cost tens of thousands of lives to develop,
context: If you think we can't win, you'll just give up?\Well...\It's true that humanity has only suffered defeat until now.\But we didn't know anything about the Titans then.\Fighting them head-on is pointless.\We did lose,\but the information we gained gives us hope for next time!\Will we abandon the tactics that cost tens of thousands of lives to develop, response:	and let the Titans eat us without a fight?
context: Well...\It's true that humanity has only suffered defeat until now.\But we didn't know anything about the Titans then.\Fighting them head-on is pointless.\We did lose,\but the information we gained gives us hope for next time!\Will we abandon the tactics that cost tens of thousands of lives to develop,\and let the Titans eat us without a fight? response:	Hell, no!
context: It's true that humanity has only suffered defeat until now.\But we didn't know anything about the Titans then.\Fighting them head-on is pointless.\We did lose,\but the information we gained gives us hope for next time!\Will we abandon the tactics that cost tens of thousands of lives to develop,\and let the Titans eat us without a fight?\Hell, no! response:	I am going to exterminate all of the Titans,
context: But we didn't know anything about the Titans then.\Fighting them head-on is pointless.\We did lose,\but the information we gained gives us hope for next time!\Will we abandon the tactics that cost tens of thousands of lives to develop,\and let the Titans eat us without a fight?\Hell, no!\I am going to exterminate all of the Titans, response:	and escape these cramped walls!
context: Fighting them head-on is pointless.\We did lose,\but the information we gained gives us hope for next time!\Will we abandon the tactics that cost tens of thousands of lives to develop,\and let the Titans eat us without a fight?\Hell, no!\I am going to exterminate all of the Titans,\and escape these cramped walls! response:	That is my dream...
context: We did lose,\but the information we gained gives us hope for next time!\Will we abandon the tactics that cost tens of thousands of lives to develop,\and let the Titans eat us without a fight?\Hell, no!\I am going to exterminate all of the Titans,\and escape these cramped walls!\That is my dream... response:	Humanity isn't finished yet!
