context: How many years has it been since I last stepped on this soil? response:	Oh, my God,
context: I'm going to roll them up even further by 10 cm.\Oh.\It's Stein-san. Marie-san's first love.\That was a long time ago.\Huh?\It's been a while!\Good afternoon.\Oh...! response:	She came!
context: Oh.\It's Stein-san. Marie-san's first love.\That was a long time ago.\Huh?\It's been a while!\Good afternoon.\Oh...!\She came! response:	The King of Counsel Chairmen!
context: It's Stein-san. Marie-san's first love.\That was a long time ago.\Huh?\It's been a while!\Good afternoon.\Oh...!\She came!\The King of Counsel Chairmen! response:	She was pretty annoying back then, huh?
context: That was a long time ago.\Huh?\It's been a while!\Good afternoon.\Oh...!\She came!\The King of Counsel Chairmen!\She was pretty annoying back then, huh? response:	Every time I wanted to cut up a random passerby, she would fuss about it.
context: Huh?\It's been a while!\Good afternoon.\Oh...!\She came!\The King of Counsel Chairmen!\She was pretty annoying back then, huh?\Every time I wanted to cut up a random passerby, she would fuss about it. response:	Well, she should have.
context: It's been a while!\Good afternoon.\Oh...!\She came!\The King of Counsel Chairmen!\She was pretty annoying back then, huh?\Every time I wanted to cut up a random passerby, she would fuss about it.\Well, she should have. response:	Isn't the Kishin's resurrection your fault, Senpai?
context: Good afternoon.\Oh...!\She came!\The King of Counsel Chairmen!\She was pretty annoying back then, huh?\Every time I wanted to cut up a random passerby, she would fuss about it.\Well, she should have.\Isn't the Kishin's resurrection your fault, Senpai? response:	N-No, stop that! Don't say that in front of Shinigami-sama!
context: Oh...!\She came!\The King of Counsel Chairmen!\She was pretty annoying back then, huh?\Every time I wanted to cut up a random passerby, she would fuss about it.\Well, she should have.\Isn't the Kishin's resurrection your fault, Senpai?\N-No, stop that! Don't say that in front of Shinigami-sama! response:	What do you think?
context: She came!\The King of Counsel Chairmen!\She was pretty annoying back then, huh?\Every time I wanted to cut up a random passerby, she would fuss about it.\Well, she should have.\Isn't the Kishin's resurrection your fault, Senpai?\N-No, stop that! Don't say that in front of Shinigami-sama!\What do you think? response:	I'll just honestly say what I think is true.
context: The King of Counsel Chairmen!\She was pretty annoying back then, huh?\Every time I wanted to cut up a random passerby, she would fuss about it.\Well, she should have.\Isn't the Kishin's resurrection your fault, Senpai?\N-No, stop that! Don't say that in front of Shinigami-sama!\What do you think?\I'll just honestly say what I think is true. response:	Oh yeah, Marie.
context: She was pretty annoying back then, huh?\Every time I wanted to cut up a random passerby, she would fuss about it.\Well, she should have.\Isn't the Kishin's resurrection your fault, Senpai?\N-No, stop that! Don't say that in front of Shinigami-sama!\What do you think?\I'll just honestly say what I think is true.\Oh yeah, Marie. response:	Didn't you say you would immediately retire after becoming a Death Scythe?
context: Every time I wanted to cut up a random passerby, she would fuss about it.\Well, she should have.\Isn't the Kishin's resurrection your fault, Senpai?\N-No, stop that! Don't say that in front of Shinigami-sama!\What do you think?\I'll just honestly say what I think is true.\Oh yeah, Marie.\Didn't you say you would immediately retire after becoming a Death Scythe? response:	Please, stop saying that...
context: Well, she should have.\Isn't the Kishin's resurrection your fault, Senpai?\N-No, stop that! Don't say that in front of Shinigami-sama!\What do you think?\I'll just honestly say what I think is true.\Oh yeah, Marie.\Didn't you say you would immediately retire after becoming a Death Scythe?\Please, stop saying that... response:	Okay!
context: Isn't the Kishin's resurrection your fault, Senpai?\N-No, stop that! Don't say that in front of Shinigami-sama!\What do you think?\I'll just honestly say what I think is true.\Oh yeah, Marie.\Didn't you say you would immediately retire after becoming a Death Scythe?\Please, stop saying that...\Okay! response:	Stop murmuring amongst yourselves. Shinigami-sama's waiting for us.
context: N-No, stop that! Don't say that in front of Shinigami-sama!\What do you think?\I'll just honestly say what I think is true.\Oh yeah, Marie.\Didn't you say you would immediately retire after becoming a Death Scythe?\Please, stop saying that...\Okay!\Stop murmuring amongst yourselves. Shinigami-sama's waiting for us. response:	Line up!
context: What do you think?\I'll just honestly say what I think is true.\Oh yeah, Marie.\Didn't you say you would immediately retire after becoming a Death Scythe?\Please, stop saying that...\Okay!\Stop murmuring amongst yourselves. Shinigami-sama's waiting for us.\Line up! response:	Face forward!
context: I'll just honestly say what I think is true.\Oh yeah, Marie.\Didn't you say you would immediately retire after becoming a Death Scythe?\Please, stop saying that...\Okay!\Stop murmuring amongst yourselves. Shinigami-sama's waiting for us.\Line up!\Face forward! response:	She's still the same...
context: Oh yeah, Marie.\Didn't you say you would immediately retire after becoming a Death Scythe?\Please, stop saying that...\Okay!\Stop murmuring amongst yourselves. Shinigami-sama's waiting for us.\Line up!\Face forward!\She's still the same... response:	Oh! God!
context: Didn't you say you would immediately retire after becoming a Death Scythe?\Please, stop saying that...\Okay!\Stop murmuring amongst yourselves. Shinigami-sama's waiting for us.\Line up!\Face forward!\She's still the same...\Oh! God! response:	Why won't you say anything to me?
context: Please, stop saying that...\Okay!\Stop murmuring amongst yourselves. Shinigami-sama's waiting for us.\Line up!\Face forward!\She's still the same...\Oh! God!\Why won't you say anything to me? response:	Well...
context: Okay!\Stop murmuring amongst yourselves. Shinigami-sama's waiting for us.\Line up!\Face forward!\She's still the same...\Oh! God!\Why won't you say anything to me?\Well... response:	Ah... How can this be?
context: Stop murmuring amongst yourselves. Shinigami-sama's waiting for us.\Line up!\Face forward!\She's still the same...\Oh! God!\Why won't you say anything to me?\Well...\Ah... How can this be? response:	I can't hear your voice!
context: Line up!\Face forward!\She's still the same...\Oh! God!\Why won't you say anything to me?\Well...\Ah... How can this be?\I can't hear your voice! response:	No... that's because...
context: Face forward!\She's still the same...\Oh! God!\Why won't you say anything to me?\Well...\Ah... How can this be?\I can't hear your voice!\No... that's because... response:	No... that's because...
context: She's still the same...\Oh! God!\Why won't you say anything to me?\Well...\Ah... How can this be?\I can't hear your voice!\No... that's because...\No... that's because... response:	Take your earphones off!
context: Oh! God!\Why won't you say anything to me?\Well...\Ah... How can this be?\I can't hear your voice!\No... that's because...\No... that's because...\Take your earphones off! response:	It's been a long time.
context: Why won't you say anything to me?\Well...\Ah... How can this be?\I can't hear your voice!\No... that's because...\No... that's because...\Take your earphones off!\It's been a long time. response:	I, Justin, am in your command.
context: Well...\Ah... How can this be?\I can't hear your voice!\No... that's because...\No... that's because...\Take your earphones off!\It's been a long time.\I, Justin, am in your command. response:	Hello! And thank you for journeying all the way here!
context: Ah... How can this be?\I can't hear your voice!\No... that's because...\No... that's because...\Take your earphones off!\It's been a long time.\I, Justin, am in your command.\Hello! And thank you for journeying all the way here! response:	Well, I think everyone knows the reason why I gathered you all in Shibusen.
context: I can't hear your voice!\No... that's because...\No... that's because...\Take your earphones off!\It's been a long time.\I, Justin, am in your command.\Hello! And thank you for journeying all the way here!\Well, I think everyone knows the reason why I gathered you all in Shibusen. response:	Don't transfer me! Don't transfer me!
context: No... that's because...\No... that's because...\Take your earphones off!\It's been a long time.\I, Justin, am in your command.\Hello! And thank you for journeying all the way here!\Well, I think everyone knows the reason why I gathered you all in Shibusen.\Don't transfer me! Don't transfer me! response:	Don't transfer me! Don't transfer me!
context: No... that's because...\Take your earphones off!\It's been a long time.\I, Justin, am in your command.\Hello! And thank you for journeying all the way here!\Well, I think everyone knows the reason why I gathered you all in Shibusen.\Don't transfer me! Don't transfer me!\Don't transfer me! Don't transfer me! response:	The Kishin Asura's resurrection.
context: Take your earphones off!\It's been a long time.\I, Justin, am in your command.\Hello! And thank you for journeying all the way here!\Well, I think everyone knows the reason why I gathered you all in Shibusen.\Don't transfer me! Don't transfer me!\Don't transfer me! Don't transfer me!\The Kishin Asura's resurrection. response:	We need to have a discussion on this.
context: It's been a long time.\I, Justin, am in your command.\Hello! And thank you for journeying all the way here!\Well, I think everyone knows the reason why I gathered you all in Shibusen.\Don't transfer me! Don't transfer me!\Don't transfer me! Don't transfer me!\The Kishin Asura's resurrection.\We need to have a discussion on this. response:	Even though Asura is completely insane, he's still a coward, so I don't think he will be active for a while.
context: I, Justin, am in your command.\Hello! And thank you for journeying all the way here!\Well, I think everyone knows the reason why I gathered you all in Shibusen.\Don't transfer me! Don't transfer me!\Don't transfer me! Don't transfer me!\The Kishin Asura's resurrection.\We need to have a discussion on this.\Even though Asura is completely insane, he's still a coward, so I don't think he will be active for a while. response:	So, the urgent matter is not to track Asura's movements,
context: Hello! And thank you for journeying all the way here!\Well, I think everyone knows the reason why I gathered you all in Shibusen.\Don't transfer me! Don't transfer me!\Don't transfer me! Don't transfer me!\The Kishin Asura's resurrection.\We need to have a discussion on this.\Even though Asura is completely insane, he's still a coward, so I don't think he will be active for a while.\So, the urgent matter is not to track Asura's movements, response:	Stein-kun, please explain the circumstances.
context: Well, I think everyone knows the reason why I gathered you all in Shibusen.\Don't transfer me! Don't transfer me!\Don't transfer me! Don't transfer me!\The Kishin Asura's resurrection.\We need to have a discussion on this.\Even though Asura is completely insane, he's still a coward, so I don't think he will be active for a while.\So, the urgent matter is not to track Asura's movements,\Stein-kun, please explain the circumstances. response:	Yes.
context: Don't transfer me! Don't transfer me!\Don't transfer me! Don't transfer me!\The Kishin Asura's resurrection.\We need to have a discussion on this.\Even though Asura is completely insane, he's still a coward, so I don't think he will be active for a while.\So, the urgent matter is not to track Asura's movements,\Stein-kun, please explain the circumstances.\Yes. response:	The Wavelength of Madness... Is it right to think of it as Asura's soul wavelength?
context: Don't transfer me! Don't transfer me!\The Kishin Asura's resurrection.\We need to have a discussion on this.\Even though Asura is completely insane, he's still a coward, so I don't think he will be active for a while.\So, the urgent matter is not to track Asura's movements,\Stein-kun, please explain the circumstances.\Yes.\The Wavelength of Madness... Is it right to think of it as Asura's soul wavelength? response:	Yes, that's right. But this wavelength is on the level of a god.
context: The Kishin Asura's resurrection.\We need to have a discussion on this.\Even though Asura is completely insane, he's still a coward, so I don't think he will be active for a while.\So, the urgent matter is not to track Asura's movements,\Stein-kun, please explain the circumstances.\Yes.\The Wavelength of Madness... Is it right to think of it as Asura's soul wavelength?\Yes, that's right. But this wavelength is on the level of a god. response:	What effect does this Wavelength of Madness have?
context: We need to have a discussion on this.\Even though Asura is completely insane, he's still a coward, so I don't think he will be active for a while.\So, the urgent matter is not to track Asura's movements,\Stein-kun, please explain the circumstances.\Yes.\The Wavelength of Madness... Is it right to think of it as Asura's soul wavelength?\Yes, that's right. But this wavelength is on the level of a god.\What effect does this Wavelength of Madness have? response:	Every human has a bit of madness within himself.
context: Even though Asura is completely insane, he's still a coward, so I don't think he will be active for a while.\So, the urgent matter is not to track Asura's movements,\Stein-kun, please explain the circumstances.\Yes.\The Wavelength of Madness... Is it right to think of it as Asura's soul wavelength?\Yes, that's right. But this wavelength is on the level of a god.\What effect does this Wavelength of Madness have?\Every human has a bit of madness within himself. response:	Especially me...
context: So, the urgent matter is not to track Asura's movements,\Stein-kun, please explain the circumstances.\Yes.\The Wavelength of Madness... Is it right to think of it as Asura's soul wavelength?\Yes, that's right. But this wavelength is on the level of a god.\What effect does this Wavelength of Madness have?\Every human has a bit of madness within himself.\Especially me... response:	Asura's Wavelength of Madness forces out the madness that resides within a human's soul.
context: Stein-kun, please explain the circumstances.\Yes.\The Wavelength of Madness... Is it right to think of it as Asura's soul wavelength?\Yes, that's right. But this wavelength is on the level of a god.\What effect does this Wavelength of Madness have?\Every human has a bit of madness within himself.\Especially me...\Asura's Wavelength of Madness forces out the madness that resides within a human's soul. response:	Madness is contagious.
context: Yes.\The Wavelength of Madness... Is it right to think of it as Asura's soul wavelength?\Yes, that's right. But this wavelength is on the level of a god.\What effect does this Wavelength of Madness have?\Every human has a bit of madness within himself.\Especially me...\Asura's Wavelength of Madness forces out the madness that resides within a human's soul.\Madness is contagious. response:	This is true.
context: The Wavelength of Madness... Is it right to think of it as Asura's soul wavelength?\Yes, that's right. But this wavelength is on the level of a god.\What effect does this Wavelength of Madness have?\Every human has a bit of madness within himself.\Especially me...\Asura's Wavelength of Madness forces out the madness that resides within a human's soul.\Madness is contagious.\This is true. response:	The moment that Asura resurrected, I felt it strongly.
context: Yes, that's right. But this wavelength is on the level of a god.\What effect does this Wavelength of Madness have?\Every human has a bit of madness within himself.\Especially me...\Asura's Wavelength of Madness forces out the madness that resides within a human's soul.\Madness is contagious.\This is true.\The moment that Asura resurrected, I felt it strongly. response:	The spreading of madness.
context: What effect does this Wavelength of Madness have?\Every human has a bit of madness within himself.\Especially me...\Asura's Wavelength of Madness forces out the madness that resides within a human's soul.\Madness is contagious.\This is true.\The moment that Asura resurrected, I felt it strongly.\The spreading of madness. response:	And you're saying anyone can be affected?
context: Every human has a bit of madness within himself.\Especially me...\Asura's Wavelength of Madness forces out the madness that resides within a human's soul.\Madness is contagious.\This is true.\The moment that Asura resurrected, I felt it strongly.\The spreading of madness.\And you're saying anyone can be affected? response:	No.
context: Especially me...\Asura's Wavelength of Madness forces out the madness that resides within a human's soul.\Madness is contagious.\This is true.\The moment that Asura resurrected, I felt it strongly.\The spreading of madness.\And you're saying anyone can be affected?\No. response:	I think that people like Justin-kun have a lower chance of being affected.
context: Asura's Wavelength of Madness forces out the madness that resides within a human's soul.\Madness is contagious.\This is true.\The moment that Asura resurrected, I felt it strongly.\The spreading of madness.\And you're saying anyone can be affected?\No.\I think that people like Justin-kun have a lower chance of being affected. response:	Also, I don't think there would be an outbreak of madness among ordinary humans.
context: Madness is contagious.\This is true.\The moment that Asura resurrected, I felt it strongly.\The spreading of madness.\And you're saying anyone can be affected?\No.\I think that people like Justin-kun have a lower chance of being affected.\Also, I don't think there would be an outbreak of madness among ordinary humans. response:	Then, what's the issue?
context: This is true.\The moment that Asura resurrected, I felt it strongly.\The spreading of madness.\And you're saying anyone can be affected?\No.\I think that people like Justin-kun have a lower chance of being affected.\Also, I don't think there would be an outbreak of madness among ordinary humans.\Then, what's the issue? response:	On evil people, they will power up.
context: The moment that Asura resurrected, I felt it strongly.\The spreading of madness.\And you're saying anyone can be affected?\No.\I think that people like Justin-kun have a lower chance of being affected.\Also, I don't think there would be an outbreak of madness among ordinary humans.\Then, what's the issue?\On evil people, they will power up. response:	That's right.
context: The spreading of madness.\And you're saying anyone can be affected?\No.\I think that people like Justin-kun have a lower chance of being affected.\Also, I don't think there would be an outbreak of madness among ordinary humans.\Then, what's the issue?\On evil people, they will power up.\That's right. response:	Looking at someone in the face while saying that it's unpleasant...
context: And you're saying anyone can be affected?\No.\I think that people like Justin-kun have a lower chance of being affected.\Also, I don't think there would be an outbreak of madness among ordinary humans.\Then, what's the issue?\On evil people, they will power up.\That's right.\Looking at someone in the face while saying that it's unpleasant... response:	Makes me want to cut you up all of a sudden...
context: No.\I think that people like Justin-kun have a lower chance of being affected.\Also, I don't think there would be an outbreak of madness among ordinary humans.\Then, what's the issue?\On evil people, they will power up.\That's right.\Looking at someone in the face while saying that it's unpleasant...\Makes me want to cut you up all of a sudden... response:	And...?
context: I think that people like Justin-kun have a lower chance of being affected.\Also, I don't think there would be an outbreak of madness among ordinary humans.\Then, what's the issue?\On evil people, they will power up.\That's right.\Looking at someone in the face while saying that it's unpleasant...\Makes me want to cut you up all of a sudden...\And...? response:	The Wavelength of Madness also causes sleeping witches to awaken.
context: Also, I don't think there would be an outbreak of madness among ordinary humans.\Then, what's the issue?\On evil people, they will power up.\That's right.\Looking at someone in the face while saying that it's unpleasant...\Makes me want to cut you up all of a sudden...\And...?\The Wavelength of Madness also causes sleeping witches to awaken. response:	And it doesn't just affect people either.
context: Then, what's the issue?\On evil people, they will power up.\That's right.\Looking at someone in the face while saying that it's unpleasant...\Makes me want to cut you up all of a sudden...\And...?\The Wavelength of Madness also causes sleeping witches to awaken.\And it doesn't just affect people either. response:	Natural catastrophes, abnormal weather and any terror you can think of.
context: On evil people, they will power up.\That's right.\Looking at someone in the face while saying that it's unpleasant...\Makes me want to cut you up all of a sudden...\And...?\The Wavelength of Madness also causes sleeping witches to awaken.\And it doesn't just affect people either.\Natural catastrophes, abnormal weather and any terror you can think of. response:	So dormant enemies will start to move?
context: That's right.\Looking at someone in the face while saying that it's unpleasant...\Makes me want to cut you up all of a sudden...\And...?\The Wavelength of Madness also causes sleeping witches to awaken.\And it doesn't just affect people either.\Natural catastrophes, abnormal weather and any terror you can think of.\So dormant enemies will start to move? response:	The situation became like this because of the mistakes of these two.
context: Looking at someone in the face while saying that it's unpleasant...\Makes me want to cut you up all of a sudden...\And...?\The Wavelength of Madness also causes sleeping witches to awaken.\And it doesn't just affect people either.\Natural catastrophes, abnormal weather and any terror you can think of.\So dormant enemies will start to move?\The situation became like this because of the mistakes of these two. response:	Shinigami-sama, how do you intend to correct this?
context: Makes me want to cut you up all of a sudden...\And...?\The Wavelength of Madness also causes sleeping witches to awaken.\And it doesn't just affect people either.\Natural catastrophes, abnormal weather and any terror you can think of.\So dormant enemies will start to move?\The situation became like this because of the mistakes of these two.\Shinigami-sama, how do you intend to correct this? response:	Y-You!
context: And...?\The Wavelength of Madness also causes sleeping witches to awaken.\And it doesn't just affect people either.\Natural catastrophes, abnormal weather and any terror you can think of.\So dormant enemies will start to move?\The situation became like this because of the mistakes of these two.\Shinigami-sama, how do you intend to correct this?\Y-You! response:	You're right...
context: The Wavelength of Madness also causes sleeping witches to awaken.\And it doesn't just affect people either.\Natural catastrophes, abnormal weather and any terror you can think of.\So dormant enemies will start to move?\The situation became like this because of the mistakes of these two.\Shinigami-sama, how do you intend to correct this?\Y-You!\You're right... response:	Don't transfer me! Anything but that!
context: And it doesn't just affect people either.\Natural catastrophes, abnormal weather and any terror you can think of.\So dormant enemies will start to move?\The situation became like this because of the mistakes of these two.\Shinigami-sama, how do you intend to correct this?\Y-You!\You're right...\Don't transfer me! Anything but that! response:	Actually, I was thinking of doing some reassignments.
context: Natural catastrophes, abnormal weather and any terror you can think of.\So dormant enemies will start to move?\The situation became like this because of the mistakes of these two.\Shinigami-sama, how do you intend to correct this?\Y-You!\You're right...\Don't transfer me! Anything but that!\Actually, I was thinking of doing some reassignments. response:	What?!
context: So dormant enemies will start to move?\The situation became like this because of the mistakes of these two.\Shinigami-sama, how do you intend to correct this?\Y-You!\You're right...\Don't transfer me! Anything but that!\Actually, I was thinking of doing some reassignments.\What?! response:	A happy life with my child...
context: The situation became like this because of the mistakes of these two.\Shinigami-sama, how do you intend to correct this?\Y-You!\You're right...\Don't transfer me! Anything but that!\Actually, I was thinking of doing some reassignments.\What?!\A happy life with my child... response:	I can't see it anymore... I can't see the future!
context: Shinigami-sama, how do you intend to correct this?\Y-You!\You're right...\Don't transfer me! Anything but that!\Actually, I was thinking of doing some reassignments.\What?!\A happy life with my child...\I can't see it anymore... I can't see the future! response:	I can't see it anymore... I can't see the future!
context: Y-You!\You're right...\Don't transfer me! Anything but that!\Actually, I was thinking of doing some reassignments.\What?!\A happy life with my child...\I can't see it anymore... I can't see the future!\I can't see it anymore... I can't see the future! response:	What do I tell Maka? I don't want to see Maka's sad face.
context: You're right...\Don't transfer me! Anything but that!\Actually, I was thinking of doing some reassignments.\What?!\A happy life with my child...\I can't see it anymore... I can't see the future!\I can't see it anymore... I can't see the future!\What do I tell Maka? I don't want to see Maka's sad face. response:	No, no.
context: Don't transfer me! Anything but that!\Actually, I was thinking of doing some reassignments.\What?!\A happy life with my child...\I can't see it anymore... I can't see the future!\I can't see it anymore... I can't see the future!\What do I tell Maka? I don't want to see Maka's sad face.\No, no. response:	Spirit-kun will continue to be my Weapon.
context: Actually, I was thinking of doing some reassignments.\What?!\A happy life with my child...\I can't see it anymore... I can't see the future!\I can't see it anymore... I can't see the future!\What do I tell Maka? I don't want to see Maka's sad face.\No, no.\Spirit-kun will continue to be my Weapon. response:	A guy like me? Is that okay?!
context: What?!\A happy life with my child...\I can't see it anymore... I can't see the future!\I can't see it anymore... I can't see the future!\What do I tell Maka? I don't want to see Maka's sad face.\No, no.\Spirit-kun will continue to be my Weapon.\A guy like me? Is that okay?! response:	Among the Death Scythes, only you can truly be called a Death Scythe.
context: A happy life with my child...\I can't see it anymore... I can't see the future!\I can't see it anymore... I can't see the future!\What do I tell Maka? I don't want to see Maka's sad face.\No, no.\Spirit-kun will continue to be my Weapon.\A guy like me? Is that okay?!\Among the Death Scythes, only you can truly be called a Death Scythe. response:	Be more proud of yourself.
context: I can't see it anymore... I can't see the future!\I can't see it anymore... I can't see the future!\What do I tell Maka? I don't want to see Maka's sad face.\No, no.\Spirit-kun will continue to be my Weapon.\A guy like me? Is that okay?!\Among the Death Scythes, only you can truly be called a Death Scythe.\Be more proud of yourself. response:	Oh, God, such benevolent words!
context: I can't see it anymore... I can't see the future!\What do I tell Maka? I don't want to see Maka's sad face.\No, no.\Spirit-kun will continue to be my Weapon.\A guy like me? Is that okay?!\Among the Death Scythes, only you can truly be called a Death Scythe.\Be more proud of yourself.\Oh, God, such benevolent words! response:	In exchange, though you were Stein-kun's Temporary Weapon and traveled freely,
context: What do I tell Maka? I don't want to see Maka's sad face.\No, no.\Spirit-kun will continue to be my Weapon.\A guy like me? Is that okay?!\Among the Death Scythes, only you can truly be called a Death Scythe.\Be more proud of yourself.\Oh, God, such benevolent words!\In exchange, though you were Stein-kun's Temporary Weapon and traveled freely, response:	With pleasure!
context: No, no.\Spirit-kun will continue to be my Weapon.\A guy like me? Is that okay?!\Among the Death Scythes, only you can truly be called a Death Scythe.\Be more proud of yourself.\Oh, God, such benevolent words!\In exchange, though you were Stein-kun's Temporary Weapon and traveled freely,\With pleasure! response:	Also, to strengthen Shibusen, I want to have another Death Scythe remain here.
context: Spirit-kun will continue to be my Weapon.\A guy like me? Is that okay?!\Among the Death Scythes, only you can truly be called a Death Scythe.\Be more proud of yourself.\Oh, God, such benevolent words!\In exchange, though you were Stein-kun's Temporary Weapon and traveled freely,\With pleasure!\Also, to strengthen Shibusen, I want to have another Death Scythe remain here. response:	Marie-chan, I want you to be Stein-kun's partner.
context: A guy like me? Is that okay?!\Among the Death Scythes, only you can truly be called a Death Scythe.\Be more proud of yourself.\Oh, God, such benevolent words!\In exchange, though you were Stein-kun's Temporary Weapon and traveled freely,\With pleasure!\Also, to strengthen Shibusen, I want to have another Death Scythe remain here.\Marie-chan, I want you to be Stein-kun's partner. response:	Huh? Me?
context: Among the Death Scythes, only you can truly be called a Death Scythe.\Be more proud of yourself.\Oh, God, such benevolent words!\In exchange, though you were Stein-kun's Temporary Weapon and traveled freely,\With pleasure!\Also, to strengthen Shibusen, I want to have another Death Scythe remain here.\Marie-chan, I want you to be Stein-kun's partner.\Huh? Me? response:	No way...
context: Be more proud of yourself.\Oh, God, such benevolent words!\In exchange, though you were Stein-kun's Temporary Weapon and traveled freely,\With pleasure!\Also, to strengthen Shibusen, I want to have another Death Scythe remain here.\Marie-chan, I want you to be Stein-kun's partner.\Huh? Me?\No way... response:	Please, wait! I don't feel like working!
context: Oh, God, such benevolent words!\In exchange, though you were Stein-kun's Temporary Weapon and traveled freely,\With pleasure!\Also, to strengthen Shibusen, I want to have another Death Scythe remain here.\Marie-chan, I want you to be Stein-kun's partner.\Huh? Me?\No way...\Please, wait! I don't feel like working! response:	I chose to be the representative of Oceania because I knew how peaceful it is working there.
context: In exchange, though you were Stein-kun's Temporary Weapon and traveled freely,\With pleasure!\Also, to strengthen Shibusen, I want to have another Death Scythe remain here.\Marie-chan, I want you to be Stein-kun's partner.\Huh? Me?\No way...\Please, wait! I don't feel like working!\I chose to be the representative of Oceania because I knew how peaceful it is working there. response:	If I work in Shibusen, I'll become so busy I'll never get married...
context: With pleasure!\Also, to strengthen Shibusen, I want to have another Death Scythe remain here.\Marie-chan, I want you to be Stein-kun's partner.\Huh? Me?\No way...\Please, wait! I don't feel like working!\I chose to be the representative of Oceania because I knew how peaceful it is working there.\If I work in Shibusen, I'll become so busy I'll never get married... response:	Don't worry.
context: Also, to strengthen Shibusen, I want to have another Death Scythe remain here.\Marie-chan, I want you to be Stein-kun's partner.\Huh? Me?\No way...\Please, wait! I don't feel like working!\I chose to be the representative of Oceania because I knew how peaceful it is working there.\If I work in Shibusen, I'll become so busy I'll never get married...\Don't worry. response:	You're the type of person that becomes enthusiastic after a while.
context: Marie-chan, I want you to be Stein-kun's partner.\Huh? Me?\No way...\Please, wait! I don't feel like working!\I chose to be the representative of Oceania because I knew how peaceful it is working there.\If I work in Shibusen, I'll become so busy I'll never get married...\Don't worry.\You're the type of person that becomes enthusiastic after a while. response:	Please, don't say that...
context: Huh? Me?\No way...\Please, wait! I don't feel like working!\I chose to be the representative of Oceania because I knew how peaceful it is working there.\If I work in Shibusen, I'll become so busy I'll never get married...\Don't worry.\You're the type of person that becomes enthusiastic after a while.\Please, don't say that... response:	Shinigami-sama, what should I do?
context: No way...\Please, wait! I don't feel like working!\I chose to be the representative of Oceania because I knew how peaceful it is working there.\If I work in Shibusen, I'll become so busy I'll never get married...\Don't worry.\You're the type of person that becomes enthusiastic after a while.\Please, don't say that...\Shinigami-sama, what should I do? response:	Azusa-chan, please use your broad vision to track down Asura.
context: Please, wait! I don't feel like working!\I chose to be the representative of Oceania because I knew how peaceful it is working there.\If I work in Shibusen, I'll become so busy I'll never get married...\Don't worry.\You're the type of person that becomes enthusiastic after a while.\Please, don't say that...\Shinigami-sama, what should I do?\Azusa-chan, please use your broad vision to track down Asura. response:	Also, please take up the role of Oceania's representative by replacing Marie-chan.
context: I chose to be the representative of Oceania because I knew how peaceful it is working there.\If I work in Shibusen, I'll become so busy I'll never get married...\Don't worry.\You're the type of person that becomes enthusiastic after a while.\Please, don't say that...\Shinigami-sama, what should I do?\Azusa-chan, please use your broad vision to track down Asura.\Also, please take up the role of Oceania's representative by replacing Marie-chan. response:	Yes.
context: If I work in Shibusen, I'll become so busy I'll never get married...\Don't worry.\You're the type of person that becomes enthusiastic after a while.\Please, don't say that...\Shinigami-sama, what should I do?\Azusa-chan, please use your broad vision to track down Asura.\Also, please take up the role of Oceania's representative by replacing Marie-chan.\Yes. response:	As for Justin-kun...
context: Don't worry.\You're the type of person that becomes enthusiastic after a while.\Please, don't say that...\Shinigami-sama, what should I do?\Azusa-chan, please use your broad vision to track down Asura.\Also, please take up the role of Oceania's representative by replacing Marie-chan.\Yes.\As for Justin-kun... response:	Justin-kun?
context: You're the type of person that becomes enthusiastic after a while.\Please, don't say that...\Shinigami-sama, what should I do?\Azusa-chan, please use your broad vision to track down Asura.\Also, please take up the role of Oceania's representative by replacing Marie-chan.\Yes.\As for Justin-kun...\Justin-kun? response:	Anyway, Justin will stay on reserve!
context: Please, don't say that...\Shinigami-sama, what should I do?\Azusa-chan, please use your broad vision to track down Asura.\Also, please take up the role of Oceania's representative by replacing Marie-chan.\Yes.\As for Justin-kun...\Justin-kun?\Anyway, Justin will stay on reserve! response:	Even though Shibusen must change a bit from now on,
context: Shinigami-sama, what should I do?\Azusa-chan, please use your broad vision to track down Asura.\Also, please take up the role of Oceania's representative by replacing Marie-chan.\Yes.\As for Justin-kun...\Justin-kun?\Anyway, Justin will stay on reserve!\Even though Shibusen must change a bit from now on, response:	With that, you're dismissed.
context: Azusa-chan, please use your broad vision to track down Asura.\Also, please take up the role of Oceania's representative by replacing Marie-chan.\Yes.\As for Justin-kun...\Justin-kun?\Anyway, Justin will stay on reserve!\Even though Shibusen must change a bit from now on,\With that, you're dismissed. response:	Ah, wait a moment, Spirit-kun.
context: Also, please take up the role of Oceania's representative by replacing Marie-chan.\Yes.\As for Justin-kun...\Justin-kun?\Anyway, Justin will stay on reserve!\Even though Shibusen must change a bit from now on,\With that, you're dismissed.\Ah, wait a moment, Spirit-kun. response:	Huh? What is it?
context: Yes.\As for Justin-kun...\Justin-kun?\Anyway, Justin will stay on reserve!\Even though Shibusen must change a bit from now on,\With that, you're dismissed.\Ah, wait a moment, Spirit-kun.\Huh? What is it? response:	There's something I need to talk to you about.
