context: The evil souls that try to sabotage a girl's dream to become thin. response:	That's unforgivable!
context: Okay, now 10 faster.\Wha...?!\One sweat for two kilograms. Two sweats for five kilograms.\Three sweats and you too will be beautiful. Now try harder.\Hey! Where's Usagi?\Huh? She was doing the rowing machine until just a minute ago.\You over there. If you stop, you won't get beautiful.\That's too bad, you're off to a good start. response:	Yes! Beautiful. Will be beautiful!
context: Wha...?!\One sweat for two kilograms. Two sweats for five kilograms.\Three sweats and you too will be beautiful. Now try harder.\Hey! Where's Usagi?\Huh? She was doing the rowing machine until just a minute ago.\You over there. If you stop, you won't get beautiful.\That's too bad, you're off to a good start.\Yes! Beautiful. Will be beautiful! response:	Okay, that's it for today!
context: One sweat for two kilograms. Two sweats for five kilograms.\Three sweats and you too will be beautiful. Now try harder.\Hey! Where's Usagi?\Huh? She was doing the rowing machine until just a minute ago.\You over there. If you stop, you won't get beautiful.\That's too bad, you're off to a good start.\Yes! Beautiful. Will be beautiful!\Okay, that's it for today! response:	You did well, everyone.
context: Three sweats and you too will be beautiful. Now try harder.\Hey! Where's Usagi?\Huh? She was doing the rowing machine until just a minute ago.\You over there. If you stop, you won't get beautiful.\That's too bad, you're off to a good start.\Yes! Beautiful. Will be beautiful!\Okay, that's it for today!\You did well, everyone. response:	Finally, we'll have you all showered by our Shape Ray.
context: Hey! Where's Usagi?\Huh? She was doing the rowing machine until just a minute ago.\You over there. If you stop, you won't get beautiful.\That's too bad, you're off to a good start.\Yes! Beautiful. Will be beautiful!\Okay, that's it for today!\You did well, everyone.\Finally, we'll have you all showered by our Shape Ray. response:	Shape Ray?
context: Huh? She was doing the rowing machine until just a minute ago.\You over there. If you stop, you won't get beautiful.\That's too bad, you're off to a good start.\Yes! Beautiful. Will be beautiful!\Okay, that's it for today!\You did well, everyone.\Finally, we'll have you all showered by our Shape Ray.\Shape Ray? response:	Bubble Bath Room
context: You over there. If you stop, you won't get beautiful.\That's too bad, you're off to a good start.\Yes! Beautiful. Will be beautiful!\Okay, that's it for today!\You did well, everyone.\Finally, we'll have you all showered by our Shape Ray.\Shape Ray?\Bubble Bath Room response:	Bubble Bath Room Oh, I'm exhausted!
context: That's too bad, you're off to a good start.\Yes! Beautiful. Will be beautiful!\Okay, that's it for today!\You did well, everyone.\Finally, we'll have you all showered by our Shape Ray.\Shape Ray?\Bubble Bath Room\Bubble Bath Room Oh, I'm exhausted! response:	Oh, I'm exhausted!
context: Yes! Beautiful. Will be beautiful!\Okay, that's it for today!\You did well, everyone.\Finally, we'll have you all showered by our Shape Ray.\Shape Ray?\Bubble Bath Room\Bubble Bath Room Oh, I'm exhausted!\Oh, I'm exhausted! response:	It's hard to lose weight.
context: Okay, that's it for today!\You did well, everyone.\Finally, we'll have you all showered by our Shape Ray.\Shape Ray?\Bubble Bath Room\Bubble Bath Room Oh, I'm exhausted!\Oh, I'm exhausted!\It's hard to lose weight. response:	I'm hungry.
context: You did well, everyone.\Finally, we'll have you all showered by our Shape Ray.\Shape Ray?\Bubble Bath Room\Bubble Bath Room Oh, I'm exhausted!\Oh, I'm exhausted!\It's hard to lose weight.\I'm hungry. response:	You'll get inside these.
context: Finally, we'll have you all showered by our Shape Ray.\Shape Ray?\Bubble Bath Room\Bubble Bath Room Oh, I'm exhausted!\Oh, I'm exhausted!\It's hard to lose weight.\I'm hungry.\You'll get inside these. response:	What!?
context: Shape Ray?\Bubble Bath Room\Bubble Bath Room Oh, I'm exhausted!\Oh, I'm exhausted!\It's hard to lose weight.\I'm hungry.\You'll get inside these.\What!? response:	If you are exposed to the Shape Ray for five minutes...
context: Bubble Bath Room\Bubble Bath Room Oh, I'm exhausted!\Oh, I'm exhausted!\It's hard to lose weight.\I'm hungry.\You'll get inside these.\What!?\If you are exposed to the Shape Ray for five minutes... response:	You, the chubby one, will lose ten kilograms.
context: Bubble Bath Room Oh, I'm exhausted!\Oh, I'm exhausted!\It's hard to lose weight.\I'm hungry.\You'll get inside these.\What!?\If you are exposed to the Shape Ray for five minutes...\You, the chubby one, will lose ten kilograms. response:	Even you who's thinner can lose three kilograms right away.
context: Oh, I'm exhausted!\It's hard to lose weight.\I'm hungry.\You'll get inside these.\What!?\If you are exposed to the Shape Ray for five minutes...\You, the chubby one, will lose ten kilograms.\Even you who's thinner can lose three kilograms right away. response:	Now I get it. This is how Haruna got so thin in one day.
context: It's hard to lose weight.\I'm hungry.\You'll get inside these.\What!?\If you are exposed to the Shape Ray for five minutes...\You, the chubby one, will lose ten kilograms.\Even you who's thinner can lose three kilograms right away.\Now I get it. This is how Haruna got so thin in one day. response:	I'm going in.
context: I'm hungry.\You'll get inside these.\What!?\If you are exposed to the Shape Ray for five minutes...\You, the chubby one, will lose ten kilograms.\Even you who's thinner can lose three kilograms right away.\Now I get it. This is how Haruna got so thin in one day.\I'm going in. response:	Me too!
context: You'll get inside these.\What!?\If you are exposed to the Shape Ray for five minutes...\You, the chubby one, will lose ten kilograms.\Even you who's thinner can lose three kilograms right away.\Now I get it. This is how Haruna got so thin in one day.\I'm going in.\Me too! response:	Me too! So will I!
context: What!?\If you are exposed to the Shape Ray for five minutes...\You, the chubby one, will lose ten kilograms.\Even you who's thinner can lose three kilograms right away.\Now I get it. This is how Haruna got so thin in one day.\I'm going in.\Me too!\Me too! So will I! response:	So will I!
context: If you are exposed to the Shape Ray for five minutes...\You, the chubby one, will lose ten kilograms.\Even you who's thinner can lose three kilograms right away.\Now I get it. This is how Haruna got so thin in one day.\I'm going in.\Me too!\Me too! So will I!\So will I! response:	With the energy of these young girls...
context: You, the chubby one, will lose ten kilograms.\Even you who's thinner can lose three kilograms right away.\Now I get it. This is how Haruna got so thin in one day.\I'm going in.\Me too!\Me too! So will I!\So will I!\With the energy of these young girls... response:	Jadeite.
context: Even you who's thinner can lose three kilograms right away.\Now I get it. This is how Haruna got so thin in one day.\I'm going in.\Me too!\Me too! So will I!\So will I!\With the energy of these young girls...\Jadeite. response:	Queen Beryl. I am here.
context: Now I get it. This is how Haruna got so thin in one day.\I'm going in.\Me too!\Me too! So will I!\So will I!\With the energy of these young girls...\Jadeite.\Queen Beryl. I am here. response:	How are the preparations?
context: I'm going in.\Me too!\Me too! So will I!\So will I!\With the energy of these young girls...\Jadeite.\Queen Beryl. I am here.\How are the preparations? response:	Do not worry. The energy of the young humans
context: Me too!\Me too! So will I!\So will I!\With the energy of these young girls...\Jadeite.\Queen Beryl. I am here.\How are the preparations?\Do not worry. The energy of the young humans response:	is steadily being collected.
context: Me too! So will I!\So will I!\With the energy of these young girls...\Jadeite.\Queen Beryl. I am here.\How are the preparations?\Do not worry. The energy of the young humans\is steadily being collected. response:	Good, proceed as planned.
context: So will I!\With the energy of these young girls...\Jadeite.\Queen Beryl. I am here.\How are the preparations?\Do not worry. The energy of the young humans\is steadily being collected.\Good, proceed as planned. response:	Yes, these stupid women will do anything to lose weight.
context: With the energy of these young girls...\Jadeite.\Queen Beryl. I am here.\How are the preparations?\Do not worry. The energy of the young humans\is steadily being collected.\Good, proceed as planned.\Yes, these stupid women will do anything to lose weight. response:	This plan will definitely succeed.
context: Jadeite.\Queen Beryl. I am here.\How are the preparations?\Do not worry. The energy of the young humans\is steadily being collected.\Good, proceed as planned.\Yes, these stupid women will do anything to lose weight.\This plan will definitely succeed. response:	I'm really...
context: Queen Beryl. I am here.\How are the preparations?\Do not worry. The energy of the young humans\is steadily being collected.\Good, proceed as planned.\Yes, these stupid women will do anything to lose weight.\This plan will definitely succeed.\I'm really... response:	Tired...
context: How are the preparations?\Do not worry. The energy of the young humans\is steadily being collected.\Good, proceed as planned.\Yes, these stupid women will do anything to lose weight.\This plan will definitely succeed.\I'm really...\Tired... response:	Everyone, you have grown unbelievably more beautiful.
context: Do not worry. The energy of the young humans\is steadily being collected.\Good, proceed as planned.\Yes, these stupid women will do anything to lose weight.\This plan will definitely succeed.\I'm really...\Tired...\Everyone, you have grown unbelievably more beautiful. response:	I'm so happy!
context: is steadily being collected.\Good, proceed as planned.\Yes, these stupid women will do anything to lose weight.\This plan will definitely succeed.\I'm really...\Tired...\Everyone, you have grown unbelievably more beautiful.\I'm so happy! response:	Yes!
context: Good, proceed as planned.\Yes, these stupid women will do anything to lose weight.\This plan will definitely succeed.\I'm really...\Tired...\Everyone, you have grown unbelievably more beautiful.\I'm so happy!\Yes! response:	If you want to become really beautiful, come again tomorrow.
context: Yes, these stupid women will do anything to lose weight.\This plan will definitely succeed.\I'm really...\Tired...\Everyone, you have grown unbelievably more beautiful.\I'm so happy!\Yes!\If you want to become really beautiful, come again tomorrow. response:	Okay.
context: This plan will definitely succeed.\I'm really...\Tired...\Everyone, you have grown unbelievably more beautiful.\I'm so happy!\Yes!\If you want to become really beautiful, come again tomorrow.\Okay. response:	With the energy of these women
context: I'm really...\Tired...\Everyone, you have grown unbelievably more beautiful.\I'm so happy!\Yes!\If you want to become really beautiful, come again tomorrow.\Okay.\With the energy of these women response:	who would sacrifice their lives to lose weight...
context: Tired...\Everyone, you have grown unbelievably more beautiful.\I'm so happy!\Yes!\If you want to become really beautiful, come again tomorrow.\Okay.\With the energy of these women\who would sacrifice their lives to lose weight... response:	Naru and the others are so mean. They left without telling me.
context: Everyone, you have grown unbelievably more beautiful.\I'm so happy!\Yes!\If you want to become really beautiful, come again tomorrow.\Okay.\With the energy of these women\who would sacrifice their lives to lose weight...\Naru and the others are so mean. They left without telling me. response:	What kind of friends are they?
context: I'm so happy!\Yes!\If you want to become really beautiful, come again tomorrow.\Okay.\With the energy of these women\who would sacrifice their lives to lose weight...\Naru and the others are so mean. They left without telling me.\What kind of friends are they? response:	Oh, I'm so hungry!
context: Yes!\If you want to become really beautiful, come again tomorrow.\Okay.\With the energy of these women\who would sacrifice their lives to lose weight...\Naru and the others are so mean. They left without telling me.\What kind of friends are they?\Oh, I'm so hungry! response:	Oh, hey!
context: If you want to become really beautiful, come again tomorrow.\Okay.\With the energy of these women\who would sacrifice their lives to lose weight...\Naru and the others are so mean. They left without telling me.\What kind of friends are they?\Oh, I'm so hungry!\Oh, hey! response:	That's a very tasty looking dumpling.
context: Okay.\With the energy of these women\who would sacrifice their lives to lose weight...\Naru and the others are so mean. They left without telling me.\What kind of friends are they?\Oh, I'm so hungry!\Oh, hey!\That's a very tasty looking dumpling. response:	Mommy, I'm scared!
context: With the energy of these women\who would sacrifice their lives to lose weight...\Naru and the others are so mean. They left without telling me.\What kind of friends are they?\Oh, I'm so hungry!\Oh, hey!\That's a very tasty looking dumpling.\Mommy, I'm scared! response:	I can't believe it, it was just a dumpling.
context: who would sacrifice their lives to lose weight...\Naru and the others are so mean. They left without telling me.\What kind of friends are they?\Oh, I'm so hungry!\Oh, hey!\That's a very tasty looking dumpling.\Mommy, I'm scared!\I can't believe it, it was just a dumpling. response:	God, I am hungry.
context: Naru and the others are so mean. They left without telling me.\What kind of friends are they?\Oh, I'm so hungry!\Oh, hey!\That's a very tasty looking dumpling.\Mommy, I'm scared!\I can't believe it, it was just a dumpling.\God, I am hungry. response:	It must be nice that Sailor V is already so thin
context: What kind of friends are they?\Oh, I'm so hungry!\Oh, hey!\That's a very tasty looking dumpling.\Mommy, I'm scared!\I can't believe it, it was just a dumpling.\God, I am hungry.\It must be nice that Sailor V is already so thin response:	that she doesn't have to go on a diet.
context: Oh, I'm so hungry!\Oh, hey!\That's a very tasty looking dumpling.\Mommy, I'm scared!\I can't believe it, it was just a dumpling.\God, I am hungry.\It must be nice that Sailor V is already so thin\that she doesn't have to go on a diet. response:	Watch it!
context: Oh, hey!\That's a very tasty looking dumpling.\Mommy, I'm scared!\I can't believe it, it was just a dumpling.\God, I am hungry.\It must be nice that Sailor V is already so thin\that she doesn't have to go on a diet.\Watch it! response:	What's wrong, Usagi?
context: That's a very tasty looking dumpling.\Mommy, I'm scared!\I can't believe it, it was just a dumpling.\God, I am hungry.\It must be nice that Sailor V is already so thin\that she doesn't have to go on a diet.\Watch it!\What's wrong, Usagi? response:	Motoki.
context: Mommy, I'm scared!\I can't believe it, it was just a dumpling.\God, I am hungry.\It must be nice that Sailor V is already so thin\that she doesn't have to go on a diet.\Watch it!\What's wrong, Usagi?\Motoki. response:	Are you not feeling well?
context: I can't believe it, it was just a dumpling.\God, I am hungry.\It must be nice that Sailor V is already so thin\that she doesn't have to go on a diet.\Watch it!\What's wrong, Usagi?\Motoki.\Are you not feeling well? response:	No, I'm not...
context: God, I am hungry.\It must be nice that Sailor V is already so thin\that she doesn't have to go on a diet.\Watch it!\What's wrong, Usagi?\Motoki.\Are you not feeling well?\No, I'm not... response:	Do you want to go to the hospital?
context: It must be nice that Sailor V is already so thin\that she doesn't have to go on a diet.\Watch it!\What's wrong, Usagi?\Motoki.\Are you not feeling well?\No, I'm not...\Do you want to go to the hospital? response:	No, rather a restaurant...
context: that she doesn't have to go on a diet.\Watch it!\What's wrong, Usagi?\Motoki.\Are you not feeling well?\No, I'm not...\Do you want to go to the hospital?\No, rather a restaurant... response:	Huh?
context: Watch it!\What's wrong, Usagi?\Motoki.\Are you not feeling well?\No, I'm not...\Do you want to go to the hospital?\No, rather a restaurant...\Huh? response:	I haven't eaten anything since yesterday. I'm hungry.
context: What's wrong, Usagi?\Motoki.\Are you not feeling well?\No, I'm not...\Do you want to go to the hospital?\No, rather a restaurant...\Huh?\I haven't eaten anything since yesterday. I'm hungry. response:	It's not a dream. I'm being held here in his arms.
context: Motoki.\Are you not feeling well?\No, I'm not...\Do you want to go to the hospital?\No, rather a restaurant...\Huh?\I haven't eaten anything since yesterday. I'm hungry.\It's not a dream. I'm being held here in his arms. response:	Usagi, Usagi, are you okay?
context: Are you not feeling well?\No, I'm not...\Do you want to go to the hospital?\No, rather a restaurant...\Huh?\I haven't eaten anything since yesterday. I'm hungry.\It's not a dream. I'm being held here in his arms.\Usagi, Usagi, are you okay? response:	Motoki...
context: No, I'm not...\Do you want to go to the hospital?\No, rather a restaurant...\Huh?\I haven't eaten anything since yesterday. I'm hungry.\It's not a dream. I'm being held here in his arms.\Usagi, Usagi, are you okay?\Motoki... response:	Get a hold of yourself.
context: Do you want to go to the hospital?\No, rather a restaurant...\Huh?\I haven't eaten anything since yesterday. I'm hungry.\It's not a dream. I'm being held here in his arms.\Usagi, Usagi, are you okay?\Motoki...\Get a hold of yourself. response:	I'm going to make you strong with the power of my love.
context: No, rather a restaurant...\Huh?\I haven't eaten anything since yesterday. I'm hungry.\It's not a dream. I'm being held here in his arms.\Usagi, Usagi, are you okay?\Motoki...\Get a hold of yourself.\I'm going to make you strong with the power of my love. response:	Power of love?
context: Huh?\I haven't eaten anything since yesterday. I'm hungry.\It's not a dream. I'm being held here in his arms.\Usagi, Usagi, are you okay?\Motoki...\Get a hold of yourself.\I'm going to make you strong with the power of my love.\Power of love? response:	Yes, that's right. The power of love.
context: I haven't eaten anything since yesterday. I'm hungry.\It's not a dream. I'm being held here in his arms.\Usagi, Usagi, are you okay?\Motoki...\Get a hold of yourself.\I'm going to make you strong with the power of my love.\Power of love?\Yes, that's right. The power of love. response:	Motoki...
context: It's not a dream. I'm being held here in his arms.\Usagi, Usagi, are you okay?\Motoki...\Get a hold of yourself.\I'm going to make you strong with the power of my love.\Power of love?\Yes, that's right. The power of love.\Motoki... response:	Usagi...
context: Usagi, Usagi, are you okay?\Motoki...\Get a hold of yourself.\I'm going to make you strong with the power of my love.\Power of love?\Yes, that's right. The power of love.\Motoki...\Usagi... response:	I'm so happy to be alive.
context: Motoki...\Get a hold of yourself.\I'm going to make you strong with the power of my love.\Power of love?\Yes, that's right. The power of love.\Motoki...\Usagi...\I'm so happy to be alive. response:	Usagi... are you okay?
context: Get a hold of yourself.\I'm going to make you strong with the power of my love.\Power of love?\Yes, that's right. The power of love.\Motoki...\Usagi...\I'm so happy to be alive.\Usagi... are you okay? response:	The power of love is so warm.
context: I'm going to make you strong with the power of my love.\Power of love?\Yes, that's right. The power of love.\Motoki...\Usagi...\I'm so happy to be alive.\Usagi... are you okay?\The power of love is so warm. response:	Uh, um...
context: Power of love?\Yes, that's right. The power of love.\Motoki...\Usagi...\I'm so happy to be alive.\Usagi... are you okay?\The power of love is so warm.\Uh, um... response:	Oh good, you woke up.
context: Yes, that's right. The power of love.\Motoki...\Usagi...\I'm so happy to be alive.\Usagi... are you okay?\The power of love is so warm.\Uh, um...\Oh good, you woke up. response:	What do you mean you haven't eaten since yesterday?
context: Motoki...\Usagi...\I'm so happy to be alive.\Usagi... are you okay?\The power of love is so warm.\Uh, um...\Oh good, you woke up.\What do you mean you haven't eaten since yesterday? response:	Well...
context: Usagi...\I'm so happy to be alive.\Usagi... are you okay?\The power of love is so warm.\Uh, um...\Oh good, you woke up.\What do you mean you haven't eaten since yesterday?\Well... response:	What, your mom wouldn't let you eat
context: I'm so happy to be alive.\Usagi... are you okay?\The power of love is so warm.\Uh, um...\Oh good, you woke up.\What do you mean you haven't eaten since yesterday?\Well...\What, your mom wouldn't let you eat response:	because your test score was bad or something?
context: Usagi... are you okay?\The power of love is so warm.\Uh, um...\Oh good, you woke up.\What do you mean you haven't eaten since yesterday?\Well...\What, your mom wouldn't let you eat\because your test score was bad or something? response:	No! I just thought I'd go on a little diet.
context: The power of love is so warm.\Uh, um...\Oh good, you woke up.\What do you mean you haven't eaten since yesterday?\Well...\What, your mom wouldn't let you eat\because your test score was bad or something?\No! I just thought I'd go on a little diet. response:	A diet?
context: Uh, um...\Oh good, you woke up.\What do you mean you haven't eaten since yesterday?\Well...\What, your mom wouldn't let you eat\because your test score was bad or something?\No! I just thought I'd go on a little diet.\A diet? response:	Is it that funny?
context: Oh good, you woke up.\What do you mean you haven't eaten since yesterday?\Well...\What, your mom wouldn't let you eat\because your test score was bad or something?\No! I just thought I'd go on a little diet.\A diet?\Is it that funny? response:	I'm sorry. But you don't have to go on a diet.
context: What do you mean you haven't eaten since yesterday?\Well...\What, your mom wouldn't let you eat\because your test score was bad or something?\No! I just thought I'd go on a little diet.\A diet?\Is it that funny?\I'm sorry. But you don't have to go on a diet. response:	I think you should gain some weight instead.
context: Well...\What, your mom wouldn't let you eat\because your test score was bad or something?\No! I just thought I'd go on a little diet.\A diet?\Is it that funny?\I'm sorry. But you don't have to go on a diet.\I think you should gain some weight instead. response:	I think the chubby type is cuter than the really thin type.
context: What, your mom wouldn't let you eat\because your test score was bad or something?\No! I just thought I'd go on a little diet.\A diet?\Is it that funny?\I'm sorry. But you don't have to go on a diet.\I think you should gain some weight instead.\I think the chubby type is cuter than the really thin type. response:	Really?
context: because your test score was bad or something?\No! I just thought I'd go on a little diet.\A diet?\Is it that funny?\I'm sorry. But you don't have to go on a diet.\I think you should gain some weight instead.\I think the chubby type is cuter than the really thin type.\Really? response:	Yeah.
context: No! I just thought I'd go on a little diet.\A diet?\Is it that funny?\I'm sorry. But you don't have to go on a diet.\I think you should gain some weight instead.\I think the chubby type is cuter than the really thin type.\Really?\Yeah. response:	Yay!
context: A diet?\Is it that funny?\I'm sorry. But you don't have to go on a diet.\I think you should gain some weight instead.\I think the chubby type is cuter than the really thin type.\Really?\Yeah.\Yay! response:	Yummy. Definitely dumplings.
context: Is it that funny?\I'm sorry. But you don't have to go on a diet.\I think you should gain some weight instead.\I think the chubby type is cuter than the really thin type.\Really?\Yeah.\Yay!\Yummy. Definitely dumplings. response:	Yeah, it's normal to be a bit chubby when you're young.
context: I'm sorry. But you don't have to go on a diet.\I think you should gain some weight instead.\I think the chubby type is cuter than the really thin type.\Really?\Yeah.\Yay!\Yummy. Definitely dumplings.\Yeah, it's normal to be a bit chubby when you're young. response:	You eat a lot.
context: I think you should gain some weight instead.\I think the chubby type is cuter than the really thin type.\Really?\Yeah.\Yay!\Yummy. Definitely dumplings.\Yeah, it's normal to be a bit chubby when you're young.\You eat a lot. response:	Eating your friends, I see. Dumpling head eating dumplings.
context: I think the chubby type is cuter than the really thin type.\Really?\Yeah.\Yay!\Yummy. Definitely dumplings.\Yeah, it's normal to be a bit chubby when you're young.\You eat a lot.\Eating your friends, I see. Dumpling head eating dumplings. response:	Leave me alone. It's none of your business.
context: Really?\Yeah.\Yay!\Yummy. Definitely dumplings.\Yeah, it's normal to be a bit chubby when you're young.\You eat a lot.\Eating your friends, I see. Dumpling head eating dumplings.\Leave me alone. It's none of your business. response:	If you eat so much, you'll really turn into a dumpling.
context: Yeah.\Yay!\Yummy. Definitely dumplings.\Yeah, it's normal to be a bit chubby when you're young.\You eat a lot.\Eating your friends, I see. Dumpling head eating dumplings.\Leave me alone. It's none of your business.\If you eat so much, you'll really turn into a dumpling. response:	Shut up!
context: Yay!\Yummy. Definitely dumplings.\Yeah, it's normal to be a bit chubby when you're young.\You eat a lot.\Eating your friends, I see. Dumpling head eating dumplings.\Leave me alone. It's none of your business.\If you eat so much, you'll really turn into a dumpling.\Shut up! response:	Phew, nice catch.
context: Yummy. Definitely dumplings.\Yeah, it's normal to be a bit chubby when you're young.\You eat a lot.\Eating your friends, I see. Dumpling head eating dumplings.\Leave me alone. It's none of your business.\If you eat so much, you'll really turn into a dumpling.\Shut up!\Phew, nice catch. response:	Thanks for the dumpling.
context: Yeah, it's normal to be a bit chubby when you're young.\You eat a lot.\Eating your friends, I see. Dumpling head eating dumplings.\Leave me alone. It's none of your business.\If you eat so much, you'll really turn into a dumpling.\Shut up!\Phew, nice catch.\Thanks for the dumpling. response:	Hey, at least you won't get too fat now that you ate one less.
context: You eat a lot.\Eating your friends, I see. Dumpling head eating dumplings.\Leave me alone. It's none of your business.\If you eat so much, you'll really turn into a dumpling.\Shut up!\Phew, nice catch.\Thanks for the dumpling.\Hey, at least you won't get too fat now that you ate one less. response:	God, what a jerk!
context: Eating your friends, I see. Dumpling head eating dumplings.\Leave me alone. It's none of your business.\If you eat so much, you'll really turn into a dumpling.\Shut up!\Phew, nice catch.\Thanks for the dumpling.\Hey, at least you won't get too fat now that you ate one less.\God, what a jerk! response:	He's right, you know.
context: Leave me alone. It's none of your business.\If you eat so much, you'll really turn into a dumpling.\Shut up!\Phew, nice catch.\Thanks for the dumpling.\Hey, at least you won't get too fat now that you ate one less.\God, what a jerk!\He's right, you know. response:	What?
context: If you eat so much, you'll really turn into a dumpling.\Shut up!\Phew, nice catch.\Thanks for the dumpling.\Hey, at least you won't get too fat now that you ate one less.\God, what a jerk!\He's right, you know.\What? response:	Eat one, gain two kilograms, eat two, gain five kilograms.
context: Shut up!\Phew, nice catch.\Thanks for the dumpling.\Hey, at least you won't get too fat now that you ate one less.\God, what a jerk!\He's right, you know.\What?\Eat one, gain two kilograms, eat two, gain five kilograms. response:	Eat three and you're...
context: Phew, nice catch.\Thanks for the dumpling.\Hey, at least you won't get too fat now that you ate one less.\God, what a jerk!\He's right, you know.\What?\Eat one, gain two kilograms, eat two, gain five kilograms.\Eat three and you're... response:	Luna!
context: Thanks for the dumpling.\Hey, at least you won't get too fat now that you ate one less.\God, what a jerk!\He's right, you know.\What?\Eat one, gain two kilograms, eat two, gain five kilograms.\Eat three and you're...\Luna! response:	That's okay. Motoki said chubby girls are cuter.
context: Hey, at least you won't get too fat now that you ate one less.\God, what a jerk!\He's right, you know.\What?\Eat one, gain two kilograms, eat two, gain five kilograms.\Eat three and you're...\Luna!\That's okay. Motoki said chubby girls are cuter. response:	Hey Usagi, aren't you misunderstanding what he said?
context: God, what a jerk!\He's right, you know.\What?\Eat one, gain two kilograms, eat two, gain five kilograms.\Eat three and you're...\Luna!\That's okay. Motoki said chubby girls are cuter.\Hey Usagi, aren't you misunderstanding what he said? response:	How so?!
context: He's right, you know.\What?\Eat one, gain two kilograms, eat two, gain five kilograms.\Eat three and you're...\Luna!\That's okay. Motoki said chubby girls are cuter.\Hey Usagi, aren't you misunderstanding what he said?\How so?! response:	He said he liked chubby girls. He didn't say that he liked fat ones.
context: What?\Eat one, gain two kilograms, eat two, gain five kilograms.\Eat three and you're...\Luna!\That's okay. Motoki said chubby girls are cuter.\Hey Usagi, aren't you misunderstanding what he said?\How so?!\He said he liked chubby girls. He didn't say that he liked fat ones. response:	Uh-oh.
context: Eat one, gain two kilograms, eat two, gain five kilograms.\Eat three and you're...\Luna!\That's okay. Motoki said chubby girls are cuter.\Hey Usagi, aren't you misunderstanding what he said?\How so?!\He said he liked chubby girls. He didn't say that he liked fat ones.\Uh-oh. response:	Anyway, there is something terribly wrong.
context: Eat three and you're...\Luna!\That's okay. Motoki said chubby girls are cuter.\Hey Usagi, aren't you misunderstanding what he said?\How so?!\He said he liked chubby girls. He didn't say that he liked fat ones.\Uh-oh.\Anyway, there is something terribly wrong. response:	You're right. What should I do?
context: Luna!\That's okay. Motoki said chubby girls are cuter.\Hey Usagi, aren't you misunderstanding what he said?\How so?!\He said he liked chubby girls. He didn't say that he liked fat ones.\Uh-oh.\Anyway, there is something terribly wrong.\You're right. What should I do? response:	1, 2, 3, 4... I ate six dumplings!
context: That's okay. Motoki said chubby girls are cuter.\Hey Usagi, aren't you misunderstanding what he said?\How so?!\He said he liked chubby girls. He didn't say that he liked fat ones.\Uh-oh.\Anyway, there is something terribly wrong.\You're right. What should I do?\1, 2, 3, 4... I ate six dumplings! response:	There's something wrong with Ms. Haruna.
context: Hey Usagi, aren't you misunderstanding what he said?\How so?!\He said he liked chubby girls. He didn't say that he liked fat ones.\Uh-oh.\Anyway, there is something terribly wrong.\You're right. What should I do?\1, 2, 3, 4... I ate six dumplings!\There's something wrong with Ms. Haruna. response:	She's gotten very thin all of a sudden.
context: How so?!\He said he liked chubby girls. He didn't say that he liked fat ones.\Uh-oh.\Anyway, there is something terribly wrong.\You're right. What should I do?\1, 2, 3, 4... I ate six dumplings!\There's something wrong with Ms. Haruna.\She's gotten very thin all of a sudden. response:	Four dumplings. Five, six...
context: He said he liked chubby girls. He didn't say that he liked fat ones.\Uh-oh.\Anyway, there is something terribly wrong.\You're right. What should I do?\1, 2, 3, 4... I ate six dumplings!\There's something wrong with Ms. Haruna.\She's gotten very thin all of a sudden.\Four dumplings. Five, six... response:	Oh, no! I'm gonna be fat.
context: Uh-oh.\Anyway, there is something terribly wrong.\You're right. What should I do?\1, 2, 3, 4... I ate six dumplings!\There's something wrong with Ms. Haruna.\She's gotten very thin all of a sudden.\Four dumplings. Five, six...\Oh, no! I'm gonna be fat. response:	It's not only Ms. Haruna, Oh, no! I'm gonna be fat.
context: Anyway, there is something terribly wrong.\You're right. What should I do?\1, 2, 3, 4... I ate six dumplings!\There's something wrong with Ms. Haruna.\She's gotten very thin all of a sudden.\Four dumplings. Five, six...\Oh, no! I'm gonna be fat.\It's not only Ms. Haruna, Oh, no! I'm gonna be fat. response:	It's not only Ms. Haruna,
context: You're right. What should I do?\1, 2, 3, 4... I ate six dumplings!\There's something wrong with Ms. Haruna.\She's gotten very thin all of a sudden.\Four dumplings. Five, six...\Oh, no! I'm gonna be fat.\It's not only Ms. Haruna, Oh, no! I'm gonna be fat.\It's not only Ms. Haruna, response:	other girls that are going to Gym Shapely
context: 1, 2, 3, 4... I ate six dumplings!\There's something wrong with Ms. Haruna.\She's gotten very thin all of a sudden.\Four dumplings. Five, six...\Oh, no! I'm gonna be fat.\It's not only Ms. Haruna, Oh, no! I'm gonna be fat.\It's not only Ms. Haruna,\other girls that are going to Gym Shapely response:	are all becoming skin and bones...
context: There's something wrong with Ms. Haruna.\She's gotten very thin all of a sudden.\Four dumplings. Five, six...\Oh, no! I'm gonna be fat.\It's not only Ms. Haruna, Oh, no! I'm gonna be fat.\It's not only Ms. Haruna,\other girls that are going to Gym Shapely\are all becoming skin and bones... response:	Are you listening?
context: She's gotten very thin all of a sudden.\Four dumplings. Five, six...\Oh, no! I'm gonna be fat.\It's not only Ms. Haruna, Oh, no! I'm gonna be fat.\It's not only Ms. Haruna,\other girls that are going to Gym Shapely\are all becoming skin and bones...\Are you listening? response:	That's it! Shapely.
