context: In Elder Tale, a quest is a type of mission. response:	There are many types,
context: We'll get what you want, in any bulk you want, for this price.\Thirty thousand.\Thirty\Fine... Agreed!\On behalf of Shopping Street 8, I accept the contract...\That's great!\Now we can let him stay for the next part, right?\Of course... I don't mind at all. response:	What's your tailoring level?
context: Thirty thousand.\Thirty\Fine... Agreed!\On behalf of Shopping Street 8, I accept the contract...\That's great!\Now we can let him stay for the next part, right?\Of course... I don't mind at all.\What's your tailoring level? response:	Level 32.
context: Thirty\Fine... Agreed!\On behalf of Shopping Street 8, I accept the contract...\That's great!\Now we can let him stay for the next part, right?\Of course... I don't mind at all.\What's your tailoring level?\Level 32. response:	Then you can make level-30 leather armor...
context: Fine... Agreed!\On behalf of Shopping Street 8, I accept the contract...\That's great!\Now we can let him stay for the next part, right?\Of course... I don't mind at all.\What's your tailoring level?\Level 32.\Then you can make level-30 leather armor... response:	Today, make leather aprons to raise your skill.
context: On behalf of Shopping Street 8, I accept the contract...\That's great!\Now we can let him stay for the next part, right?\Of course... I don't mind at all.\What's your tailoring level?\Level 32.\Then you can make level-30 leather armor...\Today, make leather aprons to raise your skill. response:	Yes, sir.
context: That's great!\Now we can let him stay for the next part, right?\Of course... I don't mind at all.\What's your tailoring level?\Level 32.\Then you can make level-30 leather armor...\Today, make leather aprons to raise your skill.\Yes, sir. response:	Since then, Shiroe has been in touch several times.
context: Now we can let him stay for the next part, right?\Of course... I don't mind at all.\What's your tailoring level?\Level 32.\Then you can make level-30 leather armor...\Today, make leather aprons to raise your skill.\Yes, sir.\Since then, Shiroe has been in touch several times. response:	He has many friends now.
context: Of course... I don't mind at all.\What's your tailoring level?\Level 32.\Then you can make level-30 leather armor...\Today, make leather aprons to raise your skill.\Yes, sir.\Since then, Shiroe has been in touch several times.\He has many friends now. response:	He and I are in the same world.
context: What's your tailoring level?\Level 32.\Then you can make level-30 leather armor...\Today, make leather aprons to raise your skill.\Yes, sir.\Since then, Shiroe has been in touch several times.\He has many friends now.\He and I are in the same world. response:	We're in the same world, but...
context: Level 32.\Then you can make level-30 leather armor...\Today, make leather aprons to raise your skill.\Yes, sir.\Since then, Shiroe has been in touch several times.\He has many friends now.\He and I are in the same world.\We're in the same world, but... response:	This is how disgusting the world looks to me.
context: Then you can make level-30 leather armor...\Today, make leather aprons to raise your skill.\Yes, sir.\Since then, Shiroe has been in touch several times.\He has many friends now.\He and I are in the same world.\We're in the same world, but...\This is how disgusting the world looks to me. response:	What is this?!
context: Today, make leather aprons to raise your skill.\Yes, sir.\Since then, Shiroe has been in touch several times.\He has many friends now.\He and I are in the same world.\We're in the same world, but...\This is how disgusting the world looks to me.\What is this?! response:	Minori!
context: Yes, sir.\Since then, Shiroe has been in touch several times.\He has many friends now.\He and I are in the same world.\We're in the same world, but...\This is how disgusting the world looks to me.\What is this?!\Minori! response:	It's you, isn't it?
context: Since then, Shiroe has been in touch several times.\He has many friends now.\He and I are in the same world.\We're in the same world, but...\This is how disgusting the world looks to me.\What is this?!\Minori!\It's you, isn't it? response:	What is this?
context: He has many friends now.\He and I are in the same world.\We're in the same world, but...\This is how disgusting the world looks to me.\What is this?!\Minori!\It's you, isn't it?\What is this? response:	That day...
context: He and I are in the same world.\We're in the same world, but...\This is how disgusting the world looks to me.\What is this?!\Minori!\It's you, isn't it?\What is this?\That day... response:	The day reality and Elder Tale switched places...
context: We're in the same world, but...\This is how disgusting the world looks to me.\What is this?!\Minori!\It's you, isn't it?\What is this?\That day...\The day reality and Elder Tale switched places... response:	All I could do was cry and pray that someone would save me.
context: This is how disgusting the world looks to me.\What is this?!\Minori!\It's you, isn't it?\What is this?\That day...\The day reality and Elder Tale switched places...\All I could do was cry and pray that someone would save me. response:	Tohya was already starting to accept it...
context: What is this?!\Minori!\It's you, isn't it?\What is this?\That day...\The day reality and Elder Tale switched places...\All I could do was cry and pray that someone would save me.\Tohya was already starting to accept it... response:	Walking through this world.
context: Minori!\It's you, isn't it?\What is this?\That day...\The day reality and Elder Tale switched places...\All I could do was cry and pray that someone would save me.\Tohya was already starting to accept it...\Walking through this world. response:	Running.
context: It's you, isn't it?\What is this?\That day...\The day reality and Elder Tale switched places...\All I could do was cry and pray that someone would save me.\Tohya was already starting to accept it...\Walking through this world.\Running. response:	As though he enjoyed the new experience more than he feared it.
context: What is this?\That day...\The day reality and Elder Tale switched places...\All I could do was cry and pray that someone would save me.\Tohya was already starting to accept it...\Walking through this world.\Running.\As though he enjoyed the new experience more than he feared it. response:	Minori, Minori... Look at this!
context: That day...\The day reality and Elder Tale switched places...\All I could do was cry and pray that someone would save me.\Tohya was already starting to accept it...\Walking through this world.\Running.\As though he enjoyed the new experience more than he feared it.\Minori, Minori... Look at this! response:	We still get our EXP pots!
context: The day reality and Elder Tale switched places...\All I could do was cry and pray that someone would save me.\Tohya was already starting to accept it...\Walking through this world.\Running.\As though he enjoyed the new experience more than he feared it.\Minori, Minori... Look at this!\We still get our EXP pots! response:	Every day, we still receive the EXP pots we got as a beginner bonus.
context: All I could do was cry and pray that someone would save me.\Tohya was already starting to accept it...\Walking through this world.\Running.\As though he enjoyed the new experience more than he feared it.\Minori, Minori... Look at this!\We still get our EXP pots!\Every day, we still receive the EXP pots we got as a beginner bonus. response:	When Tohya learned that, it was natural that he'd want to see
context: Tohya was already starting to accept it...\Walking through this world.\Running.\As though he enjoyed the new experience more than he feared it.\Minori, Minori... Look at this!\We still get our EXP pots!\Every day, we still receive the EXP pots we got as a beginner bonus.\When Tohya learned that, it was natural that he'd want to see response:	how it would work.
context: Walking through this world.\Running.\As though he enjoyed the new experience more than he feared it.\Minori, Minori... Look at this!\We still get our EXP pots!\Every day, we still receive the EXP pots we got as a beginner bonus.\When Tohya learned that, it was natural that he'd want to see\how it would work. response:	Tohya had started to spur me
context: Running.\As though he enjoyed the new experience more than he feared it.\Minori, Minori... Look at this!\We still get our EXP pots!\Every day, we still receive the EXP pots we got as a beginner bonus.\When Tohya learned that, it was natural that he'd want to see\how it would work.\Tohya had started to spur me response:	into feeling up to moving forward a little bit...
context: As though he enjoyed the new experience more than he feared it.\Minori, Minori... Look at this!\We still get our EXP pots!\Every day, we still receive the EXP pots we got as a beginner bonus.\When Tohya learned that, it was natural that he'd want to see\how it would work.\Tohya had started to spur me\into feeling up to moving forward a little bit... response:	But...
context: Minori, Minori... Look at this!\We still get our EXP pots!\Every day, we still receive the EXP pots we got as a beginner bonus.\When Tohya learned that, it was natural that he'd want to see\how it would work.\Tohya had started to spur me\into feeling up to moving forward a little bit...\But... response:	They ran toward four o'clock!
context: We still get our EXP pots!\Every day, we still receive the EXP pots we got as a beginner bonus.\When Tohya learned that, it was natural that he'd want to see\how it would work.\Tohya had started to spur me\into feeling up to moving forward a little bit...\But...\They ran toward four o'clock! response:	Stop them!
context: Every day, we still receive the EXP pots we got as a beginner bonus.\When Tohya learned that, it was natural that he'd want to see\how it would work.\Tohya had started to spur me\into feeling up to moving forward a little bit...\But...\They ran toward four o'clock!\Stop them! response:	Minori!
context: When Tohya learned that, it was natural that he'd want to see\how it would work.\Tohya had started to spur me\into feeling up to moving forward a little bit...\But...\They ran toward four o'clock!\Stop them!\Minori! response:	Tohya!
context: how it would work.\Tohya had started to spur me\into feeling up to moving forward a little bit...\But...\They ran toward four o'clock!\Stop them!\Minori!\Tohya! response:	I told you that I wouldn't kill you if you dropped all your inventory items.
context: Tohya had started to spur me\into feeling up to moving forward a little bit...\But...\They ran toward four o'clock!\Stop them!\Minori!\Tohya!\I told you that I wouldn't kill you if you dropped all your inventory items. response:	Everything's so realistic...
context: into feeling up to moving forward a little bit...\But...\They ran toward four o'clock!\Stop them!\Minori!\Tohya!\I told you that I wouldn't kill you if you dropped all your inventory items.\Everything's so realistic... response:	Is this really virtual?
context: But...\They ran toward four o'clock!\Stop them!\Minori!\Tohya!\I told you that I wouldn't kill you if you dropped all your inventory items.\Everything's so realistic...\Is this really virtual? response:	Well, a game's a game...
context: They ran toward four o'clock!\Stop them!\Minori!\Tohya!\I told you that I wouldn't kill you if you dropped all your inventory items.\Everything's so realistic...\Is this really virtual?\Well, a game's a game... response:	Don't blame me.
context: Stop them!\Minori!\Tohya!\I told you that I wouldn't kill you if you dropped all your inventory items.\Everything's so realistic...\Is this really virtual?\Well, a game's a game...\Don't blame me. response:	Y-You jerk!
context: Minori!\Tohya!\I told you that I wouldn't kill you if you dropped all your inventory items.\Everything's so realistic...\Is this really virtual?\Well, a game's a game...\Don't blame me.\Y-You jerk! response:	I'm alive?
context: Tohya!\I told you that I wouldn't kill you if you dropped all your inventory items.\Everything's so realistic...\Is this really virtual?\Well, a game's a game...\Don't blame me.\Y-You jerk!\I'm alive? response:	Minori!
context: I told you that I wouldn't kill you if you dropped all your inventory items.\Everything's so realistic...\Is this really virtual?\Well, a game's a game...\Don't blame me.\Y-You jerk!\I'm alive?\Minori! response:	Tohya!
context: Everything's so realistic...\Is this really virtual?\Well, a game's a game...\Don't blame me.\Y-You jerk!\I'm alive?\Minori!\Tohya! response:	In this world, if something matters, keep it in the bank.
context: Is this really virtual?\Well, a game's a game...\Don't blame me.\Y-You jerk!\I'm alive?\Minori!\Tohya!\In this world, if something matters, keep it in the bank. response:	I only remembered Shiroe's words
context: Well, a game's a game...\Don't blame me.\Y-You jerk!\I'm alive?\Minori!\Tohya!\In this world, if something matters, keep it in the bank.\I only remembered Shiroe's words response:	after I'd already lost everything.
context: Don't blame me.\Y-You jerk!\I'm alive?\Minori!\Tohya!\In this world, if something matters, keep it in the bank.\I only remembered Shiroe's words\after I'd already lost everything. response:	By that time,
context: Y-You jerk!\I'm alive?\Minori!\Tohya!\In this world, if something matters, keep it in the bank.\I only remembered Shiroe's words\after I'd already lost everything.\By that time, response:	all that remained was the desire to rely on another.
context: I'm alive?\Minori!\Tohya!\In this world, if something matters, keep it in the bank.\I only remembered Shiroe's words\after I'd already lost everything.\By that time,\all that remained was the desire to rely on another. response:	What's with you guys?
context: Minori!\Tohya!\In this world, if something matters, keep it in the bank.\I only remembered Shiroe's words\after I'd already lost everything.\By that time,\all that remained was the desire to rely on another.\What's with you guys? response:	You newbies?
context: Tohya!\In this world, if something matters, keep it in the bank.\I only remembered Shiroe's words\after I'd already lost everything.\By that time,\all that remained was the desire to rely on another.\What's with you guys?\You newbies? response:	No friends?
context: In this world, if something matters, keep it in the bank.\I only remembered Shiroe's words\after I'd already lost everything.\By that time,\all that remained was the desire to rely on another.\What's with you guys?\You newbies?\No friends? response:	That sucks for you.
context: I only remembered Shiroe's words\after I'd already lost everything.\By that time,\all that remained was the desire to rely on another.\What's with you guys?\You newbies?\No friends?\That sucks for you. response:	I would have gone with anyone who offered aid,
context: after I'd already lost everything.\By that time,\all that remained was the desire to rely on another.\What's with you guys?\You newbies?\No friends?\That sucks for you.\I would have gone with anyone who offered aid, response:	no matter who they were.
context: By that time,\all that remained was the desire to rely on another.\What's with you guys?\You newbies?\No friends?\That sucks for you.\I would have gone with anyone who offered aid,\no matter who they were. response:	The world around Shiroe is the one he's earned for himself.
context: all that remained was the desire to rely on another.\What's with you guys?\You newbies?\No friends?\That sucks for you.\I would have gone with anyone who offered aid,\no matter who they were.\The world around Shiroe is the one he's earned for himself. response:	All I could do was to weep at my own powerlessness.
context: What's with you guys?\You newbies?\No friends?\That sucks for you.\I would have gone with anyone who offered aid,\no matter who they were.\The world around Shiroe is the one he's earned for himself.\All I could do was to weep at my own powerlessness. response:	The same way I always have.
context: You newbies?\No friends?\That sucks for you.\I would have gone with anyone who offered aid,\no matter who they were.\The world around Shiroe is the one he's earned for himself.\All I could do was to weep at my own powerlessness.\The same way I always have. response:	That's why I lost everything...
context: No friends?\That sucks for you.\I would have gone with anyone who offered aid,\no matter who they were.\The world around Shiroe is the one he's earned for himself.\All I could do was to weep at my own powerlessness.\The same way I always have.\That's why I lost everything... response:	That's why
context: That sucks for you.\I would have gone with anyone who offered aid,\no matter who they were.\The world around Shiroe is the one he's earned for himself.\All I could do was to weep at my own powerlessness.\The same way I always have.\That's why I lost everything...\That's why response:	we don't have the right to be saved
context: I would have gone with anyone who offered aid,\no matter who they were.\The world around Shiroe is the one he's earned for himself.\All I could do was to weep at my own powerlessness.\The same way I always have.\That's why I lost everything...\That's why\we don't have the right to be saved response:	by Shiroe.
context: no matter who they were.\The world around Shiroe is the one he's earned for himself.\All I could do was to weep at my own powerlessness.\The same way I always have.\That's why I lost everything...\That's why\we don't have the right to be saved\by Shiroe. response:	Dragon's Nest
context: The world around Shiroe is the one he's earned for himself.\All I could do was to weep at my own powerlessness.\The same way I always have.\That's why I lost everything...\That's why\we don't have the right to be saved\by Shiroe.\Dragon's Nest response:	Oh, what have we here?
context: All I could do was to weep at my own powerlessness.\The same way I always have.\That's why I lost everything...\That's why\we don't have the right to be saved\by Shiroe.\Dragon's Nest\Oh, what have we here? response:	Two beauties and the young master of Shopping Street 8.
context: The same way I always have.\That's why I lost everything...\That's why\we don't have the right to be saved\by Shiroe.\Dragon's Nest\Oh, what have we here?\Two beauties and the young master of Shopping Street 8. response:	Hello!
context: That's why I lost everything...\That's why\we don't have the right to be saved\by Shiroe.\Dragon's Nest\Oh, what have we here?\Two beauties and the young master of Shopping Street 8.\Hello! response:	I'm Marielle, of the Crescent Moon Alliance!
context: That's why\we don't have the right to be saved\by Shiroe.\Dragon's Nest\Oh, what have we here?\Two beauties and the young master of Shopping Street 8.\Hello!\I'm Marielle, of the Crescent Moon Alliance! response:	This is my head clerk...
context: we don't have the right to be saved\by Shiroe.\Dragon's Nest\Oh, what have we here?\Two beauties and the young master of Shopping Street 8.\Hello!\I'm Marielle, of the Crescent Moon Alliance!\This is my head clerk... response:	Hey!
context: by Shiroe.\Dragon's Nest\Oh, what have we here?\Two beauties and the young master of Shopping Street 8.\Hello!\I'm Marielle, of the Crescent Moon Alliance!\This is my head clerk...\Hey! response:	No one's had a head clerk for years.
context: Dragon's Nest\Oh, what have we here?\Two beauties and the young master of Shopping Street 8.\Hello!\I'm Marielle, of the Crescent Moon Alliance!\This is my head clerk...\Hey!\No one's had a head clerk for years. response:	I'm Henrietta. Pleased to meet you.
context: Oh, what have we here?\Two beauties and the young master of Shopping Street 8.\Hello!\I'm Marielle, of the Crescent Moon Alliance!\This is my head clerk...\Hey!\No one's had a head clerk for years.\I'm Henrietta. Pleased to meet you. response:	I'm in charge of our treasury.
context: Two beauties and the young master of Shopping Street 8.\Hello!\I'm Marielle, of the Crescent Moon Alliance!\This is my head clerk...\Hey!\No one's had a head clerk for years.\I'm Henrietta. Pleased to meet you.\I'm in charge of our treasury. response:	Now, then...
context: Hello!\I'm Marielle, of the Crescent Moon Alliance!\This is my head clerk...\Hey!\No one's had a head clerk for years.\I'm Henrietta. Pleased to meet you.\I'm in charge of our treasury.\Now, then... response:	Michitaka Race/ Human Monk, Lv. 90 Marine Agency
context: I'm Marielle, of the Crescent Moon Alliance!\This is my head clerk...\Hey!\No one's had a head clerk for years.\I'm Henrietta. Pleased to meet you.\I'm in charge of our treasury.\Now, then...\Michitaka Race/ Human Monk, Lv. 90 Marine Agency response:	Michitaka, leader of the Marine Agency.
context: This is my head clerk...\Hey!\No one's had a head clerk for years.\I'm Henrietta. Pleased to meet you.\I'm in charge of our treasury.\Now, then...\Michitaka Race/ Human Monk, Lv. 90 Marine Agency\Michitaka, leader of the Marine Agency. response:	Roderic Race/ People of the Law Summoner, Lv. 90 Roderic Merchant Guild
context: Hey!\No one's had a head clerk for years.\I'm Henrietta. Pleased to meet you.\I'm in charge of our treasury.\Now, then...\Michitaka Race/ Human Monk, Lv. 90 Marine Agency\Michitaka, leader of the Marine Agency.\Roderic Race/ People of the Law Summoner, Lv. 90 Roderic Merchant Guild response:	Roderic, master of the Roderic Merchant Guild.
context: No one's had a head clerk for years.\I'm Henrietta. Pleased to meet you.\I'm in charge of our treasury.\Now, then...\Michitaka Race/ Human Monk, Lv. 90 Marine Agency\Michitaka, leader of the Marine Agency.\Roderic Race/ People of the Law Summoner, Lv. 90 Roderic Merchant Guild\Roderic, master of the Roderic Merchant Guild. response:	I need to ensure negotiations with these two are successful.
context: I'm Henrietta. Pleased to meet you.\I'm in charge of our treasury.\Now, then...\Michitaka Race/ Human Monk, Lv. 90 Marine Agency\Michitaka, leader of the Marine Agency.\Roderic Race/ People of the Law Summoner, Lv. 90 Roderic Merchant Guild\Roderic, master of the Roderic Merchant Guild.\I need to ensure negotiations with these two are successful. response:	This is my battle.
context: I'm in charge of our treasury.\Now, then...\Michitaka Race/ Human Monk, Lv. 90 Marine Agency\Michitaka, leader of the Marine Agency.\Roderic Race/ People of the Law Summoner, Lv. 90 Roderic Merchant Guild\Roderic, master of the Roderic Merchant Guild.\I need to ensure negotiations with these two are successful.\This is my battle. response:	If I retreat here, I won't be able to face the others.
context: Now, then...\Michitaka Race/ Human Monk, Lv. 90 Marine Agency\Michitaka, leader of the Marine Agency.\Roderic Race/ People of the Law Summoner, Lv. 90 Roderic Merchant Guild\Roderic, master of the Roderic Merchant Guild.\I need to ensure negotiations with these two are successful.\This is my battle.\If I retreat here, I won't be able to face the others. response:	Before I get down to business,
context: Michitaka Race/ Human Monk, Lv. 90 Marine Agency\Michitaka, leader of the Marine Agency.\Roderic Race/ People of the Law Summoner, Lv. 90 Roderic Merchant Guild\Roderic, master of the Roderic Merchant Guild.\I need to ensure negotiations with these two are successful.\This is my battle.\If I retreat here, I won't be able to face the others.\Before I get down to business, response:	let me explain why I invited Shopping Street 8 here first.
context: Michitaka, leader of the Marine Agency.\Roderic Race/ People of the Law Summoner, Lv. 90 Roderic Merchant Guild\Roderic, master of the Roderic Merchant Guild.\I need to ensure negotiations with these two are successful.\This is my battle.\If I retreat here, I won't be able to face the others.\Before I get down to business,\let me explain why I invited Shopping Street 8 here first. response:	We've asked Shopping Street 8 to provide ingredients for us.
context: Roderic Race/ People of the Law Summoner, Lv. 90 Roderic Merchant Guild\Roderic, master of the Roderic Merchant Guild.\I need to ensure negotiations with these two are successful.\This is my battle.\If I retreat here, I won't be able to face the others.\Before I get down to business,\let me explain why I invited Shopping Street 8 here first.\We've asked Shopping Street 8 to provide ingredients for us. response:	Hey, wait... Does that mean you're working with Shopping Street 8?
context: Roderic, master of the Roderic Merchant Guild.\I need to ensure negotiations with these two are successful.\This is my battle.\If I retreat here, I won't be able to face the others.\Before I get down to business,\let me explain why I invited Shopping Street 8 here first.\We've asked Shopping Street 8 to provide ingredients for us.\Hey, wait... Does that mean you're working with Shopping Street 8? response:	No, then there would be no need to call us.
context: I need to ensure negotiations with these two are successful.\This is my battle.\If I retreat here, I won't be able to face the others.\Before I get down to business,\let me explain why I invited Shopping Street 8 here first.\We've asked Shopping Street 8 to provide ingredients for us.\Hey, wait... Does that mean you're working with Shopping Street 8?\No, then there would be no need to call us. response:	You must want something else.
context: This is my battle.\If I retreat here, I won't be able to face the others.\Before I get down to business,\let me explain why I invited Shopping Street 8 here first.\We've asked Shopping Street 8 to provide ingredients for us.\Hey, wait... Does that mean you're working with Shopping Street 8?\No, then there would be no need to call us.\You must want something else. response:	I see...
context: If I retreat here, I won't be able to face the others.\Before I get down to business,\let me explain why I invited Shopping Street 8 here first.\We've asked Shopping Street 8 to provide ingredients for us.\Hey, wait... Does that mean you're working with Shopping Street 8?\No, then there would be no need to call us.\You must want something else.\I see... response:	Michitaka is a respected leader, but subtlety isn't his strength.
context: Before I get down to business,\let me explain why I invited Shopping Street 8 here first.\We've asked Shopping Street 8 to provide ingredients for us.\Hey, wait... Does that mean you're working with Shopping Street 8?\No, then there would be no need to call us.\You must want something else.\I see...\Michitaka is a respected leader, but subtlety isn't his strength. response:	Roderic appears similar to Shiroe,
context: let me explain why I invited Shopping Street 8 here first.\We've asked Shopping Street 8 to provide ingredients for us.\Hey, wait... Does that mean you're working with Shopping Street 8?\No, then there would be no need to call us.\You must want something else.\I see...\Michitaka is a respected leader, but subtlety isn't his strength.\Roderic appears similar to Shiroe, response:	but he lacks Shiroe's guts.
context: We've asked Shopping Street 8 to provide ingredients for us.\Hey, wait... Does that mean you're working with Shopping Street 8?\No, then there would be no need to call us.\You must want something else.\I see...\Michitaka is a respected leader, but subtlety isn't his strength.\Roderic appears similar to Shiroe,\but he lacks Shiroe's guts. response:	Yes, that's right. It's something else.
context: Hey, wait... Does that mean you're working with Shopping Street 8?\No, then there would be no need to call us.\You must want something else.\I see...\Michitaka is a respected leader, but subtlety isn't his strength.\Roderic appears similar to Shiroe,\but he lacks Shiroe's guts.\Yes, that's right. It's something else. response:	We'd like to extend the same offer to both of you.
context: No, then there would be no need to call us.\You must want something else.\I see...\Michitaka is a respected leader, but subtlety isn't his strength.\Roderic appears similar to Shiroe,\but he lacks Shiroe's guts.\Yes, that's right. It's something else.\We'd like to extend the same offer to both of you. response:	The only thing we can sell for the money we require
context: You must want something else.\I see...\Michitaka is a respected leader, but subtlety isn't his strength.\Roderic appears similar to Shiroe,\but he lacks Shiroe's guts.\Yes, that's right. It's something else.\We'd like to extend the same offer to both of you.\The only thing we can sell for the money we require response:	is our new method of food preparation.
context: I see...\Michitaka is a respected leader, but subtlety isn't his strength.\Roderic appears similar to Shiroe,\but he lacks Shiroe's guts.\Yes, that's right. It's something else.\We'd like to extend the same offer to both of you.\The only thing we can sell for the money we require\is our new method of food preparation. response:	Yes, but that's...
context: Michitaka is a respected leader, but subtlety isn't his strength.\Roderic appears similar to Shiroe,\but he lacks Shiroe's guts.\Yes, that's right. It's something else.\We'd like to extend the same offer to both of you.\The only thing we can sell for the money we require\is our new method of food preparation.\Yes, but that's... response:	Yes.
context: Roderic appears similar to Shiroe,\but he lacks Shiroe's guts.\Yes, that's right. It's something else.\We'd like to extend the same offer to both of you.\The only thing we can sell for the money we require\is our new method of food preparation.\Yes, but that's...\Yes. response:	Once they know how, using it is the simplest thing in the world.
context: but he lacks Shiroe's guts.\Yes, that's right. It's something else.\We'd like to extend the same offer to both of you.\The only thing we can sell for the money we require\is our new method of food preparation.\Yes, but that's...\Yes.\Once they know how, using it is the simplest thing in the world. response:	So, no matter what, we can't let them in on it until after the negotiations.
context: Yes, that's right. It's something else.\We'd like to extend the same offer to both of you.\The only thing we can sell for the money we require\is our new method of food preparation.\Yes, but that's...\Yes.\Once they know how, using it is the simplest thing in the world.\So, no matter what, we can't let them in on it until after the negotiations. response:	Yes, but we can't go to them
context: We'd like to extend the same offer to both of you.\The only thing we can sell for the money we require\is our new method of food preparation.\Yes, but that's...\Yes.\Once they know how, using it is the simplest thing in the world.\So, no matter what, we can't let them in on it until after the negotiations.\Yes, but we can't go to them response:	without telling them anything...
context: The only thing we can sell for the money we require\is our new method of food preparation.\Yes, but that's...\Yes.\Once they know how, using it is the simplest thing in the world.\So, no matter what, we can't let them in on it until after the negotiations.\Yes, but we can't go to them\without telling them anything... response:	That's one place where we have an advantage.
context: is our new method of food preparation.\Yes, but that's...\Yes.\Once they know how, using it is the simplest thing in the world.\So, no matter what, we can't let them in on it until after the negotiations.\Yes, but we can't go to them\without telling them anything...\That's one place where we have an advantage. response:	An advantage?
context: Yes, but that's...\Yes.\Once they know how, using it is the simplest thing in the world.\So, no matter what, we can't let them in on it until after the negotiations.\Yes, but we can't go to them\without telling them anything...\That's one place where we have an advantage.\An advantage? response:	Our advantage is that they want profits.
context: Yes.\Once they know how, using it is the simplest thing in the world.\So, no matter what, we can't let them in on it until after the negotiations.\Yes, but we can't go to them\without telling them anything...\That's one place where we have an advantage.\An advantage?\Our advantage is that they want profits. response:	Yes...
context: Once they know how, using it is the simplest thing in the world.\So, no matter what, we can't let them in on it until after the negotiations.\Yes, but we can't go to them\without telling them anything...\That's one place where we have an advantage.\An advantage?\Our advantage is that they want profits.\Yes... response:	Crescent Moon is tempting bait.
context: So, no matter what, we can't let them in on it until after the negotiations.\Yes, but we can't go to them\without telling them anything...\That's one place where we have an advantage.\An advantage?\Our advantage is that they want profits.\Yes...\Crescent Moon is tempting bait. response:	As long as they desire to profit,
context: Yes, but we can't go to them\without telling them anything...\That's one place where we have an advantage.\An advantage?\Our advantage is that they want profits.\Yes...\Crescent Moon is tempting bait.\As long as they desire to profit, response:	we maintain the negotiating initiative.
context: without telling them anything...\That's one place where we have an advantage.\An advantage?\Our advantage is that they want profits.\Yes...\Crescent Moon is tempting bait.\As long as they desire to profit,\we maintain the negotiating initiative. response:	We have the right to decide what information we reveal,
context: That's one place where we have an advantage.\An advantage?\Our advantage is that they want profits.\Yes...\Crescent Moon is tempting bait.\As long as they desire to profit,\we maintain the negotiating initiative.\We have the right to decide what information we reveal, response:	as well as what we keep hidden.
context: An advantage?\Our advantage is that they want profits.\Yes...\Crescent Moon is tempting bait.\As long as they desire to profit,\we maintain the negotiating initiative.\We have the right to decide what information we reveal,\as well as what we keep hidden. response:	However, we cannot lie.
context: Our advantage is that they want profits.\Yes...\Crescent Moon is tempting bait.\As long as they desire to profit,\we maintain the negotiating initiative.\We have the right to decide what information we reveal,\as well as what we keep hidden.\However, we cannot lie. response:	But to dangle the bait, while trying to avoid telling them anything...
context: Yes...\Crescent Moon is tempting bait.\As long as they desire to profit,\we maintain the negotiating initiative.\We have the right to decide what information we reveal,\as well as what we keep hidden.\However, we cannot lie.\But to dangle the bait, while trying to avoid telling them anything... response:	If this is to work in the future, we can't afford to lie now.
context: Crescent Moon is tempting bait.\As long as they desire to profit,\we maintain the negotiating initiative.\We have the right to decide what information we reveal,\as well as what we keep hidden.\However, we cannot lie.\But to dangle the bait, while trying to avoid telling them anything...\If this is to work in the future, we can't afford to lie now. response:	I'd better get Akatsuki for a whole week, or this won't be worth it at all!
context: As long as they desire to profit,\we maintain the negotiating initiative.\We have the right to decide what information we reveal,\as well as what we keep hidden.\However, we cannot lie.\But to dangle the bait, while trying to avoid telling them anything...\If this is to work in the future, we can't afford to lie now.\I'd better get Akatsuki for a whole week, or this won't be worth it at all! response:	The Crescent Moon Alliance is embarking on a major operation.
context: we maintain the negotiating initiative.\We have the right to decide what information we reveal,\as well as what we keep hidden.\However, we cannot lie.\But to dangle the bait, while trying to avoid telling them anything...\If this is to work in the future, we can't afford to lie now.\I'd better get Akatsuki for a whole week, or this won't be worth it at all!\The Crescent Moon Alliance is embarking on a major operation. response:	A major operation?
context: We have the right to decide what information we reveal,\as well as what we keep hidden.\However, we cannot lie.\But to dangle the bait, while trying to avoid telling them anything...\If this is to work in the future, we can't afford to lie now.\I'd better get Akatsuki for a whole week, or this won't be worth it at all!\The Crescent Moon Alliance is embarking on a major operation.\A major operation? response:	You could think of it as a challenge.
context: as well as what we keep hidden.\However, we cannot lie.\But to dangle the bait, while trying to avoid telling them anything...\If this is to work in the future, we can't afford to lie now.\I'd better get Akatsuki for a whole week, or this won't be worth it at all!\The Crescent Moon Alliance is embarking on a major operation.\A major operation?\You could think of it as a challenge. response:	However, we lack the power to do it completely on our own.
context: However, we cannot lie.\But to dangle the bait, while trying to avoid telling them anything...\If this is to work in the future, we can't afford to lie now.\I'd better get Akatsuki for a whole week, or this won't be worth it at all!\The Crescent Moon Alliance is embarking on a major operation.\A major operation?\You could think of it as a challenge.\However, we lack the power to do it completely on our own. response:	Then you want our help?
context: But to dangle the bait, while trying to avoid telling them anything...\If this is to work in the future, we can't afford to lie now.\I'd better get Akatsuki for a whole week, or this won't be worth it at all!\The Crescent Moon Alliance is embarking on a major operation.\A major operation?\You could think of it as a challenge.\However, we lack the power to do it completely on our own.\Then you want our help? response:	I understand... A quest, is it?
context: If this is to work in the future, we can't afford to lie now.\I'd better get Akatsuki for a whole week, or this won't be worth it at all!\The Crescent Moon Alliance is embarking on a major operation.\A major operation?\You could think of it as a challenge.\However, we lack the power to do it completely on our own.\Then you want our help?\I understand... A quest, is it? response:	Good, they misunderstood me.
