context: Tomoe, what do you say to coming home next week? response:	What? What on earth are you talking about?
context: turned out to be a fraud too.\What?\It's too big a task for those girls.\But we can't just turn the customers away.\Force them to work harder.\Excuse me, Madam Manager?\Yes?\I know this isn't the best time to tell you, response:	but I'm actually thinking about returning home.
context: What?\It's too big a task for those girls.\But we can't just turn the customers away.\Force them to work harder.\Excuse me, Madam Manager?\Yes?\I know this isn't the best time to tell you,\but I'm actually thinking about returning home. response:	A paid vacation?
context: It's too big a task for those girls.\But we can't just turn the customers away.\Force them to work harder.\Excuse me, Madam Manager?\Yes?\I know this isn't the best time to tell you,\but I'm actually thinking about returning home.\A paid vacation? response:	No, it's actually...
context: But we can't just turn the customers away.\Force them to work harder.\Excuse me, Madam Manager?\Yes?\I know this isn't the best time to tell you,\but I'm actually thinking about returning home.\A paid vacation?\No, it's actually... response:	Oh?
context: Force them to work harder.\Excuse me, Madam Manager?\Yes?\I know this isn't the best time to tell you,\but I'm actually thinking about returning home.\A paid vacation?\No, it's actually...\Oh? response:	If you're going home during your paid vacation,
context: Excuse me, Madam Manager?\Yes?\I know this isn't the best time to tell you,\but I'm actually thinking about returning home.\A paid vacation?\No, it's actually...\Oh?\If you're going home during your paid vacation, response:	could you be attending a marriage meeting?
context: Yes?\I know this isn't the best time to tell you,\but I'm actually thinking about returning home.\A paid vacation?\No, it's actually...\Oh?\If you're going home during your paid vacation,\could you be attending a marriage meeting? response:	So, even the great Tomoe is giving up and-
context: I know this isn't the best time to tell you,\but I'm actually thinking about returning home.\A paid vacation?\No, it's actually...\Oh?\If you're going home during your paid vacation,\could you be attending a marriage meeting?\So, even the great Tomoe is giving up and- response:	Never mind.
context: but I'm actually thinking about returning home.\A paid vacation?\No, it's actually...\Oh?\If you're going home during your paid vacation,\could you be attending a marriage meeting?\So, even the great Tomoe is giving up and-\Never mind. response:	Wh-What happened?
context: A paid vacation?\No, it's actually...\Oh?\If you're going home during your paid vacation,\could you be attending a marriage meeting?\So, even the great Tomoe is giving up and-\Never mind.\Wh-What happened? response:	I can't take this anymore, Tomoe!
context: No, it's actually...\Oh?\If you're going home during your paid vacation,\could you be attending a marriage meeting?\So, even the great Tomoe is giving up and-\Never mind.\Wh-What happened?\I can't take this anymore, Tomoe! response:	They're even chasing me in the inn now!
context: Oh?\If you're going home during your paid vacation,\could you be attending a marriage meeting?\So, even the great Tomoe is giving up and-\Never mind.\Wh-What happened?\I can't take this anymore, Tomoe!\They're even chasing me in the inn now! response:	Oh my, they like you that much?
context: If you're going home during your paid vacation,\could you be attending a marriage meeting?\So, even the great Tomoe is giving up and-\Never mind.\Wh-What happened?\I can't take this anymore, Tomoe!\They're even chasing me in the inn now!\Oh my, they like you that much? response:	That doesn't please me at all!
context: could you be attending a marriage meeting?\So, even the great Tomoe is giving up and-\Never mind.\Wh-What happened?\I can't take this anymore, Tomoe!\They're even chasing me in the inn now!\Oh my, they like you that much?\That doesn't please me at all! response:	Can't we just kick them out?
context: So, even the great Tomoe is giving up and-\Never mind.\Wh-What happened?\I can't take this anymore, Tomoe!\They're even chasing me in the inn now!\Oh my, they like you that much?\That doesn't please me at all!\Can't we just kick them out? response:	For me, right now,
context: Never mind.\Wh-What happened?\I can't take this anymore, Tomoe!\They're even chasing me in the inn now!\Oh my, they like you that much?\That doesn't please me at all!\Can't we just kick them out?\For me, right now, response:	returning customers are a godsend.
context: Wh-What happened?\I can't take this anymore, Tomoe!\They're even chasing me in the inn now!\Oh my, they like you that much?\That doesn't please me at all!\Can't we just kick them out?\For me, right now,\returning customers are a godsend. response:	They do call customers gods sometimes, you know.
context: I can't take this anymore, Tomoe!\They're even chasing me in the inn now!\Oh my, they like you that much?\That doesn't please me at all!\Can't we just kick them out?\For me, right now,\returning customers are a godsend.\They do call customers gods sometimes, you know. response:	Something tells me that God isn't a stalker...
context: They're even chasing me in the inn now!\Oh my, they like you that much?\That doesn't please me at all!\Can't we just kick them out?\For me, right now,\returning customers are a godsend.\They do call customers gods sometimes, you know.\Something tells me that God isn't a stalker... response:	H-Here they come again!
context: Oh my, they like you that much?\That doesn't please me at all!\Can't we just kick them out?\For me, right now,\returning customers are a godsend.\They do call customers gods sometimes, you know.\Something tells me that God isn't a stalker...\H-Here they come again! response:	Wait, Nakochi!
context: That doesn't please me at all!\Can't we just kick them out?\For me, right now,\returning customers are a godsend.\They do call customers gods sometimes, you know.\Something tells me that God isn't a stalker...\H-Here they come again!\Wait, Nakochi! response:	Please stay away!
context: Can't we just kick them out?\For me, right now,\returning customers are a godsend.\They do call customers gods sometimes, you know.\Something tells me that God isn't a stalker...\H-Here they come again!\Wait, Nakochi!\Please stay away! response:	Sirs?!
context: For me, right now,\returning customers are a godsend.\They do call customers gods sometimes, you know.\Something tells me that God isn't a stalker...\H-Here they come again!\Wait, Nakochi!\Please stay away!\Sirs?! response:	Another stressful day at work...
context: returning customers are a godsend.\They do call customers gods sometimes, you know.\Something tells me that God isn't a stalker...\H-Here they come again!\Wait, Nakochi!\Please stay away!\Sirs?!\Another stressful day at work... response:	Nako seems to be at her limit...
context: They do call customers gods sometimes, you know.\Something tells me that God isn't a stalker...\H-Here they come again!\Wait, Nakochi!\Please stay away!\Sirs?!\Another stressful day at work...\Nako seems to be at her limit... response:	If I were to quit right now, she wouldn't survive...
context: Something tells me that God isn't a stalker...\H-Here they come again!\Wait, Nakochi!\Please stay away!\Sirs?!\Another stressful day at work...\Nako seems to be at her limit...\If I were to quit right now, she wouldn't survive... response:	Wow, another old film...
context: H-Here they come again!\Wait, Nakochi!\Please stay away!\Sirs?!\Another stressful day at work...\Nako seems to be at her limit...\If I were to quit right now, she wouldn't survive...\Wow, another old film... response:	Commander! We've been surrounded by the enemy!
context: Wait, Nakochi!\Please stay away!\Sirs?!\Another stressful day at work...\Nako seems to be at her limit...\If I were to quit right now, she wouldn't survive...\Wow, another old film...\Commander! We've been surrounded by the enemy! response:	But you know,
context: Please stay away!\Sirs?!\Another stressful day at work...\Nako seems to be at her limit...\If I were to quit right now, she wouldn't survive...\Wow, another old film...\Commander! We've been surrounded by the enemy!\But you know, response:	I don't have to worry about what's going to happen
context: Sirs?!\Another stressful day at work...\Nako seems to be at her limit...\If I were to quit right now, she wouldn't survive...\Wow, another old film...\Commander! We've been surrounded by the enemy!\But you know,\I don't have to worry about what's going to happen response:	I'll hold them back! You go ahead!
context: Another stressful day at work...\Nako seems to be at her limit...\If I were to quit right now, she wouldn't survive...\Wow, another old film...\Commander! We've been surrounded by the enemy!\But you know,\I don't have to worry about what's going to happen\I'll hold them back! You go ahead! response:	after I quit.
context: Nako seems to be at her limit...\If I were to quit right now, she wouldn't survive...\Wow, another old film...\Commander! We've been surrounded by the enemy!\But you know,\I don't have to worry about what's going to happen\I'll hold them back! You go ahead!\after I quit. response:	I should be worrying about how I'm going to quit.
context: If I were to quit right now, she wouldn't survive...\Wow, another old film...\Commander! We've been surrounded by the enemy!\But you know,\I don't have to worry about what's going to happen\I'll hold them back! You go ahead!\after I quit.\I should be worrying about how I'm going to quit. response:	C-Commander!
context: Wow, another old film...\Commander! We've been surrounded by the enemy!\But you know,\I don't have to worry about what's going to happen\I'll hold them back! You go ahead!\after I quit.\I should be worrying about how I'm going to quit.\C-Commander! response:	All of you have a future!
context: Commander! We've been surrounded by the enemy!\But you know,\I don't have to worry about what's going to happen\I'll hold them back! You go ahead!\after I quit.\I should be worrying about how I'm going to quit.\C-Commander!\All of you have a future! response:	I'm not letting you lose your lives
context: But you know,\I don't have to worry about what's going to happen\I'll hold them back! You go ahead!\after I quit.\I should be worrying about how I'm going to quit.\C-Commander!\All of you have a future!\I'm not letting you lose your lives response:	on this shitty battlefield!
context: I don't have to worry about what's going to happen\I'll hold them back! You go ahead!\after I quit.\I should be worrying about how I'm going to quit.\C-Commander!\All of you have a future!\I'm not letting you lose your lives\on this shitty battlefield! response:	Commander!
context: I'll hold them back! You go ahead!\after I quit.\I should be worrying about how I'm going to quit.\C-Commander!\All of you have a future!\I'm not letting you lose your lives\on this shitty battlefield!\Commander! response:	Yeah, it's wrong to let kids with a bright future
context: after I quit.\I should be worrying about how I'm going to quit.\C-Commander!\All of you have a future!\I'm not letting you lose your lives\on this shitty battlefield!\Commander!\Yeah, it's wrong to let kids with a bright future response:	throw their lives away.
context: I should be worrying about how I'm going to quit.\C-Commander!\All of you have a future!\I'm not letting you lose your lives\on this shitty battlefield!\Commander!\Yeah, it's wrong to let kids with a bright future\throw their lives away. response:	Okay, baby! Get some!
context: C-Commander!\All of you have a future!\I'm not letting you lose your lives\on this shitty battlefield!\Commander!\Yeah, it's wrong to let kids with a bright future\throw their lives away.\Okay, baby! Get some! response:	Commander!
context: All of you have a future!\I'm not letting you lose your lives\on this shitty battlefield!\Commander!\Yeah, it's wrong to let kids with a bright future\throw their lives away.\Okay, baby! Get some!\Commander! response:	Huh?
context: I'm not letting you lose your lives\on this shitty battlefield!\Commander!\Yeah, it's wrong to let kids with a bright future\throw their lives away.\Okay, baby! Get some!\Commander!\Huh? response:	Okay, baby! Get some!
context: on this shitty battlefield!\Commander!\Yeah, it's wrong to let kids with a bright future\throw their lives away.\Okay, baby! Get some!\Commander!\Huh?\Okay, baby! Get some! response:	But if I were to abandon those girls and quit,
context: Commander!\Yeah, it's wrong to let kids with a bright future\throw their lives away.\Okay, baby! Get some!\Commander!\Huh?\Okay, baby! Get some!\But if I were to abandon those girls and quit, response:	wouldn't I be throwing my life away without doing anything?
context: Yeah, it's wrong to let kids with a bright future\throw their lives away.\Okay, baby! Get some!\Commander!\Huh?\Okay, baby! Get some!\But if I were to abandon those girls and quit,\wouldn't I be throwing my life away without doing anything? response:	Yeah!
context: throw their lives away.\Okay, baby! Get some!\Commander!\Huh?\Okay, baby! Get some!\But if I were to abandon those girls and quit,\wouldn't I be throwing my life away without doing anything?\Yeah! response:	Since I'm going to quit anyway,
context: Okay, baby! Get some!\Commander!\Huh?\Okay, baby! Get some!\But if I were to abandon those girls and quit,\wouldn't I be throwing my life away without doing anything?\Yeah!\Since I'm going to quit anyway, response:	I'm going to harass those customers
context: Commander!\Huh?\Okay, baby! Get some!\But if I were to abandon those girls and quit,\wouldn't I be throwing my life away without doing anything?\Yeah!\Since I'm going to quit anyway,\I'm going to harass those customers response:	until they complain about me,
context: Huh?\Okay, baby! Get some!\But if I were to abandon those girls and quit,\wouldn't I be throwing my life away without doing anything?\Yeah!\Since I'm going to quit anyway,\I'm going to harass those customers\until they complain about me, response:	and get myself fired!
context: Okay, baby! Get some!\But if I were to abandon those girls and quit,\wouldn't I be throwing my life away without doing anything?\Yeah!\Since I'm going to quit anyway,\I'm going to harass those customers\until they complain about me,\and get myself fired! response:	If all goes to plan, I'll be able to kick those slimeballs out
context: But if I were to abandon those girls and quit,\wouldn't I be throwing my life away without doing anything?\Yeah!\Since I'm going to quit anyway,\I'm going to harass those customers\until they complain about me,\and get myself fired!\If all goes to plan, I'll be able to kick those slimeballs out response:	and quit my job at the same time!
context: wouldn't I be throwing my life away without doing anything?\Yeah!\Since I'm going to quit anyway,\I'm going to harass those customers\until they complain about me,\and get myself fired!\If all goes to plan, I'll be able to kick those slimeballs out\and quit my job at the same time! response:	It's time to put in some effort for their future!
context: Yeah!\Since I'm going to quit anyway,\I'm going to harass those customers\until they complain about me,\and get myself fired!\If all goes to plan, I'll be able to kick those slimeballs out\and quit my job at the same time!\It's time to put in some effort for their future! response:	Good morning, soldiers!
context: Since I'm going to quit anyway,\I'm going to harass those customers\until they complain about me,\and get myself fired!\If all goes to plan, I'll be able to kick those slimeballs out\and quit my job at the same time!\It's time to put in some effort for their future!\Good morning, soldiers! response:	Good morning, Tomoe.
context: I'm going to harass those customers\until they complain about me,\and get myself fired!\If all goes to plan, I'll be able to kick those slimeballs out\and quit my job at the same time!\It's time to put in some effort for their future!\Good morning, soldiers!\Good morning, Tomoe. response:	What's with the glum faces this morning?
context: until they complain about me,\and get myself fired!\If all goes to plan, I'll be able to kick those slimeballs out\and quit my job at the same time!\It's time to put in some effort for their future!\Good morning, soldiers!\Good morning, Tomoe.\What's with the glum faces this morning? response:	It's those survival gamers.
context: and get myself fired!\If all goes to plan, I'll be able to kick those slimeballs out\and quit my job at the same time!\It's time to put in some effort for their future!\Good morning, soldiers!\Good morning, Tomoe.\What's with the glum faces this morning?\It's those survival gamers. response:	We told them that breakfast is served at 8
context: If all goes to plan, I'll be able to kick those slimeballs out\and quit my job at the same time!\It's time to put in some effort for their future!\Good morning, soldiers!\Good morning, Tomoe.\What's with the glum faces this morning?\It's those survival gamers.\We told them that breakfast is served at 8 response:	but they don't seem to be up yet,
context: and quit my job at the same time!\It's time to put in some effort for their future!\Good morning, soldiers!\Good morning, Tomoe.\What's with the glum faces this morning?\It's those survival gamers.\We told them that breakfast is served at 8\but they don't seem to be up yet, response:	so we can't prepare their meals.
context: It's time to put in some effort for their future!\Good morning, soldiers!\Good morning, Tomoe.\What's with the glum faces this morning?\It's those survival gamers.\We told them that breakfast is served at 8\but they don't seem to be up yet,\so we can't prepare their meals. response:	I see.
context: Good morning, soldiers!\Good morning, Tomoe.\What's with the glum faces this morning?\It's those survival gamers.\We told them that breakfast is served at 8\but they don't seem to be up yet,\so we can't prepare their meals.\I see. response:	Wake up! Up! Up!
context: Good morning, Tomoe.\What's with the glum faces this morning?\It's those survival gamers.\We told them that breakfast is served at 8\but they don't seem to be up yet,\so we can't prepare their meals.\I see.\Wake up! Up! Up! response:	Drop your cocks and grab your socks, ladies!
context: What's with the glum faces this morning?\It's those survival gamers.\We told them that breakfast is served at 8\but they don't seem to be up yet,\so we can't prepare their meals.\I see.\Wake up! Up! Up!\Drop your cocks and grab your socks, ladies! response:	Yes! My waitress life is officially over now!
context: It's those survival gamers.\We told them that breakfast is served at 8\but they don't seem to be up yet,\so we can't prepare their meals.\I see.\Wake up! Up! Up!\Drop your cocks and grab your socks, ladies!\Yes! My waitress life is officially over now! response:	Yes, Ma'am!
context: We told them that breakfast is served at 8\but they don't seem to be up yet,\so we can't prepare their meals.\I see.\Wake up! Up! Up!\Drop your cocks and grab your socks, ladies!\Yes! My waitress life is officially over now!\Yes, Ma'am! response:	What?
context: but they don't seem to be up yet,\so we can't prepare their meals.\I see.\Wake up! Up! Up!\Drop your cocks and grab your socks, ladies!\Yes! My waitress life is officially over now!\Yes, Ma'am!\What? response:	Your order, Ma'am?!
context: so we can't prepare their meals.\I see.\Wake up! Up! Up!\Drop your cocks and grab your socks, ladies!\Yes! My waitress life is officially over now!\Yes, Ma'am!\What?\Your order, Ma'am?! response:	We'd like to prepare breakfast,
context: I see.\Wake up! Up! Up!\Drop your cocks and grab your socks, ladies!\Yes! My waitress life is officially over now!\Yes, Ma'am!\What?\Your order, Ma'am?!\We'd like to prepare breakfast, response:	so could you please leave this room?
context: Wake up! Up! Up!\Drop your cocks and grab your socks, ladies!\Yes! My waitress life is officially over now!\Yes, Ma'am!\What?\Your order, Ma'am?!\We'd like to prepare breakfast,\so could you please leave this room? response:	Yes, Ma'am!
context: Drop your cocks and grab your socks, ladies!\Yes! My waitress life is officially over now!\Yes, Ma'am!\What?\Your order, Ma'am?!\We'd like to prepare breakfast,\so could you please leave this room?\Yes, Ma'am! response:	Men, face left!
context: Yes! My waitress life is officially over now!\Yes, Ma'am!\What?\Your order, Ma'am?!\We'd like to prepare breakfast,\so could you please leave this room?\Yes, Ma'am!\Men, face left! response:	Move forward!
context: Yes, Ma'am!\What?\Your order, Ma'am?!\We'd like to prepare breakfast,\so could you please leave this room?\Yes, Ma'am!\Men, face left!\Move forward! response:	Wow! You had the customers listening to you so obediently!
context: What?\Your order, Ma'am?!\We'd like to prepare breakfast,\so could you please leave this room?\Yes, Ma'am!\Men, face left!\Move forward!\Wow! You had the customers listening to you so obediently! response:	You're amazing!
context: Your order, Ma'am?!\We'd like to prepare breakfast,\so could you please leave this room?\Yes, Ma'am!\Men, face left!\Move forward!\Wow! You had the customers listening to you so obediently!\You're amazing! response:	Wh-What?
context: We'd like to prepare breakfast,\so could you please leave this room?\Yes, Ma'am!\Men, face left!\Move forward!\Wow! You had the customers listening to you so obediently!\You're amazing!\Wh-What? response:	Doesn't Tomoe remind you
context: so could you please leave this room?\Yes, Ma'am!\Men, face left!\Move forward!\Wow! You had the customers listening to you so obediently!\You're amazing!\Wh-What?\Doesn't Tomoe remind you response:	of an older sister you can trust?
context: Yes, Ma'am!\Men, face left!\Move forward!\Wow! You had the customers listening to you so obediently!\You're amazing!\Wh-What?\Doesn't Tomoe remind you\of an older sister you can trust? response:	Did you know that you can call more
context: Men, face left!\Move forward!\Wow! You had the customers listening to you so obediently!\You're amazing!\Wh-What?\Doesn't Tomoe remind you\of an older sister you can trust?\Did you know that you can call more response:	experienced waitresses older sisters?
context: Move forward!\Wow! You had the customers listening to you so obediently!\You're amazing!\Wh-What?\Doesn't Tomoe remind you\of an older sister you can trust?\Did you know that you can call more\experienced waitresses older sisters? response:	Really?
context: Wow! You had the customers listening to you so obediently!\You're amazing!\Wh-What?\Doesn't Tomoe remind you\of an older sister you can trust?\Did you know that you can call more\experienced waitresses older sisters?\Really? response:	But you don't call her that, do you?
context: You're amazing!\Wh-What?\Doesn't Tomoe remind you\of an older sister you can trust?\Did you know that you can call more\experienced waitresses older sisters?\Really?\But you don't call her that, do you? response:	She says she doesn't like it.
context: Wh-What?\Doesn't Tomoe remind you\of an older sister you can trust?\Did you know that you can call more\experienced waitresses older sisters?\Really?\But you don't call her that, do you?\She says she doesn't like it. response:	M-Minchi?
context: Doesn't Tomoe remind you\of an older sister you can trust?\Did you know that you can call more\experienced waitresses older sisters?\Really?\But you don't call her that, do you?\She says she doesn't like it.\M-Minchi? response:	How weird.
context: of an older sister you can trust?\Did you know that you can call more\experienced waitresses older sisters?\Really?\But you don't call her that, do you?\She says she doesn't like it.\M-Minchi?\How weird. response:	That was supposed to be a critical hit.
context: Did you know that you can call more\experienced waitresses older sisters?\Really?\But you don't call her that, do you?\She says she doesn't like it.\M-Minchi?\How weird.\That was supposed to be a critical hit. response:	It's an emergency, Tomoe!
context: experienced waitresses older sisters?\Really?\But you don't call her that, do you?\She says she doesn't like it.\M-Minchi?\How weird.\That was supposed to be a critical hit.\It's an emergency, Tomoe! response:	Y-You can't, Minchi!
context: Really?\But you don't call her that, do you?\She says she doesn't like it.\M-Minchi?\How weird.\That was supposed to be a critical hit.\It's an emergency, Tomoe!\Y-You can't, Minchi! response:	Let go!
context: But you don't call her that, do you?\She says she doesn't like it.\M-Minchi?\How weird.\That was supposed to be a critical hit.\It's an emergency, Tomoe!\Y-You can't, Minchi!\Let go! response:	What's going on?
context: She says she doesn't like it.\M-Minchi?\How weird.\That was supposed to be a critical hit.\It's an emergency, Tomoe!\Y-You can't, Minchi!\Let go!\What's going on? response:	I need to have a word with them!
context: M-Minchi?\How weird.\That was supposed to be a critical hit.\It's an emergency, Tomoe!\Y-You can't, Minchi!\Let go!\What's going on?\I need to have a word with them! response:	They didn't lay a finger on the meals
context: How weird.\That was supposed to be a critical hit.\It's an emergency, Tomoe!\Y-You can't, Minchi!\Let go!\What's going on?\I need to have a word with them!\They didn't lay a finger on the meals response:	Mr. Ren and Tohru made!
context: That was supposed to be a critical hit.\It's an emergency, Tomoe!\Y-You can't, Minchi!\Let go!\What's going on?\I need to have a word with them!\They didn't lay a finger on the meals\Mr. Ren and Tohru made! response:	They keep eating these processed foods.
context: It's an emergency, Tomoe!\Y-You can't, Minchi!\Let go!\What's going on?\I need to have a word with them!\They didn't lay a finger on the meals\Mr. Ren and Tohru made!\They keep eating these processed foods. response:	Apparently, they brought them themselves.
context: Y-You can't, Minchi!\Let go!\What's going on?\I need to have a word with them!\They didn't lay a finger on the meals\Mr. Ren and Tohru made!\They keep eating these processed foods.\Apparently, they brought them themselves. response:	Oh, no...
context: Let go!\What's going on?\I need to have a word with them!\They didn't lay a finger on the meals\Mr. Ren and Tohru made!\They keep eating these processed foods.\Apparently, they brought them themselves.\Oh, no... response:	Those customers enjoy battlefield meals.
context: What's going on?\I need to have a word with them!\They didn't lay a finger on the meals\Mr. Ren and Tohru made!\They keep eating these processed foods.\Apparently, they brought them themselves.\Oh, no...\Those customers enjoy battlefield meals. response:	Battlefield...
context: I need to have a word with them!\They didn't lay a finger on the meals\Mr. Ren and Tohru made!\They keep eating these processed foods.\Apparently, they brought them themselves.\Oh, no...\Those customers enjoy battlefield meals.\Battlefield... response:	Like rations.
context: They didn't lay a finger on the meals\Mr. Ren and Tohru made!\They keep eating these processed foods.\Apparently, they brought them themselves.\Oh, no...\Those customers enjoy battlefield meals.\Battlefield...\Like rations. response:	In other words, I think they prefer eating light
context: Mr. Ren and Tohru made!\They keep eating these processed foods.\Apparently, they brought them themselves.\Oh, no...\Those customers enjoy battlefield meals.\Battlefield...\Like rations.\In other words, I think they prefer eating light response:	rather than gourmet meals.
context: They keep eating these processed foods.\Apparently, they brought them themselves.\Oh, no...\Those customers enjoy battlefield meals.\Battlefield...\Like rations.\In other words, I think they prefer eating light\rather than gourmet meals. response:	A riceball?
context: Apparently, they brought them themselves.\Oh, no...\Those customers enjoy battlefield meals.\Battlefield...\Like rations.\In other words, I think they prefer eating light\rather than gourmet meals.\A riceball? response:	But we have our rations...
context: Oh, no...\Those customers enjoy battlefield meals.\Battlefield...\Like rations.\In other words, I think they prefer eating light\rather than gourmet meals.\A riceball?\But we have our rations... response:	This is a lot tastier and healthier
context: Those customers enjoy battlefield meals.\Battlefield...\Like rations.\In other words, I think they prefer eating light\rather than gourmet meals.\A riceball?\But we have our rations...\This is a lot tastier and healthier response:	than those foods that are
context: Battlefield...\Like rations.\In other words, I think they prefer eating light\rather than gourmet meals.\A riceball?\But we have our rations...\This is a lot tastier and healthier\than those foods that are response:	packed with preservatives and synthetic dyes.
context: Like rations.\In other words, I think they prefer eating light\rather than gourmet meals.\A riceball?\But we have our rations...\This is a lot tastier and healthier\than those foods that are\packed with preservatives and synthetic dyes. response:	Oh...
context: In other words, I think they prefer eating light\rather than gourmet meals.\A riceball?\But we have our rations...\This is a lot tastier and healthier\than those foods that are\packed with preservatives and synthetic dyes.\Oh... response:	Oh, and before I forget...
context: rather than gourmet meals.\A riceball?\But we have our rations...\This is a lot tastier and healthier\than those foods that are\packed with preservatives and synthetic dyes.\Oh...\Oh, and before I forget... response:	Hey, Tomoe?!
context: A riceball?\But we have our rations...\This is a lot tastier and healthier\than those foods that are\packed with preservatives and synthetic dyes.\Oh...\Oh, and before I forget...\Hey, Tomoe?! response:	She made them!
context: But we have our rations...\This is a lot tastier and healthier\than those foods that are\packed with preservatives and synthetic dyes.\Oh...\Oh, and before I forget...\Hey, Tomoe?!\She made them! response:	I figured there was no point in bothering the cooks for this.
context: This is a lot tastier and healthier\than those foods that are\packed with preservatives and synthetic dyes.\Oh...\Oh, and before I forget...\Hey, Tomoe?!\She made them!\I figured there was no point in bothering the cooks for this. response:	Did...
context: than those foods that are\packed with preservatives and synthetic dyes.\Oh...\Oh, and before I forget...\Hey, Tomoe?!\She made them!\I figured there was no point in bothering the cooks for this.\Did... response:	Did this girl really make them?
context: packed with preservatives and synthetic dyes.\Oh...\Oh, and before I forget...\Hey, Tomoe?!\She made them!\I figured there was no point in bothering the cooks for this.\Did...\Did this girl really make them? response:	What?
context: Oh...\Oh, and before I forget...\Hey, Tomoe?!\She made them!\I figured there was no point in bothering the cooks for this.\Did...\Did this girl really make them?\What? response:	Y-Yeah!
context: Oh, and before I forget...\Hey, Tomoe?!\She made them!\I figured there was no point in bothering the cooks for this.\Did...\Did this girl really make them?\What?\Y-Yeah! response:	Right, Minko?!
context: Hey, Tomoe?!\She made them!\I figured there was no point in bothering the cooks for this.\Did...\Did this girl really make them?\What?\Y-Yeah!\Right, Minko?! response:	Y-Yes...
context: She made them!\I figured there was no point in bothering the cooks for this.\Did...\Did this girl really make them?\What?\Y-Yeah!\Right, Minko?!\Y-Yes... response:	But I'm not an actual chef yet, I'm...
context: I figured there was no point in bothering the cooks for this.\Did...\Did this girl really make them?\What?\Y-Yeah!\Right, Minko?!\Y-Yes...\But I'm not an actual chef yet, I'm... response:	Then I guess I'll take a bite...
context: Did...\Did this girl really make them?\What?\Y-Yeah!\Right, Minko?!\Y-Yes...\But I'm not an actual chef yet, I'm...\Then I guess I'll take a bite... response:	It's delicious!
context: Did this girl really make them?\What?\Y-Yeah!\Right, Minko?!\Y-Yes...\But I'm not an actual chef yet, I'm...\Then I guess I'll take a bite...\It's delicious! response:	It tastes exactly like the riceballs
context: What?\Y-Yeah!\Right, Minko?!\Y-Yes...\But I'm not an actual chef yet, I'm...\Then I guess I'll take a bite...\It's delicious!\It tastes exactly like the riceballs response:	my mother used to make me!
context: Y-Yeah!\Right, Minko?!\Y-Yes...\But I'm not an actual chef yet, I'm...\Then I guess I'll take a bite...\It's delicious!\It tastes exactly like the riceballs\my mother used to make me! response:	I'm so glad to be alive!
context: Right, Minko?!\Y-Yes...\But I'm not an actual chef yet, I'm...\Then I guess I'll take a bite...\It's delicious!\It tastes exactly like the riceballs\my mother used to make me!\I'm so glad to be alive! response:	What?
context: Y-Yes...\But I'm not an actual chef yet, I'm...\Then I guess I'll take a bite...\It's delicious!\It tastes exactly like the riceballs\my mother used to make me!\I'm so glad to be alive!\What? response:	More, please!
context: But I'm not an actual chef yet, I'm...\Then I guess I'll take a bite...\It's delicious!\It tastes exactly like the riceballs\my mother used to make me!\I'm so glad to be alive!\What?\More, please! response:	More! More! More!
context: Then I guess I'll take a bite...\It's delicious!\It tastes exactly like the riceballs\my mother used to make me!\I'm so glad to be alive!\What?\More, please!\More! More! More! response:	Please, more!
context: It's delicious!\It tastes exactly like the riceballs\my mother used to make me!\I'm so glad to be alive!\What?\More, please!\More! More! More!\Please, more! response:	You're incredible, Tomoe!
context: It tastes exactly like the riceballs\my mother used to make me!\I'm so glad to be alive!\What?\More, please!\More! More! More!\Please, more!\You're incredible, Tomoe! response:	Before you did that,
context: my mother used to make me!\I'm so glad to be alive!\What?\More, please!\More! More! More!\Please, more!\You're incredible, Tomoe!\Before you did that, response:	they wouldn't lay a finger on our food!
context: I'm so glad to be alive!\What?\More, please!\More! More! More!\Please, more!\You're incredible, Tomoe!\Before you did that,\they wouldn't lay a finger on our food! response:	I've also never seen Minchi look so happy!
context: What?\More, please!\More! More! More!\Please, more!\You're incredible, Tomoe!\Before you did that,\they wouldn't lay a finger on our food!\I've also never seen Minchi look so happy! response:	What on earth?
context: More, please!\More! More! More!\Please, more!\You're incredible, Tomoe!\Before you did that,\they wouldn't lay a finger on our food!\I've also never seen Minchi look so happy!\What on earth? response:	I-I'll just have to do whatever it takes now.
context: More! More! More!\Please, more!\You're incredible, Tomoe!\Before you did that,\they wouldn't lay a finger on our food!\I've also never seen Minchi look so happy!\What on earth?\I-I'll just have to do whatever it takes now. response:	We failed last time.
context: Please, more!\You're incredible, Tomoe!\Before you did that,\they wouldn't lay a finger on our food!\I've also never seen Minchi look so happy!\What on earth?\I-I'll just have to do whatever it takes now.\We failed last time. response:	We can't afford to fail again.
context: You're incredible, Tomoe!\Before you did that,\they wouldn't lay a finger on our food!\I've also never seen Minchi look so happy!\What on earth?\I-I'll just have to do whatever it takes now.\We failed last time.\We can't afford to fail again. response:	Commander!
context: Before you did that,\they wouldn't lay a finger on our food!\I've also never seen Minchi look so happy!\What on earth?\I-I'll just have to do whatever it takes now.\We failed last time.\We can't afford to fail again.\Commander! response:	Our army's future depends on this battle!
context: they wouldn't lay a finger on our food!\I've also never seen Minchi look so happy!\What on earth?\I-I'll just have to do whatever it takes now.\We failed last time.\We can't afford to fail again.\Commander!\Our army's future depends on this battle! response:	Not one soul will grieve your deaths!
