context: I'm Gouda Takeo, a first-year in high school. response:	It's summer.
context: Huh?\Then... We'd have to spend the whole night by ourselves...\Right.\The whole night by ourselves\She must be worried.\Don't worry.\Let me handle this.\First, we have to head south. response:	That's south?
context: Then... We'd have to spend the whole night by ourselves...\Right.\The whole night by ourselves\She must be worried.\Don't worry.\Let me handle this.\First, we have to head south.\That's south? response:	Just follow me, Yamato.
context: Right.\The whole night by ourselves\She must be worried.\Don't worry.\Let me handle this.\First, we have to head south.\That's south?\Just follow me, Yamato. response:	You don't have to rush.
context: The whole night by ourselves\She must be worried.\Don't worry.\Let me handle this.\First, we have to head south.\That's south?\Just follow me, Yamato.\You don't have to rush. response:	Let's just make progress while the sun's still up.
context: She must be worried.\Don't worry.\Let me handle this.\First, we have to head south.\That's south?\Just follow me, Yamato.\You don't have to rush.\Let's just make progress while the sun's still up. response:	Okay.
context: Don't worry.\Let me handle this.\First, we have to head south.\That's south?\Just follow me, Yamato.\You don't have to rush.\Let's just make progress while the sun's still up.\Okay. response:	Are you okay?
context: Let me handle this.\First, we have to head south.\That's south?\Just follow me, Yamato.\You don't have to rush.\Let's just make progress while the sun's still up.\Okay.\Are you okay? response:	What?
context: First, we have to head south.\That's south?\Just follow me, Yamato.\You don't have to rush.\Let's just make progress while the sun's still up.\Okay.\Are you okay?\What? response:	We might get separated.
context: That's south?\Just follow me, Yamato.\You don't have to rush.\Let's just make progress while the sun's still up.\Okay.\Are you okay?\What?\We might get separated. response:	If you want, you can hang on to my shirt.
context: Just follow me, Yamato.\You don't have to rush.\Let's just make progress while the sun's still up.\Okay.\Are you okay?\What?\We might get separated.\If you want, you can hang on to my shirt. response:	Okay.
context: You don't have to rush.\Let's just make progress while the sun's still up.\Okay.\Are you okay?\What?\We might get separated.\If you want, you can hang on to my shirt.\Okay. response:	Takeo-kun, do you want to eat the bentos?
context: Let's just make progress while the sun's still up.\Okay.\Are you okay?\What?\We might get separated.\If you want, you can hang on to my shirt.\Okay.\Takeo-kun, do you want to eat the bentos? response:	Oh, thanks, Yamato!
context: Okay.\Are you okay?\What?\We might get separated.\If you want, you can hang on to my shirt.\Okay.\Takeo-kun, do you want to eat the bentos?\Oh, thanks, Yamato! response:	Eat as much as you want.
context: Are you okay?\What?\We might get separated.\If you want, you can hang on to my shirt.\Okay.\Takeo-kun, do you want to eat the bentos?\Oh, thanks, Yamato!\Eat as much as you want. response:	All right!
context: What?\We might get separated.\If you want, you can hang on to my shirt.\Okay.\Takeo-kun, do you want to eat the bentos?\Oh, thanks, Yamato!\Eat as much as you want.\All right! response:	Digging in.
context: We might get separated.\If you want, you can hang on to my shirt.\Okay.\Takeo-kun, do you want to eat the bentos?\Oh, thanks, Yamato!\Eat as much as you want.\All right!\Digging in. response:	Delicious.
context: If you want, you can hang on to my shirt.\Okay.\Takeo-kun, do you want to eat the bentos?\Oh, thanks, Yamato!\Eat as much as you want.\All right!\Digging in.\Delicious. response:	Really?
context: Okay.\Takeo-kun, do you want to eat the bentos?\Oh, thanks, Yamato!\Eat as much as you want.\All right!\Digging in.\Delicious.\Really? response:	I'm glad.
context: Takeo-kun, do you want to eat the bentos?\Oh, thanks, Yamato!\Eat as much as you want.\All right!\Digging in.\Delicious.\Really?\I'm glad. response:	I'm not that good at normal cooking.
context: Oh, thanks, Yamato!\Eat as much as you want.\All right!\Digging in.\Delicious.\Really?\I'm glad.\I'm not that good at normal cooking. response:	Food tastes great outdoors.
context: Eat as much as you want.\All right!\Digging in.\Delicious.\Really?\I'm glad.\I'm not that good at normal cooking.\Food tastes great outdoors. response:	Yeah, sure does.
context: All right!\Digging in.\Delicious.\Really?\I'm glad.\I'm not that good at normal cooking.\Food tastes great outdoors.\Yeah, sure does. response:	Thanks for the food.
context: Digging in.\Delicious.\Really?\I'm glad.\I'm not that good at normal cooking.\Food tastes great outdoors.\Yeah, sure does.\Thanks for the food. response:	Oh, was that enough?
context: Delicious.\Really?\I'm glad.\I'm not that good at normal cooking.\Food tastes great outdoors.\Yeah, sure does.\Thanks for the food.\Oh, was that enough? response:	Let's leave half for the night.
context: Really?\I'm glad.\I'm not that good at normal cooking.\Food tastes great outdoors.\Yeah, sure does.\Thanks for the food.\Oh, was that enough?\Let's leave half for the night. response:	All right!
context: I'm glad.\I'm not that good at normal cooking.\Food tastes great outdoors.\Yeah, sure does.\Thanks for the food.\Oh, was that enough?\Let's leave half for the night.\All right! response:	Let's keep going until night falls.
context: I'm not that good at normal cooking.\Food tastes great outdoors.\Yeah, sure does.\Thanks for the food.\Oh, was that enough?\Let's leave half for the night.\All right!\Let's keep going until night falls. response:	O-Okay.
context: Food tastes great outdoors.\Yeah, sure does.\Thanks for the food.\Oh, was that enough?\Let's leave half for the night.\All right!\Let's keep going until night falls.\O-Okay. response:	Night...
context: Yeah, sure does.\Thanks for the food.\Oh, was that enough?\Let's leave half for the night.\All right!\Let's keep going until night falls.\O-Okay.\Night... response:	Yamato must be worried.
context: Thanks for the food.\Oh, was that enough?\Let's leave half for the night.\All right!\Let's keep going until night falls.\O-Okay.\Night...\Yamato must be worried. response:	I want to put her at ease.
context: Oh, was that enough?\Let's leave half for the night.\All right!\Let's keep going until night falls.\O-Okay.\Night...\Yamato must be worried.\I want to put her at ease. response:	We can't really see where we're going anymore...
context: Let's leave half for the night.\All right!\Let's keep going until night falls.\O-Okay.\Night...\Yamato must be worried.\I want to put her at ease.\We can't really see where we're going anymore... response:	We'll have to camp here for the night.
context: All right!\Let's keep going until night falls.\O-Okay.\Night...\Yamato must be worried.\I want to put her at ease.\We can't really see where we're going anymore...\We'll have to camp here for the night. response:	Huh?
context: Let's keep going until night falls.\O-Okay.\Night...\Yamato must be worried.\I want to put her at ease.\We can't really see where we're going anymore...\We'll have to camp here for the night.\Huh? response:	Sleep here, Yamato.
context: O-Okay.\Night...\Yamato must be worried.\I want to put her at ease.\We can't really see where we're going anymore...\We'll have to camp here for the night.\Huh?\Sleep here, Yamato. response:	Camp...
context: Night...\Yamato must be worried.\I want to put her at ease.\We can't really see where we're going anymore...\We'll have to camp here for the night.\Huh?\Sleep here, Yamato.\Camp... response:	Takeo-kun and me, just the two of us...
context: Yamato must be worried.\I want to put her at ease.\We can't really see where we're going anymore...\We'll have to camp here for the night.\Huh?\Sleep here, Yamato.\Camp...\Takeo-kun and me, just the two of us... response:	Don't worry.
context: I want to put her at ease.\We can't really see where we're going anymore...\We'll have to camp here for the night.\Huh?\Sleep here, Yamato.\Camp...\Takeo-kun and me, just the two of us...\Don't worry. response:	I'll be right by your side.
context: We can't really see where we're going anymore...\We'll have to camp here for the night.\Huh?\Sleep here, Yamato.\Camp...\Takeo-kun and me, just the two of us...\Don't worry.\I'll be right by your side. response:	Yamato...
context: We'll have to camp here for the night.\Huh?\Sleep here, Yamato.\Camp...\Takeo-kun and me, just the two of us...\Don't worry.\I'll be right by your side.\Yamato... response:	Mosquito.
context: Huh?\Sleep here, Yamato.\Camp...\Takeo-kun and me, just the two of us...\Don't worry.\I'll be right by your side.\Yamato...\Mosquito. response:	I won't let them bite Yamato!
context: Sleep here, Yamato.\Camp...\Takeo-kun and me, just the two of us...\Don't worry.\I'll be right by your side.\Yamato...\Mosquito.\I won't let them bite Yamato! response:	Mosquito
context: Camp...\Takeo-kun and me, just the two of us...\Don't worry.\I'll be right by your side.\Yamato...\Mosquito.\I won't let them bite Yamato!\Mosquito response:	Hand
context: Takeo-kun and me, just the two of us...\Don't worry.\I'll be right by your side.\Yamato...\Mosquito.\I won't let them bite Yamato!\Mosquito\Hand response:	Night
context: Don't worry.\I'll be right by your side.\Yamato...\Mosquito.\I won't let them bite Yamato!\Mosquito\Hand\Night response:	Yamato, is your cell still not getting a signal?
context: I'll be right by your side.\Yamato...\Mosquito.\I won't let them bite Yamato!\Mosquito\Hand\Night\Yamato, is your cell still not getting a signal? response:	Huh?
context: Yamato...\Mosquito.\I won't let them bite Yamato!\Mosquito\Hand\Night\Yamato, is your cell still not getting a signal?\Huh? response:	Oh, yeah.
context: Mosquito.\I won't let them bite Yamato!\Mosquito\Hand\Night\Yamato, is your cell still not getting a signal?\Huh?\Oh, yeah. response:	No Signal
context: I won't let them bite Yamato!\Mosquito\Hand\Night\Yamato, is your cell still not getting a signal?\Huh?\Oh, yeah.\No Signal response:	It still says no signal.
context: Mosquito\Hand\Night\Yamato, is your cell still not getting a signal?\Huh?\Oh, yeah.\No Signal\It still says no signal. response:	I see.
context: Hand\Night\Yamato, is your cell still not getting a signal?\Huh?\Oh, yeah.\No Signal\It still says no signal.\I see. response:	Everyone must be worried.
context: Night\Yamato, is your cell still not getting a signal?\Huh?\Oh, yeah.\No Signal\It still says no signal.\I see.\Everyone must be worried. response:	I'm sorry.
context: Yamato, is your cell still not getting a signal?\Huh?\Oh, yeah.\No Signal\It still says no signal.\I see.\Everyone must be worried.\I'm sorry. response:	And if you set your screen to that, you'll find a boyfriend.
context: Huh?\Oh, yeah.\No Signal\It still says no signal.\I see.\Everyone must be worried.\I'm sorry.\And if you set your screen to that, you'll find a boyfriend. response:	For real?
context: Oh, yeah.\No Signal\It still says no signal.\I see.\Everyone must be worried.\I'm sorry.\And if you set your screen to that, you'll find a boyfriend.\For real? response:	Who could this be?
context: No Signal\It still says no signal.\I see.\Everyone must be worried.\I'm sorry.\And if you set your screen to that, you'll find a boyfriend.\For real?\Who could this be? response:	Hello?
context: It still says no signal.\I see.\Everyone must be worried.\I'm sorry.\And if you set your screen to that, you'll find a boyfriend.\For real?\Who could this be?\Hello? response:	Oh, Rinko's mom!
context: I see.\Everyone must be worried.\I'm sorry.\And if you set your screen to that, you'll find a boyfriend.\For real?\Who could this be?\Hello?\Oh, Rinko's mom! response:	Hello? Good evening.
context: Everyone must be worried.\I'm sorry.\And if you set your screen to that, you'll find a boyfriend.\For real?\Who could this be?\Hello?\Oh, Rinko's mom!\Hello? Good evening. response:	Yes...
context: I'm sorry.\And if you set your screen to that, you'll find a boyfriend.\For real?\Who could this be?\Hello?\Oh, Rinko's mom!\Hello? Good evening.\Yes... response:	What?
context: And if you set your screen to that, you'll find a boyfriend.\For real?\Who could this be?\Hello?\Oh, Rinko's mom!\Hello? Good evening.\Yes...\What? response:	Rinko hasn't come home?!
context: For real?\Who could this be?\Hello?\Oh, Rinko's mom!\Hello? Good evening.\Yes...\What?\Rinko hasn't come home?! response:	Huh?
context: Who could this be?\Hello?\Oh, Rinko's mom!\Hello? Good evening.\Yes...\What?\Rinko hasn't come home?!\Huh? response:	Oh, you want to know if she's with us?
context: Hello?\Oh, Rinko's mom!\Hello? Good evening.\Yes...\What?\Rinko hasn't come home?!\Huh?\Oh, you want to know if she's with us? response:	Not Back From a Date
context: Oh, Rinko's mom!\Hello? Good evening.\Yes...\What?\Rinko hasn't come home?!\Huh?\Oh, you want to know if she's with us?\Not Back From a Date response:	Not Back From a Date = Overnight Stay
context: Hello? Good evening.\Yes...\What?\Rinko hasn't come home?!\Huh?\Oh, you want to know if she's with us?\Not Back From a Date\Not Back From a Date = Overnight Stay response:	Sh-She is!
context: Yes...\What?\Rinko hasn't come home?!\Huh?\Oh, you want to know if she's with us?\Not Back From a Date\Not Back From a Date = Overnight Stay\Sh-She is! response:	Rinko's with me...
context: What?\Rinko hasn't come home?!\Huh?\Oh, you want to know if she's with us?\Not Back From a Date\Not Back From a Date = Overnight Stay\Sh-She is!\Rinko's with me... response:	We have other friends with us, too.
context: Rinko hasn't come home?!\Huh?\Oh, you want to know if she's with us?\Not Back From a Date\Not Back From a Date = Overnight Stay\Sh-She is!\Rinko's with me...\We have other friends with us, too. response:	The Lies Borne of Friendship
context: Huh?\Oh, you want to know if she's with us?\Not Back From a Date\Not Back From a Date = Overnight Stay\Sh-She is!\Rinko's with me...\We have other friends with us, too.\The Lies Borne of Friendship response:	Huh?
context: Oh, you want to know if she's with us?\Not Back From a Date\Not Back From a Date = Overnight Stay\Sh-She is!\Rinko's with me...\We have other friends with us, too.\The Lies Borne of Friendship\Huh? response:	You want to talk to her now?
context: Not Back From a Date\Not Back From a Date = Overnight Stay\Sh-She is!\Rinko's with me...\We have other friends with us, too.\The Lies Borne of Friendship\Huh?\You want to talk to her now? response:	Um, but she's taking a bath.
context: Not Back From a Date = Overnight Stay\Sh-She is!\Rinko's with me...\We have other friends with us, too.\The Lies Borne of Friendship\Huh?\You want to talk to her now?\Um, but she's taking a bath. response:	Yes...
context: Sh-She is!\Rinko's with me...\We have other friends with us, too.\The Lies Borne of Friendship\Huh?\You want to talk to her now?\Um, but she's taking a bath.\Yes... response:	Please don't worry.
context: Rinko's with me...\We have other friends with us, too.\The Lies Borne of Friendship\Huh?\You want to talk to her now?\Um, but she's taking a bath.\Yes...\Please don't worry. response:	Yes.
context: We have other friends with us, too.\The Lies Borne of Friendship\Huh?\You want to talk to her now?\Um, but she's taking a bath.\Yes...\Please don't worry.\Yes. response:	Right.
context: The Lies Borne of Friendship\Huh?\You want to talk to her now?\Um, but she's taking a bath.\Yes...\Please don't worry.\Yes.\Right. response:	Yes, we're all going to stay over.
context: Huh?\You want to talk to her now?\Um, but she's taking a bath.\Yes...\Please don't worry.\Yes.\Right.\Yes, we're all going to stay over. response:	Yes.
context: You want to talk to her now?\Um, but she's taking a bath.\Yes...\Please don't worry.\Yes.\Right.\Yes, we're all going to stay over.\Yes. response:	Okay, good night.
context: Um, but she's taking a bath.\Yes...\Please don't worry.\Yes.\Right.\Yes, we're all going to stay over.\Yes.\Okay, good night. response:	Hey...
context: Yes...\Please don't worry.\Yes.\Right.\Yes, we're all going to stay over.\Yes.\Okay, good night.\Hey... response:	Calling Rinko!
context: Please don't worry.\Yes.\Right.\Yes, we're all going to stay over.\Yes.\Okay, good night.\Hey...\Calling Rinko! response:	Calling now!
context: Yes.\Right.\Yes, we're all going to stay over.\Yes.\Okay, good night.\Hey...\Calling Rinko!\Calling now! response:	Telling her we gave her an alibi...
context: Right.\Yes, we're all going to stay over.\Yes.\Okay, good night.\Hey...\Calling Rinko!\Calling now!\Telling her we gave her an alibi... response:	You're being redirected to voicemail.
context: Yes, we're all going to stay over.\Yes.\Okay, good night.\Hey...\Calling Rinko!\Calling now!\Telling her we gave her an alibi...\You're being redirected to voicemail. response:	What?
context: Yes.\Okay, good night.\Hey...\Calling Rinko!\Calling now!\Telling her we gave her an alibi...\You're being redirected to voicemail.\What? response:	I can't get through to her cell!
context: Okay, good night.\Hey...\Calling Rinko!\Calling now!\Telling her we gave her an alibi...\You're being redirected to voicemail.\What?\I can't get through to her cell! response:	What's going on?!
context: Hey...\Calling Rinko!\Calling now!\Telling her we gave her an alibi...\You're being redirected to voicemail.\What?\I can't get through to her cell!\What's going on?! response:	I'll text her.
context: Calling Rinko!\Calling now!\Telling her we gave her an alibi...\You're being redirected to voicemail.\What?\I can't get through to her cell!\What's going on?!\I'll text her. response:	Where'd they go?
context: Calling now!\Telling her we gave her an alibi...\You're being redirected to voicemail.\What?\I can't get through to her cell!\What's going on?!\I'll text her.\Where'd they go? response:	Maybe Sunakawa-kun'd know.
context: Telling her we gave her an alibi...\You're being redirected to voicemail.\What?\I can't get through to her cell!\What's going on?!\I'll text her.\Where'd they go?\Maybe Sunakawa-kun'd know. response:	Anyone have his number?
context: You're being redirected to voicemail.\What?\I can't get through to her cell!\What's going on?!\I'll text her.\Where'd they go?\Maybe Sunakawa-kun'd know.\Anyone have his number? response:	We have no choice.
context: What?\I can't get through to her cell!\What's going on?!\I'll text her.\Where'd they go?\Maybe Sunakawa-kun'd know.\Anyone have his number?\We have no choice. response:	Kurihara
context: I can't get through to her cell!\What's going on?!\I'll text her.\Where'd they go?\Maybe Sunakawa-kun'd know.\Anyone have his number?\We have no choice.\Kurihara response:	Nanako-chan?
context: What's going on?!\I'll text her.\Where'd they go?\Maybe Sunakawa-kun'd know.\Anyone have his number?\We have no choice.\Kurihara\Nanako-chan? response:	What is it?
context: I'll text her.\Where'd they go?\Maybe Sunakawa-kun'd know.\Anyone have his number?\We have no choice.\Kurihara\Nanako-chan?\What is it? response:	I appreciate your calling me during the weekend.
context: Where'd they go?\Maybe Sunakawa-kun'd know.\Anyone have his number?\We have no choice.\Kurihara\Nanako-chan?\What is it?\I appreciate your calling me during the weekend. response:	I've got nothing going on tomorrow
context: Maybe Sunakawa-kun'd know.\Anyone have his number?\We have no choice.\Kurihara\Nanako-chan?\What is it?\I appreciate your calling me during the weekend.\I've got nothing going on tomorrow response:	Hey, do you know where Rinko and her boyfriend went after their picnic?
context: Anyone have his number?\We have no choice.\Kurihara\Nanako-chan?\What is it?\I appreciate your calling me during the weekend.\I've got nothing going on tomorrow\Hey, do you know where Rinko and her boyfriend went after their picnic? response:	Huh? A picnic?
context: We have no choice.\Kurihara\Nanako-chan?\What is it?\I appreciate your calling me during the weekend.\I've got nothing going on tomorrow\Hey, do you know where Rinko and her boyfriend went after their picnic?\Huh? A picnic? response:	What's going on?
context: Kurihara\Nanako-chan?\What is it?\I appreciate your calling me during the weekend.\I've got nothing going on tomorrow\Hey, do you know where Rinko and her boyfriend went after their picnic?\Huh? A picnic?\What's going on? response:	Nothing really.
context: Nanako-chan?\What is it?\I appreciate your calling me during the weekend.\I've got nothing going on tomorrow\Hey, do you know where Rinko and her boyfriend went after their picnic?\Huh? A picnic?\What's going on?\Nothing really. response:	Later.
context: What is it?\I appreciate your calling me during the weekend.\I've got nothing going on tomorrow\Hey, do you know where Rinko and her boyfriend went after their picnic?\Huh? A picnic?\What's going on?\Nothing really.\Later. response:	Meanwhile, at the Goudas
context: I appreciate your calling me during the weekend.\I've got nothing going on tomorrow\Hey, do you know where Rinko and her boyfriend went after their picnic?\Huh? A picnic?\What's going on?\Nothing really.\Later.\Meanwhile, at the Goudas response:	Honey, how are you feeling
context: I've got nothing going on tomorrow\Hey, do you know where Rinko and her boyfriend went after their picnic?\Huh? A picnic?\What's going on?\Nothing really.\Later.\Meanwhile, at the Goudas\Honey, how are you feeling response:	I'm fine.
context: Hey, do you know where Rinko and her boyfriend went after their picnic?\Huh? A picnic?\What's going on?\Nothing really.\Later.\Meanwhile, at the Goudas\Honey, how are you feeling\I'm fine. response:	Takeo's still not back...
context: Huh? A picnic?\What's going on?\Nothing really.\Later.\Meanwhile, at the Goudas\Honey, how are you feeling\I'm fine.\Takeo's still not back... response:	Don't worry.
context: What's going on?\Nothing really.\Later.\Meanwhile, at the Goudas\Honey, how are you feeling\I'm fine.\Takeo's still not back...\Don't worry. response:	He'll be back eventually.
context: Nothing really.\Later.\Meanwhile, at the Goudas\Honey, how are you feeling\I'm fine.\Takeo's still not back...\Don't worry.\He'll be back eventually. response:	I see.
context: Later.\Meanwhile, at the Goudas\Honey, how are you feeling\I'm fine.\Takeo's still not back...\Don't worry.\He'll be back eventually.\I see. response:	Oh, dinner.
context: Meanwhile, at the Goudas\Honey, how are you feeling\I'm fine.\Takeo's still not back...\Don't worry.\He'll be back eventually.\I see.\Oh, dinner. response:	I'll make him eat it for breakfast.
context: Honey, how are you feeling\I'm fine.\Takeo's still not back...\Don't worry.\He'll be back eventually.\I see.\Oh, dinner.\I'll make him eat it for breakfast. response:	I'll put plastic wrap on it.
context: I'm fine.\Takeo's still not back...\Don't worry.\He'll be back eventually.\I see.\Oh, dinner.\I'll make him eat it for breakfast.\I'll put plastic wrap on it. response:	Meanwhile, Sunakawa
context: Takeo's still not back...\Don't worry.\He'll be back eventually.\I see.\Oh, dinner.\I'll make him eat it for breakfast.\I'll put plastic wrap on it.\Meanwhile, Sunakawa response:	Book 3...
context: Don't worry.\He'll be back eventually.\I see.\Oh, dinner.\I'll make him eat it for breakfast.\I'll put plastic wrap on it.\Meanwhile, Sunakawa\Book 3... response:	Thanks for the food.
context: He'll be back eventually.\I see.\Oh, dinner.\I'll make him eat it for breakfast.\I'll put plastic wrap on it.\Meanwhile, Sunakawa\Book 3...\Thanks for the food. response:	At night, it's pitch dark in the mountains.
context: I see.\Oh, dinner.\I'll make him eat it for breakfast.\I'll put plastic wrap on it.\Meanwhile, Sunakawa\Book 3...\Thanks for the food.\At night, it's pitch dark in the mountains. response:	That's true.
context: Oh, dinner.\I'll make him eat it for breakfast.\I'll put plastic wrap on it.\Meanwhile, Sunakawa\Book 3...\Thanks for the food.\At night, it's pitch dark in the mountains.\That's true. response:	T-Takeo-kun, um...
context: I'll make him eat it for breakfast.\I'll put plastic wrap on it.\Meanwhile, Sunakawa\Book 3...\Thanks for the food.\At night, it's pitch dark in the mountains.\That's true.\T-Takeo-kun, um... response:	Can we hold hands?
context: I'll put plastic wrap on it.\Meanwhile, Sunakawa\Book 3...\Thanks for the food.\At night, it's pitch dark in the mountains.\That's true.\T-Takeo-kun, um...\Can we hold hands? response:	Sure!
context: Meanwhile, Sunakawa\Book 3...\Thanks for the food.\At night, it's pitch dark in the mountains.\That's true.\T-Takeo-kun, um...\Can we hold hands?\Sure! response:	She must be worried...
context: Book 3...\Thanks for the food.\At night, it's pitch dark in the mountains.\That's true.\T-Takeo-kun, um...\Can we hold hands?\Sure!\She must be worried... response:	Is something coming at us?!
context: Thanks for the food.\At night, it's pitch dark in the mountains.\That's true.\T-Takeo-kun, um...\Can we hold hands?\Sure!\She must be worried...\Is something coming at us?! response:	What was that, Takeo-kun?
context: At night, it's pitch dark in the mountains.\That's true.\T-Takeo-kun, um...\Can we hold hands?\Sure!\She must be worried...\Is something coming at us?!\What was that, Takeo-kun? response:	A bear?
context: That's true.\T-Takeo-kun, um...\Can we hold hands?\Sure!\She must be worried...\Is something coming at us?!\What was that, Takeo-kun?\A bear? response:	Don't worry, it was just a boar.
context: T-Takeo-kun, um...\Can we hold hands?\Sure!\She must be worried...\Is something coming at us?!\What was that, Takeo-kun?\A bear?\Don't worry, it was just a boar. response:	Huh? A boa
context: Can we hold hands?\Sure!\She must be worried...\Is something coming at us?!\What was that, Takeo-kun?\A bear?\Don't worry, it was just a boar.\Huh? A boa response:	Don't worry.
context: Sure!\She must be worried...\Is something coming at us?!\What was that, Takeo-kun?\A bear?\Don't worry, it was just a boar.\Huh? A boa\Don't worry. response:	I'm right here.
context: She must be worried...\Is something coming at us?!\What was that, Takeo-kun?\A bear?\Don't worry, it was just a boar.\Huh? A boa\Don't worry.\I'm right here. response:	T-Takeo-kun...
context: Is something coming at us?!\What was that, Takeo-kun?\A bear?\Don't worry, it was just a boar.\Huh? A boa\Don't worry.\I'm right here.\T-Takeo-kun... response:	Yamato sounds worried.
context: What was that, Takeo-kun?\A bear?\Don't worry, it was just a boar.\Huh? A boa\Don't worry.\I'm right here.\T-Takeo-kun...\Yamato sounds worried. response:	Don't worry.
context: A bear?\Don't worry, it was just a boar.\Huh? A boa\Don't worry.\I'm right here.\T-Takeo-kun...\Yamato sounds worried.\Don't worry. response:	I'll fight off anything, even a bear.
context: Don't worry, it was just a boar.\Huh? A boa\Don't worry.\I'm right here.\T-Takeo-kun...\Yamato sounds worried.\Don't worry.\I'll fight off anything, even a bear. response:	I'll protect you.
context: Huh? A boa\Don't worry.\I'm right here.\T-Takeo-kun...\Yamato sounds worried.\Don't worry.\I'll fight off anything, even a bear.\I'll protect you. response:	Oh.
context: Don't worry.\I'm right here.\T-Takeo-kun...\Yamato sounds worried.\Don't worry.\I'll fight off anything, even a bear.\I'll protect you.\Oh. response:	Huh?
context: I'm right here.\T-Takeo-kun...\Yamato sounds worried.\Don't worry.\I'll fight off anything, even a bear.\I'll protect you.\Oh.\Huh? response:	The Moon's out...
context: T-Takeo-kun...\Yamato sounds worried.\Don't worry.\I'll fight off anything, even a bear.\I'll protect you.\Oh.\Huh?\The Moon's out... response:	Oh, you're right.
context: Yamato sounds worried.\Don't worry.\I'll fight off anything, even a bear.\I'll protect you.\Oh.\Huh?\The Moon's out...\Oh, you're right. response:	If it's this bright,
context: Don't worry.\I'll fight off anything, even a bear.\I'll protect you.\Oh.\Huh?\The Moon's out...\Oh, you're right.\If it's this bright, response:	Yamato won't be as worried anymore.
context: I'll fight off anything, even a bear.\I'll protect you.\Oh.\Huh?\The Moon's out...\Oh, you're right.\If it's this bright,\Yamato won't be as worried anymore. response:	Thanks, Moon.
context: I'll protect you.\Oh.\Huh?\The Moon's out...\Oh, you're right.\If it's this bright,\Yamato won't be as worried anymore.\Thanks, Moon. response:	You must be tired from walking all day.
context: Oh.\Huh?\The Moon's out...\Oh, you're right.\If it's this bright,\Yamato won't be as worried anymore.\Thanks, Moon.\You must be tired from walking all day. response:	Let's lie down.
context: Huh?\The Moon's out...\Oh, you're right.\If it's this bright,\Yamato won't be as worried anymore.\Thanks, Moon.\You must be tired from walking all day.\Let's lie down. response:	Huh?
context: The Moon's out...\Oh, you're right.\If it's this bright,\Yamato won't be as worried anymore.\Thanks, Moon.\You must be tired from walking all day.\Let's lie down.\Huh? response:	There.
context: Oh, you're right.\If it's this bright,\Yamato won't be as worried anymore.\Thanks, Moon.\You must be tired from walking all day.\Let's lie down.\Huh?\There. response:	We're lying next to each other!
context: If it's this bright,\Yamato won't be as worried anymore.\Thanks, Moon.\You must be tired from walking all day.\Let's lie down.\Huh?\There.\We're lying next to each other! response:	Yamato...
context: Yamato won't be as worried anymore.\Thanks, Moon.\You must be tired from walking all day.\Let's lie down.\Huh?\There.\We're lying next to each other!\Yamato... response:	Huh?
context: Thanks, Moon.\You must be tired from walking all day.\Let's lie down.\Huh?\There.\We're lying next to each other!\Yamato...\Huh? response:	Look at the sky.
context: You must be tired from walking all day.\Let's lie down.\Huh?\There.\We're lying next to each other!\Yamato...\Huh?\Look at the sky. response:	The stars are beautiful.
context: Let's lie down.\Huh?\There.\We're lying next to each other!\Yamato...\Huh?\Look at the sky.\The stars are beautiful. response:	Wow.
context: Huh?\There.\We're lying next to each other!\Yamato...\Huh?\Look at the sky.\The stars are beautiful.\Wow. response:	You're right.
context: There.\We're lying next to each other!\Yamato...\Huh?\Look at the sky.\The stars are beautiful.\Wow.\You're right. response:	You can see a lot because it's really dark.
context: We're lying next to each other!\Yamato...\Huh?\Look at the sky.\The stars are beautiful.\Wow.\You're right.\You can see a lot because it's really dark. response:	Yeah.
context: Yamato...\Huh?\Look at the sky.\The stars are beautiful.\Wow.\You're right.\You can see a lot because it's really dark.\Yeah. response:	It's like being at the planetarium.
context: Huh?\Look at the sky.\The stars are beautiful.\Wow.\You're right.\You can see a lot because it's really dark.\Yeah.\It's like being at the planetarium. response:	Yeah.
context: Look at the sky.\The stars are beautiful.\Wow.\You're right.\You can see a lot because it's really dark.\Yeah.\It's like being at the planetarium.\Yeah. response:	I'm a happy man.
context: The stars are beautiful.\Wow.\You're right.\You can see a lot because it's really dark.\Yeah.\It's like being at the planetarium.\Yeah.\I'm a happy man. response:	Are you all right?
context: Wow.\You're right.\You can see a lot because it's really dark.\Yeah.\It's like being at the planetarium.\Yeah.\I'm a happy man.\Are you all right? response:	Huh?
context: You're right.\You can see a lot because it's really dark.\Yeah.\It's like being at the planetarium.\Yeah.\I'm a happy man.\Are you all right?\Huh? response:	Are you worried?
context: You can see a lot because it's really dark.\Yeah.\It's like being at the planetarium.\Yeah.\I'm a happy man.\Are you all right?\Huh?\Are you worried? response:	I'm fine.
context: Yeah.\It's like being at the planetarium.\Yeah.\I'm a happy man.\Are you all right?\Huh?\Are you worried?\I'm fine. response:	You always ask if I'm all right,
context: It's like being at the planetarium.\Yeah.\I'm a happy man.\Are you all right?\Huh?\Are you worried?\I'm fine.\You always ask if I'm all right, response:	but I am.
context: Yeah.\I'm a happy man.\Are you all right?\Huh?\Are you worried?\I'm fine.\You always ask if I'm all right,\but I am. response:	Okay.
context: I'm a happy man.\Are you all right?\Huh?\Are you worried?\I'm fine.\You always ask if I'm all right,\but I am.\Okay. response:	Yeah.
