context: No matter how close we are as friends, response:	and no matter how often I commute to the studio to see them practice,
context: - Days of no progress....produced in Hokkaido.\Huh? My keys aren't in here. Did Misato not go out today?\NANA KOMATSU FROM SEIICHI AND HARUE MIZUKOSHI\No way! From Mr. Mizukoshi? What is it?!\WE GOT MARRIED\He didn't hafta notify me about that.\That's so nice. I envy them.\I wanna hurry and get married, too. His wife is so cute. response:	He said he knew her since they were kids.
context: Huh? My keys aren't in here. Did Misato not go out today?\NANA KOMATSU FROM SEIICHI AND HARUE MIZUKOSHI\No way! From Mr. Mizukoshi? What is it?!\WE GOT MARRIED\He didn't hafta notify me about that.\That's so nice. I envy them.\I wanna hurry and get married, too. His wife is so cute.\He said he knew her since they were kids. response:	I want a cool childhood friend, too.
context: NANA KOMATSU FROM SEIICHI AND HARUE MIZUKOSHI\No way! From Mr. Mizukoshi? What is it?!\WE GOT MARRIED\He didn't hafta notify me about that.\That's so nice. I envy them.\I wanna hurry and get married, too. His wife is so cute.\He said he knew her since they were kids.\I want a cool childhood friend, too. response:	I don't care if I don't find a challenging job.
context: No way! From Mr. Mizukoshi? What is it?!\WE GOT MARRIED\He didn't hafta notify me about that.\That's so nice. I envy them.\I wanna hurry and get married, too. His wife is so cute.\He said he knew her since they were kids.\I want a cool childhood friend, too.\I don't care if I don't find a challenging job. response:	If I could just cook every day for someone I love,
context: WE GOT MARRIED\He didn't hafta notify me about that.\That's so nice. I envy them.\I wanna hurry and get married, too. His wife is so cute.\He said he knew her since they were kids.\I want a cool childhood friend, too.\I don't care if I don't find a challenging job.\If I could just cook every day for someone I love, response:	that'd make me so happy.
context: He didn't hafta notify me about that.\That's so nice. I envy them.\I wanna hurry and get married, too. His wife is so cute.\He said he knew her since they were kids.\I want a cool childhood friend, too.\I don't care if I don't find a challenging job.\If I could just cook every day for someone I love,\that'd make me so happy. response:	But marriage is unthinkable with Takumi.
context: That's so nice. I envy them.\I wanna hurry and get married, too. His wife is so cute.\He said he knew her since they were kids.\I want a cool childhood friend, too.\I don't care if I don't find a challenging job.\If I could just cook every day for someone I love,\that'd make me so happy.\But marriage is unthinkable with Takumi. response:	I should hurry up and put an end to this pathetic relationship
context: I wanna hurry and get married, too. His wife is so cute.\He said he knew her since they were kids.\I want a cool childhood friend, too.\I don't care if I don't find a challenging job.\If I could just cook every day for someone I love,\that'd make me so happy.\But marriage is unthinkable with Takumi.\I should hurry up and put an end to this pathetic relationship response:	and start a real one.
context: He said he knew her since they were kids.\I want a cool childhood friend, too.\I don't care if I don't find a challenging job.\If I could just cook every day for someone I love,\that'd make me so happy.\But marriage is unthinkable with Takumi.\I should hurry up and put an end to this pathetic relationship\and start a real one. response:	But can a person like me find someone
context: I want a cool childhood friend, too.\I don't care if I don't find a challenging job.\If I could just cook every day for someone I love,\that'd make me so happy.\But marriage is unthinkable with Takumi.\I should hurry up and put an end to this pathetic relationship\and start a real one.\But can a person like me find someone response:	who will love me for the rest of my life?
context: I don't care if I don't find a challenging job.\If I could just cook every day for someone I love,\that'd make me so happy.\But marriage is unthinkable with Takumi.\I should hurry up and put an end to this pathetic relationship\and start a real one.\But can a person like me find someone\who will love me for the rest of my life? response:	What if things keep going like this and I can't find anything to live for?
context: If I could just cook every day for someone I love,\that'd make me so happy.\But marriage is unthinkable with Takumi.\I should hurry up and put an end to this pathetic relationship\and start a real one.\But can a person like me find someone\who will love me for the rest of my life?\What if things keep going like this and I can't find anything to live for? response:	Am I gonna grow old and die alone?
context: that'd make me so happy.\But marriage is unthinkable with Takumi.\I should hurry up and put an end to this pathetic relationship\and start a real one.\But can a person like me find someone\who will love me for the rest of my life?\What if things keep going like this and I can't find anything to live for?\Am I gonna grow old and die alone? response:	- Huh? - We're celebrating.
context: But marriage is unthinkable with Takumi.\I should hurry up and put an end to this pathetic relationship\and start a real one.\But can a person like me find someone\who will love me for the rest of my life?\What if things keep going like this and I can't find anything to live for?\Am I gonna grow old and die alone?\- Huh? - We're celebrating. response:	They just got a contract with the record company!
context: I should hurry up and put an end to this pathetic relationship\and start a real one.\But can a person like me find someone\who will love me for the rest of my life?\What if things keep going like this and I can't find anything to live for?\Am I gonna grow old and die alone?\- Huh? - We're celebrating.\They just got a contract with the record company! response:	We haven't signed it yet, though.
context: and start a real one.\But can a person like me find someone\who will love me for the rest of my life?\What if things keep going like this and I can't find anything to live for?\Am I gonna grow old and die alone?\- Huh? - We're celebrating.\They just got a contract with the record company!\We haven't signed it yet, though. response:	Like I said, what reason do you have to hesitate?
context: But can a person like me find someone\who will love me for the rest of my life?\What if things keep going like this and I can't find anything to live for?\Am I gonna grow old and die alone?\- Huh? - We're celebrating.\They just got a contract with the record company!\We haven't signed it yet, though.\Like I said, what reason do you have to hesitate? response:	Well... There are a number of things.
context: who will love me for the rest of my life?\What if things keep going like this and I can't find anything to live for?\Am I gonna grow old and die alone?\- Huh? - We're celebrating.\They just got a contract with the record company!\We haven't signed it yet, though.\Like I said, what reason do you have to hesitate?\Well... There are a number of things. response:	Hachi!
context: What if things keep going like this and I can't find anything to live for?\Am I gonna grow old and die alone?\- Huh? - We're celebrating.\They just got a contract with the record company!\We haven't signed it yet, though.\Like I said, what reason do you have to hesitate?\Well... There are a number of things.\Hachi! response:	I'm sorry. Your cake was delicious.
context: Am I gonna grow old and die alone?\- Huh? - We're celebrating.\They just got a contract with the record company!\We haven't signed it yet, though.\Like I said, what reason do you have to hesitate?\Well... There are a number of things.\Hachi!\I'm sorry. Your cake was delicious. response:	Shin.
context: - Huh? - We're celebrating.\They just got a contract with the record company!\We haven't signed it yet, though.\Like I said, what reason do you have to hesitate?\Well... There are a number of things.\Hachi!\I'm sorry. Your cake was delicious.\Shin. response:	Make me your wife.
context: They just got a contract with the record company!\We haven't signed it yet, though.\Like I said, what reason do you have to hesitate?\Well... There are a number of things.\Hachi!\I'm sorry. Your cake was delicious.\Shin.\Make me your wife. response:	Hey, Shin! What are you doing?!
context: We haven't signed it yet, though.\Like I said, what reason do you have to hesitate?\Well... There are a number of things.\Hachi!\I'm sorry. Your cake was delicious.\Shin.\Make me your wife.\Hey, Shin! What are you doing?! response:	Unable to play the guitar or piano,
context: Like I said, what reason do you have to hesitate?\Well... There are a number of things.\Hachi!\I'm sorry. Your cake was delicious.\Shin.\Make me your wife.\Hey, Shin! What are you doing?!\Unable to play the guitar or piano, response:	I could never become a member of BLAST...
context: Well... There are a number of things.\Hachi!\I'm sorry. Your cake was delicious.\Shin.\Make me your wife.\Hey, Shin! What are you doing?!\Unable to play the guitar or piano,\I could never become a member of BLAST... response:	But no one can surpass the love I feel for BLAST and their music.
context: Hachi!\I'm sorry. Your cake was delicious.\Shin.\Make me your wife.\Hey, Shin! What are you doing?!\Unable to play the guitar or piano,\I could never become a member of BLAST...\But no one can surpass the love I feel for BLAST and their music. response:	And I swear to this for as long as I live.
context: I'm sorry. Your cake was delicious.\Shin.\Make me your wife.\Hey, Shin! What are you doing?!\Unable to play the guitar or piano,\I could never become a member of BLAST...\But no one can surpass the love I feel for BLAST and their music.\And I swear to this for as long as I live. response:	So for a straight-up punk band like us
context: Shin.\Make me your wife.\Hey, Shin! What are you doing?!\Unable to play the guitar or piano,\I could never become a member of BLAST...\But no one can surpass the love I feel for BLAST and their music.\And I swear to this for as long as I live.\So for a straight-up punk band like us response:	will do better in the long run if we take our time
context: Make me your wife.\Hey, Shin! What are you doing?!\Unable to play the guitar or piano,\I could never become a member of BLAST...\But no one can surpass the love I feel for BLAST and their music.\And I swear to this for as long as I live.\So for a straight-up punk band like us\will do better in the long run if we take our time response:	and go about on our own for a while, building a fan base,
context: Hey, Shin! What are you doing?!\Unable to play the guitar or piano,\I could never become a member of BLAST...\But no one can surpass the love I feel for BLAST and their music.\And I swear to this for as long as I live.\So for a straight-up punk band like us\will do better in the long run if we take our time\and go about on our own for a while, building a fan base, response:	rather than suddenly going big and signing with a record company.
context: Unable to play the guitar or piano,\I could never become a member of BLAST...\But no one can surpass the love I feel for BLAST and their music.\And I swear to this for as long as I live.\So for a straight-up punk band like us\will do better in the long run if we take our time\and go about on our own for a while, building a fan base,\rather than suddenly going big and signing with a record company. response:	Why?
context: I could never become a member of BLAST...\But no one can surpass the love I feel for BLAST and their music.\And I swear to this for as long as I live.\So for a straight-up punk band like us\will do better in the long run if we take our time\and go about on our own for a while, building a fan base,\rather than suddenly going big and signing with a record company.\Why? response:	Sure, there are many skilled artists as good as pros
context: But no one can surpass the love I feel for BLAST and their music.\And I swear to this for as long as I live.\So for a straight-up punk band like us\will do better in the long run if we take our time\and go about on our own for a while, building a fan base,\rather than suddenly going big and signing with a record company.\Why?\Sure, there are many skilled artists as good as pros response:	who haven't signed a contract with a major label,
context: And I swear to this for as long as I live.\So for a straight-up punk band like us\will do better in the long run if we take our time\and go about on our own for a while, building a fan base,\rather than suddenly going big and signing with a record company.\Why?\Sure, there are many skilled artists as good as pros\who haven't signed a contract with a major label, response:	but if you're planning on going pro eventually anyway,
context: So for a straight-up punk band like us\will do better in the long run if we take our time\and go about on our own for a while, building a fan base,\rather than suddenly going big and signing with a record company.\Why?\Sure, there are many skilled artists as good as pros\who haven't signed a contract with a major label,\but if you're planning on going pro eventually anyway, response:	why do it in such a roundabout way?
context: will do better in the long run if we take our time\and go about on our own for a while, building a fan base,\rather than suddenly going big and signing with a record company.\Why?\Sure, there are many skilled artists as good as pros\who haven't signed a contract with a major label,\but if you're planning on going pro eventually anyway,\why do it in such a roundabout way? response:	You have an offer on the table from an industry leader.
context: and go about on our own for a while, building a fan base,\rather than suddenly going big and signing with a record company.\Why?\Sure, there are many skilled artists as good as pros\who haven't signed a contract with a major label,\but if you're planning on going pro eventually anyway,\why do it in such a roundabout way?\You have an offer on the table from an industry leader. response:	You seem to know your music, Misato.
context: rather than suddenly going big and signing with a record company.\Why?\Sure, there are many skilled artists as good as pros\who haven't signed a contract with a major label,\but if you're planning on going pro eventually anyway,\why do it in such a roundabout way?\You have an offer on the table from an industry leader.\You seem to know your music, Misato. response:	When it comes to going pro,
context: Why?\Sure, there are many skilled artists as good as pros\who haven't signed a contract with a major label,\but if you're planning on going pro eventually anyway,\why do it in such a roundabout way?\You have an offer on the table from an industry leader.\You seem to know your music, Misato.\When it comes to going pro, response:	our Queen, for one, is feeling a sense of urgency,
context: Sure, there are many skilled artists as good as pros\who haven't signed a contract with a major label,\but if you're planning on going pro eventually anyway,\why do it in such a roundabout way?\You have an offer on the table from an industry leader.\You seem to know your music, Misato.\When it comes to going pro,\our Queen, for one, is feeling a sense of urgency, response:	and I had initially thought if we're gonna do this anyway,
context: who haven't signed a contract with a major label,\but if you're planning on going pro eventually anyway,\why do it in such a roundabout way?\You have an offer on the table from an industry leader.\You seem to know your music, Misato.\When it comes to going pro,\our Queen, for one, is feeling a sense of urgency,\and I had initially thought if we're gonna do this anyway, response:	why not go big and become pro?
context: but if you're planning on going pro eventually anyway,\why do it in such a roundabout way?\You have an offer on the table from an industry leader.\You seem to know your music, Misato.\When it comes to going pro,\our Queen, for one, is feeling a sense of urgency,\and I had initially thought if we're gonna do this anyway,\why not go big and become pro? response:	However, after thinking it through some more...
context: why do it in such a roundabout way?\You have an offer on the table from an industry leader.\You seem to know your music, Misato.\When it comes to going pro,\our Queen, for one, is feeling a sense of urgency,\and I had initially thought if we're gonna do this anyway,\why not go big and become pro?\However, after thinking it through some more... response:	Come on. You don't need to think things through that much.
context: You have an offer on the table from an industry leader.\You seem to know your music, Misato.\When it comes to going pro,\our Queen, for one, is feeling a sense of urgency,\and I had initially thought if we're gonna do this anyway,\why not go big and become pro?\However, after thinking it through some more...\Come on. You don't need to think things through that much. response:	I know you wanna be safe and tap a bridge before you cross it,
context: You seem to know your music, Misato.\When it comes to going pro,\our Queen, for one, is feeling a sense of urgency,\and I had initially thought if we're gonna do this anyway,\why not go big and become pro?\However, after thinking it through some more...\Come on. You don't need to think things through that much.\I know you wanna be safe and tap a bridge before you cross it, response:	but too much tapping will cause it to collapse.
context: When it comes to going pro,\our Queen, for one, is feeling a sense of urgency,\and I had initially thought if we're gonna do this anyway,\why not go big and become pro?\However, after thinking it through some more...\Come on. You don't need to think things through that much.\I know you wanna be safe and tap a bridge before you cross it,\but too much tapping will cause it to collapse. response:	However, in the world of the major labels,
context: our Queen, for one, is feeling a sense of urgency,\and I had initially thought if we're gonna do this anyway,\why not go big and become pro?\However, after thinking it through some more...\Come on. You don't need to think things through that much.\I know you wanna be safe and tap a bridge before you cross it,\but too much tapping will cause it to collapse.\However, in the world of the major labels, response:	everything's driven by sales.
context: and I had initially thought if we're gonna do this anyway,\why not go big and become pro?\However, after thinking it through some more...\Come on. You don't need to think things through that much.\I know you wanna be safe and tap a bridge before you cross it,\but too much tapping will cause it to collapse.\However, in the world of the major labels,\everything's driven by sales. response:	Even if you come up with a hit song,
context: why not go big and become pro?\However, after thinking it through some more...\Come on. You don't need to think things through that much.\I know you wanna be safe and tap a bridge before you cross it,\but too much tapping will cause it to collapse.\However, in the world of the major labels,\everything's driven by sales.\Even if you come up with a hit song, response:	unless you follow it up with another hit,
context: However, after thinking it through some more...\Come on. You don't need to think things through that much.\I know you wanna be safe and tap a bridge before you cross it,\but too much tapping will cause it to collapse.\However, in the world of the major labels,\everything's driven by sales.\Even if you come up with a hit song,\unless you follow it up with another hit, response:	the public will be quick to desert you.
context: Come on. You don't need to think things through that much.\I know you wanna be safe and tap a bridge before you cross it,\but too much tapping will cause it to collapse.\However, in the world of the major labels,\everything's driven by sales.\Even if you come up with a hit song,\unless you follow it up with another hit,\the public will be quick to desert you. response:	Once you're left with the image of being a one-hit wonder,
context: I know you wanna be safe and tap a bridge before you cross it,\but too much tapping will cause it to collapse.\However, in the world of the major labels,\everything's driven by sales.\Even if you come up with a hit song,\unless you follow it up with another hit,\the public will be quick to desert you.\Once you're left with the image of being a one-hit wonder, response:	it'll be extremely difficult to make a comeback.
context: but too much tapping will cause it to collapse.\However, in the world of the major labels,\everything's driven by sales.\Even if you come up with a hit song,\unless you follow it up with another hit,\the public will be quick to desert you.\Once you're left with the image of being a one-hit wonder,\it'll be extremely difficult to make a comeback. response:	I see. In other words, you're saying
context: However, in the world of the major labels,\everything's driven by sales.\Even if you come up with a hit song,\unless you follow it up with another hit,\the public will be quick to desert you.\Once you're left with the image of being a one-hit wonder,\it'll be extremely difficult to make a comeback.\I see. In other words, you're saying response:	it would be better to get established first
context: everything's driven by sales.\Even if you come up with a hit song,\unless you follow it up with another hit,\the public will be quick to desert you.\Once you're left with the image of being a one-hit wonder,\it'll be extremely difficult to make a comeback.\I see. In other words, you're saying\it would be better to get established first response:	by attracting fans that will stick with you,
context: Even if you come up with a hit song,\unless you follow it up with another hit,\the public will be quick to desert you.\Once you're left with the image of being a one-hit wonder,\it'll be extremely difficult to make a comeback.\I see. In other words, you're saying\it would be better to get established first\by attracting fans that will stick with you, response:	and then switch to a major label once you've built that foundation.
context: unless you follow it up with another hit,\the public will be quick to desert you.\Once you're left with the image of being a one-hit wonder,\it'll be extremely difficult to make a comeback.\I see. In other words, you're saying\it would be better to get established first\by attracting fans that will stick with you,\and then switch to a major label once you've built that foundation. response:	That's right. Besides, with our current position,
context: the public will be quick to desert you.\Once you're left with the image of being a one-hit wonder,\it'll be extremely difficult to make a comeback.\I see. In other words, you're saying\it would be better to get established first\by attracting fans that will stick with you,\and then switch to a major label once you've built that foundation.\That's right. Besides, with our current position, response:	we'd pretty much hafta agree to a contract that favors the record company.
context: Once you're left with the image of being a one-hit wonder,\it'll be extremely difficult to make a comeback.\I see. In other words, you're saying\it would be better to get established first\by attracting fans that will stick with you,\and then switch to a major label once you've built that foundation.\That's right. Besides, with our current position,\we'd pretty much hafta agree to a contract that favors the record company. response:	Do you mean money?
context: it'll be extremely difficult to make a comeback.\I see. In other words, you're saying\it would be better to get established first\by attracting fans that will stick with you,\and then switch to a major label once you've built that foundation.\That's right. Besides, with our current position,\we'd pretty much hafta agree to a contract that favors the record company.\Do you mean money? response:	No, various things.
context: I see. In other words, you're saying\it would be better to get established first\by attracting fans that will stick with you,\and then switch to a major label once you've built that foundation.\That's right. Besides, with our current position,\we'd pretty much hafta agree to a contract that favors the record company.\Do you mean money?\No, various things. response:	But if we build a reputation, there will be more offers to go pro,
context: it would be better to get established first\by attracting fans that will stick with you,\and then switch to a major label once you've built that foundation.\That's right. Besides, with our current position,\we'd pretty much hafta agree to a contract that favors the record company.\Do you mean money?\No, various things.\But if we build a reputation, there will be more offers to go pro, response:	and we'd be able to choose among them
context: by attracting fans that will stick with you,\and then switch to a major label once you've built that foundation.\That's right. Besides, with our current position,\we'd pretty much hafta agree to a contract that favors the record company.\Do you mean money?\No, various things.\But if we build a reputation, there will be more offers to go pro,\and we'd be able to choose among them response:	for one that provides the best conditions.
context: and then switch to a major label once you've built that foundation.\That's right. Besides, with our current position,\we'd pretty much hafta agree to a contract that favors the record company.\Do you mean money?\No, various things.\But if we build a reputation, there will be more offers to go pro,\and we'd be able to choose among them\for one that provides the best conditions. response:	I don't care about the terms!
context: That's right. Besides, with our current position,\we'd pretty much hafta agree to a contract that favors the record company.\Do you mean money?\No, various things.\But if we build a reputation, there will be more offers to go pro,\and we'd be able to choose among them\for one that provides the best conditions.\I don't care about the terms! response:	Let's go pro and take our chances from there!
context: we'd pretty much hafta agree to a contract that favors the record company.\Do you mean money?\No, various things.\But if we build a reputation, there will be more offers to go pro,\and we'd be able to choose among them\for one that provides the best conditions.\I don't care about the terms!\Let's go pro and take our chances from there! response:	We simply need to sell songs, right?!
context: Do you mean money?\No, various things.\But if we build a reputation, there will be more offers to go pro,\and we'd be able to choose among them\for one that provides the best conditions.\I don't care about the terms!\Let's go pro and take our chances from there!\We simply need to sell songs, right?! response:	That's right, that's right!
context: No, various things.\But if we build a reputation, there will be more offers to go pro,\and we'd be able to choose among them\for one that provides the best conditions.\I don't care about the terms!\Let's go pro and take our chances from there!\We simply need to sell songs, right?!\That's right, that's right! response:	But to be honest, in your present state,
context: But if we build a reputation, there will be more offers to go pro,\and we'd be able to choose among them\for one that provides the best conditions.\I don't care about the terms!\Let's go pro and take our chances from there!\We simply need to sell songs, right?!\That's right, that's right!\But to be honest, in your present state, response:	I don't believe you can write several marketable songs in a row.
context: and we'd be able to choose among them\for one that provides the best conditions.\I don't care about the terms!\Let's go pro and take our chances from there!\We simply need to sell songs, right?!\That's right, that's right!\But to be honest, in your present state,\I don't believe you can write several marketable songs in a row. response:	Nonsense! Sure, he can! Like, he already has!
context: for one that provides the best conditions.\I don't care about the terms!\Let's go pro and take our chances from there!\We simply need to sell songs, right?!\That's right, that's right!\But to be honest, in your present state,\I don't believe you can write several marketable songs in a row.\Nonsense! Sure, he can! Like, he already has! response:	Think about it! I'm not a big fan of punk music,
context: I don't care about the terms!\Let's go pro and take our chances from there!\We simply need to sell songs, right?!\That's right, that's right!\But to be honest, in your present state,\I don't believe you can write several marketable songs in a row.\Nonsense! Sure, he can! Like, he already has!\Think about it! I'm not a big fan of punk music, response:	and frankly, I've never been interested in punk music at all!
context: Let's go pro and take our chances from there!\We simply need to sell songs, right?!\That's right, that's right!\But to be honest, in your present state,\I don't believe you can write several marketable songs in a row.\Nonsense! Sure, he can! Like, he already has!\Think about it! I'm not a big fan of punk music,\and frankly, I've never been interested in punk music at all! response:	I only know the Sex Pistols
context: We simply need to sell songs, right?!\That's right, that's right!\But to be honest, in your present state,\I don't believe you can write several marketable songs in a row.\Nonsense! Sure, he can! Like, he already has!\Think about it! I'm not a big fan of punk music,\and frankly, I've never been interested in punk music at all!\I only know the Sex Pistols response:	because I watched that movie, Sid and Nancy!
context: That's right, that's right!\But to be honest, in your present state,\I don't believe you can write several marketable songs in a row.\Nonsense! Sure, he can! Like, he already has!\Think about it! I'm not a big fan of punk music,\and frankly, I've never been interested in punk music at all!\I only know the Sex Pistols\because I watched that movie, Sid and Nancy! response:	And even then, I was left with the feeling
context: But to be honest, in your present state,\I don't believe you can write several marketable songs in a row.\Nonsense! Sure, he can! Like, he already has!\Think about it! I'm not a big fan of punk music,\and frankly, I've never been interested in punk music at all!\I only know the Sex Pistols\because I watched that movie, Sid and Nancy!\And even then, I was left with the feeling response:	that I don't really understand punk music!
context: I don't believe you can write several marketable songs in a row.\Nonsense! Sure, he can! Like, he already has!\Think about it! I'm not a big fan of punk music,\and frankly, I've never been interested in punk music at all!\I only know the Sex Pistols\because I watched that movie, Sid and Nancy!\And even then, I was left with the feeling\that I don't really understand punk music! response:	Is that so?
context: Nonsense! Sure, he can! Like, he already has!\Think about it! I'm not a big fan of punk music,\and frankly, I've never been interested in punk music at all!\I only know the Sex Pistols\because I watched that movie, Sid and Nancy!\And even then, I was left with the feeling\that I don't really understand punk music!\Is that so? response:	I'm sorry.
context: Think about it! I'm not a big fan of punk music,\and frankly, I've never been interested in punk music at all!\I only know the Sex Pistols\because I watched that movie, Sid and Nancy!\And even then, I was left with the feeling\that I don't really understand punk music!\Is that so?\I'm sorry. response:	But... I like the songs Nobu writes.
context: and frankly, I've never been interested in punk music at all!\I only know the Sex Pistols\because I watched that movie, Sid and Nancy!\And even then, I was left with the feeling\that I don't really understand punk music!\Is that so?\I'm sorry.\But... I like the songs Nobu writes. response:	And it's not that I'm favoring his music because we're friends.
context: I only know the Sex Pistols\because I watched that movie, Sid and Nancy!\And even then, I was left with the feeling\that I don't really understand punk music!\Is that so?\I'm sorry.\But... I like the songs Nobu writes.\And it's not that I'm favoring his music because we're friends. response:	I've thought so ever since I heard his music for the first time.
context: because I watched that movie, Sid and Nancy!\And even then, I was left with the feeling\that I don't really understand punk music!\Is that so?\I'm sorry.\But... I like the songs Nobu writes.\And it's not that I'm favoring his music because we're friends.\I've thought so ever since I heard his music for the first time. response:	I was totally surprised!
context: And even then, I was left with the feeling\that I don't really understand punk music!\Is that so?\I'm sorry.\But... I like the songs Nobu writes.\And it's not that I'm favoring his music because we're friends.\I've thought so ever since I heard his music for the first time.\I was totally surprised! response:	I was deeply moved!
context: that I don't really understand punk music!\Is that so?\I'm sorry.\But... I like the songs Nobu writes.\And it's not that I'm favoring his music because we're friends.\I've thought so ever since I heard his music for the first time.\I was totally surprised!\I was deeply moved! response:	It's so cool, it gave me goose bumps.
context: Is that so?\I'm sorry.\But... I like the songs Nobu writes.\And it's not that I'm favoring his music because we're friends.\I've thought so ever since I heard his music for the first time.\I was totally surprised!\I was deeply moved!\It's so cool, it gave me goose bumps. response:	There is no way you won't sell.
context: I'm sorry.\But... I like the songs Nobu writes.\And it's not that I'm favoring his music because we're friends.\I've thought so ever since I heard his music for the first time.\I was totally surprised!\I was deeply moved!\It's so cool, it gave me goose bumps.\There is no way you won't sell. response:	You know... Hachi...
context: But... I like the songs Nobu writes.\And it's not that I'm favoring his music because we're friends.\I've thought so ever since I heard his music for the first time.\I was totally surprised!\I was deeply moved!\It's so cool, it gave me goose bumps.\There is no way you won't sell.\You know... Hachi... response:	It's okay, I understand.
context: And it's not that I'm favoring his music because we're friends.\I've thought so ever since I heard his music for the first time.\I was totally surprised!\I was deeply moved!\It's so cool, it gave me goose bumps.\There is no way you won't sell.\You know... Hachi...\It's okay, I understand. response:	Thank you. Don't say another word.
context: I've thought so ever since I heard his music for the first time.\I was totally surprised!\I was deeply moved!\It's so cool, it gave me goose bumps.\There is no way you won't sell.\You know... Hachi...\It's okay, I understand.\Thank you. Don't say another word. response:	I'm so happy I could cry.
context: I was totally surprised!\I was deeply moved!\It's so cool, it gave me goose bumps.\There is no way you won't sell.\You know... Hachi...\It's okay, I understand.\Thank you. Don't say another word.\I'm so happy I could cry. response:	But I also think you're capable of writing songs that will be popular.
context: I was deeply moved!\It's so cool, it gave me goose bumps.\There is no way you won't sell.\You know... Hachi...\It's okay, I understand.\Thank you. Don't say another word.\I'm so happy I could cry.\But I also think you're capable of writing songs that will be popular. response:	Really?
context: It's so cool, it gave me goose bumps.\There is no way you won't sell.\You know... Hachi...\It's okay, I understand.\Thank you. Don't say another word.\I'm so happy I could cry.\But I also think you're capable of writing songs that will be popular.\Really? response:	With the original BLAST, Ren wrote most of the songs,
context: There is no way you won't sell.\You know... Hachi...\It's okay, I understand.\Thank you. Don't say another word.\I'm so happy I could cry.\But I also think you're capable of writing songs that will be popular.\Really?\With the original BLAST, Ren wrote most of the songs, response:	so I do believe the music appealed to only the hardcore fans.
context: You know... Hachi...\It's okay, I understand.\Thank you. Don't say another word.\I'm so happy I could cry.\But I also think you're capable of writing songs that will be popular.\Really?\With the original BLAST, Ren wrote most of the songs,\so I do believe the music appealed to only the hardcore fans. response:	But compared to Ren's music, Nobu's music is closer to pop.
context: It's okay, I understand.\Thank you. Don't say another word.\I'm so happy I could cry.\But I also think you're capable of writing songs that will be popular.\Really?\With the original BLAST, Ren wrote most of the songs,\so I do believe the music appealed to only the hardcore fans.\But compared to Ren's music, Nobu's music is closer to pop. response:	With a little work, I think the music could gain support
context: Thank you. Don't say another word.\I'm so happy I could cry.\But I also think you're capable of writing songs that will be popular.\Really?\With the original BLAST, Ren wrote most of the songs,\so I do believe the music appealed to only the hardcore fans.\But compared to Ren's music, Nobu's music is closer to pop.\With a little work, I think the music could gain support response:	from a wide range of listeners.
context: I'm so happy I could cry.\But I also think you're capable of writing songs that will be popular.\Really?\With the original BLAST, Ren wrote most of the songs,\so I do believe the music appealed to only the hardcore fans.\But compared to Ren's music, Nobu's music is closer to pop.\With a little work, I think the music could gain support\from a wide range of listeners. response:	But Ren's songs are very popular with the general public.
context: But I also think you're capable of writing songs that will be popular.\Really?\With the original BLAST, Ren wrote most of the songs,\so I do believe the music appealed to only the hardcore fans.\But compared to Ren's music, Nobu's music is closer to pop.\With a little work, I think the music could gain support\from a wide range of listeners.\But Ren's songs are very popular with the general public. response:	That's because now he's writing songs to suit the Trapnest style,
context: Really?\With the original BLAST, Ren wrote most of the songs,\so I do believe the music appealed to only the hardcore fans.\But compared to Ren's music, Nobu's music is closer to pop.\With a little work, I think the music could gain support\from a wide range of listeners.\But Ren's songs are very popular with the general public.\That's because now he's writing songs to suit the Trapnest style, response:	as a professional.
context: With the original BLAST, Ren wrote most of the songs,\so I do believe the music appealed to only the hardcore fans.\But compared to Ren's music, Nobu's music is closer to pop.\With a little work, I think the music could gain support\from a wide range of listeners.\But Ren's songs are very popular with the general public.\That's because now he's writing songs to suit the Trapnest style,\as a professional. response:	Yeah. You're very knowledgeable, Misato.
context: so I do believe the music appealed to only the hardcore fans.\But compared to Ren's music, Nobu's music is closer to pop.\With a little work, I think the music could gain support\from a wide range of listeners.\But Ren's songs are very popular with the general public.\That's because now he's writing songs to suit the Trapnest style,\as a professional.\Yeah. You're very knowledgeable, Misato. response:	I'm impressed.
context: But compared to Ren's music, Nobu's music is closer to pop.\With a little work, I think the music could gain support\from a wide range of listeners.\But Ren's songs are very popular with the general public.\That's because now he's writing songs to suit the Trapnest style,\as a professional.\Yeah. You're very knowledgeable, Misato.\I'm impressed. response:	I'm impressed with Ren.
context: With a little work, I think the music could gain support\from a wide range of listeners.\But Ren's songs are very popular with the general public.\That's because now he's writing songs to suit the Trapnest style,\as a professional.\Yeah. You're very knowledgeable, Misato.\I'm impressed.\I'm impressed with Ren. response:	He not only creates songs to suit the band,
context: from a wide range of listeners.\But Ren's songs are very popular with the general public.\That's because now he's writing songs to suit the Trapnest style,\as a professional.\Yeah. You're very knowledgeable, Misato.\I'm impressed.\I'm impressed with Ren.\He not only creates songs to suit the band, response:	but the songs he does write become major hits.
context: But Ren's songs are very popular with the general public.\That's because now he's writing songs to suit the Trapnest style,\as a professional.\Yeah. You're very knowledgeable, Misato.\I'm impressed.\I'm impressed with Ren.\He not only creates songs to suit the band,\but the songs he does write become major hits. response:	But the reason Trapnest's songs are so popular
