context: HONNOUJI ACADEMY response:	NATURALS ELECTION
context: Banned from school grounds, huh?\I made you something, Ryuko!\What's that?\Special Croquettes, made with finely chopped,\super-mysterious mystery ingredients!\They'll get you back on your feet!\Mataro and the others had some earlier.\See? response:	Life is wonderful! Dance, Mataro!
context: I made you something, Ryuko!\What's that?\Special Croquettes, made with finely chopped,\super-mysterious mystery ingredients!\They'll get you back on your feet!\Mataro and the others had some earlier.\See?\Life is wonderful! Dance, Mataro! response:	I'm twirling, Dad! Round and round and round!
context: What's that?\Special Croquettes, made with finely chopped,\super-mysterious mystery ingredients!\They'll get you back on your feet!\Mataro and the others had some earlier.\See?\Life is wonderful! Dance, Mataro!\I'm twirling, Dad! Round and round and round! response:	Spin, spin! Turn and churn and turn into butter!
context: Special Croquettes, made with finely chopped,\super-mysterious mystery ingredients!\They'll get you back on your feet!\Mataro and the others had some earlier.\See?\Life is wonderful! Dance, Mataro!\I'm twirling, Dad! Round and round and round!\Spin, spin! Turn and churn and turn into butter! response:	I really turned into butter!
context: super-mysterious mystery ingredients!\They'll get you back on your feet!\Mataro and the others had some earlier.\See?\Life is wonderful! Dance, Mataro!\I'm twirling, Dad! Round and round and round!\Spin, spin! Turn and churn and turn into butter!\I really turned into butter! response:	I feel like I've melted into goo!
context: They'll get you back on your feet!\Mataro and the others had some earlier.\See?\Life is wonderful! Dance, Mataro!\I'm twirling, Dad! Round and round and round!\Spin, spin! Turn and churn and turn into butter!\I really turned into butter!\I feel like I've melted into goo! response:	I think those might be a bit dangerous.
context: Mataro and the others had some earlier.\See?\Life is wonderful! Dance, Mataro!\I'm twirling, Dad! Round and round and round!\Spin, spin! Turn and churn and turn into butter!\I really turned into butter!\I feel like I've melted into goo!\I think those might be a bit dangerous. response:	Anyway, eat some, get your body moving, and sweat it out!
context: See?\Life is wonderful! Dance, Mataro!\I'm twirling, Dad! Round and round and round!\Spin, spin! Turn and churn and turn into butter!\I really turned into butter!\I feel like I've melted into goo!\I think those might be a bit dangerous.\Anyway, eat some, get your body moving, and sweat it out! response:	Do that, and all the bad things bottled up in your heart will flow right out of you!
context: Life is wonderful! Dance, Mataro!\I'm twirling, Dad! Round and round and round!\Spin, spin! Turn and churn and turn into butter!\I really turned into butter!\I feel like I've melted into goo!\I think those might be a bit dangerous.\Anyway, eat some, get your body moving, and sweat it out!\Do that, and all the bad things bottled up in your heart will flow right out of you! response:	Thanks, ma'am.
context: I'm twirling, Dad! Round and round and round!\Spin, spin! Turn and churn and turn into butter!\I really turned into butter!\I feel like I've melted into goo!\I think those might be a bit dangerous.\Anyway, eat some, get your body moving, and sweat it out!\Do that, and all the bad things bottled up in your heart will flow right out of you!\Thanks, ma'am. response:	I couldn't hold in my rage.
context: Spin, spin! Turn and churn and turn into butter!\I really turned into butter!\I feel like I've melted into goo!\I think those might be a bit dangerous.\Anyway, eat some, get your body moving, and sweat it out!\Do that, and all the bad things bottled up in your heart will flow right out of you!\Thanks, ma'am.\I couldn't hold in my rage. response:	All I wanted was to kill Nui Harime, even if I had to destroy
context: I really turned into butter!\I feel like I've melted into goo!\I think those might be a bit dangerous.\Anyway, eat some, get your body moving, and sweat it out!\Do that, and all the bad things bottled up in your heart will flow right out of you!\Thanks, ma'am.\I couldn't hold in my rage.\All I wanted was to kill Nui Harime, even if I had to destroy response:	everything to do it.
context: I feel like I've melted into goo!\I think those might be a bit dangerous.\Anyway, eat some, get your body moving, and sweat it out!\Do that, and all the bad things bottled up in your heart will flow right out of you!\Thanks, ma'am.\I couldn't hold in my rage.\All I wanted was to kill Nui Harime, even if I had to destroy\everything to do it. response:	Senketsu...
context: I think those might be a bit dangerous.\Anyway, eat some, get your body moving, and sweat it out!\Do that, and all the bad things bottled up in your heart will flow right out of you!\Thanks, ma'am.\I couldn't hold in my rage.\All I wanted was to kill Nui Harime, even if I had to destroy\everything to do it.\Senketsu... response:	Is it safe for me to wear you?
context: Anyway, eat some, get your body moving, and sweat it out!\Do that, and all the bad things bottled up in your heart will flow right out of you!\Thanks, ma'am.\I couldn't hold in my rage.\All I wanted was to kill Nui Harime, even if I had to destroy\everything to do it.\Senketsu...\Is it safe for me to wear you? response:	Please do!
context: Do that, and all the bad things bottled up in your heart will flow right out of you!\Thanks, ma'am.\I couldn't hold in my rage.\All I wanted was to kill Nui Harime, even if I had to destroy\everything to do it.\Senketsu...\Is it safe for me to wear you?\Please do! response:	What the hell?
context: Thanks, ma'am.\I couldn't hold in my rage.\All I wanted was to kill Nui Harime, even if I had to destroy\everything to do it.\Senketsu...\Is it safe for me to wear you?\Please do!\What the hell? response:	Please put it on!
context: I couldn't hold in my rage.\All I wanted was to kill Nui Harime, even if I had to destroy\everything to do it.\Senketsu...\Is it safe for me to wear you?\Please do!\What the hell?\Please put it on! response:	W-Who are you?
context: All I wanted was to kill Nui Harime, even if I had to destroy\everything to do it.\Senketsu...\Is it safe for me to wear you?\Please do!\What the hell?\Please put it on!\W-Who are you? response:	Mom, I brought a friend Oh, he's already inside!
context: everything to do it.\Senketsu...\Is it safe for me to wear you?\Please do!\What the hell?\Please put it on!\W-Who are you?\Mom, I brought a friend Oh, he's already inside! response:	HONNOUJI NEWSPAPER
context: Senketsu...\Is it safe for me to wear you?\Please do!\What the hell?\Please put it on!\W-Who are you?\Mom, I brought a friend Oh, he's already inside!\HONNOUJI NEWSPAPER response:	And what have we here?
context: Is it safe for me to wear you?\Please do!\What the hell?\Please put it on!\W-Who are you?\Mom, I brought a friend Oh, he's already inside!\HONNOUJI NEWSPAPER\And what have we here? response:	It says We Are Not blankety-blank's blanks!
context: Please do!\What the hell?\Please put it on!\W-Who are you?\Mom, I brought a friend Oh, he's already inside!\HONNOUJI NEWSPAPER\And what have we here?\It says We Are Not blankety-blank's blanks! response:	Wow, there's all sorts of incomprehensible stuff written in here, Ryuko!
context: What the hell?\Please put it on!\W-Who are you?\Mom, I brought a friend Oh, he's already inside!\HONNOUJI NEWSPAPER\And what have we here?\It says We Are Not blankety-blank's blanks!\Wow, there's all sorts of incomprehensible stuff written in here, Ryuko! response:	Read the kanji, too!
context: Please put it on!\W-Who are you?\Mom, I brought a friend Oh, he's already inside!\HONNOUJI NEWSPAPER\And what have we here?\It says We Are Not blankety-blank's blanks!\Wow, there's all sorts of incomprehensible stuff written in here, Ryuko!\Read the kanji, too! response:	Satsuki Kiryuin and the Kiryuin Conglomerate
context: W-Who are you?\Mom, I brought a friend Oh, he's already inside!\HONNOUJI NEWSPAPER\And what have we here?\It says We Are Not blankety-blank's blanks!\Wow, there's all sorts of incomprehensible stuff written in here, Ryuko!\Read the kanji, too!\Satsuki Kiryuin and the Kiryuin Conglomerate response:	are trying to turn the academy's students into soldiers.
context: Mom, I brought a friend Oh, he's already inside!\HONNOUJI NEWSPAPER\And what have we here?\It says We Are Not blankety-blank's blanks!\Wow, there's all sorts of incomprehensible stuff written in here, Ryuko!\Read the kanji, too!\Satsuki Kiryuin and the Kiryuin Conglomerate\are trying to turn the academy's students into soldiers. response:	I couldn't let that happen.
context: HONNOUJI NEWSPAPER\And what have we here?\It says We Are Not blankety-blank's blanks!\Wow, there's all sorts of incomprehensible stuff written in here, Ryuko!\Read the kanji, too!\Satsuki Kiryuin and the Kiryuin Conglomerate\are trying to turn the academy's students into soldiers.\I couldn't let that happen. response:	But the school paper was objected to by the Disciplinary Committee censor,
context: And what have we here?\It says We Are Not blankety-blank's blanks!\Wow, there's all sorts of incomprehensible stuff written in here, Ryuko!\Read the kanji, too!\Satsuki Kiryuin and the Kiryuin Conglomerate\are trying to turn the academy's students into soldiers.\I couldn't let that happen.\But the school paper was objected to by the Disciplinary Committee censor, response:	and I was unable to distribute it to the students!
context: It says We Are Not blankety-blank's blanks!\Wow, there's all sorts of incomprehensible stuff written in here, Ryuko!\Read the kanji, too!\Satsuki Kiryuin and the Kiryuin Conglomerate\are trying to turn the academy's students into soldiers.\I couldn't let that happen.\But the school paper was objected to by the Disciplinary Committee censor,\and I was unable to distribute it to the students! response:	It drove home just how powerless I truly am!
context: Wow, there's all sorts of incomprehensible stuff written in here, Ryuko!\Read the kanji, too!\Satsuki Kiryuin and the Kiryuin Conglomerate\are trying to turn the academy's students into soldiers.\I couldn't let that happen.\But the school paper was objected to by the Disciplinary Committee censor,\and I was unable to distribute it to the students!\It drove home just how powerless I truly am! response:	Nagita says he's gotten on the Student Council's bad side
context: Read the kanji, too!\Satsuki Kiryuin and the Kiryuin Conglomerate\are trying to turn the academy's students into soldiers.\I couldn't let that happen.\But the school paper was objected to by the Disciplinary Committee censor,\and I was unable to distribute it to the students!\It drove home just how powerless I truly am!\Nagita says he's gotten on the Student Council's bad side response:	and has been banned from school grounds ever since!
context: Satsuki Kiryuin and the Kiryuin Conglomerate\are trying to turn the academy's students into soldiers.\I couldn't let that happen.\But the school paper was objected to by the Disciplinary Committee censor,\and I was unable to distribute it to the students!\It drove home just how powerless I truly am!\Nagita says he's gotten on the Student Council's bad side\and has been banned from school grounds ever since! response:	There is no freedom of speech in this school.
context: are trying to turn the academy's students into soldiers.\I couldn't let that happen.\But the school paper was objected to by the Disciplinary Committee censor,\and I was unable to distribute it to the students!\It drove home just how powerless I truly am!\Nagita says he's gotten on the Student Council's bad side\and has been banned from school grounds ever since!\There is no freedom of speech in this school. response:	There isn't a single person who stands up to Kiryuin.
context: I couldn't let that happen.\But the school paper was objected to by the Disciplinary Committee censor,\and I was unable to distribute it to the students!\It drove home just how powerless I truly am!\Nagita says he's gotten on the Student Council's bad side\and has been banned from school grounds ever since!\There is no freedom of speech in this school.\There isn't a single person who stands up to Kiryuin. response:	Or so I thought. But you're different!
context: But the school paper was objected to by the Disciplinary Committee censor,\and I was unable to distribute it to the students!\It drove home just how powerless I truly am!\Nagita says he's gotten on the Student Council's bad side\and has been banned from school grounds ever since!\There is no freedom of speech in this school.\There isn't a single person who stands up to Kiryuin.\Or so I thought. But you're different! response:	You defeated the Elite Four all by yourself
context: and I was unable to distribute it to the students!\It drove home just how powerless I truly am!\Nagita says he's gotten on the Student Council's bad side\and has been banned from school grounds ever since!\There is no freedom of speech in this school.\There isn't a single person who stands up to Kiryuin.\Or so I thought. But you're different!\You defeated the Elite Four all by yourself response:	and struck fear into even Satsuki Kiryuin!
context: It drove home just how powerless I truly am!\Nagita says he's gotten on the Student Council's bad side\and has been banned from school grounds ever since!\There is no freedom of speech in this school.\There isn't a single person who stands up to Kiryuin.\Or so I thought. But you're different!\You defeated the Elite Four all by yourself\and struck fear into even Satsuki Kiryuin! response:	You're the revolutionary of Honnouji Academy!
context: Nagita says he's gotten on the Student Council's bad side\and has been banned from school grounds ever since!\There is no freedom of speech in this school.\There isn't a single person who stands up to Kiryuin.\Or so I thought. But you're different!\You defeated the Elite Four all by yourself\and struck fear into even Satsuki Kiryuin!\You're the revolutionary of Honnouji Academy! response:	I can fight, too! If only you lead the way!
context: and has been banned from school grounds ever since!\There is no freedom of speech in this school.\There isn't a single person who stands up to Kiryuin.\Or so I thought. But you're different!\You defeated the Elite Four all by yourself\and struck fear into even Satsuki Kiryuin!\You're the revolutionary of Honnouji Academy!\I can fight, too! If only you lead the way! response:	You'll have to fight by yourself, then.
context: There is no freedom of speech in this school.\There isn't a single person who stands up to Kiryuin.\Or so I thought. But you're different!\You defeated the Elite Four all by yourself\and struck fear into even Satsuki Kiryuin!\You're the revolutionary of Honnouji Academy!\I can fight, too! If only you lead the way!\You'll have to fight by yourself, then. response:	I'm not fighting because I want to.
context: There isn't a single person who stands up to Kiryuin.\Or so I thought. But you're different!\You defeated the Elite Four all by yourself\and struck fear into even Satsuki Kiryuin!\You're the revolutionary of Honnouji Academy!\I can fight, too! If only you lead the way!\You'll have to fight by yourself, then.\I'm not fighting because I want to. response:	Go home! Beat it!
context: Or so I thought. But you're different!\You defeated the Elite Four all by yourself\and struck fear into even Satsuki Kiryuin!\You're the revolutionary of Honnouji Academy!\I can fight, too! If only you lead the way!\You'll have to fight by yourself, then.\I'm not fighting because I want to.\Go home! Beat it! response:	What are you fighting for, then?!
context: You defeated the Elite Four all by yourself\and struck fear into even Satsuki Kiryuin!\You're the revolutionary of Honnouji Academy!\I can fight, too! If only you lead the way!\You'll have to fight by yourself, then.\I'm not fighting because I want to.\Go home! Beat it!\What are you fighting for, then?! response:	How the hell should I know?
context: and struck fear into even Satsuki Kiryuin!\You're the revolutionary of Honnouji Academy!\I can fight, too! If only you lead the way!\You'll have to fight by yourself, then.\I'm not fighting because I want to.\Go home! Beat it!\What are you fighting for, then?!\How the hell should I know? response:	At the very least, there is one.
context: You're the revolutionary of Honnouji Academy!\I can fight, too! If only you lead the way!\You'll have to fight by yourself, then.\I'm not fighting because I want to.\Go home! Beat it!\What are you fighting for, then?!\How the hell should I know?\At the very least, there is one. response:	There is one man who saw what you have done and took back his life!
context: I can fight, too! If only you lead the way!\You'll have to fight by yourself, then.\I'm not fighting because I want to.\Go home! Beat it!\What are you fighting for, then?!\How the hell should I know?\At the very least, there is one.\There is one man who saw what you have done and took back his life! response:	Your fight hasn't been for nothing!
context: You'll have to fight by yourself, then.\I'm not fighting because I want to.\Go home! Beat it!\What are you fighting for, then?!\How the hell should I know?\At the very least, there is one.\There is one man who saw what you have done and took back his life!\Your fight hasn't been for nothing! response:	So put on that sailor uniform and fight one more time!
context: I'm not fighting because I want to.\Go home! Beat it!\What are you fighting for, then?!\How the hell should I know?\At the very least, there is one.\There is one man who saw what you have done and took back his life!\Your fight hasn't been for nothing!\So put on that sailor uniform and fight one more time! response:	I'm not fighting for other people!
context: Go home! Beat it!\What are you fighting for, then?!\How the hell should I know?\At the very least, there is one.\There is one man who saw what you have done and took back his life!\Your fight hasn't been for nothing!\So put on that sailor uniform and fight one more time!\I'm not fighting for other people! response:	Go on, beat it! Just give up and go home!
context: What are you fighting for, then?!\How the hell should I know?\At the very least, there is one.\There is one man who saw what you have done and took back his life!\Your fight hasn't been for nothing!\So put on that sailor uniform and fight one more time!\I'm not fighting for other people!\Go on, beat it! Just give up and go home! response:	I won't give up, Matoi!
context: How the hell should I know?\At the very least, there is one.\There is one man who saw what you have done and took back his life!\Your fight hasn't been for nothing!\So put on that sailor uniform and fight one more time!\I'm not fighting for other people!\Go on, beat it! Just give up and go home!\I won't give up, Matoi! response:	You are my no,
context: At the very least, there is one.\There is one man who saw what you have done and took back his life!\Your fight hasn't been for nothing!\So put on that sailor uniform and fight one more time!\I'm not fighting for other people!\Go on, beat it! Just give up and go home!\I won't give up, Matoi!\You are my no, response:	all of Honnouji Academy's virtuous star of hope!
context: There is one man who saw what you have done and took back his life!\Your fight hasn't been for nothing!\So put on that sailor uniform and fight one more time!\I'm not fighting for other people!\Go on, beat it! Just give up and go home!\I won't give up, Matoi!\You are my no,\all of Honnouji Academy's virtuous star of hope! response:	Give it a rest!
context: Your fight hasn't been for nothing!\So put on that sailor uniform and fight one more time!\I'm not fighting for other people!\Go on, beat it! Just give up and go home!\I won't give up, Matoi!\You are my no,\all of Honnouji Academy's virtuous star of hope!\Give it a rest! response:	I won't let the courage you gave me...
context: So put on that sailor uniform and fight one more time!\I'm not fighting for other people!\Go on, beat it! Just give up and go home!\I won't give up, Matoi!\You are my no,\all of Honnouji Academy's virtuous star of hope!\Give it a rest!\I won't let the courage you gave me... response:	What the hell was that guy's problem?!
context: I'm not fighting for other people!\Go on, beat it! Just give up and go home!\I won't give up, Matoi!\You are my no,\all of Honnouji Academy's virtuous star of hope!\Give it a rest!\I won't let the courage you gave me...\What the hell was that guy's problem?! response:	Ryuko.
context: Go on, beat it! Just give up and go home!\I won't give up, Matoi!\You are my no,\all of Honnouji Academy's virtuous star of hope!\Give it a rest!\I won't let the courage you gave me...\What the hell was that guy's problem?!\Ryuko. response:	Zip it. Not a word out of you.
context: I won't give up, Matoi!\You are my no,\all of Honnouji Academy's virtuous star of hope!\Give it a rest!\I won't let the courage you gave me...\What the hell was that guy's problem?!\Ryuko.\Zip it. Not a word out of you. response:	REVOCS CO. LTD. AUDITORIUM
context: You are my no,\all of Honnouji Academy's virtuous star of hope!\Give it a rest!\I won't let the courage you gave me...\What the hell was that guy's problem?!\Ryuko.\Zip it. Not a word out of you.\REVOCS CO. LTD. AUDITORIUM response:	I put this question to you, gentlemen!
context: all of Honnouji Academy's virtuous star of hope!\Give it a rest!\I won't let the courage you gave me...\What the hell was that guy's problem?!\Ryuko.\Zip it. Not a word out of you.\REVOCS CO. LTD. AUDITORIUM\I put this question to you, gentlemen! response:	What is clothing?!
context: Give it a rest!\I won't let the courage you gave me...\What the hell was that guy's problem?!\Ryuko.\Zip it. Not a word out of you.\REVOCS CO. LTD. AUDITORIUM\I put this question to you, gentlemen!\What is clothing?! response:	Clothing is sin! Man's original sin!
context: I won't let the courage you gave me...\What the hell was that guy's problem?!\Ryuko.\Zip it. Not a word out of you.\REVOCS CO. LTD. AUDITORIUM\I put this question to you, gentlemen!\What is clothing?!\Clothing is sin! Man's original sin! response:	Indeed. Clothing is sin.
context: What the hell was that guy's problem?!\Ryuko.\Zip it. Not a word out of you.\REVOCS CO. LTD. AUDITORIUM\I put this question to you, gentlemen!\What is clothing?!\Clothing is sin! Man's original sin!\Indeed. Clothing is sin. response:	When man ate the forbidden fruit of the Tree of Knowledge,
context: Ryuko.\Zip it. Not a word out of you.\REVOCS CO. LTD. AUDITORIUM\I put this question to you, gentlemen!\What is clothing?!\Clothing is sin! Man's original sin!\Indeed. Clothing is sin.\When man ate the forbidden fruit of the Tree of Knowledge, response:	he became ashamed of his nakedness
context: Zip it. Not a word out of you.\REVOCS CO. LTD. AUDITORIUM\I put this question to you, gentlemen!\What is clothing?!\Clothing is sin! Man's original sin!\Indeed. Clothing is sin.\When man ate the forbidden fruit of the Tree of Knowledge,\he became ashamed of his nakedness response:	and covered his nethers with fig leaves.
context: REVOCS CO. LTD. AUDITORIUM\I put this question to you, gentlemen!\What is clothing?!\Clothing is sin! Man's original sin!\Indeed. Clothing is sin.\When man ate the forbidden fruit of the Tree of Knowledge,\he became ashamed of his nakedness\and covered his nethers with fig leaves. response:	From the time humanity first gained free will as human beings,
context: I put this question to you, gentlemen!\What is clothing?!\Clothing is sin! Man's original sin!\Indeed. Clothing is sin.\When man ate the forbidden fruit of the Tree of Knowledge,\he became ashamed of his nakedness\and covered his nethers with fig leaves.\From the time humanity first gained free will as human beings, response:	REVOCS CEO RAGYO KIRYUIN
context: What is clothing?!\Clothing is sin! Man's original sin!\Indeed. Clothing is sin.\When man ate the forbidden fruit of the Tree of Knowledge,\he became ashamed of his nakedness\and covered his nethers with fig leaves.\From the time humanity first gained free will as human beings,\REVOCS CEO RAGYO KIRYUIN response:	it has been his fate to cover his body in the clothing called sin.
context: Clothing is sin! Man's original sin!\Indeed. Clothing is sin.\When man ate the forbidden fruit of the Tree of Knowledge,\he became ashamed of his nakedness\and covered his nethers with fig leaves.\From the time humanity first gained free will as human beings,\REVOCS CEO RAGYO KIRYUIN\it has been his fate to cover his body in the clothing called sin. response:	Clothing made by REVOCS is sold in 90 of the world's countries
context: Indeed. Clothing is sin.\When man ate the forbidden fruit of the Tree of Knowledge,\he became ashamed of his nakedness\and covered his nethers with fig leaves.\From the time humanity first gained free will as human beings,\REVOCS CEO RAGYO KIRYUIN\it has been his fate to cover his body in the clothing called sin.\Clothing made by REVOCS is sold in 90 of the world's countries response:	and controls an overwhelming share of the market.
context: When man ate the forbidden fruit of the Tree of Knowledge,\he became ashamed of his nakedness\and covered his nethers with fig leaves.\From the time humanity first gained free will as human beings,\REVOCS CEO RAGYO KIRYUIN\it has been his fate to cover his body in the clothing called sin.\Clothing made by REVOCS is sold in 90 of the world's countries\and controls an overwhelming share of the market. response:	Why is that?
context: he became ashamed of his nakedness\and covered his nethers with fig leaves.\From the time humanity first gained free will as human beings,\REVOCS CEO RAGYO KIRYUIN\it has been his fate to cover his body in the clothing called sin.\Clothing made by REVOCS is sold in 90 of the world's countries\and controls an overwhelming share of the market.\Why is that? response:	Because we alone know man's sin and create clothing for clothing's sake!
context: and covered his nethers with fig leaves.\From the time humanity first gained free will as human beings,\REVOCS CEO RAGYO KIRYUIN\it has been his fate to cover his body in the clothing called sin.\Clothing made by REVOCS is sold in 90 of the world's countries\and controls an overwhelming share of the market.\Why is that?\Because we alone know man's sin and create clothing for clothing's sake! response:	I put the question to you again!
context: From the time humanity first gained free will as human beings,\REVOCS CEO RAGYO KIRYUIN\it has been his fate to cover his body in the clothing called sin.\Clothing made by REVOCS is sold in 90 of the world's countries\and controls an overwhelming share of the market.\Why is that?\Because we alone know man's sin and create clothing for clothing's sake!\I put the question to you again! response:	What is clothing?!
context: REVOCS CEO RAGYO KIRYUIN\it has been his fate to cover his body in the clothing called sin.\Clothing made by REVOCS is sold in 90 of the world's countries\and controls an overwhelming share of the market.\Why is that?\Because we alone know man's sin and create clothing for clothing's sake!\I put the question to you again!\What is clothing?! response:	Clothing is the world!
context: it has been his fate to cover his body in the clothing called sin.\Clothing made by REVOCS is sold in 90 of the world's countries\and controls an overwhelming share of the market.\Why is that?\Because we alone know man's sin and create clothing for clothing's sake!\I put the question to you again!\What is clothing?!\Clothing is the world! response:	The grand will that binds the heavens, the earth, and mankind, covering all.
context: Clothing made by REVOCS is sold in 90 of the world's countries\and controls an overwhelming share of the market.\Why is that?\Because we alone know man's sin and create clothing for clothing's sake!\I put the question to you again!\What is clothing?!\Clothing is the world!\The grand will that binds the heavens, the earth, and mankind, covering all. response:	Indeed.
context: and controls an overwhelming share of the market.\Why is that?\Because we alone know man's sin and create clothing for clothing's sake!\I put the question to you again!\What is clothing?!\Clothing is the world!\The grand will that binds the heavens, the earth, and mankind, covering all.\Indeed. response:	That is exactly the intent of COVERS.
context: Why is that?\Because we alone know man's sin and create clothing for clothing's sake!\I put the question to you again!\What is clothing?!\Clothing is the world!\The grand will that binds the heavens, the earth, and mankind, covering all.\Indeed.\That is exactly the intent of COVERS. response:	How does Junketsu feel on you?
context: Because we alone know man's sin and create clothing for clothing's sake!\I put the question to you again!\What is clothing?!\Clothing is the world!\The grand will that binds the heavens, the earth, and mankind, covering all.\Indeed.\That is exactly the intent of COVERS.\How does Junketsu feel on you? response:	A rather powerful article of clothing, isn't it?
context: I put the question to you again!\What is clothing?!\Clothing is the world!\The grand will that binds the heavens, the earth, and mankind, covering all.\Indeed.\That is exactly the intent of COVERS.\How does Junketsu feel on you?\A rather powerful article of clothing, isn't it? response:	You wear it well.
context: What is clothing?!\Clothing is the world!\The grand will that binds the heavens, the earth, and mankind, covering all.\Indeed.\That is exactly the intent of COVERS.\How does Junketsu feel on you?\A rather powerful article of clothing, isn't it?\You wear it well. response:	Thank you, Mother.
context: Clothing is the world!\The grand will that binds the heavens, the earth, and mankind, covering all.\Indeed.\That is exactly the intent of COVERS.\How does Junketsu feel on you?\A rather powerful article of clothing, isn't it?\You wear it well.\Thank you, Mother. response:	- Hououmaru. - Yes, ma'am.
context: The grand will that binds the heavens, the earth, and mankind, covering all.\Indeed.\That is exactly the intent of COVERS.\How does Junketsu feel on you?\A rather powerful article of clothing, isn't it?\You wear it well.\Thank you, Mother.\- Hououmaru. - Yes, ma'am. response:	Is this what brings you here today?
context: Indeed.\That is exactly the intent of COVERS.\How does Junketsu feel on you?\A rather powerful article of clothing, isn't it?\You wear it well.\Thank you, Mother.\- Hououmaru. - Yes, ma'am.\Is this what brings you here today? response:	Kamui Senketsu, eh?
context: That is exactly the intent of COVERS.\How does Junketsu feel on you?\A rather powerful article of clothing, isn't it?\You wear it well.\Thank you, Mother.\- Hououmaru. - Yes, ma'am.\Is this what brings you here today?\Kamui Senketsu, eh? response:	La vie est drole.
context: How does Junketsu feel on you?\A rather powerful article of clothing, isn't it?\You wear it well.\Thank you, Mother.\- Hououmaru. - Yes, ma'am.\Is this what brings you here today?\Kamui Senketsu, eh?\La vie est drole. response:	I have already filed a report regarding that incident.
context: A rather powerful article of clothing, isn't it?\You wear it well.\Thank you, Mother.\- Hououmaru. - Yes, ma'am.\Is this what brings you here today?\Kamui Senketsu, eh?\La vie est drole.\I have already filed a report regarding that incident. response:	You said that it would be left to my discretion.
context: You wear it well.\Thank you, Mother.\- Hououmaru. - Yes, ma'am.\Is this what brings you here today?\Kamui Senketsu, eh?\La vie est drole.\I have already filed a report regarding that incident.\You said that it would be left to my discretion. response:	Of course.
context: Thank you, Mother.\- Hououmaru. - Yes, ma'am.\Is this what brings you here today?\Kamui Senketsu, eh?\La vie est drole.\I have already filed a report regarding that incident.\You said that it would be left to my discretion.\Of course. response:	Matters should be settled youth against youth, Kamui against Kamui.
context: - Hououmaru. - Yes, ma'am.\Is this what brings you here today?\Kamui Senketsu, eh?\La vie est drole.\I have already filed a report regarding that incident.\You said that it would be left to my discretion.\Of course.\Matters should be settled youth against youth, Kamui against Kamui. response:	I think it's a fine thing.
context: Is this what brings you here today?\Kamui Senketsu, eh?\La vie est drole.\I have already filed a report regarding that incident.\You said that it would be left to my discretion.\Of course.\Matters should be settled youth against youth, Kamui against Kamui.\I think it's a fine thing. response:	Why, then, was the High Order Tailor sent to Honnouji Academy?
context: Kamui Senketsu, eh?\La vie est drole.\I have already filed a report regarding that incident.\You said that it would be left to my discretion.\Of course.\Matters should be settled youth against youth, Kamui against Kamui.\I think it's a fine thing.\Why, then, was the High Order Tailor sent to Honnouji Academy? response:	High Order Tailor?
context: La vie est drole.\I have already filed a report regarding that incident.\You said that it would be left to my discretion.\Of course.\Matters should be settled youth against youth, Kamui against Kamui.\I think it's a fine thing.\Why, then, was the High Order Tailor sent to Honnouji Academy?\High Order Tailor? response:	Oh, you mean Nui? I had no choice.
context: I have already filed a report regarding that incident.\You said that it would be left to my discretion.\Of course.\Matters should be settled youth against youth, Kamui against Kamui.\I think it's a fine thing.\Why, then, was the High Order Tailor sent to Honnouji Academy?\High Order Tailor?\Oh, you mean Nui? I had no choice. response:	Not even a CEO can rein in the whims of an artiste.
context: You said that it would be left to my discretion.\Of course.\Matters should be settled youth against youth, Kamui against Kamui.\I think it's a fine thing.\Why, then, was the High Order Tailor sent to Honnouji Academy?\High Order Tailor?\Oh, you mean Nui? I had no choice.\Not even a CEO can rein in the whims of an artiste. response:	I see.
context: Of course.\Matters should be settled youth against youth, Kamui against Kamui.\I think it's a fine thing.\Why, then, was the High Order Tailor sent to Honnouji Academy?\High Order Tailor?\Oh, you mean Nui? I had no choice.\Not even a CEO can rein in the whims of an artiste.\I see. response:	However, if someone should interfere with my plan,
context: Matters should be settled youth against youth, Kamui against Kamui.\I think it's a fine thing.\Why, then, was the High Order Tailor sent to Honnouji Academy?\High Order Tailor?\Oh, you mean Nui? I had no choice.\Not even a CEO can rein in the whims of an artiste.\I see.\However, if someone should interfere with my plan, response:	I will deal with them under my own discretion.
context: I think it's a fine thing.\Why, then, was the High Order Tailor sent to Honnouji Academy?\High Order Tailor?\Oh, you mean Nui? I had no choice.\Not even a CEO can rein in the whims of an artiste.\I see.\However, if someone should interfere with my plan,\I will deal with them under my own discretion. response:	Do as you wish.
context: Why, then, was the High Order Tailor sent to Honnouji Academy?\High Order Tailor?\Oh, you mean Nui? I had no choice.\Not even a CEO can rein in the whims of an artiste.\I see.\However, if someone should interfere with my plan,\I will deal with them under my own discretion.\Do as you wish. response:	As long as you continue to act as a child of COVERS,
context: High Order Tailor?\Oh, you mean Nui? I had no choice.\Not even a CEO can rein in the whims of an artiste.\I see.\However, if someone should interfere with my plan,\I will deal with them under my own discretion.\Do as you wish.\As long as you continue to act as a child of COVERS, response:	REVOCS MARKET SHARES
context: Oh, you mean Nui? I had no choice.\Not even a CEO can rein in the whims of an artiste.\I see.\However, if someone should interfere with my plan,\I will deal with them under my own discretion.\Do as you wish.\As long as you continue to act as a child of COVERS,\REVOCS MARKET SHARES response:	the world will remain your ally.
