context: Galactic Calendar, Year 211 response:	Year 0 of the Third Galactic Empire.
context: Akira?\Akira-chan?\I'm not scared. I'm here because I love this place.\There aren't any people that I hate here.\Idiots are automatically weeded out.\It is clean and just and a world that's only mine!\Let them take Unit 1?\A Trojan horse. We'll be hidden in the engine, and they'll take us right to the heart of their operation. response:	It's too dangerous!
context: Akira-chan?\I'm not scared. I'm here because I love this place.\There aren't any people that I hate here.\Idiots are automatically weeded out.\It is clean and just and a world that's only mine!\Let them take Unit 1?\A Trojan horse. We'll be hidden in the engine, and they'll take us right to the heart of their operation.\It's too dangerous! response:	This isn't a situation where we can worry about risk.
context: I'm not scared. I'm here because I love this place.\There aren't any people that I hate here.\Idiots are automatically weeded out.\It is clean and just and a world that's only mine!\Let them take Unit 1?\A Trojan horse. We'll be hidden in the engine, and they'll take us right to the heart of their operation.\It's too dangerous!\This isn't a situation where we can worry about risk. response:	This is Cain that we're up against!
context: There aren't any people that I hate here.\Idiots are automatically weeded out.\It is clean and just and a world that's only mine!\Let them take Unit 1?\A Trojan horse. We'll be hidden in the engine, and they'll take us right to the heart of their operation.\It's too dangerous!\This isn't a situation where we can worry about risk.\This is Cain that we're up against! response:	I can't believe it...
context: Idiots are automatically weeded out.\It is clean and just and a world that's only mine!\Let them take Unit 1?\A Trojan horse. We'll be hidden in the engine, and they'll take us right to the heart of their operation.\It's too dangerous!\This isn't a situation where we can worry about risk.\This is Cain that we're up against!\I can't believe it... response:	They were supposed to be keeping an eye on Unit 1...
context: It is clean and just and a world that's only mine!\Let them take Unit 1?\A Trojan horse. We'll be hidden in the engine, and they'll take us right to the heart of their operation.\It's too dangerous!\This isn't a situation where we can worry about risk.\This is Cain that we're up against!\I can't believe it...\They were supposed to be keeping an eye on Unit 1... response:	Cain!
context: Let them take Unit 1?\A Trojan horse. We'll be hidden in the engine, and they'll take us right to the heart of their operation.\It's too dangerous!\This isn't a situation where we can worry about risk.\This is Cain that we're up against!\I can't believe it...\They were supposed to be keeping an eye on Unit 1...\Cain! response:	Now, shall we begin the graduation ceremony?
context: A Trojan horse. We'll be hidden in the engine, and they'll take us right to the heart of their operation.\It's too dangerous!\This isn't a situation where we can worry about risk.\This is Cain that we're up against!\I can't believe it...\They were supposed to be keeping an eye on Unit 1...\Cain!\Now, shall we begin the graduation ceremony? response:	Listen up, you bastards!
context: It's too dangerous!\This isn't a situation where we can worry about risk.\This is Cain that we're up against!\I can't believe it...\They were supposed to be keeping an eye on Unit 1...\Cain!\Now, shall we begin the graduation ceremony?\Listen up, you bastards! response:	Thunder's gonna yank out that poison gas of yours!
context: This isn't a situation where we can worry about risk.\This is Cain that we're up against!\I can't believe it...\They were supposed to be keeping an eye on Unit 1...\Cain!\Now, shall we begin the graduation ceremony?\Listen up, you bastards!\Thunder's gonna yank out that poison gas of yours! response:	Piedra del Sol unit, the Valvraves are headed your way!
context: This is Cain that we're up against!\I can't believe it...\They were supposed to be keeping an eye on Unit 1...\Cain!\Now, shall we begin the graduation ceremony?\Listen up, you bastards!\Thunder's gonna yank out that poison gas of yours!\Piedra del Sol unit, the Valvraves are headed your way! response:	But A-drei has gone to join the Captain.
context: I can't believe it...\They were supposed to be keeping an eye on Unit 1...\Cain!\Now, shall we begin the graduation ceremony?\Listen up, you bastards!\Thunder's gonna yank out that poison gas of yours!\Piedra del Sol unit, the Valvraves are headed your way!\But A-drei has gone to join the Captain. response:	The Captain informed me. It's no problem.
context: They were supposed to be keeping an eye on Unit 1...\Cain!\Now, shall we begin the graduation ceremony?\Listen up, you bastards!\Thunder's gonna yank out that poison gas of yours!\Piedra del Sol unit, the Valvraves are headed your way!\But A-drei has gone to join the Captain.\The Captain informed me. It's no problem. response:	Nope, nope!
context: Cain!\Now, shall we begin the graduation ceremony?\Listen up, you bastards!\Thunder's gonna yank out that poison gas of yours!\Piedra del Sol unit, the Valvraves are headed your way!\But A-drei has gone to join the Captain.\The Captain informed me. It's no problem.\Nope, nope! response:	After all, I'm here!
context: Now, shall we begin the graduation ceremony?\Listen up, you bastards!\Thunder's gonna yank out that poison gas of yours!\Piedra del Sol unit, the Valvraves are headed your way!\But A-drei has gone to join the Captain.\The Captain informed me. It's no problem.\Nope, nope!\After all, I'm here! response:	I thought I told you that these chumps won't work on me!
context: Listen up, you bastards!\Thunder's gonna yank out that poison gas of yours!\Piedra del Sol unit, the Valvraves are headed your way!\But A-drei has gone to join the Captain.\The Captain informed me. It's no problem.\Nope, nope!\After all, I'm here!\I thought I told you that these chumps won't work on me! response:	Have a taste of my Machine Gun Punch!
context: Thunder's gonna yank out that poison gas of yours!\Piedra del Sol unit, the Valvraves are headed your way!\But A-drei has gone to join the Captain.\The Captain informed me. It's no problem.\Nope, nope!\After all, I'm here!\I thought I told you that these chumps won't work on me!\Have a taste of my Machine Gun Punch! response:	How'd ya like that thumping?
context: Piedra del Sol unit, the Valvraves are headed your way!\But A-drei has gone to join the Captain.\The Captain informed me. It's no problem.\Nope, nope!\After all, I'm here!\I thought I told you that these chumps won't work on me!\Have a taste of my Machine Gun Punch!\How'd ya like that thumping? response:	Lame tricks like that aren't gonna work against
context: But A-drei has gone to join the Captain.\The Captain informed me. It's no problem.\Nope, nope!\After all, I'm here!\I thought I told you that these chumps won't work on me!\Have a taste of my Machine Gun Punch!\How'd ya like that thumping?\Lame tricks like that aren't gonna work against response:	Huh? My temperature's spiking!
context: The Captain informed me. It's no problem.\Nope, nope!\After all, I'm here!\I thought I told you that these chumps won't work on me!\Have a taste of my Machine Gun Punch!\How'd ya like that thumping?\Lame tricks like that aren't gonna work against\Huh? My temperature's spiking! response:	All I did was punch the thing!
context: Nope, nope!\After all, I'm here!\I thought I told you that these chumps won't work on me!\Have a taste of my Machine Gun Punch!\How'd ya like that thumping?\Lame tricks like that aren't gonna work against\Huh? My temperature's spiking!\All I did was punch the thing! response:	Hey, now!
context: After all, I'm here!\I thought I told you that these chumps won't work on me!\Have a taste of my Machine Gun Punch!\How'd ya like that thumping?\Lame tricks like that aren't gonna work against\Huh? My temperature's spiking!\All I did was punch the thing!\Hey, now! response:	Dude, seriously?!
context: I thought I told you that these chumps won't work on me!\Have a taste of my Machine Gun Punch!\How'd ya like that thumping?\Lame tricks like that aren't gonna work against\Huh? My temperature's spiking!\All I did was punch the thing!\Hey, now!\Dude, seriously?! response:	You gotta be kidding me!
context: Have a taste of my Machine Gun Punch!\How'd ya like that thumping?\Lame tricks like that aren't gonna work against\Huh? My temperature's spiking!\All I did was punch the thing!\Hey, now!\Dude, seriously?!\You gotta be kidding me! response:	Yamada! Can't you move?!
context: How'd ya like that thumping?\Lame tricks like that aren't gonna work against\Huh? My temperature's spiking!\All I did was punch the thing!\Hey, now!\Dude, seriously?!\You gotta be kidding me!\Yamada! Can't you move?! response:	No, I'm over 100!
context: Lame tricks like that aren't gonna work against\Huh? My temperature's spiking!\All I did was punch the thing!\Hey, now!\Dude, seriously?!\You gotta be kidding me!\Yamada! Can't you move?!\No, I'm over 100! response:	Irons? Is that their plan?!
context: Huh? My temperature's spiking!\All I did was punch the thing!\Hey, now!\Dude, seriously?!\You gotta be kidding me!\Yamada! Can't you move?!\No, I'm over 100!\Irons? Is that their plan?! response:	The principle is simplicity itself. But Lord Cain is a great man indeed to have been able to notice it.
context: All I did was punch the thing!\Hey, now!\Dude, seriously?!\You gotta be kidding me!\Yamada! Can't you move?!\No, I'm over 100!\Irons? Is that their plan?!\The principle is simplicity itself. But Lord Cain is a great man indeed to have been able to notice it. response:	It's a hot idea, right?!
context: Hey, now!\Dude, seriously?!\You gotta be kidding me!\Yamada! Can't you move?!\No, I'm over 100!\Irons? Is that their plan?!\The principle is simplicity itself. But Lord Cain is a great man indeed to have been able to notice it.\It's a hot idea, right?! response:	A Trojan horse, eh?
context: Dude, seriously?!\You gotta be kidding me!\Yamada! Can't you move?!\No, I'm over 100!\Irons? Is that their plan?!\The principle is simplicity itself. But Lord Cain is a great man indeed to have been able to notice it.\It's a hot idea, right?!\A Trojan horse, eh? response:	It's a classic, but not bad.
context: You gotta be kidding me!\Yamada! Can't you move?!\No, I'm over 100!\Irons? Is that their plan?!\The principle is simplicity itself. But Lord Cain is a great man indeed to have been able to notice it.\It's a hot idea, right?!\A Trojan horse, eh?\It's a classic, but not bad. response:	I'll be taking this machine.
context: Yamada! Can't you move?!\No, I'm over 100!\Irons? Is that their plan?!\The principle is simplicity itself. But Lord Cain is a great man indeed to have been able to notice it.\It's a hot idea, right?!\A Trojan horse, eh?\It's a classic, but not bad.\I'll be taking this machine. response:	For the future of the clan.
context: No, I'm over 100!\Irons? Is that their plan?!\The principle is simplicity itself. But Lord Cain is a great man indeed to have been able to notice it.\It's a hot idea, right?!\A Trojan horse, eh?\It's a classic, but not bad.\I'll be taking this machine.\For the future of the clan. response:	You killed them!
context: Irons? Is that their plan?!\The principle is simplicity itself. But Lord Cain is a great man indeed to have been able to notice it.\It's a hot idea, right?!\A Trojan horse, eh?\It's a classic, but not bad.\I'll be taking this machine.\For the future of the clan.\You killed them! response:	Immortal.
context: The principle is simplicity itself. But Lord Cain is a great man indeed to have been able to notice it.\It's a hot idea, right?!\A Trojan horse, eh?\It's a classic, but not bad.\I'll be taking this machine.\For the future of the clan.\You killed them!\Immortal. response:	As I thought, he's third generation.
context: It's a hot idea, right?!\A Trojan horse, eh?\It's a classic, but not bad.\I'll be taking this machine.\For the future of the clan.\You killed them!\Immortal.\As I thought, he's third generation. response:	No hesitation to kill your former teacher.
context: A Trojan horse, eh?\It's a classic, but not bad.\I'll be taking this machine.\For the future of the clan.\You killed them!\Immortal.\As I thought, he's third generation.\No hesitation to kill your former teacher. response:	I'll give you a proficiency rating of S. However...
context: It's a classic, but not bad.\I'll be taking this machine.\For the future of the clan.\You killed them!\Immortal.\As I thought, he's third generation.\No hesitation to kill your former teacher.\I'll give you a proficiency rating of S. However... response:	You can't win against me.
context: I'll be taking this machine.\For the future of the clan.\You killed them!\Immortal.\As I thought, he's third generation.\No hesitation to kill your former teacher.\I'll give you a proficiency rating of S. However...\You can't win against me. response:	Drill has reached sublevel 5!
context: For the future of the clan.\You killed them!\Immortal.\As I thought, he's third generation.\No hesitation to kill your former teacher.\I'll give you a proficiency rating of S. However...\You can't win against me.\Drill has reached sublevel 5! response:	It's even raising the temperature of my shield?!
context: You killed them!\Immortal.\As I thought, he's third generation.\No hesitation to kill your former teacher.\I'll give you a proficiency rating of S. However...\You can't win against me.\Drill has reached sublevel 5!\It's even raising the temperature of my shield?! response:	We're out of time! All right, then...
context: Immortal.\As I thought, he's third generation.\No hesitation to kill your former teacher.\I'll give you a proficiency rating of S. However...\You can't win against me.\Drill has reached sublevel 5!\It's even raising the temperature of my shield?!\We're out of time! All right, then... response:	No matter how formidable the defensive capabilities that unit boasts...
context: As I thought, he's third generation.\No hesitation to kill your former teacher.\I'll give you a proficiency rating of S. However...\You can't win against me.\Drill has reached sublevel 5!\It's even raising the temperature of my shield?!\We're out of time! All right, then...\No matter how formidable the defensive capabilities that unit boasts... response:	It's no use! No use! No use!
context: No hesitation to kill your former teacher.\I'll give you a proficiency rating of S. However...\You can't win against me.\Drill has reached sublevel 5!\It's even raising the temperature of my shield?!\We're out of time! All right, then...\No matter how formidable the defensive capabilities that unit boasts...\It's no use! No use! No use! response:	The Piedra del Sol is even more powerful!
context: I'll give you a proficiency rating of S. However...\You can't win against me.\Drill has reached sublevel 5!\It's even raising the temperature of my shield?!\We're out of time! All right, then...\No matter how formidable the defensive capabilities that unit boasts...\It's no use! No use! No use!\The Piedra del Sol is even more powerful! response:	Inuzuka-senpai!
context: You can't win against me.\Drill has reached sublevel 5!\It's even raising the temperature of my shield?!\We're out of time! All right, then...\No matter how formidable the defensive capabilities that unit boasts...\It's no use! No use! No use!\The Piedra del Sol is even more powerful!\Inuzuka-senpai! response:	You're still weak on defense, I see.
context: Drill has reached sublevel 5!\It's even raising the temperature of my shield?!\We're out of time! All right, then...\No matter how formidable the defensive capabilities that unit boasts...\It's no use! No use! No use!\The Piedra del Sol is even more powerful!\Inuzuka-senpai!\You're still weak on defense, I see. response:	Proficiency rating, E.
context: It's even raising the temperature of my shield?!\We're out of time! All right, then...\No matter how formidable the defensive capabilities that unit boasts...\It's no use! No use! No use!\The Piedra del Sol is even more powerful!\Inuzuka-senpai!\You're still weak on defense, I see.\Proficiency rating, E. response:	Impossible... How can he be beating me?
context: We're out of time! All right, then...\No matter how formidable the defensive capabilities that unit boasts...\It's no use! No use! No use!\The Piedra del Sol is even more powerful!\Inuzuka-senpai!\You're still weak on defense, I see.\Proficiency rating, E.\Impossible... How can he be beating me? response:	Run, L-elf!
context: No matter how formidable the defensive capabilities that unit boasts...\It's no use! No use! No use!\The Piedra del Sol is even more powerful!\Inuzuka-senpai!\You're still weak on defense, I see.\Proficiency rating, E.\Impossible... How can he be beating me?\Run, L-elf! response:	Wha?
context: It's no use! No use! No use!\The Piedra del Sol is even more powerful!\Inuzuka-senpai!\You're still weak on defense, I see.\Proficiency rating, E.\Impossible... How can he be beating me?\Run, L-elf!\Wha? response:	You're the only one who can turn the tide!
context: The Piedra del Sol is even more powerful!\Inuzuka-senpai!\You're still weak on defense, I see.\Proficiency rating, E.\Impossible... How can he be beating me?\Run, L-elf!\Wha?\You're the only one who can turn the tide! response:	Run and win! In this!
context: Inuzuka-senpai!\You're still weak on defense, I see.\Proficiency rating, E.\Impossible... How can he be beating me?\Run, L-elf!\Wha?\You're the only one who can turn the tide!\Run and win! In this! response:	That's a sensible decision, coming from you!
context: You're still weak on defense, I see.\Proficiency rating, E.\Impossible... How can he be beating me?\Run, L-elf!\Wha?\You're the only one who can turn the tide!\Run and win! In this!\That's a sensible decision, coming from you! response:	Oh, he's made a friend, has he?
context: Proficiency rating, E.\Impossible... How can he be beating me?\Run, L-elf!\Wha?\You're the only one who can turn the tide!\Run and win! In this!\That's a sensible decision, coming from you!\Oh, he's made a friend, has he? response:	In a long life, friends are a precious thing.
context: Impossible... How can he be beating me?\Run, L-elf!\Wha?\You're the only one who can turn the tide!\Run and win! In this!\That's a sensible decision, coming from you!\Oh, he's made a friend, has he?\In a long life, friends are a precious thing. response:	Isn't that right, A-drei?
context: Run, L-elf!\Wha?\You're the only one who can turn the tide!\Run and win! In this!\That's a sensible decision, coming from you!\Oh, he's made a friend, has he?\In a long life, friends are a precious thing.\Isn't that right, A-drei? response:	The Captain called on me to act as interrogator.
context: Wha?\You're the only one who can turn the tide!\Run and win! In this!\That's a sensible decision, coming from you!\Oh, he's made a friend, has he?\In a long life, friends are a precious thing.\Isn't that right, A-drei?\The Captain called on me to act as interrogator. response:	But don't worry.
context: You're the only one who can turn the tide!\Run and win! In this!\That's a sensible decision, coming from you!\Oh, he's made a friend, has he?\In a long life, friends are a precious thing.\Isn't that right, A-drei?\The Captain called on me to act as interrogator.\But don't worry. response:	Once it's all over, I'll take your eyes.
context: Run and win! In this!\That's a sensible decision, coming from you!\Oh, he's made a friend, has he?\In a long life, friends are a precious thing.\Isn't that right, A-drei?\The Captain called on me to act as interrogator.\But don't worry.\Once it's all over, I'll take your eyes. response:	You will become my left eye, and together, we shall see my revolution.
context: That's a sensible decision, coming from you!\Oh, he's made a friend, has he?\In a long life, friends are a precious thing.\Isn't that right, A-drei?\The Captain called on me to act as interrogator.\But don't worry.\Once it's all over, I'll take your eyes.\You will become my left eye, and together, we shall see my revolution. response:	Enemy forces are coming!
context: Oh, he's made a friend, has he?\In a long life, friends are a precious thing.\Isn't that right, A-drei?\The Captain called on me to act as interrogator.\But don't worry.\Once it's all over, I'll take your eyes.\You will become my left eye, and together, we shall see my revolution.\Enemy forces are coming! response:	If you stay there, you'll die!
context: In a long life, friends are a precious thing.\Isn't that right, A-drei?\The Captain called on me to act as interrogator.\But don't worry.\Once it's all over, I'll take your eyes.\You will become my left eye, and together, we shall see my revolution.\Enemy forces are coming!\If you stay there, you'll die! response:	So what?
context: Isn't that right, A-drei?\The Captain called on me to act as interrogator.\But don't worry.\Once it's all over, I'll take your eyes.\You will become my left eye, and together, we shall see my revolution.\Enemy forces are coming!\If you stay there, you'll die!\So what? response:	If the other choice is going outside, I'd rather die.
context: The Captain called on me to act as interrogator.\But don't worry.\Once it's all over, I'll take your eyes.\You will become my left eye, and together, we shall see my revolution.\Enemy forces are coming!\If you stay there, you'll die!\So what?\If the other choice is going outside, I'd rather die. response:	It's like telling me to devolve into a water flea or something.
context: But don't worry.\Once it's all over, I'll take your eyes.\You will become my left eye, and together, we shall see my revolution.\Enemy forces are coming!\If you stay there, you'll die!\So what?\If the other choice is going outside, I'd rather die.\It's like telling me to devolve into a water flea or something. response:	I don't want to live by lowering myself to that.
context: Once it's all over, I'll take your eyes.\You will become my left eye, and together, we shall see my revolution.\Enemy forces are coming!\If you stay there, you'll die!\So what?\If the other choice is going outside, I'd rather die.\It's like telling me to devolve into a water flea or something.\I don't want to live by lowering myself to that. response:	You're the water flea, big brother, you can go ahead and live surrounded by paramecia.
context: You will become my left eye, and together, we shall see my revolution.\Enemy forces are coming!\If you stay there, you'll die!\So what?\If the other choice is going outside, I'd rather die.\It's like telling me to devolve into a water flea or something.\I don't want to live by lowering myself to that.\You're the water flea, big brother, you can go ahead and live surrounded by paramecia. response:	I'll live by myself and die by myself!
context: Enemy forces are coming!\If you stay there, you'll die!\So what?\If the other choice is going outside, I'd rather die.\It's like telling me to devolve into a water flea or something.\I don't want to live by lowering myself to that.\You're the water flea, big brother, you can go ahead and live surrounded by paramecia.\I'll live by myself and die by myself! response:	Give me a break...
context: If you stay there, you'll die!\So what?\If the other choice is going outside, I'd rather die.\It's like telling me to devolve into a water flea or something.\I don't want to live by lowering myself to that.\You're the water flea, big brother, you can go ahead and live surrounded by paramecia.\I'll live by myself and die by myself!\Give me a break... response:	Give me a break!
context: So what?\If the other choice is going outside, I'd rather die.\It's like telling me to devolve into a water flea or something.\I don't want to live by lowering myself to that.\You're the water flea, big brother, you can go ahead and live surrounded by paramecia.\I'll live by myself and die by myself!\Give me a break...\Give me a break! response:	You'd rather die? Not a chance!
context: If the other choice is going outside, I'd rather die.\It's like telling me to devolve into a water flea or something.\I don't want to live by lowering myself to that.\You're the water flea, big brother, you can go ahead and live surrounded by paramecia.\I'll live by myself and die by myself!\Give me a break...\Give me a break!\You'd rather die? Not a chance! response:	The key is to not let them touch you, right?
context: It's like telling me to devolve into a water flea or something.\I don't want to live by lowering myself to that.\You're the water flea, big brother, you can go ahead and live surrounded by paramecia.\I'll live by myself and die by myself!\Give me a break...\Give me a break!\You'd rather die? Not a chance!\The key is to not let them touch you, right? response:	I gotcha!
context: I don't want to live by lowering myself to that.\You're the water flea, big brother, you can go ahead and live surrounded by paramecia.\I'll live by myself and die by myself!\Give me a break...\Give me a break!\You'd rather die? Not a chance!\The key is to not let them touch you, right?\I gotcha! response:	You little brat!
context: You're the water flea, big brother, you can go ahead and live surrounded by paramecia.\I'll live by myself and die by myself!\Give me a break...\Give me a break!\You'd rather die? Not a chance!\The key is to not let them touch you, right?\I gotcha!\You little brat! response:	Die. I'll boil your blood in your veins.
context: I'll live by myself and die by myself!\Give me a break...\Give me a break!\You'd rather die? Not a chance!\The key is to not let them touch you, right?\I gotcha!\You little brat!\Die. I'll boil your blood in your veins. response:	Valvrave units have all shut down...
context: Give me a break...\Give me a break!\You'd rather die? Not a chance!\The key is to not let them touch you, right?\I gotcha!\You little brat!\Die. I'll boil your blood in your veins.\Valvrave units have all shut down... response:	Isn't this bad...?
context: Give me a break!\You'd rather die? Not a chance!\The key is to not let them touch you, right?\I gotcha!\You little brat!\Die. I'll boil your blood in your veins.\Valvrave units have all shut down...\Isn't this bad...? response:	Lady Takahi?
context: You'd rather die? Not a chance!\The key is to not let them touch you, right?\I gotcha!\You little brat!\Die. I'll boil your blood in your veins.\Valvrave units have all shut down...\Isn't this bad...?\Lady Takahi? response:	Iori! Where's Tokishima?
context: The key is to not let them touch you, right?\I gotcha!\You little brat!\Die. I'll boil your blood in your veins.\Valvrave units have all shut down...\Isn't this bad...?\Lady Takahi?\Iori! Where's Tokishima? response:	I think he's with L-elf...
context: I gotcha!\You little brat!\Die. I'll boil your blood in your veins.\Valvrave units have all shut down...\Isn't this bad...?\Lady Takahi?\Iori! Where's Tokishima?\I think he's with L-elf... response:	Don't just think! Get him on the line right now!
context: You little brat!\Die. I'll boil your blood in your veins.\Valvrave units have all shut down...\Isn't this bad...?\Lady Takahi?\Iori! Where's Tokishima?\I think he's with L-elf...\Don't just think! Get him on the line right now! response:	Yes, ma'am!
context: Die. I'll boil your blood in your veins.\Valvrave units have all shut down...\Isn't this bad...?\Lady Takahi?\Iori! Where's Tokishima?\I think he's with L-elf...\Don't just think! Get him on the line right now!\Yes, ma'am! response:	Drill has reached sub-level 2!
context: Valvrave units have all shut down...\Isn't this bad...?\Lady Takahi?\Iori! Where's Tokishima?\I think he's with L-elf...\Don't just think! Get him on the line right now!\Yes, ma'am!\Drill has reached sub-level 2! response:	I-I'm fine by myself, I'm telling you!
context: Isn't this bad...?\Lady Takahi?\Iori! Where's Tokishima?\I think he's with L-elf...\Don't just think! Get him on the line right now!\Yes, ma'am!\Drill has reached sub-level 2!\I-I'm fine by myself, I'm telling you! response:	I don't need your help! Don't come!
context: Lady Takahi?\Iori! Where's Tokishima?\I think he's with L-elf...\Don't just think! Get him on the line right now!\Yes, ma'am!\Drill has reached sub-level 2!\I-I'm fine by myself, I'm telling you!\I don't need your help! Don't come! response:	Your voice, your smile, the heat of your body, it'll all be gone!
context: Iori! Where's Tokishima?\I think he's with L-elf...\Don't just think! Get him on the line right now!\Yes, ma'am!\Drill has reached sub-level 2!\I-I'm fine by myself, I'm telling you!\I don't need your help! Don't come!\Your voice, your smile, the heat of your body, it'll all be gone! response:	You'll never meet anyone again!
context: I think he's with L-elf...\Don't just think! Get him on the line right now!\Yes, ma'am!\Drill has reached sub-level 2!\I-I'm fine by myself, I'm telling you!\I don't need your help! Don't come!\Your voice, your smile, the heat of your body, it'll all be gone!\You'll never meet anyone again! response:	You won't be able to talk!
context: Don't just think! Get him on the line right now!\Yes, ma'am!\Drill has reached sub-level 2!\I-I'm fine by myself, I'm telling you!\I don't need your help! Don't come!\Your voice, your smile, the heat of your body, it'll all be gone!\You'll never meet anyone again!\You won't be able to talk! response:	You won't be able to hate!
context: Yes, ma'am!\Drill has reached sub-level 2!\I-I'm fine by myself, I'm telling you!\I don't need your help! Don't come!\Your voice, your smile, the heat of your body, it'll all be gone!\You'll never meet anyone again!\You won't be able to talk!\You won't be able to hate! response:	Or be touched by anyone!
context: Drill has reached sub-level 2!\I-I'm fine by myself, I'm telling you!\I don't need your help! Don't come!\Your voice, your smile, the heat of your body, it'll all be gone!\You'll never meet anyone again!\You won't be able to talk!\You won't be able to hate!\Or be touched by anyone! response:	Y-You're just like everyone else.
context: I-I'm fine by myself, I'm telling you!\I don't need your help! Don't come!\Your voice, your smile, the heat of your body, it'll all be gone!\You'll never meet anyone again!\You won't be able to talk!\You won't be able to hate!\Or be touched by anyone!\Y-You're just like everyone else. response:	You laugh at me! Pity me!
context: I don't need your help! Don't come!\Your voice, your smile, the heat of your body, it'll all be gone!\You'll never meet anyone again!\You won't be able to talk!\You won't be able to hate!\Or be touched by anyone!\Y-You're just like everyone else.\You laugh at me! Pity me! response:	You get mad at me and tell me to go outside!
context: Your voice, your smile, the heat of your body, it'll all be gone!\You'll never meet anyone again!\You won't be able to talk!\You won't be able to hate!\Or be touched by anyone!\Y-You're just like everyone else.\You laugh at me! Pity me!\You get mad at me and tell me to go outside! response:	I'm mad, all right!
context: You'll never meet anyone again!\You won't be able to talk!\You won't be able to hate!\Or be touched by anyone!\Y-You're just like everyone else.\You laugh at me! Pity me!\You get mad at me and tell me to go outside!\I'm mad, all right! response:	See?! I told you!
context: You won't be able to talk!\You won't be able to hate!\Or be touched by anyone!\Y-You're just like everyone else.\You laugh at me! Pity me!\You get mad at me and tell me to go outside!\I'm mad, all right!\See?! I told you! response:	Because I'm your friend!
context: You won't be able to hate!\Or be touched by anyone!\Y-You're just like everyone else.\You laugh at me! Pity me!\You get mad at me and tell me to go outside!\I'm mad, all right!\See?! I told you!\Because I'm your friend! response:	I don't remember us ever becoming friends...
context: Or be touched by anyone!\Y-You're just like everyone else.\You laugh at me! Pity me!\You get mad at me and tell me to go outside!\I'm mad, all right!\See?! I told you!\Because I'm your friend!\I don't remember us ever becoming friends... response:	We are starting now!
context: Y-You're just like everyone else.\You laugh at me! Pity me!\You get mad at me and tell me to go outside!\I'm mad, all right!\See?! I told you!\Because I'm your friend!\I don't remember us ever becoming friends...\We are starting now! response:	Don't decide that by yourself!
context: You laugh at me! Pity me!\You get mad at me and tell me to go outside!\I'm mad, all right!\See?! I told you!\Because I'm your friend!\I don't remember us ever becoming friends...\We are starting now!\Don't decide that by yourself! response:	Too late, I already have!
context: You get mad at me and tell me to go outside!\I'm mad, all right!\See?! I told you!\Because I'm your friend!\I don't remember us ever becoming friends...\We are starting now!\Don't decide that by yourself!\Too late, I already have! response:	That's so self-centered...
context: I'm mad, all right!\See?! I told you!\Because I'm your friend!\I don't remember us ever becoming friends...\We are starting now!\Don't decide that by yourself!\Too late, I already have!\That's so self-centered... response:	Never underestimate a friend!
context: See?! I told you!\Because I'm your friend!\I don't remember us ever becoming friends...\We are starting now!\Don't decide that by yourself!\Too late, I already have!\That's so self-centered...\Never underestimate a friend! response:	You and I, we're friends, right?
context: Because I'm your friend!\I don't remember us ever becoming friends...\We are starting now!\Don't decide that by yourself!\Too late, I already have!\That's so self-centered...\Never underestimate a friend!\You and I, we're friends, right? response:	Sho
context: I don't remember us ever becoming friends...\We are starting now!\Don't decide that by yourself!\Too late, I already have!\That's so self-centered...\Never underestimate a friend!\You and I, we're friends, right?\Sho response:	Drill has reached sub-level 1!
context: We are starting now!\Don't decide that by yourself!\Too late, I already have!\That's so self-centered...\Never underestimate a friend!\You and I, we're friends, right?\Sho\Drill has reached sub-level 1! response:	We're done for!
context: Don't decide that by yourself!\Too late, I already have!\That's so self-centered...\Never underestimate a friend!\You and I, we're friends, right?\Sho\Drill has reached sub-level 1!\We're done for! response:	It's not working...
context: Too late, I already have!\That's so self-centered...\Never underestimate a friend!\You and I, we're friends, right?\Sho\Drill has reached sub-level 1!\We're done for!\It's not working... response:	What am I gonna do?
context: That's so self-centered...\Never underestimate a friend!\You and I, we're friends, right?\Sho\Drill has reached sub-level 1!\We're done for!\It's not working...\What am I gonna do? response:	What am I gonna do...?
context: Never underestimate a friend!\You and I, we're friends, right?\Sho\Drill has reached sub-level 1!\We're done for!\It's not working...\What am I gonna do?\What am I gonna do...? response:	Let's get you nice and dean, young lady!
context: You and I, we're friends, right?\Sho\Drill has reached sub-level 1!\We're done for!\It's not working...\What am I gonna do?\What am I gonna do...?\Let's get you nice and dean, young lady! response:	You filthy thing!
context: Sho\Drill has reached sub-level 1!\We're done for!\It's not working...\What am I gonna do?\What am I gonna do...?\Let's get you nice and dean, young lady!\You filthy thing! response:	My, what lovely hair you have!
context: Drill has reached sub-level 1!\We're done for!\It's not working...\What am I gonna do?\What am I gonna do...?\Let's get you nice and dean, young lady!\You filthy thing!\My, what lovely hair you have! response:	I think you'd look good in a short cut!
context: We're done for!\It's not working...\What am I gonna do?\What am I gonna do...?\Let's get you nice and dean, young lady!\You filthy thing!\My, what lovely hair you have!\I think you'd look good in a short cut! response:	Your scalp doesn't itch anywhere, does it?
context: It's not working...\What am I gonna do?\What am I gonna do...?\Let's get you nice and dean, young lady!\You filthy thing!\My, what lovely hair you have!\I think you'd look good in a short cut!\Your scalp doesn't itch anywhere, does it? response:	I can't...
