context: There are likely no Titans among the 104th Cadet Corps recruits! response:	Multiple Titans from the south!
context: They knocked a hole straight through Wall Maria. Where else can they go?\You can feed a hell of a lot more people by clearin' the forest and plantin' grain.\Maybe it's time for our family to let go of the forest and give up huntin' for good.\The government said they would pay us.\Every horse that we raise is money in our pockets.\You gotta be kidding!\If we give up huntin', we be givin' up who we are!\Why should we give a hoot about the people who make fun of our lifestyle? response:	I'll tell ya why.
context: You can feed a hell of a lot more people by clearin' the forest and plantin' grain.\Maybe it's time for our family to let go of the forest and give up huntin' for good.\The government said they would pay us.\Every horse that we raise is money in our pockets.\You gotta be kidding!\If we give up huntin', we be givin' up who we are!\Why should we give a hoot about the people who make fun of our lifestyle?\I'll tell ya why. response:	It's because... we're all part of the same world.
context: Maybe it's time for our family to let go of the forest and give up huntin' for good.\The government said they would pay us.\Every horse that we raise is money in our pockets.\You gotta be kidding!\If we give up huntin', we be givin' up who we are!\Why should we give a hoot about the people who make fun of our lifestyle?\I'll tell ya why.\It's because... we're all part of the same world. response:	We humans... We've always been pack animals.
context: The government said they would pay us.\Every horse that we raise is money in our pockets.\You gotta be kidding!\If we give up huntin', we be givin' up who we are!\Why should we give a hoot about the people who make fun of our lifestyle?\I'll tell ya why.\It's because... we're all part of the same world.\We humans... We've always been pack animals. response:	Sure, we all live our different ways.
context: Every horse that we raise is money in our pockets.\You gotta be kidding!\If we give up huntin', we be givin' up who we are!\Why should we give a hoot about the people who make fun of our lifestyle?\I'll tell ya why.\It's because... we're all part of the same world.\We humans... We've always been pack animals.\Sure, we all live our different ways. response:	But when space is this short, we gotta join the group and do what's best to-
context: You gotta be kidding!\If we give up huntin', we be givin' up who we are!\Why should we give a hoot about the people who make fun of our lifestyle?\I'll tell ya why.\It's because... we're all part of the same world.\We humans... We've always been pack animals.\Sure, we all live our different ways.\But when space is this short, we gotta join the group and do what's best to- response:	No! I refuse!
context: If we give up huntin', we be givin' up who we are!\Why should we give a hoot about the people who make fun of our lifestyle?\I'll tell ya why.\It's because... we're all part of the same world.\We humans... We've always been pack animals.\Sure, we all live our different ways.\But when space is this short, we gotta join the group and do what's best to-\No! I refuse! response:	We've lived here all our lives, just like the way our ancestors taught us!
context: Why should we give a hoot about the people who make fun of our lifestyle?\I'll tell ya why.\It's because... we're all part of the same world.\We humans... We've always been pack animals.\Sure, we all live our different ways.\But when space is this short, we gotta join the group and do what's best to-\No! I refuse!\We've lived here all our lives, just like the way our ancestors taught us! response:	We don't owe nothing to any outsiders!
context: I'll tell ya why.\It's because... we're all part of the same world.\We humans... We've always been pack animals.\Sure, we all live our different ways.\But when space is this short, we gotta join the group and do what's best to-\No! I refuse!\We've lived here all our lives, just like the way our ancestors taught us!\We don't owe nothing to any outsiders! response:	I see...
context: It's because... we're all part of the same world.\We humans... We've always been pack animals.\Sure, we all live our different ways.\But when space is this short, we gotta join the group and do what's best to-\No! I refuse!\We've lived here all our lives, just like the way our ancestors taught us!\We don't owe nothing to any outsiders!\I see... response:	So be it.
context: We humans... We've always been pack animals.\Sure, we all live our different ways.\But when space is this short, we gotta join the group and do what's best to-\No! I refuse!\We've lived here all our lives, just like the way our ancestors taught us!\We don't owe nothing to any outsiders!\I see...\So be it. response:	Ya can live here in this forest, along with the others who think the same.
context: Sure, we all live our different ways.\But when space is this short, we gotta join the group and do what's best to-\No! I refuse!\We've lived here all our lives, just like the way our ancestors taught us!\We don't owe nothing to any outsiders!\I see...\So be it.\Ya can live here in this forest, along with the others who think the same. response:	But, Sasha...
context: But when space is this short, we gotta join the group and do what's best to-\No! I refuse!\We've lived here all our lives, just like the way our ancestors taught us!\We don't owe nothing to any outsiders!\I see...\So be it.\Ya can live here in this forest, along with the others who think the same.\But, Sasha... response:	Are ya willin' to die for that choice?
context: No! I refuse!\We've lived here all our lives, just like the way our ancestors taught us!\We don't owe nothing to any outsiders!\I see...\So be it.\Ya can live here in this forest, along with the others who think the same.\But, Sasha...\Are ya willin' to die for that choice? response:	No matter what trouble comes yer way, ya can't go beggin' for help.
context: We've lived here all our lives, just like the way our ancestors taught us!\We don't owe nothing to any outsiders!\I see...\So be it.\Ya can live here in this forest, along with the others who think the same.\But, Sasha...\Are ya willin' to die for that choice?\No matter what trouble comes yer way, ya can't go beggin' for help. response:	If you're not there for them, don't expect them to be there for you.
context: We don't owe nothing to any outsiders!\I see...\So be it.\Ya can live here in this forest, along with the others who think the same.\But, Sasha...\Are ya willin' to die for that choice?\No matter what trouble comes yer way, ya can't go beggin' for help.\If you're not there for them, don't expect them to be there for you. response:	I'm willin' to give up our traditions if it means I can live with my family.
context: I see...\So be it.\Ya can live here in this forest, along with the others who think the same.\But, Sasha...\Are ya willin' to die for that choice?\No matter what trouble comes yer way, ya can't go beggin' for help.\If you're not there for them, don't expect them to be there for you.\I'm willin' to give up our traditions if it means I can live with my family. response:	Goes to show ya our world's connected, whether you like it or not.
context: So be it.\Ya can live here in this forest, along with the others who think the same.\But, Sasha...\Are ya willin' to die for that choice?\No matter what trouble comes yer way, ya can't go beggin' for help.\If you're not there for them, don't expect them to be there for you.\I'm willin' to give up our traditions if it means I can live with my family.\Goes to show ya our world's connected, whether you like it or not. response:	Sasha. Are you that much of a scaredy-cat?
context: Ya can live here in this forest, along with the others who think the same.\But, Sasha...\Are ya willin' to die for that choice?\No matter what trouble comes yer way, ya can't go beggin' for help.\If you're not there for them, don't expect them to be there for you.\I'm willin' to give up our traditions if it means I can live with my family.\Goes to show ya our world's connected, whether you like it or not.\Sasha. Are you that much of a scaredy-cat? response:	Is it that hard for you to leave this forest behind and get along with others?
context: But, Sasha...\Are ya willin' to die for that choice?\No matter what trouble comes yer way, ya can't go beggin' for help.\If you're not there for them, don't expect them to be there for you.\I'm willin' to give up our traditions if it means I can live with my family.\Goes to show ya our world's connected, whether you like it or not.\Sasha. Are you that much of a scaredy-cat?\Is it that hard for you to leave this forest behind and get along with others? response:	It's been 3 years since I've been back.
context: Are ya willin' to die for that choice?\No matter what trouble comes yer way, ya can't go beggin' for help.\If you're not there for them, don't expect them to be there for you.\I'm willin' to give up our traditions if it means I can live with my family.\Goes to show ya our world's connected, whether you like it or not.\Sasha. Are you that much of a scaredy-cat?\Is it that hard for you to leave this forest behind and get along with others?\It's been 3 years since I've been back. response:	Surely he realized something was amiss and fled...
context: No matter what trouble comes yer way, ya can't go beggin' for help.\If you're not there for them, don't expect them to be there for you.\I'm willin' to give up our traditions if it means I can live with my family.\Goes to show ya our world's connected, whether you like it or not.\Sasha. Are you that much of a scaredy-cat?\Is it that hard for you to leave this forest behind and get along with others?\It's been 3 years since I've been back.\Surely he realized something was amiss and fled... response:	It can't be! Way out here?
context: If you're not there for them, don't expect them to be there for you.\I'm willin' to give up our traditions if it means I can live with my family.\Goes to show ya our world's connected, whether you like it or not.\Sasha. Are you that much of a scaredy-cat?\Is it that hard for you to leave this forest behind and get along with others?\It's been 3 years since I've been back.\Surely he realized something was amiss and fled...\It can't be! Way out here? response:	They've already come this far?!
context: I'm willin' to give up our traditions if it means I can live with my family.\Goes to show ya our world's connected, whether you like it or not.\Sasha. Are you that much of a scaredy-cat?\Is it that hard for you to leave this forest behind and get along with others?\It's been 3 years since I've been back.\Surely he realized something was amiss and fled...\It can't be! Way out here?\They've already come this far?! response:	This place isn't safe for people anymore.
context: Goes to show ya our world's connected, whether you like it or not.\Sasha. Are you that much of a scaredy-cat?\Is it that hard for you to leave this forest behind and get along with others?\It's been 3 years since I've been back.\Surely he realized something was amiss and fled...\It can't be! Way out here?\They've already come this far?!\This place isn't safe for people anymore. response:	What's that? A new village?
context: Sasha. Are you that much of a scaredy-cat?\Is it that hard for you to leave this forest behind and get along with others?\It's been 3 years since I've been back.\Surely he realized something was amiss and fled...\It can't be! Way out here?\They've already come this far?!\This place isn't safe for people anymore.\What's that? A new village? response:	In addition to the cities at the walls, there exist villages of various sizes contained within the walls. They exist to provide goods and food to the people in the cities, though containing a higher population overall.
context: Is it that hard for you to leave this forest behind and get along with others?\It's been 3 years since I've been back.\Surely he realized something was amiss and fled...\It can't be! Way out here?\They've already come this far?!\This place isn't safe for people anymore.\What's that? A new village?\In addition to the cities at the walls, there exist villages of various sizes contained within the walls. They exist to provide goods and food to the people in the cities, though containing a higher population overall. response:	Information Available for Public Disclosure Scattered Villages
context: It's been 3 years since I've been back.\Surely he realized something was amiss and fled...\It can't be! Way out here?\They've already come this far?!\This place isn't safe for people anymore.\What's that? A new village?\In addition to the cities at the walls, there exist villages of various sizes contained within the walls. They exist to provide goods and food to the people in the cities, though containing a higher population overall.\Information Available for Public Disclosure Scattered Villages response:	Damn! If I don't slice it off, it'll just heal back up!
context: Surely he realized something was amiss and fled...\It can't be! Way out here?\They've already come this far?!\This place isn't safe for people anymore.\What's that? A new village?\In addition to the cities at the walls, there exist villages of various sizes contained within the walls. They exist to provide goods and food to the people in the cities, though containing a higher population overall.\Information Available for Public Disclosure Scattered Villages\Damn! If I don't slice it off, it'll just heal back up! response:	A child?
context: It can't be! Way out here?\They've already come this far?!\This place isn't safe for people anymore.\What's that? A new village?\In addition to the cities at the walls, there exist villages of various sizes contained within the walls. They exist to provide goods and food to the people in the cities, though containing a higher population overall.\Information Available for Public Disclosure Scattered Villages\Damn! If I don't slice it off, it'll just heal back up!\A child? response:	I'm so sorry...
context: They've already come this far?!\This place isn't safe for people anymore.\What's that? A new village?\In addition to the cities at the walls, there exist villages of various sizes contained within the walls. They exist to provide goods and food to the people in the cities, though containing a higher population overall.\Information Available for Public Disclosure Scattered Villages\Damn! If I don't slice it off, it'll just heal back up!\A child?\I'm so sorry... response:	What's your name?
context: This place isn't safe for people anymore.\What's that? A new village?\In addition to the cities at the walls, there exist villages of various sizes contained within the walls. They exist to provide goods and food to the people in the cities, though containing a higher population overall.\Information Available for Public Disclosure Scattered Villages\Damn! If I don't slice it off, it'll just heal back up!\A child?\I'm so sorry...\What's your name? response:	Don't worry. It'll be okay.
context: What's that? A new village?\In addition to the cities at the walls, there exist villages of various sizes contained within the walls. They exist to provide goods and food to the people in the cities, though containing a higher population overall.\Information Available for Public Disclosure Scattered Villages\Damn! If I don't slice it off, it'll just heal back up!\A child?\I'm so sorry...\What's your name?\Don't worry. It'll be okay. response:	What will?
context: In addition to the cities at the walls, there exist villages of various sizes contained within the walls. They exist to provide goods and food to the people in the cities, though containing a higher population overall.\Information Available for Public Disclosure Scattered Villages\Damn! If I don't slice it off, it'll just heal back up!\A child?\I'm so sorry...\What's your name?\Don't worry. It'll be okay.\What will? response:	Huh? What? I mean... Um...
context: Information Available for Public Disclosure Scattered Villages\Damn! If I don't slice it off, it'll just heal back up!\A child?\I'm so sorry...\What's your name?\Don't worry. It'll be okay.\What will?\Huh? What? I mean... Um... response:	Steady... Steady...
context: Damn! If I don't slice it off, it'll just heal back up!\A child?\I'm so sorry...\What's your name?\Don't worry. It'll be okay.\What will?\Huh? What? I mean... Um...\Steady... Steady... response:	Um, you see...
context: A child?\I'm so sorry...\What's your name?\Don't worry. It'll be okay.\What will?\Huh? What? I mean... Um...\Steady... Steady...\Um, you see... response:	Huh?
context: I'm so sorry...\What's your name?\Don't worry. It'll be okay.\What will?\Huh? What? I mean... Um...\Steady... Steady...\Um, you see...\Huh? response:	You're kidding me! Hey!
context: What's your name?\Don't worry. It'll be okay.\What will?\Huh? What? I mean... Um...\Steady... Steady...\Um, you see...\Huh?\You're kidding me! Hey! response:	Please wait for us!
context: Don't worry. It'll be okay.\What will?\Huh? What? I mean... Um...\Steady... Steady...\Um, you see...\Huh?\You're kidding me! Hey!\Please wait for us! response:	There's no need to worry.
context: What will?\Huh? What? I mean... Um...\Steady... Steady...\Um, you see...\Huh?\You're kidding me! Hey!\Please wait for us!\There's no need to worry. response:	Please stay calm. It'll come right back.
context: Huh? What? I mean... Um...\Steady... Steady...\Um, you see...\Huh?\You're kidding me! Hey!\Please wait for us!\There's no need to worry.\Please stay calm. It'll come right back. response:	Why are you so nice when you talk?
context: Steady... Steady...\Um, you see...\Huh?\You're kidding me! Hey!\Please wait for us!\There's no need to worry.\Please stay calm. It'll come right back.\Why are you so nice when you talk? response:	What?
context: Um, you see...\Huh?\You're kidding me! Hey!\Please wait for us!\There's no need to worry.\Please stay calm. It'll come right back.\Why are you so nice when you talk?\What? response:	Run away from here!
context: Huh?\You're kidding me! Hey!\Please wait for us!\There's no need to worry.\Please stay calm. It'll come right back.\Why are you so nice when you talk?\What?\Run away from here! response:	It'll be okay!
context: You're kidding me! Hey!\Please wait for us!\There's no need to worry.\Please stay calm. It'll come right back.\Why are you so nice when you talk?\What?\Run away from here!\It'll be okay! response:	Why? Everyone already left.
context: Please wait for us!\There's no need to worry.\Please stay calm. It'll come right back.\Why are you so nice when you talk?\What?\Run away from here!\It'll be okay!\Why? Everyone already left. response:	The whole village knew my mother's legs were bad.
context: There's no need to worry.\Please stay calm. It'll come right back.\Why are you so nice when you talk?\What?\Run away from here!\It'll be okay!\Why? Everyone already left.\The whole village knew my mother's legs were bad. response:	But not a single person came to help.
context: Please stay calm. It'll come right back.\Why are you so nice when you talk?\What?\Run away from here!\It'll be okay!\Why? Everyone already left.\The whole village knew my mother's legs were bad.\But not a single person came to help. response:	All I could do was watch.
context: Why are you so nice when you talk?\What?\Run away from here!\It'll be okay!\Why? Everyone already left.\The whole village knew my mother's legs were bad.\But not a single person came to help.\All I could do was watch. response:	It'll be okay!
context: What?\Run away from here!\It'll be okay!\Why? Everyone already left.\The whole village knew my mother's legs were bad.\But not a single person came to help.\All I could do was watch.\It'll be okay! response:	It's okay.
context: Run away from here!\It'll be okay!\Why? Everyone already left.\The whole village knew my mother's legs were bad.\But not a single person came to help.\All I could do was watch.\It'll be okay!\It's okay. response:	You're really starting to tick me off.
context: It'll be okay!\Why? Everyone already left.\The whole village knew my mother's legs were bad.\But not a single person came to help.\All I could do was watch.\It'll be okay!\It's okay.\You're really starting to tick me off. response:	What?
context: Why? Everyone already left.\The whole village knew my mother's legs were bad.\But not a single person came to help.\All I could do was watch.\It'll be okay!\It's okay.\You're really starting to tick me off.\What? response:	That stupid way you talk politely to everyone.
context: The whole village knew my mother's legs were bad.\But not a single person came to help.\All I could do was watch.\It'll be okay!\It's okay.\You're really starting to tick me off.\What?\That stupid way you talk politely to everyone. response:	Why don't you talk to other cadets like normal?
context: But not a single person came to help.\All I could do was watch.\It'll be okay!\It's okay.\You're really starting to tick me off.\What?\That stupid way you talk politely to everyone.\Why don't you talk to other cadets like normal? response:	Um... Well, you see...
context: All I could do was watch.\It'll be okay!\It's okay.\You're really starting to tick me off.\What?\That stupid way you talk politely to everyone.\Why don't you talk to other cadets like normal?\Um... Well, you see... response:	Wait. Let me guess.
context: It'll be okay!\It's okay.\You're really starting to tick me off.\What?\That stupid way you talk politely to everyone.\Why don't you talk to other cadets like normal?\Um... Well, you see...\Wait. Let me guess. response:	You're embarrassed by the way people sound from your village.
context: It's okay.\You're really starting to tick me off.\What?\That stupid way you talk politely to everyone.\Why don't you talk to other cadets like normal?\Um... Well, you see...\Wait. Let me guess.\You're embarrassed by the way people sound from your village. response:	Bull's-eye?
context: You're really starting to tick me off.\What?\That stupid way you talk politely to everyone.\Why don't you talk to other cadets like normal?\Um... Well, you see...\Wait. Let me guess.\You're embarrassed by the way people sound from your village.\Bull's-eye? response:	I'm surprised an idiot like you cares so much.
context: What?\That stupid way you talk politely to everyone.\Why don't you talk to other cadets like normal?\Um... Well, you see...\Wait. Let me guess.\You're embarrassed by the way people sound from your village.\Bull's-eye?\I'm surprised an idiot like you cares so much. response:	You can't do anything but hunt, and you're afraid of people, to top it off.
context: That stupid way you talk politely to everyone.\Why don't you talk to other cadets like normal?\Um... Well, you see...\Wait. Let me guess.\You're embarrassed by the way people sound from your village.\Bull's-eye?\I'm surprised an idiot like you cares so much.\You can't do anything but hunt, and you're afraid of people, to top it off. response:	I bet you don't have a single good reason for aiming to become a soldier.
context: Why don't you talk to other cadets like normal?\Um... Well, you see...\Wait. Let me guess.\You're embarrassed by the way people sound from your village.\Bull's-eye?\I'm surprised an idiot like you cares so much.\You can't do anything but hunt, and you're afraid of people, to top it off.\I bet you don't have a single good reason for aiming to become a soldier. response:	Your parents probably-
context: Um... Well, you see...\Wait. Let me guess.\You're embarrassed by the way people sound from your village.\Bull's-eye?\I'm surprised an idiot like you cares so much.\You can't do anything but hunt, and you're afraid of people, to top it off.\I bet you don't have a single good reason for aiming to become a soldier.\Your parents probably- response:	Stop it, Ymir! You're being-
context: Wait. Let me guess.\You're embarrassed by the way people sound from your village.\Bull's-eye?\I'm surprised an idiot like you cares so much.\You can't do anything but hunt, and you're afraid of people, to top it off.\I bet you don't have a single good reason for aiming to become a soldier.\Your parents probably-\Stop it, Ymir! You're being- response:	Sasha!
context: You're embarrassed by the way people sound from your village.\Bull's-eye?\I'm surprised an idiot like you cares so much.\You can't do anything but hunt, and you're afraid of people, to top it off.\I bet you don't have a single good reason for aiming to become a soldier.\Your parents probably-\Stop it, Ymir! You're being-\Sasha! response:	You gonna care what other people think and be someone you're not your whole life?
context: Bull's-eye?\I'm surprised an idiot like you cares so much.\You can't do anything but hunt, and you're afraid of people, to top it off.\I bet you don't have a single good reason for aiming to become a soldier.\Your parents probably-\Stop it, Ymir! You're being-\Sasha!\You gonna care what other people think and be someone you're not your whole life? response:	What a crock of shit.
context: I'm surprised an idiot like you cares so much.\You can't do anything but hunt, and you're afraid of people, to top it off.\I bet you don't have a single good reason for aiming to become a soldier.\Your parents probably-\Stop it, Ymir! You're being-\Sasha!\You gonna care what other people think and be someone you're not your whole life?\What a crock of shit. response:	You're fine as is, so talk in your own words for crying out loud.
context: You can't do anything but hunt, and you're afraid of people, to top it off.\I bet you don't have a single good reason for aiming to become a soldier.\Your parents probably-\Stop it, Ymir! You're being-\Sasha!\You gonna care what other people think and be someone you're not your whole life?\What a crock of shit.\You're fine as is, so talk in your own words for crying out loud. response:	Th-Thank you...
context: I bet you don't have a single good reason for aiming to become a soldier.\Your parents probably-\Stop it, Ymir! You're being-\Sasha!\You gonna care what other people think and be someone you're not your whole life?\What a crock of shit.\You're fine as is, so talk in your own words for crying out loud.\Th-Thank you... response:	What?
context: Your parents probably-\Stop it, Ymir! You're being-\Sasha!\You gonna care what other people think and be someone you're not your whole life?\What a crock of shit.\You're fine as is, so talk in your own words for crying out loud.\Th-Thank you...\What? response:	I'm... sorry.
context: Stop it, Ymir! You're being-\Sasha!\You gonna care what other people think and be someone you're not your whole life?\What a crock of shit.\You're fine as is, so talk in your own words for crying out loud.\Th-Thank you...\What?\I'm... sorry. response:	I'm not... yet...
context: Sasha!\You gonna care what other people think and be someone you're not your whole life?\What a crock of shit.\You're fine as is, so talk in your own words for crying out loud.\Th-Thank you...\What?\I'm... sorry.\I'm not... yet... response:	Cut it out!
context: You gonna care what other people think and be someone you're not your whole life?\What a crock of shit.\You're fine as is, so talk in your own words for crying out loud.\Th-Thank you...\What?\I'm... sorry.\I'm not... yet...\Cut it out! response:	There's nothing wrong with the way she talks!
context: What a crock of shit.\You're fine as is, so talk in your own words for crying out loud.\Th-Thank you...\What?\I'm... sorry.\I'm not... yet...\Cut it out!\There's nothing wrong with the way she talks! response:	Sasha is who Sasha wants to be.
context: You're fine as is, so talk in your own words for crying out loud.\Th-Thank you...\What?\I'm... sorry.\I'm not... yet...\Cut it out!\There's nothing wrong with the way she talks!\Sasha is who Sasha wants to be. response:	Her words will always be her own.
context: Th-Thank you...\What?\I'm... sorry.\I'm not... yet...\Cut it out!\There's nothing wrong with the way she talks!\Sasha is who Sasha wants to be.\Her words will always be her own. response:	And I happen to like her.
context: What?\I'm... sorry.\I'm not... yet...\Cut it out!\There's nothing wrong with the way she talks!\Sasha is who Sasha wants to be.\Her words will always be her own.\And I happen to like her. response:	Hmph! Have it your way.
context: I'm... sorry.\I'm not... yet...\Cut it out!\There's nothing wrong with the way she talks!\Sasha is who Sasha wants to be.\Her words will always be her own.\And I happen to like her.\Hmph! Have it your way. response:	Still, even if she changed the way she talks,
context: I'm not... yet...\Cut it out!\There's nothing wrong with the way she talks!\Sasha is who Sasha wants to be.\Her words will always be her own.\And I happen to like her.\Hmph! Have it your way.\Still, even if she changed the way she talks, response:	it won't change the fact that she's annoying.
context: Cut it out!\There's nothing wrong with the way she talks!\Sasha is who Sasha wants to be.\Her words will always be her own.\And I happen to like her.\Hmph! Have it your way.\Still, even if she changed the way she talks,\it won't change the fact that she's annoying. response:	You know, not everyone is as insensitive as you.
context: There's nothing wrong with the way she talks!\Sasha is who Sasha wants to be.\Her words will always be her own.\And I happen to like her.\Hmph! Have it your way.\Still, even if she changed the way she talks,\it won't change the fact that she's annoying.\You know, not everyone is as insensitive as you. response:	Excuse me?
context: Sasha is who Sasha wants to be.\Her words will always be her own.\And I happen to like her.\Hmph! Have it your way.\Still, even if she changed the way she talks,\it won't change the fact that she's annoying.\You know, not everyone is as insensitive as you.\Excuse me? response:	You little... You little...
context: Her words will always be her own.\And I happen to like her.\Hmph! Have it your way.\Still, even if she changed the way she talks,\it won't change the fact that she's annoying.\You know, not everyone is as insensitive as you.\Excuse me?\You little... You little... response:	Hey! What are you laughing at?!
context: And I happen to like her.\Hmph! Have it your way.\Still, even if she changed the way she talks,\it won't change the fact that she's annoying.\You know, not everyone is as insensitive as you.\Excuse me?\You little... You little...\Hey! What are you laughing at?! response:	Ah! I'm sorry!
context: Hmph! Have it your way.\Still, even if she changed the way she talks,\it won't change the fact that she's annoying.\You know, not everyone is as insensitive as you.\Excuse me?\You little... You little...\Hey! What are you laughing at?!\Ah! I'm sorry! response:	Why do I remember, now of all times...
context: Still, even if she changed the way she talks,\it won't change the fact that she's annoying.\You know, not everyone is as insensitive as you.\Excuse me?\You little... You little...\Hey! What are you laughing at?!\Ah! I'm sorry!\Why do I remember, now of all times... response:	It's all... I can think of.
context: it won't change the fact that she's annoying.\You know, not everyone is as insensitive as you.\Excuse me?\You little... You little...\Hey! What are you laughing at?!\Ah! I'm sorry!\Why do I remember, now of all times...\It's all... I can think of. response:	Hey, listen up.
context: You know, not everyone is as insensitive as you.\Excuse me?\You little... You little...\Hey! What are you laughing at?!\Ah! I'm sorry!\Why do I remember, now of all times...\It's all... I can think of.\Hey, listen up. response:	You'll be fine. Keep following this path.
context: Excuse me?\You little... You little...\Hey! What are you laughing at?!\Ah! I'm sorry!\Why do I remember, now of all times...\It's all... I can think of.\Hey, listen up.\You'll be fine. Keep following this path. response:	Run as far as you can.
context: You little... You little...\Hey! What are you laughing at?!\Ah! I'm sorry!\Why do I remember, now of all times...\It's all... I can think of.\Hey, listen up.\You'll be fine. Keep following this path.\Run as far as you can. response:	I promise someone will be there to help you.
context: Hey! What are you laughing at?!\Ah! I'm sorry!\Why do I remember, now of all times...\It's all... I can think of.\Hey, listen up.\You'll be fine. Keep following this path.\Run as far as you can.\I promise someone will be there to help you. response:	You might not find them right away...
context: Ah! I'm sorry!\Why do I remember, now of all times...\It's all... I can think of.\Hey, listen up.\You'll be fine. Keep following this path.\Run as far as you can.\I promise someone will be there to help you.\You might not find them right away... response:	But still, keep running until you do!
context: Why do I remember, now of all times...\It's all... I can think of.\Hey, listen up.\You'll be fine. Keep following this path.\Run as far as you can.\I promise someone will be there to help you.\You might not find them right away...\But still, keep running until you do! response:	Now, go!
context: It's all... I can think of.\Hey, listen up.\You'll be fine. Keep following this path.\Run as far as you can.\I promise someone will be there to help you.\You might not find them right away...\But still, keep running until you do!\Now, go! response:	Run!
context: Hey, listen up.\You'll be fine. Keep following this path.\Run as far as you can.\I promise someone will be there to help you.\You might not find them right away...\But still, keep running until you do!\Now, go!\Run! response:	Get runnin'!
context: You'll be fine. Keep following this path.\Run as far as you can.\I promise someone will be there to help you.\You might not find them right away...\But still, keep running until you do!\Now, go!\Run!\Get runnin'! response:	If I take out both eyes, it'll buy us plenty of time.
context: Run as far as you can.\I promise someone will be there to help you.\You might not find them right away...\But still, keep running until you do!\Now, go!\Run!\Get runnin'!\If I take out both eyes, it'll buy us plenty of time. response:	Only... two left.
context: I promise someone will be there to help you.\You might not find them right away...\But still, keep running until you do!\Now, go!\Run!\Get runnin'!\If I take out both eyes, it'll buy us plenty of time.\Only... two left. response:	Relax...
context: You might not find them right away...\But still, keep running until you do!\Now, go!\Run!\Get runnin'!\If I take out both eyes, it'll buy us plenty of time.\Only... two left.\Relax... response:	All it is... is a big...
context: But still, keep running until you do!\Now, go!\Run!\Get runnin'!\If I take out both eyes, it'll buy us plenty of time.\Only... two left.\Relax...\All it is... is a big... response:	Got it!
context: Now, go!\Run!\Get runnin'!\If I take out both eyes, it'll buy us plenty of time.\Only... two left.\Relax...\All it is... is a big...\Got it! response:	One more arrow.
context: Run!\Get runnin'!\If I take out both eyes, it'll buy us plenty of time.\Only... two left.\Relax...\All it is... is a big...\Got it!\One more arrow. response:	But, if I miss this...
context: Get runnin'!\If I take out both eyes, it'll buy us plenty of time.\Only... two left.\Relax...\All it is... is a big...\Got it!\One more arrow.\But, if I miss this... response:	If I miss, me and...
context: If I take out both eyes, it'll buy us plenty of time.\Only... two left.\Relax...\All it is... is a big...\Got it!\One more arrow.\But, if I miss this...\If I miss, me and... response:	I slipped out thanks to that blood.
context: Only... two left.\Relax...\All it is... is a big...\Got it!\One more arrow.\But, if I miss this...\If I miss, me and...\I slipped out thanks to that blood. response:	Now I've gotta find that girl!
context: Relax...\All it is... is a big...\Got it!\One more arrow.\But, if I miss this...\If I miss, me and...\I slipped out thanks to that blood.\Now I've gotta find that girl! response:	Huh? Sasha?
context: All it is... is a big...\Got it!\One more arrow.\But, if I miss this...\If I miss, me and...\I slipped out thanks to that blood.\Now I've gotta find that girl!\Huh? Sasha? response:	We been givin' horses to everyone in the area.
context: Got it!\One more arrow.\But, if I miss this...\If I miss, me and...\I slipped out thanks to that blood.\Now I've gotta find that girl!\Huh? Sasha?\We been givin' horses to everyone in the area. response:	That girl told us someone was still back there.
context: One more arrow.\But, if I miss this...\If I miss, me and...\I slipped out thanks to that blood.\Now I've gotta find that girl!\Huh? Sasha?\We been givin' horses to everyone in the area.\That girl told us someone was still back there. response:	Who'da thunk it was you?
context: But, if I miss this...\If I miss, me and...\I slipped out thanks to that blood.\Now I've gotta find that girl!\Huh? Sasha?\We been givin' horses to everyone in the area.\That girl told us someone was still back there.\Who'da thunk it was you? response:	You fought off a Titan for that girl, didn't ya?
context: If I miss, me and...\I slipped out thanks to that blood.\Now I've gotta find that girl!\Huh? Sasha?\We been givin' horses to everyone in the area.\That girl told us someone was still back there.\Who'da thunk it was you?\You fought off a Titan for that girl, didn't ya? response:	Sasha... Yer all I hoped for.
context: I slipped out thanks to that blood.\Now I've gotta find that girl!\Huh? Sasha?\We been givin' horses to everyone in the area.\That girl told us someone was still back there.\Who'da thunk it was you?\You fought off a Titan for that girl, didn't ya?\Sasha... Yer all I hoped for. response:	Father...
context: Now I've gotta find that girl!\Huh? Sasha?\We been givin' horses to everyone in the area.\That girl told us someone was still back there.\Who'da thunk it was you?\You fought off a Titan for that girl, didn't ya?\Sasha... Yer all I hoped for.\Father... response:	I'm home.
context: Huh? Sasha?\We been givin' horses to everyone in the area.\That girl told us someone was still back there.\Who'da thunk it was you?\You fought off a Titan for that girl, didn't ya?\Sasha... Yer all I hoped for.\Father...\I'm home. response:	Conny, wait!
context: We been givin' horses to everyone in the area.\That girl told us someone was still back there.\Who'da thunk it was you?\You fought off a Titan for that girl, didn't ya?\Sasha... Yer all I hoped for.\Father...\I'm home.\Conny, wait! response:	Calm down!
context: That girl told us someone was still back there.\Who'da thunk it was you?\You fought off a Titan for that girl, didn't ya?\Sasha... Yer all I hoped for.\Father...\I'm home.\Conny, wait!\Calm down! response:	There could be Titans anywhere!
