context: It's the battle part of day four of the Grand Magic Games! response:	Due to the disqualification of Raven Tail,
context: Whoa! What's this?!\He stopped that tremendous attack with one hand!\I-I don't believe it...\Huh?\No way...\I have no memory of that skill ever being blocked.\I see...\Now it makes sense why he would storm into our inn on his own. response:	I wonder what I could have seen if I hadn't stopped him then...
context: He stopped that tremendous attack with one hand!\I-I don't believe it...\Huh?\No way...\I have no memory of that skill ever being blocked.\I see...\Now it makes sense why he would storm into our inn on his own.\I wonder what I could have seen if I hadn't stopped him then... response:	Sting-kun...
context: I-I don't believe it...\Huh?\No way...\I have no memory of that skill ever being blocked.\I see...\Now it makes sense why he would storm into our inn on his own.\I wonder what I could have seen if I hadn't stopped him then...\Sting-kun... response:	Yajima-san, what do you make of this?!
context: Huh?\No way...\I have no memory of that skill ever being blocked.\I see...\Now it makes sense why he would storm into our inn on his own.\I wonder what I could have seen if I hadn't stopped him then...\Sting-kun...\Yajima-san, what do you make of this?! response:	Gajeel!
context: No way...\I have no memory of that skill ever being blocked.\I see...\Now it makes sense why he would storm into our inn on his own.\I wonder what I could have seen if I hadn't stopped him then...\Sting-kun...\Yajima-san, what do you make of this?!\Gajeel! response:	Rogue...
context: I have no memory of that skill ever being blocked.\I see...\Now it makes sense why he would storm into our inn on his own.\I wonder what I could have seen if I hadn't stopped him then...\Sting-kun...\Yajima-san, what do you make of this?!\Gajeel!\Rogue... response:	So three months of training and Second Origin
context: I see...\Now it makes sense why he would storm into our inn on his own.\I wonder what I could have seen if I hadn't stopped him then...\Sting-kun...\Yajima-san, what do you make of this?!\Gajeel!\Rogue...\So three months of training and Second Origin response:	made these two this strong, eh?
context: Now it makes sense why he would storm into our inn on his own.\I wonder what I could have seen if I hadn't stopped him then...\Sting-kun...\Yajima-san, what do you make of this?!\Gajeel!\Rogue...\So three months of training and Second Origin\made these two this strong, eh? response:	They belong to totally different ranks.
context: I wonder what I could have seen if I hadn't stopped him then...\Sting-kun...\Yajima-san, what do you make of this?!\Gajeel!\Rogue...\So three months of training and Second Origin\made these two this strong, eh?\They belong to totally different ranks. response:	Even I can pick up on it.
context: Sting-kun...\Yajima-san, what do you make of this?!\Gajeel!\Rogue...\So three months of training and Second Origin\made these two this strong, eh?\They belong to totally different ranks.\Even I can pick up on it. response:	The way they're cheering has changed again, right?
context: Yajima-san, what do you make of this?!\Gajeel!\Rogue...\So three months of training and Second Origin\made these two this strong, eh?\They belong to totally different ranks.\Even I can pick up on it.\The way they're cheering has changed again, right? response:	Yes.
context: Gajeel!\Rogue...\So three months of training and Second Origin\made these two this strong, eh?\They belong to totally different ranks.\Even I can pick up on it.\The way they're cheering has changed again, right?\Yes. response:	Lucy, you were awake?
context: Rogue...\So three months of training and Second Origin\made these two this strong, eh?\They belong to totally different ranks.\Even I can pick up on it.\The way they're cheering has changed again, right?\Yes.\Lucy, you were awake? response:	Yeah. I just can't sleep.
context: So three months of training and Second Origin\made these two this strong, eh?\They belong to totally different ranks.\Even I can pick up on it.\The way they're cheering has changed again, right?\Yes.\Lucy, you were awake?\Yeah. I just can't sleep. response:	Natsu and Gajeel will win, won't they?
context: made these two this strong, eh?\They belong to totally different ranks.\Even I can pick up on it.\The way they're cheering has changed again, right?\Yes.\Lucy, you were awake?\Yeah. I just can't sleep.\Natsu and Gajeel will win, won't they? response:	Wh-Who could have foreseen this development?!
context: They belong to totally different ranks.\Even I can pick up on it.\The way they're cheering has changed again, right?\Yes.\Lucy, you were awake?\Yeah. I just can't sleep.\Natsu and Gajeel will win, won't they?\Wh-Who could have foreseen this development?! response:	The Twin Dragons of Sabertooth, helpless before Fairy Tail!
context: Even I can pick up on it.\The way they're cheering has changed again, right?\Yes.\Lucy, you were awake?\Yeah. I just can't sleep.\Natsu and Gajeel will win, won't they?\Wh-Who could have foreseen this development?!\The Twin Dragons of Sabertooth, helpless before Fairy Tail! response:	Will the match end like this?!
context: The way they're cheering has changed again, right?\Yes.\Lucy, you were awake?\Yeah. I just can't sleep.\Natsu and Gajeel will win, won't they?\Wh-Who could have foreseen this development?!\The Twin Dragons of Sabertooth, helpless before Fairy Tail!\Will the match end like this?! response:	Like hell it'll end...
context: Yes.\Lucy, you were awake?\Yeah. I just can't sleep.\Natsu and Gajeel will win, won't they?\Wh-Who could have foreseen this development?!\The Twin Dragons of Sabertooth, helpless before Fairy Tail!\Will the match end like this?!\Like hell it'll end... response:	Yeah...
context: Lucy, you were awake?\Yeah. I just can't sleep.\Natsu and Gajeel will win, won't they?\Wh-Who could have foreseen this development?!\The Twin Dragons of Sabertooth, helpless before Fairy Tail!\Will the match end like this?!\Like hell it'll end...\Yeah... response:	I knew this wasn't gonna be an easy wall to get over...
context: Yeah. I just can't sleep.\Natsu and Gajeel will win, won't they?\Wh-Who could have foreseen this development?!\The Twin Dragons of Sabertooth, helpless before Fairy Tail!\Will the match end like this?!\Like hell it'll end...\Yeah...\I knew this wasn't gonna be an easy wall to get over... response:	Sting-kun...
context: Natsu and Gajeel will win, won't they?\Wh-Who could have foreseen this development?!\The Twin Dragons of Sabertooth, helpless before Fairy Tail!\Will the match end like this?!\Like hell it'll end...\Yeah...\I knew this wasn't gonna be an easy wall to get over...\Sting-kun... response:	I know, Lector...
context: Wh-Who could have foreseen this development?!\The Twin Dragons of Sabertooth, helpless before Fairy Tail!\Will the match end like this?!\Like hell it'll end...\Yeah...\I knew this wasn't gonna be an easy wall to get over...\Sting-kun...\I know, Lector... response:	We made a promise, right?
context: The Twin Dragons of Sabertooth, helpless before Fairy Tail!\Will the match end like this?!\Like hell it'll end...\Yeah...\I knew this wasn't gonna be an easy wall to get over...\Sting-kun...\I know, Lector...\We made a promise, right? response:	I'm not gonna lose.
context: Will the match end like this?!\Like hell it'll end...\Yeah...\I knew this wasn't gonna be an easy wall to get over...\Sting-kun...\I know, Lector...\We made a promise, right?\I'm not gonna lose. response:	I can't lose...
context: Like hell it'll end...\Yeah...\I knew this wasn't gonna be an easy wall to get over...\Sting-kun...\I know, Lector...\We made a promise, right?\I'm not gonna lose.\I can't lose... response:	For Lector's sake...
context: Yeah...\I knew this wasn't gonna be an easy wall to get over...\Sting-kun...\I know, Lector...\We made a promise, right?\I'm not gonna lose.\I can't lose...\For Lector's sake... response:	What the hell is this magic?!
context: I knew this wasn't gonna be an easy wall to get over...\Sting-kun...\I know, Lector...\We made a promise, right?\I'm not gonna lose.\I can't lose...\For Lector's sake...\What the hell is this magic?! response:	They're...
context: Sting-kun...\I know, Lector...\We made a promise, right?\I'm not gonna lose.\I can't lose...\For Lector's sake...\What the hell is this magic?!\They're... response:	Wh-What is this...?
context: I know, Lector...\We made a promise, right?\I'm not gonna lose.\I can't lose...\For Lector's sake...\What the hell is this magic?!\They're...\Wh-What is this...? response:	Tremble at the true power of the Third Generation.
context: We made a promise, right?\I'm not gonna lose.\I can't lose...\For Lector's sake...\What the hell is this magic?!\They're...\Wh-What is this...?\Tremble at the true power of the Third Generation. response:	Impossible! They can activate it with their own will?!
context: I'm not gonna lose.\I can't lose...\For Lector's sake...\What the hell is this magic?!\They're...\Wh-What is this...?\Tremble at the true power of the Third Generation.\Impossible! They can activate it with their own will?! response:	Dragon Force...
context: I can't lose...\For Lector's sake...\What the hell is this magic?!\They're...\Wh-What is this...?\Tremble at the true power of the Third Generation.\Impossible! They can activate it with their own will?!\Dragon Force... response:	Natsu kinda looked like that at the Tower of Heaven...
context: For Lector's sake...\What the hell is this magic?!\They're...\Wh-What is this...?\Tremble at the true power of the Third Generation.\Impossible! They can activate it with their own will?!\Dragon Force...\Natsu kinda looked like that at the Tower of Heaven... response:	Yeah. Except...
context: What the hell is this magic?!\They're...\Wh-What is this...?\Tremble at the true power of the Third Generation.\Impossible! They can activate it with their own will?!\Dragon Force...\Natsu kinda looked like that at the Tower of Heaven...\Yeah. Except... response:	And that time with Zero too, he unleashed that power by eating all of my magic.
context: They're...\Wh-What is this...?\Tremble at the true power of the Third Generation.\Impossible! They can activate it with their own will?!\Dragon Force...\Natsu kinda looked like that at the Tower of Heaven...\Yeah. Except...\And that time with Zero too, he unleashed that power by eating all of my magic. response:	But they're able to release the power of the Dragon by willing it?!
context: Wh-What is this...?\Tremble at the true power of the Third Generation.\Impossible! They can activate it with their own will?!\Dragon Force...\Natsu kinda looked like that at the Tower of Heaven...\Yeah. Except...\And that time with Zero too, he unleashed that power by eating all of my magic.\But they're able to release the power of the Dragon by willing it?! response:	This is the Third Generation of Dragon Slayers.
context: Tremble at the true power of the Third Generation.\Impossible! They can activate it with their own will?!\Dragon Force...\Natsu kinda looked like that at the Tower of Heaven...\Yeah. Except...\And that time with Zero too, he unleashed that power by eating all of my magic.\But they're able to release the power of the Dragon by willing it?!\This is the Third Generation of Dragon Slayers. response:	Rogue, hang back.
context: Impossible! They can activate it with their own will?!\Dragon Force...\Natsu kinda looked like that at the Tower of Heaven...\Yeah. Except...\And that time with Zero too, he unleashed that power by eating all of my magic.\But they're able to release the power of the Dragon by willing it?!\This is the Third Generation of Dragon Slayers.\Rogue, hang back. response:	I can take both of them on by myself.
context: Dragon Force...\Natsu kinda looked like that at the Tower of Heaven...\Yeah. Except...\And that time with Zero too, he unleashed that power by eating all of my magic.\But they're able to release the power of the Dragon by willing it?!\This is the Third Generation of Dragon Slayers.\Rogue, hang back.\I can take both of them on by myself. response:	U-Until just a minute ago, Sabertooth was being dominated!
context: Natsu kinda looked like that at the Tower of Heaven...\Yeah. Except...\And that time with Zero too, he unleashed that power by eating all of my magic.\But they're able to release the power of the Dragon by willing it?!\This is the Third Generation of Dragon Slayers.\Rogue, hang back.\I can take both of them on by myself.\U-Until just a minute ago, Sabertooth was being dominated! response:	Unbelievably, he's challenged both of them!
context: Yeah. Except...\And that time with Zero too, he unleashed that power by eating all of my magic.\But they're able to release the power of the Dragon by willing it?!\This is the Third Generation of Dragon Slayers.\Rogue, hang back.\I can take both of them on by myself.\U-Until just a minute ago, Sabertooth was being dominated!\Unbelievably, he's challenged both of them! response:	That's how much confidence he has, huh?
context: And that time with Zero too, he unleashed that power by eating all of my magic.\But they're able to release the power of the Dragon by willing it?!\This is the Third Generation of Dragon Slayers.\Rogue, hang back.\I can take both of them on by myself.\U-Until just a minute ago, Sabertooth was being dominated!\Unbelievably, he's challenged both of them!\That's how much confidence he has, huh? response:	That's right!
context: But they're able to release the power of the Dragon by willing it?!\This is the Third Generation of Dragon Slayers.\Rogue, hang back.\I can take both of them on by myself.\U-Until just a minute ago, Sabertooth was being dominated!\Unbelievably, he's challenged both of them!\That's how much confidence he has, huh?\That's right! response:	Sting-kun and Rogue-kun have Dragon Force.
context: This is the Third Generation of Dragon Slayers.\Rogue, hang back.\I can take both of them on by myself.\U-Until just a minute ago, Sabertooth was being dominated!\Unbelievably, he's challenged both of them!\That's how much confidence he has, huh?\That's right!\Sting-kun and Rogue-kun have Dragon Force. response:	There's no way they can lose!
context: Rogue, hang back.\I can take both of them on by myself.\U-Until just a minute ago, Sabertooth was being dominated!\Unbelievably, he's challenged both of them!\That's how much confidence he has, huh?\That's right!\Sting-kun and Rogue-kun have Dragon Force.\There's no way they can lose! response:	I was worried for nothing!
context: I can take both of them on by myself.\U-Until just a minute ago, Sabertooth was being dominated!\Unbelievably, he's challenged both of them!\That's how much confidence he has, huh?\That's right!\Sting-kun and Rogue-kun have Dragon Force.\There's no way they can lose!\I was worried for nothing! response:	Fro forgot about Dragon Force, too!
context: U-Until just a minute ago, Sabertooth was being dominated!\Unbelievably, he's challenged both of them!\That's how much confidence he has, huh?\That's right!\Sting-kun and Rogue-kun have Dragon Force.\There's no way they can lose!\I was worried for nothing!\Fro forgot about Dragon Force, too! response:	I haven't seen it yet, but is it really all that?
context: Unbelievably, he's challenged both of them!\That's how much confidence he has, huh?\That's right!\Sting-kun and Rogue-kun have Dragon Force.\There's no way they can lose!\I was worried for nothing!\Fro forgot about Dragon Force, too!\I haven't seen it yet, but is it really all that? response:	Yeah. At this rate, the odds are against them.
context: That's how much confidence he has, huh?\That's right!\Sting-kun and Rogue-kun have Dragon Force.\There's no way they can lose!\I was worried for nothing!\Fro forgot about Dragon Force, too!\I haven't seen it yet, but is it really all that?\Yeah. At this rate, the odds are against them. response:	It's gotten quiet...
context: That's right!\Sting-kun and Rogue-kun have Dragon Force.\There's no way they can lose!\I was worried for nothing!\Fro forgot about Dragon Force, too!\I haven't seen it yet, but is it really all that?\Yeah. At this rate, the odds are against them.\It's gotten quiet... response:	Maybe they're finished?
context: Sting-kun and Rogue-kun have Dragon Force.\There's no way they can lose!\I was worried for nothing!\Fro forgot about Dragon Force, too!\I haven't seen it yet, but is it really all that?\Yeah. At this rate, the odds are against them.\It's gotten quiet...\Maybe they're finished? response:	No. It begins here...
context: There's no way they can lose!\I was worried for nothing!\Fro forgot about Dragon Force, too!\I haven't seen it yet, but is it really all that?\Yeah. At this rate, the odds are against them.\It's gotten quiet...\Maybe they're finished?\No. It begins here... response:	Shall I check it out?
context: I was worried for nothing!\Fro forgot about Dragon Force, too!\I haven't seen it yet, but is it really all that?\Yeah. At this rate, the odds are against them.\It's gotten quiet...\Maybe they're finished?\No. It begins here...\Shall I check it out? response:	No, you don't have to.
context: Fro forgot about Dragon Force, too!\I haven't seen it yet, but is it really all that?\Yeah. At this rate, the odds are against them.\It's gotten quiet...\Maybe they're finished?\No. It begins here...\Shall I check it out?\No, you don't have to. response:	I'm sure Natsu and Gajeel will be fine.
context: I haven't seen it yet, but is it really all that?\Yeah. At this rate, the odds are against them.\It's gotten quiet...\Maybe they're finished?\No. It begins here...\Shall I check it out?\No, you don't have to.\I'm sure Natsu and Gajeel will be fine. response:	They're lookin' down on us...
context: Yeah. At this rate, the odds are against them.\It's gotten quiet...\Maybe they're finished?\No. It begins here...\Shall I check it out?\No, you don't have to.\I'm sure Natsu and Gajeel will be fine.\They're lookin' down on us... response:	But this feeling...
context: It's gotten quiet...\Maybe they're finished?\No. It begins here...\Shall I check it out?\No, you don't have to.\I'm sure Natsu and Gajeel will be fine.\They're lookin' down on us...\But this feeling... response:	He's strong.
context: Maybe they're finished?\No. It begins here...\Shall I check it out?\No, you don't have to.\I'm sure Natsu and Gajeel will be fine.\They're lookin' down on us...\But this feeling...\He's strong. response:	I-It's different...
context: No. It begins here...\Shall I check it out?\No, you don't have to.\I'm sure Natsu and Gajeel will be fine.\They're lookin' down on us...\But this feeling...\He's strong.\I-It's different... response:	Totally different from before!
context: Shall I check it out?\No, you don't have to.\I'm sure Natsu and Gajeel will be fine.\They're lookin' down on us...\But this feeling...\He's strong.\I-It's different...\Totally different from before! response:	Natsu-nii...
context: No, you don't have to.\I'm sure Natsu and Gajeel will be fine.\They're lookin' down on us...\But this feeling...\He's strong.\I-It's different...\Totally different from before!\Natsu-nii... response:	Holy Breath of the White Dragon!
context: I'm sure Natsu and Gajeel will be fine.\They're lookin' down on us...\But this feeling...\He's strong.\I-It's different...\Totally different from before!\Natsu-nii...\Holy Breath of the White Dragon! response:	W-What is it?!
context: They're lookin' down on us...\But this feeling...\He's strong.\I-It's different...\Totally different from before!\Natsu-nii...\Holy Breath of the White Dragon!\W-What is it?! response:	We can feel the magic at this distance?!
context: But this feeling...\He's strong.\I-It's different...\Totally different from before!\Natsu-nii...\Holy Breath of the White Dragon!\W-What is it?!\We can feel the magic at this distance?! response:	That's because it's a battle between Dragon Slayers.
context: He's strong.\I-It's different...\Totally different from before!\Natsu-nii...\Holy Breath of the White Dragon!\W-What is it?!\We can feel the magic at this distance?!\That's because it's a battle between Dragon Slayers. response:	The cost is going to be heavy.
context: I-It's different...\Totally different from before!\Natsu-nii...\Holy Breath of the White Dragon!\W-What is it?!\We can feel the magic at this distance?!\That's because it's a battle between Dragon Slayers.\The cost is going to be heavy. response:	Natsu...
context: Totally different from before!\Natsu-nii...\Holy Breath of the White Dragon!\W-What is it?!\We can feel the magic at this distance?!\That's because it's a battle between Dragon Slayers.\The cost is going to be heavy.\Natsu... response:	Gajeel...
context: Natsu-nii...\Holy Breath of the White Dragon!\W-What is it?!\We can feel the magic at this distance?!\That's because it's a battle between Dragon Slayers.\The cost is going to be heavy.\Natsu...\Gajeel... response:	Oh, dear! What is going on here?!
context: Holy Breath of the White Dragon!\W-What is it?!\We can feel the magic at this distance?!\That's because it's a battle between Dragon Slayers.\The cost is going to be heavy.\Natsu...\Gajeel...\Oh, dear! What is going on here?! response:	The floor of the arena is...
context: W-What is it?!\We can feel the magic at this distance?!\That's because it's a battle between Dragon Slayers.\The cost is going to be heavy.\Natsu...\Gajeel...\Oh, dear! What is going on here?!\The floor of the arena is... response:	That was one fierce breath...
context: We can feel the magic at this distance?!\That's because it's a battle between Dragon Slayers.\The cost is going to be heavy.\Natsu...\Gajeel...\Oh, dear! What is going on here?!\The floor of the arena is...\That was one fierce breath... response:	What incredible force...
context: That's because it's a battle between Dragon Slayers.\The cost is going to be heavy.\Natsu...\Gajeel...\Oh, dear! What is going on here?!\The floor of the arena is...\That was one fierce breath...\What incredible force... response:	Is this the power of the Third Generation Dragon Slayers?!
context: The cost is going to be heavy.\Natsu...\Gajeel...\Oh, dear! What is going on here?!\The floor of the arena is...\That was one fierce breath...\What incredible force...\Is this the power of the Third Generation Dragon Slayers?! response:	Gajeel!
context: Natsu...\Gajeel...\Oh, dear! What is going on here?!\The floor of the arena is...\That was one fierce breath...\What incredible force...\Is this the power of the Third Generation Dragon Slayers?!\Gajeel! response:	Natsu!
context: Gajeel...\Oh, dear! What is going on here?!\The floor of the arena is...\That was one fierce breath...\What incredible force...\Is this the power of the Third Generation Dragon Slayers?!\Gajeel!\Natsu! response:	It seems the battlefield is moving underneath the arena,
context: Oh, dear! What is going on here?!\The floor of the arena is...\That was one fierce breath...\What incredible force...\Is this the power of the Third Generation Dragon Slayers?!\Gajeel!\Natsu!\It seems the battlefield is moving underneath the arena, response:	but the match will continue!
context: The floor of the arena is...\That was one fierce breath...\What incredible force...\Is this the power of the Third Generation Dragon Slayers?!\Gajeel!\Natsu!\It seems the battlefield is moving underneath the arena,\but the match will continue! response:	Everyone, please enjoy it on Lacrima-Vision!
context: That was one fierce breath...\What incredible force...\Is this the power of the Third Generation Dragon Slayers?!\Gajeel!\Natsu!\It seems the battlefield is moving underneath the arena,\but the match will continue!\Everyone, please enjoy it on Lacrima-Vision! response:	I'm just getting started!
context: What incredible force...\Is this the power of the Third Generation Dragon Slayers?!\Gajeel!\Natsu!\It seems the battlefield is moving underneath the arena,\but the match will continue!\Everyone, please enjoy it on Lacrima-Vision!\I'm just getting started! response:	Sword Horn of the Fire Dragon!
context: Is this the power of the Third Generation Dragon Slayers?!\Gajeel!\Natsu!\It seems the battlefield is moving underneath the arena,\but the match will continue!\Everyone, please enjoy it on Lacrima-Vision!\I'm just getting started!\Sword Horn of the Fire Dragon! response:	Roar of the Iron Dragon!
context: Gajeel!\Natsu!\It seems the battlefield is moving underneath the arena,\but the match will continue!\Everyone, please enjoy it on Lacrima-Vision!\I'm just getting started!\Sword Horn of the Fire Dragon!\Roar of the Iron Dragon! response:	The light of the White Dragon purifies all things...
context: Natsu!\It seems the battlefield is moving underneath the arena,\but the match will continue!\Everyone, please enjoy it on Lacrima-Vision!\I'm just getting started!\Sword Horn of the Fire Dragon!\Roar of the Iron Dragon!\The light of the White Dragon purifies all things... response:	Holy Ray!
context: It seems the battlefield is moving underneath the arena,\but the match will continue!\Everyone, please enjoy it on Lacrima-Vision!\I'm just getting started!\Sword Horn of the Fire Dragon!\Roar of the Iron Dragon!\The light of the White Dragon purifies all things...\Holy Ray! response:	Light?!
context: but the match will continue!\Everyone, please enjoy it on Lacrima-Vision!\I'm just getting started!\Sword Horn of the Fire Dragon!\Roar of the Iron Dragon!\The light of the White Dragon purifies all things...\Holy Ray!\Light?! response:	Holy attribute magic...
context: Everyone, please enjoy it on Lacrima-Vision!\I'm just getting started!\Sword Horn of the Fire Dragon!\Roar of the Iron Dragon!\The light of the White Dragon purifies all things...\Holy Ray!\Light?!\Holy attribute magic... response:	Fly.
context: I'm just getting started!\Sword Horn of the Fire Dragon!\Roar of the Iron Dragon!\The light of the White Dragon purifies all things...\Holy Ray!\Light?!\Holy attribute magic...\Fly. response:	Natsu can't guard against him?!
context: Sword Horn of the Fire Dragon!\Roar of the Iron Dragon!\The light of the White Dragon purifies all things...\Holy Ray!\Light?!\Holy attribute magic...\Fly.\Natsu can't guard against him?! response:	What happened to that confident mood from just before?!
context: Roar of the Iron Dragon!\The light of the White Dragon purifies all things...\Holy Ray!\Light?!\Holy attribute magic...\Fly.\Natsu can't guard against him?!\What happened to that confident mood from just before?! response:	Sting-kun really is strong, huh?
context: The light of the White Dragon purifies all things...\Holy Ray!\Light?!\Holy attribute magic...\Fly.\Natsu can't guard against him?!\What happened to that confident mood from just before?!\Sting-kun really is strong, huh? response:	Fro thinks so, too!
context: Holy Ray!\Light?!\Holy attribute magic...\Fly.\Natsu can't guard against him?!\What happened to that confident mood from just before?!\Sting-kun really is strong, huh?\Fro thinks so, too! response:	Lector... I made you a promise...
context: Light?!\Holy attribute magic...\Fly.\Natsu can't guard against him?!\What happened to that confident mood from just before?!\Sting-kun really is strong, huh?\Fro thinks so, too!\Lector... I made you a promise... response:	Were you bullied again, Lector?
context: Holy attribute magic...\Fly.\Natsu can't guard against him?!\What happened to that confident mood from just before?!\Sting-kun really is strong, huh?\Fro thinks so, too!\Lector... I made you a promise...\Were you bullied again, Lector? response:	After all... nobody believes me!
context: Fly.\Natsu can't guard against him?!\What happened to that confident mood from just before?!\Sting-kun really is strong, huh?\Fro thinks so, too!\Lector... I made you a promise...\Were you bullied again, Lector?\After all... nobody believes me! response:	I told them you beat a dragon, Sting-kun!
context: Natsu can't guard against him?!\What happened to that confident mood from just before?!\Sting-kun really is strong, huh?\Fro thinks so, too!\Lector... I made you a promise...\Were you bullied again, Lector?\After all... nobody believes me!\I told them you beat a dragon, Sting-kun! response:	I'm not lying about it!
context: What happened to that confident mood from just before?!\Sting-kun really is strong, huh?\Fro thinks so, too!\Lector... I made you a promise...\Were you bullied again, Lector?\After all... nobody believes me!\I told them you beat a dragon, Sting-kun!\I'm not lying about it! response:	I know.
context: Sting-kun really is strong, huh?\Fro thinks so, too!\Lector... I made you a promise...\Were you bullied again, Lector?\After all... nobody believes me!\I told them you beat a dragon, Sting-kun!\I'm not lying about it!\I know. response:	Never mind jerks like that.
context: Fro thinks so, too!\Lector... I made you a promise...\Were you bullied again, Lector?\After all... nobody believes me!\I told them you beat a dragon, Sting-kun!\I'm not lying about it!\I know.\Never mind jerks like that. response:	I can't! They were saying bad things about you, Sting-kun!
context: Lector... I made you a promise...\Were you bullied again, Lector?\After all... nobody believes me!\I told them you beat a dragon, Sting-kun!\I'm not lying about it!\I know.\Never mind jerks like that.\I can't! They were saying bad things about you, Sting-kun! response:	I don't care.
context: Were you bullied again, Lector?\After all... nobody believes me!\I told them you beat a dragon, Sting-kun!\I'm not lying about it!\I know.\Never mind jerks like that.\I can't! They were saying bad things about you, Sting-kun!\I don't care. response:	I hate it when people say bad things about my friend!
context: After all... nobody believes me!\I told them you beat a dragon, Sting-kun!\I'm not lying about it!\I know.\Never mind jerks like that.\I can't! They were saying bad things about you, Sting-kun!\I don't care.\I hate it when people say bad things about my friend! response:	Okay.
context: I told them you beat a dragon, Sting-kun!\I'm not lying about it!\I know.\Never mind jerks like that.\I can't! They were saying bad things about you, Sting-kun!\I don't care.\I hate it when people say bad things about my friend!\Okay. response:	Then I'll prove you're not a liar.
context: I'm not lying about it!\I know.\Never mind jerks like that.\I can't! They were saying bad things about you, Sting-kun!\I don't care.\I hate it when people say bad things about my friend!\Okay.\Then I'll prove you're not a liar. response:	There may not be any more dragons, but there is somebody called Salamander, right?
context: I know.\Never mind jerks like that.\I can't! They were saying bad things about you, Sting-kun!\I don't care.\I hate it when people say bad things about my friend!\Okay.\Then I'll prove you're not a liar.\There may not be any more dragons, but there is somebody called Salamander, right? response:	One day, I'll beat him, right in front of everybody.
context: Never mind jerks like that.\I can't! They were saying bad things about you, Sting-kun!\I don't care.\I hate it when people say bad things about my friend!\Okay.\Then I'll prove you're not a liar.\There may not be any more dragons, but there is somebody called Salamander, right?\One day, I'll beat him, right in front of everybody. response:	I promise.
context: I can't! They were saying bad things about you, Sting-kun!\I don't care.\I hate it when people say bad things about my friend!\Okay.\Then I'll prove you're not a liar.\There may not be any more dragons, but there is somebody called Salamander, right?\One day, I'll beat him, right in front of everybody.\I promise. response:	Are you watching this, Lector?!
context: I don't care.\I hate it when people say bad things about my friend!\Okay.\Then I'll prove you're not a liar.\There may not be any more dragons, but there is somebody called Salamander, right?\One day, I'll beat him, right in front of everybody.\I promise.\Are you watching this, Lector?! response:	I'm watching, Sting-kun!
context: I hate it when people say bad things about my friend!\Okay.\Then I'll prove you're not a liar.\There may not be any more dragons, but there is somebody called Salamander, right?\One day, I'll beat him, right in front of everybody.\I promise.\Are you watching this, Lector?!\I'm watching, Sting-kun! response:	It's become quiet again...
context: Okay.\Then I'll prove you're not a liar.\There may not be any more dragons, but there is somebody called Salamander, right?\One day, I'll beat him, right in front of everybody.\I promise.\Are you watching this, Lector?!\I'm watching, Sting-kun!\It's become quiet again... response:	Could those tremors from before mean...?
context: Then I'll prove you're not a liar.\There may not be any more dragons, but there is somebody called Salamander, right?\One day, I'll beat him, right in front of everybody.\I promise.\Are you watching this, Lector?!\I'm watching, Sting-kun!\It's become quiet again...\Could those tremors from before mean...? response:	It's alright. I mean, it's those two...
context: There may not be any more dragons, but there is somebody called Salamander, right?\One day, I'll beat him, right in front of everybody.\I promise.\Are you watching this, Lector?!\I'm watching, Sting-kun!\It's become quiet again...\Could those tremors from before mean...?\It's alright. I mean, it's those two... response:	Right?
context: One day, I'll beat him, right in front of everybody.\I promise.\Are you watching this, Lector?!\I'm watching, Sting-kun!\It's become quiet again...\Could those tremors from before mean...?\It's alright. I mean, it's those two...\Right? response:	Natsu... Gajeel...
context: I promise.\Are you watching this, Lector?!\I'm watching, Sting-kun!\It's become quiet again...\Could those tremors from before mean...?\It's alright. I mean, it's those two...\Right?\Natsu... Gajeel... response:	Times change.
context: Are you watching this, Lector?!\I'm watching, Sting-kun!\It's become quiet again...\Could those tremors from before mean...?\It's alright. I mean, it's those two...\Right?\Natsu... Gajeel...\Times change. response:	The span of seven years has allowed us to develop into true Dragon Slayers.
context: I'm watching, Sting-kun!\It's become quiet again...\Could those tremors from before mean...?\It's alright. I mean, it's those two...\Right?\Natsu... Gajeel...\Times change.\The span of seven years has allowed us to develop into true Dragon Slayers. response:	The time of the old generation is over.
context: It's become quiet again...\Could those tremors from before mean...?\It's alright. I mean, it's those two...\Right?\Natsu... Gajeel...\Times change.\The span of seven years has allowed us to develop into true Dragon Slayers.\The time of the old generation is over. response:	Yeah.
context: Could those tremors from before mean...?\It's alright. I mean, it's those two...\Right?\Natsu... Gajeel...\Times change.\The span of seven years has allowed us to develop into true Dragon Slayers.\The time of the old generation is over.\Yeah. response:	Uh-oh! They're not even twitching!
context: It's alright. I mean, it's those two...\Right?\Natsu... Gajeel...\Times change.\The span of seven years has allowed us to develop into true Dragon Slayers.\The time of the old generation is over.\Yeah.\Uh-oh! They're not even twitching! response:	It's been a breathless seesaw battle,
context: Right?\Natsu... Gajeel...\Times change.\The span of seven years has allowed us to develop into true Dragon Slayers.\The time of the old generation is over.\Yeah.\Uh-oh! They're not even twitching!\It's been a breathless seesaw battle, response:	but has Fairy Tail finally run out of steam?!
context: Natsu... Gajeel...\Times change.\The span of seven years has allowed us to develop into true Dragon Slayers.\The time of the old generation is over.\Yeah.\Uh-oh! They're not even twitching!\It's been a breathless seesaw battle,\but has Fairy Tail finally run out of steam?! response:	Natsu...
