context: May, Five years ago response:	Karasuno Sports Park Gymnasium
context: Yes.\Amazing speed. What the...\A fast attack from a place like that?\What the heck was that?\He wasn't watching the toss.\That was amazing.\I'm shocked.\Nice, Shoyo. response:	Thanks.
context: Amazing speed. What the...\A fast attack from a place like that?\What the heck was that?\He wasn't watching the toss.\That was amazing.\I'm shocked.\Nice, Shoyo.\Thanks. response:	Here goes.
context: A fast attack from a place like that?\What the heck was that?\He wasn't watching the toss.\That was amazing.\I'm shocked.\Nice, Shoyo.\Thanks.\Here goes. response:	Fukunaga.
context: What the heck was that?\He wasn't watching the toss.\That was amazing.\I'm shocked.\Nice, Shoyo.\Thanks.\Here goes.\Fukunaga. response:	All right.
context: He wasn't watching the toss.\That was amazing.\I'm shocked.\Nice, Shoyo.\Thanks.\Here goes.\Fukunaga.\All right. response:	Nice receive.
context: That was amazing.\I'm shocked.\Nice, Shoyo.\Thanks.\Here goes.\Fukunaga.\All right.\Nice receive. response:	Another fast attack.
context: I'm shocked.\Nice, Shoyo.\Thanks.\Here goes.\Fukunaga.\All right.\Nice receive.\Another fast attack. response:	That one was inevitable.
context: Nice, Shoyo.\Thanks.\Here goes.\Fukunaga.\All right.\Nice receive.\Another fast attack.\That one was inevitable. response:	We're counting on you.
context: Thanks.\Here goes.\Fukunaga.\All right.\Nice receive.\Another fast attack.\That one was inevitable.\We're counting on you. response:	We're counting on you.
context: Here goes.\Fukunaga.\All right.\Nice receive.\Another fast attack.\That one was inevitable.\We're counting on you.\We're counting on you. response:	Yeah.
context: Fukunaga.\All right.\Nice receive.\Another fast attack.\That one was inevitable.\We're counting on you.\We're counting on you.\Yeah. response:	Good job.
context: All right.\Nice receive.\Another fast attack.\That one was inevitable.\We're counting on you.\We're counting on you.\Yeah.\Good job. response:	Thanks.
context: Nice receive.\Another fast attack.\That one was inevitable.\We're counting on you.\We're counting on you.\Yeah.\Good job.\Thanks. response:	Their libero is trouble.
context: Another fast attack.\That one was inevitable.\We're counting on you.\We're counting on you.\Yeah.\Good job.\Thanks.\Their libero is trouble. response:	Huh?
context: That one was inevitable.\We're counting on you.\We're counting on you.\Yeah.\Good job.\Thanks.\Their libero is trouble.\Huh? response:	He's never seen Asahi-san's spike, yet the ball hit his hand.
context: We're counting on you.\We're counting on you.\Yeah.\Good job.\Thanks.\Their libero is trouble.\Huh?\He's never seen Asahi-san's spike, yet the ball hit his hand. response:	I'm sorry.
context: We're counting on you.\Yeah.\Good job.\Thanks.\Their libero is trouble.\Huh?\He's never seen Asahi-san's spike, yet the ball hit his hand.\I'm sorry. response:	Excuse me. Please take this.
context: Yeah.\Good job.\Thanks.\Their libero is trouble.\Huh?\He's never seen Asahi-san's spike, yet the ball hit his hand.\I'm sorry.\Excuse me. Please take this. response:	Oh, yeah.
context: Good job.\Thanks.\Their libero is trouble.\Huh?\He's never seen Asahi-san's spike, yet the ball hit his hand.\I'm sorry.\Excuse me. Please take this.\Oh, yeah. response:	Don't mind, don't mind.
context: Thanks.\Their libero is trouble.\Huh?\He's never seen Asahi-san's spike, yet the ball hit his hand.\I'm sorry.\Excuse me. Please take this.\Oh, yeah.\Don't mind, don't mind. response:	Nishinoya-kun switches position fast.
context: Their libero is trouble.\Huh?\He's never seen Asahi-san's spike, yet the ball hit his hand.\I'm sorry.\Excuse me. Please take this.\Oh, yeah.\Don't mind, don't mind.\Nishinoya-kun switches position fast. response:	Yes, liberos specialize in defense,
context: Huh?\He's never seen Asahi-san's spike, yet the ball hit his hand.\I'm sorry.\Excuse me. Please take this.\Oh, yeah.\Don't mind, don't mind.\Nishinoya-kun switches position fast.\Yes, liberos specialize in defense, response:	so they can go in and out of the court often.
context: He's never seen Asahi-san's spike, yet the ball hit his hand.\I'm sorry.\Excuse me. Please take this.\Oh, yeah.\Don't mind, don't mind.\Nishinoya-kun switches position fast.\Yes, liberos specialize in defense,\so they can go in and out of the court often. response:	Net
context: I'm sorry.\Excuse me. Please take this.\Oh, yeah.\Don't mind, don't mind.\Nishinoya-kun switches position fast.\Yes, liberos specialize in defense,\so they can go in and out of the court often.\Net response:	Vanguard
context: Excuse me. Please take this.\Oh, yeah.\Don't mind, don't mind.\Nishinoya-kun switches position fast.\Yes, liberos specialize in defense,\so they can go in and out of the court often.\Net\Vanguard response:	Rear guard
context: Oh, yeah.\Don't mind, don't mind.\Nishinoya-kun switches position fast.\Yes, liberos specialize in defense,\so they can go in and out of the court often.\Net\Vanguard\Rear guard response:	In our team, the middle blockers, Hinata and Tsukishima,
context: Don't mind, don't mind.\Nishinoya-kun switches position fast.\Yes, liberos specialize in defense,\so they can go in and out of the court often.\Net\Vanguard\Rear guard\In our team, the middle blockers, Hinata and Tsukishima, response:	rotate to rear guard to hit serves,
context: Nishinoya-kun switches position fast.\Yes, liberos specialize in defense,\so they can go in and out of the court often.\Net\Vanguard\Rear guard\In our team, the middle blockers, Hinata and Tsukishima,\rotate to rear guard to hit serves, response:	and when one rally is finished, Nishinoya makes the switch.
context: Yes, liberos specialize in defense,\so they can go in and out of the court often.\Net\Vanguard\Rear guard\In our team, the middle blockers, Hinata and Tsukishima,\rotate to rear guard to hit serves,\and when one rally is finished, Nishinoya makes the switch. response:	My turn.
context: so they can go in and out of the court often.\Net\Vanguard\Rear guard\In our team, the middle blockers, Hinata and Tsukishima,\rotate to rear guard to hit serves,\and when one rally is finished, Nishinoya makes the switch.\My turn. response:	This is ridiculous.
context: Net\Vanguard\Rear guard\In our team, the middle blockers, Hinata and Tsukishima,\rotate to rear guard to hit serves,\and when one rally is finished, Nishinoya makes the switch.\My turn.\This is ridiculous. response:	Forced to time out.
context: Vanguard\Rear guard\In our team, the middle blockers, Hinata and Tsukishima,\rotate to rear guard to hit serves,\and when one rally is finished, Nishinoya makes the switch.\My turn.\This is ridiculous.\Forced to time out. response:	Their libero and spikers are good.
context: Rear guard\In our team, the middle blockers, Hinata and Tsukishima,\rotate to rear guard to hit serves,\and when one rally is finished, Nishinoya makes the switch.\My turn.\This is ridiculous.\Forced to time out.\Their libero and spikers are good. response:	The most ridiculous of all is that setter.
context: In our team, the middle blockers, Hinata and Tsukishima,\rotate to rear guard to hit serves,\and when one rally is finished, Nishinoya makes the switch.\My turn.\This is ridiculous.\Forced to time out.\Their libero and spikers are good.\The most ridiculous of all is that setter. response:	He's a monster.
context: rotate to rear guard to hit serves,\and when one rally is finished, Nishinoya makes the switch.\My turn.\This is ridiculous.\Forced to time out.\Their libero and spikers are good.\The most ridiculous of all is that setter.\He's a monster. response:	He tosses with incredible speed to the highest spiking point.
context: and when one rally is finished, Nishinoya makes the switch.\My turn.\This is ridiculous.\Forced to time out.\Their libero and spikers are good.\The most ridiculous of all is that setter.\He's a monster.\He tosses with incredible speed to the highest spiking point. response:	His control is as if he's threading a needle.
context: My turn.\This is ridiculous.\Forced to time out.\Their libero and spikers are good.\The most ridiculous of all is that setter.\He's a monster.\He tosses with incredible speed to the highest spiking point.\His control is as if he's threading a needle. response:	So he's a genius. We can't help that.
context: This is ridiculous.\Forced to time out.\Their libero and spikers are good.\The most ridiculous of all is that setter.\He's a monster.\He tosses with incredible speed to the highest spiking point.\His control is as if he's threading a needle.\So he's a genius. We can't help that. response:	But, a genius in their midst doesn't guarantee their victory.
context: Forced to time out.\Their libero and spikers are good.\The most ridiculous of all is that setter.\He's a monster.\He tosses with incredible speed to the highest spiking point.\His control is as if he's threading a needle.\So he's a genius. We can't help that.\But, a genius in their midst doesn't guarantee their victory. response:	If Shoyo is the heart of their offense...
context: Their libero and spikers are good.\The most ridiculous of all is that setter.\He's a monster.\He tosses with incredible speed to the highest spiking point.\His control is as if he's threading a needle.\So he's a genius. We can't help that.\But, a genius in their midst doesn't guarantee their victory.\If Shoyo is the heart of their offense... response:	all we need to do is stop Shoyo.
context: The most ridiculous of all is that setter.\He's a monster.\He tosses with incredible speed to the highest spiking point.\His control is as if he's threading a needle.\So he's a genius. We can't help that.\But, a genius in their midst doesn't guarantee their victory.\If Shoyo is the heart of their offense...\all we need to do is stop Shoyo. response:	Shoyo?
context: He's a monster.\He tosses with incredible speed to the highest spiking point.\His control is as if he's threading a needle.\So he's a genius. We can't help that.\But, a genius in their midst doesn't guarantee their victory.\If Shoyo is the heart of their offense...\all we need to do is stop Shoyo.\Shoyo? response:	That speedy 10.
context: He tosses with incredible speed to the highest spiking point.\His control is as if he's threading a needle.\So he's a genius. We can't help that.\But, a genius in their midst doesn't guarantee their victory.\If Shoyo is the heart of their offense...\all we need to do is stop Shoyo.\Shoyo?\That speedy 10. response:	That 9 and 10 are, in a manner of speaking...
context: His control is as if he's threading a needle.\So he's a genius. We can't help that.\But, a genius in their midst doesn't guarantee their victory.\If Shoyo is the heart of their offense...\all we need to do is stop Shoyo.\Shoyo?\That speedy 10.\That 9 and 10 are, in a manner of speaking... response:	an oni and his iron club.
context: So he's a genius. We can't help that.\But, a genius in their midst doesn't guarantee their victory.\If Shoyo is the heart of their offense...\all we need to do is stop Shoyo.\Shoyo?\That speedy 10.\That 9 and 10 are, in a manner of speaking...\an oni and his iron club. response:	For starters, we steal the oni's iron club.
context: But, a genius in their midst doesn't guarantee their victory.\If Shoyo is the heart of their offense...\all we need to do is stop Shoyo.\Shoyo?\That speedy 10.\That 9 and 10 are, in a manner of speaking...\an oni and his iron club.\For starters, we steal the oni's iron club. response:	Nekoma Karasuno
context: If Shoyo is the heart of their offense...\all we need to do is stop Shoyo.\Shoyo?\That speedy 10.\That 9 and 10 are, in a manner of speaking...\an oni and his iron club.\For starters, we steal the oni's iron club.\Nekoma Karasuno response:	Amazing. We're doing well.
context: all we need to do is stop Shoyo.\Shoyo?\That speedy 10.\That 9 and 10 are, in a manner of speaking...\an oni and his iron club.\For starters, we steal the oni's iron club.\Nekoma Karasuno\Amazing. We're doing well. response:	I'm getting the creeps.
context: Shoyo?\That speedy 10.\That 9 and 10 are, in a manner of speaking...\an oni and his iron club.\For starters, we steal the oni's iron club.\Nekoma Karasuno\Amazing. We're doing well.\I'm getting the creeps. response:	Huh?
context: That speedy 10.\That 9 and 10 are, in a manner of speaking...\an oni and his iron club.\For starters, we steal the oni's iron club.\Nekoma Karasuno\Amazing. We're doing well.\I'm getting the creeps.\Huh? response:	Like we're being watched, and analyzed...
context: That 9 and 10 are, in a manner of speaking...\an oni and his iron club.\For starters, we steal the oni's iron club.\Nekoma Karasuno\Amazing. We're doing well.\I'm getting the creeps.\Huh?\Like we're being watched, and analyzed... response:	Damn it.
context: an oni and his iron club.\For starters, we steal the oni's iron club.\Nekoma Karasuno\Amazing. We're doing well.\I'm getting the creeps.\Huh?\Like we're being watched, and analyzed...\Damn it. response:	Nekoma Karasuno
context: For starters, we steal the oni's iron club.\Nekoma Karasuno\Amazing. We're doing well.\I'm getting the creeps.\Huh?\Like we're being watched, and analyzed...\Damn it.\Nekoma Karasuno response:	Don't mind, don't mind.
context: Nekoma Karasuno\Amazing. We're doing well.\I'm getting the creeps.\Huh?\Like we're being watched, and analyzed...\Damn it.\Nekoma Karasuno\Don't mind, don't mind. response:	That was close.
context: Amazing. We're doing well.\I'm getting the creeps.\Huh?\Like we're being watched, and analyzed...\Damn it.\Nekoma Karasuno\Don't mind, don't mind.\That was close. response:	Sorry.
context: I'm getting the creeps.\Huh?\Like we're being watched, and analyzed...\Damn it.\Nekoma Karasuno\Don't mind, don't mind.\That was close.\Sorry. response:	Their 7... he's following Hinata.
context: Huh?\Like we're being watched, and analyzed...\Damn it.\Nekoma Karasuno\Don't mind, don't mind.\That was close.\Sorry.\Their 7... he's following Hinata. response:	Nekoma moved the blockers to the side.
context: Like we're being watched, and analyzed...\Damn it.\Nekoma Karasuno\Don't mind, don't mind.\That was close.\Sorry.\Their 7... he's following Hinata.\Nekoma moved the blockers to the side. response:	Yeah.
context: Damn it.\Nekoma Karasuno\Don't mind, don't mind.\That was close.\Sorry.\Their 7... he's following Hinata.\Nekoma moved the blockers to the side.\Yeah. response:	A dedicate shift.
context: Nekoma Karasuno\Don't mind, don't mind.\That was close.\Sorry.\Their 7... he's following Hinata.\Nekoma moved the blockers to the side.\Yeah.\A dedicate shift. response:	Those blockers aren't there to mark the ace.
context: Don't mind, don't mind.\That was close.\Sorry.\Their 7... he's following Hinata.\Nekoma moved the blockers to the side.\Yeah.\A dedicate shift.\Those blockers aren't there to mark the ace. response:	Maybe...
context: That was close.\Sorry.\Their 7... he's following Hinata.\Nekoma moved the blockers to the side.\Yeah.\A dedicate shift.\Those blockers aren't there to mark the ace.\Maybe... response:	they're trying to pin down Hinata?
context: Sorry.\Their 7... he's following Hinata.\Nekoma moved the blockers to the side.\Yeah.\A dedicate shift.\Those blockers aren't there to mark the ace.\Maybe...\they're trying to pin down Hinata? response:	We can't let Shoyo move around so much.
context: Their 7... he's following Hinata.\Nekoma moved the blockers to the side.\Yeah.\A dedicate shift.\Those blockers aren't there to mark the ace.\Maybe...\they're trying to pin down Hinata?\We can't let Shoyo move around so much. response:	From what I've seen,
context: Nekoma moved the blockers to the side.\Yeah.\A dedicate shift.\Those blockers aren't there to mark the ace.\Maybe...\they're trying to pin down Hinata?\We can't let Shoyo move around so much.\From what I've seen, response:	Shoyo simply dashes to where there are no blockers.
context: Yeah.\A dedicate shift.\Those blockers aren't there to mark the ace.\Maybe...\they're trying to pin down Hinata?\We can't let Shoyo move around so much.\From what I've seen,\Shoyo simply dashes to where there are no blockers. response:	So if the blockers move to one side,
context: A dedicate shift.\Those blockers aren't there to mark the ace.\Maybe...\they're trying to pin down Hinata?\We can't let Shoyo move around so much.\From what I've seen,\Shoyo simply dashes to where there are no blockers.\So if the blockers move to one side, response:	he'll move to the opposite side.
context: Those blockers aren't there to mark the ace.\Maybe...\they're trying to pin down Hinata?\We can't let Shoyo move around so much.\From what I've seen,\Shoyo simply dashes to where there are no blockers.\So if the blockers move to one side,\he'll move to the opposite side. response:	Then all we have to do is chase him.
context: Maybe...\they're trying to pin down Hinata?\We can't let Shoyo move around so much.\From what I've seen,\Shoyo simply dashes to where there are no blockers.\So if the blockers move to one side,\he'll move to the opposite side.\Then all we have to do is chase him. response:	Yes.
context: they're trying to pin down Hinata?\We can't let Shoyo move around so much.\From what I've seen,\Shoyo simply dashes to where there are no blockers.\So if the blockers move to one side,\he'll move to the opposite side.\Then all we have to do is chase him.\Yes. response:	I think anyone would be shocked the first time they saw that attack.
context: We can't let Shoyo move around so much.\From what I've seen,\Shoyo simply dashes to where there are no blockers.\So if the blockers move to one side,\he'll move to the opposite side.\Then all we have to do is chase him.\Yes.\I think anyone would be shocked the first time they saw that attack. response:	But even if we can't clear the first round of the game...
context: From what I've seen,\Shoyo simply dashes to where there are no blockers.\So if the blockers move to one side,\he'll move to the opposite side.\Then all we have to do is chase him.\Yes.\I think anyone would be shocked the first time they saw that attack.\But even if we can't clear the first round of the game... response:	As they keep repeating the same move...
context: Shoyo simply dashes to where there are no blockers.\So if the blockers move to one side,\he'll move to the opposite side.\Then all we have to do is chase him.\Yes.\I think anyone would be shocked the first time they saw that attack.\But even if we can't clear the first round of the game...\As they keep repeating the same move... response:	We'll get used to it.
context: So if the blockers move to one side,\he'll move to the opposite side.\Then all we have to do is chase him.\Yes.\I think anyone would be shocked the first time they saw that attack.\But even if we can't clear the first round of the game...\As they keep repeating the same move...\We'll get used to it. response:	Chase 10. Chase 10.
context: he'll move to the opposite side.\Then all we have to do is chase him.\Yes.\I think anyone would be shocked the first time they saw that attack.\But even if we can't clear the first round of the game...\As they keep repeating the same move...\We'll get used to it.\Chase 10. Chase 10. response:	Touched again.
context: Then all we have to do is chase him.\Yes.\I think anyone would be shocked the first time they saw that attack.\But even if we can't clear the first round of the game...\As they keep repeating the same move...\We'll get used to it.\Chase 10. Chase 10.\Touched again. response:	Fast attack's coming.
context: Yes.\I think anyone would be shocked the first time they saw that attack.\But even if we can't clear the first round of the game...\As they keep repeating the same move...\We'll get used to it.\Chase 10. Chase 10.\Touched again.\Fast attack's coming. response:	Damn.
context: I think anyone would be shocked the first time they saw that attack.\But even if we can't clear the first round of the game...\As they keep repeating the same move...\We'll get used to it.\Chase 10. Chase 10.\Touched again.\Fast attack's coming.\Damn. response:	Don't mind, don't mind.
context: But even if we can't clear the first round of the game...\As they keep repeating the same move...\We'll get used to it.\Chase 10. Chase 10.\Touched again.\Fast attack's coming.\Damn.\Don't mind, don't mind. response:	That was a two-attack.
context: As they keep repeating the same move...\We'll get used to it.\Chase 10. Chase 10.\Touched again.\Fast attack's coming.\Damn.\Don't mind, don't mind.\That was a two-attack. response:	Hey, don't get too overt.
context: We'll get used to it.\Chase 10. Chase 10.\Touched again.\Fast attack's coming.\Damn.\Don't mind, don't mind.\That was a two-attack.\Hey, don't get too overt. response:	They can detect even the tiniest fault.
context: Chase 10. Chase 10.\Touched again.\Fast attack's coming.\Damn.\Don't mind, don't mind.\That was a two-attack.\Hey, don't get too overt.\They can detect even the tiniest fault. response:	In front!
context: Touched again.\Fast attack's coming.\Damn.\Don't mind, don't mind.\That was a two-attack.\Hey, don't get too overt.\They can detect even the tiniest fault.\In front! response:	Sorry, Noya-san! Cover for me.
context: Fast attack's coming.\Damn.\Don't mind, don't mind.\That was a two-attack.\Hey, don't get too overt.\They can detect even the tiniest fault.\In front!\Sorry, Noya-san! Cover for me. response:	I got this.
context: Damn.\Don't mind, don't mind.\That was a two-attack.\Hey, don't get too overt.\They can detect even the tiniest fault.\In front!\Sorry, Noya-san! Cover for me.\I got this. response:	Right!
context: Don't mind, don't mind.\That was a two-attack.\Hey, don't get too overt.\They can detect even the tiniest fault.\In front!\Sorry, Noya-san! Cover for me.\I got this.\Right! response:	What? Kageyama called for a toss?
context: That was a two-attack.\Hey, don't get too overt.\They can detect even the tiniest fault.\In front!\Sorry, Noya-san! Cover for me.\I got this.\Right!\What? Kageyama called for a toss? response:	Kageyama. Last.
context: Hey, don't get too overt.\They can detect even the tiniest fault.\In front!\Sorry, Noya-san! Cover for me.\I got this.\Right!\What? Kageyama called for a toss?\Kageyama. Last. response:	Hey, that's called a straight. It goes straight along the sideline.
context: They can detect even the tiniest fault.\In front!\Sorry, Noya-san! Cover for me.\I got this.\Right!\What? Kageyama called for a toss?\Kageyama. Last.\Hey, that's called a straight. It goes straight along the sideline. response:	Learn to discriminate with your spikes.
context: In front!\Sorry, Noya-san! Cover for me.\I got this.\Right!\What? Kageyama called for a toss?\Kageyama. Last.\Hey, that's called a straight. It goes straight along the sideline.\Learn to discriminate with your spikes. response:	This guy's so good, it's irritating...
context: Sorry, Noya-san! Cover for me.\I got this.\Right!\What? Kageyama called for a toss?\Kageyama. Last.\Hey, that's called a straight. It goes straight along the sideline.\Learn to discriminate with your spikes.\This guy's so good, it's irritating... response:	Totally.
context: I got this.\Right!\What? Kageyama called for a toss?\Kageyama. Last.\Hey, that's called a straight. It goes straight along the sideline.\Learn to discriminate with your spikes.\This guy's so good, it's irritating...\Totally. response:	Nekoma Karasuno
context: Right!\What? Kageyama called for a toss?\Kageyama. Last.\Hey, that's called a straight. It goes straight along the sideline.\Learn to discriminate with your spikes.\This guy's so good, it's irritating...\Totally.\Nekoma Karasuno response:	Nice one, Tsukishima.
context: What? Kageyama called for a toss?\Kageyama. Last.\Hey, that's called a straight. It goes straight along the sideline.\Learn to discriminate with your spikes.\This guy's so good, it's irritating...\Totally.\Nekoma Karasuno\Nice one, Tsukishima. response:	This guy is intelligent.
context: Kageyama. Last.\Hey, that's called a straight. It goes straight along the sideline.\Learn to discriminate with your spikes.\This guy's so good, it's irritating...\Totally.\Nekoma Karasuno\Nice one, Tsukishima.\This guy is intelligent. response:	He observes and thinks carefully.
context: Hey, that's called a straight. It goes straight along the sideline.\Learn to discriminate with your spikes.\This guy's so good, it's irritating...\Totally.\Nekoma Karasuno\Nice one, Tsukishima.\This guy is intelligent.\He observes and thinks carefully. response:	The complete opposite of Shoyo.
context: Learn to discriminate with your spikes.\This guy's so good, it's irritating...\Totally.\Nekoma Karasuno\Nice one, Tsukishima.\This guy is intelligent.\He observes and thinks carefully.\The complete opposite of Shoyo. response:	Nice serve.
context: This guy's so good, it's irritating...\Totally.\Nekoma Karasuno\Nice one, Tsukishima.\This guy is intelligent.\He observes and thinks carefully.\The complete opposite of Shoyo.\Nice serve. response:	Yamamoto.
context: Totally.\Nekoma Karasuno\Nice one, Tsukishima.\This guy is intelligent.\He observes and thinks carefully.\The complete opposite of Shoyo.\Nice serve.\Yamamoto. response:	All right.
context: Nekoma Karasuno\Nice one, Tsukishima.\This guy is intelligent.\He observes and thinks carefully.\The complete opposite of Shoyo.\Nice serve.\Yamamoto.\All right. response:	Nice receive.
context: Nice one, Tsukishima.\This guy is intelligent.\He observes and thinks carefully.\The complete opposite of Shoyo.\Nice serve.\Yamamoto.\All right.\Nice receive. response:	Who should I toss to?
context: This guy is intelligent.\He observes and thinks carefully.\The complete opposite of Shoyo.\Nice serve.\Yamamoto.\All right.\Nice receive.\Who should I toss to? response:	To the right?
context: He observes and thinks carefully.\The complete opposite of Shoyo.\Nice serve.\Yamamoto.\All right.\Nice receive.\Who should I toss to?\To the right? response:	To the left.
context: The complete opposite of Shoyo.\Nice serve.\Yamamoto.\All right.\Nice receive.\Who should I toss to?\To the right?\To the left. response:	I knew it. He's watching me.
context: Nice serve.\Yamamoto.\All right.\Nice receive.\Who should I toss to?\To the right?\To the left.\I knew it. He's watching me. response:	He also responds quickly...
context: Yamamoto.\All right.\Nice receive.\Who should I toss to?\To the right?\To the left.\I knew it. He's watching me.\He also responds quickly... response:	All right.
context: All right.\Nice receive.\Who should I toss to?\To the right?\To the left.\I knew it. He's watching me.\He also responds quickly...\All right. response:	His glance just then... was a feint.
context: Nice receive.\Who should I toss to?\To the right?\To the left.\I knew it. He's watching me.\He also responds quickly...\All right.\His glance just then... was a feint. response:	He's not good with people,
context: Who should I toss to?\To the right?\To the left.\I knew it. He's watching me.\He also responds quickly...\All right.\His glance just then... was a feint.\He's not good with people, response:	so he's concerned about what other's think.
context: To the right?\To the left.\I knew it. He's watching me.\He also responds quickly...\All right.\His glance just then... was a feint.\He's not good with people,\so he's concerned about what other's think. response:	Hence he's good at observing people.
context: To the left.\I knew it. He's watching me.\He also responds quickly...\All right.\His glance just then... was a feint.\He's not good with people,\so he's concerned about what other's think.\Hence he's good at observing people. response:	He comes up with good theories.
context: I knew it. He's watching me.\He also responds quickly...\All right.\His glance just then... was a feint.\He's not good with people,\so he's concerned about what other's think.\Hence he's good at observing people.\He comes up with good theories. response:	Theories like, I bet this guy moves like this.
context: He also responds quickly...\All right.\His glance just then... was a feint.\He's not good with people,\so he's concerned about what other's think.\Hence he's good at observing people.\He comes up with good theories.\Theories like, I bet this guy moves like this. response:	But that alone is not the strength of our team.
context: All right.\His glance just then... was a feint.\He's not good with people,\so he's concerned about what other's think.\Hence he's good at observing people.\He comes up with good theories.\Theories like, I bet this guy moves like this.\But that alone is not the strength of our team. response:	I've never made many friends.
context: His glance just then... was a feint.\He's not good with people,\so he's concerned about what other's think.\Hence he's good at observing people.\He comes up with good theories.\Theories like, I bet this guy moves like this.\But that alone is not the strength of our team.\I've never made many friends. response:	I'm not good with people, and I don't want to interact with them.
context: He's not good with people,\so he's concerned about what other's think.\Hence he's good at observing people.\He comes up with good theories.\Theories like, I bet this guy moves like this.\But that alone is not the strength of our team.\I've never made many friends.\I'm not good with people, and I don't want to interact with them. response:	And yet, I'm very concerned about what others think of me.
context: so he's concerned about what other's think.\Hence he's good at observing people.\He comes up with good theories.\Theories like, I bet this guy moves like this.\But that alone is not the strength of our team.\I've never made many friends.\I'm not good with people, and I don't want to interact with them.\And yet, I'm very concerned about what others think of me. response:	My nerves were always on edge, because I didn't want to be noticed.
context: Hence he's good at observing people.\He comes up with good theories.\Theories like, I bet this guy moves like this.\But that alone is not the strength of our team.\I've never made many friends.\I'm not good with people, and I don't want to interact with them.\And yet, I'm very concerned about what others think of me.\My nerves were always on edge, because I didn't want to be noticed. response:	My only buddy was Kuro, who is my age and lives nearby.
context: He comes up with good theories.\Theories like, I bet this guy moves like this.\But that alone is not the strength of our team.\I've never made many friends.\I'm not good with people, and I don't want to interact with them.\And yet, I'm very concerned about what others think of me.\My nerves were always on edge, because I didn't want to be noticed.\My only buddy was Kuro, who is my age and lives nearby. response:	I don't particularly like sports,
context: Theories like, I bet this guy moves like this.\But that alone is not the strength of our team.\I've never made many friends.\I'm not good with people, and I don't want to interact with them.\And yet, I'm very concerned about what others think of me.\My nerves were always on edge, because I didn't want to be noticed.\My only buddy was Kuro, who is my age and lives nearby.\I don't particularly like sports, response:	but I've played volleyball for a long time.
context: But that alone is not the strength of our team.\I've never made many friends.\I'm not good with people, and I don't want to interact with them.\And yet, I'm very concerned about what others think of me.\My nerves were always on edge, because I didn't want to be noticed.\My only buddy was Kuro, who is my age and lives nearby.\I don't particularly like sports,\but I've played volleyball for a long time. response:	I reluctantly let Kuro talk me into joining the junior high volleyball club.
context: I've never made many friends.\I'm not good with people, and I don't want to interact with them.\And yet, I'm very concerned about what others think of me.\My nerves were always on edge, because I didn't want to be noticed.\My only buddy was Kuro, who is my age and lives nearby.\I don't particularly like sports,\but I've played volleyball for a long time.\I reluctantly let Kuro talk me into joining the junior high volleyball club. response:	It was sort of fun.
context: I'm not good with people, and I don't want to interact with them.\And yet, I'm very concerned about what others think of me.\My nerves were always on edge, because I didn't want to be noticed.\My only buddy was Kuro, who is my age and lives nearby.\I don't particularly like sports,\but I've played volleyball for a long time.\I reluctantly let Kuro talk me into joining the junior high volleyball club.\It was sort of fun. response:	I continued doing it in high school, just because.
context: And yet, I'm very concerned about what others think of me.\My nerves were always on edge, because I didn't want to be noticed.\My only buddy was Kuro, who is my age and lives nearby.\I don't particularly like sports,\but I've played volleyball for a long time.\I reluctantly let Kuro talk me into joining the junior high volleyball club.\It was sort of fun.\I continued doing it in high school, just because. response:	The school was strong until shortly before I joined.
context: My nerves were always on edge, because I didn't want to be noticed.\My only buddy was Kuro, who is my age and lives nearby.\I don't particularly like sports,\but I've played volleyball for a long time.\I reluctantly let Kuro talk me into joining the junior high volleyball club.\It was sort of fun.\I continued doing it in high school, just because.\The school was strong until shortly before I joined. response:	There were many people.
context: My only buddy was Kuro, who is my age and lives nearby.\I don't particularly like sports,\but I've played volleyball for a long time.\I reluctantly let Kuro talk me into joining the junior high volleyball club.\It was sort of fun.\I continued doing it in high school, just because.\The school was strong until shortly before I joined.\There were many people. response:	I didn't think I could handle it.
context: I don't particularly like sports,\but I've played volleyball for a long time.\I reluctantly let Kuro talk me into joining the junior high volleyball club.\It was sort of fun.\I continued doing it in high school, just because.\The school was strong until shortly before I joined.\There were many people.\I didn't think I could handle it. response:	First-year, you're a slow cleaner.
context: but I've played volleyball for a long time.\I reluctantly let Kuro talk me into joining the junior high volleyball club.\It was sort of fun.\I continued doing it in high school, just because.\The school was strong until shortly before I joined.\There were many people.\I didn't think I could handle it.\First-year, you're a slow cleaner. response:	We can't go home!
context: I reluctantly let Kuro talk me into joining the junior high volleyball club.\It was sort of fun.\I continued doing it in high school, just because.\The school was strong until shortly before I joined.\There were many people.\I didn't think I could handle it.\First-year, you're a slow cleaner.\We can't go home! response:	Why are my senpai so bossy,
context: It was sort of fun.\I continued doing it in high school, just because.\The school was strong until shortly before I joined.\There were many people.\I didn't think I could handle it.\First-year, you're a slow cleaner.\We can't go home!\Why are my senpai so bossy, response:	just because they were born a year or two before me?
context: I continued doing it in high school, just because.\The school was strong until shortly before I joined.\There were many people.\I didn't think I could handle it.\First-year, you're a slow cleaner.\We can't go home!\Why are my senpai so bossy,\just because they were born a year or two before me? response:	Don't quit.
