context: Hunt them to extinction! response:	Those in Lutiel's fleet are now under my command.
context: She finally said my name!\Hurry it up, ya damn bug!\I'll help you out!\Reinforcements!\To think that I would feel the urge to\immerse myself in the hunt after all this time!\I never expected Dolgana to personally enter the fray!\He is the Wulgaru's greatest general. response:	Ange!
context: Hurry it up, ya damn bug!\I'll help you out!\Reinforcements!\To think that I would feel the urge to\immerse myself in the hunt after all this time!\I never expected Dolgana to personally enter the fray!\He is the Wulgaru's greatest general.\Ange! response:	Shit!
context: I'll help you out!\Reinforcements!\To think that I would feel the urge to\immerse myself in the hunt after all this time!\I never expected Dolgana to personally enter the fray!\He is the Wulgaru's greatest general.\Ange!\Shit! response:	I'll deal with this bogey!
context: Reinforcements!\To think that I would feel the urge to\immerse myself in the hunt after all this time!\I never expected Dolgana to personally enter the fray!\He is the Wulgaru's greatest general.\Ange!\Shit!\I'll deal with this bogey! response:	My unit's heavy!
context: To think that I would feel the urge to\immerse myself in the hunt after all this time!\I never expected Dolgana to personally enter the fray!\He is the Wulgaru's greatest general.\Ange!\Shit!\I'll deal with this bogey!\My unit's heavy! response:	Damn it all to hell!
context: immerse myself in the hunt after all this time!\I never expected Dolgana to personally enter the fray!\He is the Wulgaru's greatest general.\Ange!\Shit!\I'll deal with this bogey!\My unit's heavy!\Damn it all to hell! response:	Blue 1, you're down to 3 residual energy.
context: I never expected Dolgana to personally enter the fray!\He is the Wulgaru's greatest general.\Ange!\Shit!\I'll deal with this bogey!\My unit's heavy!\Damn it all to hell!\Blue 1, you're down to 3 residual energy. response:	You're at risk if you keep fighting!
context: He is the Wulgaru's greatest general.\Ange!\Shit!\I'll deal with this bogey!\My unit's heavy!\Damn it all to hell!\Blue 1, you're down to 3 residual energy.\You're at risk if you keep fighting! response:	Cut power to my left arm!
context: Ange!\Shit!\I'll deal with this bogey!\My unit's heavy!\Damn it all to hell!\Blue 1, you're down to 3 residual energy.\You're at risk if you keep fighting!\Cut power to my left arm! response:	Pull back!
context: Shit!\I'll deal with this bogey!\My unit's heavy!\Damn it all to hell!\Blue 1, you're down to 3 residual energy.\You're at risk if you keep fighting!\Cut power to my left arm!\Pull back! response:	Until we defeat this guy, that's not an option!
context: I'll deal with this bogey!\My unit's heavy!\Damn it all to hell!\Blue 1, you're down to 3 residual energy.\You're at risk if you keep fighting!\Cut power to my left arm!\Pull back!\Until we defeat this guy, that's not an option! response:	Are there any surplus forces?
context: My unit's heavy!\Damn it all to hell!\Blue 1, you're down to 3 residual energy.\You're at risk if you keep fighting!\Cut power to my left arm!\Pull back!\Until we defeat this guy, that's not an option!\Are there any surplus forces? response:	No, ma'am!
context: Damn it all to hell!\Blue 1, you're down to 3 residual energy.\You're at risk if you keep fighting!\Cut power to my left arm!\Pull back!\Until we defeat this guy, that's not an option!\Are there any surplus forces?\No, ma'am! response:	What weapons do we have left on this vessel?
context: Blue 1, you're down to 3 residual energy.\You're at risk if you keep fighting!\Cut power to my left arm!\Pull back!\Until we defeat this guy, that's not an option!\Are there any surplus forces?\No, ma'am!\What weapons do we have left on this vessel? response:	Just a multipurpose short-range guided missile launcher.
context: You're at risk if you keep fighting!\Cut power to my left arm!\Pull back!\Until we defeat this guy, that's not an option!\Are there any surplus forces?\No, ma'am!\What weapons do we have left on this vessel?\Just a multipurpose short-range guided missile launcher. response:	It doesn't have the range you need.
context: Cut power to my left arm!\Pull back!\Until we defeat this guy, that's not an option!\Are there any surplus forces?\No, ma'am!\What weapons do we have left on this vessel?\Just a multipurpose short-range guided missile launcher.\It doesn't have the range you need. response:	I'll go.
context: Pull back!\Until we defeat this guy, that's not an option!\Are there any surplus forces?\No, ma'am!\What weapons do we have left on this vessel?\Just a multipurpose short-range guided missile launcher.\It doesn't have the range you need.\I'll go. response:	But the next time you get in that AHSMB unit, it could kill you!
context: Until we defeat this guy, that's not an option!\Are there any surplus forces?\No, ma'am!\What weapons do we have left on this vessel?\Just a multipurpose short-range guided missile launcher.\It doesn't have the range you need.\I'll go.\But the next time you get in that AHSMB unit, it could kill you! response:	Everyone is out there fighting their hardest so you don't have to.
context: Are there any surplus forces?\No, ma'am!\What weapons do we have left on this vessel?\Just a multipurpose short-range guided missile launcher.\It doesn't have the range you need.\I'll go.\But the next time you get in that AHSMB unit, it could kill you!\Everyone is out there fighting their hardest so you don't have to. response:	Are you going to put their efforts to waste?
context: No, ma'am!\What weapons do we have left on this vessel?\Just a multipurpose short-range guided missile launcher.\It doesn't have the range you need.\I'll go.\But the next time you get in that AHSMB unit, it could kill you!\Everyone is out there fighting their hardest so you don't have to.\Are you going to put their efforts to waste? response:	That may be true, but I...
context: What weapons do we have left on this vessel?\Just a multipurpose short-range guided missile launcher.\It doesn't have the range you need.\I'll go.\But the next time you get in that AHSMB unit, it could kill you!\Everyone is out there fighting their hardest so you don't have to.\Are you going to put their efforts to waste?\That may be true, but I... response:	I'm ordering you to wait in your quarters.
context: Just a multipurpose short-range guided missile launcher.\It doesn't have the range you need.\I'll go.\But the next time you get in that AHSMB unit, it could kill you!\Everyone is out there fighting their hardest so you don't have to.\Are you going to put their efforts to waste?\That may be true, but I...\I'm ordering you to wait in your quarters. response:	Peko, escort him.
context: It doesn't have the range you need.\I'll go.\But the next time you get in that AHSMB unit, it could kill you!\Everyone is out there fighting their hardest so you don't have to.\Are you going to put their efforts to waste?\That may be true, but I...\I'm ordering you to wait in your quarters.\Peko, escort him. response:	Captain Suzukaze!
context: I'll go.\But the next time you get in that AHSMB unit, it could kill you!\Everyone is out there fighting their hardest so you don't have to.\Are you going to put their efforts to waste?\That may be true, but I...\I'm ordering you to wait in your quarters.\Peko, escort him.\Captain Suzukaze! response:	I love you.
context: But the next time you get in that AHSMB unit, it could kill you!\Everyone is out there fighting their hardest so you don't have to.\Are you going to put their efforts to waste?\That may be true, but I...\I'm ordering you to wait in your quarters.\Peko, escort him.\Captain Suzukaze!\I love you. response:	Wha-?!
context: Everyone is out there fighting their hardest so you don't have to.\Are you going to put their efforts to waste?\That may be true, but I...\I'm ordering you to wait in your quarters.\Peko, escort him.\Captain Suzukaze!\I love you.\Wha-?! response:	Reika,
context: Are you going to put their efforts to waste?\That may be true, but I...\I'm ordering you to wait in your quarters.\Peko, escort him.\Captain Suzukaze!\I love you.\Wha-?!\Reika, response:	Siegfried,
context: That may be true, but I...\I'm ordering you to wait in your quarters.\Peko, escort him.\Captain Suzukaze!\I love you.\Wha-?!\Reika,\Siegfried, response:	Guiliano,
context: I'm ordering you to wait in your quarters.\Peko, escort him.\Captain Suzukaze!\I love you.\Wha-?!\Reika,\Siegfried,\Guiliano, response:	Peko,
context: Peko, escort him.\Captain Suzukaze!\I love you.\Wha-?!\Reika,\Siegfried,\Guiliano,\Peko, response:	Natori Shion,
context: Captain Suzukaze!\I love you.\Wha-?!\Reika,\Siegfried,\Guiliano,\Peko,\Natori Shion, response:	Degawa,
context: I love you.\Wha-?!\Reika,\Siegfried,\Guiliano,\Peko,\Natori Shion,\Degawa, response:	Mayu,
context: Wha-?!\Reika,\Siegfried,\Guiliano,\Peko,\Natori Shion,\Degawa,\Mayu, response:	Dan,
context: Reika,\Siegfried,\Guiliano,\Peko,\Natori Shion,\Degawa,\Mayu,\Dan, response:	everyone on the pit crew,
context: Siegfried,\Guiliano,\Peko,\Natori Shion,\Degawa,\Mayu,\Dan,\everyone on the pit crew, response:	Commander Simon,
context: Guiliano,\Peko,\Natori Shion,\Degawa,\Mayu,\Dan,\everyone on the pit crew,\Commander Simon, response:	Teoria,
context: Peko,\Natori Shion,\Degawa,\Mayu,\Dan,\everyone on the pit crew,\Commander Simon,\Teoria, response:	Kei,
context: Natori Shion,\Degawa,\Mayu,\Dan,\everyone on the pit crew,\Commander Simon,\Teoria,\Kei, response:	Tamaki,
context: Degawa,\Mayu,\Dan,\everyone on the pit crew,\Commander Simon,\Teoria,\Kei,\Tamaki, response:	Ange,
context: Mayu,\Dan,\everyone on the pit crew,\Commander Simon,\Teoria,\Kei,\Tamaki,\Ange, response:	Suruga,
context: Dan,\everyone on the pit crew,\Commander Simon,\Teoria,\Kei,\Tamaki,\Ange,\Suruga, response:	and my big brother, Asagi,
context: everyone on the pit crew,\Commander Simon,\Teoria,\Kei,\Tamaki,\Ange,\Suruga,\and my big brother, Asagi, response:	I love all of you!
context: Commander Simon,\Teoria,\Kei,\Tamaki,\Ange,\Suruga,\and my big brother, Asagi,\I love all of you! response:	I was born all by myself,
context: Teoria,\Kei,\Tamaki,\Ange,\Suruga,\and my big brother, Asagi,\I love all of you!\I was born all by myself, response:	never knowing what my parents look like.
context: Kei,\Tamaki,\Ange,\Suruga,\and my big brother, Asagi,\I love all of you!\I was born all by myself,\never knowing what my parents look like. response:	But now I have a family and I love so many people!
context: Tamaki,\Ange,\Suruga,\and my big brother, Asagi,\I love all of you!\I was born all by myself,\never knowing what my parents look like.\But now I have a family and I love so many people! response:	I can't die for their sake...
context: Ange,\Suruga,\and my big brother, Asagi,\I love all of you!\I was born all by myself,\never knowing what my parents look like.\But now I have a family and I love so many people!\I can't die for their sake... response:	And besides...
context: Suruga,\and my big brother, Asagi,\I love all of you!\I was born all by myself,\never knowing what my parents look like.\But now I have a family and I love so many people!\I can't die for their sake...\And besides... response:	And besides,
context: and my big brother, Asagi,\I love all of you!\I was born all by myself,\never knowing what my parents look like.\But now I have a family and I love so many people!\I can't die for their sake...\And besides...\And besides, response:	I still have a bunch of manga that I want to draw!
context: I love all of you!\I was born all by myself,\never knowing what my parents look like.\But now I have a family and I love so many people!\I can't die for their sake...\And besides...\And besides,\I still have a bunch of manga that I want to draw! response:	So I'm not going to die!
context: I was born all by myself,\never knowing what my parents look like.\But now I have a family and I love so many people!\I can't die for their sake...\And besides...\And besides,\I still have a bunch of manga that I want to draw!\So I'm not going to die! response:	Probably...
context: never knowing what my parents look like.\But now I have a family and I love so many people!\I can't die for their sake...\And besides...\And besides,\I still have a bunch of manga that I want to draw!\So I'm not going to die!\Probably... response:	Probably, he says.
context: But now I have a family and I love so many people!\I can't die for their sake...\And besides...\And besides,\I still have a bunch of manga that I want to draw!\So I'm not going to die!\Probably...\Probably, he says. response:	Well, it's just like him to fall flat.
context: I can't die for their sake...\And besides...\And besides,\I still have a bunch of manga that I want to draw!\So I'm not going to die!\Probably...\Probably, he says.\Well, it's just like him to fall flat. response:	Isn't this when you're supposed to give up and let him go?
context: And besides...\And besides,\I still have a bunch of manga that I want to draw!\So I'm not going to die!\Probably...\Probably, he says.\Well, it's just like him to fall flat.\Isn't this when you're supposed to give up and let him go? response:	You'll have to pardon me, but considering our current situation,
context: And besides,\I still have a bunch of manga that I want to draw!\So I'm not going to die!\Probably...\Probably, he says.\Well, it's just like him to fall flat.\Isn't this when you're supposed to give up and let him go?\You'll have to pardon me, but considering our current situation, response:	I believe it will be difficult to turn
context: I still have a bunch of manga that I want to draw!\So I'm not going to die!\Probably...\Probably, he says.\Well, it's just like him to fall flat.\Isn't this when you're supposed to give up and let him go?\You'll have to pardon me, but considering our current situation,\I believe it will be difficult to turn response:	the tables without dispatching Red 5.
context: So I'm not going to die!\Probably...\Probably, he says.\Well, it's just like him to fall flat.\Isn't this when you're supposed to give up and let him go?\You'll have to pardon me, but considering our current situation,\I believe it will be difficult to turn\the tables without dispatching Red 5. response:	Go get'em.
context: Probably...\Probably, he says.\Well, it's just like him to fall flat.\Isn't this when you're supposed to give up and let him go?\You'll have to pardon me, but considering our current situation,\I believe it will be difficult to turn\the tables without dispatching Red 5.\Go get'em. response:	That's easy for you to say! His unit is currently locked...
context: Probably, he says.\Well, it's just like him to fall flat.\Isn't this when you're supposed to give up and let him go?\You'll have to pardon me, but considering our current situation,\I believe it will be difficult to turn\the tables without dispatching Red 5.\Go get'em.\That's easy for you to say! His unit is currently locked... response:	He can go whenever he's ready!
context: Well, it's just like him to fall flat.\Isn't this when you're supposed to give up and let him go?\You'll have to pardon me, but considering our current situation,\I believe it will be difficult to turn\the tables without dispatching Red 5.\Go get'em.\That's easy for you to say! His unit is currently locked...\He can go whenever he's ready! response:	It's all warmed up!
context: Isn't this when you're supposed to give up and let him go?\You'll have to pardon me, but considering our current situation,\I believe it will be difficult to turn\the tables without dispatching Red 5.\Go get'em.\That's easy for you to say! His unit is currently locked...\He can go whenever he's ready!\It's all warmed up! response:	You can take it to full power!
context: You'll have to pardon me, but considering our current situation,\I believe it will be difficult to turn\the tables without dispatching Red 5.\Go get'em.\That's easy for you to say! His unit is currently locked...\He can go whenever he's ready!\It's all warmed up!\You can take it to full power! response:	All right, then. Red 5, prepare to sortie.
context: I believe it will be difficult to turn\the tables without dispatching Red 5.\Go get'em.\That's easy for you to say! His unit is currently locked...\He can go whenever he's ready!\It's all warmed up!\You can take it to full power!\All right, then. Red 5, prepare to sortie. response:	You'd better come back to us!
context: the tables without dispatching Red 5.\Go get'em.\That's easy for you to say! His unit is currently locked...\He can go whenever he's ready!\It's all warmed up!\You can take it to full power!\All right, then. Red 5, prepare to sortie.\You'd better come back to us! response:	Yes, ma'am!
context: Go get'em.\That's easy for you to say! His unit is currently locked...\He can go whenever he's ready!\It's all warmed up!\You can take it to full power!\All right, then. Red 5, prepare to sortie.\You'd better come back to us!\Yes, ma'am! response:	Blast off!
context: That's easy for you to say! His unit is currently locked...\He can go whenever he's ready!\It's all warmed up!\You can take it to full power!\All right, then. Red 5, prepare to sortie.\You'd better come back to us!\Yes, ma'am!\Blast off! response:	We're counting on you...
context: He can go whenever he's ready!\It's all warmed up!\You can take it to full power!\All right, then. Red 5, prepare to sortie.\You'd better come back to us!\Yes, ma'am!\Blast off!\We're counting on you... response:	So you've finally come.
context: It's all warmed up!\You can take it to full power!\All right, then. Red 5, prepare to sortie.\You'd better come back to us!\Yes, ma'am!\Blast off!\We're counting on you...\So you've finally come. response:	Izuru?!
context: You can take it to full power!\All right, then. Red 5, prepare to sortie.\You'd better come back to us!\Yes, ma'am!\Blast off!\We're counting on you...\So you've finally come.\Izuru?! response:	Dude, what're you doin' here?!
context: All right, then. Red 5, prepare to sortie.\You'd better come back to us!\Yes, ma'am!\Blast off!\We're counting on you...\So you've finally come.\Izuru?!\Dude, what're you doin' here?! response:	We told you to keep out of this, you freakin' moron!
context: You'd better come back to us!\Yes, ma'am!\Blast off!\We're counting on you...\So you've finally come.\Izuru?!\Dude, what're you doin' here?!\We told you to keep out of this, you freakin' moron! response:	You stoopy-poopy head!
context: Yes, ma'am!\Blast off!\We're counting on you...\So you've finally come.\Izuru?!\Dude, what're you doin' here?!\We told you to keep out of this, you freakin' moron!\You stoopy-poopy head! response:	We told you to take it easy and stay on the ship!
context: Blast off!\We're counting on you...\So you've finally come.\Izuru?!\Dude, what're you doin' here?!\We told you to keep out of this, you freakin' moron!\You stoopy-poopy head!\We told you to take it easy and stay on the ship! response:	I'll be fine.
context: We're counting on you...\So you've finally come.\Izuru?!\Dude, what're you doin' here?!\We told you to keep out of this, you freakin' moron!\You stoopy-poopy head!\We told you to take it easy and stay on the ship!\I'll be fine. response:	After all, I'm the hero... probably.
context: So you've finally come.\Izuru?!\Dude, what're you doin' here?!\We told you to keep out of this, you freakin' moron!\You stoopy-poopy head!\We told you to take it easy and stay on the ship!\I'll be fine.\After all, I'm the hero... probably. response:	What's with that, probably?!
context: Izuru?!\Dude, what're you doin' here?!\We told you to keep out of this, you freakin' moron!\You stoopy-poopy head!\We told you to take it easy and stay on the ship!\I'll be fine.\After all, I'm the hero... probably.\What's with that, probably?! response:	I've been eagerly awaiting your arrival, my lamata!
context: Dude, what're you doin' here?!\We told you to keep out of this, you freakin' moron!\You stoopy-poopy head!\We told you to take it easy and stay on the ship!\I'll be fine.\After all, I'm the hero... probably.\What's with that, probably?!\I've been eagerly awaiting your arrival, my lamata! response:	Guys, withdraw while you still can!
context: We told you to keep out of this, you freakin' moron!\You stoopy-poopy head!\We told you to take it easy and stay on the ship!\I'll be fine.\After all, I'm the hero... probably.\What's with that, probably?!\I've been eagerly awaiting your arrival, my lamata!\Guys, withdraw while you still can! response:	Roger...!
context: You stoopy-poopy head!\We told you to take it easy and stay on the ship!\I'll be fine.\After all, I'm the hero... probably.\What's with that, probably?!\I've been eagerly awaiting your arrival, my lamata!\Guys, withdraw while you still can!\Roger...! response:	The Great Chinese Alliance is currently fleeing!
context: We told you to take it easy and stay on the ship!\I'll be fine.\After all, I'm the hero... probably.\What's with that, probably?!\I've been eagerly awaiting your arrival, my lamata!\Guys, withdraw while you still can!\Roger...!\The Great Chinese Alliance is currently fleeing! response:	Bela-Russia is maintaining their battle formation as they skirt back.
context: I'll be fine.\After all, I'm the hero... probably.\What's with that, probably?!\I've been eagerly awaiting your arrival, my lamata!\Guys, withdraw while you still can!\Roger...!\The Great Chinese Alliance is currently fleeing!\Bela-Russia is maintaining their battle formation as they skirt back. response:	Africa's forces are in chaos!
context: After all, I'm the hero... probably.\What's with that, probably?!\I've been eagerly awaiting your arrival, my lamata!\Guys, withdraw while you still can!\Roger...!\The Great Chinese Alliance is currently fleeing!\Bela-Russia is maintaining their battle formation as they skirt back.\Africa's forces are in chaos! response:	The 1st Area Fleet's frontline rate of attrition is at 64.9!
context: What's with that, probably?!\I've been eagerly awaiting your arrival, my lamata!\Guys, withdraw while you still can!\Roger...!\The Great Chinese Alliance is currently fleeing!\Bela-Russia is maintaining their battle formation as they skirt back.\Africa's forces are in chaos!\The 1st Area Fleet's frontline rate of attrition is at 64.9! response:	How do things look for the Rabbits?
context: I've been eagerly awaiting your arrival, my lamata!\Guys, withdraw while you still can!\Roger...!\The Great Chinese Alliance is currently fleeing!\Bela-Russia is maintaining their battle formation as they skirt back.\Africa's forces are in chaos!\The 1st Area Fleet's frontline rate of attrition is at 64.9!\How do things look for the Rabbits? response:	I'll put it on the screen!
context: Guys, withdraw while you still can!\Roger...!\The Great Chinese Alliance is currently fleeing!\Bela-Russia is maintaining their battle formation as they skirt back.\Africa's forces are in chaos!\The 1st Area Fleet's frontline rate of attrition is at 64.9!\How do things look for the Rabbits?\I'll put it on the screen! response:	So their hands are tied, too.
context: Roger...!\The Great Chinese Alliance is currently fleeing!\Bela-Russia is maintaining their battle formation as they skirt back.\Africa's forces are in chaos!\The 1st Area Fleet's frontline rate of attrition is at 64.9!\How do things look for the Rabbits?\I'll put it on the screen!\So their hands are tied, too. response:	Fire all of the main cannons simultaneously at Point DN-31!
context: The Great Chinese Alliance is currently fleeing!\Bela-Russia is maintaining their battle formation as they skirt back.\Africa's forces are in chaos!\The 1st Area Fleet's frontline rate of attrition is at 64.9!\How do things look for the Rabbits?\I'll put it on the screen!\So their hands are tied, too.\Fire all of the main cannons simultaneously at Point DN-31! response:	While we're doing that, have the 1st and 2nd Fleets
context: Bela-Russia is maintaining their battle formation as they skirt back.\Africa's forces are in chaos!\The 1st Area Fleet's frontline rate of attrition is at 64.9!\How do things look for the Rabbits?\I'll put it on the screen!\So their hands are tied, too.\Fire all of the main cannons simultaneously at Point DN-31!\While we're doing that, have the 1st and 2nd Fleets response:	retreat at full speed.
context: Africa's forces are in chaos!\The 1st Area Fleet's frontline rate of attrition is at 64.9!\How do things look for the Rabbits?\I'll put it on the screen!\So their hands are tied, too.\Fire all of the main cannons simultaneously at Point DN-31!\While we're doing that, have the 1st and 2nd Fleets\retreat at full speed. response:	The enemy is quickly closing in on us!
context: The 1st Area Fleet's frontline rate of attrition is at 64.9!\How do things look for the Rabbits?\I'll put it on the screen!\So their hands are tied, too.\Fire all of the main cannons simultaneously at Point DN-31!\While we're doing that, have the 1st and 2nd Fleets\retreat at full speed.\The enemy is quickly closing in on us! response:	I don't care if we burn out all of our cannons!
context: How do things look for the Rabbits?\I'll put it on the screen!\So their hands are tied, too.\Fire all of the main cannons simultaneously at Point DN-31!\While we're doing that, have the 1st and 2nd Fleets\retreat at full speed.\The enemy is quickly closing in on us!\I don't care if we burn out all of our cannons! response:	Fire! Fire! Fire like mad!
context: I'll put it on the screen!\So their hands are tied, too.\Fire all of the main cannons simultaneously at Point DN-31!\While we're doing that, have the 1st and 2nd Fleets\retreat at full speed.\The enemy is quickly closing in on us!\I don't care if we burn out all of our cannons!\Fire! Fire! Fire like mad! response:	There are too many of them!
context: So their hands are tied, too.\Fire all of the main cannons simultaneously at Point DN-31!\While we're doing that, have the 1st and 2nd Fleets\retreat at full speed.\The enemy is quickly closing in on us!\I don't care if we burn out all of our cannons!\Fire! Fire! Fire like mad!\There are too many of them! response:	Enemy fighters are advancing.
context: Fire all of the main cannons simultaneously at Point DN-31!\While we're doing that, have the 1st and 2nd Fleets\retreat at full speed.\The enemy is quickly closing in on us!\I don't care if we burn out all of our cannons!\Fire! Fire! Fire like mad!\There are too many of them!\Enemy fighters are advancing. response:	What's the situation?
context: While we're doing that, have the 1st and 2nd Fleets\retreat at full speed.\The enemy is quickly closing in on us!\I don't care if we burn out all of our cannons!\Fire! Fire! Fire like mad!\There are too many of them!\Enemy fighters are advancing.\What's the situation? response:	They'll get to start firing at us long before they enter our range.
context: retreat at full speed.\The enemy is quickly closing in on us!\I don't care if we burn out all of our cannons!\Fire! Fire! Fire like mad!\There are too many of them!\Enemy fighters are advancing.\What's the situation?\They'll get to start firing at us long before they enter our range. response:	This is bad... Can you handle this?
context: The enemy is quickly closing in on us!\I don't care if we burn out all of our cannons!\Fire! Fire! Fire like mad!\There are too many of them!\Enemy fighters are advancing.\What's the situation?\They'll get to start firing at us long before they enter our range.\This is bad... Can you handle this? response:	Please leave everything to us!
context: I don't care if we burn out all of our cannons!\Fire! Fire! Fire like mad!\There are too many of them!\Enemy fighters are advancing.\What's the situation?\They'll get to start firing at us long before they enter our range.\This is bad... Can you handle this?\Please leave everything to us! response:	My dream is to lead a carefree life living off pension,
context: Fire! Fire! Fire like mad!\There are too many of them!\Enemy fighters are advancing.\What's the situation?\They'll get to start firing at us long before they enter our range.\This is bad... Can you handle this?\Please leave everything to us!\My dream is to lead a carefree life living off pension, response:	so I'll push myself a bit.
context: There are too many of them!\Enemy fighters are advancing.\What's the situation?\They'll get to start firing at us long before they enter our range.\This is bad... Can you handle this?\Please leave everything to us!\My dream is to lead a carefree life living off pension,\so I'll push myself a bit. response:	I'm sending you all of the enemy's verified locations and past maneuvers.
context: Enemy fighters are advancing.\What's the situation?\They'll get to start firing at us long before they enter our range.\This is bad... Can you handle this?\Please leave everything to us!\My dream is to lead a carefree life living off pension,\so I'll push myself a bit.\I'm sending you all of the enemy's verified locations and past maneuvers. response:	Roger. After calculating their anticipated movement patterns,
context: What's the situation?\They'll get to start firing at us long before they enter our range.\This is bad... Can you handle this?\Please leave everything to us!\My dream is to lead a carefree life living off pension,\so I'll push myself a bit.\I'm sending you all of the enemy's verified locations and past maneuvers.\Roger. After calculating their anticipated movement patterns, response:	I'm going to pull out everything from the top to 1024.
context: They'll get to start firing at us long before they enter our range.\This is bad... Can you handle this?\Please leave everything to us!\My dream is to lead a carefree life living off pension,\so I'll push myself a bit.\I'm sending you all of the enemy's verified locations and past maneuvers.\Roger. After calculating their anticipated movement patterns,\I'm going to pull out everything from the top to 1024. response:	Inputting random firing coefficients for the anticipated patterns.
context: This is bad... Can you handle this?\Please leave everything to us!\My dream is to lead a carefree life living off pension,\so I'll push myself a bit.\I'm sending you all of the enemy's verified locations and past maneuvers.\Roger. After calculating their anticipated movement patterns,\I'm going to pull out everything from the top to 1024.\Inputting random firing coefficients for the anticipated patterns. response:	I've indicated that the ship is to prioritize safety
context: Please leave everything to us!\My dream is to lead a carefree life living off pension,\so I'll push myself a bit.\I'm sending you all of the enemy's verified locations and past maneuvers.\Roger. After calculating their anticipated movement patterns,\I'm going to pull out everything from the top to 1024.\Inputting random firing coefficients for the anticipated patterns.\I've indicated that the ship is to prioritize safety response:	while also eliminating any margin of error.
context: My dream is to lead a carefree life living off pension,\so I'll push myself a bit.\I'm sending you all of the enemy's verified locations and past maneuvers.\Roger. After calculating their anticipated movement patterns,\I'm going to pull out everything from the top to 1024.\Inputting random firing coefficients for the anticipated patterns.\I've indicated that the ship is to prioritize safety\while also eliminating any margin of error. response:	If we drop the safety margin by 0.2,
context: so I'll push myself a bit.\I'm sending you all of the enemy's verified locations and past maneuvers.\Roger. After calculating their anticipated movement patterns,\I'm going to pull out everything from the top to 1024.\Inputting random firing coefficients for the anticipated patterns.\I've indicated that the ship is to prioritize safety\while also eliminating any margin of error.\If we drop the safety margin by 0.2, response:	the evasion rate goes up 14.72.
context: I'm sending you all of the enemy's verified locations and past maneuvers.\Roger. After calculating their anticipated movement patterns,\I'm going to pull out everything from the top to 1024.\Inputting random firing coefficients for the anticipated patterns.\I've indicated that the ship is to prioritize safety\while also eliminating any margin of error.\If we drop the safety margin by 0.2,\the evasion rate goes up 14.72. response:	How would that affect the safety?
context: Roger. After calculating their anticipated movement patterns,\I'm going to pull out everything from the top to 1024.\Inputting random firing coefficients for the anticipated patterns.\I've indicated that the ship is to prioritize safety\while also eliminating any margin of error.\If we drop the safety margin by 0.2,\the evasion rate goes up 14.72.\How would that affect the safety? response:	I'm guessing we'll lose our kitchen plates
context: I'm going to pull out everything from the top to 1024.\Inputting random firing coefficients for the anticipated patterns.\I've indicated that the ship is to prioritize safety\while also eliminating any margin of error.\If we drop the safety margin by 0.2,\the evasion rate goes up 14.72.\How would that affect the safety?\I'm guessing we'll lose our kitchen plates response:	and suffer muscle pain in the morning.
context: Inputting random firing coefficients for the anticipated patterns.\I've indicated that the ship is to prioritize safety\while also eliminating any margin of error.\If we drop the safety margin by 0.2,\the evasion rate goes up 14.72.\How would that affect the safety?\I'm guessing we'll lose our kitchen plates\and suffer muscle pain in the morning. response:	Then do it.
context: I've indicated that the ship is to prioritize safety\while also eliminating any margin of error.\If we drop the safety margin by 0.2,\the evasion rate goes up 14.72.\How would that affect the safety?\I'm guessing we'll lose our kitchen plates\and suffer muscle pain in the morning.\Then do it. response:	Roger! I'm sending over the pilot control data.
context: while also eliminating any margin of error.\If we drop the safety margin by 0.2,\the evasion rate goes up 14.72.\How would that affect the safety?\I'm guessing we'll lose our kitchen plates\and suffer muscle pain in the morning.\Then do it.\Roger! I'm sending over the pilot control data. response:	Our vessel will begin taking evasive measures!
context: If we drop the safety margin by 0.2,\the evasion rate goes up 14.72.\How would that affect the safety?\I'm guessing we'll lose our kitchen plates\and suffer muscle pain in the morning.\Then do it.\Roger! I'm sending over the pilot control data.\Our vessel will begin taking evasive measures! response:	All crew, you have 20 seconds to brace yourselves
context: the evasion rate goes up 14.72.\How would that affect the safety?\I'm guessing we'll lose our kitchen plates\and suffer muscle pain in the morning.\Then do it.\Roger! I'm sending over the pilot control data.\Our vessel will begin taking evasive measures!\All crew, you have 20 seconds to brace yourselves response:	and prepare for turbulence!
context: How would that affect the safety?\I'm guessing we'll lose our kitchen plates\and suffer muscle pain in the morning.\Then do it.\Roger! I'm sending over the pilot control data.\Our vessel will begin taking evasive measures!\All crew, you have 20 seconds to brace yourselves\and prepare for turbulence! response:	We're down to 10 seconds! Pilot controls are set for full auto!
context: I'm guessing we'll lose our kitchen plates\and suffer muscle pain in the morning.\Then do it.\Roger! I'm sending over the pilot control data.\Our vessel will begin taking evasive measures!\All crew, you have 20 seconds to brace yourselves\and prepare for turbulence!\We're down to 10 seconds! Pilot controls are set for full auto! response:	Five,
context: and suffer muscle pain in the morning.\Then do it.\Roger! I'm sending over the pilot control data.\Our vessel will begin taking evasive measures!\All crew, you have 20 seconds to brace yourselves\and prepare for turbulence!\We're down to 10 seconds! Pilot controls are set for full auto!\Five, response:	four,
context: Then do it.\Roger! I'm sending over the pilot control data.\Our vessel will begin taking evasive measures!\All crew, you have 20 seconds to brace yourselves\and prepare for turbulence!\We're down to 10 seconds! Pilot controls are set for full auto!\Five,\four, response:	three,
