context: It hurts! response:	Mommy!
context: You threw me away, and now you want to push that kid on me too?\I misjudged you. Never show yourself in front of me again!\Shiro... I wanted to believe in you.\I wanted to believe that you're the strongest.\Sever the head of the snake...\that devours the eight princesses!\Why? Why would my dad's apprentice point her sword at me?\The day Shiro died the Vatican headquarters dispatched me as High Inspector with secret orders. response:	There is a possibility that Shiro Fujimoto and Mephisto Pheles,
context: I misjudged you. Never show yourself in front of me again!\Shiro... I wanted to believe in you.\I wanted to believe that you're the strongest.\Sever the head of the snake...\that devours the eight princesses!\Why? Why would my dad's apprentice point her sword at me?\The day Shiro died the Vatican headquarters dispatched me as High Inspector with secret orders.\There is a possibility that Shiro Fujimoto and Mephisto Pheles, response:	the head of the Japanese Branch, have been hiding something related to Satan
context: Shiro... I wanted to believe in you.\I wanted to believe that you're the strongest.\Sever the head of the snake...\that devours the eight princesses!\Why? Why would my dad's apprentice point her sword at me?\The day Shiro died the Vatican headquarters dispatched me as High Inspector with secret orders.\There is a possibility that Shiro Fujimoto and Mephisto Pheles,\the head of the Japanese Branch, have been hiding something related to Satan response:	since the Blue Night 16 years ago. Investigate that.
context: I wanted to believe that you're the strongest.\Sever the head of the snake...\that devours the eight princesses!\Why? Why would my dad's apprentice point her sword at me?\The day Shiro died the Vatican headquarters dispatched me as High Inspector with secret orders.\There is a possibility that Shiro Fujimoto and Mephisto Pheles,\the head of the Japanese Branch, have been hiding something related to Satan\since the Blue Night 16 years ago. Investigate that. response:	And one more.
context: Sever the head of the snake...\that devours the eight princesses!\Why? Why would my dad's apprentice point her sword at me?\The day Shiro died the Vatican headquarters dispatched me as High Inspector with secret orders.\There is a possibility that Shiro Fujimoto and Mephisto Pheles,\the head of the Japanese Branch, have been hiding something related to Satan\since the Blue Night 16 years ago. Investigate that.\And one more. response:	And if by chance there was such an element,
context: that devours the eight princesses!\Why? Why would my dad's apprentice point her sword at me?\The day Shiro died the Vatican headquarters dispatched me as High Inspector with secret orders.\There is a possibility that Shiro Fujimoto and Mephisto Pheles,\the head of the Japanese Branch, have been hiding something related to Satan\since the Blue Night 16 years ago. Investigate that.\And one more.\And if by chance there was such an element, response:	you are hereby authorized to eliminate it upon identification.
context: Why? Why would my dad's apprentice point her sword at me?\The day Shiro died the Vatican headquarters dispatched me as High Inspector with secret orders.\There is a possibility that Shiro Fujimoto and Mephisto Pheles,\the head of the Japanese Branch, have been hiding something related to Satan\since the Blue Night 16 years ago. Investigate that.\And one more.\And if by chance there was such an element,\you are hereby authorized to eliminate it upon identification. response:	Just like that.
context: The day Shiro died the Vatican headquarters dispatched me as High Inspector with secret orders.\There is a possibility that Shiro Fujimoto and Mephisto Pheles,\the head of the Japanese Branch, have been hiding something related to Satan\since the Blue Night 16 years ago. Investigate that.\And one more.\And if by chance there was such an element,\you are hereby authorized to eliminate it upon identification.\Just like that. response:	Eliminate?!
context: There is a possibility that Shiro Fujimoto and Mephisto Pheles,\the head of the Japanese Branch, have been hiding something related to Satan\since the Blue Night 16 years ago. Investigate that.\And one more.\And if by chance there was such an element,\you are hereby authorized to eliminate it upon identification.\Just like that.\Eliminate?! response:	I've confirmed your blue flames, the sign of Satan.
context: the head of the Japanese Branch, have been hiding something related to Satan\since the Blue Night 16 years ago. Investigate that.\And one more.\And if by chance there was such an element,\you are hereby authorized to eliminate it upon identification.\Just like that.\Eliminate?!\I've confirmed your blue flames, the sign of Satan. response:	I'll obey my orders and kill you.
context: since the Blue Night 16 years ago. Investigate that.\And one more.\And if by chance there was such an element,\you are hereby authorized to eliminate it upon identification.\Just like that.\Eliminate?!\I've confirmed your blue flames, the sign of Satan.\I'll obey my orders and kill you. response:	The apprentice will finish her dead master's incomplete work.
context: And one more.\And if by chance there was such an element,\you are hereby authorized to eliminate it upon identification.\Just like that.\Eliminate?!\I've confirmed your blue flames, the sign of Satan.\I'll obey my orders and kill you.\The apprentice will finish her dead master's incomplete work. response:	Kill me? Wait!
context: And if by chance there was such an element,\you are hereby authorized to eliminate it upon identification.\Just like that.\Eliminate?!\I've confirmed your blue flames, the sign of Satan.\I'll obey my orders and kill you.\The apprentice will finish her dead master's incomplete work.\Kill me? Wait! response:	Kirigakure Demon Sword Technique: Snakefang!
context: you are hereby authorized to eliminate it upon identification.\Just like that.\Eliminate?!\I've confirmed your blue flames, the sign of Satan.\I'll obey my orders and kill you.\The apprentice will finish her dead master's incomplete work.\Kill me? Wait!\Kirigakure Demon Sword Technique: Snakefang! response:	Sounds like they've started. Don't even bother trying to go in there.
context: Just like that.\Eliminate?!\I've confirmed your blue flames, the sign of Satan.\I'll obey my orders and kill you.\The apprentice will finish her dead master's incomplete work.\Kill me? Wait!\Kirigakure Demon Sword Technique: Snakefang!\Sounds like they've started. Don't even bother trying to go in there. response:	The Great Cell can only be opened by High Class Exorcists.
context: Eliminate?!\I've confirmed your blue flames, the sign of Satan.\I'll obey my orders and kill you.\The apprentice will finish her dead master's incomplete work.\Kill me? Wait!\Kirigakure Demon Sword Technique: Snakefang!\Sounds like they've started. Don't even bother trying to go in there.\The Great Cell can only be opened by High Class Exorcists. response:	We are to quietly wait until the interrogation ends.
context: I've confirmed your blue flames, the sign of Satan.\I'll obey my orders and kill you.\The apprentice will finish her dead master's incomplete work.\Kill me? Wait!\Kirigakure Demon Sword Technique: Snakefang!\Sounds like they've started. Don't even bother trying to go in there.\The Great Cell can only be opened by High Class Exorcists.\We are to quietly wait until the interrogation ends. response:	What? What the hell happened?
context: I'll obey my orders and kill you.\The apprentice will finish her dead master's incomplete work.\Kill me? Wait!\Kirigakure Demon Sword Technique: Snakefang!\Sounds like they've started. Don't even bother trying to go in there.\The Great Cell can only be opened by High Class Exorcists.\We are to quietly wait until the interrogation ends.\What? What the hell happened? response:	It's just like with that demon earlier.
context: The apprentice will finish her dead master's incomplete work.\Kill me? Wait!\Kirigakure Demon Sword Technique: Snakefang!\Sounds like they've started. Don't even bother trying to go in there.\The Great Cell can only be opened by High Class Exorcists.\We are to quietly wait until the interrogation ends.\What? What the hell happened?\It's just like with that demon earlier. response:	Our levels are totally different.
context: Kill me? Wait!\Kirigakure Demon Sword Technique: Snakefang!\Sounds like they've started. Don't even bother trying to go in there.\The Great Cell can only be opened by High Class Exorcists.\We are to quietly wait until the interrogation ends.\What? What the hell happened?\It's just like with that demon earlier.\Our levels are totally different. response:	What were you trying to do, Shiro?
context: Kirigakure Demon Sword Technique: Snakefang!\Sounds like they've started. Don't even bother trying to go in there.\The Great Cell can only be opened by High Class Exorcists.\We are to quietly wait until the interrogation ends.\What? What the hell happened?\It's just like with that demon earlier.\Our levels are totally different.\What were you trying to do, Shiro? response:	Why did you oppose the Vatican by hiding Satan's son?
context: Sounds like they've started. Don't even bother trying to go in there.\The Great Cell can only be opened by High Class Exorcists.\We are to quietly wait until the interrogation ends.\What? What the hell happened?\It's just like with that demon earlier.\Our levels are totally different.\What were you trying to do, Shiro?\Why did you oppose the Vatican by hiding Satan's son? response:	Tame the son of Satan to become a weapon for the Order.
context: The Great Cell can only be opened by High Class Exorcists.\We are to quietly wait until the interrogation ends.\What? What the hell happened?\It's just like with that demon earlier.\Our levels are totally different.\What were you trying to do, Shiro?\Why did you oppose the Vatican by hiding Satan's son?\Tame the son of Satan to become a weapon for the Order. response:	Is that your will?
context: We are to quietly wait until the interrogation ends.\What? What the hell happened?\It's just like with that demon earlier.\Our levels are totally different.\What were you trying to do, Shiro?\Why did you oppose the Vatican by hiding Satan's son?\Tame the son of Satan to become a weapon for the Order.\Is that your will? response:	Is that what you tried to accomplish and lost your life for?
context: What? What the hell happened?\It's just like with that demon earlier.\Our levels are totally different.\What were you trying to do, Shiro?\Why did you oppose the Vatican by hiding Satan's son?\Tame the son of Satan to become a weapon for the Order.\Is that your will?\Is that what you tried to accomplish and lost your life for? response:	Shiro!
context: It's just like with that demon earlier.\Our levels are totally different.\What were you trying to do, Shiro?\Why did you oppose the Vatican by hiding Satan's son?\Tame the son of Satan to become a weapon for the Order.\Is that your will?\Is that what you tried to accomplish and lost your life for?\Shiro! response:	You made a big mistake. This blunt and untempered kid wouldn't even scratch Satan.
context: Our levels are totally different.\What were you trying to do, Shiro?\Why did you oppose the Vatican by hiding Satan's son?\Tame the son of Satan to become a weapon for the Order.\Is that your will?\Is that what you tried to accomplish and lost your life for?\Shiro!\You made a big mistake. This blunt and untempered kid wouldn't even scratch Satan. response:	What?!
context: What were you trying to do, Shiro?\Why did you oppose the Vatican by hiding Satan's son?\Tame the son of Satan to become a weapon for the Order.\Is that your will?\Is that what you tried to accomplish and lost your life for?\Shiro!\You made a big mistake. This blunt and untempered kid wouldn't even scratch Satan.\What?! response:	You got old, Shiro. You gave up fighting,
context: Why did you oppose the Vatican by hiding Satan's son?\Tame the son of Satan to become a weapon for the Order.\Is that your will?\Is that what you tried to accomplish and lost your life for?\Shiro!\You made a big mistake. This blunt and untempered kid wouldn't even scratch Satan.\What?!\You got old, Shiro. You gave up fighting, response:	and clung to some pointless hope.
context: Tame the son of Satan to become a weapon for the Order.\Is that your will?\Is that what you tried to accomplish and lost your life for?\Shiro!\You made a big mistake. This blunt and untempered kid wouldn't even scratch Satan.\What?!\You got old, Shiro. You gave up fighting,\and clung to some pointless hope. response:	No! He died protecting me!
context: Is that your will?\Is that what you tried to accomplish and lost your life for?\Shiro!\You made a big mistake. This blunt and untempered kid wouldn't even scratch Satan.\What?!\You got old, Shiro. You gave up fighting,\and clung to some pointless hope.\No! He died protecting me! response:	He was no coward!
context: Is that what you tried to accomplish and lost your life for?\Shiro!\You made a big mistake. This blunt and untempered kid wouldn't even scratch Satan.\What?!\You got old, Shiro. You gave up fighting,\and clung to some pointless hope.\No! He died protecting me!\He was no coward! response:	He was a coward.
context: Shiro!\You made a big mistake. This blunt and untempered kid wouldn't even scratch Satan.\What?!\You got old, Shiro. You gave up fighting,\and clung to some pointless hope.\No! He died protecting me!\He was no coward!\He was a coward. response:	You don't know anything! How dare you say that?!
context: You made a big mistake. This blunt and untempered kid wouldn't even scratch Satan.\What?!\You got old, Shiro. You gave up fighting,\and clung to some pointless hope.\No! He died protecting me!\He was no coward!\He was a coward.\You don't know anything! How dare you say that?! response:	I don't care if you were his apprentice or whatever,
context: What?!\You got old, Shiro. You gave up fighting,\and clung to some pointless hope.\No! He died protecting me!\He was no coward!\He was a coward.\You don't know anything! How dare you say that?!\I don't care if you were his apprentice or whatever, response:	I won't let you make fun of my dad!
context: You got old, Shiro. You gave up fighting,\and clung to some pointless hope.\No! He died protecting me!\He was no coward!\He was a coward.\You don't know anything! How dare you say that?!\I don't care if you were his apprentice or whatever,\I won't let you make fun of my dad! response:	This kid's a mess.
context: and clung to some pointless hope.\No! He died protecting me!\He was no coward!\He was a coward.\You don't know anything! How dare you say that?!\I don't care if you were his apprentice or whatever,\I won't let you make fun of my dad!\This kid's a mess. response:	He makes a lot of useless moves and he looks like he's got no idea of proper fighting techniques.
context: No! He died protecting me!\He was no coward!\He was a coward.\You don't know anything! How dare you say that?!\I don't care if you were his apprentice or whatever,\I won't let you make fun of my dad!\This kid's a mess.\He makes a lot of useless moves and he looks like he's got no idea of proper fighting techniques. response:	What's wrong? Didn't you say you won't let me make fun of him?
context: He was no coward!\He was a coward.\You don't know anything! How dare you say that?!\I don't care if you were his apprentice or whatever,\I won't let you make fun of my dad!\This kid's a mess.\He makes a lot of useless moves and he looks like he's got no idea of proper fighting techniques.\What's wrong? Didn't you say you won't let me make fun of him? response:	If you won't come at me, I'll have at you instead!
context: He was a coward.\You don't know anything! How dare you say that?!\I don't care if you were his apprentice or whatever,\I won't let you make fun of my dad!\This kid's a mess.\He makes a lot of useless moves and he looks like he's got no idea of proper fighting techniques.\What's wrong? Didn't you say you won't let me make fun of him?\If you won't come at me, I'll have at you instead! response:	Kirigakure Demon Sword Technique: Emptiness!
context: You don't know anything! How dare you say that?!\I don't care if you were his apprentice or whatever,\I won't let you make fun of my dad!\This kid's a mess.\He makes a lot of useless moves and he looks like he's got no idea of proper fighting techniques.\What's wrong? Didn't you say you won't let me make fun of him?\If you won't come at me, I'll have at you instead!\Kirigakure Demon Sword Technique: Emptiness! response:	This is so ugly... Just go down already.
context: I don't care if you were his apprentice or whatever,\I won't let you make fun of my dad!\This kid's a mess.\He makes a lot of useless moves and he looks like he's got no idea of proper fighting techniques.\What's wrong? Didn't you say you won't let me make fun of him?\If you won't come at me, I'll have at you instead!\Kirigakure Demon Sword Technique: Emptiness!\This is so ugly... Just go down already. response:	I can't go down here!
context: I won't let you make fun of my dad!\This kid's a mess.\He makes a lot of useless moves and he looks like he's got no idea of proper fighting techniques.\What's wrong? Didn't you say you won't let me make fun of him?\If you won't come at me, I'll have at you instead!\Kirigakure Demon Sword Technique: Emptiness!\This is so ugly... Just go down already.\I can't go down here! response:	I vowed on his grave that I'd become a great Exorcist like him and kick Satan's filthy ass!
context: This kid's a mess.\He makes a lot of useless moves and he looks like he's got no idea of proper fighting techniques.\What's wrong? Didn't you say you won't let me make fun of him?\If you won't come at me, I'll have at you instead!\Kirigakure Demon Sword Technique: Emptiness!\This is so ugly... Just go down already.\I can't go down here!\I vowed on his grave that I'd become a great Exorcist like him and kick Satan's filthy ass! response:	Kick Satan's ass?
context: He makes a lot of useless moves and he looks like he's got no idea of proper fighting techniques.\What's wrong? Didn't you say you won't let me make fun of him?\If you won't come at me, I'll have at you instead!\Kirigakure Demon Sword Technique: Emptiness!\This is so ugly... Just go down already.\I can't go down here!\I vowed on his grave that I'd become a great Exorcist like him and kick Satan's filthy ass!\Kick Satan's ass? response:	Yeah! I'll become the strongest Exorcist and Paladin.
context: What's wrong? Didn't you say you won't let me make fun of him?\If you won't come at me, I'll have at you instead!\Kirigakure Demon Sword Technique: Emptiness!\This is so ugly... Just go down already.\I can't go down here!\I vowed on his grave that I'd become a great Exorcist like him and kick Satan's filthy ass!\Kick Satan's ass?\Yeah! I'll become the strongest Exorcist and Paladin. response:	If I become Paladin everyone will have to accept that he was right!
context: If you won't come at me, I'll have at you instead!\Kirigakure Demon Sword Technique: Emptiness!\This is so ugly... Just go down already.\I can't go down here!\I vowed on his grave that I'd become a great Exorcist like him and kick Satan's filthy ass!\Kick Satan's ass?\Yeah! I'll become the strongest Exorcist and Paladin.\If I become Paladin everyone will have to accept that he was right! response:	Paladin, you say?
context: Kirigakure Demon Sword Technique: Emptiness!\This is so ugly... Just go down already.\I can't go down here!\I vowed on his grave that I'd become a great Exorcist like him and kick Satan's filthy ass!\Kick Satan's ass?\Yeah! I'll become the strongest Exorcist and Paladin.\If I become Paladin everyone will have to accept that he was right!\Paladin, you say? response:	Don't make me laugh you shitty brat!
context: This is so ugly... Just go down already.\I can't go down here!\I vowed on his grave that I'd become a great Exorcist like him and kick Satan's filthy ass!\Kick Satan's ass?\Yeah! I'll become the strongest Exorcist and Paladin.\If I become Paladin everyone will have to accept that he was right!\Paladin, you say?\Don't make me laugh you shitty brat! response:	He's a laugh.
context: I can't go down here!\I vowed on his grave that I'd become a great Exorcist like him and kick Satan's filthy ass!\Kick Satan's ass?\Yeah! I'll become the strongest Exorcist and Paladin.\If I become Paladin everyone will have to accept that he was right!\Paladin, you say?\Don't make me laugh you shitty brat!\He's a laugh. response:	You were right... He is a laugh.
context: I vowed on his grave that I'd become a great Exorcist like him and kick Satan's filthy ass!\Kick Satan's ass?\Yeah! I'll become the strongest Exorcist and Paladin.\If I become Paladin everyone will have to accept that he was right!\Paladin, you say?\Don't make me laugh you shitty brat!\He's a laugh.\You were right... He is a laugh. response:	Or I guess the joke's on me.
context: Kick Satan's ass?\Yeah! I'll become the strongest Exorcist and Paladin.\If I become Paladin everyone will have to accept that he was right!\Paladin, you say?\Don't make me laugh you shitty brat!\He's a laugh.\You were right... He is a laugh.\Or I guess the joke's on me. response:	You loved Shiro?
context: Yeah! I'll become the strongest Exorcist and Paladin.\If I become Paladin everyone will have to accept that he was right!\Paladin, you say?\Don't make me laugh you shitty brat!\He's a laugh.\You were right... He is a laugh.\Or I guess the joke's on me.\You loved Shiro? response:	Huh? It's not like I didn't!
context: If I become Paladin everyone will have to accept that he was right!\Paladin, you say?\Don't make me laugh you shitty brat!\He's a laugh.\You were right... He is a laugh.\Or I guess the joke's on me.\You loved Shiro?\Huh? It's not like I didn't! response:	Shiro, you weren't raising weapon.
context: Paladin, you say?\Don't make me laugh you shitty brat!\He's a laugh.\You were right... He is a laugh.\Or I guess the joke's on me.\You loved Shiro?\Huh? It's not like I didn't!\Shiro, you weren't raising weapon. response:	You were raising a son.
context: Don't make me laugh you shitty brat!\He's a laugh.\You were right... He is a laugh.\Or I guess the joke's on me.\You loved Shiro?\Huh? It's not like I didn't!\Shiro, you weren't raising weapon.\You were raising a son. response:	Ouch! That stings!
context: He's a laugh.\You were right... He is a laugh.\Or I guess the joke's on me.\You loved Shiro?\Huh? It's not like I didn't!\Shiro, you weren't raising weapon.\You were raising a son.\Ouch! That stings! response:	What happened down there?
context: You were right... He is a laugh.\Or I guess the joke's on me.\You loved Shiro?\Huh? It's not like I didn't!\Shiro, you weren't raising weapon.\You were raising a son.\Ouch! That stings!\What happened down there? response:	Nothing important.
context: Or I guess the joke's on me.\You loved Shiro?\Huh? It's not like I didn't!\Shiro, you weren't raising weapon.\You were raising a son.\Ouch! That stings!\What happened down there?\Nothing important. response:	There.
context: You loved Shiro?\Huh? It's not like I didn't!\Shiro, you weren't raising weapon.\You were raising a son.\Ouch! That stings!\What happened down there?\Nothing important.\There. response:	What's this?
context: Huh? It's not like I didn't!\Shiro, you weren't raising weapon.\You were raising a son.\Ouch! That stings!\What happened down there?\Nothing important.\There.\What's this? response:	Just look at it. A wooden sword.
context: Shiro, you weren't raising weapon.\You were raising a son.\Ouch! That stings!\What happened down there?\Nothing important.\There.\What's this?\Just look at it. A wooden sword. response:	And my sword?
context: You were raising a son.\Ouch! That stings!\What happened down there?\Nothing important.\There.\What's this?\Just look at it. A wooden sword.\And my sword? response:	I'll take care of it. If it's with you, Amaimon will just come to play with you again.
context: Ouch! That stings!\What happened down there?\Nothing important.\There.\What's this?\Just look at it. A wooden sword.\And my sword?\I'll take care of it. If it's with you, Amaimon will just come to play with you again. response:	If you want it back, get stronger. You'll get it back once you can kick my ass.
context: What happened down there?\Nothing important.\There.\What's this?\Just look at it. A wooden sword.\And my sword?\I'll take care of it. If it's with you, Amaimon will just come to play with you again.\If you want it back, get stronger. You'll get it back once you can kick my ass. response:	And you gotta prove that Shiro was right.
context: Nothing important.\There.\What's this?\Just look at it. A wooden sword.\And my sword?\I'll take care of it. If it's with you, Amaimon will just come to play with you again.\If you want it back, get stronger. You'll get it back once you can kick my ass.\And you gotta prove that Shiro was right. response:	I'll postpone my report to the Vatican.
context: There.\What's this?\Just look at it. A wooden sword.\And my sword?\I'll take care of it. If it's with you, Amaimon will just come to play with you again.\If you want it back, get stronger. You'll get it back once you can kick my ass.\And you gotta prove that Shiro was right.\I'll postpone my report to the Vatican. response:	However, I'll continue watching over Rin Okumura.
context: What's this?\Just look at it. A wooden sword.\And my sword?\I'll take care of it. If it's with you, Amaimon will just come to play with you again.\If you want it back, get stronger. You'll get it back once you can kick my ass.\And you gotta prove that Shiro was right.\I'll postpone my report to the Vatican.\However, I'll continue watching over Rin Okumura. response:	The point is, get a place for me at the Japanese Branch.
context: Just look at it. A wooden sword.\And my sword?\I'll take care of it. If it's with you, Amaimon will just come to play with you again.\If you want it back, get stronger. You'll get it back once you can kick my ass.\And you gotta prove that Shiro was right.\I'll postpone my report to the Vatican.\However, I'll continue watching over Rin Okumura.\The point is, get a place for me at the Japanese Branch. response:	Understood.
context: And my sword?\I'll take care of it. If it's with you, Amaimon will just come to play with you again.\If you want it back, get stronger. You'll get it back once you can kick my ass.\And you gotta prove that Shiro was right.\I'll postpone my report to the Vatican.\However, I'll continue watching over Rin Okumura.\The point is, get a place for me at the Japanese Branch.\Understood. response:	We're done.
context: I'll take care of it. If it's with you, Amaimon will just come to play with you again.\If you want it back, get stronger. You'll get it back once you can kick my ass.\And you gotta prove that Shiro was right.\I'll postpone my report to the Vatican.\However, I'll continue watching over Rin Okumura.\The point is, get a place for me at the Japanese Branch.\Understood.\We're done. response:	Ah, are you leaving already?
context: If you want it back, get stronger. You'll get it back once you can kick my ass.\And you gotta prove that Shiro was right.\I'll postpone my report to the Vatican.\However, I'll continue watching over Rin Okumura.\The point is, get a place for me at the Japanese Branch.\Understood.\We're done.\Ah, are you leaving already? response:	I have wonderful green tea ice cream from Uji.
context: And you gotta prove that Shiro was right.\I'll postpone my report to the Vatican.\However, I'll continue watching over Rin Okumura.\The point is, get a place for me at the Japanese Branch.\Understood.\We're done.\Ah, are you leaving already?\I have wonderful green tea ice cream from Uji. response:	Mephisto... Just what the hell are you planning?
context: I'll postpone my report to the Vatican.\However, I'll continue watching over Rin Okumura.\The point is, get a place for me at the Japanese Branch.\Understood.\We're done.\Ah, are you leaving already?\I have wonderful green tea ice cream from Uji.\Mephisto... Just what the hell are you planning? response:	My only wish is peace for humankind and Assiah.
context: However, I'll continue watching over Rin Okumura.\The point is, get a place for me at the Japanese Branch.\Understood.\We're done.\Ah, are you leaving already?\I have wonderful green tea ice cream from Uji.\Mephisto... Just what the hell are you planning?\My only wish is peace for humankind and Assiah. response:	I abandoned Gehenna and came here to serve that goal.
context: The point is, get a place for me at the Japanese Branch.\Understood.\We're done.\Ah, are you leaving already?\I have wonderful green tea ice cream from Uji.\Mephisto... Just what the hell are you planning?\My only wish is peace for humankind and Assiah.\I abandoned Gehenna and came here to serve that goal. response:	Don't forget that you're a demon and the higher-ups don't trust you.
context: Understood.\We're done.\Ah, are you leaving already?\I have wonderful green tea ice cream from Uji.\Mephisto... Just what the hell are you planning?\My only wish is peace for humankind and Assiah.\I abandoned Gehenna and came here to serve that goal.\Don't forget that you're a demon and the higher-ups don't trust you. response:	Poor Brother, it looks like they have no trust in you.
context: We're done.\Ah, are you leaving already?\I have wonderful green tea ice cream from Uji.\Mephisto... Just what the hell are you planning?\My only wish is peace for humankind and Assiah.\I abandoned Gehenna and came here to serve that goal.\Don't forget that you're a demon and the higher-ups don't trust you.\Poor Brother, it looks like they have no trust in you. response:	Amaimon... I have plenty to discuss with you regarding this case.
context: Ah, are you leaving already?\I have wonderful green tea ice cream from Uji.\Mephisto... Just what the hell are you planning?\My only wish is peace for humankind and Assiah.\I abandoned Gehenna and came here to serve that goal.\Don't forget that you're a demon and the higher-ups don't trust you.\Poor Brother, it looks like they have no trust in you.\Amaimon... I have plenty to discuss with you regarding this case. response:	Rin, what are you doing so early in the morning?
context: I have wonderful green tea ice cream from Uji.\Mephisto... Just what the hell are you planning?\My only wish is peace for humankind and Assiah.\I abandoned Gehenna and came here to serve that goal.\Don't forget that you're a demon and the higher-ups don't trust you.\Poor Brother, it looks like they have no trust in you.\Amaimon... I have plenty to discuss with you regarding this case.\Rin, what are you doing so early in the morning? response:	I couldn't sleep.
context: Mephisto... Just what the hell are you planning?\My only wish is peace for humankind and Assiah.\I abandoned Gehenna and came here to serve that goal.\Don't forget that you're a demon and the higher-ups don't trust you.\Poor Brother, it looks like they have no trust in you.\Amaimon... I have plenty to discuss with you regarding this case.\Rin, what are you doing so early in the morning?\I couldn't sleep. response:	Is something troubling you?
context: My only wish is peace for humankind and Assiah.\I abandoned Gehenna and came here to serve that goal.\Don't forget that you're a demon and the higher-ups don't trust you.\Poor Brother, it looks like they have no trust in you.\Amaimon... I have plenty to discuss with you regarding this case.\Rin, what are you doing so early in the morning?\I couldn't sleep.\Is something troubling you? response:	I was thinking about my dad.
context: I abandoned Gehenna and came here to serve that goal.\Don't forget that you're a demon and the higher-ups don't trust you.\Poor Brother, it looks like they have no trust in you.\Amaimon... I have plenty to discuss with you regarding this case.\Rin, what are you doing so early in the morning?\I couldn't sleep.\Is something troubling you?\I was thinking about my dad. response:	Your dad? Shiro?
context: Don't forget that you're a demon and the higher-ups don't trust you.\Poor Brother, it looks like they have no trust in you.\Amaimon... I have plenty to discuss with you regarding this case.\Rin, what are you doing so early in the morning?\I couldn't sleep.\Is something troubling you?\I was thinking about my dad.\Your dad? Shiro? response:	Yeah.
context: Poor Brother, it looks like they have no trust in you.\Amaimon... I have plenty to discuss with you regarding this case.\Rin, what are you doing so early in the morning?\I couldn't sleep.\Is something troubling you?\I was thinking about my dad.\Your dad? Shiro?\Yeah. response:	Rin, calm down! Come here!
context: Amaimon... I have plenty to discuss with you regarding this case.\Rin, what are you doing so early in the morning?\I couldn't sleep.\Is something troubling you?\I was thinking about my dad.\Your dad? Shiro?\Yeah.\Rin, calm down! Come here! response:	Shut up! Leave me alone! Leave me alone!
context: Rin, what are you doing so early in the morning?\I couldn't sleep.\Is something troubling you?\I was thinking about my dad.\Your dad? Shiro?\Yeah.\Rin, calm down! Come here!\Shut up! Leave me alone! Leave me alone! response:	Look... Rin!
context: I couldn't sleep.\Is something troubling you?\I was thinking about my dad.\Your dad? Shiro?\Yeah.\Rin, calm down! Come here!\Shut up! Leave me alone! Leave me alone!\Look... Rin! response:	Daddy...
context: Is something troubling you?\I was thinking about my dad.\Your dad? Shiro?\Yeah.\Rin, calm down! Come here!\Shut up! Leave me alone! Leave me alone!\Look... Rin!\Daddy... response:	Do you understand what you've just done?
context: I was thinking about my dad.\Your dad? Shiro?\Yeah.\Rin, calm down! Come here!\Shut up! Leave me alone! Leave me alone!\Look... Rin!\Daddy...\Do you understand what you've just done? response:	You beat up your friends and they are suffering in a hospital now.
context: Your dad? Shiro?\Yeah.\Rin, calm down! Come here!\Shut up! Leave me alone! Leave me alone!\Look... Rin!\Daddy...\Do you understand what you've just done?\You beat up your friends and they are suffering in a hospital now. response:	They weren't my friends!
context: Yeah.\Rin, calm down! Come here!\Shut up! Leave me alone! Leave me alone!\Look... Rin!\Daddy...\Do you understand what you've just done?\You beat up your friends and they are suffering in a hospital now.\They weren't my friends! response:	What?
context: Rin, calm down! Come here!\Shut up! Leave me alone! Leave me alone!\Look... Rin!\Daddy...\Do you understand what you've just done?\You beat up your friends and they are suffering in a hospital now.\They weren't my friends!\What? response:	It's their fault!
context: Shut up! Leave me alone! Leave me alone!\Look... Rin!\Daddy...\Do you understand what you've just done?\You beat up your friends and they are suffering in a hospital now.\They weren't my friends!\What?\It's their fault! response:	They called me a demon!
context: Look... Rin!\Daddy...\Do you understand what you've just done?\You beat up your friends and they are suffering in a hospital now.\They weren't my friends!\What?\It's their fault!\They called me a demon! response:	They called me a monster and they mocked me!
context: Daddy...\Do you understand what you've just done?\You beat up your friends and they are suffering in a hospital now.\They weren't my friends!\What?\It's their fault!\They called me a demon!\They called me a monster and they mocked me! response:	It's your fault for being so violent!
context: Do you understand what you've just done?\You beat up your friends and they are suffering in a hospital now.\They weren't my friends!\What?\It's their fault!\They called me a demon!\They called me a monster and they mocked me!\It's your fault for being so violent! response:	This is dangerous...
context: You beat up your friends and they are suffering in a hospital now.\They weren't my friends!\What?\It's their fault!\They called me a demon!\They called me a monster and they mocked me!\It's your fault for being so violent!\This is dangerous... response:	How can you raise a child like that? He really looks like a demon!
context: They weren't my friends!\What?\It's their fault!\They called me a demon!\They called me a monster and they mocked me!\It's your fault for being so violent!\This is dangerous...\How can you raise a child like that? He really looks like a demon! response:	Please stand back. This is dangerous.
context: What?\It's their fault!\They called me a demon!\They called me a monster and they mocked me!\It's your fault for being so violent!\This is dangerous...\How can you raise a child like that? He really looks like a demon!\Please stand back. This is dangerous. response:	Da-Daddy...
context: It's their fault!\They called me a demon!\They called me a monster and they mocked me!\It's your fault for being so violent!\This is dangerous...\How can you raise a child like that? He really looks like a demon!\Please stand back. This is dangerous.\Da-Daddy... response:	As if! Just kidding! You got scared?
