context: Damn! I can't move! response:	Fool! You can jump or run... but you can't escape my wind!
context: Koga, what about your wound?\I'm fine now. Unlike that twerp, I'm a REAL demon!\What?!\See ya!\Who's the twerp! Hey!\Sango, Koga doesn't have his Sacred Jewel shards anymore.\He doesn't have a chance!\I understand. Kirara! Let Inuyasha down! response:	Inuyasha, lay low for a bit longer.
context: I'm fine now. Unlike that twerp, I'm a REAL demon!\What?!\See ya!\Who's the twerp! Hey!\Sango, Koga doesn't have his Sacred Jewel shards anymore.\He doesn't have a chance!\I understand. Kirara! Let Inuyasha down!\Inuyasha, lay low for a bit longer. response:	Damn! Cut out the jokes! I'm coming!
context: What?!\See ya!\Who's the twerp! Hey!\Sango, Koga doesn't have his Sacred Jewel shards anymore.\He doesn't have a chance!\I understand. Kirara! Let Inuyasha down!\Inuyasha, lay low for a bit longer.\Damn! Cut out the jokes! I'm coming! response:	Don't be hasty, Inuyasha!
context: See ya!\Who's the twerp! Hey!\Sango, Koga doesn't have his Sacred Jewel shards anymore.\He doesn't have a chance!\I understand. Kirara! Let Inuyasha down!\Inuyasha, lay low for a bit longer.\Damn! Cut out the jokes! I'm coming!\Don't be hasty, Inuyasha! response:	Poison insects are out!
context: Who's the twerp! Hey!\Sango, Koga doesn't have his Sacred Jewel shards anymore.\He doesn't have a chance!\I understand. Kirara! Let Inuyasha down!\Inuyasha, lay low for a bit longer.\Damn! Cut out the jokes! I'm coming!\Don't be hasty, Inuyasha!\Poison insects are out! response:	Naraku's making his move.
context: Sango, Koga doesn't have his Sacred Jewel shards anymore.\He doesn't have a chance!\I understand. Kirara! Let Inuyasha down!\Inuyasha, lay low for a bit longer.\Damn! Cut out the jokes! I'm coming!\Don't be hasty, Inuyasha!\Poison insects are out!\Naraku's making his move. response:	Inuyasha must not be seen in his state.
context: He doesn't have a chance!\I understand. Kirara! Let Inuyasha down!\Inuyasha, lay low for a bit longer.\Damn! Cut out the jokes! I'm coming!\Don't be hasty, Inuyasha!\Poison insects are out!\Naraku's making his move.\Inuyasha must not be seen in his state. response:	Kagura!
context: I understand. Kirara! Let Inuyasha down!\Inuyasha, lay low for a bit longer.\Damn! Cut out the jokes! I'm coming!\Don't be hasty, Inuyasha!\Poison insects are out!\Naraku's making his move.\Inuyasha must not be seen in his state.\Kagura! response:	Kagura, you!
context: Inuyasha, lay low for a bit longer.\Damn! Cut out the jokes! I'm coming!\Don't be hasty, Inuyasha!\Poison insects are out!\Naraku's making his move.\Inuyasha must not be seen in his state.\Kagura!\Kagura, you! response:	What? Koga? What do you want now?
context: Damn! Cut out the jokes! I'm coming!\Don't be hasty, Inuyasha!\Poison insects are out!\Naraku's making his move.\Inuyasha must not be seen in his state.\Kagura!\Kagura, you!\What? Koga? What do you want now? response:	Shaddup!
context: Don't be hasty, Inuyasha!\Poison insects are out!\Naraku's making his move.\Inuyasha must not be seen in his state.\Kagura!\Kagura, you!\What? Koga? What do you want now?\Shaddup! response:	I'm taking back the shards you took from me!
context: Poison insects are out!\Naraku's making his move.\Inuyasha must not be seen in his state.\Kagura!\Kagura, you!\What? Koga? What do you want now?\Shaddup!\I'm taking back the shards you took from me! response:	And you're relying on help from Inuyasha and his gang?
context: Naraku's making his move.\Inuyasha must not be seen in his state.\Kagura!\Kagura, you!\What? Koga? What do you want now?\Shaddup!\I'm taking back the shards you took from me!\And you're relying on help from Inuyasha and his gang? response:	Without these, you're too scared to fight alone?
context: Inuyasha must not be seen in his state.\Kagura!\Kagura, you!\What? Koga? What do you want now?\Shaddup!\I'm taking back the shards you took from me!\And you're relying on help from Inuyasha and his gang?\Without these, you're too scared to fight alone? response:	I'll beat Kagura alone! Don't interfere!
context: Kagura!\Kagura, you!\What? Koga? What do you want now?\Shaddup!\I'm taking back the shards you took from me!\And you're relying on help from Inuyasha and his gang?\Without these, you're too scared to fight alone?\I'll beat Kagura alone! Don't interfere! response:	What?!
context: Kagura, you!\What? Koga? What do you want now?\Shaddup!\I'm taking back the shards you took from me!\And you're relying on help from Inuyasha and his gang?\Without these, you're too scared to fight alone?\I'll beat Kagura alone! Don't interfere!\What?! response:	Don't forget! I still have my claws and fangs!
context: What? Koga? What do you want now?\Shaddup!\I'm taking back the shards you took from me!\And you're relying on help from Inuyasha and his gang?\Without these, you're too scared to fight alone?\I'll beat Kagura alone! Don't interfere!\What?!\Don't forget! I still have my claws and fangs! response:	Try it!
context: Shaddup!\I'm taking back the shards you took from me!\And you're relying on help from Inuyasha and his gang?\Without these, you're too scared to fight alone?\I'll beat Kagura alone! Don't interfere!\What?!\Don't forget! I still have my claws and fangs!\Try it! response:	Dance of Blades!
context: I'm taking back the shards you took from me!\And you're relying on help from Inuyasha and his gang?\Without these, you're too scared to fight alone?\I'll beat Kagura alone! Don't interfere!\What?!\Don't forget! I still have my claws and fangs!\Try it!\Dance of Blades! response:	Damn! Dodging's about all I can do!
context: And you're relying on help from Inuyasha and his gang?\Without these, you're too scared to fight alone?\I'll beat Kagura alone! Don't interfere!\What?!\Don't forget! I still have my claws and fangs!\Try it!\Dance of Blades!\Damn! Dodging's about all I can do! response:	I can't get close!
context: Without these, you're too scared to fight alone?\I'll beat Kagura alone! Don't interfere!\What?!\Don't forget! I still have my claws and fangs!\Try it!\Dance of Blades!\Damn! Dodging's about all I can do!\I can't get close! response:	Just hurry up and die!
context: I'll beat Kagura alone! Don't interfere!\What?!\Don't forget! I still have my claws and fangs!\Try it!\Dance of Blades!\Damn! Dodging's about all I can do!\I can't get close!\Just hurry up and die! response:	I don't have the time to bother with YOU!
context: What?!\Don't forget! I still have my claws and fangs!\Try it!\Dance of Blades!\Damn! Dodging's about all I can do!\I can't get close!\Just hurry up and die!\I don't have the time to bother with YOU! response:	Koga!
context: Don't forget! I still have my claws and fangs!\Try it!\Dance of Blades!\Damn! Dodging's about all I can do!\I can't get close!\Just hurry up and die!\I don't have the time to bother with YOU!\Koga! response:	Don't come!
context: Try it!\Dance of Blades!\Damn! Dodging's about all I can do!\I can't get close!\Just hurry up and die!\I don't have the time to bother with YOU!\Koga!\Don't come! response:	You're a pesky one!
context: Dance of Blades!\Damn! Dodging's about all I can do!\I can't get close!\Just hurry up and die!\I don't have the time to bother with YOU!\Koga!\Don't come!\You're a pesky one! response:	If you want to be free,
context: Damn! Dodging's about all I can do!\I can't get close!\Just hurry up and die!\I don't have the time to bother with YOU!\Koga!\Don't come!\You're a pesky one!\If you want to be free, response:	use the Sacred Jewel shards and destroy Naraku yourself.
context: I can't get close!\Just hurry up and die!\I don't have the time to bother with YOU!\Koga!\Don't come!\You're a pesky one!\If you want to be free,\use the Sacred Jewel shards and destroy Naraku yourself. response:	Humph! All right...
context: Just hurry up and die!\I don't have the time to bother with YOU!\Koga!\Don't come!\You're a pesky one!\If you want to be free,\use the Sacred Jewel shards and destroy Naraku yourself.\Humph! All right... response:	Damn!
context: I don't have the time to bother with YOU!\Koga!\Don't come!\You're a pesky one!\If you want to be free,\use the Sacred Jewel shards and destroy Naraku yourself.\Humph! All right...\Damn! response:	I will use them.
context: Koga!\Don't come!\You're a pesky one!\If you want to be free,\use the Sacred Jewel shards and destroy Naraku yourself.\Humph! All right...\Damn!\I will use them. response:	What? It's not even a fight!
context: Don't come!\You're a pesky one!\If you want to be free,\use the Sacred Jewel shards and destroy Naraku yourself.\Humph! All right...\Damn!\I will use them.\What? It's not even a fight! response:	Naraku's demons!
context: You're a pesky one!\If you want to be free,\use the Sacred Jewel shards and destroy Naraku yourself.\Humph! All right...\Damn!\I will use them.\What? It's not even a fight!\Naraku's demons! response:	Naraku...
context: If you want to be free,\use the Sacred Jewel shards and destroy Naraku yourself.\Humph! All right...\Damn!\I will use them.\What? It's not even a fight!\Naraku's demons!\Naraku... response:	He always sends so many!
context: use the Sacred Jewel shards and destroy Naraku yourself.\Humph! All right...\Damn!\I will use them.\What? It's not even a fight!\Naraku's demons!\Naraku...\He always sends so many! response:	Naraku hasn't realized that I tried to betray him?
context: Humph! All right...\Damn!\I will use them.\What? It's not even a fight!\Naraku's demons!\Naraku...\He always sends so many!\Naraku hasn't realized that I tried to betray him? response:	Or...
context: Damn!\I will use them.\What? It's not even a fight!\Naraku's demons!\Naraku...\He always sends so many!\Naraku hasn't realized that I tried to betray him?\Or... response:	Does he intend to get rid of me?
context: I will use them.\What? It's not even a fight!\Naraku's demons!\Naraku...\He always sends so many!\Naraku hasn't realized that I tried to betray him?\Or...\Does he intend to get rid of me? response:	What're you standing in a daze for?!
context: What? It's not even a fight!\Naraku's demons!\Naraku...\He always sends so many!\Naraku hasn't realized that I tried to betray him?\Or...\Does he intend to get rid of me?\What're you standing in a daze for?! response:	Die!
context: Naraku's demons!\Naraku...\He always sends so many!\Naraku hasn't realized that I tried to betray him?\Or...\Does he intend to get rid of me?\What're you standing in a daze for?!\Die! response:	The Sacred Jewel shards!
context: Naraku...\He always sends so many!\Naraku hasn't realized that I tried to betray him?\Or...\Does he intend to get rid of me?\What're you standing in a daze for?!\Die!\The Sacred Jewel shards! response:	Mine!
context: He always sends so many!\Naraku hasn't realized that I tried to betray him?\Or...\Does he intend to get rid of me?\What're you standing in a daze for?!\Die!\The Sacred Jewel shards!\Mine! response:	Dance of the Dragon!
context: Naraku hasn't realized that I tried to betray him?\Or...\Does he intend to get rid of me?\What're you standing in a daze for?!\Die!\The Sacred Jewel shards!\Mine!\Dance of the Dragon! response:	That Koga! He can't even fight!
context: Or...\Does he intend to get rid of me?\What're you standing in a daze for?!\Die!\The Sacred Jewel shards!\Mine!\Dance of the Dragon!\That Koga! He can't even fight! response:	He'll be killed unless we help him!
context: Does he intend to get rid of me?\What're you standing in a daze for?!\Die!\The Sacred Jewel shards!\Mine!\Dance of the Dragon!\That Koga! He can't even fight!\He'll be killed unless we help him! response:	Hey, Miroku!
context: What're you standing in a daze for?!\Die!\The Sacred Jewel shards!\Mine!\Dance of the Dragon!\That Koga! He can't even fight!\He'll be killed unless we help him!\Hey, Miroku! response:	Don't try to stop me!
context: Die!\The Sacred Jewel shards!\Mine!\Dance of the Dragon!\That Koga! He can't even fight!\He'll be killed unless we help him!\Hey, Miroku!\Don't try to stop me! response:	You want to save Koga?
context: The Sacred Jewel shards!\Mine!\Dance of the Dragon!\That Koga! He can't even fight!\He'll be killed unless we help him!\Hey, Miroku!\Don't try to stop me!\You want to save Koga? response:	Don't be silly! l just want the Sacred Jewel shards!
context: Mine!\Dance of the Dragon!\That Koga! He can't even fight!\He'll be killed unless we help him!\Hey, Miroku!\Don't try to stop me!\You want to save Koga?\Don't be silly! l just want the Sacred Jewel shards! response:	If Koga is killed and this battle ends,
context: Dance of the Dragon!\That Koga! He can't even fight!\He'll be killed unless we help him!\Hey, Miroku!\Don't try to stop me!\You want to save Koga?\Don't be silly! l just want the Sacred Jewel shards!\If Koga is killed and this battle ends, response:	Kagura will make her escape again!
context: That Koga! He can't even fight!\He'll be killed unless we help him!\Hey, Miroku!\Don't try to stop me!\You want to save Koga?\Don't be silly! l just want the Sacred Jewel shards!\If Koga is killed and this battle ends,\Kagura will make her escape again! response:	I can't just stand around and watch!
context: He'll be killed unless we help him!\Hey, Miroku!\Don't try to stop me!\You want to save Koga?\Don't be silly! l just want the Sacred Jewel shards!\If Koga is killed and this battle ends,\Kagura will make her escape again!\I can't just stand around and watch! response:	Wait! No, Inuyasha!
context: Hey, Miroku!\Don't try to stop me!\You want to save Koga?\Don't be silly! l just want the Sacred Jewel shards!\If Koga is killed and this battle ends,\Kagura will make her escape again!\I can't just stand around and watch!\Wait! No, Inuyasha! response:	Stop, Inuyasha!
context: Don't try to stop me!\You want to save Koga?\Don't be silly! l just want the Sacred Jewel shards!\If Koga is killed and this battle ends,\Kagura will make her escape again!\I can't just stand around and watch!\Wait! No, Inuyasha!\Stop, Inuyasha! response:	Inuyasha? Why?!
context: You want to save Koga?\Don't be silly! l just want the Sacred Jewel shards!\If Koga is killed and this battle ends,\Kagura will make her escape again!\I can't just stand around and watch!\Wait! No, Inuyasha!\Stop, Inuyasha!\Inuyasha? Why?! response:	Day is breaking! Inuyasha will return to his half-demon state!
context: Don't be silly! l just want the Sacred Jewel shards!\If Koga is killed and this battle ends,\Kagura will make her escape again!\I can't just stand around and watch!\Wait! No, Inuyasha!\Stop, Inuyasha!\Inuyasha? Why?!\Day is breaking! Inuyasha will return to his half-demon state! response:	But if he's seen before that...
context: If Koga is killed and this battle ends,\Kagura will make her escape again!\I can't just stand around and watch!\Wait! No, Inuyasha!\Stop, Inuyasha!\Inuyasha? Why?!\Day is breaking! Inuyasha will return to his half-demon state!\But if he's seen before that... response:	Kagome... Miroku... Sango!
context: Kagura will make her escape again!\I can't just stand around and watch!\Wait! No, Inuyasha!\Stop, Inuyasha!\Inuyasha? Why?!\Day is breaking! Inuyasha will return to his half-demon state!\But if he's seen before that...\Kagome... Miroku... Sango! response:	You're all mere mortals, yet you've fought hard!
context: I can't just stand around and watch!\Wait! No, Inuyasha!\Stop, Inuyasha!\Inuyasha? Why?!\Day is breaking! Inuyasha will return to his half-demon state!\But if he's seen before that...\Kagome... Miroku... Sango!\You're all mere mortals, yet you've fought hard! response:	Isn't that because you believed in your own power?
context: Wait! No, Inuyasha!\Stop, Inuyasha!\Inuyasha? Why?!\Day is breaking! Inuyasha will return to his half-demon state!\But if he's seen before that...\Kagome... Miroku... Sango!\You're all mere mortals, yet you've fought hard!\Isn't that because you believed in your own power? response:	Well, as if I can hold back!
context: Stop, Inuyasha!\Inuyasha? Why?!\Day is breaking! Inuyasha will return to his half-demon state!\But if he's seen before that...\Kagome... Miroku... Sango!\You're all mere mortals, yet you've fought hard!\Isn't that because you believed in your own power?\Well, as if I can hold back! response:	Koga, you're a glutton for punishment, aren't you?
context: Inuyasha? Why?!\Day is breaking! Inuyasha will return to his half-demon state!\But if he's seen before that...\Kagome... Miroku... Sango!\You're all mere mortals, yet you've fought hard!\Isn't that because you believed in your own power?\Well, as if I can hold back!\Koga, you're a glutton for punishment, aren't you? response:	Why don't you just give up?
context: Day is breaking! Inuyasha will return to his half-demon state!\But if he's seen before that...\Kagome... Miroku... Sango!\You're all mere mortals, yet you've fought hard!\Isn't that because you believed in your own power?\Well, as if I can hold back!\Koga, you're a glutton for punishment, aren't you?\Why don't you just give up? response:	Koga!
context: But if he's seen before that...\Kagome... Miroku... Sango!\You're all mere mortals, yet you've fought hard!\Isn't that because you believed in your own power?\Well, as if I can hold back!\Koga, you're a glutton for punishment, aren't you?\Why don't you just give up?\Koga! response:	Koga!
context: Kagome... Miroku... Sango!\You're all mere mortals, yet you've fought hard!\Isn't that because you believed in your own power?\Well, as if I can hold back!\Koga, you're a glutton for punishment, aren't you?\Why don't you just give up?\Koga!\Koga! response:	It's done.
context: You're all mere mortals, yet you've fought hard!\Isn't that because you believed in your own power?\Well, as if I can hold back!\Koga, you're a glutton for punishment, aren't you?\Why don't you just give up?\Koga!\Koga!\It's done. response:	Huh?!
context: Isn't that because you believed in your own power?\Well, as if I can hold back!\Koga, you're a glutton for punishment, aren't you?\Why don't you just give up?\Koga!\Koga!\It's done.\Huh?! response:	Kagura...
context: Well, as if I can hold back!\Koga, you're a glutton for punishment, aren't you?\Why don't you just give up?\Koga!\Koga!\It's done.\Huh?!\Kagura... response:	It's really not much fun killing a half-dead wolf, is it?
context: Koga, you're a glutton for punishment, aren't you?\Why don't you just give up?\Koga!\Koga!\It's done.\Huh?!\Kagura...\It's really not much fun killing a half-dead wolf, is it? response:	Inuyasha?
context: Why don't you just give up?\Koga!\Koga!\It's done.\Huh?!\Kagura...\It's really not much fun killing a half-dead wolf, is it?\Inuyasha? response:	I'll take you on now!
context: Koga!\Koga!\It's done.\Huh?!\Kagura...\It's really not much fun killing a half-dead wolf, is it?\Inuyasha?\I'll take you on now! response:	I know I saw it. For a moment, I saw Inuyasha...
context: Koga!\It's done.\Huh?!\Kagura...\It's really not much fun killing a half-dead wolf, is it?\Inuyasha?\I'll take you on now!\I know I saw it. For a moment, I saw Inuyasha... response:	Do you think Kagura saw Inuyasha in his human state?
context: It's done.\Huh?!\Kagura...\It's really not much fun killing a half-dead wolf, is it?\Inuyasha?\I'll take you on now!\I know I saw it. For a moment, I saw Inuyasha...\Do you think Kagura saw Inuyasha in his human state? response:	Uh-huh...
context: Huh?!\Kagura...\It's really not much fun killing a half-dead wolf, is it?\Inuyasha?\I'll take you on now!\I know I saw it. For a moment, I saw Inuyasha...\Do you think Kagura saw Inuyasha in his human state?\Uh-huh... response:	That Inuyasha!
context: Kagura...\It's really not much fun killing a half-dead wolf, is it?\Inuyasha?\I'll take you on now!\I know I saw it. For a moment, I saw Inuyasha...\Do you think Kagura saw Inuyasha in his human state?\Uh-huh...\That Inuyasha! response:	Is he crazy? Bursting in like that?
context: It's really not much fun killing a half-dead wolf, is it?\Inuyasha?\I'll take you on now!\I know I saw it. For a moment, I saw Inuyasha...\Do you think Kagura saw Inuyasha in his human state?\Uh-huh...\That Inuyasha!\Is he crazy? Bursting in like that? response:	A second later, and Koga, you'd've been killed by Kagura's wind.
context: Inuyasha?\I'll take you on now!\I know I saw it. For a moment, I saw Inuyasha...\Do you think Kagura saw Inuyasha in his human state?\Uh-huh...\That Inuyasha!\Is he crazy? Bursting in like that?\A second later, and Koga, you'd've been killed by Kagura's wind. response:	What a laugh!
context: I'll take you on now!\I know I saw it. For a moment, I saw Inuyasha...\Do you think Kagura saw Inuyasha in his human state?\Uh-huh...\That Inuyasha!\Is he crazy? Bursting in like that?\A second later, and Koga, you'd've been killed by Kagura's wind.\What a laugh! response:	He came to save me...
context: I know I saw it. For a moment, I saw Inuyasha...\Do you think Kagura saw Inuyasha in his human state?\Uh-huh...\That Inuyasha!\Is he crazy? Bursting in like that?\A second later, and Koga, you'd've been killed by Kagura's wind.\What a laugh!\He came to save me... response:	knowing that his secret would be revealed.
context: Do you think Kagura saw Inuyasha in his human state?\Uh-huh...\That Inuyasha!\Is he crazy? Bursting in like that?\A second later, and Koga, you'd've been killed by Kagura's wind.\What a laugh!\He came to save me...\knowing that his secret would be revealed. response:	I see! There was no moon last night.
context: Uh-huh...\That Inuyasha!\Is he crazy? Bursting in like that?\A second later, and Koga, you'd've been killed by Kagura's wind.\What a laugh!\He came to save me...\knowing that his secret would be revealed.\I see! There was no moon last night. response:	So you lose your powers on a moonless night?
context: That Inuyasha!\Is he crazy? Bursting in like that?\A second later, and Koga, you'd've been killed by Kagura's wind.\What a laugh!\He came to save me...\knowing that his secret would be revealed.\I see! There was no moon last night.\So you lose your powers on a moonless night? response:	So what? I'm back so it doesn't matter!
context: Is he crazy? Bursting in like that?\A second later, and Koga, you'd've been killed by Kagura's wind.\What a laugh!\He came to save me...\knowing that his secret would be revealed.\I see! There was no moon last night.\So you lose your powers on a moonless night?\So what? I'm back so it doesn't matter! response:	It sure doesn't matter.
context: A second later, and Koga, you'd've been killed by Kagura's wind.\What a laugh!\He came to save me...\knowing that his secret would be revealed.\I see! There was no moon last night.\So you lose your powers on a moonless night?\So what? I'm back so it doesn't matter!\It sure doesn't matter. response:	'Cuz you're gonna die right here and now!
context: What a laugh!\He came to save me...\knowing that his secret would be revealed.\I see! There was no moon last night.\So you lose your powers on a moonless night?\So what? I'm back so it doesn't matter!\It sure doesn't matter.\'Cuz you're gonna die right here and now! response:	Dance of the Dragon!
context: He came to save me...\knowing that his secret would be revealed.\I see! There was no moon last night.\So you lose your powers on a moonless night?\So what? I'm back so it doesn't matter!\It sure doesn't matter.\'Cuz you're gonna die right here and now!\Dance of the Dragon! response:	Wind Scar!
context: knowing that his secret would be revealed.\I see! There was no moon last night.\So you lose your powers on a moonless night?\So what? I'm back so it doesn't matter!\It sure doesn't matter.\'Cuz you're gonna die right here and now!\Dance of the Dragon!\Wind Scar! response:	What?! He cut through my whirlpool!
context: I see! There was no moon last night.\So you lose your powers on a moonless night?\So what? I'm back so it doesn't matter!\It sure doesn't matter.\'Cuz you're gonna die right here and now!\Dance of the Dragon!\Wind Scar!\What?! He cut through my whirlpool! response:	Amazing!
context: So you lose your powers on a moonless night?\So what? I'm back so it doesn't matter!\It sure doesn't matter.\'Cuz you're gonna die right here and now!\Dance of the Dragon!\Wind Scar!\What?! He cut through my whirlpool!\Amazing! response:	I cannot dodge him! He's going to get me!
context: So what? I'm back so it doesn't matter!\It sure doesn't matter.\'Cuz you're gonna die right here and now!\Dance of the Dragon!\Wind Scar!\What?! He cut through my whirlpool!\Amazing!\I cannot dodge him! He's going to get me! response:	Naraku's demons!
context: It sure doesn't matter.\'Cuz you're gonna die right here and now!\Dance of the Dragon!\Wind Scar!\What?! He cut through my whirlpool!\Amazing!\I cannot dodge him! He's going to get me!\Naraku's demons! response:	They acted as shields.
context: 'Cuz you're gonna die right here and now!\Dance of the Dragon!\Wind Scar!\What?! He cut through my whirlpool!\Amazing!\I cannot dodge him! He's going to get me!\Naraku's demons!\They acted as shields. response:	That Kagura! She escaped!
context: Dance of the Dragon!\Wind Scar!\What?! He cut through my whirlpool!\Amazing!\I cannot dodge him! He's going to get me!\Naraku's demons!\They acted as shields.\That Kagura! She escaped! response:	Hey, you puny wolf!
context: Wind Scar!\What?! He cut through my whirlpool!\Amazing!\I cannot dodge him! He's going to get me!\Naraku's demons!\They acted as shields.\That Kagura! She escaped!\Hey, you puny wolf! response:	I hope this teaches you never to interfere in my fight with Naraku!
context: What?! He cut through my whirlpool!\Amazing!\I cannot dodge him! He's going to get me!\Naraku's demons!\They acted as shields.\That Kagura! She escaped!\Hey, you puny wolf!\I hope this teaches you never to interfere in my fight with Naraku! response:	Found it! My Sacred Jewel shards!
context: Amazing!\I cannot dodge him! He's going to get me!\Naraku's demons!\They acted as shields.\That Kagura! She escaped!\Hey, you puny wolf!\I hope this teaches you never to interfere in my fight with Naraku!\Found it! My Sacred Jewel shards! response:	Hey! Give it here!
context: I cannot dodge him! He's going to get me!\Naraku's demons!\They acted as shields.\That Kagura! She escaped!\Hey, you puny wolf!\I hope this teaches you never to interfere in my fight with Naraku!\Found it! My Sacred Jewel shards!\Hey! Give it here! response:	No way!
context: Naraku's demons!\They acted as shields.\That Kagura! She escaped!\Hey, you puny wolf!\I hope this teaches you never to interfere in my fight with Naraku!\Found it! My Sacred Jewel shards!\Hey! Give it here!\No way! response:	Remember this, mutt!
context: They acted as shields.\That Kagura! She escaped!\Hey, you puny wolf!\I hope this teaches you never to interfere in my fight with Naraku!\Found it! My Sacred Jewel shards!\Hey! Give it here!\No way!\Remember this, mutt! response:	I've sworn to avenge my comrades against Naraku!
context: That Kagura! She escaped!\Hey, you puny wolf!\I hope this teaches you never to interfere in my fight with Naraku!\Found it! My Sacred Jewel shards!\Hey! Give it here!\No way!\Remember this, mutt!\I've sworn to avenge my comrades against Naraku! response:	I'll be the one to take Naraku's head! Don't forget that!
context: Hey, you puny wolf!\I hope this teaches you never to interfere in my fight with Naraku!\Found it! My Sacred Jewel shards!\Hey! Give it here!\No way!\Remember this, mutt!\I've sworn to avenge my comrades against Naraku!\I'll be the one to take Naraku's head! Don't forget that! response:	Wait, Koga!
context: I hope this teaches you never to interfere in my fight with Naraku!\Found it! My Sacred Jewel shards!\Hey! Give it here!\No way!\Remember this, mutt!\I've sworn to avenge my comrades against Naraku!\I'll be the one to take Naraku's head! Don't forget that!\Wait, Koga! response:	What you saw last night... About Inuyasha...
context: Found it! My Sacred Jewel shards!\Hey! Give it here!\No way!\Remember this, mutt!\I've sworn to avenge my comrades against Naraku!\I'll be the one to take Naraku's head! Don't forget that!\Wait, Koga!\What you saw last night... About Inuyasha... response:	Please don't tell!
context: Hey! Give it here!\No way!\Remember this, mutt!\I've sworn to avenge my comrades against Naraku!\I'll be the one to take Naraku's head! Don't forget that!\Wait, Koga!\What you saw last night... About Inuyasha...\Please don't tell! response:	Don't worry.
context: No way!\Remember this, mutt!\I've sworn to avenge my comrades against Naraku!\I'll be the one to take Naraku's head! Don't forget that!\Wait, Koga!\What you saw last night... About Inuyasha...\Please don't tell!\Don't worry. response:	I could care less what shape that mutt takes.
context: Remember this, mutt!\I've sworn to avenge my comrades against Naraku!\I'll be the one to take Naraku's head! Don't forget that!\Wait, Koga!\What you saw last night... About Inuyasha...\Please don't tell!\Don't worry.\I could care less what shape that mutt takes. response:	Does that mean he won't tell?
context: I've sworn to avenge my comrades against Naraku!\I'll be the one to take Naraku's head! Don't forget that!\Wait, Koga!\What you saw last night... About Inuyasha...\Please don't tell!\Don't worry.\I could care less what shape that mutt takes.\Does that mean he won't tell? response:	I think we can count on Koga.
context: I'll be the one to take Naraku's head! Don't forget that!\Wait, Koga!\What you saw last night... About Inuyasha...\Please don't tell!\Don't worry.\I could care less what shape that mutt takes.\Does that mean he won't tell?\I think we can count on Koga. response:	The problem is Kagura.
context: Wait, Koga!\What you saw last night... About Inuyasha...\Please don't tell!\Don't worry.\I could care less what shape that mutt takes.\Does that mean he won't tell?\I think we can count on Koga.\The problem is Kagura. response:	Naraku doesn't know about my treachery.
context: What you saw last night... About Inuyasha...\Please don't tell!\Don't worry.\I could care less what shape that mutt takes.\Does that mean he won't tell?\I think we can count on Koga.\The problem is Kagura.\Naraku doesn't know about my treachery. response:	That's why he used the demons to save me.
context: Please don't tell!\Don't worry.\I could care less what shape that mutt takes.\Does that mean he won't tell?\I think we can count on Koga.\The problem is Kagura.\Naraku doesn't know about my treachery.\That's why he used the demons to save me. response:	Kanna... Where is she going?
context: Don't worry.\I could care less what shape that mutt takes.\Does that mean he won't tell?\I think we can count on Koga.\The problem is Kagura.\Naraku doesn't know about my treachery.\That's why he used the demons to save me.\Kanna... Where is she going? response:	A cellar beneath the cellar?
context: I could care less what shape that mutt takes.\Does that mean he won't tell?\I think we can count on Koga.\The problem is Kagura.\Naraku doesn't know about my treachery.\That's why he used the demons to save me.\Kanna... Where is she going?\A cellar beneath the cellar? response:	Kagura... Was it fun outside?
context: Does that mean he won't tell?\I think we can count on Koga.\The problem is Kagura.\Naraku doesn't know about my treachery.\That's why he used the demons to save me.\Kanna... Where is she going?\A cellar beneath the cellar?\Kagura... Was it fun outside? response:	These bodies...
context: I think we can count on Koga.\The problem is Kagura.\Naraku doesn't know about my treachery.\That's why he used the demons to save me.\Kanna... Where is she going?\A cellar beneath the cellar?\Kagura... Was it fun outside?\These bodies... response:	Naraku nourishes his body with these demons...
context: The problem is Kagura.\Naraku doesn't know about my treachery.\That's why he used the demons to save me.\Kanna... Where is she going?\A cellar beneath the cellar?\Kagura... Was it fun outside?\These bodies...\Naraku nourishes his body with these demons... response:	I see!
context: Naraku doesn't know about my treachery.\That's why he used the demons to save me.\Kanna... Where is she going?\A cellar beneath the cellar?\Kagura... Was it fun outside?\These bodies...\Naraku nourishes his body with these demons...\I see! response:	Like Inuyasha, Naraku is a half-demon!
context: That's why he used the demons to save me.\Kanna... Where is she going?\A cellar beneath the cellar?\Kagura... Was it fun outside?\These bodies...\Naraku nourishes his body with these demons...\I see!\Like Inuyasha, Naraku is a half-demon! response:	Kagura...
context: Kanna... Where is she going?\A cellar beneath the cellar?\Kagura... Was it fun outside?\These bodies...\Naraku nourishes his body with these demons...\I see!\Like Inuyasha, Naraku is a half-demon!\Kagura... response:	While I slept, you left the castle, didn't you?
context: A cellar beneath the cellar?\Kagura... Was it fun outside?\These bodies...\Naraku nourishes his body with these demons...\I see!\Like Inuyasha, Naraku is a half-demon!\Kagura...\While I slept, you left the castle, didn't you? response:	Kagura... You are a part of me.
context: Kagura... Was it fun outside?\These bodies...\Naraku nourishes his body with these demons...\I see!\Like Inuyasha, Naraku is a half-demon!\Kagura...\While I slept, you left the castle, didn't you?\Kagura... You are a part of me. response:	Would you like to return to my flesh again?
