context: Let's see... My dear Dark Kingdom, response:	as of today, I, Sailor Moon
context: Excuse me...\That's right! Where's the monster?!\I think she left during that commotion.\Oh...\Excuse me...\Yes?\Could you help us?\Sorry about that! response:	So, the burglar got away, too.
context: That's right! Where's the monster?!\I think she left during that commotion.\Oh...\Excuse me...\Yes?\Could you help us?\Sorry about that!\So, the burglar got away, too. response:	Oh, really?
context: I think she left during that commotion.\Oh...\Excuse me...\Yes?\Could you help us?\Sorry about that!\So, the burglar got away, too.\Oh, really? response:	It was just weird.
context: Oh...\Excuse me...\Yes?\Could you help us?\Sorry about that!\So, the burglar got away, too.\Oh, really?\It was just weird. response:	What was?
context: Excuse me...\Yes?\Could you help us?\Sorry about that!\So, the burglar got away, too.\Oh, really?\It was just weird.\What was? response:	It seems Sailor Moon and the other warriors are fighting.
context: Yes?\Could you help us?\Sorry about that!\So, the burglar got away, too.\Oh, really?\It was just weird.\What was?\It seems Sailor Moon and the other warriors are fighting. response:	No way! I don't know about the other warriors,
context: Could you help us?\Sorry about that!\So, the burglar got away, too.\Oh, really?\It was just weird.\What was?\It seems Sailor Moon and the other warriors are fighting.\No way! I don't know about the other warriors, response:	but Sailor Moon is cute and sweet!
context: Sorry about that!\So, the burglar got away, too.\Oh, really?\It was just weird.\What was?\It seems Sailor Moon and the other warriors are fighting.\No way! I don't know about the other warriors,\but Sailor Moon is cute and sweet! response:	There's no way she'd have a fight with them.
context: So, the burglar got away, too.\Oh, really?\It was just weird.\What was?\It seems Sailor Moon and the other warriors are fighting.\No way! I don't know about the other warriors,\but Sailor Moon is cute and sweet!\There's no way she'd have a fight with them. response:	You think so?
context: Oh, really?\It was just weird.\What was?\It seems Sailor Moon and the other warriors are fighting.\No way! I don't know about the other warriors,\but Sailor Moon is cute and sweet!\There's no way she'd have a fight with them.\You think so? response:	Of course!
context: It was just weird.\What was?\It seems Sailor Moon and the other warriors are fighting.\No way! I don't know about the other warriors,\but Sailor Moon is cute and sweet!\There's no way she'd have a fight with them.\You think so?\Of course! response:	Say...
context: What was?\It seems Sailor Moon and the other warriors are fighting.\No way! I don't know about the other warriors,\but Sailor Moon is cute and sweet!\There's no way she'd have a fight with them.\You think so?\Of course!\Say... response:	Oh?! You're from yesterday's...
context: It seems Sailor Moon and the other warriors are fighting.\No way! I don't know about the other warriors,\but Sailor Moon is cute and sweet!\There's no way she'd have a fight with them.\You think so?\Of course!\Say...\Oh?! You're from yesterday's... response:	Tell me more about what you were just talking about! Oh?! You're from yesterday's...
context: No way! I don't know about the other warriors,\but Sailor Moon is cute and sweet!\There's no way she'd have a fight with them.\You think so?\Of course!\Say...\Oh?! You're from yesterday's...\Tell me more about what you were just talking about! Oh?! You're from yesterday's... response:	Tell me more about what you were just talking about!
context: but Sailor Moon is cute and sweet!\There's no way she'd have a fight with them.\You think so?\Of course!\Say...\Oh?! You're from yesterday's...\Tell me more about what you were just talking about! Oh?! You're from yesterday's...\Tell me more about what you were just talking about! response:	Oh, shoot.
context: There's no way she'd have a fight with them.\You think so?\Of course!\Say...\Oh?! You're from yesterday's...\Tell me more about what you were just talking about! Oh?! You're from yesterday's...\Tell me more about what you were just talking about!\Oh, shoot. response:	Oh, that's right, I should introduce myself.
context: You think so?\Of course!\Say...\Oh?! You're from yesterday's...\Tell me more about what you were just talking about! Oh?! You're from yesterday's...\Tell me more about what you were just talking about!\Oh, shoot.\Oh, that's right, I should introduce myself. response:	My name is Nana Asahina and I'm a freelance reporter!
context: Of course!\Say...\Oh?! You're from yesterday's...\Tell me more about what you were just talking about! Oh?! You're from yesterday's...\Tell me more about what you were just talking about!\Oh, shoot.\Oh, that's right, I should introduce myself.\My name is Nana Asahina and I'm a freelance reporter! response:	Nice meet you!
context: Say...\Oh?! You're from yesterday's...\Tell me more about what you were just talking about! Oh?! You're from yesterday's...\Tell me more about what you were just talking about!\Oh, shoot.\Oh, that's right, I should introduce myself.\My name is Nana Asahina and I'm a freelance reporter!\Nice meet you! response:	So, you guys seem pretty close to Sailor Moon.
context: Oh?! You're from yesterday's...\Tell me more about what you were just talking about! Oh?! You're from yesterday's...\Tell me more about what you were just talking about!\Oh, shoot.\Oh, that's right, I should introduce myself.\My name is Nana Asahina and I'm a freelance reporter!\Nice meet you!\So, you guys seem pretty close to Sailor Moon. response:	What?
context: Tell me more about what you were just talking about! Oh?! You're from yesterday's...\Tell me more about what you were just talking about!\Oh, shoot.\Oh, that's right, I should introduce myself.\My name is Nana Asahina and I'm a freelance reporter!\Nice meet you!\So, you guys seem pretty close to Sailor Moon.\What? response:	Just a little...
context: Tell me more about what you were just talking about!\Oh, shoot.\Oh, that's right, I should introduce myself.\My name is Nana Asahina and I'm a freelance reporter!\Nice meet you!\So, you guys seem pretty close to Sailor Moon.\What?\Just a little... response:	Why wouldn't Sailor Moon be having a fight?
context: Oh, shoot.\Oh, that's right, I should introduce myself.\My name is Nana Asahina and I'm a freelance reporter!\Nice meet you!\So, you guys seem pretty close to Sailor Moon.\What?\Just a little...\Why wouldn't Sailor Moon be having a fight? response:	Do you have any basis for believing that?
context: Oh, that's right, I should introduce myself.\My name is Nana Asahina and I'm a freelance reporter!\Nice meet you!\So, you guys seem pretty close to Sailor Moon.\What?\Just a little...\Why wouldn't Sailor Moon be having a fight?\Do you have any basis for believing that? response:	Naru!
context: My name is Nana Asahina and I'm a freelance reporter!\Nice meet you!\So, you guys seem pretty close to Sailor Moon.\What?\Just a little...\Why wouldn't Sailor Moon be having a fight?\Do you have any basis for believing that?\Naru! response:	I hear you've been saved by Sailor Moon many times!
context: Nice meet you!\So, you guys seem pretty close to Sailor Moon.\What?\Just a little...\Why wouldn't Sailor Moon be having a fight?\Do you have any basis for believing that?\Naru!\I hear you've been saved by Sailor Moon many times! response:	Usagi...
context: So, you guys seem pretty close to Sailor Moon.\What?\Just a little...\Why wouldn't Sailor Moon be having a fight?\Do you have any basis for believing that?\Naru!\I hear you've been saved by Sailor Moon many times!\Usagi... response:	Did you talk to Sailor Moon about anything last night?
context: What?\Just a little...\Why wouldn't Sailor Moon be having a fight?\Do you have any basis for believing that?\Naru!\I hear you've been saved by Sailor Moon many times!\Usagi...\Did you talk to Sailor Moon about anything last night? response:	Did she say any nasty things about the other warriors?
context: Just a little...\Why wouldn't Sailor Moon be having a fight?\Do you have any basis for believing that?\Naru!\I hear you've been saved by Sailor Moon many times!\Usagi...\Did you talk to Sailor Moon about anything last night?\Did she say any nasty things about the other warriors? response:	I'm in a hurry, so...
context: Why wouldn't Sailor Moon be having a fight?\Do you have any basis for believing that?\Naru!\I hear you've been saved by Sailor Moon many times!\Usagi...\Did you talk to Sailor Moon about anything last night?\Did she say any nasty things about the other warriors?\I'm in a hurry, so... response:	Wait up, Usagi! Hey, that wasn't fair!
context: Do you have any basis for believing that?\Naru!\I hear you've been saved by Sailor Moon many times!\Usagi...\Did you talk to Sailor Moon about anything last night?\Did she say any nasty things about the other warriors?\I'm in a hurry, so...\Wait up, Usagi! Hey, that wasn't fair! response:	If something happens, just give me a call!
context: Naru!\I hear you've been saved by Sailor Moon many times!\Usagi...\Did you talk to Sailor Moon about anything last night?\Did she say any nasty things about the other warriors?\I'm in a hurry, so...\Wait up, Usagi! Hey, that wasn't fair!\If something happens, just give me a call! response:	She's way too persistent!
context: I hear you've been saved by Sailor Moon many times!\Usagi...\Did you talk to Sailor Moon about anything last night?\Did she say any nasty things about the other warriors?\I'm in a hurry, so...\Wait up, Usagi! Hey, that wasn't fair!\If something happens, just give me a call!\She's way too persistent! response:	What's the square root of two?!
context: Usagi...\Did you talk to Sailor Moon about anything last night?\Did she say any nasty things about the other warriors?\I'm in a hurry, so...\Wait up, Usagi! Hey, that wasn't fair!\If something happens, just give me a call!\She's way too persistent!\What's the square root of two?! response:	That hurt! Mars kicked me for real!
context: Did you talk to Sailor Moon about anything last night?\Did she say any nasty things about the other warriors?\I'm in a hurry, so...\Wait up, Usagi! Hey, that wasn't fair!\If something happens, just give me a call!\She's way too persistent!\What's the square root of two?!\That hurt! Mars kicked me for real! response:	If we don't do this seriously, it won't be good practice!
context: Did she say any nasty things about the other warriors?\I'm in a hurry, so...\Wait up, Usagi! Hey, that wasn't fair!\If something happens, just give me a call!\She's way too persistent!\What's the square root of two?!\That hurt! Mars kicked me for real!\If we don't do this seriously, it won't be good practice! response:	But... But that kick was full of hatred!
context: I'm in a hurry, so...\Wait up, Usagi! Hey, that wasn't fair!\If something happens, just give me a call!\She's way too persistent!\What's the square root of two?!\That hurt! Mars kicked me for real!\If we don't do this seriously, it won't be good practice!\But... But that kick was full of hatred! response:	What?!
context: Wait up, Usagi! Hey, that wasn't fair!\If something happens, just give me a call!\She's way too persistent!\What's the square root of two?!\That hurt! Mars kicked me for real!\If we don't do this seriously, it won't be good practice!\But... But that kick was full of hatred!\What?! response:	Mars, I hope you're not...
context: If something happens, just give me a call!\She's way too persistent!\What's the square root of two?!\That hurt! Mars kicked me for real!\If we don't do this seriously, it won't be good practice!\But... But that kick was full of hatred!\What?!\Mars, I hope you're not... response:	What are you looking at me like that for?!
context: She's way too persistent!\What's the square root of two?!\That hurt! Mars kicked me for real!\If we don't do this seriously, it won't be good practice!\But... But that kick was full of hatred!\What?!\Mars, I hope you're not...\What are you looking at me like that for?! response:	Besides, you're the one who came up with this plan!
context: What's the square root of two?!\That hurt! Mars kicked me for real!\If we don't do this seriously, it won't be good practice!\But... But that kick was full of hatred!\What?!\Mars, I hope you're not...\What are you looking at me like that for?!\Besides, you're the one who came up with this plan! response:	It's pitiful of you to start whining now!
context: That hurt! Mars kicked me for real!\If we don't do this seriously, it won't be good practice!\But... But that kick was full of hatred!\What?!\Mars, I hope you're not...\What are you looking at me like that for?!\Besides, you're the one who came up with this plan!\It's pitiful of you to start whining now! response:	I'm not whining!
context: If we don't do this seriously, it won't be good practice!\But... But that kick was full of hatred!\What?!\Mars, I hope you're not...\What are you looking at me like that for?!\Besides, you're the one who came up with this plan!\It's pitiful of you to start whining now!\I'm not whining! response:	Tuxedo Mask is being held captive by the Dark Kingdom
context: But... But that kick was full of hatred!\What?!\Mars, I hope you're not...\What are you looking at me like that for?!\Besides, you're the one who came up with this plan!\It's pitiful of you to start whining now!\I'm not whining!\Tuxedo Mask is being held captive by the Dark Kingdom response:	and I'm going to save him, no matter what!
context: What?!\Mars, I hope you're not...\What are you looking at me like that for?!\Besides, you're the one who came up with this plan!\It's pitiful of you to start whining now!\I'm not whining!\Tuxedo Mask is being held captive by the Dark Kingdom\and I'm going to save him, no matter what! response:	And to do that,
context: Mars, I hope you're not...\What are you looking at me like that for?!\Besides, you're the one who came up with this plan!\It's pitiful of you to start whining now!\I'm not whining!\Tuxedo Mask is being held captive by the Dark Kingdom\and I'm going to save him, no matter what!\And to do that, response:	we have to look like we're seriously fighting each other!
context: What are you looking at me like that for?!\Besides, you're the one who came up with this plan!\It's pitiful of you to start whining now!\I'm not whining!\Tuxedo Mask is being held captive by the Dark Kingdom\and I'm going to save him, no matter what!\And to do that,\we have to look like we're seriously fighting each other! response:	But the butt you kicked with all your strength hurts!
context: Besides, you're the one who came up with this plan!\It's pitiful of you to start whining now!\I'm not whining!\Tuxedo Mask is being held captive by the Dark Kingdom\and I'm going to save him, no matter what!\And to do that,\we have to look like we're seriously fighting each other!\But the butt you kicked with all your strength hurts! response:	That's enough!
context: It's pitiful of you to start whining now!\I'm not whining!\Tuxedo Mask is being held captive by the Dark Kingdom\and I'm going to save him, no matter what!\And to do that,\we have to look like we're seriously fighting each other!\But the butt you kicked with all your strength hurts!\That's enough! response:	Listen to me! If we don't fight like we really mean it,
context: I'm not whining!\Tuxedo Mask is being held captive by the Dark Kingdom\and I'm going to save him, no matter what!\And to do that,\we have to look like we're seriously fighting each other!\But the butt you kicked with all your strength hurts!\That's enough!\Listen to me! If we don't fight like we really mean it, response:	they'll never take you, their enemy, to their hideout!
context: Tuxedo Mask is being held captive by the Dark Kingdom\and I'm going to save him, no matter what!\And to do that,\we have to look like we're seriously fighting each other!\But the butt you kicked with all your strength hurts!\That's enough!\Listen to me! If we don't fight like we really mean it,\they'll never take you, their enemy, to their hideout! response:	I know that.
context: and I'm going to save him, no matter what!\And to do that,\we have to look like we're seriously fighting each other!\But the butt you kicked with all your strength hurts!\That's enough!\Listen to me! If we don't fight like we really mean it,\they'll never take you, their enemy, to their hideout!\I know that. response:	Mars is right.
context: And to do that,\we have to look like we're seriously fighting each other!\But the butt you kicked with all your strength hurts!\That's enough!\Listen to me! If we don't fight like we really mean it,\they'll never take you, their enemy, to their hideout!\I know that.\Mars is right. response:	We don't really want to do anything this dangerous,
context: we have to look like we're seriously fighting each other!\But the butt you kicked with all your strength hurts!\That's enough!\Listen to me! If we don't fight like we really mean it,\they'll never take you, their enemy, to their hideout!\I know that.\Mars is right.\We don't really want to do anything this dangerous, response:	but we're doing it because you insisted.
context: But the butt you kicked with all your strength hurts!\That's enough!\Listen to me! If we don't fight like we really mean it,\they'll never take you, their enemy, to their hideout!\I know that.\Mars is right.\We don't really want to do anything this dangerous,\but we're doing it because you insisted. response:	Yes, yes, I know.
context: That's enough!\Listen to me! If we don't fight like we really mean it,\they'll never take you, their enemy, to their hideout!\I know that.\Mars is right.\We don't really want to do anything this dangerous,\but we're doing it because you insisted.\Yes, yes, I know. response:	Hey, Artemis, did you find out anything
context: Listen to me! If we don't fight like we really mean it,\they'll never take you, their enemy, to their hideout!\I know that.\Mars is right.\We don't really want to do anything this dangerous,\but we're doing it because you insisted.\Yes, yes, I know.\Hey, Artemis, did you find out anything response:	about the gossip reporter who showed up at the jewelry shop?
context: they'll never take you, their enemy, to their hideout!\I know that.\Mars is right.\We don't really want to do anything this dangerous,\but we're doing it because you insisted.\Yes, yes, I know.\Hey, Artemis, did you find out anything\about the gossip reporter who showed up at the jewelry shop? response:	Well, there's something suspicious about her.
context: I know that.\Mars is right.\We don't really want to do anything this dangerous,\but we're doing it because you insisted.\Yes, yes, I know.\Hey, Artemis, did you find out anything\about the gossip reporter who showed up at the jewelry shop?\Well, there's something suspicious about her. response:	What?!
context: Mars is right.\We don't really want to do anything this dangerous,\but we're doing it because you insisted.\Yes, yes, I know.\Hey, Artemis, did you find out anything\about the gossip reporter who showed up at the jewelry shop?\Well, there's something suspicious about her.\What?! response:	I knew it!
context: We don't really want to do anything this dangerous,\but we're doing it because you insisted.\Yes, yes, I know.\Hey, Artemis, did you find out anything\about the gossip reporter who showed up at the jewelry shop?\Well, there's something suspicious about her.\What?!\I knew it! response:	Sailor Moon Breaking Up? They're Fighting! D'oh!
context: but we're doing it because you insisted.\Yes, yes, I know.\Hey, Artemis, did you find out anything\about the gossip reporter who showed up at the jewelry shop?\Well, there's something suspicious about her.\What?!\I knew it!\Sailor Moon Breaking Up? They're Fighting! D'oh! response:	Sailor Moon Breaking Up? They're Fighting! It's already out?!
context: Yes, yes, I know.\Hey, Artemis, did you find out anything\about the gossip reporter who showed up at the jewelry shop?\Well, there's something suspicious about her.\What?!\I knew it!\Sailor Moon Breaking Up? They're Fighting! D'oh!\Sailor Moon Breaking Up? They're Fighting! It's already out?! response:	Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, no! I look funny in that picture!
context: Hey, Artemis, did you find out anything\about the gossip reporter who showed up at the jewelry shop?\Well, there's something suspicious about her.\What?!\I knew it!\Sailor Moon Breaking Up? They're Fighting! D'oh!\Sailor Moon Breaking Up? They're Fighting! It's already out?!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, no! I look funny in that picture! response:	Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, come on, that's how you always look.
context: about the gossip reporter who showed up at the jewelry shop?\Well, there's something suspicious about her.\What?!\I knew it!\Sailor Moon Breaking Up? They're Fighting! D'oh!\Sailor Moon Breaking Up? They're Fighting! It's already out?!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, no! I look funny in that picture!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, come on, that's how you always look. response:	What did you say?!
context: Well, there's something suspicious about her.\What?!\I knew it!\Sailor Moon Breaking Up? They're Fighting! D'oh!\Sailor Moon Breaking Up? They're Fighting! It's already out?!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, no! I look funny in that picture!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, come on, that's how you always look.\What did you say?! response:	Stop it!
context: What?!\I knew it!\Sailor Moon Breaking Up? They're Fighting! D'oh!\Sailor Moon Breaking Up? They're Fighting! It's already out?!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, no! I look funny in that picture!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, come on, that's how you always look.\What did you say?!\Stop it! response:	She's a freelance reporter who suddenly became popular recently.
context: I knew it!\Sailor Moon Breaking Up? They're Fighting! D'oh!\Sailor Moon Breaking Up? They're Fighting! It's already out?!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, no! I look funny in that picture!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, come on, that's how you always look.\What did you say?!\Stop it!\She's a freelance reporter who suddenly became popular recently. response:	Politics, economics, entertainment...
context: Sailor Moon Breaking Up? They're Fighting! D'oh!\Sailor Moon Breaking Up? They're Fighting! It's already out?!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, no! I look funny in that picture!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, come on, that's how you always look.\What did you say?!\Stop it!\She's a freelance reporter who suddenly became popular recently.\Politics, economics, entertainment... response:	She's getting huge scoops in every field!
context: Sailor Moon Breaking Up? They're Fighting! It's already out?!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, no! I look funny in that picture!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, come on, that's how you always look.\What did you say?!\Stop it!\She's a freelance reporter who suddenly became popular recently.\Politics, economics, entertainment...\She's getting huge scoops in every field! response:	There's no way she's a normal person!
context: Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, no! I look funny in that picture!\Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, come on, that's how you always look.\What did you say?!\Stop it!\She's a freelance reporter who suddenly became popular recently.\Politics, economics, entertainment...\She's getting huge scoops in every field!\There's no way she's a normal person! response:	Maybe she's been turned into a monster?
context: Sailor Moon Breaking Up? They're Fighting! Sailor Moon Showed Up in Harumi Oh, come on, that's how you always look.\What did you say?!\Stop it!\She's a freelance reporter who suddenly became popular recently.\Politics, economics, entertainment...\She's getting huge scoops in every field!\There's no way she's a normal person!\Maybe she's been turned into a monster? response:	I think so, too.
context: What did you say?!\Stop it!\She's a freelance reporter who suddenly became popular recently.\Politics, economics, entertainment...\She's getting huge scoops in every field!\There's no way she's a normal person!\Maybe she's been turned into a monster?\I think so, too. response:	All right! I think so, too.
context: Stop it!\She's a freelance reporter who suddenly became popular recently.\Politics, economics, entertainment...\She's getting huge scoops in every field!\There's no way she's a normal person!\Maybe she's been turned into a monster?\I think so, too.\All right! I think so, too. response:	All right!
context: She's a freelance reporter who suddenly became popular recently.\Politics, economics, entertainment...\She's getting huge scoops in every field!\There's no way she's a normal person!\Maybe she's been turned into a monster?\I think so, too.\All right! I think so, too.\All right! response:	If a monster's approaching us,
context: Politics, economics, entertainment...\She's getting huge scoops in every field!\There's no way she's a normal person!\Maybe she's been turned into a monster?\I think so, too.\All right! I think so, too.\All right!\If a monster's approaching us, response:	that means my strategy was a success!
context: She's getting huge scoops in every field!\There's no way she's a normal person!\Maybe she's been turned into a monster?\I think so, too.\All right! I think so, too.\All right!\If a monster's approaching us,\that means my strategy was a success! response:	It could just be a coincidence...
context: There's no way she's a normal person!\Maybe she's been turned into a monster?\I think so, too.\All right! I think so, too.\All right!\If a monster's approaching us,\that means my strategy was a success!\It could just be a coincidence... response:	Anyway, we better start the final stage of our plan, then!
context: Maybe she's been turned into a monster?\I think so, too.\All right! I think so, too.\All right!\If a monster's approaching us,\that means my strategy was a success!\It could just be a coincidence...\Anyway, we better start the final stage of our plan, then! response:	Yeah! Anyway, we better start the final stage of our plan, then!
context: I think so, too.\All right! I think so, too.\All right!\If a monster's approaching us,\that means my strategy was a success!\It could just be a coincidence...\Anyway, we better start the final stage of our plan, then!\Yeah! Anyway, we better start the final stage of our plan, then! response:	Yeah! Usagi, this is going to be pretty dangerous.
context: All right! I think so, too.\All right!\If a monster's approaching us,\that means my strategy was a success!\It could just be a coincidence...\Anyway, we better start the final stage of our plan, then!\Yeah! Anyway, we better start the final stage of our plan, then!\Yeah! Usagi, this is going to be pretty dangerous. response:	Usagi, this is going to be pretty dangerous.
context: All right!\If a monster's approaching us,\that means my strategy was a success!\It could just be a coincidence...\Anyway, we better start the final stage of our plan, then!\Yeah! Anyway, we better start the final stage of our plan, then!\Yeah! Usagi, this is going to be pretty dangerous.\Usagi, this is going to be pretty dangerous. response:	Are you going to be okay?
context: If a monster's approaching us,\that means my strategy was a success!\It could just be a coincidence...\Anyway, we better start the final stage of our plan, then!\Yeah! Anyway, we better start the final stage of our plan, then!\Yeah! Usagi, this is going to be pretty dangerous.\Usagi, this is going to be pretty dangerous.\Are you going to be okay? response:	Huh? Probably...
context: that means my strategy was a success!\It could just be a coincidence...\Anyway, we better start the final stage of our plan, then!\Yeah! Anyway, we better start the final stage of our plan, then!\Yeah! Usagi, this is going to be pretty dangerous.\Usagi, this is going to be pretty dangerous.\Are you going to be okay?\Huh? Probably... response:	There's nothing to worry about!
context: It could just be a coincidence...\Anyway, we better start the final stage of our plan, then!\Yeah! Anyway, we better start the final stage of our plan, then!\Yeah! Usagi, this is going to be pretty dangerous.\Usagi, this is going to be pretty dangerous.\Are you going to be okay?\Huh? Probably...\There's nothing to worry about! response:	We'll be right there, watching over you!
context: Anyway, we better start the final stage of our plan, then!\Yeah! Anyway, we better start the final stage of our plan, then!\Yeah! Usagi, this is going to be pretty dangerous.\Usagi, this is going to be pretty dangerous.\Are you going to be okay?\Huh? Probably...\There's nothing to worry about!\We'll be right there, watching over you! response:	Do you want me to take your place?
context: Yeah! Anyway, we better start the final stage of our plan, then!\Yeah! Usagi, this is going to be pretty dangerous.\Usagi, this is going to be pretty dangerous.\Are you going to be okay?\Huh? Probably...\There's nothing to worry about!\We'll be right there, watching over you!\Do you want me to take your place? response:	So, that's the truth of it.
context: Yeah! Usagi, this is going to be pretty dangerous.\Usagi, this is going to be pretty dangerous.\Are you going to be okay?\Huh? Probably...\There's nothing to worry about!\We'll be right there, watching over you!\Do you want me to take your place?\So, that's the truth of it. response:	What?
context: Usagi, this is going to be pretty dangerous.\Are you going to be okay?\Huh? Probably...\There's nothing to worry about!\We'll be right there, watching over you!\Do you want me to take your place?\So, that's the truth of it.\What? response:	Your plan was to give me a hard time,
context: Are you going to be okay?\Huh? Probably...\There's nothing to worry about!\We'll be right there, watching over you!\Do you want me to take your place?\So, that's the truth of it.\What?\Your plan was to give me a hard time, response:	and then try to become the leader, wasn't it?!
context: Huh? Probably...\There's nothing to worry about!\We'll be right there, watching over you!\Do you want me to take your place?\So, that's the truth of it.\What?\Your plan was to give me a hard time,\and then try to become the leader, wasn't it?! response:	What?!
context: There's nothing to worry about!\We'll be right there, watching over you!\Do you want me to take your place?\So, that's the truth of it.\What?\Your plan was to give me a hard time,\and then try to become the leader, wasn't it?!\What?! response:	Usagi, you're thinking too much.
context: We'll be right there, watching over you!\Do you want me to take your place?\So, that's the truth of it.\What?\Your plan was to give me a hard time,\and then try to become the leader, wasn't it?!\What?!\Usagi, you're thinking too much. response:	Because Rei never goes easy on me.
context: Do you want me to take your place?\So, that's the truth of it.\What?\Your plan was to give me a hard time,\and then try to become the leader, wasn't it?!\What?!\Usagi, you're thinking too much.\Because Rei never goes easy on me. response:	SOMEONE's just too clumsy!
context: So, that's the truth of it.\What?\Your plan was to give me a hard time,\and then try to become the leader, wasn't it?!\What?!\Usagi, you're thinking too much.\Because Rei never goes easy on me.\SOMEONE's just too clumsy! response:	What did you say?!
context: What?\Your plan was to give me a hard time,\and then try to become the leader, wasn't it?!\What?!\Usagi, you're thinking too much.\Because Rei never goes easy on me.\SOMEONE's just too clumsy!\What did you say?! response:	You're nasty! Don't spit on me!
context: Your plan was to give me a hard time,\and then try to become the leader, wasn't it?!\What?!\Usagi, you're thinking too much.\Because Rei never goes easy on me.\SOMEONE's just too clumsy!\What did you say?!\You're nasty! Don't spit on me! response:	It's turned into a real fight. You're nasty! Don't spit on me!
context: and then try to become the leader, wasn't it?!\What?!\Usagi, you're thinking too much.\Because Rei never goes easy on me.\SOMEONE's just too clumsy!\What did you say?!\You're nasty! Don't spit on me!\It's turned into a real fight. You're nasty! Don't spit on me! response:	It's turned into a real fight. Yuck! Quit it!
context: What?!\Usagi, you're thinking too much.\Because Rei never goes easy on me.\SOMEONE's just too clumsy!\What did you say?!\You're nasty! Don't spit on me!\It's turned into a real fight. You're nasty! Don't spit on me!\It's turned into a real fight. Yuck! Quit it! response:	Yuck! Quit it!
context: Usagi, you're thinking too much.\Because Rei never goes easy on me.\SOMEONE's just too clumsy!\What did you say?!\You're nasty! Don't spit on me!\It's turned into a real fight. You're nasty! Don't spit on me!\It's turned into a real fight. Yuck! Quit it!\Yuck! Quit it! response:	Freelance Reporter Nana Asahina
context: Because Rei never goes easy on me.\SOMEONE's just too clumsy!\What did you say?!\You're nasty! Don't spit on me!\It's turned into a real fight. You're nasty! Don't spit on me!\It's turned into a real fight. Yuck! Quit it!\Yuck! Quit it!\Freelance Reporter Nana Asahina response:	Freelance Reporter Nana Asahina Let's see... Is it around here?
context: SOMEONE's just too clumsy!\What did you say?!\You're nasty! Don't spit on me!\It's turned into a real fight. You're nasty! Don't spit on me!\It's turned into a real fight. Yuck! Quit it!\Yuck! Quit it!\Freelance Reporter Nana Asahina\Freelance Reporter Nana Asahina Let's see... Is it around here? response:	Let's see... Is it around here?
context: What did you say?!\You're nasty! Don't spit on me!\It's turned into a real fight. You're nasty! Don't spit on me!\It's turned into a real fight. Yuck! Quit it!\Yuck! Quit it!\Freelance Reporter Nana Asahina\Freelance Reporter Nana Asahina Let's see... Is it around here?\Let's see... Is it around here? response:	Oh, here it is!
context: You're nasty! Don't spit on me!\It's turned into a real fight. You're nasty! Don't spit on me!\It's turned into a real fight. Yuck! Quit it!\Yuck! Quit it!\Freelance Reporter Nana Asahina\Freelance Reporter Nana Asahina Let's see... Is it around here?\Let's see... Is it around here?\Oh, here it is! response:	Wow!
context: It's turned into a real fight. You're nasty! Don't spit on me!\It's turned into a real fight. Yuck! Quit it!\Yuck! Quit it!\Freelance Reporter Nana Asahina\Freelance Reporter Nana Asahina Let's see... Is it around here?\Let's see... Is it around here?\Oh, here it is!\Wow! response:	This is a pretty nice condo!
context: It's turned into a real fight. Yuck! Quit it!\Yuck! Quit it!\Freelance Reporter Nana Asahina\Freelance Reporter Nana Asahina Let's see... Is it around here?\Let's see... Is it around here?\Oh, here it is!\Wow!\This is a pretty nice condo! response:	It must be nice to live in a place like this!
context: Yuck! Quit it!\Freelance Reporter Nana Asahina\Freelance Reporter Nana Asahina Let's see... Is it around here?\Let's see... Is it around here?\Oh, here it is!\Wow!\This is a pretty nice condo!\It must be nice to live in a place like this! response:	This is no time to be getting carried away, Usagi!
