context: Just a little farther till we're at Kame House. Hang in there, Gohan. response:	Right.
context: Where are you!?\Where are you!? Where did you go!?\It's useless to run away from me! I can sense your presence!\Dammit!\l've gathered the Genki energy together.\Why, you!\He found me! Please, let there be enough time!\I-it's done. I've collected the Genki energy from all earthlings. response:	All right!
context: Where are you!? Where did you go!?\It's useless to run away from me! I can sense your presence!\Dammit!\l've gathered the Genki energy together.\Why, you!\He found me! Please, let there be enough time!\I-it's done. I've collected the Genki energy from all earthlings.\All right! response:	Take this!
context: It's useless to run away from me! I can sense your presence!\Dammit!\l've gathered the Genki energy together.\Why, you!\He found me! Please, let there be enough time!\I-it's done. I've collected the Genki energy from all earthlings.\All right!\Take this! response:	W- what was that?
context: Dammit!\l've gathered the Genki energy together.\Why, you!\He found me! Please, let there be enough time!\I-it's done. I've collected the Genki energy from all earthlings.\All right!\Take this!\W- what was that? response:	What happened?
context: l've gathered the Genki energy together.\Why, you!\He found me! Please, let there be enough time!\I-it's done. I've collected the Genki energy from all earthlings.\All right!\Take this!\W- what was that?\What happened? response:	I- I never expected him to attack like that... T- that was an awful miscalculation.
context: Why, you!\He found me! Please, let there be enough time!\I-it's done. I've collected the Genki energy from all earthlings.\All right!\Take this!\W- what was that?\What happened?\I- I never expected him to attack like that... T- that was an awful miscalculation. response:	What a development... The Genki Dama I worked so hard to make has vanished...
context: He found me! Please, let there be enough time!\I-it's done. I've collected the Genki energy from all earthlings.\All right!\Take this!\W- what was that?\What happened?\I- I never expected him to attack like that... T- that was an awful miscalculation.\What a development... The Genki Dama I worked so hard to make has vanished... response:	Hmph, you're a tough bastard.
context: I-it's done. I've collected the Genki energy from all earthlings.\All right!\Take this!\W- what was that?\What happened?\I- I never expected him to attack like that... T- that was an awful miscalculation.\What a development... The Genki Dama I worked so hard to make has vanished...\Hmph, you're a tough bastard. response:	But you appear to be near your limit. I can tell.
context: All right!\Take this!\W- what was that?\What happened?\I- I never expected him to attack like that... T- that was an awful miscalculation.\What a development... The Genki Dama I worked so hard to make has vanished...\Hmph, you're a tough bastard.\But you appear to be near your limit. I can tell. response:	H- he's got me. There ain't no way even I can win now.
context: Take this!\W- what was that?\What happened?\I- I never expected him to attack like that... T- that was an awful miscalculation.\What a development... The Genki Dama I worked so hard to make has vanished...\Hmph, you're a tough bastard.\But you appear to be near your limit. I can tell.\H- he's got me. There ain't no way even I can win now. response:	I used up most of my Ki on that Genki Dama.
context: W- what was that?\What happened?\I- I never expected him to attack like that... T- that was an awful miscalculation.\What a development... The Genki Dama I worked so hard to make has vanished...\Hmph, you're a tough bastard.\But you appear to be near your limit. I can tell.\H- he's got me. There ain't no way even I can win now.\I used up most of my Ki on that Genki Dama. response:	Now what are you going to do!?
context: What happened?\I- I never expected him to attack like that... T- that was an awful miscalculation.\What a development... The Genki Dama I worked so hard to make has vanished...\Hmph, you're a tough bastard.\But you appear to be near your limit. I can tell.\H- he's got me. There ain't no way even I can win now.\I used up most of my Ki on that Genki Dama.\Now what are you going to do!? response:	Goku's Ki is shrinking fast!
context: I- I never expected him to attack like that... T- that was an awful miscalculation.\What a development... The Genki Dama I worked so hard to make has vanished...\Hmph, you're a tough bastard.\But you appear to be near your limit. I can tell.\H- he's got me. There ain't no way even I can win now.\I used up most of my Ki on that Genki Dama.\Now what are you going to do!?\Goku's Ki is shrinking fast! response:	F- Father!
context: What a development... The Genki Dama I worked so hard to make has vanished...\Hmph, you're a tough bastard.\But you appear to be near your limit. I can tell.\H- he's got me. There ain't no way even I can win now.\I used up most of my Ki on that Genki Dama.\Now what are you going to do!?\Goku's Ki is shrinking fast!\F- Father! response:	Hurry! We're almost there!
context: Hmph, you're a tough bastard.\But you appear to be near your limit. I can tell.\H- he's got me. There ain't no way even I can win now.\I used up most of my Ki on that Genki Dama.\Now what are you going to do!?\Goku's Ki is shrinking fast!\F- Father!\Hurry! We're almost there! response:	Whoops! Sorry, sorry!
context: But you appear to be near your limit. I can tell.\H- he's got me. There ain't no way even I can win now.\I used up most of my Ki on that Genki Dama.\Now what are you going to do!?\Goku's Ki is shrinking fast!\F- Father!\Hurry! We're almost there!\Whoops! Sorry, sorry! response:	Looks like I carelessly stepped on you and crushed your leg.
context: H- he's got me. There ain't no way even I can win now.\I used up most of my Ki on that Genki Dama.\Now what are you going to do!?\Goku's Ki is shrinking fast!\F- Father!\Hurry! We're almost there!\Whoops! Sorry, sorry!\Looks like I carelessly stepped on you and crushed your leg. response:	Well, this time, I'll carelessly crush your heart.
context: I used up most of my Ki on that Genki Dama.\Now what are you going to do!?\Goku's Ki is shrinking fast!\F- Father!\Hurry! We're almost there!\Whoops! Sorry, sorry!\Looks like I carelessly stepped on you and crushed your leg.\Well, this time, I'll carelessly crush your heart. response:	This is the end for you, Kakarrot!
context: Now what are you going to do!?\Goku's Ki is shrinking fast!\F- Father!\Hurry! We're almost there!\Whoops! Sorry, sorry!\Looks like I carelessly stepped on you and crushed your leg.\Well, this time, I'll carelessly crush your heart.\This is the end for you, Kakarrot! response:	Even if you were to come back to life again, this planet won't be here when you do!
context: Goku's Ki is shrinking fast!\F- Father!\Hurry! We're almost there!\Whoops! Sorry, sorry!\Looks like I carelessly stepped on you and crushed your leg.\Well, this time, I'll carelessly crush your heart.\This is the end for you, Kakarrot!\Even if you were to come back to life again, this planet won't be here when you do! response:	D- damn... I'm utterly defeated...
context: F- Father!\Hurry! We're almost there!\Whoops! Sorry, sorry!\Looks like I carelessly stepped on you and crushed your leg.\Well, this time, I'll carelessly crush your heart.\This is the end for you, Kakarrot!\Even if you were to come back to life again, this planet won't be here when you do!\D- damn... I'm utterly defeated... response:	I never imagined there'd be this much difference in our power...
context: Hurry! We're almost there!\Whoops! Sorry, sorry!\Looks like I carelessly stepped on you and crushed your leg.\Well, this time, I'll carelessly crush your heart.\This is the end for you, Kakarrot!\Even if you were to come back to life again, this planet won't be here when you do!\D- damn... I'm utterly defeated...\I never imagined there'd be this much difference in our power... response:	I'm glad there was someone so strong... but if I die...
context: Whoops! Sorry, sorry!\Looks like I carelessly stepped on you and crushed your leg.\Well, this time, I'll carelessly crush your heart.\This is the end for you, Kakarrot!\Even if you were to come back to life again, this planet won't be here when you do!\D- damn... I'm utterly defeated...\I never imagined there'd be this much difference in our power...\I'm glad there was someone so strong... but if I die... response:	Die!!
context: Looks like I carelessly stepped on you and crushed your leg.\Well, this time, I'll carelessly crush your heart.\This is the end for you, Kakarrot!\Even if you were to come back to life again, this planet won't be here when you do!\D- damn... I'm utterly defeated...\I never imagined there'd be this much difference in our power...\I'm glad there was someone so strong... but if I die...\Die!! response:	That's what you call the weasel's last fart...
context: Well, this time, I'll carelessly crush your heart.\This is the end for you, Kakarrot!\Even if you were to come back to life again, this planet won't be here when you do!\D- damn... I'm utterly defeated...\I never imagined there'd be this much difference in our power...\I'm glad there was someone so strong... but if I die...\Die!!\That's what you call the weasel's last fart... response:	Now, I ain't even got enough strength left to blow my nose...
context: This is the end for you, Kakarrot!\Even if you were to come back to life again, this planet won't be here when you do!\D- damn... I'm utterly defeated...\I never imagined there'd be this much difference in our power...\I'm glad there was someone so strong... but if I die...\Die!!\That's what you call the weasel's last fart...\Now, I ain't even got enough strength left to blow my nose... response:	D- do as you like...
context: Even if you were to come back to life again, this planet won't be here when you do!\D- damn... I'm utterly defeated...\I never imagined there'd be this much difference in our power...\I'm glad there was someone so strong... but if I die...\Die!!\That's what you call the weasel's last fart...\Now, I ain't even got enough strength left to blow my nose...\D- do as you like... response:	W- why, you!
context: D- damn... I'm utterly defeated...\I never imagined there'd be this much difference in our power...\I'm glad there was someone so strong... but if I die...\Die!!\That's what you call the weasel's last fart...\Now, I ain't even got enough strength left to blow my nose...\D- do as you like...\W- why, you! response:	Kakarrot!
context: I never imagined there'd be this much difference in our power...\I'm glad there was someone so strong... but if I die...\Die!!\That's what you call the weasel's last fart...\Now, I ain't even got enough strength left to blow my nose...\D- do as you like...\W- why, you!\Kakarrot! response:	How dare you... how dare you scar my face!?
context: I'm glad there was someone so strong... but if I die...\Die!!\That's what you call the weasel's last fart...\Now, I ain't even got enough strength left to blow my nose...\D- do as you like...\W- why, you!\Kakarrot!\How dare you... how dare you scar my face!? response:	I'm going to squeeze you to death!
context: Die!!\That's what you call the weasel's last fart...\Now, I ain't even got enough strength left to blow my nose...\D- do as you like...\W- why, you!\Kakarrot!\How dare you... how dare you scar my face!?\I'm going to squeeze you to death! response:	Having been wounded, Vegeta was burning with anger.
context: That's what you call the weasel's last fart...\Now, I ain't even got enough strength left to blow my nose...\D- do as you like...\W- why, you!\Kakarrot!\How dare you... how dare you scar my face!?\I'm going to squeeze you to death!\Having been wounded, Vegeta was burning with anger. response:	Will Goku be crushed to death like this?
