context: Looks like Freeza is out and about, all right. response:	And so then, right there, I told him...
context: Are you the one that found the Dragon Balls here?\How did you know where they were?\What are you talking about, Goku?\I used the Dragon Radar to find them, of course.\Radar, did he say? Damn, they've got something like that?\So, have you gotten your wish granted then?\That's the funny thing. It didn't work.\Shen Long won't appear. I can't figure out why. response:	The password may be different from what we use on Earth.
context: How did you know where they were?\What are you talking about, Goku?\I used the Dragon Radar to find them, of course.\Radar, did he say? Damn, they've got something like that?\So, have you gotten your wish granted then?\That's the funny thing. It didn't work.\Shen Long won't appear. I can't figure out why.\The password may be different from what we use on Earth. response:	So, it didn't work, huh?
context: What are you talking about, Goku?\I used the Dragon Radar to find them, of course.\Radar, did he say? Damn, they've got something like that?\So, have you gotten your wish granted then?\That's the funny thing. It didn't work.\Shen Long won't appear. I can't figure out why.\The password may be different from what we use on Earth.\So, it didn't work, huh? response:	Goku, is something wrong with you? Something about you...
context: I used the Dragon Radar to find them, of course.\Radar, did he say? Damn, they've got something like that?\So, have you gotten your wish granted then?\That's the funny thing. It didn't work.\Shen Long won't appear. I can't figure out why.\The password may be different from what we use on Earth.\So, it didn't work, huh?\Goku, is something wrong with you? Something about you... response:	It just doesn't seem right.
context: Radar, did he say? Damn, they've got something like that?\So, have you gotten your wish granted then?\That's the funny thing. It didn't work.\Shen Long won't appear. I can't figure out why.\The password may be different from what we use on Earth.\So, it didn't work, huh?\Goku, is something wrong with you? Something about you...\It just doesn't seem right. response:	And how come you're wearing that Scouter, or whatever it's called?
context: So, have you gotten your wish granted then?\That's the funny thing. It didn't work.\Shen Long won't appear. I can't figure out why.\The password may be different from what we use on Earth.\So, it didn't work, huh?\Goku, is something wrong with you? Something about you...\It just doesn't seem right.\And how come you're wearing that Scouter, or whatever it's called? response:	You really want to know?
context: That's the funny thing. It didn't work.\Shen Long won't appear. I can't figure out why.\The password may be different from what we use on Earth.\So, it didn't work, huh?\Goku, is something wrong with you? Something about you...\It just doesn't seem right.\And how come you're wearing that Scouter, or whatever it's called?\You really want to know? response:	Kuririn- san! That isn't Father!
context: Shen Long won't appear. I can't figure out why.\The password may be different from what we use on Earth.\So, it didn't work, huh?\Goku, is something wrong with you? Something about you...\It just doesn't seem right.\And how come you're wearing that Scouter, or whatever it's called?\You really want to know?\Kuririn- san! That isn't Father! response:	Kuririn- san, run!
context: The password may be different from what we use on Earth.\So, it didn't work, huh?\Goku, is something wrong with you? Something about you...\It just doesn't seem right.\And how come you're wearing that Scouter, or whatever it's called?\You really want to know?\Kuririn- san! That isn't Father!\Kuririn- san, run! response:	So, there's another one of you, huh? I didn't get any reading on my Scouter.
context: So, it didn't work, huh?\Goku, is something wrong with you? Something about you...\It just doesn't seem right.\And how come you're wearing that Scouter, or whatever it's called?\You really want to know?\Kuririn- san! That isn't Father!\Kuririn- san, run!\So, there's another one of you, huh? I didn't get any reading on my Scouter. response:	Apparently you can control your battle power all the way down to zero.
context: Goku, is something wrong with you? Something about you...\It just doesn't seem right.\And how come you're wearing that Scouter, or whatever it's called?\You really want to know?\Kuririn- san! That isn't Father!\Kuririn- san, run!\So, there's another one of you, huh? I didn't get any reading on my Scouter.\Apparently you can control your battle power all the way down to zero. response:	What do you think you're doing, Goku?!
context: It just doesn't seem right.\And how come you're wearing that Scouter, or whatever it's called?\You really want to know?\Kuririn- san! That isn't Father!\Kuririn- san, run!\So, there's another one of you, huh? I didn't get any reading on my Scouter.\Apparently you can control your battle power all the way down to zero.\What do you think you're doing, Goku?! response:	It's not Father! That isn't Father there!
context: And how come you're wearing that Scouter, or whatever it's called?\You really want to know?\Kuririn- san! That isn't Father!\Kuririn- san, run!\So, there's another one of you, huh? I didn't get any reading on my Scouter.\Apparently you can control your battle power all the way down to zero.\What do you think you're doing, Goku?!\It's not Father! That isn't Father there! response:	I- if that isn't Goku, then what's going on?
context: You really want to know?\Kuririn- san! That isn't Father!\Kuririn- san, run!\So, there's another one of you, huh? I didn't get any reading on my Scouter.\Apparently you can control your battle power all the way down to zero.\What do you think you're doing, Goku?!\It's not Father! That isn't Father there!\I- if that isn't Goku, then what's going on? response:	He looks just like him!
context: Kuririn- san! That isn't Father!\Kuririn- san, run!\So, there's another one of you, huh? I didn't get any reading on my Scouter.\Apparently you can control your battle power all the way down to zero.\What do you think you're doing, Goku?!\It's not Father! That isn't Father there!\I- if that isn't Goku, then what's going on?\He looks just like him! response:	I don't know, but I can just tell.
context: Kuririn- san, run!\So, there's another one of you, huh? I didn't get any reading on my Scouter.\Apparently you can control your battle power all the way down to zero.\What do you think you're doing, Goku?!\It's not Father! That isn't Father there!\I- if that isn't Goku, then what's going on?\He looks just like him!\I don't know, but I can just tell. response:	I've switched bodies. This one was so much stronger, you see.
context: So, there's another one of you, huh? I didn't get any reading on my Scouter.\Apparently you can control your battle power all the way down to zero.\What do you think you're doing, Goku?!\It's not Father! That isn't Father there!\I- if that isn't Goku, then what's going on?\He looks just like him!\I don't know, but I can just tell.\I've switched bodies. This one was so much stronger, you see. response:	What!?
context: Apparently you can control your battle power all the way down to zero.\What do you think you're doing, Goku?!\It's not Father! That isn't Father there!\I- if that isn't Goku, then what's going on?\He looks just like him!\I don't know, but I can just tell.\I've switched bodies. This one was so much stronger, you see.\What!? response:	H - he's switched bodies?
context: What do you think you're doing, Goku?!\It's not Father! That isn't Father there!\I- if that isn't Goku, then what's going on?\He looks just like him!\I don't know, but I can just tell.\I've switched bodies. This one was so much stronger, you see.\What!?\H - he's switched bodies? response:	That's right.
context: It's not Father! That isn't Father there!\I- if that isn't Goku, then what's going on?\He looks just like him!\I don't know, but I can just tell.\I've switched bodies. This one was so much stronger, you see.\What!?\H - he's switched bodies?\That's right. response:	Red Magma of the Ginyu Special Corps, Jheese!
context: I- if that isn't Goku, then what's going on?\He looks just like him!\I don't know, but I can just tell.\I've switched bodies. This one was so much stronger, you see.\What!?\H - he's switched bodies?\That's right.\Red Magma of the Ginyu Special Corps, Jheese! response:	And I am... Commander of the Ginyu Special Corps... Ginyu- sama!
context: He looks just like him!\I don't know, but I can just tell.\I've switched bodies. This one was so much stronger, you see.\What!?\H - he's switched bodies?\That's right.\Red Magma of the Ginyu Special Corps, Jheese!\And I am... Commander of the Ginyu Special Corps... Ginyu- sama! response:	D- damn... This unfamiliar body makes it hard to read Ki, as well.
context: I don't know, but I can just tell.\I've switched bodies. This one was so much stronger, you see.\What!?\H - he's switched bodies?\That's right.\Red Magma of the Ginyu Special Corps, Jheese!\And I am... Commander of the Ginyu Special Corps... Ginyu- sama!\D- damn... This unfamiliar body makes it hard to read Ki, as well. response:	Unfamiliar body? That's right!
context: I've switched bodies. This one was so much stronger, you see.\What!?\H - he's switched bodies?\That's right.\Red Magma of the Ginyu Special Corps, Jheese!\And I am... Commander of the Ginyu Special Corps... Ginyu- sama!\D- damn... This unfamiliar body makes it hard to read Ki, as well.\Unfamiliar body? That's right! response:	If I ain't used to this body, he shouldn't be used to my body, either!
context: What!?\H - he's switched bodies?\That's right.\Red Magma of the Ginyu Special Corps, Jheese!\And I am... Commander of the Ginyu Special Corps... Ginyu- sama!\D- damn... This unfamiliar body makes it hard to read Ki, as well.\Unfamiliar body? That's right!\If I ain't used to this body, he shouldn't be used to my body, either! response:	You've switched bodies? That's impossible!
context: H - he's switched bodies?\That's right.\Red Magma of the Ginyu Special Corps, Jheese!\And I am... Commander of the Ginyu Special Corps... Ginyu- sama!\D- damn... This unfamiliar body makes it hard to read Ki, as well.\Unfamiliar body? That's right!\If I ain't used to this body, he shouldn't be used to my body, either!\You've switched bodies? That's impossible! response:	I think I'll test it out right now.
context: That's right.\Red Magma of the Ginyu Special Corps, Jheese!\And I am... Commander of the Ginyu Special Corps... Ginyu- sama!\D- damn... This unfamiliar body makes it hard to read Ki, as well.\Unfamiliar body? That's right!\If I ain't used to this body, he shouldn't be used to my body, either!\You've switched bodies? That's impossible!\I think I'll test it out right now. response:	The incredible power of a better-than-180,000 battle power!
context: Red Magma of the Ginyu Special Corps, Jheese!\And I am... Commander of the Ginyu Special Corps... Ginyu- sama!\D- damn... This unfamiliar body makes it hard to read Ki, as well.\Unfamiliar body? That's right!\If I ain't used to this body, he shouldn't be used to my body, either!\You've switched bodies? That's impossible!\I think I'll test it out right now.\The incredible power of a better-than-180,000 battle power! response:	D- don't do it, Goku! You're being controlled somehow!
context: And I am... Commander of the Ginyu Special Corps... Ginyu- sama!\D- damn... This unfamiliar body makes it hard to read Ki, as well.\Unfamiliar body? That's right!\If I ain't used to this body, he shouldn't be used to my body, either!\You've switched bodies? That's impossible!\I think I'll test it out right now.\The incredible power of a better-than-180,000 battle power!\D- don't do it, Goku! You're being controlled somehow! response:	You've been hypnotized or something!
context: D- damn... This unfamiliar body makes it hard to read Ki, as well.\Unfamiliar body? That's right!\If I ain't used to this body, he shouldn't be used to my body, either!\You've switched bodies? That's impossible!\I think I'll test it out right now.\The incredible power of a better-than-180,000 battle power!\D- don't do it, Goku! You're being controlled somehow!\You've been hypnotized or something! response:	Whether he's actually switched bodies, or has just been hypnotized,
context: Unfamiliar body? That's right!\If I ain't used to this body, he shouldn't be used to my body, either!\You've switched bodies? That's impossible!\I think I'll test it out right now.\The incredible power of a better-than-180,000 battle power!\D- don't do it, Goku! You're being controlled somehow!\You've been hypnotized or something!\Whether he's actually switched bodies, or has just been hypnotized, response:	Kakarrot's strength would still be the same.
context: If I ain't used to this body, he shouldn't be used to my body, either!\You've switched bodies? That's impossible!\I think I'll test it out right now.\The incredible power of a better-than-180,000 battle power!\D- don't do it, Goku! You're being controlled somehow!\You've been hypnotized or something!\Whether he's actually switched bodies, or has just been hypnotized,\Kakarrot's strength would still be the same. response:	Things are getting worse and worse!
context: You've switched bodies? That's impossible!\I think I'll test it out right now.\The incredible power of a better-than-180,000 battle power!\D- don't do it, Goku! You're being controlled somehow!\You've been hypnotized or something!\Whether he's actually switched bodies, or has just been hypnotized,\Kakarrot's strength would still be the same.\Things are getting worse and worse! response:	I'm going to keep increasing my power even higher and higher!
context: I think I'll test it out right now.\The incredible power of a better-than-180,000 battle power!\D- don't do it, Goku! You're being controlled somehow!\You've been hypnotized or something!\Whether he's actually switched bodies, or has just been hypnotized,\Kakarrot's strength would still be the same.\Things are getting worse and worse!\I'm going to keep increasing my power even higher and higher! response:	I hope you're ready!
context: The incredible power of a better-than-180,000 battle power!\D- don't do it, Goku! You're being controlled somehow!\You've been hypnotized or something!\Whether he's actually switched bodies, or has just been hypnotized,\Kakarrot's strength would still be the same.\Things are getting worse and worse!\I'm going to keep increasing my power even higher and higher!\I hope you're ready! response:	Commander Ginyu! That other bastard followed us here.
context: D- don't do it, Goku! You're being controlled somehow!\You've been hypnotized or something!\Whether he's actually switched bodies, or has just been hypnotized,\Kakarrot's strength would still be the same.\Things are getting worse and worse!\I'm going to keep increasing my power even higher and higher!\I hope you're ready!\Commander Ginyu! That other bastard followed us here. response:	What?
context: You've been hypnotized or something!\Whether he's actually switched bodies, or has just been hypnotized,\Kakarrot's strength would still be the same.\Things are getting worse and worse!\I'm going to keep increasing my power even higher and higher!\I hope you're ready!\Commander Ginyu! That other bastard followed us here.\What? response:	I've found you!
context: Whether he's actually switched bodies, or has just been hypnotized,\Kakarrot's strength would still be the same.\Things are getting worse and worse!\I'm going to keep increasing my power even higher and higher!\I hope you're ready!\Commander Ginyu! That other bastard followed us here.\What?\I've found you! response:	You've done well to make it this far.
context: Kakarrot's strength would still be the same.\Things are getting worse and worse!\I'm going to keep increasing my power even higher and higher!\I hope you're ready!\Commander Ginyu! That other bastard followed us here.\What?\I've found you!\You've done well to make it this far. response:	I should have made the wound more severe.
context: Things are getting worse and worse!\I'm going to keep increasing my power even higher and higher!\I hope you're ready!\Commander Ginyu! That other bastard followed us here.\What?\I've found you!\You've done well to make it this far.\I should have made the wound more severe. response:	K- Kuririn, Gohan, listen up!
context: I'm going to keep increasing my power even higher and higher!\I hope you're ready!\Commander Ginyu! That other bastard followed us here.\What?\I've found you!\You've done well to make it this far.\I should have made the wound more severe.\K- Kuririn, Gohan, listen up! response:	That ain't me! He's taken over my body!
context: I hope you're ready!\Commander Ginyu! That other bastard followed us here.\What?\I've found you!\You've done well to make it this far.\I should have made the wound more severe.\K- Kuririn, Gohan, listen up!\That ain't me! He's taken over my body! response:	You mean, it's true?
context: Commander Ginyu! That other bastard followed us here.\What?\I've found you!\You've done well to make it this far.\I should have made the wound more severe.\K- Kuririn, Gohan, listen up!\That ain't me! He's taken over my body!\You mean, it's true? response:	I- i- it can't be!
context: What?\I've found you!\You've done well to make it this far.\I should have made the wound more severe.\K- Kuririn, Gohan, listen up!\That ain't me! He's taken over my body!\You mean, it's true?\I- i- it can't be! response:	That's Father?
context: I've found you!\You've done well to make it this far.\I should have made the wound more severe.\K- Kuririn, Gohan, listen up!\That ain't me! He's taken over my body!\You mean, it's true?\I- i- it can't be!\That's Father? response:	Yahoo!
context: You've done well to make it this far.\I should have made the wound more severe.\K- Kuririn, Gohan, listen up!\That ain't me! He's taken over my body!\You mean, it's true?\I- i- it can't be!\That's Father?\Yahoo! response:	Yum, yum!
context: I should have made the wound more severe.\K- Kuririn, Gohan, listen up!\That ain't me! He's taken over my body!\You mean, it's true?\I- i- it can't be!\That's Father?\Yahoo!\Yum, yum! response:	I couldn't stand that!
context: K- Kuririn, Gohan, listen up!\That ain't me! He's taken over my body!\You mean, it's true?\I- i- it can't be!\That's Father?\Yahoo!\Yum, yum!\I couldn't stand that! response:	That guy is Ginyu! Don't hesitate to take him down!
context: That ain't me! He's taken over my body!\You mean, it's true?\I- i- it can't be!\That's Father?\Yahoo!\Yum, yum!\I couldn't stand that!\That guy is Ginyu! Don't hesitate to take him down! response:	There's no way he can defeat you at your present levels!
context: You mean, it's true?\I- i- it can't be!\That's Father?\Yahoo!\Yum, yum!\I couldn't stand that!\That guy is Ginyu! Don't hesitate to take him down!\There's no way he can defeat you at your present levels! response:	Go on, start beating on him!
context: I- i- it can't be!\That's Father?\Yahoo!\Yum, yum!\I couldn't stand that!\That guy is Ginyu! Don't hesitate to take him down!\There's no way he can defeat you at your present levels!\Go on, start beating on him! response:	S- start beating on him, you say?
context: That's Father?\Yahoo!\Yum, yum!\I couldn't stand that!\That guy is Ginyu! Don't hesitate to take him down!\There's no way he can defeat you at your present levels!\Go on, start beating on him!\S- start beating on him, you say? response:	Fool! You think I cannot defeat them? This was originally your body!
context: Yahoo!\Yum, yum!\I couldn't stand that!\That guy is Ginyu! Don't hesitate to take him down!\There's no way he can defeat you at your present levels!\Go on, start beating on him!\S- start beating on him, you say?\Fool! You think I cannot defeat them? This was originally your body! response:	It's battle power is over 180,000.
context: Yum, yum!\I couldn't stand that!\That guy is Ginyu! Don't hesitate to take him down!\There's no way he can defeat you at your present levels!\Go on, start beating on him!\S- start beating on him, you say?\Fool! You think I cannot defeat them? This was originally your body!\It's battle power is over 180,000. response:	There's no reason why that would have changed!
context: I couldn't stand that!\That guy is Ginyu! Don't hesitate to take him down!\There's no way he can defeat you at your present levels!\Go on, start beating on him!\S- start beating on him, you say?\Fool! You think I cannot defeat them? This was originally your body!\It's battle power is over 180,000.\There's no reason why that would have changed! response:	You'll see, once you give it a try. That's my body there.
context: That guy is Ginyu! Don't hesitate to take him down!\There's no way he can defeat you at your present levels!\Go on, start beating on him!\S- start beating on him, you say?\Fool! You think I cannot defeat them? This was originally your body!\It's battle power is over 180,000.\There's no reason why that would have changed!\You'll see, once you give it a try. That's my body there. response:	How do you even expect to use its Ki well, let alone Kaio-ken?
context: There's no way he can defeat you at your present levels!\Go on, start beating on him!\S- start beating on him, you say?\Fool! You think I cannot defeat them? This was originally your body!\It's battle power is over 180,000.\There's no reason why that would have changed!\You'll see, once you give it a try. That's my body there.\How do you even expect to use its Ki well, let alone Kaio-ken? response:	If body and mind ain't completely united, you won't get any great power!
context: Go on, start beating on him!\S- start beating on him, you say?\Fool! You think I cannot defeat them? This was originally your body!\It's battle power is over 180,000.\There's no reason why that would have changed!\You'll see, once you give it a try. That's my body there.\How do you even expect to use its Ki well, let alone Kaio-ken?\If body and mind ain't completely united, you won't get any great power! response:	Your lies won't work on Ginyu- sama.
context: S- start beating on him, you say?\Fool! You think I cannot defeat them? This was originally your body!\It's battle power is over 180,000.\There's no reason why that would have changed!\You'll see, once you give it a try. That's my body there.\How do you even expect to use its Ki well, let alone Kaio-ken?\If body and mind ain't completely united, you won't get any great power!\Your lies won't work on Ginyu- sama. response:	I'll show you what my battle power is right now!
context: Fool! You think I cannot defeat them? This was originally your body!\It's battle power is over 180,000.\There's no reason why that would have changed!\You'll see, once you give it a try. That's my body there.\How do you even expect to use its Ki well, let alone Kaio-ken?\If body and mind ain't completely united, you won't get any great power!\Your lies won't work on Ginyu- sama.\I'll show you what my battle power is right now! response:	Jheese...
context: It's battle power is over 180,000.\There's no reason why that would have changed!\You'll see, once you give it a try. That's my body there.\How do you even expect to use its Ki well, let alone Kaio-ken?\If body and mind ain't completely united, you won't get any great power!\Your lies won't work on Ginyu- sama.\I'll show you what my battle power is right now!\Jheese... response:	Yes, sir!
context: There's no reason why that would have changed!\You'll see, once you give it a try. That's my body there.\How do you even expect to use its Ki well, let alone Kaio-ken?\If body and mind ain't completely united, you won't get any great power!\Your lies won't work on Ginyu- sama.\I'll show you what my battle power is right now!\Jheese...\Yes, sir! response:	Jheese! How high is my battle power?
context: You'll see, once you give it a try. That's my body there.\How do you even expect to use its Ki well, let alone Kaio-ken?\If body and mind ain't completely united, you won't get any great power!\Your lies won't work on Ginyu- sama.\I'll show you what my battle power is right now!\Jheese...\Yes, sir!\Jheese! How high is my battle power? response:	Just how high a battle power does Ginyu have, now that he has stolen Goku's body?
context: How do you even expect to use its Ki well, let alone Kaio-ken?\If body and mind ain't completely united, you won't get any great power!\Your lies won't work on Ginyu- sama.\I'll show you what my battle power is right now!\Jheese...\Yes, sir!\Jheese! How high is my battle power?\Just how high a battle power does Ginyu have, now that he has stolen Goku's body? response:	Moreover, will Goku be able to get his own body back?
