context: This isn't personal. response:	We're just trying to live.
context: Didn't I tell you?\No, it was a lady.\I'm pretty sure it was a man.\An illusion?\Sir?\We're leaving here now!\Yin?\Yin! response:	Sir! Is there something wrong?
context: No, it was a lady.\I'm pretty sure it was a man.\An illusion?\Sir?\We're leaving here now!\Yin?\Yin!\Sir! Is there something wrong? response:	Sir! Sir?
context: I'm pretty sure it was a man.\An illusion?\Sir?\We're leaving here now!\Yin?\Yin!\Sir! Is there something wrong?\Sir! Sir? response:	Get down!
context: An illusion?\Sir?\We're leaving here now!\Yin?\Yin!\Sir! Is there something wrong?\Sir! Sir?\Get down! response:	Ah, sir, what's...!
context: Sir?\We're leaving here now!\Yin?\Yin!\Sir! Is there something wrong?\Sir! Sir?\Get down!\Ah, sir, what's...! response:	Run!
context: We're leaving here now!\Yin?\Yin!\Sir! Is there something wrong?\Sir! Sir?\Get down!\Ah, sir, what's...!\Run! response:	Where's Yin?
context: Yin?\Yin!\Sir! Is there something wrong?\Sir! Sir?\Get down!\Ah, sir, what's...!\Run!\Where's Yin? response:	We should have taken a plane.
context: Yin!\Sir! Is there something wrong?\Sir! Sir?\Get down!\Ah, sir, what's...!\Run!\Where's Yin?\We should have taken a plane. response:	I can't contact the building at the eastern gate.
context: Sir! Is there something wrong?\Sir! Sir?\Get down!\Ah, sir, what's...!\Run!\Where's Yin?\We should have taken a plane.\I can't contact the building at the eastern gate. response:	For how long?
context: Sir! Sir?\Get down!\Ah, sir, what's...!\Run!\Where's Yin?\We should have taken a plane.\I can't contact the building at the eastern gate.\For how long? response:	Five minutes.
context: Get down!\Ah, sir, what's...!\Run!\Where's Yin?\We should have taken a plane.\I can't contact the building at the eastern gate.\For how long?\Five minutes. response:	So they got to them.
context: Ah, sir, what's...!\Run!\Where's Yin?\We should have taken a plane.\I can't contact the building at the eastern gate.\For how long?\Five minutes.\So they got to them. response:	Regroup!
context: Run!\Where's Yin?\We should have taken a plane.\I can't contact the building at the eastern gate.\For how long?\Five minutes.\So they got to them.\Regroup! response:	We'll have to see the Black Grim Reaper dead another day.
context: Where's Yin?\We should have taken a plane.\I can't contact the building at the eastern gate.\For how long?\Five minutes.\So they got to them.\Regroup!\We'll have to see the Black Grim Reaper dead another day. response:	We have to deliver this doll first.
context: We should have taken a plane.\I can't contact the building at the eastern gate.\For how long?\Five minutes.\So they got to them.\Regroup!\We'll have to see the Black Grim Reaper dead another day.\We have to deliver this doll first. response:	Yeah, it's me.
context: I can't contact the building at the eastern gate.\For how long?\Five minutes.\So they got to them.\Regroup!\We'll have to see the Black Grim Reaper dead another day.\We have to deliver this doll first.\Yeah, it's me. response:	We're going to take the doll and leave. Now!
context: For how long?\Five minutes.\So they got to them.\Regroup!\We'll have to see the Black Grim Reaper dead another day.\We have to deliver this doll first.\Yeah, it's me.\We're going to take the doll and leave. Now! response:	I know how many people can get on the helicopter! It'll just be the doll and me.
context: Five minutes.\So they got to them.\Regroup!\We'll have to see the Black Grim Reaper dead another day.\We have to deliver this doll first.\Yeah, it's me.\We're going to take the doll and leave. Now!\I know how many people can get on the helicopter! It'll just be the doll and me. response:	You take care of the rest.
context: So they got to them.\Regroup!\We'll have to see the Black Grim Reaper dead another day.\We have to deliver this doll first.\Yeah, it's me.\We're going to take the doll and leave. Now!\I know how many people can get on the helicopter! It'll just be the doll and me.\You take care of the rest. response:	You want me to take care of the rest?
context: Regroup!\We'll have to see the Black Grim Reaper dead another day.\We have to deliver this doll first.\Yeah, it's me.\We're going to take the doll and leave. Now!\I know how many people can get on the helicopter! It'll just be the doll and me.\You take care of the rest.\You want me to take care of the rest? response:	You want me to risk my life for a doll when he's coming?
context: We'll have to see the Black Grim Reaper dead another day.\We have to deliver this doll first.\Yeah, it's me.\We're going to take the doll and leave. Now!\I know how many people can get on the helicopter! It'll just be the doll and me.\You take care of the rest.\You want me to take care of the rest?\You want me to risk my life for a doll when he's coming? response:	I would run away right away.
context: We have to deliver this doll first.\Yeah, it's me.\We're going to take the doll and leave. Now!\I know how many people can get on the helicopter! It'll just be the doll and me.\You take care of the rest.\You want me to take care of the rest?\You want me to risk my life for a doll when he's coming?\I would run away right away. response:	Why are you bringing this up now?
context: Yeah, it's me.\We're going to take the doll and leave. Now!\I know how many people can get on the helicopter! It'll just be the doll and me.\You take care of the rest.\You want me to take care of the rest?\You want me to risk my life for a doll when he's coming?\I would run away right away.\Why are you bringing this up now? response:	Your opinion and report from this morning are completely different!
context: We're going to take the doll and leave. Now!\I know how many people can get on the helicopter! It'll just be the doll and me.\You take care of the rest.\You want me to take care of the rest?\You want me to risk my life for a doll when he's coming?\I would run away right away.\Why are you bringing this up now?\Your opinion and report from this morning are completely different! response:	I thought it over.
context: I know how many people can get on the helicopter! It'll just be the doll and me.\You take care of the rest.\You want me to take care of the rest?\You want me to risk my life for a doll when he's coming?\I would run away right away.\Why are you bringing this up now?\Your opinion and report from this morning are completely different!\I thought it over. response:	I acted like Amber as you told me,
context: You take care of the rest.\You want me to take care of the rest?\You want me to risk my life for a doll when he's coming?\I would run away right away.\Why are you bringing this up now?\Your opinion and report from this morning are completely different!\I thought it over.\I acted like Amber as you told me, response:	but there's no way a contractor can quicken the evolution of a doll.
context: You want me to take care of the rest?\You want me to risk my life for a doll when he's coming?\I would run away right away.\Why are you bringing this up now?\Your opinion and report from this morning are completely different!\I thought it over.\I acted like Amber as you told me,\but there's no way a contractor can quicken the evolution of a doll. response:	The Black Grim Reaper is here.
context: You want me to risk my life for a doll when he's coming?\I would run away right away.\Why are you bringing this up now?\Your opinion and report from this morning are completely different!\I thought it over.\I acted like Amber as you told me,\but there's no way a contractor can quicken the evolution of a doll.\The Black Grim Reaper is here. response:	Did you hear?
context: I would run away right away.\Why are you bringing this up now?\Your opinion and report from this morning are completely different!\I thought it over.\I acted like Amber as you told me,\but there's no way a contractor can quicken the evolution of a doll.\The Black Grim Reaper is here.\Did you hear? response:	Yeah.
context: Why are you bringing this up now?\Your opinion and report from this morning are completely different!\I thought it over.\I acted like Amber as you told me,\but there's no way a contractor can quicken the evolution of a doll.\The Black Grim Reaper is here.\Did you hear?\Yeah. response:	Then get to work already!
context: Your opinion and report from this morning are completely different!\I thought it over.\I acted like Amber as you told me,\but there's no way a contractor can quicken the evolution of a doll.\The Black Grim Reaper is here.\Did you hear?\Yeah.\Then get to work already! response:	If you say so.
context: I thought it over.\I acted like Amber as you told me,\but there's no way a contractor can quicken the evolution of a doll.\The Black Grim Reaper is here.\Did you hear?\Yeah.\Then get to work already!\If you say so. response:	So he escaped the illusion through pain.
context: I acted like Amber as you told me,\but there's no way a contractor can quicken the evolution of a doll.\The Black Grim Reaper is here.\Did you hear?\Yeah.\Then get to work already!\If you say so.\So he escaped the illusion through pain. response:	Producing illusions is only one part of my power.
context: but there's no way a contractor can quicken the evolution of a doll.\The Black Grim Reaper is here.\Did you hear?\Yeah.\Then get to work already!\If you say so.\So he escaped the illusion through pain.\Producing illusions is only one part of my power. response:	My core ability is the control of people.
context: The Black Grim Reaper is here.\Did you hear?\Yeah.\Then get to work already!\If you say so.\So he escaped the illusion through pain.\Producing illusions is only one part of my power.\My core ability is the control of people. response:	Still, why did you come here?
context: Did you hear?\Yeah.\Then get to work already!\If you say so.\So he escaped the illusion through pain.\Producing illusions is only one part of my power.\My core ability is the control of people.\Still, why did you come here? response:	It should just be a doll to you.
context: Yeah.\Then get to work already!\If you say so.\So he escaped the illusion through pain.\Producing illusions is only one part of my power.\My core ability is the control of people.\Still, why did you come here?\It should just be a doll to you. response:	Im...poss...ible!
context: Then get to work already!\If you say so.\So he escaped the illusion through pain.\Producing illusions is only one part of my power.\My core ability is the control of people.\Still, why did you come here?\It should just be a doll to you.\Im...poss...ible! response:	You're just... a doll!
context: If you say so.\So he escaped the illusion through pain.\Producing illusions is only one part of my power.\My core ability is the control of people.\Still, why did you come here?\It should just be a doll to you.\Im...poss...ible!\You're just... a doll! response:	No matter what your plan is, I will crush it.
context: So he escaped the illusion through pain.\Producing illusions is only one part of my power.\My core ability is the control of people.\Still, why did you come here?\It should just be a doll to you.\Im...poss...ible!\You're just... a doll!\No matter what your plan is, I will crush it. response:	Got it?
context: Producing illusions is only one part of my power.\My core ability is the control of people.\Still, why did you come here?\It should just be a doll to you.\Im...poss...ible!\You're just... a doll!\No matter what your plan is, I will crush it.\Got it? response:	Yin!
context: My core ability is the control of people.\Still, why did you come here?\It should just be a doll to you.\Im...poss...ible!\You're just... a doll!\No matter what your plan is, I will crush it.\Got it?\Yin! response:	Yin!
context: Still, why did you come here?\It should just be a doll to you.\Im...poss...ible!\You're just... a doll!\No matter what your plan is, I will crush it.\Got it?\Yin!\Yin! response:	Don't...
context: It should just be a doll to you.\Im...poss...ible!\You're just... a doll!\No matter what your plan is, I will crush it.\Got it?\Yin!\Yin!\Don't... response:	Don't leave me alone!
context: Im...poss...ible!\You're just... a doll!\No matter what your plan is, I will crush it.\Got it?\Yin!\Yin!\Don't...\Don't leave me alone! response:	Hei...
context: You're just... a doll!\No matter what your plan is, I will crush it.\Got it?\Yin!\Yin!\Don't...\Don't leave me alone!\Hei... response:	Can you fly? ano sora ni kagayaku Ziggy Star
context: No matter what your plan is, I will crush it.\Got it?\Yin!\Yin!\Don't...\Don't leave me alone!\Hei...\Can you fly? ano sora ni kagayaku Ziggy Star response:	Can you fly? Ziggy Star shining in the sky
context: Got it?\Yin!\Yin!\Don't...\Don't leave me alone!\Hei...\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky response:	kowareta yume kieta ai torimodoshite Fly away
context: Yin!\Yin!\Don't...\Don't leave me alone!\Hei...\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away response:	Claiming back my broken dreams and lost love Fly away
context: Yin!\Don't...\Don't leave me alone!\Hei...\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away response:	Can you try? nikushimi o jihi e to kaete
context: Don't...\Don't leave me alone!\Hei...\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete response:	Can you try? Changing this hate into compassion
context: Don't leave me alone!\Hei...\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion response:	kawaita mune o nurasu Darker than Black
context: Hei...\Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black response:	Soaking up my dry chest Darker than Black
context: Can you fly? ano sora ni kagayaku Ziggy Star\Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black response:	utsuro ni hikaru kousou no mado
context: Can you fly? Ziggy Star shining in the sky\kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado response:	From hollow spaces the windows on the skyscrapers shine,
context: kowareta yume kieta ai torimodoshite Fly away\Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine, response:	hatasenu mama no yakusoku
context: Claiming back my broken dreams and lost love Fly away\Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku response:	a promise that remains unfulfilled
context: Can you try? nikushimi o jihi e to kaete\Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled response:	muda ni nagareta chi to namida ni somaru kanashii Game
context: Can you try? Changing this hate into compassion\kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game response:	Dyed in pointlessly flowing blood and tears, this sad Game
context: kawaita mune o nurasu Darker than Black\Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game response:	Oh, Where is my friend? hitori yozora o nagamereba
context: Soaking up my dry chest Darker than Black\utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba response:	Oh, Where is my friend? If I Gaze at the night sky alone
context: utsuro ni hikaru kousou no mado\From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone response:	hoshikage ni yureru kimi no Sweet smile
context: From hollow spaces the windows on the skyscrapers shine,\hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile response:	Swaying in the starlight is your Sweet smile
context: hatasenu mama no yakusoku\a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile response:	Can you try? tachihadakaru kabe o kowashite
context: a promise that remains unfulfilled\muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite response:	Can you try? Break the wall that is blocking your way
context: muda ni nagareta chi to namida ni somaru kanashii Game\Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way response:	tabidatsu toki o kizamu Darker than Black
context: Dyed in pointlessly flowing blood and tears, this sad Game\Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black response:	The time to begin is ticking by Darker than Black
context: Oh, Where is my friend? hitori yozora o nagamereba\Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black\The time to begin is ticking by Darker than Black response:	Are you dead?
context: Oh, Where is my friend? If I Gaze at the night sky alone\hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black\The time to begin is ticking by Darker than Black\Are you dead? response:	It was close.
context: hoshikage ni yureru kimi no Sweet smile\Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black\The time to begin is ticking by Darker than Black\Are you dead?\It was close. response:	My real body almost got exposed.
context: Swaying in the starlight is your Sweet smile\Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black\The time to begin is ticking by Darker than Black\Are you dead?\It was close.\My real body almost got exposed. response:	Either way, we now know how to act from today's events.
context: Can you try? tachihadakaru kabe o kowashite\Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black\The time to begin is ticking by Darker than Black\Are you dead?\It was close.\My real body almost got exposed.\Either way, we now know how to act from today's events. response:	The doll is certainly evolving faster by being with that contractor.
context: Can you try? Break the wall that is blocking your way\tabidatsu toki o kizamu Darker than Black\The time to begin is ticking by Darker than Black\Are you dead?\It was close.\My real body almost got exposed.\Either way, we now know how to act from today's events.\The doll is certainly evolving faster by being with that contractor. response:	Much too fast.
context: tabidatsu toki o kizamu Darker than Black\The time to begin is ticking by Darker than Black\Are you dead?\It was close.\My real body almost got exposed.\Either way, we now know how to act from today's events.\The doll is certainly evolving faster by being with that contractor.\Much too fast. response:	Soon, no one will be able to handle her.
context: The time to begin is ticking by Darker than Black\Are you dead?\It was close.\My real body almost got exposed.\Either way, we now know how to act from today's events.\The doll is certainly evolving faster by being with that contractor.\Much too fast.\Soon, no one will be able to handle her. response:	Including him.
context: Are you dead?\It was close.\My real body almost got exposed.\Either way, we now know how to act from today's events.\The doll is certainly evolving faster by being with that contractor.\Much too fast.\Soon, no one will be able to handle her.\Including him. response:	No matter where we run, there is no end to it.
context: It was close.\My real body almost got exposed.\Either way, we now know how to act from today's events.\The doll is certainly evolving faster by being with that contractor.\Much too fast.\Soon, no one will be able to handle her.\Including him.\No matter where we run, there is no end to it. response:	We're just heading toward another hell: Kowloon, Hong Kong.
context: My real body almost got exposed.\Either way, we now know how to act from today's events.\The doll is certainly evolving faster by being with that contractor.\Much too fast.\Soon, no one will be able to handle her.\Including him.\No matter where we run, there is no end to it.\We're just heading toward another hell: Kowloon, Hong Kong. response:	The white darkness captures Yin, and doesn't let her go.
