context: At 18:00 Space Standard Time, response:	a GDF Special Forces unit set up transmission satellites
context: The mission commences in 36 hours. That is all.\Sir, could you go over the mission in more detail...?\I will right before you set out.\Uh, were we the ones assigned to this mission?\That was a pointless question.\Yesterday's mission ended in failure\and we still aren't accustomed to piloting the AHSMBs.\Your opinion has been dismissed. response:	They'll brutalize me if I fail again...
context: Sir, could you go over the mission in more detail...?\I will right before you set out.\Uh, were we the ones assigned to this mission?\That was a pointless question.\Yesterday's mission ended in failure\and we still aren't accustomed to piloting the AHSMBs.\Your opinion has been dismissed.\They'll brutalize me if I fail again... response:	I thought we'd finally become heroes, but we're still losers...
context: I will right before you set out.\Uh, were we the ones assigned to this mission?\That was a pointless question.\Yesterday's mission ended in failure\and we still aren't accustomed to piloting the AHSMBs.\Your opinion has been dismissed.\They'll brutalize me if I fail again...\I thought we'd finally become heroes, but we're still losers... response:	Will we be the Failure Five forever?
context: Uh, were we the ones assigned to this mission?\That was a pointless question.\Yesterday's mission ended in failure\and we still aren't accustomed to piloting the AHSMBs.\Your opinion has been dismissed.\They'll brutalize me if I fail again...\I thought we'd finally become heroes, but we're still losers...\Will we be the Failure Five forever? response:	Team Rabbits!
context: That was a pointless question.\Yesterday's mission ended in failure\and we still aren't accustomed to piloting the AHSMBs.\Your opinion has been dismissed.\They'll brutalize me if I fail again...\I thought we'd finally become heroes, but we're still losers...\Will we be the Failure Five forever?\Team Rabbits! response:	You have been authorized to take a day and a half off.
context: Yesterday's mission ended in failure\and we still aren't accustomed to piloting the AHSMBs.\Your opinion has been dismissed.\They'll brutalize me if I fail again...\I thought we'd finally become heroes, but we're still losers...\Will we be the Failure Five forever?\Team Rabbits!\You have been authorized to take a day and a half off. response:	The ship is ready for takeoff as soon as you are ready.
context: and we still aren't accustomed to piloting the AHSMBs.\Your opinion has been dismissed.\They'll brutalize me if I fail again...\I thought we'd finally become heroes, but we're still losers...\Will we be the Failure Five forever?\Team Rabbits!\You have been authorized to take a day and a half off.\The ship is ready for takeoff as soon as you are ready. response:	Time off?
context: Your opinion has been dismissed.\They'll brutalize me if I fail again...\I thought we'd finally become heroes, but we're still losers...\Will we be the Failure Five forever?\Team Rabbits!\You have been authorized to take a day and a half off.\The ship is ready for takeoff as soon as you are ready.\Time off? response:	Right!
context: They'll brutalize me if I fail again...\I thought we'd finally become heroes, but we're still losers...\Will we be the Failure Five forever?\Team Rabbits!\You have been authorized to take a day and a half off.\The ship is ready for takeoff as soon as you are ready.\Time off?\Right! response:	You get to go on a vacation, albeit a short one.
context: I thought we'd finally become heroes, but we're still losers...\Will we be the Failure Five forever?\Team Rabbits!\You have been authorized to take a day and a half off.\The ship is ready for takeoff as soon as you are ready.\Time off?\Right!\You get to go on a vacation, albeit a short one. response:	Meet Your Special Someone in this Charming and Relaxing Vacation Spot PARADISE RESORT
context: Will we be the Failure Five forever?\Team Rabbits!\You have been authorized to take a day and a half off.\The ship is ready for takeoff as soon as you are ready.\Time off?\Right!\You get to go on a vacation, albeit a short one.\Meet Your Special Someone in this Charming and Relaxing Vacation Spot PARADISE RESORT response:	Awesome!
context: Team Rabbits!\You have been authorized to take a day and a half off.\The ship is ready for takeoff as soon as you are ready.\Time off?\Right!\You get to go on a vacation, albeit a short one.\Meet Your Special Someone in this Charming and Relaxing Vacation Spot PARADISE RESORT\Awesome! response:	Isn't this is a super expensive resort?
context: You have been authorized to take a day and a half off.\The ship is ready for takeoff as soon as you are ready.\Time off?\Right!\You get to go on a vacation, albeit a short one.\Meet Your Special Someone in this Charming and Relaxing Vacation Spot PARADISE RESORT\Awesome!\Isn't this is a super expensive resort? response:	Resort! Vacation! Romance!
context: The ship is ready for takeoff as soon as you are ready.\Time off?\Right!\You get to go on a vacation, albeit a short one.\Meet Your Special Someone in this Charming and Relaxing Vacation Spot PARADISE RESORT\Awesome!\Isn't this is a super expensive resort?\Resort! Vacation! Romance! response:	Time off before a mission?
context: Time off?\Right!\You get to go on a vacation, albeit a short one.\Meet Your Special Someone in this Charming and Relaxing Vacation Spot PARADISE RESORT\Awesome!\Isn't this is a super expensive resort?\Resort! Vacation! Romance!\Time off before a mission? response:	So we won't die with any regrets?
context: Right!\You get to go on a vacation, albeit a short one.\Meet Your Special Someone in this Charming and Relaxing Vacation Spot PARADISE RESORT\Awesome!\Isn't this is a super expensive resort?\Resort! Vacation! Romance!\Time off before a mission?\So we won't die with any regrets? response:	Guys, you should be happy about this!
context: You get to go on a vacation, albeit a short one.\Meet Your Special Someone in this Charming and Relaxing Vacation Spot PARADISE RESORT\Awesome!\Isn't this is a super expensive resort?\Resort! Vacation! Romance!\Time off before a mission?\So we won't die with any regrets?\Guys, you should be happy about this! response:	Resort. Vacation! ROMANCE!
context: Meet Your Special Someone in this Charming and Relaxing Vacation Spot PARADISE RESORT\Awesome!\Isn't this is a super expensive resort?\Resort! Vacation! Romance!\Time off before a mission?\So we won't die with any regrets?\Guys, you should be happy about this!\Resort. Vacation! ROMANCE! response:	Enough with that lame cheer.
context: Awesome!\Isn't this is a super expensive resort?\Resort! Vacation! Romance!\Time off before a mission?\So we won't die with any regrets?\Guys, you should be happy about this!\Resort. Vacation! ROMANCE!\Enough with that lame cheer. response:	We're only getting a day and a half off.
context: Isn't this is a super expensive resort?\Resort! Vacation! Romance!\Time off before a mission?\So we won't die with any regrets?\Guys, you should be happy about this!\Resort. Vacation! ROMANCE!\Enough with that lame cheer.\We're only getting a day and a half off. response:	After that, we have to hit the enemy with a sneak attack.
context: Resort! Vacation! Romance!\Time off before a mission?\So we won't die with any regrets?\Guys, you should be happy about this!\Resort. Vacation! ROMANCE!\Enough with that lame cheer.\We're only getting a day and a half off.\After that, we have to hit the enemy with a sneak attack. response:	Even so...!
context: Time off before a mission?\So we won't die with any regrets?\Guys, you should be happy about this!\Resort. Vacation! ROMANCE!\Enough with that lame cheer.\We're only getting a day and a half off.\After that, we have to hit the enemy with a sneak attack.\Even so...! response:	Resort! Vacation! Romance! Yay!
context: So we won't die with any regrets?\Guys, you should be happy about this!\Resort. Vacation! ROMANCE!\Enough with that lame cheer.\We're only getting a day and a half off.\After that, we have to hit the enemy with a sneak attack.\Even so...!\Resort! Vacation! Romance! Yay! response:	Whoo boy! Look at all the babes!
context: Guys, you should be happy about this!\Resort. Vacation! ROMANCE!\Enough with that lame cheer.\We're only getting a day and a half off.\After that, we have to hit the enemy with a sneak attack.\Even so...!\Resort! Vacation! Romance! Yay!\Whoo boy! Look at all the babes! response:	And all the dudes!
context: Resort. Vacation! ROMANCE!\Enough with that lame cheer.\We're only getting a day and a half off.\After that, we have to hit the enemy with a sneak attack.\Even so...!\Resort! Vacation! Romance! Yay!\Whoo boy! Look at all the babes!\And all the dudes! response:	However, the unit was rushed by a Wulgaru squad
context: Enough with that lame cheer.\We're only getting a day and a half off.\After that, we have to hit the enemy with a sneak attack.\Even so...!\Resort! Vacation! Romance! Yay!\Whoo boy! Look at all the babes!\And all the dudes!\However, the unit was rushed by a Wulgaru squad response:	and the replacement transmission satellites were destroyed.
context: We're only getting a day and a half off.\After that, we have to hit the enemy with a sneak attack.\Even so...!\Resort! Vacation! Romance! Yay!\Whoo boy! Look at all the babes!\And all the dudes!\However, the unit was rushed by a Wulgaru squad\and the replacement transmission satellites were destroyed. response:	Uh, aren't you getting hungry? Why don't we grab a bite to eat?
context: After that, we have to hit the enemy with a sneak attack.\Even so...!\Resort! Vacation! Romance! Yay!\Whoo boy! Look at all the babes!\And all the dudes!\However, the unit was rushed by a Wulgaru squad\and the replacement transmission satellites were destroyed.\Uh, aren't you getting hungry? Why don't we grab a bite to eat? response:	I don't want your commiseration!
context: Even so...!\Resort! Vacation! Romance! Yay!\Whoo boy! Look at all the babes!\And all the dudes!\However, the unit was rushed by a Wulgaru squad\and the replacement transmission satellites were destroyed.\Uh, aren't you getting hungry? Why don't we grab a bite to eat?\I don't want your commiseration! response:	They're open all hours of the day, huh?
context: Resort! Vacation! Romance! Yay!\Whoo boy! Look at all the babes!\And all the dudes!\However, the unit was rushed by a Wulgaru squad\and the replacement transmission satellites were destroyed.\Uh, aren't you getting hungry? Why don't we grab a bite to eat?\I don't want your commiseration!\They're open all hours of the day, huh? response:	Just what I'd expect from a resort!
context: Whoo boy! Look at all the babes!\And all the dudes!\However, the unit was rushed by a Wulgaru squad\and the replacement transmission satellites were destroyed.\Uh, aren't you getting hungry? Why don't we grab a bite to eat?\I don't want your commiseration!\They're open all hours of the day, huh?\Just what I'd expect from a resort! response:	No matter what we eat, the army's footing the bill, right?
context: And all the dudes!\However, the unit was rushed by a Wulgaru squad\and the replacement transmission satellites were destroyed.\Uh, aren't you getting hungry? Why don't we grab a bite to eat?\I don't want your commiseration!\They're open all hours of the day, huh?\Just what I'd expect from a resort!\No matter what we eat, the army's footing the bill, right? response:	I'm getting curry!
context: However, the unit was rushed by a Wulgaru squad\and the replacement transmission satellites were destroyed.\Uh, aren't you getting hungry? Why don't we grab a bite to eat?\I don't want your commiseration!\They're open all hours of the day, huh?\Just what I'd expect from a resort!\No matter what we eat, the army's footing the bill, right?\I'm getting curry! response:	A big bowl of rice with salted fish guts!
context: and the replacement transmission satellites were destroyed.\Uh, aren't you getting hungry? Why don't we grab a bite to eat?\I don't want your commiseration!\They're open all hours of the day, huh?\Just what I'd expect from a resort!\No matter what we eat, the army's footing the bill, right?\I'm getting curry!\A big bowl of rice with salted fish guts! response:	They won't have that.
context: Uh, aren't you getting hungry? Why don't we grab a bite to eat?\I don't want your commiseration!\They're open all hours of the day, huh?\Just what I'd expect from a resort!\No matter what we eat, the army's footing the bill, right?\I'm getting curry!\A big bowl of rice with salted fish guts!\They won't have that. response:	Those are the kids they're showing on the news.
context: I don't want your commiseration!\They're open all hours of the day, huh?\Just what I'd expect from a resort!\No matter what we eat, the army's footing the bill, right?\I'm getting curry!\A big bowl of rice with salted fish guts!\They won't have that.\Those are the kids they're showing on the news. response:	Yeah. I'm just like, Are they gifted or not?
context: They're open all hours of the day, huh?\Just what I'd expect from a resort!\No matter what we eat, the army's footing the bill, right?\I'm getting curry!\A big bowl of rice with salted fish guts!\They won't have that.\Those are the kids they're showing on the news.\Yeah. I'm just like, Are they gifted or not? response:	What are they doing here?
context: Just what I'd expect from a resort!\No matter what we eat, the army's footing the bill, right?\I'm getting curry!\A big bowl of rice with salted fish guts!\They won't have that.\Those are the kids they're showing on the news.\Yeah. I'm just like, Are they gifted or not?\What are they doing here? response:	Did they finish a mission?
context: No matter what we eat, the army's footing the bill, right?\I'm getting curry!\A big bowl of rice with salted fish guts!\They won't have that.\Those are the kids they're showing on the news.\Yeah. I'm just like, Are they gifted or not?\What are they doing here?\Did they finish a mission? response:	It's not like this is anything new, y'know?
context: I'm getting curry!\A big bowl of rice with salted fish guts!\They won't have that.\Those are the kids they're showing on the news.\Yeah. I'm just like, Are they gifted or not?\What are they doing here?\Did they finish a mission?\It's not like this is anything new, y'know? response:	When you get down to it, we're the Failure Five.
context: A big bowl of rice with salted fish guts!\They won't have that.\Those are the kids they're showing on the news.\Yeah. I'm just like, Are they gifted or not?\What are they doing here?\Did they finish a mission?\It's not like this is anything new, y'know?\When you get down to it, we're the Failure Five. response:	We may have high specs, but we're still failures for some odd reason.
context: They won't have that.\Those are the kids they're showing on the news.\Yeah. I'm just like, Are they gifted or not?\What are they doing here?\Did they finish a mission?\It's not like this is anything new, y'know?\When you get down to it, we're the Failure Five.\We may have high specs, but we're still failures for some odd reason. response:	We heard that crap all the time at school, remember?
context: Those are the kids they're showing on the news.\Yeah. I'm just like, Are they gifted or not?\What are they doing here?\Did they finish a mission?\It's not like this is anything new, y'know?\When you get down to it, we're the Failure Five.\We may have high specs, but we're still failures for some odd reason.\We heard that crap all the time at school, remember? response:	Everyone at school saying that
context: Yeah. I'm just like, Are they gifted or not?\What are they doing here?\Did they finish a mission?\It's not like this is anything new, y'know?\When you get down to it, we're the Failure Five.\We may have high specs, but we're still failures for some odd reason.\We heard that crap all the time at school, remember?\Everyone at school saying that response:	isn't the same as the whole galaxy saying it!
context: What are they doing here?\Did they finish a mission?\It's not like this is anything new, y'know?\When you get down to it, we're the Failure Five.\We may have high specs, but we're still failures for some odd reason.\We heard that crap all the time at school, remember?\Everyone at school saying that\isn't the same as the whole galaxy saying it! response:	I'm going to the cottage.
context: Did they finish a mission?\It's not like this is anything new, y'know?\When you get down to it, we're the Failure Five.\We may have high specs, but we're still failures for some odd reason.\We heard that crap all the time at school, remember?\Everyone at school saying that\isn't the same as the whole galaxy saying it!\I'm going to the cottage. response:	Same.
context: It's not like this is anything new, y'know?\When you get down to it, we're the Failure Five.\We may have high specs, but we're still failures for some odd reason.\We heard that crap all the time at school, remember?\Everyone at school saying that\isn't the same as the whole galaxy saying it!\I'm going to the cottage.\Same. response:	Damn, they're such party poops!
context: When you get down to it, we're the Failure Five.\We may have high specs, but we're still failures for some odd reason.\We heard that crap all the time at school, remember?\Everyone at school saying that\isn't the same as the whole galaxy saying it!\I'm going to the cottage.\Same.\Damn, they're such party poops! response:	They should enjoy the resort since we're here!
context: We may have high specs, but we're still failures for some odd reason.\We heard that crap all the time at school, remember?\Everyone at school saying that\isn't the same as the whole galaxy saying it!\I'm going to the cottage.\Same.\Damn, they're such party poops!\They should enjoy the resort since we're here! response:	Seriously.
context: We heard that crap all the time at school, remember?\Everyone at school saying that\isn't the same as the whole galaxy saying it!\I'm going to the cottage.\Same.\Damn, they're such party poops!\They should enjoy the resort since we're here!\Seriously. response:	Thank you for waiting.
context: Everyone at school saying that\isn't the same as the whole galaxy saying it!\I'm going to the cottage.\Same.\Damn, they're such party poops!\They should enjoy the resort since we're here!\Seriously.\Thank you for waiting. response:	Here is your white rice and pickled fish guts.
context: isn't the same as the whole galaxy saying it!\I'm going to the cottage.\Same.\Damn, they're such party poops!\They should enjoy the resort since we're here!\Seriously.\Thank you for waiting.\Here is your white rice and pickled fish guts. response:	Who ordered the curry?
context: I'm going to the cottage.\Same.\Damn, they're such party poops!\They should enjoy the resort since we're here!\Seriously.\Thank you for waiting.\Here is your white rice and pickled fish guts.\Who ordered the curry? response:	Man, the party's starting to heat up!
context: Same.\Damn, they're such party poops!\They should enjoy the resort since we're here!\Seriously.\Thank you for waiting.\Here is your white rice and pickled fish guts.\Who ordered the curry?\Man, the party's starting to heat up! response:	I'm totally getting pumped!
context: Damn, they're such party poops!\They should enjoy the resort since we're here!\Seriously.\Thank you for waiting.\Here is your white rice and pickled fish guts.\Who ordered the curry?\Man, the party's starting to heat up!\I'm totally getting pumped! response:	I'm going.
context: They should enjoy the resort since we're here!\Seriously.\Thank you for waiting.\Here is your white rice and pickled fish guts.\Who ordered the curry?\Man, the party's starting to heat up!\I'm totally getting pumped!\I'm going. response:	Wait! If you're gonna hit the town...
context: Seriously.\Thank you for waiting.\Here is your white rice and pickled fish guts.\Who ordered the curry?\Man, the party's starting to heat up!\I'm totally getting pumped!\I'm going.\Wait! If you're gonna hit the town... response:	No, I'm going to train.
context: Thank you for waiting.\Here is your white rice and pickled fish guts.\Who ordered the curry?\Man, the party's starting to heat up!\I'm totally getting pumped!\I'm going.\Wait! If you're gonna hit the town...\No, I'm going to train. response:	Train?
context: Here is your white rice and pickled fish guts.\Who ordered the curry?\Man, the party's starting to heat up!\I'm totally getting pumped!\I'm going.\Wait! If you're gonna hit the town...\No, I'm going to train.\Train? response:	After a hero fails, 80 of the time he goes on a training spree!
context: Who ordered the curry?\Man, the party's starting to heat up!\I'm totally getting pumped!\I'm going.\Wait! If you're gonna hit the town...\No, I'm going to train.\Train?\After a hero fails, 80 of the time he goes on a training spree! response:	Where's Asagi?
context: Man, the party's starting to heat up!\I'm totally getting pumped!\I'm going.\Wait! If you're gonna hit the town...\No, I'm going to train.\Train?\After a hero fails, 80 of the time he goes on a training spree!\Where's Asagi? response:	Sleeping.
context: I'm totally getting pumped!\I'm going.\Wait! If you're gonna hit the town...\No, I'm going to train.\Train?\After a hero fails, 80 of the time he goes on a training spree!\Where's Asagi?\Sleeping. response:	Where are Suruga and Tamaki?
context: I'm going.\Wait! If you're gonna hit the town...\No, I'm going to train.\Train?\After a hero fails, 80 of the time he goes on a training spree!\Where's Asagi?\Sleeping.\Where are Suruga and Tamaki? response:	They said that they were going to enjoy their vacation.
context: Wait! If you're gonna hit the town...\No, I'm going to train.\Train?\After a hero fails, 80 of the time he goes on a training spree!\Where's Asagi?\Sleeping.\Where are Suruga and Tamaki?\They said that they were going to enjoy their vacation. response:	Kei?
context: No, I'm going to train.\Train?\After a hero fails, 80 of the time he goes on a training spree!\Where's Asagi?\Sleeping.\Where are Suruga and Tamaki?\They said that they were going to enjoy their vacation.\Kei? response:	Yes?
context: Train?\After a hero fails, 80 of the time he goes on a training spree!\Where's Asagi?\Sleeping.\Where are Suruga and Tamaki?\They said that they were going to enjoy their vacation.\Kei?\Yes? response:	You've got some cream here...
context: After a hero fails, 80 of the time he goes on a training spree!\Where's Asagi?\Sleeping.\Where are Suruga and Tamaki?\They said that they were going to enjoy their vacation.\Kei?\Yes?\You've got some cream here... response:	Cake!
context: Where's Asagi?\Sleeping.\Where are Suruga and Tamaki?\They said that they were going to enjoy their vacation.\Kei?\Yes?\You've got some cream here...\Cake! response:	It'll be ready soon. Want some?
context: Sleeping.\Where are Suruga and Tamaki?\They said that they were going to enjoy their vacation.\Kei?\Yes?\You've got some cream here...\Cake!\It'll be ready soon. Want some? response:	Well?
context: Where are Suruga and Tamaki?\They said that they were going to enjoy their vacation.\Kei?\Yes?\You've got some cream here...\Cake!\It'll be ready soon. Want some?\Well? response:	It's sweet, I guess...
context: They said that they were going to enjoy their vacation.\Kei?\Yes?\You've got some cream here...\Cake!\It'll be ready soon. Want some?\Well?\It's sweet, I guess... response:	It wouldn't be a cake if it wasn't sweet.
context: Kei?\Yes?\You've got some cream here...\Cake!\It'll be ready soon. Want some?\Well?\It's sweet, I guess...\It wouldn't be a cake if it wasn't sweet. response:	It's super sweet.
context: Yes?\You've got some cream here...\Cake!\It'll be ready soon. Want some?\Well?\It's sweet, I guess...\It wouldn't be a cake if it wasn't sweet.\It's super sweet. response:	Got a problem with my recipe?!
context: You've got some cream here...\Cake!\It'll be ready soon. Want some?\Well?\It's sweet, I guess...\It wouldn't be a cake if it wasn't sweet.\It's super sweet.\Got a problem with my recipe?! response:	Uh, no!
context: Cake!\It'll be ready soon. Want some?\Well?\It's sweet, I guess...\It wouldn't be a cake if it wasn't sweet.\It's super sweet.\Got a problem with my recipe?!\Uh, no! response:	I wonder what we're doing in a place like this.
context: It'll be ready soon. Want some?\Well?\It's sweet, I guess...\It wouldn't be a cake if it wasn't sweet.\It's super sweet.\Got a problem with my recipe?!\Uh, no!\I wonder what we're doing in a place like this. response:	Until just recently, we were students.
context: Well?\It's sweet, I guess...\It wouldn't be a cake if it wasn't sweet.\It's super sweet.\Got a problem with my recipe?!\Uh, no!\I wonder what we're doing in a place like this.\Until just recently, we were students. response:	I figured we'd be put on the battlefield eventually,
context: It's sweet, I guess...\It wouldn't be a cake if it wasn't sweet.\It's super sweet.\Got a problem with my recipe?!\Uh, no!\I wonder what we're doing in a place like this.\Until just recently, we were students.\I figured we'd be put on the battlefield eventually, response:	but this was so sudden...
context: It wouldn't be a cake if it wasn't sweet.\It's super sweet.\Got a problem with my recipe?!\Uh, no!\I wonder what we're doing in a place like this.\Until just recently, we were students.\I figured we'd be put on the battlefield eventually,\but this was so sudden... response:	They keep sending us on one mission after the next.
context: It's super sweet.\Got a problem with my recipe?!\Uh, no!\I wonder what we're doing in a place like this.\Until just recently, we were students.\I figured we'd be put on the battlefield eventually,\but this was so sudden...\They keep sending us on one mission after the next. response:	They even ordered us to take leave...
context: Got a problem with my recipe?!\Uh, no!\I wonder what we're doing in a place like this.\Until just recently, we were students.\I figured we'd be put on the battlefield eventually,\but this was so sudden...\They keep sending us on one mission after the next.\They even ordered us to take leave... response:	But we can't choose anything else for ourselves, can we?
context: Uh, no!\I wonder what we're doing in a place like this.\Until just recently, we were students.\I figured we'd be put on the battlefield eventually,\but this was so sudden...\They keep sending us on one mission after the next.\They even ordered us to take leave...\But we can't choose anything else for ourselves, can we? response:	We were born to fight.
context: I wonder what we're doing in a place like this.\Until just recently, we were students.\I figured we'd be put on the battlefield eventually,\but this was so sudden...\They keep sending us on one mission after the next.\They even ordered us to take leave...\But we can't choose anything else for ourselves, can we?\We were born to fight. response:	All of our memories were erased before we entered the academy...
context: Until just recently, we were students.\I figured we'd be put on the battlefield eventually,\but this was so sudden...\They keep sending us on one mission after the next.\They even ordered us to take leave...\But we can't choose anything else for ourselves, can we?\We were born to fight.\All of our memories were erased before we entered the academy... response:	If they order us to go, we have no choice but to fight.
context: I figured we'd be put on the battlefield eventually,\but this was so sudden...\They keep sending us on one mission after the next.\They even ordered us to take leave...\But we can't choose anything else for ourselves, can we?\We were born to fight.\All of our memories were erased before we entered the academy...\If they order us to go, we have no choice but to fight. response:	Sometimes it's too much to bear.
context: but this was so sudden...\They keep sending us on one mission after the next.\They even ordered us to take leave...\But we can't choose anything else for ourselves, can we?\We were born to fight.\All of our memories were erased before we entered the academy...\If they order us to go, we have no choice but to fight.\Sometimes it's too much to bear. response:	Just what am I?
context: They keep sending us on one mission after the next.\They even ordered us to take leave...\But we can't choose anything else for ourselves, can we?\We were born to fight.\All of our memories were erased before we entered the academy...\If they order us to go, we have no choice but to fight.\Sometimes it's too much to bear.\Just what am I? response:	I can't even make decisions for myself.
context: They even ordered us to take leave...\But we can't choose anything else for ourselves, can we?\We were born to fight.\All of our memories were erased before we entered the academy...\If they order us to go, we have no choice but to fight.\Sometimes it's too much to bear.\Just what am I?\I can't even make decisions for myself. response:	Izuru, doesn't it bother you?
context: But we can't choose anything else for ourselves, can we?\We were born to fight.\All of our memories were erased before we entered the academy...\If they order us to go, we have no choice but to fight.\Sometimes it's too much to bear.\Just what am I?\I can't even make decisions for myself.\Izuru, doesn't it bother you? response:	It doesn't matter.
context: We were born to fight.\All of our memories were erased before we entered the academy...\If they order us to go, we have no choice but to fight.\Sometimes it's too much to bear.\Just what am I?\I can't even make decisions for myself.\Izuru, doesn't it bother you?\It doesn't matter. response:	Even if I don't have a past,
context: All of our memories were erased before we entered the academy...\If they order us to go, we have no choice but to fight.\Sometimes it's too much to bear.\Just what am I?\I can't even make decisions for myself.\Izuru, doesn't it bother you?\It doesn't matter.\Even if I don't have a past, response:	even if my future is nasty, it doesn't matter to a hero.
context: If they order us to go, we have no choice but to fight.\Sometimes it's too much to bear.\Just what am I?\I can't even make decisions for myself.\Izuru, doesn't it bother you?\It doesn't matter.\Even if I don't have a past,\even if my future is nasty, it doesn't matter to a hero. response:	What?
context: Sometimes it's too much to bear.\Just what am I?\I can't even make decisions for myself.\Izuru, doesn't it bother you?\It doesn't matter.\Even if I don't have a past,\even if my future is nasty, it doesn't matter to a hero.\What? response:	When I first entered the academy,
context: Just what am I?\I can't even make decisions for myself.\Izuru, doesn't it bother you?\It doesn't matter.\Even if I don't have a past,\even if my future is nasty, it doesn't matter to a hero.\What?\When I first entered the academy, response:	I spent all of my time reading the manga in the dorm.
context: I can't even make decisions for myself.\Izuru, doesn't it bother you?\It doesn't matter.\Even if I don't have a past,\even if my future is nasty, it doesn't matter to a hero.\What?\When I first entered the academy,\I spent all of my time reading the manga in the dorm. response:	Those manga were brimming with cool heroes.
context: Izuru, doesn't it bother you?\It doesn't matter.\Even if I don't have a past,\even if my future is nasty, it doesn't matter to a hero.\What?\When I first entered the academy,\I spent all of my time reading the manga in the dorm.\Those manga were brimming with cool heroes. response:	I thought it would be awesome if I could be like them.
context: It doesn't matter.\Even if I don't have a past,\even if my future is nasty, it doesn't matter to a hero.\What?\When I first entered the academy,\I spent all of my time reading the manga in the dorm.\Those manga were brimming with cool heroes.\I thought it would be awesome if I could be like them. response:	I think that if we can accomplish something,
context: Even if I don't have a past,\even if my future is nasty, it doesn't matter to a hero.\What?\When I first entered the academy,\I spent all of my time reading the manga in the dorm.\Those manga were brimming with cool heroes.\I thought it would be awesome if I could be like them.\I think that if we can accomplish something, response:	it will prove that we were born for a reason precisely because we started with nothing.
context: even if my future is nasty, it doesn't matter to a hero.\What?\When I first entered the academy,\I spent all of my time reading the manga in the dorm.\Those manga were brimming with cool heroes.\I thought it would be awesome if I could be like them.\I think that if we can accomplish something,\it will prove that we were born for a reason precisely because we started with nothing. response:	We may be the Failure Five, but let's work to become heroes together!
context: What?\When I first entered the academy,\I spent all of my time reading the manga in the dorm.\Those manga were brimming with cool heroes.\I thought it would be awesome if I could be like them.\I think that if we can accomplish something,\it will prove that we were born for a reason precisely because we started with nothing.\We may be the Failure Five, but let's work to become heroes together! response:	Heroes, huh?
context: When I first entered the academy,\I spent all of my time reading the manga in the dorm.\Those manga were brimming with cool heroes.\I thought it would be awesome if I could be like them.\I think that if we can accomplish something,\it will prove that we were born for a reason precisely because we started with nothing.\We may be the Failure Five, but let's work to become heroes together!\Heroes, huh? response:	Would you like another slice of cake?
context: I spent all of my time reading the manga in the dorm.\Those manga were brimming with cool heroes.\I thought it would be awesome if I could be like them.\I think that if we can accomplish something,\it will prove that we were born for a reason precisely because we started with nothing.\We may be the Failure Five, but let's work to become heroes together!\Heroes, huh?\Would you like another slice of cake? response:	Gimme just a sec!
context: Those manga were brimming with cool heroes.\I thought it would be awesome if I could be like them.\I think that if we can accomplish something,\it will prove that we were born for a reason precisely because we started with nothing.\We may be the Failure Five, but let's work to become heroes together!\Heroes, huh?\Would you like another slice of cake?\Gimme just a sec! response:	Could you tell me what you think?
context: I thought it would be awesome if I could be like them.\I think that if we can accomplish something,\it will prove that we were born for a reason precisely because we started with nothing.\We may be the Failure Five, but let's work to become heroes together!\Heroes, huh?\Would you like another slice of cake?\Gimme just a sec!\Could you tell me what you think? response:	I just know you'll appreci-
context: I think that if we can accomplish something,\it will prove that we were born for a reason precisely because we started with nothing.\We may be the Failure Five, but let's work to become heroes together!\Heroes, huh?\Would you like another slice of cake?\Gimme just a sec!\Could you tell me what you think?\I just know you'll appreci- response:	No!
context: it will prove that we were born for a reason precisely because we started with nothing.\We may be the Failure Five, but let's work to become heroes together!\Heroes, huh?\Would you like another slice of cake?\Gimme just a sec!\Could you tell me what you think?\I just know you'll appreci-\No! response:	Ladies, you've got such nice bodies!
context: We may be the Failure Five, but let's work to become heroes together!\Heroes, huh?\Would you like another slice of cake?\Gimme just a sec!\Could you tell me what you think?\I just know you'll appreci-\No!\Ladies, you've got such nice bodies! response:	If I compared you to guns,
context: Heroes, huh?\Would you like another slice of cake?\Gimme just a sec!\Could you tell me what you think?\I just know you'll appreci-\No!\Ladies, you've got such nice bodies!\If I compared you to guns, response:	I'd say you're as wonderful as the
context: Would you like another slice of cake?\Gimme just a sec!\Could you tell me what you think?\I just know you'll appreci-\No!\Ladies, you've got such nice bodies!\If I compared you to guns,\I'd say you're as wonderful as the response:	Beretta Cx4 Storm designed by Master Giugiaro.
context: Gimme just a sec!\Could you tell me what you think?\I just know you'll appreci-\No!\Ladies, you've got such nice bodies!\If I compared you to guns,\I'd say you're as wonderful as the\Beretta Cx4 Storm designed by Master Giugiaro. response:	It has an elegant bodyline with curves reminiscent of a violin!
context: Could you tell me what you think?\I just know you'll appreci-\No!\Ladies, you've got such nice bodies!\If I compared you to guns,\I'd say you're as wonderful as the\Beretta Cx4 Storm designed by Master Giugiaro.\It has an elegant bodyline with curves reminiscent of a violin! response:	At any rate, practicality has nothing to do with the pursuit of a beautiful body!
