context: What on earth! response:	Look at that!
context: The strongest man.\That was my dream.\At last, the ultimate steroid, Biceps King, is complete!\Little brother!\Drink this and you will obtain the power you've been seeking!\What? Drink that?\Indeed! I added strawberry flavoring, to make it go down easier.\Brother... response:	Yes, this will do!
context: That was my dream.\At last, the ultimate steroid, Biceps King, is complete!\Little brother!\Drink this and you will obtain the power you've been seeking!\What? Drink that?\Indeed! I added strawberry flavoring, to make it go down easier.\Brother...\Yes, this will do! response:	My brains and your brawn!
context: At last, the ultimate steroid, Biceps King, is complete!\Little brother!\Drink this and you will obtain the power you've been seeking!\What? Drink that?\Indeed! I added strawberry flavoring, to make it go down easier.\Brother...\Yes, this will do!\My brains and your brawn! response:	By combining the greatest of minds and the strongest of bodies,
context: Little brother!\Drink this and you will obtain the power you've been seeking!\What? Drink that?\Indeed! I added strawberry flavoring, to make it go down easier.\Brother...\Yes, this will do!\My brains and your brawn!\By combining the greatest of minds and the strongest of bodies, response:	we brothers will conquer everything on earth
context: Drink this and you will obtain the power you've been seeking!\What? Drink that?\Indeed! I added strawberry flavoring, to make it go down easier.\Brother...\Yes, this will do!\My brains and your brawn!\By combining the greatest of minds and the strongest of bodies,\we brothers will conquer everything on earth response:	and rule as kings!
context: What? Drink that?\Indeed! I added strawberry flavoring, to make it go down easier.\Brother...\Yes, this will do!\My brains and your brawn!\By combining the greatest of minds and the strongest of bodies,\we brothers will conquer everything on earth\and rule as kings! response:	I-Incredible!
context: Indeed! I added strawberry flavoring, to make it go down easier.\Brother...\Yes, this will do!\My brains and your brawn!\By combining the greatest of minds and the strongest of bodies,\we brothers will conquer everything on earth\and rule as kings!\I-Incredible! response:	Well done, little brother. Thousands have perished!
context: Brother...\Yes, this will do!\My brains and your brawn!\By combining the greatest of minds and the strongest of bodies,\we brothers will conquer everything on earth\and rule as kings!\I-Incredible!\Well done, little brother. Thousands have perished! response:	Now, on to the next town to destroy it as well!
context: Yes, this will do!\My brains and your brawn!\By combining the greatest of minds and the strongest of bodies,\we brothers will conquer everything on earth\and rule as kings!\I-Incredible!\Well done, little brother. Thousands have perished!\Now, on to the next town to destroy it as well! response:	This! This is it, big bro. This is what I was looking for...
context: My brains and your brawn!\By combining the greatest of minds and the strongest of bodies,\we brothers will conquer everything on earth\and rule as kings!\I-Incredible!\Well done, little brother. Thousands have perished!\Now, on to the next town to destroy it as well!\This! This is it, big bro. This is what I was looking for... response:	To be the strongest man.
context: By combining the greatest of minds and the strongest of bodies,\we brothers will conquer everything on earth\and rule as kings!\I-Incredible!\Well done, little brother. Thousands have perished!\Now, on to the next town to destroy it as well!\This! This is it, big bro. This is what I was looking for...\To be the strongest man. response:	This is an emergency evacuation warning.
context: we brothers will conquer everything on earth\and rule as kings!\I-Incredible!\Well done, little brother. Thousands have perished!\Now, on to the next town to destroy it as well!\This! This is it, big bro. This is what I was looking for...\To be the strongest man.\This is an emergency evacuation warning. response:	A giant creature has appeared in City D.
context: and rule as kings!\I-Incredible!\Well done, little brother. Thousands have perished!\Now, on to the next town to destroy it as well!\This! This is it, big bro. This is what I was looking for...\To be the strongest man.\This is an emergency evacuation warning.\A giant creature has appeared in City D. response:	The creature is currently heading towards City B.
context: I-Incredible!\Well done, little brother. Thousands have perished!\Now, on to the next town to destroy it as well!\This! This is it, big bro. This is what I was looking for...\To be the strongest man.\This is an emergency evacuation warning.\A giant creature has appeared in City D.\The creature is currently heading towards City B. response:	All residents of the area, please evacuate immediately.
context: Well done, little brother. Thousands have perished!\Now, on to the next town to destroy it as well!\This! This is it, big bro. This is what I was looking for...\To be the strongest man.\This is an emergency evacuation warning.\A giant creature has appeared in City D.\The creature is currently heading towards City B.\All residents of the area, please evacuate immediately. response:	I repeat, the giant creature is currently heading for-
context: Now, on to the next town to destroy it as well!\This! This is it, big bro. This is what I was looking for...\To be the strongest man.\This is an emergency evacuation warning.\A giant creature has appeared in City D.\The creature is currently heading towards City B.\All residents of the area, please evacuate immediately.\I repeat, the giant creature is currently heading for- response:	Yes, that's right! Scatter like rats!
context: This! This is it, big bro. This is what I was looking for...\To be the strongest man.\This is an emergency evacuation warning.\A giant creature has appeared in City D.\The creature is currently heading towards City B.\All residents of the area, please evacuate immediately.\I repeat, the giant creature is currently heading for-\Yes, that's right! Scatter like rats! response:	Get them!
context: To be the strongest man.\This is an emergency evacuation warning.\A giant creature has appeared in City D.\The creature is currently heading towards City B.\All residents of the area, please evacuate immediately.\I repeat, the giant creature is currently heading for-\Yes, that's right! Scatter like rats!\Get them! response:	I'm the strongest man,
context: This is an emergency evacuation warning.\A giant creature has appeared in City D.\The creature is currently heading towards City B.\All residents of the area, please evacuate immediately.\I repeat, the giant creature is currently heading for-\Yes, that's right! Scatter like rats!\Get them!\I'm the strongest man, response:	I'm the strongest man, I'm the strongest man.
context: A giant creature has appeared in City D.\The creature is currently heading towards City B.\All residents of the area, please evacuate immediately.\I repeat, the giant creature is currently heading for-\Yes, that's right! Scatter like rats!\Get them!\I'm the strongest man,\I'm the strongest man, I'm the strongest man. response:	What do you think, brother?
context: The creature is currently heading towards City B.\All residents of the area, please evacuate immediately.\I repeat, the giant creature is currently heading for-\Yes, that's right! Scatter like rats!\Get them!\I'm the strongest man,\I'm the strongest man, I'm the strongest man.\What do you think, brother? response:	Yeah, how's it feel being the strongest?
context: All residents of the area, please evacuate immediately.\I repeat, the giant creature is currently heading for-\Yes, that's right! Scatter like rats!\Get them!\I'm the strongest man,\I'm the strongest man, I'm the strongest man.\What do you think, brother?\Yeah, how's it feel being the strongest? response:	What?!
context: I repeat, the giant creature is currently heading for-\Yes, that's right! Scatter like rats!\Get them!\I'm the strongest man,\I'm the strongest man, I'm the strongest man.\What do you think, brother?\Yeah, how's it feel being the strongest?\What?! response:	There's someone on your shoulder!
context: Yes, that's right! Scatter like rats!\Get them!\I'm the strongest man,\I'm the strongest man, I'm the strongest man.\What do you think, brother?\Yeah, how's it feel being the strongest?\What?!\There's someone on your shoulder! response:	Put some pants on.
context: Get them!\I'm the strongest man,\I'm the strongest man, I'm the strongest man.\What do you think, brother?\Yeah, how's it feel being the strongest?\What?!\There's someone on your shoulder!\Put some pants on. response:	That guy on your shoulder! Kill him!
context: I'm the strongest man,\I'm the strongest man, I'm the strongest man.\What do you think, brother?\Yeah, how's it feel being the strongest?\What?!\There's someone on your shoulder!\Put some pants on.\That guy on your shoulder! Kill him! response:	Brotherrr!
context: I'm the strongest man, I'm the strongest man.\What do you think, brother?\Yeah, how's it feel being the strongest?\What?!\There's someone on your shoulder!\Put some pants on.\That guy on your shoulder! Kill him!\Brotherrr! response:	How did this happen?! I just wanted to be strong!
context: What do you think, brother?\Yeah, how's it feel being the strongest?\What?!\There's someone on your shoulder!\Put some pants on.\That guy on your shoulder! Kill him!\Brotherrr!\How did this happen?! I just wanted to be strong! response:	And I finally am the strongest man, but...!
context: Yeah, how's it feel being the strongest?\What?!\There's someone on your shoulder!\Put some pants on.\That guy on your shoulder! Kill him!\Brotherrr!\How did this happen?! I just wanted to be strong!\And I finally am the strongest man, but...! response:	I don't know who you are, but it's your fault my brother is dead!
context: What?!\There's someone on your shoulder!\Put some pants on.\That guy on your shoulder! Kill him!\Brotherrr!\How did this happen?! I just wanted to be strong!\And I finally am the strongest man, but...!\I don't know who you are, but it's your fault my brother is dead! response:	The strongest!
context: There's someone on your shoulder!\Put some pants on.\That guy on your shoulder! Kill him!\Brotherrr!\How did this happen?! I just wanted to be strong!\And I finally am the strongest man, but...!\I don't know who you are, but it's your fault my brother is dead!\The strongest! response:	Behold our brotherly power!
context: Put some pants on.\That guy on your shoulder! Kill him!\Brotherrr!\How did this happen?! I just wanted to be strong!\And I finally am the strongest man, but...!\I don't know who you are, but it's your fault my brother is dead!\The strongest!\Behold our brotherly power! response:	I am the strongest.
context: That guy on your shoulder! Kill him!\Brotherrr!\How did this happen?! I just wanted to be strong!\And I finally am the strongest man, but...!\I don't know who you are, but it's your fault my brother is dead!\The strongest!\Behold our brotherly power!\I am the strongest. response:	So what if I am?
context: Brotherrr!\How did this happen?! I just wanted to be strong!\And I finally am the strongest man, but...!\I don't know who you are, but it's your fault my brother is dead!\The strongest!\Behold our brotherly power!\I am the strongest.\So what if I am? response:	I feel empty.
context: How did this happen?! I just wanted to be strong!\And I finally am the strongest man, but...!\I don't know who you are, but it's your fault my brother is dead!\The strongest!\Behold our brotherly power!\I am the strongest.\So what if I am?\I feel empty. response:	Right?
context: And I finally am the strongest man, but...!\I don't know who you are, but it's your fault my brother is dead!\The strongest!\Behold our brotherly power!\I am the strongest.\So what if I am?\I feel empty.\Right? response:	Having overwhelming strength is...
context: I don't know who you are, but it's your fault my brother is dead!\The strongest!\Behold our brotherly power!\I am the strongest.\So what if I am?\I feel empty.\Right?\Having overwhelming strength is... response:	Oops.
context: The strongest!\Behold our brotherly power!\I am the strongest.\So what if I am?\I feel empty.\Right?\Having overwhelming strength is...\Oops. response:	CITY B DESTROYED
context: Behold our brotherly power!\I am the strongest.\So what if I am?\I feel empty.\Right?\Having overwhelming strength is...\Oops.\CITY B DESTROYED response:	There's no sign that the evils of the world are disappearing.
context: I am the strongest.\So what if I am?\I feel empty.\Right?\Having overwhelming strength is...\Oops.\CITY B DESTROYED\There's no sign that the evils of the world are disappearing. response:	This hasn't changed since before I became a hero.
context: So what if I am?\I feel empty.\Right?\Having overwhelming strength is...\Oops.\CITY B DESTROYED\There's no sign that the evils of the world are disappearing.\This hasn't changed since before I became a hero. response:	In other words, you could say that I haven't made any impact.
context: I feel empty.\Right?\Having overwhelming strength is...\Oops.\CITY B DESTROYED\There's no sign that the evils of the world are disappearing.\This hasn't changed since before I became a hero.\In other words, you could say that I haven't made any impact. response:	I'm not necessarily sad about that.
context: Right?\Having overwhelming strength is...\Oops.\CITY B DESTROYED\There's no sign that the evils of the world are disappearing.\This hasn't changed since before I became a hero.\In other words, you could say that I haven't made any impact.\I'm not necessarily sad about that. response:	But there's something bothering me lately.
context: Having overwhelming strength is...\Oops.\CITY B DESTROYED\There's no sign that the evils of the world are disappearing.\This hasn't changed since before I became a hero.\In other words, you could say that I haven't made any impact.\I'm not necessarily sad about that.\But there's something bothering me lately. response:	As the days pass, my emotions grow more distant.
context: Oops.\CITY B DESTROYED\There's no sign that the evils of the world are disappearing.\This hasn't changed since before I became a hero.\In other words, you could say that I haven't made any impact.\I'm not necessarily sad about that.\But there's something bothering me lately.\As the days pass, my emotions grow more distant. response:	Fear, tension, joy, anger... I feel none of them anymore.
context: CITY B DESTROYED\There's no sign that the evils of the world are disappearing.\This hasn't changed since before I became a hero.\In other words, you could say that I haven't made any impact.\I'm not necessarily sad about that.\But there's something bothering me lately.\As the days pass, my emotions grow more distant.\Fear, tension, joy, anger... I feel none of them anymore. response:	In exchange for power,
context: There's no sign that the evils of the world are disappearing.\This hasn't changed since before I became a hero.\In other words, you could say that I haven't made any impact.\I'm not necessarily sad about that.\But there's something bothering me lately.\As the days pass, my emotions grow more distant.\Fear, tension, joy, anger... I feel none of them anymore.\In exchange for power, response:	maybe I've lost something that's essential for a human being?
context: This hasn't changed since before I became a hero.\In other words, you could say that I haven't made any impact.\I'm not necessarily sad about that.\But there's something bothering me lately.\As the days pass, my emotions grow more distant.\Fear, tension, joy, anger... I feel none of them anymore.\In exchange for power,\maybe I've lost something that's essential for a human being? response:	Vroom, vroom?
context: In other words, you could say that I haven't made any impact.\I'm not necessarily sad about that.\But there's something bothering me lately.\As the days pass, my emotions grow more distant.\Fear, tension, joy, anger... I feel none of them anymore.\In exchange for power,\maybe I've lost something that's essential for a human being?\Vroom, vroom? response:	No sense hiding if you saw me.
context: I'm not necessarily sad about that.\But there's something bothering me lately.\As the days pass, my emotions grow more distant.\Fear, tension, joy, anger... I feel none of them anymore.\In exchange for power,\maybe I've lost something that's essential for a human being?\Vroom, vroom?\No sense hiding if you saw me. response:	I'm Super Custom YO649Z Mk. II!
context: But there's something bothering me lately.\As the days pass, my emotions grow more distant.\Fear, tension, joy, anger... I feel none of them anymore.\In exchange for power,\maybe I've lost something that's essential for a human being?\Vroom, vroom?\No sense hiding if you saw me.\I'm Super Custom YO649Z Mk. II! response:	I love...
context: As the days pass, my emotions grow more distant.\Fear, tension, joy, anger... I feel none of them anymore.\In exchange for power,\maybe I've lost something that's essential for a human being?\Vroom, vroom?\No sense hiding if you saw me.\I'm Super Custom YO649Z Mk. II!\I love... response:	- I used to feel all kinds of emotions - building custom cars so much...
context: Fear, tension, joy, anger... I feel none of them anymore.\In exchange for power,\maybe I've lost something that's essential for a human being?\Vroom, vroom?\No sense hiding if you saw me.\I'm Super Custom YO649Z Mk. II!\I love...\- I used to feel all kinds of emotions - building custom cars so much... response:	- whirling inside me when I fought. - I decked myself out.
context: In exchange for power,\maybe I've lost something that's essential for a human being?\Vroom, vroom?\No sense hiding if you saw me.\I'm Super Custom YO649Z Mk. II!\I love...\- I used to feel all kinds of emotions - building custom cars so much...\- whirling inside me when I fought. - I decked myself out. response:	- Fear. Panic. Anger. - I'm a custom car-loving monster!
context: maybe I've lost something that's essential for a human being?\Vroom, vroom?\No sense hiding if you saw me.\I'm Super Custom YO649Z Mk. II!\I love...\- I used to feel all kinds of emotions - building custom cars so much...\- whirling inside me when I fought. - I decked myself out.\- Fear. Panic. Anger. - I'm a custom car-loving monster! response:	If you're thinking of getting in my way,
context: Vroom, vroom?\No sense hiding if you saw me.\I'm Super Custom YO649Z Mk. II!\I love...\- I used to feel all kinds of emotions - building custom cars so much...\- whirling inside me when I fought. - I decked myself out.\- Fear. Panic. Anger. - I'm a custom car-loving monster!\If you're thinking of getting in my way, response:	I'll put a shine on that big headlight of yours!
context: No sense hiding if you saw me.\I'm Super Custom YO649Z Mk. II!\I love...\- I used to feel all kinds of emotions - building custom cars so much...\- whirling inside me when I fought. - I decked myself out.\- Fear. Panic. Anger. - I'm a custom car-loving monster!\If you're thinking of getting in my way,\I'll put a shine on that big headlight of yours! response:	But now, all I need is one punch to end it.
context: I'm Super Custom YO649Z Mk. II!\I love...\- I used to feel all kinds of emotions - building custom cars so much...\- whirling inside me when I fought. - I decked myself out.\- Fear. Panic. Anger. - I'm a custom car-loving monster!\If you're thinking of getting in my way,\I'll put a shine on that big headlight of yours!\But now, all I need is one punch to end it. response:	Guess I'll have eggs over rice tonight.
context: I love...\- I used to feel all kinds of emotions - building custom cars so much...\- whirling inside me when I fought. - I decked myself out.\- Fear. Panic. Anger. - I'm a custom car-loving monster!\If you're thinking of getting in my way,\I'll put a shine on that big headlight of yours!\But now, all I need is one punch to end it.\Guess I'll have eggs over rice tonight. response:	Each day...
context: - I used to feel all kinds of emotions - building custom cars so much...\- whirling inside me when I fought. - I decked myself out.\- Fear. Panic. Anger. - I'm a custom car-loving monster!\If you're thinking of getting in my way,\I'll put a shine on that big headlight of yours!\But now, all I need is one punch to end it.\Guess I'll have eggs over rice tonight.\Each day... response:	I come home uninjured and wash my gloves.
context: - whirling inside me when I fought. - I decked myself out.\- Fear. Panic. Anger. - I'm a custom car-loving monster!\If you're thinking of getting in my way,\I'll put a shine on that big headlight of yours!\But now, all I need is one punch to end it.\Guess I'll have eggs over rice tonight.\Each day...\I come home uninjured and wash my gloves. response:	When I'm out fighting monsters, I never feel as if my heart's really in it.
context: - Fear. Panic. Anger. - I'm a custom car-loving monster!\If you're thinking of getting in my way,\I'll put a shine on that big headlight of yours!\But now, all I need is one punch to end it.\Guess I'll have eggs over rice tonight.\Each day...\I come home uninjured and wash my gloves.\When I'm out fighting monsters, I never feel as if my heart's really in it. response:	I mean, I just do the hero-thing as a hobby.
context: If you're thinking of getting in my way,\I'll put a shine on that big headlight of yours!\But now, all I need is one punch to end it.\Guess I'll have eggs over rice tonight.\Each day...\I come home uninjured and wash my gloves.\When I'm out fighting monsters, I never feel as if my heart's really in it.\I mean, I just do the hero-thing as a hobby. response:	In other words,
context: I'll put a shine on that big headlight of yours!\But now, all I need is one punch to end it.\Guess I'll have eggs over rice tonight.\Each day...\I come home uninjured and wash my gloves.\When I'm out fighting monsters, I never feel as if my heart's really in it.\I mean, I just do the hero-thing as a hobby.\In other words, response:	as long as I get a kick out of it, that's all I care about.
context: But now, all I need is one punch to end it.\Guess I'll have eggs over rice tonight.\Each day...\I come home uninjured and wash my gloves.\When I'm out fighting monsters, I never feel as if my heart's really in it.\I mean, I just do the hero-thing as a hobby.\In other words,\as long as I get a kick out of it, that's all I care about. response:	My house?!
context: Guess I'll have eggs over rice tonight.\Each day...\I come home uninjured and wash my gloves.\When I'm out fighting monsters, I never feel as if my heart's really in it.\I mean, I just do the hero-thing as a hobby.\In other words,\as long as I get a kick out of it, that's all I care about.\My house?! response:	He's tough!
context: Each day...\I come home uninjured and wash my gloves.\When I'm out fighting monsters, I never feel as if my heart's really in it.\I mean, I just do the hero-thing as a hobby.\In other words,\as long as I get a kick out of it, that's all I care about.\My house?!\He's tough! response:	What the hell are you?
context: I come home uninjured and wash my gloves.\When I'm out fighting monsters, I never feel as if my heart's really in it.\I mean, I just do the hero-thing as a hobby.\In other words,\as long as I get a kick out of it, that's all I care about.\My house?!\He's tough!\What the hell are you? response:	What am I? That's rude. We are the true earthlings.
context: When I'm out fighting monsters, I never feel as if my heart's really in it.\I mean, I just do the hero-thing as a hobby.\In other words,\as long as I get a kick out of it, that's all I care about.\My house?!\He's tough!\What the hell are you?\What am I? That's rude. We are the true earthlings. response:	We?
context: I mean, I just do the hero-thing as a hobby.\In other words,\as long as I get a kick out of it, that's all I care about.\My house?!\He's tough!\What the hell are you?\What am I? That's rude. We are the true earthlings.\We? response:	I believe you call us Subterraneans.
context: In other words,\as long as I get a kick out of it, that's all I care about.\My house?!\He's tough!\What the hell are you?\What am I? That's rude. We are the true earthlings.\We?\I believe you call us Subterraneans. response:	We suffer from overpopulation.
context: as long as I get a kick out of it, that's all I care about.\My house?!\He's tough!\What the hell are you?\What am I? That's rude. We are the true earthlings.\We?\I believe you call us Subterraneans.\We suffer from overpopulation. response:	Therefore, we must now claim the world aboveground.
context: My house?!\He's tough!\What the hell are you?\What am I? That's rude. We are the true earthlings.\We?\I believe you call us Subterraneans.\We suffer from overpopulation.\Therefore, we must now claim the world aboveground. response:	I understand that there are many people on the surface too.
context: He's tough!\What the hell are you?\What am I? That's rude. We are the true earthlings.\We?\I believe you call us Subterraneans.\We suffer from overpopulation.\Therefore, we must now claim the world aboveground.\I understand that there are many people on the surface too. response:	As it stands, you are in our way.
context: What the hell are you?\What am I? That's rude. We are the true earthlings.\We?\I believe you call us Subterraneans.\We suffer from overpopulation.\Therefore, we must now claim the world aboveground.\I understand that there are many people on the surface too.\As it stands, you are in our way. response:	That is why we have decided to eradicate you all.
context: What am I? That's rude. We are the true earthlings.\We?\I believe you call us Subterraneans.\We suffer from overpopulation.\Therefore, we must now claim the world aboveground.\I understand that there are many people on the surface too.\As it stands, you are in our way.\That is why we have decided to eradicate you all. response:	Since our invasion commenced,
context: We?\I believe you call us Subterraneans.\We suffer from overpopulation.\Therefore, we must now claim the world aboveground.\I understand that there are many people on the surface too.\As it stands, you are in our way.\That is why we have decided to eradicate you all.\Since our invasion commenced, response:	70 of the surface dwellers have been killed.
context: I believe you call us Subterraneans.\We suffer from overpopulation.\Therefore, we must now claim the world aboveground.\I understand that there are many people on the surface too.\As it stands, you are in our way.\That is why we have decided to eradicate you all.\Since our invasion commenced,\70 of the surface dwellers have been killed. response:	This is a battle for survival.
context: We suffer from overpopulation.\Therefore, we must now claim the world aboveground.\I understand that there are many people on the surface too.\As it stands, you are in our way.\That is why we have decided to eradicate you all.\Since our invasion commenced,\70 of the surface dwellers have been killed.\This is a battle for survival. response:	I hope you can understand that.
context: Therefore, we must now claim the world aboveground.\I understand that there are many people on the surface too.\As it stands, you are in our way.\That is why we have decided to eradicate you all.\Since our invasion commenced,\70 of the surface dwellers have been killed.\This is a battle for survival.\I hope you can understand that. response:	However, this is unexpected.
context: I understand that there are many people on the surface too.\As it stands, you are in our way.\That is why we have decided to eradicate you all.\Since our invasion commenced,\70 of the surface dwellers have been killed.\This is a battle for survival.\I hope you can understand that.\However, this is unexpected. response:	We have encountered no surface dwellers
context: As it stands, you are in our way.\That is why we have decided to eradicate you all.\Since our invasion commenced,\70 of the surface dwellers have been killed.\This is a battle for survival.\I hope you can understand that.\However, this is unexpected.\We have encountered no surface dwellers response:	whom our punches would not kill.
context: That is why we have decided to eradicate you all.\Since our invasion commenced,\70 of the surface dwellers have been killed.\This is a battle for survival.\I hope you can understand that.\However, this is unexpected.\We have encountered no surface dwellers\whom our punches would not kill. response:	Same here.
context: Since our invasion commenced,\70 of the surface dwellers have been killed.\This is a battle for survival.\I hope you can understand that.\However, this is unexpected.\We have encountered no surface dwellers\whom our punches would not kill.\Same here. response:	It's been too long since I've come across such worthy opponents,
context: 70 of the surface dwellers have been killed.\This is a battle for survival.\I hope you can understand that.\However, this is unexpected.\We have encountered no surface dwellers\whom our punches would not kill.\Same here.\It's been too long since I've come across such worthy opponents, response:	Subterraneans!
context: This is a battle for survival.\I hope you can understand that.\However, this is unexpected.\We have encountered no surface dwellers\whom our punches would not kill.\Same here.\It's been too long since I've come across such worthy opponents,\Subterraneans! response:	We are earthlings!
context: I hope you can understand that.\However, this is unexpected.\We have encountered no surface dwellers\whom our punches would not kill.\Same here.\It's been too long since I've come across such worthy opponents,\Subterraneans!\We are earthlings! response:	But how?!
context: However, this is unexpected.\We have encountered no surface dwellers\whom our punches would not kill.\Same here.\It's been too long since I've come across such worthy opponents,\Subterraneans!\We are earthlings!\But how?! response:	You bastard!
context: We have encountered no surface dwellers\whom our punches would not kill.\Same here.\It's been too long since I've come across such worthy opponents,\Subterraneans!\We are earthlings!\But how?!\You bastard! response:	Die!
context: whom our punches would not kill.\Same here.\It's been too long since I've come across such worthy opponents,\Subterraneans!\We are earthlings!\But how?!\You bastard!\Die! response:	It's over.
context: Same here.\It's been too long since I've come across such worthy opponents,\Subterraneans!\We are earthlings!\But how?!\You bastard!\Die!\It's over. response:	What was that surface dweller?
context: It's been too long since I've come across such worthy opponents,\Subterraneans!\We are earthlings!\But how?!\You bastard!\Die!\It's over.\What was that surface dweller? response:	I'm...
context: Subterraneans!\We are earthlings!\But how?!\You bastard!\Die!\It's over.\What was that surface dweller?\I'm... response:	just a guy who's a hero for fun.
context: We are earthlings!\But how?!\You bastard!\Die!\It's over.\What was that surface dweller?\I'm...\just a guy who's a hero for fun. response:	I do not lose!
context: But how?!\You bastard!\Die!\It's over.\What was that surface dweller?\I'm...\just a guy who's a hero for fun.\I do not lose! response:	And the surface...
context: You bastard!\Die!\It's over.\What was that surface dweller?\I'm...\just a guy who's a hero for fun.\I do not lose!\And the surface... response:	is under my protection!
context: Die!\It's over.\What was that surface dweller?\I'm...\just a guy who's a hero for fun.\I do not lose!\And the surface...\is under my protection! response:	Big talk for a race of vermin!
context: It's over.\What was that surface dweller?\I'm...\just a guy who's a hero for fun.\I do not lose!\And the surface...\is under my protection!\Big talk for a race of vermin! response:	What is this feeling?
context: What was that surface dweller?\I'm...\just a guy who's a hero for fun.\I do not lose!\And the surface...\is under my protection!\Big talk for a race of vermin!\What is this feeling? response:	This wild throbbing in my heart?!
context: I'm...\just a guy who's a hero for fun.\I do not lose!\And the surface...\is under my protection!\Big talk for a race of vermin!\What is this feeling?\This wild throbbing in my heart?! response:	This rush, this tension!
context: just a guy who's a hero for fun.\I do not lose!\And the surface...\is under my protection!\Big talk for a race of vermin!\What is this feeling?\This wild throbbing in my heart?!\This rush, this tension! response:	It's been so long, I forgot
context: I do not lose!\And the surface...\is under my protection!\Big talk for a race of vermin!\What is this feeling?\This wild throbbing in my heart?!\This rush, this tension!\It's been so long, I forgot response:	the exhilaration of a real fight!
context: And the surface...\is under my protection!\Big talk for a race of vermin!\What is this feeling?\This wild throbbing in my heart?!\This rush, this tension!\It's been so long, I forgot\the exhilaration of a real fight! response:	It's coming back to me.
context: is under my protection!\Big talk for a race of vermin!\What is this feeling?\This wild throbbing in my heart?!\This rush, this tension!\It's been so long, I forgot\the exhilaration of a real fight!\It's coming back to me. response:	This is it.
context: Big talk for a race of vermin!\What is this feeling?\This wild throbbing in my heart?!\This rush, this tension!\It's been so long, I forgot\the exhilaration of a real fight!\It's coming back to me.\This is it. response:	Well, well...
context: What is this feeling?\This wild throbbing in my heart?!\This rush, this tension!\It's been so long, I forgot\the exhilaration of a real fight!\It's coming back to me.\This is it.\Well, well... response:	Looks like you've been taking good care of my children.
context: This wild throbbing in my heart?!\This rush, this tension!\It's been so long, I forgot\the exhilaration of a real fight!\It's coming back to me.\This is it.\Well, well...\Looks like you've been taking good care of my children. response:	This is it!
context: This rush, this tension!\It's been so long, I forgot\the exhilaration of a real fight!\It's coming back to me.\This is it.\Well, well...\Looks like you've been taking good care of my children.\This is it! response:	I, the Subterranean King, will take you on.
context: It's been so long, I forgot\the exhilaration of a real fight!\It's coming back to me.\This is it.\Well, well...\Looks like you've been taking good care of my children.\This is it!\I, the Subterranean King, will take you on. response:	This is the very feeling I've been looking for!
context: the exhilaration of a real fight!\It's coming back to me.\This is it.\Well, well...\Looks like you've been taking good care of my children.\This is it!\I, the Subterranean King, will take you on.\This is the very feeling I've been looking for! response:	The surface is ours!
context: It's coming back to me.\This is it.\Well, well...\Looks like you've been taking good care of my children.\This is it!\I, the Subterranean King, will take you on.\This is the very feeling I've been looking for!\The surface is ours! response:	You surface dwellers must die!
context: This is it.\Well, well...\Looks like you've been taking good care of my children.\This is it!\I, the Subterranean King, will take you on.\This is the very feeling I've been looking for!\The surface is ours!\You surface dwellers must die! response:	I am the Subterranean King!
context: Well, well...\Looks like you've been taking good care of my children.\This is it!\I, the Subterranean King, will take you on.\This is the very feeling I've been looking for!\The surface is ours!\You surface dwellers must die!\I am the Subterranean King! response:	Surface dwellers, prepare yourselves for-
context: Looks like you've been taking good care of my children.\This is it!\I, the Subterranean King, will take you on.\This is the very feeling I've been looking for!\The surface is ours!\You surface dwellers must die!\I am the Subterranean King!\Surface dwellers, prepare yourselves for- response:	All right, bring it on!
context: This is it!\I, the Subterranean King, will take you on.\This is the very feeling I've been looking for!\The surface is ours!\You surface dwellers must die!\I am the Subterranean King!\Surface dwellers, prepare yourselves for-\All right, bring it on! response:	SORRY ABOUT THAT
context: I, the Subterranean King, will take you on.\This is the very feeling I've been looking for!\The surface is ours!\You surface dwellers must die!\I am the Subterranean King!\Surface dwellers, prepare yourselves for-\All right, bring it on!\SORRY ABOUT THAT response:	I've become too strong.
context: This is the very feeling I've been looking for!\The surface is ours!\You surface dwellers must die!\I am the Subterranean King!\Surface dwellers, prepare yourselves for-\All right, bring it on!\SORRY ABOUT THAT\I've become too strong. response:	THE STRONGEST MAN
context: The surface is ours!\You surface dwellers must die!\I am the Subterranean King!\Surface dwellers, prepare yourselves for-\All right, bring it on!\SORRY ABOUT THAT\I've become too strong.\THE STRONGEST MAN response:	NEXT EPISODE: THE LONE CYBORG
context: You surface dwellers must die!\I am the Subterranean King!\Surface dwellers, prepare yourselves for-\All right, bring it on!\SORRY ABOUT THAT\I've become too strong.\THE STRONGEST MAN\NEXT EPISODE: THE LONE CYBORG response:	How'd you like seeing me get ripped apart this week?
context: I am the Subterranean King!\Surface dwellers, prepare yourselves for-\All right, bring it on!\SORRY ABOUT THAT\I've become too strong.\THE STRONGEST MAN\NEXT EPISODE: THE LONE CYBORG\How'd you like seeing me get ripped apart this week? response:	Now it's time for me, the mighty Crablante,
context: Surface dwellers, prepare yourselves for-\All right, bring it on!\SORRY ABOUT THAT\I've become too strong.\THE STRONGEST MAN\NEXT EPISODE: THE LONE CYBORG\How'd you like seeing me get ripped apart this week?\Now it's time for me, the mighty Crablante, response:	to tell you what happens next week.
