context: Keep the Chance Alive!! Piccolo's Suicide Support Strike response:	What is it? What is he doing?
context: No! Not yet!\So, what's the matter? You were going to attack me somehow, right?\Are you trying to make a fool of me?\A little more...\So, what are you going to do?\- G- Goku! - Father!\Gohan, Kuririn, give over what remaining Ki you have to me!\Give it to me, now! response:	Right!
context: So, what's the matter? You were going to attack me somehow, right?\Are you trying to make a fool of me?\A little more...\So, what are you going to do?\- G- Goku! - Father!\Gohan, Kuririn, give over what remaining Ki you have to me!\Give it to me, now!\Right! response:	Hey, don't be in such a rush!
context: Are you trying to make a fool of me?\A little more...\So, what are you going to do?\- G- Goku! - Father!\Gohan, Kuririn, give over what remaining Ki you have to me!\Give it to me, now!\Right!\Hey, don't be in such a rush! response:	Don't toy with me, you monkey scum!
context: A little more...\So, what are you going to do?\- G- Goku! - Father!\Gohan, Kuririn, give over what remaining Ki you have to me!\Give it to me, now!\Right!\Hey, don't be in such a rush!\Don't toy with me, you monkey scum! response:	Don't think about anything else! Concentrate your Ki!
context: So, what are you going to do?\- G- Goku! - Father!\Gohan, Kuririn, give over what remaining Ki you have to me!\Give it to me, now!\Right!\Hey, don't be in such a rush!\Don't toy with me, you monkey scum!\Don't think about anything else! Concentrate your Ki! response:	Right!
context: - G- Goku! - Father!\Gohan, Kuririn, give over what remaining Ki you have to me!\Give it to me, now!\Right!\Hey, don't be in such a rush!\Don't toy with me, you monkey scum!\Don't think about anything else! Concentrate your Ki!\Right! response:	I can't tell what Saiyans are thinking. It's the same as it was back then. You're a most unpleasant group.
context: Gohan, Kuririn, give over what remaining Ki you have to me!\Give it to me, now!\Right!\Hey, don't be in such a rush!\Don't toy with me, you monkey scum!\Don't think about anything else! Concentrate your Ki!\Right!\I can't tell what Saiyans are thinking. It's the same as it was back then. You're a most unpleasant group. response:	I have no intention of continuing this uninteresting battle any further.
context: Give it to me, now!\Right!\Hey, don't be in such a rush!\Don't toy with me, you monkey scum!\Don't think about anything else! Concentrate your Ki!\Right!\I can't tell what Saiyans are thinking. It's the same as it was back then. You're a most unpleasant group.\I have no intention of continuing this uninteresting battle any further. response:	I'm going to finish both you and this planet off at once.
context: Right!\Hey, don't be in such a rush!\Don't toy with me, you monkey scum!\Don't think about anything else! Concentrate your Ki!\Right!\I can't tell what Saiyans are thinking. It's the same as it was back then. You're a most unpleasant group.\I have no intention of continuing this uninteresting battle any further.\I'm going to finish both you and this planet off at once. response:	Just another runt will have died, and the Saiyans will be completely eliminated from this world!
context: Hey, don't be in such a rush!\Don't toy with me, you monkey scum!\Don't think about anything else! Concentrate your Ki!\Right!\I can't tell what Saiyans are thinking. It's the same as it was back then. You're a most unpleasant group.\I have no intention of continuing this uninteresting battle any further.\I'm going to finish both you and this planet off at once.\Just another runt will have died, and the Saiyans will be completely eliminated from this world! response:	The Super Saiyan was nothing more than a bedtime story after all.
context: Don't toy with me, you monkey scum!\Don't think about anything else! Concentrate your Ki!\Right!\I can't tell what Saiyans are thinking. It's the same as it was back then. You're a most unpleasant group.\I have no intention of continuing this uninteresting battle any further.\I'm going to finish both you and this planet off at once.\Just another runt will have died, and the Saiyans will be completely eliminated from this world!\The Super Saiyan was nothing more than a bedtime story after all. response:	That's not the sun! What is it!?
context: Don't think about anything else! Concentrate your Ki!\Right!\I can't tell what Saiyans are thinking. It's the same as it was back then. You're a most unpleasant group.\I have no intention of continuing this uninteresting battle any further.\I'm going to finish both you and this planet off at once.\Just another runt will have died, and the Saiyans will be completely eliminated from this world!\The Super Saiyan was nothing more than a bedtime story after all.\That's not the sun! What is it!? response:	He found it!
context: Right!\I can't tell what Saiyans are thinking. It's the same as it was back then. You're a most unpleasant group.\I have no intention of continuing this uninteresting battle any further.\I'm going to finish both you and this planet off at once.\Just another runt will have died, and the Saiyans will be completely eliminated from this world!\The Super Saiyan was nothing more than a bedtime story after all.\That's not the sun! What is it!?\He found it! response:	W- What is that!?
context: I can't tell what Saiyans are thinking. It's the same as it was back then. You're a most unpleasant group.\I have no intention of continuing this uninteresting battle any further.\I'm going to finish both you and this planet off at once.\Just another runt will have died, and the Saiyans will be completely eliminated from this world!\The Super Saiyan was nothing more than a bedtime story after all.\That's not the sun! What is it!?\He found it!\W- What is that!? response:	It couldn't be... a mass of energy?
context: I have no intention of continuing this uninteresting battle any further.\I'm going to finish both you and this planet off at once.\Just another runt will have died, and the Saiyans will be completely eliminated from this world!\The Super Saiyan was nothing more than a bedtime story after all.\That's not the sun! What is it!?\He found it!\W- What is that!?\It couldn't be... a mass of energy? response:	Y- You did that!?
context: I'm going to finish both you and this planet off at once.\Just another runt will have died, and the Saiyans will be completely eliminated from this world!\The Super Saiyan was nothing more than a bedtime story after all.\That's not the sun! What is it!?\He found it!\W- What is that!?\It couldn't be... a mass of energy?\Y- You did that!? response:	All right, that's enough. Save a little Ki for yourselves.
context: Just another runt will have died, and the Saiyans will be completely eliminated from this world!\The Super Saiyan was nothing more than a bedtime story after all.\That's not the sun! What is it!?\He found it!\W- What is that!?\It couldn't be... a mass of energy?\Y- You did that!?\All right, that's enough. Save a little Ki for yourselves. response:	Looks as if he's finally found it out.
context: The Super Saiyan was nothing more than a bedtime story after all.\That's not the sun! What is it!?\He found it!\W- What is that!?\It couldn't be... a mass of energy?\Y- You did that!?\All right, that's enough. Save a little Ki for yourselves.\Looks as if he's finally found it out. response:	Gohan, Kuririn, you two stay here! No matter what happens, stay back!
context: That's not the sun! What is it!?\He found it!\W- What is that!?\It couldn't be... a mass of energy?\Y- You did that!?\All right, that's enough. Save a little Ki for yourselves.\Looks as if he's finally found it out.\Gohan, Kuririn, you two stay here! No matter what happens, stay back! response:	H- He's been forming that up in the sky!? Where did he find that much remaining power!?
context: He found it!\W- What is that!?\It couldn't be... a mass of energy?\Y- You did that!?\All right, that's enough. Save a little Ki for yourselves.\Looks as if he's finally found it out.\Gohan, Kuririn, you two stay here! No matter what happens, stay back!\H- He's been forming that up in the sky!? Where did he find that much remaining power!? response:	It's no use! Even if I use the Genki Dama now, he will avoid it!
context: W- What is that!?\It couldn't be... a mass of energy?\Y- You did that!?\All right, that's enough. Save a little Ki for yourselves.\Looks as if he's finally found it out.\Gohan, Kuririn, you two stay here! No matter what happens, stay back!\H- He's been forming that up in the sky!? Where did he find that much remaining power!?\It's no use! Even if I use the Genki Dama now, he will avoid it! response:	Besides which, that ball still ain't enough to defeat Freeza, dammit!
context: It couldn't be... a mass of energy?\Y- You did that!?\All right, that's enough. Save a little Ki for yourselves.\Looks as if he's finally found it out.\Gohan, Kuririn, you two stay here! No matter what happens, stay back!\H- He's been forming that up in the sky!? Where did he find that much remaining power!?\It's no use! Even if I use the Genki Dama now, he will avoid it!\Besides which, that ball still ain't enough to defeat Freeza, dammit! response:	You were planning to take me by surprise with that? You're so pathetic!
context: Y- You did that!?\All right, that's enough. Save a little Ki for yourselves.\Looks as if he's finally found it out.\Gohan, Kuririn, you two stay here! No matter what happens, stay back!\H- He's been forming that up in the sky!? Where did he find that much remaining power!?\It's no use! Even if I use the Genki Dama now, he will avoid it!\Besides which, that ball still ain't enough to defeat Freeza, dammit!\You were planning to take me by surprise with that? You're so pathetic! response:	However, even this desperate measure has become worthless!
context: All right, that's enough. Save a little Ki for yourselves.\Looks as if he's finally found it out.\Gohan, Kuririn, you two stay here! No matter what happens, stay back!\H- He's been forming that up in the sky!? Where did he find that much remaining power!?\It's no use! Even if I use the Genki Dama now, he will avoid it!\Besides which, that ball still ain't enough to defeat Freeza, dammit!\You were planning to take me by surprise with that? You're so pathetic!\However, even this desperate measure has become worthless! response:	Too bad!
context: Looks as if he's finally found it out.\Gohan, Kuririn, you two stay here! No matter what happens, stay back!\H- He's been forming that up in the sky!? Where did he find that much remaining power!?\It's no use! Even if I use the Genki Dama now, he will avoid it!\Besides which, that ball still ain't enough to defeat Freeza, dammit!\You were planning to take me by surprise with that? You're so pathetic!\However, even this desperate measure has become worthless!\Too bad! response:	Damn!
context: Gohan, Kuririn, you two stay here! No matter what happens, stay back!\H- He's been forming that up in the sky!? Where did he find that much remaining power!?\It's no use! Even if I use the Genki Dama now, he will avoid it!\Besides which, that ball still ain't enough to defeat Freeza, dammit!\You were planning to take me by surprise with that? You're so pathetic!\However, even this desperate measure has become worthless!\Too bad!\Damn! response:	Be gone!
context: H- He's been forming that up in the sky!? Where did he find that much remaining power!?\It's no use! Even if I use the Genki Dama now, he will avoid it!\Besides which, that ball still ain't enough to defeat Freeza, dammit!\You were planning to take me by surprise with that? You're so pathetic!\However, even this desperate measure has become worthless!\Too bad!\Damn!\Be gone! response:	- Piccolo! - Goku, hurry up and complete this Genki Dama of yours!
context: It's no use! Even if I use the Genki Dama now, he will avoid it!\Besides which, that ball still ain't enough to defeat Freeza, dammit!\You were planning to take me by surprise with that? You're so pathetic!\However, even this desperate measure has become worthless!\Too bad!\Damn!\Be gone!\- Piccolo! - Goku, hurry up and complete this Genki Dama of yours! response:	I owe you one!
context: Besides which, that ball still ain't enough to defeat Freeza, dammit!\You were planning to take me by surprise with that? You're so pathetic!\However, even this desperate measure has become worthless!\Too bad!\Damn!\Be gone!\- Piccolo! - Goku, hurry up and complete this Genki Dama of yours!\I owe you one! response:	Make it fast, Goku! With the power I have, it was all I could do just to blindside him!
context: You were planning to take me by surprise with that? You're so pathetic!\However, even this desperate measure has become worthless!\Too bad!\Damn!\Be gone!\- Piccolo! - Goku, hurry up and complete this Genki Dama of yours!\I owe you one!\Make it fast, Goku! With the power I have, it was all I could do just to blindside him! response:	Gotcha!
context: However, even this desperate measure has become worthless!\Too bad!\Damn!\Be gone!\- Piccolo! - Goku, hurry up and complete this Genki Dama of yours!\I owe you one!\Make it fast, Goku! With the power I have, it was all I could do just to blindside him!\Gotcha! response:	Are you still lurking about, you miserable Namekian!?
context: Too bad!\Damn!\Be gone!\- Piccolo! - Goku, hurry up and complete this Genki Dama of yours!\I owe you one!\Make it fast, Goku! With the power I have, it was all I could do just to blindside him!\Gotcha!\Are you still lurking about, you miserable Namekian!? response:	So, let's stop the chatter and blow all these guys away!
context: Damn!\Be gone!\- Piccolo! - Goku, hurry up and complete this Genki Dama of yours!\I owe you one!\Make it fast, Goku! With the power I have, it was all I could do just to blindside him!\Gotcha!\Are you still lurking about, you miserable Namekian!?\So, let's stop the chatter and blow all these guys away! response:	Ah, wait! I'm leaving this up to you guys!
context: Be gone!\- Piccolo! - Goku, hurry up and complete this Genki Dama of yours!\I owe you one!\Make it fast, Goku! With the power I have, it was all I could do just to blindside him!\Gotcha!\Are you still lurking about, you miserable Namekian!?\So, let's stop the chatter and blow all these guys away!\Ah, wait! I'm leaving this up to you guys! response:	Y- You wouldn't!
context: - Piccolo! - Goku, hurry up and complete this Genki Dama of yours!\I owe you one!\Make it fast, Goku! With the power I have, it was all I could do just to blindside him!\Gotcha!\Are you still lurking about, you miserable Namekian!?\So, let's stop the chatter and blow all these guys away!\Ah, wait! I'm leaving this up to you guys!\Y- You wouldn't! response:	Our opponents are awfully tough!
context: I owe you one!\Make it fast, Goku! With the power I have, it was all I could do just to blindside him!\Gotcha!\Are you still lurking about, you miserable Namekian!?\So, let's stop the chatter and blow all these guys away!\Ah, wait! I'm leaving this up to you guys!\Y- You wouldn't!\Our opponents are awfully tough! response:	Ten-san!
context: Make it fast, Goku! With the power I have, it was all I could do just to blindside him!\Gotcha!\Are you still lurking about, you miserable Namekian!?\So, let's stop the chatter and blow all these guys away!\Ah, wait! I'm leaving this up to you guys!\Y- You wouldn't!\Our opponents are awfully tough!\Ten-san! response:	Piccolo accomplishes a flawless support strike.
context: Gotcha!\Are you still lurking about, you miserable Namekian!?\So, let's stop the chatter and blow all these guys away!\Ah, wait! I'm leaving this up to you guys!\Y- You wouldn't!\Our opponents are awfully tough!\Ten-san!\Piccolo accomplishes a flawless support strike. response:	Goku, now is the time! Make that super-giant Genki Dama full!
