context: Today I promised to play with Saikawa in the park. response:	I see. Have fun.
context: Next time, then.\Yeah.\Well, Kanna-sama, young lady, good night.\Good night.\Wh-What's the matter, Kanna-san?\Tohru.\Hades7: Well, time for me to drop off.\Ebony Holy Knight: Oh, me, too. response:	Ebony Holy Knight: Ooyama-san, good night.
context: Yeah.\Well, Kanna-sama, young lady, good night.\Good night.\Wh-What's the matter, Kanna-san?\Tohru.\Hades7: Well, time for me to drop off.\Ebony Holy Knight: Oh, me, too.\Ebony Holy Knight: Ooyama-san, good night. response:	Crystalite: Pulling another all-nighter?
context: Well, Kanna-sama, young lady, good night.\Good night.\Wh-What's the matter, Kanna-san?\Tohru.\Hades7: Well, time for me to drop off.\Ebony Holy Knight: Oh, me, too.\Ebony Holy Knight: Ooyama-san, good night.\Crystalite: Pulling another all-nighter? response:	Crystalite: That's crazy. Later.
context: Good night.\Wh-What's the matter, Kanna-san?\Tohru.\Hades7: Well, time for me to drop off.\Ebony Holy Knight: Oh, me, too.\Ebony Holy Knight: Ooyama-san, good night.\Crystalite: Pulling another all-nighter?\Crystalite: That's crazy. Later. response:	I'm home.
context: Wh-What's the matter, Kanna-san?\Tohru.\Hades7: Well, time for me to drop off.\Ebony Holy Knight: Oh, me, too.\Ebony Holy Knight: Ooyama-san, good night.\Crystalite: Pulling another all-nighter?\Crystalite: That's crazy. Later.\I'm home. response:	I should've told her the omurice was good,
context: Tohru.\Hades7: Well, time for me to drop off.\Ebony Holy Knight: Oh, me, too.\Ebony Holy Knight: Ooyama-san, good night.\Crystalite: Pulling another all-nighter?\Crystalite: That's crazy. Later.\I'm home.\I should've told her the omurice was good, response:	if things were going to turn out like this.
context: Hades7: Well, time for me to drop off.\Ebony Holy Knight: Oh, me, too.\Ebony Holy Knight: Ooyama-san, good night.\Crystalite: Pulling another all-nighter?\Crystalite: That's crazy. Later.\I'm home.\I should've told her the omurice was good,\if things were going to turn out like this. response:	Miss Kobayashi, it's me!
context: Ebony Holy Knight: Oh, me, too.\Ebony Holy Knight: Ooyama-san, good night.\Crystalite: Pulling another all-nighter?\Crystalite: That's crazy. Later.\I'm home.\I should've told her the omurice was good,\if things were going to turn out like this.\Miss Kobayashi, it's me! response:	Me, Tohru!
context: Ebony Holy Knight: Ooyama-san, good night.\Crystalite: Pulling another all-nighter?\Crystalite: That's crazy. Later.\I'm home.\I should've told her the omurice was good,\if things were going to turn out like this.\Miss Kobayashi, it's me!\Me, Tohru! response:	Tohru?
context: Crystalite: Pulling another all-nighter?\Crystalite: That's crazy. Later.\I'm home.\I should've told her the omurice was good,\if things were going to turn out like this.\Miss Kobayashi, it's me!\Me, Tohru!\Tohru? response:	I'm home, Miss Kobayashi!
context: Crystalite: That's crazy. Later.\I'm home.\I should've told her the omurice was good,\if things were going to turn out like this.\Miss Kobayashi, it's me!\Me, Tohru!\Tohru?\I'm home, Miss Kobayashi! response:	Oh, I can't fit inside in this form.
context: I'm home.\I should've told her the omurice was good,\if things were going to turn out like this.\Miss Kobayashi, it's me!\Me, Tohru!\Tohru?\I'm home, Miss Kobayashi!\Oh, I can't fit inside in this form. response:	Why?
context: I should've told her the omurice was good,\if things were going to turn out like this.\Miss Kobayashi, it's me!\Me, Tohru!\Tohru?\I'm home, Miss Kobayashi!\Oh, I can't fit inside in this form.\Why? response:	Huh?
context: if things were going to turn out like this.\Miss Kobayashi, it's me!\Me, Tohru!\Tohru?\I'm home, Miss Kobayashi!\Oh, I can't fit inside in this form.\Why?\Huh? response:	I thought you went home.
context: Miss Kobayashi, it's me!\Me, Tohru!\Tohru?\I'm home, Miss Kobayashi!\Oh, I can't fit inside in this form.\Why?\Huh?\I thought you went home. response:	To the other world.
context: Me, Tohru!\Tohru?\I'm home, Miss Kobayashi!\Oh, I can't fit inside in this form.\Why?\Huh?\I thought you went home.\To the other world. response:	Yes.
context: Tohru?\I'm home, Miss Kobayashi!\Oh, I can't fit inside in this form.\Why?\Huh?\I thought you went home.\To the other world.\Yes. response:	But I came back.
context: I'm home, Miss Kobayashi!\Oh, I can't fit inside in this form.\Why?\Huh?\I thought you went home.\To the other world.\Yes.\But I came back. response:	This is kind of awkward.
context: Oh, I can't fit inside in this form.\Why?\Huh?\I thought you went home.\To the other world.\Yes.\But I came back.\This is kind of awkward. response:	Yeah.
context: Why?\Huh?\I thought you went home.\To the other world.\Yes.\But I came back.\This is kind of awkward.\Yeah. response:	I'm home, Miss Kobayashi.
context: Huh?\I thought you went home.\To the other world.\Yes.\But I came back.\This is kind of awkward.\Yeah.\I'm home, Miss Kobayashi. response:	What?
context: I thought you went home.\To the other world.\Yes.\But I came back.\This is kind of awkward.\Yeah.\I'm home, Miss Kobayashi.\What? response:	Tohru.
context: To the other world.\Yes.\But I came back.\This is kind of awkward.\Yeah.\I'm home, Miss Kobayashi.\What?\Tohru. response:	Father.
context: Yes.\But I came back.\This is kind of awkward.\Yeah.\I'm home, Miss Kobayashi.\What?\Tohru.\Father. response:	This is Tohru's...
context: But I came back.\This is kind of awkward.\Yeah.\I'm home, Miss Kobayashi.\What?\Tohru.\Father.\This is Tohru's... response:	Why did you come back without permission?
context: This is kind of awkward.\Yeah.\I'm home, Miss Kobayashi.\What?\Tohru.\Father.\This is Tohru's...\Why did you come back without permission? response:	Because I want to be here.
context: Yeah.\I'm home, Miss Kobayashi.\What?\Tohru.\Father.\This is Tohru's...\Why did you come back without permission?\Because I want to be here. response:	Please!
context: I'm home, Miss Kobayashi.\What?\Tohru.\Father.\This is Tohru's...\Why did you come back without permission?\Because I want to be here.\Please! response:	No.
context: What?\Tohru.\Father.\This is Tohru's...\Why did you come back without permission?\Because I want to be here.\Please!\No. response:	I told you. We're forbidden from interfering in this world.
context: Tohru.\Father.\This is Tohru's...\Why did you come back without permission?\Because I want to be here.\Please!\No.\I told you. We're forbidden from interfering in this world. response:	You're coming home with me.
context: Father.\This is Tohru's...\Why did you come back without permission?\Because I want to be here.\Please!\No.\I told you. We're forbidden from interfering in this world.\You're coming home with me. response:	I don't want to!
context: This is Tohru's...\Why did you come back without permission?\Because I want to be here.\Please!\No.\I told you. We're forbidden from interfering in this world.\You're coming home with me.\I don't want to! response:	What you want doesn't matter.
context: Why did you come back without permission?\Because I want to be here.\Please!\No.\I told you. We're forbidden from interfering in this world.\You're coming home with me.\I don't want to!\What you want doesn't matter. response:	You understand. You can't be in this world.
context: Because I want to be here.\Please!\No.\I told you. We're forbidden from interfering in this world.\You're coming home with me.\I don't want to!\What you want doesn't matter.\You understand. You can't be in this world. response:	You can't throw the world into chaos over your whims.
context: Please!\No.\I told you. We're forbidden from interfering in this world.\You're coming home with me.\I don't want to!\What you want doesn't matter.\You understand. You can't be in this world.\You can't throw the world into chaos over your whims. response:	I want to be here.
context: No.\I told you. We're forbidden from interfering in this world.\You're coming home with me.\I don't want to!\What you want doesn't matter.\You understand. You can't be in this world.\You can't throw the world into chaos over your whims.\I want to be here. response:	Because this is where I belong.
context: I told you. We're forbidden from interfering in this world.\You're coming home with me.\I don't want to!\What you want doesn't matter.\You understand. You can't be in this world.\You can't throw the world into chaos over your whims.\I want to be here.\Because this is where I belong. response:	You would live a quiet life as a human?
context: You're coming home with me.\I don't want to!\What you want doesn't matter.\You understand. You can't be in this world.\You can't throw the world into chaos over your whims.\I want to be here.\Because this is where I belong.\You would live a quiet life as a human? response:	One day you'll fray apart.
context: I don't want to!\What you want doesn't matter.\You understand. You can't be in this world.\You can't throw the world into chaos over your whims.\I want to be here.\Because this is where I belong.\You would live a quiet life as a human?\One day you'll fray apart. response:	You've sensed that, haven't you?
context: What you want doesn't matter.\You understand. You can't be in this world.\You can't throw the world into chaos over your whims.\I want to be here.\Because this is where I belong.\You would live a quiet life as a human?\One day you'll fray apart.\You've sensed that, haven't you? response:	Come back, Tohru.
context: You understand. You can't be in this world.\You can't throw the world into chaos over your whims.\I want to be here.\Because this is where I belong.\You would live a quiet life as a human?\One day you'll fray apart.\You've sensed that, haven't you?\Come back, Tohru. response:	Before you get hurt.
context: You can't throw the world into chaos over your whims.\I want to be here.\Because this is where I belong.\You would live a quiet life as a human?\One day you'll fray apart.\You've sensed that, haven't you?\Come back, Tohru.\Before you get hurt. response:	Is it okay if I speak up?
context: I want to be here.\Because this is where I belong.\You would live a quiet life as a human?\One day you'll fray apart.\You've sensed that, haven't you?\Come back, Tohru.\Before you get hurt.\Is it okay if I speak up? response:	That was a mean way of phrasing it.
context: Because this is where I belong.\You would live a quiet life as a human?\One day you'll fray apart.\You've sensed that, haven't you?\Come back, Tohru.\Before you get hurt.\Is it okay if I speak up?\That was a mean way of phrasing it. response:	But it's not nice to butt in between a parent and child.
context: You would live a quiet life as a human?\One day you'll fray apart.\You've sensed that, haven't you?\Come back, Tohru.\Before you get hurt.\Is it okay if I speak up?\That was a mean way of phrasing it.\But it's not nice to butt in between a parent and child. response:	I should probably respect Tohru's decision.
context: One day you'll fray apart.\You've sensed that, haven't you?\Come back, Tohru.\Before you get hurt.\Is it okay if I speak up?\That was a mean way of phrasing it.\But it's not nice to butt in between a parent and child.\I should probably respect Tohru's decision. response:	I don't want to!
context: You've sensed that, haven't you?\Come back, Tohru.\Before you get hurt.\Is it okay if I speak up?\That was a mean way of phrasing it.\But it's not nice to butt in between a parent and child.\I should probably respect Tohru's decision.\I don't want to! response:	Umm...
context: Come back, Tohru.\Before you get hurt.\Is it okay if I speak up?\That was a mean way of phrasing it.\But it's not nice to butt in between a parent and child.\I should probably respect Tohru's decision.\I don't want to!\Umm... response:	Miss Kobayashi!
context: Before you get hurt.\Is it okay if I speak up?\That was a mean way of phrasing it.\But it's not nice to butt in between a parent and child.\I should probably respect Tohru's decision.\I don't want to!\Umm...\Miss Kobayashi! response:	Choose your words carefully.
context: Is it okay if I speak up?\That was a mean way of phrasing it.\But it's not nice to butt in between a parent and child.\I should probably respect Tohru's decision.\I don't want to!\Umm...\Miss Kobayashi!\Choose your words carefully. response:	You might be the one eliminated, depending on what you say.
context: That was a mean way of phrasing it.\But it's not nice to butt in between a parent and child.\I should probably respect Tohru's decision.\I don't want to!\Umm...\Miss Kobayashi!\Choose your words carefully.\You might be the one eliminated, depending on what you say. response:	I'm home, Miss Kobayashi.
context: But it's not nice to butt in between a parent and child.\I should probably respect Tohru's decision.\I don't want to!\Umm...\Miss Kobayashi!\Choose your words carefully.\You might be the one eliminated, depending on what you say.\I'm home, Miss Kobayashi. response:	What is it?
context: I should probably respect Tohru's decision.\I don't want to!\Umm...\Miss Kobayashi!\Choose your words carefully.\You might be the one eliminated, depending on what you say.\I'm home, Miss Kobayashi.\What is it? response:	Tohru said she doesn't want to go back!
context: I don't want to!\Umm...\Miss Kobayashi!\Choose your words carefully.\You might be the one eliminated, depending on what you say.\I'm home, Miss Kobayashi.\What is it?\Tohru said she doesn't want to go back! response:	You...!
context: Umm...\Miss Kobayashi!\Choose your words carefully.\You might be the one eliminated, depending on what you say.\I'm home, Miss Kobayashi.\What is it?\Tohru said she doesn't want to go back!\You...! response:	You can't interfere in this world, right?
context: Miss Kobayashi!\Choose your words carefully.\You might be the one eliminated, depending on what you say.\I'm home, Miss Kobayashi.\What is it?\Tohru said she doesn't want to go back!\You...!\You can't interfere in this world, right? response:	Then you can't kill me.
context: Choose your words carefully.\You might be the one eliminated, depending on what you say.\I'm home, Miss Kobayashi.\What is it?\Tohru said she doesn't want to go back!\You...!\You can't interfere in this world, right?\Then you can't kill me. response:	But I can leave you just shy of death.
context: You might be the one eliminated, depending on what you say.\I'm home, Miss Kobayashi.\What is it?\Tohru said she doesn't want to go back!\You...!\You can't interfere in this world, right?\Then you can't kill me.\But I can leave you just shy of death. response:	That won't change how I feel!
context: I'm home, Miss Kobayashi.\What is it?\Tohru said she doesn't want to go back!\You...!\You can't interfere in this world, right?\Then you can't kill me.\But I can leave you just shy of death.\That won't change how I feel! response:	We must obey the rules of the world.
context: What is it?\Tohru said she doesn't want to go back!\You...!\You can't interfere in this world, right?\Then you can't kill me.\But I can leave you just shy of death.\That won't change how I feel!\We must obey the rules of the world. response:	If the dragons charged with defending order are found to be in this world,
context: Tohru said she doesn't want to go back!\You...!\You can't interfere in this world, right?\Then you can't kill me.\But I can leave you just shy of death.\That won't change how I feel!\We must obey the rules of the world.\If the dragons charged with defending order are found to be in this world, response:	others will be influenced by that and make their way here.
context: You...!\You can't interfere in this world, right?\Then you can't kill me.\But I can leave you just shy of death.\That won't change how I feel!\We must obey the rules of the world.\If the dragons charged with defending order are found to be in this world,\others will be influenced by that and make their way here. response:	Things may be fine now, but eventually some will plot an invasion.
context: You can't interfere in this world, right?\Then you can't kill me.\But I can leave you just shy of death.\That won't change how I feel!\We must obey the rules of the world.\If the dragons charged with defending order are found to be in this world,\others will be influenced by that and make their way here.\Things may be fine now, but eventually some will plot an invasion. response:	What then?
context: Then you can't kill me.\But I can leave you just shy of death.\That won't change how I feel!\We must obey the rules of the world.\If the dragons charged with defending order are found to be in this world,\others will be influenced by that and make their way here.\Things may be fine now, but eventually some will plot an invasion.\What then? response:	That wouldn't be Tohru's fault.
context: But I can leave you just shy of death.\That won't change how I feel!\We must obey the rules of the world.\If the dragons charged with defending order are found to be in this world,\others will be influenced by that and make their way here.\Things may be fine now, but eventually some will plot an invasion.\What then?\That wouldn't be Tohru's fault. response:	You're just twisting this into her responsibility!
context: That won't change how I feel!\We must obey the rules of the world.\If the dragons charged with defending order are found to be in this world,\others will be influenced by that and make their way here.\Things may be fine now, but eventually some will plot an invasion.\What then?\That wouldn't be Tohru's fault.\You're just twisting this into her responsibility! response:	It's a possibility.
context: We must obey the rules of the world.\If the dragons charged with defending order are found to be in this world,\others will be influenced by that and make their way here.\Things may be fine now, but eventually some will plot an invasion.\What then?\That wouldn't be Tohru's fault.\You're just twisting this into her responsibility!\It's a possibility. response:	Who cares?!
context: If the dragons charged with defending order are found to be in this world,\others will be influenced by that and make their way here.\Things may be fine now, but eventually some will plot an invasion.\What then?\That wouldn't be Tohru's fault.\You're just twisting this into her responsibility!\It's a possibility.\Who cares?! response:	Why are you so fixated on Tohru?
context: others will be influenced by that and make their way here.\Things may be fine now, but eventually some will plot an invasion.\What then?\That wouldn't be Tohru's fault.\You're just twisting this into her responsibility!\It's a possibility.\Who cares?!\Why are you so fixated on Tohru? response:	Don't tell me you like Tohru?
context: Things may be fine now, but eventually some will plot an invasion.\What then?\That wouldn't be Tohru's fault.\You're just twisting this into her responsibility!\It's a possibility.\Who cares?!\Why are you so fixated on Tohru?\Don't tell me you like Tohru? response:	I can't believe a human like you would.
context: What then?\That wouldn't be Tohru's fault.\You're just twisting this into her responsibility!\It's a possibility.\Who cares?!\Why are you so fixated on Tohru?\Don't tell me you like Tohru?\I can't believe a human like you would. response:	Really?
context: That wouldn't be Tohru's fault.\You're just twisting this into her responsibility!\It's a possibility.\Who cares?!\Why are you so fixated on Tohru?\Don't tell me you like Tohru?\I can't believe a human like you would.\Really? response:	Tohru's a great girl!
context: You're just twisting this into her responsibility!\It's a possibility.\Who cares?!\Why are you so fixated on Tohru?\Don't tell me you like Tohru?\I can't believe a human like you would.\Really?\Tohru's a great girl! response:	I know that.
context: It's a possibility.\Who cares?!\Why are you so fixated on Tohru?\Don't tell me you like Tohru?\I can't believe a human like you would.\Really?\Tohru's a great girl!\I know that. response:	She's bright and cheerful,
context: Who cares?!\Why are you so fixated on Tohru?\Don't tell me you like Tohru?\I can't believe a human like you would.\Really?\Tohru's a great girl!\I know that.\She's bright and cheerful, response:	and sometimes she feels down, but she hides it with a laugh.
context: Why are you so fixated on Tohru?\Don't tell me you like Tohru?\I can't believe a human like you would.\Really?\Tohru's a great girl!\I know that.\She's bright and cheerful,\and sometimes she feels down, but she hides it with a laugh. response:	And to top it off, she's a maid!
context: Don't tell me you like Tohru?\I can't believe a human like you would.\Really?\Tohru's a great girl!\I know that.\She's bright and cheerful,\and sometimes she feels down, but she hides it with a laugh.\And to top it off, she's a maid! response:	Do you get it?
context: I can't believe a human like you would.\Really?\Tohru's a great girl!\I know that.\She's bright and cheerful,\and sometimes she feels down, but she hides it with a laugh.\And to top it off, she's a maid!\Do you get it? response:	Don't take my maid away!
context: Really?\Tohru's a great girl!\I know that.\She's bright and cheerful,\and sometimes she feels down, but she hides it with a laugh.\And to top it off, she's a maid!\Do you get it?\Don't take my maid away! response:	She's mine!
context: Tohru's a great girl!\I know that.\She's bright and cheerful,\and sometimes she feels down, but she hides it with a laugh.\And to top it off, she's a maid!\Do you get it?\Don't take my maid away!\She's mine! response:	You overstep
context: I know that.\She's bright and cheerful,\and sometimes she feels down, but she hides it with a laugh.\And to top it off, she's a maid!\Do you get it?\Don't take my maid away!\She's mine!\You overstep response:	I see.
context: She's bright and cheerful,\and sometimes she feels down, but she hides it with a laugh.\And to top it off, she's a maid!\Do you get it?\Don't take my maid away!\She's mine!\You overstep\I see. response:	In that case, this space is too small.
context: and sometimes she feels down, but she hides it with a laugh.\And to top it off, she's a maid!\Do you get it?\Don't take my maid away!\She's mine!\You overstep\I see.\In that case, this space is too small. response:	Tohru.
context: And to top it off, she's a maid!\Do you get it?\Don't take my maid away!\She's mine!\You overstep\I see.\In that case, this space is too small.\Tohru. response:	This is a first.
context: Do you get it?\Don't take my maid away!\She's mine!\You overstep\I see.\In that case, this space is too small.\Tohru.\This is a first. response:	You rebelling against me.
context: Don't take my maid away!\She's mine!\You overstep\I see.\In that case, this space is too small.\Tohru.\This is a first.\You rebelling against me. response:	I'll decide where I belong on my own.
context: She's mine!\You overstep\I see.\In that case, this space is too small.\Tohru.\This is a first.\You rebelling against me.\I'll decide where I belong on my own. response:	Hmph.
context: You overstep\I see.\In that case, this space is too small.\Tohru.\This is a first.\You rebelling against me.\I'll decide where I belong on my own.\Hmph. response:	I respect you, Father.
context: I see.\In that case, this space is too small.\Tohru.\This is a first.\You rebelling against me.\I'll decide where I belong on my own.\Hmph.\I respect you, Father. response:	I admire you.
context: In that case, this space is too small.\Tohru.\This is a first.\You rebelling against me.\I'll decide where I belong on my own.\Hmph.\I respect you, Father.\I admire you. response:	But that's as a dragon.
context: Tohru.\This is a first.\You rebelling against me.\I'll decide where I belong on my own.\Hmph.\I respect you, Father.\I admire you.\But that's as a dragon. response:	Miss Kobayashi is my...
context: This is a first.\You rebelling against me.\I'll decide where I belong on my own.\Hmph.\I respect you, Father.\I admire you.\But that's as a dragon.\Miss Kobayashi is my... response:	my...
context: You rebelling against me.\I'll decide where I belong on my own.\Hmph.\I respect you, Father.\I admire you.\But that's as a dragon.\Miss Kobayashi is my...\my... response:	my light!
context: I'll decide where I belong on my own.\Hmph.\I respect you, Father.\I admire you.\But that's as a dragon.\Miss Kobayashi is my...\my...\my light! response:	You know nothing.
context: Hmph.\I respect you, Father.\I admire you.\But that's as a dragon.\Miss Kobayashi is my...\my...\my light!\You know nothing. response:	In that case...!
context: I respect you, Father.\I admire you.\But that's as a dragon.\Miss Kobayashi is my...\my...\my light!\You know nothing.\In that case...! response:	If you defy me, I won't show mercy.
context: I admire you.\But that's as a dragon.\Miss Kobayashi is my...\my...\my light!\You know nothing.\In that case...!\If you defy me, I won't show mercy. response:	Come home, stupid daughter.
context: But that's as a dragon.\Miss Kobayashi is my...\my...\my light!\You know nothing.\In that case...!\If you defy me, I won't show mercy.\Come home, stupid daughter. response:	I won't go back!
context: Miss Kobayashi is my...\my...\my light!\You know nothing.\In that case...!\If you defy me, I won't show mercy.\Come home, stupid daughter.\I won't go back! response:	I won't allow it!
context: my...\my light!\You know nothing.\In that case...!\If you defy me, I won't show mercy.\Come home, stupid daughter.\I won't go back!\I won't allow it! response:	Not with a human!
context: my light!\You know nothing.\In that case...!\If you defy me, I won't show mercy.\Come home, stupid daughter.\I won't go back!\I won't allow it!\Not with a human! response:	Miss Kobayashi's special!
context: You know nothing.\In that case...!\If you defy me, I won't show mercy.\Come home, stupid daughter.\I won't go back!\I won't allow it!\Not with a human!\Miss Kobayashi's special! response:	There!
context: In that case...!\If you defy me, I won't show mercy.\Come home, stupid daughter.\I won't go back!\I won't allow it!\Not with a human!\Miss Kobayashi's special!\There! response:	This is your last chance. Come home.
context: If you defy me, I won't show mercy.\Come home, stupid daughter.\I won't go back!\I won't allow it!\Not with a human!\Miss Kobayashi's special!\There!\This is your last chance. Come home. response:	I won't go back!
context: Come home, stupid daughter.\I won't go back!\I won't allow it!\Not with a human!\Miss Kobayashi's special!\There!\This is your last chance. Come home.\I won't go back! response:	You hardhead!
context: I won't go back!\I won't allow it!\Not with a human!\Miss Kobayashi's special!\There!\This is your last chance. Come home.\I won't go back!\You hardhead! response:	Wait, wait, wait!
context: I won't allow it!\Not with a human!\Miss Kobayashi's special!\There!\This is your last chance. Come home.\I won't go back!\You hardhead!\Wait, wait, wait! response:	Kanna? Miss Kobayashi?
context: Not with a human!\Miss Kobayashi's special!\There!\This is your last chance. Come home.\I won't go back!\You hardhead!\Wait, wait, wait!\Kanna? Miss Kobayashi? response:	Why are you two fighting?!
context: Miss Kobayashi's special!\There!\This is your last chance. Come home.\I won't go back!\You hardhead!\Wait, wait, wait!\Kanna? Miss Kobayashi?\Why are you two fighting?! response:	Stay out of this, human.
context: There!\This is your last chance. Come home.\I won't go back!\You hardhead!\Wait, wait, wait!\Kanna? Miss Kobayashi?\Why are you two fighting?!\Stay out of this, human. response:	I'm sorry, Miss Kobayashi, but could you step back for a bit?
context: This is your last chance. Come home.\I won't go back!\You hardhead!\Wait, wait, wait!\Kanna? Miss Kobayashi?\Why are you two fighting?!\Stay out of this, human.\I'm sorry, Miss Kobayashi, but could you step back for a bit? response:	Why are you dragons like this?
context: I won't go back!\You hardhead!\Wait, wait, wait!\Kanna? Miss Kobayashi?\Why are you two fighting?!\Stay out of this, human.\I'm sorry, Miss Kobayashi, but could you step back for a bit?\Why are you dragons like this? response:	You'll never get anywhere if you can't compromise.
context: You hardhead!\Wait, wait, wait!\Kanna? Miss Kobayashi?\Why are you two fighting?!\Stay out of this, human.\I'm sorry, Miss Kobayashi, but could you step back for a bit?\Why are you dragons like this?\You'll never get anywhere if you can't compromise. response:	What are you getting at?
context: Wait, wait, wait!\Kanna? Miss Kobayashi?\Why are you two fighting?!\Stay out of this, human.\I'm sorry, Miss Kobayashi, but could you step back for a bit?\Why are you dragons like this?\You'll never get anywhere if you can't compromise.\What are you getting at? response:	You're being extreme!
context: Kanna? Miss Kobayashi?\Why are you two fighting?!\Stay out of this, human.\I'm sorry, Miss Kobayashi, but could you step back for a bit?\Why are you dragons like this?\You'll never get anywhere if you can't compromise.\What are you getting at?\You're being extreme! response:	I can never understand that.
context: Why are you two fighting?!\Stay out of this, human.\I'm sorry, Miss Kobayashi, but could you step back for a bit?\Why are you dragons like this?\You'll never get anywhere if you can't compromise.\What are you getting at?\You're being extreme!\I can never understand that. response:	Of course. Humans could never understand us.
context: Stay out of this, human.\I'm sorry, Miss Kobayashi, but could you step back for a bit?\Why are you dragons like this?\You'll never get anywhere if you can't compromise.\What are you getting at?\You're being extreme!\I can never understand that.\Of course. Humans could never understand us. response:	Not so.
context: I'm sorry, Miss Kobayashi, but could you step back for a bit?\Why are you dragons like this?\You'll never get anywhere if you can't compromise.\What are you getting at?\You're being extreme!\I can never understand that.\Of course. Humans could never understand us.\Not so. response:	Hmm?
context: Why are you dragons like this?\You'll never get anywhere if you can't compromise.\What are you getting at?\You're being extreme!\I can never understand that.\Of course. Humans could never understand us.\Not so.\Hmm? response:	Knowing you're different is only the start.
context: You'll never get anywhere if you can't compromise.\What are you getting at?\You're being extreme!\I can never understand that.\Of course. Humans could never understand us.\Not so.\Hmm?\Knowing you're different is only the start. response:	You grow closer or more distant,
context: What are you getting at?\You're being extreme!\I can never understand that.\Of course. Humans could never understand us.\Not so.\Hmm?\Knowing you're different is only the start.\You grow closer or more distant, response:	again and again, while realizing those differences.
context: You're being extreme!\I can never understand that.\Of course. Humans could never understand us.\Not so.\Hmm?\Knowing you're different is only the start.\You grow closer or more distant,\again and again, while realizing those differences. response:	And then you start finding the aspects you like.
context: I can never understand that.\Of course. Humans could never understand us.\Not so.\Hmm?\Knowing you're different is only the start.\You grow closer or more distant,\again and again, while realizing those differences.\And then you start finding the aspects you like. response:	You can even build respect.
context: Of course. Humans could never understand us.\Not so.\Hmm?\Knowing you're different is only the start.\You grow closer or more distant,\again and again, while realizing those differences.\And then you start finding the aspects you like.\You can even build respect. response:	Respect?
context: Not so.\Hmm?\Knowing you're different is only the start.\You grow closer or more distant,\again and again, while realizing those differences.\And then you start finding the aspects you like.\You can even build respect.\Respect? response:	Then you can forge both trust and bonds.
context: Hmm?\Knowing you're different is only the start.\You grow closer or more distant,\again and again, while realizing those differences.\And then you start finding the aspects you like.\You can even build respect.\Respect?\Then you can forge both trust and bonds. response:	Do you genuinely believe you can live alongside her?
context: Knowing you're different is only the start.\You grow closer or more distant,\again and again, while realizing those differences.\And then you start finding the aspects you like.\You can even build respect.\Respect?\Then you can forge both trust and bonds.\Do you genuinely believe you can live alongside her? response:	You're wrong!
context: You grow closer or more distant,\again and again, while realizing those differences.\And then you start finding the aspects you like.\You can even build respect.\Respect?\Then you can forge both trust and bonds.\Do you genuinely believe you can live alongside her?\You're wrong! response:	We've already been doing that for a long time.
context: again and again, while realizing those differences.\And then you start finding the aspects you like.\You can even build respect.\Respect?\Then you can forge both trust and bonds.\Do you genuinely believe you can live alongside her?\You're wrong!\We've already been doing that for a long time. response:	It's about whether or not you believe it can last.
context: And then you start finding the aspects you like.\You can even build respect.\Respect?\Then you can forge both trust and bonds.\Do you genuinely believe you can live alongside her?\You're wrong!\We've already been doing that for a long time.\It's about whether or not you believe it can last. response:	I believed it would.
context: You can even build respect.\Respect?\Then you can forge both trust and bonds.\Do you genuinely believe you can live alongside her?\You're wrong!\We've already been doing that for a long time.\It's about whether or not you believe it can last.\I believed it would. response:	What about you?
context: Respect?\Then you can forge both trust and bonds.\Do you genuinely believe you can live alongside her?\You're wrong!\We've already been doing that for a long time.\It's about whether or not you believe it can last.\I believed it would.\What about you? response:	Try having faith in your daughter!
context: Then you can forge both trust and bonds.\Do you genuinely believe you can live alongside her?\You're wrong!\We've already been doing that for a long time.\It's about whether or not you believe it can last.\I believed it would.\What about you?\Try having faith in your daughter! response:	I won't approve.
context: Do you genuinely believe you can live alongside her?\You're wrong!\We've already been doing that for a long time.\It's about whether or not you believe it can last.\I believed it would.\What about you?\Try having faith in your daughter!\I won't approve. response:	Not with something like a human who doesn't even have the lifespan to live alongside her.
context: You're wrong!\We've already been doing that for a long time.\It's about whether or not you believe it can last.\I believed it would.\What about you?\Try having faith in your daughter!\I won't approve.\Not with something like a human who doesn't even have the lifespan to live alongside her. response:	Tohru. My foolish daughter.
context: We've already been doing that for a long time.\It's about whether or not you believe it can last.\I believed it would.\What about you?\Try having faith in your daughter!\I won't approve.\Not with something like a human who doesn't even have the lifespan to live alongside her.\Tohru. My foolish daughter. response:	Sorry for being selfish.
context: It's about whether or not you believe it can last.\I believed it would.\What about you?\Try having faith in your daughter!\I won't approve.\Not with something like a human who doesn't even have the lifespan to live alongside her.\Tohru. My foolish daughter.\Sorry for being selfish. response:	What should I give you?
context: I believed it would.\What about you?\Try having faith in your daughter!\I won't approve.\Not with something like a human who doesn't even have the lifespan to live alongside her.\Tohru. My foolish daughter.\Sorry for being selfish.\What should I give you? response:	Everything. I'll give you everything!
context: What about you?\Try having faith in your daughter!\I won't approve.\Not with something like a human who doesn't even have the lifespan to live alongside her.\Tohru. My foolish daughter.\Sorry for being selfish.\What should I give you?\Everything. I'll give you everything! response:	I don't need that much.
context: Try having faith in your daughter!\I won't approve.\Not with something like a human who doesn't even have the lifespan to live alongside her.\Tohru. My foolish daughter.\Sorry for being selfish.\What should I give you?\Everything. I'll give you everything!\I don't need that much. response:	Good morning, Tohru.
