context: As a present for our classmate Futa's birthday, response:	I went to Waka's house to bake a ball-shaped cake.
context: But it's getting late. You should go home and look tomorrow.\You're right. I will.\By the way...\Do you know how long the lights have been on here?\Oh, I turned them on myself.\I thought having a little light would make it easier to search.\Are you related to Mr. Hayase?\No, but my little sister is in class with his daughter. response:	And I used to help Mr. Hayase with his research.
context: You're right. I will.\By the way...\Do you know how long the lights have been on here?\Oh, I turned them on myself.\I thought having a little light would make it easier to search.\Are you related to Mr. Hayase?\No, but my little sister is in class with his daughter.\And I used to help Mr. Hayase with his research. response:	I see...
context: By the way...\Do you know how long the lights have been on here?\Oh, I turned them on myself.\I thought having a little light would make it easier to search.\Are you related to Mr. Hayase?\No, but my little sister is in class with his daughter.\And I used to help Mr. Hayase with his research.\I see... response:	Do you think I could have a look inside?
context: Do you know how long the lights have been on here?\Oh, I turned them on myself.\I thought having a little light would make it easier to search.\Are you related to Mr. Hayase?\No, but my little sister is in class with his daughter.\And I used to help Mr. Hayase with his research.\I see...\Do you think I could have a look inside? response:	What? Of course.
context: Oh, I turned them on myself.\I thought having a little light would make it easier to search.\Are you related to Mr. Hayase?\No, but my little sister is in class with his daughter.\And I used to help Mr. Hayase with his research.\I see...\Do you think I could have a look inside?\What? Of course. response:	Brother...
context: I thought having a little light would make it easier to search.\Are you related to Mr. Hayase?\No, but my little sister is in class with his daughter.\And I used to help Mr. Hayase with his research.\I see...\Do you think I could have a look inside?\What? Of course.\Brother... response:	What's that?
context: Are you related to Mr. Hayase?\No, but my little sister is in class with his daughter.\And I used to help Mr. Hayase with his research.\I see...\Do you think I could have a look inside?\What? Of course.\Brother...\What's that? response:	A simple dip circle.
context: No, but my little sister is in class with his daughter.\And I used to help Mr. Hayase with his research.\I see...\Do you think I could have a look inside?\What? Of course.\Brother...\What's that?\A simple dip circle. response:	Or rather, a dip circle I made based on this phenomenon.
context: And I used to help Mr. Hayase with his research.\I see...\Do you think I could have a look inside?\What? Of course.\Brother...\What's that?\A simple dip circle.\Or rather, a dip circle I made based on this phenomenon. response:	I stuck this needle through the center of the float
context: I see...\Do you think I could have a look inside?\What? Of course.\Brother...\What's that?\A simple dip circle.\Or rather, a dip circle I made based on this phenomenon.\I stuck this needle through the center of the float response:	so that it balances parallel with the water.
context: Do you think I could have a look inside?\What? Of course.\Brother...\What's that?\A simple dip circle.\Or rather, a dip circle I made based on this phenomenon.\I stuck this needle through the center of the float\so that it balances parallel with the water. response:	But if I use this magnet...
context: What? Of course.\Brother...\What's that?\A simple dip circle.\Or rather, a dip circle I made based on this phenomenon.\I stuck this needle through the center of the float\so that it balances parallel with the water.\But if I use this magnet... response:	Do you understand what happened?
context: Brother...\What's that?\A simple dip circle.\Or rather, a dip circle I made based on this phenomenon.\I stuck this needle through the center of the float\so that it balances parallel with the water.\But if I use this magnet...\Do you understand what happened? response:	Contact with the magnet made the iron needle magnetic.
context: What's that?\A simple dip circle.\Or rather, a dip circle I made based on this phenomenon.\I stuck this needle through the center of the float\so that it balances parallel with the water.\But if I use this magnet...\Do you understand what happened?\Contact with the magnet made the iron needle magnetic. response:	That's right!
context: A simple dip circle.\Or rather, a dip circle I made based on this phenomenon.\I stuck this needle through the center of the float\so that it balances parallel with the water.\But if I use this magnet...\Do you understand what happened?\Contact with the magnet made the iron needle magnetic.\That's right! response:	Now the needle isn't parallel.
context: Or rather, a dip circle I made based on this phenomenon.\I stuck this needle through the center of the float\so that it balances parallel with the water.\But if I use this magnet...\Do you understand what happened?\Contact with the magnet made the iron needle magnetic.\That's right!\Now the needle isn't parallel. response:	It's pointing this far down.
context: I stuck this needle through the center of the float\so that it balances parallel with the water.\But if I use this magnet...\Do you understand what happened?\Contact with the magnet made the iron needle magnetic.\That's right!\Now the needle isn't parallel.\It's pointing this far down. response:	What does it mean?
context: so that it balances parallel with the water.\But if I use this magnet...\Do you understand what happened?\Contact with the magnet made the iron needle magnetic.\That's right!\Now the needle isn't parallel.\It's pointing this far down.\What does it mean? response:	If there were a magnetic mountain at the North Pole,
context: But if I use this magnet...\Do you understand what happened?\Contact with the magnet made the iron needle magnetic.\That's right!\Now the needle isn't parallel.\It's pointing this far down.\What does it mean?\If there were a magnetic mountain at the North Pole, response:	here in London, the magnetic force
context: Do you understand what happened?\Contact with the magnet made the iron needle magnetic.\That's right!\Now the needle isn't parallel.\It's pointing this far down.\What does it mean?\If there were a magnetic mountain at the North Pole,\here in London, the magnetic force response:	would probably not tilt the needle further than 20 degrees.
context: Contact with the magnet made the iron needle magnetic.\That's right!\Now the needle isn't parallel.\It's pointing this far down.\What does it mean?\If there were a magnetic mountain at the North Pole,\here in London, the magnetic force\would probably not tilt the needle further than 20 degrees. response:	But in fact, it's angled down at about 70 degrees.
context: That's right!\Now the needle isn't parallel.\It's pointing this far down.\What does it mean?\If there were a magnetic mountain at the North Pole,\here in London, the magnetic force\would probably not tilt the needle further than 20 degrees.\But in fact, it's angled down at about 70 degrees. response:	What does that tell us?
context: Now the needle isn't parallel.\It's pointing this far down.\What does it mean?\If there were a magnetic mountain at the North Pole,\here in London, the magnetic force\would probably not tilt the needle further than 20 degrees.\But in fact, it's angled down at about 70 degrees.\What does that tell us? response:	The magnet is under the ground?
context: It's pointing this far down.\What does it mean?\If there were a magnetic mountain at the North Pole,\here in London, the magnetic force\would probably not tilt the needle further than 20 degrees.\But in fact, it's angled down at about 70 degrees.\What does that tell us?\The magnet is under the ground? response:	S Pole The magnet is under the ground?
context: What does it mean?\If there were a magnetic mountain at the North Pole,\here in London, the magnetic force\would probably not tilt the needle further than 20 degrees.\But in fact, it's angled down at about 70 degrees.\What does that tell us?\The magnet is under the ground?\S Pole The magnet is under the ground? response:	Yes, effectively. S Pole
context: If there were a magnetic mountain at the North Pole,\here in London, the magnetic force\would probably not tilt the needle further than 20 degrees.\But in fact, it's angled down at about 70 degrees.\What does that tell us?\The magnet is under the ground?\S Pole The magnet is under the ground?\Yes, effectively. S Pole response:	Huh? S Pole
context: here in London, the magnetic force\would probably not tilt the needle further than 20 degrees.\But in fact, it's angled down at about 70 degrees.\What does that tell us?\The magnet is under the ground?\S Pole The magnet is under the ground?\Yes, effectively. S Pole\Huh? S Pole response:	Huh?
context: would probably not tilt the needle further than 20 degrees.\But in fact, it's angled down at about 70 degrees.\What does that tell us?\The magnet is under the ground?\S Pole The magnet is under the ground?\Yes, effectively. S Pole\Huh? S Pole\Huh? response:	And the results of that investigation are useful.
context: But in fact, it's angled down at about 70 degrees.\What does that tell us?\The magnet is under the ground?\S Pole The magnet is under the ground?\Yes, effectively. S Pole\Huh? S Pole\Huh?\And the results of that investigation are useful. response:	Look at this.
context: What does that tell us?\The magnet is under the ground?\S Pole The magnet is under the ground?\Yes, effectively. S Pole\Huh? S Pole\Huh?\And the results of that investigation are useful.\Look at this. response:	The longitudes and latitudes written here indicate
context: The magnet is under the ground?\S Pole The magnet is under the ground?\Yes, effectively. S Pole\Huh? S Pole\Huh?\And the results of that investigation are useful.\Look at this.\The longitudes and latitudes written here indicate response:	that the N pole of the dip circle's needle points further down as you go north.
context: S Pole The magnet is under the ground?\Yes, effectively. S Pole\Huh? S Pole\Huh?\And the results of that investigation are useful.\Look at this.\The longitudes and latitudes written here indicate\that the N pole of the dip circle's needle points further down as you go north. response:	Then, as you travel below the equator, it begins pointing up.
context: Yes, effectively. S Pole\Huh? S Pole\Huh?\And the results of that investigation are useful.\Look at this.\The longitudes and latitudes written here indicate\that the N pole of the dip circle's needle points further down as you go north.\Then, as you travel below the equator, it begins pointing up. response:	What? It points up?
context: Huh? S Pole\Huh?\And the results of that investigation are useful.\Look at this.\The longitudes and latitudes written here indicate\that the N pole of the dip circle's needle points further down as you go north.\Then, as you travel below the equator, it begins pointing up.\What? It points up? response:	That's right.
context: Huh?\And the results of that investigation are useful.\Look at this.\The longitudes and latitudes written here indicate\that the N pole of the dip circle's needle points further down as you go north.\Then, as you travel below the equator, it begins pointing up.\What? It points up?\That's right. response:	What is on the other side of the N pole?
context: And the results of that investigation are useful.\Look at this.\The longitudes and latitudes written here indicate\that the N pole of the dip circle's needle points further down as you go north.\Then, as you travel below the equator, it begins pointing up.\What? It points up?\That's right.\What is on the other side of the N pole? response:	The... S pole?
context: Look at this.\The longitudes and latitudes written here indicate\that the N pole of the dip circle's needle points further down as you go north.\Then, as you travel below the equator, it begins pointing up.\What? It points up?\That's right.\What is on the other side of the N pole?\The... S pole? response:	Right.
context: The longitudes and latitudes written here indicate\that the N pole of the dip circle's needle points further down as you go north.\Then, as you travel below the equator, it begins pointing up.\What? It points up?\That's right.\What is on the other side of the N pole?\The... S pole?\Right. response:	So why would the S pole point down?
context: that the N pole of the dip circle's needle points further down as you go north.\Then, as you travel below the equator, it begins pointing up.\What? It points up?\That's right.\What is on the other side of the N pole?\The... S pole?\Right.\So why would the S pole point down? response:	Because there's a N pole under the ground?
context: Then, as you travel below the equator, it begins pointing up.\What? It points up?\That's right.\What is on the other side of the N pole?\The... S pole?\Right.\So why would the S pole point down?\Because there's a N pole under the ground? response:	Yes.
context: What? It points up?\That's right.\What is on the other side of the N pole?\The... S pole?\Right.\So why would the S pole point down?\Because there's a N pole under the ground?\Yes. response:	In the north, there's an S pole.
context: That's right.\What is on the other side of the N pole?\The... S pole?\Right.\So why would the S pole point down?\Because there's a N pole under the ground?\Yes.\In the north, there's an S pole. response:	In the south, there's a N pole.
context: What is on the other side of the N pole?\The... S pole?\Right.\So why would the S pole point down?\Because there's a N pole under the ground?\Yes.\In the north, there's an S pole.\In the south, there's a N pole. response:	It's like the whole Earth is a giant magnet!
context: The... S pole?\Right.\So why would the S pole point down?\Because there's a N pole under the ground?\Yes.\In the north, there's an S pole.\In the south, there's a N pole.\It's like the whole Earth is a giant magnet! response:	Wow! I see!
context: Right.\So why would the S pole point down?\Because there's a N pole under the ground?\Yes.\In the north, there's an S pole.\In the south, there's a N pole.\It's like the whole Earth is a giant magnet!\Wow! I see! response:	But the question is...
context: So why would the S pole point down?\Because there's a N pole under the ground?\Yes.\In the north, there's an S pole.\In the south, there's a N pole.\It's like the whole Earth is a giant magnet!\Wow! I see!\But the question is... response:	What? You don't have enough?
context: Because there's a N pole under the ground?\Yes.\In the north, there's an S pole.\In the south, there's a N pole.\It's like the whole Earth is a giant magnet!\Wow! I see!\But the question is...\What? You don't have enough? response:	What we have now is just a hypothesis.
context: Yes.\In the north, there's an S pole.\In the south, there's a N pole.\It's like the whole Earth is a giant magnet!\Wow! I see!\But the question is...\What? You don't have enough?\What we have now is just a hypothesis. response:	It's not proof.
context: In the north, there's an S pole.\In the south, there's a N pole.\It's like the whole Earth is a giant magnet!\Wow! I see!\But the question is...\What? You don't have enough?\What we have now is just a hypothesis.\It's not proof. response:	R-Really?
context: In the south, there's a N pole.\It's like the whole Earth is a giant magnet!\Wow! I see!\But the question is...\What? You don't have enough?\What we have now is just a hypothesis.\It's not proof.\R-Really? response:	Science is interesting, isn't it?
context: It's like the whole Earth is a giant magnet!\Wow! I see!\But the question is...\What? You don't have enough?\What we have now is just a hypothesis.\It's not proof.\R-Really?\Science is interesting, isn't it? response:	The more you think, the more you investigate,
context: Wow! I see!\But the question is...\What? You don't have enough?\What we have now is just a hypothesis.\It's not proof.\R-Really?\Science is interesting, isn't it?\The more you think, the more you investigate, response:	the closer you come to the truth.
context: But the question is...\What? You don't have enough?\What we have now is just a hypothesis.\It's not proof.\R-Really?\Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth. response:	The technology that brought you to this era,
context: What? You don't have enough?\What we have now is just a hypothesis.\It's not proof.\R-Really?\Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth.\The technology that brought you to this era, response:	was, I'm sure, the result of a similarly lengthy process.
context: What we have now is just a hypothesis.\It's not proof.\R-Really?\Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth.\The technology that brought you to this era,\was, I'm sure, the result of a similarly lengthy process. response:	I believe that.
context: It's not proof.\R-Really?\Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth.\The technology that brought you to this era,\was, I'm sure, the result of a similarly lengthy process.\I believe that. response:	Humans create what they imagine.
context: R-Really?\Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth.\The technology that brought you to this era,\was, I'm sure, the result of a similarly lengthy process.\I believe that.\Humans create what they imagine. response:	Okay!
context: Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth.\The technology that brought you to this era,\was, I'm sure, the result of a similarly lengthy process.\I believe that.\Humans create what they imagine.\Okay! response:	Thanks.
context: The more you think, the more you investigate,\the closer you come to the truth.\The technology that brought you to this era,\was, I'm sure, the result of a similarly lengthy process.\I believe that.\Humans create what they imagine.\Okay!\Thanks. response:	Not at all.
context: the closer you come to the truth.\The technology that brought you to this era,\was, I'm sure, the result of a similarly lengthy process.\I believe that.\Humans create what they imagine.\Okay!\Thanks.\Not at all. response:	I'll go shut off the breaker now.
context: The technology that brought you to this era,\was, I'm sure, the result of a similarly lengthy process.\I believe that.\Humans create what they imagine.\Okay!\Thanks.\Not at all.\I'll go shut off the breaker now. response:	I'm sorry to take up all your time.
context: was, I'm sure, the result of a similarly lengthy process.\I believe that.\Humans create what they imagine.\Okay!\Thanks.\Not at all.\I'll go shut off the breaker now.\I'm sorry to take up all your time. response:	It's fine...
context: I believe that.\Humans create what they imagine.\Okay!\Thanks.\Not at all.\I'll go shut off the breaker now.\I'm sorry to take up all your time.\It's fine... response:	It'll be hard to do any more tonight, I guess.
context: Humans create what they imagine.\Okay!\Thanks.\Not at all.\I'll go shut off the breaker now.\I'm sorry to take up all your time.\It's fine...\It'll be hard to do any more tonight, I guess. response:	Hayase Research Laboratory
context: Okay!\Thanks.\Not at all.\I'll go shut off the breaker now.\I'm sorry to take up all your time.\It's fine...\It'll be hard to do any more tonight, I guess.\Hayase Research Laboratory response:	Well, take care on your way home. Hayase Research Laboratory
context: Thanks.\Not at all.\I'll go shut off the breaker now.\I'm sorry to take up all your time.\It's fine...\It'll be hard to do any more tonight, I guess.\Hayase Research Laboratory\Well, take care on your way home. Hayase Research Laboratory response:	Okay. Let's go, Waka. Hayase Research Laboratory
context: Not at all.\I'll go shut off the breaker now.\I'm sorry to take up all your time.\It's fine...\It'll be hard to do any more tonight, I guess.\Hayase Research Laboratory\Well, take care on your way home. Hayase Research Laboratory\Okay. Let's go, Waka. Hayase Research Laboratory response:	O-Okay... Hayase Research Laboratory
context: I'll go shut off the breaker now.\I'm sorry to take up all your time.\It's fine...\It'll be hard to do any more tonight, I guess.\Hayase Research Laboratory\Well, take care on your way home. Hayase Research Laboratory\Okay. Let's go, Waka. Hayase Research Laboratory\O-Okay... Hayase Research Laboratory response:	Hayase Research Laboratory
context: I'm sorry to take up all your time.\It's fine...\It'll be hard to do any more tonight, I guess.\Hayase Research Laboratory\Well, take care on your way home. Hayase Research Laboratory\Okay. Let's go, Waka. Hayase Research Laboratory\O-Okay... Hayase Research Laboratory\Hayase Research Laboratory response:	I see. So the doctor hasn't necessarily come back.
context: It's fine...\It'll be hard to do any more tonight, I guess.\Hayase Research Laboratory\Well, take care on your way home. Hayase Research Laboratory\Okay. Let's go, Waka. Hayase Research Laboratory\O-Okay... Hayase Research Laboratory\Hayase Research Laboratory\I see. So the doctor hasn't necessarily come back. response:	Understood.
context: It'll be hard to do any more tonight, I guess.\Hayase Research Laboratory\Well, take care on your way home. Hayase Research Laboratory\Okay. Let's go, Waka. Hayase Research Laboratory\O-Okay... Hayase Research Laboratory\Hayase Research Laboratory\I see. So the doctor hasn't necessarily come back.\Understood. response:	Continue investigating. Contact me if you find anything.
context: Hayase Research Laboratory\Well, take care on your way home. Hayase Research Laboratory\Okay. Let's go, Waka. Hayase Research Laboratory\O-Okay... Hayase Research Laboratory\Hayase Research Laboratory\I see. So the doctor hasn't necessarily come back.\Understood.\Continue investigating. Contact me if you find anything. response:	Mr. Mikage, what's going on?
context: Well, take care on your way home. Hayase Research Laboratory\Okay. Let's go, Waka. Hayase Research Laboratory\O-Okay... Hayase Research Laboratory\Hayase Research Laboratory\I see. So the doctor hasn't necessarily come back.\Understood.\Continue investigating. Contact me if you find anything.\Mr. Mikage, what's going on? response:	Nothing.
context: Okay. Let's go, Waka. Hayase Research Laboratory\O-Okay... Hayase Research Laboratory\Hayase Research Laboratory\I see. So the doctor hasn't necessarily come back.\Understood.\Continue investigating. Contact me if you find anything.\Mr. Mikage, what's going on?\Nothing. response:	Mama...
context: O-Okay... Hayase Research Laboratory\Hayase Research Laboratory\I see. So the doctor hasn't necessarily come back.\Understood.\Continue investigating. Contact me if you find anything.\Mr. Mikage, what's going on?\Nothing.\Mama... response:	Brother, what will we do?
context: Hayase Research Laboratory\I see. So the doctor hasn't necessarily come back.\Understood.\Continue investigating. Contact me if you find anything.\Mr. Mikage, what's going on?\Nothing.\Mama...\Brother, what will we do? response:	Shouldn't we have asked that policeman about Mari?
context: I see. So the doctor hasn't necessarily come back.\Understood.\Continue investigating. Contact me if you find anything.\Mr. Mikage, what's going on?\Nothing.\Mama...\Brother, what will we do?\Shouldn't we have asked that policeman about Mari? response:	If we're going to let anyone know, it should be Mari's mother first.
context: Understood.\Continue investigating. Contact me if you find anything.\Mr. Mikage, what's going on?\Nothing.\Mama...\Brother, what will we do?\Shouldn't we have asked that policeman about Mari?\If we're going to let anyone know, it should be Mari's mother first. response:	Good point.
context: Continue investigating. Contact me if you find anything.\Mr. Mikage, what's going on?\Nothing.\Mama...\Brother, what will we do?\Shouldn't we have asked that policeman about Mari?\If we're going to let anyone know, it should be Mari's mother first.\Good point. response:	I wonder if the doctor disappeared like Mari has.
context: Mr. Mikage, what's going on?\Nothing.\Mama...\Brother, what will we do?\Shouldn't we have asked that policeman about Mari?\If we're going to let anyone know, it should be Mari's mother first.\Good point.\I wonder if the doctor disappeared like Mari has. response:	What?
context: Nothing.\Mama...\Brother, what will we do?\Shouldn't we have asked that policeman about Mari?\If we're going to let anyone know, it should be Mari's mother first.\Good point.\I wonder if the doctor disappeared like Mari has.\What? response:	Anyway, we can't let things remain this way.
context: Mama...\Brother, what will we do?\Shouldn't we have asked that policeman about Mari?\If we're going to let anyone know, it should be Mari's mother first.\Good point.\I wonder if the doctor disappeared like Mari has.\What?\Anyway, we can't let things remain this way. response:	Let's go to Mari's house.
context: Brother, what will we do?\Shouldn't we have asked that policeman about Mari?\If we're going to let anyone know, it should be Mari's mother first.\Good point.\I wonder if the doctor disappeared like Mari has.\What?\Anyway, we can't let things remain this way.\Let's go to Mari's house. response:	Right.
context: Shouldn't we have asked that policeman about Mari?\If we're going to let anyone know, it should be Mari's mother first.\Good point.\I wonder if the doctor disappeared like Mari has.\What?\Anyway, we can't let things remain this way.\Let's go to Mari's house.\Right. response:	I think it's ready!
context: If we're going to let anyone know, it should be Mari's mother first.\Good point.\I wonder if the doctor disappeared like Mari has.\What?\Anyway, we can't let things remain this way.\Let's go to Mari's house.\Right.\I think it's ready! response:	Should I open it, then?
context: Good point.\I wonder if the doctor disappeared like Mari has.\What?\Anyway, we can't let things remain this way.\Let's go to Mari's house.\Right.\I think it's ready!\Should I open it, then? response:	Okay!
context: I wonder if the doctor disappeared like Mari has.\What?\Anyway, we can't let things remain this way.\Let's go to Mari's house.\Right.\I think it's ready!\Should I open it, then?\Okay! response:	Is this right?
context: What?\Anyway, we can't let things remain this way.\Let's go to Mari's house.\Right.\I think it's ready!\Should I open it, then?\Okay!\Is this right? response:	Yeah, it's done! It's done! What a great smell!
context: Anyway, we can't let things remain this way.\Let's go to Mari's house.\Right.\I think it's ready!\Should I open it, then?\Okay!\Is this right?\Yeah, it's done! It's done! What a great smell! response:	Are you sure it's all right, with that much sugar?
context: Let's go to Mari's house.\Right.\I think it's ready!\Should I open it, then?\Okay!\Is this right?\Yeah, it's done! It's done! What a great smell!\Are you sure it's all right, with that much sugar? response:	It's fine! Look!
context: Right.\I think it's ready!\Should I open it, then?\Okay!\Is this right?\Yeah, it's done! It's done! What a great smell!\Are you sure it's all right, with that much sugar?\It's fine! Look! response:	Good morning.
context: I think it's ready!\Should I open it, then?\Okay!\Is this right?\Yeah, it's done! It's done! What a great smell!\Are you sure it's all right, with that much sugar?\It's fine! Look!\Good morning. response:	Good morning, Master.
context: Should I open it, then?\Okay!\Is this right?\Yeah, it's done! It's done! What a great smell!\Are you sure it's all right, with that much sugar?\It's fine! Look!\Good morning.\Good morning, Master. response:	Good morning!
context: Okay!\Is this right?\Yeah, it's done! It's done! What a great smell!\Are you sure it's all right, with that much sugar?\It's fine! Look!\Good morning.\Good morning, Master.\Good morning! response:	I smell something delicious.
context: Is this right?\Yeah, it's done! It's done! What a great smell!\Are you sure it's all right, with that much sugar?\It's fine! Look!\Good morning.\Good morning, Master.\Good morning!\I smell something delicious. response:	That's right!
context: Yeah, it's done! It's done! What a great smell!\Are you sure it's all right, with that much sugar?\It's fine! Look!\Good morning.\Good morning, Master.\Good morning!\I smell something delicious.\That's right! response:	Look at this! She's a cake-making genius!
context: Are you sure it's all right, with that much sugar?\It's fine! Look!\Good morning.\Good morning, Master.\Good morning!\I smell something delicious.\That's right!\Look at this! She's a cake-making genius! response:	Oh, no! I'm not that good.
context: It's fine! Look!\Good morning.\Good morning, Master.\Good morning!\I smell something delicious.\That's right!\Look at this! She's a cake-making genius!\Oh, no! I'm not that good. response:	Oh, these look wonderful.
context: Good morning.\Good morning, Master.\Good morning!\I smell something delicious.\That's right!\Look at this! She's a cake-making genius!\Oh, no! I'm not that good.\Oh, these look wonderful. response:	You've been so hospitable,
context: Good morning, Master.\Good morning!\I smell something delicious.\That's right!\Look at this! She's a cake-making genius!\Oh, no! I'm not that good.\Oh, these look wonderful.\You've been so hospitable, response:	and this is about the only way I know to thank you.
context: Good morning!\I smell something delicious.\That's right!\Look at this! She's a cake-making genius!\Oh, no! I'm not that good.\Oh, these look wonderful.\You've been so hospitable,\and this is about the only way I know to thank you. response:	Um... let's do our best together, okay?
context: I smell something delicious.\That's right!\Look at this! She's a cake-making genius!\Oh, no! I'm not that good.\Oh, these look wonderful.\You've been so hospitable,\and this is about the only way I know to thank you.\Um... let's do our best together, okay? response:	Yes.
context: That's right!\Look at this! She's a cake-making genius!\Oh, no! I'm not that good.\Oh, these look wonderful.\You've been so hospitable,\and this is about the only way I know to thank you.\Um... let's do our best together, okay?\Yes. response:	What's that?
context: Look at this! She's a cake-making genius!\Oh, no! I'm not that good.\Oh, these look wonderful.\You've been so hospitable,\and this is about the only way I know to thank you.\Um... let's do our best together, okay?\Yes.\What's that? response:	Huh?
context: Oh, no! I'm not that good.\Oh, these look wonderful.\You've been so hospitable,\and this is about the only way I know to thank you.\Um... let's do our best together, okay?\Yes.\What's that?\Huh? response:	This? It's called whipped cream.
context: Oh, these look wonderful.\You've been so hospitable,\and this is about the only way I know to thank you.\Um... let's do our best together, okay?\Yes.\What's that?\Huh?\This? It's called whipped cream. response:	No, in front of you.
context: You've been so hospitable,\and this is about the only way I know to thank you.\Um... let's do our best together, okay?\Yes.\What's that?\Huh?\This? It's called whipped cream.\No, in front of you. response:	I thought I'd try out some ball-shaped cakes.
context: and this is about the only way I know to thank you.\Um... let's do our best together, okay?\Yes.\What's that?\Huh?\This? It's called whipped cream.\No, in front of you.\I thought I'd try out some ball-shaped cakes. response:	Today's my friend's birthday.
context: Um... let's do our best together, okay?\Yes.\What's that?\Huh?\This? It's called whipped cream.\No, in front of you.\I thought I'd try out some ball-shaped cakes.\Today's my friend's birthday. response:	Well, that's back in my own time, of course.
context: Yes.\What's that?\Huh?\This? It's called whipped cream.\No, in front of you.\I thought I'd try out some ball-shaped cakes.\Today's my friend's birthday.\Well, that's back in my own time, of course. response:	If you make it too big, then the batter doesn't cook all the way through.
context: What's that?\Huh?\This? It's called whipped cream.\No, in front of you.\I thought I'd try out some ball-shaped cakes.\Today's my friend's birthday.\Well, that's back in my own time, of course.\If you make it too big, then the batter doesn't cook all the way through. response:	So I thought if I baked thinner cakes, cut them into circles and layered them,
context: Huh?\This? It's called whipped cream.\No, in front of you.\I thought I'd try out some ball-shaped cakes.\Today's my friend's birthday.\Well, that's back in my own time, of course.\If you make it too big, then the batter doesn't cook all the way through.\So I thought if I baked thinner cakes, cut them into circles and layered them, response:	then coated them with fresh cream...
context: This? It's called whipped cream.\No, in front of you.\I thought I'd try out some ball-shaped cakes.\Today's my friend's birthday.\Well, that's back in my own time, of course.\If you make it too big, then the batter doesn't cook all the way through.\So I thought if I baked thinner cakes, cut them into circles and layered them,\then coated them with fresh cream... response:	I see. That's it!
context: No, in front of you.\I thought I'd try out some ball-shaped cakes.\Today's my friend's birthday.\Well, that's back in my own time, of course.\If you make it too big, then the batter doesn't cook all the way through.\So I thought if I baked thinner cakes, cut them into circles and layered them,\then coated them with fresh cream...\I see. That's it! response:	Mr. Gilbert! Mr. Gilbert!
context: I thought I'd try out some ball-shaped cakes.\Today's my friend's birthday.\Well, that's back in my own time, of course.\If you make it too big, then the batter doesn't cook all the way through.\So I thought if I baked thinner cakes, cut them into circles and layered them,\then coated them with fresh cream...\I see. That's it!\Mr. Gilbert! Mr. Gilbert! response:	I'll get it.
context: Today's my friend's birthday.\Well, that's back in my own time, of course.\If you make it too big, then the batter doesn't cook all the way through.\So I thought if I baked thinner cakes, cut them into circles and layered them,\then coated them with fresh cream...\I see. That's it!\Mr. Gilbert! Mr. Gilbert!\I'll get it. response:	Thank you, Mari.
context: Well, that's back in my own time, of course.\If you make it too big, then the batter doesn't cook all the way through.\So I thought if I baked thinner cakes, cut them into circles and layered them,\then coated them with fresh cream...\I see. That's it!\Mr. Gilbert! Mr. Gilbert!\I'll get it.\Thank you, Mari. response:	Huh?
context: If you make it too big, then the batter doesn't cook all the way through.\So I thought if I baked thinner cakes, cut them into circles and layered them,\then coated them with fresh cream...\I see. That's it!\Mr. Gilbert! Mr. Gilbert!\I'll get it.\Thank you, Mari.\Huh? response:	You've inspired me.
context: So I thought if I baked thinner cakes, cut them into circles and layered them,\then coated them with fresh cream...\I see. That's it!\Mr. Gilbert! Mr. Gilbert!\I'll get it.\Thank you, Mari.\Huh?\You've inspired me. response:	Thanks to this cake,
context: then coated them with fresh cream...\I see. That's it!\Mr. Gilbert! Mr. Gilbert!\I'll get it.\Thank you, Mari.\Huh?\You've inspired me.\Thanks to this cake, response:	I've figured out how to prove my hypothesis.
context: I see. That's it!\Mr. Gilbert! Mr. Gilbert!\I'll get it.\Thank you, Mari.\Huh?\You've inspired me.\Thanks to this cake,\I've figured out how to prove my hypothesis. response:	A model! A model!
context: Mr. Gilbert! Mr. Gilbert!\I'll get it.\Thank you, Mari.\Huh?\You've inspired me.\Thanks to this cake,\I've figured out how to prove my hypothesis.\A model! A model! response:	Huh?
context: I'll get it.\Thank you, Mari.\Huh?\You've inspired me.\Thanks to this cake,\I've figured out how to prove my hypothesis.\A model! A model!\Huh? response:	If I file down a magnet into a model of the Earth,
context: Thank you, Mari.\Huh?\You've inspired me.\Thanks to this cake,\I've figured out how to prove my hypothesis.\A model! A model!\Huh?\If I file down a magnet into a model of the Earth, response:	it will unlock the secret of the dip circle's needle!
context: Huh?\You've inspired me.\Thanks to this cake,\I've figured out how to prove my hypothesis.\A model! A model!\Huh?\If I file down a magnet into a model of the Earth,\it will unlock the secret of the dip circle's needle! response:	This is incredible!
context: You've inspired me.\Thanks to this cake,\I've figured out how to prove my hypothesis.\A model! A model!\Huh?\If I file down a magnet into a model of the Earth,\it will unlock the secret of the dip circle's needle!\This is incredible! response:	Master?
context: Thanks to this cake,\I've figured out how to prove my hypothesis.\A model! A model!\Huh?\If I file down a magnet into a model of the Earth,\it will unlock the secret of the dip circle's needle!\This is incredible!\Master? response:	A letter from Rome.
