context: So return to the capital response:	What the hell are you playing at?!
context: The Shield Hero kept me safe.\Hang on. Didn't Naofumi abduct you?\A dastardly plot was behind all this.\I asked him to take me and protect my life.\Protect?\What could the Shield Hero possibly stand to gain by abducting me?\The queen told me...\This is the time for all of us to work together to thwart the catastrophes. response:	Our world cannot withstand any further pointless conflict!
context: Hang on. Didn't Naofumi abduct you?\A dastardly plot was behind all this.\I asked him to take me and protect my life.\Protect?\What could the Shield Hero possibly stand to gain by abducting me?\The queen told me...\This is the time for all of us to work together to thwart the catastrophes.\Our world cannot withstand any further pointless conflict! response:	Please put your weapons away.
context: A dastardly plot was behind all this.\I asked him to take me and protect my life.\Protect?\What could the Shield Hero possibly stand to gain by abducting me?\The queen told me...\This is the time for all of us to work together to thwart the catastrophes.\Our world cannot withstand any further pointless conflict!\Please put your weapons away. response:	As she says, this is a setup.
context: I asked him to take me and protect my life.\Protect?\What could the Shield Hero possibly stand to gain by abducting me?\The queen told me...\This is the time for all of us to work together to thwart the catastrophes.\Our world cannot withstand any further pointless conflict!\Please put your weapons away.\As she says, this is a setup. response:	I'll tell you everything I know.
context: Protect?\What could the Shield Hero possibly stand to gain by abducting me?\The queen told me...\This is the time for all of us to work together to thwart the catastrophes.\Our world cannot withstand any further pointless conflict!\Please put your weapons away.\As she says, this is a setup.\I'll tell you everything I know. response:	So
context: What could the Shield Hero possibly stand to gain by abducting me?\The queen told me...\This is the time for all of us to work together to thwart the catastrophes.\Our world cannot withstand any further pointless conflict!\Please put your weapons away.\As she says, this is a setup.\I'll tell you everything I know.\So response:	You mustn't listen to him!
context: The queen told me...\This is the time for all of us to work together to thwart the catastrophes.\Our world cannot withstand any further pointless conflict!\Please put your weapons away.\As she says, this is a setup.\I'll tell you everything I know.\So\You mustn't listen to him! response:	That devil possesses a brainwashing shield.
context: This is the time for all of us to work together to thwart the catastrophes.\Our world cannot withstand any further pointless conflict!\Please put your weapons away.\As she says, this is a setup.\I'll tell you everything I know.\So\You mustn't listen to him!\That devil possesses a brainwashing shield. response:	That accursed shield lets him take over one's mind just by talking to them.
context: Our world cannot withstand any further pointless conflict!\Please put your weapons away.\As she says, this is a setup.\I'll tell you everything I know.\So\You mustn't listen to him!\That devil possesses a brainwashing shield.\That accursed shield lets him take over one's mind just by talking to them. response:	Wha... Who would believe such a lie?
context: Please put your weapons away.\As she says, this is a setup.\I'll tell you everything I know.\So\You mustn't listen to him!\That devil possesses a brainwashing shield.\That accursed shield lets him take over one's mind just by talking to them.\Wha... Who would believe such a lie? response:	The Three Heroes Church has found that
context: As she says, this is a setup.\I'll tell you everything I know.\So\You mustn't listen to him!\That devil possesses a brainwashing shield.\That accursed shield lets him take over one's mind just by talking to them.\Wha... Who would believe such a lie?\The Three Heroes Church has found that response:	heretics who worship the Shield have started popping up in the past month.
context: I'll tell you everything I know.\So\You mustn't listen to him!\That devil possesses a brainwashing shield.\That accursed shield lets him take over one's mind just by talking to them.\Wha... Who would believe such a lie?\The Three Heroes Church has found that\heretics who worship the Shield have started popping up in the past month. response:	The Three Heroes Church again?
context: So\You mustn't listen to him!\That devil possesses a brainwashing shield.\That accursed shield lets him take over one's mind just by talking to them.\Wha... Who would believe such a lie?\The Three Heroes Church has found that\heretics who worship the Shield have started popping up in the past month.\The Three Heroes Church again? response:	The Devil of the Shield called himself the Savior of the Heavenly Fowl
context: You mustn't listen to him!\That devil possesses a brainwashing shield.\That accursed shield lets him take over one's mind just by talking to them.\Wha... Who would believe such a lie?\The Three Heroes Church has found that\heretics who worship the Shield have started popping up in the past month.\The Three Heroes Church again?\The Devil of the Shield called himself the Savior of the Heavenly Fowl response:	and went around brainwashing innocent people!
context: That devil possesses a brainwashing shield.\That accursed shield lets him take over one's mind just by talking to them.\Wha... Who would believe such a lie?\The Three Heroes Church has found that\heretics who worship the Shield have started popping up in the past month.\The Three Heroes Church again?\The Devil of the Shield called himself the Savior of the Heavenly Fowl\and went around brainwashing innocent people! response:	Sister?
context: That accursed shield lets him take over one's mind just by talking to them.\Wha... Who would believe such a lie?\The Three Heroes Church has found that\heretics who worship the Shield have started popping up in the past month.\The Three Heroes Church again?\The Devil of the Shield called himself the Savior of the Heavenly Fowl\and went around brainwashing innocent people!\Sister? response:	Melty, you poor thing!
context: Wha... Who would believe such a lie?\The Three Heroes Church has found that\heretics who worship the Shield have started popping up in the past month.\The Three Heroes Church again?\The Devil of the Shield called himself the Savior of the Heavenly Fowl\and went around brainwashing innocent people!\Sister?\Melty, you poor thing! response:	I see the Devil of the Shield has already brainwashed you.
context: The Three Heroes Church has found that\heretics who worship the Shield have started popping up in the past month.\The Three Heroes Church again?\The Devil of the Shield called himself the Savior of the Heavenly Fowl\and went around brainwashing innocent people!\Sister?\Melty, you poor thing!\I see the Devil of the Shield has already brainwashed you. response:	I see!
context: heretics who worship the Shield have started popping up in the past month.\The Three Heroes Church again?\The Devil of the Shield called himself the Savior of the Heavenly Fowl\and went around brainwashing innocent people!\Sister?\Melty, you poor thing!\I see the Devil of the Shield has already brainwashed you.\I see! response:	Then Raphtalia-chan and Filo-chan were really brainwashed by Naofumi, too.
context: The Three Heroes Church again?\The Devil of the Shield called himself the Savior of the Heavenly Fowl\and went around brainwashing innocent people!\Sister?\Melty, you poor thing!\I see the Devil of the Shield has already brainwashed you.\I see!\Then Raphtalia-chan and Filo-chan were really brainwashed by Naofumi, too. response:	You're wrong!
context: The Devil of the Shield called himself the Savior of the Heavenly Fowl\and went around brainwashing innocent people!\Sister?\Melty, you poor thing!\I see the Devil of the Shield has already brainwashed you.\I see!\Then Raphtalia-chan and Filo-chan were really brainwashed by Naofumi, too.\You're wrong! response:	We've not brainwashed!
context: and went around brainwashing innocent people!\Sister?\Melty, you poor thing!\I see the Devil of the Shield has already brainwashed you.\I see!\Then Raphtalia-chan and Filo-chan were really brainwashed by Naofumi, too.\You're wrong!\We've not brainwashed! response:	If my shield had an ability like that,
context: Sister?\Melty, you poor thing!\I see the Devil of the Shield has already brainwashed you.\I see!\Then Raphtalia-chan and Filo-chan were really brainwashed by Naofumi, too.\You're wrong!\We've not brainwashed!\If my shield had an ability like that, response:	we wouldn't be in this situation to begin with!
context: Melty, you poor thing!\I see the Devil of the Shield has already brainwashed you.\I see!\Then Raphtalia-chan and Filo-chan were really brainwashed by Naofumi, too.\You're wrong!\We've not brainwashed!\If my shield had an ability like that,\we wouldn't be in this situation to begin with! response:	But there's no guarantee that it doesn't.
context: I see the Devil of the Shield has already brainwashed you.\I see!\Then Raphtalia-chan and Filo-chan were really brainwashed by Naofumi, too.\You're wrong!\We've not brainwashed!\If my shield had an ability like that,\we wouldn't be in this situation to begin with!\But there's no guarantee that it doesn't. response:	Do you have any proof to convince us?
context: I see!\Then Raphtalia-chan and Filo-chan were really brainwashed by Naofumi, too.\You're wrong!\We've not brainwashed!\If my shield had an ability like that,\we wouldn't be in this situation to begin with!\But there's no guarantee that it doesn't.\Do you have any proof to convince us? response:	Naofumi, hand over the second princess.
context: Then Raphtalia-chan and Filo-chan were really brainwashed by Naofumi, too.\You're wrong!\We've not brainwashed!\If my shield had an ability like that,\we wouldn't be in this situation to begin with!\But there's no guarantee that it doesn't.\Do you have any proof to convince us?\Naofumi, hand over the second princess. response:	I promise you she won't be harmed in any way.
context: You're wrong!\We've not brainwashed!\If my shield had an ability like that,\we wouldn't be in this situation to begin with!\But there's no guarantee that it doesn't.\Do you have any proof to convince us?\Naofumi, hand over the second princess.\I promise you she won't be harmed in any way. response:	Well, if we can avoid fighting,
context: We've not brainwashed!\If my shield had an ability like that,\we wouldn't be in this situation to begin with!\But there's no guarantee that it doesn't.\Do you have any proof to convince us?\Naofumi, hand over the second princess.\I promise you she won't be harmed in any way.\Well, if we can avoid fighting, response:	that might be for the best.
context: If my shield had an ability like that,\we wouldn't be in this situation to begin with!\But there's no guarantee that it doesn't.\Do you have any proof to convince us?\Naofumi, hand over the second princess.\I promise you she won't be harmed in any way.\Well, if we can avoid fighting,\that might be for the best. response:	You're absolutely right, Ren-sama!
context: we wouldn't be in this situation to begin with!\But there's no guarantee that it doesn't.\Do you have any proof to convince us?\Naofumi, hand over the second princess.\I promise you she won't be harmed in any way.\Well, if we can avoid fighting,\that might be for the best.\You're absolutely right, Ren-sama! response:	Melty's safety comes first!
context: But there's no guarantee that it doesn't.\Do you have any proof to convince us?\Naofumi, hand over the second princess.\I promise you she won't be harmed in any way.\Well, if we can avoid fighting,\that might be for the best.\You're absolutely right, Ren-sama!\Melty's safety comes first! response:	Come, now.
context: Do you have any proof to convince us?\Naofumi, hand over the second princess.\I promise you she won't be harmed in any way.\Well, if we can avoid fighting,\that might be for the best.\You're absolutely right, Ren-sama!\Melty's safety comes first!\Come, now. response:	Let's go home together.
context: Naofumi, hand over the second princess.\I promise you she won't be harmed in any way.\Well, if we can avoid fighting,\that might be for the best.\You're absolutely right, Ren-sama!\Melty's safety comes first!\Come, now.\Let's go home together. response:	No...
context: I promise you she won't be harmed in any way.\Well, if we can avoid fighting,\that might be for the best.\You're absolutely right, Ren-sama!\Melty's safety comes first!\Come, now.\Let's go home together.\No... response:	If I go back, I'll be killed!
context: Well, if we can avoid fighting,\that might be for the best.\You're absolutely right, Ren-sama!\Melty's safety comes first!\Come, now.\Let's go home together.\No...\If I go back, I'll be killed! response:	Come to me, now.
context: that might be for the best.\You're absolutely right, Ren-sama!\Melty's safety comes first!\Come, now.\Let's go home together.\No...\If I go back, I'll be killed!\Come to me, now. response:	Please!
context: You're absolutely right, Ren-sama!\Melty's safety comes first!\Come, now.\Let's go home together.\No...\If I go back, I'll be killed!\Come to me, now.\Please! response:	Help me!
context: Melty's safety comes first!\Come, now.\Let's go home together.\No...\If I go back, I'll be killed!\Come to me, now.\Please!\Help me! response:	Ren, I appreciate your offer,
context: Come, now.\Let's go home together.\No...\If I go back, I'll be killed!\Come to me, now.\Please!\Help me!\Ren, I appreciate your offer, response:	but I don't trust that woman with the second princess.
context: Let's go home together.\No...\If I go back, I'll be killed!\Come to me, now.\Please!\Help me!\Ren, I appreciate your offer,\but I don't trust that woman with the second princess. response:	What do you mean?
context: No...\If I go back, I'll be killed!\Come to me, now.\Please!\Help me!\Ren, I appreciate your offer,\but I don't trust that woman with the second princess.\What do you mean? response:	What are you talking about?
context: If I go back, I'll be killed!\Come to me, now.\Please!\Help me!\Ren, I appreciate your offer,\but I don't trust that woman with the second princess.\What do you mean?\What are you talking about? response:	Melty is my dear sister.
context: Come to me, now.\Please!\Help me!\Ren, I appreciate your offer,\but I don't trust that woman with the second princess.\What do you mean?\What are you talking about?\Melty is my dear sister. response:	You want to be crown princess so badly that you're willing to kill your sister?
context: Please!\Help me!\Ren, I appreciate your offer,\but I don't trust that woman with the second princess.\What do you mean?\What are you talking about?\Melty is my dear sister.\You want to be crown princess so badly that you're willing to kill your sister? response:	You'll say you're undoing the brainwashing and kill her when nobody's looking.
context: Help me!\Ren, I appreciate your offer,\but I don't trust that woman with the second princess.\What do you mean?\What are you talking about?\Melty is my dear sister.\You want to be crown princess so badly that you're willing to kill your sister?\You'll say you're undoing the brainwashing and kill her when nobody's looking. response:	I bet that's what you're planning!
context: Ren, I appreciate your offer,\but I don't trust that woman with the second princess.\What do you mean?\What are you talking about?\Melty is my dear sister.\You want to be crown princess so badly that you're willing to kill your sister?\You'll say you're undoing the brainwashing and kill her when nobody's looking.\I bet that's what you're planning! response:	I did promise to keep you safe.
context: but I don't trust that woman with the second princess.\What do you mean?\What are you talking about?\Melty is my dear sister.\You want to be crown princess so badly that you're willing to kill your sister?\You'll say you're undoing the brainwashing and kill her when nobody's looking.\I bet that's what you're planning!\I did promise to keep you safe. response:	Filo!
context: What do you mean?\What are you talking about?\Melty is my dear sister.\You want to be crown princess so badly that you're willing to kill your sister?\You'll say you're undoing the brainwashing and kill her when nobody's looking.\I bet that's what you're planning!\I did promise to keep you safe.\Filo! response:	'Kay!
context: What are you talking about?\Melty is my dear sister.\You want to be crown princess so badly that you're willing to kill your sister?\You'll say you're undoing the brainwashing and kill her when nobody's looking.\I bet that's what you're planning!\I did promise to keep you safe.\Filo!\'Kay! response:	Go!
context: Melty is my dear sister.\You want to be crown princess so badly that you're willing to kill your sister?\You'll say you're undoing the brainwashing and kill her when nobody's looking.\I bet that's what you're planning!\I did promise to keep you safe.\Filo!\'Kay!\Go! response:	Air Strike Shield!
context: You want to be crown princess so badly that you're willing to kill your sister?\You'll say you're undoing the brainwashing and kill her when nobody's looking.\I bet that's what you're planning!\I did promise to keep you safe.\Filo!\'Kay!\Go!\Air Strike Shield! response:	Not so fast!
context: You'll say you're undoing the brainwashing and kill her when nobody's looking.\I bet that's what you're planning!\I did promise to keep you safe.\Filo!\'Kay!\Go!\Air Strike Shield!\Not so fast! response:	I've called for backup. There's no escape for you now.
context: I bet that's what you're planning!\I did promise to keep you safe.\Filo!\'Kay!\Go!\Air Strike Shield!\Not so fast!\I've called for backup. There's no escape for you now. response:	I can't get this off.
context: I did promise to keep you safe.\Filo!\'Kay!\Go!\Air Strike Shield!\Not so fast!\I've called for backup. There's no escape for you now.\I can't get this off. response:	Filo-chan!
context: Filo!\'Kay!\Go!\Air Strike Shield!\Not so fast!\I've called for backup. There's no escape for you now.\I can't get this off.\Filo-chan! response:	L-Let go of me!
context: 'Kay!\Go!\Air Strike Shield!\Not so fast!\I've called for backup. There's no escape for you now.\I can't get this off.\Filo-chan!\L-Let go of me! response:	Huh? I-I've lost all my strength!
context: Go!\Air Strike Shield!\Not so fast!\I've called for backup. There's no escape for you now.\I can't get this off.\Filo-chan!\L-Let go of me!\Huh? I-I've lost all my strength! response:	I had the royal alchemists make this so you could stay an angel forever.
context: Air Strike Shield!\Not so fast!\I've called for backup. There's no escape for you now.\I can't get this off.\Filo-chan!\L-Let go of me!\Huh? I-I've lost all my strength!\I had the royal alchemists make this so you could stay an angel forever. response:	As source of thy power, I order thee.
context: Not so fast!\I've called for backup. There's no escape for you now.\I can't get this off.\Filo-chan!\L-Let go of me!\Huh? I-I've lost all my strength!\I had the royal alchemists make this so you could stay an angel forever.\As source of thy power, I order thee. response:	Decipher the laws of nature and slice through my target like a blade of water.
context: I've called for backup. There's no escape for you now.\I can't get this off.\Filo-chan!\L-Let go of me!\Huh? I-I've lost all my strength!\I had the royal alchemists make this so you could stay an angel forever.\As source of thy power, I order thee.\Decipher the laws of nature and slice through my target like a blade of water. response:	Zweit Aqua Slash!
context: I can't get this off.\Filo-chan!\L-Let go of me!\Huh? I-I've lost all my strength!\I had the royal alchemists make this so you could stay an angel forever.\As source of thy power, I order thee.\Decipher the laws of nature and slice through my target like a blade of water.\Zweit Aqua Slash! response:	I won't miss next time.
context: Filo-chan!\L-Let go of me!\Huh? I-I've lost all my strength!\I had the royal alchemists make this so you could stay an angel forever.\As source of thy power, I order thee.\Decipher the laws of nature and slice through my target like a blade of water.\Zweit Aqua Slash!\I won't miss next time. response:	Unhand Filo-chan!
context: L-Let go of me!\Huh? I-I've lost all my strength!\I had the royal alchemists make this so you could stay an angel forever.\As source of thy power, I order thee.\Decipher the laws of nature and slice through my target like a blade of water.\Zweit Aqua Slash!\I won't miss next time.\Unhand Filo-chan! response:	Myne-san?
context: Huh? I-I've lost all my strength!\I had the royal alchemists make this so you could stay an angel forever.\As source of thy power, I order thee.\Decipher the laws of nature and slice through my target like a blade of water.\Zweit Aqua Slash!\I won't miss next time.\Unhand Filo-chan!\Myne-san? response:	Are you trying to kill Princess Melty?!
context: I had the royal alchemists make this so you could stay an angel forever.\As source of thy power, I order thee.\Decipher the laws of nature and slice through my target like a blade of water.\Zweit Aqua Slash!\I won't miss next time.\Unhand Filo-chan!\Myne-san?\Are you trying to kill Princess Melty?! response:	She's the one who attacked first.
context: As source of thy power, I order thee.\Decipher the laws of nature and slice through my target like a blade of water.\Zweit Aqua Slash!\I won't miss next time.\Unhand Filo-chan!\Myne-san?\Are you trying to kill Princess Melty?!\She's the one who attacked first. response:	Zweit Hellfire!
context: Decipher the laws of nature and slice through my target like a blade of water.\Zweit Aqua Slash!\I won't miss next time.\Unhand Filo-chan!\Myne-san?\Are you trying to kill Princess Melty?!\She's the one who attacked first.\Zweit Hellfire! response:	Zweit Fire Arrow!
context: Zweit Aqua Slash!\I won't miss next time.\Unhand Filo-chan!\Myne-san?\Are you trying to kill Princess Melty?!\She's the one who attacked first.\Zweit Hellfire!\Zweit Fire Arrow! response:	What the hell is wrong with you? Stop!
context: I won't miss next time.\Unhand Filo-chan!\Myne-san?\Are you trying to kill Princess Melty?!\She's the one who attacked first.\Zweit Hellfire!\Zweit Fire Arrow!\What the hell is wrong with you? Stop! response:	If we can't undo her brainwashing, she'll have to die!
context: Unhand Filo-chan!\Myne-san?\Are you trying to kill Princess Melty?!\She's the one who attacked first.\Zweit Hellfire!\Zweit Fire Arrow!\What the hell is wrong with you? Stop!\If we can't undo her brainwashing, she'll have to die! response:	Naofumi-sama...
context: Myne-san?\Are you trying to kill Princess Melty?!\She's the one who attacked first.\Zweit Hellfire!\Zweit Fire Arrow!\What the hell is wrong with you? Stop!\If we can't undo her brainwashing, she'll have to die!\Naofumi-sama... response:	Can I leave Mel-san to you for a bit?
context: Are you trying to kill Princess Melty?!\She's the one who attacked first.\Zweit Hellfire!\Zweit Fire Arrow!\What the hell is wrong with you? Stop!\If we can't undo her brainwashing, she'll have to die!\Naofumi-sama...\Can I leave Mel-san to you for a bit? response:	Sure.
context: She's the one who attacked first.\Zweit Hellfire!\Zweit Fire Arrow!\What the hell is wrong with you? Stop!\If we can't undo her brainwashing, she'll have to die!\Naofumi-sama...\Can I leave Mel-san to you for a bit?\Sure. response:	Step back a little.
context: Zweit Hellfire!\Zweit Fire Arrow!\What the hell is wrong with you? Stop!\If we can't undo her brainwashing, she'll have to die!\Naofumi-sama...\Can I leave Mel-san to you for a bit?\Sure.\Step back a little. response:	Come forth, Rage Shield!
context: Zweit Fire Arrow!\What the hell is wrong with you? Stop!\If we can't undo her brainwashing, she'll have to die!\Naofumi-sama...\Can I leave Mel-san to you for a bit?\Sure.\Step back a little.\Come forth, Rage Shield! response:	Filo-chan...
context: What the hell is wrong with you? Stop!\If we can't undo her brainwashing, she'll have to die!\Naofumi-sama...\Can I leave Mel-san to you for a bit?\Sure.\Step back a little.\Come forth, Rage Shield!\Filo-chan... response:	That shield!
context: If we can't undo her brainwashing, she'll have to die!\Naofumi-sama...\Can I leave Mel-san to you for a bit?\Sure.\Step back a little.\Come forth, Rage Shield!\Filo-chan...\That shield! response:	Bring down the hammer of justice on the Devil of the Shield!
context: Naofumi-sama...\Can I leave Mel-san to you for a bit?\Sure.\Step back a little.\Come forth, Rage Shield!\Filo-chan...\That shield!\Bring down the hammer of justice on the Devil of the Shield! response:	Fire!
context: Can I leave Mel-san to you for a bit?\Sure.\Step back a little.\Come forth, Rage Shield!\Filo-chan...\That shield!\Bring down the hammer of justice on the Devil of the Shield!\Fire! response:	Not on my watch.
context: Sure.\Step back a little.\Come forth, Rage Shield!\Filo-chan...\That shield!\Bring down the hammer of justice on the Devil of the Shield!\Fire!\Not on my watch. response:	My turn now!
context: Step back a little.\Come forth, Rage Shield!\Filo-chan...\That shield!\Bring down the hammer of justice on the Devil of the Shield!\Fire!\Not on my watch.\My turn now! response:	Annihilate the Devil of the Shield and his party!
context: Come forth, Rage Shield!\Filo-chan...\That shield!\Bring down the hammer of justice on the Devil of the Shield!\Fire!\Not on my watch.\My turn now!\Annihilate the Devil of the Shield and his party! response:	Wait, don't!
context: Filo-chan...\That shield!\Bring down the hammer of justice on the Devil of the Shield!\Fire!\Not on my watch.\My turn now!\Annihilate the Devil of the Shield and his party!\Wait, don't! response:	What's that light?
context: That shield!\Bring down the hammer of justice on the Devil of the Shield!\Fire!\Not on my watch.\My turn now!\Annihilate the Devil of the Shield and his party!\Wait, don't!\What's that light? response:	What the hell's going on?
context: Bring down the hammer of justice on the Devil of the Shield!\Fire!\Not on my watch.\My turn now!\Annihilate the Devil of the Shield and his party!\Wait, don't!\What's that light?\What the hell's going on? response:	Ren...
context: Fire!\Not on my watch.\My turn now!\Annihilate the Devil of the Shield and his party!\Wait, don't!\What's that light?\What the hell's going on?\Ren... response:	I know you'll be able to figure out what's really going on here.
context: Not on my watch.\My turn now!\Annihilate the Devil of the Shield and his party!\Wait, don't!\What's that light?\What the hell's going on?\Ren...\I know you'll be able to figure out what's really going on here. response:	Wait, Naofumi!
context: My turn now!\Annihilate the Devil of the Shield and his party!\Wait, don't!\What's that light?\What the hell's going on?\Ren...\I know you'll be able to figure out what's really going on here.\Wait, Naofumi! response:	Disarming Successful
context: Annihilate the Devil of the Shield and his party!\Wait, don't!\What's that light?\What the hell's going on?\Ren...\I know you'll be able to figure out what's really going on here.\Wait, Naofumi!\Disarming Successful response:	Yay!
context: Wait, don't!\What's that light?\What the hell's going on?\Ren...\I know you'll be able to figure out what's really going on here.\Wait, Naofumi!\Disarming Successful\Yay! response:	Wait!
context: What's that light?\What the hell's going on?\Ren...\I know you'll be able to figure out what's really going on here.\Wait, Naofumi!\Disarming Successful\Yay!\Wait! response:	She's on our side.
context: What the hell's going on?\Ren...\I know you'll be able to figure out what's really going on here.\Wait, Naofumi!\Disarming Successful\Yay!\Wait!\She's on our side. response:	That's one of the Shadows, an espionage squad under the queen's direct control.
context: Ren...\I know you'll be able to figure out what's really going on here.\Wait, Naofumi!\Disarming Successful\Yay!\Wait!\She's on our side.\That's one of the Shadows, an espionage squad under the queen's direct control. response:	Shield Hero...
context: I know you'll be able to figure out what's really going on here.\Wait, Naofumi!\Disarming Successful\Yay!\Wait!\She's on our side.\That's one of the Shadows, an espionage squad under the queen's direct control.\Shield Hero... response:	This is the first time I meet you in this form, I daresay.
context: Wait, Naofumi!\Disarming Successful\Yay!\Wait!\She's on our side.\That's one of the Shadows, an espionage squad under the queen's direct control.\Shield Hero...\This is the first time I meet you in this form, I daresay. response:	Wait, daresay?
context: Disarming Successful\Yay!\Wait!\She's on our side.\That's one of the Shadows, an espionage squad under the queen's direct control.\Shield Hero...\This is the first time I meet you in this form, I daresay.\Wait, daresay? response:	Allow me to get straight to the point.
context: Yay!\Wait!\She's on our side.\That's one of the Shadows, an espionage squad under the queen's direct control.\Shield Hero...\This is the first time I meet you in this form, I daresay.\Wait, daresay?\Allow me to get straight to the point. response:	Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.
context: Wait!\She's on our side.\That's one of the Shadows, an espionage squad under the queen's direct control.\Shield Hero...\This is the first time I meet you in this form, I daresay.\Wait, daresay?\Allow me to get straight to the point.\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay. response:	With the queen?
context: She's on our side.\That's one of the Shadows, an espionage squad under the queen's direct control.\Shield Hero...\This is the first time I meet you in this form, I daresay.\Wait, daresay?\Allow me to get straight to the point.\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\With the queen? response:	This commotion has a deep-rooted cause, I daresay.
context: That's one of the Shadows, an espionage squad under the queen's direct control.\Shield Hero...\This is the first time I meet you in this form, I daresay.\Wait, daresay?\Allow me to get straight to the point.\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\With the queen?\This commotion has a deep-rooted cause, I daresay. response:	We would like your help, I daresay.
context: Shield Hero...\This is the first time I meet you in this form, I daresay.\Wait, daresay?\Allow me to get straight to the point.\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\With the queen?\This commotion has a deep-rooted cause, I daresay.\We would like your help, I daresay. response:	This abduction is a setup by those who find your accomplishments alarming.
context: This is the first time I meet you in this form, I daresay.\Wait, daresay?\Allow me to get straight to the point.\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\With the queen?\This commotion has a deep-rooted cause, I daresay.\We would like your help, I daresay.\This abduction is a setup by those who find your accomplishments alarming. response:	Oh, great. More pains in the ass to deal with.
context: Wait, daresay?\Allow me to get straight to the point.\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\With the queen?\This commotion has a deep-rooted cause, I daresay.\We would like your help, I daresay.\This abduction is a setup by those who find your accomplishments alarming.\Oh, great. More pains in the ass to deal with. response:	And? What would I gain by meeting her?
context: Allow me to get straight to the point.\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\With the queen?\This commotion has a deep-rooted cause, I daresay.\We would like your help, I daresay.\This abduction is a setup by those who find your accomplishments alarming.\Oh, great. More pains in the ass to deal with.\And? What would I gain by meeting her? response:	You'll understand once you do, I daresay.
context: Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\With the queen?\This commotion has a deep-rooted cause, I daresay.\We would like your help, I daresay.\This abduction is a setup by those who find your accomplishments alarming.\Oh, great. More pains in the ass to deal with.\And? What would I gain by meeting her?\You'll understand once you do, I daresay. response:	The queen's in the opposite direction from Siltvelt.
context: With the queen?\This commotion has a deep-rooted cause, I daresay.\We would like your help, I daresay.\This abduction is a setup by those who find your accomplishments alarming.\Oh, great. More pains in the ass to deal with.\And? What would I gain by meeting her?\You'll understand once you do, I daresay.\The queen's in the opposite direction from Siltvelt. response:	Hey, Second Princess, do you know this country?
context: This commotion has a deep-rooted cause, I daresay.\We would like your help, I daresay.\This abduction is a setup by those who find your accomplishments alarming.\Oh, great. More pains in the ass to deal with.\And? What would I gain by meeting her?\You'll understand once you do, I daresay.\The queen's in the opposite direction from Siltvelt.\Hey, Second Princess, do you know this country? response:	Oh yeah, Second Princess,
context: We would like your help, I daresay.\This abduction is a setup by those who find your accomplishments alarming.\Oh, great. More pains in the ass to deal with.\And? What would I gain by meeting her?\You'll understand once you do, I daresay.\The queen's in the opposite direction from Siltvelt.\Hey, Second Princess, do you know this country?\Oh yeah, Second Princess, response:	you can use magic, huh?
context: This abduction is a setup by those who find your accomplishments alarming.\Oh, great. More pains in the ass to deal with.\And? What would I gain by meeting her?\You'll understand once you do, I daresay.\The queen's in the opposite direction from Siltvelt.\Hey, Second Princess, do you know this country?\Oh yeah, Second Princess,\you can use magic, huh? response:	What was that, Second Princess?
context: Oh, great. More pains in the ass to deal with.\And? What would I gain by meeting her?\You'll understand once you do, I daresay.\The queen's in the opposite direction from Siltvelt.\Hey, Second Princess, do you know this country?\Oh yeah, Second Princess,\you can use magic, huh?\What was that, Second Princess? response:	Stop calling me that!
context: And? What would I gain by meeting her?\You'll understand once you do, I daresay.\The queen's in the opposite direction from Siltvelt.\Hey, Second Princess, do you know this country?\Oh yeah, Second Princess,\you can use magic, huh?\What was that, Second Princess?\Stop calling me that! response:	What's gotten into you?
context: You'll understand once you do, I daresay.\The queen's in the opposite direction from Siltvelt.\Hey, Second Princess, do you know this country?\Oh yeah, Second Princess,\you can use magic, huh?\What was that, Second Princess?\Stop calling me that!\What's gotten into you? response:	I have a name! It's Melty!
context: The queen's in the opposite direction from Siltvelt.\Hey, Second Princess, do you know this country?\Oh yeah, Second Princess,\you can use magic, huh?\What was that, Second Princess?\Stop calling me that!\What's gotten into you?\I have a name! It's Melty! response:	So why do you keep calling me Second Princess, Shield Hero?
context: Hey, Second Princess, do you know this country?\Oh yeah, Second Princess,\you can use magic, huh?\What was that, Second Princess?\Stop calling me that!\What's gotten into you?\I have a name! It's Melty!\So why do you keep calling me Second Princess, Shield Hero? response:	Don't treat me like some outsider!
context: Oh yeah, Second Princess,\you can use magic, huh?\What was that, Second Princess?\Stop calling me that!\What's gotten into you?\I have a name! It's Melty!\So why do you keep calling me Second Princess, Shield Hero?\Don't treat me like some outsider! response:	Hey, you call me Shield Hero, too.
context: you can use magic, huh?\What was that, Second Princess?\Stop calling me that!\What's gotten into you?\I have a name! It's Melty!\So why do you keep calling me Second Princess, Shield Hero?\Don't treat me like some outsider!\Hey, you call me Shield Hero, too. response:	If you don't like that, I'll call you Naofumi.
