context: Well then, I'll head to the bath. response:	I guess I'll join you.
context: Where is Konoe?\Would you like to know?\I will now do a tongue twister...\Butler's art of erasing memory...\Butler's art of erasing...\Barusu, I want to see everything of yours!\Go back...\Don't interfere. response:	Interfere?
context: Would you like to know?\I will now do a tongue twister...\Butler's art of erasing memory...\Butler's art of erasing...\Barusu, I want to see everything of yours!\Go back...\Don't interfere.\Interfere? response:	What is Konoe doing?
context: I will now do a tongue twister...\Butler's art of erasing memory...\Butler's art of erasing...\Barusu, I want to see everything of yours!\Go back...\Don't interfere.\Interfere?\What is Konoe doing? response:	None of your business.
context: Butler's art of erasing memory...\Butler's art of erasing...\Barusu, I want to see everything of yours!\Go back...\Don't interfere.\Interfere?\What is Konoe doing?\None of your business. response:	Nothing like that!
context: Butler's art of erasing...\Barusu, I want to see everything of yours!\Go back...\Don't interfere.\Interfere?\What is Konoe doing?\None of your business.\Nothing like that! response:	I am her friend.
context: Barusu, I want to see everything of yours!\Go back...\Don't interfere.\Interfere?\What is Konoe doing?\None of your business.\Nothing like that!\I am her friend. response:	Tomorrow is the anniversary of her mother's death.
context: Go back...\Don't interfere.\Interfere?\What is Konoe doing?\None of your business.\Nothing like that!\I am her friend.\Tomorrow is the anniversary of her mother's death. response:	The young master of Takanashi's house is near here.
context: Don't interfere.\Interfere?\What is Konoe doing?\None of your business.\Nothing like that!\I am her friend.\Tomorrow is the anniversary of her mother's death.\The young master of Takanashi's house is near here. response:	Takanashi?
context: Interfere?\What is Konoe doing?\None of your business.\Nothing like that!\I am her friend.\Tomorrow is the anniversary of her mother's death.\The young master of Takanashi's house is near here.\Takanashi? response:	We ran off to get married!
context: What is Konoe doing?\None of your business.\Nothing like that!\I am her friend.\Tomorrow is the anniversary of her mother's death.\The young master of Takanashi's house is near here.\Takanashi?\We ran off to get married! response:	Lots of things happened when we married.
context: None of your business.\Nothing like that!\I am her friend.\Tomorrow is the anniversary of her mother's death.\The young master of Takanashi's house is near here.\Takanashi?\We ran off to get married!\Lots of things happened when we married. response:	That's why she is sleeping in the graveyard of the Takanashis'.
context: Nothing like that!\I am her friend.\Tomorrow is the anniversary of her mother's death.\The young master of Takanashi's house is near here.\Takanashi?\We ran off to get married!\Lots of things happened when we married.\That's why she is sleeping in the graveyard of the Takanashis'. response:	If Kanade-ojousama goes out on a trip, then Subaru must follow.
context: I am her friend.\Tomorrow is the anniversary of her mother's death.\The young master of Takanashi's house is near here.\Takanashi?\We ran off to get married!\Lots of things happened when we married.\That's why she is sleeping in the graveyard of the Takanashis'.\If Kanade-ojousama goes out on a trip, then Subaru must follow. response:	So if she does that, Subaru wouldn't be able to visit the grave on the anniversary of her mother's death.
context: Tomorrow is the anniversary of her mother's death.\The young master of Takanashi's house is near here.\Takanashi?\We ran off to get married!\Lots of things happened when we married.\That's why she is sleeping in the graveyard of the Takanashis'.\If Kanade-ojousama goes out on a trip, then Subaru must follow.\So if she does that, Subaru wouldn't be able to visit the grave on the anniversary of her mother's death. response:	Then Suzutsuki was doing this for Konoe?
context: The young master of Takanashi's house is near here.\Takanashi?\We ran off to get married!\Lots of things happened when we married.\That's why she is sleeping in the graveyard of the Takanashis'.\If Kanade-ojousama goes out on a trip, then Subaru must follow.\So if she does that, Subaru wouldn't be able to visit the grave on the anniversary of her mother's death.\Then Suzutsuki was doing this for Konoe? response:	Nagare!
context: Takanashi?\We ran off to get married!\Lots of things happened when we married.\That's why she is sleeping in the graveyard of the Takanashis'.\If Kanade-ojousama goes out on a trip, then Subaru must follow.\So if she does that, Subaru wouldn't be able to visit the grave on the anniversary of her mother's death.\Then Suzutsuki was doing this for Konoe?\Nagare! response:	Ojou-sama!
context: We ran off to get married!\Lots of things happened when we married.\That's why she is sleeping in the graveyard of the Takanashis'.\If Kanade-ojousama goes out on a trip, then Subaru must follow.\So if she does that, Subaru wouldn't be able to visit the grave on the anniversary of her mother's death.\Then Suzutsuki was doing this for Konoe?\Nagare!\Ojou-sama! response:	I also want to participate in the event.
context: Lots of things happened when we married.\That's why she is sleeping in the graveyard of the Takanashis'.\If Kanade-ojousama goes out on a trip, then Subaru must follow.\So if she does that, Subaru wouldn't be able to visit the grave on the anniversary of her mother's death.\Then Suzutsuki was doing this for Konoe?\Nagare!\Ojou-sama!\I also want to participate in the event. response:	Please go and enlist me.
context: That's why she is sleeping in the graveyard of the Takanashis'.\If Kanade-ojousama goes out on a trip, then Subaru must follow.\So if she does that, Subaru wouldn't be able to visit the grave on the anniversary of her mother's death.\Then Suzutsuki was doing this for Konoe?\Nagare!\Ojou-sama!\I also want to participate in the event.\Please go and enlist me. response:	I understand, Ojou-sama.
context: If Kanade-ojousama goes out on a trip, then Subaru must follow.\So if she does that, Subaru wouldn't be able to visit the grave on the anniversary of her mother's death.\Then Suzutsuki was doing this for Konoe?\Nagare!\Ojou-sama!\I also want to participate in the event.\Please go and enlist me.\I understand, Ojou-sama. response:	Did you hear all of it?
context: So if she does that, Subaru wouldn't be able to visit the grave on the anniversary of her mother's death.\Then Suzutsuki was doing this for Konoe?\Nagare!\Ojou-sama!\I also want to participate in the event.\Please go and enlist me.\I understand, Ojou-sama.\Did you hear all of it? response:	Yeah...
context: Then Suzutsuki was doing this for Konoe?\Nagare!\Ojou-sama!\I also want to participate in the event.\Please go and enlist me.\I understand, Ojou-sama.\Did you hear all of it?\Yeah... response:	She said she wanted to keep it a secret, from you at least...
context: Nagare!\Ojou-sama!\I also want to participate in the event.\Please go and enlist me.\I understand, Ojou-sama.\Did you hear all of it?\Yeah...\She said she wanted to keep it a secret, from you at least... response:	What do you mean?
context: Ojou-sama!\I also want to participate in the event.\Please go and enlist me.\I understand, Ojou-sama.\Did you hear all of it?\Yeah...\She said she wanted to keep it a secret, from you at least...\What do you mean? response:	That is a secret.
context: I also want to participate in the event.\Please go and enlist me.\I understand, Ojou-sama.\Did you hear all of it?\Yeah...\She said she wanted to keep it a secret, from you at least...\What do you mean?\That is a secret. response:	What?
context: Please go and enlist me.\I understand, Ojou-sama.\Did you hear all of it?\Yeah...\She said she wanted to keep it a secret, from you at least...\What do you mean?\That is a secret.\What? response:	That's a problem between you two.
context: I understand, Ojou-sama.\Did you hear all of it?\Yeah...\She said she wanted to keep it a secret, from you at least...\What do you mean?\That is a secret.\What?\That's a problem between you two. response:	That's why I had to get rid of Nagare.
context: Did you hear all of it?\Yeah...\She said she wanted to keep it a secret, from you at least...\What do you mean?\That is a secret.\What?\That's a problem between you two.\That's why I had to get rid of Nagare. response:	Do your best.
context: Yeah...\She said she wanted to keep it a secret, from you at least...\What do you mean?\That is a secret.\What?\That's a problem between you two.\That's why I had to get rid of Nagare.\Do your best. response:	Jirou-kun!
context: She said she wanted to keep it a secret, from you at least...\What do you mean?\That is a secret.\What?\That's a problem between you two.\That's why I had to get rid of Nagare.\Do your best.\Jirou-kun! response:	Jirou!
context: What do you mean?\That is a secret.\What?\That's a problem between you two.\That's why I had to get rid of Nagare.\Do your best.\Jirou-kun!\Jirou! response:	Why?
context: That is a secret.\What?\That's a problem between you two.\That's why I had to get rid of Nagare.\Do your best.\Jirou-kun!\Jirou!\Why? response:	I heard...
context: What?\That's a problem between you two.\That's why I had to get rid of Nagare.\Do your best.\Jirou-kun!\Jirou!\Why?\I heard... response:	About your mother.
context: That's a problem between you two.\That's why I had to get rid of Nagare.\Do your best.\Jirou-kun!\Jirou!\Why?\I heard...\About your mother. response:	I see...
context: That's why I had to get rid of Nagare.\Do your best.\Jirou-kun!\Jirou!\Why?\I heard...\About your mother.\I see... response:	Takanashi Family Grave
context: Do your best.\Jirou-kun!\Jirou!\Why?\I heard...\About your mother.\I see...\Takanashi Family Grave response:	My mother was always worried about me...
context: Jirou-kun!\Jirou!\Why?\I heard...\About your mother.\I see...\Takanashi Family Grave\My mother was always worried about me... response:	Wondering whether I would make proper friends or not.
context: Jirou!\Why?\I heard...\About your mother.\I see...\Takanashi Family Grave\My mother was always worried about me...\Wondering whether I would make proper friends or not. response:	Just as my mother had worried about, I never had any friends.
context: Why?\I heard...\About your mother.\I see...\Takanashi Family Grave\My mother was always worried about me...\Wondering whether I would make proper friends or not.\Just as my mother had worried about, I never had any friends. response:	I was always unsociable and distant from people...
context: I heard...\About your mother.\I see...\Takanashi Family Grave\My mother was always worried about me...\Wondering whether I would make proper friends or not.\Just as my mother had worried about, I never had any friends.\I was always unsociable and distant from people... response:	It can't be helped.
context: About your mother.\I see...\Takanashi Family Grave\My mother was always worried about me...\Wondering whether I would make proper friends or not.\Just as my mother had worried about, I never had any friends.\I was always unsociable and distant from people...\It can't be helped. response:	You were always hiding the fact that you were a girl...
context: I see...\Takanashi Family Grave\My mother was always worried about me...\Wondering whether I would make proper friends or not.\Just as my mother had worried about, I never had any friends.\I was always unsociable and distant from people...\It can't be helped.\You were always hiding the fact that you were a girl... response:	You tried not to be in contact with anyone in order to prevent them from discovering your secret.
context: Takanashi Family Grave\My mother was always worried about me...\Wondering whether I would make proper friends or not.\Just as my mother had worried about, I never had any friends.\I was always unsociable and distant from people...\It can't be helped.\You were always hiding the fact that you were a girl...\You tried not to be in contact with anyone in order to prevent them from discovering your secret. response:	Sorry Jirou, please leave me alone.
context: My mother was always worried about me...\Wondering whether I would make proper friends or not.\Just as my mother had worried about, I never had any friends.\I was always unsociable and distant from people...\It can't be helped.\You were always hiding the fact that you were a girl...\You tried not to be in contact with anyone in order to prevent them from discovering your secret.\Sorry Jirou, please leave me alone. response:	I didn't want to come here with you.
context: Wondering whether I would make proper friends or not.\Just as my mother had worried about, I never had any friends.\I was always unsociable and distant from people...\It can't be helped.\You were always hiding the fact that you were a girl...\You tried not to be in contact with anyone in order to prevent them from discovering your secret.\Sorry Jirou, please leave me alone.\I didn't want to come here with you. response:	Konoe!
context: Just as my mother had worried about, I never had any friends.\I was always unsociable and distant from people...\It can't be helped.\You were always hiding the fact that you were a girl...\You tried not to be in contact with anyone in order to prevent them from discovering your secret.\Sorry Jirou, please leave me alone.\I didn't want to come here with you.\Konoe! response:	Jirou!
context: I was always unsociable and distant from people...\It can't be helped.\You were always hiding the fact that you were a girl...\You tried not to be in contact with anyone in order to prevent them from discovering your secret.\Sorry Jirou, please leave me alone.\I didn't want to come here with you.\Konoe!\Jirou! response:	You idiot!
context: It can't be helped.\You were always hiding the fact that you were a girl...\You tried not to be in contact with anyone in order to prevent them from discovering your secret.\Sorry Jirou, please leave me alone.\I didn't want to come here with you.\Konoe!\Jirou!\You idiot! response:	Let me go!
context: You were always hiding the fact that you were a girl...\You tried not to be in contact with anyone in order to prevent them from discovering your secret.\Sorry Jirou, please leave me alone.\I didn't want to come here with you.\Konoe!\Jirou!\You idiot!\Let me go! response:	Come on now...
context: You tried not to be in contact with anyone in order to prevent them from discovering your secret.\Sorry Jirou, please leave me alone.\I didn't want to come here with you.\Konoe!\Jirou!\You idiot!\Let me go!\Come on now... response:	You're afraid of girls...
context: Sorry Jirou, please leave me alone.\I didn't want to come here with you.\Konoe!\Jirou!\You idiot!\Let me go!\Come on now...\You're afraid of girls... response:	If you do this, you'll fall unconscious again!
context: I didn't want to come here with you.\Konoe!\Jirou!\You idiot!\Let me go!\Come on now...\You're afraid of girls...\If you do this, you'll fall unconscious again! response:	So what?
context: Konoe!\Jirou!\You idiot!\Let me go!\Come on now...\You're afraid of girls...\If you do this, you'll fall unconscious again!\So what? response:	Don't hold it in!
context: Jirou!\You idiot!\Let me go!\Come on now...\You're afraid of girls...\If you do this, you'll fall unconscious again!\So what?\Don't hold it in! response:	Tell me everything...
context: You idiot!\Let me go!\Come on now...\You're afraid of girls...\If you do this, you'll fall unconscious again!\So what?\Don't hold it in!\Tell me everything... response:	Jirou!
context: Let me go!\Come on now...\You're afraid of girls...\If you do this, you'll fall unconscious again!\So what?\Don't hold it in!\Tell me everything...\Jirou! response:	I don't want her to be worried anymore.
context: Come on now...\You're afraid of girls...\If you do this, you'll fall unconscious again!\So what?\Don't hold it in!\Tell me everything...\Jirou!\I don't want her to be worried anymore. response:	That's why.
context: You're afraid of girls...\If you do this, you'll fall unconscious again!\So what?\Don't hold it in!\Tell me everything...\Jirou!\I don't want her to be worried anymore.\That's why. response:	Even though I decided I wouldn't cry...
context: If you do this, you'll fall unconscious again!\So what?\Don't hold it in!\Tell me everything...\Jirou!\I don't want her to be worried anymore.\That's why.\Even though I decided I wouldn't cry... response:	I wanted to introduce you to my mother.
context: So what?\Don't hold it in!\Tell me everything...\Jirou!\I don't want her to be worried anymore.\That's why.\Even though I decided I wouldn't cry...\I wanted to introduce you to my mother. response:	As my first friend.
context: Don't hold it in!\Tell me everything...\Jirou!\I don't want her to be worried anymore.\That's why.\Even though I decided I wouldn't cry...\I wanted to introduce you to my mother.\As my first friend. response:	But she's not here anymore...
context: Tell me everything...\Jirou!\I don't want her to be worried anymore.\That's why.\Even though I decided I wouldn't cry...\I wanted to introduce you to my mother.\As my first friend.\But she's not here anymore... response:	I would be reminded of it if I came here with you...
context: Jirou!\I don't want her to be worried anymore.\That's why.\Even though I decided I wouldn't cry...\I wanted to introduce you to my mother.\As my first friend.\But she's not here anymore...\I would be reminded of it if I came here with you... response:	I was sure I would cry.
context: I don't want her to be worried anymore.\That's why.\Even though I decided I wouldn't cry...\I wanted to introduce you to my mother.\As my first friend.\But she's not here anymore...\I would be reminded of it if I came here with you...\I was sure I would cry. response:	That's why I didn't want to come here with you.
context: That's why.\Even though I decided I wouldn't cry...\I wanted to introduce you to my mother.\As my first friend.\But she's not here anymore...\I would be reminded of it if I came here with you...\I was sure I would cry.\That's why I didn't want to come here with you. response:	I see, sorry.
context: Even though I decided I wouldn't cry...\I wanted to introduce you to my mother.\As my first friend.\But she's not here anymore...\I would be reminded of it if I came here with you...\I was sure I would cry.\That's why I didn't want to come here with you.\I see, sorry. response:	Say, Konoe...
context: I wanted to introduce you to my mother.\As my first friend.\But she's not here anymore...\I would be reminded of it if I came here with you...\I was sure I would cry.\That's why I didn't want to come here with you.\I see, sorry.\Say, Konoe... response:	Can you introduce me to her?
context: As my first friend.\But she's not here anymore...\I would be reminded of it if I came here with you...\I was sure I would cry.\That's why I didn't want to come here with you.\I see, sorry.\Say, Konoe...\Can you introduce me to her? response:	About me, to your mother.
context: But she's not here anymore...\I would be reminded of it if I came here with you...\I was sure I would cry.\That's why I didn't want to come here with you.\I see, sorry.\Say, Konoe...\Can you introduce me to her?\About me, to your mother. response:	Yes...
context: I would be reminded of it if I came here with you...\I was sure I would cry.\That's why I didn't want to come here with you.\I see, sorry.\Say, Konoe...\Can you introduce me to her?\About me, to your mother.\Yes... response:	Mother...
context: I was sure I would cry.\That's why I didn't want to come here with you.\I see, sorry.\Say, Konoe...\Can you introduce me to her?\About me, to your mother.\Yes...\Mother... response:	Sakamachi Kinjirou, he is Jirou.
context: That's why I didn't want to come here with you.\I see, sorry.\Say, Konoe...\Can you introduce me to her?\About me, to your mother.\Yes...\Mother...\Sakamachi Kinjirou, he is Jirou. response:	He is... my friend...
context: I see, sorry.\Say, Konoe...\Can you introduce me to her?\About me, to your mother.\Yes...\Mother...\Sakamachi Kinjirou, he is Jirou.\He is... my friend... response:	Whoa-
context: Say, Konoe...\Can you introduce me to her?\About me, to your mother.\Yes...\Mother...\Sakamachi Kinjirou, he is Jirou.\He is... my friend...\Whoa- response:	Thank you Jirou, you are my...
context: Can you introduce me to her?\About me, to your mother.\Yes...\Mother...\Sakamachi Kinjirou, he is Jirou.\He is... my friend...\Whoa-\Thank you Jirou, you are my... response:	Morning, brother!
context: About me, to your mother.\Yes...\Mother...\Sakamachi Kinjirou, he is Jirou.\He is... my friend...\Whoa-\Thank you Jirou, you are my...\Morning, brother! response:	What the...
context: Yes...\Mother...\Sakamachi Kinjirou, he is Jirou.\He is... my friend...\Whoa-\Thank you Jirou, you are my...\Morning, brother!\What the... response:	I'm surprised you hit your head after falling down when you went to pick up Punyuru-chan!
context: Mother...\Sakamachi Kinjirou, he is Jirou.\He is... my friend...\Whoa-\Thank you Jirou, you are my...\Morning, brother!\What the...\I'm surprised you hit your head after falling down when you went to pick up Punyuru-chan! response:	I must go now...
context: Sakamachi Kinjirou, he is Jirou.\He is... my friend...\Whoa-\Thank you Jirou, you are my...\Morning, brother!\What the...\I'm surprised you hit your head after falling down when you went to pick up Punyuru-chan!\I must go now... response:	Where to?
context: He is... my friend...\Whoa-\Thank you Jirou, you are my...\Morning, brother!\What the...\I'm surprised you hit your head after falling down when you went to pick up Punyuru-chan!\I must go now...\Where to? response:	To the battle royal!
context: Whoa-\Thank you Jirou, you are my...\Morning, brother!\What the...\I'm surprised you hit your head after falling down when you went to pick up Punyuru-chan!\I must go now...\Where to?\To the battle royal! response:	So you're competing as well?
context: Thank you Jirou, you are my...\Morning, brother!\What the...\I'm surprised you hit your head after falling down when you went to pick up Punyuru-chan!\I must go now...\Where to?\To the battle royal!\So you're competing as well? response:	Since the grand prize will be a large stuffed sheep plush doll.
context: Morning, brother!\What the...\I'm surprised you hit your head after falling down when you went to pick up Punyuru-chan!\I must go now...\Where to?\To the battle royal!\So you're competing as well?\Since the grand prize will be a large stuffed sheep plush doll. response:	Konoe loves that as well...
context: What the...\I'm surprised you hit your head after falling down when you went to pick up Punyuru-chan!\I must go now...\Where to?\To the battle royal!\So you're competing as well?\Since the grand prize will be a large stuffed sheep plush doll.\Konoe loves that as well... response:	And a kiss from the Yukata beauty contest.
context: I'm surprised you hit your head after falling down when you went to pick up Punyuru-chan!\I must go now...\Where to?\To the battle royal!\So you're competing as well?\Since the grand prize will be a large stuffed sheep plush doll.\Konoe loves that as well...\And a kiss from the Yukata beauty contest. response:	What?
context: I must go now...\Where to?\To the battle royal!\So you're competing as well?\Since the grand prize will be a large stuffed sheep plush doll.\Konoe loves that as well...\And a kiss from the Yukata beauty contest.\What? response:	I want to reintroduce the Yukata beauty contest winner...
context: Where to?\To the battle royal!\So you're competing as well?\Since the grand prize will be a large stuffed sheep plush doll.\Konoe loves that as well...\And a kiss from the Yukata beauty contest.\What?\I want to reintroduce the Yukata beauty contest winner... response:	Takanashi Punyuru-san!
context: To the battle royal!\So you're competing as well?\Since the grand prize will be a large stuffed sheep plush doll.\Konoe loves that as well...\And a kiss from the Yukata beauty contest.\What?\I want to reintroduce the Yukata beauty contest winner...\Takanashi Punyuru-san! response:	Yay, for the silent sheep!
context: So you're competing as well?\Since the grand prize will be a large stuffed sheep plush doll.\Konoe loves that as well...\And a kiss from the Yukata beauty contest.\What?\I want to reintroduce the Yukata beauty contest winner...\Takanashi Punyuru-san!\Yay, for the silent sheep! response:	What is that?
context: Since the grand prize will be a large stuffed sheep plush doll.\Konoe loves that as well...\And a kiss from the Yukata beauty contest.\What?\I want to reintroduce the Yukata beauty contest winner...\Takanashi Punyuru-san!\Yay, for the silent sheep!\What is that? response:	I definitely won't let you win!
context: Konoe loves that as well...\And a kiss from the Yukata beauty contest.\What?\I want to reintroduce the Yukata beauty contest winner...\Takanashi Punyuru-san!\Yay, for the silent sheep!\What is that?\I definitely won't let you win! response:	What?
context: And a kiss from the Yukata beauty contest.\What?\I want to reintroduce the Yukata beauty contest winner...\Takanashi Punyuru-san!\Yay, for the silent sheep!\What is that?\I definitely won't let you win!\What? response:	Because I can't accept someone like you receiving a kiss from Punyuru-chan!
context: What?\I want to reintroduce the Yukata beauty contest winner...\Takanashi Punyuru-san!\Yay, for the silent sheep!\What is that?\I definitely won't let you win!\What?\Because I can't accept someone like you receiving a kiss from Punyuru-chan! response:	I won't accept that type of development with anyone but you and Subaru-sama!
context: I want to reintroduce the Yukata beauty contest winner...\Takanashi Punyuru-san!\Yay, for the silent sheep!\What is that?\I definitely won't let you win!\What?\Because I can't accept someone like you receiving a kiss from Punyuru-chan!\I won't accept that type of development with anyone but you and Subaru-sama! response:	Ok, everyone that's a battle royal participant...
context: Takanashi Punyuru-san!\Yay, for the silent sheep!\What is that?\I definitely won't let you win!\What?\Because I can't accept someone like you receiving a kiss from Punyuru-chan!\I won't accept that type of development with anyone but you and Subaru-sama!\Ok, everyone that's a battle royal participant... response:	Line up at the starting line...
context: Yay, for the silent sheep!\What is that?\I definitely won't let you win!\What?\Because I can't accept someone like you receiving a kiss from Punyuru-chan!\I won't accept that type of development with anyone but you and Subaru-sama!\Ok, everyone that's a battle royal participant...\Line up at the starting line... response:	Kill, kill, kill, kill... Kiss, kiss, kiss... Kill, kill...
context: What is that?\I definitely won't let you win!\What?\Because I can't accept someone like you receiving a kiss from Punyuru-chan!\I won't accept that type of development with anyone but you and Subaru-sama!\Ok, everyone that's a battle royal participant...\Line up at the starting line...\Kill, kill, kill, kill... Kiss, kiss, kiss... Kill, kill... response:	The rule is very simple...
context: I definitely won't let you win!\What?\Because I can't accept someone like you receiving a kiss from Punyuru-chan!\I won't accept that type of development with anyone but you and Subaru-sama!\Ok, everyone that's a battle royal participant...\Line up at the starting line...\Kill, kill, kill, kill... Kiss, kiss, kiss... Kill, kill...\The rule is very simple... response:	If you're hit with a single bit of paint, your game is over...
context: What?\Because I can't accept someone like you receiving a kiss from Punyuru-chan!\I won't accept that type of development with anyone but you and Subaru-sama!\Ok, everyone that's a battle royal participant...\Line up at the starting line...\Kill, kill, kill, kill... Kiss, kiss, kiss... Kill, kill...\The rule is very simple...\If you're hit with a single bit of paint, your game is over... response:	The winner receives the grand prize and kiss from the Miss Yukata beauty.
context: Because I can't accept someone like you receiving a kiss from Punyuru-chan!\I won't accept that type of development with anyone but you and Subaru-sama!\Ok, everyone that's a battle royal participant...\Line up at the starting line...\Kill, kill, kill, kill... Kiss, kiss, kiss... Kill, kill...\The rule is very simple...\If you're hit with a single bit of paint, your game is over...\The winner receives the grand prize and kiss from the Miss Yukata beauty. response:	Hey!
context: I won't accept that type of development with anyone but you and Subaru-sama!\Ok, everyone that's a battle royal participant...\Line up at the starting line...\Kill, kill, kill, kill... Kiss, kiss, kiss... Kill, kill...\The rule is very simple...\If you're hit with a single bit of paint, your game is over...\The winner receives the grand prize and kiss from the Miss Yukata beauty.\Hey! response:	Now then...
context: Ok, everyone that's a battle royal participant...\Line up at the starting line...\Kill, kill, kill, kill... Kiss, kiss, kiss... Kill, kill...\The rule is very simple...\If you're hit with a single bit of paint, your game is over...\The winner receives the grand prize and kiss from the Miss Yukata beauty.\Hey!\Now then... response:	Start!
context: Line up at the starting line...\Kill, kill, kill, kill... Kiss, kiss, kiss... Kill, kill...\The rule is very simple...\If you're hit with a single bit of paint, your game is over...\The winner receives the grand prize and kiss from the Miss Yukata beauty.\Hey!\Now then...\Start! response:	First the solo players...
context: Kill, kill, kill, kill... Kiss, kiss, kiss... Kill, kill...\The rule is very simple...\If you're hit with a single bit of paint, your game is over...\The winner receives the grand prize and kiss from the Miss Yukata beauty.\Hey!\Now then...\Start!\First the solo players... response:	Ah!
context: The rule is very simple...\If you're hit with a single bit of paint, your game is over...\The winner receives the grand prize and kiss from the Miss Yukata beauty.\Hey!\Now then...\Start!\First the solo players...\Ah! response:	Kureha!
context: If you're hit with a single bit of paint, your game is over...\The winner receives the grand prize and kiss from the Miss Yukata beauty.\Hey!\Now then...\Start!\First the solo players...\Ah!\Kureha! response:	Brother!
context: The winner receives the grand prize and kiss from the Miss Yukata beauty.\Hey!\Now then...\Start!\First the solo players...\Ah!\Kureha!\Brother! response:	Sorry!
context: Hey!\Now then...\Start!\First the solo players...\Ah!\Kureha!\Brother!\Sorry! response:	You idiot!
context: Now then...\Start!\First the solo players...\Ah!\Kureha!\Brother!\Sorry!\You idiot! response:	We don't have time to do that!
context: Start!\First the solo players...\Ah!\Kureha!\Brother!\Sorry!\You idiot!\We don't have time to do that! response:	First we have to deal with her!
context: First the solo players...\Ah!\Kureha!\Brother!\Sorry!\You idiot!\We don't have time to do that!\First we have to deal with her! response:	Here she is...
context: Ah!\Kureha!\Brother!\Sorry!\You idiot!\We don't have time to do that!\First we have to deal with her!\Here she is... response:	Nakuru!
context: Kureha!\Brother!\Sorry!\You idiot!\We don't have time to do that!\First we have to deal with her!\Here she is...\Nakuru! response:	Ah, senpai, you were over there!
context: Brother!\Sorry!\You idiot!\We don't have time to do that!\First we have to deal with her!\Here she is...\Nakuru!\Ah, senpai, you were over there! response:	What's wrong with her?
context: Sorry!\You idiot!\We don't have time to do that!\First we have to deal with her!\Here she is...\Nakuru!\Ah, senpai, you were over there!\What's wrong with her? response:	This is bad!
context: You idiot!\We don't have time to do that!\First we have to deal with her!\Here she is...\Nakuru!\Ah, senpai, you were over there!\What's wrong with her?\This is bad! response:	That girl gets drunk from drinking carbonated drinks.
context: We don't have time to do that!\First we have to deal with her!\Here she is...\Nakuru!\Ah, senpai, you were over there!\What's wrong with her?\This is bad!\That girl gets drunk from drinking carbonated drinks. response:	Huh?
context: First we have to deal with her!\Here she is...\Nakuru!\Ah, senpai, you were over there!\What's wrong with her?\This is bad!\That girl gets drunk from drinking carbonated drinks.\Huh? response:	Usami-senpai is a very maiden-like person...
context: Here she is...\Nakuru!\Ah, senpai, you were over there!\What's wrong with her?\This is bad!\That girl gets drunk from drinking carbonated drinks.\Huh?\Usami-senpai is a very maiden-like person... response:	Dodge and take, drunken fist stripping!
context: Nakuru!\Ah, senpai, you were over there!\What's wrong with her?\This is bad!\That girl gets drunk from drinking carbonated drinks.\Huh?\Usami-senpai is a very maiden-like person...\Dodge and take, drunken fist stripping! response:	What! Drunken fist stripping?
context: Ah, senpai, you were over there!\What's wrong with her?\This is bad!\That girl gets drunk from drinking carbonated drinks.\Huh?\Usami-senpai is a very maiden-like person...\Dodge and take, drunken fist stripping!\What! Drunken fist stripping? response:	She has this drunken behavior of being able to strip someone while she is drunk...
context: What's wrong with her?\This is bad!\That girl gets drunk from drinking carbonated drinks.\Huh?\Usami-senpai is a very maiden-like person...\Dodge and take, drunken fist stripping!\What! Drunken fist stripping?\She has this drunken behavior of being able to strip someone while she is drunk... response:	Usame-senpai!
context: This is bad!\That girl gets drunk from drinking carbonated drinks.\Huh?\Usami-senpai is a very maiden-like person...\Dodge and take, drunken fist stripping!\What! Drunken fist stripping?\She has this drunken behavior of being able to strip someone while she is drunk...\Usame-senpai! response:	What is this?
context: That girl gets drunk from drinking carbonated drinks.\Huh?\Usami-senpai is a very maiden-like person...\Dodge and take, drunken fist stripping!\What! Drunken fist stripping?\She has this drunken behavior of being able to strip someone while she is drunk...\Usame-senpai!\What is this? response:	When did you?
context: Huh?\Usami-senpai is a very maiden-like person...\Dodge and take, drunken fist stripping!\What! Drunken fist stripping?\She has this drunken behavior of being able to strip someone while she is drunk...\Usame-senpai!\What is this?\When did you? response:	I saw an opening!
context: Usami-senpai is a very maiden-like person...\Dodge and take, drunken fist stripping!\What! Drunken fist stripping?\She has this drunken behavior of being able to strip someone while she is drunk...\Usame-senpai!\What is this?\When did you?\I saw an opening! response:	She wasn't much...
context: Dodge and take, drunken fist stripping!\What! Drunken fist stripping?\She has this drunken behavior of being able to strip someone while she is drunk...\Usame-senpai!\What is this?\When did you?\I saw an opening!\She wasn't much... response:	If it's battle of strength, then I am on top of you.
context: What! Drunken fist stripping?\She has this drunken behavior of being able to strip someone while she is drunk...\Usame-senpai!\What is this?\When did you?\I saw an opening!\She wasn't much...\If it's battle of strength, then I am on top of you. response:	These eyes that wear glasses can overcome anything.
context: She has this drunken behavior of being able to strip someone while she is drunk...\Usame-senpai!\What is this?\When did you?\I saw an opening!\She wasn't much...\If it's battle of strength, then I am on top of you.\These eyes that wear glasses can overcome anything. response:	No way!
context: Usame-senpai!\What is this?\When did you?\I saw an opening!\She wasn't much...\If it's battle of strength, then I am on top of you.\These eyes that wear glasses can overcome anything.\No way! response:	Here, here, here!
context: What is this?\When did you?\I saw an opening!\She wasn't much...\If it's battle of strength, then I am on top of you.\These eyes that wear glasses can overcome anything.\No way!\Here, here, here! response:	Kureha!
