context: Rendezvous in the blue sky, cuckoo response:	Discovery of the Suspect's Body
context: Well, the truth of the matter...\The suspect is 47-year-old Aramaki Toshiji, a restaurant proprietor.\He became the lover of Osada Hisako after her husband died.\I've heard that this Aramaki has an odd hobby.\Aramaki's hobby is dressing up in women's clothing.\In other words, the man that handed over the suitcase and the woman passenger\were both Aramaki in disguise.\Aramaki's aim was to throw suspicion off of himself response:	by making you think there were two criminals working together.
context: The suspect is 47-year-old Aramaki Toshiji, a restaurant proprietor.\He became the lover of Osada Hisako after her husband died.\I've heard that this Aramaki has an odd hobby.\Aramaki's hobby is dressing up in women's clothing.\In other words, the man that handed over the suitcase and the woman passenger\were both Aramaki in disguise.\Aramaki's aim was to throw suspicion off of himself\by making you think there were two criminals working together. response:	We're currently expending every effort to track down Aramaki's whereabouts.
context: He became the lover of Osada Hisako after her husband died.\I've heard that this Aramaki has an odd hobby.\Aramaki's hobby is dressing up in women's clothing.\In other words, the man that handed over the suitcase and the woman passenger\were both Aramaki in disguise.\Aramaki's aim was to throw suspicion off of himself\by making you think there were two criminals working together.\We're currently expending every effort to track down Aramaki's whereabouts. response:	The city lights are so beautiful, aren't they?
context: I've heard that this Aramaki has an odd hobby.\Aramaki's hobby is dressing up in women's clothing.\In other words, the man that handed over the suitcase and the woman passenger\were both Aramaki in disguise.\Aramaki's aim was to throw suspicion off of himself\by making you think there were two criminals working together.\We're currently expending every effort to track down Aramaki's whereabouts.\The city lights are so beautiful, aren't they? response:	Yokohama... Blue Light Yokohama...
context: Aramaki's hobby is dressing up in women's clothing.\In other words, the man that handed over the suitcase and the woman passenger\were both Aramaki in disguise.\Aramaki's aim was to throw suspicion off of himself\by making you think there were two criminals working together.\We're currently expending every effort to track down Aramaki's whereabouts.\The city lights are so beautiful, aren't they?\Yokohama... Blue Light Yokohama... response:	Shinjurou Yuuki
context: In other words, the man that handed over the suitcase and the woman passenger\were both Aramaki in disguise.\Aramaki's aim was to throw suspicion off of himself\by making you think there were two criminals working together.\We're currently expending every effort to track down Aramaki's whereabouts.\The city lights are so beautiful, aren't they?\Yokohama... Blue Light Yokohama...\Shinjurou Yuuki response:	Detective
context: were both Aramaki in disguise.\Aramaki's aim was to throw suspicion off of himself\by making you think there were two criminals working together.\We're currently expending every effort to track down Aramaki's whereabouts.\The city lights are so beautiful, aren't they?\Yokohama... Blue Light Yokohama...\Shinjurou Yuuki\Detective response:	In ga
context: Aramaki's aim was to throw suspicion off of himself\by making you think there were two criminals working together.\We're currently expending every effort to track down Aramaki's whereabouts.\The city lights are so beautiful, aren't they?\Yokohama... Blue Light Yokohama...\Shinjurou Yuuki\Detective\In ga response:	Detective's Assistant
context: by making you think there were two criminals working together.\We're currently expending every effort to track down Aramaki's whereabouts.\The city lights are so beautiful, aren't they?\Yokohama... Blue Light Yokohama...\Shinjurou Yuuki\Detective\In ga\Detective's Assistant response:	Wherever we walk, wherever we walk, it's like being in a small boat
context: We're currently expending every effort to track down Aramaki's whereabouts.\The city lights are so beautiful, aren't they?\Yokohama... Blue Light Yokohama...\Shinjurou Yuuki\Detective\In ga\Detective's Assistant\Wherever we walk, wherever we walk, it's like being in a small boat response:	Your voice is so beautiful, I couldn't help myself...
context: The city lights are so beautiful, aren't they?\Yokohama... Blue Light Yokohama...\Shinjurou Yuuki\Detective\In ga\Detective's Assistant\Wherever we walk, wherever we walk, it's like being in a small boat\Your voice is so beautiful, I couldn't help myself... response:	Osada An
context: Yokohama... Blue Light Yokohama...\Shinjurou Yuuki\Detective\In ga\Detective's Assistant\Wherever we walk, wherever we walk, it's like being in a small boat\Your voice is so beautiful, I couldn't help myself...\Osada An response:	Victim's Daughter
context: Shinjurou Yuuki\Detective\In ga\Detective's Assistant\Wherever we walk, wherever we walk, it's like being in a small boat\Your voice is so beautiful, I couldn't help myself...\Osada An\Victim's Daughter response:	Thank you. You're the detective, right?
context: Detective\In ga\Detective's Assistant\Wherever we walk, wherever we walk, it's like being in a small boat\Your voice is so beautiful, I couldn't help myself...\Osada An\Victim's Daughter\Thank you. You're the detective, right? response:	You want us to find the person who murdered your mother?
context: In ga\Detective's Assistant\Wherever we walk, wherever we walk, it's like being in a small boat\Your voice is so beautiful, I couldn't help myself...\Osada An\Victim's Daughter\Thank you. You're the detective, right?\You want us to find the person who murdered your mother? response:	In that case, I think I heard Kaishou Rinroku figured it out days ago...
context: Detective's Assistant\Wherever we walk, wherever we walk, it's like being in a small boat\Your voice is so beautiful, I couldn't help myself...\Osada An\Victim's Daughter\Thank you. You're the detective, right?\You want us to find the person who murdered your mother?\In that case, I think I heard Kaishou Rinroku figured it out days ago... response:	Aramaki isn't the murderer.
context: Wherever we walk, wherever we walk, it's like being in a small boat\Your voice is so beautiful, I couldn't help myself...\Osada An\Victim's Daughter\Thank you. You're the detective, right?\You want us to find the person who murdered your mother?\In that case, I think I heard Kaishou Rinroku figured it out days ago...\Aramaki isn't the murderer. response:	He's in hiding, isn't he?
context: Your voice is so beautiful, I couldn't help myself...\Osada An\Victim's Daughter\Thank you. You're the detective, right?\You want us to find the person who murdered your mother?\In that case, I think I heard Kaishou Rinroku figured it out days ago...\Aramaki isn't the murderer.\He's in hiding, isn't he? response:	My mother had been threatened by someone for a long time.
context: Osada An\Victim's Daughter\Thank you. You're the detective, right?\You want us to find the person who murdered your mother?\In that case, I think I heard Kaishou Rinroku figured it out days ago...\Aramaki isn't the murderer.\He's in hiding, isn't he?\My mother had been threatened by someone for a long time. response:	Every month, she delivered money to a hotel in Shinagawa.
context: Victim's Daughter\Thank you. You're the detective, right?\You want us to find the person who murdered your mother?\In that case, I think I heard Kaishou Rinroku figured it out days ago...\Aramaki isn't the murderer.\He's in hiding, isn't he?\My mother had been threatened by someone for a long time.\Every month, she delivered money to a hotel in Shinagawa. response:	Shinagawa?
context: Thank you. You're the detective, right?\You want us to find the person who murdered your mother?\In that case, I think I heard Kaishou Rinroku figured it out days ago...\Aramaki isn't the murderer.\He's in hiding, isn't he?\My mother had been threatened by someone for a long time.\Every month, she delivered money to a hotel in Shinagawa.\Shinagawa? response:	Please deliver the suitcase to the Tokyu Hotel in Shinagawa.
context: You want us to find the person who murdered your mother?\In that case, I think I heard Kaishou Rinroku figured it out days ago...\Aramaki isn't the murderer.\He's in hiding, isn't he?\My mother had been threatened by someone for a long time.\Every month, she delivered money to a hotel in Shinagawa.\Shinagawa?\Please deliver the suitcase to the Tokyu Hotel in Shinagawa. response:	That's fishy, Shinjurou.
context: In that case, I think I heard Kaishou Rinroku figured it out days ago...\Aramaki isn't the murderer.\He's in hiding, isn't he?\My mother had been threatened by someone for a long time.\Every month, she delivered money to a hotel in Shinagawa.\Shinagawa?\Please deliver the suitcase to the Tokyu Hotel in Shinagawa.\That's fishy, Shinjurou. response:	And who threatened her?
context: Aramaki isn't the murderer.\He's in hiding, isn't he?\My mother had been threatened by someone for a long time.\Every month, she delivered money to a hotel in Shinagawa.\Shinagawa?\Please deliver the suitcase to the Tokyu Hotel in Shinagawa.\That's fishy, Shinjurou.\And who threatened her? response:	Maybe someone from Yonagahime...
context: He's in hiding, isn't he?\My mother had been threatened by someone for a long time.\Every month, she delivered money to a hotel in Shinagawa.\Shinagawa?\Please deliver the suitcase to the Tokyu Hotel in Shinagawa.\That's fishy, Shinjurou.\And who threatened her?\Maybe someone from Yonagahime... response:	No, I don't know!
context: My mother had been threatened by someone for a long time.\Every month, she delivered money to a hotel in Shinagawa.\Shinagawa?\Please deliver the suitcase to the Tokyu Hotel in Shinagawa.\That's fishy, Shinjurou.\And who threatened her?\Maybe someone from Yonagahime...\No, I don't know! response:	But I'm sure the killer was someone else.
context: Every month, she delivered money to a hotel in Shinagawa.\Shinagawa?\Please deliver the suitcase to the Tokyu Hotel in Shinagawa.\That's fishy, Shinjurou.\And who threatened her?\Maybe someone from Yonagahime...\No, I don't know!\But I'm sure the killer was someone else. response:	Understood! Please leave it to this Defeated Detective, Yuuki Shinjurou!
context: Shinagawa?\Please deliver the suitcase to the Tokyu Hotel in Shinagawa.\That's fishy, Shinjurou.\And who threatened her?\Maybe someone from Yonagahime...\No, I don't know!\But I'm sure the killer was someone else.\Understood! Please leave it to this Defeated Detective, Yuuki Shinjurou! response:	The city lights are so beautiful, aren't they?
context: Please deliver the suitcase to the Tokyu Hotel in Shinagawa.\That's fishy, Shinjurou.\And who threatened her?\Maybe someone from Yonagahime...\No, I don't know!\But I'm sure the killer was someone else.\Understood! Please leave it to this Defeated Detective, Yuuki Shinjurou!\The city lights are so beautiful, aren't they? response:	Yokohama...
context: That's fishy, Shinjurou.\And who threatened her?\Maybe someone from Yonagahime...\No, I don't know!\But I'm sure the killer was someone else.\Understood! Please leave it to this Defeated Detective, Yuuki Shinjurou!\The city lights are so beautiful, aren't they?\Yokohama... response:	That's the song from before!
context: And who threatened her?\Maybe someone from Yonagahime...\No, I don't know!\But I'm sure the killer was someone else.\Understood! Please leave it to this Defeated Detective, Yuuki Shinjurou!\The city lights are so beautiful, aren't they?\Yokohama...\That's the song from before! response:	My grandmother taught it to me.
context: Maybe someone from Yonagahime...\No, I don't know!\But I'm sure the killer was someone else.\Understood! Please leave it to this Defeated Detective, Yuuki Shinjurou!\The city lights are so beautiful, aren't they?\Yokohama...\That's the song from before!\My grandmother taught it to me. response:	Huh...
context: No, I don't know!\But I'm sure the killer was someone else.\Understood! Please leave it to this Defeated Detective, Yuuki Shinjurou!\The city lights are so beautiful, aren't they?\Yokohama...\That's the song from before!\My grandmother taught it to me.\Huh... response:	My grandma said that in her country,
context: But I'm sure the killer was someone else.\Understood! Please leave it to this Defeated Detective, Yuuki Shinjurou!\The city lights are so beautiful, aren't they?\Yokohama...\That's the song from before!\My grandmother taught it to me.\Huh...\My grandma said that in her country, response:	it was illegal to play Japanese music on TV or the radio.
context: Understood! Please leave it to this Defeated Detective, Yuuki Shinjurou!\The city lights are so beautiful, aren't they?\Yokohama...\That's the song from before!\My grandmother taught it to me.\Huh...\My grandma said that in her country,\it was illegal to play Japanese music on TV or the radio. response:	But she said that even though this song is in Japanese,
context: The city lights are so beautiful, aren't they?\Yokohama...\That's the song from before!\My grandmother taught it to me.\Huh...\My grandma said that in her country,\it was illegal to play Japanese music on TV or the radio.\But she said that even though this song is in Japanese, response:	it became so popular that everyone sang it secretly.
context: Yokohama...\That's the song from before!\My grandmother taught it to me.\Huh...\My grandma said that in her country,\it was illegal to play Japanese music on TV or the radio.\But she said that even though this song is in Japanese,\it became so popular that everyone sang it secretly. response:	Don't you think the power of song is amazing?
context: That's the song from before!\My grandmother taught it to me.\Huh...\My grandma said that in her country,\it was illegal to play Japanese music on TV or the radio.\But she said that even though this song is in Japanese,\it became so popular that everyone sang it secretly.\Don't you think the power of song is amazing? response:	Do you want to be a singer?
context: My grandmother taught it to me.\Huh...\My grandma said that in her country,\it was illegal to play Japanese music on TV or the radio.\But she said that even though this song is in Japanese,\it became so popular that everyone sang it secretly.\Don't you think the power of song is amazing?\Do you want to be a singer? response:	Yes. At one point, I thought maybe it couldn't happen,
context: Huh...\My grandma said that in her country,\it was illegal to play Japanese music on TV or the radio.\But she said that even though this song is in Japanese,\it became so popular that everyone sang it secretly.\Don't you think the power of song is amazing?\Do you want to be a singer?\Yes. At one point, I thought maybe it couldn't happen, response:	but you can't give up on your dreams, you know?
context: My grandma said that in her country,\it was illegal to play Japanese music on TV or the radio.\But she said that even though this song is in Japanese,\it became so popular that everyone sang it secretly.\Don't you think the power of song is amazing?\Do you want to be a singer?\Yes. At one point, I thought maybe it couldn't happen,\but you can't give up on your dreams, you know? response:	Because one's dreams will always come true?
context: it was illegal to play Japanese music on TV or the radio.\But she said that even though this song is in Japanese,\it became so popular that everyone sang it secretly.\Don't you think the power of song is amazing?\Do you want to be a singer?\Yes. At one point, I thought maybe it couldn't happen,\but you can't give up on your dreams, you know?\Because one's dreams will always come true? response:	What's wrong, Shinjurou?
context: But she said that even though this song is in Japanese,\it became so popular that everyone sang it secretly.\Don't you think the power of song is amazing?\Do you want to be a singer?\Yes. At one point, I thought maybe it couldn't happen,\but you can't give up on your dreams, you know?\Because one's dreams will always come true?\What's wrong, Shinjurou? response:	Even if Aramaki is the killer, why would he go to the trouble
context: it became so popular that everyone sang it secretly.\Don't you think the power of song is amazing?\Do you want to be a singer?\Yes. At one point, I thought maybe it couldn't happen,\but you can't give up on your dreams, you know?\Because one's dreams will always come true?\What's wrong, Shinjurou?\Even if Aramaki is the killer, why would he go to the trouble response:	of dropping off the suitcase at the victim's own home?
context: Don't you think the power of song is amazing?\Do you want to be a singer?\Yes. At one point, I thought maybe it couldn't happen,\but you can't give up on your dreams, you know?\Because one's dreams will always come true?\What's wrong, Shinjurou?\Even if Aramaki is the killer, why would he go to the trouble\of dropping off the suitcase at the victim's own home? response:	What are you trying to say?
context: Do you want to be a singer?\Yes. At one point, I thought maybe it couldn't happen,\but you can't give up on your dreams, you know?\Because one's dreams will always come true?\What's wrong, Shinjurou?\Even if Aramaki is the killer, why would he go to the trouble\of dropping off the suitcase at the victim's own home?\What are you trying to say? response:	Yonagahime... Yonaga'...
context: Yes. At one point, I thought maybe it couldn't happen,\but you can't give up on your dreams, you know?\Because one's dreams will always come true?\What's wrong, Shinjurou?\Even if Aramaki is the killer, why would he go to the trouble\of dropping off the suitcase at the victim's own home?\What are you trying to say?\Yonagahime... Yonaga'... response:	All images and sounds of Yonagahime have been wiped off the net,
context: but you can't give up on your dreams, you know?\Because one's dreams will always come true?\What's wrong, Shinjurou?\Even if Aramaki is the killer, why would he go to the trouble\of dropping off the suitcase at the victim's own home?\What are you trying to say?\Yonagahime... Yonaga'...\All images and sounds of Yonagahime have been wiped off the net, response:	Emergency Exit
context: Because one's dreams will always come true?\What's wrong, Shinjurou?\Even if Aramaki is the killer, why would he go to the trouble\of dropping off the suitcase at the victim's own home?\What are you trying to say?\Yonagahime... Yonaga'...\All images and sounds of Yonagahime have been wiped off the net,\Emergency Exit response:	and if you upload something,
context: What's wrong, Shinjurou?\Even if Aramaki is the killer, why would he go to the trouble\of dropping off the suitcase at the victim's own home?\What are you trying to say?\Yonagahime... Yonaga'...\All images and sounds of Yonagahime have been wiped off the net,\Emergency Exit\and if you upload something, response:	you'll be arrested under the New Information Privacy and Protection Act.
context: Even if Aramaki is the killer, why would he go to the trouble\of dropping off the suitcase at the victim's own home?\What are you trying to say?\Yonagahime... Yonaga'...\All images and sounds of Yonagahime have been wiped off the net,\Emergency Exit\and if you upload something,\you'll be arrested under the New Information Privacy and Protection Act. response:	You seriously don't know about Yonagahime?
context: of dropping off the suitcase at the victim's own home?\What are you trying to say?\Yonagahime... Yonaga'...\All images and sounds of Yonagahime have been wiped off the net,\Emergency Exit\and if you upload something,\you'll be arrested under the New Information Privacy and Protection Act.\You seriously don't know about Yonagahime? response:	Well, I wasn't in Japan...
context: What are you trying to say?\Yonagahime... Yonaga'...\All images and sounds of Yonagahime have been wiped off the net,\Emergency Exit\and if you upload something,\you'll be arrested under the New Information Privacy and Protection Act.\You seriously don't know about Yonagahime?\Well, I wasn't in Japan... response:	Dol-pli
context: Yonagahime... Yonaga'...\All images and sounds of Yonagahime have been wiped off the net,\Emergency Exit\and if you upload something,\you'll be arrested under the New Information Privacy and Protection Act.\You seriously don't know about Yonagahime?\Well, I wasn't in Japan...\Dol-pli response:	This is them recreated using Dol-pli.
context: All images and sounds of Yonagahime have been wiped off the net,\Emergency Exit\and if you upload something,\you'll be arrested under the New Information Privacy and Protection Act.\You seriously don't know about Yonagahime?\Well, I wasn't in Japan...\Dol-pli\This is them recreated using Dol-pli. response:	Yonagahime 3+1
context: Emergency Exit\and if you upload something,\you'll be arrested under the New Information Privacy and Protection Act.\You seriously don't know about Yonagahime?\Well, I wasn't in Japan...\Dol-pli\This is them recreated using Dol-pli.\Yonagahime 3+1 response:	Valhalla Maidenland
context: and if you upload something,\you'll be arrested under the New Information Privacy and Protection Act.\You seriously don't know about Yonagahime?\Well, I wasn't in Japan...\Dol-pli\This is them recreated using Dol-pli.\Yonagahime 3+1\Valhalla Maidenland response:	Whoa.
context: you'll be arrested under the New Information Privacy and Protection Act.\You seriously don't know about Yonagahime?\Well, I wasn't in Japan...\Dol-pli\This is them recreated using Dol-pli.\Yonagahime 3+1\Valhalla Maidenland\Whoa. response:	World, open your eyes
context: You seriously don't know about Yonagahime?\Well, I wasn't in Japan...\Dol-pli\This is them recreated using Dol-pli.\Yonagahime 3+1\Valhalla Maidenland\Whoa.\World, open your eyes response:	Dawn is almost here
context: Well, I wasn't in Japan...\Dol-pli\This is them recreated using Dol-pli.\Yonagahime 3+1\Valhalla Maidenland\Whoa.\World, open your eyes\Dawn is almost here response:	Beautiful to the end
context: Dol-pli\This is them recreated using Dol-pli.\Yonagahime 3+1\Valhalla Maidenland\Whoa.\World, open your eyes\Dawn is almost here\Beautiful to the end response:	Shone down upon
context: This is them recreated using Dol-pli.\Yonagahime 3+1\Valhalla Maidenland\Whoa.\World, open your eyes\Dawn is almost here\Beautiful to the end\Shone down upon response:	They were supposedly national idols.
context: Yonagahime 3+1\Valhalla Maidenland\Whoa.\World, open your eyes\Dawn is almost here\Beautiful to the end\Shone down upon\They were supposedly national idols. response:	Since the war broke out, there wasn't a day this song wasn't played on TV.
context: Valhalla Maidenland\Whoa.\World, open your eyes\Dawn is almost here\Beautiful to the end\Shone down upon\They were supposedly national idols.\Since the war broke out, there wasn't a day this song wasn't played on TV. response:	The message was let's strike back against terrorist attacks
context: Whoa.\World, open your eyes\Dawn is almost here\Beautiful to the end\Shone down upon\They were supposedly national idols.\Since the war broke out, there wasn't a day this song wasn't played on TV.\The message was let's strike back against terrorist attacks response:	and let's dispatch a massive amount of troops.
context: World, open your eyes\Dawn is almost here\Beautiful to the end\Shone down upon\They were supposedly national idols.\Since the war broke out, there wasn't a day this song wasn't played on TV.\The message was let's strike back against terrorist attacks\and let's dispatch a massive amount of troops. response:	The sentiment was backed by public opinion, so after the war,
context: Dawn is almost here\Beautiful to the end\Shone down upon\They were supposedly national idols.\Since the war broke out, there wasn't a day this song wasn't played on TV.\The message was let's strike back against terrorist attacks\and let's dispatch a massive amount of troops.\The sentiment was backed by public opinion, so after the war, response:	the Public Prosecutor's office prohibited this song from being broadcast.
context: Beautiful to the end\Shone down upon\They were supposedly national idols.\Since the war broke out, there wasn't a day this song wasn't played on TV.\The message was let's strike back against terrorist attacks\and let's dispatch a massive amount of troops.\The sentiment was backed by public opinion, so after the war,\the Public Prosecutor's office prohibited this song from being broadcast. response:	What's 3 + 1?
context: Shone down upon\They were supposedly national idols.\Since the war broke out, there wasn't a day this song wasn't played on TV.\The message was let's strike back against terrorist attacks\and let's dispatch a massive amount of troops.\The sentiment was backed by public opinion, so after the war,\the Public Prosecutor's office prohibited this song from being broadcast.\What's 3 + 1? response:	Yonagahime, 3 + 1. That sums up their entire history.
context: They were supposedly national idols.\Since the war broke out, there wasn't a day this song wasn't played on TV.\The message was let's strike back against terrorist attacks\and let's dispatch a massive amount of troops.\The sentiment was backed by public opinion, so after the war,\the Public Prosecutor's office prohibited this song from being broadcast.\What's 3 + 1?\Yonagahime, 3 + 1. That sums up their entire history. response:	What's this?
context: Since the war broke out, there wasn't a day this song wasn't played on TV.\The message was let's strike back against terrorist attacks\and let's dispatch a massive amount of troops.\The sentiment was backed by public opinion, so after the war,\the Public Prosecutor's office prohibited this song from being broadcast.\What's 3 + 1?\Yonagahime, 3 + 1. That sums up their entire history.\What's this? response:	It seems Yonagahime was originally a four-person group.
context: The message was let's strike back against terrorist attacks\and let's dispatch a massive amount of troops.\The sentiment was backed by public opinion, so after the war,\the Public Prosecutor's office prohibited this song from being broadcast.\What's 3 + 1?\Yonagahime, 3 + 1. That sums up their entire history.\What's this?\It seems Yonagahime was originally a four-person group. response:	But right before their debut,
context: and let's dispatch a massive amount of troops.\The sentiment was backed by public opinion, so after the war,\the Public Prosecutor's office prohibited this song from being broadcast.\What's 3 + 1?\Yonagahime, 3 + 1. That sums up their entire history.\What's this?\It seems Yonagahime was originally a four-person group.\But right before their debut, response:	one of the members became a victim of the first terrorist attack in Tokyo.
context: The sentiment was backed by public opinion, so after the war,\the Public Prosecutor's office prohibited this song from being broadcast.\What's 3 + 1?\Yonagahime, 3 + 1. That sums up their entire history.\What's this?\It seems Yonagahime was originally a four-person group.\But right before their debut,\one of the members became a victim of the first terrorist attack in Tokyo. response:	It's referred to as the attack on 12/23.
context: the Public Prosecutor's office prohibited this song from being broadcast.\What's 3 + 1?\Yonagahime, 3 + 1. That sums up their entire history.\What's this?\It seems Yonagahime was originally a four-person group.\But right before their debut,\one of the members became a victim of the first terrorist attack in Tokyo.\It's referred to as the attack on 12/23. response:	And that image was captured on surveillance cameras.
context: What's 3 + 1?\Yonagahime, 3 + 1. That sums up their entire history.\What's this?\It seems Yonagahime was originally a four-person group.\But right before their debut,\one of the members became a victim of the first terrorist attack in Tokyo.\It's referred to as the attack on 12/23.\And that image was captured on surveillance cameras. response:	Eri isn't dead!
context: Yonagahime, 3 + 1. That sums up their entire history.\What's this?\It seems Yonagahime was originally a four-person group.\But right before their debut,\one of the members became a victim of the first terrorist attack in Tokyo.\It's referred to as the attack on 12/23.\And that image was captured on surveillance cameras.\Eri isn't dead! response:	She's with us!
context: What's this?\It seems Yonagahime was originally a four-person group.\But right before their debut,\one of the members became a victim of the first terrorist attack in Tokyo.\It's referred to as the attack on 12/23.\And that image was captured on surveillance cameras.\Eri isn't dead!\She's with us! response:	The four of us are Yonagahime!
context: It seems Yonagahime was originally a four-person group.\But right before their debut,\one of the members became a victim of the first terrorist attack in Tokyo.\It's referred to as the attack on 12/23.\And that image was captured on surveillance cameras.\Eri isn't dead!\She's with us!\The four of us are Yonagahime! response:	We're not going to lose or cry!
context: But right before their debut,\one of the members became a victim of the first terrorist attack in Tokyo.\It's referred to as the attack on 12/23.\And that image was captured on surveillance cameras.\Eri isn't dead!\She's with us!\The four of us are Yonagahime!\We're not going to lose or cry! response:	We're gonna take back our dream!
context: one of the members became a victim of the first terrorist attack in Tokyo.\It's referred to as the attack on 12/23.\And that image was captured on surveillance cameras.\Eri isn't dead!\She's with us!\The four of us are Yonagahime!\We're not going to lose or cry!\We're gonna take back our dream! response:	Please listen!
context: It's referred to as the attack on 12/23.\And that image was captured on surveillance cameras.\Eri isn't dead!\She's with us!\The four of us are Yonagahime!\We're not going to lose or cry!\We're gonna take back our dream!\Please listen! response:	This made their name recognition skyrocket.
context: And that image was captured on surveillance cameras.\Eri isn't dead!\She's with us!\The four of us are Yonagahime!\We're not going to lose or cry!\We're gonna take back our dream!\Please listen!\This made their name recognition skyrocket. response:	Eri's voice, which had already been recorded, was used, too.
context: Eri isn't dead!\She's with us!\The four of us are Yonagahime!\We're not going to lose or cry!\We're gonna take back our dream!\Please listen!\This made their name recognition skyrocket.\Eri's voice, which had already been recorded, was used, too. response:	Stand up! (You)
context: She's with us!\The four of us are Yonagahime!\We're not going to lose or cry!\We're gonna take back our dream!\Please listen!\This made their name recognition skyrocket.\Eri's voice, which had already been recorded, was used, too.\Stand up! (You) response:	We must (know)
context: The four of us are Yonagahime!\We're not going to lose or cry!\We're gonna take back our dream!\Please listen!\This made their name recognition skyrocket.\Eri's voice, which had already been recorded, was used, too.\Stand up! (You)\We must (know) response:	depart for there!
context: We're not going to lose or cry!\We're gonna take back our dream!\Please listen!\This made their name recognition skyrocket.\Eri's voice, which had already been recorded, was used, too.\Stand up! (You)\We must (know)\depart for there! response:	On fallen, broken wings...
context: We're gonna take back our dream!\Please listen!\This made their name recognition skyrocket.\Eri's voice, which had already been recorded, was used, too.\Stand up! (You)\We must (know)\depart for there!\On fallen, broken wings... response:	They say that's Eri's voice.
context: Please listen!\This made their name recognition skyrocket.\Eri's voice, which had already been recorded, was used, too.\Stand up! (You)\We must (know)\depart for there!\On fallen, broken wings...\They say that's Eri's voice. response:	After Yonagahime broke up, my little sister wanted to have a solo career.
context: This made their name recognition skyrocket.\Eri's voice, which had already been recorded, was used, too.\Stand up! (You)\We must (know)\depart for there!\On fallen, broken wings...\They say that's Eri's voice.\After Yonagahime broke up, my little sister wanted to have a solo career. response:	Nakahashi Eitarou
context: Eri's voice, which had already been recorded, was used, too.\Stand up! (You)\We must (know)\depart for there!\On fallen, broken wings...\They say that's Eri's voice.\After Yonagahime broke up, my little sister wanted to have a solo career.\Nakahashi Eitarou response:	Older Brother of Nakahashi Sumika
context: Stand up! (You)\We must (know)\depart for there!\On fallen, broken wings...\They say that's Eri's voice.\After Yonagahime broke up, my little sister wanted to have a solo career.\Nakahashi Eitarou\Older Brother of Nakahashi Sumika response:	But Ms. Osada was against it...
context: We must (know)\depart for there!\On fallen, broken wings...\They say that's Eri's voice.\After Yonagahime broke up, my little sister wanted to have a solo career.\Nakahashi Eitarou\Older Brother of Nakahashi Sumika\But Ms. Osada was against it... response:	Osada? You mean Osada Hisako?
context: depart for there!\On fallen, broken wings...\They say that's Eri's voice.\After Yonagahime broke up, my little sister wanted to have a solo career.\Nakahashi Eitarou\Older Brother of Nakahashi Sumika\But Ms. Osada was against it...\Osada? You mean Osada Hisako? response:	Yeah...
context: On fallen, broken wings...\They say that's Eri's voice.\After Yonagahime broke up, my little sister wanted to have a solo career.\Nakahashi Eitarou\Older Brother of Nakahashi Sumika\But Ms. Osada was against it...\Osada? You mean Osada Hisako?\Yeah... response:	Nakahashi Sumika
context: They say that's Eri's voice.\After Yonagahime broke up, my little sister wanted to have a solo career.\Nakahashi Eitarou\Older Brother of Nakahashi Sumika\But Ms. Osada was against it...\Osada? You mean Osada Hisako?\Yeah...\Nakahashi Sumika response:	Former Member of Yonagahime 3 + 1
context: After Yonagahime broke up, my little sister wanted to have a solo career.\Nakahashi Eitarou\Older Brother of Nakahashi Sumika\But Ms. Osada was against it...\Osada? You mean Osada Hisako?\Yeah...\Nakahashi Sumika\Former Member of Yonagahime 3 + 1 response:	What connection did Osada Hisako have with Yonagahime?
context: Nakahashi Eitarou\Older Brother of Nakahashi Sumika\But Ms. Osada was against it...\Osada? You mean Osada Hisako?\Yeah...\Nakahashi Sumika\Former Member of Yonagahime 3 + 1\What connection did Osada Hisako have with Yonagahime? response:	She was the president of the agency. The creator of the group.
context: Older Brother of Nakahashi Sumika\But Ms. Osada was against it...\Osada? You mean Osada Hisako?\Yeah...\Nakahashi Sumika\Former Member of Yonagahime 3 + 1\What connection did Osada Hisako have with Yonagahime?\She was the president of the agency. The creator of the group. response:	The words of love, Yokohama
context: But Ms. Osada was against it...\Osada? You mean Osada Hisako?\Yeah...\Nakahashi Sumika\Former Member of Yonagahime 3 + 1\What connection did Osada Hisako have with Yonagahime?\She was the president of the agency. The creator of the group.\The words of love, Yokohama response:	Shinjurou!
context: Osada? You mean Osada Hisako?\Yeah...\Nakahashi Sumika\Former Member of Yonagahime 3 + 1\What connection did Osada Hisako have with Yonagahime?\She was the president of the agency. The creator of the group.\The words of love, Yokohama\Shinjurou! response:	Blue Light Yokohama
context: Yeah...\Nakahashi Sumika\Former Member of Yonagahime 3 + 1\What connection did Osada Hisako have with Yonagahime?\She was the president of the agency. The creator of the group.\The words of love, Yokohama\Shinjurou!\Blue Light Yokohama response:	Both of them are already here!
context: Nakahashi Sumika\Former Member of Yonagahime 3 + 1\What connection did Osada Hisako have with Yonagahime?\She was the president of the agency. The creator of the group.\The words of love, Yokohama\Shinjurou!\Blue Light Yokohama\Both of them are already here! response:	Yonaga'! Yonaga'!
context: Former Member of Yonagahime 3 + 1\What connection did Osada Hisako have with Yonagahime?\She was the president of the agency. The creator of the group.\The words of love, Yokohama\Shinjurou!\Blue Light Yokohama\Both of them are already here!\Yonaga'! Yonaga'! response:	Idiot!
