context: I heard you're Embryo's knight. response:	I wanted to see how strong you've become.
context: Won't it blow Aura away, too?\I'll fire at 70 power. Don't worry.\Then do it!\The wind flies, El Ragna, making promises with destiny.\The wind goes, El Ragna, with roaring wings.\Space-time Convergence Cannon\This song...\It's Salamandinay-san. response:	I had nothing!
context: I'll fire at 70 power. Don't worry.\Then do it!\The wind flies, El Ragna, making promises with destiny.\The wind goes, El Ragna, with roaring wings.\Space-time Convergence Cannon\This song...\It's Salamandinay-san.\I had nothing! response:	Flying to the stars, El Ragna, over thousands of leagues to the beyond.
context: Then do it!\The wind flies, El Ragna, making promises with destiny.\The wind goes, El Ragna, with roaring wings.\Space-time Convergence Cannon\This song...\It's Salamandinay-san.\I had nothing!\Flying to the stars, El Ragna, over thousands of leagues to the beyond. response:	I wasn't royalty.
context: The wind flies, El Ragna, making promises with destiny.\The wind goes, El Ragna, with roaring wings.\Space-time Convergence Cannon\This song...\It's Salamandinay-san.\I had nothing!\Flying to the stars, El Ragna, over thousands of leagues to the beyond.\I wasn't royalty. response:	I don't know that song!
context: The wind goes, El Ragna, with roaring wings.\Space-time Convergence Cannon\This song...\It's Salamandinay-san.\I had nothing!\Flying to the stars, El Ragna, over thousands of leagues to the beyond.\I wasn't royalty.\I don't know that song! response:	I don't have the ring!
context: Space-time Convergence Cannon\This song...\It's Salamandinay-san.\I had nothing!\Flying to the stars, El Ragna, over thousands of leagues to the beyond.\I wasn't royalty.\I don't know that song!\I don't have the ring! response:	No matter how hard I tried, I was never chosen.
context: This song...\It's Salamandinay-san.\I had nothing!\Flying to the stars, El Ragna, over thousands of leagues to the beyond.\I wasn't royalty.\I don't know that song!\I don't have the ring!\No matter how hard I tried, I was never chosen. response:	Not by the Villkiss!
context: It's Salamandinay-san.\I had nothing!\Flying to the stars, El Ragna, over thousands of leagues to the beyond.\I wasn't royalty.\I don't know that song!\I don't have the ring!\No matter how hard I tried, I was never chosen.\Not by the Villkiss! response:	Not by you!
context: I had nothing!\Flying to the stars, El Ragna, over thousands of leagues to the beyond.\I wasn't royalty.\I don't know that song!\I don't have the ring!\No matter how hard I tried, I was never chosen.\Not by the Villkiss!\Not by you! response:	Going to the stars, El Ragna, instantly, for eternity,
context: Flying to the stars, El Ragna, over thousands of leagues to the beyond.\I wasn't royalty.\I don't know that song!\I don't have the ring!\No matter how hard I tried, I was never chosen.\Not by the Villkiss!\Not by you!\Going to the stars, El Ragna, instantly, for eternity, response:	But Embryo-sama chose me!
context: I wasn't royalty.\I don't know that song!\I don't have the ring!\No matter how hard I tried, I was never chosen.\Not by the Villkiss!\Not by you!\Going to the stars, El Ragna, instantly, for eternity,\But Embryo-sama chose me! response:	That's why, Alektra, I don't need you anymore!
context: I don't know that song!\I don't have the ring!\No matter how hard I tried, I was never chosen.\Not by the Villkiss!\Not by you!\Going to the stars, El Ragna, instantly, for eternity,\But Embryo-sama chose me!\That's why, Alektra, I don't need you anymore! response:	Calmly, calmly, tenderly fades away.
context: I don't have the ring!\No matter how hard I tried, I was never chosen.\Not by the Villkiss!\Not by you!\Going to the stars, El Ragna, instantly, for eternity,\But Embryo-sama chose me!\That's why, Alektra, I don't need you anymore!\Calmly, calmly, tenderly fades away. response:	In the cradle of life and death,
context: No matter how hard I tried, I was never chosen.\Not by the Villkiss!\Not by you!\Going to the stars, El Ragna, instantly, for eternity,\But Embryo-sama chose me!\That's why, Alektra, I don't need you anymore!\Calmly, calmly, tenderly fades away.\In the cradle of life and death, response:	So you have become strong,
context: Not by the Villkiss!\Not by you!\Going to the stars, El Ragna, instantly, for eternity,\But Embryo-sama chose me!\That's why, Alektra, I don't need you anymore!\Calmly, calmly, tenderly fades away.\In the cradle of life and death,\So you have become strong, response:	Salia!
context: Not by you!\Going to the stars, El Ragna, instantly, for eternity,\But Embryo-sama chose me!\That's why, Alektra, I don't need you anymore!\Calmly, calmly, tenderly fades away.\In the cradle of life and death,\So you have become strong,\Salia! response:	Ah, the journey of rebirth lasting thousands of years.
context: Going to the stars, El Ragna, instantly, for eternity,\But Embryo-sama chose me!\That's why, Alektra, I don't need you anymore!\Calmly, calmly, tenderly fades away.\In the cradle of life and death,\So you have become strong,\Salia!\Ah, the journey of rebirth lasting thousands of years. response:	Seeking hands to join,
context: But Embryo-sama chose me!\That's why, Alektra, I don't need you anymore!\Calmly, calmly, tenderly fades away.\In the cradle of life and death,\So you have become strong,\Salia!\Ah, the journey of rebirth lasting thousands of years.\Seeking hands to join, response:	Wind, blowing from soul to soul,
context: That's why, Alektra, I don't need you anymore!\Calmly, calmly, tenderly fades away.\In the cradle of life and death,\So you have become strong,\Salia!\Ah, the journey of rebirth lasting thousands of years.\Seeking hands to join,\Wind, blowing from soul to soul, response:	Blow to new worlds.
context: Calmly, calmly, tenderly fades away.\In the cradle of life and death,\So you have become strong,\Salia!\Ah, the journey of rebirth lasting thousands of years.\Seeking hands to join,\Wind, blowing from soul to soul,\Blow to new worlds. response:	This song...
context: In the cradle of life and death,\So you have become strong,\Salia!\Ah, the journey of rebirth lasting thousands of years.\Seeking hands to join,\Wind, blowing from soul to soul,\Blow to new worlds.\This song... response:	Space-time convergence is at 91.
context: So you have become strong,\Salia!\Ah, the journey of rebirth lasting thousands of years.\Seeking hands to join,\Wind, blowing from soul to soul,\Blow to new worlds.\This song...\Space-time convergence is at 91. response:	Maggie-san.
context: Salia!\Ah, the journey of rebirth lasting thousands of years.\Seeking hands to join,\Wind, blowing from soul to soul,\Blow to new worlds.\This song...\Space-time convergence is at 91.\Maggie-san. response:	I brought bandages from storage.
context: Ah, the journey of rebirth lasting thousands of years.\Seeking hands to join,\Wind, blowing from soul to soul,\Blow to new worlds.\This song...\Space-time convergence is at 91.\Maggie-san.\I brought bandages from storage. response:	Vivi-chan, take those two and run!
context: Seeking hands to join,\Wind, blowing from soul to soul,\Blow to new worlds.\This song...\Space-time convergence is at 91.\Maggie-san.\I brought bandages from storage.\Vivi-chan, take those two and run! response:	Ersha.
context: Wind, blowing from soul to soul,\Blow to new worlds.\This song...\Space-time convergence is at 91.\Maggie-san.\I brought bandages from storage.\Vivi-chan, take those two and run!\Ersha. response:	This way, discs!
context: Blow to new worlds.\This song...\Space-time convergence is at 91.\Maggie-san.\I brought bandages from storage.\Vivi-chan, take those two and run!\Ersha.\This way, discs! response:	Ersha!
context: This song...\Space-time convergence is at 91.\Maggie-san.\I brought bandages from storage.\Vivi-chan, take those two and run!\Ersha.\This way, discs!\Ersha! response:	What's going on?
context: Space-time convergence is at 91.\Maggie-san.\I brought bandages from storage.\Vivi-chan, take those two and run!\Ersha.\This way, discs!\Ersha!\What's going on? response:	The gravity field must have weakened due to the space-time convergence,
context: Maggie-san.\I brought bandages from storage.\Vivi-chan, take those two and run!\Ersha.\This way, discs!\Ersha!\What's going on?\The gravity field must have weakened due to the space-time convergence, response:	causing the singularity to dissipate.
context: I brought bandages from storage.\Vivi-chan, take those two and run!\Ersha.\This way, discs!\Ersha!\What's going on?\The gravity field must have weakened due to the space-time convergence,\causing the singularity to dissipate. response:	Can you hear me?
context: Vivi-chan, take those two and run!\Ersha.\This way, discs!\Ersha!\What's going on?\The gravity field must have weakened due to the space-time convergence,\causing the singularity to dissipate.\Can you hear me? response:	False people... no, Norma.
context: Ersha.\This way, discs!\Ersha!\What's going on?\The gravity field must have weakened due to the space-time convergence,\causing the singularity to dissipate.\Can you hear me?\False people... no, Norma. response:	I am the priestess of Aura, Aura Midgardia.
context: This way, discs!\Ersha!\What's going on?\The gravity field must have weakened due to the space-time convergence,\causing the singularity to dissipate.\Can you hear me?\False people... no, Norma.\I am the priestess of Aura, Aura Midgardia. response:	Priestess!
context: Ersha!\What's going on?\The gravity field must have weakened due to the space-time convergence,\causing the singularity to dissipate.\Can you hear me?\False people... no, Norma.\I am the priestess of Aura, Aura Midgardia.\Priestess! response:	The people of Aura will assist your ship.
context: What's going on?\The gravity field must have weakened due to the space-time convergence,\causing the singularity to dissipate.\Can you hear me?\False people... no, Norma.\I am the priestess of Aura, Aura Midgardia.\Priestess!\The people of Aura will assist your ship. response:	Badass!
context: The gravity field must have weakened due to the space-time convergence,\causing the singularity to dissipate.\Can you hear me?\False people... no, Norma.\I am the priestess of Aura, Aura Midgardia.\Priestess!\The people of Aura will assist your ship.\Badass! response:	The tides have turned, Embryo!
context: causing the singularity to dissipate.\Can you hear me?\False people... no, Norma.\I am the priestess of Aura, Aura Midgardia.\Priestess!\The people of Aura will assist your ship.\Badass!\The tides have turned, Embryo! response:	Does it seem that way to you?
context: Can you hear me?\False people... no, Norma.\I am the priestess of Aura, Aura Midgardia.\Priestess!\The people of Aura will assist your ship.\Badass!\The tides have turned, Embryo!\Does it seem that way to you? response:	Embryo, what are you...
context: False people... no, Norma.\I am the priestess of Aura, Aura Midgardia.\Priestess!\The people of Aura will assist your ship.\Badass!\The tides have turned, Embryo!\Does it seem that way to you?\Embryo, what are you... response:	Chris!
context: I am the priestess of Aura, Aura Midgardia.\Priestess!\The people of Aura will assist your ship.\Badass!\The tides have turned, Embryo!\Does it seem that way to you?\Embryo, what are you...\Chris! response:	Embryo-sama!
context: Priestess!\The people of Aura will assist your ship.\Badass!\The tides have turned, Embryo!\Does it seem that way to you?\Embryo, what are you...\Chris!\Embryo-sama! response:	What...
context: The people of Aura will assist your ship.\Badass!\The tides have turned, Embryo!\Does it seem that way to you?\Embryo, what are you...\Chris!\Embryo-sama!\What... response:	You shall help buy me some time.
context: Badass!\The tides have turned, Embryo!\Does it seem that way to you?\Embryo, what are you...\Chris!\Embryo-sama!\What...\You shall help buy me some time. response:	It's not responding!
context: The tides have turned, Embryo!\Does it seem that way to you?\Embryo, what are you...\Chris!\Embryo-sama!\What...\You shall help buy me some time.\It's not responding! response:	Tania!
context: Does it seem that way to you?\Embryo, what are you...\Chris!\Embryo-sama!\What...\You shall help buy me some time.\It's not responding!\Tania! response:	Erma!
context: Embryo, what are you...\Chris!\Embryo-sama!\What...\You shall help buy me some time.\It's not responding!\Tania!\Erma! response:	You're using your own people as bait?!
context: Chris!\Embryo-sama!\What...\You shall help buy me some time.\It's not responding!\Tania!\Erma!\You're using your own people as bait?! response:	I must go and pick up my bride-to-be.
context: Embryo-sama!\What...\You shall help buy me some time.\It's not responding!\Tania!\Erma!\You're using your own people as bait?!\I must go and pick up my bride-to-be. response:	Take care of the rest of this, everyone.
context: What...\You shall help buy me some time.\It's not responding!\Tania!\Erma!\You're using your own people as bait?!\I must go and pick up my bride-to-be.\Take care of the rest of this, everyone. response:	Embryo-sama!
context: You shall help buy me some time.\It's not responding!\Tania!\Erma!\You're using your own people as bait?!\I must go and pick up my bride-to-be.\Take care of the rest of this, everyone.\Embryo-sama! response:	Salia!
context: It's not responding!\Tania!\Erma!\You're using your own people as bait?!\I must go and pick up my bride-to-be.\Take care of the rest of this, everyone.\Embryo-sama!\Salia! response:	This is Embryo's true nature.
context: Tania!\Erma!\You're using your own people as bait?!\I must go and pick up my bride-to-be.\Take care of the rest of this, everyone.\Embryo-sama!\Salia!\This is Embryo's true nature. response:	Wake up, Salia.
context: Erma!\You're using your own people as bait?!\I must go and pick up my bride-to-be.\Take care of the rest of this, everyone.\Embryo-sama!\Salia!\This is Embryo's true nature.\Wake up, Salia. response:	Before you lose everything the way I did!
context: You're using your own people as bait?!\I must go and pick up my bride-to-be.\Take care of the rest of this, everyone.\Embryo-sama!\Salia!\This is Embryo's true nature.\Wake up, Salia.\Before you lose everything the way I did! response:	Alektra!
context: I must go and pick up my bride-to-be.\Take care of the rest of this, everyone.\Embryo-sama!\Salia!\This is Embryo's true nature.\Wake up, Salia.\Before you lose everything the way I did!\Alektra! response:	It can't be.
context: Take care of the rest of this, everyone.\Embryo-sama!\Salia!\This is Embryo's true nature.\Wake up, Salia.\Before you lose everything the way I did!\Alektra!\It can't be. response:	It can't be... can it, Embryo-kun?
context: Embryo-sama!\Salia!\This is Embryo's true nature.\Wake up, Salia.\Before you lose everything the way I did!\Alektra!\It can't be.\It can't be... can it, Embryo-kun? response:	I've been abandoned again.
context: Salia!\This is Embryo's true nature.\Wake up, Salia.\Before you lose everything the way I did!\Alektra!\It can't be.\It can't be... can it, Embryo-kun?\I've been abandoned again. response:	I've been betrayed again!
context: This is Embryo's true nature.\Wake up, Salia.\Before you lose everything the way I did!\Alektra!\It can't be.\It can't be... can it, Embryo-kun?\I've been abandoned again.\I've been betrayed again! response:	I won't believe anything anymore!
context: Wake up, Salia.\Before you lose everything the way I did!\Alektra!\It can't be.\It can't be... can it, Embryo-kun?\I've been abandoned again.\I've been betrayed again!\I won't believe anything anymore! response:	Die, everyone!
context: Before you lose everything the way I did!\Alektra!\It can't be.\It can't be... can it, Embryo-kun?\I've been abandoned again.\I've been betrayed again!\I won't believe anything anymore!\Die, everyone! response:	Chris!
context: Alektra!\It can't be.\It can't be... can it, Embryo-kun?\I've been abandoned again.\I've been betrayed again!\I won't believe anything anymore!\Die, everyone!\Chris! response:	Die! Die!
context: It can't be.\It can't be... can it, Embryo-kun?\I've been abandoned again.\I've been betrayed again!\I won't believe anything anymore!\Die, everyone!\Chris!\Die! Die! response:	Die, everyone!
context: It can't be... can it, Embryo-kun?\I've been abandoned again.\I've been betrayed again!\I won't believe anything anymore!\Die, everyone!\Chris!\Die! Die!\Die, everyone! response:	Stop, Chris!
context: I've been abandoned again.\I've been betrayed again!\I won't believe anything anymore!\Die, everyone!\Chris!\Die! Die!\Die, everyone!\Stop, Chris! response:	Stay away! Die!
context: I've been betrayed again!\I won't believe anything anymore!\Die, everyone!\Chris!\Die! Die!\Die, everyone!\Stop, Chris!\Stay away! Die! response:	What did you expect?
context: I won't believe anything anymore!\Die, everyone!\Chris!\Die! Die!\Die, everyone!\Stop, Chris!\Stay away! Die!\What did you expect? response:	Can someone who calls himself your friend really be your friend?
context: Die, everyone!\Chris!\Die! Die!\Die, everyone!\Stop, Chris!\Stay away! Die!\What did you expect?\Can someone who calls himself your friend really be your friend? response:	You let him trick you, you idiot.
context: Chris!\Die! Die!\Die, everyone!\Stop, Chris!\Stay away! Die!\What did you expect?\Can someone who calls himself your friend really be your friend?\You let him trick you, you idiot. response:	It's because you guys abandoned me!
context: Die! Die!\Die, everyone!\Stop, Chris!\Stay away! Die!\What did you expect?\Can someone who calls himself your friend really be your friend?\You let him trick you, you idiot.\It's because you guys abandoned me! response:	I never abandoned you!
context: Die, everyone!\Stop, Chris!\Stay away! Die!\What did you expect?\Can someone who calls himself your friend really be your friend?\You let him trick you, you idiot.\It's because you guys abandoned me!\I never abandoned you! response:	You all made a fool of me.
context: Stop, Chris!\Stay away! Die!\What did you expect?\Can someone who calls himself your friend really be your friend?\You let him trick you, you idiot.\It's because you guys abandoned me!\I never abandoned you!\You all made a fool of me. response:	Even though I'm suffering so much...
context: Stay away! Die!\What did you expect?\Can someone who calls himself your friend really be your friend?\You let him trick you, you idiot.\It's because you guys abandoned me!\I never abandoned you!\You all made a fool of me.\Even though I'm suffering so much... response:	I'm in agony!
context: What did you expect?\Can someone who calls himself your friend really be your friend?\You let him trick you, you idiot.\It's because you guys abandoned me!\I never abandoned you!\You all made a fool of me.\Even though I'm suffering so much...\I'm in agony! response:	Why don't you understand?
context: Can someone who calls himself your friend really be your friend?\You let him trick you, you idiot.\It's because you guys abandoned me!\I never abandoned you!\You all made a fool of me.\Even though I'm suffering so much...\I'm in agony!\Why don't you understand? response:	All you do is whine.
context: You let him trick you, you idiot.\It's because you guys abandoned me!\I never abandoned you!\You all made a fool of me.\Even though I'm suffering so much...\I'm in agony!\Why don't you understand?\All you do is whine. response:	Give it a break, you emo bitch!
context: It's because you guys abandoned me!\I never abandoned you!\You all made a fool of me.\Even though I'm suffering so much...\I'm in agony!\Why don't you understand?\All you do is whine.\Give it a break, you emo bitch! response:	Yeah! How could I know when you never said anything?
context: I never abandoned you!\You all made a fool of me.\Even though I'm suffering so much...\I'm in agony!\Why don't you understand?\All you do is whine.\Give it a break, you emo bitch!\Yeah! How could I know when you never said anything? response:	I'm an idiot, y'know!
context: You all made a fool of me.\Even though I'm suffering so much...\I'm in agony!\Why don't you understand?\All you do is whine.\Give it a break, you emo bitch!\Yeah! How could I know when you never said anything?\I'm an idiot, y'know! response:	Go away!
context: Even though I'm suffering so much...\I'm in agony!\Why don't you understand?\All you do is whine.\Give it a break, you emo bitch!\Yeah! How could I know when you never said anything?\I'm an idiot, y'know!\Go away! response:	Rosalie!
context: I'm in agony!\Why don't you understand?\All you do is whine.\Give it a break, you emo bitch!\Yeah! How could I know when you never said anything?\I'm an idiot, y'know!\Go away!\Rosalie! response:	Chris!
context: Why don't you understand?\All you do is whine.\Give it a break, you emo bitch!\Yeah! How could I know when you never said anything?\I'm an idiot, y'know!\Go away!\Rosalie!\Chris! response:	Let go!
context: All you do is whine.\Give it a break, you emo bitch!\Yeah! How could I know when you never said anything?\I'm an idiot, y'know!\Go away!\Rosalie!\Chris!\Let go! response:	We're falling.
context: Give it a break, you emo bitch!\Yeah! How could I know when you never said anything?\I'm an idiot, y'know!\Go away!\Rosalie!\Chris!\Let go!\We're falling. response:	I don't care.
context: Yeah! How could I know when you never said anything?\I'm an idiot, y'know!\Go away!\Rosalie!\Chris!\Let go!\We're falling.\I don't care. response:	I'll die with you.
context: I'm an idiot, y'know!\Go away!\Rosalie!\Chris!\Let go!\We're falling.\I don't care.\I'll die with you. response:	I can't live without you!
context: Go away!\Rosalie!\Chris!\Let go!\We're falling.\I don't care.\I'll die with you.\I can't live without you! response:	You're lying.
context: Rosalie!\Chris!\Let go!\We're falling.\I don't care.\I'll die with you.\I can't live without you!\You're lying. response:	I love you, Chris.
context: Chris!\Let go!\We're falling.\I don't care.\I'll die with you.\I can't live without you!\You're lying.\I love you, Chris. response:	You abandoned me...
context: Let go!\We're falling.\I don't care.\I'll die with you.\I can't live without you!\You're lying.\I love you, Chris.\You abandoned me... response:	I never abandoned you.
context: We're falling.\I don't care.\I'll die with you.\I can't live without you!\You're lying.\I love you, Chris.\You abandoned me...\I never abandoned you. response:	Dreams fly, El Ragna, hope becomes the key to the door.
context: I don't care.\I'll die with you.\I can't live without you!\You're lying.\I love you, Chris.\You abandoned me...\I never abandoned you.\Dreams fly, El Ragna, hope becomes the key to the door. response:	Believe me, please, Chris.
context: I'll die with you.\I can't live without you!\You're lying.\I love you, Chris.\You abandoned me...\I never abandoned you.\Dreams fly, El Ragna, hope becomes the key to the door.\Believe me, please, Chris. response:	I would never abandon you.
context: I can't live without you!\You're lying.\I love you, Chris.\You abandoned me...\I never abandoned you.\Dreams fly, El Ragna, hope becomes the key to the door.\Believe me, please, Chris.\I would never abandon you. response:	We're the only ones that know your bust size,
context: You're lying.\I love you, Chris.\You abandoned me...\I never abandoned you.\Dreams fly, El Ragna, hope becomes the key to the door.\Believe me, please, Chris.\I would never abandon you.\We're the only ones that know your bust size, response:	where you're sensitive, and where you hide your stash.
context: I love you, Chris.\You abandoned me...\I never abandoned you.\Dreams fly, El Ragna, hope becomes the key to the door.\Believe me, please, Chris.\I would never abandon you.\We're the only ones that know your bust size,\where you're sensitive, and where you hide your stash. response:	To dreams we go, El Ragna, toward the light.
context: You abandoned me...\I never abandoned you.\Dreams fly, El Ragna, hope becomes the key to the door.\Believe me, please, Chris.\I would never abandon you.\We're the only ones that know your bust size,\where you're sensitive, and where you hide your stash.\To dreams we go, El Ragna, toward the light. response:	We're the only ones that know everything!
context: I never abandoned you.\Dreams fly, El Ragna, hope becomes the key to the door.\Believe me, please, Chris.\I would never abandon you.\We're the only ones that know your bust size,\where you're sensitive, and where you hide your stash.\To dreams we go, El Ragna, toward the light.\We're the only ones that know everything! response:	Rosalie.
context: Dreams fly, El Ragna, hope becomes the key to the door.\Believe me, please, Chris.\I would never abandon you.\We're the only ones that know your bust size,\where you're sensitive, and where you hide your stash.\To dreams we go, El Ragna, toward the light.\We're the only ones that know everything!\Rosalie. response:	Trust me again, please.
context: Believe me, please, Chris.\I would never abandon you.\We're the only ones that know your bust size,\where you're sensitive, and where you hide your stash.\To dreams we go, El Ragna, toward the light.\We're the only ones that know everything!\Rosalie.\Trust me again, please. response:	Be my friend, please,
context: I would never abandon you.\We're the only ones that know your bust size,\where you're sensitive, and where you hide your stash.\To dreams we go, El Ragna, toward the light.\We're the only ones that know everything!\Rosalie.\Trust me again, please.\Be my friend, please, response:	Chris.
context: We're the only ones that know your bust size,\where you're sensitive, and where you hide your stash.\To dreams we go, El Ragna, toward the light.\We're the only ones that know everything!\Rosalie.\Trust me again, please.\Be my friend, please,\Chris. response:	Vanishing back into the wing beats of return,
context: where you're sensitive, and where you hide your stash.\To dreams we go, El Ragna, toward the light.\We're the only ones that know everything!\Rosalie.\Trust me again, please.\Be my friend, please,\Chris.\Vanishing back into the wing beats of return, response:	Ah, the true dawn pierces the clouds, reaching towards the peak of the sky.
context: To dreams we go, El Ragna, toward the light.\We're the only ones that know everything!\Rosalie.\Trust me again, please.\Be my friend, please,\Chris.\Vanishing back into the wing beats of return,\Ah, the true dawn pierces the clouds, reaching towards the peak of the sky. response:	I'm sorry.
context: We're the only ones that know everything!\Rosalie.\Trust me again, please.\Be my friend, please,\Chris.\Vanishing back into the wing beats of return,\Ah, the true dawn pierces the clouds, reaching towards the peak of the sky.\I'm sorry. response:	I'm sorry, Chris.
context: Rosalie.\Trust me again, please.\Be my friend, please,\Chris.\Vanishing back into the wing beats of return,\Ah, the true dawn pierces the clouds, reaching towards the peak of the sky.\I'm sorry.\I'm sorry, Chris. response:	I won't forgive you...
context: Trust me again, please.\Be my friend, please,\Chris.\Vanishing back into the wing beats of return,\Ah, the true dawn pierces the clouds, reaching towards the peak of the sky.\I'm sorry.\I'm sorry, Chris.\I won't forgive you... response:	Until you buy me a new barrette.
context: Be my friend, please,\Chris.\Vanishing back into the wing beats of return,\Ah, the true dawn pierces the clouds, reaching towards the peak of the sky.\I'm sorry.\I'm sorry, Chris.\I won't forgive you...\Until you buy me a new barrette. response:	I'll buy you the best one there is.
context: Chris.\Vanishing back into the wing beats of return,\Ah, the true dawn pierces the clouds, reaching towards the peak of the sky.\I'm sorry.\I'm sorry, Chris.\I won't forgive you...\Until you buy me a new barrette.\I'll buy you the best one there is. response:	The withering flower is fleeting.
context: Vanishing back into the wing beats of return,\Ah, the true dawn pierces the clouds, reaching towards the peak of the sky.\I'm sorry.\I'm sorry, Chris.\I won't forgive you...\Until you buy me a new barrette.\I'll buy you the best one there is.\The withering flower is fleeting. response:	Will you stop cheating when we're playing games?
context: Ah, the true dawn pierces the clouds, reaching towards the peak of the sky.\I'm sorry.\I'm sorry, Chris.\I won't forgive you...\Until you buy me a new barrette.\I'll buy you the best one there is.\The withering flower is fleeting.\Will you stop cheating when we're playing games? response:	I will.
context: I'm sorry.\I'm sorry, Chris.\I won't forgive you...\Until you buy me a new barrette.\I'll buy you the best one there is.\The withering flower is fleeting.\Will you stop cheating when we're playing games?\I will. response:	I give myself to love.
context: I'm sorry, Chris.\I won't forgive you...\Until you buy me a new barrette.\I'll buy you the best one there is.\The withering flower is fleeting.\Will you stop cheating when we're playing games?\I will.\I give myself to love. response:	Will you let me have the bath first?
context: I won't forgive you...\Until you buy me a new barrette.\I'll buy you the best one there is.\The withering flower is fleeting.\Will you stop cheating when we're playing games?\I will.\I give myself to love.\Will you let me have the bath first? response:	Yeah.
context: Until you buy me a new barrette.\I'll buy you the best one there is.\The withering flower is fleeting.\Will you stop cheating when we're playing games?\I will.\I give myself to love.\Will you let me have the bath first?\Yeah. response:	Hold up your courage and raise your first voice.
context: I'll buy you the best one there is.\The withering flower is fleeting.\Will you stop cheating when we're playing games?\I will.\I give myself to love.\Will you let me have the bath first?\Yeah.\Hold up your courage and raise your first voice. response:	But I did something I can't take back...
context: The withering flower is fleeting.\Will you stop cheating when we're playing games?\I will.\I give myself to love.\Will you let me have the bath first?\Yeah.\Hold up your courage and raise your first voice.\But I did something I can't take back... response:	Let's buy Marika a grave and remember her forever.
context: Will you stop cheating when we're playing games?\I will.\I give myself to love.\Will you let me have the bath first?\Yeah.\Hold up your courage and raise your first voice.\But I did something I can't take back...\Let's buy Marika a grave and remember her forever. response:	And towards the winds of dawn, dusk and eternity,
context: I will.\I give myself to love.\Will you let me have the bath first?\Yeah.\Hold up your courage and raise your first voice.\But I did something I can't take back...\Let's buy Marika a grave and remember her forever.\And towards the winds of dawn, dusk and eternity, response:	This is stupid.
context: I give myself to love.\Will you let me have the bath first?\Yeah.\Hold up your courage and raise your first voice.\But I did something I can't take back...\Let's buy Marika a grave and remember her forever.\And towards the winds of dawn, dusk and eternity,\This is stupid. response:	It's the end of the world. What the hell are we doing?
context: Will you let me have the bath first?\Yeah.\Hold up your courage and raise your first voice.\But I did something I can't take back...\Let's buy Marika a grave and remember her forever.\And towards the winds of dawn, dusk and eternity,\This is stupid.\It's the end of the world. What the hell are we doing? response:	Making up, right?
context: Yeah.\Hold up your courage and raise your first voice.\But I did something I can't take back...\Let's buy Marika a grave and remember her forever.\And towards the winds of dawn, dusk and eternity,\This is stupid.\It's the end of the world. What the hell are we doing?\Making up, right? response:	Ah, the journey of rebirth lasting thousands of years.
context: Hold up your courage and raise your first voice.\But I did something I can't take back...\Let's buy Marika a grave and remember her forever.\And towards the winds of dawn, dusk and eternity,\This is stupid.\It's the end of the world. What the hell are we doing?\Making up, right?\Ah, the journey of rebirth lasting thousands of years. response:	That was my line!
context: But I did something I can't take back...\Let's buy Marika a grave and remember her forever.\And towards the winds of dawn, dusk and eternity,\This is stupid.\It's the end of the world. What the hell are we doing?\Making up, right?\Ah, the journey of rebirth lasting thousands of years.\That was my line! response:	Seeking hands to join,
context: Let's buy Marika a grave and remember her forever.\And towards the winds of dawn, dusk and eternity,\This is stupid.\It's the end of the world. What the hell are we doing?\Making up, right?\Ah, the journey of rebirth lasting thousands of years.\That was my line!\Seeking hands to join, response:	Wind, blowing from soul to soul,
context: And towards the winds of dawn, dusk and eternity,\This is stupid.\It's the end of the world. What the hell are we doing?\Making up, right?\Ah, the journey of rebirth lasting thousands of years.\That was my line!\Seeking hands to join,\Wind, blowing from soul to soul, response:	Fly to new worlds.
context: This is stupid.\It's the end of the world. What the hell are we doing?\Making up, right?\Ah, the journey of rebirth lasting thousands of years.\That was my line!\Seeking hands to join,\Wind, blowing from soul to soul,\Fly to new worlds. response:	Aura!
context: It's the end of the world. What the hell are we doing?\Making up, right?\Ah, the journey of rebirth lasting thousands of years.\That was my line!\Seeking hands to join,\Wind, blowing from soul to soul,\Fly to new worlds.\Aura! response:	That?
context: Making up, right?\Ah, the journey of rebirth lasting thousands of years.\That was my line!\Seeking hands to join,\Wind, blowing from soul to soul,\Fly to new worlds.\Aura!\That? response:	It's our mother's light.
context: Ah, the journey of rebirth lasting thousands of years.\That was my line!\Seeking hands to join,\Wind, blowing from soul to soul,\Fly to new worlds.\Aura!\That?\It's our mother's light. response:	Aura.
context: That was my line!\Seeking hands to join,\Wind, blowing from soul to soul,\Fly to new worlds.\Aura!\That?\It's our mother's light.\Aura. response:	Ange.
context: Seeking hands to join,\Wind, blowing from soul to soul,\Fly to new worlds.\Aura!\That?\It's our mother's light.\Aura.\Ange. response:	You lose, Embryo.
context: Wind, blowing from soul to soul,\Fly to new worlds.\Aura!\That?\It's our mother's light.\Aura.\Ange.\You lose, Embryo. response:	Alektra.
context: Fly to new worlds.\Aura!\That?\It's our mother's light.\Aura.\Ange.\You lose, Embryo.\Alektra. response:	You're leaving, aren't you?
context: Aura!\That?\It's our mother's light.\Aura.\Ange.\You lose, Embryo.\Alektra.\You're leaving, aren't you? response:	Whether you win or lose, you're ditching this world.
context: That?\It's our mother's light.\Aura.\Ange.\You lose, Embryo.\Alektra.\You're leaving, aren't you?\Whether you win or lose, you're ditching this world. response:	Take me with you.
