context: That bastard! Where the hell did he go? response:	If I go into the alley, I'll only get cornered.
context: Well, yes.\All right, then, can you tell me what kind of person you're looking for?\Oh, but\Don't worry.\It's not like I'm going to tag along.\The point is, you just need the location of this person you're looking for, right?\Don't tell me...\you're a Detection-type Strega? response:	I wouldn't call myself that, but...
context: All right, then, can you tell me what kind of person you're looking for?\Oh, but\Don't worry.\It's not like I'm going to tag along.\The point is, you just need the location of this person you're looking for, right?\Don't tell me...\you're a Detection-type Strega?\I wouldn't call myself that, but... response:	Well, I guess I can accomplish something similar enough.
context: Oh, but\Don't worry.\It's not like I'm going to tag along.\The point is, you just need the location of this person you're looking for, right?\Don't tell me...\you're a Detection-type Strega?\I wouldn't call myself that, but...\Well, I guess I can accomplish something similar enough. response:	Anyway, I need some information to be able to visualize her.
context: Don't worry.\It's not like I'm going to tag along.\The point is, you just need the location of this person you're looking for, right?\Don't tell me...\you're a Detection-type Strega?\I wouldn't call myself that, but...\Well, I guess I can accomplish something similar enough.\Anyway, I need some information to be able to visualize her. response:	All right. I'm looking for a girl who's ten years old.
context: It's not like I'm going to tag along.\The point is, you just need the location of this person you're looking for, right?\Don't tell me...\you're a Detection-type Strega?\I wouldn't call myself that, but...\Well, I guess I can accomplish something similar enough.\Anyway, I need some information to be able to visualize her.\All right. I'm looking for a girl who's ten years old. response:	Her name is Flora.
context: The point is, you just need the location of this person you're looking for, right?\Don't tell me...\you're a Detection-type Strega?\I wouldn't call myself that, but...\Well, I guess I can accomplish something similar enough.\Anyway, I need some information to be able to visualize her.\All right. I'm looking for a girl who's ten years old.\Her name is Flora. response:	She's not lost, is she?
context: Don't tell me...\you're a Detection-type Strega?\I wouldn't call myself that, but...\Well, I guess I can accomplish something similar enough.\Anyway, I need some information to be able to visualize her.\All right. I'm looking for a girl who's ten years old.\Her name is Flora.\She's not lost, is she? response:	No. She's been captured by someone.
context: you're a Detection-type Strega?\I wouldn't call myself that, but...\Well, I guess I can accomplish something similar enough.\Anyway, I need some information to be able to visualize her.\All right. I'm looking for a girl who's ten years old.\Her name is Flora.\She's not lost, is she?\No. She's been captured by someone. response:	The perpetrator is... I can guess, but I'm not sure yet.
context: I wouldn't call myself that, but...\Well, I guess I can accomplish something similar enough.\Anyway, I need some information to be able to visualize her.\All right. I'm looking for a girl who's ten years old.\Her name is Flora.\She's not lost, is she?\No. She's been captured by someone.\The perpetrator is... I can guess, but I'm not sure yet. response:	Okay, I can do without that, I think.
context: Well, I guess I can accomplish something similar enough.\Anyway, I need some information to be able to visualize her.\All right. I'm looking for a girl who's ten years old.\Her name is Flora.\She's not lost, is she?\No. She's been captured by someone.\The perpetrator is... I can guess, but I'm not sure yet.\Okay, I can do without that, I think. response:	So what about this girl's looks and personality?
context: Anyway, I need some information to be able to visualize her.\All right. I'm looking for a girl who's ten years old.\Her name is Flora.\She's not lost, is she?\No. She's been captured by someone.\The perpetrator is... I can guess, but I'm not sure yet.\Okay, I can do without that, I think.\So what about this girl's looks and personality? response:	Um...
context: All right. I'm looking for a girl who's ten years old.\Her name is Flora.\She's not lost, is she?\No. She's been captured by someone.\The perpetrator is... I can guess, but I'm not sure yet.\Okay, I can do without that, I think.\So what about this girl's looks and personality?\Um... response:	NAME NATIONALITY
context: Her name is Flora.\She's not lost, is she?\No. She's been captured by someone.\The perpetrator is... I can guess, but I'm not sure yet.\Okay, I can do without that, I think.\So what about this girl's looks and personality?\Um...\NAME NATIONALITY response:	DATE OF BIRTH: 5/10 AGE GENDER: FEMALE BLOOD TYPE
context: She's not lost, is she?\No. She's been captured by someone.\The perpetrator is... I can guess, but I'm not sure yet.\Okay, I can do without that, I think.\So what about this girl's looks and personality?\Um...\NAME NATIONALITY\DATE OF BIRTH: 5/10 AGE GENDER: FEMALE BLOOD TYPE response:	Let's see.
context: No. She's been captured by someone.\The perpetrator is... I can guess, but I'm not sure yet.\Okay, I can do without that, I think.\So what about this girl's looks and personality?\Um...\NAME NATIONALITY\DATE OF BIRTH: 5/10 AGE GENDER: FEMALE BLOOD TYPE\Let's see. response:	That's fine.
context: The perpetrator is... I can guess, but I'm not sure yet.\Okay, I can do without that, I think.\So what about this girl's looks and personality?\Um...\NAME NATIONALITY\DATE OF BIRTH: 5/10 AGE GENDER: FEMALE BLOOD TYPE\Let's see.\That's fine. response:	I think we're good now.
context: Okay, I can do without that, I think.\So what about this girl's looks and personality?\Um...\NAME NATIONALITY\DATE OF BIRTH: 5/10 AGE GENDER: FEMALE BLOOD TYPE\Let's see.\That's fine.\I think we're good now. response:	But there's just one thing I want you to promise me first. All right?
context: So what about this girl's looks and personality?\Um...\NAME NATIONALITY\DATE OF BIRTH: 5/10 AGE GENDER: FEMALE BLOOD TYPE\Let's see.\That's fine.\I think we're good now.\But there's just one thing I want you to promise me first. All right? response:	Promise you?
context: Um...\NAME NATIONALITY\DATE OF BIRTH: 5/10 AGE GENDER: FEMALE BLOOD TYPE\Let's see.\That's fine.\I think we're good now.\But there's just one thing I want you to promise me first. All right?\Promise you? response:	Don't ever tell anyone about what's about to happen now.
context: NAME NATIONALITY\DATE OF BIRTH: 5/10 AGE GENDER: FEMALE BLOOD TYPE\Let's see.\That's fine.\I think we're good now.\But there's just one thing I want you to promise me first. All right?\Promise you?\Don't ever tell anyone about what's about to happen now. response:	Keep it to yourself.
context: DATE OF BIRTH: 5/10 AGE GENDER: FEMALE BLOOD TYPE\Let's see.\That's fine.\I think we're good now.\But there's just one thing I want you to promise me first. All right?\Promise you?\Don't ever tell anyone about what's about to happen now.\Keep it to yourself. response:	Gotcha. I promise.
context: Let's see.\That's fine.\I think we're good now.\But there's just one thing I want you to promise me first. All right?\Promise you?\Don't ever tell anyone about what's about to happen now.\Keep it to yourself.\Gotcha. I promise. response:	All right, I'm going to get started, so open up a map.
context: That's fine.\I think we're good now.\But there's just one thing I want you to promise me first. All right?\Promise you?\Don't ever tell anyone about what's about to happen now.\Keep it to yourself.\Gotcha. I promise.\All right, I'm going to get started, so open up a map. response:	The bigger the better, probably.
context: I think we're good now.\But there's just one thing I want you to promise me first. All right?\Promise you?\Don't ever tell anyone about what's about to happen now.\Keep it to yourself.\Gotcha. I promise.\All right, I'm going to get started, so open up a map.\The bigger the better, probably. response:	All right. How's this?
context: But there's just one thing I want you to promise me first. All right?\Promise you?\Don't ever tell anyone about what's about to happen now.\Keep it to yourself.\Gotcha. I promise.\All right, I'm going to get started, so open up a map.\The bigger the better, probably.\All right. How's this? response:	You're...
context: Promise you?\Don't ever tell anyone about what's about to happen now.\Keep it to yourself.\Gotcha. I promise.\All right, I'm going to get started, so open up a map.\The bigger the better, probably.\All right. How's this?\You're... response:	Sylvia Lyyneheym!
context: Don't ever tell anyone about what's about to happen now.\Keep it to yourself.\Gotcha. I promise.\All right, I'm going to get started, so open up a map.\The bigger the better, probably.\All right. How's this?\You're...\Sylvia Lyyneheym! response:	Sylvia Lyyneheym...
context: Keep it to yourself.\Gotcha. I promise.\All right, I'm going to get started, so open up a map.\The bigger the better, probably.\All right. How's this?\You're...\Sylvia Lyyneheym!\Sylvia Lyyneheym... response:	Queenvail Girls Academy's Rank 1.
context: Gotcha. I promise.\All right, I'm going to get started, so open up a map.\The bigger the better, probably.\All right. How's this?\You're...\Sylvia Lyyneheym!\Sylvia Lyyneheym...\Queenvail Girls Academy's Rank 1. response:	A Songstress and a Strega...
context: All right, I'm going to get started, so open up a map.\The bigger the better, probably.\All right. How's this?\You're...\Sylvia Lyyneheym!\Sylvia Lyyneheym...\Queenvail Girls Academy's Rank 1.\A Songstress and a Strega... response:	Using song as her medium,
context: The bigger the better, probably.\All right. How's this?\You're...\Sylvia Lyyneheym!\Sylvia Lyyneheym...\Queenvail Girls Academy's Rank 1.\A Songstress and a Strega...\Using song as her medium, response:	she can transform her own image in all kinds of ways.
context: All right. How's this?\You're...\Sylvia Lyyneheym!\Sylvia Lyyneheym...\Queenvail Girls Academy's Rank 1.\A Songstress and a Strega...\Using song as her medium,\she can transform her own image in all kinds of ways. response:	Her power is...
context: You're...\Sylvia Lyyneheym!\Sylvia Lyyneheym...\Queenvail Girls Academy's Rank 1.\A Songstress and a Strega...\Using song as her medium,\she can transform her own image in all kinds of ways.\Her power is... response:	omnipotence.
context: Sylvia Lyyneheym!\Sylvia Lyyneheym...\Queenvail Girls Academy's Rank 1.\A Songstress and a Strega...\Using song as her medium,\she can transform her own image in all kinds of ways.\Her power is...\omnipotence. response:	Hmm, hmm...
context: Sylvia Lyyneheym...\Queenvail Girls Academy's Rank 1.\A Songstress and a Strega...\Using song as her medium,\she can transform her own image in all kinds of ways.\Her power is...\omnipotence.\Hmm, hmm... response:	Looks like it's the northern corner just outside Rotlicht.
context: Queenvail Girls Academy's Rank 1.\A Songstress and a Strega...\Using song as her medium,\she can transform her own image in all kinds of ways.\Her power is...\omnipotence.\Hmm, hmm...\Looks like it's the northern corner just outside Rotlicht. response:	You're saying Flora's there?
context: A Songstress and a Strega...\Using song as her medium,\she can transform her own image in all kinds of ways.\Her power is...\omnipotence.\Hmm, hmm...\Looks like it's the northern corner just outside Rotlicht.\You're saying Flora's there? response:	Yes, if I had more time to narrow it down, I could've given you a better idea.
context: Using song as her medium,\she can transform her own image in all kinds of ways.\Her power is...\omnipotence.\Hmm, hmm...\Looks like it's the northern corner just outside Rotlicht.\You're saying Flora's there?\Yes, if I had more time to narrow it down, I could've given you a better idea. response:	No, no, this is more than enough!
context: she can transform her own image in all kinds of ways.\Her power is...\omnipotence.\Hmm, hmm...\Looks like it's the northern corner just outside Rotlicht.\You're saying Flora's there?\Yes, if I had more time to narrow it down, I could've given you a better idea.\No, no, this is more than enough! response:	Really...
context: Her power is...\omnipotence.\Hmm, hmm...\Looks like it's the northern corner just outside Rotlicht.\You're saying Flora's there?\Yes, if I had more time to narrow it down, I could've given you a better idea.\No, no, this is more than enough!\Really... response:	Thanks!
context: omnipotence.\Hmm, hmm...\Looks like it's the northern corner just outside Rotlicht.\You're saying Flora's there?\Yes, if I had more time to narrow it down, I could've given you a better idea.\No, no, this is more than enough!\Really...\Thanks! response:	I'm happy I was able to help!
context: Hmm, hmm...\Looks like it's the northern corner just outside Rotlicht.\You're saying Flora's there?\Yes, if I had more time to narrow it down, I could've given you a better idea.\No, no, this is more than enough!\Really...\Thanks!\I'm happy I was able to help! response:	All right, I'll be on my way now, or my manager will give me an earful!
context: Looks like it's the northern corner just outside Rotlicht.\You're saying Flora's there?\Yes, if I had more time to narrow it down, I could've given you a better idea.\No, no, this is more than enough!\Really...\Thanks!\I'm happy I was able to help!\All right, I'll be on my way now, or my manager will give me an earful! response:	Hey, hold up a second!
context: You're saying Flora's there?\Yes, if I had more time to narrow it down, I could've given you a better idea.\No, no, this is more than enough!\Really...\Thanks!\I'm happy I was able to help!\All right, I'll be on my way now, or my manager will give me an earful!\Hey, hold up a second! response:	If you don't mind, could you give me your number?
context: Yes, if I had more time to narrow it down, I could've given you a better idea.\No, no, this is more than enough!\Really...\Thanks!\I'm happy I was able to help!\All right, I'll be on my way now, or my manager will give me an earful!\Hey, hold up a second!\If you don't mind, could you give me your number? response:	I like it!
context: No, no, this is more than enough!\Really...\Thanks!\I'm happy I was able to help!\All right, I'll be on my way now, or my manager will give me an earful!\Hey, hold up a second!\If you don't mind, could you give me your number?\I like it! response:	I don't think anyone's hit on me so blatantly in a long time!
context: Really...\Thanks!\I'm happy I was able to help!\All right, I'll be on my way now, or my manager will give me an earful!\Hey, hold up a second!\If you don't mind, could you give me your number?\I like it!\I don't think anyone's hit on me so blatantly in a long time! response:	N-No, I wasn't hitting on you or anything!
context: Thanks!\I'm happy I was able to help!\All right, I'll be on my way now, or my manager will give me an earful!\Hey, hold up a second!\If you don't mind, could you give me your number?\I like it!\I don't think anyone's hit on me so blatantly in a long time!\N-No, I wasn't hitting on you or anything! response:	I wanted to thank you properly, Ms. Lyyneheym.
context: I'm happy I was able to help!\All right, I'll be on my way now, or my manager will give me an earful!\Hey, hold up a second!\If you don't mind, could you give me your number?\I like it!\I don't think anyone's hit on me so blatantly in a long time!\N-No, I wasn't hitting on you or anything!\I wanted to thank you properly, Ms. Lyyneheym. response:	You can call me Sylvie!
context: All right, I'll be on my way now, or my manager will give me an earful!\Hey, hold up a second!\If you don't mind, could you give me your number?\I like it!\I don't think anyone's hit on me so blatantly in a long time!\N-No, I wasn't hitting on you or anything!\I wanted to thank you properly, Ms. Lyyneheym.\You can call me Sylvie! response:	That's my private address,
context: Hey, hold up a second!\If you don't mind, could you give me your number?\I like it!\I don't think anyone's hit on me so blatantly in a long time!\N-No, I wasn't hitting on you or anything!\I wanted to thank you properly, Ms. Lyyneheym.\You can call me Sylvie!\That's my private address, response:	so contact me anytime.
context: If you don't mind, could you give me your number?\I like it!\I don't think anyone's hit on me so blatantly in a long time!\N-No, I wasn't hitting on you or anything!\I wanted to thank you properly, Ms. Lyyneheym.\You can call me Sylvie!\That's my private address,\so contact me anytime. response:	O-Okay.
context: I like it!\I don't think anyone's hit on me so blatantly in a long time!\N-No, I wasn't hitting on you or anything!\I wanted to thank you properly, Ms. Lyyneheym.\You can call me Sylvie!\That's my private address,\so contact me anytime.\O-Okay. response:	To be honest, I've been a little intrigued by you for a while.
context: I don't think anyone's hit on me so blatantly in a long time!\N-No, I wasn't hitting on you or anything!\I wanted to thank you properly, Ms. Lyyneheym.\You can call me Sylvie!\That's my private address,\so contact me anytime.\O-Okay.\To be honest, I've been a little intrigued by you for a while. response:	Talking to you in person today, that intrigue is stronger now.
context: N-No, I wasn't hitting on you or anything!\I wanted to thank you properly, Ms. Lyyneheym.\You can call me Sylvie!\That's my private address,\so contact me anytime.\O-Okay.\To be honest, I've been a little intrigued by you for a while.\Talking to you in person today, that intrigue is stronger now. response:	All right, good luck to you, Ayato.
context: I wanted to thank you properly, Ms. Lyyneheym.\You can call me Sylvie!\That's my private address,\so contact me anytime.\O-Okay.\To be honest, I've been a little intrigued by you for a while.\Talking to you in person today, that intrigue is stronger now.\All right, good luck to you, Ayato. response:	In my own humble way,
context: You can call me Sylvie!\That's my private address,\so contact me anytime.\O-Okay.\To be honest, I've been a little intrigued by you for a while.\Talking to you in person today, that intrigue is stronger now.\All right, good luck to you, Ayato.\In my own humble way, response:	I'll be praying for little Flora's safe return.
context: That's my private address,\so contact me anytime.\O-Okay.\To be honest, I've been a little intrigued by you for a while.\Talking to you in person today, that intrigue is stronger now.\All right, good luck to you, Ayato.\In my own humble way,\I'll be praying for little Flora's safe return. response:	It's great that you got a lead on Flora's whereabouts.
context: so contact me anytime.\O-Okay.\To be honest, I've been a little intrigued by you for a while.\Talking to you in person today, that intrigue is stronger now.\All right, good luck to you, Ayato.\In my own humble way,\I'll be praying for little Flora's safe return.\It's great that you got a lead on Flora's whereabouts. response:	But how did you narrow it down to this spot?
context: O-Okay.\To be honest, I've been a little intrigued by you for a while.\Talking to you in person today, that intrigue is stronger now.\All right, good luck to you, Ayato.\In my own humble way,\I'll be praying for little Flora's safe return.\It's great that you got a lead on Flora's whereabouts.\But how did you narrow it down to this spot? response:	Uh... well, you see...
context: To be honest, I've been a little intrigued by you for a while.\Talking to you in person today, that intrigue is stronger now.\All right, good luck to you, Ayato.\In my own humble way,\I'll be praying for little Flora's safe return.\It's great that you got a lead on Flora's whereabouts.\But how did you narrow it down to this spot?\Uh... well, you see... response:	Sorry, I can't say.
context: Talking to you in person today, that intrigue is stronger now.\All right, good luck to you, Ayato.\In my own humble way,\I'll be praying for little Flora's safe return.\It's great that you got a lead on Flora's whereabouts.\But how did you narrow it down to this spot?\Uh... well, you see...\Sorry, I can't say. response:	Well, whatever.
context: All right, good luck to you, Ayato.\In my own humble way,\I'll be praying for little Flora's safe return.\It's great that you got a lead on Flora's whereabouts.\But how did you narrow it down to this spot?\Uh... well, you see...\Sorry, I can't say.\Well, whatever. response:	All right, let's head over there right now!
context: In my own humble way,\I'll be praying for little Flora's safe return.\It's great that you got a lead on Flora's whereabouts.\But how did you narrow it down to this spot?\Uh... well, you see...\Sorry, I can't say.\Well, whatever.\All right, let's head over there right now! response:	Both you and Ayato should stay away.
context: I'll be praying for little Flora's safe return.\It's great that you got a lead on Flora's whereabouts.\But how did you narrow it down to this spot?\Uh... well, you see...\Sorry, I can't say.\Well, whatever.\All right, let's head over there right now!\Both you and Ayato should stay away. response:	You've got the final.
context: It's great that you got a lead on Flora's whereabouts.\But how did you narrow it down to this spot?\Uh... well, you see...\Sorry, I can't say.\Well, whatever.\All right, let's head over there right now!\Both you and Ayato should stay away.\You've got the final. response:	The final starts at noon.
context: But how did you narrow it down to this spot?\Uh... well, you see...\Sorry, I can't say.\Well, whatever.\All right, let's head over there right now!\Both you and Ayato should stay away.\You've got the final.\The final starts at noon. response:	That gives us some time, doesn't it?
context: Uh... well, you see...\Sorry, I can't say.\Well, whatever.\All right, let's head over there right now!\Both you and Ayato should stay away.\You've got the final.\The final starts at noon.\That gives us some time, doesn't it? response:	No, this time around, Sasamiya's in the right.
context: Sorry, I can't say.\Well, whatever.\All right, let's head over there right now!\Both you and Ayato should stay away.\You've got the final.\The final starts at noon.\That gives us some time, doesn't it?\No, this time around, Sasamiya's in the right. response:	It would be too reckless to go into the final like this.
context: Well, whatever.\All right, let's head over there right now!\Both you and Ayato should stay away.\You've got the final.\The final starts at noon.\That gives us some time, doesn't it?\No, this time around, Sasamiya's in the right.\It would be too reckless to go into the final like this. response:	You should rest as much as you can.
context: All right, let's head over there right now!\Both you and Ayato should stay away.\You've got the final.\The final starts at noon.\That gives us some time, doesn't it?\No, this time around, Sasamiya's in the right.\It would be too reckless to go into the final like this.\You should rest as much as you can. response:	Ayato-senpai, Julis, we'll be fine!
context: Both you and Ayato should stay away.\You've got the final.\The final starts at noon.\That gives us some time, doesn't it?\No, this time around, Sasamiya's in the right.\It would be too reckless to go into the final like this.\You should rest as much as you can.\Ayato-senpai, Julis, we'll be fine! response:	We're going to rescue Flora no matter what!
context: You've got the final.\The final starts at noon.\That gives us some time, doesn't it?\No, this time around, Sasamiya's in the right.\It would be too reckless to go into the final like this.\You should rest as much as you can.\Ayato-senpai, Julis, we'll be fine!\We're going to rescue Flora no matter what! response:	Fine.
context: The final starts at noon.\That gives us some time, doesn't it?\No, this time around, Sasamiya's in the right.\It would be too reckless to go into the final like this.\You should rest as much as you can.\Ayato-senpai, Julis, we'll be fine!\We're going to rescue Flora no matter what!\Fine. response:	Then let's focus all our energy on the final.
context: That gives us some time, doesn't it?\No, this time around, Sasamiya's in the right.\It would be too reckless to go into the final like this.\You should rest as much as you can.\Ayato-senpai, Julis, we'll be fine!\We're going to rescue Flora no matter what!\Fine.\Then let's focus all our energy on the final. response:	Right.
context: No, this time around, Sasamiya's in the right.\It would be too reckless to go into the final like this.\You should rest as much as you can.\Ayato-senpai, Julis, we'll be fine!\We're going to rescue Flora no matter what!\Fine.\Then let's focus all our energy on the final.\Right. response:	We'll go rescue Flora, and you two will avenge us.
context: It would be too reckless to go into the final like this.\You should rest as much as you can.\Ayato-senpai, Julis, we'll be fine!\We're going to rescue Flora no matter what!\Fine.\Then let's focus all our energy on the final.\Right.\We'll go rescue Flora, and you two will avenge us. response:	All's well that ends well.
context: You should rest as much as you can.\Ayato-senpai, Julis, we'll be fine!\We're going to rescue Flora no matter what!\Fine.\Then let's focus all our energy on the final.\Right.\We'll go rescue Flora, and you two will avenge us.\All's well that ends well. response:	They're counting on us, as well, aren't they?
context: Ayato-senpai, Julis, we'll be fine!\We're going to rescue Flora no matter what!\Fine.\Then let's focus all our energy on the final.\Right.\We'll go rescue Flora, and you two will avenge us.\All's well that ends well.\They're counting on us, as well, aren't they? response:	Though it's a bit too much.
context: We're going to rescue Flora no matter what!\Fine.\Then let's focus all our energy on the final.\Right.\We'll go rescue Flora, and you two will avenge us.\All's well that ends well.\They're counting on us, as well, aren't they?\Though it's a bit too much. response:	No problem.
context: Fine.\Then let's focus all our energy on the final.\Right.\We'll go rescue Flora, and you two will avenge us.\All's well that ends well.\They're counting on us, as well, aren't they?\Though it's a bit too much.\No problem. response:	If we can rescue Flora, you'll be able to use the Ser=Versta.
context: Then let's focus all our energy on the final.\Right.\We'll go rescue Flora, and you two will avenge us.\All's well that ends well.\They're counting on us, as well, aren't they?\Though it's a bit too much.\No problem.\If we can rescue Flora, you'll be able to use the Ser=Versta. response:	Well, as long as you get it done in time, that is.
context: Right.\We'll go rescue Flora, and you two will avenge us.\All's well that ends well.\They're counting on us, as well, aren't they?\Though it's a bit too much.\No problem.\If we can rescue Flora, you'll be able to use the Ser=Versta.\Well, as long as you get it done in time, that is. response:	Do you have to be such a buzzkill, Yabuki?
context: We'll go rescue Flora, and you two will avenge us.\All's well that ends well.\They're counting on us, as well, aren't they?\Though it's a bit too much.\No problem.\If we can rescue Flora, you'll be able to use the Ser=Versta.\Well, as long as you get it done in time, that is.\Do you have to be such a buzzkill, Yabuki? response:	- Just sayin', just sayin'... - I'm gonna kick your butt.
context: All's well that ends well.\They're counting on us, as well, aren't they?\Though it's a bit too much.\No problem.\If we can rescue Flora, you'll be able to use the Ser=Versta.\Well, as long as you get it done in time, that is.\Do you have to be such a buzzkill, Yabuki?\- Just sayin', just sayin'... - I'm gonna kick your butt. response:	Number 7, what's the situation?
context: They're counting on us, as well, aren't they?\Though it's a bit too much.\No problem.\If we can rescue Flora, you'll be able to use the Ser=Versta.\Well, as long as you get it done in time, that is.\Do you have to be such a buzzkill, Yabuki?\- Just sayin', just sayin'... - I'm gonna kick your butt.\Number 7, what's the situation? response:	All clear.
context: Though it's a bit too much.\No problem.\If we can rescue Flora, you'll be able to use the Ser=Versta.\Well, as long as you get it done in time, that is.\Do you have to be such a buzzkill, Yabuki?\- Just sayin', just sayin'... - I'm gonna kick your butt.\Number 7, what's the situation?\All clear. response:	And your side?
context: No problem.\If we can rescue Flora, you'll be able to use the Ser=Versta.\Well, as long as you get it done in time, that is.\Do you have to be such a buzzkill, Yabuki?\- Just sayin', just sayin'... - I'm gonna kick your butt.\Number 7, what's the situation?\All clear.\And your side? response:	Compliant, at least outwardly.
context: If we can rescue Flora, you'll be able to use the Ser=Versta.\Well, as long as you get it done in time, that is.\Do you have to be such a buzzkill, Yabuki?\- Just sayin', just sayin'... - I'm gonna kick your butt.\Number 7, what's the situation?\All clear.\And your side?\Compliant, at least outwardly. response:	Shadow Star doesn't seem to be on the move, either.
context: Well, as long as you get it done in time, that is.\Do you have to be such a buzzkill, Yabuki?\- Just sayin', just sayin'... - I'm gonna kick your butt.\Number 7, what's the situation?\All clear.\And your side?\Compliant, at least outwardly.\Shadow Star doesn't seem to be on the move, either. response:	But,
context: Do you have to be such a buzzkill, Yabuki?\- Just sayin', just sayin'... - I'm gonna kick your butt.\Number 7, what's the situation?\All clear.\And your side?\Compliant, at least outwardly.\Shadow Star doesn't seem to be on the move, either.\But, response:	there was a totally suspicious-looking punk digging around the joint.
context: - Just sayin', just sayin'... - I'm gonna kick your butt.\Number 7, what's the situation?\All clear.\And your side?\Compliant, at least outwardly.\Shadow Star doesn't seem to be on the move, either.\But,\there was a totally suspicious-looking punk digging around the joint. response:	Well, as you know, the people who run the Rotlicht all hate my guts.
context: Number 7, what's the situation?\All clear.\And your side?\Compliant, at least outwardly.\Shadow Star doesn't seem to be on the move, either.\But,\there was a totally suspicious-looking punk digging around the joint.\Well, as you know, the people who run the Rotlicht all hate my guts. response:	So I'm not sure how solid that intel is.
context: All clear.\And your side?\Compliant, at least outwardly.\Shadow Star doesn't seem to be on the move, either.\But,\there was a totally suspicious-looking punk digging around the joint.\Well, as you know, the people who run the Rotlicht all hate my guts.\So I'm not sure how solid that intel is. response:	What if someone crashes the party?
context: And your side?\Compliant, at least outwardly.\Shadow Star doesn't seem to be on the move, either.\But,\there was a totally suspicious-looking punk digging around the joint.\Well, as you know, the people who run the Rotlicht all hate my guts.\So I'm not sure how solid that intel is.\What if someone crashes the party? response:	Play the hostage card.
context: Compliant, at least outwardly.\Shadow Star doesn't seem to be on the move, either.\But,\there was a totally suspicious-looking punk digging around the joint.\Well, as you know, the people who run the Rotlicht all hate my guts.\So I'm not sure how solid that intel is.\What if someone crashes the party?\Play the hostage card. response:	I don't give a damn if it's an expendable one.
context: Shadow Star doesn't seem to be on the move, either.\But,\there was a totally suspicious-looking punk digging around the joint.\Well, as you know, the people who run the Rotlicht all hate my guts.\So I'm not sure how solid that intel is.\What if someone crashes the party?\Play the hostage card.\I don't give a damn if it's an expendable one. response:	Understood.
context: But,\there was a totally suspicious-looking punk digging around the joint.\Well, as you know, the people who run the Rotlicht all hate my guts.\So I'm not sure how solid that intel is.\What if someone crashes the party?\Play the hostage card.\I don't give a damn if it's an expendable one.\Understood. response:	What's wrong?
context: there was a totally suspicious-looking punk digging around the joint.\Well, as you know, the people who run the Rotlicht all hate my guts.\So I'm not sure how solid that intel is.\What if someone crashes the party?\Play the hostage card.\I don't give a damn if it's an expendable one.\Understood.\What's wrong? response:	Apparently the party-crashers have just arrived.
context: Well, as you know, the people who run the Rotlicht all hate my guts.\So I'm not sure how solid that intel is.\What if someone crashes the party?\Play the hostage card.\I don't give a damn if it's an expendable one.\Understood.\What's wrong?\Apparently the party-crashers have just arrived. response:	This building used to be a fairly well-known casino,
context: So I'm not sure how solid that intel is.\What if someone crashes the party?\Play the hostage card.\I don't give a damn if it's an expendable one.\Understood.\What's wrong?\Apparently the party-crashers have just arrived.\This building used to be a fairly well-known casino, response:	but recently one of its customers went berserk
context: What if someone crashes the party?\Play the hostage card.\I don't give a damn if it's an expendable one.\Understood.\What's wrong?\Apparently the party-crashers have just arrived.\This building used to be a fairly well-known casino,\but recently one of its customers went berserk response:	and totally trashed the place, I hear.
context: Play the hostage card.\I don't give a damn if it's an expendable one.\Understood.\What's wrong?\Apparently the party-crashers have just arrived.\This building used to be a fairly well-known casino,\but recently one of its customers went berserk\and totally trashed the place, I hear. response:	Th-That sounds scary.
context: I don't give a damn if it's an expendable one.\Understood.\What's wrong?\Apparently the party-crashers have just arrived.\This building used to be a fairly well-known casino,\but recently one of its customers went berserk\and totally trashed the place, I hear.\Th-That sounds scary. response:	Well, it's not uncommon, you know.
context: Understood.\What's wrong?\Apparently the party-crashers have just arrived.\This building used to be a fairly well-known casino,\but recently one of its customers went berserk\and totally trashed the place, I hear.\Th-That sounds scary.\Well, it's not uncommon, you know. response:	But I hear they've stopped construction for the last few days.
context: What's wrong?\Apparently the party-crashers have just arrived.\This building used to be a fairly well-known casino,\but recently one of its customers went berserk\and totally trashed the place, I hear.\Th-That sounds scary.\Well, it's not uncommon, you know.\But I hear they've stopped construction for the last few days. response:	Stopped it?
context: Apparently the party-crashers have just arrived.\This building used to be a fairly well-known casino,\but recently one of its customers went berserk\and totally trashed the place, I hear.\Th-That sounds scary.\Well, it's not uncommon, you know.\But I hear they've stopped construction for the last few days.\Stopped it? response:	Th-Then it's like a vacant house right now?
context: This building used to be a fairly well-known casino,\but recently one of its customers went berserk\and totally trashed the place, I hear.\Th-That sounds scary.\Well, it's not uncommon, you know.\But I hear they've stopped construction for the last few days.\Stopped it?\Th-Then it's like a vacant house right now? response:	Pretty sketchy, huh?
context: but recently one of its customers went berserk\and totally trashed the place, I hear.\Th-That sounds scary.\Well, it's not uncommon, you know.\But I hear they've stopped construction for the last few days.\Stopped it?\Th-Then it's like a vacant house right now?\Pretty sketchy, huh? response:	All right, why don't we go inside and check it out?
context: and totally trashed the place, I hear.\Th-That sounds scary.\Well, it's not uncommon, you know.\But I hear they've stopped construction for the last few days.\Stopped it?\Th-Then it's like a vacant house right now?\Pretty sketchy, huh?\All right, why don't we go inside and check it out? response:	B-But how are we gonna do that?
