context: Sleigh Beggy. response:	Dear child, with the name of a neighbor of long ago.
context: I'll believe in you.\You're my apprentice, after all.\Say, Chise,\how does one feel when they care for another?\How can you tell?\Well...\As I've said before, I can't empathize.\So even if I wanted to say to you what you said to me, I would be lying. response:	I was terribly cold when you were gone.
context: You're my apprentice, after all.\Say, Chise,\how does one feel when they care for another?\How can you tell?\Well...\As I've said before, I can't empathize.\So even if I wanted to say to you what you said to me, I would be lying.\I was terribly cold when you were gone. response:	What would you call that, in your words?
context: Say, Chise,\how does one feel when they care for another?\How can you tell?\Well...\As I've said before, I can't empathize.\So even if I wanted to say to you what you said to me, I would be lying.\I was terribly cold when you were gone.\What would you call that, in your words? response:	Loneliness, maybe?
context: how does one feel when they care for another?\How can you tell?\Well...\As I've said before, I can't empathize.\So even if I wanted to say to you what you said to me, I would be lying.\I was terribly cold when you were gone.\What would you call that, in your words?\Loneliness, maybe? response:	I see.
context: How can you tell?\Well...\As I've said before, I can't empathize.\So even if I wanted to say to you what you said to me, I would be lying.\I was terribly cold when you were gone.\What would you call that, in your words?\Loneliness, maybe?\I see. response:	I was lonely.
context: Well...\As I've said before, I can't empathize.\So even if I wanted to say to you what you said to me, I would be lying.\I was terribly cold when you were gone.\What would you call that, in your words?\Loneliness, maybe?\I see.\I was lonely. response:	He really is just a child.
context: As I've said before, I can't empathize.\So even if I wanted to say to you what you said to me, I would be lying.\I was terribly cold when you were gone.\What would you call that, in your words?\Loneliness, maybe?\I see.\I was lonely.\He really is just a child. response:	A child that ended up in an adult's body.
context: So even if I wanted to say to you what you said to me, I would be lying.\I was terribly cold when you were gone.\What would you call that, in your words?\Loneliness, maybe?\I see.\I was lonely.\He really is just a child.\A child that ended up in an adult's body. response:	I'm glad I bought you.
context: I was terribly cold when you were gone.\What would you call that, in your words?\Loneliness, maybe?\I see.\I was lonely.\He really is just a child.\A child that ended up in an adult's body.\I'm glad I bought you. response:	Now I understand something new.
context: What would you call that, in your words?\Loneliness, maybe?\I see.\I was lonely.\He really is just a child.\A child that ended up in an adult's body.\I'm glad I bought you.\Now I understand something new. response:	Then I guess I'm your teacher when it comes to human things.
context: Loneliness, maybe?\I see.\I was lonely.\He really is just a child.\A child that ended up in an adult's body.\I'm glad I bought you.\Now I understand something new.\Then I guess I'm your teacher when it comes to human things. response:	That sounds good.
context: I see.\I was lonely.\He really is just a child.\A child that ended up in an adult's body.\I'm glad I bought you.\Now I understand something new.\Then I guess I'm your teacher when it comes to human things.\That sounds good. response:	I look forward to learning from you,
context: I was lonely.\He really is just a child.\A child that ended up in an adult's body.\I'm glad I bought you.\Now I understand something new.\Then I guess I'm your teacher when it comes to human things.\That sounds good.\I look forward to learning from you, response:	teacher of human things.
context: He really is just a child.\A child that ended up in an adult's body.\I'm glad I bought you.\Now I understand something new.\Then I guess I'm your teacher when it comes to human things.\That sounds good.\I look forward to learning from you,\teacher of human things. response:	Likewise, teacher of magic.
context: A child that ended up in an adult's body.\I'm glad I bought you.\Now I understand something new.\Then I guess I'm your teacher when it comes to human things.\That sounds good.\I look forward to learning from you,\teacher of human things.\Likewise, teacher of magic. response:	Speaking of which, I hadn't gotten a good look at your wand.
context: I'm glad I bought you.\Now I understand something new.\Then I guess I'm your teacher when it comes to human things.\That sounds good.\I look forward to learning from you,\teacher of human things.\Likewise, teacher of magic.\Speaking of which, I hadn't gotten a good look at your wand. response:	Can you show it to me?
context: Now I understand something new.\Then I guess I'm your teacher when it comes to human things.\That sounds good.\I look forward to learning from you,\teacher of human things.\Likewise, teacher of magic.\Speaking of which, I hadn't gotten a good look at your wand.\Can you show it to me? response:	Here.
context: Then I guess I'm your teacher when it comes to human things.\That sounds good.\I look forward to learning from you,\teacher of human things.\Likewise, teacher of magic.\Speaking of which, I hadn't gotten a good look at your wand.\Can you show it to me?\Here. response:	It's the same color as your hair.
context: That sounds good.\I look forward to learning from you,\teacher of human things.\Likewise, teacher of magic.\Speaking of which, I hadn't gotten a good look at your wand.\Can you show it to me?\Here.\It's the same color as your hair. response:	Though I was planning on finishing it.
context: I look forward to learning from you,\teacher of human things.\Likewise, teacher of magic.\Speaking of which, I hadn't gotten a good look at your wand.\Can you show it to me?\Here.\It's the same color as your hair.\Though I was planning on finishing it. response:	Is someone else supposed to do the finishing?
context: teacher of human things.\Likewise, teacher of magic.\Speaking of which, I hadn't gotten a good look at your wand.\Can you show it to me?\Here.\It's the same color as your hair.\Though I was planning on finishing it.\Is someone else supposed to do the finishing? response:	We also use our wands to help us along on our long journey.
context: Likewise, teacher of magic.\Speaking of which, I hadn't gotten a good look at your wand.\Can you show it to me?\Here.\It's the same color as your hair.\Though I was planning on finishing it.\Is someone else supposed to do the finishing?\We also use our wands to help us along on our long journey. response:	The seniors bless the wands of the youth so that they can continue their journey.
context: Speaking of which, I hadn't gotten a good look at your wand.\Can you show it to me?\Here.\It's the same color as your hair.\Though I was planning on finishing it.\Is someone else supposed to do the finishing?\We also use our wands to help us along on our long journey.\The seniors bless the wands of the youth so that they can continue their journey. response:	Then if there ever comes a time to make a second one, I'll ask you.
context: Can you show it to me?\Here.\It's the same color as your hair.\Though I was planning on finishing it.\Is someone else supposed to do the finishing?\We also use our wands to help us along on our long journey.\The seniors bless the wands of the youth so that they can continue their journey.\Then if there ever comes a time to make a second one, I'll ask you. response:	I won't be in a hurry.
context: Here.\It's the same color as your hair.\Though I was planning on finishing it.\Is someone else supposed to do the finishing?\We also use our wands to help us along on our long journey.\The seniors bless the wands of the youth so that they can continue their journey.\Then if there ever comes a time to make a second one, I'll ask you.\I won't be in a hurry. response:	What are you doing this afternoon?
context: It's the same color as your hair.\Though I was planning on finishing it.\Is someone else supposed to do the finishing?\We also use our wands to help us along on our long journey.\The seniors bless the wands of the youth so that they can continue their journey.\Then if there ever comes a time to make a second one, I'll ask you.\I won't be in a hurry.\What are you doing this afternoon? response:	Let's see...
context: Though I was planning on finishing it.\Is someone else supposed to do the finishing?\We also use our wands to help us along on our long journey.\The seniors bless the wands of the youth so that they can continue their journey.\Then if there ever comes a time to make a second one, I'll ask you.\I won't be in a hurry.\What are you doing this afternoon?\Let's see... response:	I think I'll study magic.
context: Is someone else supposed to do the finishing?\We also use our wands to help us along on our long journey.\The seniors bless the wands of the youth so that they can continue their journey.\Then if there ever comes a time to make a second one, I'll ask you.\I won't be in a hurry.\What are you doing this afternoon?\Let's see...\I think I'll study magic. response:	Okay.
context: We also use our wands to help us along on our long journey.\The seniors bless the wands of the youth so that they can continue their journey.\Then if there ever comes a time to make a second one, I'll ask you.\I won't be in a hurry.\What are you doing this afternoon?\Let's see...\I think I'll study magic.\Okay. response:	He still won't talk to me about himself.
context: The seniors bless the wands of the youth so that they can continue their journey.\Then if there ever comes a time to make a second one, I'll ask you.\I won't be in a hurry.\What are you doing this afternoon?\Let's see...\I think I'll study magic.\Okay.\He still won't talk to me about himself. response:	Was there anything new while I was gone?
context: Then if there ever comes a time to make a second one, I'll ask you.\I won't be in a hurry.\What are you doing this afternoon?\Let's see...\I think I'll study magic.\Okay.\He still won't talk to me about himself.\Was there anything new while I was gone? response:	Not really. Maybe a few birds that came to play.
context: I won't be in a hurry.\What are you doing this afternoon?\Let's see...\I think I'll study magic.\Okay.\He still won't talk to me about himself.\Was there anything new while I was gone?\Not really. Maybe a few birds that came to play. response:	Migratory birds or something?
context: What are you doing this afternoon?\Let's see...\I think I'll study magic.\Okay.\He still won't talk to me about himself.\Was there anything new while I was gone?\Not really. Maybe a few birds that came to play.\Migratory birds or something? response:	I would have liked to see that.
context: Let's see...\I think I'll study magic.\Okay.\He still won't talk to me about himself.\Was there anything new while I was gone?\Not really. Maybe a few birds that came to play.\Migratory birds or something?\I would have liked to see that. response:	This is from back then.
context: I think I'll study magic.\Okay.\He still won't talk to me about himself.\Was there anything new while I was gone?\Not really. Maybe a few birds that came to play.\Migratory birds or something?\I would have liked to see that.\This is from back then. response:	Hm?
context: Okay.\He still won't talk to me about himself.\Was there anything new while I was gone?\Not really. Maybe a few birds that came to play.\Migratory birds or something?\I would have liked to see that.\This is from back then.\Hm? response:	No, it's nothing.
context: He still won't talk to me about himself.\Was there anything new while I was gone?\Not really. Maybe a few birds that came to play.\Migratory birds or something?\I would have liked to see that.\This is from back then.\Hm?\No, it's nothing. response:	I should get to studying first.
context: Was there anything new while I was gone?\Not really. Maybe a few birds that came to play.\Migratory birds or something?\I would have liked to see that.\This is from back then.\Hm?\No, it's nothing.\I should get to studying first. response:	Coming.
context: Not really. Maybe a few birds that came to play.\Migratory birds or something?\I would have liked to see that.\This is from back then.\Hm?\No, it's nothing.\I should get to studying first.\Coming. response:	Hey.
context: Migratory birds or something?\I would have liked to see that.\This is from back then.\Hm?\No, it's nothing.\I should get to studying first.\Coming.\Hey. response:	Can I have the usual medicine?
context: I would have liked to see that.\This is from back then.\Hm?\No, it's nothing.\I should get to studying first.\Coming.\Hey.\Can I have the usual medicine? response:	Simon-san.
context: This is from back then.\Hm?\No, it's nothing.\I should get to studying first.\Coming.\Hey.\Can I have the usual medicine?\Simon-san. response:	Right away.
context: Hm?\No, it's nothing.\I should get to studying first.\Coming.\Hey.\Can I have the usual medicine?\Simon-san.\Right away. response:	It's elderberry syrup.
context: No, it's nothing.\I should get to studying first.\Coming.\Hey.\Can I have the usual medicine?\Simon-san.\Right away.\It's elderberry syrup. response:	Wow.
context: I should get to studying first.\Coming.\Hey.\Can I have the usual medicine?\Simon-san.\Right away.\It's elderberry syrup.\Wow. response:	It's good for your throat.
context: Coming.\Hey.\Can I have the usual medicine?\Simon-san.\Right away.\It's elderberry syrup.\Wow.\It's good for your throat. response:	Thanks.
context: Hey.\Can I have the usual medicine?\Simon-san.\Right away.\It's elderberry syrup.\Wow.\It's good for your throat.\Thanks. response:	I just remembered, this is the first thing Ainsworth gave me, too.
context: Can I have the usual medicine?\Simon-san.\Right away.\It's elderberry syrup.\Wow.\It's good for your throat.\Thanks.\I just remembered, this is the first thing Ainsworth gave me, too. response:	Elias did?
context: Simon-san.\Right away.\It's elderberry syrup.\Wow.\It's good for your throat.\Thanks.\I just remembered, this is the first thing Ainsworth gave me, too.\Elias did? response:	I'm technically his supervisor, after all.
context: Right away.\It's elderberry syrup.\Wow.\It's good for your throat.\Thanks.\I just remembered, this is the first thing Ainsworth gave me, too.\Elias did?\I'm technically his supervisor, after all. response:	I even used to act the part.
context: It's elderberry syrup.\Wow.\It's good for your throat.\Thanks.\I just remembered, this is the first thing Ainsworth gave me, too.\Elias did?\I'm technically his supervisor, after all.\I even used to act the part. response:	But you know, with this thing being the way it is...
context: Wow.\It's good for your throat.\Thanks.\I just remembered, this is the first thing Ainsworth gave me, too.\Elias did?\I'm technically his supervisor, after all.\I even used to act the part.\But you know, with this thing being the way it is... response:	Shut up.
context: It's good for your throat.\Thanks.\I just remembered, this is the first thing Ainsworth gave me, too.\Elias did?\I'm technically his supervisor, after all.\I even used to act the part.\But you know, with this thing being the way it is...\Shut up. response:	He's kind, isn't he?
context: Thanks.\I just remembered, this is the first thing Ainsworth gave me, too.\Elias did?\I'm technically his supervisor, after all.\I even used to act the part.\But you know, with this thing being the way it is...\Shut up.\He's kind, isn't he? response:	Yup, delicious.
context: I just remembered, this is the first thing Ainsworth gave me, too.\Elias did?\I'm technically his supervisor, after all.\I even used to act the part.\But you know, with this thing being the way it is...\Shut up.\He's kind, isn't he?\Yup, delicious. response:	It tastes the same.
context: Elias did?\I'm technically his supervisor, after all.\I even used to act the part.\But you know, with this thing being the way it is...\Shut up.\He's kind, isn't he?\Yup, delicious.\It tastes the same. response:	A guest? This late?
context: I'm technically his supervisor, after all.\I even used to act the part.\But you know, with this thing being the way it is...\Shut up.\He's kind, isn't he?\Yup, delicious.\It tastes the same.\A guest? This late? response:	Coming.
context: I even used to act the part.\But you know, with this thing being the way it is...\Shut up.\He's kind, isn't he?\Yup, delicious.\It tastes the same.\A guest? This late?\Coming. response:	Sorry to keep you waiting.
context: But you know, with this thing being the way it is...\Shut up.\He's kind, isn't he?\Yup, delicious.\It tastes the same.\A guest? This late?\Coming.\Sorry to keep you waiting. response:	Is the master of the house available?
context: Shut up.\He's kind, isn't he?\Yup, delicious.\It tastes the same.\A guest? This late?\Coming.\Sorry to keep you waiting.\Is the master of the house available? response:	Ashen Eye.
context: He's kind, isn't he?\Yup, delicious.\It tastes the same.\A guest? This late?\Coming.\Sorry to keep you waiting.\Is the master of the house available?\Ashen Eye. response:	I'd heard a rumor that a new mage was born.
context: Yup, delicious.\It tastes the same.\A guest? This late?\Coming.\Sorry to keep you waiting.\Is the master of the house available?\Ashen Eye.\I'd heard a rumor that a new mage was born. response:	I came to celebrate.
context: It tastes the same.\A guest? This late?\Coming.\Sorry to keep you waiting.\Is the master of the house available?\Ashen Eye.\I'd heard a rumor that a new mage was born.\I came to celebrate. response:	This man's been alive for millennia.
context: A guest? This late?\Coming.\Sorry to keep you waiting.\Is the master of the house available?\Ashen Eye.\I'd heard a rumor that a new mage was born.\I came to celebrate.\This man's been alive for millennia. response:	He comes occasionally to chat.
context: Coming.\Sorry to keep you waiting.\Is the master of the house available?\Ashen Eye.\I'd heard a rumor that a new mage was born.\I came to celebrate.\This man's been alive for millennia.\He comes occasionally to chat. response:	Be careful. He isn't human.
context: Sorry to keep you waiting.\Is the master of the house available?\Ashen Eye.\I'd heard a rumor that a new mage was born.\I came to celebrate.\This man's been alive for millennia.\He comes occasionally to chat.\Be careful. He isn't human. response:	You have no reason to be fearful of me.
context: Is the master of the house available?\Ashen Eye.\I'd heard a rumor that a new mage was born.\I came to celebrate.\This man's been alive for millennia.\He comes occasionally to chat.\Be careful. He isn't human.\You have no reason to be fearful of me. response:	I don't intend to harm you one bit.
context: Ashen Eye.\I'd heard a rumor that a new mage was born.\I came to celebrate.\This man's been alive for millennia.\He comes occasionally to chat.\Be careful. He isn't human.\You have no reason to be fearful of me.\I don't intend to harm you one bit. response:	You carry the blood of the Far East.
context: I'd heard a rumor that a new mage was born.\I came to celebrate.\This man's been alive for millennia.\He comes occasionally to chat.\Be careful. He isn't human.\You have no reason to be fearful of me.\I don't intend to harm you one bit.\You carry the blood of the Far East. response:	He smells of sand.
context: I came to celebrate.\This man's been alive for millennia.\He comes occasionally to chat.\Be careful. He isn't human.\You have no reason to be fearful of me.\I don't intend to harm you one bit.\You carry the blood of the Far East.\He smells of sand. response:	But this hair, those eyes...
context: This man's been alive for millennia.\He comes occasionally to chat.\Be careful. He isn't human.\You have no reason to be fearful of me.\I don't intend to harm you one bit.\You carry the blood of the Far East.\He smells of sand.\But this hair, those eyes... response:	Yours aren't quite the same as those of the inhabitants of that island nation.
context: He comes occasionally to chat.\Be careful. He isn't human.\You have no reason to be fearful of me.\I don't intend to harm you one bit.\You carry the blood of the Far East.\He smells of sand.\But this hair, those eyes...\Yours aren't quite the same as those of the inhabitants of that island nation. response:	I believe your lineage may also carry a tinge of blood from the western continent.
context: Be careful. He isn't human.\You have no reason to be fearful of me.\I don't intend to harm you one bit.\You carry the blood of the Far East.\He smells of sand.\But this hair, those eyes...\Yours aren't quite the same as those of the inhabitants of that island nation.\I believe your lineage may also carry a tinge of blood from the western continent. response:	Sorry, I don't know much about my family.
context: You have no reason to be fearful of me.\I don't intend to harm you one bit.\You carry the blood of the Far East.\He smells of sand.\But this hair, those eyes...\Yours aren't quite the same as those of the inhabitants of that island nation.\I believe your lineage may also carry a tinge of blood from the western continent.\Sorry, I don't know much about my family. response:	That's fine.
context: I don't intend to harm you one bit.\You carry the blood of the Far East.\He smells of sand.\But this hair, those eyes...\Yours aren't quite the same as those of the inhabitants of that island nation.\I believe your lineage may also carry a tinge of blood from the western continent.\Sorry, I don't know much about my family.\That's fine. response:	Bonds of blood are insignificant in living as an individual.
context: You carry the blood of the Far East.\He smells of sand.\But this hair, those eyes...\Yours aren't quite the same as those of the inhabitants of that island nation.\I believe your lineage may also carry a tinge of blood from the western continent.\Sorry, I don't know much about my family.\That's fine.\Bonds of blood are insignificant in living as an individual. response:	Humans overthink everything.
context: He smells of sand.\But this hair, those eyes...\Yours aren't quite the same as those of the inhabitants of that island nation.\I believe your lineage may also carry a tinge of blood from the western continent.\Sorry, I don't know much about my family.\That's fine.\Bonds of blood are insignificant in living as an individual.\Humans overthink everything. response:	You ought to drown yourselves in your true nature.
context: But this hair, those eyes...\Yours aren't quite the same as those of the inhabitants of that island nation.\I believe your lineage may also carry a tinge of blood from the western continent.\Sorry, I don't know much about my family.\That's fine.\Bonds of blood are insignificant in living as an individual.\Humans overthink everything.\You ought to drown yourselves in your true nature. response:	Now...
context: Yours aren't quite the same as those of the inhabitants of that island nation.\I believe your lineage may also carry a tinge of blood from the western continent.\Sorry, I don't know much about my family.\That's fine.\Bonds of blood are insignificant in living as an individual.\Humans overthink everything.\You ought to drown yourselves in your true nature.\Now... response:	A gift for the youngest born of those who capture and bind my people!
context: I believe your lineage may also carry a tinge of blood from the western continent.\Sorry, I don't know much about my family.\That's fine.\Bonds of blood are insignificant in living as an individual.\Humans overthink everything.\You ought to drown yourselves in your true nature.\Now...\A gift for the youngest born of those who capture and bind my people! response:	Ashen Eye!
context: Sorry, I don't know much about my family.\That's fine.\Bonds of blood are insignificant in living as an individual.\Humans overthink everything.\You ought to drown yourselves in your true nature.\Now...\A gift for the youngest born of those who capture and bind my people!\Ashen Eye! response:	Chise...
context: That's fine.\Bonds of blood are insignificant in living as an individual.\Humans overthink everything.\You ought to drown yourselves in your true nature.\Now...\A gift for the youngest born of those who capture and bind my people!\Ashen Eye!\Chise... response:	Guided by instinct, are we brought to a rift between humans and non-humans,
context: Bonds of blood are insignificant in living as an individual.\Humans overthink everything.\You ought to drown yourselves in your true nature.\Now...\A gift for the youngest born of those who capture and bind my people!\Ashen Eye!\Chise...\Guided by instinct, are we brought to a rift between humans and non-humans, response:	one which we can never overcome?
context: Humans overthink everything.\You ought to drown yourselves in your true nature.\Now...\A gift for the youngest born of those who capture and bind my people!\Ashen Eye!\Chise...\Guided by instinct, are we brought to a rift between humans and non-humans,\one which we can never overcome? response:	Humans are so foolish.
context: You ought to drown yourselves in your true nature.\Now...\A gift for the youngest born of those who capture and bind my people!\Ashen Eye!\Chise...\Guided by instinct, are we brought to a rift between humans and non-humans,\one which we can never overcome?\Humans are so foolish. response:	And selfish, too.
