context: I'm going to run in the Hakone Ekiden. response:	Starting today, I'm going to win over all the guys.
context: Um, Haiji. This is the library.\Keep it down.\Shindo, how about where you're from?\Your hometown.\It's pretty mountainous, right?\What's more treacherous? That or Hakone?\I've never compared them...\You haven't been home recently, right? response:	You ever call home?
context: Keep it down.\Shindo, how about where you're from?\Your hometown.\It's pretty mountainous, right?\What's more treacherous? That or Hakone?\I've never compared them...\You haven't been home recently, right?\You ever call home? response:	Haiji, keep it down.
context: Shindo, how about where you're from?\Your hometown.\It's pretty mountainous, right?\What's more treacherous? That or Hakone?\I've never compared them...\You haven't been home recently, right?\You ever call home?\Haiji, keep it down. response:	I'm sure your family would be delighted if they saw
context: Your hometown.\It's pretty mountainous, right?\What's more treacherous? That or Hakone?\I've never compared them...\You haven't been home recently, right?\You ever call home?\Haiji, keep it down.\I'm sure your family would be delighted if they saw response:	the son they rarely see energetically running on TV.
context: It's pretty mountainous, right?\What's more treacherous? That or Hakone?\I've never compared them...\You haven't been home recently, right?\You ever call home?\Haiji, keep it down.\I'm sure your family would be delighted if they saw\the son they rarely see energetically running on TV. response:	It's time. I gotta go.
context: What's more treacherous? That or Hakone?\I've never compared them...\You haven't been home recently, right?\You ever call home?\Haiji, keep it down.\I'm sure your family would be delighted if they saw\the son they rarely see energetically running on TV.\It's time. I gotta go. response:	Excuse me.
context: I've never compared them...\You haven't been home recently, right?\You ever call home?\Haiji, keep it down.\I'm sure your family would be delighted if they saw\the son they rarely see energetically running on TV.\It's time. I gotta go.\Excuse me. response:	Chikusei-so
context: You haven't been home recently, right?\You ever call home?\Haiji, keep it down.\I'm sure your family would be delighted if they saw\the son they rarely see energetically running on TV.\It's time. I gotta go.\Excuse me.\Chikusei-so response:	102
context: You ever call home?\Haiji, keep it down.\I'm sure your family would be delighted if they saw\the son they rarely see energetically running on TV.\It's time. I gotta go.\Excuse me.\Chikusei-so\102 response:	104
context: Haiji, keep it down.\I'm sure your family would be delighted if they saw\the son they rarely see energetically running on TV.\It's time. I gotta go.\Excuse me.\Chikusei-so\102\104 response:	Nico-chan Senpai.
context: I'm sure your family would be delighted if they saw\the son they rarely see energetically running on TV.\It's time. I gotta go.\Excuse me.\Chikusei-so\102\104\Nico-chan Senpai. response:	You robbing me?
context: the son they rarely see energetically running on TV.\It's time. I gotta go.\Excuse me.\Chikusei-so\102\104\Nico-chan Senpai.\You robbing me? response:	No...
context: It's time. I gotta go.\Excuse me.\Chikusei-so\102\104\Nico-chan Senpai.\You robbing me?\No... response:	Your cigarettes.
context: Excuse me.\Chikusei-so\102\104\Nico-chan Senpai.\You robbing me?\No...\Your cigarettes. response:	Huh?
context: Chikusei-so\102\104\Nico-chan Senpai.\You robbing me?\No...\Your cigarettes.\Huh? response:	I couldn't smell them.
context: 102\104\Nico-chan Senpai.\You robbing me?\No...\Your cigarettes.\Huh?\I couldn't smell them. response:	Oh, that's because I was out.
context: 104\Nico-chan Senpai.\You robbing me?\No...\Your cigarettes.\Huh?\I couldn't smell them.\Oh, that's because I was out. response:	Oh.
context: Nico-chan Senpai.\You robbing me?\No...\Your cigarettes.\Huh?\I couldn't smell them.\Oh, that's because I was out.\Oh. response:	Later.
context: You robbing me?\No...\Your cigarettes.\Huh?\I couldn't smell them.\Oh, that's because I was out.\Oh.\Later. response:	Going to the club again?
context: No...\Your cigarettes.\Huh?\I couldn't smell them.\Oh, that's because I was out.\Oh.\Later.\Going to the club again? response:	Lawyers sure have got it easy.
context: Your cigarettes.\Huh?\I couldn't smell them.\Oh, that's because I was out.\Oh.\Later.\Going to the club again?\Lawyers sure have got it easy. response:	You should hurry up and graduate.
context: Huh?\I couldn't smell them.\Oh, that's because I was out.\Oh.\Later.\Going to the club again?\Lawyers sure have got it easy.\You should hurry up and graduate. response:	No way.
context: I couldn't smell them.\Oh, that's because I was out.\Oh.\Later.\Going to the club again?\Lawyers sure have got it easy.\You should hurry up and graduate.\No way. response:	You should definitely join us.
context: Oh, that's because I was out.\Oh.\Later.\Going to the club again?\Lawyers sure have got it easy.\You should hurry up and graduate.\No way.\You should definitely join us. response:	Soccer Club
context: Oh.\Later.\Going to the club again?\Lawyers sure have got it easy.\You should hurry up and graduate.\No way.\You should definitely join us.\Soccer Club response:	Sounds really fun.
context: Later.\Going to the club again?\Lawyers sure have got it easy.\You should hurry up and graduate.\No way.\You should definitely join us.\Soccer Club\Sounds really fun. response:	Right?
context: Going to the club again?\Lawyers sure have got it easy.\You should hurry up and graduate.\No way.\You should definitely join us.\Soccer Club\Sounds really fun.\Right? response:	Maybe I'll join.
context: Lawyers sure have got it easy.\You should hurry up and graduate.\No way.\You should definitely join us.\Soccer Club\Sounds really fun.\Right?\Maybe I'll join. response:	Seriously?
context: You should hurry up and graduate.\No way.\You should definitely join us.\Soccer Club\Sounds really fun.\Right?\Maybe I'll join.\Seriously? response:	Well? Think you'll enjoy your student life?
context: No way.\You should definitely join us.\Soccer Club\Sounds really fun.\Right?\Maybe I'll join.\Seriously?\Well? Think you'll enjoy your student life? response:	If you're looking for a special-event club, I can introduce you to one.
context: You should definitely join us.\Soccer Club\Sounds really fun.\Right?\Maybe I'll join.\Seriously?\Well? Think you'll enjoy your student life?\If you're looking for a special-event club, I can introduce you to one. response:	It's an option if you're looking to experience college life.
context: Soccer Club\Sounds really fun.\Right?\Maybe I'll join.\Seriously?\Well? Think you'll enjoy your student life?\If you're looking for a special-event club, I can introduce you to one.\It's an option if you're looking to experience college life. response:	You sure? You could run.
context: Sounds really fun.\Right?\Maybe I'll join.\Seriously?\Well? Think you'll enjoy your student life?\If you're looking for a special-event club, I can introduce you to one.\It's an option if you're looking to experience college life.\You sure? You could run. response:	No one will criticize you.
context: Right?\Maybe I'll join.\Seriously?\Well? Think you'll enjoy your student life?\If you're looking for a special-event club, I can introduce you to one.\It's an option if you're looking to experience college life.\You sure? You could run.\No one will criticize you. response:	If I want to run, I'll run alone.
context: Maybe I'll join.\Seriously?\Well? Think you'll enjoy your student life?\If you're looking for a special-event club, I can introduce you to one.\It's an option if you're looking to experience college life.\You sure? You could run.\No one will criticize you.\If I want to run, I'll run alone. response:	Chikusei-so
context: Seriously?\Well? Think you'll enjoy your student life?\If you're looking for a special-event club, I can introduce you to one.\It's an option if you're looking to experience college life.\You sure? You could run.\No one will criticize you.\If I want to run, I'll run alone.\Chikusei-so response:	What?!
context: Well? Think you'll enjoy your student life?\If you're looking for a special-event club, I can introduce you to one.\It's an option if you're looking to experience college life.\You sure? You could run.\No one will criticize you.\If I want to run, I'll run alone.\Chikusei-so\What?! response:	I'm sorry!
context: If you're looking for a special-event club, I can introduce you to one.\It's an option if you're looking to experience college life.\You sure? You could run.\No one will criticize you.\If I want to run, I'll run alone.\Chikusei-so\What?!\I'm sorry! response:	Why are you running?
context: It's an option if you're looking to experience college life.\You sure? You could run.\No one will criticize you.\If I want to run, I'll run alone.\Chikusei-so\What?!\I'm sorry!\Why are you running? response:	I went to work early after dropping in on the new student symposium...
context: You sure? You could run.\No one will criticize you.\If I want to run, I'll run alone.\Chikusei-so\What?!\I'm sorry!\Why are you running?\I went to work early after dropping in on the new student symposium... response:	Kobori Butcher Shop
context: No one will criticize you.\If I want to run, I'll run alone.\Chikusei-so\What?!\I'm sorry!\Why are you running?\I went to work early after dropping in on the new student symposium...\Kobori Butcher Shop response:	Thanks for buying so much.
context: If I want to run, I'll run alone.\Chikusei-so\What?!\I'm sorry!\Why are you running?\I went to work early after dropping in on the new student symposium...\Kobori Butcher Shop\Thanks for buying so much. response:	No, thank you for accommodating me.
context: Chikusei-so\What?!\I'm sorry!\Why are you running?\I went to work early after dropping in on the new student symposium...\Kobori Butcher Shop\Thanks for buying so much.\No, thank you for accommodating me. response:	Oh, it's no problem.
context: What?!\I'm sorry!\Why are you running?\I went to work early after dropping in on the new student symposium...\Kobori Butcher Shop\Thanks for buying so much.\No, thank you for accommodating me.\Oh, it's no problem. response:	Musa always works so hard.
context: I'm sorry!\Why are you running?\I went to work early after dropping in on the new student symposium...\Kobori Butcher Shop\Thanks for buying so much.\No, thank you for accommodating me.\Oh, it's no problem.\Musa always works so hard. response:	And you're a regular. We really appreciate you.
context: Why are you running?\I went to work early after dropping in on the new student symposium...\Kobori Butcher Shop\Thanks for buying so much.\No, thank you for accommodating me.\Oh, it's no problem.\Musa always works so hard.\And you're a regular. We really appreciate you. response:	I'm not that special.
context: I went to work early after dropping in on the new student symposium...\Kobori Butcher Shop\Thanks for buying so much.\No, thank you for accommodating me.\Oh, it's no problem.\Musa always works so hard.\And you're a regular. We really appreciate you.\I'm not that special. response:	Anyway, I'm glad I introduced him to you.
context: Kobori Butcher Shop\Thanks for buying so much.\No, thank you for accommodating me.\Oh, it's no problem.\Musa always works so hard.\And you're a regular. We really appreciate you.\I'm not that special.\Anyway, I'm glad I introduced him to you. response:	He's such a hard worker.
context: Thanks for buying so much.\No, thank you for accommodating me.\Oh, it's no problem.\Musa always works so hard.\And you're a regular. We really appreciate you.\I'm not that special.\Anyway, I'm glad I introduced him to you.\He's such a hard worker. response:	Heard that? Way to go, Musa.
context: No, thank you for accommodating me.\Oh, it's no problem.\Musa always works so hard.\And you're a regular. We really appreciate you.\I'm not that special.\Anyway, I'm glad I introduced him to you.\He's such a hard worker.\Heard that? Way to go, Musa. response:	She's complimenting you.
context: Oh, it's no problem.\Musa always works so hard.\And you're a regular. We really appreciate you.\I'm not that special.\Anyway, I'm glad I introduced him to you.\He's such a hard worker.\Heard that? Way to go, Musa.\She's complimenting you. response:	Th-Thank you...
context: Musa always works so hard.\And you're a regular. We really appreciate you.\I'm not that special.\Anyway, I'm glad I introduced him to you.\He's such a hard worker.\Heard that? Way to go, Musa.\She's complimenting you.\Th-Thank you... response:	You've got a great friend.
context: And you're a regular. We really appreciate you.\I'm not that special.\Anyway, I'm glad I introduced him to you.\He's such a hard worker.\Heard that? Way to go, Musa.\She's complimenting you.\Th-Thank you...\You've got a great friend. response:	You should be grateful you met him.
context: I'm not that special.\Anyway, I'm glad I introduced him to you.\He's such a hard worker.\Heard that? Way to go, Musa.\She's complimenting you.\Th-Thank you...\You've got a great friend.\You should be grateful you met him. response:	That's a friend for life.
context: Anyway, I'm glad I introduced him to you.\He's such a hard worker.\Heard that? Way to go, Musa.\She's complimenting you.\Th-Thank you...\You've got a great friend.\You should be grateful you met him.\That's a friend for life. response:	Hear that, Musa? We're friends for life.
context: He's such a hard worker.\Heard that? Way to go, Musa.\She's complimenting you.\Th-Thank you...\You've got a great friend.\You should be grateful you met him.\That's a friend for life.\Hear that, Musa? We're friends for life. response:	Musa... Musa...
context: Heard that? Way to go, Musa.\She's complimenting you.\Th-Thank you...\You've got a great friend.\You should be grateful you met him.\That's a friend for life.\Hear that, Musa? We're friends for life.\Musa... Musa... response:	He asked me what my plans were for tomorrow morning,
context: She's complimenting you.\Th-Thank you...\You've got a great friend.\You should be grateful you met him.\That's a friend for life.\Hear that, Musa? We're friends for life.\Musa... Musa...\He asked me what my plans were for tomorrow morning, response:	and I responded that I wasn't busy...
context: Th-Thank you...\You've got a great friend.\You should be grateful you met him.\That's a friend for life.\Hear that, Musa? We're friends for life.\Musa... Musa...\He asked me what my plans were for tomorrow morning,\and I responded that I wasn't busy... response:	He knew you couldn't say no.
context: You've got a great friend.\You should be grateful you met him.\That's a friend for life.\Hear that, Musa? We're friends for life.\Musa... Musa...\He asked me what my plans were for tomorrow morning,\and I responded that I wasn't busy...\He knew you couldn't say no. response:	He's going after our weaknesses.
context: You should be grateful you met him.\That's a friend for life.\Hear that, Musa? We're friends for life.\Musa... Musa...\He asked me what my plans were for tomorrow morning,\and I responded that I wasn't busy...\He knew you couldn't say no.\He's going after our weaknesses. response:	What are your excuses?
context: That's a friend for life.\Hear that, Musa? We're friends for life.\Musa... Musa...\He asked me what my plans were for tomorrow morning,\and I responded that I wasn't busy...\He knew you couldn't say no.\He's going after our weaknesses.\What are your excuses? response:	He said it would help me find a job...
context: Hear that, Musa? We're friends for life.\Musa... Musa...\He asked me what my plans were for tomorrow morning,\and I responded that I wasn't busy...\He knew you couldn't say no.\He's going after our weaknesses.\What are your excuses?\He said it would help me find a job... response:	It's good for my health... like weight loss?
context: Musa... Musa...\He asked me what my plans were for tomorrow morning,\and I responded that I wasn't busy...\He knew you couldn't say no.\He's going after our weaknesses.\What are your excuses?\He said it would help me find a job...\It's good for my health... like weight loss? response:	What's it really? What deals did you make with him?
context: He asked me what my plans were for tomorrow morning,\and I responded that I wasn't busy...\He knew you couldn't say no.\He's going after our weaknesses.\What are your excuses?\He said it would help me find a job...\It's good for my health... like weight loss?\What's it really? What deals did you make with him? response:	I didn't make a deal!
context: and I responded that I wasn't busy...\He knew you couldn't say no.\He's going after our weaknesses.\What are your excuses?\He said it would help me find a job...\It's good for my health... like weight loss?\What's it really? What deals did you make with him?\I didn't make a deal! response:	I really have been gaining weight lately.
context: He knew you couldn't say no.\He's going after our weaknesses.\What are your excuses?\He said it would help me find a job...\It's good for my health... like weight loss?\What's it really? What deals did you make with him?\I didn't make a deal!\I really have been gaining weight lately. response:	Damn! I shouldn't have let you go off on your own.
context: He's going after our weaknesses.\What are your excuses?\He said it would help me find a job...\It's good for my health... like weight loss?\What's it really? What deals did you make with him?\I didn't make a deal!\I really have been gaining weight lately.\Damn! I shouldn't have let you go off on your own. response:	Well, at least you're better than these two.
context: What are your excuses?\He said it would help me find a job...\It's good for my health... like weight loss?\What's it really? What deals did you make with him?\I didn't make a deal!\I really have been gaining weight lately.\Damn! I shouldn't have let you go off on your own.\Well, at least you're better than these two. response:	It's not fair. Right, Jota?
context: He said it would help me find a job...\It's good for my health... like weight loss?\What's it really? What deals did you make with him?\I didn't make a deal!\I really have been gaining weight lately.\Damn! I shouldn't have let you go off on your own.\Well, at least you're better than these two.\It's not fair. Right, Jota? response:	Yeah. We thought everyone had promised to run in the Ekiden.
context: It's good for my health... like weight loss?\What's it really? What deals did you make with him?\I didn't make a deal!\I really have been gaining weight lately.\Damn! I shouldn't have let you go off on your own.\Well, at least you're better than these two.\It's not fair. Right, Jota?\Yeah. We thought everyone had promised to run in the Ekiden. response:	Did you listen until Haiji was finished talking?
context: What's it really? What deals did you make with him?\I didn't make a deal!\I really have been gaining weight lately.\Damn! I shouldn't have let you go off on your own.\Well, at least you're better than these two.\It's not fair. Right, Jota?\Yeah. We thought everyone had promised to run in the Ekiden.\Did you listen until Haiji was finished talking? response:	He said everyone was running.
context: I didn't make a deal!\I really have been gaining weight lately.\Damn! I shouldn't have let you go off on your own.\Well, at least you're better than these two.\It's not fair. Right, Jota?\Yeah. We thought everyone had promised to run in the Ekiden.\Did you listen until Haiji was finished talking?\He said everyone was running. response:	So we said we would, too.
context: I really have been gaining weight lately.\Damn! I shouldn't have let you go off on your own.\Well, at least you're better than these two.\It's not fair. Right, Jota?\Yeah. We thought everyone had promised to run in the Ekiden.\Did you listen until Haiji was finished talking?\He said everyone was running.\So we said we would, too. response:	You're getting mites everywhere!
context: Damn! I shouldn't have let you go off on your own.\Well, at least you're better than these two.\It's not fair. Right, Jota?\Yeah. We thought everyone had promised to run in the Ekiden.\Did you listen until Haiji was finished talking?\He said everyone was running.\So we said we would, too.\You're getting mites everywhere! response:	But we thought we'd give it a shot, right?
context: Well, at least you're better than these two.\It's not fair. Right, Jota?\Yeah. We thought everyone had promised to run in the Ekiden.\Did you listen until Haiji was finished talking?\He said everyone was running.\So we said we would, too.\You're getting mites everywhere!\But we thought we'd give it a shot, right? response:	Yeah! Did you guys know?
context: It's not fair. Right, Jota?\Yeah. We thought everyone had promised to run in the Ekiden.\Did you listen until Haiji was finished talking?\He said everyone was running.\So we said we would, too.\You're getting mites everywhere!\But we thought we'd give it a shot, right?\Yeah! Did you guys know? response:	Girls love guys who run in the Ekiden!
context: Yeah. We thought everyone had promised to run in the Ekiden.\Did you listen until Haiji was finished talking?\He said everyone was running.\So we said we would, too.\You're getting mites everywhere!\But we thought we'd give it a shot, right?\Yeah! Did you guys know?\Girls love guys who run in the Ekiden! response:	That's only true of a handful of top finishers!
context: Did you listen until Haiji was finished talking?\He said everyone was running.\So we said we would, too.\You're getting mites everywhere!\But we thought we'd give it a shot, right?\Yeah! Did you guys know?\Girls love guys who run in the Ekiden!\That's only true of a handful of top finishers! response:	There's no way we'll even qualify!
context: He said everyone was running.\So we said we would, too.\You're getting mites everywhere!\But we thought we'd give it a shot, right?\Yeah! Did you guys know?\Girls love guys who run in the Ekiden!\That's only true of a handful of top finishers!\There's no way we'll even qualify! response:	Huh? What does that mean?
context: So we said we would, too.\You're getting mites everywhere!\But we thought we'd give it a shot, right?\Yeah! Did you guys know?\Girls love guys who run in the Ekiden!\That's only true of a handful of top finishers!\There's no way we'll even qualify!\Huh? What does that mean? response:	You mean we can't just sign up for it?
context: You're getting mites everywhere!\But we thought we'd give it a shot, right?\Yeah! Did you guys know?\Girls love guys who run in the Ekiden!\That's only true of a handful of top finishers!\There's no way we'll even qualify!\Huh? What does that mean?\You mean we can't just sign up for it? response:	I don't even feel like explaining it.
context: But we thought we'd give it a shot, right?\Yeah! Did you guys know?\Girls love guys who run in the Ekiden!\That's only true of a handful of top finishers!\There's no way we'll even qualify!\Huh? What does that mean?\You mean we can't just sign up for it?\I don't even feel like explaining it. response:	No way!
context: Yeah! Did you guys know?\Girls love guys who run in the Ekiden!\That's only true of a handful of top finishers!\There's no way we'll even qualify!\Huh? What does that mean?\You mean we can't just sign up for it?\I don't even feel like explaining it.\No way! response:	He said girls would love us!
context: Girls love guys who run in the Ekiden!\That's only true of a handful of top finishers!\There's no way we'll even qualify!\Huh? What does that mean?\You mean we can't just sign up for it?\I don't even feel like explaining it.\No way!\He said girls would love us! response:	The girls!
context: That's only true of a handful of top finishers!\There's no way we'll even qualify!\Huh? What does that mean?\You mean we can't just sign up for it?\I don't even feel like explaining it.\No way!\He said girls would love us!\The girls! response:	No one told me that!
context: There's no way we'll even qualify!\Huh? What does that mean?\You mean we can't just sign up for it?\I don't even feel like explaining it.\No way!\He said girls would love us!\The girls!\No one told me that! response:	Are the others okay?
context: Huh? What does that mean?\You mean we can't just sign up for it?\I don't even feel like explaining it.\No way!\He said girls would love us!\The girls!\No one told me that!\Are the others okay? response:	Who's not here?
context: You mean we can't just sign up for it?\I don't even feel like explaining it.\No way!\He said girls would love us!\The girls!\No one told me that!\Are the others okay?\Who's not here? response:	Nico-chan, Prince, and the newbie.
context: I don't even feel like explaining it.\No way!\He said girls would love us!\The girls!\No one told me that!\Are the others okay?\Who's not here?\Nico-chan, Prince, and the newbie. response:	103
context: No way!\He said girls would love us!\The girls!\No one told me that!\Are the others okay?\Who's not here?\Nico-chan, Prince, and the newbie.\103 response:	Kakeru, are you in there?
context: He said girls would love us!\The girls!\No one told me that!\Are the others okay?\Who's not here?\Nico-chan, Prince, and the newbie.\103\Kakeru, are you in there? response:	Kakeru.
context: The girls!\No one told me that!\Are the others okay?\Who's not here?\Nico-chan, Prince, and the newbie.\103\Kakeru, are you in there?\Kakeru. response:	Maybe he's not back yet.
context: No one told me that!\Are the others okay?\Who's not here?\Nico-chan, Prince, and the newbie.\103\Kakeru, are you in there?\Kakeru.\Maybe he's not back yet. response:	I can't believe it broke now.
context: Are the others okay?\Who's not here?\Nico-chan, Prince, and the newbie.\103\Kakeru, are you in there?\Kakeru.\Maybe he's not back yet.\I can't believe it broke now. response:	It's a miracle... my heart... didn't stop...
context: Who's not here?\Nico-chan, Prince, and the newbie.\103\Kakeru, are you in there?\Kakeru.\Maybe he's not back yet.\I can't believe it broke now.\It's a miracle... my heart... didn't stop... response:	Sorry, but you can't use our bathroom until it's fixed.
context: Nico-chan, Prince, and the newbie.\103\Kakeru, are you in there?\Kakeru.\Maybe he's not back yet.\I can't believe it broke now.\It's a miracle... my heart... didn't stop...\Sorry, but you can't use our bathroom until it's fixed. response:	There's the Tsuru-no-yu Bathhouse.
context: 103\Kakeru, are you in there?\Kakeru.\Maybe he's not back yet.\I can't believe it broke now.\It's a miracle... my heart... didn't stop...\Sorry, but you can't use our bathroom until it's fixed.\There's the Tsuru-no-yu Bathhouse. response:	You'll have to go there for a while.
context: Kakeru, are you in there?\Kakeru.\Maybe he's not back yet.\I can't believe it broke now.\It's a miracle... my heart... didn't stop...\Sorry, but you can't use our bathroom until it's fixed.\There's the Tsuru-no-yu Bathhouse.\You'll have to go there for a while. response:	This way.
context: Kakeru.\Maybe he's not back yet.\I can't believe it broke now.\It's a miracle... my heart... didn't stop...\Sorry, but you can't use our bathroom until it's fixed.\There's the Tsuru-no-yu Bathhouse.\You'll have to go there for a while.\This way. response:	You sure? You could run.
context: Maybe he's not back yet.\I can't believe it broke now.\It's a miracle... my heart... didn't stop...\Sorry, but you can't use our bathroom until it's fixed.\There's the Tsuru-no-yu Bathhouse.\You'll have to go there for a while.\This way.\You sure? You could run. response:	No one will criticize you.
context: I can't believe it broke now.\It's a miracle... my heart... didn't stop...\Sorry, but you can't use our bathroom until it's fixed.\There's the Tsuru-no-yu Bathhouse.\You'll have to go there for a while.\This way.\You sure? You could run.\No one will criticize you. response:	It's just for a change of pace.
context: It's a miracle... my heart... didn't stop...\Sorry, but you can't use our bathroom until it's fixed.\There's the Tsuru-no-yu Bathhouse.\You'll have to go there for a while.\This way.\You sure? You could run.\No one will criticize you.\It's just for a change of pace. response:	Don't tell the guys at Aotake.
context: Sorry, but you can't use our bathroom until it's fixed.\There's the Tsuru-no-yu Bathhouse.\You'll have to go there for a while.\This way.\You sure? You could run.\No one will criticize you.\It's just for a change of pace.\Don't tell the guys at Aotake. response:	Doesn't look like you're going back, though.
context: There's the Tsuru-no-yu Bathhouse.\You'll have to go there for a while.\This way.\You sure? You could run.\No one will criticize you.\It's just for a change of pace.\Don't tell the guys at Aotake.\Doesn't look like you're going back, though. response:	Do you actually want to run?
context: You'll have to go there for a while.\This way.\You sure? You could run.\No one will criticize you.\It's just for a change of pace.\Don't tell the guys at Aotake.\Doesn't look like you're going back, though.\Do you actually want to run? response:	You idiot!
context: This way.\You sure? You could run.\No one will criticize you.\It's just for a change of pace.\Don't tell the guys at Aotake.\Doesn't look like you're going back, though.\Do you actually want to run?\You idiot! response:	I said it's for a change of pace.
context: You sure? You could run.\No one will criticize you.\It's just for a change of pace.\Don't tell the guys at Aotake.\Doesn't look like you're going back, though.\Do you actually want to run?\You idiot!\I said it's for a change of pace. response:	They're pitch black. There's no way.
context: No one will criticize you.\It's just for a change of pace.\Don't tell the guys at Aotake.\Doesn't look like you're going back, though.\Do you actually want to run?\You idiot!\I said it's for a change of pace.\They're pitch black. There's no way. response:	Besides, I'm not cut out for it.
context: It's just for a change of pace.\Don't tell the guys at Aotake.\Doesn't look like you're going back, though.\Do you actually want to run?\You idiot!\I said it's for a change of pace.\They're pitch black. There's no way.\Besides, I'm not cut out for it. response:	You know a lot about running, right?
context: Don't tell the guys at Aotake.\Doesn't look like you're going back, though.\Do you actually want to run?\You idiot!\I said it's for a change of pace.\They're pitch black. There's no way.\Besides, I'm not cut out for it.\You know a lot about running, right? response:	You ever seen a runner as rough around the edges as me?
context: Doesn't look like you're going back, though.\Do you actually want to run?\You idiot!\I said it's for a change of pace.\They're pitch black. There's no way.\Besides, I'm not cut out for it.\You know a lot about running, right?\You ever seen a runner as rough around the edges as me? response:	Hey, it's them.
context: Do you actually want to run?\You idiot!\I said it's for a change of pace.\They're pitch black. There's no way.\Besides, I'm not cut out for it.\You know a lot about running, right?\You ever seen a runner as rough around the edges as me?\Hey, it's them. response:	Hey!
context: You idiot!\I said it's for a change of pace.\They're pitch black. There's no way.\Besides, I'm not cut out for it.\You know a lot about running, right?\You ever seen a runner as rough around the edges as me?\Hey, it's them.\Hey! response:	The bath's broken!
context: I said it's for a change of pace.\They're pitch black. There's no way.\Besides, I'm not cut out for it.\You know a lot about running, right?\You ever seen a runner as rough around the edges as me?\Hey, it's them.\Hey!\The bath's broken! response:	Come with us.
context: They're pitch black. There's no way.\Besides, I'm not cut out for it.\You know a lot about running, right?\You ever seen a runner as rough around the edges as me?\Hey, it's them.\Hey!\The bath's broken!\Come with us. response:	I'll take you someplace fun before you leave.
context: Besides, I'm not cut out for it.\You know a lot about running, right?\You ever seen a runner as rough around the edges as me?\Hey, it's them.\Hey!\The bath's broken!\Come with us.\I'll take you someplace fun before you leave. response:	Tsuru-no-yu
context: You know a lot about running, right?\You ever seen a runner as rough around the edges as me?\Hey, it's them.\Hey!\The bath's broken!\Come with us.\I'll take you someplace fun before you leave.\Tsuru-no-yu response:	I can't do it!
context: You ever seen a runner as rough around the edges as me?\Hey, it's them.\Hey!\The bath's broken!\Come with us.\I'll take you someplace fun before you leave.\Tsuru-no-yu\I can't do it! response:	That feels great.
context: Hey, it's them.\Hey!\The bath's broken!\Come with us.\I'll take you someplace fun before you leave.\Tsuru-no-yu\I can't do it!\That feels great. response:	It's so cool.
context: Hey!\The bath's broken!\Come with us.\I'll take you someplace fun before you leave.\Tsuru-no-yu\I can't do it!\That feels great.\It's so cool. response:	Hell on earth.
context: The bath's broken!\Come with us.\I'll take you someplace fun before you leave.\Tsuru-no-yu\I can't do it!\That feels great.\It's so cool.\Hell on earth. response:	That's what we call this place.
context: Come with us.\I'll take you someplace fun before you leave.\Tsuru-no-yu\I can't do it!\That feels great.\It's so cool.\Hell on earth.\That's what we call this place. response:	You don't often hang out with the newbie.
context: I'll take you someplace fun before you leave.\Tsuru-no-yu\I can't do it!\That feels great.\It's so cool.\Hell on earth.\That's what we call this place.\You don't often hang out with the newbie. response:	Jota, let's go!
context: Tsuru-no-yu\I can't do it!\That feels great.\It's so cool.\Hell on earth.\That's what we call this place.\You don't often hang out with the newbie.\Jota, let's go! response:	Cut that out!
context: I can't do it!\That feels great.\It's so cool.\Hell on earth.\That's what we call this place.\You don't often hang out with the newbie.\Jota, let's go!\Cut that out! response:	Oh...
context: That feels great.\It's so cool.\Hell on earth.\That's what we call this place.\You don't often hang out with the newbie.\Jota, let's go!\Cut that out!\Oh... response:	You're all here.
context: It's so cool.\Hell on earth.\That's what we call this place.\You don't often hang out with the newbie.\Jota, let's go!\Cut that out!\Oh...\You're all here. response:	An ogre has arrived in hell!
context: Hell on earth.\That's what we call this place.\You don't often hang out with the newbie.\Jota, let's go!\Cut that out!\Oh...\You're all here.\An ogre has arrived in hell! response:	What? The landlord's bath broke?
context: That's what we call this place.\You don't often hang out with the newbie.\Jota, let's go!\Cut that out!\Oh...\You're all here.\An ogre has arrived in hell!\What? The landlord's bath broke? response:	Surely Haiji didn't...
context: You don't often hang out with the newbie.\Jota, let's go!\Cut that out!\Oh...\You're all here.\An ogre has arrived in hell!\What? The landlord's bath broke?\Surely Haiji didn't... response:	Don't say it. I don't want to think about it.
context: Jota, let's go!\Cut that out!\Oh...\You're all here.\An ogre has arrived in hell!\What? The landlord's bath broke?\Surely Haiji didn't...\Don't say it. I don't want to think about it. response:	Well, Kurahara? Nice bathhouse, right?
context: Cut that out!\Oh...\You're all here.\An ogre has arrived in hell!\What? The landlord's bath broke?\Surely Haiji didn't...\Don't say it. I don't want to think about it.\Well, Kurahara? Nice bathhouse, right? response:	Everyone else thinks it's too hot, though.
context: Oh...\You're all here.\An ogre has arrived in hell!\What? The landlord's bath broke?\Surely Haiji didn't...\Don't say it. I don't want to think about it.\Well, Kurahara? Nice bathhouse, right?\Everyone else thinks it's too hot, though. response:	So do you.
context: You're all here.\An ogre has arrived in hell!\What? The landlord's bath broke?\Surely Haiji didn't...\Don't say it. I don't want to think about it.\Well, Kurahara? Nice bathhouse, right?\Everyone else thinks it's too hot, though.\So do you. response:	You're never in for more than a minute.
