context: Everyone, brace yourselves and listen well! response:	I have an extremely important announcement to make.
context: Why is it on hold?\Make me S Class, damn it!\You're not even a candidate! You mean Levy, got it?!\What else can I do?\A lot's happened.\A member of the Magic Council infiltrated the candidates,\and Grimoire Heart disrupted everything...\I guess we have no choice. response:	Hey! You're really okay with this, damn it?!
context: Make me S Class, damn it!\You're not even a candidate! You mean Levy, got it?!\What else can I do?\A lot's happened.\A member of the Magic Council infiltrated the candidates,\and Grimoire Heart disrupted everything...\I guess we have no choice.\Hey! You're really okay with this, damn it?! response:	And you shouldn't be so worked up about it.
context: You're not even a candidate! You mean Levy, got it?!\What else can I do?\A lot's happened.\A member of the Magic Council infiltrated the candidates,\and Grimoire Heart disrupted everything...\I guess we have no choice.\Hey! You're really okay with this, damn it?!\And you shouldn't be so worked up about it. response:	Argh! I so wanted to be S Class!
context: What else can I do?\A lot's happened.\A member of the Magic Council infiltrated the candidates,\and Grimoire Heart disrupted everything...\I guess we have no choice.\Hey! You're really okay with this, damn it?!\And you shouldn't be so worked up about it.\Argh! I so wanted to be S Class! response:	Don't worry! You'll make it next time for sure, Gray-sama!
context: A lot's happened.\A member of the Magic Council infiltrated the candidates,\and Grimoire Heart disrupted everything...\I guess we have no choice.\Hey! You're really okay with this, damn it?!\And you shouldn't be so worked up about it.\Argh! I so wanted to be S Class!\Don't worry! You'll make it next time for sure, Gray-sama! response:	A Man has to know when to call it quits...
context: A member of the Magic Council infiltrated the candidates,\and Grimoire Heart disrupted everything...\I guess we have no choice.\Hey! You're really okay with this, damn it?!\And you shouldn't be so worked up about it.\Argh! I so wanted to be S Class!\Don't worry! You'll make it next time for sure, Gray-sama!\A Man has to know when to call it quits... response:	Well, I ain't givin' up!
context: and Grimoire Heart disrupted everything...\I guess we have no choice.\Hey! You're really okay with this, damn it?!\And you shouldn't be so worked up about it.\Argh! I so wanted to be S Class!\Don't worry! You'll make it next time for sure, Gray-sama!\A Man has to know when to call it quits...\Well, I ain't givin' up! response:	I'm gonna be S Class, no matter what!
context: I guess we have no choice.\Hey! You're really okay with this, damn it?!\And you shouldn't be so worked up about it.\Argh! I so wanted to be S Class!\Don't worry! You'll make it next time for sure, Gray-sama!\A Man has to know when to call it quits...\Well, I ain't givin' up!\I'm gonna be S Class, no matter what! response:	Gray, Elfman, and Levy all gave up, right?
context: Hey! You're really okay with this, damn it?!\And you shouldn't be so worked up about it.\Argh! I so wanted to be S Class!\Don't worry! You'll make it next time for sure, Gray-sama!\A Man has to know when to call it quits...\Well, I ain't givin' up!\I'm gonna be S Class, no matter what!\Gray, Elfman, and Levy all gave up, right? response:	Then I'll become S Class!
context: And you shouldn't be so worked up about it.\Argh! I so wanted to be S Class!\Don't worry! You'll make it next time for sure, Gray-sama!\A Man has to know when to call it quits...\Well, I ain't givin' up!\I'm gonna be S Class, no matter what!\Gray, Elfman, and Levy all gave up, right?\Then I'll become S Class! response:	I'm gonna be S Class!
context: Argh! I so wanted to be S Class!\Don't worry! You'll make it next time for sure, Gray-sama!\A Man has to know when to call it quits...\Well, I ain't givin' up!\I'm gonna be S Class, no matter what!\Gray, Elfman, and Levy all gave up, right?\Then I'll become S Class!\I'm gonna be S Class! response:	Calm down, Natsu.
context: Don't worry! You'll make it next time for sure, Gray-sama!\A Man has to know when to call it quits...\Well, I ain't givin' up!\I'm gonna be S Class, no matter what!\Gray, Elfman, and Levy all gave up, right?\Then I'll become S Class!\I'm gonna be S Class!\Calm down, Natsu. response:	Guess I got no choice...
context: A Man has to know when to call it quits...\Well, I ain't givin' up!\I'm gonna be S Class, no matter what!\Gray, Elfman, and Levy all gave up, right?\Then I'll become S Class!\I'm gonna be S Class!\Calm down, Natsu.\Guess I got no choice... response:	Let's start the final test right now, special!
context: Well, I ain't givin' up!\I'm gonna be S Class, no matter what!\Gray, Elfman, and Levy all gave up, right?\Then I'll become S Class!\I'm gonna be S Class!\Calm down, Natsu.\Guess I got no choice...\Let's start the final test right now, special! response:	Beat me, and I'll make you S Class, Natsu.
context: I'm gonna be S Class, no matter what!\Gray, Elfman, and Levy all gave up, right?\Then I'll become S Class!\I'm gonna be S Class!\Calm down, Natsu.\Guess I got no choice...\Let's start the final test right now, special!\Beat me, and I'll make you S Class, Natsu. response:	Seriously, Gramps?!
context: Gray, Elfman, and Levy all gave up, right?\Then I'll become S Class!\I'm gonna be S Class!\Calm down, Natsu.\Guess I got no choice...\Let's start the final test right now, special!\Beat me, and I'll make you S Class, Natsu.\Seriously, Gramps?! response:	Okay! I'm all fired up!
context: Then I'll become S Class!\I'm gonna be S Class!\Calm down, Natsu.\Guess I got no choice...\Let's start the final test right now, special!\Beat me, and I'll make you S Class, Natsu.\Seriously, Gramps?!\Okay! I'm all fired up! response:	Here I come!
context: I'm gonna be S Class!\Calm down, Natsu.\Guess I got no choice...\Let's start the final test right now, special!\Beat me, and I'll make you S Class, Natsu.\Seriously, Gramps?!\Okay! I'm all fired up!\Here I come! response:	I give!
context: Calm down, Natsu.\Guess I got no choice...\Let's start the final test right now, special!\Beat me, and I'll make you S Class, Natsu.\Seriously, Gramps?!\Okay! I'm all fired up!\Here I come!\I give! response:	What're you doing?
context: Guess I got no choice...\Let's start the final test right now, special!\Beat me, and I'll make you S Class, Natsu.\Seriously, Gramps?!\Okay! I'm all fired up!\Here I come!\I give!\What're you doing? response:	Well, I was wonderin' whether you were the real deal.
context: Let's start the final test right now, special!\Beat me, and I'll make you S Class, Natsu.\Seriously, Gramps?!\Okay! I'm all fired up!\Here I come!\I give!\What're you doing?\Well, I was wonderin' whether you were the real deal. response:	I am! How rude!
context: Beat me, and I'll make you S Class, Natsu.\Seriously, Gramps?!\Okay! I'm all fired up!\Here I come!\I give!\What're you doing?\Well, I was wonderin' whether you were the real deal.\I am! How rude! response:	Don't bully her too much, I'll feel sorry for her.
context: Seriously, Gramps?!\Okay! I'm all fired up!\Here I come!\I give!\What're you doing?\Well, I was wonderin' whether you were the real deal.\I am! How rude!\Don't bully her too much, I'll feel sorry for her. response:	Such insight... As expected from Laxus.
context: Okay! I'm all fired up!\Here I come!\I give!\What're you doing?\Well, I was wonderin' whether you were the real deal.\I am! How rude!\Don't bully her too much, I'll feel sorry for her.\Such insight... As expected from Laxus. response:	You should learn from him.
context: Here I come!\I give!\What're you doing?\Well, I was wonderin' whether you were the real deal.\I am! How rude!\Don't bully her too much, I'll feel sorry for her.\Such insight... As expected from Laxus.\You should learn from him. response:	Y-You think?
context: I give!\What're you doing?\Well, I was wonderin' whether you were the real deal.\I am! How rude!\Don't bully her too much, I'll feel sorry for her.\Such insight... As expected from Laxus.\You should learn from him.\Y-You think? response:	You think, you think?
context: What're you doing?\Well, I was wonderin' whether you were the real deal.\I am! How rude!\Don't bully her too much, I'll feel sorry for her.\Such insight... As expected from Laxus.\You should learn from him.\Y-You think?\You think, you think? response:	Enough! I told you I'm the real Lisanna!
context: Well, I was wonderin' whether you were the real deal.\I am! How rude!\Don't bully her too much, I'll feel sorry for her.\Such insight... As expected from Laxus.\You should learn from him.\Y-You think?\You think, you think?\Enough! I told you I'm the real Lisanna! response:	Okay, okay! My bad!
context: I am! How rude!\Don't bully her too much, I'll feel sorry for her.\Such insight... As expected from Laxus.\You should learn from him.\Y-You think?\You think, you think?\Enough! I told you I'm the real Lisanna!\Okay, okay! My bad! response:	I'm kind of scared just to say hi, Carla.
context: Don't bully her too much, I'll feel sorry for her.\Such insight... As expected from Laxus.\You should learn from him.\Y-You think?\You think, you think?\Enough! I told you I'm the real Lisanna!\Okay, okay! My bad!\I'm kind of scared just to say hi, Carla. response:	Huh? What are you scared of?
context: Such insight... As expected from Laxus.\You should learn from him.\Y-You think?\You think, you think?\Enough! I told you I'm the real Lisanna!\Okay, okay! My bad!\I'm kind of scared just to say hi, Carla.\Huh? What are you scared of? response:	I'm sure you've heard a bunch of stories, but he's not a bad guy deep down.
context: You should learn from him.\Y-You think?\You think, you think?\Enough! I told you I'm the real Lisanna!\Okay, okay! My bad!\I'm kind of scared just to say hi, Carla.\Huh? What are you scared of?\I'm sure you've heard a bunch of stories, but he's not a bad guy deep down. response:	Erza-san!
context: Y-You think?\You think, you think?\Enough! I told you I'm the real Lisanna!\Okay, okay! My bad!\I'm kind of scared just to say hi, Carla.\Huh? What are you scared of?\I'm sure you've heard a bunch of stories, but he's not a bad guy deep down.\Erza-san! response:	He's just a little awkward at times.
context: You think, you think?\Enough! I told you I'm the real Lisanna!\Okay, okay! My bad!\I'm kind of scared just to say hi, Carla.\Huh? What are you scared of?\I'm sure you've heard a bunch of stories, but he's not a bad guy deep down.\Erza-san!\He's just a little awkward at times. response:	Right! I'm going to introduce myself!
context: Enough! I told you I'm the real Lisanna!\Okay, okay! My bad!\I'm kind of scared just to say hi, Carla.\Huh? What are you scared of?\I'm sure you've heard a bunch of stories, but he's not a bad guy deep down.\Erza-san!\He's just a little awkward at times.\Right! I'm going to introduce myself! response:	Oww...
context: Okay, okay! My bad!\I'm kind of scared just to say hi, Carla.\Huh? What are you scared of?\I'm sure you've heard a bunch of stories, but he's not a bad guy deep down.\Erza-san!\He's just a little awkward at times.\Right! I'm going to introduce myself!\Oww... response:	A medicinal herb spring, huh?
context: I'm kind of scared just to say hi, Carla.\Huh? What are you scared of?\I'm sure you've heard a bunch of stories, but he's not a bad guy deep down.\Erza-san!\He's just a little awkward at times.\Right! I'm going to introduce myself!\Oww...\A medicinal herb spring, huh? response:	It definitely works itself into these wounds...
context: Huh? What are you scared of?\I'm sure you've heard a bunch of stories, but he's not a bad guy deep down.\Erza-san!\He's just a little awkward at times.\Right! I'm going to introduce myself!\Oww...\A medicinal herb spring, huh?\It definitely works itself into these wounds... response:	Cana, is your right arm okay?
context: I'm sure you've heard a bunch of stories, but he's not a bad guy deep down.\Erza-san!\He's just a little awkward at times.\Right! I'm going to introduce myself!\Oww...\A medicinal herb spring, huh?\It definitely works itself into these wounds...\Cana, is your right arm okay? response:	The right arm I borrowed Fairy Glitter with?
context: Erza-san!\He's just a little awkward at times.\Right! I'm going to introduce myself!\Oww...\A medicinal herb spring, huh?\It definitely works itself into these wounds...\Cana, is your right arm okay?\The right arm I borrowed Fairy Glitter with? response:	Looks like my rental's up.
context: He's just a little awkward at times.\Right! I'm going to introduce myself!\Oww...\A medicinal herb spring, huh?\It definitely works itself into these wounds...\Cana, is your right arm okay?\The right arm I borrowed Fairy Glitter with?\Looks like my rental's up. response:	Yeah.
context: Right! I'm going to introduce myself!\Oww...\A medicinal herb spring, huh?\It definitely works itself into these wounds...\Cana, is your right arm okay?\The right arm I borrowed Fairy Glitter with?\Looks like my rental's up.\Yeah. response:	Um, Lucy... I'm sorry.
context: Oww...\A medicinal herb spring, huh?\It definitely works itself into these wounds...\Cana, is your right arm okay?\The right arm I borrowed Fairy Glitter with?\Looks like my rental's up.\Yeah.\Um, Lucy... I'm sorry. response:	About what?
context: A medicinal herb spring, huh?\It definitely works itself into these wounds...\Cana, is your right arm okay?\The right arm I borrowed Fairy Glitter with?\Looks like my rental's up.\Yeah.\Um, Lucy... I'm sorry.\About what? response:	You know... When I left you behind and went to Mavis's grave... I...
context: It definitely works itself into these wounds...\Cana, is your right arm okay?\The right arm I borrowed Fairy Glitter with?\Looks like my rental's up.\Yeah.\Um, Lucy... I'm sorry.\About what?\You know... When I left you behind and went to Mavis's grave... I... response:	I'm not upset about it!
context: Cana, is your right arm okay?\The right arm I borrowed Fairy Glitter with?\Looks like my rental's up.\Yeah.\Um, Lucy... I'm sorry.\About what?\You know... When I left you behind and went to Mavis's grave... I...\I'm not upset about it! response:	Well, I am.
context: The right arm I borrowed Fairy Glitter with?\Looks like my rental's up.\Yeah.\Um, Lucy... I'm sorry.\About what?\You know... When I left you behind and went to Mavis's grave... I...\I'm not upset about it!\Well, I am. response:	I'll regret how I betrayed my friend for the rest of my life...
context: Looks like my rental's up.\Yeah.\Um, Lucy... I'm sorry.\About what?\You know... When I left you behind and went to Mavis's grave... I...\I'm not upset about it!\Well, I am.\I'll regret how I betrayed my friend for the rest of my life... response:	You didn't really betray me or anything.
context: Yeah.\Um, Lucy... I'm sorry.\About what?\You know... When I left you behind and went to Mavis's grave... I...\I'm not upset about it!\Well, I am.\I'll regret how I betrayed my friend for the rest of my life...\You didn't really betray me or anything. response:	Just a little prank like that happens all the time in the guild, right?
context: Um, Lucy... I'm sorry.\About what?\You know... When I left you behind and went to Mavis's grave... I...\I'm not upset about it!\Well, I am.\I'll regret how I betrayed my friend for the rest of my life...\You didn't really betray me or anything.\Just a little prank like that happens all the time in the guild, right? response:	If you keep thinking about it the way you are,
context: About what?\You know... When I left you behind and went to Mavis's grave... I...\I'm not upset about it!\Well, I am.\I'll regret how I betrayed my friend for the rest of my life...\You didn't really betray me or anything.\Just a little prank like that happens all the time in the guild, right?\If you keep thinking about it the way you are, response:	it's going to be hard on me, too. You know?
context: You know... When I left you behind and went to Mavis's grave... I...\I'm not upset about it!\Well, I am.\I'll regret how I betrayed my friend for the rest of my life...\You didn't really betray me or anything.\Just a little prank like that happens all the time in the guild, right?\If you keep thinking about it the way you are,\it's going to be hard on me, too. You know? response:	I think I'm going to try telling my father the truth,
context: I'm not upset about it!\Well, I am.\I'll regret how I betrayed my friend for the rest of my life...\You didn't really betray me or anything.\Just a little prank like that happens all the time in the guild, right?\If you keep thinking about it the way you are,\it's going to be hard on me, too. You know?\I think I'm going to try telling my father the truth, response:	even though I didn't become an S Class wizard.
context: Well, I am.\I'll regret how I betrayed my friend for the rest of my life...\You didn't really betray me or anything.\Just a little prank like that happens all the time in the guild, right?\If you keep thinking about it the way you are,\it's going to be hard on me, too. You know?\I think I'm going to try telling my father the truth,\even though I didn't become an S Class wizard. response:	What's with the bored look?
context: I'll regret how I betrayed my friend for the rest of my life...\You didn't really betray me or anything.\Just a little prank like that happens all the time in the guild, right?\If you keep thinking about it the way you are,\it's going to be hard on me, too. You know?\I think I'm going to try telling my father the truth,\even though I didn't become an S Class wizard.\What's with the bored look? response:	'Cause this is a total snore-fest.
context: You didn't really betray me or anything.\Just a little prank like that happens all the time in the guild, right?\If you keep thinking about it the way you are,\it's going to be hard on me, too. You know?\I think I'm going to try telling my father the truth,\even though I didn't become an S Class wizard.\What's with the bored look?\'Cause this is a total snore-fest. response:	You don't understand. Fishing is a man's romantic adventure.
context: Just a little prank like that happens all the time in the guild, right?\If you keep thinking about it the way you are,\it's going to be hard on me, too. You know?\I think I'm going to try telling my father the truth,\even though I didn't become an S Class wizard.\What's with the bored look?\'Cause this is a total snore-fest.\You don't understand. Fishing is a man's romantic adventure. response:	Yes! Everyone loves fish!
context: If you keep thinking about it the way you are,\it's going to be hard on me, too. You know?\I think I'm going to try telling my father the truth,\even though I didn't become an S Class wizard.\What's with the bored look?\'Cause this is a total snore-fest.\You don't understand. Fishing is a man's romantic adventure.\Yes! Everyone loves fish! response:	I never said you could eat them!
context: it's going to be hard on me, too. You know?\I think I'm going to try telling my father the truth,\even though I didn't become an S Class wizard.\What's with the bored look?\'Cause this is a total snore-fest.\You don't understand. Fishing is a man's romantic adventure.\Yes! Everyone loves fish!\I never said you could eat them! response:	The hunter's instinct, driving up...
context: I think I'm going to try telling my father the truth,\even though I didn't become an S Class wizard.\What's with the bored look?\'Cause this is a total snore-fest.\You don't understand. Fishing is a man's romantic adventure.\Yes! Everyone loves fish!\I never said you could eat them!\The hunter's instinct, driving up... response:	The feeling of being one with nature!
context: even though I didn't become an S Class wizard.\What's with the bored look?\'Cause this is a total snore-fest.\You don't understand. Fishing is a man's romantic adventure.\Yes! Everyone loves fish!\I never said you could eat them!\The hunter's instinct, driving up...\The feeling of being one with nature! response:	A serious battle of eat or be eaten!
context: What's with the bored look?\'Cause this is a total snore-fest.\You don't understand. Fishing is a man's romantic adventure.\Yes! Everyone loves fish!\I never said you could eat them!\The hunter's instinct, driving up...\The feeling of being one with nature!\A serious battle of eat or be eaten! response:	This, indeed, is a man's playground!
context: 'Cause this is a total snore-fest.\You don't understand. Fishing is a man's romantic adventure.\Yes! Everyone loves fish!\I never said you could eat them!\The hunter's instinct, driving up...\The feeling of being one with nature!\A serious battle of eat or be eaten!\This, indeed, is a man's playground! response:	I hooked something!
context: You don't understand. Fishing is a man's romantic adventure.\Yes! Everyone loves fish!\I never said you could eat them!\The hunter's instinct, driving up...\The feeling of being one with nature!\A serious battle of eat or be eaten!\This, indeed, is a man's playground!\I hooked something! response:	Good, Natsu!
context: Yes! Everyone loves fish!\I never said you could eat them!\The hunter's instinct, driving up...\The feeling of being one with nature!\A serious battle of eat or be eaten!\This, indeed, is a man's playground!\I hooked something!\Good, Natsu! response:	Pull, pull!
context: I never said you could eat them!\The hunter's instinct, driving up...\The feeling of being one with nature!\A serious battle of eat or be eaten!\This, indeed, is a man's playground!\I hooked something!\Good, Natsu!\Pull, pull! response:	Gildarts!
context: The hunter's instinct, driving up...\The feeling of being one with nature!\A serious battle of eat or be eaten!\This, indeed, is a man's playground!\I hooked something!\Good, Natsu!\Pull, pull!\Gildarts! response:	Hold on a sec!
context: The feeling of being one with nature!\A serious battle of eat or be eaten!\This, indeed, is a man's playground!\I hooked something!\Good, Natsu!\Pull, pull!\Gildarts!\Hold on a sec! response:	Natsu is finally awakening his manly spirit of romantic adventure!
context: A serious battle of eat or be eaten!\This, indeed, is a man's playground!\I hooked something!\Good, Natsu!\Pull, pull!\Gildarts!\Hold on a sec!\Natsu is finally awakening his manly spirit of romantic adventure! response:	Cana said she's got something important to talk about!
context: This, indeed, is a man's playground!\I hooked something!\Good, Natsu!\Pull, pull!\Gildarts!\Hold on a sec!\Natsu is finally awakening his manly spirit of romantic adventure!\Cana said she's got something important to talk about! response:	Natsu, Happy... You guys come with me.
context: I hooked something!\Good, Natsu!\Pull, pull!\Gildarts!\Hold on a sec!\Natsu is finally awakening his manly spirit of romantic adventure!\Cana said she's got something important to talk about!\Natsu, Happy... You guys come with me. response:	The fish!
context: Good, Natsu!\Pull, pull!\Gildarts!\Hold on a sec!\Natsu is finally awakening his manly spirit of romantic adventure!\Cana said she's got something important to talk about!\Natsu, Happy... You guys come with me.\The fish! response:	Everyone's food!
context: Pull, pull!\Gildarts!\Hold on a sec!\Natsu is finally awakening his manly spirit of romantic adventure!\Cana said she's got something important to talk about!\Natsu, Happy... You guys come with me.\The fish!\Everyone's food! response:	What is it?
context: Gildarts!\Hold on a sec!\Natsu is finally awakening his manly spirit of romantic adventure!\Cana said she's got something important to talk about!\Natsu, Happy... You guys come with me.\The fish!\Everyone's food!\What is it? response:	The reason I came to the guild was... to search for my father, you know?
context: Hold on a sec!\Natsu is finally awakening his manly spirit of romantic adventure!\Cana said she's got something important to talk about!\Natsu, Happy... You guys come with me.\The fish!\Everyone's food!\What is it?\The reason I came to the guild was... to search for my father, you know? response:	Actually, that's the first I've heard of it.
context: Natsu is finally awakening his manly spirit of romantic adventure!\Cana said she's got something important to talk about!\Natsu, Happy... You guys come with me.\The fish!\Everyone's food!\What is it?\The reason I came to the guild was... to search for my father, you know?\Actually, that's the first I've heard of it. response:	So then, you're saying your dad was in Fairy Tail?
context: Cana said she's got something important to talk about!\Natsu, Happy... You guys come with me.\The fish!\Everyone's food!\What is it?\The reason I came to the guild was... to search for my father, you know?\Actually, that's the first I've heard of it.\So then, you're saying your dad was in Fairy Tail? response:	Y-Yeah.
context: Natsu, Happy... You guys come with me.\The fish!\Everyone's food!\What is it?\The reason I came to the guild was... to search for my father, you know?\Actually, that's the first I've heard of it.\So then, you're saying your dad was in Fairy Tail?\Y-Yeah. response:	You can do it, Cana!
context: The fish!\Everyone's food!\What is it?\The reason I came to the guild was... to search for my father, you know?\Actually, that's the first I've heard of it.\So then, you're saying your dad was in Fairy Tail?\Y-Yeah.\You can do it, Cana! response:	Go back, you two!
context: Everyone's food!\What is it?\The reason I came to the guild was... to search for my father, you know?\Actually, that's the first I've heard of it.\So then, you're saying your dad was in Fairy Tail?\Y-Yeah.\You can do it, Cana!\Go back, you two! response:	It's you, Gildarts.
context: What is it?\The reason I came to the guild was... to search for my father, you know?\Actually, that's the first I've heard of it.\So then, you're saying your dad was in Fairy Tail?\Y-Yeah.\You can do it, Cana!\Go back, you two!\It's you, Gildarts. response:	A lot happened, and I was never able to tell you.
context: The reason I came to the guild was... to search for my father, you know?\Actually, that's the first I've heard of it.\So then, you're saying your dad was in Fairy Tail?\Y-Yeah.\You can do it, Cana!\Go back, you two!\It's you, Gildarts.\A lot happened, and I was never able to tell you. response:	W-Wait a second!
context: Actually, that's the first I've heard of it.\So then, you're saying your dad was in Fairy Tail?\Y-Yeah.\You can do it, Cana!\Go back, you two!\It's you, Gildarts.\A lot happened, and I was never able to tell you.\W-Wait a second! response:	You're...
context: So then, you're saying your dad was in Fairy Tail?\Y-Yeah.\You can do it, Cana!\Go back, you two!\It's you, Gildarts.\A lot happened, and I was never able to tell you.\W-Wait a second!\You're... response:	I know it's a lot to just accept...
context: Y-Yeah.\You can do it, Cana!\Go back, you two!\It's you, Gildarts.\A lot happened, and I was never able to tell you.\W-Wait a second!\You're...\I know it's a lot to just accept... response:	Whose kid are you?
context: You can do it, Cana!\Go back, you two!\It's you, Gildarts.\A lot happened, and I was never able to tell you.\W-Wait a second!\You're...\I know it's a lot to just accept...\Whose kid are you? response:	Sara? Naomi? Claire? Feena? Mary? Eliza?
context: Go back, you two!\It's you, Gildarts.\A lot happened, and I was never able to tell you.\W-Wait a second!\You're...\I know it's a lot to just accept...\Whose kid are you?\Sara? Naomi? Claire? Feena? Mary? Eliza? response:	No, no... The hair color's off...
context: It's you, Gildarts.\A lot happened, and I was never able to tell you.\W-Wait a second!\You're...\I know it's a lot to just accept...\Whose kid are you?\Sara? Naomi? Claire? Feena? Mary? Eliza?\No, no... The hair color's off... response:	Emma, Lyra, Jean, Sydney, Kate, Yuko, Francoise...
context: A lot happened, and I was never able to tell you.\W-Wait a second!\You're...\I know it's a lot to just accept...\Whose kid are you?\Sara? Naomi? Claire? Feena? Mary? Eliza?\No, no... The hair color's off...\Emma, Lyra, Jean, Sydney, Kate, Yuko, Francoise... response:	You old geezer! How many flings have you had?!
context: W-Wait a second!\You're...\I know it's a lot to just accept...\Whose kid are you?\Sara? Naomi? Claire? Feena? Mary? Eliza?\No, no... The hair color's off...\Emma, Lyra, Jean, Sydney, Kate, Yuko, Francoise...\You old geezer! How many flings have you had?! response:	I-I know! You're the spitting image of Sylvia!
context: You're...\I know it's a lot to just accept...\Whose kid are you?\Sara? Naomi? Claire? Feena? Mary? Eliza?\No, no... The hair color's off...\Emma, Lyra, Jean, Sydney, Kate, Yuko, Francoise...\You old geezer! How many flings have you had?!\I-I know! You're the spitting image of Sylvia! response:	Like, you're the same sex!
context: I know it's a lot to just accept...\Whose kid are you?\Sara? Naomi? Claire? Feena? Mary? Eliza?\No, no... The hair color's off...\Emma, Lyra, Jean, Sydney, Kate, Yuko, Francoise...\You old geezer! How many flings have you had?!\I-I know! You're the spitting image of Sylvia!\Like, you're the same sex! response:	God, you're making me angry!
context: Whose kid are you?\Sara? Naomi? Claire? Feena? Mary? Eliza?\No, no... The hair color's off...\Emma, Lyra, Jean, Sydney, Kate, Yuko, Francoise...\You old geezer! How many flings have you had?!\I-I know! You're the spitting image of Sylvia!\Like, you're the same sex!\God, you're making me angry! response:	I can't believe that such a philandering loser is my old man!
context: Sara? Naomi? Claire? Feena? Mary? Eliza?\No, no... The hair color's off...\Emma, Lyra, Jean, Sydney, Kate, Yuko, Francoise...\You old geezer! How many flings have you had?!\I-I know! You're the spitting image of Sylvia!\Like, you're the same sex!\God, you're making me angry!\I can't believe that such a philandering loser is my old man! response:	Anyway, so now you know! Bye!
context: No, no... The hair color's off...\Emma, Lyra, Jean, Sydney, Kate, Yuko, Francoise...\You old geezer! How many flings have you had?!\I-I know! You're the spitting image of Sylvia!\Like, you're the same sex!\God, you're making me angry!\I can't believe that such a philandering loser is my old man!\Anyway, so now you know! Bye! response:	W-Wait!
context: Emma, Lyra, Jean, Sydney, Kate, Yuko, Francoise...\You old geezer! How many flings have you had?!\I-I know! You're the spitting image of Sylvia!\Like, you're the same sex!\God, you're making me angry!\I can't believe that such a philandering loser is my old man!\Anyway, so now you know! Bye!\W-Wait! response:	That's all I wanted to say.
context: You old geezer! How many flings have you had?!\I-I know! You're the spitting image of Sylvia!\Like, you're the same sex!\God, you're making me angry!\I can't believe that such a philandering loser is my old man!\Anyway, so now you know! Bye!\W-Wait!\That's all I wanted to say. response:	I'm not saying we should be family or anything, got it?
context: I-I know! You're the spitting image of Sylvia!\Like, you're the same sex!\God, you're making me angry!\I can't believe that such a philandering loser is my old man!\Anyway, so now you know! Bye!\W-Wait!\That's all I wanted to say.\I'm not saying we should be family or anything, got it? response:	I'm fine with things staying the way they are...
context: Like, you're the same sex!\God, you're making me angry!\I can't believe that such a philandering loser is my old man!\Anyway, so now you know! Bye!\W-Wait!\That's all I wanted to say.\I'm not saying we should be family or anything, got it?\I'm fine with things staying the way they are... response:	You're Cornelia's child...
context: God, you're making me angry!\I can't believe that such a philandering loser is my old man!\Anyway, so now you know! Bye!\W-Wait!\That's all I wanted to say.\I'm not saying we should be family or anything, got it?\I'm fine with things staying the way they are...\You're Cornelia's child... response:	I'm sure of it.
context: I can't believe that such a philandering loser is my old man!\Anyway, so now you know! Bye!\W-Wait!\That's all I wanted to say.\I'm not saying we should be family or anything, got it?\I'm fine with things staying the way they are...\You're Cornelia's child...\I'm sure of it. response:	Let go of me.
context: Anyway, so now you know! Bye!\W-Wait!\That's all I wanted to say.\I'm not saying we should be family or anything, got it?\I'm fine with things staying the way they are...\You're Cornelia's child...\I'm sure of it.\Let go of me. response:	Why did you keep quiet all this time?
context: W-Wait!\That's all I wanted to say.\I'm not saying we should be family or anything, got it?\I'm fine with things staying the way they are...\You're Cornelia's child...\I'm sure of it.\Let go of me.\Why did you keep quiet all this time? response:	I couldn't bring myself to tell you.
context: That's all I wanted to say.\I'm not saying we should be family or anything, got it?\I'm fine with things staying the way they are...\You're Cornelia's child...\I'm sure of it.\Let go of me.\Why did you keep quiet all this time?\I couldn't bring myself to tell you. response:	And time just flew by...
context: I'm not saying we should be family or anything, got it?\I'm fine with things staying the way they are...\You're Cornelia's child...\I'm sure of it.\Let go of me.\Why did you keep quiet all this time?\I couldn't bring myself to tell you.\And time just flew by... response:	Cornelia is the only woman I ever loved.
context: I'm fine with things staying the way they are...\You're Cornelia's child...\I'm sure of it.\Let go of me.\Why did you keep quiet all this time?\I couldn't bring myself to tell you.\And time just flew by...\Cornelia is the only woman I ever loved. response:	She's the only one I married.
context: You're Cornelia's child...\I'm sure of it.\Let go of me.\Why did you keep quiet all this time?\I couldn't bring myself to tell you.\And time just flew by...\Cornelia is the only woman I ever loved.\She's the only one I married. response:	She left me after getting frustrated from me always being away on jobs, 18 years ago.
context: I'm sure of it.\Let go of me.\Why did you keep quiet all this time?\I couldn't bring myself to tell you.\And time just flew by...\Cornelia is the only woman I ever loved.\She's the only one I married.\She left me after getting frustrated from me always being away on jobs, 18 years ago. response:	I heard that she had passed away.
context: Let go of me.\Why did you keep quiet all this time?\I couldn't bring myself to tell you.\And time just flew by...\Cornelia is the only woman I ever loved.\She's the only one I married.\She left me after getting frustrated from me always being away on jobs, 18 years ago.\I heard that she had passed away. response:	But to think she left a child...
context: Why did you keep quiet all this time?\I couldn't bring myself to tell you.\And time just flew by...\Cornelia is the only woman I ever loved.\She's the only one I married.\She left me after getting frustrated from me always being away on jobs, 18 years ago.\I heard that she had passed away.\But to think she left a child... response:	I'm sorry, I didn't realize it was you.
