context: What was that? response:	They're after the Aurora!
context: Embryo Kindergarten?\Yep.\I'm the principal.\I really wanted to bring all the children from Arzenal here.\Can you believe it?\These children were all dead once.\And then Embryo-san brought them back to life.\Back to life? response:	That's not possible, even with the Light of Mana.
context: Yep.\I'm the principal.\I really wanted to bring all the children from Arzenal here.\Can you believe it?\These children were all dead once.\And then Embryo-san brought them back to life.\Back to life?\That's not possible, even with the Light of Mana. response:	Embryo-san says...
context: I'm the principal.\I really wanted to bring all the children from Arzenal here.\Can you believe it?\These children were all dead once.\And then Embryo-san brought them back to life.\Back to life?\That's not possible, even with the Light of Mana.\Embryo-san says... response:	He will make a world where these children can live free without fear.
context: I really wanted to bring all the children from Arzenal here.\Can you believe it?\These children were all dead once.\And then Embryo-san brought them back to life.\Back to life?\That's not possible, even with the Light of Mana.\Embryo-san says...\He will make a world where these children can live free without fear. response:	I decided to cooperate with him.
context: Can you believe it?\These children were all dead once.\And then Embryo-san brought them back to life.\Back to life?\That's not possible, even with the Light of Mana.\Embryo-san says...\He will make a world where these children can live free without fear.\I decided to cooperate with him. response:	I'd do anything to protect these children.
context: These children were all dead once.\And then Embryo-san brought them back to life.\Back to life?\That's not possible, even with the Light of Mana.\Embryo-san says...\He will make a world where these children can live free without fear.\I decided to cooperate with him.\I'd do anything to protect these children. response:	I'd slaughter all the humans.
context: And then Embryo-san brought them back to life.\Back to life?\That's not possible, even with the Light of Mana.\Embryo-san says...\He will make a world where these children can live free without fear.\I decided to cooperate with him.\I'd do anything to protect these children.\I'd slaughter all the humans. response:	And I'd kill you, Ange-chan.
context: Back to life?\That's not possible, even with the Light of Mana.\Embryo-san says...\He will make a world where these children can live free without fear.\I decided to cooperate with him.\I'd do anything to protect these children.\I'd slaughter all the humans.\And I'd kill you, Ange-chan. response:	Ersha.
context: That's not possible, even with the Light of Mana.\Embryo-san says...\He will make a world where these children can live free without fear.\I decided to cooperate with him.\I'd do anything to protect these children.\I'd slaughter all the humans.\And I'd kill you, Ange-chan.\Ersha. response:	Oh no...
context: Embryo-san says...\He will make a world where these children can live free without fear.\I decided to cooperate with him.\I'd do anything to protect these children.\I'd slaughter all the humans.\And I'd kill you, Ange-chan.\Ersha.\Oh no... response:	Let's go, Momoka.
context: He will make a world where these children can live free without fear.\I decided to cooperate with him.\I'd do anything to protect these children.\I'd slaughter all the humans.\And I'd kill you, Ange-chan.\Ersha.\Oh no...\Let's go, Momoka. response:	We need to find Embryo.
context: I decided to cooperate with him.\I'd do anything to protect these children.\I'd slaughter all the humans.\And I'd kill you, Ange-chan.\Ersha.\Oh no...\Let's go, Momoka.\We need to find Embryo. response:	Want to come with me?
context: I'd do anything to protect these children.\I'd slaughter all the humans.\And I'd kill you, Ange-chan.\Ersha.\Oh no...\Let's go, Momoka.\We need to find Embryo.\Want to come with me? response:	Chris.
context: I'd slaughter all the humans.\And I'd kill you, Ange-chan.\Ersha.\Oh no...\Let's go, Momoka.\We need to find Embryo.\Want to come with me?\Chris. response:	Hey, Chris.
context: And I'd kill you, Ange-chan.\Ersha.\Oh no...\Let's go, Momoka.\We need to find Embryo.\Want to come with me?\Chris.\Hey, Chris. response:	You force yourself to talk to me.
context: Ersha.\Oh no...\Let's go, Momoka.\We need to find Embryo.\Want to come with me?\Chris.\Hey, Chris.\You force yourself to talk to me. response:	I know you're not interested in me, anyway.
context: Oh no...\Let's go, Momoka.\We need to find Embryo.\Want to come with me?\Chris.\Hey, Chris.\You force yourself to talk to me.\I know you're not interested in me, anyway. response:	Hilda and the others are angry.
context: Let's go, Momoka.\We need to find Embryo.\Want to come with me?\Chris.\Hey, Chris.\You force yourself to talk to me.\I know you're not interested in me, anyway.\Hilda and the others are angry. response:	I'm the one that's angry.
context: We need to find Embryo.\Want to come with me?\Chris.\Hey, Chris.\You force yourself to talk to me.\I know you're not interested in me, anyway.\Hilda and the others are angry.\I'm the one that's angry. response:	They said they'd come help me.
context: Want to come with me?\Chris.\Hey, Chris.\You force yourself to talk to me.\I know you're not interested in me, anyway.\Hilda and the others are angry.\I'm the one that's angry.\They said they'd come help me. response:	But they abandoned me.
context: Chris.\Hey, Chris.\You force yourself to talk to me.\I know you're not interested in me, anyway.\Hilda and the others are angry.\I'm the one that's angry.\They said they'd come help me.\But they abandoned me. response:	Embryo-kun is different.
context: Hey, Chris.\You force yourself to talk to me.\I know you're not interested in me, anyway.\Hilda and the others are angry.\I'm the one that's angry.\They said they'd come help me.\But they abandoned me.\Embryo-kun is different. response:	He risked his life to save me.
context: You force yourself to talk to me.\I know you're not interested in me, anyway.\Hilda and the others are angry.\I'm the one that's angry.\They said they'd come help me.\But they abandoned me.\Embryo-kun is different.\He risked his life to save me. response:	He said he wanted to be my friend.
context: I know you're not interested in me, anyway.\Hilda and the others are angry.\I'm the one that's angry.\They said they'd come help me.\But they abandoned me.\Embryo-kun is different.\He risked his life to save me.\He said he wanted to be my friend. response:	A true friend.
context: Hilda and the others are angry.\I'm the one that's angry.\They said they'd come help me.\But they abandoned me.\Embryo-kun is different.\He risked his life to save me.\He said he wanted to be my friend.\A true friend. response:	Um, Angelise-sama...
context: I'm the one that's angry.\They said they'd come help me.\But they abandoned me.\Embryo-kun is different.\He risked his life to save me.\He said he wanted to be my friend.\A true friend.\Um, Angelise-sama... response:	Who is this Embryo-sama?
context: They said they'd come help me.\But they abandoned me.\Embryo-kun is different.\He risked his life to save me.\He said he wanted to be my friend.\A true friend.\Um, Angelise-sama...\Who is this Embryo-sama? response:	Huh? You haven't heard?
context: But they abandoned me.\Embryo-kun is different.\He risked his life to save me.\He said he wanted to be my friend.\A true friend.\Um, Angelise-sama...\Who is this Embryo-sama?\Huh? You haven't heard? response:	Is he a philanthropist? Or a counselor?
context: Embryo-kun is different.\He risked his life to save me.\He said he wanted to be my friend.\A true friend.\Um, Angelise-sama...\Who is this Embryo-sama?\Huh? You haven't heard?\Is he a philanthropist? Or a counselor? response:	God, supposedly.
context: He risked his life to save me.\He said he wanted to be my friend.\A true friend.\Um, Angelise-sama...\Who is this Embryo-sama?\Huh? You haven't heard?\Is he a philanthropist? Or a counselor?\God, supposedly. response:	Huh...
context: He said he wanted to be my friend.\A true friend.\Um, Angelise-sama...\Who is this Embryo-sama?\Huh? You haven't heard?\Is he a philanthropist? Or a counselor?\God, supposedly.\Huh... response:	You're useless!
context: A true friend.\Um, Angelise-sama...\Who is this Embryo-sama?\Huh? You haven't heard?\Is he a philanthropist? Or a counselor?\God, supposedly.\Huh...\You're useless! response:	This is Volume Four!
context: Um, Angelise-sama...\Who is this Embryo-sama?\Huh? You haven't heard?\Is he a philanthropist? Or a counselor?\God, supposedly.\Huh...\You're useless!\This is Volume Four! response:	I told you to bring Volume Three!
context: Who is this Embryo-sama?\Huh? You haven't heard?\Is he a philanthropist? Or a counselor?\God, supposedly.\Huh...\You're useless!\This is Volume Four!\I told you to bring Volume Three! response:	How could you poison me?
context: Huh? You haven't heard?\Is he a philanthropist? Or a counselor?\God, supposedly.\Huh...\You're useless!\This is Volume Four!\I told you to bring Volume Three!\How could you poison me? response:	I would never have regained consciousness, if not for Ojisama!
context: Is he a philanthropist? Or a counselor?\God, supposedly.\Huh...\You're useless!\This is Volume Four!\I told you to bring Volume Three!\How could you poison me?\I would never have regained consciousness, if not for Ojisama! response:	Don't talk back to me!
context: God, supposedly.\Huh...\You're useless!\This is Volume Four!\I told you to bring Volume Three!\How could you poison me?\I would never have regained consciousness, if not for Ojisama!\Don't talk back to me! response:	Have you forgotten that you're only alive because Ojisama permitted it?
context: Huh...\You're useless!\This is Volume Four!\I told you to bring Volume Three!\How could you poison me?\I would never have regained consciousness, if not for Ojisama!\Don't talk back to me!\Have you forgotten that you're only alive because Ojisama permitted it? response:	You lizard bitch!
context: You're useless!\This is Volume Four!\I told you to bring Volume Three!\How could you poison me?\I would never have regained consciousness, if not for Ojisama!\Don't talk back to me!\Have you forgotten that you're only alive because Ojisama permitted it?\You lizard bitch! response:	R-Riza...
context: This is Volume Four!\I told you to bring Volume Three!\How could you poison me?\I would never have regained consciousness, if not for Ojisama!\Don't talk back to me!\Have you forgotten that you're only alive because Ojisama permitted it?\You lizard bitch!\R-Riza... response:	Sylvia.
context: I told you to bring Volume Three!\How could you poison me?\I would never have regained consciousness, if not for Ojisama!\Don't talk back to me!\Have you forgotten that you're only alive because Ojisama permitted it?\You lizard bitch!\R-Riza...\Sylvia. response:	You're here to kill me, aren't you?
context: How could you poison me?\I would never have regained consciousness, if not for Ojisama!\Don't talk back to me!\Have you forgotten that you're only alive because Ojisama permitted it?\You lizard bitch!\R-Riza...\Sylvia.\You're here to kill me, aren't you? response:	You murdered Father, Mother, and Onii-sama!
context: I would never have regained consciousness, if not for Ojisama!\Don't talk back to me!\Have you forgotten that you're only alive because Ojisama permitted it?\You lizard bitch!\R-Riza...\Sylvia.\You're here to kill me, aren't you?\You murdered Father, Mother, and Onii-sama! response:	And now you're here to kill me.
context: Don't talk back to me!\Have you forgotten that you're only alive because Ojisama permitted it?\You lizard bitch!\R-Riza...\Sylvia.\You're here to kill me, aren't you?\You murdered Father, Mother, and Onii-sama!\And now you're here to kill me. response:	That's right, isn't it?
context: Have you forgotten that you're only alive because Ojisama permitted it?\You lizard bitch!\R-Riza...\Sylvia.\You're here to kill me, aren't you?\You murdered Father, Mother, and Onii-sama!\And now you're here to kill me.\That's right, isn't it? response:	Go away, you murderer!
context: You lizard bitch!\R-Riza...\Sylvia.\You're here to kill me, aren't you?\You murdered Father, Mother, and Onii-sama!\And now you're here to kill me.\That's right, isn't it?\Go away, you murderer! response:	Let me talk.
context: R-Riza...\Sylvia.\You're here to kill me, aren't you?\You murdered Father, Mother, and Onii-sama!\And now you're here to kill me.\That's right, isn't it?\Go away, you murderer!\Let me talk. response:	Help me, Ojisama!
context: Sylvia.\You're here to kill me, aren't you?\You murdered Father, Mother, and Onii-sama!\And now you're here to kill me.\That's right, isn't it?\Go away, you murderer!\Let me talk.\Help me, Ojisama! response:	Ojisama!
context: You're here to kill me, aren't you?\You murdered Father, Mother, and Onii-sama!\And now you're here to kill me.\That's right, isn't it?\Go away, you murderer!\Let me talk.\Help me, Ojisama!\Ojisama! response:	Ojisama?
context: You murdered Father, Mother, and Onii-sama!\And now you're here to kill me.\That's right, isn't it?\Go away, you murderer!\Let me talk.\Help me, Ojisama!\Ojisama!\Ojisama? response:	I found you, Ange!
context: And now you're here to kill me.\That's right, isn't it?\Go away, you murderer!\Let me talk.\Help me, Ojisama!\Ojisama!\Ojisama?\I found you, Ange! response:	It's so loud in here.
context: That's right, isn't it?\Go away, you murderer!\Let me talk.\Help me, Ojisama!\Ojisama!\Ojisama?\I found you, Ange!\It's so loud in here. response:	I'd appreciate if you all could keep it down while I'm reading.
context: Go away, you murderer!\Let me talk.\Help me, Ojisama!\Ojisama!\Ojisama?\I found you, Ange!\It's so loud in here.\I'd appreciate if you all could keep it down while I'm reading. response:	Embryo...
context: Let me talk.\Help me, Ojisama!\Ojisama!\Ojisama?\I found you, Ange!\It's so loud in here.\I'd appreciate if you all could keep it down while I'm reading.\Embryo... response:	Truly, books are good.
context: Help me, Ojisama!\Ojisama!\Ojisama?\I found you, Ange!\It's so loud in here.\I'd appreciate if you all could keep it down while I'm reading.\Embryo...\Truly, books are good. response:	Contained within is everything in the universe.
context: Ojisama!\Ojisama?\I found you, Ange!\It's so loud in here.\I'd appreciate if you all could keep it down while I'm reading.\Embryo...\Truly, books are good.\Contained within is everything in the universe. response:	How boring our reality is by comparison.
context: Ojisama?\I found you, Ange!\It's so loud in here.\I'd appreciate if you all could keep it down while I'm reading.\Embryo...\Truly, books are good.\Contained within is everything in the universe.\How boring our reality is by comparison. response:	It's been a while since I've met someone more entertaining than my books.
context: I found you, Ange!\It's so loud in here.\I'd appreciate if you all could keep it down while I'm reading.\Embryo...\Truly, books are good.\Contained within is everything in the universe.\How boring our reality is by comparison.\It's been a while since I've met someone more entertaining than my books. response:	Embryo.
context: It's so loud in here.\I'd appreciate if you all could keep it down while I'm reading.\Embryo...\Truly, books are good.\Contained within is everything in the universe.\How boring our reality is by comparison.\It's been a while since I've met someone more entertaining than my books.\Embryo. response:	Him?
context: I'd appreciate if you all could keep it down while I'm reading.\Embryo...\Truly, books are good.\Contained within is everything in the universe.\How boring our reality is by comparison.\It's been a while since I've met someone more entertaining than my books.\Embryo.\Him? response:	I apologize for being so rough.
context: Embryo...\Truly, books are good.\Contained within is everything in the universe.\How boring our reality is by comparison.\It's been a while since I've met someone more entertaining than my books.\Embryo.\Him?\I apologize for being so rough. response:	I wanted to speak with you.
context: Truly, books are good.\Contained within is everything in the universe.\How boring our reality is by comparison.\It's been a while since I've met someone more entertaining than my books.\Embryo.\Him?\I apologize for being so rough.\I wanted to speak with you. response:	I asked Salia and the others to bring you here.
context: Contained within is everything in the universe.\How boring our reality is by comparison.\It's been a while since I've met someone more entertaining than my books.\Embryo.\Him?\I apologize for being so rough.\I wanted to speak with you.\I asked Salia and the others to bring you here. response:	Come.
context: How boring our reality is by comparison.\It's been a while since I've met someone more entertaining than my books.\Embryo.\Him?\I apologize for being so rough.\I wanted to speak with you.\I asked Salia and the others to bring you here.\Come. response:	You must have questions, too.
context: It's been a while since I've met someone more entertaining than my books.\Embryo.\Him?\I apologize for being so rough.\I wanted to speak with you.\I asked Salia and the others to bring you here.\Come.\You must have questions, too. response:	Angelise-sama...
context: Embryo.\Him?\I apologize for being so rough.\I wanted to speak with you.\I asked Salia and the others to bring you here.\Come.\You must have questions, too.\Angelise-sama... response:	If you don't mind, I'd like to be alone with her for a while.
context: Him?\I apologize for being so rough.\I wanted to speak with you.\I asked Salia and the others to bring you here.\Come.\You must have questions, too.\Angelise-sama...\If you don't mind, I'd like to be alone with her for a while. response:	You mustn't.
context: I apologize for being so rough.\I wanted to speak with you.\I asked Salia and the others to bring you here.\Come.\You must have questions, too.\Angelise-sama...\If you don't mind, I'd like to be alone with her for a while.\You mustn't. response:	This woman is dangerous.
context: I wanted to speak with you.\I asked Salia and the others to bring you here.\Come.\You must have questions, too.\Angelise-sama...\If you don't mind, I'd like to be alone with her for a while.\You mustn't.\This woman is dangerous. response:	Salia...
context: I asked Salia and the others to bring you here.\Come.\You must have questions, too.\Angelise-sama...\If you don't mind, I'd like to be alone with her for a while.\You mustn't.\This woman is dangerous.\Salia... response:	Ange has been captured.
context: Come.\You must have questions, too.\Angelise-sama...\If you don't mind, I'd like to be alone with her for a while.\You mustn't.\This woman is dangerous.\Salia...\Ange has been captured. response:	Vivian and Tusk are missing.
context: You must have questions, too.\Angelise-sama...\If you don't mind, I'd like to be alone with her for a while.\You mustn't.\This woman is dangerous.\Salia...\Ange has been captured.\Vivian and Tusk are missing. response:	And this happened because they went out guns blazing...
context: Angelise-sama...\If you don't mind, I'd like to be alone with her for a while.\You mustn't.\This woman is dangerous.\Salia...\Ange has been captured.\Vivian and Tusk are missing.\And this happened because they went out guns blazing... response:	You just have to laugh, don't you?
context: If you don't mind, I'd like to be alone with her for a while.\You mustn't.\This woman is dangerous.\Salia...\Ange has been captured.\Vivian and Tusk are missing.\And this happened because they went out guns blazing...\You just have to laugh, don't you? response:	If not for those girls protecting us, this ship would have sunk.
context: You mustn't.\This woman is dangerous.\Salia...\Ange has been captured.\Vivian and Tusk are missing.\And this happened because they went out guns blazing...\You just have to laugh, don't you?\If not for those girls protecting us, this ship would have sunk. response:	I don't care.
context: This woman is dangerous.\Salia...\Ange has been captured.\Vivian and Tusk are missing.\And this happened because they went out guns blazing...\You just have to laugh, don't you?\If not for those girls protecting us, this ship would have sunk.\I don't care. response:	Without the Villkiss, Libertus is impossible.
context: Salia...\Ange has been captured.\Vivian and Tusk are missing.\And this happened because they went out guns blazing...\You just have to laugh, don't you?\If not for those girls protecting us, this ship would have sunk.\I don't care.\Without the Villkiss, Libertus is impossible. response:	That's why we couldn't let Ange leave.
context: Ange has been captured.\Vivian and Tusk are missing.\And this happened because they went out guns blazing...\You just have to laugh, don't you?\If not for those girls protecting us, this ship would have sunk.\I don't care.\Without the Villkiss, Libertus is impossible.\That's why we couldn't let Ange leave. response:	I can't believe that boy betrayed us.
context: Vivian and Tusk are missing.\And this happened because they went out guns blazing...\You just have to laugh, don't you?\If not for those girls protecting us, this ship would have sunk.\I don't care.\Without the Villkiss, Libertus is impossible.\That's why we couldn't let Ange leave.\I can't believe that boy betrayed us. response:	I screwed up.
context: And this happened because they went out guns blazing...\You just have to laugh, don't you?\If not for those girls protecting us, this ship would have sunk.\I don't care.\Without the Villkiss, Libertus is impossible.\That's why we couldn't let Ange leave.\I can't believe that boy betrayed us.\I screwed up. response:	I should have trained Ange to be more loyal.
context: You just have to laugh, don't you?\If not for those girls protecting us, this ship would have sunk.\I don't care.\Without the Villkiss, Libertus is impossible.\That's why we couldn't let Ange leave.\I can't believe that boy betrayed us.\I screwed up.\I should have trained Ange to be more loyal. response:	What's the Burn Princess up to?
context: If not for those girls protecting us, this ship would have sunk.\I don't care.\Without the Villkiss, Libertus is impossible.\That's why we couldn't let Ange leave.\I can't believe that boy betrayed us.\I screwed up.\I should have trained Ange to be more loyal.\What's the Burn Princess up to? response:	She came back only to leave a mess.
context: I don't care.\Without the Villkiss, Libertus is impossible.\That's why we couldn't let Ange leave.\I can't believe that boy betrayed us.\I screwed up.\I should have trained Ange to be more loyal.\What's the Burn Princess up to?\She came back only to leave a mess. response:	She must have had a reason to escape the ship.
context: Without the Villkiss, Libertus is impossible.\That's why we couldn't let Ange leave.\I can't believe that boy betrayed us.\I screwed up.\I should have trained Ange to be more loyal.\What's the Burn Princess up to?\She came back only to leave a mess.\She must have had a reason to escape the ship. response:	Our ship might be in danger.
context: That's why we couldn't let Ange leave.\I can't believe that boy betrayed us.\I screwed up.\I should have trained Ange to be more loyal.\What's the Burn Princess up to?\She came back only to leave a mess.\She must have had a reason to escape the ship.\Our ship might be in danger. response:	What are we going to do now?
context: I can't believe that boy betrayed us.\I screwed up.\I should have trained Ange to be more loyal.\What's the Burn Princess up to?\She came back only to leave a mess.\She must have had a reason to escape the ship.\Our ship might be in danger.\What are we going to do now? response:	We can't do the Libertus thing without the Villkiss, can we?
context: I screwed up.\I should have trained Ange to be more loyal.\What's the Burn Princess up to?\She came back only to leave a mess.\She must have had a reason to escape the ship.\Our ship might be in danger.\What are we going to do now?\We can't do the Libertus thing without the Villkiss, can we? response:	Then we'll just have to bring Ange back.
context: I should have trained Ange to be more loyal.\What's the Burn Princess up to?\She came back only to leave a mess.\She must have had a reason to escape the ship.\Our ship might be in danger.\What are we going to do now?\We can't do the Libertus thing without the Villkiss, can we?\Then we'll just have to bring Ange back. response:	Where are we going?
context: What's the Burn Princess up to?\She came back only to leave a mess.\She must have had a reason to escape the ship.\Our ship might be in danger.\What are we going to do now?\We can't do the Libertus thing without the Villkiss, can we?\Then we'll just have to bring Ange back.\Where are we going? response:	What is this?
context: She came back only to leave a mess.\She must have had a reason to escape the ship.\Our ship might be in danger.\What are we going to do now?\We can't do the Libertus thing without the Villkiss, can we?\Then we'll just have to bring Ange back.\Where are we going?\What is this? response:	It's Aura.
context: She must have had a reason to escape the ship.\Our ship might be in danger.\What are we going to do now?\We can't do the Libertus thing without the Villkiss, can we?\Then we'll just have to bring Ange back.\Where are we going?\What is this?\It's Aura. response:	The sacred first DRAGON.
context: Our ship might be in danger.\What are we going to do now?\We can't do the Libertus thing without the Villkiss, can we?\Then we'll just have to bring Ange back.\Where are we going?\What is this?\It's Aura.\The sacred first DRAGON. response:	He's what Riza and the other DRAGONs seek.
context: What are we going to do now?\We can't do the Libertus thing without the Villkiss, can we?\Then we'll just have to bring Ange back.\Where are we going?\What is this?\It's Aura.\The sacred first DRAGON.\He's what Riza and the other DRAGONs seek. response:	That's Dracunium.
context: We can't do the Libertus thing without the Villkiss, can we?\Then we'll just have to bring Ange back.\Where are we going?\What is this?\It's Aura.\The sacred first DRAGON.\He's what Riza and the other DRAGONs seek.\That's Dracunium. response:	All the Mana in this world is
context: Then we'll just have to bring Ange back.\Where are we going?\What is this?\It's Aura.\The sacred first DRAGON.\He's what Riza and the other DRAGONs seek.\That's Dracunium.\All the Mana in this world is response:	created by Aura's consumption of Dracunium.
context: Where are we going?\What is this?\It's Aura.\The sacred first DRAGON.\He's what Riza and the other DRAGONs seek.\That's Dracunium.\All the Mana in this world is\created by Aura's consumption of Dracunium. response:	You're using the sacred DRAGON Aura as a generator?
context: What is this?\It's Aura.\The sacred first DRAGON.\He's what Riza and the other DRAGONs seek.\That's Dracunium.\All the Mana in this world is\created by Aura's consumption of Dracunium.\You're using the sacred DRAGON Aura as a generator? response:	I couldn't just abandon humanity.
context: It's Aura.\The sacred first DRAGON.\He's what Riza and the other DRAGONs seek.\That's Dracunium.\All the Mana in this world is\created by Aura's consumption of Dracunium.\You're using the sacred DRAGON Aura as a generator?\I couldn't just abandon humanity. response:	But thanks to Riza's intel, we successfully ambushed the DRAGONs,
context: The sacred first DRAGON.\He's what Riza and the other DRAGONs seek.\That's Dracunium.\All the Mana in this world is\created by Aura's consumption of Dracunium.\You're using the sacred DRAGON Aura as a generator?\I couldn't just abandon humanity.\But thanks to Riza's intel, we successfully ambushed the DRAGONs, response:	and collected a vast amount of Dracunium.
context: He's what Riza and the other DRAGONs seek.\That's Dracunium.\All the Mana in this world is\created by Aura's consumption of Dracunium.\You're using the sacred DRAGON Aura as a generator?\I couldn't just abandon humanity.\But thanks to Riza's intel, we successfully ambushed the DRAGONs,\and collected a vast amount of Dracunium. response:	Now, I can continue with my other plans.
context: That's Dracunium.\All the Mana in this world is\created by Aura's consumption of Dracunium.\You're using the sacred DRAGON Aura as a generator?\I couldn't just abandon humanity.\But thanks to Riza's intel, we successfully ambushed the DRAGONs,\and collected a vast amount of Dracunium.\Now, I can continue with my other plans. response:	Let Aura go.
context: All the Mana in this world is\created by Aura's consumption of Dracunium.\You're using the sacred DRAGON Aura as a generator?\I couldn't just abandon humanity.\But thanks to Riza's intel, we successfully ambushed the DRAGONs,\and collected a vast amount of Dracunium.\Now, I can continue with my other plans.\Let Aura go. response:	Now.
context: created by Aura's consumption of Dracunium.\You're using the sacred DRAGON Aura as a generator?\I couldn't just abandon humanity.\But thanks to Riza's intel, we successfully ambushed the DRAGONs,\and collected a vast amount of Dracunium.\Now, I can continue with my other plans.\Let Aura go.\Now. response:	Oh my.
context: You're using the sacred DRAGON Aura as a generator?\I couldn't just abandon humanity.\But thanks to Riza's intel, we successfully ambushed the DRAGONs,\and collected a vast amount of Dracunium.\Now, I can continue with my other plans.\Let Aura go.\Now.\Oh my. response:	You've sided with the DRAGONs, huh?
context: I couldn't just abandon humanity.\But thanks to Riza's intel, we successfully ambushed the DRAGONs,\and collected a vast amount of Dracunium.\Now, I can continue with my other plans.\Let Aura go.\Now.\Oh my.\You've sided with the DRAGONs, huh? response:	I'm your enemy.
context: But thanks to Riza's intel, we successfully ambushed the DRAGONs,\and collected a vast amount of Dracunium.\Now, I can continue with my other plans.\Let Aura go.\Now.\Oh my.\You've sided with the DRAGONs, huh?\I'm your enemy. response:	You killed my brother.
context: and collected a vast amount of Dracunium.\Now, I can continue with my other plans.\Let Aura go.\Now.\Oh my.\You've sided with the DRAGONs, huh?\I'm your enemy.\You killed my brother. response:	You tried to kill Tusk.
context: Now, I can continue with my other plans.\Let Aura go.\Now.\Oh my.\You've sided with the DRAGONs, huh?\I'm your enemy.\You killed my brother.\You tried to kill Tusk. response:	And you've killed so many DRAGONs.
context: Let Aura go.\Now.\Oh my.\You've sided with the DRAGONs, huh?\I'm your enemy.\You killed my brother.\You tried to kill Tusk.\And you've killed so many DRAGONs. response:	That's enough to make you my enemy.
context: Now.\Oh my.\You've sided with the DRAGONs, huh?\I'm your enemy.\You killed my brother.\You tried to kill Tusk.\And you've killed so many DRAGONs.\That's enough to make you my enemy. response:	What if I refuse?
context: Oh my.\You've sided with the DRAGONs, huh?\I'm your enemy.\You killed my brother.\You tried to kill Tusk.\And you've killed so many DRAGONs.\That's enough to make you my enemy.\What if I refuse? response:	Oh?
context: You've sided with the DRAGONs, huh?\I'm your enemy.\You killed my brother.\You tried to kill Tusk.\And you've killed so many DRAGONs.\That's enough to make you my enemy.\What if I refuse?\Oh? response:	He's big.
context: I'm your enemy.\You killed my brother.\You tried to kill Tusk.\And you've killed so many DRAGONs.\That's enough to make you my enemy.\What if I refuse?\Oh?\He's big. response:	I wonder if the Villkiss can carry him...
context: You killed my brother.\You tried to kill Tusk.\And you've killed so many DRAGONs.\That's enough to make you my enemy.\What if I refuse?\Oh?\He's big.\I wonder if the Villkiss can carry him... response:	Do you feel better now?
context: You tried to kill Tusk.\And you've killed so many DRAGONs.\That's enough to make you my enemy.\What if I refuse?\Oh?\He's big.\I wonder if the Villkiss can carry him...\Do you feel better now? response:	You ought to stop wasting your time.
context: And you've killed so many DRAGONs.\That's enough to make you my enemy.\What if I refuse?\Oh?\He's big.\I wonder if the Villkiss can carry him...\Do you feel better now?\You ought to stop wasting your time. response:	You...
context: That's enough to make you my enemy.\What if I refuse?\Oh?\He's big.\I wonder if the Villkiss can carry him...\Do you feel better now?\You ought to stop wasting your time.\You... response:	What are you?
context: What if I refuse?\Oh?\He's big.\I wonder if the Villkiss can carry him...\Do you feel better now?\You ought to stop wasting your time.\You...\What are you? response:	Alektra must have told you about me.
context: Oh?\He's big.\I wonder if the Villkiss can carry him...\Do you feel better now?\You ought to stop wasting your time.\You...\What are you?\Alektra must have told you about me. response:	God...?
context: He's big.\I wonder if the Villkiss can carry him...\Do you feel better now?\You ought to stop wasting your time.\You...\What are you?\Alektra must have told you about me.\God...? response:	I don't care for that crude expression.
context: I wonder if the Villkiss can carry him...\Do you feel better now?\You ought to stop wasting your time.\You...\What are you?\Alektra must have told you about me.\God...?\I don't care for that crude expression. response:	I'm the Tuner.
context: Do you feel better now?\You ought to stop wasting your time.\You...\What are you?\Alektra must have told you about me.\God...?\I don't care for that crude expression.\I'm the Tuner. response:	Tuner?
context: You ought to stop wasting your time.\You...\What are you?\Alektra must have told you about me.\God...?\I don't care for that crude expression.\I'm the Tuner.\Tuner? response:	Yes. I tune the sound of the world.
context: You...\What are you?\Alektra must have told you about me.\God...?\I don't care for that crude expression.\I'm the Tuner.\Tuner?\Yes. I tune the sound of the world. response:	What do you hope to achieve by killing me?
context: What are you?\Alektra must have told you about me.\God...?\I don't care for that crude expression.\I'm the Tuner.\Tuner?\Yes. I tune the sound of the world.\What do you hope to achieve by killing me? response:	I'm going to destroy this world and free the Norma.
context: Alektra must have told you about me.\God...?\I don't care for that crude expression.\I'm the Tuner.\Tuner?\Yes. I tune the sound of the world.\What do you hope to achieve by killing me?\I'm going to destroy this world and free the Norma. response:	Why?
context: God...?\I don't care for that crude expression.\I'm the Tuner.\Tuner?\Yes. I tune the sound of the world.\What do you hope to achieve by killing me?\I'm going to destroy this world and free the Norma.\Why? response:	Why...?
context: I don't care for that crude expression.\I'm the Tuner.\Tuner?\Yes. I tune the sound of the world.\What do you hope to achieve by killing me?\I'm going to destroy this world and free the Norma.\Why?\Why...? response:	Do the Norma really want to be freed?
context: I'm the Tuner.\Tuner?\Yes. I tune the sound of the world.\What do you hope to achieve by killing me?\I'm going to destroy this world and free the Norma.\Why?\Why...?\Do the Norma really want to be freed? response:	It's true that there isn't a place for them in this world, as they can't use Mana.
context: Tuner?\Yes. I tune the sound of the world.\What do you hope to achieve by killing me?\I'm going to destroy this world and free the Norma.\Why?\Why...?\Do the Norma really want to be freed?\It's true that there isn't a place for them in this world, as they can't use Mana. response:	But instead, they're given the task of fighting the DRAGONs.
